ko:K01006	lmz:LMOSLCC2482_1929
ko:K04759	lmz:LMOSLCC2482_2166
ko:K01443	lmz:LMOSLCC2482_2170
ko:K01809	lmz:LMOSLCC2482_2172
ko:K02003	lmz:LMOSLCC2482_2176
ko:K03431	lmz:LMOSLCC2482_2180
ko:K01810	lmz:LMOSLCC2482_2370
ko:K14155	lmz:LMOSLCC2482_2373
ko:K02003	lmz:LMOSLCC2482_2375
ko:K02760	lmz:LMOSLCC2482_2376
ko:K00928	lmz:LMOSLCC2482_2377
ko:K05566	lmz:LMOSLCC2482_2382
ko:K05567	lmz:LMOSLCC2482_2383
ko:K05569	lmz:LMOSLCC2482_2385
ko:K05571	lmz:LMOSLCC2482_2387
ko:K09775	lmz:LMOSLCC2482_2389
ko:K03885	lmz:LMOSLCC2482_2393
ko:K07090	lmz:LMOSLCC2482_2408
ko:K09014	lmz:LMOSLCC2482_2412
ko:K16329	lmz:LMOSLCC2482_2342
ko:K02529	lmz:LMOSLCC2482_0036
ko:K02761	lmz:LMOSLCC2482_0039
ko:K13252	lmz:LMOSLCC2482_0041
ko:K10536	lmz:LMOSLCC2482_0043
ko:K00926	lmz:LMOSLCC2482_0044
ko:K10536	lmz:LMOSLCC2482_0045
ko:K03481	lmz:LMOSLCC2482_0046
ko:K03975	lmz:LMOSLCC2482_0047
ko:K02990	lmz:LMOSLCC2482_0049
ko:K00973	lmz:LMOSLCC2482_1124
ko:K01790	lmz:LMOSLCC2482_1125
ko:K00067	lmz:LMOSLCC2482_1128
ko:K00763	lmz:LMOSLCC2482_1136
ko:K02760	lmz:LMOSLCC2482_1139
ko:K01951	lmz:LMOSLCC2482_1140
ko:K03827	lmz:LMOSLCC2482_1163
ko:K01358	lmz:LMOSLCC2482_1177
ko:K02304	lmz:LMOSLCC2482_1179
ko:K04031	lmz:LMOSLCC2482_1182
ko:K04029	lmz:LMOSLCC2482_1183
ko:K02231	lmz:LMOSLCC2482_1185
ko:K02233	lmz:LMOSLCC2482_1186
ko:K13919	lmz:LMOSLCC2482_1193
ko:K13920	lmz:LMOSLCC2482_1194
ko:K04024	lmz:LMOSLCC2482_1200
ko:K13922	lmz:LMOSLCC2482_1204
ko:K02440	lmz:LMOSLCC2482_1206
ko:K00925	lmz:LMOSLCC2482_1207
ko:K04019	lmz:LMOSLCC2482_1214
ko:K03735	lmz:LMOSLCC2482_1215
ko:K03736	lmz:LMOSLCC2482_1216
ko:K04026	lmz:LMOSLCC2482_1217
ko:K00773	lmz:LMOSLCC2482_1585
ko:K07568	lmz:LMOSLCC2482_1586
ko:K03551	lmz:LMOSLCC2482_1587
ko:K03550	lmz:LMOSLCC2482_1588
ko:K03979	lmz:LMOSLCC2482_1592
ko:K00864	lmz:LMOSLCC2482_1593
ko:K02440	lmz:LMOSLCC2482_1594
ko:K02899	lmz:LMOSLCC2482_1595
ko:K02888	lmz:LMOSLCC2482_1597
ko:K08301	lmz:LMOSLCC2482_1598
ko:K03609	lmz:LMOSLCC2482_1599
ko:K03610	lmz:LMOSLCC2482_1600
ko:K03571	lmz:LMOSLCC2482_1601
ko:K03570	lmz:LMOSLCC2482_1602
ko:K03569	lmz:LMOSLCC2482_1603
ko:K03630	lmz:LMOSLCC2482_1604
ko:K11754	lmz:LMOSLCC2482_1608
ko:K01873	lmz:LMOSLCC2482_1609
ko:K01845	lmz:LMOSLCC2482_1610
ko:K01698	lmz:LMOSLCC2482_1611
ko:K01749	lmz:LMOSLCC2482_1613
ko:K02492	lmz:LMOSLCC2482_1614
ko:K03978	lmz:LMOSLCC2482_1615
ko:K01868	lmz:LMOSLCC2482_1616
ko:K07738	lmz:LMOSLCC2482_1619
ko:K00859	lmz:LMOSLCC2482_1620
ko:K00031	lmz:LMOSLCC2482_1623
ko:K01647	lmz:LMOSLCC2482_1624
ko:K07113	lmz:LMOSLCC2482_1626
ko:K00873	lmz:LMOSLCC2482_1627
ko:K00850	lmz:LMOSLCC2482_1628
ko:K01962	lmz:LMOSLCC2482_1629
ko:K01963	lmz:LMOSLCC2482_1630
ko:K02337	lmz:LMOSLCC2482_1631
ko:K00259	lmz:LMOSLCC2482_1636
ko:K00925	lmz:LMOSLCC2482_1638
ko:K11065	lmz:LMOSLCC2482_1640
ko:K04773	lmz:LMOSLCC2482_1643
ko:K00858	lmz:LMOSLCC2482_1644
ko:K00611	lmz:LMOSLCC2482_1645
ko:K00930	lmz:LMOSLCC2482_1648
ko:K00620	lmz:LMOSLCC2482_1649
ko:K00145	lmz:LMOSLCC2482_1650
ko:K03151	lmz:LMOSLCC2482_1651
ko:K04487	lmz:LMOSLCC2482_1652
ko:K02986	lmz:LMOSLCC2482_1656
ko:K01866	lmz:LMOSLCC2482_1658
ko:K02529	lmz:LMOSLCC2482_1659
ko:K13853	lmz:LMOSLCC2482_1660
ko:K01924	lmz:LMOSLCC2482_1665
ko:K03466	lmz:LMOSLCC2482_1666
ko:K06878	lmz:LMOSLCC2482_1667
ko:K03439	lmz:LMOSLCC2482_1676
ko:K00824	lmz:LMOSLCC2482_1680
ko:K01695	lmz:LMOSLCC2482_1688
ko:K01696	lmz:LMOSLCC2482_1689
ko:K01817	lmz:LMOSLCC2482_1690
ko:K01609	lmz:LMOSLCC2482_1691
ko:K00766	lmz:LMOSLCC2482_1692
ko:K01657	lmz:LMOSLCC2482_1694
ko:K04072	lmz:LMOSLCC2482_1695
ko:K01246	lmz:LMOSLCC2482_1700
ko:K01681	lmz:LMOSLCC2482_1702
ko:K03547	lmz:LMOSLCC2482_1707
ko:K00655	lmz:LMOSLCC2482_1708
ko:K02357	lmz:LMOSLCC2482_1717
ko:K02967	lmz:LMOSLCC2482_1718
ko:K07106	lmz:LMOSLCC2482_1721
ko:K01869	lmz:LMOSLCC2482_1723
ko:K07139	lmz:LMOSLCC2482_1724
ko:K01953	lmz:LMOSLCC2482_1726
ko:K00789	lmz:LMOSLCC2482_1727
ko:K08998	lmz:LMOSLCC2482_1733
ko:K01911	lmz:LMOSLCC2482_1736
ko:K01661	lmz:LMOSLCC2482_1737
ko:K02551	lmz:LMOSLCC2482_1739
ko:K02548	lmz:LMOSLCC2482_1741
ko:K00549	lmz:LMOSLCC2482_1745
ko:K01845	lmz:LMOSLCC2482_1749
ko:K10780	lmz:LMOSLCC2482_1752
ko:K03575	lmz:LMOSLCC2482_1753
ko:K07038	lmz:LMOSLCC2482_1754
ko:K03565	lmz:LMOSLCC2482_1757
ko:K07071	lmz:LMOSLCC2482_1758
ko:K14205	lmz:LMOSLCC2482_1759
ko:K03790	lmz:LMOSLCC2482_1762
ko:K07058	lmz:LMOSLCC2482_1770
ko:K01265	lmz:LMOSLCC2482_1773
ko:K03839	lmz:LMOSLCC2482_1774
ko:K03569	lmz:LMOSLCC2482_1777
ko:K02759	lmz:LMOSLCC2482_1782
ko:K02760	lmz:LMOSLCC2482_1783
ko:K02529	lmz:LMOSLCC2482_1788
ko:K05349	lmz:LMOSLCC2482_1790
ko:K00266	lmz:LMOSLCC2482_1794
ko:K08317	lmz:LMOSLCC2482_1798
ko:K02029	lmz:LMOSLCC2482_1801
ko:K01486	lmz:LMOSLCC2482_1803
ko:K02003	lmz:LMOSLCC2482_1808
ko:K00891	lmz:LMOSLCC2482_1810
ko:K03215	lmz:LMOSLCC2482_1812
ko:K02434	lmz:LMOSLCC2482_1815
ko:K02435	lmz:LMOSLCC2482_1817
ko:K01972	lmz:LMOSLCC2482_1819
ko:K03657	lmz:LMOSLCC2482_1820
ko:K03308	lmz:LMOSLCC2482_1822
ko:K01945	lmz:LMOSLCC2482_1825
ko:K00602	lmz:LMOSLCC2482_1826
ko:K11175	lmz:LMOSLCC2482_1827
ko:K01933	lmz:LMOSLCC2482_1828
ko:K00764	lmz:LMOSLCC2482_1829
ko:K01952	lmz:LMOSLCC2482_1830
ko:K01952	lmz:LMOSLCC2482_1831
ko:K01952	lmz:LMOSLCC2482_1832
ko:K01923	lmz:LMOSLCC2482_1833
ko:K01756	lmz:LMOSLCC2482_1834
ko:K01589	lmz:LMOSLCC2482_1835
ko:K01588	lmz:LMOSLCC2482_1836
ko:K06950	lmz:LMOSLCC2482_1838
ko:K02013	lmz:LMOSLCC2482_1839
ko:K01142	lmz:LMOSLCC2482_1843
ko:K02887	lmz:LMOSLCC2482_1844
ko:K02916	lmz:LMOSLCC2482_1845
ko:K02520	lmz:LMOSLCC2482_1846
ko:K02884	lmz:LMOSLCC2482_1849
ko:K00554	lmz:LMOSLCC2482_1854
ko:K02860	lmz:LMOSLCC2482_1855
ko:K07010	lmz:LMOSLCC2482_1857
ko:K06960	lmz:LMOSLCC2482_1858
ko:K02959	lmz:LMOSLCC2482_1859
ko:K03106	lmz:LMOSLCC2482_1863
ko:K03110	lmz:LMOSLCC2482_1865
ko:K03529	lmz:LMOSLCC2482_1866
ko:K03685	lmz:LMOSLCC2482_1867
ko:K02078	lmz:LMOSLCC2482_1868
ko:K00645	lmz:LMOSLCC2482_1870
ko:K03621	lmz:LMOSLCC2482_1871
ko:K03655	lmz:LMOSLCC2482_1873
ko:K01752	lmz:LMOSLCC2482_1874
ko:K01752	lmz:LMOSLCC2482_1875
ko:K02902	lmz:LMOSLCC2482_1878
ko:K01783	lmz:LMOSLCC2482_1880
ko:K06949	lmz:LMOSLCC2482_1881
ko:K03500	lmz:LMOSLCC2482_1884
ko:K00604	lmz:LMOSLCC2482_1885
ko:K04066	lmz:LMOSLCC2482_1886
ko:K13038	lmz:LMOSLCC2482_1887
ko:K03060	lmz:LMOSLCC2482_1888
ko:K00942	lmz:LMOSLCC2482_1889
ko:K00762	lmz:LMOSLCC2482_1893
ko:K01591	lmz:LMOSLCC2482_1894
ko:K01955	lmz:LMOSLCC2482_1897
ko:K01956	lmz:LMOSLCC2482_1898
ko:K01465	lmz:LMOSLCC2482_1899
ko:K00609	lmz:LMOSLCC2482_1900
ko:K02825	lmz:LMOSLCC2482_1902
ko:K06180	lmz:LMOSLCC2482_1905
ko:K03101	lmz:LMOSLCC2482_1906
ko:K06901	lmz:LMOSLCC2482_1907
ko:K03327	lmz:LMOSLCC2482_1908
ko:K03797	lmz:LMOSLCC2482_1913
ko:K04032	lmz:LMOSLCC2482_1221
ko:K04023	lmz:LMOSLCC2482_1226
ko:K04030	lmz:LMOSLCC2482_1227
ko:K02224	lmz:LMOSLCC2482_1232
ko:K02227	lmz:LMOSLCC2482_1233
ko:K06042	lmz:LMOSLCC2482_1234
ko:K02188	lmz:LMOSLCC2482_1235
ko:K02191	lmz:LMOSLCC2482_1237
ko:K05936	lmz:LMOSLCC2482_1238
ko:K05895	lmz:LMOSLCC2482_1240
ko:K13542	lmz:LMOSLCC2482_1241
ko:K03394	lmz:LMOSLCC2482_1243
ko:K02007	lmz:LMOSLCC2482_1244
ko:K02232	lmz:LMOSLCC2482_1248
ko:K09936	lmz:LMOSLCC2482_1250
ko:K09936	lmz:LMOSLCC2482_1251
ko:K03437	lmz:LMOSLCC2482_1258
ko:K01889	lmz:LMOSLCC2482_1261
ko:K01890	lmz:LMOSLCC2482_1262
ko:K02003	lmz:LMOSLCC2482_1263
ko:K03648	lmz:LMOSLCC2482_1267
ko:K09888	lmz:LMOSLCC2482_1269
ko:K02347	lmz:LMOSLCC2482_1271
ko:K07456	lmz:LMOSLCC2482_1272
ko:K03671	lmz:LMOSLCC2482_1273
ko:K03703	lmz:LMOSLCC2482_1274
ko:K00928	lmz:LMOSLCC2482_1275
ko:K01776	lmz:LMOSLCC2482_1278
ko:K00989	lmz:LMOSLCC2482_1279
ko:K07095	lmz:LMOSLCC2482_1281
ko:K02818	lmz:LMOSLCC2482_1303
ko:K02819	lmz:LMOSLCC2482_1303
ko:K00147	lmz:LMOSLCC2482_1307
ko:K00931	lmz:LMOSLCC2482_1308
ko:K03545	lmz:LMOSLCC2482_1316
ko:K03544	lmz:LMOSLCC2482_1317
ko:K03100	lmz:LMOSLCC2482_1318
ko:K03100	lmz:LMOSLCC2482_1319
ko:K03100	lmz:LMOSLCC2482_1320
ko:K14540	lmz:LMOSLCC2482_1321
ko:K03470	lmz:LMOSLCC2482_1322
ko:K04096	lmz:LMOSLCC2482_1323
ko:K03168	lmz:LMOSLCC2482_1324
ko:K04094	lmz:LMOSLCC2482_1325
ko:K03733	lmz:LMOSLCC2482_1326
ko:K01419	lmz:LMOSLCC2482_1327
ko:K03667	lmz:LMOSLCC2482_1328
ko:K03706	lmz:LMOSLCC2482_1329
ko:K07107	lmz:LMOSLCC2482_1330
ko:K08591	lmz:LMOSLCC2482_1333
ko:K02622	lmz:LMOSLCC2482_1335
ko:K02621	lmz:LMOSLCC2482_1336
ko:K07173	lmz:LMOSLCC2482_1337
ko:K01126	lmz:LMOSLCC2482_1342
ko:K00111	lmz:LMOSLCC2482_1343
ko:K00791	lmz:LMOSLCC2482_1345
ko:K03666	lmz:LMOSLCC2482_1346
ko:K03665	lmz:LMOSLCC2482_1347
ko:K01915	lmz:LMOSLCC2482_1351
ko:K03893	lmz:LMOSLCC2482_1352
ko:K01356	lmz:LMOSLCC2482_1354
ko:K00615	lmz:LMOSLCC2482_1357
ko:K09903	lmz:LMOSLCC2482_1364
ko:K02838	lmz:LMOSLCC2482_1365
ko:K00806	lmz:LMOSLCC2482_1366
ko:K00981	lmz:LMOSLCC2482_1367
ko:K00099	lmz:LMOSLCC2482_1368
ko:K11749	lmz:LMOSLCC2482_1369
ko:K01881	lmz:LMOSLCC2482_1370
ko:K03763	lmz:LMOSLCC2482_1372
ko:K09748	lmz:LMOSLCC2482_1373
ko:K02600	lmz:LMOSLCC2482_1374
ko:K07742	lmz:LMOSLCC2482_1375
ko:K02519	lmz:LMOSLCC2482_1377
ko:K02834	lmz:LMOSLCC2482_1379
ko:K11753	lmz:LMOSLCC2482_1381
ko:K02956	lmz:LMOSLCC2482_1382
ko:K00962	lmz:LMOSLCC2482_1383
ko:K06949	lmz:LMOSLCC2482_1384
ko:K02913	lmz:LMOSLCC2482_1387
ko:K02247	lmz:LMOSLCC2482_1395
ko:K00605	lmz:LMOSLCC2482_1400
ko:K00282	lmz:LMOSLCC2482_1401
ko:K00283	lmz:LMOSLCC2482_1402
ko:K02356	lmz:LMOSLCC2482_1407
ko:K02160	lmz:LMOSLCC2482_1408
ko:K01961	lmz:LMOSLCC2482_1409
ko:K03625	lmz:LMOSLCC2482_1411
ko:K01491	lmz:LMOSLCC2482_1412
ko:K03601	lmz:LMOSLCC2482_1413
ko:K03602	lmz:LMOSLCC2482_1414
ko:K13789	lmz:LMOSLCC2482_1415
ko:K03704	lmz:LMOSLCC2482_1416
ko:K01662	lmz:LMOSLCC2482_1417
ko:K06442	lmz:LMOSLCC2482_1418
ko:K03402	lmz:LMOSLCC2482_1419
ko:K03631	lmz:LMOSLCC2482_1420
ko:K00382	lmz:LMOSLCC2482_1423
ko:K00166	lmz:LMOSLCC2482_1424
ko:K00167	lmz:LMOSLCC2482_1425
ko:K09699	lmz:LMOSLCC2482_1426
ko:K03217	lmz:LMOSLCC2482_1432
ko:K01512	lmz:LMOSLCC2482_1434
ko:K07146	lmz:LMOSLCC2482_1437
ko:K03466	lmz:LMOSLCC2482_1439
ko:K00286	lmz:LMOSLCC2482_1440
ko:K07335	lmz:LMOSLCC2482_1442
ko:K02057	lmz:LMOSLCC2482_1444
ko:K02057	lmz:LMOSLCC2482_1445
ko:K00995	lmz:LMOSLCC2482_1450
ko:K03823	lmz:LMOSLCC2482_1454
ko:K09769	lmz:LMOSLCC2482_1455
ko:K03555	lmz:LMOSLCC2482_1457
ko:K03572	lmz:LMOSLCC2482_1458
ko:K00656	lmz:LMOSLCC2482_1460
ko:K04069	lmz:LMOSLCC2482_1461
ko:K07727	lmz:LMOSLCC2482_1465
ko:K00075	lmz:LMOSLCC2482_1475
ko:K05847	lmz:LMOSLCC2482_1476
ko:K03322	lmz:LMOSLCC2482_1479
ko:K05846	lmz:LMOSLCC2482_1480
ko:K05845	lmz:LMOSLCC2482_1481
ko:K05846	lmz:LMOSLCC2482_1482
ko:K05847	lmz:LMOSLCC2482_1483
ko:K01714	lmz:LMOSLCC2482_1490
ko:K00928	lmz:LMOSLCC2482_1491
ko:K00133	lmz:LMOSLCC2482_1492
ko:K04564	lmz:LMOSLCC2482_1494
ko:K09816	lmz:LMOSLCC2482_1501
ko:K09817	lmz:LMOSLCC2482_1502
ko:K01151	lmz:LMOSLCC2482_1504
ko:K03527	lmz:LMOSLCC2482_1506
ko:K06967	lmz:LMOSLCC2482_1508
ko:K03086	lmz:LMOSLCC2482_1509
ko:K09768	lmz:LMOSLCC2482_1511
ko:K09773	lmz:LMOSLCC2482_1512
ko:K01879	lmz:LMOSLCC2482_1513
ko:K01878	lmz:LMOSLCC2482_1514
ko:K03584	lmz:LMOSLCC2482_1515
ko:K07042	lmz:LMOSLCC2482_1520
ko:K07037	lmz:LMOSLCC2482_1521
ko:K09117	lmz:LMOSLCC2482_1523
ko:K02970	lmz:LMOSLCC2482_1524
ko:K09761	lmz:LMOSLCC2482_1525
ko:K02687	lmz:LMOSLCC2482_1526
ko:K03686	lmz:LMOSLCC2482_1527
ko:K04043	lmz:LMOSLCC2482_1528
ko:K03687	lmz:LMOSLCC2482_1529
ko:K03705	lmz:LMOSLCC2482_1530
ko:K03596	lmz:LMOSLCC2482_1534
ko:K02968	lmz:LMOSLCC2482_1535
ko:K02340	lmz:LMOSLCC2482_1536
ko:K02237	lmz:LMOSLCC2482_1539
ko:K09710	lmz:LMOSLCC2482_1541
ko:K00969	lmz:LMOSLCC2482_1543
ko:K07574	lmz:LMOSLCC2482_1544
ko:K00014	lmz:LMOSLCC2482_1545
ko:K07015	lmz:LMOSLCC2482_1547
ko:K03624	lmz:LMOSLCC2482_1551
ko:K00876	lmz:LMOSLCC2482_1552
ko:K07082	lmz:LMOSLCC2482_1554
ko:K07447	lmz:LMOSLCC2482_1557
ko:K01872	lmz:LMOSLCC2482_1559
ko:K02003	lmz:LMOSLCC2482_1560
ko:K03581	lmz:LMOSLCC2482_1564
ko:K00566	lmz:LMOSLCC2482_1567
ko:K04487	lmz:LMOSLCC2482_1568
ko:K07478	lmz:LMOSLCC2482_1569
ko:K03320	lmz:LMOSLCC2482_1571
ko:K04751	lmz:LMOSLCC2482_1572
ko:K01876	lmz:LMOSLCC2482_1574
ko:K01892	lmz:LMOSLCC2482_1575
ko:K01448	lmz:LMOSLCC2482_1576
ko:K07560	lmz:LMOSLCC2482_1577
ko:K00759	lmz:LMOSLCC2482_1579
ko:K07462	lmz:LMOSLCC2482_1580
ko:K12257	lmz:LMOSLCC2482_1582
ko:K03210	lmz:LMOSLCC2482_1584
ko:K03924	lmz:LMOSLCC2482_0459
ko:K09703	lmz:LMOSLCC2482_0462
ko:K06885	lmz:LMOSLCC2482_0471
ko:K06941	lmz:LMOSLCC2482_0476
ko:K13653	lmz:LMOSLCC2482_0477
ko:K02911	lmz:LMOSLCC2482_0482
ko:K00014	lmz:LMOSLCC2482_0486
ko:K03785	lmz:LMOSLCC2482_0487
ko:K06978	lmz:LMOSLCC2482_0489
ko:K01808	lmz:LMOSLCC2482_0494
ko:K01783	lmz:LMOSLCC2482_0495
ko:K02773	lmz:LMOSLCC2482_0499
ko:K01783	lmz:LMOSLCC2482_0501
ko:K02774	lmz:LMOSLCC2482_0503
ko:K00948	lmz:LMOSLCC2482_0505
ko:K07282	lmz:LMOSLCC2482_0512
ko:K15342	lmz:LMOSLCC2482_0519
ko:K08987	lmz:LMOSLCC2482_0521
ko:K07166	lmz:LMOSLCC2482_0535
ko:K09157	lmz:LMOSLCC2482_0536
ko:K02083	lmz:LMOSLCC2482_0539
ko:K02016	lmz:LMOSLCC2482_0543
ko:K02781	lmz:LMOSLCC2482_0544
ko:K08325	lmz:LMOSLCC2482_0556
ko:K03305	lmz:LMOSLCC2482_0557
ko:K00262	lmz:LMOSLCC2482_0562
ko:K02500	lmz:LMOSLCC2482_0565
ko:K01814	lmz:LMOSLCC2482_0566
ko:K02501	lmz:LMOSLCC2482_0567
ko:K01693	lmz:LMOSLCC2482_0568
ko:K00013	lmz:LMOSLCC2482_0569
ko:K00765	lmz:LMOSLCC2482_0570
ko:K02502	lmz:LMOSLCC2482_0571
ko:K04486	lmz:LMOSLCC2482_0572
ko:K07443	lmz:LMOSLCC2482_0573
ko:K06901	lmz:LMOSLCC2482_0575
ko:K01223	lmz:LMOSLCC2482_0576
ko:K06999	lmz:LMOSLCC2482_0582
ko:K06969	lmz:LMOSLCC2482_0583
ko:K03070	lmz:LMOSLCC2482_0585
ko:K01669	lmz:LMOSLCC2482_0590
ko:K00641	lmz:LMOSLCC2482_0596
ko:K01740	lmz:LMOSLCC2482_0597
ko:K03523	lmz:LMOSLCC2482_0600
ko:K01118	lmz:LMOSLCC2482_0613
ko:K01126	lmz:LMOSLCC2482_0618
ko:K07090	lmz:LMOSLCC2482_0623
ko:K11203	lmz:LMOSLCC2482_0635
ko:K11202	lmz:LMOSLCC2482_0636
ko:K03088	lmz:LMOSLCC2482_0662
ko:K01534	lmz:LMOSLCC2482_0693
ko:K03284	lmz:LMOSLCC2482_0700
ko:K01421	lmz:LMOSLCC2482_0702
ko:K08976	lmz:LMOSLCC2482_0708
ko:K00868	lmz:LMOSLCC2482_0717
ko:K02419	lmz:LMOSLCC2482_0732
ko:K02420	lmz:LMOSLCC2482_0733
ko:K02421	lmz:LMOSLCC2482_0734
ko:K02401	lmz:LMOSLCC2482_0735
ko:K02400	lmz:LMOSLCC2482_0736
ko:K02404	lmz:LMOSLCC2482_0737
ko:K02392	lmz:LMOSLCC2482_0738
ko:K02556	lmz:LMOSLCC2482_0741
ko:K02557	lmz:LMOSLCC2482_0742
ko:K03415	lmz:LMOSLCC2482_0745
ko:K02406	lmz:LMOSLCC2482_0746
ko:K03413	lmz:LMOSLCC2482_0747
ko:K03407	lmz:LMOSLCC2482_0748
ko:K02417	lmz:LMOSLCC2482_0749
ko:K02389	lmz:LMOSLCC2482_0752
ko:K02390	lmz:LMOSLCC2482_0753
ko:K02417	lmz:LMOSLCC2482_0754
ko:K02416	lmz:LMOSLCC2482_0755
ko:K02417	lmz:LMOSLCC2482_0756
ko:K09770	lmz:LMOSLCC2482_0759
ko:K02396	lmz:LMOSLCC2482_0761
ko:K02397	lmz:LMOSLCC2482_0762
ko:K02407	lmz:LMOSLCC2482_0763
ko:K02422	lmz:LMOSLCC2482_0764
ko:K02387	lmz:LMOSLCC2482_0766
ko:K02388	lmz:LMOSLCC2482_0767
ko:K02408	lmz:LMOSLCC2482_0768
ko:K02409	lmz:LMOSLCC2482_0769
ko:K02410	lmz:LMOSLCC2482_0770
ko:K02411	lmz:LMOSLCC2482_0771
ko:K02412	lmz:LMOSLCC2482_0772
ko:K00820	lmz:LMOSLCC2482_0782
ko:K07726	lmz:LMOSLCC2482_0789
ko:K15975	lmz:LMOSLCC2482_0803
ko:K06999	lmz:LMOSLCC2482_0804
ko:K03665	lmz:LMOSLCC2482_0806
ko:K03800	lmz:LMOSLCC2482_0808
ko:K01118	lmz:LMOSLCC2482_0829
ko:K11737	lmz:LMOSLCC2482_0830
ko:K07150	lmz:LMOSLCC2482_0837
ko:K07118	lmz:LMOSLCC2482_0838
ko:K05786	lmz:LMOSLCC2482_0839
ko:K11733	lmz:LMOSLCC2482_0842
ko:K00847	lmz:LMOSLCC2482_0856
ko:K03324	lmz:LMOSLCC2482_0869
ko:K03737	lmz:LMOSLCC2482_0870
ko:K04041	lmz:LMOSLCC2482_0871
ko:K07088	lmz:LMOSLCC2482_0872
ko:K13256	lmz:LMOSLCC2482_0877
ko:K01921	lmz:LMOSLCC2482_0896
ko:K01929	lmz:LMOSLCC2482_0897
ko:K02529	lmz:LMOSLCC2482_0899
ko:K05592	lmz:LMOSLCC2482_0908
ko:K02759	lmz:LMOSLCC2482_0916
ko:K02760	lmz:LMOSLCC2482_0917
ko:K02761	lmz:LMOSLCC2482_0918
ko:K00231	lmz:LMOSLCC2482_0927
ko:K00997	lmz:LMOSLCC2482_0928
ko:K01775	lmz:LMOSLCC2482_0929
ko:K07723	lmz:LMOSLCC2482_0930
ko:K03321	lmz:LMOSLCC2482_0940
ko:K06959	lmz:LMOSLCC2482_0941
ko:K02761	lmz:LMOSLCC2482_0947
ko:K02760	lmz:LMOSLCC2482_0960
ko:K02761	lmz:LMOSLCC2482_0961
ko:K02759	lmz:LMOSLCC2482_0962
ko:K01223	lmz:LMOSLCC2482_0963
ko:K07089	lmz:LMOSLCC2482_0966
ko:K03652	lmz:LMOSLCC2482_0973
ko:K03800	lmz:LMOSLCC2482_0976
ko:K03216	lmz:LMOSLCC2482_0981
ko:K04079	lmz:LMOSLCC2482_0987
ko:K04047	lmz:LMOSLCC2482_0988
ko:K03449	lmz:LMOSLCC2482_0992
ko:K01443	lmz:LMOSLCC2482_1001
ko:K03710	lmz:LMOSLCC2482_1003
ko:K08303	lmz:LMOSLCC2482_1006
ko:K03744	lmz:LMOSLCC2482_1007
ko:K03799	lmz:LMOSLCC2482_1008
ko:K00858	lmz:LMOSLCC2482_1014
ko:K06180	lmz:LMOSLCC2482_1015
ko:K00208	lmz:LMOSLCC2482_1016
ko:K03740	lmz:LMOSLCC2482_1017
ko:K14188	lmz:LMOSLCC2482_1018
ko:K03739	lmz:LMOSLCC2482_1019
ko:K03367	lmz:LMOSLCC2482_1020
ko:K01807	lmz:LMOSLCC2482_1022
ko:K00826	lmz:LMOSLCC2482_1025
ko:K00432	lmz:LMOSLCC2482_1030
ko:K02837	lmz:LMOSLCC2482_1035
ko:K05823	lmz:LMOSLCC2482_1059
ko:K02000	lmz:LMOSLCC2482_1061
ko:K02001	lmz:LMOSLCC2482_1062
ko:K02002	lmz:LMOSLCC2482_1063
ko:K00243	lmz:LMOSLCC2482_1066
ko:K11622	lmz:LMOSLCC2482_1067
ko:K02529	lmz:LMOSLCC2482_1077
ko:K00615	lmz:LMOSLCC2482_1079
ko:K00615	lmz:LMOSLCC2482_1080
ko:K00864	lmz:LMOSLCC2482_1081
ko:K03752	lmz:LMOSLCC2482_1085
ko:K02018	lmz:LMOSLCC2482_1087
ko:K02020	lmz:LMOSLCC2482_1088
ko:K03750	lmz:LMOSLCC2482_1089
ko:K03753	lmz:LMOSLCC2482_1090
ko:K03636	lmz:LMOSLCC2482_1092
ko:K03637	lmz:LMOSLCC2482_1093
ko:K03639	lmz:LMOSLCC2482_1094
ko:K03638	lmz:LMOSLCC2482_1095
ko:K01462	lmz:LMOSLCC2482_1098
ko:K00161	lmz:LMOSLCC2482_1099
ko:K00162	lmz:LMOSLCC2482_1100
ko:K00627	lmz:LMOSLCC2482_1101
ko:K00382	lmz:LMOSLCC2482_1102
ko:K03284	lmz:LMOSLCC2482_1107
ko:K06207	lmz:LMOSLCC2482_1110
ko:K03588	lmz:LMOSLCC2482_1114
ko:K02016	lmz:LMOSLCC2482_1116
ko:K00963	lmz:LMOSLCC2482_1121
ko:K01839	lmz:LMOSLCC2482_2017
ko:K02015	lmz:LMOSLCC2482_2020
ko:K02015	lmz:LMOSLCC2482_2021
ko:K02016	lmz:LMOSLCC2482_2022
ko:K02013	lmz:LMOSLCC2482_2023
ko:K02346	lmz:LMOSLCC2482_2031
ko:K07124	lmz:LMOSLCC2482_2032
ko:K00036	lmz:LMOSLCC2482_2034
ko:K01687	lmz:LMOSLCC2482_2039
ko:K01652	lmz:LMOSLCC2482_2040
ko:K01653	lmz:LMOSLCC2482_2041
ko:K00053	lmz:LMOSLCC2482_2042
ko:K01649	lmz:LMOSLCC2482_2043
ko:K00052	lmz:LMOSLCC2482_2044
ko:K01703	lmz:LMOSLCC2482_2045
ko:K01704	lmz:LMOSLCC2482_2046
ko:K01754	lmz:LMOSLCC2482_2047
ko:K01575	lmz:LMOSLCC2482_2048
