ko:K11741	lrg:LRHM_2681
ko:K03210	lrg:LRHM_0734
ko:K04072	lrg:LRHM_0735
ko:K00036	lrg:LRHM_0737
ko:K02346	lrg:LRHM_0738
ko:K01872	lrg:LRHM_0744
ko:K07447	lrg:LRHM_0747
ko:K09888	lrg:LRHM_0749
ko:K07456	lrg:LRHM_0751
ko:K03671	lrg:LRHM_0752
ko:K03367	lrg:LRHM_0754
ko:K03739	lrg:LRHM_0755
ko:K14188	lrg:LRHM_0756
ko:K03740	lrg:LRHM_0757
ko:K07095	lrg:LRHM_0760
ko:K02440	lrg:LRHM_0761
ko:K15738	lrg:LRHM_1340
ko:K11068	lrg:LRHM_1343
ko:K03797	lrg:LRHM_1349
ko:K14540	lrg:LRHM_1353
ko:K03470	lrg:LRHM_1354
ko:K04096	lrg:LRHM_1355
ko:K03168	lrg:LRHM_1356
ko:K04094	lrg:LRHM_1357
ko:K03733	lrg:LRHM_1358
ko:K01419	lrg:LRHM_1359
ko:K03667	lrg:LRHM_1360
ko:K08591	lrg:LRHM_1362
ko:K02622	lrg:LRHM_1363
ko:K02621	lrg:LRHM_1364
ko:K00656	lrg:LRHM_1365
ko:K04069	lrg:LRHM_1366
ko:K02003	lrg:LRHM_1371
ko:K00817	lrg:LRHM_1379
ko:K02500	lrg:LRHM_1382
ko:K01814	lrg:LRHM_1383
ko:K02501	lrg:LRHM_1384
ko:K01693	lrg:LRHM_1385
ko:K00013	lrg:LRHM_1386
ko:K00765	lrg:LRHM_1387
ko:K02502	lrg:LRHM_1388
ko:K00817	lrg:LRHM_1389
ko:K02529	lrg:LRHM_0770
ko:K03524	lrg:LRHM_0773
ko:K01126	lrg:LRHM_0775
ko:K03975	lrg:LRHM_0784
ko:K03091	lrg:LRHM_0789
ko:K13678	lrg:LRHM_0792
ko:K00762	lrg:LRHM_1396
ko:K01591	lrg:LRHM_1397
ko:K01955	lrg:LRHM_1399
ko:K01956	lrg:LRHM_1400
ko:K01465	lrg:LRHM_1401
ko:K00609	lrg:LRHM_1402
ko:K02825	lrg:LRHM_1404
ko:K06180	lrg:LRHM_1406
ko:K03101	lrg:LRHM_1407
ko:K01938	lrg:LRHM_1408
ko:K07078	lrg:LRHM_1411
ko:K06131	lrg:LRHM_1412
ko:K00789	lrg:LRHM_0800
ko:K01869	lrg:LRHM_0806
ko:K00432	lrg:LRHM_0814
ko:K14155	lrg:LRHM_0815
ko:K07166	lrg:LRHM_0818
ko:K09157	lrg:LRHM_0819
ko:K00858	lrg:LRHM_0824
ko:K06180	lrg:LRHM_0825
ko:K03734	lrg:LRHM_0826
ko:K06153	lrg:LRHM_0828
ko:K02781	lrg:LRHM_0830
ko:K02954	lrg:LRHM_0831
ko:K00364	lrg:LRHM_0832
ko:K03284	lrg:LRHM_0833
ko:K00563	lrg:LRHM_0834
ko:K03216	lrg:LRHM_0835
ko:K03466	lrg:LRHM_0839
ko:K00995	lrg:LRHM_0844
ko:K03070	lrg:LRHM_0855
ko:K02836	lrg:LRHM_0856
ko:K09812	lrg:LRHM_0857
ko:K09811	lrg:LRHM_0858
ko:K07636	lrg:LRHM_0862
ko:K02040	lrg:LRHM_0863
ko:K02037	lrg:LRHM_0864
ko:K02038	lrg:LRHM_0865
ko:K02036	lrg:LRHM_0866
ko:K02036	lrg:LRHM_0867
ko:K02039	lrg:LRHM_0868
ko:K08972	lrg:LRHM_0873
ko:K13292	lrg:LRHM_0875
ko:K00057	lrg:LRHM_0876
ko:K00384	lrg:LRHM_0877
ko:K07023	lrg:LRHM_0879
ko:K03702	lrg:LRHM_0880
ko:K03701	lrg:LRHM_0881
ko:K01126	lrg:LRHM_1726
ko:K02003	lrg:LRHM_1732
ko:K01945	lrg:LRHM_1739
ko:K00602	lrg:LRHM_1740
ko:K11175	lrg:LRHM_1741
ko:K01933	lrg:LRHM_1742
ko:K00764	lrg:LRHM_1743
ko:K01952	lrg:LRHM_1744
ko:K01952	lrg:LRHM_1745
ko:K01952	lrg:LRHM_1746
ko:K01923	lrg:LRHM_1747
ko:K01589	lrg:LRHM_1748
ko:K01588	lrg:LRHM_1749
ko:K02837	lrg:LRHM_1759
ko:K03565	lrg:LRHM_1765
ko:K02781	lrg:LRHM_2610
ko:K03710	lrg:LRHM_2631
ko:K02774	lrg:LRHM_2648
ko:K02773	lrg:LRHM_2649
ko:K03828	lrg:LRHM_2652
ko:K00763	lrg:LRHM_2659
ko:K01126	lrg:LRHM_2660
ko:K06958	lrg:LRHM_0884
ko:K01358	lrg:LRHM_0888
ko:K05311	lrg:LRHM_0889
ko:K00134	lrg:LRHM_0890
ko:K00927	lrg:LRHM_0891
ko:K01803	lrg:LRHM_0892
ko:K01689	lrg:LRHM_0893
ko:K03075	lrg:LRHM_0897
ko:K03928	lrg:LRHM_0898
ko:K12573	lrg:LRHM_0899
ko:K03664	lrg:LRHM_0900
ko:K03648	lrg:LRHM_0915
ko:K06925	lrg:LRHM_0917
ko:K02313	lrg:LRHM_0001
ko:K02338	lrg:LRHM_0002
ko:K03629	lrg:LRHM_0004
ko:K02470	lrg:LRHM_0005
ko:K02469	lrg:LRHM_0006
ko:K02990	lrg:LRHM_0010
ko:K02963	lrg:LRHM_0012
ko:K05520	lrg:LRHM_0014
ko:K00425	lrg:LRHM_0015
ko:K03320	lrg:LRHM_0030
ko:K02003	lrg:LRHM_0034
ko:K07090	lrg:LRHM_0038
ko:K08659	lrg:LRHM_0042
ko:K01195	lrg:LRHM_0050
ko:K01625	lrg:LRHM_0052
ko:K00874	lrg:LRHM_0053
ko:K01812	lrg:LRHM_0054
ko:K01812	lrg:LRHM_0055
ko:K01686	lrg:LRHM_0056
ko:K00874	lrg:LRHM_0060
ko:K01142	lrg:LRHM_0921
ko:K00075	lrg:LRHM_0923
ko:K03431	lrg:LRHM_0939
ko:K00820	lrg:LRHM_0940
ko:K07407	lrg:LRHM_0957
ko:K06209	lrg:LRHM_0964
ko:K10804	lrg:LRHM_0970
ko:K03657	lrg:LRHM_0973
ko:K01972	lrg:LRHM_0974
ko:K02435	lrg:LRHM_0976
ko:K07090	lrg:LRHM_0070
ko:K12960	lrg:LRHM_0071
ko:K05846	lrg:LRHM_0075
ko:K05845	lrg:LRHM_0076
ko:K05846	lrg:LRHM_0077
ko:K05847	lrg:LRHM_0078
ko:K01534	lrg:LRHM_0082
ko:K01695	lrg:LRHM_0098
ko:K01696	lrg:LRHM_0099
ko:K01817	lrg:LRHM_0100
ko:K01609	lrg:LRHM_0101
ko:K00766	lrg:LRHM_0102
ko:K01790	lrg:LRHM_0107
ko:K00215	lrg:LRHM_0108
ko:K01714	lrg:LRHM_0109
ko:K05823	lrg:LRHM_0110
ko:K01586	lrg:LRHM_0112
ko:K00928	lrg:LRHM_0113
ko:K01778	lrg:LRHM_0114
ko:K00133	lrg:LRHM_0115
ko:K02434	lrg:LRHM_0978
ko:K03215	lrg:LRHM_0980
ko:K02759	lrg:LRHM_0997
ko:K03654	lrg:LRHM_1001
ko:K07058	lrg:LRHM_1005
ko:K01265	lrg:LRHM_1007
ko:K00963	lrg:LRHM_1014
ko:K01223	lrg:LRHM_1016
ko:K03704	lrg:LRHM_1024
ko:K03816	lrg:LRHM_1028
ko:K01589	lrg:LRHM_1030
ko:K01756	lrg:LRHM_1031
ko:K02939	lrg:LRHM_0122
ko:K07106	lrg:LRHM_0126
ko:K02003	lrg:LRHM_0130
ko:K01939	lrg:LRHM_0133
ko:K01534	lrg:LRHM_0135
ko:K01921	lrg:LRHM_0148
ko:K03778	lrg:LRHM_0158
ko:K02760	lrg:LRHM_0159
ko:K02761	lrg:LRHM_0162
ko:K01223	lrg:LRHM_0163
ko:K03489	lrg:LRHM_0164
ko:K08987	lrg:LRHM_0166
ko:K06901	lrg:LRHM_0168
ko:K15551	lrg:LRHM_0173
ko:K15552	lrg:LRHM_0174
ko:K07112	lrg:LRHM_0176
ko:K01810	lrg:LRHM_1037
ko:K15975	lrg:LRHM_0178
ko:K07478	lrg:LRHM_0189
ko:K00925	lrg:LRHM_0190
ko:K01624	lrg:LRHM_0193
ko:K15580	lrg:LRHM_0201
ko:K06872	lrg:LRHM_0214
ko:K07090	lrg:LRHM_0215
ko:K07006	lrg:LRHM_0224
ko:K01304	lrg:LRHM_0233
ko:K03501	lrg:LRHM_0238
ko:K08659	lrg:LRHM_1106
ko:K01928	lrg:LRHM_1115
ko:K02835	lrg:LRHM_1118
ko:K02493	lrg:LRHM_1119
ko:K07566	lrg:LRHM_1120
ko:K00600	lrg:LRHM_1122
ko:K00761	lrg:LRHM_1123
ko:K02108	lrg:LRHM_1125
ko:K02110	lrg:LRHM_1126
ko:K02109	lrg:LRHM_1127
ko:K02113	lrg:LRHM_1128
ko:K02111	lrg:LRHM_1129
ko:K02115	lrg:LRHM_1130
ko:K02112	lrg:LRHM_1131
ko:K02114	lrg:LRHM_1132
ko:K03569	lrg:LRHM_1134
ko:K08998	lrg:LRHM_1136
ko:K05837	lrg:LRHM_1138
ko:K02437	lrg:LRHM_1139
ko:K02073	lrg:LRHM_1142
ko:K02073	lrg:LRHM_1143
ko:K02071	lrg:LRHM_1144
ko:K02072	lrg:LRHM_1145
ko:K09013	lrg:LRHM_1146
ko:K09015	lrg:LRHM_1147
ko:K11717	lrg:LRHM_1148
ko:K09014	lrg:LRHM_1150
ko:K06942	lrg:LRHM_0243
ko:K03624	lrg:LRHM_0252
ko:K01928	lrg:LRHM_0253
ko:K01779	lrg:LRHM_0254
ko:K06608	lrg:LRHM_0256
ko:K00140	lrg:LRHM_0258
ko:K03337	lrg:LRHM_0259
ko:K03338	lrg:LRHM_0260
ko:K03336	lrg:LRHM_0261
ko:K03335	lrg:LRHM_0264
ko:K06606	lrg:LRHM_0267
ko:K06605	lrg:LRHM_0268
ko:K08602	lrg:LRHM_0285
ko:K03311	lrg:LRHM_0287
ko:K03100	lrg:LRHM_0293
ko:K07478	lrg:LRHM_1158
ko:K01919	lrg:LRHM_1159
ko:K01752	lrg:LRHM_1162
ko:K01752	lrg:LRHM_1163
ko:K03811	lrg:LRHM_1167
ko:K04486	lrg:LRHM_1169
ko:K15580	lrg:LRHM_1170
ko:K07693	lrg:LRHM_1183
ko:K07778	lrg:LRHM_1184
ko:K10831	lrg:LRHM_0172
ko:K11051	lrg:LRHM_0600
ko:K03322	lrg:LRHM_2322
ko:K16786	lrg:LRHM_0352
ko:K16787	lrg:LRHM_0352
ko:K01834	lrg:LRHM_2055
ko:K16210	lrg:LRHM_2344
ko:K16509	lrg:LRHM_1728
ko:K03699	lrg:LRHM_1760
ko:K01834	lrg:LRHM_2263
ko:K16511	lrg:LRHM_1727
ko:K01838	lrg:LRHM_0903
ko:K11733	lrg:LRHM_1820
ko:K16264	lrg:LRHM_2464
ko:K01223	lrg:LRHM_2566
ko:K02769	lrg:LRHM_0382
ko:K16785	lrg:LRHM_0417
ko:K15583	lrg:LRHM_1864
ko:K15583	lrg:LRHM_1984
ko:K03386	lrg:LRHM_2399
ko:K02236	lrg:LRHM_2404
ko:K03708	lrg:LRHM_2408
ko:K03048	lrg:LRHM_2449
ko:K09685	lrg:LRHM_2461
ko:K01635	lrg:LRHM_2472
ko:K06147	lrg:LRHM_2477
ko:K06147	lrg:LRHM_2478
ko:K00016	lrg:LRHM_2421
ko:K07729	lrg:LRHM_2479
ko:K01259	lrg:LRHM_2483
ko:K03574	lrg:LRHM_2486
ko:K00016	lrg:LRHM_2487
ko:K06910	lrg:LRHM_2492
ko:K00383	lrg:LRHM_2511
ko:K05845	lrg:LRHM_2513
ko:K05846	lrg:LRHM_2513
ko:K11041	lrg:LRHM_2517
ko:K07052	lrg:LRHM_2521
ko:K03469	lrg:LRHM_2533
ko:K00882	lrg:LRHM_2542
ko:K01206	lrg:LRHM_2546
ko:K02793	lrg:LRHM_2547
ko:K02794	lrg:LRHM_2547
ko:K02795	lrg:LRHM_2548
ko:K07533	lrg:LRHM_1716
ko:K03698	lrg:LRHM_1717
ko:K12555	lrg:LRHM_1719
ko:K02775	lrg:LRHM_2559
ko:K09704	lrg:LRHM_2568
ko:K15524	lrg:LRHM_2569
ko:K03492	lrg:LRHM_2573
ko:K01629	lrg:LRHM_2580
ko:K01813	lrg:LRHM_2581
ko:K06610	lrg:LRHM_2584
ko:K00055	lrg:LRHM_2586
ko:K01182	lrg:LRHM_2589
ko:K02004	lrg:LRHM_1731
ko:K08483	lrg:LRHM_1754
ko:K11189	lrg:LRHM_1755
ko:K03697	lrg:LRHM_1757
ko:K07586	lrg:LRHM_1764
ko:K00158	lrg:LRHM_1770
ko:K01641	lrg:LRHM_1771
ko:K00054	lrg:LRHM_1772
ko:K00626	lrg:LRHM_1773
ko:K02782	lrg:LRHM_2611
ko:K02783	lrg:LRHM_2611
ko:K02783	lrg:LRHM_2612
ko:K00068	lrg:LRHM_2615
ko:K02822	lrg:LRHM_2622
ko:K03475	lrg:LRHM_2623
ko:K02821	lrg:LRHM_2624
ko:K03476	lrg:LRHM_2625
ko:K01206	lrg:LRHM_2633
ko:K00854	lrg:LRHM_2636
ko:K02795	lrg:LRHM_2639
ko:K02793	lrg:LRHM_2641
ko:K02775	lrg:LRHM_2647
ko:K03095	lrg:LRHM_1782
ko:K05833	lrg:LRHM_1783
ko:K05832	lrg:LRHM_1784
ko:K01989	lrg:LRHM_1785
ko:K01916	lrg:LRHM_1790
ko:K01206	lrg:LRHM_1805
ko:K05815	lrg:LRHM_2663
ko:K05814	lrg:LRHM_2664
ko:K02795	lrg:LRHM_2673
ko:K01104	lrg:LRHM_2687
ko:K07652	lrg:LRHM_2705
ko:K07668	lrg:LRHM_2706
ko:K09963	lrg:LRHM_2712
ko:K05966	lrg:LRHM_1833
ko:K01571	lrg:LRHM_1835
ko:K01572	lrg:LRHM_1841
ko:K06988	lrg:LRHM_1848
ko:K15582	lrg:LRHM_1866
ko:K02795	lrg:LRHM_2727
ko:K02793	lrg:LRHM_2728
ko:K02794	lrg:LRHM_2728
ko:K09167	lrg:LRHM_2747
ko:K08981	lrg:LRHM_2748
ko:K00027	lrg:LRHM_2767
ko:K00867	lrg:LRHM_1893
ko:K03455	lrg:LRHM_1901
ko:K01259	lrg:LRHM_1902
ko:K01629	lrg:LRHM_1907
ko:K02004	lrg:LRHM_1908
ko:K01784	lrg:LRHM_1928
ko:K10041	lrg:LRHM_1932
ko:K02076	lrg:LRHM_1935
ko:K06889	lrg:LRHM_2799
ko:K02798	lrg:LRHM_2802
ko:K02799	lrg:LRHM_2804
ko:K02800	lrg:LRHM_2804
ko:K02564	lrg:LRHM_2805
ko:K02005	lrg:LRHM_2811
ko:K02004	lrg:LRHM_2813
ko:K08969	lrg:LRHM_2816
ko:K06346	lrg:LRHM_2830
ko:K00700	lrg:LRHM_1949
ko:K04086	lrg:LRHM_1956
ko:K01104	lrg:LRHM_1957
ko:K12997	lrg:LRHM_1967
ko:K01854	lrg:LRHM_1971
ko:K00059	lrg:LRHM_1979
ko:K15582	lrg:LRHM_1985
ko:K09963	lrg:LRHM_1995
ko:K02808	lrg:LRHM_2022
ko:K02809	lrg:LRHM_2022
ko:K02810	lrg:LRHM_2022
ko:K00059	lrg:LRHM_2035
ko:K02371	lrg:LRHM_2037
ko:K00158	lrg:LRHM_2062
ko:K07192	lrg:LRHM_2074
ko:K07035	lrg:LRHM_2076
ko:K00841	lrg:LRHM_2081
ko:K00805	lrg:LRHM_2099
ko:K02755	lrg:LRHM_2109
ko:K02756	lrg:LRHM_2109
ko:K02757	lrg:LRHM_2109
ko:K03488	lrg:LRHM_2110
ko:K09952	lrg:LRHM_2119
ko:K16012	lrg:LRHM_2120
ko:K16013	lrg:LRHM_2121
ko:K01488	lrg:LRHM_2125
ko:K01104	lrg:LRHM_2134
ko:K07052	lrg:LRHM_2154
ko:K01409	lrg:LRHM_2162
ko:K01424	lrg:LRHM_2168
ko:K00564	lrg:LRHM_2181
ko:K01361	lrg:LRHM_2185
ko:K07533	lrg:LRHM_2186
ko:K08161	lrg:LRHM_2189
ko:K00712	lrg:LRHM_2196
ko:K00135	lrg:LRHM_2197
ko:K00805	lrg:LRHM_2221
ko:K00805	lrg:LRHM_2222
ko:K06988	lrg:LRHM_2232
ko:K09698	lrg:LRHM_2243
ko:K01372	lrg:LRHM_2255
ko:K01372	lrg:LRHM_2256
ko:K01006	lrg:LRHM_2261
ko:K10947	lrg:LRHM_2286
ko:K07706	lrg:LRHM_2297
ko:K01679	lrg:LRHM_2318
ko:K02077	lrg:LRHM_2335
ko:K02077	lrg:LRHM_2338
ko:K05989	lrg:LRHM_2345
ko:K02004	lrg:LRHM_2360
ko:K00939	lrg:LRHM_2375
ko:K02769	lrg:LRHM_0396
ko:K02794	lrg:LRHM_0090
ko:K02795	lrg:LRHM_0090
ko:K16169	lrg:LRHM_1029
ko:K01223	lrg:LRHM_0095
ko:K10823	lrg:LRHM_1983
ko:K05340	lrg:LRHM_1036
ko:K01989	lrg:LRHM_0666
ko:K00034	lrg:LRHM_2106
ko:K16786	lrg:LRHM_2367
ko:K02026	lrg:LRHM_0909
ko:K16787	lrg:LRHM_2366
ko:K02808	lrg:LRHM_0125
ko:K02809	lrg:LRHM_0125
ko:K02810	lrg:LRHM_0125
ko:K16785	lrg:LRHM_2365
ko:K15580	lrg:LRHM_1868
ko:K10823	lrg:LRHM_1863
ko:K16789	lrg:LRHM_1750
ko:K02768	lrg:LRHM_0381
ko:K02768	lrg:LRHM_0395
ko:K11050	lrg:LRHM_0601
ko:K02027	lrg:LRHM_0908
ko:K02027	lrg:LRHM_0316
ko:K15580	lrg:LRHM_2695
ko:K02075	lrg:LRHM_0282
ko:K02025	lrg:LRHM_0910
ko:K05816	lrg:LRHM_2665
ko:K16960	lrg:LRHM_0462
ko:K16959	lrg:LRHM_0464
ko:K02030	lrg:LRHM_1220
ko:K16957	lrg:LRHM_0463
ko:K16786	lrg:LRHM_0416
ko:K16787	lrg:LRHM_0416
ko:K01426	lrg:LRHM_2203
ko:K11991	lrg:LRHM_2179
ko:K15555	lrg:LRHM_2349
ko:K00951	lrg:LRHM_1506
ko:K00040	lrg:LRHM_0057
ko:K16785	lrg:LRHM_0353
ko:K10974	lrg:LRHM_2009
ko:K16925	lrg:LRHM_0351
ko:K16924	lrg:LRHM_0415
ko:K16898	lrg:LRHM_1436
ko:K16899	lrg:LRHM_1437
ko:K09951	lrg:LRHM_2117
ko:K03574	lrg:LRHM_2453
ko:K11070	lrg:LRHM_0928
ko:K02028	lrg:LRHM_1219
ko:K01977	lrg:LRHM_16SrRNA04
ko:K01977	lrg:LRHM_16SrRNA05
ko:K01977	lrg:LRHM_16SrRNA01
ko:K01977	lrg:LRHM_16SrRNA03
ko:K01977	lrg:LRHM_16SrRNA02
ko:K17195	lrg:LRHM_0385
ko:K01992	lrg:LRHM_2102
ko:K01990	lrg:LRHM_0568
ko:K02029	lrg:LRHM_1300
ko:K02030	lrg:LRHM_1300
ko:K02029	lrg:LRHM_2709
ko:K02030	lrg:LRHM_2709
ko:K02029	lrg:LRHM_2752
ko:K02030	lrg:LRHM_2752
ko:K02029	lrg:LRHM_2753
ko:K02030	lrg:LRHM_2753
ko:K10947	lrg:LRHM_1849
ko:K14227	lrg:LRHM_tRNA43
ko:K14227	lrg:LRHM_tRNA54
ko:K14227	lrg:LRHM_tRNA16
ko:K14234	lrg:LRHM_tRNA06
ko:K14218	lrg:LRHM_tRNA42
ko:K14218	lrg:LRHM_tRNA53
ko:K01990	lrg:LRHM_0918
ko:K01992	lrg:LRHM_0919
ko:K01992	lrg:LRHM_1712
ko:K01990	lrg:LRHM_0527
ko:K01990	lrg:LRHM_1861
ko:K01990	lrg:LRHM_0936
ko:K01990	lrg:LRHM_1713
ko:K01990	lrg:LRHM_2101
ko:K01990	lrg:LRHM_2104
ko:K02032	lrg:LRHM_1591
ko:K02028	lrg:LRHM_1301
ko:K02028	lrg:LRHM_2751
ko:K00265	lrg:LRHM_2429
ko:K01537	lrg:LRHM_1787
ko:K01537	lrg:LRHM_0440
ko:K14230	lrg:LRHM_tRNA12
ko:K14230	lrg:LRHM_tRNA19
ko:K17076	lrg:LRHM_2741
ko:K17073	lrg:LRHM_2740
ko:K17074	lrg:LRHM_2740
ko:K14230	lrg:LRHM_tRNA11
ko:K14234	lrg:LRHM_tRNA41
ko:K14234	lrg:LRHM_tRNA55
ko:K01980	lrg:LRHM_23SrRNA03
ko:K01980	lrg:LRHM_23SrRNA02
ko:K01980	lrg:LRHM_23SrRNA05
ko:K01980	lrg:LRHM_23SrRNA01
ko:K01980	lrg:LRHM_23SrRNA04
ko:K14232	lrg:LRHM_tRNA09
ko:K14228	lrg:LRHM_tRNA30
ko:K14225	lrg:LRHM_tRNA07
ko:K14225	lrg:LRHM_tRNA49
ko:K14225	lrg:LRHM_tRNA46
ko:K14224	lrg:LRHM_tRNA33
ko:K14236	lrg:LRHM_tRNA22
ko:K14236	lrg:LRHM_tRNA39
ko:K14228	lrg:LRHM_tRNA27
ko:K14218	lrg:LRHM_tRNA02
ko:K01992	lrg:LRHM_0026
ko:K01992	lrg:LRHM_1174
ko:K01992	lrg:LRHM_1185
ko:K01992	lrg:LRHM_1854
ko:K14219	lrg:LRHM_tRNA01
ko:K14223	lrg:LRHM_tRNA25
ko:K01985	lrg:LRHM_5SrRNA01
ko:K01985	lrg:LRHM_5SrRNA04
ko:K01985	lrg:LRHM_5SrRNA03
ko:K01985	lrg:LRHM_5SrRNA05
ko:K01985	lrg:LRHM_5SrRNA02
ko:K14218	lrg:LRHM_tRNA03
ko:K14237	lrg:LRHM_tRNA04
ko:K14237	lrg:LRHM_tRNA52
ko:K14237	lrg:LRHM_tRNA29
ko:K14229	lrg:LRHM_tRNA05
ko:K14229	lrg:LRHM_tRNA51
ko:K14225	lrg:LRHM_tRNA15
ko:K14225	lrg:LRHM_tRNA37
ko:K14219	lrg:LRHM_tRNA08
ko:K14219	lrg:LRHM_tRNA47
ko:K14219	lrg:LRHM_tRNA31
ko:K14219	lrg:LRHM_tRNA32
ko:K14219	lrg:LRHM_tRNA36
ko:K14230	lrg:LRHM_tRNA10
ko:K14221	lrg:LRHM_tRNA13
ko:K14221	lrg:LRHM_tRNA20
ko:K14231	lrg:LRHM_tRNA14
ko:K14231	lrg:LRHM_tRNA21
ko:K14233	lrg:LRHM_tRNA17
ko:K14233	lrg:LRHM_tRNA35
ko:K14224	lrg:LRHM_tRNA18
ko:K14224	lrg:LRHM_tRNA40
ko:K14220	lrg:LRHM_tRNA28
ko:K01533	lrg:LRHM_1737
ko:K14235	lrg:LRHM_tRNA23
ko:K14226	lrg:LRHM_tRNA24
ko:K14222	lrg:LRHM_tRNA26
ko:K14228	lrg:LRHM_tRNA48
ko:K14220	lrg:LRHM_tRNA44
ko:K14223	lrg:LRHM_tRNA34
ko:K14232	lrg:LRHM_tRNA45
ko:K14229	lrg:LRHM_tRNA56
ko:K14228	lrg:LRHM_tRNA38
ko:K14228	lrg:LRHM_tRNA50
ko:K10112	lrg:LRHM_0911
ko:K07284	lrg:LRHM_2060
ko:K07979	lrg:LRHM_2103
ko:K07979	lrg:LRHM_2158
ko:K12574	lrg:LRHM_0906
ko:K12574	lrg:LRHM_1258
ko:K17810	lrg:LRHM_2069
ko:K01791	lrg:LRHM_1915
ko:K02768	lrg:LRHM_0092
ko:K07284	lrg:LRHM_0425
ko:K17836	lrg:LRHM_2667
ko:K12574	lrg:LRHM_1286
ko:K17828	lrg:LRHM_1398
ko:K01187	lrg:LRHM_2024
ko:K07284	lrg:LRHM_2278
ko:K01101	lrg:LRHM_0782
ko:K03574	lrg:LRHM_0118
ko:K02794	lrg:LRHM_0401
ko:K01071	lrg:LRHM_2169
ko:K09017	lrg:LRHM_1855
ko:K17869	lrg:LRHM_0312
ko:K02770	lrg:LRHM_0397
ko:K02770	lrg:LRHM_0383
ko:K00104	lrg:LRHM_2241
ko:K02794	lrg:LRHM_0323
ko:K02794	lrg:LRHM_2640
ko:K02794	lrg:LRHM_2671
ko:K02795	lrg:LRHM_0324
ko:K15580	lrg:LRHM_0346
ko:K03475	lrg:LRHM_0388
ko:K09384	lrg:LRHM_0431
ko:K09384	lrg:LRHM_0432
ko:K11733	lrg:LRHM_0456
ko:K01220	lrg:LRHM_0630
ko:K03647	lrg:LRHM_0721
ko:K02759	lrg:LRHM_0160
ko:K02760	lrg:LRHM_2565
ko:K15524	lrg:LRHM_2571
ko:K01439	lrg:LRHM_1778
ko:K02027	lrg:LRHM_2743
ko:K00027	lrg:LRHM_2768
ko:K01791	lrg:LRHM_1914
ko:K00973	lrg:LRHM_1961
ko:K00973	lrg:LRHM_1963
ko:K07035	lrg:LRHM_2079
ko:K07459	lrg:LRHM_0434
ko:K01271	lrg:LRHM_0769
ko:K03328	lrg:LRHM_2418
ko:K03742	lrg:LRHM_0845
ko:K00105	lrg:LRHM_0622
ko:K02003	lrg:LRHM_1801
ko:K02004	lrg:LRHM_1801
ko:K03293	lrg:LRHM_0586
ko:K05910	lrg:LRHM_0475
ko:K01621	lrg:LRHM_0200
ko:K02031	lrg:LRHM_1592
ko:K06384	lrg:LRHM_2755
ko:K18672	lrg:LRHM_0937
ko:K18682	lrg:LRHM_0849
ko:K18692	lrg:LRHM_0741
ko:K18892	lrg:LRHM_0578
ko:K18891	lrg:LRHM_0577
ko:K07171	lrg:LRHM_2431
ko:K18929	lrg:LRHM_1991
ko:K18928	lrg:LRHM_1992
ko:K04940	lrg:LRHM_0461
ko:K03111	lrg:LRHM_0009
ko:K03111	lrg:LRHM_0011
ko:K03502	lrg:LRHM_0967
ko:K03111	lrg:LRHM_1056
ko:K03497	lrg:LRHM_0239
ko:K03496	lrg:LRHM_0240
ko:K03497	lrg:LRHM_0241
ko:K07029	lrg:LRHM_0979
ko:K07483	lrg:LRHM_1559
ko:K07483	lrg:LRHM_2591
ko:K07483	lrg:LRHM_2760
ko:K07483	lrg:LRHM_2356
ko:K19005	lrg:LRHM_0797
ko:K13052	lrg:LRHM_2416
ko:K18979	lrg:LRHM_2135
ko:K03741	lrg:LRHM_2661
ko:K19002	lrg:LRHM_0791
ko:K19005	lrg:LRHM_1034
ko:K07498	lrg:LRHM_0446
ko:K06609	lrg:LRHM_1752
ko:K02777	lrg:LRHM_2598
ko:K19225	lrg:LRHM_1641
ko:K07448	lrg:LRHM_1776
ko:K02476	lrg:LRHM_2770
ko:K02475	lrg:LRHM_2771
ko:K19157	lrg:LRHM_0477
ko:K01710	lrg:LRHM_1920
ko:K01710	lrg:LRHM_1959
ko:K05881	lrg:LRHM_0489
ko:K03339	lrg:LRHM_0265
ko:K00571	lrg:LRHM_0950
ko:K00020	lrg:LRHM_0284
ko:K01990	lrg:LRHM_0608
ko:K12952	lrg:LRHM_0713
ko:K19265	lrg:LRHM_2526
ko:K03722	lrg:LRHM_1435
ko:K07496	lrg:LRHM_2216
ko:K07497	lrg:LRHM_0438
ko:K07497	lrg:LRHM_1560
ko:K01992	lrg:LRHM_0935
ko:K07497	lrg:LRHM_2590
ko:K07497	lrg:LRHM_2761
ko:K07497	lrg:LRHM_2355
ko:K04771	lrg:LRHM_2700
ko:K08217	lrg:LRHM_1374
ko:K19302	lrg:LRHM_0805
ko:K19350	lrg:LRHM_0590
ko:K01992	lrg:LRHM_2230
ko:K06881	lrg:LRHM_0740
ko:K06881	lrg:LRHM_2676
ko:K00984	lrg:LRHM_0478
ko:K03483	lrg:LRHM_2803
ko:K02796	lrg:LRHM_2549
ko:K02796	lrg:LRHM_2638
ko:K02796	lrg:LRHM_2672
ko:K02796	lrg:LRHM_2726
ko:K02796	lrg:LRHM_0326
ko:K19689	lrg:LRHM_1002
ko:K16509	lrg:LRHM_1955
ko:K01223	lrg:LRHM_2108
ko:K07483	lrg:LRHM_0436
ko:K02538	lrg:LRHM_0379
