ko:K02030	kpu:KP1_2889
ko:K03469	kpu:KP1_1073
ko:K02342	kpu:KP1_1074
ko:K11249	kpu:KP1_1076
ko:K06445	kpu:KP1_1078
ko:K03271	kpu:KP1_1080
ko:K00346	kpu:KP1_1083
ko:K00347	kpu:KP1_1084
ko:K00348	kpu:KP1_1085
ko:K00349	kpu:KP1_1087
ko:K00350	kpu:KP1_1088
ko:K00351	kpu:KP1_1089
ko:K05952	kpu:KP1_1090
ko:K02346	kpu:KP1_1093
ko:K03830	kpu:KP1_1094
ko:K00769	kpu:KP1_1096
ko:K11750	kpu:KP1_1097
ko:K11926	kpu:KP1_1098
ko:K11735	kpu:KP1_1100
ko:K00135	kpu:KP1_1102
ko:K09982	kpu:KP1_1105
ko:K02775	kpu:KP1_1108
ko:K00880	kpu:KP1_1111
ko:K12974	kpu:KP1_2185
ko:K12979	kpu:KP1_4258
ko:K12975	kpu:KP1_5249
ko:K12962	kpu:KP1_5179
ko:K12963	kpu:KP1_5178
ko:K10440	kpu:KP1_1590
ko:K01460	kpu:KP1_4691
ko:K00906	kpu:KP1_0255
ko:K12972	kpu:KP1_4239
ko:K08172	kpu:KP1_3661
ko:K11892	kpu:KP1_3386
ko:K11905	kpu:KP1_3366
ko:K01708	kpu:KP1_4844
ko:K01246	kpu:KP1_5252
ko:K02505	kpu:KP1_0929
ko:K03649	kpu:KP1_4767
ko:K01176	kpu:KP1_5283
ko:K02029	kpu:KP1_2811
ko:K01470	kpu:KP1_3114
ko:K00433	kpu:KP1_3653
ko:K08154	kpu:KP1_5455
ko:K02477	kpu:KP1_3786
ko:K06183	kpu:KP1_3847
ko:K07687	kpu:KP1_3872
ko:K07677	kpu:KP1_3873
ko:K00568	kpu:KP1_3875
ko:K02517	kpu:KP1_1406
ko:K05373	kpu:KP1_3584
ko:K05372	kpu:KP1_3587
ko:K04785	kpu:KP1_3590
ko:K05374	kpu:KP1_3591
ko:K04783	kpu:KP1_3592
ko:K07733	kpu:KP1_3596
ko:K07790	kpu:KP1_3615
ko:K03201	kpu:KP1_3631
ko:K01854	kpu:KP1_3695
ko:K01840	kpu:KP1_3702
ko:K00971	kpu:KP1_3703
ko:K11754	kpu:KP1_3953
ko:K02477	kpu:KP1_3988
ko:K04028	kpu:KP1_4040
ko:K02010	kpu:KP1_1982
ko:K02058	kpu:KP1_0495
ko:K02056	kpu:KP1_0496
ko:K02057	kpu:KP1_0497
ko:K02057	kpu:KP1_0498
ko:K01631	kpu:KP1_0755
ko:K03484	kpu:KP1_1428
ko:K00130	kpu:KP1_1529
ko:K02056	kpu:KP1_1570
ko:K02057	kpu:KP1_1571
ko:K01485	kpu:KP1_1582
ko:K00058	kpu:KP1_1587
ko:K03386	kpu:KP1_1602
ko:K11085	kpu:KP1_1914
ko:K00615	kpu:KP1_2123
ko:K08324	kpu:KP1_2675
ko:K06138	kpu:KP1_2863
ko:K02824	kpu:KP1_4072
ko:K13301	kpu:KP1_0921
ko:K03895	kpu:KP1_p317
ko:K01730	kpu:KP1_4543
ko:K08344	kpu:KP1_4621
ko:K00058	kpu:KP1_4635
ko:K12410	kpu:KP1_2111
ko:K08970	kpu:KP1_1296
ko:K07679	kpu:KP1_4773
ko:K09979	kpu:KP1_4868
ko:K07724	kpu:KP1_4909
ko:K08485	kpu:KP1_4928
ko:K05540	kpu:KP1_4988
ko:K07397	kpu:KP1_5070
ko:K01485	kpu:KP1_5080
ko:K07726	kpu:KP1_5264
ko:K07810	kpu:KP1_0688
ko:K06954	kpu:KP1_0679
ko:K02075	kpu:KP1_4297
ko:K02074	kpu:KP1_4298
ko:K08305	kpu:KP1_4299
ko:K02468	kpu:KP1_4307
ko:K03487	kpu:KP1_4316
ko:K02752	kpu:KP1_4317
ko:K02753	kpu:KP1_4317
ko:K03087	kpu:KP1_4373
ko:K00956	kpu:KP1_4383
ko:K09612	kpu:KP1_4386
ko:K00951	kpu:KP1_4398
ko:K04091	kpu:KP1_4426
ko:K00879	kpu:KP1_4434
ko:K03394	kpu:KP1_4454
ko:K05934	kpu:KP1_4457
ko:K02191	kpu:KP1_4460
ko:K04720	kpu:KP1_4493
ko:K00832	kpu:KP1_2440
ko:K01479	kpu:KP1_1743
ko:K07027	kpu:KP1_1770
ko:K01497	kpu:KP1_2316
ko:K01491	kpu:KP1_1391
ko:K00863	kpu:KP1_4795
ko:K00042	kpu:KP1_4839
ko:K03574	kpu:KP1_0923
ko:K02504	kpu:KP1_0930
ko:K00970	kpu:KP1_0971
ko:K02455	kpu:KP1_0988
ko:K13053	kpu:KP1_1960
ko:K01104	kpu:KP1_3719
ko:K01187	kpu:KP1_1205
ko:K01187	kpu:KP1_1811
ko:K07459	kpu:KP1_1877
ko:K07038	kpu:KP1_1387
ko:K07038	kpu:KP1_2273
ko:K12525	kpu:KP1_0096
ko:K12500	kpu:KP1_1276
ko:K06884	kpu:KP1_2903
ko:K09024	kpu:KP1_2021
ko:K09020	kpu:KP1_2025
ko:K09017	kpu:KP1_2028
ko:K00832	kpu:KP1_0296
ko:K03719	kpu:KP1_3320
ko:K03719	kpu:KP1_1890
ko:K07343	kpu:KP1_1961
ko:K10038	kpu:KP1_1795
ko:K03492	kpu:KP1_1807
ko:K04786	kpu:KP1_3589
ko:K08137	kpu:KP1_4651
ko:K01150	kpu:KP1_4653
ko:K02077	kpu:KP1_4296
ko:K01628	kpu:KP1_4431
ko:K02009	kpu:KP1_4452
ko:K00884	kpu:KP1_2110
ko:K13051	kpu:KP1_1820
ko:K12961	kpu:KP1_4862
ko:K12944	kpu:KP1_3895
ko:K13292	kpu:KP1_4507
ko:K00694	kpu:KP1_5237
ko:K12984	kpu:KP1_5325
ko:K10804	kpu:KP1_1352
ko:K13014	kpu:KP1_5181
ko:K01929	kpu:KP1_0908
ko:K08475	kpu:KP1_2765
ko:K08478	kpu:KP1_2766
ko:K03707	kpu:KP1_2770
ko:K06971	kpu:KP1_2771
ko:K00852	kpu:KP1_2772
ko:K02529	kpu:KP1_2774
ko:K07048	kpu:KP1_2777
ko:K01439	kpu:KP1_2779
ko:K03475	kpu:KP1_2792
ko:K02822	kpu:KP1_2793
ko:K02821	kpu:KP1_2794
ko:K08178	kpu:KP1_2801
ko:K02371	kpu:KP1_2807
ko:K01890	kpu:KP1_3279
ko:K01889	kpu:KP1_3280
ko:K02887	kpu:KP1_3281
ko:K02916	kpu:KP1_3282
ko:K02520	kpu:KP1_3284
ko:K01868	kpu:KP1_3285
ko:K07283	kpu:KP1_3289
ko:K03832	kpu:KP1_3293
ko:K09780	kpu:KP1_3294
ko:K06131	kpu:KP1_3301
ko:K09901	kpu:KP1_3302
ko:K07090	kpu:KP1_2737
ko:K00626	kpu:KP1_2745
ko:K00059	kpu:KP1_2746
ko:K02429	kpu:KP1_2750
ko:K02430	kpu:KP1_2753
ko:K01619	kpu:KP1_2755
ko:K08476	kpu:KP1_2764
ko:K05818	kpu:KP1_3218
ko:K02016	kpu:KP1_3219
ko:K02015	kpu:KP1_3220
ko:K02013	kpu:KP1_3221
ko:K02020	kpu:KP1_3222
ko:K00014	kpu:KP1_3223
ko:K00457	kpu:KP1_3225
ko:K00873	kpu:KP1_3229
ko:K06078	kpu:KP1_3230
ko:K02426	kpu:KP1_3232
ko:K11717	kpu:KP1_3233
ko:K09015	kpu:KP1_3234
ko:K09013	kpu:KP1_3235
ko:K09014	kpu:KP1_3236
ko:K05997	kpu:KP1_3237
ko:K02016	kpu:KP1_3247
ko:K02015	kpu:KP1_3248
ko:K02013	kpu:KP1_3249
ko:K00549	kpu:KP1_3251
ko:K01007	kpu:KP1_3261
ko:K09773	kpu:KP1_3264
ko:K01626	kpu:KP1_3265
ko:K06074	kpu:KP1_3269
ko:K00432	kpu:KP1_3270
ko:K06073	kpu:KP1_3273
ko:K00285	kpu:KP1_3276
ko:K04764	kpu:KP1_3278
ko:K00878	kpu:KP1_3769
ko:K01486	kpu:KP1_3777
ko:K06901	kpu:KP1_3778
ko:K03593	kpu:KP1_3782
ko:K01874	kpu:KP1_3783
ko:K02478	kpu:KP1_3787
ko:K05846	kpu:KP1_3790
ko:K05846	kpu:KP1_3793
ko:K03777	kpu:KP1_3796
ko:K03823	kpu:KP1_3797
ko:K07262	kpu:KP1_3798
ko:K01223	kpu:KP1_3803
ko:K02755	kpu:KP1_3804
ko:K02756	kpu:KP1_3804
ko:K02757	kpu:KP1_3804
ko:K03488	kpu:KP1_3806
ko:K07267	kpu:KP1_3807
ko:K05541	kpu:KP1_3808
ko:K01489	kpu:KP1_3811
ko:K03748	kpu:KP1_3812
ko:K10541	kpu:KP1_3813
ko:K10542	kpu:KP1_3814
ko:K10540	kpu:KP1_3815
ko:K02529	kpu:KP1_3816
ko:K07148	kpu:KP1_3817
ko:K01495	kpu:KP1_3818
ko:K11733	kpu:KP1_3821
ko:K01151	kpu:KP1_3825
ko:K02769	kpu:KP1_3827
ko:K02770	kpu:KP1_3827
ko:K00882	kpu:KP1_3828
ko:K03563	kpu:KP1_4290
ko:K01872	kpu:KP1_4291
ko:K03565	kpu:KP1_4292
ko:K03553	kpu:KP1_4294
ko:K03743	kpu:KP1_4295
ko:K02783	kpu:KP1_4300
ko:K02782	kpu:KP1_4301
ko:K02783	kpu:KP1_4301
ko:K02781	kpu:KP1_4303
ko:K00068	kpu:KP1_4304
ko:K02466	kpu:KP1_4306
ko:K02467	kpu:KP1_4308
ko:K12266	kpu:KP1_4309
ko:K12264	kpu:KP1_4311
ko:K12265	kpu:KP1_4312
ko:K07241	kpu:KP1_4313
ko:K04656	kpu:KP1_4314
ko:K05796	kpu:KP1_4315
ko:K01223	kpu:KP1_4318
ko:K08315	kpu:KP1_4320
ko:K04651	kpu:KP1_4330
ko:K04652	kpu:KP1_4332
ko:K04653	kpu:KP1_4333
ko:K04654	kpu:KP1_4334
ko:K04655	kpu:KP1_4335
ko:K02761	kpu:KP1_4340
ko:K02760	kpu:KP1_4342
ko:K02761	kpu:KP1_4343
ko:K02759	kpu:KP1_4344
ko:K00847	kpu:KP1_4345
ko:K11604	kpu:KP1_4347
ko:K11605	kpu:KP1_4349
ko:K11606	kpu:KP1_4350
ko:K03824	kpu:KP1_4870
ko:K08303	kpu:KP1_4873
ko:K03835	kpu:KP1_4876
ko:K05592	kpu:KP1_4878
ko:K05803	kpu:KP1_4880
ko:K00962	kpu:KP1_4882
ko:K02956	kpu:KP1_4883
ko:K11747	kpu:KP1_5064
ko:K11748	kpu:KP1_5065
ko:K03098	kpu:KP1_0421
ko:K00247	kpu:KP1_0422
ko:K00246	kpu:KP1_0423
ko:K00245	kpu:KP1_0424
ko:K04568	kpu:KP1_0426
ko:K01613	kpu:KP1_0429
ko:K06949	kpu:KP1_0430
ko:K06925	kpu:KP1_0436
ko:K01448	kpu:KP1_0437
ko:K03572	kpu:KP1_0438
ko:K00791	kpu:KP1_0439
ko:K03666	kpu:KP1_0441
ko:K03665	kpu:KP1_0442
ko:K04088	kpu:KP1_0443
ko:K04087	kpu:KP1_0444
ko:K09937	kpu:KP1_0446
ko:K01939	kpu:KP1_0448
ko:K03218	kpu:KP1_0451
ko:K09456	kpu:KP1_0452
ko:K06889	kpu:KP1_0455
ko:K03477	kpu:KP1_0457
ko:K03476	kpu:KP1_0458
ko:K03475	kpu:KP1_0460
ko:K02822	kpu:KP1_0461
ko:K02821	kpu:KP1_0462
ko:K02990	kpu:KP1_0468
ko:K02686	kpu:KP1_0469
ko:K02963	kpu:KP1_0470
ko:K02939	kpu:KP1_0472
ko:K07269	kpu:KP1_0473
ko:K03773	kpu:KP1_0474
ko:K11737	kpu:KP1_0475
ko:K07322	kpu:KP1_0477
ko:K07109	kpu:KP1_0485
ko:K02463	kpu:KP1_0978
ko:K02462	kpu:KP1_0979
ko:K02461	kpu:KP1_0980
ko:K02460	kpu:KP1_0982
ko:K02459	kpu:KP1_0983
ko:K02458	kpu:KP1_0985
ko:K02457	kpu:KP1_0986
ko:K02456	kpu:KP1_0987
ko:K02454	kpu:KP1_0989
ko:K02453	kpu:KP1_0990
ko:K02452	kpu:KP1_0991
ko:K02451	kpu:KP1_0997
ko:K05365	kpu:KP1_1001
ko:K02014	kpu:KP1_1002
ko:K02013	kpu:KP1_1003
ko:K02016	kpu:KP1_1004
ko:K02015	kpu:KP1_1005
ko:K01845	kpu:KP1_1006
ko:K03281	kpu:KP1_1007
ko:K06858	kpu:KP1_1011
ko:K01243	kpu:KP1_1012
ko:K01129	kpu:KP1_1013
ko:K02647	kpu:KP1_1016
ko:K00674	kpu:KP1_1018
ko:K00990	kpu:KP1_1019
ko:K01265	kpu:KP1_1020
ko:K02967	kpu:KP1_1021
ko:K02357	kpu:KP1_1022
ko:K09903	kpu:KP1_1024
ko:K02838	kpu:KP1_1026
ko:K00099	kpu:KP1_1027
ko:K00806	kpu:KP1_1028
ko:K00981	kpu:KP1_1030
ko:K11749	kpu:KP1_1031
ko:K07277	kpu:KP1_1032
ko:K06142	kpu:KP1_1033
ko:K02536	kpu:KP1_1034
ko:K02372	kpu:KP1_1036
ko:K00677	kpu:KP1_1038
ko:K00748	kpu:KP1_1039
ko:K03470	kpu:KP1_1040
ko:K02337	kpu:KP1_1041
ko:K01962	kpu:KP1_1042
ko:K04075	kpu:KP1_1046
ko:K02032	kpu:KP1_1505
ko:K02031	kpu:KP1_1507
ko:K06016	kpu:KP1_1508
ko:K00375	kpu:KP1_1511
ko:K02032	kpu:KP1_1522
ko:K02031	kpu:KP1_1523
ko:K02033	kpu:KP1_1525
ko:K02035	kpu:KP1_1526
ko:K02167	kpu:KP1_1530
ko:K06158	kpu:KP1_5066
ko:K07019	kpu:KP1_5067
ko:K09898	kpu:KP1_5068
ko:K00855	kpu:KP1_5069
ko:K10914	kpu:KP1_5071
ko:K04095	kpu:KP1_5075
ko:K06141	kpu:KP1_5079
ko:K00362	kpu:KP1_5082
ko:K00363	kpu:KP1_5083
ko:K02302	kpu:KP1_5084
ko:K01867	kpu:KP1_5085
ko:K01091	kpu:KP1_5086
ko:K01783	kpu:KP1_5087
ko:K06223	kpu:KP1_5088
ko:K03112	kpu:KP1_5089
ko:K01735	kpu:KP1_5090
ko:K00891	kpu:KP1_5091
ko:K00857	kpu:KP1_3312
ko:K03746	kpu:KP1_3314
ko:K00963	kpu:KP1_3315
ko:K07001	kpu:KP1_3317
ko:K09858	kpu:KP1_3318
ko:K01433	kpu:KP1_3319
ko:K00374	kpu:KP1_3322
ko:K00373	kpu:KP1_3323
ko:K00371	kpu:KP1_3324
ko:K00370	kpu:KP1_3325
ko:K02575	kpu:KP1_3327
ko:K02768	kpu:KP1_3829
ko:K11183	kpu:KP1_3829
ko:K03291	kpu:KP1_3830
ko:K06940	kpu:KP1_3831
ko:K02356	kpu:KP1_3832
ko:K01686	kpu:KP1_3833
ko:K07552	kpu:KP1_3845
ko:K02897	kpu:KP1_3849
ko:K06899	kpu:KP1_3854
ko:K09904	kpu:KP1_3855
ko:K07014	kpu:KP1_3856
ko:K08276	kpu:KP1_3859
ko:K00116	kpu:KP1_3861
ko:K06213	kpu:KP1_3863
ko:K06159	kpu:KP1_3864
ko:K03919	kpu:KP1_3866
ko:K03734	kpu:KP1_3868
ko:K09475	kpu:KP1_3869
ko:K07676	kpu:KP1_3871
ko:K02507	kpu:KP1_5092
ko:K12291	kpu:KP1_5093
ko:K12290	kpu:KP1_5094
ko:K12289	kpu:KP1_5095
ko:K12288	kpu:KP1_5096
ko:K05366	kpu:KP1_5097
ko:K08312	kpu:KP1_5098
ko:K02469	kpu:KP1_3874
ko:K00525	kpu:KP1_3876
ko:K00526	kpu:KP1_3878
ko:K11107	kpu:KP1_3879
ko:K01126	kpu:KP1_3880
ko:K02445	kpu:KP1_3881
ko:K00111	kpu:KP1_3882
ko:K07088	kpu:KP1_4353
ko:K01652	kpu:KP1_4354
ko:K07401	kpu:KP1_4355
ko:K07225	kpu:KP1_4358
ko:K02016	kpu:KP1_4359
ko:K02015	kpu:KP1_4361
ko:K02013	kpu:KP1_4362
ko:K03555	kpu:KP1_4363
ko:K03186	kpu:KP1_4368
ko:K06194	kpu:KP1_4374
ko:K00573	kpu:KP1_4375
ko:K03787	kpu:KP1_4376
ko:K06176	kpu:KP1_4377
ko:K01770	kpu:KP1_4378
ko:K00991	kpu:KP1_4379
ko:K05589	kpu:KP1_4380
ko:K00860	kpu:KP1_4382
ko:K00957	kpu:KP1_4384
ko:K02302	kpu:KP1_4385
ko:K00390	kpu:KP1_4387
ko:K00381	kpu:KP1_4388
ko:K00380	kpu:KP1_4389
ko:K01737	kpu:KP1_4390
ko:K10026	kpu:KP1_4391
ko:K01689	kpu:KP1_4395
ko:K01937	kpu:KP1_4396
ko:K03215	kpu:KP1_4399
ko:K07678	kpu:KP1_4400
ko:K00865	kpu:KP1_4401
ko:K01706	kpu:KP1_4402
ko:K03535	kpu:KP1_4404
ko:K06175	kpu:KP1_4406
ko:K06966	kpu:KP1_4410
ko:K00266	kpu:KP1_4937
ko:K01788	kpu:KP1_4938
ko:K03600	kpu:KP1_4939
ko:K03599	kpu:KP1_4940
ko:K02996	kpu:KP1_4942
ko:K02871	kpu:KP1_4943
ko:K06916	kpu:KP1_4944
ko:K09908	kpu:KP1_4945
ko:K01572	kpu:KP1_4950
ko:K01573	kpu:KP1_4953
ko:K03780	kpu:KP1_4954
ko:K03402	kpu:KP1_4961
ko:K03623	kpu:KP1_4964
ko:K03568	kpu:KP1_4969
ko:K08301	kpu:KP1_4971
ko:K06287	kpu:KP1_4972
ko:K03571	kpu:KP1_4973
ko:K03570	kpu:KP1_4974
ko:K03569	kpu:KP1_4975
ko:K07147	kpu:KP1_4978
ko:K03786	kpu:KP1_4980
ko:K02160	kpu:KP1_4981
ko:K02687	kpu:KP1_4986
ko:K03557	kpu:KP1_4989
ko:K00014	kpu:KP1_5000
ko:K07566	kpu:KP1_5001
ko:K10439	kpu:KP1_0351
ko:K10440	kpu:KP1_0352
ko:K10537	kpu:KP1_3527
ko:K02255	kpu:KP1_3528
ko:K02217	kpu:KP1_3535
ko:K03834	kpu:KP1_3537
ko:K07039	kpu:KP1_3538
ko:K01714	kpu:KP1_3539
ko:K00995	kpu:KP1_3540
ko:K03703	kpu:KP1_3541
ko:K07689	kpu:KP1_3542
ko:K09906	kpu:KP1_3966
ko:K07090	kpu:KP1_3967
ko:K07261	kpu:KP1_3968
ko:K01736	kpu:KP1_3969
ko:K07320	kpu:KP1_3970
ko:K08296	kpu:KP1_3972
ko:K06076	kpu:KP1_3976
ko:K04754	kpu:KP1_3977
ko:K11921	kpu:KP1_3982
ko:K03449	kpu:KP1_3984
ko:K02478	kpu:KP1_3987
ko:K00845	kpu:KP1_3989
ko:K04103	kpu:KP1_3993
ko:K03322	kpu:KP1_3996
ko:K11535	kpu:KP1_3997
ko:K01885	kpu:KP1_4001
ko:K09954	kpu:KP1_4004
ko:K01972	kpu:KP1_4005
ko:K03528	kpu:KP1_4006
ko:K06203	kpu:KP1_4007
ko:K01738	kpu:KP1_4008
ko:K02784	kpu:KP1_4009
ko:K08483	kpu:KP1_4010
ko:K02777	kpu:KP1_4012
ko:K00868	kpu:KP1_4014
ko:K12339	kpu:KP1_4017
ko:K02045	kpu:KP1_4018
ko:K02047	kpu:KP1_4019
ko:K02046	kpu:KP1_4020
ko:K02048	kpu:KP1_4021
ko:K07223	kpu:KP1_4022
ko:K01448	kpu:KP1_4028
ko:K03837	kpu:KP1_4414
ko:K01752	kpu:KP1_4416
ko:K00048	kpu:KP1_4430
ko:K02429	kpu:KP1_4432
ko:K01818	kpu:KP1_4433
ko:K02431	kpu:KP1_4435
ko:K02430	kpu:KP1_4436
ko:K06968	kpu:KP1_4437
ko:K03566	kpu:KP1_4439
ko:K01766	kpu:KP1_4441
ko:K02426	kpu:KP1_4442
ko:K08304	kpu:KP1_4445
ko:K00768	kpu:KP1_4446
ko:K02231	kpu:KP1_4448
ko:K02232	kpu:KP1_4449
ko:K02006	kpu:KP1_4450
ko:K02008	kpu:KP1_4451
ko:K02007	kpu:KP1_4453
ko:K02190	kpu:KP1_4455
ko:K05895	kpu:KP1_4456
ko:K02189	kpu:KP1_4458
ko:K05936	kpu:KP1_4459
ko:K03399	kpu:KP1_4461
ko:K02188	kpu:KP1_4463
ko:K06042	kpu:KP1_4464
ko:K02227	kpu:KP1_4465
ko:K09936	kpu:KP1_2979
ko:K00137	kpu:KP1_2989
ko:K00425	kpu:KP1_2996
ko:K00426	kpu:KP1_2997
ko:K08303	kpu:KP1_3001
ko:K05782	kpu:KP1_3003
ko:K03304	kpu:KP1_3008
ko:K00449	kpu:KP1_3015
ko:K00448	kpu:KP1_3016
ko:K05358	kpu:KP1_3018
ko:K03617	kpu:KP1_3036
ko:K03616	kpu:KP1_3037
ko:K03615	kpu:KP1_3038
ko:K03614	kpu:KP1_3039
ko:K03612	kpu:KP1_3040
ko:K03613	kpu:KP1_3041
ko:K10773	kpu:KP1_3042
ko:K03305	kpu:KP1_3044
ko:K00868	kpu:KP1_3046
ko:K10010	kpu:KP1_3545
ko:K10009	kpu:KP1_3547
ko:K05396	kpu:KP1_3548
ko:K02424	kpu:KP1_3549
ko:K07781	kpu:KP1_3552
ko:K09781	kpu:KP1_3557
ko:K07458	kpu:KP1_3559
ko:K00558	kpu:KP1_3560
ko:K06950	kpu:KP1_3561
ko:K09933	kpu:KP1_3564
ko:K01241	kpu:KP1_3572
ko:K04781	kpu:KP1_3583
ko:K00228	kpu:KP1_4029
ko:K04033	kpu:KP1_4030
ko:K04025	kpu:KP1_4031
ko:K04026	kpu:KP1_4032
ko:K03736	kpu:KP1_4033
ko:K03735	kpu:KP1_4034
ko:K04019	kpu:KP1_4035
ko:K04023	kpu:KP1_4036
ko:K04022	kpu:KP1_4037
ko:K04024	kpu:KP1_4038
ko:K04021	kpu:KP1_4039
ko:K04020	kpu:KP1_4042
ko:K04032	kpu:KP1_4043
ko:K04029	kpu:KP1_4046
ko:K04031	kpu:KP1_4047
ko:K00029	kpu:KP1_4048
ko:K00616	kpu:KP1_4049
ko:K00615	kpu:KP1_4050
ko:K01439	kpu:KP1_4056
ko:K06999	kpu:KP1_4058
ko:K07054	kpu:KP1_4060
ko:K01923	kpu:KP1_4061
ko:K07287	kpu:KP1_4062
ko:K01714	kpu:KP1_4063
ko:K03567	kpu:KP1_4064
ko:K03564	kpu:KP1_4065
ko:K03548	kpu:KP1_4066
ko:K10763	kpu:KP1_4071
ko:K00761	kpu:KP1_4073
ko:K01223	kpu:KP1_4074
ko:K01933	kpu:KP1_4076
ko:K01754	kpu:KP1_3411
ko:K07592	kpu:KP1_3412
ko:K00112	kpu:KP1_3883
ko:K00113	kpu:KP1_3884
ko:K01911	kpu:KP1_3898
ko:K02549	kpu:KP1_3900
ko:K06199	kpu:KP1_1612
ko:K03425	kpu:KP1_1614
ko:K03644	kpu:KP1_1615
ko:K03801	kpu:KP1_1617
ko:K09158	kpu:KP1_1618
ko:K07258	kpu:KP1_1619
ko:K03642	kpu:KP1_1620
ko:K05837	kpu:KP1_1621
ko:K08967	kpu:KP1_1594
ko:K09880	kpu:KP1_1595
ko:K03805	kpu:KP1_1600
ko:K03387	kpu:KP1_1603
ko:K11932	kpu:KP1_1605
ko:K06140	kpu:KP1_1606
ko:K03326	kpu:KP1_1608
ko:K03704	kpu:KP1_1611
ko:K05515	kpu:KP1_1622
ko:K06969	kpu:KP1_1968
ko:K06910	kpu:KP1_1969
ko:K01512	kpu:KP1_1971
ko:K11179	kpu:KP1_1972
ko:K00688	kpu:KP1_1976
ko:K02012	kpu:KP1_1980
ko:K02011	kpu:KP1_1981
ko:K11202	kpu:KP1_1987
ko:K04069	kpu:KP1_1988
ko:K00656	kpu:KP1_1989
ko:K11202	kpu:KP1_1991
ko:K11203	kpu:KP1_1992
ko:K08483	kpu:KP1_1993
ko:K11189	kpu:KP1_1993
ko:K11201	kpu:KP1_1993
ko:K03451	kpu:KP1_1997
ko:K09471	kpu:KP1_2001
ko:K09472	kpu:KP1_2002
ko:K07124	kpu:KP1_2010
ko:K01085	kpu:KP1_2013
ko:K03809	kpu:KP1_2015
ko:K09016	kpu:KP1_2020
ko:K09019	kpu:KP1_2022
ko:K09023	kpu:KP1_2023
ko:K09021	kpu:KP1_2024
ko:K09018	kpu:KP1_2027
ko:K11928	kpu:KP1_2031
ko:K06918	kpu:KP1_2346
ko:K08990	kpu:KP1_2347
ko:K01222	kpu:KP1_2349
ko:K03721	kpu:KP1_2350
ko:K07120	kpu:KP1_2351
ko:K11065	kpu:KP1_2352
ko:K06889	kpu:KP1_2372
ko:K01192	kpu:KP1_2375
ko:K04757	kpu:KP1_2386
ko:K06885	kpu:KP1_2389
ko:K11901	kpu:KP1_2392
ko:K11900	kpu:KP1_2393
ko:K11893	kpu:KP1_2395
ko:K11892	kpu:KP1_2396
ko:K11903	kpu:KP1_2398
ko:K11907	kpu:KP1_2399
ko:K11891	kpu:KP1_2413
ko:K11910	kpu:KP1_2414
ko:K11896	kpu:KP1_2419
ko:K11895	kpu:KP1_2420
ko:K03707	kpu:KP1_2847
ko:K00836	kpu:KP1_2852
ko:K06136	kpu:KP1_2861
ko:K06137	kpu:KP1_2862
ko:K06139	kpu:KP1_2864
ko:K01951	kpu:KP1_2866
ko:K05515	kpu:KP1_2867
ko:K09936	kpu:KP1_2868
ko:K09936	kpu:KP1_2869
ko:K06916	kpu:KP1_2872
ko:K07507	kpu:KP1_2873
ko:K08369	kpu:KP1_2874
ko:K02759	kpu:KP1_2875
ko:K02760	kpu:KP1_2877
ko:K08994	kpu:KP1_2887
ko:K02972	kpu:KP1_2908
ko:K00027	kpu:KP1_2910
ko:K07395	kpu:KP1_3421
ko:K01194	kpu:KP1_3426
ko:K02014	kpu:KP1_3427
ko:K08308	kpu:KP1_3428
ko:K11105	kpu:KP1_3430
ko:K01775	kpu:KP1_3431
ko:K00285	kpu:KP1_3432
ko:K03603	kpu:KP1_3435
ko:K03314	kpu:KP1_3436
ko:K03611	kpu:KP1_3438
ko:K09160	kpu:KP1_3440
ko:K09902	kpu:KP1_3442
ko:K03610	kpu:KP1_3443
ko:K03609	kpu:KP1_3444
ko:K03608	kpu:KP1_3445
ko:K03684	kpu:KP1_3446
ko:K07285	kpu:KP1_3448
ko:K09917	kpu:KP1_3452
ko:K01665	kpu:KP1_3453
ko:K01752	kpu:KP1_3455
ko:K02793	kpu:KP1_3458
ko:K02794	kpu:KP1_3458
ko:K02795	kpu:KP1_3459
ko:K02796	kpu:KP1_3460
ko:K00563	kpu:KP1_3463
ko:K03587	kpu:KP1_3464
ko:K03704	kpu:KP1_3465
ko:K08169	kpu:KP1_3471
ko:K03799	kpu:KP1_3472
ko:K03797	kpu:KP1_3473
ko:K03607	kpu:KP1_3474
ko:K03808	kpu:KP1_3476
ko:K11392	kpu:KP1_3478
ko:K07313	kpu:KP1_3481
ko:K01661	kpu:KP1_3901
ko:K08680	kpu:KP1_3902
ko:K02551	kpu:KP1_3903
ko:K02552	kpu:KP1_3904
ko:K02348	kpu:KP1_3906
ko:K06205	kpu:KP1_0001
ko:K03718	kpu:KP1_0002
ko:K01914	kpu:KP1_0003
ko:K03924	kpu:KP1_0005
ko:K03549	kpu:KP1_0006
ko:K06726	kpu:KP1_0007
ko:K10441	kpu:KP1_0008
ko:K10440	kpu:KP1_0009
ko:K10439	kpu:KP1_0010
ko:K00852	kpu:KP1_0011
ko:K02529	kpu:KP1_0012
ko:K03753	kpu:KP1_0016
ko:K03752	kpu:KP1_0017
ko:K09896	kpu:KP1_0018
ko:K03673	kpu:KP1_0022
ko:K02335	kpu:KP1_0024
ko:K03978	kpu:KP1_0025
ko:K09894	kpu:KP1_0026
ko:K07712	kpu:KP1_0028
ko:K07708	kpu:KP1_0029
