ko:K03602	abw:BL01_13710
ko:K06911	abw:BL01_01040
ko:K01951	abw:BL01_01060
ko:K15977	abw:BL01_01070
ko:K03975	abw:BL01_01075
ko:K05527	abw:BL01_01100
ko:K00806	abw:BL01_04345
ko:K02838	abw:BL01_04350
ko:K09903	abw:BL01_04355
ko:K14441	abw:BL01_04360
ko:K07708	abw:BL01_04365
ko:K07712	abw:BL01_04370
ko:K01770	abw:BL01_04390
ko:K00285	abw:BL01_04400
ko:K01679	abw:BL01_04420
ko:K01784	abw:BL01_04425
ko:K07235	abw:BL01_04430
ko:K11179	abw:BL01_04445
ko:K03750	abw:BL01_04465
ko:K03635	abw:BL01_04475
ko:K03639	abw:BL01_04485
ko:K03752	abw:BL01_04495
ko:K00372	abw:BL01_04500
ko:K00362	abw:BL01_04510
ko:K03786	abw:BL01_04535
ko:K02160	abw:BL01_04540
ko:K01961	abw:BL01_04545
ko:K05820	abw:BL01_04555
ko:K00799	abw:BL01_04585
ko:K10001	abw:BL01_04590
ko:K10003	abw:BL01_04595
ko:K10002	abw:BL01_04600
ko:K10004	abw:BL01_04605
ko:K06133	abw:BL01_01115
ko:K07003	abw:BL01_01130
ko:K07782	abw:BL01_01160
ko:K01692	abw:BL01_01185
ko:K01895	abw:BL01_01195
ko:K00140	abw:BL01_01205
ko:K11737	abw:BL01_01215
ko:K11737	abw:BL01_01220
ko:K01775	abw:BL01_01230
ko:K00285	abw:BL01_01235
ko:K03719	abw:BL01_01240
ko:K02014	abw:BL01_01250
ko:K06177	abw:BL01_01265
ko:K16137	abw:BL01_01280
ko:K00647	abw:BL01_01290
ko:K01659	abw:BL01_01330
ko:K03417	abw:BL01_01335
ko:K00832	abw:BL01_01345
ko:K03777	abw:BL01_01350
ko:K00101	abw:BL01_01355
ko:K14348	abw:BL01_01360
ko:K00427	abw:BL01_01365
ko:K01840	abw:BL01_01370
ko:K01784	abw:BL01_01375
ko:K01810	abw:BL01_01380
ko:K00012	abw:BL01_01385
ko:K00963	abw:BL01_01390
ko:K13017	abw:BL01_01435
ko:K13018	abw:BL01_01440
ko:K13016	abw:BL01_01445
ko:K02474	abw:BL01_01450
ko:K01991	abw:BL01_01455
ko:K01104	abw:BL01_01460
ko:K16692	abw:BL01_01465
ko:K03772	abw:BL01_01470
ko:K03773	abw:BL01_01475
ko:K03980	abw:BL01_01480
ko:K03806	abw:BL01_01485
ko:K00767	abw:BL01_01490
ko:K01114	abw:BL01_01500
ko:K00989	abw:BL01_01510
ko:K03673	abw:BL01_01535
ko:K00568	abw:BL01_01540
ko:K14682	abw:BL01_01565
ko:K15553	abw:BL01_01570
ko:K15553	abw:BL01_01575
ko:K04091	abw:BL01_01580
ko:K15554	abw:BL01_01585
ko:K15555	abw:BL01_01590
ko:K01243	abw:BL01_01600
ko:K11753	abw:BL01_01610
ko:K01870	abw:BL01_01615
ko:K03101	abw:BL01_01620
ko:K03774	abw:BL01_01625
ko:K05835	abw:BL01_01675
ko:K03466	abw:BL01_01680
ko:K00384	abw:BL01_01685
ko:K00684	abw:BL01_01690
ko:K03789	abw:BL01_01700
ko:K07044	abw:BL01_01705
ko:K07044	abw:BL01_01710
ko:K07347	abw:BL01_01720
ko:K00121	abw:BL01_01735
ko:K01273	abw:BL01_01785
ko:K06139	abw:BL01_01790
ko:K06138	abw:BL01_01795
ko:K06137	abw:BL01_01800
ko:K06136	abw:BL01_01805
ko:K00937	abw:BL01_01810
ko:K00216	abw:BL01_01830
ko:K02017	abw:BL01_01835
ko:K02018	abw:BL01_01840
ko:K02020	abw:BL01_01845
ko:K02019	abw:BL01_01850
ko:K05600	abw:BL01_01860
ko:K11311	abw:BL01_01865
ko:K01061	abw:BL01_01895
ko:K03781	abw:BL01_01930
ko:K12262	abw:BL01_01935
ko:K00128	abw:BL01_01970
ko:K03457	abw:BL01_01980
ko:K00135	abw:BL01_01990
ko:K01607	abw:BL01_01995
ko:K01118	abw:BL01_02005
ko:K02624	abw:BL01_02010
ko:K00481	abw:BL01_02015
ko:K02012	abw:BL01_02025
ko:K02010	abw:BL01_02030
ko:K02011	abw:BL01_02035
ko:K03430	abw:BL01_02045
ko:K05306	abw:BL01_02050
ko:K08196	abw:BL01_02055
ko:K06446	abw:BL01_02060
ko:K00459	abw:BL01_02085
ko:K00626	abw:BL01_02100
ko:K00074	abw:BL01_02105
ko:K06446	abw:BL01_02120
ko:K08196	abw:BL01_02125
ko:K01031	abw:BL01_02130
ko:K01032	abw:BL01_02135
ko:K04090	abw:BL01_02165
ko:K01640	abw:BL01_02175
ko:K01968	abw:BL01_02180
ko:K13766	abw:BL01_02185
ko:K01969	abw:BL01_02190
ko:K00253	abw:BL01_02195
ko:K00666	abw:BL01_02205
ko:K15256	abw:BL01_02210
ko:K03743	abw:BL01_02260
ko:K03781	abw:BL01_02270
ko:K06975	abw:BL01_02325
ko:K02029	abw:BL01_02330
ko:K02029	abw:BL01_02335
ko:K02028	abw:BL01_02340
ko:K02030	abw:BL01_02345
ko:K02030	abw:BL01_02350
ko:K11717	abw:BL01_02365
ko:K00640	abw:BL01_02375
ko:K00059	abw:BL01_02385
ko:K11209	abw:BL01_02400
ko:K06518	abw:BL01_02415
ko:K00375	abw:BL01_02425
ko:K07734	abw:BL01_02430
ko:K13929	abw:BL01_02450
ko:K13930	abw:BL01_02455
ko:K13931	abw:BL01_02460
ko:K13932	abw:BL01_02465
ko:K13933	abw:BL01_02470
ko:K13934	abw:BL01_02475
ko:K13935	abw:BL01_02480
ko:K13928	abw:BL01_02495
ko:K00426	abw:BL01_02510
ko:K00425	abw:BL01_02515
ko:K15551	abw:BL01_02545
ko:K10831	abw:BL01_02550
ko:K15552	abw:BL01_02555
ko:K03119	abw:BL01_02560
ko:K16841	abw:BL01_02565
ko:K03457	abw:BL01_02570
ko:K00537	abw:BL01_02600
ko:K03325	abw:BL01_02610
ko:K07240	abw:BL01_02620
ko:K07240	abw:BL01_02625
ko:K03387	abw:BL01_02630
ko:K00640	abw:BL01_02645
ko:K15396	abw:BL01_02650
ko:K02337	abw:BL01_02655
ko:K05597	abw:BL01_02660
ko:K14260	abw:BL01_02670
ko:K07305	abw:BL01_02675
ko:K00432	abw:BL01_02680
ko:K14267	abw:BL01_02695
ko:K00990	abw:BL01_02700
ko:K08289	abw:BL01_02705
ko:K06942	abw:BL01_02745
ko:K02072	abw:BL01_02750
ko:K02071	abw:BL01_02755
ko:K02073	abw:BL01_02760
ko:K02073	abw:BL01_02765
ko:K05817	abw:BL01_02785
ko:K00799	abw:BL01_02795
ko:K01091	abw:BL01_02805
ko:K06179	abw:BL01_02810
ko:K08300	abw:BL01_02815
ko:K13776	abw:BL01_02820
ko:K09936	abw:BL01_02850
ko:K03327	abw:BL01_02855
ko:K02909	abw:BL01_02875
ko:K06199	abw:BL01_02885
ko:K07007	abw:BL01_02895
ko:K09862	abw:BL01_02905
ko:K01772	abw:BL01_02915
ko:K01776	abw:BL01_02925
ko:K09986	abw:BL01_02930
ko:K00311	abw:BL01_02935
ko:K04085	abw:BL01_02940
ko:K06189	abw:BL01_02945
ko:K03820	abw:BL01_02950
ko:K06878	abw:BL01_02955
ko:K02456	abw:BL01_02965
ko:K02455	abw:BL01_02970
ko:K04066	abw:BL01_02975
ko:K11747	abw:BL01_02980
ko:K04083	abw:BL01_02985
ko:K05516	abw:BL01_02995
ko:K00962	abw:BL01_03010
ko:K02956	abw:BL01_03015
ko:K03581	abw:BL01_03025
ko:K03582	abw:BL01_03030
ko:K03583	abw:BL01_03035
ko:K03183	abw:BL01_03055
ko:K03690	abw:BL01_03060
ko:K03688	abw:BL01_03065
ko:K11755	abw:BL01_03075
ko:K05559	abw:BL01_03090
ko:K05560	abw:BL01_03095
ko:K05561	abw:BL01_03100
ko:K05562	abw:BL01_03105
ko:K05563	abw:BL01_03110
ko:K05564	abw:BL01_03115
ko:K02834	abw:BL01_03120
ko:K02519	abw:BL01_03125
ko:K02600	abw:BL01_03130
ko:K09748	abw:BL01_03135
ko:K03075	abw:BL01_03155
ko:K01803	abw:BL01_03160
ko:K02652	abw:BL01_03165
ko:K01599	abw:BL01_04655
ko:K02361	abw:BL01_04665
ko:K01590	abw:BL01_04695
ko:K01252	abw:BL01_04700
ko:K02363	abw:BL01_04705
ko:K03897	abw:BL01_04715
ko:K02014	abw:BL01_04720
ko:K02016	abw:BL01_04725
ko:K02013	abw:BL01_04730
ko:K02015	abw:BL01_04735
ko:K02015	abw:BL01_04740
ko:K06911	abw:BL01_04770
ko:K08368	abw:BL01_04810
ko:K04030	abw:BL01_04840
ko:K05297	abw:BL01_04850
ko:K11735	abw:BL01_04880
ko:K00140	abw:BL01_04885
ko:K06995	abw:BL01_04890
ko:K09684	abw:BL01_04900
ko:K06200	abw:BL01_04940
ko:K02653	abw:BL01_03170
ko:K02654	abw:BL01_03175
ko:K00859	abw:BL01_03180
ko:K03218	abw:BL01_03190
ko:K09913	abw:BL01_03195
ko:K03631	abw:BL01_03205
ko:K07735	abw:BL01_03210
ko:K07447	abw:BL01_03215
ko:K10778	abw:BL01_03245
ko:K00995	abw:BL01_03250
ko:K03703	abw:BL01_03260
ko:K01825	abw:BL01_03285
ko:K07002	abw:BL01_03305
ko:K04079	abw:BL01_03335
ko:K07275	abw:BL01_03345
ko:K07084	abw:BL01_03350
ko:K03046	abw:BL01_03375
ko:K03043	abw:BL01_03380
ko:K02935	abw:BL01_03385
ko:K02864	abw:BL01_03390
ko:K02863	abw:BL01_03395
ko:K02867	abw:BL01_03400
ko:K02601	abw:BL01_03405
ko:K03073	abw:BL01_03410
ko:K01114	abw:BL01_03430
ko:K07107	abw:BL01_03435
ko:K01104	abw:BL01_03450
ko:K00075	abw:BL01_03455
ko:K02356	abw:BL01_04945
ko:K02909	abw:BL01_04965
ko:K14347	abw:BL01_04970
ko:K01759	abw:BL01_04975
ko:K08218	abw:BL01_04980
ko:K06194	abw:BL01_04995
ko:K03787	abw:BL01_05000
ko:K07258	abw:BL01_05015
ko:K00566	abw:BL01_05030
ko:K07153	abw:BL01_05035
ko:K01756	abw:BL01_05040
ko:K08984	abw:BL01_05045
ko:K03316	abw:BL01_05050
ko:K07054	abw:BL01_05055
ko:K09781	abw:BL01_05060
ko:K01867	abw:BL01_05065
ko:K01902	abw:BL01_05070
ko:K01903	abw:BL01_05075
ko:K00382	abw:BL01_05080
ko:K00658	abw:BL01_05085
ko:K00164	abw:BL01_05090
ko:K00240	abw:BL01_05095
ko:K00239	abw:BL01_05100
ko:K00242	abw:BL01_05105
ko:K00241	abw:BL01_05110
ko:K01647	abw:BL01_05115
ko:K06938	abw:BL01_05120
ko:K07146	abw:BL01_05125
ko:K07039	abw:BL01_05135
ko:K03086	abw:BL01_05150
ko:K09158	abw:BL01_05155
ko:K03801	abw:BL01_05160
ko:K03216	abw:BL01_05190
ko:K02302	abw:BL01_05195
ko:K01875	abw:BL01_05200
ko:K03634	abw:BL01_05210
ko:K02899	abw:BL01_05215
ko:K02888	abw:BL01_05220
ko:K02523	abw:BL01_05230
ko:K03585	abw:BL01_05245
ko:K18138	abw:BL01_05250
ko:K18139	abw:BL01_05255
ko:K01873	abw:BL01_05285
ko:K07088	abw:BL01_05300
ko:K03320	abw:BL01_05310
ko:K07666	abw:BL01_05325
ko:K03760	abw:BL01_05330
ko:K07001	abw:BL01_05355
ko:K07340	abw:BL01_05360
ko:K00795	abw:BL01_05375
ko:K11734	abw:BL01_05385
ko:K05523	abw:BL01_05395
ko:K06153	abw:BL01_05410
ko:K02616	abw:BL01_05415
ko:K00355	abw:BL01_05435
ko:K06076	abw:BL01_05440
ko:K02203	abw:BL01_05445
ko:K00390	abw:BL01_05450
ko:K08301	abw:BL01_05465
ko:K06287	abw:BL01_05470
ko:K03571	abw:BL01_05475
ko:K03570	abw:BL01_05480
ko:K03569	abw:BL01_05485
ko:K02435	abw:BL01_05490
ko:K02433	abw:BL01_05495
ko:K02434	abw:BL01_05500
ko:K07443	abw:BL01_05525
ko:K04485	abw:BL01_05815
ko:K11737	abw:BL01_05820
ko:K01586	abw:BL01_05830
ko:K01778	abw:BL01_05835
ko:K03733	abw:BL01_05845
ko:K03521	abw:BL01_05850
ko:K03522	abw:BL01_05855
ko:K02469	abw:BL01_05860
ko:K01992	abw:BL01_05890
ko:K01993	abw:BL01_05895
ko:K00831	abw:BL01_05905
ko:K09768	abw:BL01_05915
ko:K09808	abw:BL01_05925
ko:K09810	abw:BL01_05930
ko:K02238	abw:BL01_05935
ko:K02517	abw:BL01_05940
ko:K04773	abw:BL01_05945
ko:K11175	abw:BL01_05955
ko:K01933	abw:BL01_05960
ko:K10763	abw:BL01_05970
ko:K03088	abw:BL01_05995
ko:K03437	abw:BL01_06000
ko:K03841	abw:BL01_06005
ko:K03640	abw:BL01_06015
ko:K03641	abw:BL01_06020
ko:K03560	abw:BL01_06030
ko:K03562	abw:BL01_06035
ko:K07107	abw:BL01_06040
ko:K03551	abw:BL01_06050
ko:K03550	abw:BL01_06055
ko:K01129	abw:BL01_06060
ko:K01952	abw:BL01_06065
ko:K07552	abw:BL01_06070
ko:K01669	abw:BL01_06390
ko:K03775	abw:BL01_06395
ko:K03885	abw:BL01_06400
ko:K07258	abw:BL01_06405
ko:K00031	abw:BL01_06415
ko:K06181	abw:BL01_06420
ko:K00031	abw:BL01_06425
ko:K06956	abw:BL01_06450
ko:K07263	abw:BL01_06460
ko:K00788	abw:BL01_06485
ko:K01845	abw:BL01_06490
ko:K06177	abw:BL01_06500
ko:K03580	abw:BL01_06505
ko:K00508	abw:BL01_06525
ko:K00836	abw:BL01_06545
ko:K13745	abw:BL01_06550
ko:K11734	abw:BL01_06570
ko:K02040	abw:BL01_06575
ko:K02037	abw:BL01_06580
ko:K02038	abw:BL01_06585
ko:K02036	abw:BL01_06590
ko:K04774	abw:BL01_06595
ko:K00799	abw:BL01_06605
ko:K03308	abw:BL01_06620
ko:K03500	abw:BL01_06630
ko:K00604	abw:BL01_06635
ko:K01687	abw:BL01_06640
ko:K07090	abw:BL01_06650
ko:K01095	abw:BL01_06945
ko:K00946	abw:BL01_06950
ko:K03625	abw:BL01_06955
ko:K00794	abw:BL01_06960
ko:K14652	abw:BL01_06965
ko:K01079	abw:BL01_06975
ko:K07560	abw:BL01_06990
ko:K00763	abw:BL01_06995
ko:K01011	abw:BL01_07000
ko:K01613	abw:BL01_07005
ko:K07636	abw:BL01_07030
ko:K07657	abw:BL01_07035
ko:K14287	abw:BL01_07055
ko:K01919	abw:BL01_07075
ko:K03611	abw:BL01_07080
ko:K07000	abw:BL01_07105
ko:K02622	abw:BL01_07110
ko:K01483	abw:BL01_07125
ko:K01477	abw:BL01_07130
ko:K16839	abw:BL01_07135
ko:K07127	abw:BL01_07150
ko:K16840	abw:BL01_07155
ko:K16842	abw:BL01_07160
ko:K04084	abw:BL01_07180
ko:K01142	abw:BL01_07205
ko:K00762	abw:BL01_07210
ko:K02014	abw:BL01_07215
ko:K01920	abw:BL01_07225
ko:K02563	abw:BL01_07230
ko:K00528	abw:BL01_07535
ko:K07007	abw:BL01_07560
ko:K01874	abw:BL01_07595
ko:K03593	abw:BL01_07605
ko:K01243	abw:BL01_07610
ko:K09928	abw:BL01_07615
ko:K01494	abw:BL01_07625
ko:K05541	abw:BL01_07655
ko:K03106	abw:BL01_07665
ko:K03525	abw:BL01_07670
ko:K03524	abw:BL01_07675
ko:K03529	abw:BL01_07690
ko:K03528	abw:BL01_07695
ko:K01972	abw:BL01_07700
ko:K03594	abw:BL01_07705
ko:K00697	abw:BL01_07715
ko:K01087	abw:BL01_07720
ko:K02170	abw:BL01_07725
ko:K00833	abw:BL01_07730
ko:K00652	abw:BL01_07735
ko:K02169	abw:BL01_07740
ko:K01935	abw:BL01_07745
ko:K06178	abw:BL01_07750
ko:K06024	abw:BL01_07755
ko:K05896	abw:BL01_07760
ko:K09906	abw:BL01_07770
ko:K07040	abw:BL01_07775
ko:K02911	abw:BL01_07780
ko:K00645	abw:BL01_07785
ko:K00059	abw:BL01_07790
ko:K02078	abw:BL01_07795
ko:K00941	abw:BL01_07805
ko:K01091	abw:BL01_07810
ko:K06899	abw:BL01_00385
ko:K03424	abw:BL01_00415
ko:K16090	abw:BL01_00440
ko:K06972	abw:BL01_00445
ko:K01058	abw:BL01_00450
ko:K03498	abw:BL01_00455
ko:K03499	abw:BL01_00460
ko:K01754	abw:BL01_00465
ko:K01807	abw:BL01_00470
ko:K07043	abw:BL01_00475
ko:K00145	abw:BL01_00485
ko:K06891	abw:BL01_00495
ko:K03694	abw:BL01_00500
ko:K09771	abw:BL01_00505
ko:K01626	abw:BL01_00510
ko:K00219	abw:BL01_00525
ko:K12573	abw:BL01_03575
ko:K01414	abw:BL01_03580
ko:K07070	abw:BL01_03585
ko:K09159	abw:BL01_03625
ko:K02879	abw:BL01_03640
ko:K03040	abw:BL01_03645
ko:K02986	abw:BL01_03650
ko:K02948	abw:BL01_03655
ko:K02952	abw:BL01_03660
ko:K02919	abw:BL01_03665
ko:K03076	abw:BL01_03670
ko:K02876	abw:BL01_03675
ko:K02907	abw:BL01_03680
ko:K02988	abw:BL01_03685
ko:K02881	abw:BL01_03690
ko:K02933	abw:BL01_03695
ko:K02994	abw:BL01_03700
ko:K02954	abw:BL01_03705
ko:K02931	abw:BL01_03710
ko:K02895	abw:BL01_03715
ko:K02874	abw:BL01_03720
ko:K02961	abw:BL01_03725
ko:K02904	abw:BL01_03730
ko:K02878	abw:BL01_03735
ko:K02982	abw:BL01_03740
ko:K02890	abw:BL01_03745
ko:K02965	abw:BL01_03750
ko:K02886	abw:BL01_03755
ko:K03624	abw:BL01_05540
ko:K01955	abw:BL01_05545
ko:K01956	abw:BL01_05550
ko:K07574	abw:BL01_05565
ko:K02427	abw:BL01_05570
ko:K03798	abw:BL01_05575
ko:K00796	abw:BL01_05580
ko:K01113	abw:BL01_05600
ko:K01491	abw:BL01_05615
ko:K00864	abw:BL01_05635
ko:K00111	abw:BL01_05640
ko:K01596	abw:BL01_05645
ko:K04078	abw:BL01_05665
ko:K04077	abw:BL01_05670
ko:K00901	abw:BL01_05675
ko:K01126	abw:BL01_05685
ko:K03799	abw:BL01_05700
ko:K14058	abw:BL01_05710
ko:K04760	abw:BL01_05725
ko:K07044	abw:BL01_05755
ko:K07124	abw:BL01_05770
ko:K16137	abw:BL01_05775
ko:K00865	abw:BL01_05780
ko:K02379	abw:BL01_05790
ko:K03473	abw:BL01_05800
ko:K04568	abw:BL01_05805
ko:K03564	abw:BL01_06100
ko:K06920	abw:BL01_06115
ko:K10026	abw:BL01_06120
ko:K00674	abw:BL01_06125
ko:K13635	abw:BL01_06135
ko:K02045	abw:BL01_06140
ko:K02047	abw:BL01_06145
ko:K02046	abw:BL01_06150
ko:K07002	abw:BL01_06155
ko:K02048	abw:BL01_06160
ko:K02619	abw:BL01_06165
ko:K07082	abw:BL01_06170
ko:K00943	abw:BL01_06175
ko:K00278	abw:BL01_06185
ko:K07107	abw:BL01_06195
ko:K03596	abw:BL01_06200
ko:K03100	abw:BL01_06205
ko:K03685	abw:BL01_06215
ko:K03584	abw:BL01_06230
ko:K03474	abw:BL01_06235
ko:K06169	abw:BL01_06240
ko:K00812	abw:BL01_06270
ko:K03702	abw:BL01_06290
ko:K03098	abw:BL01_06295
ko:K05786	abw:BL01_06300
ko:K00134	abw:BL01_06305
ko:K03979	abw:BL01_06320
ko:K00931	abw:BL01_06325
ko:K05540	abw:BL01_06340
ko:K00459	abw:BL01_06345
ko:K01791	abw:BL01_06360
ko:K01595	abw:BL01_06665
ko:K18301	abw:BL01_06670
ko:K18302	abw:BL01_06675
ko:K18303	abw:BL01_06680
ko:K03686	abw:BL01_06690
ko:K00215	abw:BL01_06700
ko:K06222	abw:BL01_06715
ko:K12957	abw:BL01_06735
ko:K01246	abw:BL01_06740
ko:K03575	abw:BL01_06755
ko:K09160	abw:BL01_06775
ko:K07478	abw:BL01_06785
ko:K01923	abw:BL01_06805
ko:K01714	abw:BL01_06815
ko:K08281	abw:BL01_06820
ko:K03453	abw:BL01_06825
ko:K00457	abw:BL01_06840
ko:K01555	abw:BL01_06860
ko:K11734	abw:BL01_06865
ko:K05836	abw:BL01_06885
ko:K09975	abw:BL01_06890
ko:K01712	abw:BL01_06895
ko:K01745	abw:BL01_06900
ko:K16234	abw:BL01_06905
ko:K01468	abw:BL01_06910
ko:K01479	abw:BL01_06915
ko:K01091	abw:BL01_06925
ko:K01776	abw:BL01_06930
ko:K00820	abw:BL01_06935
ko:K04042	abw:BL01_06940
ko:K01924	abw:BL01_07235
ko:K01921	abw:BL01_07240
ko:K03589	abw:BL01_07245
ko:K03590	abw:BL01_07250
ko:K03531	abw:BL01_07255
ko:K02535	abw:BL01_07260
ko:K00163	abw:BL01_07275
ko:K00627	abw:BL01_07280
ko:K02014	abw:BL01_07295
ko:K06940	abw:BL01_07305
ko:K00088	abw:BL01_07310
ko:K03431	abw:BL01_07315
ko:K00275	abw:BL01_07320
ko:K07462	abw:BL01_07325
ko:K02836	abw:BL01_07335
ko:K02527	abw:BL01_07350
ko:K01895	abw:BL01_07370
ko:K07240	abw:BL01_07410
ko:K07661	abw:BL01_07435
ko:K07639	abw:BL01_07440
ko:K00330	abw:BL01_07455
ko:K00331	abw:BL01_07460
ko:K13378	abw:BL01_07465
ko:K00334	abw:BL01_07470
ko:K00337	abw:BL01_07485
ko:K00338	abw:BL01_07490
ko:K00339	abw:BL01_07495
ko:K00340	abw:BL01_07500
ko:K00341	abw:BL01_07505
ko:K00342	abw:BL01_07510
ko:K00343	abw:BL01_07515
ko:K00761	abw:BL01_07520
ko:K02858	abw:BL01_07815
ko:K01579	abw:BL01_07830
ko:K01056	abw:BL01_07835
ko:K02897	abw:BL01_07840
ko:K00948	abw:BL01_07845
ko:K00919	abw:BL01_07870
ko:K02494	abw:BL01_07875
ko:K02492	abw:BL01_07885
ko:K05807	abw:BL01_07895
ko:K06180	abw:BL01_07900
ko:K05810	abw:BL01_07905
ko:K03664	abw:BL01_07915
ko:K00954	abw:BL01_07920
ko:K16135	abw:BL01_07940
ko:K07246	abw:BL01_07945
ko:K03451	abw:BL01_07950
ko:K00135	abw:BL01_07965
ko:K01950	abw:BL01_07985
ko:K06911	abw:BL01_07995
ko:K08973	abw:BL01_08000
ko:K00647	abw:BL01_08005
ko:K02950	abw:BL01_08015
ko:K02992	abw:BL01_08020
ko:K02355	abw:BL01_08025
ko:K17737	abw:BL01_08035
ko:K01028	abw:BL01_08040
ko:K01029	abw:BL01_08045
ko:K02106	abw:BL01_08050
ko:K00626	abw:BL01_08055
ko:K01744	abw:BL01_08080
ko:K02014	abw:BL01_08085
ko:K01993	abw:BL01_08390
ko:K00748	abw:BL01_08400
ko:K16088	abw:BL01_08405
ko:K07090	abw:BL01_08425
ko:K01626	abw:BL01_08430
ko:K02233	abw:BL01_08435
ko:K02226	abw:BL01_08445
ko:K00768	abw:BL01_08450
ko:K02231	abw:BL01_08455
ko:K02014	abw:BL01_08495
ko:K00496	abw:BL01_08560
ko:K03770	abw:BL01_08570
ko:K03530	abw:BL01_08575
ko:K13643	abw:BL01_08590
ko:K04487	abw:BL01_08595
ko:K04488	abw:BL01_08600
ko:K13628	abw:BL01_08605
ko:K04082	abw:BL01_08610
ko:K04044	abw:BL01_08615
ko:K04755	abw:BL01_08620
ko:K03723	abw:BL01_08635
ko:K07223	abw:BL01_08645
ko:K03642	abw:BL01_08955
ko:K08305	abw:BL01_08960
ko:K05837	abw:BL01_08965
ko:K06879	abw:BL01_08975
ko:K01992	abw:BL01_08980
ko:K01990	abw:BL01_08985
ko:K10857	abw:BL01_09000
ko:K00600	abw:BL01_09015
ko:K10014	abw:BL01_09045
ko:K10016	abw:BL01_09050
ko:K10015	abw:BL01_09055
ko:K10017	abw:BL01_09060
ko:K08303	abw:BL01_09075
ko:K00528	abw:BL01_09090
ko:K02454	abw:BL01_09105
ko:K07645	abw:BL01_09120
ko:K03574	abw:BL01_09130
ko:K05365	abw:BL01_09140
ko:K00858	abw:BL01_09145
ko:K09916	abw:BL01_09150
ko:K11103	abw:BL01_09160
ko:K07017	abw:BL01_09170
ko:K14170	abw:BL01_09175
ko:K01270	abw:BL01_09190
ko:K00784	abw:BL01_09195
ko:K07018	abw:BL01_09200
ko:K09861	abw:BL01_09205
ko:K03149	abw:BL01_09215
ko:K17228	abw:BL01_09580
ko:K00299	abw:BL01_09585
ko:K14393	abw:BL01_09610
ko:K02168	abw:BL01_09620
ko:K03701	abw:BL01_09640
ko:K16137	abw:BL01_09645
ko:K08987	abw:BL01_09655
ko:K02442	abw:BL01_09660
ko:K03707	abw:BL01_09665
ko:K09799	abw:BL01_09670
ko:K11735	abw:BL01_09700
ko:K00375	abw:BL01_09705
ko:K00823	abw:BL01_09710
ko:K00135	abw:BL01_09715
ko:K06911	abw:BL01_09730
ko:K08224	abw:BL01_09755
ko:K07126	abw:BL01_09800
ko:K02048	abw:BL01_10120
ko:K03438	abw:BL01_10125
ko:K03586	abw:BL01_10130
ko:K03587	abw:BL01_10135
ko:K01928	abw:BL01_10140
ko:K01929	abw:BL01_10145
ko:K01000	abw:BL01_10150
ko:K00563	abw:BL01_10160
ko:K05366	abw:BL01_10165
ko:K02662	abw:BL01_10170
ko:K02665	abw:BL01_10185
ko:K02666	abw:BL01_10190
ko:K00891	abw:BL01_10195
ko:K01735	abw:BL01_10200
ko:K00265	abw:BL01_10210
ko:K00266	abw:BL01_10215
ko:K07044	abw:BL01_10220
ko:K03744	abw:BL01_10225
ko:K06872	abw:BL01_10230
ko:K03594	abw:BL01_10255
ko:K02192	abw:BL01_10260
ko:K03060	abw:BL01_10275
ko:K00942	abw:BL01_10280
ko:K03527	abw:BL01_10285
ko:K08084	abw:BL01_10290
ko:K02671	abw:BL01_10295
ko:K02672	abw:BL01_10300
ko:K02674	abw:BL01_10310
ko:K02655	abw:BL01_10315
ko:K02655	abw:BL01_10320
ko:K02959	abw:BL01_10325
ko:K02860	abw:BL01_10330
ko:K00554	abw:BL01_10335
ko:K02884	abw:BL01_10340
ko:K03177	abw:BL01_10355
ko:K07090	abw:BL01_10360
ko:K11939	abw:BL01_10370
ko:K11939	abw:BL01_10375
ko:K00058	abw:BL01_10380
ko:K03923	abw:BL01_10400
ko:K15984	abw:BL01_11010
ko:K01070	abw:BL01_11020
ko:K09956	abw:BL01_11025
ko:K01783	abw:BL01_11030
ko:K07233	abw:BL01_11050
ko:K00567	abw:BL01_11065
ko:K00620	abw:BL01_11070
ko:K03517	abw:BL01_11075
ko:K01488	abw:BL01_11100
ko:K00252	abw:BL01_11115
ko:K08196	abw:BL01_11120
ko:K13795	abw:BL01_11130
ko:K13796	abw:BL01_11135
ko:K13794	abw:BL01_11140
ko:K03288	abw:BL01_11150
ko:K13794	abw:BL01_11155
ko:K00549	abw:BL01_11195
ko:K09024	abw:BL01_11200
ko:K08369	abw:BL01_11245
ko:K01714	abw:BL01_11250
ko:K03088	abw:BL01_11260
ko:K07165	abw:BL01_11265
ko:K16087	abw:BL01_11270
ko:K07019	abw:BL01_00540
ko:K07044	abw:BL01_00545
ko:K01937	abw:BL01_00555
ko:K01627	abw:BL01_00560
ko:K01689	abw:BL01_00565
ko:K05589	abw:BL01_00575
ko:K00991	abw:BL01_00580
ko:K01031	abw:BL01_00585
ko:K01032	abw:BL01_00590
ko:K01857	abw:BL01_00600
ko:K01055	abw:BL01_00605
ko:K08195	abw:BL01_00610
ko:K01607	abw:BL01_00615
ko:K00449	abw:BL01_00620
ko:K00448	abw:BL01_00625
ko:K03785	abw:BL01_00630
ko:K07267	abw:BL01_00640
ko:K05358	abw:BL01_00645
ko:K07112	abw:BL01_00655
ko:K07112	abw:BL01_00660
ko:K02624	abw:BL01_00670
