ko:K18929	hpya:HPAKL117_00685
ko:K03839	hpya:HPAKL117_05485
ko:K00384	hpya:HPAKL117_05500
ko:K01810	hpya:HPAKL117_05510
ko:K06200	hpya:HPAKL117_05520
ko:K02029	hpya:HPAKL117_05525
ko:K02029	hpya:HPAKL117_05530
ko:K02429	hpya:HPAKL117_05550
ko:K06901	hpya:HPAKL117_05555
ko:K01839	hpya:HPAKL117_05575
ko:K01591	hpya:HPAKL117_00025
ko:K01918	hpya:HPAKL117_00030
ko:K04077	hpya:HPAKL117_00040
ko:K04078	hpya:HPAKL117_00045
ko:K00566	hpya:HPAKL117_00055
ko:K00878	hpya:HPAKL117_04055
ko:K01153	hpya:HPAKL117_04060
ko:K03427	hpya:HPAKL117_04070
ko:K00364	hpya:HPAKL117_04095
ko:K03271	hpya:HPAKL117_04100
ko:K03272	hpya:HPAKL117_04105
ko:K03274	hpya:HPAKL117_04110
ko:K03273	hpya:HPAKL117_04115
ko:K09792	hpya:HPAKL117_04120
ko:K03525	hpya:HPAKL117_04125
ko:K03624	hpya:HPAKL117_04145
ko:K00748	hpya:HPAKL117_04150
ko:K04651	hpya:HPAKL117_04160
ko:K02390	hpya:HPAKL117_04165
ko:K01521	hpya:HPAKL117_04170
ko:K06193	hpya:HPAKL117_04175
ko:K03781	hpya:HPAKL117_04190
ko:K01159	hpya:HPAKL117_04200
ko:K03550	hpya:HPAKL117_04235
ko:K03980	hpya:HPAKL117_04245
ko:K01883	hpya:HPAKL117_04250
ko:K02013	hpya:HPAKL117_04260
ko:K02015	hpya:HPAKL117_04265
ko:K15847	hpya:HPAKL117_04290
ko:K04654	hpya:HPAKL117_04305
ko:K04653	hpya:HPAKL117_04310
ko:K01586	hpya:HPAKL117_01445
ko:K01163	hpya:HPAKL117_01455
ko:K02397	hpya:HPAKL117_01470
ko:K02888	hpya:HPAKL117_01475
ko:K02899	hpya:HPAKL117_01480
ko:K12368	hpya:HPAKL117_01485
ko:K12370	hpya:HPAKL117_01495
ko:K12372	hpya:HPAKL117_01505
ko:K03979	hpya:HPAKL117_01510
ko:K01845	hpya:HPAKL117_01525
ko:K07226	hpya:HPAKL117_01565
ko:K01887	hpya:HPAKL117_01570
ko:K03116	hpya:HPAKL117_01575
ko:K00942	hpya:HPAKL117_01580
ko:K02393	hpya:HPAKL117_01605
ko:K00912	hpya:HPAKL117_01625
ko:K00053	hpya:HPAKL117_01635
ko:K03609	hpya:HPAKL117_01640
ko:K03608	hpya:HPAKL117_01645
ko:K04096	hpya:HPAKL117_01650
ko:K07447	hpya:HPAKL117_01655
ko:K08159	hpya:HPAKL117_05605
ko:K00133	hpya:HPAKL117_05630
ko:K01892	hpya:HPAKL117_05635
ko:K02355	hpya:HPAKL117_05650
ko:K02992	hpya:HPAKL117_05655
ko:K02950	hpya:HPAKL117_05660
ko:K02935	hpya:HPAKL117_05670
ko:K02864	hpya:HPAKL117_05675
ko:K02863	hpya:HPAKL117_05680
ko:K02867	hpya:HPAKL117_05685
ko:K02601	hpya:HPAKL117_05690
ko:K03073	hpya:HPAKL117_05695
ko:K02913	hpya:HPAKL117_05700
ko:K02358	hpya:HPAKL117_05705
ko:K00640	hpya:HPAKL117_05735
ko:K02110	hpya:HPAKL117_05740
ko:K00962	hpya:HPAKL117_05745
ko:K04744	hpya:HPAKL117_05755
ko:K01945	hpya:HPAKL117_05765
ko:K00806	hpya:HPAKL117_05775
ko:K06199	hpya:HPAKL117_05795
ko:K06180	hpya:HPAKL117_01680
ko:K07462	hpya:HPAKL117_01685
ko:K01937	hpya:HPAKL117_01690
ko:K02409	hpya:HPAKL117_01700
ko:K02410	hpya:HPAKL117_01705
ko:K02411	hpya:HPAKL117_01710
ko:K01662	hpya:HPAKL117_01715
ko:K03596	hpya:HPAKL117_01720
ko:K02392	hpya:HPAKL117_01735
ko:K03466	hpya:HPAKL117_01745
ko:K00615	hpya:HPAKL117_01755
ko:K11753	hpya:HPAKL117_01760
ko:K06442	hpya:HPAKL117_01765
ko:K00609	hpya:HPAKL117_01775
ko:K07241	hpya:HPAKL117_01805
ko:K03798	hpya:HPAKL117_01840
ko:K02687	hpya:HPAKL117_01845
ko:K03413	hpya:HPAKL117_01850
ko:K06950	hpya:HPAKL117_01865
ko:K03501	hpya:HPAKL117_01870
ko:K07568	hpya:HPAKL117_01875
ko:K03118	hpya:HPAKL117_01880
ko:K03117	hpya:HPAKL117_01885
ko:K03551	hpya:HPAKL117_01890
ko:K00606	hpya:HPAKL117_01895
ko:K03610	hpya:HPAKL117_01920
ko:K02535	hpya:HPAKL117_01925
ko:K08311	hpya:HPAKL117_05815
ko:K00928	hpya:HPAKL117_05820
ko:K02341	hpya:HPAKL117_05830
ko:K00796	hpya:HPAKL117_05835
ko:K09804	hpya:HPAKL117_05860
ko:K01956	hpya:HPAKL117_05865
ko:K06287	hpya:HPAKL117_05880
ko:K01872	hpya:HPAKL117_05885
ko:K09794	hpya:HPAKL117_05890
ko:K02963	hpya:HPAKL117_05900
ko:K02990	hpya:HPAKL117_05910
ko:K02340	hpya:HPAKL117_05915
ko:K12573	hpya:HPAKL117_05920
ko:K00014	hpya:HPAKL117_05925
ko:K13894	hpya:HPAKL117_05935
ko:K13893	hpya:HPAKL117_05940
ko:K01867	hpya:HPAKL117_05945
ko:K02169	hpya:HPAKL117_05950
ko:K03075	hpya:HPAKL117_05955
ko:K02838	hpya:HPAKL117_05960
ko:K00762	hpya:HPAKL117_05965
ko:K12410	hpya:HPAKL117_05975
ko:K00330	hpya:HPAKL117_05980
ko:K00331	hpya:HPAKL117_05985
ko:K00332	hpya:HPAKL117_05990
ko:K00333	hpya:HPAKL117_05995
ko:K00334	hpya:HPAKL117_06000
ko:K00337	hpya:HPAKL117_06015
ko:K00338	hpya:HPAKL117_06020
ko:K00339	hpya:HPAKL117_06025
ko:K00340	hpya:HPAKL117_06030
ko:K00341	hpya:HPAKL117_06035
ko:K00342	hpya:HPAKL117_06040
ko:K00343	hpya:HPAKL117_06045
ko:K15778	hpya:HPAKL117_06055
ko:K12048	hpya:HPAKL117_02275
ko:K12049	hpya:HPAKL117_02280
ko:K12050	hpya:HPAKL117_02285
ko:K11028	hpya:HPAKL117_04255
ko:K02030	hpya:HPAKL117_05540
ko:K07318	hpya:HPAKL117_05720
ko:K09477	hpya:HPAKL117_00710
ko:K03559	hpya:HPAKL117_05310
ko:K03559	hpya:HPAKL117_06370
ko:K12049	hpya:HPAKL117_00180
ko:K13689	hpya:HPAKL117_01095
ko:K12977	hpya:HPAKL117_00095
ko:K12048	hpya:HPAKL117_00185
ko:K12052	hpya:HPAKL117_00165
ko:K12050	hpya:HPAKL117_00175
ko:K03191	hpya:HPAKL117_00345
ko:K13797	hpya:HPAKL117_05665
ko:K15845	hpya:HPAKL117_00035
ko:K15895	hpya:HPAKL117_05090
ko:K15896	hpya:HPAKL117_01620
ko:K02003	hpya:HPAKL117_00895
ko:K14225	hpya:HPAKL117_t07877
ko:K14228	hpya:HPAKL117_t07885
ko:K14221	hpya:HPAKL117_t07819
ko:K14237	hpya:HPAKL117_t07821
ko:K14224	hpya:HPAKL117_t07823
ko:K11782	hpya:HPAKL117_03710
ko:K01738	hpya:HPAKL117_00520
ko:K01760	hpya:HPAKL117_00515
ko:K14237	hpya:HPAKL117_t07827
ko:K14220	hpya:HPAKL117_t07831
ko:K14218	hpya:HPAKL117_t07833
ko:K14219	hpya:HPAKL117_t07835
ko:K14233	hpya:HPAKL117_t07837
ko:K14232	hpya:HPAKL117_t07839
ko:K14219	hpya:HPAKL117_t07843
ko:K14230	hpya:HPAKL117_t07841
ko:K14230	hpya:HPAKL117_t07845
ko:K14223	hpya:HPAKL117_t07847
ko:K14225	hpya:HPAKL117_t07849
ko:K14228	hpya:HPAKL117_t07851
ko:K14222	hpya:HPAKL117_t07853
ko:K14233	hpya:HPAKL117_t07855
ko:K14219	hpya:HPAKL117_t07857
ko:K14219	hpya:HPAKL117_t07859
ko:K14226	hpya:HPAKL117_t07861
ko:K14232	hpya:HPAKL117_t07863
ko:K14228	hpya:HPAKL117_t07865
ko:K14227	hpya:HPAKL117_t07867
ko:K14218	hpya:HPAKL117_t07869
ko:K14230	hpya:HPAKL117_t07871
ko:K14235	hpya:HPAKL117_t07873
ko:K14234	hpya:HPAKL117_t07875
ko:K14236	hpya:HPAKL117_t07879
ko:K14234	hpya:HPAKL117_t07881
ko:K14231	hpya:HPAKL117_t07887
ko:K14224	hpya:HPAKL117_t07817
ko:K14229	hpya:HPAKL117_t07825
ko:K14233	hpya:HPAKL117_t07829
ko:K14228	hpya:HPAKL117_t07883
ko:K01977	hpya:HPAKL117_r07893
ko:K01977	hpya:HPAKL117_r07895
ko:K01985	hpya:HPAKL117_r07889
ko:K01985	hpya:HPAKL117_r07891
ko:K01980	hpya:HPAKL117_r07897
ko:K01980	hpya:HPAKL117_r07899
ko:K01992	hpya:HPAKL117_02885
ko:K01992	hpya:HPAKL117_07899
ko:K02028	hpya:HPAKL117_05535
ko:K01990	hpya:HPAKL117_05770
ko:K17103	hpya:HPAKL117_01835
ko:K03559	hpya:HPAKL117_06920
ko:K02484	hpya:HPAKL117_00820
ko:K02484	hpya:HPAKL117_06500
ko:K02847	hpya:HPAKL117_01985
ko:K01992	hpya:HPAKL117_07145
ko:K12053	hpya:HPAKL117_00075
ko:K12053	hpya:HPAKL117_02290
ko:K17686	hpya:HPAKL117_07235
ko:K17686	hpya:HPAKL117_01830
ko:K01155	hpya:HPAKL117_01305
ko:K07318	hpya:HPAKL117_07205
ko:K00971	hpya:HPAKL117_00190
ko:K05540	hpya:HPAKL117_03435
ko:K11928	hpya:HPAKL117_00250
ko:K01658	hpya:HPAKL117_06085
ko:K12574	hpya:HPAKL117_06835
ko:K00290	hpya:HPAKL117_07255
ko:K01497	hpya:HPAKL117_03825
ko:K00254	hpya:HPAKL117_02130
ko:K06148	hpya:HPAKL117_05710
ko:K05922	hpya:HPAKL117_02985
ko:K05927	hpya:HPAKL117_02980
ko:K00104	hpya:HPAKL117_02540
ko:K01155	hpya:HPAKL117_06780
ko:K07812	hpya:HPAKL117_04885
ko:K03605	hpya:HPAKL117_02995
ko:K05366	hpya:HPAKL117_02825
ko:K12051	hpya:HPAKL117_00170
ko:K03601	hpya:HPAKL117_04715
ko:K12048	hpya:HPAKL117_06680
ko:K01154	hpya:HPAKL117_04065
ko:K11784	hpya:HPAKL117_03110
ko:K11785	hpya:HPAKL117_00760
ko:K18284	hpya:HPAKL117_00430
ko:K18285	hpya:HPAKL117_03100
ko:K16235	hpya:HPAKL117_02095
ko:K18480	hpya:HPAKL117_07020
ko:K00681	hpya:HPAKL117_05245
ko:K18682	hpya:HPAKL117_03620
ko:K18930	hpya:HPAKL117_05780
ko:K03497	hpya:HPAKL117_05355
ko:K03496	hpya:HPAKL117_05360
ko:K03111	hpya:HPAKL117_05905
ko:K03205	hpya:HPAKL117_02245
ko:K03496	hpya:HPAKL117_06605
ko:K03205	hpya:HPAKL117_06635
ko:K03204	hpya:HPAKL117_06685
ko:K03203	hpya:HPAKL117_06690
ko:K03761	hpya:HPAKL117_01740
ko:K00335	hpya:HPAKL117_06005
ko:K02483	hpya:HPAKL117_00825
ko:K03526	hpya:HPAKL117_02955
ko:K03296	hpya:HPAKL117_02870
ko:K00336	hpya:HPAKL117_06010
ko:K07448	hpya:HPAKL117_01795
ko:K19157	hpya:HPAKL117_06630
ko:K19157	hpya:HPAKL117_04280
ko:K00571	hpya:HPAKL117_00220
ko:K00571	hpya:HPAKL117_00445
ko:K00571	hpya:HPAKL117_01310
ko:K00571	hpya:HPAKL117_06515
ko:K00525	hpya:HPAKL117_03215
ko:K07317	hpya:HPAKL117_04350
ko:K04771	hpya:HPAKL117_02090
ko:K01992	hpya:HPAKL117_07140
ko:K07496	hpya:HPAKL117_04690
ko:K07496	hpya:HPAKL117_04695
ko:K19302	hpya:HPAKL117_04075
ko:K19416	hpya:HPAKL117_04395
ko:K02483	hpya:HPAKL117_01965
ko:K07316	hpya:HPAKL117_03905
ko:K12052	hpya:HPAKL117_02190
ko:K20151	hpya:HPAKL117_03085
ko:K20810	hpya:HPAKL117_01330
ko:K20151	hpya:HPAKL117_05025
ko:K07100	hpya:HPAKL117_05750
ko:K02335	hpya:HPAKL117_07055
ko:K02335	hpya:HPAKL117_02070
ko:K00558	hpya:HPAKL117_00225
ko:K03553	hpya:HPAKL117_00765
ko:K00558	hpya:HPAKL117_05270
ko:K00558	hpya:HPAKL117_01725
ko:K06223	hpya:HPAKL117_02410
ko:K02314	hpya:HPAKL117_06490
ko:K06223	hpya:HPAKL117_07210
ko:K03465	hpya:HPAKL117_07360
ko:K02316	hpya:HPAKL117_00050
ko:K01520	hpya:HPAKL117_04140
ko:K02483	hpya:HPAKL117_06505
ko:K00526	hpya:HPAKL117_05095
ko:K02481	hpya:HPAKL117_03325
ko:K01139	hpya:HPAKL117_03695
ko:K07097	hpya:HPAKL117_01970
ko:K10026	hpya:HPAKL117_04460
ko:K21929	hpya:HPAKL117_03080
ko:K03595	hpya:HPAKL117_02580
ko:K09022	hpya:HPAKL117_04520
ko:K22278	hpya:HPAKL117_01545
ko:K14441	hpya:HPAKL117_03475
ko:K22391	hpya:HPAKL117_04595
ko:K17758	hpya:HPAKL117_06495
ko:K17759	hpya:HPAKL117_06495
ko:K00590	hpya:HPAKL117_06520
ko:K00571	hpya:HPAKL117_06440
ko:K01007	hpya:HPAKL117_00585
