ko:K02495	eab:ECABU_c43700
ko:K01676	eab:ECABU_c46740
ko:K07703	eab:ECABU_c46770
ko:K07701	eab:ECABU_c46780
ko:K06975	eab:ECABU_c46800
ko:K04567	eab:ECABU_c46830
ko:K03305	eab:ECABU_c46840
ko:K07160	eab:ECABU_c07590
ko:K01647	eab:ECABU_c07650
ko:K00242	eab:ECABU_c07680
ko:K00239	eab:ECABU_c07690
ko:K00240	eab:ECABU_c07700
ko:K00164	eab:ECABU_c07710
ko:K00658	eab:ECABU_c07720
ko:K01903	eab:ECABU_c07730
ko:K01902	eab:ECABU_c07740
ko:K09024	eab:ECABU_c10340
ko:K09019	eab:ECABU_c10350
ko:K09023	eab:ECABU_c10360
ko:K09021	eab:ECABU_c10370
ko:K09018	eab:ECABU_c10390
ko:K13821	eab:ECABU_c10410
ko:K07243	eab:ECABU_c10450
ko:K07224	eab:ECABU_c10460
ko:K11937	eab:ECABU_c10490
ko:K11936	eab:ECABU_c10500
ko:K11931	eab:ECABU_c10510
ko:K11935	eab:ECABU_c10520
ko:K07733	eab:ECABU_c10580
ko:K14155	eab:ECABU_c10650
ko:K09458	eab:ECABU_c10750
ko:K07107	eab:ECABU_c10820
ko:K02078	eab:ECABU_c10870
ko:K02078	eab:ECABU_c10880
ko:K06938	eab:ECABU_c19020
ko:K10680	eab:ECABU_c19030
ko:K03683	eab:ECABU_c19050
ko:K07390	eab:ECABU_c19070
ko:K04564	eab:ECABU_c19090
ko:K00574	eab:ECABU_c19150
ko:K00793	eab:ECABU_c19160
ko:K03327	eab:ECABU_c19170
ko:K08354	eab:ECABU_c19240
ko:K00873	eab:ECABU_c19300
ko:K02426	eab:ECABU_c19330
ko:K11717	eab:ECABU_c19340
ko:K09015	eab:ECABU_c19350
ko:K09013	eab:ECABU_c19360
ko:K09014	eab:ECABU_c19370
ko:K05777	eab:ECABU_c20110
ko:K05778	eab:ECABU_c20120
ko:K05779	eab:ECABU_c20130
ko:K08320	eab:ECABU_c20160
ko:K00262	eab:ECABU_c20180
ko:K04045	eab:ECABU_c20200
ko:K01008	eab:ECABU_c20230
ko:K04773	eab:ECABU_c20250
ko:K08281	eab:ECABU_c20270
ko:K08369	eab:ECABU_c20280
ko:K08369	eab:ECABU_c20340
ko:K09916	eab:ECABU_c20360
ko:K00134	eab:ECABU_c20380
ko:K01792	eab:ECABU_c20390
ko:K07180	eab:ECABU_c20420
ko:K09786	eab:ECABU_c20430
ko:K03449	eab:ECABU_c20500
ko:K09712	eab:ECABU_c20530
ko:K13069	eab:ECABU_c20540
ko:K11250	eab:ECABU_c20590
ko:K02057	eab:ECABU_c28470
ko:K00600	eab:ECABU_c28520
ko:K05916	eab:ECABU_c28530
ko:K04751	eab:ECABU_c28540
ko:K07715	eab:ECABU_c28550
ko:K07711	eab:ECABU_c28570
ko:K01952	eab:ECABU_c28580
ko:K11991	eab:ECABU_c28610
ko:K00997	eab:ECABU_c28650
ko:K03474	eab:ECABU_c28660
ko:K03584	eab:ECABU_c28670
ko:K03685	eab:ECABU_c28690
ko:K03100	eab:ECABU_c28700
ko:K03596	eab:ECABU_c28710
ko:K03598	eab:ECABU_c28730
ko:K03597	eab:ECABU_c28740
ko:K03088	eab:ECABU_c28750
ko:K00278	eab:ECABU_c28760
ko:K05590	eab:ECABU_c28780
ko:K11249	eab:ECABU_c28800
ko:K03648	eab:ECABU_c28820
ko:K03214	eab:ECABU_c28830
ko:K03672	eab:ECABU_c28840
ko:K00998	eab:ECABU_c28870
ko:K05811	eab:ECABU_c28880
ko:K03695	eab:ECABU_c28940
ko:K05810	eab:ECABU_c28950
ko:K06180	eab:ECABU_c28960
ko:K00014	eab:ECABU_c36990
ko:K07566	eab:ECABU_c37000
ko:K07479	eab:ECABU_c37010
ko:K04096	eab:ECABU_c37030
ko:K01462	eab:ECABU_c37040
ko:K00604	eab:ECABU_c37050
ko:K03500	eab:ECABU_c37060
ko:K03282	eab:ECABU_c37080
ko:K09890	eab:ECABU_c37090
ko:K02879	eab:ECABU_c37120
ko:K03040	eab:ECABU_c37130
ko:K02986	eab:ECABU_c37140
ko:K02948	eab:ECABU_c37150
ko:K02952	eab:ECABU_c37160
ko:K02919	eab:ECABU_c37170
ko:K03076	eab:ECABU_c37180
ko:K02876	eab:ECABU_c37190
ko:K02907	eab:ECABU_c37200
ko:K02988	eab:ECABU_c37220
ko:K02881	eab:ECABU_c37240
ko:K02933	eab:ECABU_c37250
ko:K02994	eab:ECABU_c37260
ko:K02954	eab:ECABU_c37270
ko:K02931	eab:ECABU_c37280
ko:K02895	eab:ECABU_c37290
ko:K02874	eab:ECABU_c37300
ko:K02961	eab:ECABU_c37310
ko:K02904	eab:ECABU_c37320
ko:K02878	eab:ECABU_c37330
ko:K02982	eab:ECABU_c37340
ko:K02890	eab:ECABU_c37350
ko:K02886	eab:ECABU_c37380
ko:K02892	eab:ECABU_c37390
ko:K02926	eab:ECABU_c37400
ko:K02906	eab:ECABU_c37410
ko:K02946	eab:ECABU_c37420
ko:K02451	eab:ECABU_c37430
ko:K02452	eab:ECABU_c37450
ko:K02453	eab:ECABU_c37460
ko:K01638	eab:ECABU_c45300
ko:K01637	eab:ECABU_c45310
ko:K00906	eab:ECABU_c45320
ko:K03324	eab:ECABU_c45360
ko:K05995	eab:ECABU_c45370
ko:K02815	eab:ECABU_c45390
ko:K02814	eab:ECABU_c45400
ko:K02813	eab:ECABU_c45410
ko:K02812	eab:ECABU_c45420
ko:K06182	eab:ECABU_c45450
ko:K00928	eab:ECABU_c45470
ko:K01810	eab:ECABU_c45480
ko:K13256	eab:ECABU_c45560
ko:K02024	eab:ECABU_c45610
ko:K05775	eab:ECABU_c45620
ko:K03181	eab:ECABU_c45630
ko:K03179	eab:ECABU_c45640
ko:K00631	eab:ECABU_c45650
ko:K00901	eab:ECABU_c45660
ko:K01356	eab:ECABU_c45670
ko:K03327	eab:ECABU_c45680
ko:K09823	eab:ECABU_c45700
ko:K05539	eab:ECABU_c45710
ko:K02529	eab:ECABU_c45790
ko:K01775	eab:ECABU_c45820
ko:K03811	eab:ECABU_c45830
ko:K06890	eab:ECABU_c08280
ko:K06890	eab:ECABU_c08290
ko:K01993	eab:ECABU_c08370
ko:K11927	eab:ECABU_c08390
ko:K13574	eab:ECABU_c08430
ko:K13650	eab:ECABU_c08480
ko:K10037	eab:ECABU_c08520
ko:K10036	eab:ECABU_c08530
ko:K04047	eab:ECABU_c08550
ko:K11939	eab:ECABU_c08560
ko:K11934	eab:ECABU_c08570
ko:K11924	eab:ECABU_c08590
ko:K00656	eab:ECABU_c08640
ko:K04069	eab:ECABU_c08650
ko:K03750	eab:ECABU_c08680
ko:K13051	eab:ECABU_c08690
ko:K13892	eab:ECABU_c08700
ko:K13889	eab:ECABU_c08710
ko:K13890	eab:ECABU_c08720
ko:K13891	eab:ECABU_c08730
ko:K14441	eab:ECABU_c08760
ko:K11208	eab:ECABU_c16850
ko:K00675	eab:ECABU_c17000
ko:K02575	eab:ECABU_c17060
ko:K08349	eab:ECABU_c17110
ko:K02972	eab:ECABU_c17190
ko:K13243	eab:ECABU_c17220
ko:K02471	eab:ECABU_c17300
ko:K06871	eab:ECABU_c17310
ko:K02568	eab:ECABU_c25370
ko:K02573	eab:ECABU_c25390
ko:K02567	eab:ECABU_c25400
ko:K02570	eab:ECABU_c25410
ko:K02572	eab:ECABU_c25420
ko:K08276	eab:ECABU_c25440
ko:K00116	eab:ECABU_c25450
ko:K06159	eab:ECABU_c25460
ko:K03919	eab:ECABU_c25470
ko:K10778	eab:ECABU_c25480
ko:K03734	eab:ECABU_c25490
ko:K09475	eab:ECABU_c25510
ko:K07676	eab:ECABU_c25520
ko:K07687	eab:ECABU_c25530
ko:K07677	eab:ECABU_c25540
ko:K07710	eab:ECABU_c25550
ko:K01034	eab:ECABU_c25570
ko:K02106	eab:ECABU_c25590
ko:K06894	eab:ECABU_c25630
ko:K09934	eab:ECABU_c25640
ko:K02469	eab:ECABU_c25660
ko:K11107	eab:ECABU_c25710
ko:K01126	eab:ECABU_c25730
ko:K02445	eab:ECABU_c25740
ko:K00111	eab:ECABU_c25750
ko:K00112	eab:ECABU_c25760
ko:K00113	eab:ECABU_c25770
ko:K12660	eab:ECABU_c25790
ko:K12661	eab:ECABU_c25810
ko:K11477	eab:ECABU_c33750
ko:K11473	eab:ECABU_c33760
ko:K11472	eab:ECABU_c33770
ko:K11474	eab:ECABU_c33790
ko:K11720	eab:ECABU_c33850
ko:K01460	eab:ECABU_c33940
ko:K04653	eab:ECABU_c33960
ko:K04651	eab:ECABU_c33970
ko:K00384	eab:ECABU_c09290
ko:K03466	eab:ECABU_c09310
ko:K03634	eab:ECABU_c09320
ko:K07478	eab:ECABU_c09330
ko:K01875	eab:ECABU_c09340
ko:K07306	eab:ECABU_c09350
ko:K08219	eab:ECABU_c09390
ko:K04069	eab:ECABU_c09400
ko:K00656	eab:ECABU_c09410
ko:K09136	eab:ECABU_c09430
ko:K00831	eab:ECABU_c09450
ko:K00800	eab:ECABU_c09460
ko:K07387	eab:ECABU_c09470
ko:K00945	eab:ECABU_c09480
ko:K02945	eab:ECABU_c09490
ko:K05788	eab:ECABU_c09500
ko:K00912	eab:ECABU_c09540
ko:K09927	eab:ECABU_c09550
ko:K09791	eab:ECABU_c09560
ko:K00979	eab:ECABU_c09570
ko:K06219	eab:ECABU_c09600
ko:K03633	eab:ECABU_c09610
ko:K03804	eab:ECABU_c09620
ko:K03632	eab:ECABU_c09630
ko:K01893	eab:ECABU_c09690
ko:K00763	eab:ECABU_c09700
ko:K01256	eab:ECABU_c09710
ko:K15554	eab:ECABU_c09730
ko:K15553	eab:ECABU_c09750
ko:K00299	eab:ECABU_c09760
ko:K07140	eab:ECABU_c09790
ko:K15545	eab:ECABU_c17900
ko:K08224	eab:ECABU_c17920
ko:K04775	eab:ECABU_c17940
ko:K11742	eab:ECABU_c17950
ko:K11743	eab:ECABU_c17960
ko:K11744	eab:ECABU_c17970
ko:K00325	eab:ECABU_c17980
ko:K00324	eab:ECABU_c17990
ko:K03758	eab:ECABU_c18010
ko:K13938	eab:ECABU_c18020
ko:K07661	eab:ECABU_c18040
ko:K10015	eab:ECABU_c26390
ko:K10016	eab:ECABU_c26400
ko:K03186	eab:ECABU_c26430
ko:K00764	eab:ECABU_c26440
ko:K03558	eab:ECABU_c26450
ko:K03749	eab:ECABU_c26470
ko:K11754	eab:ECABU_c26480
ko:K01963	eab:ECABU_c26490
ko:K03975	eab:ECABU_c26500
ko:K06173	eab:ECABU_c26510
ko:K03473	eab:ECABU_c26530
ko:K15461	eab:ECABU_c26570
ko:K09906	eab:ECABU_c26590
ko:K07090	eab:ECABU_c26600
ko:K07261	eab:ECABU_c26610
ko:K01736	eab:ECABU_c26620
ko:K07320	eab:ECABU_c26630
ko:K08296	eab:ECABU_c26720
ko:K06076	eab:ECABU_c26760
ko:K04754	eab:ECABU_c26770
ko:K13629	eab:ECABU_c26850
ko:K01753	eab:ECABU_c26860
ko:K07786	eab:ECABU_c26870
ko:K03780	eab:ECABU_c34810
ko:K11106	eab:ECABU_c34820
ko:K02970	eab:ECABU_c34840
ko:K03086	eab:ECABU_c34860
ko:K07229	eab:ECABU_c34900
ko:K06878	eab:ECABU_c34940
ko:K12113	eab:ECABU_c34950
ko:K12111	eab:ECABU_c34960
ko:K12112	eab:ECABU_c34970
ko:K03931	eab:ECABU_c35000
ko:K07043	eab:ECABU_c35040
ko:K07862	eab:ECABU_c35080
ko:K01685	eab:ECABU_c35100
ko:K01812	eab:ECABU_c35110
ko:K08191	eab:ECABU_c35120
ko:K15977	eab:ECABU_c35200
ko:K06911	eab:ECABU_c35250
ko:K01752	eab:ECABU_c35290
ko:K00656	eab:ECABU_c35310
ko:K00926	eab:ECABU_c43230
ko:K01061	eab:ECABU_c43280
ko:K00757	eab:ECABU_c43290
ko:K01631	eab:ECABU_c43330
ko:K00883	eab:ECABU_c43340
ko:K09760	eab:ECABU_c43360
ko:K03183	eab:ECABU_c43370
ko:K03690	eab:ECABU_c43380
ko:K03688	eab:ECABU_c43390
ko:K03116	eab:ECABU_c43400
ko:K05997	eab:ECABU_c19380
ko:K05887	eab:ECABU_c19460
ko:K03785	eab:ECABU_c19470
ko:K00313	eab:ECABU_c19530
ko:K12339	eab:ECABU_c27410
ko:K02045	eab:ECABU_c27420
ko:K02047	eab:ECABU_c27430
ko:K02046	eab:ECABU_c27440
ko:K02048	eab:ECABU_c27450
ko:K07106	eab:ECABU_c27470
ko:K11191	eab:ECABU_c27480
ko:K11192	eab:ECABU_c27480
ko:K07223	eab:ECABU_c27500
ko:K01448	eab:ECABU_c27540
ko:K00228	eab:ECABU_c27550
ko:K04033	eab:ECABU_c27560
ko:K04025	eab:ECABU_c27570
ko:K04026	eab:ECABU_c27580
ko:K03736	eab:ECABU_c27590
ko:K03735	eab:ECABU_c27600
ko:K04019	eab:ECABU_c27610
ko:K04023	eab:ECABU_c27620
ko:K04022	eab:ECABU_c27630
ko:K04024	eab:ECABU_c27640
ko:K04021	eab:ECABU_c27650
ko:K04020	eab:ECABU_c27680
ko:K04032	eab:ECABU_c27690
ko:K04030	eab:ECABU_c27700
ko:K04029	eab:ECABU_c27710
ko:K04031	eab:ECABU_c27720
ko:K00029	eab:ECABU_c27730
ko:K00615	eab:ECABU_c27750
ko:K12945	eab:ECABU_c27770
ko:K07674	eab:ECABU_c27790
ko:K06999	eab:ECABU_c27850
ko:K06957	eab:ECABU_c27860
ko:K01923	eab:ECABU_c27880
ko:K07287	eab:ECABU_c27890
ko:K01714	eab:ECABU_c27900
ko:K01940	eab:ECABU_c35840
ko:K03075	eab:ECABU_c35870
ko:K03431	eab:ECABU_c35880
ko:K00796	eab:ECABU_c35890
ko:K03798	eab:ECABU_c35900
ko:K07574	eab:ECABU_c35920
ko:K03624	eab:ECABU_c35930
ko:K07259	eab:ECABU_c35940
ko:K03979	eab:ECABU_c35950
ko:K02888	eab:ECABU_c36000
ko:K02523	eab:ECABU_c36010
ko:K00790	eab:ECABU_c36030
ko:K07122	eab:ECABU_c36060
ko:K07323	eab:ECABU_c36070
ko:K02066	eab:ECABU_c36090
ko:K02065	eab:ECABU_c36100
ko:K07301	eab:ECABU_c36110
ko:K06041	eab:ECABU_c36120
ko:K03270	eab:ECABU_c36130
ko:K11719	eab:ECABU_c36140
ko:K09774	eab:ECABU_c36150
ko:K06861	eab:ECABU_c36160
ko:K03092	eab:ECABU_c36170
ko:K05808	eab:ECABU_c36180
ko:K06958	eab:ECABU_c36200
ko:K03814	eab:ECABU_c36230
ko:K07648	eab:ECABU_c36250
ko:K07139	eab:ECABU_c36260
ko:K00266	eab:ECABU_c36280
ko:K00885	eab:ECABU_c36300
ko:K03290	eab:ECABU_c36320
ko:K03600	eab:ECABU_c36350
ko:K03599	eab:ECABU_c36370
ko:K14065	eab:ECABU_c44290
ko:K00528	eab:ECABU_c44300
ko:K00864	eab:ECABU_c44320
ko:K02440	eab:ECABU_c44330
ko:K09892	eab:ECABU_c44340
ko:K02553	eab:ECABU_c44350
ko:K02548	eab:ECABU_c44360
ko:K03667	eab:ECABU_c44370
ko:K01419	eab:ECABU_c44380
ko:K03591	eab:ECABU_c44390
ko:K04066	eab:ECABU_c44410
ko:K02909	eab:ECABU_c44420
ko:K03764	eab:ECABU_c44450
ko:K12525	eab:ECABU_c44470
ko:K05517	eab:ECABU_c44480
ko:K00297	eab:ECABU_c44530
ko:K03782	eab:ECABU_c44540
ko:K09974	eab:ECABU_c44560
ko:K00005	eab:ECABU_c44570
ko:K08483	eab:ECABU_c44590
ko:K11189	eab:ECABU_c44590
ko:K11201	eab:ECABU_c44590
ko:K11203	eab:ECABU_c44600
ko:K11202	eab:ECABU_c44610
ko:K00656	eab:ECABU_c44620
ko:K04069	eab:ECABU_c44630
ko:K11202	eab:ECABU_c44640
ko:K01595	eab:ECABU_c44670
ko:K01438	eab:ECABU_c44680
ko:K00145	eab:ECABU_c44690
ko:K00930	eab:ECABU_c44700
ko:K01755	eab:ECABU_c44710
ko:K04761	eab:ECABU_c44740
ko:K01061	eab:ECABU_c34050
ko:K03561	eab:ECABU_c34100
ko:K08325	eab:ECABU_c34140
ko:K02112	eab:ECABU_c42160
ko:K02115	eab:ECABU_c42170
ko:K02111	eab:ECABU_c42190
ko:K02113	eab:ECABU_c42200
ko:K02109	eab:ECABU_c42210
ko:K02110	eab:ECABU_c42220
ko:K02108	eab:ECABU_c42230
ko:K03501	eab:ECABU_c42250
ko:K03495	eab:ECABU_c42260
ko:K06205	eab:ECABU_c42270
ko:K01914	eab:ECABU_c42290
ko:K03924	eab:ECABU_c42310
ko:K03549	eab:ECABU_c42320
ko:K06726	eab:ECABU_c42330
ko:K10441	eab:ECABU_c42340
ko:K02529	eab:ECABU_c42380
ko:K09897	eab:ECABU_c42480
ko:K07391	eab:ECABU_c42490
ko:K01652	eab:ECABU_c42500
ko:K11258	eab:ECABU_c42510
ko:K00826	eab:ECABU_c42520
ko:K01687	eab:ECABU_c42530
ko:K01754	eab:ECABU_c42540
ko:K02521	eab:ECABU_c42550
ko:K00053	eab:ECABU_c42560
ko:K03656	eab:ECABU_c42580
ko:K01524	eab:ECABU_c42590
ko:K03732	eab:ECABU_c42600
ko:K03671	eab:ECABU_c42610
ko:K03628	eab:ECABU_c42620
ko:K05790	eab:ECABU_c42640
ko:K03117	eab:ECABU_c43410
ko:K03118	eab:ECABU_c43420
ko:K03424	eab:ECABU_c43430
ko:K03182	eab:ECABU_c43450
ko:K05368	eab:ECABU_c43460
ko:K01825	eab:ECABU_c43480
ko:K03753	eab:ECABU_c43580
ko:K03752	eab:ECABU_c43590
ko:K09896	eab:ECABU_c43600
ko:K03673	eab:ECABU_c43620
ko:K03978	eab:ECABU_c43680
ko:K09894	eab:ECABU_c43690
ko:K00526	eab:ECABU_c25700
ko:K00425	eab:ECABU_c07770
ko:K00287	eab:ECABU_c00530
ko:K03608	eab:ECABU_c14380
ko:K03609	eab:ECABU_c14390
ko:K03610	eab:ECABU_c14400
ko:K09902	eab:ECABU_c14440
ko:K09160	eab:ECABU_c14460
ko:K03611	eab:ECABU_c14510
ko:K03314	eab:ECABU_c14520
ko:K03603	eab:ECABU_c14530
ko:K00285	eab:ECABU_c14550
ko:K01775	eab:ECABU_c14560
ko:K08308	eab:ECABU_c14590
ko:K03813	eab:ECABU_c14630
ko:K02013	eab:ECABU_c14650
ko:K02015	eab:ECABU_c14660
ko:K02016	eab:ECABU_c14670
ko:K01194	eab:ECABU_c14680
ko:K05881	eab:ECABU_c14690
ko:K00645	eab:ECABU_c22740
ko:K00074	eab:ECABU_c22780
ko:K06133	eab:ECABU_c22810
ko:K00768	eab:ECABU_c22860
ko:K09901	eab:ECABU_c15290
ko:K06131	eab:ECABU_c15300
ko:K10716	eab:ECABU_c15320
ko:K09780	eab:ECABU_c15330
ko:K03832	eab:ECABU_c15340
ko:K10806	eab:ECABU_c15350
ko:K06190	eab:ECABU_c15360
ko:K07275	eab:ECABU_c15380
ko:K01695	eab:ECABU_c15410
ko:K01696	eab:ECABU_c15420
ko:K13498	eab:ECABU_c15430
ko:K13497	eab:ECABU_c15440
ko:K01657	eab:ECABU_c15450
ko:K07053	eab:ECABU_c15460
ko:K06178	eab:ECABU_c15490
ko:K03168	eab:ECABU_c15550
ko:K13634	eab:ECABU_c15560
ko:K01681	eab:ECABU_c15590
ko:K01591	eab:ECABU_c15650
ko:K03113	eab:ECABU_c15660
ko:K04062	eab:ECABU_c15680
ko:K14051	eab:ECABU_c15710
ko:K01147	eab:ECABU_c15720
ko:K00208	eab:ECABU_c15740
ko:K03208	eab:ECABU_c23830
ko:K03207	eab:ECABU_c23840
ko:K02377	eab:ECABU_c23850
ko:K01711	eab:ECABU_c23860
ko:K03818	eab:ECABU_c23870
ko:K13683	eab:ECABU_c23880
ko:K13620	eab:ECABU_c23890
ko:K13684	eab:ECABU_c23900
ko:K03819	eab:ECABU_c23910
ko:K01991	eab:ECABU_c23950
ko:K07289	eab:ECABU_c23990
ko:K01494	eab:ECABU_c24000
ko:K00876	eab:ECABU_c24010
ko:K01247	eab:ECABU_c24030
ko:K04046	eab:ECABU_c24040
ko:K07799	eab:ECABU_c24080
ko:K07788	eab:ECABU_c24090
ko:K07789	eab:ECABU_c24100
ko:K07642	eab:ECABU_c24120
ko:K07664	eab:ECABU_c24130
ko:K09946	eab:ECABU_c24140
ko:K08303	eab:ECABU_c24170
ko:K02774	eab:ECABU_c24230
ko:K02773	eab:ECABU_c24240
ko:K00615	eab:ECABU_c32210
ko:K07387	eab:ECABU_c32220
ko:K00789	eab:ECABU_c32280
ko:K08137	eab:ECABU_c32300
ko:K02742	eab:ECABU_c32310
ko:K01150	eab:ECABU_c32320
ko:K09761	eab:ECABU_c32330
ko:K01920	eab:ECABU_c32340
ko:K07735	eab:ECABU_c32350
ko:K07447	eab:ECABU_c32360
ko:K02669	eab:ECABU_c32370
ko:K06997	eab:ECABU_c32380
ko:K02221	eab:ECABU_c32390
ko:K09131	eab:ECABU_c32400
ko:K09923	eab:ECABU_c32460
ko:K03439	eab:ECABU_c32470
ko:K03575	eab:ECABU_c32480
ko:K08306	eab:ECABU_c32500
ko:K01581	eab:ECABU_c32530
ko:K07150	eab:ECABU_c32540
ko:K00060	eab:ECABU_c40580
ko:K03274	eab:ECABU_c40600
ko:K02841	eab:ECABU_c40620
ko:K02847	eab:ECABU_c40630
ko:K02850	eab:ECABU_c40660
ko:K02848	eab:ECABU_c40690
ko:K02844	eab:ECABU_c40700
ko:K02527	eab:ECABU_c40720
ko:K00954	eab:ECABU_c40730
ko:K02913	eab:ECABU_c40750
ko:K02902	eab:ECABU_c40760
ko:K03630	eab:ECABU_c40770
ko:K13038	eab:ECABU_c40780
ko:K05501	eab:ECABU_c40800
ko:K00762	eab:ECABU_c40810
ko:K00989	eab:ECABU_c40820
ko:K01972	eab:ECABU_c41060
ko:K00942	eab:ECABU_c41070
ko:K03060	eab:ECABU_c41080
ko:K03088	eab:ECABU_c49050
ko:K01129	eab:ECABU_c49100
ko:K07347	eab:ECABU_c49540
ko:K07348	eab:ECABU_c49550
ko:K07349	eab:ECABU_c49560
ko:K07350	eab:ECABU_c49570
ko:K01686	eab:ECABU_c49590
ko:K00943	eab:ECABU_c13120
ko:K02341	eab:ECABU_c13130
ko:K03424	eab:ECABU_c13140
ko:K07337	eab:ECABU_c13190
ko:K07251	eab:ECABU_c13200
ko:K01207	eab:ECABU_c13210
ko:K07000	eab:ECABU_c13220
ko:K03885	eab:ECABU_c13230
ko:K12151	eab:ECABU_c13260
ko:K03723	eab:ECABU_c13280
ko:K09808	eab:ECABU_c13300
ko:K09808	eab:ECABU_c13320
ko:K12410	eab:ECABU_c13340
ko:K07637	eab:ECABU_c13430
ko:K01756	eab:ECABU_c13450
ko:K07153	eab:ECABU_c13460
ko:K00566	eab:ECABU_c13470
ko:K12152	eab:ECABU_c13480
ko:K06181	eab:ECABU_c13490
ko:K00031	eab:ECABU_c13500
ko:K03834	eab:ECABU_c21660
ko:K07039	eab:ECABU_c21670
ko:K00995	eab:ECABU_c21710
ko:K02233	eab:ECABU_c22870
ko:K02231	eab:ECABU_c22880
ko:K09936	eab:ECABU_c23010
ko:K07001	eab:ECABU_c23230
ko:K01448	eab:ECABU_c31130
ko:K14682	eab:ECABU_c31140
ko:K03581	eab:ECABU_c31150
ko:K03582	eab:ECABU_c31160
ko:K01407	eab:ECABU_c31170
ko:K03583	eab:ECABU_c31180
ko:K02681	eab:ECABU_c31190
ko:K02680	eab:ECABU_c31210
ko:K02679	eab:ECABU_c31230
ko:K13292	eab:ECABU_c31250
ko:K08484	eab:ECABU_c31260
ko:K08311	eab:ECABU_c31270
ko:K03573	eab:ECABU_c31280
ko:K08227	eab:ECABU_c31320
ko:K05939	eab:ECABU_c31330
ko:K02529	eab:ECABU_c31350
ko:K01586	eab:ECABU_c31360
ko:K01815	eab:ECABU_c31420
ko:K13480	eab:ECABU_c31490
ko:K01751	eab:ECABU_c31520
ko:K01464	eab:ECABU_c31540
ko:K00926	eab:ECABU_c31550
ko:K07402	eab:ECABU_c31560
ko:K07141	eab:ECABU_c31580
ko:K00428	eab:ECABU_c39570
ko:K01194	eab:ECABU_c39580
ko:K07058	eab:ECABU_c39610
ko:K07290	eab:ECABU_c39630
ko:K00874	eab:ECABU_c39650
ko:K11103	eab:ECABU_c39670
ko:K00694	eab:ECABU_c39720
ko:K12372	eab:ECABU_c39820
ko:K12371	eab:ECABU_c39830
ko:K12370	eab:ECABU_c39840
ko:K12369	eab:ECABU_c39850
ko:K12368	eab:ECABU_c39860
ko:K12975	eab:ECABU_c39880
ko:K08177	eab:ECABU_c39890
ko:K01246	eab:ECABU_c39920
ko:K03826	eab:ECABU_c39930
ko:K07726	eab:ECABU_c39980
ko:K03704	eab:ECABU_c39990
ko:K01879	eab:ECABU_c40010
ko:K01878	eab:ECABU_c40020
ko:K03841	eab:ECABU_c47980
ko:K02558	eab:ECABU_c47990
ko:K09889	eab:ECABU_c48000
ko:K03592	eab:ECABU_c48010
ko:K15536	eab:ECABU_c48020
ko:K02818	eab:ECABU_c48060
ko:K02819	eab:ECABU_c48060
ko:K03485	eab:ECABU_c48070
ko:K01531	eab:ECABU_c48080
ko:K00610	eab:ECABU_c48110
ko:K00609	eab:ECABU_c48120
ko:K00611	eab:ECABU_c48150
ko:K00926	eab:ECABU_c48160
ko:K00611	eab:ECABU_c48190
ko:K09893	eab:ECABU_c48200
ko:K03828	eab:ECABU_c48210
ko:K01873	eab:ECABU_c48230
ko:K02339	eab:ECABU_c48240
ko:K01255	eab:ECABU_c48250
ko:K07091	eab:ECABU_c48260
ko:K11720	eab:ECABU_c48270
ko:K06915	eab:ECABU_c48280
ko:K06146	eab:ECABU_c48290
ko:K06157	eab:ECABU_c48300
ko:K00098	eab:ECABU_c48320
ko:K12957	eab:ECABU_c48340
ko:K03703	eab:ECABU_c21720
ko:K07689	eab:ECABU_c21730
ko:K10010	eab:ECABU_c21770
ko:K10009	eab:ECABU_c21780
ko:K02424	eab:ECABU_c21800
ko:K02425	eab:ECABU_c21810
ko:K02405	eab:ECABU_c21820
ko:K02406	eab:ECABU_c21830
ko:K02407	eab:ECABU_c21840
ko:K02422	eab:ECABU_c21850
ko:K02423	eab:ECABU_c21860
ko:K07112	eab:ECABU_c21890
ko:K02408	eab:ECABU_c21970
ko:K02409	eab:ECABU_c21980
ko:K02410	eab:ECABU_c21990
ko:K02411	eab:ECABU_c22000
ko:K02412	eab:ECABU_c22010
ko:K02413	eab:ECABU_c22020
ko:K02415	eab:ECABU_c22040
ko:K02416	eab:ECABU_c22050
ko:K02417	eab:ECABU_c22060
ko:K02418	eab:ECABU_c22070
ko:K02419	eab:ECABU_c22080
ko:K02420	eab:ECABU_c22090
ko:K02421	eab:ECABU_c22100
ko:K07781	eab:ECABU_c22110
ko:K07026	eab:ECABU_c22150
ko:K09781	eab:ECABU_c22180
ko:K15836	eab:ECABU_c30020
ko:K03555	eab:ECABU_c30060
ko:K07314	eab:ECABU_c30070
ko:K06194	eab:ECABU_c30170
ko:K00573	eab:ECABU_c30180
ko:K03787	eab:ECABU_c30190
ko:K06176	eab:ECABU_c30200
ko:K01770	eab:ECABU_c30210
ko:K00991	eab:ECABU_c30220
ko:K05589	eab:ECABU_c30230
ko:K00860	eab:ECABU_c30250
ko:K00957	eab:ECABU_c30270
ko:K09612	eab:ECABU_c30280
ko:K00390	eab:ECABU_c30290
ko:K00381	eab:ECABU_c30300
ko:K01737	eab:ECABU_c30320
ko:K00313	eab:ECABU_c30330
ko:K10026	eab:ECABU_c30430
ko:K03744	eab:ECABU_c30450
ko:K06872	eab:ECABU_c30460
