ko:K18929	cjej:N564_00068
ko:K01653	cjej:N564_00563
ko:K02536	cjej:N564_00564
ko:K07568	cjej:N564_00565
ko:K03118	cjej:N564_00566
ko:K03117	cjej:N564_00567
ko:K08311	cjej:N564_00569
ko:K00928	cjej:N564_00570
ko:K02341	cjej:N564_00572
ko:K00796	cjej:N564_00573
ko:K01972	cjej:N564_00574
ko:K06442	cjej:N564_00576
ko:K11753	cjej:N564_00577
ko:K15256	cjej:N564_00578
ko:K01173	cjej:N564_00582
ko:K02160	cjej:N564_01309
ko:K01494	cjej:N564_01310
ko:K15894	cjej:N564_01311
ko:K15895	cjej:N564_01312
ko:K00648	cjej:N564_01321
ko:K02500	cjej:N564_01332
ko:K02501	cjej:N564_01333
ko:K02456	cjej:N564_01339
ko:K00099	cjej:N564_01342
ko:K00981	cjej:N564_01343
ko:K03752	cjej:N564_01346
ko:K01058	cjej:N564_01347
ko:K02015	cjej:N564_01348
ko:K02015	cjej:N564_01349
ko:K02013	cjej:N564_01350
ko:K02016	cjej:N564_01351
ko:K03385	cjej:N564_01354
ko:K15876	cjej:N564_01355
ko:K00937	cjej:N564_01356
ko:K03407	cjej:N564_01357
ko:K03551	cjej:N564_01358
ko:K03570	cjej:N564_00262
ko:K01955	cjej:N564_00263
ko:K01079	cjej:N564_00266
ko:K03408	cjej:N564_00267
ko:K03407	cjej:N564_00268
ko:K03415	cjej:N564_00269
ko:K03269	cjej:N564_00270
ko:K03624	cjej:N564_00271
ko:K00748	cjej:N564_00272
ko:K03787	cjej:N564_00277
ko:K01579	cjej:N564_00280
ko:K01918	cjej:N564_00281
ko:K00606	cjej:N564_00282
ko:K02018	cjej:N564_00285
ko:K02020	cjej:N564_00287
ko:K02169	cjej:N564_00288
ko:K09789	cjej:N564_00289
ko:K00833	cjej:N564_00291
ko:K01935	cjej:N564_00292
ko:K02897	cjej:N564_00295
ko:K01056	cjej:N564_00296
ko:K11720	cjej:N564_00297
ko:K01586	cjej:N564_00298
ko:K14170	cjej:N564_00300
ko:K00817	cjej:N564_00301
ko:K02409	cjej:N564_00302
ko:K02410	cjej:N564_00303
ko:K02411	cjej:N564_00304
ko:K01662	cjej:N564_00305
ko:K03183	cjej:N564_00308
ko:K03601	cjej:N564_00309
ko:K00831	cjej:N564_00310
ko:K06923	cjej:N564_01052
ko:K03723	cjej:N564_01053
ko:K11754	cjej:N564_01055
ko:K01869	cjej:N564_01058
ko:K03074	cjej:N564_01059
ko:K03072	cjej:N564_01060
ko:K03210	cjej:N564_01061
ko:K03820	cjej:N564_01062
ko:K00789	cjej:N564_01063
ko:K00609	cjej:N564_01066
ko:K08602	cjej:N564_01067
ko:K03657	cjej:N564_01069
ko:K03563	cjej:N564_01071
ko:K00919	cjej:N564_01072
ko:K03664	cjej:N564_01073
ko:K06891	cjej:N564_01075
ko:K03694	cjej:N564_01076
ko:K00684	cjej:N564_01077
ko:K17103	cjej:N564_01082
ko:K01613	cjej:N564_01083
ko:K03798	cjej:N564_01084
ko:K02687	cjej:N564_01085
ko:K03413	cjej:N564_01086
ko:K07501	cjej:N564_01100
ko:K02841	cjej:N564_01101
ko:K10773	cjej:N564_00583
ko:K01624	cjej:N564_00585
ko:K02557	cjej:N564_00587
ko:K03308	cjej:N564_00589
ko:K04084	cjej:N564_00591
ko:K13888	cjej:N564_00595
ko:K05685	cjej:N564_00596
ko:K09795	cjej:N564_00599
ko:K02217	cjej:N564_00601
ko:K02040	cjej:N564_00602
ko:K02037	cjej:N564_00603
ko:K02038	cjej:N564_00604
ko:K02036	cjej:N564_00605
ko:K07043	cjej:N564_00609
ko:K04656	cjej:N564_00611
ko:K04653	cjej:N564_00613
ko:K04654	cjej:N564_00614
ko:K04651	cjej:N564_00616
ko:K02340	cjej:N564_00617
ko:K12573	cjej:N564_00618
ko:K00053	cjej:N564_00619
ko:K09798	cjej:N564_00620
ko:K04096	cjej:N564_00621
ko:K07447	cjej:N564_00622
ko:K01876	cjej:N564_00627
ko:K00858	cjej:N564_00628
ko:K03631	cjej:N564_00629
ko:K03424	cjej:N564_00631
ko:K08307	cjej:N564_00632
ko:K03642	cjej:N564_00633
ko:K03270	cjej:N564_00634
ko:K09774	cjej:N564_00636
ko:K00820	cjej:N564_01362
ko:K00990	cjej:N564_01363
ko:K06901	cjej:N564_01365
ko:K04754	cjej:N564_01367
ko:K07323	cjej:N564_01368
ko:K01042	cjej:N564_01374
ko:K03833	cjej:N564_01375
ko:K03981	cjej:N564_01376
ko:K03839	cjej:N564_01378
ko:K03781	cjej:N564_01381
ko:K01756	cjej:N564_01390
ko:K04758	cjej:N564_01393
ko:K00208	cjej:N564_01397
ko:K01803	cjej:N564_01398
ko:K00927	cjej:N564_01399
ko:K00134	cjej:N564_01400
ko:K00969	cjej:N564_01401
ko:K09710	cjej:N564_01402
ko:K15778	cjej:N564_01404
ko:K02415	cjej:N564_01405
ko:K00997	cjej:N564_01406
ko:K07265	cjej:N564_01410
ko:K07266	cjej:N564_01411
ko:K14238	cjej:N564_01492
ko:K14222	cjej:N564_01611
ko:K14226	cjej:N564_01662
ko:K14232	cjej:N564_01663
ko:K14237	cjej:N564_01710
ko:K14219	cjej:N564_00480
ko:K14233	cjej:N564_01352
ko:K14225	cjej:N564_00454
ko:K14235	cjej:N564_00458
ko:K14219	cjej:N564_01660
ko:K14219	cjej:N564_01661
ko:K14230	cjej:N564_00558
ko:K14230	cjej:N564_01246
ko:K08173	cjej:N564_00323
ko:K11928	cjej:N564_01496
ko:K05540	cjej:N564_00116
ko:K14230	cjej:N564_01707
ko:K14223	cjej:N564_00559
ko:K14228	cjej:N564_00855
ko:K14228	cjej:N564_00904
ko:K14228	cjej:N564_01610
ko:K14229	cjej:N564_00910
ko:K14220	cjej:N564_01188
ko:K14231	cjej:N564_01300
ko:K07318	cjej:N564_00200
ko:K00290	cjej:N564_00164
ko:K14224	cjej:N564_00159
ko:K14234	cjej:N564_00452
ko:K14234	cjej:N564_00455
ko:K14236	cjej:N564_00453
ko:K14218	cjej:N564_01709
ko:K01497	cjej:N564_00962
ko:K14225	cjej:N564_00856
ko:K14225	cjej:N564_01609
ko:K14233	cjej:N564_01612
ko:K14233	cjej:N564_01708
ko:K00254	cjej:N564_00783
ko:K17938	cjej:N564_00174
ko:K05922	cjej:N564_01230
ko:K05927	cjej:N564_01231
ko:K05927	cjej:N564_01396
ko:K07812	cjej:N564_00249
ko:K00104	cjej:N564_01174
ko:K07003	cjej:N564_01369
ko:K03605	cjej:N564_01228
ko:K05366	cjej:N564_00495
ko:K01533	cjej:N564_01123
ko:K15912	cjej:N564_01088
ko:K15913	cjej:N564_01091
ko:K18284	cjej:N564_00110
ko:K17248	cjej:N564_01095
ko:K11013	cjej:N564_00073
ko:K11784	cjej:N564_00444
ko:K11785	cjej:N564_01669
ko:K18333	cjej:N564_00472
ko:K07171	cjej:N564_01295
ko:K18285	cjej:N564_01364
ko:K08068	cjej:N564_01108
ko:K15910	cjej:N564_01089
ko:K02482	cjej:N564_00772
ko:K01174	cjej:N564_00946
ko:K00983	cjej:N564_01109
ko:K04753	cjej:N564_01510
ko:K06148	cjej:N564_01098
ko:K07216	cjej:N564_01186
ko:K03406	cjej:N564_00922
ko:K02073	cjej:N564_01163
ko:K03326	cjej:N564_01385
ko:K03326	cjej:N564_01386
ko:K02073	cjej:N564_00749
ko:K02073	cjej:N564_00750
ko:K03673	cjej:N564_00838
ko:K03743	cjej:N564_01029
ko:K18480	cjej:N564_01640
ko:K00241	cjej:N564_00420
ko:K06218	cjej:N564_01291
ko:K18925	cjej:N564_00293
ko:K10747	cjej:N564_01664
ko:K18930	cjej:N564_01572
ko:K09797	cjej:N564_00032
ko:K03496	cjej:N564_00093
ko:K03497	cjej:N564_00094
ko:K03111	cjej:N564_01039
ko:K00662	cjej:N564_01316
ko:K18992	cjej:N564_00351
ko:K00335	cjej:N564_01561
ko:K03526	cjej:N564_00669
ko:K11014	cjej:N564_00072
ko:K07452	cjej:N564_00132
ko:K07097	cjej:N564_00849
ko:K06992	cjej:N564_00054
ko:K15461	cjej:N564_01232
ko:K00557	cjej:N564_00808
ko:K00336	cjej:N564_01560
ko:K11015	cjej:N564_00071
ko:K17251	cjej:N564_01094
ko:K19147	cjej:N564_00133
ko:K17249	cjej:N564_01097
ko:K15897	cjej:N564_01330
ko:K15914	cjej:N564_01093
ko:K15915	cjej:N564_01092
ko:K00571	cjej:N564_01250
ko:K17250	cjej:N564_01096
ko:K01654	cjej:N564_01107
ko:K09951	cjej:N564_01514
ko:K15342	cjej:N564_01515
ko:K04771	cjej:N564_01191
ko:K19210	cjej:N564_00283
ko:K15899	cjej:N564_01329
ko:K00265	cjej:N564_00007
ko:K03892	cjej:N564_01550
ko:K06867	cjej:N564_01382
ko:K07496	cjej:N564_00732
ko:K14218	cjej:N564_01740
ko:K14218	cjej:N564_01885
ko:K14218	cjej:N564_02010
ko:K19416	cjej:N564_00221
ko:K06867	cjej:N564_00810
ko:K10938	cjej:N564_00273
ko:K19713	cjej:N564_00845
ko:K03406	cjej:N564_01850
ko:K03406	cjej:N564_01805
ko:K03319	cjej:N564_01775
ko:K03786	cjej:N564_01790
ko:K03406	cjej:N564_02420
ko:K03313	cjej:N564_02430
ko:K01546	cjej:N564_00656
ko:K01934	cjej:N564_02190
ko:K00662	cjej:N564_02215
ko:K18430	cjej:N564_02255
ko:K18429	cjej:N564_02260
ko:K02406	cjej:N564_02305
ko:K02406	cjej:N564_02310
ko:K15669	cjej:N564_02350
ko:K00817	cjej:N564_02385
ko:K01546	cjej:N564_01950
ko:K07147	cjej:N564_00362
ko:K09796	cjej:N564_00876
ko:K20810	cjej:N564_01795
ko:K01977	cjej:N564_01735
ko:K14227	cjej:N564_01745
ko:K14227	cjej:N564_01890
ko:K14227	cjej:N564_02015
ko:K01980	cjej:N564_01750
ko:K01980	cjej:N564_02020
ko:K01980	cjej:N564_01895
ko:K01985	cjej:N564_01755
ko:K01985	cjej:N564_02025
ko:K01985	cjej:N564_01900
ko:K14221	cjej:N564_02090
ko:K14221	cjej:N564_02110
ko:K14237	cjej:N564_02095
ko:K14237	cjej:N564_02115
ko:K14229	cjej:N564_02105
ko:K18431	cjej:N564_02275
ko:K00821	cjej:N564_00212
ko:K01023	cjej:N564_02065
ko:K03553	cjej:N564_01668
ko:K02314	cjej:N564_00548
ko:K02335	cjej:N564_00322
ko:K03465	cjej:N564_00025
ko:K02316	cjej:N564_01629
ko:K02483	cjej:N564_01225
ko:K02483	cjej:N564_00339
ko:K02483	cjej:N564_01190
ko:K00525	cjej:N564_00023
ko:K02032	cjej:N564_01567
ko:K02481	cjej:N564_00991
ko:K01139	cjej:N564_01236
ko:K00526	cjej:N564_00216
ko:K10938	cjej:N564_00757
ko:K03668	cjej:N564_00921
ko:K13695	cjej:N564_01644
ko:K21420	cjej:N564_01002
ko:K01451	cjej:N564_00952
ko:K10026	cjej:N564_00152
ko:K21600	cjej:N564_00497
ko:K21929	cjej:N564_00933
ko:K03595	cjej:N564_00646
ko:K14441	cjej:N564_01447
ko:K17758	cjej:N564_00181
ko:K17759	cjej:N564_00181
ko:K22391	cjej:N564_00689
ko:K22424	cjej:N564_01415
ko:K22477	cjej:N564_00210
