ko:K01006	fcf:FNFX1_0054
ko:K01299	fcf:FNFX1_1774
ko:K01696	fcf:FNFX1_1775
ko:K01695	fcf:FNFX1_1776
ko:K03811	fcf:FNFX1_1778
ko:K03695	fcf:FNFX1_1779
ko:K08289	fcf:FNFX1_1781
ko:K00655	fcf:FNFX1_1785
ko:K00655	fcf:FNFX1_1786
ko:K03313	fcf:FNFX1_1788
ko:K03564	fcf:FNFX1_1793
ko:K03778	fcf:FNFX1_1794
ko:K01256	fcf:FNFX1_1806
ko:K13993	fcf:FNFX1_1807
ko:K13498	fcf:FNFX1_1808
ko:K07023	fcf:FNFX1_1810
ko:K00766	fcf:FNFX1_1815
ko:K01657	fcf:FNFX1_1817
ko:K03720	fcf:FNFX1_1818
ko:K08301	fcf:FNFX1_1819
ko:K02205	fcf:FNFX1_0870
ko:K07735	fcf:FNFX1_0878
ko:K07447	fcf:FNFX1_0879
ko:K01869	fcf:FNFX1_0882
ko:K03643	fcf:FNFX1_0883
ko:K01494	fcf:FNFX1_0886
ko:K06131	fcf:FNFX1_0889
ko:K06131	fcf:FNFX1_0890
ko:K09823	fcf:FNFX1_0895
ko:K01890	fcf:FNFX1_0900
ko:K01889	fcf:FNFX1_0901
ko:K03305	fcf:FNFX1_0903
ko:K01686	fcf:FNFX1_0907
ko:K00874	fcf:FNFX1_0908
ko:K01625	fcf:FNFX1_0909
ko:K01812	fcf:FNFX1_0910
ko:K07727	fcf:FNFX1_0916
ko:K03551	fcf:FNFX1_0918
ko:K01662	fcf:FNFX1_0925
ko:K01951	fcf:FNFX1_0926
ko:K06173	fcf:FNFX1_0928
ko:K02996	fcf:FNFX1_1332
ko:K03599	fcf:FNFX1_1333
ko:K03600	fcf:FNFX1_1334
ko:K03470	fcf:FNFX1_1336
ko:K05808	fcf:FNFX1_1339
ko:K03650	fcf:FNFX1_1341
ko:K01442	fcf:FNFX1_1344
ko:K01697	fcf:FNFX1_1345
ko:K11900	fcf:FNFX1_1361
ko:K11901	fcf:FNFX1_1362
ko:K09001	fcf:FNFX1_1364
ko:K01194	fcf:FNFX1_1366
ko:K01624	fcf:FNFX1_1367
ko:K00873	fcf:FNFX1_1368
ko:K00927	fcf:FNFX1_1369
ko:K00134	fcf:FNFX1_1370
ko:K00615	fcf:FNFX1_1371
ko:K07040	fcf:FNFX1_1372
ko:K02911	fcf:FNFX1_1373
ko:K03621	fcf:FNFX1_1374
ko:K00648	fcf:FNFX1_1375
ko:K00645	fcf:FNFX1_1376
ko:K02871	fcf:FNFX1_1331
ko:K02078	fcf:FNFX1_1378
ko:K09458	fcf:FNFX1_1379
ko:K06141	fcf:FNFX1_1382
ko:K01613	fcf:FNFX1_0464
ko:K04042	fcf:FNFX1_0467
ko:K00820	fcf:FNFX1_0468
ko:K02970	fcf:FNFX1_0470
ko:K03704	fcf:FNFX1_0471
ko:K01265	fcf:FNFX1_0473
ko:K02621	fcf:FNFX1_0476
ko:K08309	fcf:FNFX1_0480
ko:K02337	fcf:FNFX1_0484
ko:K01462	fcf:FNFX1_0485
ko:K09808	fcf:FNFX1_0487
ko:K00605	fcf:FNFX1_0490
ko:K02437	fcf:FNFX1_0491
ko:K00282	fcf:FNFX1_0492
ko:K02313	fcf:FNFX1_0001
ko:K02338	fcf:FNFX1_0002
ko:K03762	fcf:FNFX1_0003
ko:K03837	fcf:FNFX1_0017
ko:K00609	fcf:FNFX1_0023
ko:K01955	fcf:FNFX1_0026
ko:K01956	fcf:FNFX1_0027
ko:K01465	fcf:FNFX1_0031
ko:K09941	fcf:FNFX1_0035
ko:K06861	fcf:FNFX1_0932
ko:K11719	fcf:FNFX1_0934
ko:K03270	fcf:FNFX1_0935
ko:K09158	fcf:FNFX1_0938
ko:K03801	fcf:FNFX1_0939
ko:K15922	fcf:FNFX1_0941
ko:K03885	fcf:FNFX1_0943
ko:K03086	fcf:FNFX1_0944
ko:K09117	fcf:FNFX1_0946
ko:K02970	fcf:FNFX1_0947
ko:K07259	fcf:FNFX1_0948
ko:K07107	fcf:FNFX1_0950
ko:K14058	fcf:FNFX1_0951
ko:K03773	fcf:FNFX1_0952
ko:K02523	fcf:FNFX1_0953
ko:K00860	fcf:FNFX1_0957
ko:K00957	fcf:FNFX1_0962
ko:K01953	fcf:FNFX1_0969
ko:K03789	fcf:FNFX1_0977
ko:K06178	fcf:FNFX1_0979
ko:K02656	fcf:FNFX1_0980
ko:K06941	fcf:FNFX1_0981
ko:K02939	fcf:FNFX1_0983
ko:K02963	fcf:FNFX1_0984
ko:K02990	fcf:FNFX1_0985
ko:K01129	fcf:FNFX1_0579
ko:K18552	fcf:FNFX1_1747
ko:K14231	fcf:FNFX1_R0020
ko:K00845	fcf:FNFX1_0819
ko:K00652	fcf:FNFX1_0823
ko:K03342	fcf:FNFX1_0831
ko:K00383	fcf:FNFX1_0843
ko:K03499	fcf:FNFX1_0859
ko:K03711	fcf:FNFX1_1722
ko:K02433	fcf:FNFX1_1731
ko:K01580	fcf:FNFX1_1742
ko:K01259	fcf:FNFX1_1767
ko:K05524	fcf:FNFX1_1784
ko:K03455	fcf:FNFX1_1804
ko:K07304	fcf:FNFX1_1811
ko:K00569	fcf:FNFX1_0030
ko:K01507	fcf:FNFX1_0936
ko:K07258	fcf:FNFX1_0937
ko:K01885	fcf:FNFX1_0221
ko:K07126	fcf:FNFX1_0281
ko:K02653	fcf:FNFX1_1163
ko:K01785	fcf:FNFX1_1173
ko:K02665	fcf:FNFX1_1184
ko:K00939	fcf:FNFX1_1188
ko:K06201	fcf:FNFX1_0577
ko:K01424	fcf:FNFX1_0580
ko:K10563	fcf:FNFX1_0596
ko:K00845	fcf:FNFX1_0609
ko:K00845	fcf:FNFX1_0610
ko:K00639	fcf:FNFX1_0618
ko:K03177	fcf:FNFX1_1499
ko:K02428	fcf:FNFX1_1505
ko:K03316	fcf:FNFX1_1530
ko:K19416	fcf:FNFX1_1079
ko:K02342	fcf:FNFX1_1002
ko:K03386	fcf:FNFX1_1007
ko:K00101	fcf:FNFX1_1027
ko:K07052	fcf:FNFX1_0166
ko:K02074	fcf:FNFX1_0178
ko:K02077	fcf:FNFX1_0179
ko:K07114	fcf:FNFX1_0207
ko:K07114	fcf:FNFX1_0208
ko:K07114	fcf:FNFX1_0209
ko:K00101	fcf:FNFX1_0217
ko:K01679	fcf:FNFX1_0220
ko:K01262	fcf:FNFX1_1115
ko:K01424	fcf:FNFX1_1134
ko:K03469	fcf:FNFX1_1135
ko:K00121	fcf:FNFX1_0402
ko:K02427	fcf:FNFX1_0431
ko:K00027	fcf:FNFX1_0436
ko:K00845	fcf:FNFX1_0450
ko:K02533	fcf:FNFX1_1337
ko:K02806	fcf:FNFX1_1338
ko:K00059	fcf:FNFX1_1377
ko:K03498	fcf:FNFX1_0296
ko:K02446	fcf:FNFX1_0304
ko:K02067	fcf:FNFX1_0330
ko:K07386	fcf:FNFX1_1235
ko:K01424	fcf:FNFX1_1252
ko:K07025	fcf:FNFX1_1256
ko:K01784	fcf:FNFX1_1264
ko:K03769	fcf:FNFX1_0696
ko:K01488	fcf:FNFX1_0702
ko:K03442	fcf:FNFX1_1616
ko:K15582	fcf:FNFX1_1627
ko:K03317	fcf:FNFX1_1636
ko:K01619	fcf:FNFX1_1637
ko:K11085	fcf:FNFX1_1642
ko:K00974	fcf:FNFX1_1643
ko:K00700	fcf:FNFX1_0500
ko:K01835	fcf:FNFX1_0501
ko:K01081	fcf:FNFX1_0506
ko:K01092	fcf:FNFX1_1384
ko:K01719	fcf:FNFX1_1408
ko:K03574	fcf:FNFX1_0877
ko:K03593	fcf:FNFX1_0887
ko:K00469	fcf:FNFX1_0912
ko:K00674	fcf:FNFX1_1763
ko:K04518	fcf:FNFX1_0753
ko:K13628	fcf:FNFX1_0757
ko:K00616	fcf:FNFX1_0786
ko:K00241	fcf:FNFX1_1679
ko:K06179	fcf:FNFX1_1697
ko:K09806	fcf:FNFX1_1707
ko:K03560	fcf:FNFX1_0359
ko:K07305	fcf:FNFX1_0397
ko:K01759	fcf:FNFX1_1272
ko:K01934	fcf:FNFX1_1281
ko:K00058	fcf:FNFX1_1291
ko:K02067	fcf:FNFX1_1311
ko:K01916	fcf:FNFX1_1321
ko:K16012	fcf:FNFX1_0649
ko:K16013	fcf:FNFX1_0650
ko:K01489	fcf:FNFX1_0658
ko:K00088	fcf:FNFX1_0668
ko:K00949	fcf:FNFX1_0669
ko:K03316	fcf:FNFX1_0107
ko:K00135	fcf:FNFX1_0120
ko:K02050	fcf:FNFX1_0134
ko:K02049	fcf:FNFX1_0135
ko:K02050	fcf:FNFX1_0146
ko:K02238	fcf:FNFX1_0150
ko:K03455	fcf:FNFX1_1052
ko:K03616	fcf:FNFX1_1075
ko:K01104	fcf:FNFX1_1088
ko:K11179	fcf:FNFX1_0538
ko:K04774	fcf:FNFX1_0540
ko:K01424	fcf:FNFX1_0545
ko:K01525	fcf:FNFX1_0551
ko:K03548	fcf:FNFX1_0560
ko:K11312	fcf:FNFX1_1441
ko:K01784	fcf:FNFX1_1466
ko:K09966	fcf:FNFX1_0684
ko:K03784	fcf:FNFX1_0676
ko:K00567	fcf:FNFX1_1566
ko:K04763	fcf:FNFX1_1597
ko:K01409	fcf:FNFX1_1604
ko:K14232	fcf:FNFX1_R0019
ko:K16053	fcf:FNFX1_0885
ko:K14219	fcf:FNFX1_R0018
ko:K16052	fcf:FNFX1_0556
ko:K00122	fcf:FNFX1_1760
ko:K14235	fcf:FNFX1_R0034
ko:K16210	fcf:FNFX1_0940
ko:K01183	fcf:FNFX1_1780
ko:K14223	fcf:FNFX1_R0001
ko:K14218	fcf:FNFX1_R0009
ko:K14218	fcf:FNFX1_R0041
ko:K14218	fcf:FNFX1_R0022
ko:K14230	fcf:FNFX1_R0003
ko:K14234	fcf:FNFX1_R0045
ko:K15583	fcf:FNFX1_1626
ko:K07394	fcf:FNFX1_1422
ko:K16210	fcf:FNFX1_0904
ko:K00956	fcf:FNFX1_0958
ko:K01840	fcf:FNFX1_1451
ko:K11733	fcf:FNFX1_0302
ko:K01069	fcf:FNFX1_1405
ko:K19561	fcf:FNFX1_0827
ko:K01990	fcf:FNFX1_0636
ko:K12262	fcf:FNFX1_1791
ko:K12262	fcf:FNFX1_0083
ko:K03762	fcf:FNFX1_1214
ko:K14219	fcf:FNFX1_R0033
ko:K14230	fcf:FNFX1_R0039
ko:K14228	fcf:FNFX1_R0038
ko:K14225	fcf:FNFX1_R0036
ko:K14234	fcf:FNFX1_R0035
ko:K14224	fcf:FNFX1_R0002
ko:K14237	fcf:FNFX1_R0006
ko:K14237	fcf:FNFX1_R0012
ko:K14233	fcf:FNFX1_R0014
ko:K14226	fcf:FNFX1_R0017
ko:K14228	fcf:FNFX1_R0016
ko:K14237	fcf:FNFX1_R0015
ko:K14227	fcf:FNFX1_R0008
ko:K14227	fcf:FNFX1_R0042
ko:K14227	fcf:FNFX1_R0023
ko:K14228	fcf:FNFX1_R0025
ko:K14222	fcf:FNFX1_R0026
ko:K14225	fcf:FNFX1_R0027
ko:K14225	fcf:FNFX1_R0032
ko:K14220	fcf:FNFX1_R0028
ko:K14219	fcf:FNFX1_R0031
ko:K14230	fcf:FNFX1_R0030
ko:K14233	fcf:FNFX1_R0005
ko:K14229	fcf:FNFX1_R0013
ko:K14221	fcf:FNFX1_R0044
ko:K14233	fcf:FNFX1_R0004
ko:K01977	fcf:FNFX1_R0007
ko:K01977	fcf:FNFX1_R0043
ko:K01977	fcf:FNFX1_R0024
ko:K01980	fcf:FNFX1_R0010
ko:K01980	fcf:FNFX1_R0021
ko:K01980	fcf:FNFX1_R0040
ko:K01985	fcf:FNFX1_R0011
ko:K14228	fcf:FNFX1_R0029
ko:K14236	fcf:FNFX1_R0037
ko:K00537	fcf:FNFX1_0344
ko:K00568	fcf:FNFX1_0325
ko:K10823	fcf:FNFX1_1625
ko:K03321	fcf:FNFX1_0638
ko:K01166	fcf:FNFX1_0896
ko:K07323	fcf:FNFX1_0329
ko:K07122	fcf:FNFX1_0328
ko:K00971	fcf:FNFX1_1452
ko:K02073	fcf:FNFX1_1154
ko:K02072	fcf:FNFX1_1154
ko:K02075	fcf:FNFX1_0177
ko:K09810	fcf:FNFX1_0488
ko:K17716	fcf:FNFX1_1464
ko:K17713	fcf:FNFX1_1587
ko:K01582	fcf:FNFX1_0489
ko:K00040	fcf:FNFX1_0906
ko:K00951	fcf:FNFX1_1547
ko:K01897	fcf:FNFX1_1316
ko:K01897	fcf:FNFX1_1473
ko:K03574	fcf:FNFX1_0343
ko:K01990	fcf:FNFX1_1439
ko:K01992	fcf:FNFX1_1438
ko:K08316	fcf:FNFX1_0662
ko:K03671	fcf:FNFX1_0866
ko:K17836	fcf:FNFX1_1041
ko:K01791	fcf:FNFX1_1462
ko:K01658	fcf:FNFX1_0832
ko:K01658	fcf:FNFX1_1816
ko:K11928	fcf:FNFX1_0305
ko:K07263	fcf:FNFX1_0664
ko:K00537	fcf:FNFX1_1472
ko:K00128	fcf:FNFX1_0997
ko:K17836	fcf:FNFX1_1113
ko:K01187	fcf:FNFX1_0905
ko:K00254	fcf:FNFX1_0044
ko:K12978	fcf:FNFX1_0301
ko:K00632	fcf:FNFX1_1476
ko:K18138	fcf:FNFX1_1646
ko:K07645	fcf:FNFX1_1659
ko:K06148	fcf:FNFX1_1262
ko:K03585	fcf:FNFX1_1645
ko:K02650	fcf:FNFX1_0408
ko:K01011	fcf:FNFX1_0112
ko:K11312	fcf:FNFX1_1440
ko:K18284	fcf:FNFX1_0477
ko:K07666	fcf:FNFX1_1502
ko:K03762	fcf:FNFX1_0076
ko:K04744	fcf:FNFX1_0713
ko:K07260	fcf:FNFX1_1001
ko:K03462	fcf:FNFX1_1480
ko:K00681	fcf:FNFX1_1207
ko:K18800	fcf:FNFX1_1278
ko:K18841	fcf:FNFX1_0647
ko:K03328	fcf:FNFX1_1456
ko:K18930	fcf:FNFX1_1026
ko:K03674	fcf:FNFX1_1016
ko:K03111	fcf:FNFX1_0116
ko:K03646	fcf:FNFX1_0360
ko:K04565	fcf:FNFX1_0398
ko:K03496	fcf:FNFX1_0426
ko:K03497	fcf:FNFX1_0427
ko:K18842	fcf:FNFX1_0646
ko:K00335	fcf:FNFX1_1716
ko:K03526	fcf:FNFX1_1117
ko:K07481	fcf:FNFX1_0898
ko:K07481	fcf:FNFX1_0619
ko:K07481	fcf:FNFX1_1559
ko:K02663	fcf:FNFX1_1186
ko:K18979	fcf:FNFX1_0776
ko:K02664	fcf:FNFX1_1185
ko:K13713	fcf:FNFX1_0413
ko:K01710	fcf:FNFX1_1453
ko:K22468	fcf:FNFX1_1509
ko:K19068	fcf:FNFX1_1463
ko:K00336	fcf:FNFX1_1715
ko:K01183	fcf:FNFX1_0621
ko:K00020	fcf:FNFX1_0022
ko:K01992	fcf:FNFX1_0637
ko:K01152	fcf:FNFX1_1653
ko:K00526	fcf:FNFX1_1017
ko:K03676	fcf:FNFX1_1017
ko:K08156	fcf:FNFX1_0576
ko:K04517	fcf:FNFX1_0045
ko:K19802	fcf:FNFX1_0707
ko:K19810	fcf:FNFX1_0725
ko:K05770	fcf:FNFX1_0771
ko:K03271	fcf:FNFX1_0096
ko:K20265	fcf:FNFX1_1574
ko:K20265	fcf:FNFX1_1567
ko:K20265	fcf:FNFX1_0857
ko:K20265	fcf:FNFX1_0561
ko:K20276	fcf:FNFX1_1558
ko:K20265	fcf:FNFX1_0320
ko:K00507	fcf:FNFX1_1497
ko:K00507	fcf:FNFX1_1603
ko:K20534	fcf:FNFX1_1437
ko:K01932	fcf:FNFX1_1250
ko:K01200	fcf:FNFX1_0499
ko:K02314	fcf:FNFX1_0982
ko:K00287	fcf:FNFX1_0230
ko:K01520	fcf:FNFX1_0237
ko:K03553	fcf:FNFX1_0114
ko:K00560	fcf:FNFX1_1290
ko:K06197	fcf:FNFX1_1172
ko:K02316	fcf:FNFX1_0945
ko:K13522	fcf:FNFX1_0466
ko:K00857	fcf:FNFX1_1101
ko:K06217	fcf:FNFX1_1105
ko:K02335	fcf:FNFX1_1640
ko:K02483	fcf:FNFX1_1489
ko:K03293	fcf:FNFX1_0400
ko:K21379	fcf:FNFX1_1459
ko:K00525	fcf:FNFX1_1015
ko:K01139	fcf:FNFX1_1247
ko:K21600	fcf:FNFX1_0995
ko:K04103	fcf:FNFX1_0108
ko:K21829	fcf:FNFX1_0371
ko:K22116	fcf:FNFX1_1249
ko:K22132	fcf:FNFX1_1010
ko:K03595	fcf:FNFX1_1191
ko:K07488	fcf:FNFX1_0228
ko:K07488	fcf:FNFX1_1303
ko:K07488	fcf:FNFX1_0569
ko:K07488	fcf:FNFX1_0899
ko:K07488	fcf:FNFX1_0620
ko:K07488	fcf:FNFX1_0999
ko:K07488	fcf:FNFX1_0922
ko:K07488	fcf:FNFX1_0942
ko:K07488	fcf:FNFX1_0175
ko:K07488	fcf:FNFX1_0743
ko:K07488	fcf:FNFX1_0804
ko:K07488	fcf:FNFX1_1084
ko:K02257	fcf:FNFX1_0197
ko:K13566	fcf:FNFX1_1417
