ko:K18917	cou:Cp162_0628
ko:K00135	cou:Cp162_1909
ko:K01596	cou:Cp162_1918
ko:K03475	cou:Cp162_0089
ko:K07386	cou:Cp162_0102
ko:K11387	cou:Cp162_0106
ko:K13686	cou:Cp162_0107
ko:K11707	cou:Cp162_0116
ko:K11710	cou:Cp162_0117
ko:K11708	cou:Cp162_0118
ko:K11709	cou:Cp162_0119
ko:K11707	cou:Cp162_0120
ko:K04517	cou:Cp162_0136
ko:K06994	cou:Cp162_0140
ko:K01885	cou:Cp162_0142
ko:K03299	cou:Cp162_0143
ko:K00851	cou:Cp162_0144
ko:K00046	cou:Cp162_0146
ko:K03299	cou:Cp162_0153
ko:K07009	cou:Cp162_0160
ko:K02342	cou:Cp162_0162
ko:K03784	cou:Cp162_0166
ko:K01619	cou:Cp162_0168
ko:K07657	cou:Cp162_0187
ko:K05570	cou:Cp162_0190
ko:K05568	cou:Cp162_0192
ko:K05565	cou:Cp162_0194
ko:K06877	cou:Cp162_0221
ko:K01322	cou:Cp162_0234
ko:K00241	cou:Cp162_0239
ko:K15521	cou:Cp162_0254
ko:K07776	cou:Cp162_0257
ko:K06196	cou:Cp162_0282
ko:K02549	cou:Cp162_0295
ko:K00016	cou:Cp162_0300
ko:K00805	cou:Cp162_0302
ko:K01372	cou:Cp162_0308
ko:K02035	cou:Cp162_0353
ko:K01424	cou:Cp162_0365
ko:K00939	cou:Cp162_0384
ko:K14743	cou:Cp162_0397
ko:K01409	cou:Cp162_0418
ko:K00088	cou:Cp162_0424
ko:K00088	cou:Cp162_0425
ko:K02077	cou:Cp162_0440
ko:K03709	cou:Cp162_0444
ko:K07258	cou:Cp162_0464
ko:K01488	cou:Cp162_0465
ko:K01958	cou:Cp162_0474
ko:K11263	cou:Cp162_0477
ko:K01011	cou:Cp162_0478
ko:K00852	cou:Cp162_0484
ko:K01966	cou:Cp162_0487
ko:K01966	cou:Cp162_0488
ko:K02025	cou:Cp162_0497
ko:K07670	cou:Cp162_0516
ko:K07654	cou:Cp162_0517
ko:K00508	cou:Cp162_0526
ko:K02342	cou:Cp162_0867
ko:K02433	cou:Cp162_0871
ko:K00058	cou:Cp162_0894
ko:K07182	cou:Cp162_0896
ko:K02342	cou:Cp162_0897
ko:K01885	cou:Cp162_0901
ko:K03932	cou:Cp162_0902
ko:K07030	cou:Cp162_0915
ko:K08974	cou:Cp162_0925
ko:K01515	cou:Cp162_0966
ko:K04763	cou:Cp162_0967
ko:K07792	cou:Cp162_0978
ko:K06889	cou:Cp162_0989
ko:K07397	cou:Cp162_0989
ko:K00033	cou:Cp162_1001
ko:K00721	cou:Cp162_1013
ko:K13540	cou:Cp162_1020
ko:K00595	cou:Cp162_1023
ko:K03727	cou:Cp162_1026
ko:K13787	cou:Cp162_1408
ko:K00845	cou:Cp162_1416
ko:K13668	cou:Cp162_1417
ko:K03891	cou:Cp162_1421
ko:K03890	cou:Cp162_1422
ko:K03889	cou:Cp162_1423
ko:K07035	cou:Cp162_1448
ko:K00088	cou:Cp162_1449
ko:K01823	cou:Cp162_1516
ko:K06147	cou:Cp162_1520
ko:K02035	cou:Cp162_1527
ko:K02033	cou:Cp162_1528
ko:K02035	cou:Cp162_1539
ko:K02004	cou:Cp162_1669
ko:K16013	cou:Cp162_1682
ko:K16012	cou:Cp162_1683
ko:K15520	cou:Cp162_1692
ko:K02619	cou:Cp162_1696
ko:K03647	cou:Cp162_1702
ko:K03499	cou:Cp162_1713
ko:K10947	cou:Cp162_1834
ko:K01011	cou:Cp162_1841
ko:K02004	cou:Cp162_1862
ko:K02005	cou:Cp162_1864
ko:K13640	cou:Cp162_1872
ko:K13687	cou:Cp162_1934
ko:K14136	cou:Cp162_1936
ko:K01854	cou:Cp162_1944
ko:K04518	cou:Cp162_1957
ko:K03317	cou:Cp162_1967
ko:K01489	cou:Cp162_1968
ko:K00758	cou:Cp162_1969
ko:K00016	cou:Cp162_1970
ko:K07304	cou:Cp162_1971
ko:K13671	cou:Cp162_1977
ko:K02035	cou:Cp162_2042
ko:K02033	cou:Cp162_2043
ko:K02031	cou:Cp162_2044
ko:K02034	cou:Cp162_2044
ko:K00970	cou:Cp162_2074
ko:K07177	cou:Cp162_0549
ko:K09118	cou:Cp162_0552
ko:K00368	cou:Cp162_0556
ko:K05602	cou:Cp162_0570
ko:K12942	cou:Cp162_0574
ko:K10843	cou:Cp162_0588
ko:K01962	cou:Cp162_0605
ko:K01963	cou:Cp162_0605
ko:K01692	cou:Cp162_0610
ko:K02035	cou:Cp162_0622
ko:K02033	cou:Cp162_0623
ko:K02228	cou:Cp162_0627
ko:K01082	cou:Cp162_0631
ko:K03649	cou:Cp162_0634
ko:K05522	cou:Cp162_0635
ko:K00135	cou:Cp162_0638
ko:K04093	cou:Cp162_0639
ko:K07653	cou:Cp162_0659
ko:K08372	cou:Cp162_0660
ko:K01934	cou:Cp162_0664
ko:K01259	cou:Cp162_0694
ko:K02428	cou:Cp162_0710
ko:K07669	cou:Cp162_0658
ko:K09009	cou:Cp162_0715
ko:K12503	cou:Cp162_0724
ko:K00867	cou:Cp162_0726
ko:K01679	cou:Cp162_0736
ko:K02446	cou:Cp162_0737
ko:K09146	cou:Cp162_0763
ko:K15525	cou:Cp162_0768
ko:K00674	cou:Cp162_0775
ko:K00674	cou:Cp162_0777
ko:K01439	cou:Cp162_0778
ko:K13693	cou:Cp162_0781
ko:K16148	cou:Cp162_0787
ko:K03593	cou:Cp162_0793
ko:K01616	cou:Cp162_0797
ko:K03929	cou:Cp162_0801
ko:K03307	cou:Cp162_0806
ko:K04750	cou:Cp162_0812
ko:K00666	cou:Cp162_0835
ko:K07503	cou:Cp162_0852
ko:K00700	cou:Cp162_0856
ko:K14222	cou:Cp162_t30
ko:K13573	cou:Cp162_1029
ko:K13571	cou:Cp162_1031
ko:K13570	cou:Cp162_1032
ko:K13527	cou:Cp162_1034
ko:K07442	cou:Cp162_1035
ko:K01523	cou:Cp162_1044
ko:K00548	cou:Cp162_1046
ko:K15526	cou:Cp162_1048
ko:K06910	cou:Cp162_1055
ko:K07588	cou:Cp162_1062
ko:K01847	cou:Cp162_1063
ko:K01847	cou:Cp162_1064
ko:K04488	cou:Cp162_1084
ko:K14339	cou:Cp162_1090
ko:K00616	cou:Cp162_1096
ko:K09762	cou:Cp162_1105
ko:K07054	cou:Cp162_1149
ko:K03768	cou:Cp162_1162
ko:K02035	cou:Cp162_1166
ko:K08256	cou:Cp162_1180
ko:K07305	cou:Cp162_1191
ko:K01092	cou:Cp162_1202
ko:K03087	cou:Cp162_1211
ko:K03709	cou:Cp162_1212
ko:K01784	cou:Cp162_1213
ko:K03386	cou:Cp162_1218
ko:K03436	cou:Cp162_1227
ko:K08483	cou:Cp162_1228
ko:K03436	cou:Cp162_1229
ko:K00882	cou:Cp162_1230
ko:K11189	cou:Cp162_1233
ko:K03743	cou:Cp162_1255
ko:K05794	cou:Cp162_1258
ko:K03177	cou:Cp162_1270
ko:K00567	cou:Cp162_1286
ko:K03404	cou:Cp162_1290
ko:K10563	cou:Cp162_1333
ko:K01496	cou:Cp162_1350
ko:K01092	cou:Cp162_1352
ko:K01814	cou:Cp162_1353
ko:K01817	cou:Cp162_1353
ko:K02342	cou:Cp162_1365
ko:K01104	cou:Cp162_1471
ko:K02566	cou:Cp162_1479
ko:K03711	cou:Cp162_1496
ko:K02428	cou:Cp162_1631
ko:K02274	cou:Cp162_1648
ko:K03647	cou:Cp162_1653
ko:K01916	cou:Cp162_1656
ko:K01835	cou:Cp162_1666
ko:K01507	cou:Cp162_1773
ko:K05568	cou:Cp162_1790
ko:K05570	cou:Cp162_1792
ko:K03574	cou:Cp162_1804
ko:K14949	cou:Cp162_1807
ko:K02348	cou:Cp162_1811
ko:K16264	cou:Cp162_0891
ko:K15772	cou:Cp162_0378
ko:K16653	cou:Cp162_0109
ko:K15770	cou:Cp162_0376
ko:K15771	cou:Cp162_0377
ko:K16783	cou:Cp162_1252
ko:K02484	cou:Cp162_1718
ko:K01985	cou:Cp162_r03
ko:K01985	cou:Cp162_r06
ko:K01985	cou:Cp162_r07
ko:K01985	cou:Cp162_r10
ko:K16784	cou:Cp162_1251
ko:K16652	cou:Cp162_0108
ko:K16647	cou:Cp162_1189
ko:K16650	cou:Cp162_1938
ko:K16649	cou:Cp162_0115
ko:K02851	cou:Cp162_0840
ko:K16648	cou:Cp162_1913
ko:K02030	cou:Cp162_1806
ko:K14228	cou:Cp162_t04
ko:K01906	cou:Cp162_1177
ko:K11991	cou:Cp162_0138
ko:K14224	cou:Cp162_t23
ko:K14224	cou:Cp162_t24
ko:K14219	cou:Cp162_t18
ko:K14225	cou:Cp162_t49
ko:K14228	cou:Cp162_t41
ko:K14233	cou:Cp162_t10
ko:K14219	cou:Cp162_t21
ko:K14228	cou:Cp162_t25
ko:K14228	cou:Cp162_t27
ko:K14231	cou:Cp162_t43
ko:K14234	cou:Cp162_t48
ko:K14219	cou:Cp162_t08
ko:K14219	cou:Cp162_t07
ko:K14232	cou:Cp162_t26
ko:K14237	cou:Cp162_t31
ko:K14237	cou:Cp162_t33
ko:K14220	cou:Cp162_t35
ko:K14218	cou:Cp162_t42
ko:K02768	cou:Cp162_1319
ko:K02769	cou:Cp162_1319
ko:K02770	cou:Cp162_1319
ko:K00966	cou:Cp162_0503
ko:K14234	cou:Cp162_t14
ko:K14225	cou:Cp162_t37
ko:K08316	cou:Cp162_0918
ko:K14225	cou:Cp162_t29
ko:K14225	cou:Cp162_t32
ko:K00108	cou:Cp162_1760
ko:K16870	cou:Cp162_0502
ko:K02303	cou:Cp162_1283
ko:K16925	cou:Cp162_0752
ko:K16786	cou:Cp162_0753
ko:K16787	cou:Cp162_0753
ko:K16785	cou:Cp162_0754
ko:K14227	cou:Cp162_t01
ko:K14233	cou:Cp162_t06
ko:K14234	cou:Cp162_t12
ko:K14236	cou:Cp162_t13
ko:K14223	cou:Cp162_t19
ko:K14223	cou:Cp162_t22
ko:K14224	cou:Cp162_t46
ko:K14229	cou:Cp162_t40
ko:K14229	cou:Cp162_t47
ko:K14237	cou:Cp162_t28
ko:K14218	cou:Cp162_t02
ko:K14218	cou:Cp162_t03
ko:K14233	cou:Cp162_t05
ko:K14233	cou:Cp162_t09
ko:K14219	cou:Cp162_t38
ko:K14230	cou:Cp162_t15
ko:K14230	cou:Cp162_t17
ko:K14230	cou:Cp162_t34
ko:K14221	cou:Cp162_t44
ko:K14221	cou:Cp162_t45
ko:K01980	cou:Cp162_r02
ko:K01980	cou:Cp162_r08
ko:K01980	cou:Cp162_r11
ko:K01980	cou:Cp162_r05
ko:K15582	cou:Cp162_0759
ko:K15581	cou:Cp162_0758
ko:K01990	cou:Cp162_1851
ko:K01992	cou:Cp162_1852
ko:K01992	cou:Cp162_1830
ko:K01990	cou:Cp162_1831
ko:K01990	cou:Cp162_1995
ko:K00951	cou:Cp162_1164
ko:K01897	cou:Cp162_0253
ko:K01897	cou:Cp162_1510
ko:K15580	cou:Cp162_0757
ko:K03416	cou:Cp162_0565
ko:K17489	cou:Cp162_0566
ko:K01990	cou:Cp162_0324
ko:K01990	cou:Cp162_1091
ko:K01990	cou:Cp162_1605
ko:K01990	cou:Cp162_1803
ko:K14232	cou:Cp162_t11
ko:K14228	cou:Cp162_t20
ko:K14226	cou:Cp162_t39
ko:K17490	cou:Cp162_0568
ko:K17489	cou:Cp162_0567
ko:K17686	cou:Cp162_2001
ko:K03671	cou:Cp162_1999
ko:K02010	cou:Cp162_0183
ko:K14232	cou:Cp162_t36
ko:K14235	cou:Cp162_t16
ko:K03767	cou:Cp162_0018
ko:K00537	cou:Cp162_0762
ko:K02026	cou:Cp162_0496
ko:K07284	cou:Cp162_1847
ko:K11928	cou:Cp162_0815
ko:K01658	cou:Cp162_2062
ko:K01267	cou:Cp162_1036
ko:K14337	cou:Cp162_1409
ko:K02027	cou:Cp162_0499
ko:K07284	cou:Cp162_1878
ko:K00254	cou:Cp162_1052
ko:K08168	cou:Cp162_0167
ko:K17883	cou:Cp162_1293
ko:K02031	cou:Cp162_0354
ko:K02032	cou:Cp162_0354
ko:K02031	cou:Cp162_0625
ko:K02032	cou:Cp162_0625
ko:K02031	cou:Cp162_1530
ko:K02032	cou:Cp162_1530
ko:K02058	cou:Cp162_0014
ko:K00130	cou:Cp162_1758
ko:K21480	cou:Cp162_1457
ko:K18118	cou:Cp162_1684
ko:K21687	cou:Cp162_0591
ko:K21688	cou:Cp162_0677
ko:K01619	cou:Cp162_0245
ko:K00574	cou:Cp162_1006
ko:K01372	cou:Cp162_0307
ko:K00652	cou:Cp162_1178
ko:K00299	cou:Cp162_1154
ko:K07284	cou:Cp162_1849
ko:K13671	cou:Cp162_1932
ko:K00138	cou:Cp162_1869
ko:K18292	cou:Cp162_1156
ko:K02483	cou:Cp162_1719
ko:K16237	cou:Cp162_0776
ko:K16237	cou:Cp162_0774
ko:K18455	cou:Cp162_0722
ko:K03574	cou:Cp162_0909
ko:K01990	cou:Cp162_0122
ko:K01992	cou:Cp162_0123
ko:K02032	cou:Cp162_1880
ko:K02032	cou:Cp162_2045
ko:K18955	cou:Cp162_0533
ko:K06147	cou:Cp162_0798
ko:K18929	cou:Cp162_0827
ko:K18928	cou:Cp162_0828
ko:K03111	cou:Cp162_2009
ko:K03497	cou:Cp162_2084
ko:K03496	cou:Cp162_2085
ko:K03111	cou:Cp162_1594
ko:K04565	cou:Cp162_0607
ko:K03496	cou:Cp162_0968
ko:K03976	cou:Cp162_0530
ko:K03526	cou:Cp162_1298
ko:K00067	cou:Cp162_0231
ko:K01790	cou:Cp162_0231
ko:K10563	cou:Cp162_2023
ko:K19221	cou:Cp162_1288
ko:K01239	cou:Cp162_1751
ko:K01710	cou:Cp162_0232
ko:K09951	cou:Cp162_1643
ko:K00525	cou:Cp162_1652
ko:K19125	cou:Cp162_0025
ko:K01239	cou:Cp162_1268
ko:K19265	cou:Cp162_0880
ko:K19302	cou:Cp162_0121
ko:K00020	cou:Cp162_0154
ko:K01785	cou:Cp162_0805
ko:K19302	cou:Cp162_1940
ko:K03722	cou:Cp162_1639
ko:K01992	cou:Cp162_1802
ko:K06867	cou:Cp162_1509
ko:K06867	cou:Cp162_1547
ko:K06221	cou:Cp162_0609
ko:K19577	cou:Cp162_0458
ko:K19710	cou:Cp162_1183
ko:K07119	cou:Cp162_1614
ko:K19784	cou:Cp162_1973
ko:K02033	cou:Cp162_1538
ko:K02034	cou:Cp162_1538
ko:K09796	cou:Cp162_1186
ko:K12132	cou:Cp162_0033
ko:K12132	cou:Cp162_1411
ko:K12132	cou:Cp162_0034
ko:K20074	cou:Cp162_0037
ko:K02654	cou:Cp162_1141
ko:K20468	cou:Cp162_1922
ko:K20470	cou:Cp162_1921
ko:K01214	cou:Cp162_1364
ko:K01200	cou:Cp162_0702
ko:K20814	cou:Cp162_1033
ko:K21071	cou:Cp162_0878
ko:K01768	cou:Cp162_0225
ko:K00821	cou:Cp162_0950
ko:K00287	cou:Cp162_0629
ko:K00560	cou:Cp162_0630
ko:K21636	cou:Cp162_0329
ko:K02335	cou:Cp162_0926
ko:K07465	cou:Cp162_1038
ko:K02314	cou:Cp162_2003
ko:K01520	cou:Cp162_1199
ko:K03553	cou:Cp162_1248
ko:K03465	cou:Cp162_1264
ko:K02316	cou:Cp162_1485
ko:K06217	cou:Cp162_1504
ko:K06191	cou:Cp162_1654
ko:K09820	cou:Cp162_0315
ko:K01436	cou:Cp162_0472
ko:K09819	cou:Cp162_0316
ko:K22468	cou:Cp162_0683
ko:K02075	cou:Cp162_0443
ko:K02075	cou:Cp162_0442
ko:K02074	cou:Cp162_0441
ko:K00526	cou:Cp162_1650
ko:K00526	cou:Cp162_1703
ko:K21481	cou:Cp162_1616
ko:K21473	cou:Cp162_1072
ko:K05364	cou:Cp162_0035
ko:K21471	cou:Cp162_1418
ko:K21401	cou:Cp162_0301
ko:K21498	cou:Cp162_1039
ko:K10914	cou:Cp162_0204
ko:K21685	cou:Cp162_1675
ko:K21962	cou:Cp162_1075
ko:K22044	cou:Cp162_0887
ko:K22044	cou:Cp162_1588
ko:K03595	cou:Cp162_1500
ko:K04096	cou:Cp162_1312
ko:K02919	cou:Cp162_1655
ko:K07504	cou:Cp162_2151
ko:K00798	cou:Cp162_1674
ko:K19126	cou:Cp162_2093
ko:K19124	cou:Cp162_2096
ko:K02013	cou:Cp162_2161
ko:K06881	cou:Cp162_1274
ko:K12574	cou:Cp162_1262
ko:K03932	cou:Cp162_2155
ko:K06966	cou:Cp162_0080
ko:K02768	cou:Cp162_1231
ko:K02769	cou:Cp162_1231
ko:K02770	cou:Cp162_1231
ko:K03646	cou:Cp162_2156
ko:K02803	cou:Cp162_0129
ko:K02804	cou:Cp162_0129
ko:K02777	cou:Cp162_2108
ko:K14194	cou:Cp162_1835
ko:K18955	cou:Cp162_0200
ko:K07791	cou:Cp162_1042
ko:K09384	cou:Cp162_2158
ko:K07784	cou:Cp162_1975
ko:K02033	cou:Cp162_2110
ko:K21147	cou:Cp162_2111
ko:K03636	cou:Cp162_2165
ko:K02017	cou:Cp162_2113
ko:K02018	cou:Cp162_2113
ko:K02020	cou:Cp162_2114
ko:K00374	cou:Cp162_2115
ko:K00373	cou:Cp162_2164
ko:K00371	cou:Cp162_2116
ko:K00370	cou:Cp162_2117
ko:K02575	cou:Cp162_2163
ko:K02755	cou:Cp162_0931
ko:K02756	cou:Cp162_0931
ko:K02757	cou:Cp162_0931
ko:K02575	cou:Cp162_2118
ko:K03637	cou:Cp162_2167
ko:K03750	cou:Cp162_0366
ko:K10112	cou:Cp162_0382
ko:K01265	cou:Cp162_0385
ko:K01186	cou:Cp162_0386
ko:K07085	cou:Cp162_0414
ko:K02030	cou:Cp162_0924
ko:K05596	cou:Cp162_0882
ko:K01657	cou:Cp162_2061
ko:K02031	cou:Cp162_0760
ko:K02032	cou:Cp162_0760
ko:K00077	cou:Cp162_0751
ko:K03724	cou:Cp162_0633
ko:K07052	cou:Cp162_2169
ko:K07052	cou:Cp162_2170
ko:K03724	cou:Cp162_2171
ko:K03657	cou:Cp162_0640
ko:K02034	cou:Cp162_1529
ko:K03427	cou:Cp162_2123
ko:K03589	cou:Cp162_1389
ko:K01424	cou:Cp162_1380
ko:K01754	cou:Cp162_1372
ko:K19745	cou:Cp162_2129
ko:K04095	cou:Cp162_2135
ko:K01046	cou:Cp162_0074
ko:K17758	cou:Cp162_2024
ko:K17759	cou:Cp162_2024
ko:K22316	cou:Cp162_1466
ko:K22306	cou:Cp162_1553
ko:K02257	cou:Cp162_1094
ko:K22311	cou:Cp162_1181
ko:K00666	cou:Cp162_0228
ko:K11206	cou:Cp162_1865
ko:K22476	cou:Cp162_1799
ko:K00728	cou:Cp162_0671
ko:K22468	cou:Cp162_1779
ko:K08300	cou:Cp162_1564
ko:K08301	cou:Cp162_1564
ko:K07566	cou:Cp162_0839
