ko:K12978	fpi:BF30_727
ko:K01784	fpi:BF30_1733
ko:K01953	fpi:BF30_1736
ko:K07025	fpi:BF30_1745
ko:K13282	fpi:BF30_1747
ko:K01424	fpi:BF30_1748
ko:K03762	fpi:BF30_1754
ko:K01126	fpi:BF30_1762
ko:K03802	fpi:BF30_1763
ko:K01770	fpi:BF30_1765
ko:K02071	fpi:BF30_1771
ko:K08591	fpi:BF30_1772
ko:K00773	fpi:BF30_1773
ko:K03643	fpi:BF30_5
ko:K03671	fpi:BF30_13
ko:K09015	fpi:BF30_15
ko:K09013	fpi:BF30_16
ko:K09014	fpi:BF30_17
ko:K03499	fpi:BF30_19
ko:K01759	fpi:BF30_682
ko:K01676	fpi:BF30_684
ko:K03655	fpi:BF30_686
ko:K02902	fpi:BF30_688
ko:K02913	fpi:BF30_689
ko:K03610	fpi:BF30_690
ko:K03609	fpi:BF30_691
ko:K03608	fpi:BF30_692
ko:K02065	fpi:BF30_693
ko:K02066	fpi:BF30_694
ko:K02067	fpi:BF30_695
ko:K07323	fpi:BF30_696
ko:K07122	fpi:BF30_697
ko:K04754	fpi:BF30_699
ko:K00568	fpi:BF30_700
ko:K01775	fpi:BF30_707
ko:K07552	fpi:BF30_711
ko:K07320	fpi:BF30_712
ko:K01883	fpi:BF30_713
ko:K02672	fpi:BF30_715
ko:K11928	fpi:BF30_723
ko:K02446	fpi:BF30_724
ko:K07018	fpi:BF30_725
ko:K11733	fpi:BF30_726
ko:K03466	fpi:BF30_728
ko:K03634	fpi:BF30_729
ko:K03498	fpi:BF30_733
ko:K03607	fpi:BF30_735
ko:K02426	fpi:BF30_1563
ko:K01719	fpi:BF30_1564
ko:K01069	fpi:BF30_1567
ko:K03583	fpi:BF30_1580
ko:K01442	fpi:BF30_1582
ko:K07127	fpi:BF30_1584
ko:K01652	fpi:BF30_1585
ko:K03582	fpi:BF30_1586
ko:K03581	fpi:BF30_1587
ko:K03525	fpi:BF30_1588
ko:K01579	fpi:BF30_1589
ko:K01918	fpi:BF30_1590
ko:K00606	fpi:BF30_1591
ko:K01972	fpi:BF30_1593
ko:K03500	fpi:BF30_1595
ko:K01092	fpi:BF30_1597
ko:K06141	fpi:BF30_1599
ko:K09458	fpi:BF30_1602
ko:K02078	fpi:BF30_1603
ko:K00059	fpi:BF30_1604
ko:K00645	fpi:BF30_1605
ko:K00648	fpi:BF30_1606
ko:K03621	fpi:BF30_1607
ko:K02911	fpi:BF30_1608
ko:K07040	fpi:BF30_1609
ko:K00615	fpi:BF30_1610
ko:K00134	fpi:BF30_1611
ko:K00927	fpi:BF30_1612
ko:K00873	fpi:BF30_1613
ko:K07107	fpi:BF30_1939
ko:K03437	fpi:BF30_1941
ko:K02168	fpi:BF30_1943
ko:K12267	fpi:BF30_1944
ko:K18979	fpi:BF30_1948
ko:K09710	fpi:BF30_1949
ko:K03657	fpi:BF30_1951
ko:K01872	fpi:BF30_1953
ko:K01255	fpi:BF30_1955
ko:K00616	fpi:BF30_1956
ko:K06980	fpi:BF30_1958
ko:K03656	fpi:BF30_1959
ko:K00243	fpi:BF30_1960
ko:K03386	fpi:BF30_1961
ko:K02990	fpi:BF30_1962
ko:K02963	fpi:BF30_1963
ko:K02939	fpi:BF30_1964
ko:K06941	fpi:BF30_1966
ko:K02656	fpi:BF30_1967
ko:K06178	fpi:BF30_1968
ko:K03789	fpi:BF30_1970
ko:K02523	fpi:BF30_1973
ko:K03773	fpi:BF30_1974
ko:K14058	fpi:BF30_1975
ko:K07107	fpi:BF30_1976
ko:K07259	fpi:BF30_1978
ko:K02970	fpi:BF30_1979
ko:K09117	fpi:BF30_1980
ko:K03086	fpi:BF30_1982
ko:K03801	fpi:BF30_1984
ko:K09158	fpi:BF30_1985
ko:K07258	fpi:BF30_1986
ko:K01507	fpi:BF30_1987
ko:K03270	fpi:BF30_1988
ko:K11719	fpi:BF30_1989
ko:K02518	fpi:BF30_22
ko:K07090	fpi:BF30_23
ko:K03106	fpi:BF30_25
ko:K01626	fpi:BF30_26
ko:K03923	fpi:BF30_30
ko:K06987	fpi:BF30_31
ko:K01142	fpi:BF30_32
ko:K00383	fpi:BF30_36
ko:K03305	fpi:BF30_38
ko:K11927	fpi:BF30_39
ko:K01495	fpi:BF30_40
ko:K01658	fpi:BF30_47
ko:K03342	fpi:BF30_48
ko:K01633	fpi:BF30_50
ko:K13941	fpi:BF30_51
ko:K00833	fpi:BF30_54
ko:K01012	fpi:BF30_55
ko:K00652	fpi:BF30_56
ko:K02169	fpi:BF30_57
ko:K01935	fpi:BF30_59
ko:K03524	fpi:BF30_58
ko:K00845	fpi:BF30_60
ko:K01574	fpi:BF30_62
ko:K00019	fpi:BF30_63
ko:K01207	fpi:BF30_64
ko:K05916	fpi:BF30_65
ko:K13771	fpi:BF30_66
ko:K01845	fpi:BF30_68
ko:K01920	fpi:BF30_69
ko:K01876	fpi:BF30_902
ko:K00135	fpi:BF30_906
ko:K13788	fpi:BF30_907
ko:K00925	fpi:BF30_908
ko:K03111	fpi:BF30_909
ko:K03565	fpi:BF30_910
ko:K03071	fpi:BF30_912
ko:K01011	fpi:BF30_913
ko:K04773	fpi:BF30_915
ko:K03316	fpi:BF30_921
ko:K11752	fpi:BF30_922
ko:K00793	fpi:BF30_923
ko:K14652	fpi:BF30_924
ko:K00794	fpi:BF30_925
ko:K01462	fpi:BF30_926
ko:K00566	fpi:BF30_928
ko:K03596	fpi:BF30_929
ko:K02968	fpi:BF30_930
ko:K01826	fpi:BF30_931
ko:K06186	fpi:BF30_933
ko:K06997	fpi:BF30_938
ko:K03501	fpi:BF30_940
ko:K03834	fpi:BF30_942
ko:K12262	fpi:BF30_946
ko:K03306	fpi:BF30_947
ko:K07220	fpi:BF30_948
ko:K01114	fpi:BF30_949
ko:K00901	fpi:BF30_951
ko:K03760	fpi:BF30_953
ko:K07160	fpi:BF30_955
ko:K16013	fpi:BF30_354
ko:K16012	fpi:BF30_355
ko:K01154	fpi:BF30_364
ko:K03427	fpi:BF30_366
ko:K11103	fpi:BF30_367
ko:K03321	fpi:BF30_370
ko:K01993	fpi:BF30_375
ko:K01126	fpi:BF30_376
ko:K02445	fpi:BF30_377
ko:K03782	fpi:BF30_380
ko:K01129	fpi:BF30_382
ko:K03327	fpi:BF30_384
ko:K01433	fpi:BF30_387
ko:K00761	fpi:BF30_388
ko:K00639	fpi:BF30_390
ko:K00060	fpi:BF30_391
ko:K00991	fpi:BF30_393
ko:K05589	fpi:BF30_394
ko:K01689	fpi:BF30_395
ko:K03811	fpi:BF30_397
ko:K00845	fpi:BF30_398
ko:K00845	fpi:BF30_399
ko:K03215	fpi:BF30_400
ko:K03060	fpi:BF30_403
ko:K00876	fpi:BF30_404
ko:K01627	fpi:BF30_405
ko:K15724	fpi:BF30_406
ko:K00962	fpi:BF30_407
ko:K01681	fpi:BF30_1229
ko:K02669	fpi:BF30_1230
ko:K06955	fpi:BF30_1231
ko:K00426	fpi:BF30_1233
ko:K00425	fpi:BF30_1234
ko:K07071	fpi:BF30_1236
ko:K07645	fpi:BF30_1235
ko:K18138	fpi:BF30_1241
ko:K03585	fpi:BF30_1242
ko:K03611	fpi:BF30_1243
ko:K00974	fpi:BF30_1244
ko:K11085	fpi:BF30_1245
ko:K00912	fpi:BF30_1246
ko:K03525	fpi:BF30_1248
ko:K01839	fpi:BF30_1249
ko:K01619	fpi:BF30_1250
ko:K11535	fpi:BF30_1251
ko:K11535	fpi:BF30_1252
ko:K00943	fpi:BF30_1253
ko:K02837	fpi:BF30_1254
ko:K03110	fpi:BF30_1256
ko:K03657	fpi:BF30_1257
ko:K15580	fpi:BF30_1258
ko:K15581	fpi:BF30_1259
ko:K15582	fpi:BF30_1260
ko:K10823	fpi:BF30_1263
ko:K00864	fpi:BF30_1267
ko:K00111	fpi:BF30_1268
ko:K02440	fpi:BF30_1269
ko:K03442	fpi:BF30_1271
ko:K02358	fpi:BF30_1277
ko:K03073	fpi:BF30_1279
ko:K02601	fpi:BF30_1280
ko:K02867	fpi:BF30_1281
ko:K02863	fpi:BF30_1282
ko:K02864	fpi:BF30_1283
ko:K02935	fpi:BF30_1284
ko:K03043	fpi:BF30_1285
ko:K03046	fpi:BF30_1286
ko:K02909	fpi:BF30_741
ko:K01919	fpi:BF30_742
ko:K03980	fpi:BF30_743
ko:K07126	fpi:BF30_744
ko:K06925	fpi:BF30_745
ko:K11754	fpi:BF30_746
ko:K01963	fpi:BF30_747
ko:K00940	fpi:BF30_748
ko:K01937	fpi:BF30_749
ko:K01940	fpi:BF30_751
ko:K01755	fpi:BF30_752
ko:K03402	fpi:BF30_754
ko:K00819	fpi:BF30_753
ko:K00145	fpi:BF30_755
ko:K00620	fpi:BF30_756
ko:K00930	fpi:BF30_757
ko:K00611	fpi:BF30_758
ko:K16053	fpi:BF30_2
ko:K03574	fpi:BF30_9
ko:K02205	fpi:BF30_12
ko:K01869	fpi:BF30_6
ko:K07447	fpi:BF30_7
ko:K07735	fpi:BF30_8
ko:K01710	fpi:BF30_1501
ko:K22468	fpi:BF30_1450
ko:K01977	fpi:BF30_1104
ko:K01977	fpi:BF30_561
ko:K01977	fpi:BF30_1633
ko:K00336	fpi:BF30_1164
ko:K01183	fpi:BF30_389
ko:K01992	fpi:BF30_371
ko:K07266	fpi:BF30_1427
ko:K00525	fpi:BF30_1894
ko:K02650	fpi:BF30_134
ko:K02650	fpi:BF30_614
ko:K14234	fpi:BF30_1059
ko:K14236	fpi:BF30_1274
ko:K01980	fpi:BF30_1108
ko:K01980	fpi:BF30_1637
ko:K01980	fpi:BF30_557
ko:K14218	fpi:BF30_1106
ko:K14218	fpi:BF30_559
ko:K14218	fpi:BF30_1635
ko:K14219	fpi:BF30_1387
ko:K14228	fpi:BF30_1525
ko:K14233	fpi:BF30_144
ko:K14233	fpi:BF30_650
ko:K14233	fpi:BF30_565
ko:K14237	fpi:BF30_402
ko:K14237	fpi:BF30_564
ko:K14228	fpi:BF30_1753
ko:K14228	fpi:BF30_1572
ko:K14228	fpi:BF30_1210
ko:K14226	fpi:BF30_1752
ko:K14222	fpi:BF30_1571
ko:K14225	fpi:BF30_1275
ko:K14230	fpi:BF30_1449
ko:K14230	fpi:BF30_1175
ko:K14230	fpi:BF30_736
ko:K14221	fpi:BF30_1058
ko:K14223	fpi:BF30_882
ko:K14224	fpi:BF30_804
ko:K01985	fpi:BF30_1109
ko:K01985	fpi:BF30_1638
ko:K01985	fpi:BF30_556
ko:K01985	fpi:BF30_522
ko:K14229	fpi:BF30_344
ko:K14229	fpi:BF30_345
ko:K14237	fpi:BF30_77
ko:K14234	fpi:BF30_1276
ko:K14219	fpi:BF30_1751
ko:K14231	fpi:BF30_1749
ko:K14232	fpi:BF30_1750
ko:K14225	fpi:BF30_1386
ko:K14225	fpi:BF30_1570
ko:K07666	fpi:BF30_1456
ko:K14220	fpi:BF30_1562
ko:K04517	fpi:BF30_989
ko:K00544	fpi:BF30_905
ko:K00980	fpi:BF30_1737
ko:K19802	fpi:BF30_1923
ko:K19810	fpi:BF30_1882
ko:K05770	fpi:BF30_1942
ko:K03789	fpi:BF30_877
ko:K09796	fpi:BF30_1434
ko:K20265	fpi:BF30_1342
ko:K20265	fpi:BF30_1352
ko:K20265	fpi:BF30_20
ko:K20265	fpi:BF30_441
ko:K09690	fpi:BF30_1502
ko:K00507	fpi:BF30_1289
ko:K00507	fpi:BF30_1461
ko:K03762	fpi:BF30_242
ko:K13713	fpi:BF30_610
ko:K20534	fpi:BF30_1534
ko:K03271	fpi:BF30_934
ko:K01932	fpi:BF30_1755
ko:K01200	fpi:BF30_506
ko:K21029	fpi:BF30_259
ko:K00632	fpi:BF30_1483
ko:K03553	fpi:BF30_911
ko:K00857	fpi:BF30_191
ko:K06217	fpi:BF30_194
ko:K13522	fpi:BF30_546
ko:K03462	fpi:BF30_1479
ko:K02314	fpi:BF30_1965
ko:K02316	fpi:BF30_1981
ko:K01520	fpi:BF30_793
ko:K00287	fpi:BF30_801
ko:K00560	fpi:BF30_1696
ko:K02335	fpi:BF30_1247
ko:K02483	fpi:BF30_1469
ko:K03293	fpi:BF30_622
ko:K01139	fpi:BF30_1758
ko:K01582	fpi:BF30_519
ko:K21600	fpi:BF30_1913
ko:K04103	fpi:BF30_920
ko:K21829	fpi:BF30_652
ko:K22116	fpi:BF30_1756
ko:K22132	fpi:BF30_1899
ko:K03595	fpi:BF30_184
ko:K03892	fpi:BF30_73
ko:K13566	fpi:BF30_1551
ko:K00526	fpi:BF30_1892
ko:K03676	fpi:BF30_1892
