ko:K02847	hpys:HPSA20_0455
ko:K01924	hpys:HPSA20_0649
ko:K03923	hpys:HPSA20_0656
ko:K03620	hpys:HPSA20_0659
ko:K06920	hpys:HPSA20_0665
ko:K02221	hpys:HPSA20_0672
ko:K08309	hpys:HPSA20_0673
ko:K00963	hpys:HPSA20_0674
ko:K00790	hpys:HPSA20_0676
ko:K01744	hpys:HPSA20_0677
ko:K01079	hpys:HPSA20_0681
ko:K02217	hpys:HPSA20_0682
ko:K00075	hpys:HPSA20_1469
ko:K02420	hpys:HPSA20_1470
ko:K02412	hpys:HPSA20_1471
ko:K01870	hpys:HPSA20_1473
ko:K06941	hpys:HPSA20_1479
ko:K06041	hpys:HPSA20_1480
ko:K02528	hpys:HPSA20_1482
ko:K01433	hpys:HPSA20_1487
ko:K04773	hpys:HPSA20_1488
ko:K03563	hpys:HPSA20_1497
ko:K00919	hpys:HPSA20_1499
ko:K03664	hpys:HPSA20_1500
ko:K03561	hpys:HPSA20_1501
ko:K03536	hpys:HPSA20_1503
ko:K03217	hpys:HPSA20_1505
ko:K03650	hpys:HPSA20_1508
ko:K03650	hpys:HPSA20_1509
ko:K07337	hpys:HPSA20_1519
ko:K07277	hpys:HPSA20_0684
ko:K02434	hpys:HPSA20_0687
ko:K03685	hpys:HPSA20_0691
ko:K01736	hpys:HPSA20_0692
ko:K11473	hpys:HPSA20_0695
ko:K00812	hpys:HPSA20_0701
ko:K07090	hpys:HPSA20_0707
ko:K04042	hpys:HPSA20_0712
ko:K02419	hpys:HPSA20_0713
ko:K16091	hpys:HPSA20_0714
ko:K04759	hpys:HPSA20_0716
ko:K07501	hpys:HPSA20_0717
ko:K01028	hpys:HPSA20_0722
ko:K01029	hpys:HPSA20_0723
ko:K02106	hpys:HPSA20_0724
ko:K02106	hpys:HPSA20_0725
ko:K10856	hpys:HPSA20_0729
ko:K00901	hpys:HPSA20_0731
ko:K02469	hpys:HPSA20_0732
ko:K06178	hpys:HPSA20_1521
ko:K02337	hpys:HPSA20_1522
ko:K00428	hpys:HPSA20_1523
ko:K02065	hpys:HPSA20_1527
ko:K02066	hpys:HPSA20_1528
ko:K00826	hpys:HPSA20_1531
ko:K00943	hpys:HPSA20_1538
ko:K00954	hpys:HPSA20_1539
ko:K03186	hpys:HPSA20_1540
ko:K02386	hpys:HPSA20_1541
ko:K03657	hpys:HPSA20_1542
ko:K01875	hpys:HPSA20_1544
ko:K03602	hpys:HPSA20_1546
ko:K03183	hpys:HPSA20_1547
ko:K08973	hpys:HPSA20_1548
ko:K01993	hpys:HPSA20_1552
ko:K03306	hpys:HPSA20_1555
ko:K01928	hpys:HPSA20_1558
ko:K02897	hpys:HPSA20_1560
ko:K01056	hpys:HPSA20_1561
ko:K11720	hpys:HPSA20_1562
ko:K09943	hpys:HPSA20_1568
ko:K00246	hpys:HPSA20_0213
ko:K01803	hpys:HPSA20_0214
ko:K00208	hpys:HPSA20_0215
ko:K02536	hpys:HPSA20_0216
ko:K00789	hpys:HPSA20_0217
ko:K00940	hpys:HPSA20_0218
ko:K02911	hpys:HPSA20_0220
ko:K03621	hpys:HPSA20_0221
ko:K00648	hpys:HPSA20_0222
ko:K04079	hpys:HPSA20_0230
ko:K03495	hpys:HPSA20_0235
ko:K14445	hpys:HPSA20_0236
ko:K00981	hpys:HPSA20_0237
ko:K00099	hpys:HPSA20_0238
ko:K04487	hpys:HPSA20_0243
ko:K13819	hpys:HPSA20_0244
ko:K04485	hpys:HPSA20_0246
ko:K12267	hpys:HPSA20_0247
ko:K07090	hpys:HPSA20_0248
ko:K03321	hpys:HPSA20_0252
ko:K00979	hpys:HPSA20_0256
ko:K03981	hpys:HPSA20_0257
ko:K15257	hpys:HPSA20_1063
ko:K01772	hpys:HPSA20_1064
ko:K01874	hpys:HPSA20_1065
ko:K00574	hpys:HPSA20_1066
ko:K16052	hpys:HPSA20_1067
ko:K15846	hpys:HPSA20_1072
ko:K01951	hpys:HPSA20_1074
ko:K02503	hpys:HPSA20_1081
ko:K01889	hpys:HPSA20_1082
ko:K01890	hpys:HPSA20_1083
ko:K00800	hpys:HPSA20_1084
ko:K03527	hpys:HPSA20_1085
ko:K02945	hpys:HPSA20_1086
ko:K03182	hpys:HPSA20_1089
ko:K06997	hpys:HPSA20_1090
ko:K03269	hpys:HPSA20_1091
ko:K03415	hpys:HPSA20_1092
ko:K03407	hpys:HPSA20_1093
ko:K03408	hpys:HPSA20_1094
ko:K11065	hpys:HPSA20_1095
ko:K04564	hpys:HPSA20_1096
ko:K15256	hpys:HPSA20_1097
ko:K04066	hpys:HPSA20_1098
ko:K03701	hpys:HPSA20_0739
ko:K03438	hpys:HPSA20_0742
ko:K07023	hpys:HPSA20_0747
ko:K03092	hpys:HPSA20_0749
ko:K06861	hpys:HPSA20_0750
ko:K06925	hpys:HPSA20_0751
ko:K02343	hpys:HPSA20_0752
ko:K06895	hpys:HPSA20_0753
ko:K07791	hpys:HPSA20_0758
ko:K04075	hpys:HPSA20_0764
ko:K01095	hpys:HPSA20_0776
ko:K01921	hpys:HPSA20_0777
ko:K01929	hpys:HPSA20_0779
ko:K00948	hpys:HPSA20_0781
ko:K05837	hpys:HPSA20_0783
ko:K06946	hpys:HPSA20_0785
ko:K06180	hpys:HPSA20_0786
ko:K03439	hpys:HPSA20_0788
ko:K11752	hpys:HPSA20_1571
ko:K03312	hpys:HPSA20_1572
ko:K08591	hpys:HPSA20_1575
ko:K01633	hpys:HPSA20_1576
ko:K01042	hpys:HPSA20_1580
ko:K02600	hpys:HPSA20_1581
ko:K03655	hpys:HPSA20_1595
ko:K01142	hpys:HPSA20_1598
ko:K02313	hpys:HPSA20_1601
ko:K00820	hpys:HPSA20_1604
ko:K01154	hpys:HPSA20_1608
ko:K03427	hpys:HPSA20_1609
ko:K01153	hpys:HPSA20_1610
ko:K07043	hpys:HPSA20_1611
ko:K16091	hpys:HPSA20_1613
ko:K01476	hpys:HPSA20_1616
ko:K00259	hpys:HPSA20_1617
ko:K13979	hpys:HPSA20_1618
ko:K00858	hpys:HPSA20_1621
ko:K03406	hpys:HPSA20_0116
ko:K03406	hpys:HPSA20_0121
ko:K01760	hpys:HPSA20_0124
ko:K04652	hpys:HPSA20_0953
ko:K02014	hpys:HPSA20_0972
ko:K01424	hpys:HPSA20_0757
ko:K15848	hpys:HPSA20_0759
ko:K00769	hpys:HPSA20_0774
ko:K02014	hpys:HPSA20_1579
ko:K01156	hpys:HPSA20_1591
ko:K07316	hpys:HPSA20_1594
ko:K17686	hpys:HPSA20_1569
ko:K17686	hpys:HPSA20_0418
ko:K06603	hpys:HPSA20_0793
ko:K01934	hpys:HPSA20_0803
ko:K02004	hpys:HPSA20_0833
ko:K07126	hpys:HPSA20_1625
ko:K02342	hpys:HPSA20_1627
ko:K04517	hpys:HPSA20_1640
ko:K02238	hpys:HPSA20_1658
ko:K03635	hpys:HPSA20_0846
ko:K05845	hpys:HPSA20_0867
ko:K05846	hpys:HPSA20_0867
ko:K00088	hpys:HPSA20_0881
ko:K02433	hpys:HPSA20_0882
ko:K03386	hpys:HPSA20_1718
ko:K04655	hpys:HPSA20_0053
ko:K14048	hpys:HPSA20_0084
ko:K03406	hpys:HPSA20_0094
ko:K02014	hpys:HPSA20_0926
ko:K01409	hpys:HPSA20_1739
ko:K03469	hpys:HPSA20_0690
ko:K04763	hpys:HPSA20_0704
ko:K00567	hpys:HPSA20_0705
ko:K13016	hpys:HPSA20_0708
ko:K00626	hpys:HPSA20_0721
ko:K02067	hpys:HPSA20_1526
ko:K02242	hpys:HPSA20_1537
ko:K01992	hpys:HPSA20_1551
ko:K00616	hpys:HPSA20_1559
ko:K01155	hpys:HPSA20_0290
ko:K01658	hpys:HPSA20_1386
ko:K11928	hpys:HPSA20_0064
ko:K05540	hpys:HPSA20_0762
ko:K07318	hpys:HPSA20_1450
ko:K01156	hpys:HPSA20_1636
ko:K00971	hpys:HPSA20_0050
ko:K00290	hpys:HPSA20_1573
ko:K01497	hpys:HPSA20_0848
ko:K00254	hpys:HPSA20_0484
ko:K05922	hpys:HPSA20_0658
ko:K05927	hpys:HPSA20_0657
ko:K00104	hpys:HPSA20_0542
ko:K07812	hpys:HPSA20_1077
ko:K06148	hpys:HPSA20_1301
ko:K01139	hpys:HPSA20_0819
ko:K03605	hpys:HPSA20_0660
ko:K05366	hpys:HPSA20_0615
ko:K12051	hpys:HPSA20_0045
ko:K11784	hpys:HPSA20_0685
ko:K11785	hpys:HPSA20_0172
ko:K18284	hpys:HPSA20_0103
ko:K18285	hpys:HPSA20_0683
ko:K07126	hpys:HPSA20_0231
ko:K07126	hpys:HPSA20_0232
ko:K03601	hpys:HPSA20_0286
ko:K03695	hpys:HPSA20_0293
ko:K06196	hpys:HPSA20_0295
ko:K02397	hpys:HPSA20_0329
ko:K12371	hpys:HPSA20_0336
ko:K03609	hpys:HPSA20_0367
ko:K07126	hpys:HPSA20_0372
ko:K07462	hpys:HPSA20_0377
ko:K17686	hpys:HPSA20_0419
ko:K07568	hpys:HPSA20_0431
ko:K02018	hpys:HPSA20_0504
ko:K03667	hpys:HPSA20_0554
ko:K07456	hpys:HPSA20_0647
ko:K00812	hpys:HPSA20_0700
ko:K04763	hpys:HPSA20_0703
ko:K07090	hpys:HPSA20_0706
ko:K07501	hpys:HPSA20_0720
ko:K09811	hpys:HPSA20_0790
ko:K09903	hpys:HPSA20_0823
ko:K05845	hpys:HPSA20_0866
ko:K05846	hpys:HPSA20_0866
ko:K03657	hpys:HPSA20_0965
ko:K12048	hpys:HPSA20_1129
ko:K01784	hpys:HPSA20_1162
ko:K00172	hpys:HPSA20_1183
ko:K13797	hpys:HPSA20_1286
ko:K15847	hpys:HPSA20_1343
ko:K00949	hpys:HPSA20_1381
ko:K00919	hpys:HPSA20_1498
ko:K06346	hpys:HPSA20_1506
ko:K01156	hpys:HPSA20_1592
ko:K01156	hpys:HPSA20_1637
ko:K01591	hpys:HPSA20_0006
ko:K09859	hpys:HPSA20_0027
ko:K12048	hpys:HPSA20_0049
ko:K02016	hpys:HPSA20_1716
ko:K02016	hpys:HPSA20_1717
ko:K16235	hpys:HPSA20_0476
ko:K18480	hpys:HPSA20_1525
ko:K00681	hpys:HPSA20_1195
ko:K01156	hpys:HPSA20_1589
ko:K18682	hpys:HPSA20_0802
ko:K07316	hpys:HPSA20_1638
ko:K02847	hpys:HPSA20_0454
ko:K18930	hpys:HPSA20_1316
ko:K03205	hpys:HPSA20_1121
ko:K03204	hpys:HPSA20_1130
ko:K03203	hpys:HPSA20_1131
ko:K03497	hpys:HPSA20_1216
ko:K03496	hpys:HPSA20_1217
ko:K03111	hpys:HPSA20_1347
ko:K03761	hpys:HPSA20_0392
ko:K00335	hpys:HPSA20_1368
ko:K02483	hpys:HPSA20_0186
ko:K03526	hpys:HPSA20_0651
ko:K03296	hpys:HPSA20_0629
ko:K07448	hpys:HPSA20_0406
ko:K19157	hpys:HPSA20_0944
ko:K19157	hpys:HPSA20_1120
ko:K00571	hpys:HPSA20_0056
ko:K00571	hpys:HPSA20_0107
ko:K00571	hpys:HPSA20_0291
ko:K00571	hpys:HPSA20_0292
ko:K00571	hpys:HPSA20_1652
ko:K00020	hpys:HPSA20_0668
ko:K07317	hpys:HPSA20_0963
ko:K04771	hpys:HPSA20_0475
ko:K00336	hpys:HPSA20_1369
ko:K01992	hpys:HPSA20_1550
ko:K19302	hpys:HPSA20_0902
ko:K19416	hpys:HPSA20_0975
ko:K12053	hpys:HPSA20_1135
ko:K12053	hpys:HPSA20_0025
ko:K12052	hpys:HPSA20_0044
ko:K09859	hpys:HPSA20_1396
ko:K00262	hpys:HPSA20_1105
ko:K01673	hpys:HPSA20_0004
ko:K20151	hpys:HPSA20_0679
ko:K20810	hpys:HPSA20_0298
ko:K00525	hpys:HPSA20_0709
ko:K11028	hpys:HPSA20_0934
ko:K07100	hpys:HPSA20_1307
ko:K00558	hpys:HPSA20_0057
ko:K00558	hpys:HPSA20_0058
ko:K00558	hpys:HPSA20_0063
ko:K03553	hpys:HPSA20_0173
ko:K02316	hpys:HPSA20_0019
ko:K02316	hpys:HPSA20_0020
ko:K02335	hpys:HPSA20_1533
ko:K02335	hpys:HPSA20_0472
ko:K06223	hpys:HPSA20_0509
ko:K00558	hpys:HPSA20_0513
ko:K03465	hpys:HPSA20_1605
ko:K02314	hpys:HPSA20_1657
ko:K00558	hpys:HPSA20_1680
ko:K00558	hpys:HPSA20_1682
ko:K00558	hpys:HPSA20_1683
ko:K01520	hpys:HPSA20_0914
ko:K00558	hpys:HPSA20_1199
ko:K02483	hpys:HPSA20_1654
ko:K00526	hpys:HPSA20_1158
ko:K03406	hpys:HPSA20_0120
ko:K02481	hpys:HPSA20_0734
ko:K01139	hpys:HPSA20_0818
ko:K07097	hpys:HPSA20_0451
ko:K02483	hpys:HPSA20_0450
ko:K10026	hpys:HPSA20_0989
ko:K21929	hpys:HPSA20_0678
ko:K03595	hpys:HPSA20_0552
ko:K09022	hpys:HPSA20_0998
ko:K22278	hpys:HPSA20_0345
ko:K14441	hpys:HPSA20_0773
ko:K22391	hpys:HPSA20_1020
ko:K17758	hpys:HPSA20_1656
ko:K17759	hpys:HPSA20_1656
ko:K00590	hpys:HPSA20_1651
ko:K00590	hpys:HPSA20_0718
ko:K00571	hpys:HPSA20_1670
ko:K01007	hpys:HPSA20_0138
ko:K01007	hpys:HPSA20_0139
