ko:K18929	hca:HPPC18_00695
ko:K14219	hca:HPPC18_t08008
ko:K14230	hca:HPPC18_t08006
ko:K14230	hca:HPPC18_t08010
ko:K14223	hca:HPPC18_t08012
ko:K14228	hca:HPPC18_t08016
ko:K14233	hca:HPPC18_t08020
ko:K01985	hca:HPPC18_r08056
ko:K01985	hca:HPPC18_r08054
ko:K01980	hca:HPPC18_r08062
ko:K01980	hca:HPPC18_r08064
ko:K14228	hca:HPPC18_t08030
ko:K14227	hca:HPPC18_t08032
ko:K14218	hca:HPPC18_t08034
ko:K02029	hca:HPPC18_05820
ko:K00971	hca:HPPC18_00195
ko:K14235	hca:HPPC18_t08038
ko:K03196	hca:HPPC18_07500
ko:K03196	hca:HPPC18_04970
ko:K11028	hca:HPPC18_04350
ko:K15847	hca:HPPC18_04405
ko:K12086	hca:HPPC18_02485
ko:K12088	hca:HPPC18_02495
ko:K12089	hca:HPPC18_02500
ko:K12090	hca:HPPC18_02510
ko:K12092	hca:HPPC18_02525
ko:K12093	hca:HPPC18_02530
ko:K12094	hca:HPPC18_02535
ko:K12095	hca:HPPC18_02540
ko:K12096	hca:HPPC18_02545
ko:K12097	hca:HPPC18_02550
ko:K12098	hca:HPPC18_02555
ko:K12101	hca:HPPC18_02560
ko:K15842	hca:HPPC18_02620
ko:K12102	hca:HPPC18_02565
ko:K12103	hca:HPPC18_02570
ko:K12104	hca:HPPC18_02575
ko:K12105	hca:HPPC18_02580
ko:K12106	hca:HPPC18_02590
ko:K12107	hca:HPPC18_02595
ko:K12108	hca:HPPC18_02600
ko:K12109	hca:HPPC18_02605
ko:K12110	hca:HPPC18_02610
ko:K15848	hca:HPPC18_03550
ko:K15843	hca:HPPC18_04485
ko:K15844	hca:HPPC18_04490
ko:K03406	hca:HPPC18_00420
ko:K03406	hca:HPPC18_00515
ko:K03406	hca:HPPC18_00535
ko:K01119	hca:HPPC18_00540
ko:K01585	hca:HPPC18_05105
ko:K00058	hca:HPPC18_05220
ko:K11085	hca:HPPC18_01820
ko:K07098	hca:HPPC18_02005
ko:K01262	hca:HPPC18_02040
ko:K03711	hca:HPPC18_02085
ko:K00949	hca:HPPC18_06455
ko:K04763	hca:HPPC18_03300
ko:K00567	hca:HPPC18_03305
ko:K13016	hca:HPPC18_03315
ko:K00626	hca:HPPC18_03410
ko:K01424	hca:HPPC18_03540
ko:K03386	hca:HPPC18_07840
ko:K12091	hca:HPPC18_02520
ko:K12087	hca:HPPC18_02490
ko:K00059	hca:HPPC18_02685
ko:K00652	hca:HPPC18_02880
ko:K07457	hca:HPPC18_02900
ko:K00616	hca:HPPC18_07120
ko:K02242	hca:HPPC18_07230
ko:K02067	hca:HPPC18_07280
ko:K00939	hca:HPPC18_02960
ko:K01507	hca:HPPC18_02980
ko:K00674	hca:HPPC18_03015
ko:K07126	hca:HPPC18_03020
ko:K01885	hca:HPPC18_03110
ko:K03469	hca:HPPC18_03200
ko:K06346	hca:HPPC18_07350
ko:K03768	hca:HPPC18_07400
ko:K03279	hca:HPPC18_07535
ko:K04517	hca:HPPC18_07620
ko:K03593	hca:HPPC18_01025
ko:K07126	hca:HPPC18_01050
ko:K01439	hca:HPPC18_01055
ko:K06910	hca:HPPC18_01090
ko:K07126	hca:HPPC18_01180
ko:K07126	hca:HPPC18_05550
ko:K13640	hca:HPPC18_02095
ko:K00076	hca:HPPC18_02145
ko:K03455	hca:HPPC18_02225
ko:K02017	hca:HPPC18_02245
ko:K01885	hca:HPPC18_02250
ko:K01679	hca:HPPC18_06625
ko:K00769	hca:HPPC18_03610
ko:K06603	hca:HPPC18_03705
ko:K02004	hca:HPPC18_03890
ko:K01409	hca:HPPC18_07945
ko:K03635	hca:HPPC18_03950
ko:K05845	hca:HPPC18_04040
ko:K05846	hca:HPPC18_04040
ko:K00088	hca:HPPC18_04095
ko:K02433	hca:HPPC18_04100
ko:K06196	hca:HPPC18_01325
ko:K04093	hca:HPPC18_01455
ko:K03784	hca:HPPC18_05860
ko:K03317	hca:HPPC18_05870
ko:K01674	hca:HPPC18_05905
ko:K02843	hca:HPPC18_05935
ko:K15845	hca:HPPC18_00035
ko:K08077	hca:HPPC18_02415
ko:K07126	hca:HPPC18_02480
ko:K02238	hca:HPPC18_06805
ko:K04652	hca:HPPC18_04425
ko:K02014	hca:HPPC18_04505
ko:K03279	hca:HPPC18_00805
ko:K07126	hca:HPPC18_00810
ko:K15898	hca:HPPC18_00890
ko:K00245	hca:HPPC18_00950
ko:K00244	hca:HPPC18_00955
ko:K06013	hca:HPPC18_05300
ko:K01784	hca:HPPC18_05415
ko:K07126	hca:HPPC18_05440
ko:K00845	hca:HPPC18_05465
ko:K01992	hca:HPPC18_01590
ko:K01992	hca:HPPC18_01595
ko:K01916	hca:HPPC18_01665
ko:K01719	hca:HPPC18_06085
ko:K01455	hca:HPPC18_06165
ko:K02342	hca:HPPC18_06850
ko:K07316	hca:HPPC18_07005
ko:K01156	hca:HPPC18_07010
ko:K04655	hca:HPPC18_00215
ko:K14048	hca:HPPC18_00365
ko:K03743	hca:HPPC18_04685
ko:K06179	hca:HPPC18_04710
ko:K03442	hca:HPPC18_04835
ko:K07491	hca:HPPC18_04850
ko:K10009	hca:HPPC18_04620
ko:K00970	hca:HPPC18_03085
ko:K03321	hca:HPPC18_01140
ko:K12369	hca:HPPC18_01505
ko:K01426	hca:HPPC18_01480
ko:K12371	hca:HPPC18_01515
ko:K02424	hca:HPPC18_04625
ko:K12050	hca:HPPC18_00180
ko:K12048	hca:HPPC18_00190
ko:K12048	hca:HPPC18_04990
ko:K12049	hca:HPPC18_04995
ko:K12050	hca:HPPC18_05000
ko:K07318	hca:HPPC18_06020
ko:K03559	hca:HPPC18_07375
ko:K09477	hca:HPPC18_00720
ko:K03559	hca:HPPC18_05610
ko:K12049	hca:HPPC18_00185
ko:K13689	hca:HPPC18_01085
ko:K12977	hca:HPPC18_00095
ko:K12052	hca:HPPC18_00170
ko:K03191	hca:HPPC18_00350
ko:K13797	hca:HPPC18_05965
ko:K15895	hca:HPPC18_05385
ko:K15896	hca:HPPC18_01655
ko:K02003	hca:HPPC18_00895
ko:K11782	hca:HPPC18_03850
ko:K01738	hca:HPPC18_00555
ko:K01760	hca:HPPC18_00550
ko:K01990	hca:HPPC18_06065
ko:K17103	hca:HPPC18_01875
ko:K03559	hca:HPPC18_06700
ko:K02484	hca:HPPC18_06820
ko:K02484	hca:HPPC18_00825
ko:K02847	hca:HPPC18_02030
ko:K01992	hca:HPPC18_07160
ko:K12053	hca:HPPC18_00075
ko:K12053	hca:HPPC18_05010
ko:K17686	hca:HPPC18_07085
ko:K17686	hca:HPPC18_01870
ko:K01155	hca:HPPC18_01310
ko:K05540	hca:HPPC18_03560
ko:K01658	hca:HPPC18_06410
ko:K11928	hca:HPPC18_00250
ko:K12574	hca:HPPC18_07465
ko:K01156	hca:HPPC18_07605
ko:K00290	hca:HPPC18_07065
ko:K01497	hca:HPPC18_03960
ko:K00254	hca:HPPC18_02160
ko:K06148	hca:HPPC18_06010
ko:K05922	hca:HPPC18_03045
ko:K00104	hca:HPPC18_02425
ko:K05927	hca:HPPC18_03040
ko:K07812	hca:HPPC18_05170
ko:K03605	hca:HPPC18_03055
ko:K05366	hca:HPPC18_02875
ko:K12051	hca:HPPC18_00175
ko:K11784	hca:HPPC18_03175
ko:K15848	hca:HPPC18_03530
ko:K12051	hca:HPPC18_05005
ko:K11785	hca:HPPC18_00770
ko:K18284	hca:HPPC18_00460
ko:K18285	hca:HPPC18_03165
ko:K16235	hca:HPPC18_02130
ko:K18480	hca:HPPC18_07285
ko:K00681	hca:HPPC18_05555
ko:K18682	hca:HPPC18_03755
ko:K07316	hca:HPPC18_07610
ko:K18930	hca:HPPC18_06075
ko:K03497	hca:HPPC18_05655
ko:K03496	hca:HPPC18_05660
ko:K03111	hca:HPPC18_06210
ko:K03196	hca:HPPC18_02515
ko:K03205	hca:HPPC18_04960
ko:K03761	hca:HPPC18_01775
ko:K00335	hca:HPPC18_06315
ko:K02483	hca:HPPC18_00830
ko:K03526	hca:HPPC18_03010
ko:K03296	hca:HPPC18_02925
ko:K00336	hca:HPPC18_06320
ko:K07448	hca:HPPC18_01830
ko:K19157	hca:HPPC18_04395
ko:K00571	hca:HPPC18_00230
ko:K00571	hca:HPPC18_00480
ko:K00571	hca:HPPC18_01315
ko:K00525	hca:HPPC18_03320
ko:K00020	hca:HPPC18_03095
ko:K07317	hca:HPPC18_04470
ko:K04771	hca:HPPC18_02125
ko:K01992	hca:HPPC18_07165
ko:K07496	hca:HPPC18_04845
ko:K07496	hca:HPPC18_05030
ko:K19302	hca:HPPC18_04195
ko:K19416	hca:HPPC18_04520
ko:K20151	hca:HPPC18_05315
ko:K20810	hca:HPPC18_01335
ko:K20151	hca:HPPC18_03150
ko:K12052	hca:HPPC18_04885
ko:K07100	hca:HPPC18_06045
ko:K00558	hca:HPPC18_05570
ko:K00558	hca:HPPC18_02285
ko:K02314	hca:HPPC18_06810
ko:K03465	hca:HPPC18_06950
ko:K01520	hca:HPPC18_04255
ko:K02316	hca:HPPC18_00050
ko:K00558	hca:HPPC18_00245
ko:K03553	hca:HPPC18_00775
ko:K02335	hca:HPPC18_02110
ko:K02335	hca:HPPC18_07250
ko:K02483	hca:HPPC18_06825
ko:K00526	hca:HPPC18_05395
ko:K02481	hca:HPPC18_03435
ko:K01139	hca:HPPC18_03835
ko:K07097	hca:HPPC18_02015
ko:K02483	hca:HPPC18_02010
ko:K10026	hca:HPPC18_04585
ko:K21929	hca:HPPC18_03145
ko:K03595	hca:HPPC18_02470
ko:K22278	hca:HPPC18_01560
ko:K14441	hca:HPPC18_03605
ko:K22391	hca:HPPC18_04725
ko:K17758	hca:HPPC18_06815
ko:K17759	hca:HPPC18_06815
ko:K00590	hca:HPPC18_07690
ko:K00571	hca:HPPC18_06760
ko:K01007	hca:HPPC18_00620
