ko:K19079	sauk:SAI3T3_1005120
ko:K01952	sauk:SAI3T3_1007580
ko:K00764	sauk:SAI3T3_1007590
ko:K01933	sauk:SAI3T3_1007600
ko:K11175	sauk:SAI3T3_1007610
ko:K00602	sauk:SAI3T3_1007620
ko:K01945	sauk:SAI3T3_1007630
ko:K16785	sauk:SAI3T3_1007640
ko:K16786	sauk:SAI3T3_1007650
ko:K16787	sauk:SAI3T3_1007650
ko:K16925	sauk:SAI3T3_1007660
ko:K06969	sauk:SAI3T3_1007680
ko:K08483	sauk:SAI3T3_1007700
ko:K00425	sauk:SAI3T3_1007710
ko:K00426	sauk:SAI3T3_1007720
ko:K03499	sauk:SAI3T3_1007730
ko:K12574	sauk:SAI3T3_1007740
ko:K01462	sauk:SAI3T3_1007750
ko:K00161	sauk:SAI3T3_1007770
ko:K00162	sauk:SAI3T3_1007780
ko:K00627	sauk:SAI3T3_1007790
ko:K00382	sauk:SAI3T3_1007800
ko:K11072	sauk:SAI3T3_1007820
ko:K11071	sauk:SAI3T3_1007830
ko:K11070	sauk:SAI3T3_1007840
ko:K11069	sauk:SAI3T3_1007850
ko:K03322	sauk:SAI3T3_1007870
ko:K01092	sauk:SAI3T3_1007890
ko:K06207	sauk:SAI3T3_1007900
ko:K03588	sauk:SAI3T3_1007920
ko:K01958	sauk:SAI3T3_1007930
ko:K02259	sauk:SAI3T3_1007940
ko:K01126	sauk:SAI3T3_1007970
ko:K00954	sauk:SAI3T3_1007990
ko:K07040	sauk:SAI3T3_1008010
ko:K07078	sauk:SAI3T3_1014920
ko:K07813	sauk:SAI3T3_1014940
ko:K07706	sauk:SAI3T3_1014950
ko:K07707	sauk:SAI3T3_1014960
ko:K00847	sauk:SAI3T3_1014970
ko:K01193	sauk:SAI3T3_1014980
ko:K03484	sauk:SAI3T3_1014990
ko:K03320	sauk:SAI3T3_1015000
ko:K07112	sauk:SAI3T3_1015010
ko:K01926	sauk:SAI3T3_1015020
ko:K06158	sauk:SAI3T3_1015030
ko:K01409	sauk:SAI3T3_1015050
ko:K06925	sauk:SAI3T3_1015070
ko:K01687	sauk:SAI3T3_1015080
ko:K01652	sauk:SAI3T3_1015090
ko:K00053	sauk:SAI3T3_1015100
ko:K01649	sauk:SAI3T3_1015110
ko:K00052	sauk:SAI3T3_1015120
ko:K01703	sauk:SAI3T3_1015130
ko:K01704	sauk:SAI3T3_1015140
ko:K01754	sauk:SAI3T3_1015150
ko:K06959	sauk:SAI3T3_1015200
ko:K03090	sauk:SAI3T3_1015210
ko:K04757	sauk:SAI3T3_1015220
ko:K07315	sauk:SAI3T3_1015230
ko:K01775	sauk:SAI3T3_1015240
ko:K09167	sauk:SAI3T3_1015250
ko:K08981	sauk:SAI3T3_1015260
ko:K01548	sauk:SAI3T3_1015280
ko:K01547	sauk:SAI3T3_1015290
ko:K01546	sauk:SAI3T3_1015300
ko:K07646	sauk:SAI3T3_1015310
ko:K07667	sauk:SAI3T3_1015320
ko:K01929	sauk:SAI3T3_1015350
ko:K01921	sauk:SAI3T3_1015360
ko:K05837	sauk:SAI3T3_1015370
ko:K06131	sauk:SAI3T3_1015380
ko:K06950	sauk:SAI3T3_1015390
ko:K02818	sauk:SAI3T3_1003480
ko:K02819	sauk:SAI3T3_1003480
ko:K01226	sauk:SAI3T3_1003490
ko:K03486	sauk:SAI3T3_1003500
ko:K02343	sauk:SAI3T3_1003520
ko:K06187	sauk:SAI3T3_1003530
ko:K00943	sauk:SAI3T3_1003590
ko:K02341	sauk:SAI3T3_1003600
ko:K07056	sauk:SAI3T3_1003630
ko:K01874	sauk:SAI3T3_1003640
ko:K03424	sauk:SAI3T3_1003650
ko:K05985	sauk:SAI3T3_1003660
ko:K02528	sauk:SAI3T3_1003670
ko:K00919	sauk:SAI3T3_1003680
ko:K09685	sauk:SAI3T3_1003690
ko:K04042	sauk:SAI3T3_1003700
ko:K00948	sauk:SAI3T3_1003710
ko:K02897	sauk:SAI3T3_1003720
ko:K01056	sauk:SAI3T3_1003730
ko:K03723	sauk:SAI3T3_1003740
ko:K02499	sauk:SAI3T3_1003760
ko:K04075	sauk:SAI3T3_1003770
ko:K00760	sauk:SAI3T3_1003780
ko:K03798	sauk:SAI3T3_1003790
ko:K04083	sauk:SAI3T3_1003800
ko:K01738	sauk:SAI3T3_1003810
ko:K00796	sauk:SAI3T3_1003820
ko:K04567	sauk:SAI3T3_1003830
ko:K00375	sauk:SAI3T3_1003950
ko:K06215	sauk:SAI3T3_1003960
ko:K08681	sauk:SAI3T3_1003970
ko:K11535	sauk:SAI3T3_1003980
ko:K03708	sauk:SAI3T3_1003990
ko:K09699	sauk:SAI3T3_1011010
ko:K00167	sauk:SAI3T3_1011020
ko:K00166	sauk:SAI3T3_1011030
ko:K00382	sauk:SAI3T3_1011040
ko:K03631	sauk:SAI3T3_1011050
ko:K13789	sauk:SAI3T3_1011060
ko:K03601	sauk:SAI3T3_1011070
ko:K01961	sauk:SAI3T3_1011080
ko:K02160	sauk:SAI3T3_1011090
ko:K02356	sauk:SAI3T3_1011100
ko:K01262	sauk:SAI3T3_1011110
ko:K03800	sauk:SAI3T3_1011130
ko:K01929	sauk:SAI3T3_1000420
ko:K07090	sauk:SAI3T3_1000440
ko:K17218	sauk:SAI3T3_1000470
ko:K01771	sauk:SAI3T3_1000520
ko:K08170	sauk:SAI3T3_1000600
ko:K03324	sauk:SAI3T3_1000610
ko:K10254	sauk:SAI3T3_1000620
ko:K03303	sauk:SAI3T3_1000660
ko:K14196	sauk:SAI3T3_1000670
ko:K02015	sauk:SAI3T3_1000690
ko:K02015	sauk:SAI3T3_1000700
ko:K02016	sauk:SAI3T3_1000710
ko:K01586	sauk:SAI3T3_1000790
ko:K03366	sauk:SAI3T3_1000820
ko:K01784	sauk:SAI3T3_1000830
ko:K04564	sauk:SAI3T3_1000880
ko:K03784	sauk:SAI3T3_1000910
ko:K01619	sauk:SAI3T3_1000930
ko:K14193	sauk:SAI3T3_1008030
ko:K02016	sauk:SAI3T3_1008060
ko:K02015	sauk:SAI3T3_1008070
ko:K08600	sauk:SAI3T3_1008080
ko:K03437	sauk:SAI3T3_1008090
ko:K01889	sauk:SAI3T3_1008100
ko:K01890	sauk:SAI3T3_1008110
ko:K03471	sauk:SAI3T3_1008120
ko:K02347	sauk:SAI3T3_1008140
ko:K07456	sauk:SAI3T3_1008150
ko:K03703	sauk:SAI3T3_1008160
ko:K00241	sauk:SAI3T3_1008170
ko:K00239	sauk:SAI3T3_1008180
ko:K00240	sauk:SAI3T3_1008190
ko:K01776	sauk:SAI3T3_1008200
ko:K02428	sauk:SAI3T3_1008210
ko:K07095	sauk:SAI3T3_1008220
ko:K14200	sauk:SAI3T3_1008240
ko:K11032	sauk:SAI3T3_1008260
ko:K00611	sauk:SAI3T3_1008300
ko:K00926	sauk:SAI3T3_1008310
ko:K11041	sauk:SAI3T3_1008330
ko:K07025	sauk:SAI3T3_1008350
ko:K03438	sauk:SAI3T3_1008370
ko:K12552	sauk:SAI3T3_1008380
ko:K01000	sauk:SAI3T3_1008390
ko:K01925	sauk:SAI3T3_1008400
ko:K00283	sauk:SAI3T3_1011140
ko:K00282	sauk:SAI3T3_1011150
ko:K00605	sauk:SAI3T3_1011160
ko:K00891	sauk:SAI3T3_1011170
ko:K02244	sauk:SAI3T3_1011190
ko:K02243	sauk:SAI3T3_1011200
ko:K00845	sauk:SAI3T3_1011220
ko:K12553	sauk:SAI3T3_1011250
ko:K04564	sauk:SAI3T3_1011260
ko:K09816	sauk:SAI3T3_1011270
ko:K09817	sauk:SAI3T3_1011280
ko:K01151	sauk:SAI3T3_1011290
ko:K06967	sauk:SAI3T3_1011320
ko:K03086	sauk:SAI3T3_1011330
ko:K09773	sauk:SAI3T3_1011350
ko:K01880	sauk:SAI3T3_1011370
ko:K03584	sauk:SAI3T3_1011380
ko:K09761	sauk:SAI3T3_1011450
ko:K02687	sauk:SAI3T3_1011460
ko:K03686	sauk:SAI3T3_1011470
ko:K10824	sauk:SAI3T3_1018330
ko:K15587	sauk:SAI3T3_1018340
ko:K15586	sauk:SAI3T3_1018350
ko:K15585	sauk:SAI3T3_1018360
ko:K15584	sauk:SAI3T3_1018370
ko:K12942	sauk:SAI3T3_1018430
ko:K01835	sauk:SAI3T3_1018550
ko:K00963	sauk:SAI3T3_1018600
ko:K13732	sauk:SAI3T3_1018610
ko:K03299	sauk:SAI3T3_1018620
ko:K00851	sauk:SAI3T3_1018630
ko:K11476	sauk:SAI3T3_1018640
ko:K03535	sauk:SAI3T3_1018690
ko:K01990	sauk:SAI3T3_1018710
ko:K04041	sauk:SAI3T3_1018730
ko:K06999	sauk:SAI3T3_1018750
ko:K15975	sauk:SAI3T3_1018760
ko:K07104	sauk:SAI3T3_1018770
ko:K03589	sauk:SAI3T3_1008410
ko:K03590	sauk:SAI3T3_1008420
ko:K03531	sauk:SAI3T3_1008430
ko:K05810	sauk:SAI3T3_1008440
ko:K06997	sauk:SAI3T3_1008450
ko:K09772	sauk:SAI3T3_1008460
ko:K04074	sauk:SAI3T3_1008480
ko:K01870	sauk:SAI3T3_1008490
ko:K03101	sauk:SAI3T3_1008500
ko:K06180	sauk:SAI3T3_1008510
ko:K02825	sauk:SAI3T3_1008520
ko:K02824	sauk:SAI3T3_1008530
ko:K03217	sauk:SAI3T3_1015400
ko:K00788	sauk:SAI3T3_1015410
ko:K00878	sauk:SAI3T3_1015420
ko:K00941	sauk:SAI3T3_1015430
ko:K03707	sauk:SAI3T3_1015440
ko:K00790	sauk:SAI3T3_1015470
ko:K02112	sauk:SAI3T3_1015480
ko:K02115	sauk:SAI3T3_1015490
ko:K02111	sauk:SAI3T3_1015500
ko:K02113	sauk:SAI3T3_1015510
ko:K02109	sauk:SAI3T3_1015520
ko:K02108	sauk:SAI3T3_1015530
ko:K01791	sauk:SAI3T3_1015540
ko:K00761	sauk:SAI3T3_1015550
ko:K00600	sauk:SAI3T3_1015560
ko:K07566	sauk:SAI3T3_1015580
ko:K02493	sauk:SAI3T3_1015590
ko:K02835	sauk:SAI3T3_1015600
ko:K03628	sauk:SAI3T3_1015620
ko:K00128	sauk:SAI3T3_1015630
ko:K00790	sauk:SAI3T3_1015640
ko:K01624	sauk:SAI3T3_1015650
ko:K01937	sauk:SAI3T3_1015670
ko:K03048	sauk:SAI3T3_1015680
ko:K09680	sauk:SAI3T3_1015700
ko:K07173	sauk:SAI3T3_1015740
ko:K00756	sauk:SAI3T3_1015750
ko:K01619	sauk:SAI3T3_1015760
ko:K03784	sauk:SAI3T3_1015770
ko:K01809	sauk:SAI3T3_1015790
ko:K16264	sauk:SAI3T3_1015810
ko:K04043	sauk:SAI3T3_1011480
ko:K01839	sauk:SAI3T3_1000940
ko:K02042	sauk:SAI3T3_1000950
ko:K02042	sauk:SAI3T3_1000960
ko:K02041	sauk:SAI3T3_1000970
ko:K02044	sauk:SAI3T3_1000980
ko:K04072	sauk:SAI3T3_1001030
ko:K01104	sauk:SAI3T3_1001060
ko:K17716	sauk:SAI3T3_1001080
ko:K01791	sauk:SAI3T3_1001100
ko:K13012	sauk:SAI3T3_1001160
ko:K01784	sauk:SAI3T3_1001170
ko:K02472	sauk:SAI3T3_1001180
ko:K01791	sauk:SAI3T3_1001190
ko:K00128	sauk:SAI3T3_1001200
ko:K16264	sauk:SAI3T3_1001210
ko:K02049	sauk:SAI3T3_1001230
ko:K02051	sauk:SAI3T3_1001240
ko:K02050	sauk:SAI3T3_1001250
ko:K00122	sauk:SAI3T3_1001270
ko:K08996	sauk:SAI3T3_1001310
ko:K00930	sauk:SAI3T3_1001320
ko:K00620	sauk:SAI3T3_1001330
ko:K00145	sauk:SAI3T3_1001340
ko:K00819	sauk:SAI3T3_1001350
ko:K03311	sauk:SAI3T3_1001360
ko:K09963	sauk:SAI3T3_1001400
ko:K07106	sauk:SAI3T3_1001410
ko:K02809	sauk:SAI3T3_1001420
ko:K02810	sauk:SAI3T3_1001420
ko:K00609	sauk:SAI3T3_1008540
ko:K01465	sauk:SAI3T3_1008550
ko:K01956	sauk:SAI3T3_1008560
ko:K01955	sauk:SAI3T3_1008570
ko:K01591	sauk:SAI3T3_1008580
ko:K00762	sauk:SAI3T3_1008590
ko:K00942	sauk:SAI3T3_1008610
ko:K13038	sauk:SAI3T3_1008620
ko:K04066	sauk:SAI3T3_1008630
ko:K01462	sauk:SAI3T3_1008650
ko:K00604	sauk:SAI3T3_1008660
ko:K03500	sauk:SAI3T3_1008670
ko:K06941	sauk:SAI3T3_1008680
ko:K06949	sauk:SAI3T3_1008710
ko:K01783	sauk:SAI3T3_1008720
ko:K07030	sauk:SAI3T3_1008740
ko:K03655	sauk:SAI3T3_1008750
ko:K03621	sauk:SAI3T3_1008770
ko:K00645	sauk:SAI3T3_1008780
ko:K00059	sauk:SAI3T3_1008790
ko:K03685	sauk:SAI3T3_1008800
ko:K03529	sauk:SAI3T3_1008810
ko:K03110	sauk:SAI3T3_1008820
ko:K03106	sauk:SAI3T3_1008830
ko:K02860	sauk:SAI3T3_1008840
ko:K00554	sauk:SAI3T3_1008850
ko:K14540	sauk:SAI3T3_1008870
ko:K03470	sauk:SAI3T3_1008880
ko:K01903	sauk:SAI3T3_1008890
ko:K01902	sauk:SAI3T3_1008900
ko:K04096	sauk:SAI3T3_1008930
ko:K03168	sauk:SAI3T3_1008940
ko:K04094	sauk:SAI3T3_1008950
ko:K03733	sauk:SAI3T3_1008960
ko:K01419	sauk:SAI3T3_1008970
ko:K03667	sauk:SAI3T3_1008980
ko:K03706	sauk:SAI3T3_1008990
ko:K02967	sauk:SAI3T3_1009000
ko:K02357	sauk:SAI3T3_1009010
ko:K09903	sauk:SAI3T3_1009020
ko:K02838	sauk:SAI3T3_1009030
ko:K04763	sauk:SAI3T3_1015870
ko:K02013	sauk:SAI3T3_1015900
ko:K00820	sauk:SAI3T3_1015910
ko:K02799	sauk:SAI3T3_1015920
ko:K02800	sauk:SAI3T3_1015920
ko:K00009	sauk:SAI3T3_1015940
ko:K03431	sauk:SAI3T3_1015960
ko:K01476	sauk:SAI3T3_1015990
ko:K03593	sauk:SAI3T3_1016080
ko:K11068	sauk:SAI3T3_1016130
ko:K07038	sauk:SAI3T3_1016150
ko:K02015	sauk:SAI3T3_1016170
ko:K02015	sauk:SAI3T3_1016180
ko:K02016	sauk:SAI3T3_1016190
ko:K01220	sauk:SAI3T3_1016300
ko:K02787	sauk:SAI3T3_1016310
ko:K02788	sauk:SAI3T3_1016310
ko:K01635	sauk:SAI3T3_1016320
ko:K00917	sauk:SAI3T3_1016330
ko:K01819	sauk:SAI3T3_1016340
ko:K03696	sauk:SAI3T3_1004020
ko:K04485	sauk:SAI3T3_1004030
ko:K09698	sauk:SAI3T3_1004050
ko:K00640	sauk:SAI3T3_1004060
ko:K01883	sauk:SAI3T3_1004070
ko:K01153	sauk:SAI3T3_1001440
ko:K02005	sauk:SAI3T3_1001460
ko:K02003	sauk:SAI3T3_1001470
ko:K02004	sauk:SAI3T3_1001480
ko:K01990	sauk:SAI3T3_1001510
ko:K02031	sauk:SAI3T3_1001520
ko:K03218	sauk:SAI3T3_1004080
ko:K06962	sauk:SAI3T3_1004090
ko:K03091	sauk:SAI3T3_1004100
ko:K02601	sauk:SAI3T3_1004110
ko:K02863	sauk:SAI3T3_1004120
ko:K02864	sauk:SAI3T3_1004130
ko:K03043	sauk:SAI3T3_1004150
ko:K03046	sauk:SAI3T3_1004160
ko:K02992	sauk:SAI3T3_1004170
ko:K02355	sauk:SAI3T3_1004180
ko:K02358	sauk:SAI3T3_1004190
ko:K00639	sauk:SAI3T3_1004210
ko:K05523	sauk:SAI3T3_1004220
ko:K00853	sauk:SAI3T3_1004230
ko:K00826	sauk:SAI3T3_1004250
ko:K01091	sauk:SAI3T3_1004260
ko:K15519	sauk:SAI3T3_1004270
ko:K15518	sauk:SAI3T3_1004280
ko:K14194	sauk:SAI3T3_1004310
ko:K14194	sauk:SAI3T3_1004320
ko:K14194	sauk:SAI3T3_1004330
ko:K00712	sauk:SAI3T3_1004350
ko:K00712	sauk:SAI3T3_1004360
ko:K09007	sauk:SAI3T3_1004380
ko:K02564	sauk:SAI3T3_1004400
ko:K08093	sauk:SAI3T3_1004410
ko:K08094	sauk:SAI3T3_1004420
ko:K03762	sauk:SAI3T3_1004440
ko:K00626	sauk:SAI3T3_1004460
ko:K00868	sauk:SAI3T3_1004470
ko:K03648	sauk:SAI3T3_1004490
ko:K03687	sauk:SAI3T3_1011490
ko:K03705	sauk:SAI3T3_1011500
ko:K03596	sauk:SAI3T3_1011520
ko:K02340	sauk:SAI3T3_1011530
ko:K02238	sauk:SAI3T3_1011540
ko:K02237	sauk:SAI3T3_1011560
ko:K00969	sauk:SAI3T3_1011590
ko:K00014	sauk:SAI3T3_1011600
ko:K06948	sauk:SAI3T3_1011610
ko:K07015	sauk:SAI3T3_1011620
ko:K01243	sauk:SAI3T3_1011630
ko:K07160	sauk:SAI3T3_1011660
ko:K01961	sauk:SAI3T3_1011670
ko:K03624	sauk:SAI3T3_1011700
ko:K00876	sauk:SAI3T3_1011710
ko:K08303	sauk:SAI3T3_1011720
ko:K01872	sauk:SAI3T3_1011750
ko:K03581	sauk:SAI3T3_1011760
ko:K00566	sauk:SAI3T3_1011780
ko:K04487	sauk:SAI3T3_1011790
ko:K07478	sauk:SAI3T3_1011810
ko:K01876	sauk:SAI3T3_1011830
ko:K01892	sauk:SAI3T3_1011840
ko:K01448	sauk:SAI3T3_1011850
ko:K00951	sauk:SAI3T3_1011860
ko:K00759	sauk:SAI3T3_1011870
ko:K07462	sauk:SAI3T3_1011880
ko:K12257	sauk:SAI3T3_1011890
ko:K00773	sauk:SAI3T3_1011900
ko:K07568	sauk:SAI3T3_1011910
ko:K03551	sauk:SAI3T3_1011920
ko:K03550	sauk:SAI3T3_1011930
ko:K03979	sauk:SAI3T3_1011940
ko:K03571	sauk:SAI3T3_1011950
ko:K03778	sauk:SAI3T3_1018790
ko:K16917	sauk:SAI3T3_1018810
ko:K16916	sauk:SAI3T3_1018820
ko:K07284	sauk:SAI3T3_1018830
ko:K03823	sauk:SAI3T3_1018840
ko:K01752	sauk:SAI3T3_1018850
ko:K01752	sauk:SAI3T3_1018860
ko:K00158	sauk:SAI3T3_1018910
ko:K00054	sauk:SAI3T3_1018940
ko:K01641	sauk:SAI3T3_1018950
ko:K00567	sauk:SAI3T3_1018960
ko:K04086	sauk:SAI3T3_1018970
ko:K04759	sauk:SAI3T3_1018980
ko:K06994	sauk:SAI3T3_1018990
ko:K00294	sauk:SAI3T3_1019010
ko:K17686	sauk:SAI3T3_1019030
ko:K03778	sauk:SAI3T3_1019040
ko:K10209	sauk:SAI3T3_1019060
ko:K10208	sauk:SAI3T3_1019070
ko:K10211	sauk:SAI3T3_1019080
ko:K10210	sauk:SAI3T3_1019090
ko:K10212	sauk:SAI3T3_1019100
ko:K07035	sauk:SAI3T3_1019150
ko:K07045	sauk:SAI3T3_1019210
ko:K00226	sauk:SAI3T3_1019270
ko:K02032	sauk:SAI3T3_1001520
ko:K02033	sauk:SAI3T3_1001530
ko:K02034	sauk:SAI3T3_1001540
ko:K02035	sauk:SAI3T3_1001550
ko:K01118	sauk:SAI3T3_1001580
ko:K10112	sauk:SAI3T3_1001600
ko:K15770	sauk:SAI3T3_1001610
ko:K15771	sauk:SAI3T3_1001620
ko:K15772	sauk:SAI3T3_1001630
ko:K07784	sauk:SAI3T3_1001680
ko:K07720	sauk:SAI3T3_1001690
ko:K02012	sauk:SAI3T3_1001710
ko:K00656	sauk:SAI3T3_1001720
ko:K04069	sauk:SAI3T3_1001730
ko:K01126	sauk:SAI3T3_1001740
ko:K07516	sauk:SAI3T3_1001770
ko:K00252	sauk:SAI3T3_1001780
ko:K01897	sauk:SAI3T3_1001790
ko:K02035	sauk:SAI3T3_1001820
ko:K05916	sauk:SAI3T3_1001830
ko:K00016	sauk:SAI3T3_1001840
ko:K02773	sauk:SAI3T3_1001880
ko:K02775	sauk:SAI3T3_1001890
ko:K00008	sauk:SAI3T3_1001900
ko:K00008	sauk:SAI3T3_1001910
ko:K00806	sauk:SAI3T3_1009040
ko:K00981	sauk:SAI3T3_1009050
ko:K11749	sauk:SAI3T3_1009060
ko:K01881	sauk:SAI3T3_1009070
ko:K03763	sauk:SAI3T3_1009080
ko:K09748	sauk:SAI3T3_1009090
ko:K02600	sauk:SAI3T3_1009100
ko:K02519	sauk:SAI3T3_1009120
ko:K03177	sauk:SAI3T3_1009130
ko:K11753	sauk:SAI3T3_1009140
ko:K00962	sauk:SAI3T3_1009150
ko:K12574	sauk:SAI3T3_1009160
ko:K03466	sauk:SAI3T3_1009170
ko:K00059	sauk:SAI3T3_1009210
ko:K00995	sauk:SAI3T3_1009230
ko:K09769	sauk:SAI3T3_1009270
ko:K00174	sauk:SAI3T3_1009280
ko:K00175	sauk:SAI3T3_1009290
ko:K06168	sauk:SAI3T3_1009300
ko:K03555	sauk:SAI3T3_1009320
ko:K03572	sauk:SAI3T3_1009330
ko:K02443	sauk:SAI3T3_1009340
ko:K02440	sauk:SAI3T3_1009350
ko:K00864	sauk:SAI3T3_1009360
ko:K00111	sauk:SAI3T3_1009370
ko:K00791	sauk:SAI3T3_1009390
ko:K00432	sauk:SAI3T3_1009400
ko:K03665	sauk:SAI3T3_1009410
ko:K01915	sauk:SAI3T3_1009440
ko:K01620	sauk:SAI3T3_1009450
ko:K06131	sauk:SAI3T3_1009460
ko:K01990	sauk:SAI3T3_1009470
ko:K01992	sauk:SAI3T3_1009480
ko:K07778	sauk:SAI3T3_1009490
ko:K02530	sauk:SAI3T3_1016350
ko:K12410	sauk:SAI3T3_1016360
ko:K01727	sauk:SAI3T3_1016390
ko:K01575	sauk:SAI3T3_1016420
ko:K01652	sauk:SAI3T3_1016430
ko:K06173	sauk:SAI3T3_1016490
ko:K16785	sauk:SAI3T3_1016500
ko:K16787	sauk:SAI3T3_1016510
ko:K16786	sauk:SAI3T3_1016520
ko:K03040	sauk:SAI3T3_1016530
ko:K00939	sauk:SAI3T3_1016540
ko:K03076	sauk:SAI3T3_1016550
ko:K02988	sauk:SAI3T3_1016560
ko:K02933	sauk:SAI3T3_1016570
ko:K02931	sauk:SAI3T3_1016580
ko:K02982	sauk:SAI3T3_1016600
ko:K02886	sauk:SAI3T3_1016610
ko:K02926	sauk:SAI3T3_1016620
ko:K02906	sauk:SAI3T3_1016630
ko:K06901	sauk:SAI3T3_1016640
ko:K05340	sauk:SAI3T3_1016670
ko:K07088	sauk:SAI3T3_1016680
ko:K11693	sauk:SAI3T3_1016700
ko:K03639	sauk:SAI3T3_1016730
ko:K03752	sauk:SAI3T3_1016740
ko:K03753	sauk:SAI3T3_1016750
ko:K03750	sauk:SAI3T3_1016760
ko:K03637	sauk:SAI3T3_1016770
ko:K03638	sauk:SAI3T3_1016780
ko:K02017	sauk:SAI3T3_1016800
ko:K02018	sauk:SAI3T3_1016810
ko:K02020	sauk:SAI3T3_1016820
ko:K02379	sauk:SAI3T3_1016830
ko:K00681	sauk:SAI3T3_1001560
ko:K14221	sauk:SAI3T3_1000160
ko:K14221	sauk:SAI3T3_1013880
ko:K14221	sauk:SAI3T3_1013910
ko:K14221	sauk:SAI3T3_1013500
ko:K14233	sauk:SAI3T3_1003470
ko:K14233	sauk:SAI3T3_1013920
ko:K14233	sauk:SAI3T3_1013900
ko:K14233	sauk:SAI3T3_1007270
ko:K14233	sauk:SAI3T3_1013440
ko:K14227	sauk:SAI3T3_1003550
ko:K14227	sauk:SAI3T3_1003930
ko:K14227	sauk:SAI3T3_1014060
ko:K14218	sauk:SAI3T3_1003560
ko:K14218	sauk:SAI3T3_1014050
ko:K14218	sauk:SAI3T3_1013950
ko:K14218	sauk:SAI3T3_1003910
ko:K14237	sauk:SAI3T3_1003840
ko:K14237	sauk:SAI3T3_1016030
ko:K14237	sauk:SAI3T3_1014030
ko:K14234	sauk:SAI3T3_1003850
ko:K14234	sauk:SAI3T3_1014020
ko:K14234	sauk:SAI3T3_1013860
ko:K14225	sauk:SAI3T3_1003870
ko:K14225	sauk:SAI3T3_1013990
ko:K14224	sauk:SAI3T3_1000150
ko:K14224	sauk:SAI3T3_1016040
ko:K14224	sauk:SAI3T3_1013450
ko:K14225	sauk:SAI3T3_1013790
ko:K14225	sauk:SAI3T3_1013800
ko:K14228	sauk:SAI3T3_1013780
ko:K14219	sauk:SAI3T3_1003890
ko:K14219	sauk:SAI3T3_1013970
ko:K14219	sauk:SAI3T3_1006020
ko:K14219	sauk:SAI3T3_1008340
ko:K14220	sauk:SAI3T3_1007280
ko:K14220	sauk:SAI3T3_1016050
ko:K14220	sauk:SAI3T3_1013460
ko:K14225	sauk:SAI3T3_1013470
ko:K14225	sauk:SAI3T3_1015180
ko:K14235	sauk:SAI3T3_1013840
ko:K14236	sauk:SAI3T3_1013850
ko:K14236	sauk:SAI3T3_1016020
ko:K14228	sauk:SAI3T3_1014000
ko:K14232	sauk:SAI3T3_1003900
ko:K14232	sauk:SAI3T3_1013960
ko:K14228	sauk:SAI3T3_1003880
ko:K14228	sauk:SAI3T3_1013980
ko:K14231	sauk:SAI3T3_1013490
ko:K14231	sauk:SAI3T3_1013870
ko:K14230	sauk:SAI3T3_1013510
ko:K14230	sauk:SAI3T3_1013890
ko:K14230	sauk:SAI3T3_1013940
ko:K14222	sauk:SAI3T3_1013810
ko:K14230	sauk:SAI3T3_1013930
ko:K14223	sauk:SAI3T3_1013820
ko:K14223	sauk:SAI3T3_1016010
ko:K01977	sauk:SAI3T3_1003920
ko:K01977	sauk:SAI3T3_1016070
ko:K01977	sauk:SAI3T3_1015170
ko:K01977	sauk:SAI3T3_1014070
ko:K01977	sauk:SAI3T3_1003540
ko:K14229	sauk:SAI3T3_1003860
ko:K14229	sauk:SAI3T3_1016000
ko:K14229	sauk:SAI3T3_1014010
ko:K14226	sauk:SAI3T3_1013480
ko:K14226	sauk:SAI3T3_1013830
ko:K14228	sauk:SAI3T3_1015190
ko:K01980	sauk:SAI3T3_1014040
ko:K01980	sauk:SAI3T3_1003940
ko:K01980	sauk:SAI3T3_1003570
ko:K01980	sauk:SAI3T3_1015160
ko:K01980	sauk:SAI3T3_1016060
ko:K07705	sauk:SAI3T3_1002020
ko:K18707	sauk:SAI3T3_1011440
ko:K02547	sauk:SAI3T3_1000280
ko:K18766	sauk:SAI3T3_20020
ko:K05592	sauk:SAI3T3_1015340
ko:K18672	sauk:SAI3T3_1015980
ko:K18704	sauk:SAI3T3_1001940
ko:K18682	sauk:SAI3T3_1009260
ko:K18692	sauk:SAI3T3_1011300
ko:K09692	sauk:SAI3T3_1004930
ko:K19279	sauk:SAI3T3_1012000
ko:K19279	sauk:SAI3T3_1015850
ko:K19279	sauk:SAI3T3_1019350
ko:K09692	sauk:SAI3T3_1014160
ko:K18941	sauk:SAI3T3_1010240
ko:K18908	sauk:SAI3T3_1002560
ko:K04940	sauk:SAI3T3_1016990
ko:K18907	sauk:SAI3T3_1000640
ko:K11040	sauk:SAI3T3_1013390
ko:K11040	sauk:SAI3T3_1013400
ko:K03497	sauk:SAI3T3_1020340
ko:K02172	sauk:SAI3T3_20030
ko:K00520	sauk:SAI3T3_20190
ko:K14201	sauk:SAI3T3_1006190
ko:K11040	sauk:SAI3T3_1013410
ko:K11040	sauk:SAI3T3_1013420
ko:K11040	sauk:SAI3T3_1013430
ko:K11040	sauk:SAI3T3_1014730
ko:K03169	sauk:SAI3T3_1016650
ko:K03502	sauk:SAI3T3_1009810
ko:K03497	sauk:SAI3T3_1002780
ko:K03111	sauk:SAI3T3_1002810
ko:K09145	sauk:SAI3T3_1005210
ko:K00221	sauk:SAI3T3_20180
ko:K07029	sauk:SAI3T3_1014390
