ko:K02028	sst:SSUST3_0517
ko:K03523	sst:SSUST3_0538
ko:K02003	sst:SSUST3_0542
ko:K04567	sst:SSUST3_0545
ko:K03588	sst:SSUST3_0553
ko:K01595	sst:SSUST3_0554
ko:K03088	sst:SSUST3_0555
ko:K02358	sst:SSUST3_0557
ko:K01803	sst:SSUST3_0558
ko:K05808	sst:SSUST3_0463
ko:K09817	sst:SSUST3_0123
ko:K09816	sst:SSUST3_0124
ko:K01866	sst:SSUST3_0129
ko:K03043	sst:SSUST3_0131
ko:K03046	sst:SSUST3_0132
ko:K01915	sst:SSUST3_0168
ko:K03789	sst:SSUST3_0173
ko:K07407	sst:SSUST3_0179
ko:K07007	sst:SSUST3_0187
ko:K00615	sst:SSUST3_0193
ko:K00615	sst:SSUST3_0194
ko:K01126	sst:SSUST3_0195
ko:K09747	sst:SSUST3_0196
ko:K02082	sst:SSUST3_0197
ko:K03581	sst:SSUST3_0227
ko:K03100	sst:SSUST3_0228
ko:K07456	sst:SSUST3_0237
ko:K03671	sst:SSUST3_0239
ko:K12267	sst:SSUST3_0241
ko:K02003	sst:SSUST3_0250
ko:K03310	sst:SSUST3_0252
ko:K00262	sst:SSUST3_0255
ko:K07282	sst:SSUST3_0257
ko:K04072	sst:SSUST3_0284
ko:K01733	sst:SSUST3_0285
ko:K07166	sst:SSUST3_0304
ko:K09157	sst:SSUST3_0305
ko:K03705	sst:SSUST3_0307
ko:K03687	sst:SSUST3_0308
ko:K04043	sst:SSUST3_0309
ko:K03686	sst:SSUST3_0310
ko:K07727	sst:SSUST3_0319
ko:K01534	sst:SSUST3_0321
ko:K06173	sst:SSUST3_0323
ko:K00868	sst:SSUST3_0324
ko:K01937	sst:SSUST3_0346
ko:K01624	sst:SSUST3_0347
ko:K02902	sst:SSUST3_0348
ko:K03655	sst:SSUST3_0351
ko:K14260	sst:SSUST3_0357
ko:K03706	sst:SSUST3_0358
ko:K02884	sst:SSUST3_0361
ko:K02435	sst:SSUST3_0363
ko:K02434	sst:SSUST3_0365
ko:K02529	sst:SSUST3_0367
ko:K00849	sst:SSUST3_0368
ko:K00965	sst:SSUST3_0369
ko:K07015	sst:SSUST3_0374
ko:K07574	sst:SSUST3_0376
ko:K00969	sst:SSUST3_0377
ko:K09710	sst:SSUST3_0382
ko:K01462	sst:SSUST3_0388
ko:K07146	sst:SSUST3_0401
ko:K03704	sst:SSUST3_0406
ko:K03501	sst:SSUST3_0407
ko:K05366	sst:SSUST3_0408
ko:K07444	sst:SSUST3_0413
ko:K07173	sst:SSUST3_0415
ko:K00942	sst:SSUST3_0417
ko:K03060	sst:SSUST3_0418
ko:K04066	sst:SSUST3_0419
ko:K00604	sst:SSUST3_0420
ko:K03500	sst:SSUST3_0421
ko:K03575	sst:SSUST3_1083
ko:K06180	sst:SSUST3_1088
ko:K00858	sst:SSUST3_1089
ko:K00948	sst:SSUST3_1092
ko:K04487	sst:SSUST3_1093
ko:K01926	sst:SSUST3_1096
ko:K07010	sst:SSUST3_1097
ko:K02469	sst:SSUST3_1102
ko:K02057	sst:SSUST3_1109
ko:K02057	sst:SSUST3_1110
ko:K07335	sst:SSUST3_1113
ko:K00756	sst:SSUST3_1116
ko:K02968	sst:SSUST3_1119
ko:K00783	sst:SSUST3_2029
ko:K01620	sst:SSUST3_0911
ko:K04487	sst:SSUST3_0914
ko:K03151	sst:SSUST3_0915
ko:K03311	sst:SSUST3_0916
ko:K02888	sst:SSUST3_0917
ko:K02899	sst:SSUST3_0918
ko:K03101	sst:SSUST3_0921
ko:K06180	sst:SSUST3_0922
ko:K06193	sst:SSUST3_0923
ko:K02825	sst:SSUST3_0925
ko:K00609	sst:SSUST3_0926
ko:K01956	sst:SSUST3_0927
ko:K01955	sst:SSUST3_0928
ko:K01304	sst:SSUST3_0930
ko:K02959	sst:SSUST3_0932
ko:K06960	sst:SSUST3_0933
ko:K00003	sst:SSUST3_0937
ko:K00872	sst:SSUST3_0938
ko:K00075	sst:SSUST3_0940
ko:K10773	sst:SSUST3_0951
ko:K00364	sst:SSUST3_0952
ko:K03327	sst:SSUST3_0953
ko:K02860	sst:SSUST3_0954
ko:K00554	sst:SSUST3_0955
ko:K02768	sst:SSUST3_0960
ko:K02769	sst:SSUST3_0960
ko:K02770	sst:SSUST3_0960
ko:K00215	sst:SSUST3_0963
ko:K01462	sst:SSUST3_1785
ko:K01704	sst:SSUST3_1787
ko:K01703	sst:SSUST3_1788
ko:K00052	sst:SSUST3_1789
ko:K01649	sst:SSUST3_1790
ko:K07078	sst:SSUST3_1793
ko:K03763	sst:SSUST3_1794
ko:K05878	sst:SSUST3_1797
ko:K05879	sst:SSUST3_1798
ko:K02440	sst:SSUST3_1800
ko:K01881	sst:SSUST3_1801
ko:K11749	sst:SSUST3_1802
ko:K00981	sst:SSUST3_1803
ko:K00806	sst:SSUST3_1804
ko:K03210	sst:SSUST3_1805
ko:K01939	sst:SSUST3_1806
ko:K01919	sst:SSUST3_1807
ko:K04083	sst:SSUST3_1809
ko:K03696	sst:SSUST3_1812
ko:K01738	sst:SSUST3_0430
ko:K03565	sst:SSUST3_0467
ko:K03710	sst:SSUST3_0470
ko:K12308	sst:SSUST3_0472
ko:K01873	sst:SSUST3_0484
ko:K01914	sst:SSUST3_0489
ko:K06207	sst:SSUST3_0490
ko:K03100	sst:SSUST3_0493
ko:K01925	sst:SSUST3_0499
ko:K02563	sst:SSUST3_0500
ko:K03589	sst:SSUST3_0501
ko:K03590	sst:SSUST3_0502
ko:K02876	sst:SSUST3_0095
ko:K03076	sst:SSUST3_0096
ko:K02518	sst:SSUST3_0098
ko:K02952	sst:SSUST3_0099
ko:K02948	sst:SSUST3_0100
ko:K03040	sst:SSUST3_0101
ko:K02879	sst:SSUST3_0102
ko:K00925	sst:SSUST3_0143
ko:K11754	sst:SSUST3_0145
ko:K06878	sst:SSUST3_0150
ko:K04078	sst:SSUST3_0154
ko:K04077	sst:SSUST3_0155
ko:K02950	sst:SSUST3_0156
ko:K02992	sst:SSUST3_0157
ko:K02355	sst:SSUST3_0158
ko:K00134	sst:SSUST3_0163
ko:K00927	sst:SSUST3_0165
ko:K00656	sst:SSUST3_0206
ko:K02346	sst:SSUST3_0207
ko:K07118	sst:SSUST3_0209
ko:K02761	sst:SSUST3_0215
ko:K01421	sst:SSUST3_0266
ko:K02440	sst:SSUST3_0273
ko:K06915	sst:SSUST3_0274
ko:K02913	sst:SSUST3_0280
ko:K02911	sst:SSUST3_0281
ko:K01892	sst:SSUST3_0282
ko:K03545	sst:SSUST3_0337
ko:K00705	sst:SSUST3_0390
ko:K00688	sst:SSUST3_0391
ko:K02357	sst:SSUST3_1816
ko:K02967	sst:SSUST3_1817
ko:K02601	sst:SSUST3_1820
ko:K03073	sst:SSUST3_1821
ko:K02913	sst:SSUST3_1822
ko:K03544	sst:SSUST3_0973
ko:K03978	sst:SSUST3_0974
ko:K00940	sst:SSUST3_0975
ko:K03596	sst:SSUST3_0976
ko:K01821	sst:SSUST3_0977
ko:K02835	sst:SSUST3_0982
ko:K02493	sst:SSUST3_0983
ko:K07566	sst:SSUST3_0984
ko:K00600	sst:SSUST3_0986
ko:K01951	sst:SSUST3_0996
ko:K03710	sst:SSUST3_0997
ko:K03106	sst:SSUST3_0999
ko:K02003	sst:SSUST3_1010
ko:K13653	sst:SSUST3_1019
ko:K04094	sst:SSUST3_1020
ko:K02935	sst:SSUST3_1022
ko:K02864	sst:SSUST3_1023
ko:K03168	sst:SSUST3_1024
ko:K04096	sst:SSUST3_1025
ko:K06180	sst:SSUST3_1825
ko:K03466	sst:SSUST3_1839
ko:K09760	sst:SSUST3_1849
ko:K01783	sst:SSUST3_1851
ko:K06949	sst:SSUST3_1852
ko:K12296	sst:SSUST3_0105
ko:K10041	sst:SSUST3_0622
ko:K02424	sst:SSUST3_1912
ko:K10039	sst:SSUST3_0621
ko:K10009	sst:SSUST3_1911
ko:K10716	sst:SSUST3_1136
ko:K10040	sst:SSUST3_0620
ko:K16511	sst:SSUST3_1727
ko:K01739	sst:SSUST3_1403
ko:K14226	sst:SSUST3_t026
ko:K14230	sst:SSUST3_t022
ko:K07260	sst:SSUST3_0885
ko:K16509	sst:SSUST3_1135
ko:K03699	sst:SSUST3_1512
ko:K01977	sst:SSUST3_r10
ko:K01977	sst:SSUST3_r12
ko:K01977	sst:SSUST3_r11
ko:K01977	sst:SSUST3_r09
ko:K01223	sst:SSUST3_1672
ko:K01223	sst:SSUST3_0188
ko:K14237	sst:SSUST3_t017
ko:K14237	sst:SSUST3_t02
ko:K14237	sst:SSUST3_t034
ko:K16785	sst:SSUST3_0405
ko:K01223	sst:SSUST3_1920
ko:K02051	sst:SSUST3_0221
ko:K14235	sst:SSUST3_t025
ko:K15772	sst:SSUST3_0536
ko:K15770	sst:SSUST3_1966
ko:K01989	sst:SSUST3_1267
ko:K15772	sst:SSUST3_1968
ko:K15771	sst:SSUST3_1967
ko:K15770	sst:SSUST3_0534
ko:K16786	sst:SSUST3_1996
ko:K16787	sst:SSUST3_1995
ko:K02778	sst:SSUST3_0582
ko:K02779	sst:SSUST3_0582
ko:K16785	sst:SSUST3_1994
ko:K10118	sst:SSUST3_1398
ko:K16788	sst:SSUST3_1871
ko:K16789	sst:SSUST3_0549
ko:K01989	sst:SSUST3_1266
ko:K01985	sst:SSUST3_r03
ko:K01985	sst:SSUST3_r04
ko:K01985	sst:SSUST3_r01
ko:K01985	sst:SSUST3_r02
ko:K01155	sst:SSUST3_0038
ko:K10119	sst:SSUST3_1397
ko:K14219	sst:SSUST3_t041
ko:K14219	sst:SSUST3_t09
ko:K14230	sst:SSUST3_t012
ko:K14236	sst:SSUST3_t024
ko:K14236	sst:SSUST3_t044
ko:K10009	sst:SSUST3_0314
ko:K16786	sst:SSUST3_0295
ko:K16787	sst:SSUST3_0295
ko:K02424	sst:SSUST3_0313
ko:K02030	sst:SSUST3_1271
ko:K02030	sst:SSUST3_1954
ko:K14225	sst:SSUST3_t039
ko:K14225	sst:SSUST3_t07
ko:K00355	sst:SSUST3_1465
ko:K14218	sst:SSUST3_t01
ko:K14218	sst:SSUST3_t033
ko:K14218	sst:SSUST3_t030
ko:K14218	sst:SSUST3_t016
ko:K14229	sst:SSUST3_t036
ko:K14229	sst:SSUST3_t04
ko:K14229	sst:SSUST3_t049
ko:K14228	sst:SSUST3_t037
ko:K14228	sst:SSUST3_t05
ko:K14228	sst:SSUST3_t048
ko:K16786	sst:SSUST3_0404
ko:K16787	sst:SSUST3_0404
ko:K01426	sst:SSUST3_0312
ko:K14219	sst:SSUST3_t046
ko:K16785	sst:SSUST3_0294
ko:K08316	sst:SSUST3_1524
ko:K08986	sst:SSUST3_1202
ko:K14219	sst:SSUST3_t050
ko:K11991	sst:SSUST3_1897
ko:K16868	sst:SSUST3_0595
ko:K16924	sst:SSUST3_0399
ko:K16926	sst:SSUST3_0293
ko:K14230	sst:SSUST3_t011
ko:K16898	sst:SSUST3_0897
ko:K16899	sst:SSUST3_0896
ko:K14227	sst:SSUST3_t019
ko:K14223	sst:SSUST3_t027
ko:K14223	sst:SSUST3_t045
ko:K14233	sst:SSUST3_t054
ko:K14220	sst:SSUST3_t031
ko:K14220	sst:SSUST3_t052
ko:K14232	sst:SSUST3_t042
ko:K03574	sst:SSUST3_0513
ko:K11070	sst:SSUST3_0943
ko:K01992	sst:SSUST3_0260
ko:K10010	sst:SSUST3_1910
ko:K01990	sst:SSUST3_0889
ko:K02029	sst:SSUST3_1060
ko:K02030	sst:SSUST3_1060
ko:K01990	sst:SSUST3_0699
ko:K17318	sst:SSUST3_0649
ko:K17319	sst:SSUST3_0647
ko:K01992	sst:SSUST3_0888
ko:K01992	sst:SSUST3_1703
ko:K01992	sst:SSUST3_0698
ko:K01990	sst:SSUST3_1704
ko:K01990	sst:SSUST3_0185
ko:K01990	sst:SSUST3_1285
ko:K02028	sst:SSUST3_1950
ko:K02032	sst:SSUST3_1715
ko:K02028	sst:SSUST3_1272
ko:K03574	sst:SSUST3_0487
ko:K03574	sst:SSUST3_1167
ko:K00951	sst:SSUST3_1933
ko:K02028	sst:SSUST3_1061
ko:K17320	sst:SSUST3_0648
ko:K02030	sst:SSUST3_1051
ko:K02030	sst:SSUST3_1052
ko:K17076	sst:SSUST3_1730
ko:K02029	sst:SSUST3_0516
ko:K01992	sst:SSUST3_0045
ko:K01992	sst:SSUST3_0259
ko:K17073	sst:SSUST3_1729
ko:K17074	sst:SSUST3_1729
ko:K10947	sst:SSUST3_1150
ko:K01980	sst:SSUST3_r08
ko:K01980	sst:SSUST3_r06
ko:K01980	sst:SSUST3_r07
ko:K01980	sst:SSUST3_r05
ko:K14221	sst:SSUST3_t03
ko:K14221	sst:SSUST3_t035
ko:K10112	sst:SSUST3_1763
ko:K01990	sst:SSUST3_0044
ko:K01990	sst:SSUST3_1531
ko:K01990	sst:SSUST3_1772
ko:K01992	sst:SSUST3_1530
ko:K02027	sst:SSUST3_0176
ko:K17686	sst:SSUST3_0597
ko:K00226	sst:SSUST3_0256
ko:K17828	sst:SSUST3_1044
ko:K02026	sst:SSUST3_0178
ko:K03486	sst:SSUST3_0392
ko:K02004	sst:SSUST3_0601
ko:K01467	sst:SSUST3_0012
ko:K07284	sst:SSUST3_1455
ko:K06518	sst:SSUST3_0270
ko:K03767	sst:SSUST3_0642
ko:K00661	sst:SSUST3_1026
ko:K12574	sst:SSUST3_1343
ko:K00537	sst:SSUST3_1311
ko:K12574	sst:SSUST3_0169
ko:K07284	sst:SSUST3_0523
ko:K07284	sst:SSUST3_0497
ko:K18216	sst:SSUST3_0577
ko:K02614	sst:SSUST3_1084
ko:K01071	sst:SSUST3_1305
ko:K05799	sst:SSUST3_1182
ko:K02794	sst:SSUST3_0473
ko:K18217	sst:SSUST3_0578
ko:K17686	sst:SSUST3_0225
ko:K01733	sst:SSUST3_0286
ko:K01421	sst:SSUST3_0263
ko:K02808	sst:SSUST3_1653
ko:K02809	sst:SSUST3_1653
ko:K02810	sst:SSUST3_1653
ko:K02029	sst:SSUST3_1953
ko:K12296	sst:SSUST3_0073
ko:K14233	sst:SSUST3_t014
ko:K03742	sst:SSUST3_0065
ko:K18474	sst:SSUST3_1644
ko:K14233	sst:SSUST3_t010
ko:K01200	sst:SSUST3_1971
ko:K18581	sst:SSUST3_1231
ko:K02313	sst:SSUST3_0001
ko:K18682	sst:SSUST3_0416
ko:K06896	sst:SSUST3_0393
ko:K02338	sst:SSUST3_0002
ko:K00973	sst:SSUST3_0685
ko:K18672	sst:SSUST3_1334
ko:K18692	sst:SSUST3_1579
ko:K01155	sst:SSUST3_0037
ko:K06218	sst:SSUST3_1359
ko:K18815	sst:SSUST3_1327
ko:K18892	sst:SSUST3_1884
ko:K18891	sst:SSUST3_1885
ko:K03790	sst:SSUST3_1463
ko:K06218	sst:SSUST3_0772
ko:K18888	sst:SSUST3_0935
ko:K18887	sst:SSUST3_0934
ko:K03111	sst:SSUST3_0446
ko:K03111	sst:SSUST3_0152
ko:K03497	sst:SSUST3_2031
ko:K06218	sst:SSUST3_1007
ko:K18231	sst:SSUST3_0629
ko:K07029	sst:SSUST3_1198
ko:K19055	sst:SSUST3_1345
ko:K19002	sst:SSUST3_0614
ko:K18979	sst:SSUST3_0570
ko:K13052	sst:SSUST3_0010
ko:K18986	sst:SSUST3_1503
ko:K02851	sst:SSUST3_1726
ko:K18987	sst:SSUST3_1504
ko:K19005	sst:SSUST3_0718
ko:K07452	sst:SSUST3_0994
ko:K19159	sst:SSUST3_1860
ko:K19147	sst:SSUST3_0995
ko:K00571	sst:SSUST3_0036
ko:K19158	sst:SSUST3_1859
ko:K06893	sst:SSUST3_1989
ko:K15342	sst:SSUST3_1317
ko:K01710	sst:SSUST3_0688
ko:K05881	sst:SSUST3_1799
ko:K01215	sst:SSUST3_1395
ko:K19302	sst:SSUST3_1538
ko:K12952	sst:SSUST3_0639
ko:K04771	sst:SSUST3_2030
ko:K03722	sst:SSUST3_0728
ko:K06881	sst:SSUST3_1377
ko:K00526	sst:SSUST3_1222
ko:K03789	sst:SSUST3_1783
ko:K00887	sst:SSUST3_0585
ko:K07497	sst:SSUST3_1780
ko:K02796	sst:SSUST3_0475
ko:K02796	sst:SSUST3_1621
ko:K21636	sst:SSUST3_1949
ko:K20074	sst:SSUST3_0422
ko:K12132	sst:SSUST3_0423
ko:K20073	sst:SSUST3_0414
ko:K02777	sst:SSUST3_0394
ko:K20107	sst:SSUST3_0394
ko:K20108	sst:SSUST3_0394
ko:K20342	sst:SSUST3_0057
ko:K00525	sst:SSUST3_1221
ko:K20489	sst:SSUST3_1011
ko:K18889	sst:SSUST3_0303
ko:K18890	sst:SSUST3_0302
ko:K20534	sst:SSUST3_0791
ko:K01208	sst:SSUST3_0533
ko:K11751	sst:SSUST3_1947
ko:K21064	sst:SSUST3_1618
ko:K08968	sst:SSUST3_1475
ko:K06223	sst:SSUST3_0035
ko:K03553	sst:SSUST3_0066
ko:K00560	sst:SSUST3_0970
ko:K00287	sst:SSUST3_0971
ko:K00857	sst:SSUST3_0981
ko:K01520	sst:SSUST3_1883
ko:K07313	sst:SSUST3_1894
ko:K02316	sst:SSUST3_1298
ko:K01493	sst:SSUST3_1467
ko:K06191	sst:SSUST3_1220
ko:K04068	sst:SSUST3_1945
ko:K02314	sst:SSUST3_1983
ko:K06217	sst:SSUST3_0666
ko:K02335	sst:SSUST3_0604
ko:K01101	sst:SSUST3_1303
ko:K01759	sst:SSUST3_0644
ko:K02031	sst:SSUST3_1716
ko:K00571	sst:SSUST3_0142
ko:K07497	sst:SSUST3_0343
ko:K06148	sst:SSUST3_0292
ko:K21471	sst:SSUST3_0205
ko:K21471	sst:SSUST3_0023
ko:K21567	sst:SSUST3_1824
ko:K00863	sst:SSUST3_1795
ko:K21828	sst:SSUST3_0778
ko:K22044	sst:SSUST3_0253
ko:K03595	sst:SSUST3_0586
ko:K03078	sst:SSUST3_1904
ko:K22278	sst:SSUST3_1482
ko:K17758	sst:SSUST3_0950
ko:K03077	sst:SSUST3_1902
ko:K03079	sst:SSUST3_1903
ko:K22441	sst:SSUST3_1173
ko:K22457	sst:SSUST3_0769
