ko:K02030	bsh:BSU6051_23980
ko:K01845	bsh:BSU6051_28120
ko:K01698	bsh:BSU6051_28130
ko:K00765	bsh:BSU6051_34920
ko:K02502	bsh:BSU6051_34930
ko:K06019	bsh:BSU6051_34970
ko:K13292	bsh:BSU6051_34990
ko:K01443	bsh:BSU6051_35010
ko:K03710	bsh:BSU6051_35030
ko:K08972	bsh:BSU6051_35100
ko:K02406	bsh:BSU6051_35150
ko:K03701	bsh:BSU6051_35160
ko:K03702	bsh:BSU6051_35170
ko:K03797	bsh:BSU6051_35240
ko:K09811	bsh:BSU6051_35250
ko:K09812	bsh:BSU6051_35260
ko:K02836	bsh:BSU6051_35290
ko:K03070	bsh:BSU6051_35300
ko:K02423	bsh:BSU6051_35320
ko:K02422	bsh:BSU6051_35330
ko:K02407	bsh:BSU6051_35340
ko:K02406	bsh:BSU6051_35360
ko:K03563	bsh:BSU6051_35370
ko:K13626	bsh:BSU6051_35380
ko:K02343	bsh:BSU6051_00190
ko:K09747	bsh:BSU6051_00200
ko:K06187	bsh:BSU6051_00210
ko:K06317	bsh:BSU6051_00230
ko:K00943	bsh:BSU6051_00280
ko:K09770	bsh:BSU6051_00300
ko:K02341	bsh:BSU6051_00310
ko:K07461	bsh:BSU6051_00350
ko:K07056	bsh:BSU6051_00360
ko:K06284	bsh:BSU6051_00370
ko:K01874	bsh:BSU6051_00380
ko:K03424	bsh:BSU6051_00390
ko:K05985	bsh:BSU6051_00410
ko:K02528	bsh:BSU6051_00420
ko:K06436	bsh:BSU6051_00430
ko:K06423	bsh:BSU6051_00450
ko:K00919	bsh:BSU6051_00460
ko:K06412	bsh:BSU6051_00490
ko:K04042	bsh:BSU6051_00500
ko:K00948	bsh:BSU6051_00510
ko:K02897	bsh:BSU6051_00520
ko:K01056	bsh:BSU6051_00530
ko:K03723	bsh:BSU6051_00550
ko:K04769	bsh:BSU6051_00560
ko:K01265	bsh:BSU6051_07690
ko:K02803	bsh:BSU6051_07700
ko:K02804	bsh:BSU6051_07700
ko:K03310	bsh:BSU6051_07750
ko:K06295	bsh:BSU6051_07790
ko:K02818	bsh:BSU6051_07800
ko:K02819	bsh:BSU6051_07800
ko:K05520	bsh:BSU6051_07850
ko:K07058	bsh:BSU6051_07900
ko:K07300	bsh:BSU6051_07920
ko:K03284	bsh:BSU6051_08000
ko:K01247	bsh:BSU6051_08010
ko:K03215	bsh:BSU6051_08020
ko:K00627	bsh:BSU6051_08080
ko:K00382	bsh:BSU6051_08090
ko:K06425	bsh:BSU6051_08110
ko:K09771	bsh:BSU6051_08120
ko:K06383	bsh:BSU6051_15310
ko:K03091	bsh:BSU6051_15320
ko:K03091	bsh:BSU6051_15330
ko:K02013	bsh:BSU6051_15340
ko:K05810	bsh:BSU6051_15370
ko:K06997	bsh:BSU6051_15380
ko:K09772	bsh:BSU6051_15390
ko:K02221	bsh:BSU6051_15400
ko:K04074	bsh:BSU6051_15420
ko:K01870	bsh:BSU6051_15430
ko:K03101	bsh:BSU6051_15450
ko:K06180	bsh:BSU6051_15460
ko:K02825	bsh:BSU6051_15470
ko:K00609	bsh:BSU6051_15490
ko:K01465	bsh:BSU6051_15500
ko:K01956	bsh:BSU6051_15510
ko:K01955	bsh:BSU6051_15520
ko:K01591	bsh:BSU6051_15550
ko:K00762	bsh:BSU6051_15560
ko:K00390	bsh:BSU6051_15570
ko:K16331	bsh:BSU6051_15580
ko:K00958	bsh:BSU6051_15590
ko:K00860	bsh:BSU6051_15600
ko:K02304	bsh:BSU6051_15630
ko:K09777	bsh:BSU6051_15670
ko:K00942	bsh:BSU6051_15680
ko:K03060	bsh:BSU6051_15690
ko:K13038	bsh:BSU6051_15700
ko:K04066	bsh:BSU6051_15710
ko:K01462	bsh:BSU6051_15720
ko:K00604	bsh:BSU6051_15730
ko:K03500	bsh:BSU6051_15740
ko:K06941	bsh:BSU6051_15750
ko:K06949	bsh:BSU6051_15780
ko:K03654	bsh:BSU6051_23020
ko:K03785	bsh:BSU6051_23080
ko:K03088	bsh:BSU6051_23100
ko:K07651	bsh:BSU6051_23110
ko:K07775	bsh:BSU6051_23120
ko:K07399	bsh:BSU6051_23140
ko:K06178	bsh:BSU6051_23160
ko:K06374	bsh:BSU6051_23170
ko:K06373	bsh:BSU6051_23180
ko:K06024	bsh:BSU6051_23210
ko:K05896	bsh:BSU6051_23220
ko:K02859	bsh:BSU6051_23240
ko:K00794	bsh:BSU6051_23250
ko:K14652	bsh:BSU6051_23260
ko:K00793	bsh:BSU6051_23270
ko:K11752	bsh:BSU6051_23280
ko:K03100	bsh:BSU6051_23310
ko:K01586	bsh:BSU6051_23380
ko:K06408	bsh:BSU6051_23390
ko:K06407	bsh:BSU6051_23401
ko:K06407	bsh:BSU6051_23402
ko:K06406	bsh:BSU6051_23410
ko:K06405	bsh:BSU6051_23420
ko:K06404	bsh:BSU6051_23430
ko:K06403	bsh:BSU6051_23440
ko:K03091	bsh:BSU6051_23450
ko:K16188	bsh:BSU6051_30500
ko:K01953	bsh:BSU6051_30540
ko:K00789	bsh:BSU6051_30550
ko:K01610	bsh:BSU6051_30560
ko:K04047	bsh:BSU6051_30650
ko:K07173	bsh:BSU6051_30670
ko:K08998	bsh:BSU6051_30680
ko:K01673	bsh:BSU6051_30690
ko:K02909	bsh:BSU6051_30700
ko:K00425	bsh:BSU6051_30710
ko:K00426	bsh:BSU6051_30720
ko:K01911	bsh:BSU6051_30790
ko:K01661	bsh:BSU6051_30800
ko:K02551	bsh:BSU6051_30820
ko:K00963	bsh:BSU6051_30850
ko:K00012	bsh:BSU6051_30860
ko:K00688	bsh:BSU6051_30940
ko:K00703	bsh:BSU6051_30950
ko:K00975	bsh:BSU6051_30960
ko:K02205	bsh:BSU6051_37760
ko:K00260	bsh:BSU6051_37790
ko:K01790	bsh:BSU6051_37810
ko:K00067	bsh:BSU6051_37820
ko:K00973	bsh:BSU6051_37840
ko:K06305	bsh:BSU6051_37920
ko:K03648	bsh:BSU6051_37970
ko:K00868	bsh:BSU6051_38020
ko:K01193	bsh:BSU6051_38040
ko:K02598	bsh:BSU6051_38060
ko:K14647	bsh:BSU6051_38090
ko:K05837	bsh:BSU6051_38120
ko:K02829	bsh:BSU6051_38140
ko:K02828	bsh:BSU6051_38150
ko:K07002	bsh:BSU6051_05260
ko:K03893	bsh:BSU6051_05340
ko:K07150	bsh:BSU6051_05450
ko:K15975	bsh:BSU6051_05490
ko:K15977	bsh:BSU6051_05500
ko:K13993	bsh:BSU6051_05550
ko:K11737	bsh:BSU6051_05620
ko:K07552	bsh:BSU6051_05680
ko:K07090	bsh:BSU6051_05690
ko:K00286	bsh:BSU6051_12910
ko:K16203	bsh:BSU6051_12920
ko:K16200	bsh:BSU6051_12930
ko:K16201	bsh:BSU6051_12940
ko:K16199	bsh:BSU6051_12960
ko:K05916	bsh:BSU6051_13040
ko:K01433	bsh:BSU6051_13110
ko:K00931	bsh:BSU6051_13120
ko:K00147	bsh:BSU6051_13130
ko:K00549	bsh:BSU6051_13180
ko:K13275	bsh:BSU6051_13190
ko:K16785	bsh:BSU6051_13210
ko:K16786	bsh:BSU6051_13220
ko:K16787	bsh:BSU6051_13220
ko:K06213	bsh:BSU6051_13300
ko:K03530	bsh:BSU6051_21050
ko:K01749	bsh:BSU6051_28150
ko:K02497	bsh:BSU6051_28160
ko:K02492	bsh:BSU6051_28170
ko:K03978	bsh:BSU6051_28190
ko:K01338	bsh:BSU6051_28200
ko:K03544	bsh:BSU6051_28220
ko:K03545	bsh:BSU6051_28230
ko:K01704	bsh:BSU6051_28250
ko:K01703	bsh:BSU6051_28260
ko:K00052	bsh:BSU6051_28270
ko:K01649	bsh:BSU6051_28280
ko:K00053	bsh:BSU6051_28290
ko:K01653	bsh:BSU6051_28300
ko:K01652	bsh:BSU6051_28310
ko:K03829	bsh:BSU6051_28330
ko:K07095	bsh:BSU6051_28350
ko:K00989	bsh:BSU6051_28370
ko:K01776	bsh:BSU6051_28390
ko:K01994	bsh:BSU6051_28410
ko:K07107	bsh:BSU6051_28420
ko:K00240	bsh:BSU6051_28430
ko:K00239	bsh:BSU6051_28440
ko:K00928	bsh:BSU6051_28470
ko:K03703	bsh:BSU6051_28490
ko:K03671	bsh:BSU6051_28500
ko:K03522	bsh:BSU6051_28520
ko:K03521	bsh:BSU6051_28530
ko:K13767	bsh:BSU6051_28540
ko:K13770	bsh:BSU6051_28550
ko:K08989	bsh:BSU6051_28570
ko:K07456	bsh:BSU6051_28580
ko:K02347	bsh:BSU6051_28590
ko:K02397	bsh:BSU6051_35400
ko:K02396	bsh:BSU6051_35410
ko:K02398	bsh:BSU6051_35430
ko:K07777	bsh:BSU6051_35500
ko:K16698	bsh:BSU6051_35550
ko:K16705	bsh:BSU6051_35570
ko:K00012	bsh:BSU6051_35580
ko:K01448	bsh:BSU6051_35620
ko:K00963	bsh:BSU6051_35670
ko:K05946	bsh:BSU6051_35750
ko:K01809	bsh:BSU6051_35790
ko:K07507	bsh:BSU6051_06650
ko:K02435	bsh:BSU6051_06670
ko:K02434	bsh:BSU6051_06690
ko:K03215	bsh:BSU6051_06730
ko:K16137	bsh:BSU6051_06860
ko:K06332	bsh:BSU6051_06890
ko:K06333	bsh:BSU6051_06900
ko:K06334	bsh:BSU6051_06910
ko:K07718	bsh:BSU6051_06950
ko:K15532	bsh:BSU6051_07000
ko:K07406	bsh:BSU6051_07130
ko:K03636	bsh:BSU6051_14310
ko:K02003	bsh:BSU6051_14360
ko:K02768	bsh:BSU6051_14400
ko:K02769	bsh:BSU6051_14400
ko:K02770	bsh:BSU6051_14400
ko:K03100	bsh:BSU6051_14410
ko:K00077	bsh:BSU6051_14440
ko:K03569	bsh:BSU6051_14470
ko:K01486	bsh:BSU6051_14520
ko:K01462	bsh:BSU6051_14560
ko:K00161	bsh:BSU6051_14580
ko:K00162	bsh:BSU6051_14590
ko:K00627	bsh:BSU6051_14600
ko:K00382	bsh:BSU6051_14610
ko:K03088	bsh:BSU6051_14730
ko:K06207	bsh:BSU6051_14770
ko:K01625	bsh:BSU6051_22100
ko:K00874	bsh:BSU6051_22110
ko:K02525	bsh:BSU6051_22120
ko:K01815	bsh:BSU6051_22130
ko:K07444	bsh:BSU6051_22170
ko:K06327	bsh:BSU6051_22200
ko:K07502	bsh:BSU6051_22210
ko:K05366	bsh:BSU6051_22320
ko:K10773	bsh:BSU6051_22340
ko:K01893	bsh:BSU6051_22360
ko:K00812	bsh:BSU6051_22370
ko:K01579	bsh:BSU6051_22410
ko:K01918	bsh:BSU6051_22420
ko:K00606	bsh:BSU6051_22430
ko:K03524	bsh:BSU6051_22440
ko:K01734	bsh:BSU6051_22480
ko:K00215	bsh:BSU6051_22490
ko:K03888	bsh:BSU6051_22540
ko:K00858	bsh:BSU6051_29540
ko:K01895	bsh:BSU6051_29560
ko:K03151	bsh:BSU6051_29580
ko:K04487	bsh:BSU6051_29590
ko:K03311	bsh:BSU6051_29600
ko:K04486	bsh:BSU6051_29620
ko:K02986	bsh:BSU6051_29660
ko:K01866	bsh:BSU6051_29670
ko:K01895	bsh:BSU6051_29680
ko:K04766	bsh:BSU6051_29690
ko:K04768	bsh:BSU6051_29710
ko:K02557	bsh:BSU6051_29720
ko:K02556	bsh:BSU6051_29730
ko:K02529	bsh:BSU6051_29740
ko:K13853	bsh:BSU6051_29750
ko:K01924	bsh:BSU6051_29790
ko:K03466	bsh:BSU6051_29805
ko:K06878	bsh:BSU6051_29820
ko:K03439	bsh:BSU6051_29900
ko:K01975	bsh:BSU6051_29960
ko:K01738	bsh:BSU6051_29970
ko:K06901	bsh:BSU6051_29990
ko:K02114	bsh:BSU6051_36800
ko:K02112	bsh:BSU6051_36810
ko:K02115	bsh:BSU6051_36820
ko:K02111	bsh:BSU6051_36830
ko:K02113	bsh:BSU6051_36840
ko:K02109	bsh:BSU6051_36850
ko:K02110	bsh:BSU6051_36860
ko:K02108	bsh:BSU6051_36870
ko:K00761	bsh:BSU6051_36890
ko:K00600	bsh:BSU6051_36900
ko:K01808	bsh:BSU6051_36920
ko:K07566	bsh:BSU6051_36950
ko:K06387	bsh:BSU6051_36970
ko:K02493	bsh:BSU6051_37000
ko:K02835	bsh:BSU6051_37010
ko:K11686	bsh:BSU6051_37030
ko:K07088	bsh:BSU6051_37040
ko:K02909	bsh:BSU6051_37070
ko:K03628	bsh:BSU6051_37080
ko:K00790	bsh:BSU6051_37100
ko:K01624	bsh:BSU6051_37120
ko:K02490	bsh:BSU6051_37130
ko:K01937	bsh:BSU6051_37150
ko:K06131	bsh:BSU6051_37190
ko:K01448	bsh:BSU6051_01530
ko:K06294	bsh:BSU6051_01550
ko:K06349	bsh:BSU6051_01560
ko:K03321	bsh:BSU6051_01580
ko:K02015	bsh:BSU6051_01610
ko:K02015	bsh:BSU6051_01620
ko:K02016	bsh:BSU6051_01630
ko:K01207	bsh:BSU6051_01660
ko:K07106	bsh:BSU6051_01700
ko:K03088	bsh:BSU6051_01730
ko:K03431	bsh:BSU6051_01770
ko:K00820	bsh:BSU6051_01780
ko:K01247	bsh:BSU6051_01800
ko:K13530	bsh:BSU6051_01810
ko:K13531	bsh:BSU6051_01820
ko:K05577	bsh:BSU6051_01830
ko:K09822	bsh:BSU6051_01845
ko:K03809	bsh:BSU6051_09020
ko:K03704	bsh:BSU6051_09100
ko:K02073	bsh:BSU6051_09110
ko:K06956	bsh:BSU6051_09130
ko:K06180	bsh:BSU6051_09210
ko:K02440	bsh:BSU6051_09280
ko:K00864	bsh:BSU6051_09290
ko:K00111	bsh:BSU6051_09300
ko:K13771	bsh:BSU6051_09380
ko:K01647	bsh:BSU6051_09440
ko:K03308	bsh:BSU6051_09470
ko:K00375	bsh:BSU6051_09480
ko:K00928	bsh:BSU6051_16760
ko:K01714	bsh:BSU6051_16770
ko:K03466	bsh:BSU6051_16800
ko:K03710	bsh:BSU6051_16810
ko:K08221	bsh:BSU6051_16825
ko:K00995	bsh:BSU6051_16920
ko:K09769	bsh:BSU6051_16970
ko:K06416	bsh:BSU6051_16980
ko:K00060	bsh:BSU6051_16990
ko:K06168	bsh:BSU6051_17010
ko:K06328	bsh:BSU6051_17030
ko:K03555	bsh:BSU6051_17040
ko:K03572	bsh:BSU6051_17050
ko:K15328	bsh:BSU6051_17110
ko:K15337	bsh:BSU6051_17130
ko:K00646	bsh:BSU6051_17140
ko:K15311	bsh:BSU6051_17150
ko:K15313	bsh:BSU6051_17170
ko:K06396	bsh:BSU6051_24370
ko:K06395	bsh:BSU6051_24380
ko:K06394	bsh:BSU6051_24390
ko:K06393	bsh:BSU6051_24400
ko:K06392	bsh:BSU6051_24410
ko:K06391	bsh:BSU6051_24420
ko:K06390	bsh:BSU6051_24430
ko:K02356	bsh:BSU6051_24450
ko:K03786	bsh:BSU6051_24470
ko:K07001	bsh:BSU6051_24510
ko:K03800	bsh:BSU6051_24530
ko:K00283	bsh:BSU6051_24550
ko:K00282	bsh:BSU6051_24560
ko:K00605	bsh:BSU6051_24570
ko:K02247	bsh:BSU6051_24690
ko:K01308	bsh:BSU6051_24830
ko:K02251	bsh:BSU6051_31710
ko:K00763	bsh:BSU6051_31750
ko:K06950	bsh:BSU6051_31830
ko:K16216	bsh:BSU6051_31840
ko:K03466	bsh:BSU6051_31875
ko:K00259	bsh:BSU6051_31930
ko:K04780	bsh:BSU6051_31960
ko:K01252	bsh:BSU6051_31970
ko:K02363	bsh:BSU6051_31980
ko:K02361	bsh:BSU6051_31990
ko:K00216	bsh:BSU6051_32000
ko:K03523	bsh:BSU6051_32030
ko:K07084	bsh:BSU6051_32040
ko:K01255	bsh:BSU6051_32050
ko:K09775	bsh:BSU6051_32060
ko:K03885	bsh:BSU6051_32100
ko:K00364	bsh:BSU6051_32130
ko:K07734	bsh:BSU6051_32140
ko:K01778	bsh:BSU6051_32170
ko:K01223	bsh:BSU6051_39260
ko:K09683	bsh:BSU6051_39340
ko:K01745	bsh:BSU6051_39350
ko:K01712	bsh:BSU6051_39360
ko:K01468	bsh:BSU6051_39370
ko:K00756	bsh:BSU6051_39400
ko:K11535	bsh:BSU6051_39410
ko:K05346	bsh:BSU6051_39430
ko:K04023	bsh:BSU6051_39450
ko:K01442	bsh:BSU6051_39540
ko:K02015	bsh:BSU6051_03810
ko:K02013	bsh:BSU6051_03820
ko:K02016	bsh:BSU6051_03830
ko:K00375	bsh:BSU6051_03890
ko:K05340	bsh:BSU6051_03920
ko:K14166	bsh:BSU6051_03950
ko:K00009	bsh:BSU6051_03990
ko:K07246	bsh:BSU6051_04000
ko:K03100	bsh:BSU6051_04010
ko:K07160	bsh:BSU6051_04050
ko:K06350	bsh:BSU6051_04090
ko:K03817	bsh:BSU6051_04210
ko:K16511	bsh:BSU6051_11520
ko:K08602	bsh:BSU6051_11540
ko:K06886	bsh:BSU6051_11560
ko:K00858	bsh:BSU6051_11610
ko:K06180	bsh:BSU6051_11620
ko:K03707	bsh:BSU6051_11650
ko:K10810	bsh:BSU6051_11660
ko:K03154	bsh:BSU6051_11680
ko:K03149	bsh:BSU6051_11690
ko:K00941	bsh:BSU6051_11710
ko:K00208	bsh:BSU6051_11720
ko:K06342	bsh:BSU6051_11760
ko:K06341	bsh:BSU6051_11770
ko:K03657	bsh:BSU6051_11820
ko:K03790	bsh:BSU6051_11890
ko:K08976	bsh:BSU6051_19140
ko:K10255	bsh:BSU6051_19180
ko:K07778	bsh:BSU6051_19190
ko:K07693	bsh:BSU6051_19200
ko:K03654	bsh:BSU6051_19220
ko:K01118	bsh:BSU6051_19230
ko:K13993	bsh:BSU6051_19260
ko:K04564	bsh:BSU6051_19330
ko:K03308	bsh:BSU6051_19340
ko:K03453	bsh:BSU6051_19350
ko:K00658	bsh:BSU6051_19360
ko:K00164	bsh:BSU6051_19370
ko:K03327	bsh:BSU6051_19440
ko:K05786	bsh:BSU6051_19480
ko:K06999	bsh:BSU6051_19560
ko:K15975	bsh:BSU6051_19570
ko:K03797	bsh:BSU6051_19590
ko:K00459	bsh:BSU6051_26800
ko:K01776	bsh:BSU6051_26810
ko:K03088	bsh:BSU6051_26840
ko:K03300	bsh:BSU6051_26860
ko:K06439	bsh:BSU6051_26990
ko:K13979	bsh:BSU6051_27010
ko:K05520	bsh:BSU6051_27020
ko:K11737	bsh:BSU6051_27090
ko:K03088	bsh:BSU6051_27120
ko:K00123	bsh:BSU6051_27220
ko:K00782	bsh:BSU6051_34030
ko:K07693	bsh:BSU6051_34060
ko:K07778	bsh:BSU6051_34070
ko:K01224	bsh:BSU6051_34120
ko:K12308	bsh:BSU6051_34130
ko:K15772	bsh:BSU6051_34140
ko:K15771	bsh:BSU6051_34150
ko:K02529	bsh:BSU6051_34170
ko:K03303	bsh:BSU6051_34190
ko:K03092	bsh:BSU6051_34200
ko:K13727	bsh:BSU6051_34400
ko:K01779	bsh:BSU6051_34430
ko:K00692	bsh:BSU6051_34450
ko:K03710	bsh:BSU6051_02370
ko:K00826	bsh:BSU6051_02390
ko:K01425	bsh:BSU6051_02430
ko:K07717	bsh:BSU6051_02440
ko:K07719	bsh:BSU6051_02450
ko:K01707	bsh:BSU6051_02460
ko:K01706	bsh:BSU6051_02490
ko:K01449	bsh:BSU6051_02600
ko:K03116	bsh:BSU6051_02630
ko:K03118	bsh:BSU6051_02640
ko:K01304	bsh:BSU6051_02650
ko:K07039	bsh:BSU6051_02720
ko:K00831	bsh:BSU6051_10020
ko:K02503	bsh:BSU6051_10030
ko:K01599	bsh:BSU6051_10120
ko:K01772	bsh:BSU6051_10130
ko:K00231	bsh:BSU6051_10140
ko:K01421	bsh:BSU6051_10160
ko:K00648	bsh:BSU6051_10170
ko:K11102	bsh:BSU6051_10220
ko:K03800	bsh:BSU6051_10250
ko:K02016	bsh:BSU6051_10330
ko:K03523	bsh:BSU6051_10370
ko:K02250	bsh:BSU6051_10420
ko:K03100	bsh:BSU6051_10490
ko:K06311	bsh:BSU6051_17760
ko:K06312	bsh:BSU6051_17770
ko:K11210	bsh:BSU6051_17840
ko:K01356	bsh:BSU6051_17850
ko:K00615	bsh:BSU6051_17890
ko:K03413	bsh:BSU6051_17940
ko:K06335	bsh:BSU6051_17970
ko:K07571	bsh:BSU6051_00630
ko:K06382	bsh:BSU6051_00640
ko:K04075	bsh:BSU6051_00670
ko:K00760	bsh:BSU6051_00680
ko:K03798	bsh:BSU6051_00690
ko:K03525	bsh:BSU6051_00700
ko:K04083	bsh:BSU6051_00710
ko:K01738	bsh:BSU6051_00730
ko:K01665	bsh:BSU6051_00740
ko:K00796	bsh:BSU6051_00770
ko:K01633	bsh:BSU6051_00780
ko:K00950	bsh:BSU6051_00790
ko:K04567	bsh:BSU6051_00820
ko:K03696	bsh:BSU6051_00860
ko:K04485	bsh:BSU6051_00870
ko:K00991	bsh:BSU6051_00900
ko:K01770	bsh:BSU6051_00910
ko:K00640	bsh:BSU6051_00930
ko:K01883	bsh:BSU6051_00940
ko:K11145	bsh:BSU6051_00950
ko:K03218	bsh:BSU6051_00960
ko:K06962	bsh:BSU6051_00970
ko:K01232	bsh:BSU6051_08180
ko:K03481	bsh:BSU6051_08190
ko:K02749	bsh:BSU6051_08200
ko:K02750	bsh:BSU6051_08200
ko:K14205	bsh:BSU6051_08425
ko:K02016	bsh:BSU6051_08440
ko:K02015	bsh:BSU6051_08450
ko:K02015	bsh:BSU6051_08460
ko:K07071	bsh:BSU6051_08510
ko:K03565	bsh:BSU6051_08520
ko:K06433	bsh:BSU6051_17980
ko:K06432	bsh:BSU6051_17990
ko:K01681	bsh:BSU6051_18000
ko:K06431	bsh:BSU6051_18020
ko:K06434	bsh:BSU6051_18030
ko:K07107	bsh:BSU6051_18040
ko:K08591	bsh:BSU6051_18070
ko:K02622	bsh:BSU6051_18090
ko:K02621	bsh:BSU6051_18100
ko:K03310	bsh:BSU6051_18120
ko:K15924	bsh:BSU6051_18150
ko:K15921	bsh:BSU6051_18160
ko:K00963	bsh:BSU6051_18180
ko:K01640	bsh:BSU6051_18230
ko:K02160	bsh:BSU6051_18239
ko:K01961	bsh:BSU6051_18240
ko:K07042	bsh:BSU6051_25320
ko:K07037	bsh:BSU6051_25330
ko:K06438	bsh:BSU6051_25350
ko:K07403	bsh:BSU6051_25390
ko:K09117	bsh:BSU6051_25400
ko:K02970	bsh:BSU6051_25410
ko:K03324	bsh:BSU6051_25420
ko:K09761	bsh:BSU6051_25440
ko:K02687	bsh:BSU6051_25450
ko:K03686	bsh:BSU6051_25460
ko:K04043	bsh:BSU6051_25470
ko:K03687	bsh:BSU6051_25480
ko:K03705	bsh:BSU6051_25490
ko:K03596	bsh:BSU6051_25510
ko:K06385	bsh:BSU6051_25530
ko:K06012	bsh:BSU6051_25540
ko:K02968	bsh:BSU6051_25550
ko:K02340	bsh:BSU6051_25560
ko:K02237	bsh:BSU6051_25590
ko:K02239	bsh:BSU6051_25600
ko:K09710	bsh:BSU6051_25620
ko:K00969	bsh:BSU6051_25640
ko:K07574	bsh:BSU6051_25650
ko:K00014	bsh:BSU6051_25660
ko:K07015	bsh:BSU6051_25680
ko:K06371	bsh:BSU6051_25690
ko:K03091	bsh:BSU6051_25760
ko:K09014	bsh:BSU6051_32670
ko:K11717	bsh:BSU6051_32690
ko:K09015	bsh:BSU6051_32700
ko:K09013	bsh:BSU6051_32710
ko:K02073	bsh:BSU6051_32730
ko:K02072	bsh:BSU6051_32740
ko:K02071	bsh:BSU6051_32750
ko:K07476	bsh:BSU6051_32780
ko:K02437	bsh:BSU6051_32800
ko:K07516	bsh:BSU6051_32840
ko:K00318	bsh:BSU6051_32850
ko:K02013	bsh:BSU6051_32940
ko:K04047	bsh:BSU6051_32990
ko:K07650	bsh:BSU6051_33020
ko:K00865	bsh:BSU6051_40040
ko:K11476	bsh:BSU6051_40050
ko:K03387	bsh:BSU6051_40100
ko:K01223	bsh:BSU6051_40110
ko:K03489	bsh:BSU6051_40130
ko:K04041	bsh:BSU6051_40190
ko:K00783	bsh:BSU6051_40230
ko:K01476	bsh:BSU6051_40320
ko:K02205	bsh:BSU6051_40330
ko:K06714	bsh:BSU6051_40350
ko:K01939	bsh:BSU6051_40420
ko:K06428	bsh:BSU6051_08550
ko:K07038	bsh:BSU6051_08620
ko:K03575	bsh:BSU6051_08630
ko:K10780	bsh:BSU6051_08650
ko:K06422	bsh:BSU6051_08660
ko:K01783	bsh:BSU6051_15790
ko:K02902	bsh:BSU6051_15820
ko:K01752	bsh:BSU6051_15850
ko:K01752	bsh:BSU6051_15860
ko:K03655	bsh:BSU6051_15870
ko:K03621	bsh:BSU6051_15890
ko:K00645	bsh:BSU6051_15900
ko:K02078	bsh:BSU6051_15920
ko:K03685	bsh:BSU6051_15930
ko:K03529	bsh:BSU6051_15940
ko:K03110	bsh:BSU6051_15950
ko:K03106	bsh:BSU6051_15980
ko:K02959	bsh:BSU6051_15990
ko:K06960	bsh:BSU6051_16000
ko:K02860	bsh:BSU6051_16020
ko:K00554	bsh:BSU6051_16030
ko:K02884	bsh:BSU6051_16040
ko:K14540	bsh:BSU6051_16050
ko:K03470	bsh:BSU6051_16060
ko:K04061	bsh:BSU6051_16080
ko:K01903	bsh:BSU6051_16090
ko:K01902	bsh:BSU6051_16100
ko:K04096	bsh:BSU6051_16110
ko:K03168	bsh:BSU6051_16120
ko:K04094	bsh:BSU6051_16130
ko:K03733	bsh:BSU6051_16140
ko:K01419	bsh:BSU6051_16150
ko:K03667	bsh:BSU6051_16160
ko:K03706	bsh:BSU6051_16170
ko:K02387	bsh:BSU6051_16180
ko:K02388	bsh:BSU6051_16190
ko:K02408	bsh:BSU6051_16200
ko:K02409	bsh:BSU6051_16210
ko:K02410	bsh:BSU6051_16220
ko:K02411	bsh:BSU6051_16230
ko:K02412	bsh:BSU6051_16240
ko:K02413	bsh:BSU6051_16250
ko:K06379	bsh:BSU6051_23460
ko:K01839	bsh:BSU6051_23500
ko:K03315	bsh:BSU6051_23560
ko:K01744	bsh:BSU6051_23570
ko:K02346	bsh:BSU6051_23710
ko:K01753	bsh:BSU6051_23770
ko:K07124	bsh:BSU6051_23780
ko:K00286	bsh:BSU6051_23800
ko:K00036	bsh:BSU6051_23850
ko:K02346	bsh:BSU6051_23870
ko:K03217	bsh:BSU6051_23890
ko:K09166	bsh:BSU6051_23900
ko:K05606	bsh:BSU6051_23930
ko:K00975	bsh:BSU6051_30970
ko:K06153	bsh:BSU6051_31150
ko:K03534	bsh:BSU6051_31190
ko:K00848	bsh:BSU6051_31200
ko:K02827	bsh:BSU6051_38160
ko:K02826	bsh:BSU6051_38170
ko:K00965	bsh:BSU6051_38190
ko:K00849	bsh:BSU6051_38200
ko:K14393	bsh:BSU6051_38240
ko:K16301	bsh:BSU6051_38260
ko:K07224	bsh:BSU6051_38270
ko:K07243	bsh:BSU6051_38280
ko:K00788	bsh:BSU6051_38290
ko:K00878	bsh:BSU6051_38300
ko:K05820	bsh:BSU6051_38340
ko:K06969	bsh:BSU6051_38360
ko:K02761	bsh:BSU6051_38390
ko:K01866	bsh:BSU6051_38460
ko:K02548	bsh:BSU6051_38490
ko:K03367	bsh:BSU6051_38500
ko:K03739	bsh:BSU6051_38510
ko:K14188	bsh:BSU6051_38520
ko:K03740	bsh:BSU6051_38530
ko:K14189	bsh:BSU6051_38540
ko:K00826	bsh:BSU6051_38550
ko:K02759	bsh:BSU6051_38570
ko:K02761	bsh:BSU6051_38580
ko:K02760	bsh:BSU6051_38590
ko:K09817	bsh:BSU6051_02860
ko:K09816	bsh:BSU6051_02870
ko:K05795	bsh:BSU6051_02900
ko:K05795	bsh:BSU6051_02910
ko:K08369	bsh:BSU6051_02950
ko:K02000	bsh:BSU6051_02980
ko:K02001	bsh:BSU6051_02990
ko:K02002	bsh:BSU6051_03000
ko:K14665	bsh:BSU6051_03010
