ko:K19416	sbb:Sbal175_2211
ko:K00793	sbb:Sbal175_1203
ko:K14652	sbb:Sbal175_1204
ko:K00794	sbb:Sbal175_1205
ko:K03625	sbb:Sbal175_1206
ko:K00946	sbb:Sbal175_1207
ko:K01095	sbb:Sbal175_1208
ko:K03631	sbb:Sbal175_1209
ko:K07088	sbb:Sbal175_1210
ko:K09891	sbb:Sbal175_1213
ko:K07678	sbb:Sbal175_1214
ko:K03215	sbb:Sbal175_1215
ko:K09808	sbb:Sbal175_1980
ko:K15396	sbb:Sbal175_1982
ko:K00640	sbb:Sbal175_1983
ko:K13643	sbb:Sbal175_1984
ko:K04487	sbb:Sbal175_1985
ko:K04082	sbb:Sbal175_1988
ko:K04044	sbb:Sbal175_1989
ko:K04755	sbb:Sbal175_1990
ko:K00940	sbb:Sbal175_1994
ko:K04080	sbb:Sbal175_1995
ko:K01653	sbb:Sbal175_1996
ko:K01652	sbb:Sbal175_1997
ko:K07552	sbb:Sbal175_1998
ko:K07146	sbb:Sbal175_2005
ko:K00979	sbb:Sbal175_2008
ko:K01673	sbb:Sbal175_2011
ko:K09707	sbb:Sbal175_2026
ko:K03100	sbb:Sbal175_2809
ko:K01993	sbb:Sbal175_2812
ko:K03098	sbb:Sbal175_2824
ko:K00140	sbb:Sbal175_2835
ko:K00651	sbb:Sbal175_2839
ko:K09914	sbb:Sbal175_2840
ko:K07275	sbb:Sbal175_2842
ko:K09962	sbb:Sbal175_2843
ko:K03721	sbb:Sbal175_2847
ko:K00500	sbb:Sbal175_2849
ko:K00963	sbb:Sbal175_2850
ko:K02572	sbb:Sbal175_2852
ko:K00847	sbb:Sbal175_2858
ko:K00067	sbb:Sbal175_2860
ko:K05365	sbb:Sbal175_3663
ko:K03579	sbb:Sbal175_3664
ko:K01975	sbb:Sbal175_3666
ko:K06447	sbb:Sbal175_3673
ko:K00673	sbb:Sbal175_3674
ko:K03600	sbb:Sbal175_3680
ko:K03599	sbb:Sbal175_3681
ko:K00413	sbb:Sbal175_3682
ko:K00412	sbb:Sbal175_3683
ko:K00411	sbb:Sbal175_3684
ko:K04087	sbb:Sbal175_3685
ko:K04088	sbb:Sbal175_3686
ko:K03665	sbb:Sbal175_3687
ko:K03666	sbb:Sbal175_3688
ko:K00791	sbb:Sbal175_3689
ko:K03572	sbb:Sbal175_3690
ko:K01448	sbb:Sbal175_3691
ko:K06925	sbb:Sbal175_3692
ko:K07178	sbb:Sbal175_0762
ko:K06213	sbb:Sbal175_0766
ko:K06958	sbb:Sbal175_0768
ko:K05808	sbb:Sbal175_0770
ko:K03092	sbb:Sbal175_0771
ko:K06861	sbb:Sbal175_0772
ko:K09774	sbb:Sbal175_0773
ko:K11719	sbb:Sbal175_0774
ko:K03270	sbb:Sbal175_0775
ko:K06041	sbb:Sbal175_0776
ko:K02065	sbb:Sbal175_0777
ko:K02066	sbb:Sbal175_0778
ko:K07323	sbb:Sbal175_0780
ko:K07122	sbb:Sbal175_0781
ko:K00790	sbb:Sbal175_0783
ko:K04691	sbb:Sbal175_0784
ko:K06916	sbb:Sbal175_0786
ko:K02871	sbb:Sbal175_0787
ko:K02996	sbb:Sbal175_0788
ko:K09937	sbb:Sbal175_0789
ko:K01939	sbb:Sbal175_0790
ko:K12573	sbb:Sbal175_0792
ko:K02521	sbb:Sbal175_0375
ko:K00053	sbb:Sbal175_0376
ko:K01652	sbb:Sbal175_0377
ko:K11258	sbb:Sbal175_0378
ko:K01687	sbb:Sbal175_0379
ko:K01754	sbb:Sbal175_0380
ko:K03308	sbb:Sbal175_0387
ko:K06143	sbb:Sbal175_0391
ko:K09927	sbb:Sbal175_0393
ko:K03656	sbb:Sbal175_0397
ko:K12543	sbb:Sbal175_0402
ko:K12542	sbb:Sbal175_0403
ko:K12541	sbb:Sbal175_0404
ko:K02498	sbb:Sbal175_0407
ko:K02496	sbb:Sbal175_0408
ko:K01749	sbb:Sbal175_0410
ko:K05851	sbb:Sbal175_0411
ko:K06202	sbb:Sbal175_0412
ko:K01586	sbb:Sbal175_0414
ko:K01778	sbb:Sbal175_0415
ko:K09921	sbb:Sbal175_0416
ko:K03733	sbb:Sbal175_0417
ko:K03192	sbb:Sbal175_0419
ko:K07322	sbb:Sbal175_0421
ko:K02400	sbb:Sbal175_0422
ko:K02401	sbb:Sbal175_0423
ko:K00549	sbb:Sbal175_1220
ko:K10536	sbb:Sbal175_1222
ko:K01937	sbb:Sbal175_1224
ko:K01689	sbb:Sbal175_1225
ko:K05589	sbb:Sbal175_1226
ko:K00991	sbb:Sbal175_1227
ko:K01770	sbb:Sbal175_1228
ko:K06176	sbb:Sbal175_1229
ko:K03787	sbb:Sbal175_1230
ko:K00573	sbb:Sbal175_1231
ko:K06194	sbb:Sbal175_1232
ko:K03555	sbb:Sbal175_1234
ko:K03565	sbb:Sbal175_1236
ko:K01872	sbb:Sbal175_1237
ko:K00928	sbb:Sbal175_1238
ko:K03563	sbb:Sbal175_1239
ko:K01873	sbb:Sbal175_1240
ko:K02339	sbb:Sbal175_1241
ko:K01255	sbb:Sbal175_1243
ko:K07091	sbb:Sbal175_1244
ko:K11720	sbb:Sbal175_1245
ko:K09922	sbb:Sbal175_1248
ko:K01299	sbb:Sbal175_1250
ko:K03758	sbb:Sbal175_1263
ko:K11906	sbb:Sbal175_2043
ko:K11893	sbb:Sbal175_2044
ko:K11892	sbb:Sbal175_2045
ko:K11891	sbb:Sbal175_2046
ko:K11890	sbb:Sbal175_2047
ko:K11902	sbb:Sbal175_2049
ko:K11901	sbb:Sbal175_2050
ko:K11900	sbb:Sbal175_2051
ko:K11898	sbb:Sbal175_2053
ko:K11897	sbb:Sbal175_2054
ko:K11896	sbb:Sbal175_2055
ko:K11895	sbb:Sbal175_2056
ko:K11907	sbb:Sbal175_2057
ko:K11903	sbb:Sbal175_2058
ko:K06969	sbb:Sbal175_2076
ko:K06967	sbb:Sbal175_2080
ko:K11068	sbb:Sbal175_2083
ko:K03147	sbb:Sbal175_2085
ko:K14153	sbb:Sbal175_2086
ko:K03704	sbb:Sbal175_2864
ko:K04075	sbb:Sbal175_2867
ko:K02337	sbb:Sbal175_2868
ko:K03470	sbb:Sbal175_2869
ko:K00748	sbb:Sbal175_2870
ko:K00677	sbb:Sbal175_2871
ko:K02372	sbb:Sbal175_2872
ko:K02536	sbb:Sbal175_2873
ko:K06142	sbb:Sbal175_2874
ko:K07277	sbb:Sbal175_2875
ko:K11749	sbb:Sbal175_2876
ko:K00099	sbb:Sbal175_2877
ko:K00981	sbb:Sbal175_2878
ko:K00806	sbb:Sbal175_2879
ko:K02838	sbb:Sbal175_2880
ko:K09903	sbb:Sbal175_2881
ko:K02357	sbb:Sbal175_2882
ko:K02967	sbb:Sbal175_2883
ko:K01265	sbb:Sbal175_2884
ko:K00990	sbb:Sbal175_2885
ko:K01433	sbb:Sbal175_2888
ko:K06175	sbb:Sbal175_2892
ko:K15723	sbb:Sbal175_2904
ko:K06879	sbb:Sbal175_2905
ko:K06133	sbb:Sbal175_2909
ko:K13288	sbb:Sbal175_3695
ko:K06949	sbb:Sbal175_3696
ko:K01613	sbb:Sbal175_3697
ko:K01126	sbb:Sbal175_3700
ko:K02192	sbb:Sbal175_3704
ko:K07175	sbb:Sbal175_3710
ko:K03580	sbb:Sbal175_3711
ko:K09893	sbb:Sbal175_3716
ko:K00655	sbb:Sbal175_3717
ko:K01938	sbb:Sbal175_3726
ko:K06219	sbb:Sbal175_3729
ko:K09973	sbb:Sbal175_3730
ko:K03413	sbb:Sbal175_3738
ko:K03530	sbb:Sbal175_3739
ko:K03218	sbb:Sbal175_0793
ko:K02990	sbb:Sbal175_0796
ko:K02686	sbb:Sbal175_0797
ko:K02963	sbb:Sbal175_0798
ko:K02939	sbb:Sbal175_0799
ko:K01775	sbb:Sbal175_0802
ko:K03072	sbb:Sbal175_1566
ko:K03074	sbb:Sbal175_1567
ko:K02304	sbb:Sbal175_1570
ko:K14645	sbb:Sbal175_1572
ko:K06076	sbb:Sbal175_1581
ko:K03088	sbb:Sbal175_1584
ko:K03924	sbb:Sbal175_1590
ko:K08296	sbb:Sbal175_1598
ko:K07320	sbb:Sbal175_1600
ko:K01736	sbb:Sbal175_1601
ko:K05820	sbb:Sbal175_1602
ko:K15461	sbb:Sbal175_1606
ko:K03473	sbb:Sbal175_1608
ko:K00133	sbb:Sbal175_1609
ko:K06173	sbb:Sbal175_1611
ko:K11754	sbb:Sbal175_1612
ko:K03749	sbb:Sbal175_1613
ko:K03558	sbb:Sbal175_1614
ko:K00764	sbb:Sbal175_1615
ko:K03222	sbb:Sbal175_2403
ko:K03221	sbb:Sbal175_2406
ko:K03220	sbb:Sbal175_2419
ko:K03219	sbb:Sbal175_2420
ko:K07124	sbb:Sbal175_2425
ko:K04072	sbb:Sbal175_2431
ko:K01676	sbb:Sbal175_2435
ko:K01665	sbb:Sbal175_2436
ko:K01893	sbb:Sbal175_2439
ko:K02568	sbb:Sbal175_2442
ko:K02567	sbb:Sbal175_2443
ko:K02570	sbb:Sbal175_2444
ko:K03321	sbb:Sbal175_3229
ko:K01588	sbb:Sbal175_3230
ko:K01589	sbb:Sbal175_3231
ko:K01919	sbb:Sbal175_3235
ko:K01573	sbb:Sbal175_3242
ko:K03695	sbb:Sbal175_3245
ko:K05810	sbb:Sbal175_3246
ko:K06180	sbb:Sbal175_3247
ko:K05807	sbb:Sbal175_3248
ko:K05916	sbb:Sbal175_3250
ko:K06938	sbb:Sbal175_3264
ko:K12339	sbb:Sbal175_3266
ko:K02048	sbb:Sbal175_3267
ko:K02046	sbb:Sbal175_3268
ko:K02047	sbb:Sbal175_3269
ko:K02045	sbb:Sbal175_3270
ko:K04014	sbb:Sbal175_4064
ko:K04013	sbb:Sbal175_4065
ko:K02551	sbb:Sbal175_4068
ko:K01911	sbb:Sbal175_4071
ko:K03089	sbb:Sbal175_4072
ko:K09811	sbb:Sbal175_4073
ko:K09812	sbb:Sbal175_4074
ko:K03110	sbb:Sbal175_4075
ko:K08993	sbb:Sbal175_4077
ko:K07798	sbb:Sbal175_4083
ko:K07787	sbb:Sbal175_4084
ko:K06996	sbb:Sbal175_4087
ko:K03835	sbb:Sbal175_4088
ko:K00631	sbb:Sbal175_4089
ko:K01356	sbb:Sbal175_4090
ko:K02275	sbb:Sbal175_4092
ko:K02276	sbb:Sbal175_4095
ko:K02259	sbb:Sbal175_4099
ko:K07152	sbb:Sbal175_4101
ko:K03327	sbb:Sbal175_4103
ko:K07400	sbb:Sbal175_4105
ko:K02170	sbb:Sbal175_4107
ko:K06959	sbb:Sbal175_4110
ko:K04760	sbb:Sbal175_4111
ko:K03230	sbb:Sbal175_4125
ko:K03224	sbb:Sbal175_4145
ko:K03219	sbb:Sbal175_4146
ko:K07659	sbb:Sbal175_4160
ko:K07638	sbb:Sbal175_4161
ko:K07637	sbb:Sbal175_4167
ko:K02297	sbb:Sbal175_4172
ko:K02298	sbb:Sbal175_4173
ko:K02299	sbb:Sbal175_4174
ko:K02300	sbb:Sbal175_4175
ko:K03088	sbb:Sbal175_4186
ko:K03561	sbb:Sbal175_4192
ko:K03832	sbb:Sbal175_4195
ko:K15984	sbb:Sbal175_4196
ko:K07115	sbb:Sbal175_4198
ko:K03744	sbb:Sbal175_4201
ko:K03585	sbb:Sbal175_4206
ko:K01414	sbb:Sbal175_4211
ko:K00931	sbb:Sbal175_4220
ko:K00147	sbb:Sbal175_4221
ko:K01638	sbb:Sbal175_4223
ko:K09125	sbb:Sbal175_4241
ko:K05772	sbb:Sbal175_4245
ko:K05773	sbb:Sbal175_4246
ko:K03752	sbb:Sbal175_4248
ko:K03750	sbb:Sbal175_4249
ko:K03639	sbb:Sbal175_4250
ko:K00012	sbb:Sbal175_4256
ko:K08679	sbb:Sbal175_4257
ko:K00954	sbb:Sbal175_4259
ko:K11211	sbb:Sbal175_4266
ko:K02527	sbb:Sbal175_4267
ko:K00060	sbb:Sbal175_4270
ko:K02439	sbb:Sbal175_4271
ko:K03978	sbb:Sbal175_4275
ko:K09894	sbb:Sbal175_4278
ko:K01661	sbb:Sbal175_4287
ko:K00820	sbb:Sbal175_4289
ko:K04042	sbb:Sbal175_4292
ko:K02114	sbb:Sbal175_4293
ko:K02112	sbb:Sbal175_4294
ko:K02115	sbb:Sbal175_4295
ko:K02111	sbb:Sbal175_4296
ko:K02113	sbb:Sbal175_4297
ko:K02109	sbb:Sbal175_4298
ko:K02110	sbb:Sbal175_4299
ko:K02108	sbb:Sbal175_4300
ko:K03501	sbb:Sbal175_4304
ko:K03495	sbb:Sbal175_4305
ko:K06205	sbb:Sbal175_4307
ko:K03650	sbb:Sbal175_4308
ko:K03217	sbb:Sbal175_4309
ko:K08998	sbb:Sbal175_4310
ko:K03536	sbb:Sbal175_4311
ko:K02914	sbb:Sbal175_4312
ko:K02421	sbb:Sbal175_0424
ko:K02420	sbb:Sbal175_0425
ko:K02419	sbb:Sbal175_0426
ko:K02417	sbb:Sbal175_0427
ko:K02408	sbb:Sbal175_0430
ko:K02409	sbb:Sbal175_0431
ko:K02410	sbb:Sbal175_0432
ko:K02411	sbb:Sbal175_0433
ko:K02412	sbb:Sbal175_0434
ko:K02399	sbb:Sbal175_0436
ko:K02386	sbb:Sbal175_0438
ko:K02387	sbb:Sbal175_0439
ko:K02388	sbb:Sbal175_0440
ko:K02389	sbb:Sbal175_0441
ko:K02390	sbb:Sbal175_0442
ko:K02391	sbb:Sbal175_0443
ko:K02392	sbb:Sbal175_0444
ko:K02393	sbb:Sbal175_0445
ko:K05539	sbb:Sbal175_0807
ko:K12340	sbb:Sbal175_0814
ko:K09920	sbb:Sbal175_0816
ko:K03651	sbb:Sbal175_0817
ko:K07000	sbb:Sbal175_0818
ko:K02622	sbb:Sbal175_0819
ko:K02621	sbb:Sbal175_0821
ko:K02018	sbb:Sbal175_0831
ko:K02020	sbb:Sbal175_0832
ko:K02019	sbb:Sbal175_0833
ko:K13888	sbb:Sbal175_0834
ko:K05685	sbb:Sbal175_0835
ko:K01920	sbb:Sbal175_0842
ko:K09761	sbb:Sbal175_0843
ko:K01150	sbb:Sbal175_0844
ko:K02742	sbb:Sbal175_0845
ko:K02355	sbb:Sbal175_0851
ko:K02568	sbb:Sbal175_0854
ko:K07402	sbb:Sbal175_1621
ko:K07302	sbb:Sbal175_1623
ko:K07303	sbb:Sbal175_1624
ko:K01142	sbb:Sbal175_1633
ko:K09780	sbb:Sbal175_1634
ko:K06190	sbb:Sbal175_1635
ko:K13255	sbb:Sbal175_1636
ko:K03897	sbb:Sbal175_1640
ko:K01695	sbb:Sbal175_1642
ko:K01696	sbb:Sbal175_1643
ko:K13498	sbb:Sbal175_1644
ko:K00766	sbb:Sbal175_1645
ko:K01657	sbb:Sbal175_1647
ko:K07053	sbb:Sbal175_1648
ko:K05896	sbb:Sbal175_1650
ko:K06024	sbb:Sbal175_1651
ko:K06178	sbb:Sbal175_1652
ko:K14205	sbb:Sbal175_1657
ko:K10804	sbb:Sbal175_1660
ko:K02003	sbb:Sbal175_1661
ko:K03100	sbb:Sbal175_1663
ko:K03312	sbb:Sbal175_1664
ko:K07071	sbb:Sbal175_1665
ko:K07589	sbb:Sbal175_1666
ko:K06969	sbb:Sbal175_1668
ko:K03578	sbb:Sbal175_2446
ko:K13051	sbb:Sbal175_2449
ko:K07278	sbb:Sbal175_2450
ko:K09800	sbb:Sbal175_2451
ko:K02897	sbb:Sbal175_2452
ko:K03669	sbb:Sbal175_2457
ko:K03670	sbb:Sbal175_2458
ko:K03734	sbb:Sbal175_2461
ko:K03620	sbb:Sbal175_2467
ko:K04656	sbb:Sbal175_2470
ko:K04653	sbb:Sbal175_2472
ko:K04654	sbb:Sbal175_2473
ko:K04651	sbb:Sbal175_2475
ko:K02560	sbb:Sbal175_2478
ko:K04764	sbb:Sbal175_2479
ko:K01890	sbb:Sbal175_2480
ko:K01889	sbb:Sbal175_2481
ko:K09160	sbb:Sbal175_2483
ko:K09902	sbb:Sbal175_2485
ko:K03610	sbb:Sbal175_2486
ko:K03609	sbb:Sbal175_2487
ko:K03608	sbb:Sbal175_2488
ko:K03684	sbb:Sbal175_2489
ko:K01698	sbb:Sbal175_2496
ko:K08289	sbb:Sbal175_3276
ko:K05801	sbb:Sbal175_3282
ko:K07102	sbb:Sbal175_3284
ko:K04744	sbb:Sbal175_3285
ko:K03771	sbb:Sbal175_3286
ko:K00097	sbb:Sbal175_3287
ko:K02528	sbb:Sbal175_3288
ko:K06195	sbb:Sbal175_3289
ko:K03979	sbb:Sbal175_3296
ko:K02899	sbb:Sbal175_3297
ko:K02888	sbb:Sbal175_3298
ko:K02523	sbb:Sbal175_3299
ko:K03648	sbb:Sbal175_3300
ko:K07226	sbb:Sbal175_3311
ko:K03832	sbb:Sbal175_3314
ko:K03561	sbb:Sbal175_3315
ko:K02016	sbb:Sbal175_3317
ko:K02015	sbb:Sbal175_3318
ko:K02013	sbb:Sbal175_3319
ko:K01255	sbb:Sbal175_3324
ko:K02394	sbb:Sbal175_0446
ko:K02395	sbb:Sbal175_0447
ko:K02396	sbb:Sbal175_0448
ko:K02397	sbb:Sbal175_0449
ko:K02406	sbb:Sbal175_0451
ko:K02406	sbb:Sbal175_0452
ko:K02406	sbb:Sbal175_0453
ko:K02406	sbb:Sbal175_0454
ko:K02407	sbb:Sbal175_0455
ko:K02422	sbb:Sbal175_0456
ko:K02415	sbb:Sbal175_0459
ko:K02405	sbb:Sbal175_0460
ko:K02556	sbb:Sbal175_0461
ko:K02557	sbb:Sbal175_0462
ko:K03658	sbb:Sbal175_0465
ko:K03557	sbb:Sbal175_0466
ko:K02687	sbb:Sbal175_0468
ko:K00246	sbb:Sbal175_0469
ko:K00246	sbb:Sbal175_0470
ko:K03628	sbb:Sbal175_0476
ko:K02106	sbb:Sbal175_1271
ko:K07148	sbb:Sbal175_1275
ko:K01669	sbb:Sbal175_1292
ko:K09701	sbb:Sbal175_1296
ko:K00574	sbb:Sbal175_1297
ko:K03575	sbb:Sbal175_1307
ko:K03439	sbb:Sbal175_1308
ko:K09923	sbb:Sbal175_1309
ko:K01425	sbb:Sbal175_1310
ko:K03154	sbb:Sbal175_2088
ko:K03149	sbb:Sbal175_2089
ko:K03150	sbb:Sbal175_2090
ko:K15257	sbb:Sbal175_2098
ko:K15256	sbb:Sbal175_2099
ko:K01876	sbb:Sbal175_2101
ko:K01159	sbb:Sbal175_2103
ko:K03550	sbb:Sbal175_2104
ko:K03551	sbb:Sbal175_2105
ko:K09916	sbb:Sbal175_2110
ko:K04773	sbb:Sbal175_2112
ko:K11107	sbb:Sbal175_2114
ko:K02469	sbb:Sbal175_2119
ko:K00831	sbb:Sbal175_2120
ko:K04069	sbb:Sbal175_2123
ko:K00800	sbb:Sbal175_2126
ko:K00945	sbb:Sbal175_2127
ko:K02945	sbb:Sbal175_2128
ko:K05788	sbb:Sbal175_2129
ko:K01591	sbb:Sbal175_2132
ko:K09912	sbb:Sbal175_2134
ko:K07259	sbb:Sbal175_2136
ko:K00998	sbb:Sbal175_2139
ko:K06987	sbb:Sbal175_2937
ko:K03449	sbb:Sbal175_2939
ko:K06193	sbb:Sbal175_2940
ko:K03500	sbb:Sbal175_2946
ko:K06213	sbb:Sbal175_2953
ko:K00432	sbb:Sbal175_2954
ko:K02040	sbb:Sbal175_2956
ko:K07636	sbb:Sbal175_2957
ko:K03554	sbb:Sbal175_2960
ko:K06966	sbb:Sbal175_2964
ko:K01146	sbb:Sbal175_2965
ko:K03310	sbb:Sbal175_3748
ko:K00134	sbb:Sbal175_3752
ko:K07089	sbb:Sbal175_3754
ko:K03446	sbb:Sbal175_3763
ko:K03543	sbb:Sbal175_3764
ko:K03282	sbb:Sbal175_3766
ko:K15034	sbb:Sbal175_3774
ko:K03786	sbb:Sbal175_3775
ko:K02160	sbb:Sbal175_3776
ko:K03182	sbb:Sbal175_3780
ko:K05368	sbb:Sbal175_3781
ko:K00459	sbb:Sbal175_3796
ko:K03671	sbb:Sbal175_0477
ko:K03732	sbb:Sbal175_0478
ko:K01524	sbb:Sbal175_0479
ko:K09862	sbb:Sbal175_0482
ko:K00859	sbb:Sbal175_0484
ko:K02654	sbb:Sbal175_0485
ko:K02652	sbb:Sbal175_0487
ko:K00767	sbb:Sbal175_0489
ko:K03806	sbb:Sbal175_0490
ko:K03807	sbb:Sbal175_0491
ko:K00163	sbb:Sbal175_0493
ko:K00627	sbb:Sbal175_0494
ko:K00382	sbb:Sbal175_0495
ko:K07001	sbb:Sbal175_0497
ko:K01682	sbb:Sbal175_0504
ko:K01698	sbb:Sbal175_0505
ko:K03424	sbb:Sbal175_0507
ko:K03118	sbb:Sbal175_0509
ko:K03117	sbb:Sbal175_0510
ko:K03116	sbb:Sbal175_0511
ko:K03688	sbb:Sbal175_0512
ko:K03690	sbb:Sbal175_0513
ko:K03183	sbb:Sbal175_0514
ko:K02553	sbb:Sbal175_0516
ko:K09131	sbb:Sbal175_1317
ko:K02221	sbb:Sbal175_1318
ko:K00286	sbb:Sbal175_1319
ko:K06997	sbb:Sbal175_1320
ko:K02669	sbb:Sbal175_1321
ko:K02670	sbb:Sbal175_1322
ko:K00432	sbb:Sbal175_1323
ko:K01772	sbb:Sbal175_1324
ko:K07447	sbb:Sbal175_1325
ko:K07735	sbb:Sbal175_1326
ko:K03113	sbb:Sbal175_1327
ko:K11065	sbb:Sbal175_1331
ko:K01620	sbb:Sbal175_1334
ko:K09933	sbb:Sbal175_1337
ko:K09954	sbb:Sbal175_1343
ko:K06911	sbb:Sbal175_1347
ko:K15977	sbb:Sbal175_1348
ko:K06941	sbb:Sbal175_1352
ko:K02656	sbb:Sbal175_1353
ko:K15539	sbb:Sbal175_1354
ko:K01892	sbb:Sbal175_1356
ko:K03977	sbb:Sbal175_1359
ko:K03601	sbb:Sbal175_1360
ko:K01951	sbb:Sbal175_1362
ko:K11991	sbb:Sbal175_1363
ko:K01952	sbb:Sbal175_1365
ko:K00425	sbb:Sbal175_1368
ko:K07093	sbb:Sbal175_2143
ko:K03654	sbb:Sbal175_2147
ko:K08276	sbb:Sbal175_2149
ko:K03760	sbb:Sbal175_2153
ko:K03413	sbb:Sbal175_2159
ko:K03407	sbb:Sbal175_2160
ko:K03408	sbb:Sbal175_2161
ko:K03411	sbb:Sbal175_2164
ko:K03412	sbb:Sbal175_2165
ko:K03327	sbb:Sbal175_2190
ko:K00793	sbb:Sbal175_2191
ko:K06968	sbb:Sbal175_2970
ko:K07020	sbb:Sbal175_2972
ko:K03151	sbb:Sbal175_2975
ko:K02557	sbb:Sbal175_2976
ko:K02556	sbb:Sbal175_2977
ko:K03602	sbb:Sbal175_2978
ko:K00795	sbb:Sbal175_2979
ko:K01662	sbb:Sbal175_2980
ko:K03687	sbb:Sbal175_2981
ko:K00858	sbb:Sbal175_2982
ko:K03303	sbb:Sbal175_2983
ko:K00782	sbb:Sbal175_2987
ko:K00703	sbb:Sbal175_3001
ko:K00975	sbb:Sbal175_3002
ko:K00688	sbb:Sbal175_3004
ko:K00705	sbb:Sbal175_3007
ko:K02167	sbb:Sbal175_3014
ko:K13954	sbb:Sbal175_3015
ko:K01637	sbb:Sbal175_3019
ko:K03179	sbb:Sbal175_3799
ko:K03657	sbb:Sbal175_3800
ko:K06915	sbb:Sbal175_3807
ko:K07080	sbb:Sbal175_3809
ko:K03672	sbb:Sbal175_3814
ko:K14445	sbb:Sbal175_3815
ko:K07089	sbb:Sbal175_3819
ko:K00602	sbb:Sbal175_3821
ko:K01945	sbb:Sbal175_3822
ko:K01599	sbb:Sbal175_3828
ko:K07740	sbb:Sbal175_3829
ko:K03070	sbb:Sbal175_3830
ko:K02535	sbb:Sbal175_3833
ko:K03531	sbb:Sbal175_3834
ko:K03590	sbb:Sbal175_3835
ko:K03589	sbb:Sbal175_3836
ko:K01924	sbb:Sbal175_3837
ko:K02563	sbb:Sbal175_3838
ko:K03588	sbb:Sbal175_3839
ko:K01925	sbb:Sbal175_3840
ko:K01000	sbb:Sbal175_3841
ko:K01929	sbb:Sbal175_3842
ko:K02313	sbb:Sbal175_0001
ko:K02338	sbb:Sbal175_0002
ko:K03629	sbb:Sbal175_0003
ko:K02470	sbb:Sbal175_0004
ko:K01879	sbb:Sbal175_0012
ko:K01878	sbb:Sbal175_0013
ko:K01246	sbb:Sbal175_0014
ko:K01825	sbb:Sbal175_0020
ko:K03500	sbb:Sbal175_0029
ko:K00604	sbb:Sbal175_0030
ko:K01462	sbb:Sbal175_0031
ko:K04096	sbb:Sbal175_0033
ko:K07479	sbb:Sbal175_0035
ko:K07566	sbb:Sbal175_0036
ko:K00228	sbb:Sbal175_0037
ko:K06886	sbb:Sbal175_0038
ko:K00014	sbb:Sbal175_0039
ko:K06940	sbb:Sbal175_0042
ko:K13771	sbb:Sbal175_0043
ko:K09798	sbb:Sbal175_0044
ko:K03797	sbb:Sbal175_0045
ko:K15633	sbb:Sbal175_0047
ko:K03071	sbb:Sbal175_0049
ko:K00057	sbb:Sbal175_0050
ko:K07007	sbb:Sbal175_0051
ko:K02567	sbb:Sbal175_0855
ko:K02570	sbb:Sbal175_0856
ko:K02003	sbb:Sbal175_0859
ko:K03310	sbb:Sbal175_0860
ko:K06980	sbb:Sbal175_0863
ko:K08984	sbb:Sbal175_0865
ko:K04335	sbb:Sbal175_0868
ko:K01918	sbb:Sbal175_0870
ko:K00606	sbb:Sbal175_0871
ko:K00950	sbb:Sbal175_0872
ko:K01894	sbb:Sbal175_0874
ko:K06204	sbb:Sbal175_0875
ko:K06206	sbb:Sbal175_0876
ko:K07751	sbb:Sbal175_0877
ko:K00855	sbb:Sbal175_0879
ko:K06158	sbb:Sbal175_0889
ko:K07070	sbb:Sbal175_0890
ko:K10778	sbb:Sbal175_0895
ko:K06911	sbb:Sbal175_0896
ko:K05591	sbb:Sbal175_0897
ko:K11927	sbb:Sbal175_0899
ko:K05873	sbb:Sbal175_0904
ko:K13788	sbb:Sbal175_1672
ko:K00925	sbb:Sbal175_1673
ko:K09899	sbb:Sbal175_1674
ko:K04069	sbb:Sbal175_1675
ko:K00656	sbb:Sbal175_1676
ko:K01738	sbb:Sbal175_1681
ko:K06203	sbb:Sbal175_1684
ko:K03529	sbb:Sbal175_1685
ko:K03528	sbb:Sbal175_1686
ko:K01972	sbb:Sbal175_1687
ko:K03673	sbb:Sbal175_1691
ko:K14393	sbb:Sbal175_1693
ko:K00648	sbb:Sbal175_1697
ko:K03273	sbb:Sbal175_1699
ko:K01284	sbb:Sbal175_1702
ko:K03827	sbb:Sbal175_1704
ko:K01284	sbb:Sbal175_1707
ko:K09919	sbb:Sbal175_1711
ko:K00457	sbb:Sbal175_1714
ko:K00451	sbb:Sbal175_1715
ko:K12267	sbb:Sbal175_2497
ko:K14540	sbb:Sbal175_2499
ko:K00901	sbb:Sbal175_2502
ko:K09897	sbb:Sbal175_2504
ko:K05805	sbb:Sbal175_2515
ko:K04046	sbb:Sbal175_2516
ko:K00937	sbb:Sbal175_2517
ko:K01524	sbb:Sbal175_2518
ko:K03811	sbb:Sbal175_2541
ko:K02346	sbb:Sbal175_3330
ko:K03594	sbb:Sbal175_3332
ko:K03594	sbb:Sbal175_3333
ko:K05952	sbb:Sbal175_3334
ko:K03734	sbb:Sbal175_3335
ko:K00351	sbb:Sbal175_3336
ko:K00350	sbb:Sbal175_3337
ko:K00349	sbb:Sbal175_3338
ko:K00348	sbb:Sbal175_3339
ko:K00347	sbb:Sbal175_3340
ko:K00346	sbb:Sbal175_3341
ko:K07173	sbb:Sbal175_3343
ko:K05527	sbb:Sbal175_3345
ko:K01740	sbb:Sbal175_3350
ko:K00425	sbb:Sbal175_3352
ko:K00426	sbb:Sbal175_3353
ko:K03734	sbb:Sbal175_3361
ko:K03834	sbb:Sbal175_3370
