ko:K02495	senr:STMDT2_38651
ko:K05939	senr:STMDT2_29091
ko:K02529	senr:STMDT2_29101
ko:K01586	senr:STMDT2_29121
ko:K02100	senr:STMDT2_29151
ko:K00065	senr:STMDT2_29161
ko:K01815	senr:STMDT2_29171
ko:K00626	senr:STMDT2_29181
ko:K12943	senr:STMDT2_29341
ko:K01823	senr:STMDT2_29351
ko:K04567	senr:STMDT2_29361
ko:K02836	senr:STMDT2_29371
ko:K07462	senr:STMDT2_29381
ko:K02840	senr:STMDT2_36051
ko:K03278	senr:STMDT2_36041
ko:K02848	senr:STMDT2_36071
ko:K02844	senr:STMDT2_36081
ko:K02849	senr:STMDT2_36091
ko:K02527	senr:STMDT2_36101
ko:K00954	senr:STMDT2_36111
ko:K10563	senr:STMDT2_36121
ko:K02913	senr:STMDT2_36131
ko:K02902	senr:STMDT2_36141
ko:K08484	senr:STMDT2_29021
ko:K03630	senr:STMDT2_36151
ko:K13038	senr:STMDT2_36161
ko:K05501	senr:STMDT2_36181
ko:K00762	senr:STMDT2_36191
ko:K00989	senr:STMDT2_36201
ko:K01972	senr:STMDT2_36251
ko:K00942	senr:STMDT2_36261
ko:K03060	senr:STMDT2_36271
ko:K03150	senr:STMDT2_40121
ko:K03149	senr:STMDT2_40131
ko:K03154	senr:STMDT2_40141
ko:K03148	senr:STMDT2_40151
ko:K00788	senr:STMDT2_40161
ko:K03147	senr:STMDT2_40171
ko:K07740	senr:STMDT2_40181
ko:K03426	senr:STMDT2_40191
ko:K01599	senr:STMDT2_40201
ko:K05982	senr:STMDT2_40211
ko:K09891	senr:STMDT2_40221
ko:K05787	senr:STMDT2_40231
ko:K07803	senr:STMDT2_40251
ko:K07709	senr:STMDT2_40261
ko:K01945	senr:STMDT2_40281
ko:K00602	senr:STMDT2_40291
ko:K03827	senr:STMDT2_40301
ko:K00651	senr:STMDT2_40311
ko:K01638	senr:STMDT2_40321
ko:K01637	senr:STMDT2_40331
ko:K00906	senr:STMDT2_40341
ko:K13641	senr:STMDT2_40361
ko:K07773	senr:STMDT2_44421
ko:K02533	senr:STMDT2_44441
ko:K01466	senr:STMDT2_05181
ko:K00865	senr:STMDT2_05201
ko:K14977	senr:STMDT2_05211
ko:K02083	senr:STMDT2_05221
ko:K00073	senr:STMDT2_05231
ko:K02381	senr:STMDT2_05241
ko:K00926	senr:STMDT2_05271
ko:K01589	senr:STMDT2_05281
ko:K01588	senr:STMDT2_05291
ko:K03269	senr:STMDT2_05301
ko:K03768	senr:STMDT2_05311
ko:K01883	senr:STMDT2_05321
ko:K07038	senr:STMDT2_05351
ko:K14761	senr:STMDT2_05361
ko:K01491	senr:STMDT2_05371
ko:K07345	senr:STMDT2_05381
ko:K07351	senr:STMDT2_05391
ko:K07346	senr:STMDT2_05401
ko:K07347	senr:STMDT2_05411
ko:K07350	senr:STMDT2_05421
ko:K07348	senr:STMDT2_05431
ko:K07688	senr:STMDT2_05441
ko:K08088	senr:STMDT2_05451
ko:K07644	senr:STMDT2_05521
ko:K11732	senr:STMDT2_05591
ko:K16053	senr:STMDT2_05601
ko:K12686	senr:STMDT2_05611
ko:K15344	senr:STMDT2_13301
ko:K15368	senr:STMDT2_13311
ko:K15345	senr:STMDT2_13321
ko:K15346	senr:STMDT2_13331
ko:K15350	senr:STMDT2_13361
ko:K03221	senr:STMDT2_13381
ko:K03222	senr:STMDT2_13411
ko:K03230	senr:STMDT2_13461
ko:K03224	senr:STMDT2_13471
ko:K03225	senr:STMDT2_13501
ko:K03226	senr:STMDT2_13511
ko:K03227	senr:STMDT2_13521
ko:K03228	senr:STMDT2_13531
ko:K03229	senr:STMDT2_13541
ko:K03327	senr:STMDT2_13551
ko:K00793	senr:STMDT2_13561
ko:K00574	senr:STMDT2_13571
ko:K03604	senr:STMDT2_13601
ko:K04564	senr:STMDT2_13611
ko:K07390	senr:STMDT2_13631
ko:K03683	senr:STMDT2_13641
ko:K01759	senr:STMDT2_13651
ko:K10680	senr:STMDT2_13661
ko:K16137	senr:STMDT2_13671
ko:K06938	senr:STMDT2_13681
ko:K06075	senr:STMDT2_13741
ko:K06077	senr:STMDT2_13751
ko:K09001	senr:STMDT2_13761
ko:K02795	senr:STMDT2_05661
ko:K02793	senr:STMDT2_05681
ko:K10679	senr:STMDT2_05691
ko:K06048	senr:STMDT2_05741
ko:K02362	senr:STMDT2_05751
ko:K07214	senr:STMDT2_05771
ko:K02364	senr:STMDT2_05791
ko:K02013	senr:STMDT2_05811
ko:K02015	senr:STMDT2_05821
ko:K02015	senr:STMDT2_05831
ko:K08225	senr:STMDT2_05841
ko:K02016	senr:STMDT2_05851
ko:K02361	senr:STMDT2_05861
ko:K02363	senr:STMDT2_05871
ko:K01252	senr:STMDT2_05881
ko:K00216	senr:STMDT2_05891
ko:K06200	senr:STMDT2_05911
ko:K08317	senr:STMDT2_05931
ko:K14287	senr:STMDT2_05941
ko:K03805	senr:STMDT2_05981
ko:K03386	senr:STMDT2_05991
ko:K03387	senr:STMDT2_06001
ko:K11932	senr:STMDT2_06051
ko:K06140	senr:STMDT2_06071
ko:K06445	senr:STMDT2_03071
ko:K03271	senr:STMDT2_03081
ko:K02346	senr:STMDT2_03111
ko:K02839	senr:STMDT2_03131
ko:K01270	senr:STMDT2_03141
ko:K00769	senr:STMDT2_03151
ko:K11750	senr:STMDT2_03161
ko:K11926	senr:STMDT2_03171
ko:K11929	senr:STMDT2_03181
ko:K00931	senr:STMDT2_03191
ko:K00147	senr:STMDT2_03201
ko:K01703	senr:STMDT2_03251
ko:K00425	senr:STMDT2_03561
ko:K00426	senr:STMDT2_03571
ko:K02014	senr:STMDT2_03601
ko:K03329	senr:STMDT2_03611
ko:K02688	senr:STMDT2_03631
ko:K03417	senr:STMDT2_03641
ko:K01720	senr:STMDT2_03661
ko:K01908	senr:STMDT2_03671
ko:K01698	senr:STMDT2_03681
ko:K01921	senr:STMDT2_03761
ko:K08161	senr:STMDT2_03781
ko:K00286	senr:STMDT2_03821
ko:K09768	senr:STMDT2_03831
ko:K00891	senr:STMDT2_03841
ko:K14591	senr:STMDT2_03861
ko:K09913	senr:STMDT2_03871
ko:K03554	senr:STMDT2_03881
ko:K00847	senr:STMDT2_03891
ko:K03547	senr:STMDT2_03921
ko:K07657	senr:STMDT2_03931
ko:K07636	senr:STMDT2_03941
ko:K03311	senr:STMDT2_03951
ko:K11736	senr:STMDT2_03961
ko:K03386	senr:STMDT2_03981
ko:K08682	senr:STMDT2_03991
ko:K07568	senr:STMDT2_04001
ko:K14762	senr:STMDT2_35731
ko:K00427	senr:STMDT2_35761
ko:K14348	senr:STMDT2_35771
ko:K00101	senr:STMDT2_35781
ko:K00297	senr:STMDT2_39691
ko:K02562	senr:STMDT2_35711
ko:K03782	senr:STMDT2_39701
ko:K09974	senr:STMDT2_39711
ko:K00005	senr:STMDT2_39721
ko:K08314	senr:STMDT2_39731
ko:K08483	senr:STMDT2_39741
ko:K11189	senr:STMDT2_39741
ko:K11201	senr:STMDT2_39741
ko:K11203	senr:STMDT2_39751
ko:K11202	senr:STMDT2_39761
ko:K00656	senr:STMDT2_39771
ko:K04069	senr:STMDT2_39781
ko:K11202	senr:STMDT2_39791
ko:K01595	senr:STMDT2_39831
ko:K01438	senr:STMDT2_39841
ko:K00145	senr:STMDT2_39851
ko:K00930	senr:STMDT2_39861
ko:K01755	senr:STMDT2_39871
ko:K04761	senr:STMDT2_39881
ko:K00322	senr:STMDT2_39891
ko:K01002	senr:STMDT2_43891
ko:K02317	senr:STMDT2_43921
ko:K13255	senr:STMDT2_43981
ko:K00564	senr:STMDT2_44011
ko:K02344	senr:STMDT2_44021
ko:K03789	senr:STMDT2_44031
ko:K08723	senr:STMDT2_44041
ko:K02837	senr:STMDT2_44051
ko:K03424	senr:STMDT2_44081
ko:K01619	senr:STMDT2_44111
ko:K00758	senr:STMDT2_44121
ko:K01839	senr:STMDT2_44131
ko:K01704	senr:STMDT2_03261
ko:K01561	senr:STMDT2_03281
ko:K07347	senr:STMDT2_03341
ko:K07345	senr:STMDT2_03361
ko:K07213	senr:STMDT2_03511
ko:K08178	senr:STMDT2_03521
ko:K07316	senr:STMDT2_03531
ko:K01156	senr:STMDT2_03541
ko:K07040	senr:STMDT2_11251
ko:K02911	senr:STMDT2_11261
ko:K03621	senr:STMDT2_11271
ko:K00648	senr:STMDT2_11281
ko:K00645	senr:STMDT2_11291
ko:K00059	senr:STMDT2_11301
ko:K02078	senr:STMDT2_11311
ko:K09458	senr:STMDT2_11321
ko:K02619	senr:STMDT2_11331
ko:K07082	senr:STMDT2_11341
ko:K00943	senr:STMDT2_11351
ko:K02341	senr:STMDT2_11361
ko:K03424	senr:STMDT2_11371
ko:K02778	senr:STMDT2_11381
ko:K02779	senr:STMDT2_11381
ko:K16088	senr:STMDT2_11391
ko:K02503	senr:STMDT2_11401
ko:K07337	senr:STMDT2_11421
ko:K07251	senr:STMDT2_11431
ko:K01207	senr:STMDT2_11441
ko:K07000	senr:STMDT2_11451
ko:K03885	senr:STMDT2_11461
ko:K12151	senr:STMDT2_11491
ko:K03723	senr:STMDT2_11511
ko:K09808	senr:STMDT2_11521
ko:K09810	senr:STMDT2_11531
ko:K09808	senr:STMDT2_11541
ko:K12410	senr:STMDT2_11561
ko:K11069	senr:STMDT2_11571
ko:K11070	senr:STMDT2_11581
ko:K11071	senr:STMDT2_11601
ko:K11072	senr:STMDT2_11611
ko:K01258	senr:STMDT2_11621
ko:K07491	senr:STMDT2_11641
ko:K07637	senr:STMDT2_11661
ko:K07660	senr:STMDT2_11671
ko:K01756	senr:STMDT2_11681
ko:K07153	senr:STMDT2_11691
ko:K00566	senr:STMDT2_11701
ko:K12152	senr:STMDT2_11711
ko:K06181	senr:STMDT2_11731
ko:K09933	senr:STMDT2_19741
ko:K07126	senr:STMDT2_19791
ko:K01241	senr:STMDT2_19831
ko:K00768	senr:STMDT2_19891
ko:K02233	senr:STMDT2_19901
ko:K02231	senr:STMDT2_19911
ko:K02232	senr:STMDT2_19921
ko:K02006	senr:STMDT2_19931
ko:K04656	senr:STMDT2_27431
ko:K05796	senr:STMDT2_27441
ko:K08315	senr:STMDT2_27461
ko:K15834	senr:STMDT2_27471
ko:K15832	senr:STMDT2_27481
ko:K15831	senr:STMDT2_27491
ko:K15830	senr:STMDT2_27501
ko:K15829	senr:STMDT2_27511
ko:K15828	senr:STMDT2_27521
ko:K15827	senr:STMDT2_27531
ko:K15833	senr:STMDT2_27541
ko:K04651	senr:STMDT2_27551
ko:K04653	senr:STMDT2_27561
ko:K04654	senr:STMDT2_27571
ko:K04655	senr:STMDT2_27581
ko:K15836	senr:STMDT2_27591
ko:K11604	senr:STMDT2_27611
ko:K11607	senr:STMDT2_27621
ko:K11605	senr:STMDT2_27631
ko:K11606	senr:STMDT2_27641
ko:K03221	senr:STMDT2_27731
ko:K02078	senr:STMDT2_27801
ko:K13284	senr:STMDT2_27811
ko:K13287	senr:STMDT2_27821
ko:K19697	senr:STMDT2_20301
ko:K01678	senr:STMDT2_07391
ko:K01677	senr:STMDT2_07401
ko:K01573	senr:STMDT2_07441
ko:K01571	senr:STMDT2_07451
ko:K01572	senr:STMDT2_07461
ko:K02015	senr:STMDT2_07481
ko:K01626	senr:STMDT2_07381
ko:K02013	senr:STMDT2_07491
ko:K01834	senr:STMDT2_07501
ko:K01785	senr:STMDT2_07511
ko:K00849	senr:STMDT2_07521
ko:K00965	senr:STMDT2_07531
ko:K01784	senr:STMDT2_07541
ko:K05776	senr:STMDT2_07561
ko:K02019	senr:STMDT2_07571
ko:K02020	senr:STMDT2_07591
ko:K02018	senr:STMDT2_07601
ko:K02017	senr:STMDT2_07611
ko:K16868	senr:STMDT2_15311
ko:K03304	senr:STMDT2_15321
ko:K03817	senr:STMDT2_15341
ko:K02774	senr:STMDT2_15361
ko:K02775	senr:STMDT2_15371
ko:K06971	senr:STMDT2_15381
ko:K02773	senr:STMDT2_15391
ko:K14587	senr:STMDT2_15401
ko:K03929	senr:STMDT2_15461
ko:K05876	senr:STMDT2_15491
ko:K00121	senr:STMDT2_15501
ko:K02030	senr:STMDT2_15561
ko:K02029	senr:STMDT2_15571
ko:K02028	senr:STMDT2_15581
ko:K02029	senr:STMDT2_15591
ko:K12262	senr:STMDT2_15621
ko:K03578	senr:STMDT2_15641
ko:K01118	senr:STMDT2_15651
ko:K09978	senr:STMDT2_15671
ko:K03778	senr:STMDT2_15701
ko:K03737	senr:STMDT2_15741
ko:K14061	senr:STMDT2_15751
ko:K14058	senr:STMDT2_15781
ko:K05591	senr:STMDT2_15791
ko:K16074	senr:STMDT2_15801
ko:K07052	senr:STMDT2_23461
ko:K00647	senr:STMDT2_23471
ko:K15461	senr:STMDT2_23481
ko:K09906	senr:STMDT2_23501
ko:K07090	senr:STMDT2_23511
ko:K07261	senr:STMDT2_23521
ko:K01736	senr:STMDT2_23531
ko:K00111	senr:STMDT2_22531
ko:K08160	senr:STMDT2_08421
ko:K07085	senr:STMDT2_08461
ko:K05844	senr:STMDT2_08511
ko:K11073	senr:STMDT2_08531
ko:K11076	senr:STMDT2_08541
ko:K11075	senr:STMDT2_08551
ko:K11074	senr:STMDT2_08561
ko:K03212	senr:STMDT2_08581
ko:K03475	senr:STMDT2_08591
ko:K02822	senr:STMDT2_08601
ko:K09996	senr:STMDT2_08621
ko:K09998	senr:STMDT2_08631
ko:K09999	senr:STMDT2_08641
ko:K09997	senr:STMDT2_08651
ko:K01681	senr:STMDT2_16371
ko:K13634	senr:STMDT2_16381
ko:K03168	senr:STMDT2_16391
ko:K04774	senr:STMDT2_16411
ko:K06178	senr:STMDT2_16441
ko:K07053	senr:STMDT2_16461
ko:K01657	senr:STMDT2_16471
ko:K13497	senr:STMDT2_16481
ko:K13498	senr:STMDT2_16491
ko:K01696	senr:STMDT2_16501
ko:K01695	senr:STMDT2_16511
ko:K07217	senr:STMDT2_16551
ko:K07275	senr:STMDT2_16561
ko:K06940	senr:STMDT2_16571
ko:K06190	senr:STMDT2_16591
ko:K10806	senr:STMDT2_16601
ko:K03832	senr:STMDT2_16611
ko:K09780	senr:STMDT2_16621
ko:K06131	senr:STMDT2_16631
ko:K09901	senr:STMDT2_16641
ko:K10716	senr:STMDT2_16651
ko:K10823	senr:STMDT2_16661
ko:K15583	senr:STMDT2_16671
ko:K15582	senr:STMDT2_16681
ko:K15581	senr:STMDT2_16691
ko:K07001	senr:STMDT2_16781
ko:K15580	senr:STMDT2_16701
ko:K04072	senr:STMDT2_16731
ko:K00963	senr:STMDT2_16761
ko:K08296	senr:STMDT2_23561
ko:K01782	senr:STMDT2_23571
ko:K06076	senr:STMDT2_23601
ko:K04754	senr:STMDT2_23611
ko:K08477	senr:STMDT2_23631
ko:K08476	senr:STMDT2_23641
ko:K08475	senr:STMDT2_23651
ko:K08478	senr:STMDT2_23661
ko:K11382	senr:STMDT2_23671
ko:K12974	senr:STMDT2_23691
ko:K14261	senr:STMDT2_23701
ko:K00845	senr:STMDT2_23711
ko:K03322	senr:STMDT2_23761
ko:K11535	senr:STMDT2_23771
ko:K01885	senr:STMDT2_23811
ko:K11537	senr:STMDT2_23841
ko:K03815	senr:STMDT2_23851
ko:K14347	senr:STMDT2_23881
ko:K11189	senr:STMDT2_31491
ko:K16371	senr:STMDT2_31501
ko:K02773	senr:STMDT2_31511
ko:K02774	senr:STMDT2_31521
ko:K02775	senr:STMDT2_31531
ko:K00094	senr:STMDT2_31541
ko:K02436	senr:STMDT2_31551
ko:K07056	senr:STMDT2_31561
ko:K07121	senr:STMDT2_31571
ko:K07320	senr:STMDT2_23541
ko:K07460	senr:STMDT2_31581
ko:K12961	senr:STMDT2_31591
ko:K05520	senr:STMDT2_31621
ko:K09979	senr:STMDT2_31631
ko:K07461	senr:STMDT2_31641
ko:K03824	senr:STMDT2_31651
ko:K08303	senr:STMDT2_31671
ko:K03835	senr:STMDT2_31721
ko:K05592	senr:STMDT2_31731
ko:K05803	senr:STMDT2_31741
ko:K00962	senr:STMDT2_31751
ko:K02956	senr:STMDT2_31761
ko:K03177	senr:STMDT2_31771
ko:K02834	senr:STMDT2_31781
ko:K02519	senr:STMDT2_31791
ko:K02600	senr:STMDT2_31801
ko:K09748	senr:STMDT2_31811
ko:K01940	senr:STMDT2_31821
ko:K02492	senr:STMDT2_16971
ko:K02494	senr:STMDT2_16981
ko:K00919	senr:STMDT2_16991
ko:K00948	senr:STMDT2_17001
ko:K03321	senr:STMDT2_17011
ko:K01056	senr:STMDT2_17031
ko:K06942	senr:STMDT2_17041
ko:K06282	senr:STMDT2_17061
ko:K06281	senr:STMDT2_17071
ko:K03620	senr:STMDT2_17081
ko:K03619	senr:STMDT2_17101
ko:K03618	senr:STMDT2_17111
ko:K00425	senr:STMDT2_17121
ko:K00426	senr:STMDT2_17131
ko:K00261	senr:STMDT2_17151
ko:K01194	senr:STMDT2_17161
ko:K08308	senr:STMDT2_17191
ko:K01297	senr:STMDT2_17201
ko:K11105	senr:STMDT2_17211
ko:K01775	senr:STMDT2_17221
ko:K00285	senr:STMDT2_17231
ko:K03603	senr:STMDT2_17251
ko:K03314	senr:STMDT2_17261
ko:K03611	senr:STMDT2_17271
ko:K09160	senr:STMDT2_17311
ko:K09902	senr:STMDT2_17331
ko:K03610	senr:STMDT2_17341
ko:K03609	senr:STMDT2_17351
ko:K07308	senr:STMDT2_24891
ko:K07307	senr:STMDT2_24901
ko:K05367	senr:STMDT2_24921
ko:K06894	senr:STMDT2_24931
ko:K01011	senr:STMDT2_24941
ko:K07751	senr:STMDT2_24971
ko:K04755	senr:STMDT2_24991
ko:K04044	senr:STMDT2_25001
ko:K04082	senr:STMDT2_25011
ko:K13628	senr:STMDT2_25021
ko:K04488	senr:STMDT2_25031
ko:K04487	senr:STMDT2_25041
ko:K13643	senr:STMDT2_25051
ko:K15396	senr:STMDT2_25061
ko:K01092	senr:STMDT2_25071
ko:K06889	senr:STMDT2_25081
ko:K16950	senr:STMDT2_25091
ko:K16951	senr:STMDT2_25101
ko:K00385	senr:STMDT2_25111
ko:K05820	senr:STMDT2_25151
ko:K00600	senr:STMDT2_25161
ko:K15724	senr:STMDT2_02061
ko:K06858	senr:STMDT2_02081
ko:K01243	senr:STMDT2_02091
ko:K01129	senr:STMDT2_02101
ko:K02647	senr:STMDT2_02121
ko:K00674	senr:STMDT2_02151
ko:K00990	senr:STMDT2_02161
ko:K01265	senr:STMDT2_02171
ko:K02967	senr:STMDT2_02181
ko:K02357	senr:STMDT2_02191
ko:K09903	senr:STMDT2_02201
ko:K02838	senr:STMDT2_02211
ko:K00099	senr:STMDT2_02221
ko:K00806	senr:STMDT2_02231
ko:K00981	senr:STMDT2_02241
ko:K11749	senr:STMDT2_02251
ko:K07277	senr:STMDT2_02261
ko:K06142	senr:STMDT2_02271
ko:K02536	senr:STMDT2_02281
ko:K02372	senr:STMDT2_02291
ko:K00677	senr:STMDT2_02301
ko:K00748	senr:STMDT2_02311
ko:K03470	senr:STMDT2_02321
ko:K02337	senr:STMDT2_02331
ko:K01962	senr:STMDT2_02341
ko:K08234	senr:STMDT2_02371
ko:K04075	senr:STMDT2_02381
ko:K15034	senr:STMDT2_02421
ko:K06079	senr:STMDT2_02431
ko:K01881	senr:STMDT2_02441
ko:K06080	senr:STMDT2_02461
ko:K02073	senr:STMDT2_02471
ko:K02072	senr:STMDT2_02481
ko:K02071	senr:STMDT2_02491
ko:K03075	senr:STMDT2_31841
ko:K03431	senr:STMDT2_31851
ko:K00796	senr:STMDT2_31861
ko:K07491	senr:STMDT2_31871
ko:K03798	senr:STMDT2_31881
ko:K02112	senr:STMDT2_37451
ko:K02115	senr:STMDT2_37461
ko:K02427	senr:STMDT2_31891
ko:K07574	senr:STMDT2_31901
ko:K03624	senr:STMDT2_31911
ko:K07259	senr:STMDT2_31921
ko:K03979	senr:STMDT2_31931
ko:K02899	senr:STMDT2_31951
ko:K02888	senr:STMDT2_31961
ko:K02523	senr:STMDT2_31971
ko:K00790	senr:STMDT2_31991
ko:K02039	senr:STMDT2_37331
ko:K02036	senr:STMDT2_37341
ko:K02038	senr:STMDT2_37351
ko:K02037	senr:STMDT2_37361
ko:K02040	senr:STMDT2_37371
ko:K02769	senr:STMDT2_37381
ko:K02770	senr:STMDT2_37381
ko:K00014	senr:STMDT2_37391
ko:K00820	senr:STMDT2_37411
ko:K04042	senr:STMDT2_37421
ko:K06890	senr:STMDT2_37431
ko:K02114	senr:STMDT2_37441
ko:K02111	senr:STMDT2_37471
ko:K02113	senr:STMDT2_37481
ko:K02109	senr:STMDT2_37491
ko:K02110	senr:STMDT2_37501
ko:K02108	senr:STMDT2_37511
ko:K02116	senr:STMDT2_37521
ko:K03501	senr:STMDT2_37531
ko:K03495	senr:STMDT2_37541
ko:K06205	senr:STMDT2_37551
ko:K03718	senr:STMDT2_37561
ko:K01914	senr:STMDT2_37571
ko:K01584	senr:STMDT2_41471
ko:K03755	senr:STMDT2_41461
ko:K07406	senr:STMDT2_41491
ko:K11104	senr:STMDT2_41501
ko:K01676	senr:STMDT2_41511
ko:K07792	senr:STMDT2_41521
ko:K07703	senr:STMDT2_41541
ko:K07701	senr:STMDT2_41551
ko:K07306	senr:STMDT2_41561
ko:K07307	senr:STMDT2_41571
ko:K07308	senr:STMDT2_41581
ko:K09474	senr:STMDT2_41691
ko:K09858	senr:STMDT2_16791
ko:K01433	senr:STMDT2_16801
ko:K07126	senr:STMDT2_16811
ko:K00374	senr:STMDT2_16821
ko:K00373	senr:STMDT2_16831
ko:K00371	senr:STMDT2_16841
ko:K12945	senr:STMDT2_24401
ko:K07674	senr:STMDT2_24431
ko:K01439	senr:STMDT2_24461
ko:K06957	senr:STMDT2_24481
ko:K07054	senr:STMDT2_24491
ko:K01923	senr:STMDT2_24501
ko:K07287	senr:STMDT2_24511
ko:K01714	senr:STMDT2_24521
ko:K03567	senr:STMDT2_24531
ko:K03564	senr:STMDT2_24541
ko:K03548	senr:STMDT2_24561
ko:K10763	senr:STMDT2_24591
ko:K02824	senr:STMDT2_24601
ko:K00761	senr:STMDT2_24611
ko:K01933	senr:STMDT2_24621
ko:K11175	senr:STMDT2_24631
ko:K00937	senr:STMDT2_24641
ko:K01524	senr:STMDT2_24651
ko:K01951	senr:STMDT2_24711
ko:K00088	senr:STMDT2_24721
ko:K03601	senr:STMDT2_24731
ko:K13735	senr:STMDT2_24781
ko:K05916	senr:STMDT2_25171
ko:K03765	senr:STMDT2_25181
ko:K03757	senr:STMDT2_25191
ko:K03305	senr:STMDT2_25211
ko:K04751	senr:STMDT2_25221
ko:K07715	senr:STMDT2_25231
ko:K07711	senr:STMDT2_25251
ko:K01952	senr:STMDT2_25261
ko:K11991	senr:STMDT2_25291
ko:K07106	senr:STMDT2_25321
ko:K00077	senr:STMDT2_25341
ko:K08177	senr:STMDT2_25351
ko:K00997	senr:STMDT2_25381
ko:K03474	senr:STMDT2_25391
ko:K03040	senr:STMDT2_33021
ko:K02986	senr:STMDT2_33031
ko:K02948	senr:STMDT2_33041
ko:K02952	senr:STMDT2_33051
ko:K02919	senr:STMDT2_33061
ko:K03076	senr:STMDT2_33071
ko:K02876	senr:STMDT2_33081
ko:K02907	senr:STMDT2_33091
ko:K02988	senr:STMDT2_33101
ko:K02881	senr:STMDT2_33111
ko:K02933	senr:STMDT2_33121
ko:K02994	senr:STMDT2_33131
ko:K02954	senr:STMDT2_33141
ko:K02931	senr:STMDT2_33151
ko:K02895	senr:STMDT2_33161
ko:K02874	senr:STMDT2_33171
ko:K02961	senr:STMDT2_33181
ko:K02904	senr:STMDT2_33191
ko:K02878	senr:STMDT2_33201
ko:K02982	senr:STMDT2_33211
ko:K02890	senr:STMDT2_33221
ko:K02965	senr:STMDT2_33231
ko:K02886	senr:STMDT2_33241
ko:K02892	senr:STMDT2_33251
ko:K02926	senr:STMDT2_33261
ko:K02906	senr:STMDT2_33271
ko:K02946	senr:STMDT2_33281
ko:K02506	senr:STMDT2_33291
ko:K03594	senr:STMDT2_33301
ko:K02192	senr:STMDT2_33311
ko:K02358	senr:STMDT2_33321
ko:K02355	senr:STMDT2_33331
ko:K02992	senr:STMDT2_33341
ko:K02950	senr:STMDT2_33351
ko:K07237	senr:STMDT2_33361
ko:K07236	senr:STMDT2_33371
ko:K07235	senr:STMDT2_33381
ko:K03745	senr:STMDT2_33411
ko:K03775	senr:STMDT2_33421
ko:K07070	senr:STMDT2_33431
ko:K06158	senr:STMDT2_33461
ko:K07019	senr:STMDT2_33491
ko:K09898	senr:STMDT2_33501
ko:K00855	senr:STMDT2_33511
ko:K05851	senr:STMDT2_38061
ko:K06202	senr:STMDT2_38101
ko:K01778	senr:STMDT2_38151
ko:K09921	senr:STMDT2_38161
ko:K03733	senr:STMDT2_38171
ko:K03657	senr:STMDT2_38191
ko:K03284	senr:STMDT2_38201
ko:K05786	senr:STMDT2_38231
ko:K01058	senr:STMDT2_38251
ko:K03654	senr:STMDT2_38261
ko:K05835	senr:STMDT2_38271
ko:K05834	senr:STMDT2_38281
ko:K01048	senr:STMDT2_38291
ko:K09456	senr:STMDT2_42241
ko:K06889	senr:STMDT2_42271
ko:K03477	senr:STMDT2_42281
ko:K03476	senr:STMDT2_42291
ko:K03475	senr:STMDT2_42301
ko:K02822	senr:STMDT2_42321
ko:K02821	senr:STMDT2_42331
ko:K03078	senr:STMDT2_42341
ko:K03079	senr:STMDT2_42351
ko:K03077	senr:STMDT2_42361
ko:K02990	senr:STMDT2_42391
ko:K02686	senr:STMDT2_42401
ko:K02963	senr:STMDT2_42411
ko:K02939	senr:STMDT2_42421
ko:K07269	senr:STMDT2_42441
ko:K03773	senr:STMDT2_42451
ko:K11737	senr:STMDT2_42461
ko:K07322	senr:STMDT2_42471
ko:K01119	senr:STMDT2_42511
ko:K01082	senr:STMDT2_42521
ko:K03273	senr:STMDT2_02501
ko:K06222	senr:STMDT2_02511
ko:K13085	senr:STMDT2_10271
ko:K02484	senr:STMDT2_10311
ko:K07127	senr:STMDT2_10331
ko:K00484	senr:STMDT2_10341
ko:K05921	senr:STMDT2_10371
ko:K00151	senr:STMDT2_10381
ko:K00455	senr:STMDT2_10391
ko:K01826	senr:STMDT2_10401
ko:K02509	senr:STMDT2_10411
ko:K02510	senr:STMDT2_10421
ko:K02511	senr:STMDT2_10431
ko:K02508	senr:STMDT2_10441
ko:K05516	senr:STMDT2_10481
ko:K08344	senr:STMDT2_10501
ko:K01085	senr:STMDT2_10531
ko:K03809	senr:STMDT2_10551
ko:K13821	senr:STMDT2_10591
ko:K03307	senr:STMDT2_10631
ko:K01788	senr:STMDT2_10641
ko:K12972	senr:STMDT2_10691
ko:K04477	senr:STMDT2_10701
ko:K06214	senr:STMDT2_10731
ko:K02400	senr:STMDT2_18421
ko:K02401	senr:STMDT2_18431
ko:K03414	senr:STMDT2_18441
ko:K03413	senr:STMDT2_18451
ko:K03412	senr:STMDT2_18461
ko:K00575	senr:STMDT2_18471
ko:K03408	senr:STMDT2_18491
ko:K03407	senr:STMDT2_18501
ko:K02557	senr:STMDT2_18511
ko:K02556	senr:STMDT2_18521
ko:K02402	senr:STMDT2_18531
ko:K02403	senr:STMDT2_18541
ko:K14064	senr:STMDT2_18551
ko:K00697	senr:STMDT2_18561
ko:K01087	senr:STMDT2_18571
ko:K02255	senr:STMDT2_18591
ko:K02217	senr:STMDT2_18621
ko:K03834	senr:STMDT2_18641
ko:K07039	senr:STMDT2_18651
ko:K00995	senr:STMDT2_18701
ko:K03703	senr:STMDT2_18711
ko:K07689	senr:STMDT2_18721
ko:K10010	senr:STMDT2_18751
ko:K10009	senr:STMDT2_18761
ko:K02424	senr:STMDT2_18781
ko:K02425	senr:STMDT2_18791
ko:K02405	senr:STMDT2_18801
