ko:K09796	nmm:NMBM01240149_0624
ko:K00350	nmm:NMBM01240149_1537
ko:K00351	nmm:NMBM01240149_1538
ko:K03734	nmm:NMBM01240149_1539
ko:K05952	nmm:NMBM01240149_1540
ko:K03687	nmm:NMBM01240149_1541
ko:K00640	nmm:NMBM01240149_1542
ko:K03688	nmm:NMBM01240149_1543
ko:K15724	nmm:NMBM01240149_1545
ko:K04043	nmm:NMBM01240149_1548
ko:K04066	nmm:NMBM01240149_1552
ko:K03981	nmm:NMBM01240149_1553
ko:K05685	nmm:NMBM01240149_1554
ko:K13888	nmm:NMBM01240149_1555
ko:K02655	nmm:NMBM01240149_1556
ko:K03529	nmm:NMBM01240149_1558
ko:K03269	nmm:NMBM01240149_1559
ko:K03303	nmm:NMBM01240149_1560
ko:K01749	nmm:NMBM01240149_1564
ko:K00031	nmm:NMBM01240149_1167
ko:K07341	nmm:NMBM01240149_1170
ko:K02899	nmm:NMBM01240149_1760
ko:K02913	nmm:NMBM01240149_1762
ko:K02902	nmm:NMBM01240149_1763
ko:K03446	nmm:NMBM01240149_1764
ko:K03543	nmm:NMBM01240149_1765
ko:K09457	nmm:NMBM01240149_1766
ko:K09125	nmm:NMBM01240149_1767
ko:K08973	nmm:NMBM01240149_1773
ko:K01626	nmm:NMBM01240149_1776
ko:K03106	nmm:NMBM01240149_1789
ko:K03673	nmm:NMBM01240149_1791
ko:K07078	nmm:NMBM01240149_1794
ko:K15977	nmm:NMBM01240149_1795
ko:K01669	nmm:NMBM01240149_1797
ko:K01756	nmm:NMBM01240149_1802
ko:K06966	nmm:NMBM01240149_1803
ko:K01147	nmm:NMBM01240149_1804
ko:K03771	nmm:NMBM01240149_1805
ko:K04744	nmm:NMBM01240149_1806
ko:K07102	nmm:NMBM01240149_1807
ko:K03673	nmm:NMBM01240149_1808
ko:K03980	nmm:NMBM01240149_1809
ko:K07323	nmm:NMBM01240149_0226
ko:K07122	nmm:NMBM01240149_0227
ko:K04754	nmm:NMBM01240149_0228
ko:K12500	nmm:NMBM01240149_0230
ko:K02909	nmm:NMBM01240149_0233
ko:K03599	nmm:NMBM01240149_0236
ko:K03600	nmm:NMBM01240149_0237
ko:K09117	nmm:NMBM01240149_0238
ko:K02970	nmm:NMBM01240149_0239
ko:K08309	nmm:NMBM01240149_0240
ko:K02071	nmm:NMBM01240149_0241
ko:K02072	nmm:NMBM01240149_0242
ko:K02073	nmm:NMBM01240149_0243
ko:K03186	nmm:NMBM01240149_0244
ko:K02108	nmm:NMBM01240149_0248
ko:K02110	nmm:NMBM01240149_0249
ko:K02109	nmm:NMBM01240149_0250
ko:K02113	nmm:NMBM01240149_0251
ko:K02111	nmm:NMBM01240149_0252
ko:K02115	nmm:NMBM01240149_0253
ko:K02112	nmm:NMBM01240149_0254
ko:K02114	nmm:NMBM01240149_0255
ko:K01878	nmm:NMBM01240149_0256
ko:K09923	nmm:NMBM01240149_0257
ko:K01879	nmm:NMBM01240149_0258
ko:K07270	nmm:NMBM01240149_0262
ko:K07270	nmm:NMBM01240149_0263
ko:K09761	nmm:NMBM01240149_0264
ko:K09858	nmm:NMBM01240149_0266
ko:K01951	nmm:NMBM01240149_0271
ko:K00645	nmm:NMBM01240149_0273
ko:K02656	nmm:NMBM01240149_0844
ko:K06941	nmm:NMBM01240149_0845
ko:K00940	nmm:NMBM01240149_0846
ko:K06916	nmm:NMBM01240149_0847
ko:K01070	nmm:NMBM01240149_0848
ko:K05788	nmm:NMBM01240149_0851
ko:K02945	nmm:NMBM01240149_0852
ko:K00945	nmm:NMBM01240149_0853
ko:K08307	nmm:NMBM01240149_0856
ko:K00655	nmm:NMBM01240149_0859
ko:K11107	nmm:NMBM01240149_0864
ko:K05589	nmm:NMBM01240149_0865
ko:K01689	nmm:NMBM01240149_0866
ko:K01627	nmm:NMBM01240149_0868
ko:K01579	nmm:NMBM01240149_0869
ko:K01591	nmm:NMBM01240149_1268
ko:K03799	nmm:NMBM01240149_1270
ko:K01939	nmm:NMBM01240149_1277
ko:K02502	nmm:NMBM01240149_1278
ko:K03327	nmm:NMBM01240149_1279
ko:K00075	nmm:NMBM01240149_1280
ko:K00858	nmm:NMBM01240149_1284
ko:K06182	nmm:NMBM01240149_1285
ko:K09007	nmm:NMBM01240149_1287
ko:K01698	nmm:NMBM01240149_1289
ko:K03046	nmm:NMBM01240149_1953
ko:K03043	nmm:NMBM01240149_1954
ko:K02935	nmm:NMBM01240149_1955
ko:K02864	nmm:NMBM01240149_1956
ko:K02863	nmm:NMBM01240149_1957
ko:K02867	nmm:NMBM01240149_1958
ko:K02601	nmm:NMBM01240149_1959
ko:K03073	nmm:NMBM01240149_1960
ko:K03168	nmm:NMBM01240149_1971
ko:K04096	nmm:NMBM01240149_1973
ko:K03500	nmm:NMBM01240149_1977
ko:K00604	nmm:NMBM01240149_1978
ko:K01462	nmm:NMBM01240149_1979
ko:K00610	nmm:NMBM01240149_1982
ko:K00609	nmm:NMBM01240149_1983
ko:K07056	nmm:NMBM01240149_1992
ko:K07460	nmm:NMBM01240149_1993
ko:K03271	nmm:NMBM01240149_1994
ko:K01265	nmm:NMBM01240149_1997
ko:K00116	nmm:NMBM01240149_2000
ko:K00262	nmm:NMBM01240149_0477
ko:K03308	nmm:NMBM01240149_0480
ko:K09458	nmm:NMBM01240149_0484
ko:K03182	nmm:NMBM01240149_0489
ko:K00796	nmm:NMBM01240149_0492
ko:K03431	nmm:NMBM01240149_0493
ko:K03424	nmm:NMBM01240149_0496
ko:K02835	nmm:NMBM01240149_0497
ko:K03778	nmm:NMBM01240149_0498
ko:K01875	nmm:NMBM01240149_0499
ko:K08311	nmm:NMBM01240149_0500
ko:K02622	nmm:NMBM01240149_0501
ko:K01736	nmm:NMBM01240149_0503
ko:K00832	nmm:NMBM01240149_0505
ko:K00281	nmm:NMBM01240149_0508
ko:K09857	nmm:NMBM01240149_0512
ko:K06192	nmm:NMBM01240149_0513
ko:K03808	nmm:NMBM01240149_0514
ko:K08303	nmm:NMBM01240149_0520
ko:K00759	nmm:NMBM01240149_0522
ko:K00381	nmm:NMBM01240149_0978
ko:K01687	nmm:NMBM01240149_0979
ko:K01012	nmm:NMBM01240149_0982
ko:K02558	nmm:NMBM01240149_0983
ko:K03437	nmm:NMBM01240149_0987
ko:K04075	nmm:NMBM01240149_0988
ko:K01962	nmm:NMBM01240149_0989
ko:K04762	nmm:NMBM01240149_0990
ko:K04755	nmm:NMBM01240149_0993
ko:K04044	nmm:NMBM01240149_0996
ko:K02291	nmm:NMBM01240149_0997
ko:K09924	nmm:NMBM01240149_1420
ko:K00912	nmm:NMBM01240149_1421
ko:K00029	nmm:NMBM01240149_1422
ko:K00943	nmm:NMBM01240149_1423
ko:K07082	nmm:NMBM01240149_1424
ko:K03806	nmm:NMBM01240149_1425
ko:K01972	nmm:NMBM01240149_1427
ko:K03623	nmm:NMBM01240149_1450
ko:K08310	nmm:NMBM01240149_1455
ko:K00963	nmm:NMBM01240149_1459
ko:K01755	nmm:NMBM01240149_1460
ko:K02012	nmm:NMBM01240149_1462
ko:K02011	nmm:NMBM01240149_1463
ko:K13788	nmm:NMBM01240149_1465
ko:K02501	nmm:NMBM01240149_1466
ko:K01814	nmm:NMBM01240149_1467
ko:K02500	nmm:NMBM01240149_1468
ko:K03787	nmm:NMBM01240149_0685
ko:K06194	nmm:NMBM01240149_0686
ko:K03565	nmm:NMBM01240149_0688
ko:K01091	nmm:NMBM01240149_0689
ko:K00260	nmm:NMBM01240149_0690
ko:K01821	nmm:NMBM01240149_0692
ko:K14260	nmm:NMBM01240149_0693
ko:K03695	nmm:NMBM01240149_0694
ko:K01867	nmm:NMBM01240149_0695
ko:K01524	nmm:NMBM01240149_0698
ko:K00615	nmm:NMBM01240149_0707
ko:K09926	nmm:NMBM01240149_0709
ko:K00459	nmm:NMBM01240149_0710
ko:K00766	nmm:NMBM01240149_1121
ko:K01613	nmm:NMBM01240149_1124
ko:K03701	nmm:NMBM01240149_1125
ko:K01902	nmm:NMBM01240149_1129
ko:K01903	nmm:NMBM01240149_1130
ko:K00382	nmm:NMBM01240149_1132
ko:K00658	nmm:NMBM01240149_1133
ko:K00164	nmm:NMBM01240149_1134
ko:K01647	nmm:NMBM01240149_1135
ko:K09159	nmm:NMBM01240149_1136
ko:K00240	nmm:NMBM01240149_1137
ko:K01924	nmm:NMBM01240149_1665
ko:K02563	nmm:NMBM01240149_1666
ko:K03588	nmm:NMBM01240149_1667
ko:K01925	nmm:NMBM01240149_1668
ko:K01000	nmm:NMBM01240149_1670
ko:K01929	nmm:NMBM01240149_1672
ko:K01928	nmm:NMBM01240149_1674
ko:K03587	nmm:NMBM01240149_1675
ko:K03586	nmm:NMBM01240149_1676
ko:K03438	nmm:NMBM01240149_1677
ko:K03925	nmm:NMBM01240149_1678
ko:K06153	nmm:NMBM01240149_1682
ko:K03673	nmm:NMBM01240149_1683
ko:K07391	nmm:NMBM01240149_1685
ko:K13821	nmm:NMBM01240149_1688
ko:K01142	nmm:NMBM01240149_1690
ko:K00767	nmm:NMBM01240149_1692
ko:K03517	nmm:NMBM01240149_1694
ko:K00278	nmm:NMBM01240149_1695
ko:K01095	nmm:NMBM01240149_1701
ko:K00946	nmm:NMBM01240149_1702
ko:K13634	nmm:NMBM01240149_1704
ko:K03306	nmm:NMBM01240149_1707
ko:K09001	nmm:NMBM01240149_1708
ko:K03578	nmm:NMBM01240149_0177
ko:K03578	nmm:NMBM01240149_0180
ko:K00620	nmm:NMBM01240149_0182
ko:K04083	nmm:NMBM01240149_0187
ko:K06213	nmm:NMBM01240149_0188
ko:K01952	nmm:NMBM01240149_0191
ko:K04751	nmm:NMBM01240149_0192
ko:K02013	nmm:NMBM01240149_0193
ko:K02015	nmm:NMBM01240149_0195
ko:K02015	nmm:NMBM01240149_0196
ko:K02016	nmm:NMBM01240149_0197
ko:K03650	nmm:NMBM01240149_0199
ko:K07173	nmm:NMBM01240149_0205
ko:K06202	nmm:NMBM01240149_0208
ko:K01586	nmm:NMBM01240149_0210
ko:K03308	nmm:NMBM01240149_0211
ko:K04078	nmm:NMBM01240149_0213
ko:K04077	nmm:NMBM01240149_0214
ko:K07248	nmm:NMBM01240149_0219
ko:K02065	nmm:NMBM01240149_0223
ko:K02066	nmm:NMBM01240149_0224
ko:K09977	nmm:NMBM01240149_0806
ko:K05805	nmm:NMBM01240149_0819
ko:K03797	nmm:NMBM01240149_0821
ko:K03702	nmm:NMBM01240149_0822
ko:K03439	nmm:NMBM01240149_0826
ko:K03703	nmm:NMBM01240149_0828
ko:K00384	nmm:NMBM01240149_0830
ko:K02990	nmm:NMBM01240149_0831
ko:K02686	nmm:NMBM01240149_0832
ko:K02963	nmm:NMBM01240149_0833
ko:K02939	nmm:NMBM01240149_0834
ko:K03466	nmm:NMBM01240149_0840
ko:K03545	nmm:NMBM01240149_0841
ko:K01358	nmm:NMBM01240149_0842
ko:K01892	nmm:NMBM01240149_1243
ko:K03977	nmm:NMBM01240149_1245
ko:K03554	nmm:NMBM01240149_1246
ko:K01494	nmm:NMBM01240149_1248
ko:K07462	nmm:NMBM01240149_1254
ko:K09889	nmm:NMBM01240149_1256
ko:K03592	nmm:NMBM01240149_1257
ko:K03704	nmm:NMBM01240149_1258
ko:K06891	nmm:NMBM01240149_1259
ko:K03694	nmm:NMBM01240149_1260
ko:K01153	nmm:NMBM01240149_1261
ko:K03427	nmm:NMBM01240149_1263
ko:K03274	nmm:NMBM01240149_1264
ko:K02372	nmm:NMBM01240149_1906
ko:K00677	nmm:NMBM01240149_1907
ko:K03310	nmm:NMBM01240149_1908
ko:K00285	nmm:NMBM01240149_1909
ko:K07238	nmm:NMBM01240149_1910
ko:K01873	nmm:NMBM01240149_1911
ko:K04761	nmm:NMBM01240149_1912
ko:K03608	nmm:NMBM01240149_1913
ko:K03609	nmm:NMBM01240149_1914
ko:K03610	nmm:NMBM01240149_1915
ko:K02879	nmm:NMBM01240149_1916
ko:K03040	nmm:NMBM01240149_1917
ko:K02986	nmm:NMBM01240149_1918
ko:K02948	nmm:NMBM01240149_1919
ko:K02952	nmm:NMBM01240149_1920
ko:K02919	nmm:NMBM01240149_1921
ko:K02518	nmm:NMBM01240149_1922
ko:K03076	nmm:NMBM01240149_1923
ko:K02876	nmm:NMBM01240149_1924
ko:K02907	nmm:NMBM01240149_1925
ko:K02988	nmm:NMBM01240149_1926
ko:K02881	nmm:NMBM01240149_1927
ko:K02933	nmm:NMBM01240149_1928
ko:K02994	nmm:NMBM01240149_1929
ko:K02954	nmm:NMBM01240149_1930
ko:K02931	nmm:NMBM01240149_1931
ko:K02895	nmm:NMBM01240149_1932
ko:K02874	nmm:NMBM01240149_1933
ko:K02961	nmm:NMBM01240149_1934
ko:K02904	nmm:NMBM01240149_1935
ko:K02878	nmm:NMBM01240149_1936
ko:K02982	nmm:NMBM01240149_1937
ko:K02890	nmm:NMBM01240149_1938
ko:K02965	nmm:NMBM01240149_1939
ko:K02886	nmm:NMBM01240149_1940
ko:K02892	nmm:NMBM01240149_1941
ko:K02926	nmm:NMBM01240149_1942
ko:K02906	nmm:NMBM01240149_1943
ko:K02946	nmm:NMBM01240149_1945
ko:K02358	nmm:NMBM01240149_1946
ko:K02355	nmm:NMBM01240149_1947
ko:K02992	nmm:NMBM01240149_1948
ko:K02950	nmm:NMBM01240149_1949
ko:K00691	nmm:NMBM01240149_1697
ko:K18132	nmm:NMBM01240149_0736
ko:K14235	nmm:NMBM01240149_1961
ko:K16301	nmm:NMBM01240149_0034
ko:K16088	nmm:NMBM01240149_0308
ko:K02237	nmm:NMBM01240149_1782
ko:K02358	nmm:NMBM01240149_1962
ko:K02014	nmm:NMBM01240149_0809
ko:K02424	nmm:NMBM01240149_1302
ko:K14232	nmm:NMBM01240149_1574
ko:K14225	nmm:NMBM01240149_0588
ko:K14225	nmm:NMBM01240149_0591
ko:K14225	nmm:NMBM01240149_0590
ko:K14225	nmm:NMBM01240149_0589
ko:K10009	nmm:NMBM01240149_1301
ko:K16087	nmm:NMBM01240149_0629
ko:K16087	nmm:NMBM01240149_0677
ko:K16087	nmm:NMBM01240149_1629
ko:K01424	nmm:NMBM01240149_0495
ko:K00380	nmm:NMBM01240149_0977
ko:K01525	nmm:NMBM01240149_1431
ko:K03498	nmm:NMBM01240149_1432
ko:K01507	nmm:NMBM01240149_1456
ko:K02428	nmm:NMBM01240149_1458
ko:K02010	nmm:NMBM01240149_1464
ko:K00368	nmm:NMBM01240149_0554
ko:K01297	nmm:NMBM01240149_0557
ko:K03469	nmm:NMBM01240149_0559
ko:K03499	nmm:NMBM01240149_0564
ko:K01496	nmm:NMBM01240149_1469
ko:K09471	nmm:NMBM01240149_1481
ko:K00004	nmm:NMBM01240149_1491
ko:K01523	nmm:NMBM01240149_1492
ko:K02074	nmm:NMBM01240149_1507
ko:K02077	nmm:NMBM01240149_1509
ko:K02674	nmm:NMBM01240149_0338
ko:K03593	nmm:NMBM01240149_0339
ko:K00484	nmm:NMBM01240149_0343
ko:K08978	nmm:NMBM01240149_0345
ko:K07017	nmm:NMBM01240149_0358
ko:K14761	nmm:NMBM01240149_0360
ko:K07025	nmm:NMBM01240149_0367
ko:K04763	nmm:NMBM01240149_1335
ko:K08305	nmm:NMBM01240149_0872
ko:K01243	nmm:NMBM01240149_1321
ko:K02067	nmm:NMBM01240149_0225
ko:K02116	nmm:NMBM01240149_0247
ko:K01092	nmm:NMBM01240149_0265
ko:K07491	nmm:NMBM01240149_0268
ko:K00059	nmm:NMBM01240149_0270
ko:K11085	nmm:NMBM01240149_0272
ko:K00121	nmm:NMBM01240149_0849
ko:K06183	nmm:NMBM01240149_0855
ko:K10563	nmm:NMBM01240149_0858
ko:K00939	nmm:NMBM01240149_1269
ko:K01760	nmm:NMBM01240149_1288
ko:K02427	nmm:NMBM01240149_1291
ko:K03747	nmm:NMBM01240149_1972
ko:K02665	nmm:NMBM01240149_0378
ko:K01409	nmm:NMBM01240149_0387
ko:K00974	nmm:NMBM01240149_0933
ko:K06023	nmm:NMBM01240149_1352
ko:K02806	nmm:NMBM01240149_1353
ko:K01322	nmm:NMBM01240149_0312
ko:K01719	nmm:NMBM01240149_1311
ko:K01934	nmm:NMBM01240149_2002
ko:K07213	nmm:NMBM01240149_0879
ko:K01104	nmm:NMBM01240149_0883
ko:K01156	nmm:NMBM01240149_0888
ko:K03768	nmm:NMBM01240149_1298
ko:K12942	nmm:NMBM01240149_0468
ko:K00088	nmm:NMBM01240149_0965
ko:K02238	nmm:NMBM01240149_1391
ko:K14232	nmm:NMBM01240149_0104
ko:K14232	nmm:NMBM01240149_1454
ko:K07491	nmm:NMBM01240149_0701
ko:K01679	nmm:NMBM01240149_0706
ko:K02014	nmm:NMBM01240149_1123
ko:K07126	nmm:NMBM01240149_1669
ko:K09806	nmm:NMBM01240149_1686
ko:K01785	nmm:NMBM01240149_1698
ko:K14219	nmm:NMBM01240149_0105
ko:K16087	nmm:NMBM01240149_0516
ko:K14230	nmm:NMBM01240149_0483
ko:K14236	nmm:NMBM01240149_1965
ko:K01885	nmm:NMBM01240149_0003
ko:K00033	nmm:NMBM01240149_0017
ko:K02342	nmm:NMBM01240149_0713
ko:K01262	nmm:NMBM01240149_0737
ko:K00241	nmm:NMBM01240149_1140
ko:K01259	nmm:NMBM01240149_1160
ko:K00616	nmm:NMBM01240149_1734
ko:K01759	nmm:NMBM01240149_1744
ko:K00674	nmm:NMBM01240149_1749
ko:K02653	nmm:NMBM01240149_1751
ko:K06177	nmm:NMBM01240149_1229
ko:K03455	nmm:NMBM01240149_1878
ko:K03616	nmm:NMBM01240149_1879
ko:K03711	nmm:NMBM01240149_1882
ko:K06179	nmm:NMBM01240149_1887
ko:K03442	nmm:NMBM01240149_0039
ko:K03743	nmm:NMBM01240149_0040
ko:K01784	nmm:NMBM01240149_0063
ko:K00845	nmm:NMBM01240149_0765
ko:K10010	nmm:NMBM01240149_1300
ko:K04774	nmm:NMBM01240149_0594
ko:K01515	nmm:NMBM01240149_1052
ko:K13953	nmm:NMBM01240149_1557
ko:K01439	nmm:NMBM01240149_0638
ko:K00567	nmm:NMBM01240149_0640
ko:K02843	nmm:NMBM01240149_0642
ko:K02342	nmm:NMBM01240149_0654
ko:K07131	nmm:NMBM01240149_1611
ko:K06945	nmm:NMBM01240149_1613
ko:K07126	nmm:NMBM01240149_0083
ko:K03153	nmm:NMBM01240149_0113
ko:K13628	nmm:NMBM01240149_0772
ko:K04488	nmm:NMBM01240149_0773
ko:K00101	nmm:NMBM01240149_0778
ko:K03177	nmm:NMBM01240149_0781
ko:K01916	nmm:NMBM01240149_0791
ko:K07258	nmm:NMBM01240149_1212
ko:K01156	nmm:NMBM01240149_1213
ko:K07316	nmm:NMBM01240149_1214
ko:K07019	nmm:NMBM01240149_1810
ko:K03342	nmm:NMBM01240149_0217
ko:K07491	nmm:NMBM01240149_0825
ko:K07126	nmm:NMBM01240149_0827
ko:K02824	nmm:NMBM01240149_0839
ko:K00970	nmm:NMBM01240149_1252
ko:K00135	nmm:NMBM01240149_0682
ko:K00652	nmm:NMBM01240149_1618
ko:K01480	nmm:NMBM01240149_1621
ko:K01585	nmm:NMBM01240149_1622
ko:K03574	nmm:NMBM01240149_1636
ko:K04517	nmm:NMBM01240149_1648
ko:K02821	nmm:NMBM01240149_0136
ko:K11189	nmm:NMBM01240149_0137
ko:K08483	nmm:NMBM01240149_0138
ko:K00851	nmm:NMBM01240149_0154
ko:K03299	nmm:NMBM01240149_0155
ko:K06177	nmm:NMBM01240149_0164
ko:K01081	nmm:NMBM01240149_0172
ko:K02433	nmm:NMBM01240149_0799
ko:K05595	nmm:NMBM01240149_0801
ko:K02533	nmm:NMBM01240149_0807
ko:K01092	nmm:NMBM01240149_0808
ko:K14233	nmm:NMBM01240149_0969
ko:K01838	nmm:NMBM01240149_1696
ko:K01977	nmm:NMBM01240149_0051
ko:K01977	nmm:NMBM01240149_0527
ko:K01977	nmm:NMBM01240149_1787
ko:K01977	nmm:NMBM01240149_0165
ko:K14237	nmm:NMBM01240149_1372
ko:K07482	nmm:NMBM01240149_0422
ko:K16211	nmm:NMBM01240149_1699
ko:K03972	nmm:NMBM01240149_1305
ko:K16345	nmm:NMBM01240149_1157
ko:K01659	nmm:NMBM01240149_1658
ko:K07278	nmm:NMBM01240149_2036
ko:K01069	nmm:NMBM01240149_0190
ko:K07482	nmm:NMBM01240149_1855
ko:K07482	nmm:NMBM01240149_0915
ko:K07482	nmm:NMBM01240149_1253
ko:K07482	nmm:NMBM01240149_1519
ko:K07482	nmm:NMBM01240149_1602
ko:K07482	nmm:NMBM01240149_1377
ko:K14234	nmm:NMBM01240149_1225
ko:K14234	nmm:NMBM01240149_1226
ko:K12262	nmm:NMBM01240149_1991
ko:K00568	nmm:NMBM01240149_0152
ko:K14230	nmm:NMBM01240149_1680
ko:K14222	nmm:NMBM01240149_0592
ko:K14219	nmm:NMBM01240149_1756
ko:K14228	nmm:NMBM01240149_0922
ko:K14228	nmm:NMBM01240149_0967
ko:K14228	nmm:NMBM01240149_0968
ko:K14228	nmm:NMBM01240149_0301
ko:K14218	nmm:NMBM01240149_1681
ko:K14231	nmm:NMBM01240149_1728
ko:K14234	nmm:NMBM01240149_1963
ko:K01980	nmm:NMBM01240149_0054
ko:K01980	nmm:NMBM01240149_0530
ko:K01980	nmm:NMBM01240149_1784
ko:K01980	nmm:NMBM01240149_0168
ko:K14233	nmm:NMBM01240149_1194
ko:K14229	nmm:NMBM01240149_0013
ko:K14229	nmm:NMBM01240149_0340
ko:K14227	nmm:NMBM01240149_0052
ko:K14227	nmm:NMBM01240149_1786
ko:K14227	nmm:NMBM01240149_0166
ko:K14227	nmm:NMBM01240149_0528
ko:K01985	nmm:NMBM01240149_0055
ko:K01985	nmm:NMBM01240149_1783
ko:K01985	nmm:NMBM01240149_0169
ko:K01985	nmm:NMBM01240149_0531
ko:K14225	nmm:NMBM01240149_1964
ko:K14234	nmm:NMBM01240149_1896
ko:K14237	nmm:NMBM01240149_1875
ko:K14237	nmm:NMBM01240149_1877
ko:K14221	nmm:NMBM01240149_1874
ko:K14221	nmm:NMBM01240149_1876
ko:K14219	nmm:NMBM01240149_0506
ko:K14228	nmm:NMBM01240149_0593
ko:K14228	nmm:NMBM01240149_0603
ko:K14218	nmm:NMBM01240149_0053
ko:K14218	nmm:NMBM01240149_0529
ko:K14218	nmm:NMBM01240149_1785
ko:K14218	nmm:NMBM01240149_0167
ko:K14219	nmm:NMBM01240149_0712
ko:K14219	nmm:NMBM01240149_1347
ko:K14220	nmm:NMBM01240149_0641
ko:K14220	nmm:NMBM01240149_1610
ko:K14224	nmm:NMBM01240149_0562
ko:K14224	nmm:NMBM01240149_0711
ko:K14224	nmm:NMBM01240149_1346
ko:K14233	nmm:NMBM01240149_1193
ko:K14233	nmm:NMBM01240149_1416
ko:K14223	nmm:NMBM01240149_1217
ko:K14223	nmm:NMBM01240149_1218
ko:K14223	nmm:NMBM01240149_1219
ko:K14230	nmm:NMBM01240149_0141
ko:K14226	nmm:NMBM01240149_0106
ko:K02075	nmm:NMBM01240149_1508
ko:K00537	nmm:NMBM01240149_0005
ko:K01347	nmm:NMBM01240149_1392
ko:K00785	nmm:NMBM01240149_1165
ko:K01347	nmm:NMBM01240149_0189
ko:K01347	nmm:NMBM01240149_0201
ko:K01156	nmm:NMBM01240149_0779
ko:K09810	nmm:NMBM01240149_0940
ko:K03559	nmm:NMBM01240149_0460
ko:K03417	nmm:NMBM01240149_1659
ko:K16868	nmm:NMBM01240149_0560
ko:K07215	nmm:NMBM01240149_0515
ko:K00956	nmm:NMBM01240149_0976
ko:K01834	nmm:NMBM01240149_0575
ko:K02030	nmm:NMBM01240149_0566
ko:K17103	nmm:NMBM01240149_0836
ko:K02028	nmm:NMBM01240149_1396
ko:K01897	nmm:NMBM01240149_0626
ko:K00951	nmm:NMBM01240149_0453
ko:K01533	nmm:NMBM01240149_0908
ko:K01897	nmm:NMBM01240149_0875
ko:K02484	nmm:NMBM01240149_1501
ko:K02029	nmm:NMBM01240149_0659
ko:K02169	nmm:NMBM01240149_1816
ko:K00813	nmm:NMBM01240149_1563
ko:K17686	nmm:NMBM01240149_0829
ko:K03767	nmm:NMBM01240149_0886
ko:K07684	nmm:NMBM01240149_0924
ko:K05540	nmm:NMBM01240149_0743
ko:K06518	nmm:NMBM01240149_0184
ko:K00254	nmm:NMBM01240149_1862
ko:K01658	nmm:NMBM01240149_1122
ko:K11928	nmm:NMBM01240149_1687
ko:K01139	nmm:NMBM01240149_0525
ko:K00018	nmm:NMBM01240149_0027
ko:K01497	nmm:NMBM01240149_0920
ko:K07488	nmm:NMBM01240149_0212
ko:K18139	nmm:NMBM01240149_0473
ko:K03719	nmm:NMBM01240149_1529
ko:K03719	nmm:NMBM01240149_0539
ko:K03772	nmm:NMBM01240149_0614
ko:K00557	nmm:NMBM01240149_0504
ko:K15125	nmm:NMBM01240149_0414
ko:K07090	nmm:NMBM01240149_0835
ko:K00523	nmm:NMBM01240149_0796
ko:K02014	nmm:NMBM01240149_0357
ko:K06910	nmm:NMBM01240149_0639
ko:K15125	nmm:NMBM01240149_1601
ko:K03923	nmm:NMBM01240149_1112
ko:K11073	nmm:NMBM01240149_1628
ko:K07491	nmm:NMBM01240149_1128
ko:K01784	nmm:NMBM01240149_0077
ko:K07318	nmm:NMBM01240149_1873
ko:K21344	nmm:NMBM01240149_1267
ko:K08068	nmm:NMBM01240149_0069
ko:K07645	nmm:NMBM01240149_0395
ko:K00681	nmm:NMBM01240149_1058
ko:K19339	nmm:NMBM01240149_1525
ko:K07171	nmm:NMBM01240149_0144
ko:K22132	nmm:NMBM01240149_0664
ko:K19239	nmm:NMBM01240149_0207
ko:K00526	nmm:NMBM01240149_0863
ko:K18841	nmm:NMBM01240149_1173
ko:K10747	nmm:NMBM01240149_0134
ko:K18893	nmm:NMBM01240149_1823
ko:K03497	nmm:NMBM01240149_0245
ko:K07389	nmm:NMBM01240149_0424
ko:K07467	nmm:NMBM01240149_0668
ko:K03111	nmm:NMBM01240149_0704
ko:K04565	nmm:NMBM01240149_0758
ko:K03496	nmm:NMBM01240149_1893
ko:K07481	nmm:NMBM01240149_0267
ko:K07481	nmm:NMBM01240149_1097
ko:K07481	nmm:NMBM01240149_1060
ko:K07481	nmm:NMBM01240149_1549
ko:K07481	nmm:NMBM01240149_0757
ko:K03526	nmm:NMBM01240149_0843
ko:K07481	nmm:NMBM01240149_2047
ko:K07481	nmm:NMBM01240149_0349
ko:K07481	nmm:NMBM01240149_1087
ko:K07481	nmm:NMBM01240149_0715
ko:K07481	nmm:NMBM01240149_0065
ko:K07481	nmm:NMBM01240149_0126
ko:K07481	nmm:NMBM01240149_0174
ko:K07481	nmm:NMBM01240149_0202
ko:K07481	nmm:NMBM01240149_0215
ko:K00336	nmm:NMBM01240149_1837
ko:K12690	nmm:NMBM01240149_1096
ko:K02663	nmm:NMBM01240149_0380
ko:K02664	nmm:NMBM01240149_0379
ko:K07486	nmm:NMBM01240149_1550
ko:K07486	nmm:NMBM01240149_1689
ko:K18991	nmm:NMBM01240149_0584
ko:K10954	nmm:NMBM01240149_0675
ko:K00335	nmm:NMBM01240149_1839
ko:K06992	nmm:NMBM01240149_1520
ko:K06992	nmm:NMBM01240149_1242
ko:K07172	nmm:NMBM01240149_0145
ko:K00983	nmm:NMBM01240149_0068
ko:K00571	nmm:NMBM01240149_1363
ko:K01710	nmm:NMBM01240149_0062
ko:K07488	nmm:NMBM01240149_1513
ko:K07488	nmm:NMBM01240149_1779
ko:K01710	nmm:NMBM01240149_0078
ko:K19168	nmm:NMBM01240149_1398
ko:K01654	nmm:NMBM01240149_0067
ko:K00020	nmm:NMBM01240149_0596
