ko:K19743	zmc:A265_01223
ko:K09803	zmc:A265_01874
ko:K11739	zmc:A265_01885
ko:K11740	zmc:A265_01886
ko:K01791	zmc:A265_01887
ko:K06213	zmc:A265_00525
ko:K00566	zmc:A265_00526
ko:K00990	zmc:A265_00529
ko:K01868	zmc:A265_00530
ko:K01759	zmc:A265_00533
ko:K01069	zmc:A265_00534
ko:K13588	zmc:A265_00540
ko:K06180	zmc:A265_00542
ko:K03089	zmc:A265_00543
ko:K01738	zmc:A265_00544
ko:K09958	zmc:A265_00548
ko:K02837	zmc:A265_00550
ko:K03149	zmc:A265_00553
ko:K03786	zmc:A265_00554
ko:K02160	zmc:A265_00555
ko:K01961	zmc:A265_00556
ko:K01082	zmc:A265_00557
ko:K03046	zmc:A265_00559
ko:K03043	zmc:A265_00560
ko:K02935	zmc:A265_00561
ko:K02864	zmc:A265_00562
ko:K02863	zmc:A265_00563
ko:K02867	zmc:A265_00564
ko:K02601	zmc:A265_00565
ko:K03073	zmc:A265_00566
ko:K07386	zmc:A265_00568
ko:K03664	zmc:A265_00569
ko:K05788	zmc:A265_01375
ko:K02945	zmc:A265_01377
ko:K00945	zmc:A265_01378
ko:K00800	zmc:A265_01379
ko:K01687	zmc:A265_01383
ko:K06147	zmc:A265_01385
ko:K09799	zmc:A265_01392
ko:K01256	zmc:A265_01394
ko:K08325	zmc:A265_01399
ko:K01755	zmc:A265_01400
ko:K01586	zmc:A265_01402
ko:K00963	zmc:A265_01403
ko:K16074	zmc:A265_01404
ko:K07460	zmc:A265_10004
ko:K07056	zmc:A265_01407
ko:K05807	zmc:A265_01409
ko:K00851	zmc:A265_01410
ko:K03299	zmc:A265_01411
ko:K00135	zmc:A265_01413
ko:K00528	zmc:A265_01414
ko:K14475	zmc:A265_01417
ko:K04754	zmc:A265_01418
ko:K00297	zmc:A265_01420
ko:K00548	zmc:A265_01421
ko:K00548	zmc:A265_01422
ko:K12506	zmc:A265_00203
ko:K05540	zmc:A265_00204
ko:K13598	zmc:A265_00206
ko:K13599	zmc:A265_00207
ko:K04764	zmc:A265_00209
ko:K00799	zmc:A265_00211
ko:K00265	zmc:A265_00212
ko:K00266	zmc:A265_00213
ko:K06153	zmc:A265_00214
ko:K03885	zmc:A265_00217
ko:K06190	zmc:A265_00218
ko:K03449	zmc:A265_00219
ko:K06925	zmc:A265_00225
ko:K03671	zmc:A265_00229
ko:K12573	zmc:A265_00230
ko:K04765	zmc:A265_00231
ko:K06167	zmc:A265_00232
ko:K03424	zmc:A265_00233
ko:K01874	zmc:A265_00234
ko:K02341	zmc:A265_00235
ko:K00943	zmc:A265_00236
ko:K07258	zmc:A265_00237
ko:K03642	zmc:A265_00238
ko:K00694	zmc:A265_00244
ko:K02884	zmc:A265_00247
ko:K00554	zmc:A265_00248
ko:K02860	zmc:A265_00249
ko:K02959	zmc:A265_00250
ko:K03106	zmc:A265_00251
ko:K01778	zmc:A265_00252
ko:K03110	zmc:A265_00254
ko:K01883	zmc:A265_01053
ko:K01251	zmc:A265_01056
ko:K00927	zmc:A265_01059
ko:K00134	zmc:A265_01060
ko:K00615	zmc:A265_01061
ko:K09888	zmc:A265_01064
ko:K03147	zmc:A265_01065
ko:K01126	zmc:A265_01067
ko:K03640	zmc:A265_01068
ko:K03641	zmc:A265_01069
ko:K03560	zmc:A265_01071
ko:K03562	zmc:A265_01072
ko:K07107	zmc:A265_01073
ko:K03551	zmc:A265_01074
ko:K03550	zmc:A265_01077
ko:K01159	zmc:A265_01078
ko:K00873	zmc:A265_01081
ko:K03439	zmc:A265_01083
ko:K00278	zmc:A265_01086
ko:K01990	zmc:A265_01087
ko:K06997	zmc:A265_01088
ko:K01104	zmc:A265_01089
ko:K07126	zmc:A265_01091
ko:K07126	zmc:A265_01092
ko:K07126	zmc:A265_01095
ko:K07126	zmc:A265_01096
ko:K09474	zmc:A265_01100
ko:K02014	zmc:A265_01101
ko:K03596	zmc:A265_01424
ko:K02477	zmc:A265_01427
ko:K01354	zmc:A265_00782
ko:K01644	zmc:A265_00786
ko:K09709	zmc:A265_00787
ko:K07507	zmc:A265_00789
ko:K00003	zmc:A265_00790
ko:K11532	zmc:A265_00791
ko:K11752	zmc:A265_00797
ko:K00793	zmc:A265_00798
ko:K14652	zmc:A265_00799
ko:K00794	zmc:A265_00800
ko:K18587	zmc:A265_00801
ko:K01657	zmc:A265_00804
ko:K03770	zmc:A265_00805
ko:K01803	zmc:A265_00806
ko:K03075	zmc:A265_00807
ko:K01937	zmc:A265_00808
ko:K01881	zmc:A265_00809
ko:K09808	zmc:A265_00810
ko:K09810	zmc:A265_00811
ko:K05800	zmc:A265_00812
ko:K01938	zmc:A265_00814
ko:K03977	zmc:A265_00815
ko:K09795	zmc:A265_00823
ko:K06179	zmc:A265_00828
ko:K00942	zmc:A265_00833
ko:K01476	zmc:A265_00834
ko:K00674	zmc:A265_00835
ko:K01892	zmc:A265_01638
ko:K01507	zmc:A265_01639
ko:K09985	zmc:A265_01641
ko:K01693	zmc:A265_01642
ko:K02501	zmc:A265_01643
ko:K01814	zmc:A265_01644
ko:K02500	zmc:A265_01645
ko:K01523	zmc:A265_01646
ko:K03294	zmc:A265_01648
ko:K01595	zmc:A265_01649
ko:K00930	zmc:A265_01651
ko:K16079	zmc:A265_01654
ko:K00979	zmc:A265_01655
ko:K01627	zmc:A265_01656
ko:K01129	zmc:A265_01659
ko:K01903	zmc:A265_01662
ko:K03521	zmc:A265_01663
ko:K03522	zmc:A265_01664
ko:K01057	zmc:A265_01665
ko:K02014	zmc:A265_01667
ko:K06207	zmc:A265_01669
ko:K01669	zmc:A265_01680
ko:K00045	zmc:A265_01681
ko:K09973	zmc:A265_01684
ko:K01878	zmc:A265_01685
ko:K01879	zmc:A265_01686
ko:K02426	zmc:A265_00258
ko:K03970	zmc:A265_00261
ko:K03969	zmc:A265_00262
ko:K03974	zmc:A265_00264
ko:K04564	zmc:A265_00265
ko:K01633	zmc:A265_00266
ko:K00970	zmc:A265_00268
ko:K02621	zmc:A265_00270
ko:K01923	zmc:A265_00271
ko:K02036	zmc:A265_00272
ko:K02038	zmc:A265_00273
ko:K02037	zmc:A265_00274
ko:K02040	zmc:A265_00275
ko:K03282	zmc:A265_00277
ko:K03744	zmc:A265_00278
ko:K06872	zmc:A265_00279
ko:K01515	zmc:A265_00280
ko:K01940	zmc:A265_00285
ko:K00574	zmc:A265_00287
ko:K06941	zmc:A265_00288
ko:K04069	zmc:A265_00291
ko:K06920	zmc:A265_00294
ko:K04487	zmc:A265_00295
ko:K07018	zmc:A265_00296
ko:K01581	zmc:A265_00297
ko:K00809	zmc:A265_00298
ko:K02066	zmc:A265_00299
ko:K02065	zmc:A265_00300
ko:K02067	zmc:A265_00301
ko:K18480	zmc:A265_00302
ko:K02518	zmc:A265_00303
ko:K06287	zmc:A265_00304
ko:K09862	zmc:A265_10001
ko:K06915	zmc:A265_01106
ko:K07478	zmc:A265_01108
ko:K03313	zmc:A265_01112
ko:K05601	zmc:A265_01113
ko:K00826	zmc:A265_01115
ko:K01664	zmc:A265_01116
ko:K01665	zmc:A265_01117
ko:K15738	zmc:A265_01119
ko:K01704	zmc:A265_01124
ko:K01703	zmc:A265_01125
ko:K01467	zmc:A265_01126
ko:K01012	zmc:A265_01132
ko:K03406	zmc:A265_01138
ko:K03409	zmc:A265_01139
ko:K03407	zmc:A265_01140
ko:K00575	zmc:A265_01141
ko:K03412	zmc:A265_01142
ko:K03411	zmc:A265_01143
ko:K03413	zmc:A265_01144
ko:K03408	zmc:A265_01145
ko:K06168	zmc:A265_01146
ko:K07042	zmc:A265_01148
ko:K03675	zmc:A265_01151
ko:K07126	zmc:A265_01153
ko:K07267	zmc:A265_01154
ko:K01093	zmc:A265_01156
ko:K01714	zmc:A265_00570
ko:K08309	zmc:A265_00571
ko:K04760	zmc:A265_00572
ko:K01876	zmc:A265_00574
ko:K03684	zmc:A265_00575
ko:K01524	zmc:A265_00576
ko:K00937	zmc:A265_00577
ko:K01933	zmc:A265_00580
ko:K11175	zmc:A265_00581
ko:K00215	zmc:A265_00582
ko:K10773	zmc:A265_00583
ko:K03565	zmc:A265_00584
ko:K00666	zmc:A265_00585
ko:K02469	zmc:A265_00595
ko:K04094	zmc:A265_00596
ko:K07088	zmc:A265_00598
ko:K01652	zmc:A265_00599
ko:K15342	zmc:A265_00606
ko:K00052	zmc:A265_00608
ko:K10764	zmc:A265_00609
ko:K03566	zmc:A265_00610
ko:K03584	zmc:A265_00612
ko:K03703	zmc:A265_00613
ko:K02109	zmc:A265_00614
ko:K02109	zmc:A265_00615
ko:K02110	zmc:A265_00616
ko:K02108	zmc:A265_00617
ko:K02116	zmc:A265_00618
ko:K09978	zmc:A265_00619
ko:K03630	zmc:A265_00622
ko:K01756	zmc:A265_00623
ko:K04761	zmc:A265_01430
ko:K03386	zmc:A265_01431
ko:K00640	zmc:A265_01432
ko:K14261	zmc:A265_01435
ko:K06891	zmc:A265_01436
ko:K00790	zmc:A265_01437
ko:K05810	zmc:A265_01439
ko:K00121	zmc:A265_01440
ko:K03060	zmc:A265_01442
ko:K00847	zmc:A265_01443
ko:K03832	zmc:A265_01445
ko:K03561	zmc:A265_01446
ko:K03559	zmc:A265_01447
ko:K03559	zmc:A265_01448
ko:K02970	zmc:A265_01449
ko:K03100	zmc:A265_01452
ko:K00997	zmc:A265_01453
ko:K03474	zmc:A265_01454
ko:K00762	zmc:A265_01455
ko:K05838	zmc:A265_01456
ko:K07157	zmc:A265_01457
ko:K03185	zmc:A265_01458
ko:K03466	zmc:A265_01459
ko:K01142	zmc:A265_01462
ko:K01497	zmc:A265_01463
ko:K01736	zmc:A265_01468
ko:K00208	zmc:A265_01469
ko:K07058	zmc:A265_01470
ko:K01465	zmc:A265_01472
ko:K06980	zmc:A265_01473
ko:K01939	zmc:A265_01474
ko:K02502	zmc:A265_01475
ko:K00058	zmc:A265_01476
ko:K00831	zmc:A265_01477
ko:K01424	zmc:A265_01478
ko:K09758	zmc:A265_01479
ko:K01568	zmc:A265_01761
ko:K05366	zmc:A265_00773
ko:K18928	zmc:A265_01185
ko:K18929	zmc:A265_01186
ko:K16898	zmc:A265_00228
ko:K03976	zmc:A265_01105
ko:K10026	zmc:A265_00051
ko:K03526	zmc:A265_01057
ko:K03496	zmc:A265_00923
ko:K03496	zmc:A265_01778
ko:K07473	zmc:A265_01800
ko:K03496	zmc:A265_01802
ko:K07473	zmc:A265_01820
ko:K03496	zmc:A265_01854
ko:K03496	zmc:A265_01868
ko:K03496	zmc:A265_01219
ko:K03497	zmc:A265_01220
ko:K03111	zmc:A265_01612
ko:K16899	zmc:A265_00227
ko:K00611	zmc:A265_00855
ko:K16238	zmc:A265_01746
ko:K02169	zmc:A265_01255
ko:K01935	zmc:A265_01255
ko:K19129	zmc:A265_00602
ko:K00354	zmc:A265_01763
ko:K19127	zmc:A265_00604
ko:K19157	zmc:A265_01821
ko:K19157	zmc:A265_01801
ko:K13581	zmc:A265_00312
ko:K07012	zmc:A265_00605
ko:K19130	zmc:A265_00601
ko:K19128	zmc:A265_00603
ko:K00798	zmc:A265_01650
ko:K04771	zmc:A265_01006
ko:K01992	zmc:A265_00499
ko:K11645	zmc:A265_01058
ko:K03722	zmc:A265_00418
ko:K19302	zmc:A265_00760
ko:K13854	zmc:A265_00897
ko:K19577	zmc:A265_01678
ko:K15856	zmc:A265_00102
ko:K00992	zmc:A265_00226
ko:K20459	zmc:A265_00290
ko:K08744	zmc:A265_01130
ko:K19813	zmc:A265_00058
ko:K00118	zmc:A265_00597
ko:K19802	zmc:A265_00107
ko:K21679	zmc:A265_00437
ko:K21677	zmc:A265_00435
ko:K21636	zmc:A265_00293
ko:K20542	zmc:A265_00240
ko:K20543	zmc:A265_00241
ko:K07126	zmc:A265_01097
ko:K14232	zmc:A265_01274
ko:K01980	zmc:A265_01320
ko:K01980	zmc:A265_01577
ko:K21053	zmc:A265_00343
ko:K00821	zmc:A265_00856
ko:K21029	zmc:A265_00141
ko:K08968	zmc:A265_00766
ko:K00526	zmc:A265_00824
ko:K00525	zmc:A265_00283
ko:K06909	zmc:A265_00882
ko:K00287	zmc:A265_00934
ko:K01520	zmc:A265_00142
ko:K06223	zmc:A265_01808
ko:K06905	zmc:A265_01826
ko:K06906	zmc:A265_01827
ko:K06908	zmc:A265_01830
ko:K06907	zmc:A265_01831
ko:K06903	zmc:A265_01832
ko:K03553	zmc:A265_00166
ko:K06217	zmc:A265_01147
ko:K06908	zmc:A265_01152
ko:K02314	zmc:A265_00441
ko:K03676	zmc:A265_00539
ko:K00560	zmc:A265_01412
ko:K07313	zmc:A265_01423
ko:K00857	zmc:A265_00718
ko:K02316	zmc:A265_01538
ko:K09882	zmc:A265_01610
ko:K00091	zmc:A265_00439
ko:K02335	zmc:A265_01014
ko:K09806	zmc:A265_00045
ko:K02014	zmc:A265_00049
ko:K02014	zmc:A265_01214
ko:K02483	zmc:A265_00987
ko:K22044	zmc:A265_00021
ko:K21470	zmc:A265_01405
ko:K21613	zmc:A265_00941
ko:K00344	zmc:A265_01210
ko:K21929	zmc:A265_01512
ko:K21929	zmc:A265_00216
ko:K21929	zmc:A265_00149
ko:K03595	zmc:A265_01742
ko:K08994	zmc:A265_00310
ko:K11991	zmc:A265_00954
ko:K11206	zmc:A265_01691
