ko:K22617	pfx:A7318_06110
ko:K00537	pfx:A7318_15655
ko:K03668	pfx:A7318_15665
ko:K03778	pfx:A7318_15675
ko:K07678	pfx:A7318_15680
ko:K19610	pfx:A7318_15685
ko:K19609	pfx:A7318_15690
ko:K09928	pfx:A7318_15695
ko:K02238	pfx:A7318_15700
ko:K03561	pfx:A7318_15705
ko:K03559	pfx:A7318_15710
ko:K00912	pfx:A7318_15715
ko:K09791	pfx:A7318_15720
ko:K00979	pfx:A7318_15725
ko:K01104	pfx:A7318_15730
ko:K00075	pfx:A7318_15735
ko:K19416	pfx:A7318_15740
ko:K14744	pfx:A7318_20010
ko:K01185	pfx:A7318_20015
ko:K14059	pfx:A7318_20120
ko:K01692	pfx:A7318_20135
ko:K00655	pfx:A7318_20140
ko:K03284	pfx:A7318_20145
ko:K01782	pfx:A7318_20155
ko:K00626	pfx:A7318_20160
ko:K06940	pfx:A7318_20200
ko:K08191	pfx:A7318_24430
ko:K00457	pfx:A7318_24435
ko:K00014	pfx:A7318_24445
ko:K03786	pfx:A7318_24450
ko:K03088	pfx:A7318_24455
ko:K07165	pfx:A7318_24460
ko:K01866	pfx:A7318_24470
ko:K09001	pfx:A7318_24480
ko:K15724	pfx:A7318_24485
ko:K00145	pfx:A7318_24490
ko:K08973	pfx:A7318_24495
ko:K00459	pfx:A7318_24500
ko:K07124	pfx:A7318_24510
ko:K02503	pfx:A7318_24515
ko:K06134	pfx:A7318_24520
ko:K07397	pfx:A7318_24525
ko:K10914	pfx:A7318_24530
ko:K01609	pfx:A7318_24540
ko:K00766	pfx:A7318_24545
ko:K01658	pfx:A7318_24550
ko:K01657	pfx:A7318_24555
ko:K01091	pfx:A7318_24560
ko:K01783	pfx:A7318_24565
ko:K19954	pfx:A7318_24570
ko:K02053	pfx:A7318_24575
ko:K02054	pfx:A7318_24580
ko:K02055	pfx:A7318_24585
ko:K02052	pfx:A7318_24590
ko:K05801	pfx:A7318_24610
ko:K00992	pfx:A7318_24615
ko:K07102	pfx:A7318_24620
ko:K04744	pfx:A7318_24625
ko:K03771	pfx:A7318_24630
ko:K00097	pfx:A7318_24635
ko:K02528	pfx:A7318_24640
ko:K06195	pfx:A7318_24645
ko:K01525	pfx:A7318_24650
ko:K02439	pfx:A7318_24655
ko:K07180	pfx:A7318_24660
ko:K09786	pfx:A7318_24665
ko:K00974	pfx:A7318_24675
ko:K00950	pfx:A7318_24680
ko:K01633	pfx:A7318_24685
ko:K08591	pfx:A7318_24690
ko:K01995	pfx:A7318_02270
ko:K01998	pfx:A7318_02275
ko:K01997	pfx:A7318_02280
ko:K01999	pfx:A7318_02285
ko:K00128	pfx:A7318_02295
ko:K00763	pfx:A7318_02305
ko:K01916	pfx:A7318_02310
ko:K02314	pfx:A7318_02360
ko:K02939	pfx:A7318_02365
ko:K02963	pfx:A7318_02375
ko:K02990	pfx:A7318_02380
ko:K03218	pfx:A7318_02385
ko:K12573	pfx:A7318_02390
ko:K02012	pfx:A7318_02405
ko:K02011	pfx:A7318_02410
ko:K01939	pfx:A7318_02420
ko:K02502	pfx:A7318_02425
ko:K04087	pfx:A7318_02430
ko:K04088	pfx:A7318_02435
ko:K03665	pfx:A7318_02440
ko:K03666	pfx:A7318_02445
ko:K00791	pfx:A7318_02450
ko:K03572	pfx:A7318_02455
ko:K01448	pfx:A7318_02460
ko:K06925	pfx:A7318_02465
ko:K18979	pfx:A7318_02475
ko:K13288	pfx:A7318_02485
ko:K06949	pfx:A7318_02490
ko:K02557	pfx:A7318_02495
ko:K02556	pfx:A7318_02500
ko:K01011	pfx:A7318_02510
ko:K01613	pfx:A7318_02515
ko:K01079	pfx:A7318_02520
ko:K09857	pfx:A7318_02530
ko:K02621	pfx:A7318_02535
ko:K09902	pfx:A7318_06740
ko:K09160	pfx:A7318_06755
ko:K01354	pfx:A7318_06800
ko:K07160	pfx:A7318_06825
ko:K09989	pfx:A7318_06845
ko:K01738	pfx:A7318_06860
ko:K01681	pfx:A7318_06870
ko:K06968	pfx:A7318_06875
ko:K04085	pfx:A7318_06880
ko:K03327	pfx:A7318_06885
ko:K03473	pfx:A7318_06890
ko:K06147	pfx:A7318_06895
ko:K08309	pfx:A7318_06900
ko:K15738	pfx:A7318_06905
ko:K06149	pfx:A7318_06910
ko:K07659	pfx:A7318_00570
ko:K07638	pfx:A7318_00575
ko:K05844	pfx:A7318_00580
ko:K04762	pfx:A7318_00595
ko:K19803	pfx:A7318_00600
ko:K04083	pfx:A7318_00605
ko:K01610	pfx:A7318_00610
ko:K03654	pfx:A7318_00625
ko:K07107	pfx:A7318_00630
ko:K02379	pfx:A7318_00645
ko:K20881	pfx:A7318_00660
ko:K08312	pfx:A7318_00665
ko:K01082	pfx:A7318_00670
ko:K10126	pfx:A7318_00680
ko:K10125	pfx:A7318_00685
ko:K00067	pfx:A7318_00690
ko:K01790	pfx:A7318_00695
ko:K00973	pfx:A7318_00700
ko:K01710	pfx:A7318_00705
ko:K10536	pfx:A7318_00715
ko:K02014	pfx:A7318_00725
ko:K01821	pfx:A7318_00735
ko:K01784	pfx:A7318_00745
ko:K21006	pfx:A7318_00750
ko:K21007	pfx:A7318_00755
ko:K21008	pfx:A7318_00760
ko:K21009	pfx:A7318_00765
ko:K21010	pfx:A7318_00770
ko:K21011	pfx:A7318_00775
ko:K21012	pfx:A7318_00780
ko:K00694	pfx:A7318_00805
ko:K20541	pfx:A7318_00810
ko:K20542	pfx:A7318_00815
ko:K20543	pfx:A7318_00820
ko:K19294	pfx:A7318_00835
ko:K19295	pfx:A7318_00840
ko:K01874	pfx:A7318_05070
ko:K03593	pfx:A7318_05075
ko:K05524	pfx:A7318_05080
ko:K03555	pfx:A7318_05085
ko:K06903	pfx:A7318_05110
ko:K06907	pfx:A7318_05135
ko:K06908	pfx:A7318_05140
ko:K06906	pfx:A7318_05155
ko:K06905	pfx:A7318_05165
ko:K03791	pfx:A7318_05170
ko:K03743	pfx:A7318_05180
ko:K03553	pfx:A7318_05185
ko:K03565	pfx:A7318_05190
ko:K06966	pfx:A7318_05195
ko:K05812	pfx:A7318_05205
ko:K00901	pfx:A7318_05215
ko:K00528	pfx:A7318_05225
ko:K06182	pfx:A7318_05240
ko:K03827	pfx:A7318_05245
ko:K14441	pfx:A7318_05250
ko:K03549	pfx:A7318_05255
ko:K00316	pfx:A7318_05275
ko:K00137	pfx:A7318_05280
ko:K02053	pfx:A7318_05285
ko:K02054	pfx:A7318_05290
ko:K02052	pfx:A7318_05295
ko:K02055	pfx:A7318_05300
ko:K00137	pfx:A7318_05305
ko:K13487	pfx:A7318_05320
ko:K13488	pfx:A7318_05325
ko:K13486	pfx:A7318_05330
ko:K13489	pfx:A7318_05335
ko:K13490	pfx:A7318_05340
ko:K13491	pfx:A7318_05345
ko:K11444	pfx:A7318_05350
ko:K01028	pfx:A7318_09600
ko:K17737	pfx:A7318_09605
ko:K03169	pfx:A7318_09625
ko:K00108	pfx:A7318_09635
ko:K01915	pfx:A7318_09655
ko:K01531	pfx:A7318_09735
ko:K07507	pfx:A7318_09740
ko:K07690	pfx:A7318_09745
ko:K07679	pfx:A7318_09750
ko:K06222	pfx:A7318_09760
ko:K15866	pfx:A7318_09770
ko:K12253	pfx:A7318_09785
ko:K00355	pfx:A7318_09790
ko:K01626	pfx:A7318_09795
ko:K07689	pfx:A7318_09820
ko:K03703	pfx:A7318_09825
ko:K00995	pfx:A7318_09830
ko:K04758	pfx:A7318_09840
ko:K04759	pfx:A7318_09845
ko:K07782	pfx:A7318_09860
ko:K01118	pfx:A7318_14085
ko:K01356	pfx:A7318_14105
ko:K14161	pfx:A7318_14115
ko:K14162	pfx:A7318_14120
ko:K03701	pfx:A7318_14130
ko:K00615	pfx:A7318_14135
ko:K09794	pfx:A7318_14140
ko:K02035	pfx:A7318_14170
ko:K02033	pfx:A7318_14175
ko:K02034	pfx:A7318_14180
ko:K02031	pfx:A7318_14185
ko:K02032	pfx:A7318_14185
ko:K00819	pfx:A7318_14200
ko:K01681	pfx:A7318_14205
ko:K02030	pfx:A7318_14210
ko:K03574	pfx:A7318_14215
ko:K01166	pfx:A7318_14225
ko:K01425	pfx:A7318_14240
ko:K02028	pfx:A7318_14255
ko:K02029	pfx:A7318_14260
ko:K02030	pfx:A7318_14265
ko:K13747	pfx:A7318_14280
ko:K02055	pfx:A7318_14295
ko:K02053	pfx:A7318_14300
ko:K02053	pfx:A7318_14305
ko:K02052	pfx:A7318_14310
ko:K03651	pfx:A7318_14315
ko:K00549	pfx:A7318_14340
ko:K00799	pfx:A7318_14355
ko:K03710	pfx:A7318_14360
ko:K07001	pfx:A7318_18580
ko:K02517	pfx:A7318_18585
ko:K03610	pfx:A7318_18590
ko:K03609	pfx:A7318_18595
ko:K03608	pfx:A7318_18600
ko:K06177	pfx:A7318_18605
ko:K01267	pfx:A7318_18610
ko:K05375	pfx:A7318_18620
ko:K00836	pfx:A7318_18625
ko:K04084	pfx:A7318_18645
ko:K03805	pfx:A7318_18655
ko:K03088	pfx:A7318_18670
ko:K13774	pfx:A7318_18690
ko:K13778	pfx:A7318_18695
ko:K11731	pfx:A7318_18700
ko:K13779	pfx:A7318_18705
ko:K13777	pfx:A7318_18710
ko:K09913	pfx:A7318_18720
ko:K07140	pfx:A7318_18725
ko:K03415	pfx:A7318_18730
ko:K03408	pfx:A7318_18760
ko:K03408	pfx:A7318_18765
ko:K03496	pfx:A7318_18770
ko:K02557	pfx:A7318_18775
ko:K02556	pfx:A7318_18780
ko:K03412	pfx:A7318_18785
ko:K03407	pfx:A7318_18790
ko:K03414	pfx:A7318_18795
ko:K03413	pfx:A7318_18800
ko:K02405	pfx:A7318_18805
ko:K04562	pfx:A7318_18810
ko:K02404	pfx:A7318_18815
ko:K02400	pfx:A7318_18820
ko:K03704	pfx:A7318_18825
ko:K03704	pfx:A7318_18830
ko:K02401	pfx:A7318_18840
ko:K02421	pfx:A7318_18845
ko:K03177	pfx:A7318_23005
ko:K02834	pfx:A7318_23010
ko:K02519	pfx:A7318_23015
ko:K02600	pfx:A7318_23020
ko:K09748	pfx:A7318_23025
ko:K01803	pfx:A7318_23040
ko:K03431	pfx:A7318_23045
ko:K00796	pfx:A7318_23050
ko:K03798	pfx:A7318_23055
ko:K02427	pfx:A7318_23060
ko:K07574	pfx:A7318_23065
ko:K03624	pfx:A7318_23075
ko:K01955	pfx:A7318_23080
ko:K01956	pfx:A7318_23085
ko:K00215	pfx:A7318_23090
ko:K03686	pfx:A7318_23095
ko:K04043	pfx:A7318_23100
ko:K03687	pfx:A7318_23105
ko:K03631	pfx:A7318_23110
ko:K03711	pfx:A7318_23115
ko:K06186	pfx:A7318_23120
ko:K09801	pfx:A7318_23125
ko:K03664	pfx:A7318_23135
ko:K05799	pfx:A7318_23140
ko:K03303	pfx:A7318_23145
ko:K18930	pfx:A7318_23150
ko:K01153	pfx:A7318_23215
ko:K03427	pfx:A7318_23220
ko:K01154	pfx:A7318_23225
ko:K00262	pfx:A7318_23285
ko:K03273	pfx:A7318_27435
ko:K01879	pfx:A7318_27440
ko:K01878	pfx:A7318_27445
ko:K01246	pfx:A7318_27450
ko:K02517	pfx:A7318_27455
ko:K03499	pfx:A7318_27465
ko:K03500	pfx:A7318_27470
ko:K00604	pfx:A7318_27475
ko:K01462	pfx:A7318_27480
ko:K04096	pfx:A7318_27490
ko:K07566	pfx:A7318_27495
ko:K00228	pfx:A7318_27505
ko:K00014	pfx:A7318_27510
ko:K03321	pfx:A7318_27515
ko:K02002	pfx:A7318_27520
ko:K01133	pfx:A7318_27525
ko:K10253	pfx:A7318_27535
ko:K01825	pfx:A7318_06920
ko:K00632	pfx:A7318_06925
ko:K03168	pfx:A7318_06935
ko:K13053	pfx:A7318_06950
ko:K01356	pfx:A7318_06955
ko:K01207	pfx:A7318_06965
ko:K03723	pfx:A7318_06980
ko:K00134	pfx:A7318_06985
ko:K00322	pfx:A7318_06995
ko:K01126	pfx:A7318_07000
ko:K09808	pfx:A7318_07010
ko:K09810	pfx:A7318_07015
ko:K02342	pfx:A7318_11275
ko:K03469	pfx:A7318_11280
ko:K01069	pfx:A7318_11290
ko:K08307	pfx:A7318_11295
ko:K13893	pfx:A7318_11300
ko:K13893	pfx:A7318_11305
ko:K13894	pfx:A7318_11310
ko:K13895	pfx:A7318_11315
ko:K13896	pfx:A7318_11320
ko:K03769	pfx:A7318_11325
ko:K13893	pfx:A7318_11330
ko:K13894	pfx:A7318_11335
ko:K13895	pfx:A7318_11340
ko:K13896	pfx:A7318_11345
ko:K00019	pfx:A7318_11360
ko:K01907	pfx:A7318_11365
ko:K03769	pfx:A7318_11375
ko:K00874	pfx:A7318_11380
ko:K02028	pfx:A7318_11400
ko:K02029	pfx:A7318_11405
ko:K02029	pfx:A7318_11410
ko:K02030	pfx:A7318_11415
ko:K04774	pfx:A7318_11445
ko:K03088	pfx:A7318_11470
ko:K16165	pfx:A7318_11500
ko:K07120	pfx:A7318_11505
ko:K02014	pfx:A7318_11520
ko:K02014	pfx:A7318_11540
ko:K02002	pfx:A7318_11545
ko:K06952	pfx:A7318_15765
ko:K06919	pfx:A7318_15820
ko:K06903	pfx:A7318_15895
ko:K06907	pfx:A7318_15920
ko:K06908	pfx:A7318_15925
ko:K06906	pfx:A7318_15940
ko:K06905	pfx:A7318_15950
ko:K03791	pfx:A7318_15955
ko:K06223	pfx:A7318_15965
ko:K03503	pfx:A7318_15975
ko:K03502	pfx:A7318_15980
ko:K03522	pfx:A7318_20230
ko:K03521	pfx:A7318_20235
ko:K00311	pfx:A7318_20240
ko:K13979	pfx:A7318_20255
ko:K10538	pfx:A7318_20265
ko:K10539	pfx:A7318_20270
ko:K10537	pfx:A7318_20275
ko:K03710	pfx:A7318_20320
ko:K09986	pfx:A7318_20325
ko:K03639	pfx:A7318_20335
ko:K03424	pfx:A7318_20345
ko:K02341	pfx:A7318_20350
ko:K00943	pfx:A7318_20355
ko:K07082	pfx:A7318_20360
ko:K02619	pfx:A7318_20365
ko:K09458	pfx:A7318_20370
ko:K02078	pfx:A7318_20375
ko:K00059	pfx:A7318_20380
ko:K00645	pfx:A7318_20385
ko:K03621	pfx:A7318_20390
ko:K02911	pfx:A7318_20395
ko:K07040	pfx:A7318_20400
ko:K04773	pfx:A7318_20410
ko:K01091	pfx:A7318_20415
ko:K06179	pfx:A7318_20420
ko:K08300	pfx:A7318_20425
ko:K07141	pfx:A7318_20430
ko:K07402	pfx:A7318_20435
ko:K11103	pfx:A7318_20440
ko:K07637	pfx:A7318_20450
ko:K07660	pfx:A7318_20455
ko:K02362	pfx:A7318_20465
ko:K07639	pfx:A7318_20470
ko:K07661	pfx:A7318_20475
ko:K00525	pfx:A7318_20480
ko:K01409	pfx:A7318_24695
ko:K02316	pfx:A7318_24705
ko:K03086	pfx:A7318_24710
ko:K06991	pfx:A7318_24725
ko:K00466	pfx:A7318_24740
ko:K06136	pfx:A7318_24755
ko:K06137	pfx:A7318_24760
ko:K06138	pfx:A7318_24765
ko:K06139	pfx:A7318_24770
ko:K00821	pfx:A7318_24775
ko:K01935	pfx:A7318_24810
ko:K02169	pfx:A7318_24815
ko:K02170	pfx:A7318_24820
ko:K00652	pfx:A7318_24825
ko:K01012	pfx:A7318_24830
ko:K02019	pfx:A7318_24840
ko:K07093	pfx:A7318_24845
ko:K05786	pfx:A7318_24855
ko:K01638	pfx:A7318_24865
ko:K07182	pfx:A7318_24875
ko:K02342	pfx:A7318_24880
ko:K03088	pfx:A7318_24885
ko:K07165	pfx:A7318_24890
ko:K02014	pfx:A7318_24895
ko:K06143	pfx:A7318_24910
ko:K07641	pfx:A7318_24915
ko:K07663	pfx:A7318_24920
ko:K03088	pfx:A7318_24940
ko:K00148	pfx:A7318_24955
ko:K01433	pfx:A7318_24960
ko:K00883	pfx:A7318_27540
ko:K01631	pfx:A7318_27545
ko:K01684	pfx:A7318_27550
ko:K08194	pfx:A7318_27555
ko:K01695	pfx:A7318_27565
ko:K01696	pfx:A7318_27570
ko:K09165	pfx:A7318_27585
ko:K04063	pfx:A7318_27600
ko:K01091	pfx:A7318_27620
ko:K01414	pfx:A7318_27630
ko:K07070	pfx:A7318_27635
ko:K06152	pfx:A7318_27645
ko:K06151	pfx:A7318_27650
ko:K01673	pfx:A7318_27665
ko:K02275	pfx:A7318_27680
ko:K02274	pfx:A7318_27685
ko:K02258	pfx:A7318_27690
ko:K02276	pfx:A7318_27695
ko:K02622	pfx:A7318_02545
ko:K07000	pfx:A7318_02550
ko:K03651	pfx:A7318_02555
ko:K09920	pfx:A7318_02560
ko:K01515	pfx:A7318_02565
ko:K03147	pfx:A7318_02580
ko:K12340	pfx:A7318_02585
ko:K02527	pfx:A7318_02590
ko:K03297	pfx:A7318_02600
ko:K01784	pfx:A7318_02620
ko:K03272	pfx:A7318_02625
ko:K11085	pfx:A7318_02630
ko:K12988	pfx:A7318_02640
ko:K00612	pfx:A7318_02660
ko:K02014	pfx:A7318_02670
ko:K03775	pfx:A7318_02700
ko:K13788	pfx:A7318_02710
ko:K00955	pfx:A7318_02720
ko:K00957	pfx:A7318_02725
ko:K04691	pfx:A7318_02735
ko:K02014	pfx:A7318_02740
ko:K01772	pfx:A7318_02745
ko:K07071	pfx:A7318_02750
ko:K06955	pfx:A7318_02755
ko:K03424	pfx:A7318_03390
ko:K03435	pfx:A7318_03395
ko:K02768	pfx:A7318_03400
ko:K08483	pfx:A7318_03400
ko:K11183	pfx:A7318_03400
ko:K00882	pfx:A7318_03405
ko:K02769	pfx:A7318_03410
ko:K02770	pfx:A7318_03410
ko:K01113	pfx:A7318_03415
ko:K00380	pfx:A7318_03420
ko:K16090	pfx:A7318_03425
ko:K07336	pfx:A7318_03430
ko:K07126	pfx:A7318_03435
ko:K01581	pfx:A7318_03440
ko:K05847	pfx:A7318_03445
ko:K05846	pfx:A7318_03450
ko:K05845	pfx:A7318_03455
ko:K05846	pfx:A7318_03460
ko:K02837	pfx:A7318_03465
ko:K12372	pfx:A7318_03480
ko:K12371	pfx:A7318_03485
ko:K12370	pfx:A7318_03490
ko:K12369	pfx:A7318_03495
ko:K12368	pfx:A7318_03500
ko:K12368	pfx:A7318_03510
ko:K12368	pfx:A7318_03515
ko:K12368	pfx:A7318_03520
ko:K15011	pfx:A7318_03535
ko:K15012	pfx:A7318_03540
ko:K02471	pfx:A7318_03545
ko:K09908	pfx:A7318_03550
ko:K07018	pfx:A7318_03555
ko:K01867	pfx:A7318_03560
ko:K06916	pfx:A7318_03565
ko:K02871	pfx:A7318_03585
ko:K02996	pfx:A7318_03590
ko:K00411	pfx:A7318_03595
ko:K00412	pfx:A7318_03600
ko:K00413	pfx:A7318_03605
ko:K03599	pfx:A7318_03610
ko:K03600	pfx:A7318_03615
ko:K01707	pfx:A7318_03635
ko:K03535	pfx:A7318_03645
ko:K01708	pfx:A7318_03650
ko:K07088	pfx:A7318_03655
ko:K01607	pfx:A7318_03660
ko:K07301	pfx:A7318_03665
ko:K02042	pfx:A7318_07870
ko:K02043	pfx:A7318_07875
ko:K06166	pfx:A7318_07880
ko:K06165	pfx:A7318_07885
ko:K06164	pfx:A7318_07890
ko:K06163	pfx:A7318_07895
ko:K05781	pfx:A7318_07900
ko:K05780	pfx:A7318_07905
ko:K06162	pfx:A7318_07910
ko:K05774	pfx:A7318_07915
ko:K06167	pfx:A7318_07920
ko:K02048	pfx:A7318_07955
ko:K10716	pfx:A7318_07960
ko:K08717	pfx:A7318_07965
ko:K00873	pfx:A7318_07970
ko:K11529	pfx:A7318_07975
ko:K01608	pfx:A7318_07990
ko:K09017	pfx:A7318_08005
ko:K09781	pfx:A7318_08010
ko:K04754	pfx:A7318_08015
ko:K02002	pfx:A7318_08035
ko:K14393	pfx:A7318_08045
ko:K01647	pfx:A7318_08050
ko:K00241	pfx:A7318_08055
ko:K00242	pfx:A7318_08060
ko:K00239	pfx:A7318_08065
ko:K00240	pfx:A7318_08070
ko:K00164	pfx:A7318_08075
ko:K00658	pfx:A7318_08080
ko:K00382	pfx:A7318_08085
ko:K01903	pfx:A7318_08090
ko:K01902	pfx:A7318_08095
ko:K03311	pfx:A7318_08100
ko:K04079	pfx:A7318_08125
ko:K06911	pfx:A7318_08135
ko:K07397	pfx:A7318_08140
ko:K06996	pfx:A7318_12395
ko:K00286	pfx:A7318_12400
ko:K03762	pfx:A7318_12410
ko:K03406	pfx:A7318_12415
ko:K16088	pfx:A7318_12420
ko:K11737	pfx:A7318_12435
ko:K01214	pfx:A7318_12475
ko:K06044	pfx:A7318_12485
ko:K00705	pfx:A7318_12490
ko:K01236	pfx:A7318_12495
ko:K00703	pfx:A7318_12500
ko:K03406	pfx:A7318_12530
ko:K07116	pfx:A7318_12555
ko:K00558	pfx:A7318_12580
ko:K06952	pfx:A7318_12585
ko:K06919	pfx:A7318_12645
ko:K05685	pfx:A7318_16905
ko:K13888	pfx:A7318_16910
ko:K03088	pfx:A7318_16915
ko:K10531	pfx:A7318_16920
ko:K00826	pfx:A7318_16950
ko:K00382	pfx:A7318_16955
ko:K09699	pfx:A7318_16960
ko:K00167	pfx:A7318_16965
ko:K00166	pfx:A7318_16970
ko:K17218	pfx:A7318_16990
ko:K07090	pfx:A7318_16995
ko:K02529	pfx:A7318_17010
ko:K00854	pfx:A7318_17020
ko:K00008	pfx:A7318_17025
ko:K10440	pfx:A7318_17030
ko:K10441	pfx:A7318_17035
ko:K10439	pfx:A7318_17040
ko:K02004	pfx:A7318_17075
ko:K02003	pfx:A7318_17080
ko:K07264	pfx:A7318_17090
ko:K02056	pfx:A7318_17095
ko:K20330	pfx:A7318_17105
ko:K18139	pfx:A7318_17110
ko:K07006	pfx:A7318_17120
ko:K00799	pfx:A7318_17135
ko:K02069	pfx:A7318_17140
ko:K02068	pfx:A7318_17145
ko:K00020	pfx:A7318_21325
ko:K06995	pfx:A7318_21330
ko:K07130	pfx:A7318_21335
ko:K00453	pfx:A7318_21340
ko:K11734	pfx:A7318_21345
ko:K11311	pfx:A7318_21350
ko:K05600	pfx:A7318_21355
ko:K05599	pfx:A7318_21360
ko:K01856	pfx:A7318_21375
ko:K03464	pfx:A7318_21380
ko:K03381	pfx:A7318_21385
ko:K01556	pfx:A7318_21395
ko:K07090	pfx:A7318_21410
ko:K03923	pfx:A7318_21415
ko:K03321	pfx:A7318_21430
ko:K03299	pfx:A7318_21440
ko:K06015	pfx:A7318_21450
ko:K03406	pfx:A7318_21460
ko:K03773	pfx:A7318_21465
ko:K06193	pfx:A7318_21475
ko:K02523	pfx:A7318_21480
ko:K02888	pfx:A7318_21485
ko:K02899	pfx:A7318_21490
ko:K03979	pfx:A7318_21495
ko:K00931	pfx:A7318_21500
ko:K05805	pfx:A7318_21505
ko:K00432	pfx:A7318_21510
ko:K06203	pfx:A7318_21525
ko:K09948	pfx:A7318_21540
ko:K07589	pfx:A7318_21545
ko:K01495	pfx:A7318_21550
ko:K13938	pfx:A7318_21555
ko:K09932	pfx:A7318_21560
ko:K06205	pfx:A7318_21580
ko:K06518	pfx:A7318_21590
ko:K01754	pfx:A7318_25795
ko:K01807	pfx:A7318_25800
ko:K00058	pfx:A7318_25825
ko:K07394	pfx:A7318_25845
ko:K01434	pfx:A7318_25865
ko:K18991	pfx:A7318_25870
ko:K11074	pfx:A7318_25890
ko:K02029	pfx:A7318_00855
ko:K02029	pfx:A7318_00860
ko:K02030	pfx:A7318_00865
ko:K02028	pfx:A7318_00870
ko:K11735	pfx:A7318_00875
ko:K03575	pfx:A7318_00910
ko:K07289	pfx:A7318_00915
ko:K01693	pfx:A7318_00925
ko:K02501	pfx:A7318_00930
ko:K01814	pfx:A7318_00940
ko:K02500	pfx:A7318_00945
ko:K02030	pfx:A7318_00950
ko:K09798	pfx:A7318_00960
ko:K03797	pfx:A7318_00965
ko:K15633	pfx:A7318_00975
ko:K03676	pfx:A7318_00985
ko:K03071	pfx:A7318_00990
ko:K03216	pfx:A7318_00995
ko:K07712	pfx:A7318_01005
ko:K07708	pfx:A7318_01010
ko:K04093	pfx:A7318_01015
ko:K01915	pfx:A7318_01020
ko:K03151	pfx:A7318_01025
ko:K06207	pfx:A7318_01030
ko:K06940	pfx:A7318_01035
ko:K00688	pfx:A7318_01040
ko:K03841	pfx:A7318_01055
ko:K03098	pfx:A7318_01065
ko:K05603	pfx:A7318_01070
ko:K05836	pfx:A7318_01075
ko:K09975	pfx:A7318_01080
ko:K01712	pfx:A7318_01085
ko:K03457	pfx:A7318_01090
ko:K02002	pfx:A7318_01095
ko:K02001	pfx:A7318_01100
ko:K02000	pfx:A7318_01105
ko:K01745	pfx:A7318_01110
ko:K01745	pfx:A7318_01115
ko:K16234	pfx:A7318_01120
ko:K01468	pfx:A7318_01125
ko:K01479	pfx:A7318_01130
ko:K02836	pfx:A7318_05360
ko:K04567	pfx:A7318_05365
ko:K06889	pfx:A7318_05385
ko:K01595	pfx:A7318_05425
ko:K00939	pfx:A7318_05430
ko:K14742	pfx:A7318_05435
ko:K15984	pfx:A7318_05465
ko:K18301	pfx:A7318_05470
ko:K18302	pfx:A7318_05475
ko:K18303	pfx:A7318_05480
ko:K09914	pfx:A7318_05490
ko:K00631	pfx:A7318_05495
ko:K03704	pfx:A7318_05500
ko:K00563	pfx:A7318_05510
ko:K01439	pfx:A7318_05515
ko:K02426	pfx:A7318_05530
ko:K01766	pfx:A7318_05535
ko:K00674	pfx:A7318_05540
ko:K03316	pfx:A7318_05550
ko:K14267	pfx:A7318_05560
ko:K00990	pfx:A7318_05565
ko:K01265	pfx:A7318_05570
ko:K02967	pfx:A7318_05575
ko:K02357	pfx:A7318_05580
ko:K09903	pfx:A7318_05585
ko:K02838	pfx:A7318_05590
ko:K00806	pfx:A7318_05595
ko:K00981	pfx:A7318_05600
ko:K00099	pfx:A7318_05605
ko:K11749	pfx:A7318_05610
ko:K07277	pfx:A7318_05615
ko:K06142	pfx:A7318_05620
ko:K02536	pfx:A7318_05625
ko:K02002	pfx:A7318_09895
ko:K07303	pfx:A7318_09905
ko:K07302	pfx:A7318_09910
ko:K01895	pfx:A7318_09915
ko:K10022	pfx:A7318_09920
ko:K19746	pfx:A7318_09930
ko:K19744	pfx:A7318_09935
ko:K00140	pfx:A7318_09945
ko:K10544	pfx:A7318_09950
ko:K10545	pfx:A7318_09955
ko:K10543	pfx:A7318_09960
ko:K01805	pfx:A7318_09965
ko:K02529	pfx:A7318_09970
ko:K07267	pfx:A7318_09975
ko:K05358	pfx:A7318_09980
ko:K03406	pfx:A7318_09985
ko:K07095	pfx:A7318_10005
ko:K02014	pfx:A7318_10025
ko:K13877	pfx:A7318_10050
ko:K10537	pfx:A7318_10060
ko:K10539	pfx:A7318_10065
ko:K10538	pfx:A7318_10070
ko:K01785	pfx:A7318_10075
ko:K03649	pfx:A7318_10090
ko:K11209	pfx:A7318_10100
ko:K06153	pfx:A7318_10105
ko:K16137	pfx:A7318_10120
ko:K10680	pfx:A7318_10130
ko:K15977	pfx:A7318_10145
ko:K13979	pfx:A7318_10155
ko:K01778	pfx:A7318_14410
ko:K07315	pfx:A7318_14415
ko:K19707	pfx:A7318_14420
ko:K06872	pfx:A7318_14425
ko:K11903	pfx:A7318_14440
ko:K11910	pfx:A7318_14445
ko:K11901	pfx:A7318_14450
ko:K11900	pfx:A7318_14455
ko:K11905	pfx:A7318_14460
ko:K11896	pfx:A7318_14465
ko:K11895	pfx:A7318_14470
ko:K11907	pfx:A7318_14475
ko:K11914	pfx:A7318_14480
ko:K11906	pfx:A7318_14490
ko:K11893	pfx:A7318_14495
ko:K11892	pfx:A7318_14500
ko:K11891	pfx:A7318_14505
ko:K11915	pfx:A7318_14510
ko:K11916	pfx:A7318_14515
ko:K07044	pfx:A7318_14530
ko:K00496	pfx:A7318_14550
