ko:K19744	pag:PLES_11121
ko:K02437	pag:PLES_56081
ko:K00605	pag:PLES_56091
ko:K02011	pag:PLES_56101
ko:K02012	pag:PLES_56111
ko:K07107	pag:PLES_55791
ko:K02071	pag:PLES_58991
ko:K02072	pag:PLES_59001
ko:K02073	pag:PLES_59011
ko:K01915	pag:PLES_59041
ko:K10126	pag:PLES_59071
ko:K10125	pag:PLES_59081
ko:K00868	pag:PLES_59121
ko:K03455	pag:PLES_59141
ko:K03673	pag:PLES_58851
ko:K03978	pag:PLES_58881
ko:K02335	pag:PLES_58891
ko:K04755	pag:PLES_11651
ko:K04755	pag:PLES_26131
ko:K02204	pag:PLES_58911
ko:K00525	pag:PLES_58931
ko:K09815	pag:PLES_58941
ko:K09823	pag:PLES_58951
ko:K09817	pag:PLES_58961
ko:K09816	pag:PLES_58971
ko:K03088	pag:PLES_52821
ko:K05548	pag:PLES_52861
ko:K04091	pag:PLES_29471
ko:K11912	pag:PLES_00751
ko:K11913	pag:PLES_00821
ko:K11916	pag:PLES_36561
ko:K11917	pag:PLES_29441
ko:K00479	pag:PLES_58061
ko:K01620	pag:PLES_58081
ko:K00600	pag:PLES_58101
ko:K00304	pag:PLES_58121
ko:K00305	pag:PLES_58141
ko:K01433	pag:PLES_58151
ko:K09950	pag:PLES_58181
ko:K02014	pag:PLES_52221
ko:K01585	pag:PLES_52241
ko:K03113	pag:PLES_52251
ko:K04084	pag:PLES_52301
ko:K03786	pag:PLES_52311
ko:K02160	pag:PLES_52321
ko:K02687	pag:PLES_52351
ko:K03557	pag:PLES_52381
ko:K01945	pag:PLES_52401
ko:K03190	pag:PLES_52501
ko:K01430	pag:PLES_52511
ko:K03823	pag:PLES_52521
ko:K01429	pag:PLES_52531
ko:K01428	pag:PLES_52541
ko:K04046	pag:PLES_52591
ko:K04064	pag:PLES_52621
ko:K07290	pag:PLES_52651
ko:K03594	pag:PLES_52661
ko:K07665	pag:PLES_52711
ko:K07644	pag:PLES_52721
ko:K03187	pag:PLES_52771
ko:K03188	pag:PLES_52781
ko:K03189	pag:PLES_52791
ko:K03192	pag:PLES_52801
ko:K03071	pag:PLES_55181
ko:K03676	pag:PLES_55191
ko:K03797	pag:PLES_55241
ko:K09798	pag:PLES_55251
ko:K02500	pag:PLES_55301
ko:K01814	pag:PLES_55311
ko:K02501	pag:PLES_55331
ko:K01693	pag:PLES_55341
ko:K07289	pag:PLES_55371
ko:K03575	pag:PLES_55381
ko:K03543	pag:PLES_55501
ko:K00067	pag:PLES_55541
ko:K00973	pag:PLES_55551
ko:K01790	pag:PLES_55561
ko:K10125	pag:PLES_55571
ko:K10126	pag:PLES_55581
ko:K03758	pag:PLES_55621
ko:K01478	pag:PLES_55631
ko:K00611	pag:PLES_55641
ko:K00926	pag:PLES_55651
ko:K08312	pag:PLES_55691
ko:K02379	pag:PLES_55731
ko:K01589	pag:PLES_58201
ko:K01588	pag:PLES_58211
ko:K01744	pag:PLES_58241
ko:K07112	pag:PLES_58251
ko:K00375	pag:PLES_58261
ko:K03835	pag:PLES_58291
ko:K00036	pag:PLES_58341
ko:K08303	pag:PLES_58351
ko:K03657	pag:PLES_58381
ko:K09691	pag:PLES_58451
ko:K09690	pag:PLES_58461
ko:K07088	pag:PLES_58611
ko:K03300	pag:PLES_58631
ko:K02839	pag:PLES_58651
ko:K11102	pag:PLES_58751
ko:K11066	pag:PLES_58811
ko:K01548	pag:PLES_36921
ko:K01547	pag:PLES_36931
ko:K01546	pag:PLES_36941
ko:K06446	pag:PLES_36951
ko:K03449	pag:PLES_37011
ko:K08296	pag:PLES_37111
ko:K00057	pag:PLES_37131
ko:K02014	pag:PLES_37141
ko:K01716	pag:PLES_37171
ko:K00647	pag:PLES_37181
ko:K00606	pag:PLES_37291
ko:K01738	pag:PLES_42611
ko:K05564	pag:PLES_42631
ko:K05563	pag:PLES_42641
ko:K05562	pag:PLES_42651
ko:K05561	pag:PLES_42661
ko:K05560	pag:PLES_42671
ko:K06077	pag:PLES_42701
ko:K00865	pag:PLES_42711
ko:K02647	pag:PLES_42731
ko:K00275	pag:PLES_42741
ko:K03722	pag:PLES_42781
ko:K08993	pag:PLES_42811
ko:K09858	pag:PLES_42841
ko:K09760	pag:PLES_42921
ko:K01923	pag:PLES_43121
ko:K07287	pag:PLES_43141
ko:K01714	pag:PLES_43151
ko:K03567	pag:PLES_43161
ko:K06861	pag:PLES_48401
ko:K03092	pag:PLES_48411
ko:K05808	pag:PLES_48421
ko:K02806	pag:PLES_48431
ko:K07238	pag:PLES_48461
ko:K04564	pag:PLES_48471
ko:K01679	pag:PLES_48491
ko:K03592	pag:PLES_48511
ko:K09889	pag:PLES_48521
ko:K03568	pag:PLES_48531
ko:K08301	pag:PLES_48561
ko:K06287	pag:PLES_48571
ko:K03571	pag:PLES_48581
ko:K03570	pag:PLES_48591
ko:K03569	pag:PLES_48601
ko:K02435	pag:PLES_48621
ko:K02433	pag:PLES_48631
ko:K02434	pag:PLES_48641
ko:K03642	pag:PLES_48651
ko:K06894	pag:PLES_48691
ko:K02035	pag:PLES_48771
ko:K07160	pag:PLES_48911
ko:K00380	pag:PLES_48931
ko:K07336	pag:PLES_48951
ko:K07032	pag:PLES_48981
ko:K01581	pag:PLES_48991
ko:K03644	pag:PLES_09801
ko:K09890	pag:PLES_09851
ko:K02340	pag:PLES_09861
ko:K03643	pag:PLES_09871
ko:K01869	pag:PLES_09881
ko:K03820	pag:PLES_09911
ko:K06189	pag:PLES_09921
ko:K07042	pag:PLES_09931
ko:K06217	pag:PLES_09941
ko:K01845	pag:PLES_09981
ko:K00788	pag:PLES_09991
ko:K09456	pag:PLES_10031
ko:K01241	pag:PLES_10051
ko:K06181	pag:PLES_10071
ko:K03579	pag:PLES_10141
ko:K07007	pag:PLES_10261
ko:K07690	pag:PLES_10271
ko:K10805	pag:PLES_10341
ko:K03801	pag:PLES_09791
ko:K03530	pag:PLES_10361
ko:K09898	pag:PLES_15971
ko:K01953	pag:PLES_16011
ko:K09915	pag:PLES_16071
ko:K00116	pag:PLES_16081
ko:K09948	pag:PLES_16211
ko:K07589	pag:PLES_16221
ko:K01495	pag:PLES_16231
ko:K09932	pag:PLES_16251
ko:K06205	pag:PLES_16261
ko:K02015	pag:PLES_21501
ko:K02016	pag:PLES_21511
ko:K02013	pag:PLES_21521
ko:K02014	pag:PLES_21531
ko:K05895	pag:PLES_21551
ko:K02188	pag:PLES_21561
ko:K02229	pag:PLES_21581
ko:K06042	pag:PLES_21591
ko:K03088	pag:PLES_21681
ko:K01591	pag:PLES_21881
ko:K03924	pag:PLES_21891
ko:K03424	pag:PLES_21981
ko:K01975	pag:PLES_22031
ko:K04760	pag:PLES_22051
ko:K02040	pag:PLES_27461
ko:K01142	pag:PLES_27491
ko:K07278	pag:PLES_27511
ko:K09800	pag:PLES_27521
ko:K00995	pag:PLES_27531
ko:K00981	pag:PLES_27581
ko:K03310	pag:PLES_27611
ko:K11065	pag:PLES_27621
ko:K00817	pag:PLES_27631
ko:K07799	pag:PLES_27661
ko:K07789	pag:PLES_27681
ko:K07644	pag:PLES_27711
ko:K07665	pag:PLES_27721
ko:K05549	pag:PLES_27771
ko:K05550	pag:PLES_27781
ko:K05784	pag:PLES_27791
ko:K05783	pag:PLES_27801
ko:K03464	pag:PLES_27871
ko:K03381	pag:PLES_27881
ko:K03449	pag:PLES_27951
ko:K06139	pag:PLES_33341
ko:K06137	pag:PLES_33361
ko:K06136	pag:PLES_33371
ko:K03311	pag:PLES_33521
ko:K01118	pag:PLES_33611
ko:K06153	pag:PLES_33641
ko:K03811	pag:PLES_33651
ko:K00852	pag:PLES_33731
ko:K02529	pag:PLES_33741
ko:K10440	pag:PLES_33751
ko:K10441	pag:PLES_33761
ko:K10439	pag:PLES_33771
ko:K04079	pag:PLES_37311
ko:K03311	pag:PLES_37371
ko:K01902	pag:PLES_37381
ko:K01903	pag:PLES_37391
ko:K00382	pag:PLES_37401
ko:K00658	pag:PLES_37411
ko:K00164	pag:PLES_37421
ko:K00240	pag:PLES_37431
ko:K00239	pag:PLES_37441
ko:K00242	pag:PLES_37451
ko:K00241	pag:PLES_37461
ko:K01647	pag:PLES_37471
ko:K06940	pag:PLES_37491
ko:K09922	pag:PLES_37511
ko:K09913	pag:PLES_37541
ko:K01915	pag:PLES_37631
ko:K06968	pag:PLES_37661
ko:K01681	pag:PLES_37671
ko:K03776	pag:PLES_37681
ko:K07020	pag:PLES_37701
ko:K00404	pag:PLES_37711
ko:K00405	pag:PLES_37721
ko:K00406	pag:PLES_37731
ko:K00404	pag:PLES_37741
ko:K00405	pag:PLES_37751
ko:K00406	pag:PLES_37761
ko:K09926	pag:PLES_37781
ko:K09792	pag:PLES_37811
ko:K00759	pag:PLES_37851
ko:K07044	pag:PLES_37861
ko:K03564	pag:PLES_43171
ko:K03548	pag:PLES_43181
ko:K03517	pag:PLES_43211
ko:K01658	pag:PLES_43231
ko:K01766	pag:PLES_13171
ko:K02848	pag:PLES_53981
ko:K02844	pag:PLES_53991
ko:K02841	pag:PLES_54001
ko:K02843	pag:PLES_54011
ko:K00826	pag:PLES_54021
ko:K00982	pag:PLES_54031
ko:K00163	pag:PLES_54041
ko:K00627	pag:PLES_54051
ko:K07115	pag:PLES_54091
ko:K11105	pag:PLES_54111
ko:K05802	pag:PLES_54121
ko:K01740	pag:PLES_54151
ko:K08224	pag:PLES_54201
ko:K01599	pag:PLES_54241
ko:K00266	pag:PLES_54251
ko:K03112	pag:PLES_54271
ko:K01735	pag:PLES_54281
ko:K00891	pag:PLES_54291
ko:K02666	pag:PLES_54301
ko:K02665	pag:PLES_54311
ko:K02662	pag:PLES_54341
ko:K05366	pag:PLES_54351
ko:K02909	pag:PLES_54391
ko:K04066	pag:PLES_54401
ko:K01887	pag:PLES_54411
ko:K01419	pag:PLES_54431
ko:K03667	pag:PLES_54441
ko:K03821	pag:PLES_54461
ko:K03821	pag:PLES_54481
ko:K03183	pag:PLES_54531
ko:K03690	pag:PLES_54541
ko:K03688	pag:PLES_54551
ko:K01496	pag:PLES_54561
ko:K01523	pag:PLES_54571
ko:K09471	pag:PLES_57041
ko:K00822	pag:PLES_57081
ko:K06995	pag:PLES_57091
ko:K02913	pag:PLES_57101
ko:K01874	pag:PLES_15301
ko:K02902	pag:PLES_57111
ko:K04091	pag:PLES_25721
ko:K04091	pag:PLES_25701
ko:K03286	pag:PLES_35521
ko:K01657	pag:PLES_43241
ko:K07347	pag:PLES_43311
ko:K06920	pag:PLES_43381
ko:K10026	pag:PLES_43391
ko:K03640	pag:PLES_43411
ko:K03641	pag:PLES_43421
ko:K03646	pag:PLES_43431
ko:K03560	pag:PLES_43441
ko:K03562	pag:PLES_43451
ko:K03551	pag:PLES_43471
ko:K03550	pag:PLES_43481
ko:K01159	pag:PLES_43491
ko:K01876	pag:PLES_43511
ko:K04047	pag:PLES_43521
ko:K03704	pag:PLES_43531
ko:K03745	pag:PLES_43541
ko:K01881	pag:PLES_43581
ko:K01512	pag:PLES_43601
ko:K07058	pag:PLES_43641
ko:K03809	pag:PLES_43661
ko:K10763	pag:PLES_43681
ko:K09938	pag:PLES_43691
ko:K01933	pag:PLES_43701
ko:K11175	pag:PLES_43711
ko:K03807	pag:PLES_49021
ko:K03806	pag:PLES_49031
ko:K00767	pag:PLES_49051
ko:K02652	pag:PLES_49091
ko:K02653	pag:PLES_49101
ko:K02654	pag:PLES_49111
ko:K00859	pag:PLES_49121
ko:K09862	pag:PLES_49131
ko:K03885	pag:PLES_49211
ko:K06916	pag:PLES_49221
ko:K03695	pag:PLES_49251
ko:K05810	pag:PLES_49261
ko:K06180	pag:PLES_49271
ko:K05807	pag:PLES_49281
ko:K01576	pag:PLES_52871
ko:K11475	pag:PLES_52921
ko:K01750	pag:PLES_52941
ko:K01996	pag:PLES_52951
ko:K01995	pag:PLES_52961
ko:K01998	pag:PLES_52971
ko:K01997	pag:PLES_52981
ko:K01999	pag:PLES_52991
ko:K00763	pag:PLES_53051
ko:K06966	pag:PLES_53091
ko:K03442	pag:PLES_53111
ko:K07507	pag:PLES_50201
ko:K07286	pag:PLES_50251
ko:K00116	pag:PLES_50261
ko:K00760	pag:PLES_50311
ko:K00761	pag:PLES_50321
ko:K07347	pag:PLES_50381
ko:K01772	pag:PLES_50411
ko:K07071	pag:PLES_50421
ko:K06955	pag:PLES_50431
ko:K01669	pag:PLES_50461
ko:K01775	pag:PLES_53161
ko:K02314	pag:PLES_53171
ko:K02939	pag:PLES_53181
ko:K02963	pag:PLES_53201
ko:K02990	pag:PLES_53211
ko:K03218	pag:PLES_53221
ko:K01939	pag:PLES_53241
ko:K02502	pag:PLES_53251
ko:K09937	pag:PLES_53261
ko:K04087	pag:PLES_53271
ko:K04088	pag:PLES_53281
ko:K03665	pag:PLES_53291
ko:K03666	pag:PLES_53301
ko:K00791	pag:PLES_53311
ko:K03572	pag:PLES_53321
ko:K01448	pag:PLES_53331
ko:K06925	pag:PLES_53341
ko:K03185	pag:PLES_56171
ko:K01262	pag:PLES_56181
ko:K09895	pag:PLES_56191
ko:K09888	pag:PLES_56211
ko:K01993	pag:PLES_56261
ko:K02415	pag:PLES_56271
ko:K02445	pag:PLES_56291
ko:K03182	pag:PLES_56311
ko:K03628	pag:PLES_56331
ko:K03671	pag:PLES_56341
ko:K00937	pag:PLES_56361
ko:K01698	pag:PLES_56371
ko:K09768	pag:PLES_56411
ko:K01915	pag:PLES_59181
ko:K01845	pag:PLES_59191
ko:K00059	pag:PLES_59201
ko:K03455	pag:PLES_59251
ko:K03761	pag:PLES_59261
ko:K03832	pag:PLES_59271
ko:K06204	pag:PLES_59321
ko:K01448	pag:PLES_59341
ko:K09007	pag:PLES_59351
ko:K01465	pag:PLES_59371
ko:K07080	pag:PLES_59411
ko:K01776	pag:PLES_50481
ko:K02493	pag:PLES_50501
ko:K02835	pag:PLES_50511
ko:K02492	pag:PLES_50521
ko:K02494	pag:PLES_50541
ko:K00919	pag:PLES_50551
ko:K00948	pag:PLES_50561
ko:K02897	pag:PLES_50571
ko:K01056	pag:PLES_50581
ko:K06942	pag:PLES_50591
ko:K01673	pag:PLES_50621
ko:K03789	pag:PLES_50641
ko:K03808	pag:PLES_50751
ko:K07147	pag:PLES_50771
ko:K00053	pag:PLES_50791
ko:K01653	pag:PLES_50801
ko:K01652	pag:PLES_50811
ko:K05365	pag:PLES_50851
ko:K07028	pag:PLES_50861
ko:K02013	pag:PLES_50911
ko:K02015	pag:PLES_50921
ko:K02016	pag:PLES_50931
ko:K07225	pag:PLES_50941
ko:K06949	pag:PLES_53381
ko:K02557	pag:PLES_53391
ko:K02556	pag:PLES_53401
ko:K01613	pag:PLES_53431
ko:K09857	pag:PLES_53491
ko:K02621	pag:PLES_53501
ko:K06985	pag:PLES_53511
ko:K02622	pag:PLES_53531
ko:K07000	pag:PLES_53541
ko:K03651	pag:PLES_53551
ko:K09920	pag:PLES_53561
ko:K03147	pag:PLES_53591
ko:K02527	pag:PLES_53761
ko:K01953	pag:PLES_53841
ko:K00612	pag:PLES_53941
ko:K07243	pag:PLES_56421
ko:K06158	pag:PLES_56461
ko:K03773	pag:PLES_56481
ko:K07740	pag:PLES_56491
ko:K03611	pag:PLES_56501
ko:K02498	pag:PLES_56511
ko:K02496	pag:PLES_56521
ko:K01719	pag:PLES_56531
ko:K01749	pag:PLES_56541
ko:K08083	pag:PLES_56551
ko:K08082	pag:PLES_56561
ko:K01755	pag:PLES_56571
ko:K03284	pag:PLES_56621
ko:K05851	pag:PLES_56661
ko:K06140	pag:PLES_56681
ko:K06202	pag:PLES_56701
ko:K01586	pag:PLES_56721
ko:K01778	pag:PLES_56731
ko:K09921	pag:PLES_56741
ko:K03733	pag:PLES_56751
ko:K03320	pag:PLES_56821
ko:K04752	pag:PLES_56831
ko:K07391	pag:PLES_56851
ko:K02168	pag:PLES_56861
ko:K03327	pag:PLES_56891
ko:K03656	pag:PLES_56911
ko:K00156	pag:PLES_56921
ko:K03816	pag:PLES_56931
ko:K01775	pag:PLES_56971
ko:K00285	pag:PLES_56991
ko:K09978	pag:PLES_57001
ko:K00574	pag:PLES_59421
ko:K00820	pag:PLES_59451
ko:K04042	pag:PLES_59481
ko:K02114	pag:PLES_59491
ko:K02112	pag:PLES_59501
ko:K02115	pag:PLES_59511
ko:K02111	pag:PLES_59521
ko:K02113	pag:PLES_59531
ko:K02109	pag:PLES_59541
ko:K02110	pag:PLES_59551
ko:K02108	pag:PLES_59561
ko:K03497	pag:PLES_59581
ko:K03501	pag:PLES_59601
ko:K03495	pag:PLES_59611
ko:K03650	pag:PLES_59631
ko:K03217	pag:PLES_59641
ko:K03536	pag:PLES_59651
ko:K07054	pag:PLES_51021
ko:K06901	pag:PLES_51041
ko:K06206	pag:PLES_51061
ko:K06204	pag:PLES_51081
ko:K00950	pag:PLES_51131
ko:K00606	pag:PLES_51141
ko:K01918	pag:PLES_51151
ko:K01579	pag:PLES_51161
ko:K01810	pag:PLES_51171
ko:K01895	pag:PLES_51181
ko:K00962	pag:PLES_51251
ko:K02956	pag:PLES_51261
ko:K03177	pag:PLES_51271
ko:K02834	pag:PLES_51281
ko:K02519	pag:PLES_51291
ko:K02600	pag:PLES_51301
ko:K09748	pag:PLES_51311
ko:K03075	pag:PLES_51321
ko:K01803	pag:PLES_51331
ko:K03431	pag:PLES_51341
ko:K00796	pag:PLES_51351
ko:K03798	pag:PLES_51361
ko:K02427	pag:PLES_51371
ko:K07574	pag:PLES_51381
ko:K03624	pag:PLES_51401
ko:K01955	pag:PLES_51411
ko:K11250	pag:PLES_51421
ko:K01956	pag:PLES_51431
ko:K03686	pag:PLES_51451
ko:K04043	pag:PLES_51461
ko:K03687	pag:PLES_51471
ko:K03631	pag:PLES_51481
ko:K06186	pag:PLES_51501
ko:K09801	pag:PLES_51511
ko:K03664	pag:PLES_51531
ko:K03303	pag:PLES_51551
ko:K00101	pag:PLES_51561
ko:K01611	pag:PLES_51581
ko:K00362	pag:PLES_35481
ko:K00363	pag:PLES_35491
ko:K00372	pag:PLES_35501
ko:K03088	pag:PLES_35531
ko:K02553	pag:PLES_35571
ko:K01007	pag:PLES_35591
ko:K09773	pag:PLES_35601
ko:K03556	pag:PLES_35691
ko:K03556	pag:PLES_35701
ko:K01665	pag:PLES_35711
ko:K00390	pag:PLES_35731
ko:K00077	pag:PLES_35771
ko:K01626	pag:PLES_35791
ko:K07088	pag:PLES_35941
ko:K07395	pag:PLES_35961
ko:K03223	pag:PLES_36041
ko:K03222	pag:PLES_36061
ko:K11103	pag:PLES_41381
ko:K07660	pag:PLES_41421
ko:K02571	pag:PLES_41441
ko:K02572	pag:PLES_41451
ko:K02570	pag:PLES_41461
ko:K02567	pag:PLES_41471
ko:K02568	pag:PLES_41481
ko:K02569	pag:PLES_41491
ko:K01439	pag:PLES_41591
ko:K00563	pag:PLES_41601
ko:K03704	pag:PLES_41621
ko:K07639	pag:PLES_41631
ko:K07661	pag:PLES_41641
ko:K00525	pag:PLES_41651
ko:K00526	pag:PLES_41661
ko:K05523	pag:PLES_41841
ko:K08151	pag:PLES_41881
ko:K01129	pag:PLES_41951
ko:K07490	pag:PLES_47351
ko:K04759	pag:PLES_47361
ko:K04758	pag:PLES_47371
ko:K05596	pag:PLES_47421
ko:K09964	pag:PLES_47431
ko:K04564	pag:PLES_47451
ko:K03744	pag:PLES_47481
ko:K07231	pag:PLES_47491
ko:K07338	pag:PLES_47511
ko:K09947	pag:PLES_47521
ko:K00763	pag:PLES_47551
ko:K11753	pag:PLES_49441
ko:K03119	pag:PLES_10411
ko:K03119	pag:PLES_29941
ko:K02453	pag:PLES_46451
ko:K02460	pag:PLES_46471
ko:K02456	pag:PLES_46481
ko:K02452	pag:PLES_46501
ko:K02457	pag:PLES_46511
ko:K02459	pag:PLES_46521
ko:K03088	pag:PLES_46541
ko:K09472	pag:PLES_07381
ko:K01714	pag:PLES_07391
ko:K07734	pag:PLES_07451
ko:K01652	pag:PLES_07471
ko:K03769	pag:PLES_07511
ko:K02667	pag:PLES_49301
ko:K03153	pag:PLES_49311
ko:K08084	pag:PLES_49321
ko:K02672	pag:PLES_49351
ko:K02674	pag:PLES_49371
ko:K02655	pag:PLES_49391
ko:K03527	pag:PLES_49401
ko:K03774	pag:PLES_49411
ko:K03101	pag:PLES_49421
ko:K01870	pag:PLES_49431
ko:K03980	pag:PLES_49451
ko:K01142	pag:PLES_07551
ko:K06222	pag:PLES_07601
ko:K00375	pag:PLES_07621
ko:K02015	pag:PLES_07661
ko:K02015	pag:PLES_07671
ko:K02016	pag:PLES_07681
ko:K02013	pag:PLES_07691
ko:K07184	pag:PLES_07731
ko:K00627	pag:PLES_07751
ko:K09125	pag:PLES_00121
ko:K02968	pag:PLES_49461
ko:K05805	pag:PLES_49471
ko:K00931	pag:PLES_49481
ko:K03979	pag:PLES_49491
ko:K02899	pag:PLES_49501
ko:K02888	pag:PLES_49511
ko:K02523	pag:PLES_49521
ko:K03773	pag:PLES_49551
ko:K02168	pag:PLES_10431
ko:K02073	pag:PLES_10451
ko:K00425	pag:PLES_10471
ko:K00426	pag:PLES_10481
ko:K03556	pag:PLES_10561
ko:K07175	pag:PLES_10581
ko:K03637	pag:PLES_10591
ko:K03635	pag:PLES_10611
ko:K03638	pag:PLES_10621
ko:K03750	pag:PLES_10631
ko:K08303	pag:PLES_10641
ko:K07004	pag:PLES_10681
ko:K02837	pag:PLES_10741
ko:K03088	pag:PLES_10781
ko:K05846	pag:PLES_10871
ko:K05846	pag:PLES_10891
ko:K07673	pag:PLES_11001
ko:K02575	pag:PLES_11011
ko:K02575	pag:PLES_11021
ko:K06995	pag:PLES_16351
ko:K00263	pag:PLES_16421
ko:K00161	pag:PLES_16431
ko:K00162	pag:PLES_16441
ko:K00627	pag:PLES_16451
ko:K09918	pag:PLES_16481
ko:K03088	pag:PLES_16511
ko:K01993	pag:PLES_16591
ko:K00528	pag:PLES_16641
ko:K07218	pag:PLES_16671
ko:K00376	pag:PLES_16681
ko:K02041	pag:PLES_16761
ko:K02044	pag:PLES_16771
ko:K02042	pag:PLES_16781
ko:K02043	pag:PLES_16791
ko:K06166	pag:PLES_16801
ko:K06165	pag:PLES_16811
ko:K06164	pag:PLES_16821
ko:K06163	pag:PLES_16831
ko:K05781	pag:PLES_16841
ko:K05780	pag:PLES_16851
ko:K06162	pag:PLES_16861
ko:K05774	pag:PLES_16871
ko:K06167	pag:PLES_16881
ko:K02003	pag:PLES_22071
ko:K02356	pag:PLES_22131
ko:K09927	pag:PLES_22201
ko:K01626	pag:PLES_22211
ko:K05592	pag:PLES_22251
ko:K03543	pag:PLES_22291
ko:K03799	pag:PLES_22351
ko:K07305	pag:PLES_22381
ko:K00432	pag:PLES_22391
ko:K06923	pag:PLES_22421
ko:K06445	pag:PLES_22571
ko:K07644	pag:PLES_22621
ko:K04084	pag:PLES_28181
ko:K03805	pag:PLES_28201
ko:K00450	pag:PLES_28261
ko:K03088	pag:PLES_28281
ko:K02014	pag:PLES_28301
ko:K02437	pag:PLES_28481
ko:K00600	pag:PLES_28501
ko:K01752	pag:PLES_28511
ko:K00605	pag:PLES_28521
ko:K04087	pag:PLES_28561
ko:K03790	pag:PLES_33951
ko:K00549	pag:PLES_33961
ko:K09136	pag:PLES_33971
ko:K02230	pag:PLES_34001
ko:K06995	pag:PLES_34061
ko:K03088	pag:PLES_34121
ko:K02014	pag:PLES_34141
ko:K01714	pag:PLES_34361
ko:K02336	pag:PLES_34371
ko:K00330	pag:PLES_34401
ko:K07302	pag:PLES_34421
ko:K07303	pag:PLES_34431
ko:K07023	pag:PLES_34451
ko:K06187	pag:PLES_37941
ko:K09747	pag:PLES_37951
ko:K02343	pag:PLES_37961
ko:K01972	pag:PLES_37991
ko:K03528	pag:PLES_38001
ko:K03529	pag:PLES_38011
ko:K00496	pag:PLES_38031
ko:K07402	pag:PLES_38061
ko:K03825	pag:PLES_38081
ko:K03473	pag:PLES_38101
ko:K09458	pag:PLES_38121
ko:K03088	pag:PLES_38181
ko:K03327	pag:PLES_38201
ko:K03088	pag:PLES_38301
ko:K10001	pag:PLES_38391
ko:K10003	pag:PLES_38401
ko:K10002	pag:PLES_38411
ko:K10004	pag:PLES_38421
ko:K00681	pag:PLES_38431
ko:K10680	pag:PLES_38471
ko:K01754	pag:PLES_38551
ko:K09912	pag:PLES_43791
ko:K03215	pag:PLES_43831
ko:K07678	pag:PLES_43881
ko:K03778	pag:PLES_43891
ko:K07014	pag:PLES_43921
ko:K02346	pag:PLES_43931
ko:K03549	pag:PLES_43991
ko:K06213	pag:PLES_44031
ko:K03563	pag:PLES_44111
ko:K00928	pag:PLES_44121
ko:K01872	pag:PLES_44131
ko:K01620	pag:PLES_44141
ko:K05526	pag:PLES_44151
ko:K01484	pag:PLES_44171
ko:K06447	pag:PLES_44181
ko:K00673	pag:PLES_44191
ko:K00673	pag:PLES_44201
ko:K06987	pag:PLES_44251
ko:K01895	pag:PLES_44291
ko:K04748	pag:PLES_05171
ko:K02164	pag:PLES_05181
ko:K02305	pag:PLES_05201
ko:K04561	pag:PLES_05211
ko:K02448	pag:PLES_05221
ko:K06872	pag:PLES_05341
ko:K03744	pag:PLES_05351
ko:K03611	pag:PLES_05361
ko:K00789	pag:PLES_05441
ko:K00615	pag:PLES_05461
ko:K00927	pag:PLES_05501
ko:K01624	pag:PLES_05531
ko:K07007	pag:PLES_05571
ko:K07043	pag:PLES_05581
ko:K03086	pag:PLES_05731
ko:K02316	pag:PLES_05741
ko:K09117	pag:PLES_05751
ko:K02970	pag:PLES_05761
ko:K01409	pag:PLES_05771
ko:K08591	pag:PLES_05781
ko:K00370	pag:PLES_11031
ko:K00371	pag:PLES_11041
ko:K00373	pag:PLES_11051
ko:K00374	pag:PLES_11061
ko:K03769	pag:PLES_11071
ko:K03639	pag:PLES_11081
ko:K03732	pag:PLES_11131
ko:K06999	pag:PLES_11151
ko:K09969	pag:PLES_11161
ko:K01004	pag:PLES_11171
ko:K07461	pag:PLES_11201
ko:K06899	pag:PLES_11251
ko:K05833	pag:PLES_11361
ko:K05832	pag:PLES_11371
ko:K01989	pag:PLES_11381
ko:K01873	pag:PLES_11401
ko:K02339	pag:PLES_11421
ko:K01255	pag:PLES_11431
ko:K07091	pag:PLES_11461
ko:K07568	pag:PLES_11501
ko:K00773	pag:PLES_11511
ko:K03210	pag:PLES_11521
ko:K03072	pag:PLES_11531
ko:K06199	pag:PLES_47621
ko:K04077	pag:PLES_47641
ko:K04078	pag:PLES_47651
ko:K07113	pag:PLES_47661
ko:K07226	pag:PLES_47671
ko:K00059	pag:PLES_47681
ko:K07443	pag:PLES_47711
ko:K08218	pag:PLES_47721
ko:K03442	pag:PLES_47731
ko:K09767	pag:PLES_47741
ko:K00077	pag:PLES_47761
ko:K00798	pag:PLES_47781
ko:K03070	pag:PLES_47821
ko:K06966	pag:PLES_08561
ko:K08159	pag:PLES_08581
ko:K09930	pag:PLES_08661
ko:K09929	pag:PLES_08671
ko:K09956	pag:PLES_08861
ko:K00059	pag:PLES_08871
ko:K01845	pag:PLES_08881
ko:K07345	pag:PLES_08901
ko:K07347	pag:PLES_08921
ko:K00067	pag:PLES_09071
ko:K07275	pag:PLES_09101
ko:K09950	pag:PLES_09111
ko:K02003	pag:PLES_09131
ko:K05838	pag:PLES_09161
ko:K00074	pag:PLES_14441
ko:K03576	pag:PLES_14471
ko:K00111	pag:PLES_14501
ko:K02444	pag:PLES_14511
ko:K00864	pag:PLES_14521
ko:K02440	pag:PLES_14531
ko:K00864	pag:PLES_14551
ko:K07552	pag:PLES_14601
ko:K00140	pag:PLES_14631
ko:K01908	pag:PLES_14651
ko:K03424	pag:PLES_14691
ko:K03435	pag:PLES_14701
