ko:K18929	cjp:A911_00350
ko:K00407	cjp:A911_07170
ko:K00405	cjp:A911_07175
ko:K00404	cjp:A911_07180
ko:K09792	cjp:A911_07195
ko:K01956	cjp:A911_07200
ko:K09804	cjp:A911_07205
ko:K01939	cjp:A911_07220
ko:K07112	cjp:A911_07225
ko:K13821	cjp:A911_07240
ko:K01008	cjp:A911_07245
ko:K11014	cjp:A911_00370
ko:K11015	cjp:A911_00365
ko:K15913	cjp:A911_05440
ko:K15912	cjp:A911_05425
ko:K14230	cjp:A911_t08380
ko:K14230	cjp:A911_t08406
ko:K15914	cjp:A911_05450
ko:K14228	cjp:A911_t08362
ko:K14233	cjp:A911_t08394
ko:K14233	cjp:A911_t08408
ko:K15910	cjp:A911_05430
ko:K14227	cjp:A911_t08334
ko:K14227	cjp:A911_t08360
ko:K14227	cjp:A911_t08340
ko:K02031	cjp:A911_07605
ko:K14224	cjp:A911_t08336
ko:K14234	cjp:A911_t08342
ko:K14234	cjp:A911_t08348
ko:K14236	cjp:A911_t08344
ko:K14225	cjp:A911_t08346
ko:K14225	cjp:A911_t08364
ko:K14225	cjp:A911_t08388
ko:K14235	cjp:A911_t08350
ko:K14219	cjp:A911_t08352
ko:K14219	cjp:A911_t08376
ko:K14219	cjp:A911_t08398
ko:K14219	cjp:A911_t08400
ko:K14230	cjp:A911_t08354
ko:K14223	cjp:A911_t08356
ko:K14228	cjp:A911_t08396
ko:K14228	cjp:A911_t08390
ko:K14228	cjp:A911_t08366
ko:K14221	cjp:A911_t08368
ko:K14237	cjp:A911_t08370
ko:K14237	cjp:A911_t08412
ko:K14229	cjp:A911_t08374
ko:K14220	cjp:A911_t08378
ko:K14231	cjp:A911_t08382
ko:K14233	cjp:A911_t08384
ko:K14238	cjp:A911_t08386
ko:K14222	cjp:A911_t08392
ko:K14226	cjp:A911_t08402
ko:K14232	cjp:A911_t08404
ko:K14218	cjp:A911_t08410
ko:K14218	cjp:A911_t08332
ko:K14218	cjp:A911_t08338
ko:K14218	cjp:A911_t08358
ko:K13017	cjp:A911_02465
ko:K15899	cjp:A911_06375
ko:K15915	cjp:A911_05445
ko:K11013	cjp:A911_00375
ko:K01959	cjp:A911_05010
ko:K16849	cjp:A911_02355
ko:K02030	cjp:A911_04740
ko:K11782	cjp:A911_06240
ko:K16850	cjp:A911_02360
ko:K15897	cjp:A911_06380
ko:K12574	cjp:A911_08240
ko:K03559	cjp:A911_07845
ko:K03559	cjp:A911_00525
ko:K03559	cjp:A911_00870
ko:K15895	cjp:A911_06285
ko:K15896	cjp:A911_06385
ko:K02003	cjp:A911_05720
ko:K09951	cjp:A911_07325
ko:K17103	cjp:A911_05395
ko:K02028	cjp:A911_04360
ko:K02030	cjp:A911_03585
ko:K02030	cjp:A911_03960
ko:K02028	cjp:A911_02290
ko:K17247	cjp:A911_01835
ko:K17248	cjp:A911_05460
ko:K17249	cjp:A911_05470
ko:K17250	cjp:A911_05465
ko:K17251	cjp:A911_05455
ko:K14224	cjp:A911_t08372
ko:K01664	cjp:A911_04175
ko:K02484	cjp:A911_05930
ko:K02484	cjp:A911_05950
ko:K02484	cjp:A911_06130
ko:K08738	cjp:A911_05585
ko:K02029	cjp:A911_04355
ko:K02029	cjp:A911_04545
ko:K01977	cjp:A911_r08420
ko:K01977	cjp:A911_r08422
ko:K01977	cjp:A911_r08424
ko:K01980	cjp:A911_r08426
ko:K01980	cjp:A911_r08428
ko:K01980	cjp:A911_r08430
ko:K01985	cjp:A911_r08414
ko:K01985	cjp:A911_r08416
ko:K01985	cjp:A911_r08418
ko:K01679	cjp:A911_06625
ko:K00769	cjp:A911_06655
ko:K02428	cjp:A911_06675
ko:K07017	cjp:A911_06685
ko:K01760	cjp:A911_06770
ko:K06603	cjp:A911_02665
ko:K02454	cjp:A911_07085
ko:K03286	cjp:A911_07120
ko:K03406	cjp:A911_07255
ko:K00127	cjp:A911_07270
ko:K00124	cjp:A911_07275
ko:K03635	cjp:A911_07315
ko:K09952	cjp:A911_07335
ko:K03796	cjp:A911_07375
ko:K04652	cjp:A911_03040
ko:K04655	cjp:A911_03055
ko:K07304	cjp:A911_03110
ko:K01507	cjp:A911_03115
ko:K00939	cjp:A911_03120
ko:K01262	cjp:A911_03190
ko:K07792	cjp:A911_03270
ko:K06857	cjp:A911_07405
ko:K03325	cjp:A911_07510
ko:K03406	cjp:A911_07520
ko:K02033	cjp:A911_07615
ko:K02035	cjp:A911_07620
ko:K06013	cjp:A911_03530
ko:K02055	cjp:A911_03550
ko:K02052	cjp:A911_03575
ko:K00674	cjp:A911_07725
ko:K03593	cjp:A911_07730
ko:K02014	cjp:A911_07770
ko:K03469	cjp:A911_07880
ko:K01585	cjp:A911_03700
ko:K02574	cjp:A911_03790
ko:K00974	cjp:A911_03825
ko:K11085	cjp:A911_03895
ko:K00076	cjp:A911_03915
ko:K02067	cjp:A911_07940
ko:K02004	cjp:A911_08005
ko:K02004	cjp:A911_08010
ko:K01082	cjp:A911_08100
ko:K01916	cjp:A911_03930
ko:K00567	cjp:A911_04055
ko:K01885	cjp:A911_04100
ko:K07098	cjp:A911_04105
ko:K03342	cjp:A911_04180
ko:K04763	cjp:A911_04185
ko:K00058	cjp:A911_04305
ko:K10041	cjp:A911_04455
ko:K00575	cjp:A911_04460
ko:K02004	cjp:A911_04550
ko:K03406	cjp:A911_04600
ko:K06346	cjp:A911_04625
ko:K01270	cjp:A911_04730
ko:K02242	cjp:A911_04965
ko:K01092	cjp:A911_00615
ko:K04517	cjp:A911_00625
ko:K09815	cjp:A911_00690
ko:K03406	cjp:A911_00695
ko:K03148	cjp:A911_05060
ko:K01439	cjp:A911_05070
ko:K00088	cjp:A911_05120
ko:K02433	cjp:A911_05125
ko:K01719	cjp:A911_05225
ko:K07457	cjp:A911_05240
ko:K02010	cjp:A911_00835
ko:K03177	cjp:A911_05335
ko:K03406	cjp:A911_05375
ko:K05595	cjp:A911_05380
ko:K07305	cjp:A911_05385
ko:K01784	cjp:A911_05480
ko:K03406	cjp:A911_01265
ko:K00616	cjp:A911_01355
ko:K02843	cjp:A911_05560
ko:K09981	cjp:A911_05640
ko:K00016	cjp:A911_05655
ko:K03768	cjp:A911_05675
ko:K03830	cjp:A911_01420
ko:K02017	cjp:A911_01445
ko:K00652	cjp:A911_01475
ko:K02566	cjp:A911_01520
ko:K09825	cjp:A911_01555
ko:K03386	cjp:A911_01615
ko:K01934	cjp:A911_05860
ko:K02238	cjp:A911_05875
ko:K13640	cjp:A911_05970
ko:K03455	cjp:A911_05975
ko:K01104	cjp:A911_06110
ko:K03498	cjp:A911_06230
ko:K03499	cjp:A911_06235
ko:K01885	cjp:A911_06255
ko:K03711	cjp:A911_01945
ko:K00244	cjp:A911_01990
ko:K00245	cjp:A911_01995
ko:K07126	cjp:A911_02010
ko:K00059	cjp:A911_02120
ko:K08077	cjp:A911_02180
ko:K02342	cjp:A911_02205
ko:K15898	cjp:A911_06405
ko:K01409	cjp:A911_06525
ko:K03406	cjp:A911_00090
ko:K01424	cjp:A911_00140
ko:K17686	cjp:A911_05595
ko:K11928	cjp:A911_07235
ko:K08173	cjp:A911_01640
ko:K05540	cjp:A911_00590
ko:K07318	cjp:A911_01010
ko:K00290	cjp:A911_00830
ko:K01497	cjp:A911_04805
ko:K00254	cjp:A911_03900
ko:K17938	cjp:A911_00880
ko:K05922	cjp:A911_06150
ko:K05927	cjp:A911_06155
ko:K05927	cjp:A911_06805
ko:K07812	cjp:A911_01275
ko:K00104	cjp:A911_05885
ko:K07003	cjp:A911_06670
ko:K03605	cjp:A911_06140
ko:K05366	cjp:A911_02480
ko:K01533	cjp:A911_05625
ko:K18284	cjp:A911_00560
ko:K18429	cjp:A911_06455
ko:K18430	cjp:A911_06450
ko:K18431	cjp:A911_06470
ko:K11784	cjp:A911_02255
ko:K11785	cjp:A911_08065
ko:K18333	cjp:A911_02375
ko:K18285	cjp:A911_06645
ko:K08068	cjp:A911_05535
ko:K02482	cjp:A911_03845
ko:K01174	cjp:A911_04725
ko:K00983	cjp:A911_05540
ko:K04753	cjp:A911_07305
ko:K06148	cjp:A911_05475
ko:K07216	cjp:A911_05940
ko:K02073	cjp:A911_03730
ko:K02073	cjp:A911_03735
ko:K03673	cjp:A911_04190
ko:K02073	cjp:A911_05820
ko:K03743	cjp:A911_05140
ko:K18480	cjp:A911_07945
ko:K00241	cjp:A911_02140
ko:K09809	cjp:A911_06925
ko:K18924	cjp:A911_01495
ko:K18925	cjp:A911_01490
ko:K10747	cjp:A911_08040
ko:K18930	cjp:A911_07625
ko:K09797	cjp:A911_00165
ko:K03496	cjp:A911_00475
ko:K03497	cjp:A911_00480
ko:K03111	cjp:A911_05180
ko:K00662	cjp:A911_06295
ko:K00662	cjp:A911_06305
ko:K18992	cjp:A911_01785
ko:K00335	cjp:A911_07570
ko:K03526	cjp:A911_03340
ko:K07097	cjp:A911_04260
ko:K07452	cjp:A911_00670
ko:K06992	cjp:A911_00275
ko:K15461	cjp:A911_06160
ko:K00557	cjp:A911_04030
ko:K00336	cjp:A911_07565
ko:K03761	cjp:A911_07795
ko:K19147	cjp:A911_00675
ko:K15342	cjp:A911_07330
ko:K01654	cjp:A911_05530
ko:K22468	cjp:A911_02950
ko:K07317	cjp:A911_00150
ko:K04771	cjp:A911_05960
ko:K19210	cjp:A911_01440
ko:K00265	cjp:A911_00035
ko:K03892	cjp:A911_07500
ko:K06867	cjp:A911_06735
ko:K07496	cjp:A911_03650
ko:K00525	cjp:A911_00115
ko:K19416	cjp:A911_01140
ko:K06867	cjp:A911_04045
ko:K07216	cjp:A911_00335
ko:K07216	cjp:A911_00340
ko:K10938	cjp:A911_01395
ko:K19713	cjp:A911_04235
ko:K19713	cjp:A911_04240
ko:K07147	cjp:A911_01840
ko:K09796	cjp:A911_04390
ko:K20810	cjp:A911_00320
ko:K00821	cjp:A911_01095
ko:K02316	cjp:A911_07890
ko:K03553	cjp:A911_08060
ko:K02335	cjp:A911_01635
ko:K02314	cjp:A911_02740
ko:K03465	cjp:A911_00125
ko:K02483	cjp:A911_06125
ko:K02483	cjp:A911_01720
ko:K02483	cjp:A911_05955
ko:K02032	cjp:A911_07600
ko:K02481	cjp:A911_04945
ko:K01139	cjp:A911_06180
ko:K00526	cjp:A911_01115
ko:K10938	cjp:A911_03770
ko:K13695	cjp:A911_07965
ko:K21420	cjp:A911_05000
ko:K01451	cjp:A911_04755
ko:K10026	cjp:A911_00775
ko:K21600	cjp:A911_02490
ko:K21929	cjp:A911_04655
ko:K03741	cjp:A911_07505
ko:K03595	cjp:A911_03220
ko:K14441	cjp:A911_06995
ko:K17758	cjp:A911_00910
ko:K17759	cjp:A911_00910
ko:K22391	cjp:A911_03440
ko:K22424	cjp:A911_06900
ko:K22477	cjp:A911_01085
