ko:K19079	suk:SAA6008_00677
ko:K01546	suk:SAA6008_02116
ko:K07646	suk:SAA6008_02117
ko:K07667	suk:SAA6008_02118
ko:K01929	suk:SAA6008_02120
ko:K01921	suk:SAA6008_02121
ko:K05837	suk:SAA6008_02122
ko:K06131	suk:SAA6008_02126
ko:K06950	suk:SAA6008_02127
ko:K03217	suk:SAA6008_02128
ko:K00788	suk:SAA6008_02129
ko:K00878	suk:SAA6008_02130
ko:K00941	suk:SAA6008_02131
ko:K03707	suk:SAA6008_02132
ko:K02372	suk:SAA6008_02137
ko:K00790	suk:SAA6008_02138
ko:K02114	suk:SAA6008_02140
ko:K02112	suk:SAA6008_02141
ko:K02115	suk:SAA6008_02142
ko:K02111	suk:SAA6008_02143
ko:K02113	suk:SAA6008_02144
ko:K02109	suk:SAA6008_02145
ko:K02110	suk:SAA6008_02146
ko:K02108	suk:SAA6008_02147
ko:K00761	suk:SAA6008_02150
ko:K00600	suk:SAA6008_02151
ko:K07566	suk:SAA6008_02154
ko:K02493	suk:SAA6008_02155
ko:K02835	suk:SAA6008_02156
ko:K02909	suk:SAA6008_02158
ko:K03628	suk:SAA6008_02159
ko:K00790	suk:SAA6008_02162
ko:K02601	suk:SAA6008_00542
ko:K02867	suk:SAA6008_00543
ko:K02863	suk:SAA6008_00544
ko:K02864	suk:SAA6008_00545
ko:K02935	suk:SAA6008_00546
ko:K03043	suk:SAA6008_00548
ko:K03046	suk:SAA6008_00549
ko:K07590	suk:SAA6008_00550
ko:K02950	suk:SAA6008_00551
ko:K02992	suk:SAA6008_00552
ko:K02355	suk:SAA6008_00553
ko:K02358	suk:SAA6008_00554
ko:K05523	suk:SAA6008_00557
ko:K00826	suk:SAA6008_00560
ko:K01091	suk:SAA6008_00562
ko:K15519	suk:SAA6008_00563
ko:K15518	suk:SAA6008_00564
ko:K14194	suk:SAA6008_00570
ko:K14194	suk:SAA6008_00571
ko:K09007	suk:SAA6008_00574
ko:K08094	suk:SAA6008_00579
ko:K03762	suk:SAA6008_00581
ko:K00868	suk:SAA6008_00587
ko:K03648	suk:SAA6008_00588
ko:K00658	suk:SAA6008_01378
ko:K00164	suk:SAA6008_01379
ko:K02563	suk:SAA6008_01386
ko:K03797	suk:SAA6008_01388
ko:K09125	suk:SAA6008_01400
ko:K08170	suk:SAA6008_01404
ko:K01754	suk:SAA6008_01406
ko:K00259	suk:SAA6008_01407
ko:K07444	suk:SAA6008_01412
ko:K05366	suk:SAA6008_01419
ko:K03524	suk:SAA6008_01425
ko:K06973	suk:SAA6008_01429
ko:K01624	suk:SAA6008_02163
ko:K01937	suk:SAA6008_02165
ko:K07173	suk:SAA6008_02173
ko:K00756	suk:SAA6008_02174
ko:K04047	suk:SAA6008_02178
ko:K01809	suk:SAA6008_02182
ko:K02013	suk:SAA6008_02190
ko:K00820	suk:SAA6008_02191
ko:K00009	suk:SAA6008_02195
ko:K03431	suk:SAA6008_02198
ko:K01476	suk:SAA6008_02201
ko:K01462	suk:SAA6008_01170
ko:K00604	suk:SAA6008_01171
ko:K03500	suk:SAA6008_01172
ko:K06941	suk:SAA6008_01173
ko:K06949	suk:SAA6008_01176
ko:K01783	suk:SAA6008_01177
ko:K02902	suk:SAA6008_01179
ko:K03655	suk:SAA6008_01182
ko:K03621	suk:SAA6008_01184
ko:K00645	suk:SAA6008_01185
ko:K02078	suk:SAA6008_01187
ko:K03685	suk:SAA6008_01188
ko:K03529	suk:SAA6008_01189
ko:K03110	suk:SAA6008_01190
ko:K03106	suk:SAA6008_01192
ko:K02959	suk:SAA6008_01193
ko:K02860	suk:SAA6008_01194
ko:K00554	suk:SAA6008_01195
ko:K02884	suk:SAA6008_01196
ko:K14540	suk:SAA6008_01198
ko:K03470	suk:SAA6008_01199
ko:K01903	suk:SAA6008_01200
ko:K01902	suk:SAA6008_01201
ko:K04096	suk:SAA6008_01204
ko:K03168	suk:SAA6008_01205
ko:K04094	suk:SAA6008_01206
ko:K03733	suk:SAA6008_01207
ko:K01419	suk:SAA6008_01208
ko:K03667	suk:SAA6008_01209
ko:K03706	suk:SAA6008_01210
ko:K02967	suk:SAA6008_01211
ko:K02357	suk:SAA6008_01212
ko:K09903	suk:SAA6008_01213
ko:K02838	suk:SAA6008_01214
ko:K00806	suk:SAA6008_01215
ko:K00981	suk:SAA6008_01216
ko:K11749	suk:SAA6008_01217
ko:K01881	suk:SAA6008_01218
ko:K03763	suk:SAA6008_01219
ko:K09748	suk:SAA6008_01220
ko:K02600	suk:SAA6008_01221
ko:K07146	suk:SAA6008_02748
ko:K01304	suk:SAA6008_02749
ko:K03319	suk:SAA6008_02752
ko:K05786	suk:SAA6008_02753
ko:K07241	suk:SAA6008_02755
ko:K03704	suk:SAA6008_02766
ko:K03501	suk:SAA6008_02771
ko:K03495	suk:SAA6008_02772
ko:K03650	suk:SAA6008_02773
ko:K03536	suk:SAA6008_02774
ko:K02914	suk:SAA6008_02775
ko:K12574	suk:SAA6008_01230
ko:K09692	suk:SAA6008_01983
ko:K01226	suk:SAA6008_00479
ko:K03486	suk:SAA6008_00480
ko:K00088	suk:SAA6008_00389
ko:K00611	suk:SAA6008_01121
ko:K07742	suk:SAA6008_01222
ko:K02519	suk:SAA6008_01224
ko:K02834	suk:SAA6008_01225
ko:K11753	suk:SAA6008_01227
ko:K02956	suk:SAA6008_01228
ko:K00962	suk:SAA6008_01229
ko:K03466	suk:SAA6008_01231
ko:K00995	suk:SAA6008_01238
ko:K09769	suk:SAA6008_01243
ko:K00174	suk:SAA6008_01244
ko:K00175	suk:SAA6008_01245
ko:K06168	suk:SAA6008_01247
ko:K03555	suk:SAA6008_01250
ko:K03572	suk:SAA6008_01251
ko:K02440	suk:SAA6008_01253
ko:K00864	suk:SAA6008_01254
ko:K00111	suk:SAA6008_01255
ko:K00791	suk:SAA6008_01257
ko:K03666	suk:SAA6008_01258
ko:K00432	suk:SAA6008_01259
ko:K03665	suk:SAA6008_01260
ko:K01915	suk:SAA6008_01263
ko:K01114	suk:SAA6008_02057
ko:K02016	suk:SAA6008_02062
ko:K04077	suk:SAA6008_02067
ko:K04078	suk:SAA6008_02068
ko:K00130	suk:SAA6008_02670
ko:K18938	suk:SAA6008_01996
ko:K01620	suk:SAA6008_01280
ko:K06131	suk:SAA6008_01282
ko:K07778	suk:SAA6008_01285
ko:K00928	suk:SAA6008_01292
ko:K00003	suk:SAA6008_01293
ko:K01733	suk:SAA6008_01294
ko:K00872	suk:SAA6008_01296
ko:K03781	suk:SAA6008_01300
ko:K02913	suk:SAA6008_01301
ko:K02954	suk:SAA6008_01302
ko:K00364	suk:SAA6008_01303
ko:K01356	suk:SAA6008_01305
ko:K00615	suk:SAA6008_01308
ko:K03547	suk:SAA6008_01311
ko:K03282	suk:SAA6008_01313
ko:K01681	suk:SAA6008_01315
ko:K07107	suk:SAA6008_01316
ko:K08591	suk:SAA6008_01318
ko:K02622	suk:SAA6008_01319
ko:K02621	suk:SAA6008_01320
ko:K03310	suk:SAA6008_01321
ko:K03480	suk:SAA6008_01323
ko:K14205	suk:SAA6008_01325
ko:K01821	suk:SAA6008_01328
ko:K07078	suk:SAA6008_02071
ko:K07813	suk:SAA6008_02074
ko:K07707	suk:SAA6008_02077
ko:K00847	suk:SAA6008_02078
ko:K01193	suk:SAA6008_02079
ko:K03484	suk:SAA6008_02080
ko:K03320	suk:SAA6008_02081
ko:K07112	suk:SAA6008_02083
ko:K01926	suk:SAA6008_02084
ko:K06158	suk:SAA6008_02085
ko:K03789	suk:SAA6008_02088
ko:K06925	suk:SAA6008_02090
ko:K01687	suk:SAA6008_02091
ko:K01652	suk:SAA6008_02092
ko:K01653	suk:SAA6008_02093
ko:K00053	suk:SAA6008_02094
ko:K01649	suk:SAA6008_02095
ko:K00052	suk:SAA6008_02096
ko:K01703	suk:SAA6008_02097
ko:K01704	suk:SAA6008_02098
ko:K01754	suk:SAA6008_02099
ko:K06959	suk:SAA6008_02102
ko:K01775	suk:SAA6008_02109
ko:K00997	suk:SAA6008_02110
ko:K01548	suk:SAA6008_02114
ko:K18934	suk:SAA6008_02205
ko:K18936	suk:SAA6008_02456
ko:K14234	suk:SAA6008_t05
ko:K14234	suk:SAA6008_t32
ko:K14234	suk:SAA6008_t62
ko:K14234	suk:SAA6008_t79
ko:K14234	suk:SAA6008_t49
ko:K18935	suk:SAA6008_02207
ko:K04763	suk:SAA6008_01627
ko:K07491	suk:SAA6008_01767
ko:K06216	suk:SAA6008_00245
ko:K03328	suk:SAA6008_00110
ko:K03328	suk:SAA6008_00509
ko:K02424	suk:SAA6008_02455
ko:K14222	suk:SAA6008_t27
ko:K14222	suk:SAA6008_t57
ko:K10009	suk:SAA6008_02454
ko:K16012	suk:SAA6008_00702
ko:K06934	suk:SAA6008_00710
ko:K03976	suk:SAA6008_00713
ko:K03436	suk:SAA6008_00714
ko:K02619	suk:SAA6008_00731
ko:K05845	suk:SAA6008_00738
ko:K05846	suk:SAA6008_00738
ko:K03647	suk:SAA6008_00745
ko:K01489	suk:SAA6008_01538
ko:K02238	suk:SAA6008_01557
ko:K06948	suk:SAA6008_01567
ko:K01243	suk:SAA6008_01569
ko:K03635	suk:SAA6008_02308
ko:K02017	suk:SAA6008_02314
ko:K03455	suk:SAA6008_00963
ko:K05362	suk:SAA6008_00973
ko:K07052	suk:SAA6008_00984
ko:K02552	suk:SAA6008_00997
ko:K08680	suk:SAA6008_00999
ko:K00841	suk:SAA6008_01004
ko:K07533	suk:SAA6008_01798
ko:K03698	suk:SAA6008_01799
ko:K01679	suk:SAA6008_01808
ko:K07035	suk:SAA6008_01816
ko:K03299	suk:SAA6008_02540
ko:K00851	suk:SAA6008_02541
ko:K03535	suk:SAA6008_02547
ko:K07104	suk:SAA6008_02560
ko:K00158	suk:SAA6008_02576
ko:K00054	suk:SAA6008_02583
ko:K01641	suk:SAA6008_02584
ko:K00567	suk:SAA6008_02585
ko:K04086	suk:SAA6008_02586
ko:K07030	suk:SAA6008_01181
ko:K00059	suk:SAA6008_01186
ko:K09787	suk:SAA6008_01191
ko:K08167	suk:SAA6008_01995
ko:K07729	suk:SAA6008_01997
ko:K00639	suk:SAA6008_00556
ko:K00853	suk:SAA6008_00558
ko:K00712	suk:SAA6008_00572
ko:K00712	suk:SAA6008_00573
ko:K02564	suk:SAA6008_00577
ko:K08093	suk:SAA6008_00578
ko:K00626	suk:SAA6008_00583
ko:K07305	suk:SAA6008_01391
ko:K03469	suk:SAA6008_01402
ko:K03294	suk:SAA6008_01405
ko:K03700	suk:SAA6008_01418
ko:K00974	suk:SAA6008_01426
ko:K03048	suk:SAA6008_02166
ko:K09680	suk:SAA6008_02168
ko:K01619	suk:SAA6008_02176
ko:K03784	suk:SAA6008_02177
ko:K02799	suk:SAA6008_02192
ko:K02800	suk:SAA6008_02192
ko:K02798	suk:SAA6008_02194
ko:K07304	suk:SAA6008_01392
ko:K11189	suk:SAA6008_01038
ko:K08483	suk:SAA6008_01039
ko:K03499	suk:SAA6008_01043
ko:K11072	suk:SAA6008_01054
ko:K11071	suk:SAA6008_01055
ko:K11069	suk:SAA6008_01057
ko:K09825	suk:SAA6008_01818
ko:K11085	suk:SAA6008_01823
ko:K07586	suk:SAA6008_01824
ko:K09693	suk:SAA6008_01828
ko:K06994	suk:SAA6008_02590
ko:K00294	suk:SAA6008_02593
ko:K07213	suk:SAA6008_02597
ko:K10209	suk:SAA6008_02600
ko:K07035	suk:SAA6008_02608
ko:K07032	suk:SAA6008_02613
ko:K01258	suk:SAA6008_00758
ko:K02240	suk:SAA6008_00765
ko:K02242	suk:SAA6008_00766
ko:K06023	suk:SAA6008_00775
ko:K09762	suk:SAA6008_00782
ko:K07584	suk:SAA6008_01615
ko:K02236	suk:SAA6008_01629
ko:K07052	suk:SAA6008_02349
ko:K01479	suk:SAA6008_02371
ko:K01785	suk:SAA6008_02376
ko:K01823	suk:SAA6008_02383
ko:K03177	suk:SAA6008_01226
ko:K00059	suk:SAA6008_01235
ko:K02443	suk:SAA6008_01252
ko:K03713	suk:SAA6008_01262
ko:K01439	suk:SAA6008_02060
ko:K07052	suk:SAA6008_02069
ko:K00625	suk:SAA6008_00595
ko:K00869	suk:SAA6008_00597
ko:K01597	suk:SAA6008_00598
ko:K00938	suk:SAA6008_00599
ko:K13953	suk:SAA6008_00623
ko:K07457	suk:SAA6008_00626
ko:K07025	suk:SAA6008_00629
ko:K05565	suk:SAA6008_00640
ko:K05568	suk:SAA6008_00643
ko:K05570	suk:SAA6008_00645
ko:K03316	suk:SAA6008_00647
ko:K00805	suk:SAA6008_01438
ko:K01424	suk:SAA6008_01447
ko:K05337	suk:SAA6008_01452
ko:K09763	suk:SAA6008_01466
ko:K04763	suk:SAA6008_01467
ko:K03711	suk:SAA6008_01468
ko:K01515	suk:SAA6008_01469
ko:K00784	suk:SAA6008_01473
ko:K00033	suk:SAA6008_01480
ko:K03593	suk:SAA6008_02204
ko:K01220	suk:SAA6008_02230
ko:K02786	suk:SAA6008_02232
ko:K01635	suk:SAA6008_02233
ko:K01092	suk:SAA6008_01062
ko:K01958	suk:SAA6008_01069
ko:K03471	suk:SAA6008_01094
ko:K00241	suk:SAA6008_01101
ko:K02428	suk:SAA6008_01105
ko:K01104	suk:SAA6008_01901
ko:K04750	suk:SAA6008_02651
ko:K00016	suk:SAA6008_02659
ko:K03294	suk:SAA6008_02660
ko:K03451	suk:SAA6008_02672
ko:K00380	suk:SAA6008_02678
ko:K01077	suk:SAA6008_02686
ko:K01819	suk:SAA6008_02235
ko:K01819	suk:SAA6008_02236
ko:K02530	suk:SAA6008_02237
ko:K00917	suk:SAA6008_02234
ko:K15582	suk:SAA6008_00940
ko:K10823	suk:SAA6008_00942
ko:K02035	suk:SAA6008_00944
ko:K06910	suk:SAA6008_00933
ko:K02033	suk:SAA6008_00947
ko:K07816	suk:SAA6008_00959
ko:K07052	suk:SAA6008_01750
ko:K00616	suk:SAA6008_01751
ko:K02549	suk:SAA6008_01771
ko:K03929	suk:SAA6008_02493
ko:K12942	suk:SAA6008_02514
ko:K01835	suk:SAA6008_02527
ko:K04763	suk:SAA6008_00826
ko:K07120	suk:SAA6008_01634
ko:K01719	suk:SAA6008_01637
ko:K11144	suk:SAA6008_01651
ko:K03346	suk:SAA6008_01652
ko:K10563	suk:SAA6008_01656
ko:K07658	suk:SAA6008_01660
ko:K00027	suk:SAA6008_01670
ko:K00374	suk:SAA6008_02435
ko:K09976	suk:SAA6008_01309
ko:K05020	suk:SAA6008_01314
ko:K03709	suk:SAA6008_00651
ko:K09693	suk:SAA6008_00654
ko:K07258	suk:SAA6008_00659
ko:K09705	suk:SAA6008_00686
ko:K16013	suk:SAA6008_00701
ko:K02246	suk:SAA6008_01511
ko:K02245	suk:SAA6008_01512
ko:K02244	suk:SAA6008_01513
ko:K02243	suk:SAA6008_01514
ko:K00845	suk:SAA6008_01517
ko:K02076	suk:SAA6008_01523
ko:K01727	suk:SAA6008_02243
ko:K00939	suk:SAA6008_02266
ko:K11041	suk:SAA6008_01125
ko:K07025	suk:SAA6008_01129
ko:K07104	suk:SAA6008_01148
ko:K02824	suk:SAA6008_01153
ko:K07009	suk:SAA6008_01911
ko:K02342	suk:SAA6008_01914
ko:K02433	suk:SAA6008_01921
ko:K07094	suk:SAA6008_01927
ko:K01916	suk:SAA6008_01933
ko:K04518	suk:SAA6008_01936
ko:K15986	suk:SAA6008_01940
ko:K01478	suk:SAA6008_02694
ko:K12270	suk:SAA6008_02709
ko:K12269	suk:SAA6008_02710
ko:K12268	suk:SAA6008_02711
ko:K07304	suk:SAA6008_02720
ko:K01104	suk:SAA6008_02722
ko:K07304	suk:SAA6008_01326
ko:K07706	suk:SAA6008_02076
ko:K01409	suk:SAA6008_02087
ko:K03095	suk:SAA6008_02101
ko:K03090	suk:SAA6008_02103
ko:K07315	suk:SAA6008_02106
ko:K09167	suk:SAA6008_02111
ko:K08981	suk:SAA6008_02112
ko:K09685	suk:SAA6008_00500
ko:K02499	suk:SAA6008_00510
ko:K03708	suk:SAA6008_00528
ko:K09698	suk:SAA6008_00534
ko:K04517	suk:SAA6008_01330
ko:K02033	suk:SAA6008_01346
ko:K05822	suk:SAA6008_01361
ko:K02116	suk:SAA6008_02148
ko:K01104	suk:SAA6008_02153
ko:K08974	suk:SAA6008_00863
ko:K04488	suk:SAA6008_00867
ko:K13628	suk:SAA6008_00891
ko:K05570	suk:SAA6008_00900
ko:K05568	suk:SAA6008_00902
ko:K05565	suk:SAA6008_00905
ko:K03768	suk:SAA6008_00907
ko:K00819	suk:SAA6008_00910
ko:K06286	suk:SAA6008_01686
ko:K00058	suk:SAA6008_01692
ko:K01261	suk:SAA6008_01716
ko:K07491	suk:SAA6008_01719
ko:K01439	suk:SAA6008_01723
ko:K06183	suk:SAA6008_01725
ko:K09815	suk:SAA6008_02447
ko:K00652	suk:SAA6008_02466
ko:K06147	suk:SAA6008_02470
ko:K06147	suk:SAA6008_02471
ko:K14232	suk:SAA6008_t10
ko:K14232	suk:SAA6008_t43
ko:K14232	suk:SAA6008_t73
ko:K14235	suk:SAA6008_t30
ko:K14235	suk:SAA6008_t60
ko:K14230	suk:SAA6008_t40
ko:K14230	suk:SAA6008_t70
ko:K00122	suk:SAA6008_00154
ko:K18940	suk:SAA6008_01380
ko:K00887	suk:SAA6008_01539
ko:K21454	suk:SAA6008_02394
ko:K02546	suk:SAA6008_00041
ko:K01977	suk:SAA6008_r05
ko:K01977	suk:SAA6008_r13
ko:K01977	suk:SAA6008_r16
ko:K01977	suk:SAA6008_r10
ko:K01977	suk:SAA6008_r01
ko:K07038	suk:SAA6008_01826
ko:K02545	suk:SAA6008_00039
ko:K16509	suk:SAA6008_00950
ko:K01834	suk:SAA6008_02457
ko:K01834	suk:SAA6008_00376
ko:K16511	suk:SAA6008_00951
ko:K11733	suk:SAA6008_01649
ko:K14229	suk:SAA6008_t06
ko:K16264	suk:SAA6008_00146
ko:K15583	suk:SAA6008_00941
ko:K14220	suk:SAA6008_t15
ko:K16329	suk:SAA6008_00288
ko:K16323	suk:SAA6008_00661
ko:K16169	suk:SAA6008_00388
ko:K11737	suk:SAA6008_02479
ko:K05340	suk:SAA6008_02293
ko:K16264	suk:SAA6008_02185
ko:K02851	suk:SAA6008_00762
ko:K07045	suk:SAA6008_02618
ko:K09814	suk:SAA6008_02397
ko:K13052	suk:SAA6008_00512
ko:K10010	suk:SAA6008_02453
ko:K16786	suk:SAA6008_02259
ko:K16787	suk:SAA6008_02258
ko:K04564	suk:SAA6008_00111
ko:K11040	suk:SAA6008_01572
ko:K16785	suk:SAA6008_02257
ko:K04757	suk:SAA6008_02104
ko:K01985	suk:SAA6008_r03
ko:K01985	suk:SAA6008_r14
ko:K01985	suk:SAA6008_r04
ko:K01985	suk:SAA6008_r07
ko:K01985	suk:SAA6008_r08
ko:K01985	suk:SAA6008_r11
ko:K07705	suk:SAA6008_00235
ko:K02032	suk:SAA6008_00946
ko:K03429	suk:SAA6008_00972
ko:K09813	suk:SAA6008_02398
ko:K01401	suk:SAA6008_02696
ko:K14198	suk:SAA6008_01953
ko:K14204	suk:SAA6008_01958
ko:K13733	suk:SAA6008_02536
ko:K02547	suk:SAA6008_00040
ko:K11039	suk:SAA6008_02073
ko:K14200	suk:SAA6008_01111
ko:K14201	suk:SAA6008_00803
ko:K10208	suk:SAA6008_02601
ko:K02755	suk:SAA6008_00240
ko:K00128	suk:SAA6008_00145
ko:K00128	suk:SAA6008_02160
ko:K07800	suk:SAA6008_02075
ko:K08259	suk:SAA6008_00250
ko:K12553	suk:SAA6008_01521
ko:K07683	suk:SAA6008_02433
ko:K01239	suk:SAA6008_02320
ko:K00128	suk:SAA6008_01942
ko:K14230	suk:SAA6008_t24
ko:K14229	suk:SAA6008_t78
ko:K14229	suk:SAA6008_t48
ko:K14230	suk:SAA6008_t68
ko:K14230	suk:SAA6008_t38
ko:K14230	suk:SAA6008_t65
ko:K14230	suk:SAA6008_t35
ko:K03483	suk:SAA6008_02193
ko:K11631	suk:SAA6008_02758
ko:K11042	suk:SAA6008_00422
ko:K13715	suk:SAA6008_01002
ko:K13732	suk:SAA6008_02538
ko:K10210	suk:SAA6008_02603
ko:K11695	suk:SAA6008_01340
ko:K11693	suk:SAA6008_02299
ko:K01271	suk:SAA6008_01676
ko:K14233	suk:SAA6008_t17
ko:K16785	suk:SAA6008_01031
ko:K16786	suk:SAA6008_01032
ko:K16787	suk:SAA6008_01032
ko:K16785	suk:SAA6008_02742
ko:K16786	suk:SAA6008_02743
ko:K16787	suk:SAA6008_02743
ko:K02768	suk:SAA6008_02700
ko:K02769	suk:SAA6008_02700
ko:K02770	suk:SAA6008_02700
ko:K11632	suk:SAA6008_02759
ko:K13714	suk:SAA6008_01007
ko:K04478	suk:SAA6008_01831
ko:K00980	suk:SAA6008_00658
ko:K16937	suk:SAA6008_00723
ko:K16869	suk:SAA6008_00596
ko:K11991	suk:SAA6008_00565
ko:K17716	suk:SAA6008_00131
ko:K10851	suk:SAA6008_02434
ko:K00882	suk:SAA6008_00715
ko:K02803	suk:SAA6008_01694
ko:K02804	suk:SAA6008_01694
ko:K00108	suk:SAA6008_02669
ko:K16916	suk:SAA6008_02565
ko:K16917	suk:SAA6008_02564
ko:K16925	suk:SAA6008_01033
ko:K14196	suk:SAA6008_00089
ko:K14203	suk:SAA6008_01109
ko:K02303	suk:SAA6008_02439
ko:K16924	suk:SAA6008_02744
ko:K14192	suk:SAA6008_02689
ko:K14193	suk:SAA6008_01084
ko:K14197	suk:SAA6008_02459
ko:K08258	suk:SAA6008_01930
ko:K10211	suk:SAA6008_02602
ko:K10850	suk:SAA6008_02427
ko:K11694	suk:SAA6008_01339
ko:K12552	suk:SAA6008_01135
ko:K07681	suk:SAA6008_01905
ko:K07694	suk:SAA6008_01904
ko:K02352	suk:SAA6008_02747
ko:K16898	suk:SAA6008_00920
ko:K16899	suk:SAA6008_00919
ko:K14224	suk:SAA6008_t01
ko:K14224	suk:SAA6008_t18
ko:K14221	suk:SAA6008_t02
ko:K14221	suk:SAA6008_t67
ko:K14221	suk:SAA6008_t23
ko:K14221	suk:SAA6008_t64
ko:K14221	suk:SAA6008_t34
ko:K14221	suk:SAA6008_t37
ko:K14233	suk:SAA6008_t03
ko:K14233	suk:SAA6008_t69
ko:K14233	suk:SAA6008_t39
ko:K14233	suk:SAA6008_t66
ko:K14233	suk:SAA6008_t36
ko:K14233	suk:SAA6008_t14
ko:K01980	suk:SAA6008_r02
ko:K01980	suk:SAA6008_r15
ko:K01980	suk:SAA6008_r12
ko:K01980	suk:SAA6008_r06
ko:K01980	suk:SAA6008_r09
ko:K14228	suk:SAA6008_t08
ko:K14228	suk:SAA6008_t45
ko:K14228	suk:SAA6008_t75
ko:K14237	suk:SAA6008_t04
ko:K14237	suk:SAA6008_t50
ko:K14237	suk:SAA6008_t80
ko:K14225	suk:SAA6008_t20
ko:K14225	suk:SAA6008_t53
ko:K14225	suk:SAA6008_t46
ko:K14225	suk:SAA6008_t76
ko:K14225	suk:SAA6008_t07
ko:K14228	suk:SAA6008_t25
ko:K14228	suk:SAA6008_t55
ko:K14228	suk:SAA6008_t47
ko:K14228	suk:SAA6008_t77
ko:K14228	suk:SAA6008_t54
ko:K14219	suk:SAA6008_t09
ko:K14219	suk:SAA6008_t44
ko:K14219	suk:SAA6008_t74
ko:K14219	suk:SAA6008_t13
ko:K14219	suk:SAA6008_t16
ko:K14218	suk:SAA6008_t11
ko:K14218	suk:SAA6008_t51
ko:K14218	suk:SAA6008_t72
ko:K14218	suk:SAA6008_t81
ko:K14218	suk:SAA6008_t42
ko:K14227	suk:SAA6008_t12
ko:K14227	suk:SAA6008_t52
ko:K14227	suk:SAA6008_t82
ko:K14220	suk:SAA6008_t19
ko:K14226	suk:SAA6008_t21
ko:K14226	suk:SAA6008_t59
ko:K14226	suk:SAA6008_t29
ko:K14231	suk:SAA6008_t22
ko:K14231	suk:SAA6008_t33
ko:K14231	suk:SAA6008_t63
ko:K14230	suk:SAA6008_t41
ko:K14230	suk:SAA6008_t71
ko:K14225	suk:SAA6008_t26
ko:K14225	suk:SAA6008_t56
ko:K14223	suk:SAA6008_t28
ko:K14223	suk:SAA6008_t58
ko:K14236	suk:SAA6008_t31
ko:K14236	suk:SAA6008_t61
ko:K09692	suk:SAA6008_00655
ko:K11070	suk:SAA6008_01056
ko:K01990	suk:SAA6008_01794
ko:K02029	suk:SAA6008_01815
ko:K02030	suk:SAA6008_01815
ko:K01992	suk:SAA6008_02378
ko:K07284	suk:SAA6008_02566
ko:K01990	suk:SAA6008_00251
ko:K01990	suk:SAA6008_02551
ko:K01990	suk:SAA6008_02379
ko:K01990	suk:SAA6008_00328
ko:K01990	suk:SAA6008_01963
ko:K01664	suk:SAA6008_00729
ko:K01992	suk:SAA6008_00252
ko:K01992	suk:SAA6008_00253
ko:K01992	suk:SAA6008_01793
ko:K01992	suk:SAA6008_01966
ko:K02028	suk:SAA6008_01814
ko:K03574	suk:SAA6008_02525
ko:K17216	suk:SAA6008_00463
ko:K17217	suk:SAA6008_00464
ko:K01897	suk:SAA6008_00203
ko:K00265	suk:SAA6008_00475
ko:K00951	suk:SAA6008_01603
ko:K01992	suk:SAA6008_01284
ko:K01990	suk:SAA6008_01283
ko:K01990	suk:SAA6008_01965
ko:K17472	suk:SAA6008_01596
ko:K17686	suk:SAA6008_02596
ko:K01739	suk:SAA6008_00336
ko:K01791	suk:SAA6008_02149
ko:K00226	suk:SAA6008_02648
ko:K06518	suk:SAA6008_02578
ko:K01658	suk:SAA6008_01333
ko:K11928	suk:SAA6008_01923
ko:K02171	suk:SAA6008_02627
ko:K07979	suk:SAA6008_01962
ko:K10212	suk:SAA6008_02604
ko:K01187	suk:SAA6008_01477
ko:K01791	suk:SAA6008_00133
ko:K02031	suk:SAA6008_00175
ko:K02032	suk:SAA6008_00175
ko:K19080	suk:SAA6008_00678
ko:K00561	suk:SAA6008_00830
ko:K18104	suk:SAA6008_00660
ko:K02479	suk:SAA6008_01805
ko:K08168	suk:SAA6008_00115
ko:K02483	suk:SAA6008_02399
ko:K03293	suk:SAA6008_01299
ko:K18220	suk:SAA6008_00394
ko:K07741	suk:SAA6008_01887
ko:K02809	suk:SAA6008_00171
ko:K02810	suk:SAA6008_00171
ko:K02809	suk:SAA6008_02416
ko:K02810	suk:SAA6008_02416
ko:K03366	suk:SAA6008_00105
ko:K17882	suk:SAA6008_00034
ko:K00008	suk:SAA6008_00223
ko:K07145	suk:SAA6008_01090
ko:K22580	suk:SAA6008_01012
ko:K01046	suk:SAA6008_00297
ko:K01046	suk:SAA6008_02729
ko:K00632	suk:SAA6008_00200
ko:K02172	suk:SAA6008_02628
ko:K21462	suk:SAA6008_02728
ko:K21463	suk:SAA6008_02393
ko:K00008	suk:SAA6008_00221
ko:K08255	suk:SAA6008_00923
ko:K00681	suk:SAA6008_00179
ko:K04749	suk:SAA6008_02105
ko:K18707	suk:SAA6008_01546
ko:K18766	suk:SAA6008_02629
ko:K05592	suk:SAA6008_02119
ko:K18672	suk:SAA6008_02200
ko:K18704	suk:SAA6008_00226
ko:K18682	suk:SAA6008_01241
ko:K18692	suk:SAA6008_01527
ko:K18906	suk:SAA6008_00703
ko:K01262	suk:SAA6008_01499
ko:K09692	suk:SAA6008_01827
ko:K07723	suk:SAA6008_02108
ko:K18908	suk:SAA6008_00311
ko:K18909	suk:SAA6008_00310
ko:K18941	suk:SAA6008_01381
ko:K07171	suk:SAA6008_02107
ko:K04940	suk:SAA6008_02337
ko:K03111	suk:SAA6008_01880
ko:K11040	suk:SAA6008_02002
ko:K03111	suk:SAA6008_02038
ko:K03111	suk:SAA6008_02135
ko:K03497	suk:SAA6008_00337
