ko:K00477	rse:F504_3648
ko:K02259	rse:F504_392
ko:K07152	rse:F504_394
ko:K03089	rse:F504_395
ko:K07397	rse:F504_397
ko:K06911	rse:F504_398
ko:K16165	rse:F504_404
ko:K01028	rse:F504_1781
ko:K00311	rse:F504_1784
ko:K01736	rse:F504_1785
ko:K01740	rse:F504_1790
ko:K07058	rse:F504_1793
ko:K03809	rse:F504_1794
ko:K06938	rse:F504_275
ko:K01640	rse:F504_277
ko:K12972	rse:F504_278
ko:K01968	rse:F504_281
ko:K01012	rse:F504_284
ko:K13766	rse:F504_285
ko:K01969	rse:F504_287
ko:K09858	rse:F504_288
ko:K01673	rse:F504_295
ko:K00906	rse:F504_296
ko:K00253	rse:F504_297
ko:K03673	rse:F504_303
ko:K01887	rse:F504_305
ko:K06895	rse:F504_406
ko:K03110	rse:F504_407
ko:K00954	rse:F504_411
ko:K01056	rse:F504_414
ko:K02897	rse:F504_415
ko:K00948	rse:F504_416
ko:K00919	rse:F504_417
ko:K02494	rse:F504_418
ko:K03575	rse:F504_422
ko:K07157	rse:F504_423
ko:K06958	rse:F504_424
ko:K05808	rse:F504_429
ko:K03092	rse:F504_430
ko:K06861	rse:F504_431
ko:K03598	rse:F504_1025
ko:K03596	rse:F504_1028
ko:K03100	rse:F504_1029
ko:K03685	rse:F504_1031
ko:K03584	rse:F504_1033
ko:K03474	rse:F504_1034
ko:K00997	rse:F504_1035
ko:K01207	rse:F504_1036
ko:K02356	rse:F504_1038
ko:K03703	rse:F504_1040
ko:K01706	rse:F504_1049
ko:K08191	rse:F504_1050
ko:K16165	rse:F504_1057
ko:K00450	rse:F504_1058
ko:K08195	rse:F504_1064
ko:K07088	rse:F504_1066
ko:K00812	rse:F504_1067
ko:K01752	rse:F504_1071
ko:K00303	rse:F504_1072
ko:K00305	rse:F504_1075
ko:K05527	rse:F504_1644
ko:K07774	rse:F504_1653
ko:K02054	rse:F504_1657
ko:K02053	rse:F504_1658
ko:K01952	rse:F504_1665
ko:K01810	rse:F504_1668
ko:K02003	rse:F504_1669
ko:K10804	rse:F504_1670
ko:K03100	rse:F504_1671
ko:K03770	rse:F504_1673
ko:K03530	rse:F504_1674
ko:K01338	rse:F504_1675
ko:K03544	rse:F504_1676
ko:K01358	rse:F504_1677
ko:K03545	rse:F504_1678
ko:K15461	rse:F504_1680
ko:K02291	rse:F504_1684
ko:K07659	rse:F504_1688
ko:K07638	rse:F504_1689
ko:K04756	rse:F504_1691
ko:K01770	rse:F504_1692
ko:K00991	rse:F504_1693
ko:K11209	rse:F504_1973
ko:K01055	rse:F504_319
ko:K16171	rse:F504_322
ko:K00941	rse:F504_108
ko:K00788	rse:F504_116
ko:K03149	rse:F504_117
ko:K03154	rse:F504_118
ko:K03147	rse:F504_120
ko:K00459	rse:F504_121
ko:K09456	rse:F504_128
ko:K10001	rse:F504_129
ko:K07726	rse:F504_133
ko:K07168	rse:F504_139
ko:K13652	rse:F504_141
ko:K00789	rse:F504_143
ko:K02517	rse:F504_144
ko:K02517	rse:F504_145
ko:K01778	rse:F504_146
ko:K00762	rse:F504_148
ko:K01142	rse:F504_149
ko:K00145	rse:F504_151
ko:K03640	rse:F504_754
ko:K06920	rse:F504_756
ko:K07112	rse:F504_757
ko:K03413	rse:F504_760
ko:K03414	rse:F504_761
ko:K01626	rse:F504_762
ko:K01173	rse:F504_763
ko:K02069	rse:F504_768
ko:K02068	rse:F504_769
ko:K06901	rse:F504_775
ko:K00252	rse:F504_776
ko:K00453	rse:F504_778
ko:K01556	rse:F504_779
ko:K07130	rse:F504_780
ko:K00574	rse:F504_786
ko:K00275	rse:F504_787
ko:K01207	rse:F504_788
ko:K07290	rse:F504_792
ko:K03782	rse:F504_794
ko:K07396	rse:F504_796
ko:K05838	rse:F504_797
ko:K02047	rse:F504_1388
ko:K02045	rse:F504_1389
ko:K13635	rse:F504_1390
ko:K01652	rse:F504_1396
ko:K02553	rse:F504_1397
ko:K01637	rse:F504_1401
ko:K01638	rse:F504_1406
ko:K03789	rse:F504_1411
ko:K01775	rse:F504_1414
ko:K04485	rse:F504_1415
ko:K03611	rse:F504_1416
ko:K06158	rse:F504_1419
ko:K13051	rse:F504_1421
ko:K13892	rse:F504_1422
ko:K13889	rse:F504_1423
ko:K13890	rse:F504_1424
ko:K13891	rse:F504_1425
ko:K01266	rse:F504_1426
ko:K16203	rse:F504_1427
ko:K01495	rse:F504_1431
ko:K07320	rse:F504_1432
ko:K14267	rse:F504_1438
ko:K00339	rse:F504_2007
ko:K00338	rse:F504_2008
ko:K00337	rse:F504_2009
ko:K00334	rse:F504_2012
ko:K00333	rse:F504_2013
ko:K00332	rse:F504_2014
ko:K00331	rse:F504_2015
ko:K00330	rse:F504_2016
ko:K03075	rse:F504_2017
ko:K01803	rse:F504_2018
ko:K00962	rse:F504_2021
ko:K02956	rse:F504_2022
ko:K01999	rse:F504_2023
ko:K01649	rse:F504_2025
ko:K17103	rse:F504_2027
ko:K01613	rse:F504_2028
ko:K00053	rse:F504_2029
ko:K01653	rse:F504_2030
ko:K01652	rse:F504_2031
ko:K03088	rse:F504_2032
ko:K06886	rse:F504_2043
ko:K05772	rse:F504_2046
ko:K13481	rse:F504_2048
ko:K13482	rse:F504_2049
ko:K07402	rse:F504_2050
ko:K09939	rse:F504_3038
ko:K08224	rse:F504_3041
ko:K07687	rse:F504_3049
ko:K01141	rse:F504_3147
ko:K03736	rse:F504_3148
ko:K03735	rse:F504_3149
ko:K03778	rse:F504_3154
ko:K03823	rse:F504_3156
ko:K03704	rse:F504_3181
ko:K07007	rse:F504_3184
ko:K00860	rse:F504_3193
ko:K15125	rse:F504_3203
ko:K09805	rse:F504_3204
ko:K17224	rse:F504_3294
ko:K17222	rse:F504_3297
ko:K17227	rse:F504_3299
ko:K17226	rse:F504_3300
ko:K15268	rse:F504_3302
ko:K07460	rse:F504_3306
ko:K07056	rse:F504_3307
ko:K03642	rse:F504_3308
ko:K01483	rse:F504_3316
ko:K01477	rse:F504_3317
ko:K11103	rse:F504_3319
ko:K01608	rse:F504_3326
ko:K03656	rse:F504_3336
ko:K00605	rse:F504_3340
ko:K02437	rse:F504_3341
ko:K00281	rse:F504_3342
ko:K01752	rse:F504_3343
ko:K06048	rse:F504_3345
ko:K01999	rse:F504_3347
ko:K13821	rse:F504_3348
ko:K04066	rse:F504_3349
ko:K01599	rse:F504_3350
ko:K02040	rse:F504_3357
ko:K06929	rse:F504_3360
ko:K02114	rse:F504_3364
ko:K02112	rse:F504_3365
ko:K02470	rse:F504_3484
ko:K02338	rse:F504_3486
ko:K02313	rse:F504_3487
ko:K03704	rse:F504_3489
ko:K00963	rse:F504_3493
ko:K10125	rse:F504_3496
ko:K10126	rse:F504_3497
ko:K01999	rse:F504_3503
ko:K01997	rse:F504_3504
ko:K01998	rse:F504_3505
ko:K01995	rse:F504_3506
ko:K01996	rse:F504_3507
ko:K03281	rse:F504_3510
ko:K01051	rse:F504_3589
ko:K02456	rse:F504_3593
ko:K02456	rse:F504_3594
ko:K02453	rse:F504_3595
ko:K02455	rse:F504_3601
ko:K02456	rse:F504_3602
ko:K06133	rse:F504_3607
ko:K00860	rse:F504_3611
ko:K13472	rse:F504_3612
ko:K03823	rse:F504_3935
ko:K02413	rse:F504_3938
ko:K02412	rse:F504_3939
ko:K02411	rse:F504_3940
ko:K02410	rse:F504_3941
ko:K02409	rse:F504_3942
ko:K02408	rse:F504_3943
ko:K02423	rse:F504_3947
ko:K02422	rse:F504_3948
ko:K02407	rse:F504_3949
ko:K02406	rse:F504_3950
ko:K02415	rse:F504_3953
ko:K02416	rse:F504_3954
ko:K02417	rse:F504_3955
ko:K02418	rse:F504_3956
ko:K02419	rse:F504_3957
ko:K02420	rse:F504_3958
ko:K02421	rse:F504_3959
ko:K02078	rse:F504_3962
ko:K02078	rse:F504_3963
ko:K01745	rse:F504_3967
ko:K07107	rse:F504_3968
ko:K09458	rse:F504_3974
ko:K02397	rse:F504_3980
ko:K02396	rse:F504_3981
ko:K02395	rse:F504_3982
ko:K02394	rse:F504_3983
ko:K02914	rse:F504_1
ko:K03536	rse:F504_2
ko:K08998	rse:F504_3
ko:K03217	rse:F504_4
ko:K03650	rse:F504_5
ko:K02970	rse:F504_8
ko:K03585	rse:F504_11
ko:K03577	rse:F504_13
ko:K06200	rse:F504_26
ko:K00641	rse:F504_31
ko:K00823	rse:F504_33
ko:K00375	rse:F504_34
ko:K07663	rse:F504_35
ko:K07641	rse:F504_36
ko:K06143	rse:F504_37
ko:K05501	rse:F504_38
ko:K00930	rse:F504_40
ko:K03088	rse:F504_41
ko:K15011	rse:F504_46
ko:K15012	rse:F504_47
ko:K03667	rse:F504_49
ko:K01419	rse:F504_50
ko:K04078	rse:F504_650
ko:K04077	rse:F504_651
ko:K12511	rse:F504_662
ko:K12510	rse:F504_663
ko:K02283	rse:F504_664
ko:K02282	rse:F504_665
ko:K02280	rse:F504_667
ko:K02279	rse:F504_668
ko:K02278	rse:F504_669
ko:K02651	rse:F504_670
ko:K02651	rse:F504_672
ko:K02651	rse:F504_673
ko:K06872	rse:F504_675
ko:K03744	rse:F504_676
ko:K01714	rse:F504_678
ko:K01845	rse:F504_679
ko:K07735	rse:F504_689
ko:K07447	rse:F504_690
ko:K02825	rse:F504_691
ko:K00609	rse:F504_692
ko:K01465	rse:F504_693
ko:K00655	rse:F504_694
ko:K00067	rse:F504_697
ko:K00973	rse:F504_698
ko:K01790	rse:F504_699
ko:K12990	rse:F504_701
ko:K07708	rse:F504_1288
ko:K07712	rse:F504_1289
ko:K05813	rse:F504_1293
ko:K01126	rse:F504_1297
ko:K00164	rse:F504_1298
ko:K00658	rse:F504_1299
ko:K00382	rse:F504_1300
ko:K06916	rse:F504_1301
ko:K05979	rse:F504_1302
ko:K00404	rse:F504_1305
ko:K00405	rse:F504_1306
ko:K00407	rse:F504_1307
ko:K00406	rse:F504_1308
ko:K09926	rse:F504_1310
ko:K09792	rse:F504_1313
ko:K06024	rse:F504_1315
ko:K06178	rse:F504_1316
ko:K09748	rse:F504_1317
ko:K02600	rse:F504_1318
ko:K02519	rse:F504_1319
ko:K02834	rse:F504_1320
ko:K03446	rse:F504_1322
ko:K03543	rse:F504_1323
ko:K06207	rse:F504_1327
ko:K05539	rse:F504_1331
ko:K01356	rse:F504_1335
ko:K00528	rse:F504_1336
ko:K01676	rse:F504_1901
ko:K01776	rse:F504_1902
ko:K03832	rse:F504_1909
ko:K03561	rse:F504_1910
ko:K04062	rse:F504_1920
ko:K09695	rse:F504_1921
ko:K09694	rse:F504_1922
ko:K00764	rse:F504_1923
ko:K03558	rse:F504_1924
ko:K03749	rse:F504_1925
ko:K11754	rse:F504_1926
ko:K01963	rse:F504_1927
ko:K01695	rse:F504_1928
ko:K01696	rse:F504_1930
ko:K01817	rse:F504_1931
ko:K06173	rse:F504_1932
ko:K00133	rse:F504_1935
ko:K00052	rse:F504_1937
ko:K01704	rse:F504_1938
ko:K01703	rse:F504_1939
ko:K01647	rse:F504_1940
ko:K09159	rse:F504_1941
ko:K00240	rse:F504_1942
ko:K00239	rse:F504_1943
ko:K00242	rse:F504_1944
ko:K03710	rse:F504_1946
ko:K00024	rse:F504_1948
ko:K01644	rse:F504_1949
ko:K01720	rse:F504_1952
ko:K13038	rse:F504_2422
ko:K03694	rse:F504_2425
ko:K06891	rse:F504_2426
ko:K03704	rse:F504_2427
ko:K00031	rse:F504_2431
ko:K09005	rse:F504_2436
ko:K15977	rse:F504_2442
ko:K13529	rse:F504_2447
ko:K01713	rse:F504_2454
ko:K07090	rse:F504_2460
ko:K03530	rse:F504_2467
ko:K09975	rse:F504_2468
ko:K04564	rse:F504_2472
ko:K03601	rse:F504_2473
ko:K03561	rse:F504_2474
ko:K00912	rse:F504_2476
ko:K09791	rse:F504_2477
ko:K00979	rse:F504_2478
ko:K00140	rse:F504_2482
ko:K14347	rse:F504_2484
ko:K01448	rse:F504_2485
ko:K06925	rse:F504_2486
ko:K08591	rse:F504_2492
ko:K09767	rse:F504_2495
ko:K00075	rse:F504_2496
ko:K07001	rse:F504_2497
ko:K09913	rse:F504_2499
ko:K01940	rse:F504_2500
ko:K02968	rse:F504_2503
ko:K03980	rse:F504_2504
ko:K03975	rse:F504_2506
ko:K06192	rse:F504_2509
ko:K03572	rse:F504_2510
ko:K00791	rse:F504_2511
ko:K09990	rse:F504_2514
ko:K03919	rse:F504_2515
ko:K01247	rse:F504_2516
ko:K10778	rse:F504_2517
ko:K01933	rse:F504_2520
ko:K10763	rse:F504_2522
ko:K00950	rse:F504_2525
ko:K00606	rse:F504_2527
ko:K05773	rse:F504_2528
ko:K03686	rse:F504_2531
ko:K04043	rse:F504_2532
ko:K06140	rse:F504_2533
ko:K03687	rse:F504_2536
ko:K04762	rse:F504_2539
ko:K01772	rse:F504_2540
ko:K01468	rse:F504_2541
ko:K01745	rse:F504_2543
ko:K01712	rse:F504_2544
ko:K05836	rse:F504_2545
ko:K03705	rse:F504_2546
ko:K00858	rse:F504_2548
ko:K03631	rse:F504_2549
ko:K14645	rse:F504_2552
ko:K14645	rse:F504_2554
ko:K00982	rse:F504_2556
ko:K03568	rse:F504_2560
ko:K01626	rse:F504_2562
ko:K00798	rse:F504_2565
ko:K11472	rse:F504_2569
ko:K11473	rse:F504_2570
ko:K06996	rse:F504_2573
ko:K00432	rse:F504_2576
ko:K02672	rse:F504_2579
ko:K02671	rse:F504_2580
ko:K03210	rse:F504_2635
ko:K03072	rse:F504_2636
ko:K03074	rse:F504_2637
ko:K12262	rse:F504_2641
ko:K01756	rse:F504_2643
ko:K00566	rse:F504_2647
ko:K03543	rse:F504_2650
ko:K03446	rse:F504_2651
ko:K00324	rse:F504_2655
ko:K01579	rse:F504_2656
ko:K00324	rse:F504_2657
ko:K00325	rse:F504_2658
ko:K07444	rse:F504_2665
ko:K08973	rse:F504_2666
ko:K00147	rse:F504_2667
ko:K02340	rse:F504_2668
ko:K03643	rse:F504_2669
ko:K01869	rse:F504_2670
ko:K00215	rse:F504_2671
ko:K06186	rse:F504_2672
ko:K00134	rse:F504_2675
ko:K00615	rse:F504_2676
ko:K01684	rse:F504_2677
ko:K01631	rse:F504_2678
ko:K13874	rse:F504_2681
ko:K10538	rse:F504_2682
ko:K10539	rse:F504_2683
ko:K10537	rse:F504_2684
ko:K00883	rse:F504_2685
ko:K09761	rse:F504_2689
ko:K00029	rse:F504_2693
ko:K00946	rse:F504_2695
ko:K01095	rse:F504_2696
ko:K01591	rse:F504_2699
ko:K03284	rse:F504_2700
ko:K03814	rse:F504_2702
ko:K00014	rse:F504_2703
ko:K03832	rse:F504_2704
ko:K01147	rse:F504_2705
ko:K03181	rse:F504_2706
ko:K07000	rse:F504_2707
ko:K02558	rse:F504_2708
ko:K03786	rse:F504_2712
ko:K02160	rse:F504_2713
ko:K01961	rse:F504_2714
ko:K02687	rse:F504_2715
ko:K11065	rse:F504_2717
ko:K06077	rse:F504_2719
ko:K11939	rse:F504_2728
ko:K03806	rse:F504_2733
ko:K02667	rse:F504_2734
ko:K02668	rse:F504_2735
ko:K06950	rse:F504_2736
ko:K00891	rse:F504_2938
ko:K02666	rse:F504_2939
ko:K02662	rse:F504_2943
ko:K05366	rse:F504_2944
ko:K06202	rse:F504_2946
ko:K01586	rse:F504_2948
ko:K17247	rse:F504_2949
ko:K03088	rse:F504_2952
ko:K07399	rse:F504_2955
ko:K03978	rse:F504_2957
ko:K01698	rse:F504_2958
ko:K04084	rse:F504_2959
ko:K03926	rse:F504_2960
ko:K02879	rse:F504_2961
ko:K03040	rse:F504_2962
ko:K02986	rse:F504_2964
ko:K02948	rse:F504_2965
ko:K02952	rse:F504_2966
ko:K02919	rse:F504_2967
ko:K02518	rse:F504_2968
ko:K03076	rse:F504_2969
ko:K02876	rse:F504_2970
ko:K02907	rse:F504_2971
ko:K02988	rse:F504_2972
ko:K02881	rse:F504_2973
ko:K02933	rse:F504_2974
ko:K02994	rse:F504_2975
ko:K02954	rse:F504_2976
ko:K02931	rse:F504_2977
ko:K02895	rse:F504_2978
ko:K02874	rse:F504_2979
ko:K02961	rse:F504_2980
ko:K02904	rse:F504_2981
ko:K02878	rse:F504_2982
ko:K02982	rse:F504_2983
ko:K02890	rse:F504_2984
ko:K02965	rse:F504_2985
ko:K02886	rse:F504_2986
ko:K02892	rse:F504_2987
ko:K07102	rse:F504_545
ko:K04744	rse:F504_546
ko:K03771	rse:F504_547
ko:K00097	rse:F504_548
ko:K02528	rse:F504_549
ko:K11927	rse:F504_552
ko:K06911	rse:F504_553
ko:K07649	rse:F504_561
ko:K03565	rse:F504_565
ko:K01903	rse:F504_567
ko:K01902	rse:F504_568
ko:K03637	rse:F504_573
ko:K00826	rse:F504_580
ko:K05786	rse:F504_583
ko:K00927	rse:F504_584
ko:K00873	rse:F504_585
ko:K01624	rse:F504_586
ko:K01923	rse:F504_587
ko:K01588	rse:F504_588
ko:K01589	rse:F504_589
ko:K07566	rse:F504_590
ko:K01091	rse:F504_592
ko:K00640	rse:F504_1189
ko:K03269	rse:F504_1190
ko:K01883	rse:F504_1194
ko:K01247	rse:F504_1195
ko:K01962	rse:F504_1196
ko:K04075	rse:F504_1197
ko:K00928	rse:F504_1198
ko:K00208	rse:F504_1199
ko:K13893	rse:F504_1200
ko:K13894	rse:F504_1201
ko:K13895	rse:F504_1202
ko:K13896	rse:F504_1203
ko:K07001	rse:F504_1205
ko:K03327	rse:F504_1208
ko:K02909	rse:F504_1210
ko:K09933	rse:F504_1212
ko:K03671	rse:F504_1215
ko:K02343	rse:F504_1218
ko:K09747	rse:F504_1219
ko:K06187	rse:F504_1220
ko:K16137	rse:F504_1227
ko:K10680	rse:F504_1228
ko:K03787	rse:F504_1230
ko:K00573	rse:F504_1231
ko:K06194	rse:F504_1232
ko:K03215	rse:F504_1235
ko:K01845	rse:F504_1816
ko:K07090	rse:F504_1821
ko:K08296	rse:F504_1824
ko:K01524	rse:F504_1826
ko:K00937	rse:F504_1827
ko:K07636	rse:F504_1828
ko:K02039	rse:F504_1830
ko:K02036	rse:F504_1831
ko:K02038	rse:F504_1832
ko:K02037	rse:F504_1833
ko:K02040	rse:F504_1834
ko:K03431	rse:F504_1835
ko:K00796	rse:F504_1836
ko:K03798	rse:F504_1837
ko:K03624	rse:F504_1841
ko:K01955	rse:F504_1842
ko:K11250	rse:F504_1843
ko:K01956	rse:F504_1844
ko:K01908	rse:F504_1845
ko:K08307	rse:F504_1846
ko:K19621	rse:F504_2662
ko:K19623	rse:F504_2664
ko:K19624	rse:F504_2674
ko:K09774	rse:F504_432
ko:K11719	rse:F504_433
ko:K03270	rse:F504_434
ko:K06041	rse:F504_435
ko:K05520	rse:F504_439
ko:K00759	rse:F504_440
ko:K09129	rse:F504_442
ko:K03701	rse:F504_443
ko:K02078	rse:F504_457
ko:K07112	rse:F504_461
ko:K07112	rse:F504_462
ko:K06879	rse:F504_472
ko:K01754	rse:F504_473
ko:K08715	rse:F504_474
ko:K02471	rse:F504_482
ko:K03183	rse:F504_484
ko:K03690	rse:F504_486
ko:K01633	rse:F504_1076
ko:K01433	rse:F504_1077
ko:K07726	rse:F504_1087
ko:K03630	rse:F504_1096
ko:K03723	rse:F504_1694
ko:K01438	rse:F504_1695
ko:K01079	rse:F504_1696
ko:K14441	rse:F504_1700
ko:K05541	rse:F504_1701
ko:K00023	rse:F504_1703
ko:K03821	rse:F504_1705
ko:K05810	rse:F504_1708
ko:K06180	rse:F504_1709
ko:K05807	rse:F504_1711
ko:K06959	rse:F504_1715
ko:K03549	rse:F504_1717
ko:K00684	rse:F504_1722
ko:K07262	rse:F504_1730
ko:K00382	rse:F504_1737
ko:K00627	rse:F504_1739
ko:K00163	rse:F504_1740
ko:K01897	rse:F504_71
ko:K01897	rse:F504_2785
ko:K02484	rse:F504_5019
ko:K02484	rse:F504_3453
ko:K02484	rse:F504_3033
ko:K00951	rse:F504_1776
ko:K00265	rse:F504_2932
ko:K09945	rse:F504_3536
ko:K09461	rse:F504_3538
ko:K08295	rse:F504_3543
ko:K01075	rse:F504_3544
ko:K03710	rse:F504_3551
ko:K02020	rse:F504_3557
ko:K03924	rse:F504_3560
ko:K01673	rse:F504_3563
ko:K02688	rse:F504_3574
ko:K07726	rse:F504_3577
ko:K07090	rse:F504_3631
ko:K16872	rse:F504_3635
ko:K01241	rse:F504_3652
ko:K12508	rse:F504_3666
ko:K00141	rse:F504_3669
ko:K06044	rse:F504_3675
ko:K00705	rse:F504_3676
ko:K01236	rse:F504_3677
ko:K05343	rse:F504_3680
ko:K16147	rse:F504_3681
ko:K00703	rse:F504_3682
ko:K07225	rse:F504_3683
ko:K16087	rse:F504_3684
ko:K03387	rse:F504_3688
ko:K04759	rse:F504_3693
ko:K04758	rse:F504_3694
ko:K01304	rse:F504_3701
ko:K03670	rse:F504_3704
ko:K01295	rse:F504_3714
ko:K01738	rse:F504_3717
ko:K01194	rse:F504_3718
ko:K03327	rse:F504_3725
ko:K11931	rse:F504_3730
ko:K11936	rse:F504_3731
ko:K12340	rse:F504_3733
ko:K11003	rse:F504_3734
ko:K11004	rse:F504_3735
ko:K00459	rse:F504_3749
ko:K00459	rse:F504_3758
ko:K01534	rse:F504_3763
ko:K01649	rse:F504_3766
ko:K07302	rse:F504_3768
ko:K07303	rse:F504_3769
ko:K07141	rse:F504_3771
ko:K00052	rse:F504_3773
ko:K01681	rse:F504_3774
ko:K01682	rse:F504_3776
ko:K01256	rse:F504_3834
ko:K04751	rse:F504_3835
ko:K15726	rse:F504_3836
ko:K07118	rse:F504_3841
ko:K04045	rse:F504_3845
ko:K03322	rse:F504_3847
ko:K11740	rse:F504_3861
ko:K02503	rse:F504_3871
ko:K15726	rse:F504_3872
ko:K07644	rse:F504_3877
ko:K01091	rse:F504_3882
ko:K02393	rse:F504_3984
ko:K02392	rse:F504_3985
ko:K02391	rse:F504_3986
ko:K02390	rse:F504_3987
ko:K02389	rse:F504_3988
ko:K02388	rse:F504_3989
ko:K02387	rse:F504_3990
ko:K02386	rse:F504_3991
ko:K02398	rse:F504_3992
ko:K02399	rse:F504_3993
ko:K04062	rse:F504_4000
ko:K01714	rse:F504_4001
ko:K00453	rse:F504_4017
ko:K04127	rse:F504_4019
ko:K00697	rse:F504_4087
ko:K01087	rse:F504_4088
ko:K02651	rse:F504_4103
ko:K02278	rse:F504_4104
ko:K02279	rse:F504_4106
ko:K02280	rse:F504_4107
ko:K02282	rse:F504_4108
ko:K02283	rse:F504_4109
ko:K12510	rse:F504_4110
ko:K12511	rse:F504_4111
ko:K15125	rse:F504_4123
ko:K16090	rse:F504_4132
ko:K07001	rse:F504_4136
ko:K00019	rse:F504_4137
ko:K08191	rse:F504_4385
ko:K01706	rse:F504_4390
ko:K01707	rse:F504_4393
ko:K01053	rse:F504_4395
ko:K03585	rse:F504_4401
ko:K01996	rse:F504_4511
ko:K01995	rse:F504_4512
ko:K01998	rse:F504_4512
ko:K01997	rse:F504_4513
ko:K02839	rse:F504_4520
ko:K04127	rse:F504_4523
ko:K00453	rse:F504_4525
ko:K00451	rse:F504_4529
ko:K01555	rse:F504_4530
ko:K07734	rse:F504_4531
ko:K06446	rse:F504_4533
ko:K06997	rse:F504_4538
ko:K00766	rse:F504_4540
ko:K01609	rse:F504_4541
ko:K00275	rse:F504_4543
ko:K03576	rse:F504_4544
ko:K00549	rse:F504_4545
ko:K03449	rse:F504_4554
ko:K01246	rse:F504_4555
ko:K00948	rse:F504_217
ko:K01779	rse:F504_227
ko:K01951	rse:F504_228
ko:K07552	rse:F504_232
ko:K01512	rse:F504_236
ko:K07001	rse:F504_238
ko:K14414	rse:F504_239
ko:K14415	rse:F504_241
ko:K07074	rse:F504_242
ko:K11942	rse:F504_254
ko:K15977	rse:F504_257
ko:K00074	rse:F504_261
ko:K00459	rse:F504_272
ko:K15125	rse:F504_865
ko:K02469	rse:F504_878
ko:K09924	rse:F504_879
ko:K00831	rse:F504_880
ko:K14170	rse:F504_881
ko:K00817	rse:F504_882
ko:K00800	rse:F504_884
ko:K00945	rse:F504_885
ko:K02945	rse:F504_886
ko:K05788	rse:F504_887
ko:K00012	rse:F504_891
ko:K03274	rse:F504_893
ko:K02237	rse:F504_894
ko:K12339	rse:F504_895
ko:K02071	rse:F504_899
ko:K02072	rse:F504_900
ko:K02073	rse:F504_901
ko:K03521	rse:F504_902
ko:K03522	rse:F504_903
ko:K00285	rse:F504_905
ko:K02959	rse:F504_912
ko:K02860	rse:F504_913
ko:K00554	rse:F504_914
ko:K02884	rse:F504_915
ko:K02227	rse:F504_917
ko:K01737	rse:F504_1492
ko:K11991	rse:F504_1493
ko:K07507	rse:F504_1504
ko:K07402	rse:F504_1506
ko:K05805	rse:F504_1515
ko:K00833	rse:F504_1522
ko:K01935	rse:F504_1524
ko:K00381	rse:F504_1530
ko:K02300	rse:F504_1531
ko:K02299	rse:F504_1532
ko:K02298	rse:F504_1533
ko:K02297	rse:F504_1534
ko:K03543	rse:F504_1538
ko:K03446	rse:F504_1539
ko:K04760	rse:F504_2109
ko:K03060	rse:F504_2111
ko:K00942	rse:F504_2112
ko:K00989	rse:F504_2116
ko:K01304	rse:F504_2122
ko:K07160	rse:F504_2126
ko:K07552	rse:F504_2129
ko:K02057	rse:F504_2131
ko:K02057	rse:F504_2132
ko:K01734	rse:F504_2142
ko:K00761	rse:F504_2145
ko:K06915	rse:F504_2146
ko:K01945	rse:F504_2148
ko:K00228	rse:F504_2149
ko:K00969	rse:F504_2150
ko:K09710	rse:F504_2151
ko:K00783	rse:F504_2152
ko:K06287	rse:F504_2153
ko:K08301	rse:F504_2154
ko:K02655	rse:F504_3803
ko:K07240	rse:F504_3816
ko:K15125	rse:F504_3823
ko:K03762	rse:F504_3829
ko:K03651	rse:F504_3831
ko:K02029	rse:F504_3887
ko:K06911	rse:F504_3892
ko:K03543	rse:F504_3896
ko:K01586	rse:F504_3900
ko:K03088	rse:F504_3909
ko:K08223	rse:F504_3913
ko:K13979	rse:F504_4056
ko:K14189	rse:F504_4062
ko:K13979	rse:F504_4066
ko:K01620	rse:F504_4076
ko:K09122	rse:F504_4083
ko:K01574	rse:F504_4138
ko:K00822	rse:F504_4141
ko:K00140	rse:F504_4142
ko:K03704	rse:F504_4145
ko:K03549	rse:F504_4146
ko:K02379	rse:F504_4148
ko:K15726	rse:F504_4159
ko:K15977	rse:F504_4162
ko:K09930	rse:F504_4164
ko:K01991	rse:F504_4183
ko:K16692	rse:F504_4185
ko:K02472	rse:F504_4187
ko:K07246	rse:F504_4207
ko:K11103	rse:F504_4208
ko:K03701	rse:F504_4209
ko:K00404	rse:F504_4210
ko:K00405	rse:F504_4211
ko:K07152	rse:F504_4213
ko:K07673	rse:F504_4224
ko:K03753	rse:F504_4225
ko:K00373	rse:F504_4227
ko:K00371	rse:F504_4228
ko:K00370	rse:F504_4229
ko:K02575	rse:F504_4231
ko:K02575	rse:F504_4232
ko:K08303	rse:F504_4234
ko:K13993	rse:F504_4305
ko:K13993	rse:F504_4307
ko:K01673	rse:F504_4311
ko:K04078	rse:F504_4313
ko:K04077	rse:F504_4314
ko:K01669	rse:F504_4315
ko:K03673	rse:F504_4318
ko:K08195	rse:F504_4321
ko:K01666	rse:F504_4322
ko:K01821	rse:F504_4324
ko:K00116	rse:F504_4406
ko:K02114	rse:F504_4410
ko:K02355	rse:F504_4417
ko:K14161	rse:F504_4422
ko:K14160	rse:F504_4423
ko:K00612	rse:F504_4434
ko:K03284	rse:F504_4556
ko:K07156	rse:F504_4565
ko:K07233	rse:F504_4566
ko:K07644	rse:F504_4569
ko:K01895	rse:F504_4573
ko:K00140	rse:F504_4574
ko:K06160	rse:F504_4586
ko:K02841	rse:F504_4590
ko:K07241	rse:F504_4597
