ko:K00130	bsus:Q433_16975
ko:K03969	bsus:Q433_03490
ko:K06872	bsus:Q433_03500
ko:K00004	bsus:Q433_03525
ko:K06324	bsus:Q433_03560
ko:K11735	bsus:Q433_03565
ko:K03924	bsus:Q433_03580
ko:K01951	bsus:Q433_03600
ko:K06901	bsus:Q433_03605
ko:K01588	bsus:Q433_03645
ko:K01589	bsus:Q433_03650
ko:K01756	bsus:Q433_03655
ko:K01923	bsus:Q433_03660
ko:K01952	bsus:Q433_03665
ko:K01952	bsus:Q433_03670
ko:K01952	bsus:Q433_03675
ko:K00764	bsus:Q433_03680
ko:K01933	bsus:Q433_03685
ko:K11175	bsus:Q433_03690
ko:K00602	bsus:Q433_03695
ko:K01945	bsus:Q433_03700
ko:K16263	bsus:Q433_03710
ko:K01486	bsus:Q433_03720
ko:K07094	bsus:Q433_03745
ko:K03657	bsus:Q433_03750
ko:K01972	bsus:Q433_03755
ko:K07507	bsus:Q433_03770
ko:K03307	bsus:Q433_03775
ko:K02435	bsus:Q433_03780
ko:K02433	bsus:Q433_03785
ko:K03590	bsus:Q433_08760
ko:K03531	bsus:Q433_08765
ko:K13276	bsus:Q433_08775
ko:K06383	bsus:Q433_08780
ko:K03091	bsus:Q433_08785
ko:K03091	bsus:Q433_08790
ko:K02013	bsus:Q433_08795
ko:K05810	bsus:Q433_08815
ko:K06997	bsus:Q433_08820
ko:K09772	bsus:Q433_08825
ko:K02221	bsus:Q433_08830
ko:K04074	bsus:Q433_08840
ko:K01870	bsus:Q433_08855
ko:K03101	bsus:Q433_08865
ko:K06180	bsus:Q433_08870
ko:K02825	bsus:Q433_08880
ko:K02824	bsus:Q433_08885
ko:K00609	bsus:Q433_08890
ko:K01465	bsus:Q433_08895
ko:K01956	bsus:Q433_08900
ko:K01955	bsus:Q433_08905
ko:K02823	bsus:Q433_08910
ko:K17828	bsus:Q433_08915
ko:K01591	bsus:Q433_08920
ko:K00762	bsus:Q433_08925
ko:K00390	bsus:Q433_08940
ko:K16331	bsus:Q433_08945
ko:K00958	bsus:Q433_08950
ko:K00860	bsus:Q433_08955
ko:K02303	bsus:Q433_08960
ko:K03794	bsus:Q433_08965
ko:K02304	bsus:Q433_08970
ko:K01537	bsus:Q433_08980
ko:K09777	bsus:Q433_08990
ko:K00942	bsus:Q433_08995
ko:K03060	bsus:Q433_09000
ko:K13038	bsus:Q433_09005
ko:K04066	bsus:Q433_09010
ko:K01462	bsus:Q433_09015
ko:K00604	bsus:Q433_09020
ko:K03500	bsus:Q433_09025
ko:K06941	bsus:Q433_09030
ko:K06949	bsus:Q433_09045
ko:K01783	bsus:Q433_09050
ko:K00949	bsus:Q433_09055
ko:K02902	bsus:Q433_09065
ko:K07030	bsus:Q433_09075
ko:K01752	bsus:Q433_09080
ko:K07037	bsus:Q433_13855
ko:K06438	bsus:Q433_13870
ko:K07403	bsus:Q433_13890
ko:K09117	bsus:Q433_13895
ko:K02970	bsus:Q433_13900
ko:K03324	bsus:Q433_13905
ko:K18707	bsus:Q433_13910
ko:K09761	bsus:Q433_13915
ko:K02687	bsus:Q433_13920
ko:K03686	bsus:Q433_13925
ko:K04043	bsus:Q433_13930
ko:K03687	bsus:Q433_13935
ko:K03705	bsus:Q433_13940
ko:K03596	bsus:Q433_13950
ko:K06385	bsus:Q433_13960
ko:K06012	bsus:Q433_13965
ko:K02968	bsus:Q433_13970
ko:K02340	bsus:Q433_13975
ko:K02238	bsus:Q433_13990
ko:K02237	bsus:Q433_14000
ko:K02239	bsus:Q433_14005
ko:K09710	bsus:Q433_14015
ko:K00969	bsus:Q433_14025
ko:K07574	bsus:Q433_14030
ko:K00014	bsus:Q433_14035
ko:K06948	bsus:Q433_14040
ko:K07015	bsus:Q433_14045
ko:K06371	bsus:Q433_14050
ko:K00033	bsus:Q433_14085
ko:K03091	bsus:Q433_14105
ko:K07148	bsus:Q433_14125
ko:K07090	bsus:Q433_14155
ko:K01358	bsus:Q433_18915
ko:K01838	bsus:Q433_18920
ko:K01182	bsus:Q433_18925
ko:K00691	bsus:Q433_18930
ko:K15772	bsus:Q433_18940
ko:K15771	bsus:Q433_18945
ko:K15770	bsus:Q433_18950
ko:K06966	bsus:Q433_18965
ko:K03321	bsus:Q433_18975
ko:K01673	bsus:Q433_18980
ko:K00090	bsus:Q433_18985
ko:K02004	bsus:Q433_18990
ko:K02003	bsus:Q433_18995
ko:K00675	bsus:Q433_19015
ko:K11184	bsus:Q433_19020
ko:K09762	bsus:Q433_19025
ko:K06958	bsus:Q433_19035
ko:K03574	bsus:Q433_19040
ko:K00384	bsus:Q433_19050
ko:K18104	bsus:Q433_19065
ko:K02500	bsus:Q433_19095
ko:K01814	bsus:Q433_19100
ko:K02501	bsus:Q433_19105
ko:K01693	bsus:Q433_19110
ko:K00013	bsus:Q433_19115
ko:K00765	bsus:Q433_19120
ko:K02502	bsus:Q433_19125
ko:K06019	bsus:Q433_19145
ko:K13292	bsus:Q433_19155
ko:K06023	bsus:Q433_19160
ko:K01876	bsus:Q433_14845
ko:K01892	bsus:Q433_14850
ko:K01448	bsus:Q433_14865
ko:K07560	bsus:Q433_14870
ko:K00951	bsus:Q433_14875
ko:K00759	bsus:Q433_14880
ko:K07462	bsus:Q433_14885
ko:K07228	bsus:Q433_14895
ko:K12257	bsus:Q433_14905
ko:K06409	bsus:Q433_14915
ko:K03210	bsus:Q433_14935
ko:K00773	bsus:Q433_14940
ko:K07568	bsus:Q433_14945
ko:K03551	bsus:Q433_14955
ko:K03550	bsus:Q433_14960
ko:K06318	bsus:Q433_14965
ko:K00010	bsus:Q433_14975
ko:K03310	bsus:Q433_15000
ko:K06370	bsus:Q433_15015
ko:K03517	bsus:Q433_15020
ko:K00767	bsus:Q433_15025
ko:K00278	bsus:Q433_15030
ko:K04487	bsus:Q433_15035
ko:K07105	bsus:Q433_15040
ko:K04518	bsus:Q433_15045
ko:K06209	bsus:Q433_15050
ko:K03979	bsus:Q433_15055
ko:K06375	bsus:Q433_15060
ko:K02899	bsus:Q433_15070
ko:K07584	bsus:Q433_15075
ko:K02888	bsus:Q433_15080
ko:K06402	bsus:Q433_15085
ko:K06401	bsus:Q433_15090
ko:K03609	bsus:Q433_15100
ko:K03610	bsus:Q433_15105
ko:K03571	bsus:Q433_15110
ko:K03570	bsus:Q433_15115
ko:K03569	bsus:Q433_15120
ko:K03630	bsus:Q433_15125
ko:K06287	bsus:Q433_15130
ko:K06380	bsus:Q433_15135
ko:K02236	bsus:Q433_15140
ko:K11754	bsus:Q433_15150
ko:K01652	bsus:Q433_19745
ko:K03893	bsus:Q433_19755
ko:K06325	bsus:Q433_19765
ko:K06330	bsus:Q433_19770
ko:K00681	bsus:Q433_19790
ko:K07240	bsus:Q433_19800
ko:K07240	bsus:Q433_19805
ko:K05982	bsus:Q433_19825
ko:K00012	bsus:Q433_19875
ko:K01104	bsus:Q433_19880
ko:K07284	bsus:Q433_19940
ko:K03282	bsus:Q433_19955
ko:K02372	bsus:Q433_19960
ko:K02392	bsus:Q433_19970
ko:K02392	bsus:Q433_19975
ko:K03569	bsus:Q433_19985
ko:K06283	bsus:Q433_19990
ko:K03457	bsus:Q433_20015
ko:K03320	bsus:Q433_20035
ko:K04751	bsus:Q433_20040
ko:K02619	bsus:Q433_00465
ko:K00796	bsus:Q433_00470
ko:K01633	bsus:Q433_00475
ko:K00950	bsus:Q433_00480
ko:K04567	bsus:Q433_00495
ko:K03708	bsus:Q433_00585
ko:K03696	bsus:Q433_00600
ko:K04485	bsus:Q433_00605
ko:K07067	bsus:Q433_00610
ko:K02809	bsus:Q433_01065
ko:K02810	bsus:Q433_01065
ko:K07106	bsus:Q433_01075
ko:K03088	bsus:Q433_01115
ko:K18672	bsus:Q433_01125
ko:K03431	bsus:Q433_01135
ko:K00820	bsus:Q433_01145
ko:K01247	bsus:Q433_01155
ko:K13530	bsus:Q433_01160
ko:K13531	bsus:Q433_01165
ko:K05577	bsus:Q433_01170
ko:K09822	bsus:Q433_01175
ko:K18104	bsus:Q433_01255
ko:K15629	bsus:Q433_01315
ko:K01126	bsus:Q433_01330
ko:K02445	bsus:Q433_01335
ko:K08289	bsus:Q433_01380
ko:K17103	bsus:Q433_01400
ko:K01613	bsus:Q433_01410
ko:K07146	bsus:Q433_01425
ko:K11102	bsus:Q433_01430
ko:K02564	bsus:Q433_01440
ko:K00826	bsus:Q433_01460
ko:K16235	bsus:Q433_01465
ko:K00547	bsus:Q433_01470
ko:K11626	bsus:Q433_01480
ko:K01425	bsus:Q433_01485
ko:K07717	bsus:Q433_01490
ko:K07719	bsus:Q433_01495
ko:K01707	bsus:Q433_01500
ko:K03535	bsus:Q433_01510
ko:K01990	bsus:Q433_05165
ko:K01992	bsus:Q433_05175
ko:K03704	bsus:Q433_05180
ko:K02073	bsus:Q433_05190
ko:K06956	bsus:Q433_05200
ko:K07284	bsus:Q433_05230
ko:K06180	bsus:Q433_05235
ko:K02443	bsus:Q433_05270
ko:K02440	bsus:Q433_05275
ko:K00864	bsus:Q433_05280
ko:K00111	bsus:Q433_05285
ko:K01835	bsus:Q433_05290
ko:K02480	bsus:Q433_05295
ko:K03206	bsus:Q433_05305
ko:K13771	bsus:Q433_05325
ko:K01077	bsus:Q433_05340
ko:K01647	bsus:Q433_05355
ko:K03294	bsus:Q433_05365
ko:K03308	bsus:Q433_05370
ko:K00375	bsus:Q433_05375
ko:K03088	bsus:Q433_05395
ko:K00655	bsus:Q433_05405
ko:K11358	bsus:Q433_05420
ko:K06199	bsus:Q433_05435
ko:K06199	bsus:Q433_05440
ko:K01126	bsus:Q433_05445
ko:K16052	bsus:Q433_05455
ko:K12410	bsus:Q433_05460
ko:K00854	bsus:Q433_10380
ko:K01775	bsus:Q433_10400
ko:K03116	bsus:Q433_10455
ko:K06312	bsus:Q433_10500
ko:K11210	bsus:Q433_10535
ko:K01356	bsus:Q433_10550
ko:K00615	bsus:Q433_10570
ko:K09976	bsus:Q433_10585
ko:K06196	bsus:Q433_10595
ko:K03413	bsus:Q433_10600
ko:K06335	bsus:Q433_10615
ko:K06433	bsus:Q433_10620
ko:K06432	bsus:Q433_10625
ko:K01681	bsus:Q433_10630
ko:K06431	bsus:Q433_10645
ko:K06434	bsus:Q433_10650
ko:K07107	bsus:Q433_10655
ko:K08591	bsus:Q433_10670
ko:K02622	bsus:Q433_10685
ko:K02621	bsus:Q433_10690
ko:K03310	bsus:Q433_10710
ko:K15924	bsus:Q433_10725
ko:K09888	bsus:Q433_15480
ko:K03471	bsus:Q433_15485
ko:K01890	bsus:Q433_15490
ko:K01889	bsus:Q433_15495
ko:K03437	bsus:Q433_15505
ko:K06426	bsus:Q433_15510
ko:K02647	bsus:Q433_15515
ko:K00104	bsus:Q433_15520
ko:K11473	bsus:Q433_15525
ko:K01759	bsus:Q433_15530
ko:K06200	bsus:Q433_15535
ko:K01209	bsus:Q433_15540
ko:K17236	bsus:Q433_15545
ko:K17235	bsus:Q433_15550
ko:K17234	bsus:Q433_15555
ko:K00096	bsus:Q433_15560
ko:K00853	bsus:Q433_15575
ko:K01804	bsus:Q433_15580
ko:K06113	bsus:Q433_15590
ko:K02887	bsus:Q433_15610
ko:K02916	bsus:Q433_15615
ko:K02520	bsus:Q433_15620
ko:K05339	bsus:Q433_15640
ko:K05338	bsus:Q433_15645
ko:K07705	bsus:Q433_15655
ko:K07704	bsus:Q433_15660
ko:K07025	bsus:Q433_15665
ko:K01868	bsus:Q433_15670
ko:K11144	bsus:Q433_15690
ko:K03346	bsus:Q433_15695
ko:K07738	bsus:Q433_15700
ko:K01611	bsus:Q433_15710
ko:K00134	bsus:Q433_15715
ko:K00859	bsus:Q433_15735
ko:K10563	bsus:Q433_15745
ko:K07636	bsus:Q433_15760
ko:K07658	bsus:Q433_15765
ko:K00024	bsus:Q433_15775
ko:K00031	bsus:Q433_15780
ko:K02909	bsus:Q433_20375
ko:K03628	bsus:Q433_20380
ko:K02446	bsus:Q433_20390
ko:K00790	bsus:Q433_20395
ko:K00616	bsus:Q433_20405
ko:K01624	bsus:Q433_20410
ko:K02490	bsus:Q433_20415
ko:K01937	bsus:Q433_20425
ko:K03048	bsus:Q433_20430
ko:K06131	bsus:Q433_20450
ko:K06147	bsus:Q433_20470
ko:K06131	bsus:Q433_20475
ko:K00374	bsus:Q433_20485
ko:K00373	bsus:Q433_20490
ko:K00371	bsus:Q433_20495
ko:K00370	bsus:Q433_20500
ko:K02575	bsus:Q433_20525
ko:K01887	bsus:Q433_20530
ko:K01990	bsus:Q433_20555
ko:K01990	bsus:Q433_20625
ko:K01480	bsus:Q433_20635
ko:K00797	bsus:Q433_20640
ko:K01821	bsus:Q433_20660
ko:K01706	bsus:Q433_01515
ko:K01708	bsus:Q433_01525
ko:K01449	bsus:Q433_01590
ko:K01113	bsus:Q433_01605
ko:K03116	bsus:Q433_01610
ko:K03118	bsus:Q433_01615
ko:K01304	bsus:Q433_01620
ko:K01424	bsus:Q433_01645
ko:K07039	bsus:Q433_01660
ko:K09697	bsus:Q433_01675
ko:K09696	bsus:Q433_01680
ko:K00034	bsus:Q433_01720
ko:K01182	bsus:Q433_01725
ko:K09815	bsus:Q433_01730
ko:K09817	bsus:Q433_01735
ko:K09816	bsus:Q433_01740
ko:K05795	bsus:Q433_01755
ko:K05795	bsus:Q433_01760
ko:K08369	bsus:Q433_01780
ko:K02000	bsus:Q433_01800
ko:K02001	bsus:Q433_01805
ko:K02002	bsus:Q433_01810
ko:K14665	bsus:Q433_01815
ko:K01176	bsus:Q433_01835
ko:K00016	bsus:Q433_01845
ko:K03303	bsus:Q433_01850
ko:K09190	bsus:Q433_01870
ko:K09967	bsus:Q433_01880
ko:K01916	bsus:Q433_01885
ko:K00891	bsus:Q433_01900
ko:K01060	bsus:Q433_01915
ko:K07074	bsus:Q433_01920
ko:K00318	bsus:Q433_01925
ko:K00294	bsus:Q433_01930
ko:K11928	bsus:Q433_01935
ko:K08986	bsus:Q433_01945
ko:K07089	bsus:Q433_01950
ko:K13542	bsus:Q433_01965
ko:K00363	bsus:Q433_01970
ko:K00362	bsus:Q433_01975
ko:K00372	bsus:Q433_01980
ko:K00362	bsus:Q433_01985
ko:K02575	bsus:Q433_01990
ko:K09007	bsus:Q433_01995
ko:K10009	bsus:Q433_02015
ko:K02424	bsus:Q433_02020
ko:K01223	bsus:Q433_02045
ko:K03406	bsus:Q433_02060
ko:K08094	bsus:Q433_02065
ko:K08093	bsus:Q433_02070
ko:K15656	bsus:Q433_02095
ko:K15657	bsus:Q433_02100
ko:K06133	bsus:Q433_02130
ko:K10010	bsus:Q433_02145
ko:K10009	bsus:Q433_02150
ko:K02424	bsus:Q433_02155
ko:K03186	bsus:Q433_02165
ko:K01259	bsus:Q433_02185
ko:K03305	bsus:Q433_02190
ko:K06295	bsus:Q433_02205
ko:K06297	bsus:Q433_02210
ko:K06296	bsus:Q433_02215
ko:K02003	bsus:Q433_02220
ko:K02004	bsus:Q433_02225
ko:K00928	bsus:Q433_02260
ko:K02015	bsus:Q433_02270
ko:K02015	bsus:Q433_02275
ko:K02013	bsus:Q433_02280
ko:K02016	bsus:Q433_02285
ko:K00375	bsus:Q433_02315
ko:K07250	bsus:Q433_02320
ko:K00135	bsus:Q433_02325
ko:K05340	bsus:Q433_02330
ko:K00034	bsus:Q433_02335
ko:K14166	bsus:Q433_02345
ko:K02799	bsus:Q433_02360
ko:K02800	bsus:Q433_02360
ko:K02798	bsus:Q433_02365
ko:K00009	bsus:Q433_02370
ko:K07246	bsus:Q433_02375
ko:K00991	bsus:Q433_00620
ko:K01770	bsus:Q433_00625
ko:K09698	bsus:Q433_00630
ko:K00640	bsus:Q433_00640
ko:K01883	bsus:Q433_00645
ko:K11145	bsus:Q433_00650
ko:K03218	bsus:Q433_00655
ko:K06962	bsus:Q433_00660
ko:K03091	bsus:Q433_00665
ko:K02913	bsus:Q433_00670
ko:K03073	bsus:Q433_00675
ko:K02601	bsus:Q433_00680
ko:K02867	bsus:Q433_00685
ko:K02863	bsus:Q433_00690
ko:K02864	bsus:Q433_00695
ko:K02935	bsus:Q433_00700
ko:K00564	bsus:Q433_00705
ko:K03043	bsus:Q433_00710
ko:K03046	bsus:Q433_00715
ko:K07590	bsus:Q433_00725
ko:K02950	bsus:Q433_00730
ko:K02992	bsus:Q433_00735
ko:K02355	bsus:Q433_00740
ko:K02358	bsus:Q433_00745
ko:K02946	bsus:Q433_00760
ko:K02906	bsus:Q433_00765
ko:K02926	bsus:Q433_00770
ko:K02892	bsus:Q433_00775
ko:K02886	bsus:Q433_00780
ko:K02965	bsus:Q433_00785
ko:K02890	bsus:Q433_00790
ko:K02982	bsus:Q433_00795
ko:K02878	bsus:Q433_00800
ko:K02904	bsus:Q433_00805
ko:K02961	bsus:Q433_00810
ko:K02874	bsus:Q433_00815
ko:K02895	bsus:Q433_00820
ko:K02931	bsus:Q433_00825
ko:K02954	bsus:Q433_00830
ko:K02994	bsus:Q433_00835
ko:K02933	bsus:Q433_00840
ko:K02881	bsus:Q433_00845
ko:K02988	bsus:Q433_00850
ko:K02907	bsus:Q433_00855
ko:K02876	bsus:Q433_00860
ko:K03076	bsus:Q433_00865
ko:K00939	bsus:Q433_00870
ko:K01265	bsus:Q433_00875
ko:K02518	bsus:Q433_00885
ko:K02919	bsus:Q433_00890
ko:K02952	bsus:Q433_00895
ko:K02948	bsus:Q433_00900
ko:K03040	bsus:Q433_00905
ko:K02879	bsus:Q433_00910
ko:K16786	bsus:Q433_00915
ko:K16787	bsus:Q433_00920
ko:K16785	bsus:Q433_00925
ko:K06173	bsus:Q433_00930
ko:K02871	bsus:Q433_00935
ko:K02996	bsus:Q433_00940
ko:K01448	bsus:Q433_00955
ko:K06294	bsus:Q433_00970
ko:K06349	bsus:Q433_00975
ko:K03321	bsus:Q433_01010
ko:K02015	bsus:Q433_01025
ko:K02015	bsus:Q433_01030
ko:K02016	bsus:Q433_01035
ko:K01207	bsus:Q433_01055
ko:K16043	bsus:Q433_06135
ko:K06895	bsus:Q433_06145
ko:K00860	bsus:Q433_06165
ko:K00958	bsus:Q433_06170
ko:K00390	bsus:Q433_06175
ko:K05979	bsus:Q433_06180
ko:K07217	bsus:Q433_07110
ko:K03088	bsus:Q433_07160
ko:K06389	bsus:Q433_07315
ko:K06388	bsus:Q433_07320
ko:K03306	bsus:Q433_07325
ko:K07220	bsus:Q433_07330
ko:K03294	bsus:Q433_07335
ko:K15975	bsus:Q433_07345
ko:K00286	bsus:Q433_07380
ko:K16203	bsus:Q433_07385
ko:K16200	bsus:Q433_07390
ko:K16201	bsus:Q433_07395
ko:K16202	bsus:Q433_07400
ko:K16199	bsus:Q433_07405
ko:K01297	bsus:Q433_07415
ko:K07404	bsus:Q433_07435
ko:K00800	bsus:Q433_12315
ko:K04517	bsus:Q433_12320
ko:K00817	bsus:Q433_12325
ko:K01695	bsus:Q433_12330
ko:K01696	bsus:Q433_12335
ko:K01817	bsus:Q433_12340
ko:K01609	bsus:Q433_12345
ko:K00766	bsus:Q433_12350
ko:K01657	bsus:Q433_12355
ko:K06208	bsus:Q433_12360
ko:K01735	bsus:Q433_12365
ko:K01736	bsus:Q433_12370
ko:K00575	bsus:Q433_12375
ko:K00940	bsus:Q433_12385
ko:K00805	bsus:Q433_12390
ko:K03183	bsus:Q433_12395
ko:K00805	bsus:Q433_12400
ko:K06285	bsus:Q433_12405
ko:K01495	bsus:Q433_12410
ko:K03530	bsus:Q433_12415
ko:K06398	bsus:Q433_12425
ko:K00057	bsus:Q433_12440
ko:K03977	bsus:Q433_12445
ko:K05739	bsus:Q433_12455
ko:K01823	bsus:Q433_12470
ko:K02945	bsus:Q433_12475
ko:K00945	bsus:Q433_12480
ko:K06313	bsus:Q433_12495
ko:K01449	bsus:Q433_12500
ko:K00384	bsus:Q433_12515
ko:K00260	bsus:Q433_12520
ko:K16511	bsus:Q433_12530
ko:K07052	bsus:Q433_12550
ko:K03654	bsus:Q433_12555
ko:K05337	bsus:Q433_12565
ko:K00058	bsus:Q433_12580
ko:K03785	bsus:Q433_12585
ko:K03088	bsus:Q433_12595
ko:K07651	bsus:Q433_12600
ko:K07775	bsus:Q433_12605
ko:K07399	bsus:Q433_12615
ko:K07680	bsus:Q433_17335
ko:K02251	bsus:Q433_17345
ko:K00763	bsus:Q433_17370
ko:K06950	bsus:Q433_17410
ko:K16216	bsus:Q433_17415
ko:K03466	bsus:Q433_17430
ko:K00259	bsus:Q433_17465
ko:K04780	bsus:Q433_17480
ko:K01252	bsus:Q433_17485
ko:K02363	bsus:Q433_17490
ko:K02361	bsus:Q433_17495
ko:K00216	bsus:Q433_17500
ko:K07017	bsus:Q433_17505
ko:K03523	bsus:Q433_17525
ko:K07084	bsus:Q433_17530
ko:K01255	bsus:Q433_17535
ko:K09775	bsus:Q433_17540
ko:K03885	bsus:Q433_17560
ko:K00364	bsus:Q433_17580
ko:K07734	bsus:Q433_17585
ko:K13628	bsus:Q433_17595
ko:K01778	bsus:Q433_17600
ko:K03317	bsus:Q433_17610
ko:K03885	bsus:Q433_17620
ko:K00872	bsus:Q433_17640
ko:K01733	bsus:Q433_17645
ko:K00003	bsus:Q433_17650
ko:K06714	bsus:Q433_22225
ko:K02484	bsus:Q433_22230
ko:K07652	bsus:Q433_22270
ko:K07668	bsus:Q433_22275
ko:K01939	bsus:Q433_22300
ko:K03449	bsus:Q433_22340
ko:K02939	bsus:Q433_22350
ko:K06329	bsus:Q433_22375
ko:K15986	bsus:Q433_22385
ko:K08224	bsus:Q433_22430
ko:K06888	bsus:Q433_22495
ko:K07052	bsus:Q433_22500
ko:K08369	bsus:Q433_22505
ko:K00661	bsus:Q433_22510
ko:K01759	bsus:Q433_22515
ko:K01142	bsus:Q433_22525
ko:K02963	bsus:Q433_22530
ko:K02990	bsus:Q433_22540
ko:K08097	bsus:Q433_06185
ko:K08221	bsus:Q433_06200
ko:K09767	bsus:Q433_06225
ko:K00243	bsus:Q433_06230
ko:K08777	bsus:Q433_06265
ko:K06889	bsus:Q433_06300
ko:K00145	bsus:Q433_06325
ko:K00620	bsus:Q433_06330
ko:K00930	bsus:Q433_06335
ko:K01956	bsus:Q433_06345
ko:K01955	bsus:Q433_06350
ko:K00611	bsus:Q433_06355
ko:K05519	bsus:Q433_06385
ko:K02254	bsus:Q433_06390
ko:K00648	bsus:Q433_06400
ko:K09458	bsus:Q433_06405
ko:K02035	bsus:Q433_06425
ko:K02033	bsus:Q433_06430
ko:K08976	bsus:Q433_11395
ko:K10255	bsus:Q433_11415
ko:K07778	bsus:Q433_11420
ko:K07693	bsus:Q433_11425
ko:K03654	bsus:Q433_11440
ko:K01118	bsus:Q433_11455
ko:K13993	bsus:Q433_11475
ko:K00128	bsus:Q433_11500
ko:K18115	bsus:Q433_11505
ko:K04564	bsus:Q433_11510
ko:K03308	bsus:Q433_11515
ko:K03453	bsus:Q433_11520
ko:K00658	bsus:Q433_11525
ko:K00164	bsus:Q433_11530
ko:K03327	bsus:Q433_11570
ko:K17763	bsus:Q433_11575
ko:K05786	bsus:Q433_11595
ko:K03299	bsus:Q433_11610
ko:K06999	bsus:Q433_11630
ko:K15975	bsus:Q433_11635
ko:K03307	bsus:Q433_11645
ko:K03797	bsus:Q433_11650
ko:K07260	bsus:Q433_11665
ko:K03784	bsus:Q433_11675
ko:K02529	bsus:Q433_16410
ko:K10117	bsus:Q433_16415
ko:K10118	bsus:Q433_16420
ko:K10119	bsus:Q433_16425
ko:K07406	bsus:Q433_16430
ko:K01869	bsus:Q433_16440
ko:K11632	bsus:Q433_16475
ko:K11631	bsus:Q433_16480
ko:K11629	bsus:Q433_16485
ko:K11630	bsus:Q433_16490
ko:K16918	bsus:Q433_16495
ko:K16920	bsus:Q433_16500
ko:K16919	bsus:Q433_16505
ko:K16919	bsus:Q433_16510
ko:K07979	bsus:Q433_16520
ko:K07139	bsus:Q433_16535
ko:K16188	bsus:Q433_16545
ko:K01048	bsus:Q433_16550
ko:K01953	bsus:Q433_16565
ko:K00789	bsus:Q433_16570
ko:K01610	bsus:Q433_16580
ko:K02051	bsus:Q433_16595
ko:K02049	bsus:Q433_16600
ko:K02050	bsus:Q433_16605
ko:K04047	bsus:Q433_16625
ko:K07173	bsus:Q433_16640
ko:K08998	bsus:Q433_16645
ko:K01673	bsus:Q433_16650
ko:K02909	bsus:Q433_16655
ko:K00425	bsus:Q433_16660
ko:K00426	bsus:Q433_16665
ko:K11709	bsus:Q433_16675
ko:K11708	bsus:Q433_16680
ko:K11710	bsus:Q433_16685
ko:K11707	bsus:Q433_16690
ko:K02549	bsus:Q433_16700
ko:K01911	bsus:Q433_16705
ko:K01661	bsus:Q433_16710
ko:K08680	bsus:Q433_16715
ko:K01990	bsus:Q433_21310
ko:K03088	bsus:Q433_21330
ko:K03457	bsus:Q433_21335
ko:K17758	bsus:Q433_21340
ko:K16012	bsus:Q433_21345
ko:K16013	bsus:Q433_21350
ko:K00426	bsus:Q433_21355
ko:K00425	bsus:Q433_21360
ko:K10112	bsus:Q433_21385
ko:K00128	bsus:Q433_21395
ko:K01784	bsus:Q433_21415
ko:K06910	bsus:Q433_21420
ko:K01258	bsus:Q433_21450
ko:K00549	bsus:Q433_21480
ko:K00019	bsus:Q433_21485
ko:K01029	bsus:Q433_21490
ko:K01028	bsus:Q433_21495
ko:K00563	bsus:Q433_21510
ko:K16323	bsus:Q433_21520
ko:K03781	bsus:Q433_21535
ko:K03300	bsus:Q433_21540
ko:K03488	bsus:Q433_21555
ko:K06902	bsus:Q433_21570
ko:K06959	bsus:Q433_02790
ko:K03095	bsus:Q433_02800
ko:K07729	bsus:Q433_02855
ko:K03704	bsus:Q433_02890
ko:K11189	bsus:Q433_02960
ko:K00375	bsus:Q433_02975
ko:K07002	bsus:Q433_02985
ko:K03893	bsus:Q433_03020
ko:K11623	bsus:Q433_03075
ko:K07150	bsus:Q433_03100
ko:K15976	bsus:Q433_03115
ko:K15975	bsus:Q433_03120
ko:K15977	bsus:Q433_03125
ko:K03839	bsus:Q433_08110
ko:K03839	bsus:Q433_08120
ko:K05822	bsus:Q433_08125
ko:K05823	bsus:Q433_08130
ko:K03752	bsus:Q433_08170
ko:K03750	bsus:Q433_08185
ko:K03753	bsus:Q433_08190
ko:K03635	bsus:Q433_08195
ko:K03636	bsus:Q433_08200
ko:K06147	bsus:Q433_08205
ko:K06147	bsus:Q433_08210
ko:K02005	bsus:Q433_08220
ko:K02003	bsus:Q433_08225
ko:K02004	bsus:Q433_08230
ko:K03436	bsus:Q433_08235
ko:K00882	bsus:Q433_08240
ko:K02768	bsus:Q433_08245
ko:K02769	bsus:Q433_08245
ko:K02770	bsus:Q433_08245
ko:K03100	bsus:Q433_08250
ko:K00077	bsus:Q433_08265
ko:K03569	bsus:Q433_08280
ko:K06284	bsus:Q433_08290
ko:K07698	bsus:Q433_08295
ko:K03499	bsus:Q433_08305
ko:K01486	bsus:Q433_08310
ko:K12574	bsus:Q433_08315
ko:K01462	bsus:Q433_08335
ko:K00161	bsus:Q433_08350
ko:K00162	bsus:Q433_08355
ko:K00627	bsus:Q433_08360
ko:K00382	bsus:Q433_08365
ko:K01092	bsus:Q433_08410
ko:K07699	bsus:Q433_13250
ko:K06399	bsus:Q433_13260
ko:K03631	bsus:Q433_13265
ko:K03402	bsus:Q433_13270
ko:K06442	bsus:Q433_13275
ko:K01662	bsus:Q433_13280
ko:K13789	bsus:Q433_13290
ko:K03602	bsus:Q433_13295
ko:K03601	bsus:Q433_13300
ko:K01491	bsus:Q433_13305
ko:K03625	bsus:Q433_13310
ko:K01961	bsus:Q433_13325
ko:K02160	bsus:Q433_13330
ko:K06397	bsus:Q433_13335
ko:K06396	bsus:Q433_13340
ko:K06395	bsus:Q433_13345
