ko:K00086	kpx:PMK1_01008
ko:K02963	kpx:PMK1_02066
ko:K02939	kpx:PMK1_02067
ko:K07269	kpx:PMK1_02068
ko:K03773	kpx:PMK1_02069
ko:K11737	kpx:PMK1_02070
ko:K07322	kpx:PMK1_02071
ko:K01119	kpx:PMK1_02076
ko:K01082	kpx:PMK1_02077
ko:K07109	kpx:PMK1_02078
ko:K02099	kpx:PMK1_02080
ko:K12308	kpx:PMK1_02081
ko:K02532	kpx:PMK1_02082
ko:K07304	kpx:PMK1_02084
ko:K07278	kpx:PMK1_02085
ko:K02015	kpx:PMK1_02848
ko:K02016	kpx:PMK1_02849
ko:K10013	kpx:PMK1_02853
ko:K01130	kpx:PMK1_02857
ko:K06871	kpx:PMK1_02858
ko:K06995	kpx:PMK1_02866
ko:K09471	kpx:PMK1_02867
ko:K02014	kpx:PMK1_02870
ko:K11732	kpx:PMK1_02871
ko:K16053	kpx:PMK1_02877
ko:K10679	kpx:PMK1_02883
ko:K18325	kpx:PMK1_02887
ko:K06048	kpx:PMK1_02894
ko:K00375	kpx:PMK1_02897
ko:K07054	kpx:PMK1_00306
ko:K01923	kpx:PMK1_00307
ko:K07287	kpx:PMK1_00308
ko:K01714	kpx:PMK1_00309
ko:K03567	kpx:PMK1_00310
ko:K03564	kpx:PMK1_00311
ko:K03548	kpx:PMK1_00312
ko:K00537	kpx:PMK1_00314
ko:K10763	kpx:PMK1_00316
ko:K02824	kpx:PMK1_00317
ko:K00761	kpx:PMK1_00318
ko:K01223	kpx:PMK1_00319
ko:K18673	kpx:PMK1_00320
ko:K01933	kpx:PMK1_00321
ko:K11175	kpx:PMK1_00322
ko:K00937	kpx:PMK1_00323
ko:K01524	kpx:PMK1_00324
ko:K06871	kpx:PMK1_00329
ko:K01951	kpx:PMK1_00334
ko:K00088	kpx:PMK1_00335
ko:K03601	kpx:PMK1_00336
ko:K03977	kpx:PMK1_00339
ko:K17713	kpx:PMK1_00340
ko:K01892	kpx:PMK1_00342
ko:K15539	kpx:PMK1_00344
ko:K06941	kpx:PMK1_00345
ko:K00940	kpx:PMK1_00346
ko:K05367	kpx:PMK1_00347
ko:K06894	kpx:PMK1_00348
ko:K01011	kpx:PMK1_00349
ko:K07751	kpx:PMK1_00352
ko:K04755	kpx:PMK1_00354
ko:K04044	kpx:PMK1_00355
ko:K04082	kpx:PMK1_00356
ko:K13628	kpx:PMK1_00357
ko:K04488	kpx:PMK1_00358
ko:K00266	kpx:PMK1_01133
ko:K01788	kpx:PMK1_01134
ko:K03600	kpx:PMK1_01135
ko:K03599	kpx:PMK1_01136
ko:K02996	kpx:PMK1_01137
ko:K02871	kpx:PMK1_01138
ko:K06916	kpx:PMK1_01139
ko:K09908	kpx:PMK1_01140
ko:K04691	kpx:PMK1_01142
ko:K01572	kpx:PMK1_01144
ko:K01571	kpx:PMK1_01145
ko:K01573	kpx:PMK1_01146
ko:K03780	kpx:PMK1_01147
ko:K03779	kpx:PMK1_01148
ko:K00024	kpx:PMK1_01152
ko:K03402	kpx:PMK1_01153
ko:K03623	kpx:PMK1_01156
ko:K03468	kpx:PMK1_01157
ko:K15548	kpx:PMK1_01158
ko:K03568	kpx:PMK1_01161
ko:K08301	kpx:PMK1_01163
ko:K06287	kpx:PMK1_01164
ko:K03571	kpx:PMK1_01165
ko:K03570	kpx:PMK1_01166
ko:K03569	kpx:PMK1_01167
ko:K18765	kpx:PMK1_01168
ko:K17247	kpx:PMK1_01170
ko:K03786	kpx:PMK1_01171
ko:K02160	kpx:PMK1_01172
ko:K01961	kpx:PMK1_01173
ko:K14392	kpx:PMK1_01175
ko:K02687	kpx:PMK1_01176
ko:K05540	kpx:PMK1_01177
ko:K03557	kpx:PMK1_01178
ko:K18140	kpx:PMK1_01179
ko:K18141	kpx:PMK1_01180
ko:K18142	kpx:PMK1_01181
ko:K13631	kpx:PMK1_01936
ko:K13639	kpx:PMK1_01937
ko:K00799	kpx:PMK1_01938
ko:K06901	kpx:PMK1_01939
ko:K03316	kpx:PMK1_01940
ko:K06518	kpx:PMK1_01942
ko:K07347	kpx:PMK1_01946
ko:K14393	kpx:PMK1_01949
ko:K01895	kpx:PMK1_01951
ko:K11102	kpx:PMK1_01952
ko:K07126	kpx:PMK1_01953
ko:K10439	kpx:PMK1_01960
ko:K10440	kpx:PMK1_01961
ko:K10441	kpx:PMK1_01962
ko:K06167	kpx:PMK1_01965
ko:K05774	kpx:PMK1_01966
ko:K06162	kpx:PMK1_01967
ko:K05780	kpx:PMK1_01968
ko:K05781	kpx:PMK1_01969
ko:K06163	kpx:PMK1_01970
ko:K06164	kpx:PMK1_01971
ko:K06165	kpx:PMK1_01972
ko:K06166	kpx:PMK1_01973
ko:K02043	kpx:PMK1_01974
ko:K04750	kpx:PMK1_01975
ko:K06193	kpx:PMK1_01976
ko:K03762	kpx:PMK1_01977
ko:K07406	kpx:PMK1_01979
ko:K11104	kpx:PMK1_01980
ko:K09914	kpx:PMK1_02745
ko:K07443	kpx:PMK1_02746
ko:K10111	kpx:PMK1_02756
ko:K15770	kpx:PMK1_02757
ko:K15771	kpx:PMK1_02758
ko:K15772	kpx:PMK1_02759
ko:K01224	kpx:PMK1_02760
ko:K12308	kpx:PMK1_02761
ko:K02778	kpx:PMK1_02762
ko:K02024	kpx:PMK1_02763
ko:K02909	kpx:PMK1_02765
ko:K02919	kpx:PMK1_02766
ko:K00375	kpx:PMK1_02768
ko:K00661	kpx:PMK1_02770
ko:K18138	kpx:PMK1_02773
ko:K03585	kpx:PMK1_02774
ko:K03577	kpx:PMK1_02775
ko:K05802	kpx:PMK1_02776
ko:K04067	kpx:PMK1_02779
ko:K09790	kpx:PMK1_02780
ko:K00759	kpx:PMK1_02781
ko:K02343	kpx:PMK1_02782
ko:K09747	kpx:PMK1_02783
ko:K06187	kpx:PMK1_02784
ko:K04079	kpx:PMK1_02785
ko:K00939	kpx:PMK1_02786
ko:K01772	kpx:PMK1_02787
ko:K00892	kpx:PMK1_02788
ko:K03455	kpx:PMK1_02789
ko:K08223	kpx:PMK1_02790
ko:K11751	kpx:PMK1_02791
ko:K09973	kpx:PMK1_02793
ko:K17686	kpx:PMK1_02794
ko:K07340	kpx:PMK1_02796
ko:K00432	kpx:PMK1_03568
ko:K09786	kpx:PMK1_03570
ko:K07180	kpx:PMK1_03571
ko:K01792	kpx:PMK1_03574
ko:K00134	kpx:PMK1_03575
ko:K07305	kpx:PMK1_03576
ko:K09916	kpx:PMK1_03577
ko:K01183	kpx:PMK1_03579
ko:K08281	kpx:PMK1_03580
ko:K01424	kpx:PMK1_03581
ko:K04773	kpx:PMK1_03582
ko:K09474	kpx:PMK1_03585
ko:K01008	kpx:PMK1_03586
ko:K00262	kpx:PMK1_03589
ko:K08320	kpx:PMK1_03590
ko:K05779	kpx:PMK1_03593
ko:K05778	kpx:PMK1_03594
ko:K05777	kpx:PMK1_03595
ko:K01142	kpx:PMK1_03599
ko:K00840	kpx:PMK1_03600
ko:K00673	kpx:PMK1_03601
ko:K06447	kpx:PMK1_03602
ko:K01484	kpx:PMK1_03603
ko:K05526	kpx:PMK1_03604
ko:K05984	kpx:PMK1_03606
ko:K01916	kpx:PMK1_03607
ko:K04064	kpx:PMK1_03608
ko:K02760	kpx:PMK1_03609
ko:K02761	kpx:PMK1_03610
ko:K02759	kpx:PMK1_03611
ko:K03490	kpx:PMK1_03612
ko:K10680	kpx:PMK1_04332
ko:K01759	kpx:PMK1_04333
ko:K03683	kpx:PMK1_04334
ko:K07390	kpx:PMK1_04335
ko:K13631	kpx:PMK1_04337
ko:K04564	kpx:PMK1_04338
ko:K03604	kpx:PMK1_04341
ko:K00574	kpx:PMK1_04344
ko:K00793	kpx:PMK1_04345
ko:K03327	kpx:PMK1_04346
ko:K06966	kpx:PMK1_04348
ko:K01673	kpx:PMK1_04361
ko:K01759	kpx:PMK1_04364
ko:K02035	kpx:PMK1_04366
ko:K02033	kpx:PMK1_04367
ko:K02034	kpx:PMK1_04368
ko:K00852	kpx:PMK1_04376
ko:K01805	kpx:PMK1_04378
ko:K02337	kpx:PMK1_b00075
ko:K06175	kpx:PMK1_00615
ko:K15723	kpx:PMK1_00617
ko:K06879	kpx:PMK1_00618
ko:K06966	kpx:PMK1_00619
ko:K03837	kpx:PMK1_00620
ko:K01752	kpx:PMK1_00621
ko:K15553	kpx:PMK1_00622
ko:K04091	kpx:PMK1_00630
ko:K01146	kpx:PMK1_00632
ko:K00048	kpx:PMK1_00633
ko:K01628	kpx:PMK1_00634
ko:K02429	kpx:PMK1_00635
ko:K01818	kpx:PMK1_00636
ko:K00879	kpx:PMK1_00637
ko:K02431	kpx:PMK1_00638
ko:K02430	kpx:PMK1_00639
ko:K06968	kpx:PMK1_00640
ko:K03566	kpx:PMK1_00642
ko:K01766	kpx:PMK1_00644
ko:K02426	kpx:PMK1_00645
ko:K08304	kpx:PMK1_00647
ko:K11893	kpx:PMK1_00651
ko:K11892	kpx:PMK1_00652
ko:K11904	kpx:PMK1_00654
ko:K11891	kpx:PMK1_00658
ko:K11896	kpx:PMK1_00659
ko:K11895	kpx:PMK1_00660
ko:K11906	kpx:PMK1_00661
ko:K11905	kpx:PMK1_00662
ko:K00768	kpx:PMK1_00663
ko:K02231	kpx:PMK1_00664
ko:K02232	kpx:PMK1_00665
ko:K10543	kpx:PMK1_01435
ko:K10545	kpx:PMK1_01436
ko:K10544	kpx:PMK1_01437
ko:K02529	kpx:PMK1_01438
ko:K03796	kpx:PMK1_01439
ko:K01176	kpx:PMK1_01440
ko:K00835	kpx:PMK1_01441
ko:K05796	kpx:PMK1_01442
ko:K03833	kpx:PMK1_01443
ko:K01042	kpx:PMK1_01444
ko:K02798	kpx:PMK1_01446
ko:K02799	kpx:PMK1_01446
ko:K02800	kpx:PMK1_01446
ko:K00009	kpx:PMK1_01447
ko:K02562	kpx:PMK1_01448
ko:K14762	kpx:PMK1_01450
ko:K00427	kpx:PMK1_01451
ko:K14348	kpx:PMK1_01452
ko:K00101	kpx:PMK1_01453
ko:K03216	kpx:PMK1_01454
ko:K00640	kpx:PMK1_01455
ko:K00057	kpx:PMK1_01456
ko:K03071	kpx:PMK1_01457
ko:K15633	kpx:PMK1_01460
ko:K09798	kpx:PMK1_01462
ko:K00060	kpx:PMK1_01464
ko:K00639	kpx:PMK1_01465
ko:K03274	kpx:PMK1_01466
ko:K02843	kpx:PMK1_01467
ko:K02841	kpx:PMK1_01468
ko:K02849	kpx:PMK1_01473
ko:K02844	kpx:PMK1_01474
ko:K02527	kpx:PMK1_01477
ko:K12984	kpx:PMK1_01478
ko:K00954	kpx:PMK1_01479
ko:K10563	kpx:PMK1_01480
ko:K02913	kpx:PMK1_01481
ko:K02511	kpx:PMK1_02241
ko:K02510	kpx:PMK1_02242
ko:K02509	kpx:PMK1_02243
ko:K01826	kpx:PMK1_02244
ko:K00455	kpx:PMK1_02245
ko:K00151	kpx:PMK1_02246
ko:K05921	kpx:PMK1_02247
ko:K05921	kpx:PMK1_02248
ko:K06015	kpx:PMK1_02254
ko:K03307	kpx:PMK1_02256
ko:K00883	kpx:PMK1_02257
ko:K01631	kpx:PMK1_02258
ko:K01002	kpx:PMK1_02270
ko:K02317	kpx:PMK1_02273
ko:K00481	kpx:PMK1_02276
ko:K02761	kpx:PMK1_02283
ko:K13255	kpx:PMK1_02284
ko:K00564	kpx:PMK1_02290
ko:K02344	kpx:PMK1_02291
ko:K07646	kpx:PMK1_03048
ko:K01548	kpx:PMK1_03049
ko:K01547	kpx:PMK1_03050
ko:K01546	kpx:PMK1_03051
ko:K01669	kpx:PMK1_03053
ko:K03305	kpx:PMK1_03054
ko:K07160	kpx:PMK1_03058
ko:K01304	kpx:PMK1_03061
ko:K05522	kpx:PMK1_03062
ko:K01647	kpx:PMK1_03063
ko:K00241	kpx:PMK1_03064
ko:K00242	kpx:PMK1_03065
ko:K00239	kpx:PMK1_03066
ko:K00240	kpx:PMK1_03067
ko:K00164	kpx:PMK1_03068
ko:K00658	kpx:PMK1_03069
ko:K01903	kpx:PMK1_03070
ko:K01902	kpx:PMK1_03071
ko:K00425	kpx:PMK1_03072
ko:K00426	kpx:PMK1_03073
ko:K07107	kpx:PMK1_03076
ko:K03562	kpx:PMK1_03077
ko:K03560	kpx:PMK1_03078
ko:K03641	kpx:PMK1_03080
ko:K03640	kpx:PMK1_03081
ko:K03517	kpx:PMK1_03090
ko:K03811	kpx:PMK1_03091
ko:K16264	kpx:PMK1_03092
ko:K01626	kpx:PMK1_03094
ko:K01834	kpx:PMK1_03095
ko:K01785	kpx:PMK1_03096
ko:K00849	kpx:PMK1_03097
ko:K00965	kpx:PMK1_03098
ko:K01784	kpx:PMK1_03099
ko:K05776	kpx:PMK1_03100
ko:K07112	kpx:PMK1_03824
ko:K08987	kpx:PMK1_03825
ko:K16074	kpx:PMK1_03828
ko:K14155	kpx:PMK1_03829
ko:K16136	kpx:PMK1_03831
ko:K01809	kpx:PMK1_03833
ko:K01676	kpx:PMK1_03834
ko:K01679	kpx:PMK1_03835
ko:K07639	kpx:PMK1_03837
ko:K07661	kpx:PMK1_03839
ko:K13938	kpx:PMK1_03841
ko:K03758	kpx:PMK1_03842
ko:K00324	kpx:PMK1_03844
ko:K00325	kpx:PMK1_03845
ko:K14055	kpx:PMK1_03847
ko:K00567	kpx:PMK1_03849
ko:K12942	kpx:PMK1_03851
ko:K12941	kpx:PMK1_03852
ko:K12940	kpx:PMK1_03853
ko:K14057	kpx:PMK1_03854
ko:K02624	kpx:PMK1_03856
ko:K01031	kpx:PMK1_03857
ko:K01032	kpx:PMK1_03858
ko:K01857	kpx:PMK1_03860
ko:K01055	kpx:PMK1_03861
ko:K01607	kpx:PMK1_03862
ko:K01676	kpx:PMK1_03865
ko:K11106	kpx:PMK1_03866
ko:K00244	kpx:PMK1_03867
ko:K03734	kpx:PMK1_03868
ko:K07703	kpx:PMK1_03869
ko:K07701	kpx:PMK1_03870
ko:K07106	kpx:PMK1_03872
ko:K00116	kpx:PMK1_03873
ko:K03288	kpx:PMK1_04643
ko:K01610	kpx:PMK1_04646
ko:K01996	kpx:PMK1_04648
ko:K01995	kpx:PMK1_04649
ko:K01998	kpx:PMK1_04650
ko:K01997	kpx:PMK1_04651
ko:K01999	kpx:PMK1_04652
ko:K00656	kpx:PMK1_04653
ko:K00932	kpx:PMK1_04654
ko:K03838	kpx:PMK1_04655
ko:K01754	kpx:PMK1_04656
ko:K07592	kpx:PMK1_04657
ko:K07395	kpx:PMK1_04661
ko:K01194	kpx:PMK1_04665
ko:K02014	kpx:PMK1_04666
ko:K08308	kpx:PMK1_04667
ko:K01297	kpx:PMK1_04668
ko:K11105	kpx:PMK1_04669
ko:K01775	kpx:PMK1_04670
ko:K00285	kpx:PMK1_04671
ko:K03603	kpx:PMK1_04673
ko:K03314	kpx:PMK1_04674
ko:K03611	kpx:PMK1_04675
ko:K09160	kpx:PMK1_04677
ko:K09902	kpx:PMK1_04679
ko:K03610	kpx:PMK1_04680
ko:K03609	kpx:PMK1_04681
ko:K03608	kpx:PMK1_04682
ko:K03684	kpx:PMK1_04683
ko:K01897	kpx:PMK1_04684
ko:K07285	kpx:PMK1_04685
ko:K09917	kpx:PMK1_04689
ko:K07491	kpx:PMK1_ndm00187
ko:K02783	kpx:PMK1_00514
ko:K02782	kpx:PMK1_00515
ko:K02783	kpx:PMK1_00515
ko:K02781	kpx:PMK1_00516
ko:K00068	kpx:PMK1_00517
ko:K02466	kpx:PMK1_00518
ko:K02468	kpx:PMK1_00519
ko:K02467	kpx:PMK1_00520
ko:K12266	kpx:PMK1_00521
ko:K12264	kpx:PMK1_00522
ko:K12265	kpx:PMK1_00523
ko:K07241	kpx:PMK1_00524
ko:K04656	kpx:PMK1_00525
ko:K05796	kpx:PMK1_00526
ko:K03487	kpx:PMK1_00527
ko:K02752	kpx:PMK1_00528
ko:K02753	kpx:PMK1_00528
ko:K01223	kpx:PMK1_00529
ko:K08315	kpx:PMK1_00531
ko:K15834	kpx:PMK1_00532
ko:K15832	kpx:PMK1_00533
ko:K15831	kpx:PMK1_00534
ko:K15830	kpx:PMK1_00535
ko:K15829	kpx:PMK1_00536
ko:K15828	kpx:PMK1_00537
ko:K15827	kpx:PMK1_00538
ko:K15833	kpx:PMK1_00539
ko:K04651	kpx:PMK1_00540
ko:K04652	kpx:PMK1_00541
ko:K04653	kpx:PMK1_00542
ko:K04654	kpx:PMK1_00543
ko:K04655	kpx:PMK1_00544
ko:K15836	kpx:PMK1_00545
ko:K01223	kpx:PMK1_00546
ko:K16077	kpx:PMK1_00548
ko:K16077	kpx:PMK1_00551
ko:K02761	kpx:PMK1_00552
ko:K02760	kpx:PMK1_00553
ko:K02761	kpx:PMK1_00554
ko:K02759	kpx:PMK1_00555
ko:K00847	kpx:PMK1_00556
ko:K11604	kpx:PMK1_00558
ko:K11607	kpx:PMK1_00559
ko:K11605	kpx:PMK1_00560
ko:K11606	kpx:PMK1_00561
ko:K03110	kpx:PMK1_01332
ko:K08316	kpx:PMK1_01333
ko:K08993	kpx:PMK1_01334
ko:K01534	kpx:PMK1_01337
ko:K04085	kpx:PMK1_01338
ko:K09125	kpx:PMK1_01339
ko:K12963	kpx:PMK1_01343
ko:K12962	kpx:PMK1_01344
ko:K07264	kpx:PMK1_01345
ko:K13014	kpx:PMK1_01346
ko:K10011	kpx:PMK1_01347
ko:K10012	kpx:PMK1_01348
ko:K07806	kpx:PMK1_01349
ko:K13727	kpx:PMK1_01350
ko:K15584	kpx:PMK1_01352
ko:K15585	kpx:PMK1_01353
ko:K15586	kpx:PMK1_01354
ko:K15587	kpx:PMK1_01355
ko:K10824	kpx:PMK1_01356
ko:K07722	kpx:PMK1_01357
ko:K06213	kpx:PMK1_01358
ko:K07007	kpx:PMK1_01359
ko:K16322	kpx:PMK1_01360
ko:K06144	kpx:PMK1_01361
ko:K06149	kpx:PMK1_01362
ko:K03305	kpx:PMK1_01363
ko:K15984	kpx:PMK1_01364
ko:K01414	kpx:PMK1_01365
ko:K07115	kpx:PMK1_01367
ko:K00383	kpx:PMK1_01368
ko:K00799	kpx:PMK1_01369
ko:K01194	kpx:PMK1_01371
ko:K07058	kpx:PMK1_01375
ko:K07290	kpx:PMK1_01377
ko:K00874	kpx:PMK1_01378
ko:K11103	kpx:PMK1_01380
ko:K00140	kpx:PMK1_02138
ko:K03337	kpx:PMK1_02139
ko:K03338	kpx:PMK1_02141
ko:K03336	kpx:PMK1_02142
ko:K00010	kpx:PMK1_02143
ko:K06605	kpx:PMK1_02144
ko:K03335	kpx:PMK1_02145
ko:K05813	kpx:PMK1_02146
ko:K05816	kpx:PMK1_02147
ko:K05815	kpx:PMK1_02149
ko:K05814	kpx:PMK1_02150
ko:K12957	kpx:PMK1_02151
ko:K01673	kpx:PMK1_02153
ko:K01198	kpx:PMK1_02175
ko:K03292	kpx:PMK1_02176
ko:K01805	kpx:PMK1_02177
ko:K02024	kpx:PMK1_02178
ko:K00574	kpx:PMK1_02183
ko:K09701	kpx:PMK1_02184
ko:K03098	kpx:PMK1_02189
ko:K08317	kpx:PMK1_02953
ko:K02056	kpx:PMK1_02954
ko:K02057	kpx:PMK1_02955
ko:K02058	kpx:PMK1_02956
ko:K00899	kpx:PMK1_02958
ko:K08963	kpx:PMK1_02959
ko:K01093	kpx:PMK1_02960
ko:K07783	kpx:PMK1_02961
ko:K01092	kpx:PMK1_02962
ko:K01485	kpx:PMK1_02964
ko:K10974	kpx:PMK1_02966
ko:K08964	kpx:PMK1_02967
ko:K00058	kpx:PMK1_02969
ko:K10440	kpx:PMK1_02971
ko:K10440	kpx:PMK1_02972
ko:K10441	kpx:PMK1_02973
ko:K10439	kpx:PMK1_02974
ko:K08351	kpx:PMK1_02975
ko:K08967	kpx:PMK1_02976
ko:K09880	kpx:PMK1_02977
ko:K14287	kpx:PMK1_02978
ko:K03805	kpx:PMK1_02982
ko:K03386	kpx:PMK1_02983
ko:K03387	kpx:PMK1_02984
ko:K11932	kpx:PMK1_02985
ko:K06140	kpx:PMK1_02986
ko:K01169	kpx:PMK1_02987
ko:K03326	kpx:PMK1_02988
ko:K12973	kpx:PMK1_02989
ko:K03704	kpx:PMK1_02990
ko:K06199	kpx:PMK1_02991
ko:K03425	kpx:PMK1_02993
ko:K03644	kpx:PMK1_02994
ko:K03801	kpx:PMK1_02996
ko:K06885	kpx:PMK1_03718
ko:K05520	kpx:PMK1_03719
ko:K11901	kpx:PMK1_03720
ko:K11900	kpx:PMK1_03721
ko:K11893	kpx:PMK1_03722
ko:K11892	kpx:PMK1_03723
ko:K11903	kpx:PMK1_03725
ko:K11907	kpx:PMK1_03726
ko:K11904	kpx:PMK1_03727
ko:K11891	kpx:PMK1_03736
ko:K11910	kpx:PMK1_03737
ko:K11896	kpx:PMK1_03739
ko:K11895	kpx:PMK1_03740
ko:K11906	kpx:PMK1_03741
ko:K08969	kpx:PMK1_03755
ko:K02073	kpx:PMK1_03756
ko:K02071	kpx:PMK1_03757
ko:K02072	kpx:PMK1_03758
ko:K00832	kpx:PMK1_03759
ko:K11734	kpx:PMK1_03762
ko:K16074	kpx:PMK1_03767
ko:K05591	kpx:PMK1_03768
ko:K14058	kpx:PMK1_03769
ko:K14061	kpx:PMK1_03770
ko:K02073	kpx:PMK1_04535
ko:K06073	kpx:PMK1_04536
ko:K00285	kpx:PMK1_04539
ko:K04764	kpx:PMK1_04541
ko:K01890	kpx:PMK1_04542
ko:K01889	kpx:PMK1_04543
ko:K02887	kpx:PMK1_04544
ko:K02916	kpx:PMK1_04545
ko:K02520	kpx:PMK1_04546
ko:K01868	kpx:PMK1_04547
ko:K07283	kpx:PMK1_04549
ko:K16370	kpx:PMK1_04550
ko:K03832	kpx:PMK1_04553
ko:K09780	kpx:PMK1_04554
ko:K06131	kpx:PMK1_04557
ko:K09901	kpx:PMK1_04558
ko:K10716	kpx:PMK1_04559
ko:K10823	kpx:PMK1_04560
ko:K15583	kpx:PMK1_04561
ko:K15582	kpx:PMK1_04562
ko:K15581	kpx:PMK1_04563
ko:K15580	kpx:PMK1_04564
ko:K04072	kpx:PMK1_04566
ko:K00963	kpx:PMK1_04569
ko:K07001	kpx:PMK1_04571
ko:K09858	kpx:PMK1_04572
ko:K01433	kpx:PMK1_04573
ko:K03719	kpx:PMK1_04576
ko:K00374	kpx:PMK1_04578
ko:K00373	kpx:PMK1_04579
ko:K00371	kpx:PMK1_04580
ko:K00370	kpx:PMK1_04581
ko:K02575	kpx:PMK1_04582
ko:K07673	kpx:PMK1_04583
ko:K07684	kpx:PMK1_04584
ko:K00372	kpx:PMK1_04586
ko:K01817	kpx:PMK1_ndm00069
ko:K04078	kpx:PMK1_ndm00072
ko:K04077	kpx:PMK1_ndm00073
ko:K01817	kpx:PMK1_ndm00078
ko:K04078	kpx:PMK1_ndm00081
ko:K04077	kpx:PMK1_ndm00082
ko:K01817	kpx:PMK1_ndm00087
ko:K02006	kpx:PMK1_00666
ko:K02008	kpx:PMK1_00667
ko:K02009	kpx:PMK1_00668
ko:K02007	kpx:PMK1_00669
ko:K03394	kpx:PMK1_00670
ko:K02190	kpx:PMK1_00671
ko:K05895	kpx:PMK1_00672
ko:K02189	kpx:PMK1_00674
ko:K05936	kpx:PMK1_00675
ko:K02191	kpx:PMK1_00676
ko:K03399	kpx:PMK1_00677
ko:K02188	kpx:PMK1_00678
ko:K06042	kpx:PMK1_00679
ko:K02227	kpx:PMK1_00680
ko:K02224	kpx:PMK1_00681
ko:K13919	kpx:PMK1_00687
ko:K13920	kpx:PMK1_00688
ko:K13896	kpx:PMK1_00101
ko:K07347	kpx:PMK1_00876
ko:K01697	kpx:PMK1_00884
ko:K01758	kpx:PMK1_00885
ko:K01460	kpx:PMK1_00892
ko:K11209	kpx:PMK1_00894
ko:K01061	kpx:PMK1_00896
ko:K03559	kpx:PMK1_00900
ko:K03561	kpx:PMK1_00901
ko:K01760	kpx:PMK1_00902
ko:K08325	kpx:PMK1_00905
ko:K06221	kpx:PMK1_00906
ko:K00655	kpx:PMK1_00910
ko:K02621	kpx:PMK1_00911
ko:K13652	kpx:PMK1_00912
ko:K07666	kpx:PMK1_00914
ko:K07645	kpx:PMK1_00915
ko:K03923	kpx:PMK1_00916
ko:K02622	kpx:PMK1_00918
ko:K07000	kpx:PMK1_00919
ko:K03651	kpx:PMK1_00920
ko:K09920	kpx:PMK1_00921
ko:K01515	kpx:PMK1_00922
ko:K12340	kpx:PMK1_00923
ko:K00127	kpx:PMK1_01683
ko:K00124	kpx:PMK1_01684
ko:K00123	kpx:PMK1_01685
ko:K00123	kpx:PMK1_01686
ko:K02379	kpx:PMK1_01687
ko:K02529	kpx:PMK1_01692
ko:K07407	kpx:PMK1_01693
ko:K02532	kpx:PMK1_01694
ko:K03534	kpx:PMK1_01695
ko:K10561	kpx:PMK1_01697
ko:K10560	kpx:PMK1_01698
ko:K10562	kpx:PMK1_01699
ko:K10559	kpx:PMK1_01700
ko:K01629	kpx:PMK1_01701
ko:K01813	kpx:PMK1_01702
ko:K00848	kpx:PMK1_01703
ko:K02855	kpx:PMK1_01704
ko:K02854	kpx:PMK1_01705
ko:K02856	kpx:PMK1_01706
ko:K04564	kpx:PMK1_01707
ko:K07640	kpx:PMK1_01709
ko:K06006	kpx:PMK1_01711
ko:K13283	kpx:PMK1_01712
ko:K00850	kpx:PMK1_01713
ko:K02553	kpx:PMK1_01714
ko:K02548	kpx:PMK1_01715
ko:K03667	kpx:PMK1_01716
ko:K01419	kpx:PMK1_01717
ko:K03591	kpx:PMK1_01718
ko:K05499	kpx:PMK1_01719
ko:K04066	kpx:PMK1_01720
ko:K02909	kpx:PMK1_01721
ko:K03764	kpx:PMK1_01722
ko:K01739	kpx:PMK1_01723
ko:K12525	kpx:PMK1_01724
ko:K01607	kpx:PMK1_01727
ko:K00297	kpx:PMK1_01729
ko:K00005	kpx:PMK1_01731
ko:K08314	kpx:PMK1_01732
ko:K02838	kpx:PMK1_02493
ko:K00099	kpx:PMK1_02494
ko:K00806	kpx:PMK1_02495
ko:K00981	kpx:PMK1_02496
ko:K11749	kpx:PMK1_02497
ko:K07277	kpx:PMK1_02498
ko:K06142	kpx:PMK1_02499
ko:K02536	kpx:PMK1_02500
ko:K02372	kpx:PMK1_02501
ko:K00677	kpx:PMK1_02502
ko:K00748	kpx:PMK1_02503
ko:K03470	kpx:PMK1_02504
ko:K02337	kpx:PMK1_02505
ko:K01962	kpx:PMK1_02506
ko:K08234	kpx:PMK1_02508
ko:K04075	kpx:PMK1_02509
ko:K15034	kpx:PMK1_02513
ko:K06079	kpx:PMK1_02514
ko:K01881	kpx:PMK1_02516
ko:K06080	kpx:PMK1_02518
ko:K02073	kpx:PMK1_02519
ko:K02072	kpx:PMK1_02520
ko:K02071	kpx:PMK1_02521
ko:K03273	kpx:PMK1_02522
ko:K06222	kpx:PMK1_02526
ko:K08307	kpx:PMK1_02531
ko:K01069	kpx:PMK1_02532
ko:K03469	kpx:PMK1_02534
ko:K02342	kpx:PMK1_02535
ko:K11249	kpx:PMK1_02538
ko:K06445	kpx:PMK1_02540
ko:K15554	kpx:PMK1_03303
ko:K04091	kpx:PMK1_03304
ko:K15553	kpx:PMK1_03305
ko:K00299	kpx:PMK1_03306
ko:K00254	kpx:PMK1_03307
ko:K07140	kpx:PMK1_03309
ko:K12297	kpx:PMK1_03310
ko:K15738	kpx:PMK1_03311
ko:K03808	kpx:PMK1_03312
ko:K06192	kpx:PMK1_03313
ko:K09857	kpx:PMK1_03314
ko:K01716	kpx:PMK1_03315
ko:K04770	kpx:PMK1_03316
ko:K09911	kpx:PMK1_03317
ko:K03286	kpx:PMK1_03318
ko:K13053	kpx:PMK1_03319
ko:K07343	kpx:PMK1_03320
