ko:K19416	amaa:amad1_11020
ko:K01886	amaa:amad1_10380
ko:K06219	amaa:amad1_10420
ko:K03778	amaa:amad1_10425
ko:K00432	amaa:amad1_10430
ko:K00563	amaa:amad1_10460
ko:K07014	amaa:amad1_10470
ko:K09904	amaa:amad1_10475
ko:K06899	amaa:amad1_10480
ko:K00850	amaa:amad1_10520
ko:K07146	amaa:amad1_10560
ko:K03466	amaa:amad1_11080
ko:K00259	amaa:amad1_11090
ko:K01591	amaa:amad1_11095
ko:K05788	amaa:amad1_11115
ko:K02945	amaa:amad1_11120
ko:K00945	amaa:amad1_11125
ko:K00831	amaa:amad1_11140
ko:K02469	amaa:amad1_11145
ko:K11107	amaa:amad1_11165
ko:K01923	amaa:amad1_11190
ko:K07287	amaa:amad1_11195
ko:K01714	amaa:amad1_11200
ko:K03567	amaa:amad1_11205
ko:K03564	amaa:amad1_11210
ko:K03809	amaa:amad1_11235
ko:K10763	amaa:amad1_11245
ko:K09938	amaa:amad1_11250
ko:K01933	amaa:amad1_11255
ko:K11175	amaa:amad1_11260
ko:K15256	amaa:amad1_11285
ko:K15257	amaa:amad1_11290
ko:K15918	amaa:amad1_11295
ko:K07026	amaa:amad1_11300
ko:K00690	amaa:amad1_11310
ko:K01091	amaa:amad1_11315
ko:K03750	amaa:amad1_11320
ko:K03327	amaa:amad1_11325
ko:K07141	amaa:amad1_11330
ko:K09989	amaa:amad1_11335
ko:K01738	amaa:amad1_11345
ko:K09919	amaa:amad1_05470
ko:K03565	amaa:amad1_05475
ko:K01872	amaa:amad1_05480
ko:K03563	amaa:amad1_05485
ko:K01573	amaa:amad1_05490
ko:K03974	amaa:amad1_05530
ko:K03969	amaa:amad1_05535
ko:K03970	amaa:amad1_05540
ko:K00500	amaa:amad1_05550
ko:K03721	amaa:amad1_05555
ko:K16171	amaa:amad1_05560
ko:K05800	amaa:amad1_05570
ko:K00263	amaa:amad1_05575
ko:K00453	amaa:amad1_05590
ko:K00472	amaa:amad1_05610
ko:K03561	amaa:amad1_05640
ko:K03561	amaa:amad1_05645
ko:K03832	amaa:amad1_05655
ko:K06957	amaa:amad1_05665
ko:K03811	amaa:amad1_05685
ko:K03789	amaa:amad1_05700
ko:K06222	amaa:amad1_05730
ko:K03088	amaa:amad1_10150
ko:K05803	amaa:amad1_10165
ko:K06203	amaa:amad1_10175
ko:K03529	amaa:amad1_10180
ko:K03528	amaa:amad1_10185
ko:K01972	amaa:amad1_10190
ko:K09928	amaa:amad1_10195
ko:K00912	amaa:amad1_10215
ko:K09791	amaa:amad1_10220
ko:K00979	amaa:amad1_10225
ko:K14441	amaa:amad1_10235
ko:K06911	amaa:amad1_10260
ko:K01647	amaa:amad1_10275
ko:K00242	amaa:amad1_10285
ko:K01029	amaa:amad1_10575
ko:K01028	amaa:amad1_10580
ko:K13634	amaa:amad1_10600
ko:K01752	amaa:amad1_10605
ko:K01665	amaa:amad1_10615
ko:K01676	amaa:amad1_10620
ko:K09760	amaa:amad1_10630
ko:K00166	amaa:amad1_10640
ko:K00167	amaa:amad1_10645
ko:K09699	amaa:amad1_10650
ko:K07115	amaa:amad1_10655
ko:K10805	amaa:amad1_10665
ko:K09807	amaa:amad1_10680
ko:K03607	amaa:amad1_10695
ko:K03797	amaa:amad1_10700
ko:K03308	amaa:amad1_10705
ko:K03315	amaa:amad1_10710
ko:K01256	amaa:amad1_10715
ko:K15371	amaa:amad1_10745
ko:K12297	amaa:amad1_10755
ko:K15738	amaa:amad1_10765
ko:K03812	amaa:amad1_10775
ko:K01716	amaa:amad1_10780
ko:K01669	amaa:amad1_10790
ko:K01669	amaa:amad1_10795
ko:K01669	amaa:amad1_10800
ko:K06876	amaa:amad1_10805
ko:K00901	amaa:amad1_10830
ko:K07726	amaa:amad1_11380
ko:K00432	amaa:amad1_11440
ko:K01118	amaa:amad1_11445
ko:K01740	amaa:amad1_11455
ko:K09768	amaa:amad1_11480
ko:K03522	amaa:amad1_11545
ko:K03521	amaa:amad1_11550
ko:K00311	amaa:amad1_11555
ko:K03839	amaa:amad1_11575
ko:K00824	amaa:amad1_11590
ko:K07160	amaa:amad1_11605
ko:K00243	amaa:amad1_11610
ko:K07397	amaa:amad1_11615
ko:K00549	amaa:amad1_11885
ko:K11939	amaa:amad1_11900
ko:K03581	amaa:amad1_11915
ko:K03582	amaa:amad1_11920
ko:K03583	amaa:amad1_11925
ko:K09897	amaa:amad1_11980
ko:K09916	amaa:amad1_12080
ko:K03310	amaa:amad1_12095
ko:K00134	amaa:amad1_12105
ko:K00705	amaa:amad1_12135
ko:K00134	amaa:amad1_12140
ko:K01792	amaa:amad1_12145
ko:K14445	amaa:amad1_12485
ko:K01494	amaa:amad1_12490
ko:K01874	amaa:amad1_12500
ko:K08307	amaa:amad1_12520
ko:K01883	amaa:amad1_12545
ko:K03269	amaa:amad1_12555
ko:K00690	amaa:amad1_12575
ko:K03781	amaa:amad1_12590
ko:K06169	amaa:amad1_12625
ko:K00764	amaa:amad1_12635
ko:K03558	amaa:amad1_12640
ko:K03749	amaa:amad1_12645
ko:K11754	amaa:amad1_12650
ko:K01963	amaa:amad1_12655
ko:K06173	amaa:amad1_12660
ko:K00133	amaa:amad1_12670
ko:K03473	amaa:amad1_12675
ko:K07285	amaa:amad1_12980
ko:K16089	amaa:amad1_13045
ko:K00765	amaa:amad1_13055
ko:K00013	amaa:amad1_13060
ko:K00817	amaa:amad1_13065
ko:K01089	amaa:amad1_13070
ko:K02501	amaa:amad1_13075
ko:K01814	amaa:amad1_13080
ko:K02500	amaa:amad1_13085
ko:K11755	amaa:amad1_13090
ko:K03100	amaa:amad1_13115
ko:K07136	amaa:amad1_13135
ko:K04079	amaa:amad1_13145
ko:K06187	amaa:amad1_13150
ko:K09747	amaa:amad1_13165
ko:K00759	amaa:amad1_13180
ko:K09929	amaa:amad1_13185
ko:K09930	amaa:amad1_13190
ko:K03775	amaa:amad1_13480
ko:K04751	amaa:amad1_13485
ko:K08084	amaa:amad1_13495
ko:K02680	amaa:amad1_13510
ko:K02655	amaa:amad1_13525
ko:K02673	amaa:amad1_13535
ko:K02672	amaa:amad1_13540
ko:K02671	amaa:amad1_13545
ko:K03527	amaa:amad1_13550
ko:K03774	amaa:amad1_13555
ko:K03101	amaa:amad1_13560
ko:K01870	amaa:amad1_13565
ko:K11753	amaa:amad1_13570
ko:K03980	amaa:amad1_13575
ko:K02968	amaa:amad1_13580
ko:K03453	amaa:amad1_13600
ko:K03770	amaa:amad1_13630
ko:K03530	amaa:amad1_13635
ko:K01338	amaa:amad1_13645
ko:K03544	amaa:amad1_13650
ko:K01358	amaa:amad1_13655
ko:K03545	amaa:amad1_13660
ko:K01491	amaa:amad1_13665
ko:K09941	amaa:amad1_13670
ko:K01881	amaa:amad1_13680
ko:K01058	amaa:amad1_13690
ko:K01638	amaa:amad1_13965
ko:K07001	amaa:amad1_13970
ko:K08679	amaa:amad1_13975
ko:K02472	amaa:amad1_14040
ko:K01953	amaa:amad1_14080
ko:K01953	amaa:amad1_14125
ko:K01991	amaa:amad1_14150
ko:K07461	amaa:amad1_14185
ko:K00982	amaa:amad1_14200
ko:K02517	amaa:amad1_14230
ko:K05916	amaa:amad1_14805
ko:K12266	amaa:amad1_14810
ko:K00281	amaa:amad1_14825
ko:K02437	amaa:amad1_14830
ko:K00605	amaa:amad1_14835
ko:K01443	amaa:amad1_14840
ko:K03303	amaa:amad1_14855
ko:K03185	amaa:amad1_14885
ko:K09895	amaa:amad1_14895
ko:K01807	amaa:amad1_14920
ko:K06938	amaa:amad1_14945
ko:K00382	amaa:amad1_14980
ko:K00627	amaa:amad1_14985
ko:K00163	amaa:amad1_14990
ko:K03807	amaa:amad1_15000
ko:K03806	amaa:amad1_15005
ko:K06985	amaa:amad1_15010
ko:K00767	amaa:amad1_15015
ko:K02654	amaa:amad1_15030
ko:K00859	amaa:amad1_15035
ko:K09862	amaa:amad1_15045
ko:K09861	amaa:amad1_15380
ko:K01810	amaa:amad1_15395
ko:K03648	amaa:amad1_15405
ko:K01733	amaa:amad1_15410
ko:K00872	amaa:amad1_15415
ko:K12524	amaa:amad1_15420
ko:K03701	amaa:amad1_15425
ko:K00906	amaa:amad1_15470
ko:K13747	amaa:amad1_15545
ko:K07056	amaa:amad1_15555
ko:K07121	amaa:amad1_15560
ko:K07460	amaa:amad1_15565
ko:K14155	amaa:amad1_15895
ko:K06207	amaa:amad1_15905
ko:K01915	amaa:amad1_15915
ko:K07708	amaa:amad1_15925
ko:K07712	amaa:amad1_15930
ko:K00655	amaa:amad1_15940
ko:K09893	amaa:amad1_15945
ko:K01873	amaa:amad1_15990
ko:K02339	amaa:amad1_15995
ko:K01255	amaa:amad1_16000
ko:K07091	amaa:amad1_16005
ko:K11720	amaa:amad1_16010
ko:K03088	amaa:amad1_16025
ko:K02276	amaa:amad1_19920
ko:K02275	amaa:amad1_19935
ko:K01356	amaa:amad1_19945
ko:K00631	amaa:amad1_19950
ko:K01754	amaa:amad1_19955
ko:K01687	amaa:amad1_19960
ko:K07391	amaa:amad1_19970
ko:K02521	amaa:amad1_19975
ko:K00053	amaa:amad1_19980
ko:K07552	amaa:amad1_19985
ko:K07278	amaa:amad1_19995
ko:K09800	amaa:amad1_20000
ko:K03088	amaa:amad1_20010
ko:K07107	amaa:amad1_20030
ko:K00931	amaa:amad1_20035
ko:K09986	amaa:amad1_20075
ko:K07058	amaa:amad1_18300
ko:K07560	amaa:amad1_18320
ko:K03089	amaa:amad1_18330
ko:K09811	amaa:amad1_18345
ko:K09812	amaa:amad1_18350
ko:K03110	amaa:amad1_18355
ko:K09891	amaa:amad1_18365
ko:K07751	amaa:amad1_18380
ko:K06206	amaa:amad1_18385
ko:K06204	amaa:amad1_18390
ko:K01894	amaa:amad1_18395
ko:K00950	amaa:amad1_18405
ko:K00606	amaa:amad1_18410
ko:K01918	amaa:amad1_18415
ko:K16090	amaa:amad1_18460
ko:K07089	amaa:amad1_18485
ko:K06200	amaa:amad1_18490
ko:K09973	amaa:amad1_18505
ko:K02358	amaa:amad1_18510
ko:K02355	amaa:amad1_18515
ko:K02992	amaa:amad1_18520
ko:K02950	amaa:amad1_18525
ko:K03046	amaa:amad1_18530
ko:K03043	amaa:amad1_18535
ko:K02935	amaa:amad1_18540
ko:K02864	amaa:amad1_18545
ko:K00762	amaa:amad1_20110
ko:K00989	amaa:amad1_20115
ko:K07154	amaa:amad1_20135
ko:K03427	amaa:amad1_20175
ko:K01153	amaa:amad1_20180
ko:K07733	amaa:amad1_20195
ko:K03924	amaa:amad1_20220
ko:K00154	amaa:amad1_20260
ko:K01625	amaa:amad1_20310
ko:K01690	amaa:amad1_20320
ko:K01057	amaa:amad1_20325
ko:K00036	amaa:amad1_20330
ko:K00873	amaa:amad1_20340
ko:K02863	amaa:amad1_18550
ko:K02867	amaa:amad1_18555
ko:K02601	amaa:amad1_18575
ko:K03073	amaa:amad1_18580
ko:K09964	amaa:amad1_18600
ko:K05591	amaa:amad1_18605
ko:K01465	amaa:amad1_18610
ko:K03098	amaa:amad1_18615
ko:K01495	amaa:amad1_18650
ko:K13938	amaa:amad1_18655
ko:K12251	amaa:amad1_18665
ko:K06953	amaa:amad1_18675
ko:K03724	amaa:amad1_18680
ko:K02356	amaa:amad1_18695
ko:K00847	amaa:amad1_18700
ko:K01652	amaa:amad1_18750
ko:K01772	amaa:amad1_18760
ko:K04087	amaa:amad1_18770
ko:K04088	amaa:amad1_18775
ko:K03665	amaa:amad1_18780
ko:K03666	amaa:amad1_18785
ko:K00791	amaa:amad1_18790
ko:K03572	amaa:amad1_18795
ko:K01448	amaa:amad1_18800
ko:K06925	amaa:amad1_18805
ko:K07154	amaa:amad1_20355
ko:K02529	amaa:amad1_20380
ko:K07443	amaa:amad1_20400
ko:K02114	amaa:amad1_20420
ko:K02112	amaa:amad1_20425
ko:K02115	amaa:amad1_20430
ko:K02111	amaa:amad1_20435
ko:K02113	amaa:amad1_20440
ko:K02109	amaa:amad1_20445
ko:K02110	amaa:amad1_20450
ko:K02108	amaa:amad1_20455
ko:K03501	amaa:amad1_20475
ko:K03495	amaa:amad1_20480
ko:K06205	amaa:amad1_20495
ko:K03650	amaa:amad1_20500
ko:K09767	amaa:amad1_20505
ko:K03217	amaa:amad1_20510
ko:K08998	amaa:amad1_20515
ko:K03536	amaa:amad1_20520
ko:K02197	amaa:amad1_04645
ko:K02198	amaa:amad1_04650
ko:K02199	amaa:amad1_04655
ko:K04754	amaa:amad1_04670
ko:K03305	amaa:amad1_04685
ko:K10107	amaa:amad1_04690
ko:K09689	amaa:amad1_04695
ko:K09688	amaa:amad1_04700
ko:K12990	amaa:amad1_04725
ko:K00963	amaa:amad1_04730
ko:K02237	amaa:amad1_04735
ko:K06966	amaa:amad1_04755
ko:K06879	amaa:amad1_04765
ko:K15723	amaa:amad1_04770
ko:K06175	amaa:amad1_04805
ko:K00990	amaa:amad1_04820
ko:K01265	amaa:amad1_04825
ko:K02967	amaa:amad1_04830
ko:K02357	amaa:amad1_04835
ko:K09903	amaa:amad1_04840
ko:K02838	amaa:amad1_04845
ko:K00806	amaa:amad1_04850
ko:K00981	amaa:amad1_04855
ko:K00099	amaa:amad1_04860
ko:K11749	amaa:amad1_04865
ko:K07277	amaa:amad1_04870
ko:K06142	amaa:amad1_04875
ko:K02372	amaa:amad1_04880
ko:K00677	amaa:amad1_04885
ko:K00748	amaa:amad1_04890
ko:K03470	amaa:amad1_04895
ko:K02337	amaa:amad1_04900
ko:K07154	amaa:amad1_05765
ko:K07301	amaa:amad1_05790
ko:K03427	amaa:amad1_05825
ko:K01154	amaa:amad1_05830
ko:K01153	amaa:amad1_05840
ko:K16264	amaa:amad1_05985
ko:K01534	amaa:amad1_05995
ko:K03594	amaa:amad1_10855
ko:K03594	amaa:amad1_10860
ko:K00404	amaa:amad1_10870
ko:K00405	amaa:amad1_10875
ko:K00407	amaa:amad1_10880
ko:K00406	amaa:amad1_10885
ko:K09926	amaa:amad1_10890
ko:K09792	amaa:amad1_10905
ko:K14055	amaa:amad1_10915
ko:K14058	amaa:amad1_10920
ko:K07001	amaa:amad1_10925
ko:K12410	amaa:amad1_10950
ko:K11065	amaa:amad1_10960
ko:K00995	amaa:amad1_10970
ko:K03703	amaa:amad1_10975
ko:K07689	amaa:amad1_10980
ko:K15977	amaa:amad1_11000
ko:K07235	amaa:amad1_11025
ko:K07236	amaa:amad1_11030
ko:K01599	amaa:amad1_18825
ko:K03426	amaa:amad1_18830
ko:K07740	amaa:amad1_18835
ko:K09823	amaa:amad1_18840
ko:K03088	amaa:amad1_18880
ko:K02939	amaa:amad1_18900
ko:K02963	amaa:amad1_18905
ko:K02990	amaa:amad1_18910
ko:K09918	amaa:amad1_18920
ko:K02003	amaa:amad1_18925
ko:K16264	amaa:amad1_18955
ko:K03315	amaa:amad1_18975
ko:K05349	amaa:amad1_18980
ko:K02429	amaa:amad1_18985
ko:K02529	amaa:amad1_18995
ko:K15034	amaa:amad1_19055
ko:K12262	amaa:amad1_19080
ko:K03885	amaa:amad1_19090
ko:K06076	amaa:amad1_19110
ko:K00820	amaa:amad1_19140
ko:K04042	amaa:amad1_19155
ko:K13529	amaa:amad1_19175
ko:K00325	amaa:amad1_19195
ko:K00324	amaa:amad1_19200
ko:K00324	amaa:amad1_19205
ko:K16087	amaa:amad1_19245
ko:K03088	amaa:amad1_19260
ko:K02300	amaa:amad1_19285
ko:K02299	amaa:amad1_19290
ko:K02298	amaa:amad1_19295
ko:K02297	amaa:amad1_19300
ko:K04077	amaa:amad1_19335
ko:K04078	amaa:amad1_19340
ko:K07113	amaa:amad1_19345
ko:K03926	amaa:amad1_19350
ko:K04084	amaa:amad1_19355
ko:K01875	amaa:amad1_11060
ko:K06199	amaa:amad1_11065
ko:K07478	amaa:amad1_11070
ko:K03634	amaa:amad1_11075
ko:K14260	amaa:amad1_11645
ko:K01129	amaa:amad1_11715
ko:K09858	amaa:amad1_11740
ko:K02018	amaa:amad1_11800
ko:K02020	amaa:amad1_11805
ko:K03636	amaa:amad1_11815
ko:K03637	amaa:amad1_11820
ko:K03638	amaa:amad1_11825
ko:K06987	amaa:amad1_11835
ko:K00817	amaa:amad1_11870
ko:K01625	amaa:amad1_12150
ko:K01690	amaa:amad1_12160
ko:K01057	amaa:amad1_12165
ko:K00036	amaa:amad1_12170
ko:K03521	amaa:amad1_12200
ko:K01625	amaa:amad1_12225
ko:K01690	amaa:amad1_12235
ko:K01057	amaa:amad1_12240
ko:K00036	amaa:amad1_12245
ko:K00873	amaa:amad1_12255
ko:K09190	amaa:amad1_12305
ko:K09967	amaa:amad1_12310
ko:K07093	amaa:amad1_12320
ko:K08325	amaa:amad1_12375
ko:K15461	amaa:amad1_12720
ko:K05776	amaa:amad1_12790
ko:K02106	amaa:amad1_12795
ko:K09906	amaa:amad1_12825
ko:K07107	amaa:amad1_12840
ko:K01354	amaa:amad1_12915
ko:K03603	amaa:amad1_12920
ko:K03314	amaa:amad1_12925
ko:K03611	amaa:amad1_12930
ko:K03790	amaa:amad1_12935
ko:K09160	amaa:amad1_12945
ko:K09902	amaa:amad1_12960
ko:K03684	amaa:amad1_12965
ko:K03777	amaa:amad1_13235
ko:K03695	amaa:amad1_13240
ko:K05810	amaa:amad1_13245
ko:K06180	amaa:amad1_13250
ko:K05807	amaa:amad1_13255
ko:K03088	amaa:amad1_13265
ko:K07157	amaa:amad1_13270
ko:K09701	amaa:amad1_13290
ko:K00574	amaa:amad1_13295
ko:K02557	amaa:amad1_13300
ko:K02556	amaa:amad1_13305
ko:K03602	amaa:amad1_13310
ko:K00795	amaa:amad1_13315
ko:K01662	amaa:amad1_13320
ko:K01095	amaa:amad1_13325
ko:K00946	amaa:amad1_13330
ko:K03625	amaa:amad1_13335
ko:K00794	amaa:amad1_13340
ko:K14652	amaa:amad1_13345
ko:K00793	amaa:amad1_13350
ko:K11752	amaa:amad1_13355
ko:K07738	amaa:amad1_13360
ko:K00600	amaa:amad1_13365
ko:K02536	amaa:amad1_13370
ko:K04485	amaa:amad1_13385
ko:K01079	amaa:amad1_13395
ko:K03424	amaa:amad1_13405
ko:K00275	amaa:amad1_13410
ko:K03685	amaa:amad1_13420
ko:K03100	amaa:amad1_13425
ko:K03596	amaa:amad1_13430
ko:K03598	amaa:amad1_13440
ko:K03597	amaa:amad1_13445
ko:K03088	amaa:amad1_13450
ko:K00278	amaa:amad1_13455
ko:K09159	amaa:amad1_13470
ko:K06980	amaa:amad1_13475
ko:K01951	amaa:amad1_13705
ko:K03601	amaa:amad1_13715
ko:K03977	amaa:amad1_13730
ko:K01892	amaa:amad1_13745
ko:K15539	amaa:amad1_13755
ko:K02656	amaa:amad1_13760
ko:K06941	amaa:amad1_13765
ko:K00940	amaa:amad1_13770
ko:K02426	amaa:amad1_13775
ko:K11717	amaa:amad1_13790
ko:K09015	amaa:amad1_13795
ko:K09013	amaa:amad1_13800
ko:K09014	amaa:amad1_13805
ko:K04487	amaa:amad1_13810
ko:K13643	amaa:amad1_13815
ko:K00640	amaa:amad1_13825
ko:K15396	amaa:amad1_13830
ko:K03074	amaa:amad1_13850
ko:K03072	amaa:amad1_13855
ko:K03210	amaa:amad1_13860
ko:K00773	amaa:amad1_13865
ko:K07568	amaa:amad1_13870
ko:K09980	amaa:amad1_13880
ko:K10716	amaa:amad1_13890
ko:K08989	amaa:amad1_13900
ko:K02003	amaa:amad1_13925
ko:K01425	amaa:amad1_13940
ko:K03415	amaa:amad1_13950
ko:K01637	amaa:amad1_13955
ko:K00761	amaa:amad1_14280
ko:K14540	amaa:amad1_14310
ko:K03437	amaa:amad1_14315
ko:K02616	amaa:amad1_14375
ko:K09456	amaa:amad1_14380
ko:K05851	amaa:amad1_14420
ko:K13483	amaa:amad1_14455
ko:K11178	amaa:amad1_14460
ko:K11177	amaa:amad1_14465
ko:K05520	amaa:amad1_14495
ko:K07058	amaa:amad1_14500
ko:K03291	amaa:amad1_14540
ko:K03654	amaa:amad1_14555
ko:K00262	amaa:amad1_14630
ko:K06140	amaa:amad1_14635
ko:K03563	amaa:amad1_14645
ko:K16091	amaa:amad1_14745
ko:K15726	amaa:amad1_14750
ko:K16264	amaa:amad1_14770
ko:K03070	amaa:amad1_15060
ko:K02535	amaa:amad1_15070
ko:K03531	amaa:amad1_15075
ko:K03590	amaa:amad1_15080
ko:K03589	amaa:amad1_15085
ko:K01921	amaa:amad1_15090
ko:K01924	amaa:amad1_15095
ko:K02563	amaa:amad1_15100
ko:K03588	amaa:amad1_15105
ko:K01925	amaa:amad1_15110
ko:K01000	amaa:amad1_15115
ko:K01929	amaa:amad1_15120
ko:K01928	amaa:amad1_15125
ko:K03587	amaa:amad1_15130
ko:K03586	amaa:amad1_15135
ko:K03438	amaa:amad1_15140
ko:K03925	amaa:amad1_15145
ko:K01273	amaa:amad1_15160
ko:K09761	amaa:amad1_15260
ko:K01920	amaa:amad1_15265
ko:K07735	amaa:amad1_15270
ko:K07447	amaa:amad1_15275
ko:K02670	amaa:amad1_15285
ko:K02669	amaa:amad1_15290
ko:K06997	amaa:amad1_15295
ko:K00286	amaa:amad1_15300
ko:K02221	amaa:amad1_15305
ko:K07778	amaa:amad1_15600
ko:K07693	amaa:amad1_15605
ko:K07648	amaa:amad1_15705
ko:K00266	amaa:amad1_15720
ko:K02227	amaa:amad1_15740
ko:K01866	amaa:amad1_15770
ko:K09001	amaa:amad1_15785
ko:K02429	amaa:amad1_15790
ko:K07267	amaa:amad1_15795
ko:K10680	amaa:amad1_15800
ko:K15724	amaa:amad1_15825
ko:K03608	amaa:amad1_15840
ko:K03609	amaa:amad1_15845
ko:K03610	amaa:amad1_15850
ko:K03786	amaa:amad1_19365
ko:K02160	amaa:amad1_19370
ko:K01961	amaa:amad1_19375
ko:K02687	amaa:amad1_19435
ko:K03557	amaa:amad1_19445
ko:K00602	amaa:amad1_19450
ko:K01945	amaa:amad1_19460
ko:K10716	amaa:amad1_19475
ko:K00855	amaa:amad1_19480
ko:K07659	amaa:amad1_19490
ko:K07638	amaa:amad1_19500
ko:K01610	amaa:amad1_19520
ko:K04083	amaa:amad1_19525
ko:K04762	amaa:amad1_19530
ko:K02452	amaa:amad1_19535
ko:K02453	amaa:amad1_19540
ko:K02455	amaa:amad1_19550
ko:K02456	amaa:amad1_19555
ko:K02457	amaa:amad1_19560
ko:K02458	amaa:amad1_19565
ko:K02459	amaa:amad1_19570
ko:K02460	amaa:amad1_19575
ko:K02461	amaa:amad1_19580
ko:K02462	amaa:amad1_19585
ko:K08312	amaa:amad1_19615
ko:K02609	amaa:amad1_21353
ko:K10674	amaa:amad1_21538
ko:K06160	amaa:amad1_21558
ko:K01434	amaa:amad1_21563
ko:K08973	amaa:amad1_15875
ko:K05970	amaa:amad1_16230
ko:K08323	amaa:amad1_16235
ko:K01235	amaa:amad1_16240
ko:K01198	amaa:amad1_16245
ko:K01209	amaa:amad1_16245
ko:K07226	amaa:amad1_16300
ko:K02013	amaa:amad1_16305
ko:K02015	amaa:amad1_16310
ko:K02016	amaa:amad1_16315
ko:K16089	amaa:amad1_16325
ko:K02440	amaa:amad1_16335
ko:K01251	amaa:amad1_16390
ko:K07088	amaa:amad1_16405
ko:K06136	amaa:amad1_16450
ko:K06137	amaa:amad1_16455
ko:K06139	amaa:amad1_16465
ko:K00140	amaa:amad1_16530
ko:K02168	amaa:amad1_16540
ko:K03088	amaa:amad1_16545
ko:K03777	amaa:amad1_16575
ko:K06214	amaa:amad1_16585
ko:K04338	amaa:amad1_16590
ko:K04337	amaa:amad1_16595
ko:K04335	amaa:amad1_16605
ko:K11927	amaa:amad1_16630
ko:K00426	amaa:amad1_16640
ko:K00425	amaa:amad1_16645
ko:K00925	amaa:amad1_16660
ko:K15408	amaa:amad1_16770
ko:K02275	amaa:amad1_16775
ko:K00425	amaa:amad1_16795
ko:K00426	amaa:amad1_16800
ko:K03782	amaa:amad1_16850
ko:K00817	amaa:amad1_16885
ko:K03410	amaa:amad1_16895
ko:K02336	amaa:amad1_16910
ko:K00322	amaa:amad1_16950
ko:K00390	amaa:amad1_16975
ko:K00381	amaa:amad1_16980
ko:K03969	amaa:amad1_17010
ko:K05539	amaa:amad1_17020
ko:K01070	amaa:amad1_17055
ko:K16053	amaa:amad1_17070
ko:K03308	amaa:amad1_17090
ko:K03840	amaa:amad1_17120
ko:K00694	amaa:amad1_17160
ko:K01754	amaa:amad1_17205
ko:K00140	amaa:amad1_17270
ko:K09024	amaa:amad1_17275
ko:K09019	amaa:amad1_17280
ko:K09023	amaa:amad1_17285
ko:K09021	amaa:amad1_17290
ko:K09018	amaa:amad1_17300
ko:K02346	amaa:amad1_17335
ko:K05952	amaa:amad1_17340
ko:K03734	amaa:amad1_17345
ko:K00351	amaa:amad1_17350
ko:K00350	amaa:amad1_17355
ko:K00349	amaa:amad1_17360
ko:K00348	amaa:amad1_17365
ko:K00347	amaa:amad1_17370
ko:K00346	amaa:amad1_17375
ko:K00209	amaa:amad1_17380
ko:K03773	amaa:amad1_17385
ko:K01595	amaa:amad1_17390
ko:K00024	amaa:amad1_17410
ko:K03402	amaa:amad1_17415
ko:K00876	amaa:amad1_17440
ko:K14393	amaa:amad1_17480
ko:K06987	amaa:amad1_17505
ko:K01895	amaa:amad1_17525
ko:K07093	amaa:amad1_17550
ko:K02358	amaa:amad1_17565
ko:K03525	amaa:amad1_17570
ko:K03524	amaa:amad1_17575
ko:K00075	amaa:amad1_17580
ko:K03717	amaa:amad1_17615
ko:K00012	amaa:amad1_17635
ko:K00067	amaa:amad1_17650
ko:K01790	amaa:amad1_17655
ko:K00973	amaa:amad1_17660
ko:K02406	amaa:amad1_17865
ko:K02879	amaa:amad1_17880
ko:K03040	amaa:amad1_17885
ko:K02986	amaa:amad1_17890
ko:K02948	amaa:amad1_17895
ko:K02952	amaa:amad1_17900
ko:K02919	amaa:amad1_17905
ko:K03076	amaa:amad1_17910
ko:K02876	amaa:amad1_17915
ko:K02907	amaa:amad1_17920
ko:K02988	amaa:amad1_17925
ko:K02881	amaa:amad1_17930
ko:K02933	amaa:amad1_17935
ko:K02994	amaa:amad1_17940
ko:K02954	amaa:amad1_17945
ko:K02931	amaa:amad1_17950
ko:K02895	amaa:amad1_17955
ko:K02874	amaa:amad1_17960
ko:K14645	amaa:amad1_17975
ko:K03218	amaa:amad1_17985
ko:K12573	amaa:amad1_17990
ko:K03182	amaa:amad1_18045
ko:K05368	amaa:amad1_18050
ko:K00425	amaa:amad1_18085
ko:K00426	amaa:amad1_18090
ko:K05800	amaa:amad1_18100
ko:K03704	amaa:amad1_18110
ko:K03688	amaa:amad1_18115
ko:K03690	amaa:amad1_18120
ko:K03183	amaa:amad1_18125
ko:K01414	amaa:amad1_18135
ko:K02044	amaa:amad1_18145
ko:K00021	amaa:amad1_18215
ko:K13408	amaa:amad1_18220
ko:K13409	amaa:amad1_18225
ko:K03667	amaa:amad1_18255
ko:K01419	amaa:amad1_18260
ko:K04066	amaa:amad1_18270
ko:K03981	amaa:amad1_06055
ko:K03630	amaa:amad1_06170
ko:K07240	amaa:amad1_06195
ko:K02402	amaa:amad1_06220
ko:K02403	amaa:amad1_06225
ko:K02837	amaa:amad1_06255
ko:K01887	amaa:amad1_06260
ko:K01738	amaa:amad1_06280
ko:K02836	amaa:amad1_06325
ko:K04567	amaa:amad1_06330
ko:K00077	amaa:amad1_06335
ko:K01919	amaa:amad1_06355
ko:K07320	amaa:amad1_06385
ko:K01736	amaa:amad1_06390
ko:K05820	amaa:amad1_06395
ko:K09786	amaa:amad1_06405
ko:K07180	amaa:amad1_06410
ko:K04564	amaa:amad1_06415
ko:K07390	amaa:amad1_06420
ko:K03088	amaa:amad1_06430
ko:K02192	amaa:amad1_06445
