ko:K18929	ccoi:YSU_00370
ko:K15738	ccoi:YSU_04425
ko:K03750	ccoi:YSU_04435
ko:K00790	ccoi:YSU_04440
ko:K01664	ccoi:YSU_04450
ko:K04763	ccoi:YSU_04460
ko:K03611	ccoi:YSU_04465
ko:K03673	ccoi:YSU_04470
ko:K02400	ccoi:YSU_04495
ko:K02956	ccoi:YSU_04505
ko:K03466	ccoi:YSU_04510
ko:K02397	ccoi:YSU_04515
ko:K06921	ccoi:YSU_04540
ko:K02029	ccoi:YSU_04585
ko:K06143	ccoi:YSU_04595
ko:K02004	ccoi:YSU_04600
ko:K03070	ccoi:YSU_04605
ko:K03634	ccoi:YSU_04610
ko:K00123	ccoi:YSU_01345
ko:K00123	ccoi:YSU_01350
ko:K00124	ccoi:YSU_01355
ko:K00127	ccoi:YSU_01360
ko:K02379	ccoi:YSU_01380
ko:K01008	ccoi:YSU_01395
ko:K13821	ccoi:YSU_01400
ko:K11928	ccoi:YSU_01405
ko:K07112	ccoi:YSU_01415
ko:K01939	ccoi:YSU_01425
ko:K01956	ccoi:YSU_01445
ko:K09792	ccoi:YSU_01450
ko:K00404	ccoi:YSU_01465
ko:K00405	ccoi:YSU_01470
ko:K00407	ccoi:YSU_01475
ko:K00406	ccoi:YSU_01480
ko:K03582	ccoi:YSU_01510
ko:K02871	ccoi:YSU_01525
ko:K02996	ccoi:YSU_01530
ko:K03286	ccoi:YSU_01535
ko:K01091	ccoi:YSU_01540
ko:K03737	ccoi:YSU_01545
ko:K02453	ccoi:YSU_01555
ko:K01714	ccoi:YSU_01560
ko:K02454	ccoi:YSU_01570
ko:K02455	ccoi:YSU_01575
ko:K07090	ccoi:YSU_01580
ko:K02396	ccoi:YSU_01590
ko:K02394	ccoi:YSU_01610
ko:K00946	ccoi:YSU_01630
ko:K06176	ccoi:YSU_01635
ko:K02836	ccoi:YSU_01645
ko:K12251	ccoi:YSU_04630
ko:K03406	ccoi:YSU_04650
ko:K00602	ccoi:YSU_04655
ko:K05801	ccoi:YSU_04660
ko:K01952	ccoi:YSU_04665
ko:K03650	ccoi:YSU_04670
ko:K06346	ccoi:YSU_04675
ko:K03217	ccoi:YSU_04680
ko:K03536	ccoi:YSU_04690
ko:K02914	ccoi:YSU_04695
ko:K07107	ccoi:YSU_04715
ko:K09815	ccoi:YSU_04760
ko:K03711	ccoi:YSU_04765
ko:K03100	ccoi:YSU_04770
ko:K01491	ccoi:YSU_04775
ko:K01845	ccoi:YSU_04785
ko:K04061	ccoi:YSU_04810
ko:K01613	ccoi:YSU_04815
ko:K07098	ccoi:YSU_04820
ko:K01885	ccoi:YSU_04825
ko:K02221	ccoi:YSU_04830
ko:K08309	ccoi:YSU_04835
ko:K03753	ccoi:YSU_04845
ko:K03841	ccoi:YSU_04850
ko:K01874	ccoi:YSU_04855
ko:K01772	ccoi:YSU_04860
ko:K00567	ccoi:YSU_04865
ko:K01682	ccoi:YSU_04870
ko:K09943	ccoi:YSU_04895
ko:K02003	ccoi:YSU_00475
ko:K02004	ccoi:YSU_00480
ko:K02004	ccoi:YSU_00485
ko:K07230	ccoi:YSU_00495
ko:K07243	ccoi:YSU_00500
ko:K03313	ccoi:YSU_00510
ko:K03313	ccoi:YSU_00515
ko:K01776	ccoi:YSU_00525
ko:K01265	ccoi:YSU_00530
ko:K18480	ccoi:YSU_00540
ko:K02067	ccoi:YSU_00545
ko:K02065	ccoi:YSU_00550
ko:K02066	ccoi:YSU_00555
ko:K00615	ccoi:YSU_00560
ko:K00795	ccoi:YSU_00565
ko:K09747	ccoi:YSU_00575
ko:K01928	ccoi:YSU_00580
ko:K03469	ccoi:YSU_00605
ko:K03685	ccoi:YSU_00610
ko:K01736	ccoi:YSU_00615
ko:K00566	ccoi:YSU_00655
ko:K03559	ccoi:YSU_00670
ko:K03561	ccoi:YSU_00675
ko:K03837	ccoi:YSU_00690
ko:K01752	ccoi:YSU_00695
ko:K11752	ccoi:YSU_00705
ko:K03575	ccoi:YSU_00755
ko:K02016	ccoi:YSU_00770
ko:K02013	ccoi:YSU_00775
ko:K02433	ccoi:YSU_03730
ko:K00088	ccoi:YSU_03735
ko:K03602	ccoi:YSU_03740
ko:K01924	ccoi:YSU_03775
ko:K07456	ccoi:YSU_03785
ko:K12410	ccoi:YSU_03795
ko:K06895	ccoi:YSU_03800
ko:K01439	ccoi:YSU_03805
ko:K03154	ccoi:YSU_03815
ko:K03148	ccoi:YSU_03820
ko:K03149	ccoi:YSU_03825
ko:K03150	ccoi:YSU_03830
ko:K00788	ccoi:YSU_03835
ko:K03449	ccoi:YSU_03850
ko:K02563	ccoi:YSU_03855
ko:K03588	ccoi:YSU_03860
ko:K01959	ccoi:YSU_03865
ko:K03686	ccoi:YSU_03880
ko:K03596	ccoi:YSU_03900
ko:K02242	ccoi:YSU_03910
ko:K02469	ccoi:YSU_03915
ko:K09860	ccoi:YSU_03920
ko:K00133	ccoi:YSU_03935
ko:K01999	ccoi:YSU_03955
ko:K01999	ccoi:YSU_03960
ko:K01997	ccoi:YSU_03965
ko:K01998	ccoi:YSU_03970
ko:K01995	ccoi:YSU_03975
ko:K02313	ccoi:YSU_00005
ko:K02338	ccoi:YSU_00010
ko:K02470	ccoi:YSU_00015
ko:K14393	ccoi:YSU_00050
ko:K07084	ccoi:YSU_00060
ko:K00266	ccoi:YSU_00070
ko:K03470	ccoi:YSU_00075
ko:K01687	ccoi:YSU_00090
ko:K07023	ccoi:YSU_00095
ko:K06920	ccoi:YSU_00100
ko:K06180	ccoi:YSU_00120
ko:K01756	ccoi:YSU_00125
ko:K06956	ccoi:YSU_00135
ko:K01937	ccoi:YSU_00145
ko:K07462	ccoi:YSU_00150
ko:K01424	ccoi:YSU_00155
ko:K00942	ccoi:YSU_03135
ko:K03116	ccoi:YSU_03140
ko:K01887	ccoi:YSU_03145
ko:K11742	ccoi:YSU_03150
ko:K11743	ccoi:YSU_03155
ko:K03768	ccoi:YSU_03165
ko:K00016	ccoi:YSU_03175
ko:K09981	ccoi:YSU_03190
ko:K16264	ccoi:YSU_03195
ko:K01533	ccoi:YSU_03205
ko:K02343	ccoi:YSU_03210
ko:K03628	ccoi:YSU_03215
ko:K17686	ccoi:YSU_03220
ko:K08738	ccoi:YSU_03230
ko:K03273	ccoi:YSU_03235
ko:K03274	ccoi:YSU_03240
ko:K03272	ccoi:YSU_03245
ko:K03271	ccoi:YSU_03250
ko:K02843	ccoi:YSU_03255
ko:K00973	ccoi:YSU_03265
ko:K00661	ccoi:YSU_03275
ko:K02517	ccoi:YSU_03335
ko:K02841	ccoi:YSU_03340
ko:K07501	ccoi:YSU_03345
ko:K01784	ccoi:YSU_03350
ko:K03413	ccoi:YSU_03405
ko:K02687	ccoi:YSU_03410
ko:K03798	ccoi:YSU_03415
ko:K01613	ccoi:YSU_03420
ko:K02600	ccoi:YSU_06575
ko:K06168	ccoi:YSU_06585
ko:K09778	ccoi:YSU_06590
ko:K03147	ccoi:YSU_06610
ko:K02342	ccoi:YSU_06615
ko:K01783	ccoi:YSU_06620
ko:K02902	ccoi:YSU_06625
ko:K09794	ccoi:YSU_06630
ko:K08077	ccoi:YSU_06640
ko:K16089	ccoi:YSU_06645
ko:K18289	ccoi:YSU_06655
ko:K01962	ccoi:YSU_06670
ko:K09458	ccoi:YSU_06675
ko:K02078	ccoi:YSU_06680
ko:K03707	ccoi:YSU_06685
ko:K00059	ccoi:YSU_06695
ko:K15633	ccoi:YSU_06700
ko:K01000	ccoi:YSU_06705
ko:K01925	ccoi:YSU_06710
ko:K03406	ccoi:YSU_06740
ko:K07126	ccoi:YSU_06820
ko:K00245	ccoi:YSU_06835
ko:K00244	ccoi:YSU_06840
ko:K00246	ccoi:YSU_06845
ko:K13292	ccoi:YSU_06850
ko:K07552	ccoi:YSU_00215
ko:K06207	ccoi:YSU_00230
ko:K02389	ccoi:YSU_00245
ko:K02390	ccoi:YSU_00250
ko:K03319	ccoi:YSU_00265
ko:K00566	ccoi:YSU_00270
ko:K06966	ccoi:YSU_00275
ko:K02417	ccoi:YSU_00295
ko:K02416	ccoi:YSU_00300
ko:K02405	ccoi:YSU_00305
ko:K04562	ccoi:YSU_00315
ko:K02404	ccoi:YSU_00320
ko:K00950	ccoi:YSU_00325
ko:K03786	ccoi:YSU_00330
ko:K04773	ccoi:YSU_00340
ko:K00782	ccoi:YSU_00365
ko:K03303	ccoi:YSU_00380
ko:K00425	ccoi:YSU_00390
ko:K00426	ccoi:YSU_00395
ko:K01779	ccoi:YSU_00415
ko:K03648	ccoi:YSU_00420
ko:K01744	ccoi:YSU_00425
ko:K07791	ccoi:YSU_00430
ko:K09859	ccoi:YSU_00435
ko:K07337	ccoi:YSU_00440
ko:K02888	ccoi:YSU_00450
ko:K02899	ccoi:YSU_00455
ko:K03979	ccoi:YSU_00460
ko:K07305	ccoi:YSU_03435
ko:K00684	ccoi:YSU_03445
ko:K03694	ccoi:YSU_03450
ko:K06891	ccoi:YSU_03455
ko:K03664	ccoi:YSU_03465
ko:K00919	ccoi:YSU_03470
ko:K03563	ccoi:YSU_03475
ko:K03177	ccoi:YSU_03480
ko:K03657	ccoi:YSU_03485
ko:K08602	ccoi:YSU_03495
ko:K00609	ccoi:YSU_03500
ko:K07862	ccoi:YSU_03505
ko:K00789	ccoi:YSU_03510
ko:K03820	ccoi:YSU_03540
ko:K03210	ccoi:YSU_03550
ko:K03072	ccoi:YSU_03555
ko:K03074	ccoi:YSU_03560
ko:K01869	ccoi:YSU_03565
ko:K11754	ccoi:YSU_03580
ko:K03723	ccoi:YSU_03595
ko:K06923	ccoi:YSU_03600
ko:K07457	ccoi:YSU_03605
ko:K00941	ccoi:YSU_03610
ko:K00788	ccoi:YSU_03615
ko:K01719	ccoi:YSU_03620
ko:K00286	ccoi:YSU_03640
ko:K13626	ccoi:YSU_03645
ko:K05807	ccoi:YSU_03650
ko:K01338	ccoi:YSU_03655
ko:K02963	ccoi:YSU_03660
ko:K02990	ccoi:YSU_03670
ko:K11749	ccoi:YSU_03690
ko:K00995	ccoi:YSU_03695
ko:K03743	ccoi:YSU_03715
ko:K01870	ccoi:YSU_03720
ko:K01985	ccoi:YSU_00180
ko:K01985	ccoi:YSU_05305
ko:K01985	ccoi:YSU_06715
ko:K14233	ccoi:YSU_02105
ko:K14222	ccoi:YSU_00725
ko:K14228	ccoi:YSU_00730
ko:K14228	ccoi:YSU_04190
ko:K14225	ccoi:YSU_00735
ko:K14225	ccoi:YSU_04430
ko:K14225	ccoi:YSU_06515
ko:K14238	ccoi:YSU_01420
ko:K14231	ccoi:YSU_02475
ko:K14230	ccoi:YSU_02480
ko:K14230	ccoi:YSU_06055
ko:K14223	ccoi:YSU_02485
ko:K14220	ccoi:YSU_02820
ko:K14219	ccoi:YSU_04015
ko:K14224	ccoi:YSU_04560
ko:K14229	ccoi:YSU_04565
ko:K14229	ccoi:YSU_04580
ko:K14235	ccoi:YSU_06495
ko:K14218	ccoi:YSU_00165
ko:K14218	ccoi:YSU_05320
ko:K14218	ccoi:YSU_06730
ko:K14234	ccoi:YSU_06510
ko:K14218	ccoi:YSU_08695
ko:K14233	ccoi:YSU_00720
ko:K14228	ccoi:YSU_04520
ko:K01980	ccoi:YSU_05310
ko:K01977	ccoi:YSU_05325
ko:K14227	ccoi:YSU_00170
ko:K14227	ccoi:YSU_05315
ko:K14227	ccoi:YSU_06725
ko:K14219	ccoi:YSU_06385
ko:K14219	ccoi:YSU_08445
ko:K14219	ccoi:YSU_08450
ko:K14221	ccoi:YSU_04550
ko:K14221	ccoi:YSU_04570
ko:K14237	ccoi:YSU_04555
ko:K14237	ccoi:YSU_04575
ko:K14237	ccoi:YSU_08700
ko:K14224	ccoi:YSU_08050
ko:K01978	ccoi:YSU_06110
ko:K14234	ccoi:YSU_06525
ko:K14236	ccoi:YSU_06520
ko:K14230	ccoi:YSU_08680
ko:K14233	ccoi:YSU_08685
ko:K01977	ccoi:YSU_00160
ko:K01980	ccoi:YSU_00175
ko:K07794	ccoi:YSU_07260
ko:K18924	ccoi:YSU_07340
ko:K18925	ccoi:YSU_07345
ko:K03789	ccoi:YSU_02355
ko:K10747	ccoi:YSU_08465
ko:K18930	ccoi:YSU_00965
ko:K18138	ccoi:YSU_07055
ko:K03497	ccoi:YSU_08395
ko:K03496	ccoi:YSU_08400
ko:K03111	ccoi:YSU_08960
ko:K03201	ccoi:YSU_08980
ko:K03203	ccoi:YSU_08990
ko:K03204	ccoi:YSU_08995
ko:K03196	ccoi:YSU_09005
ko:K03205	ccoi:YSU_09010
ko:K03169	ccoi:YSU_09050
ko:K18220	ccoi:YSU_09070
ko:K09797	ccoi:YSU_00210
ko:K03111	ccoi:YSU_03665
ko:K05593	ccoi:YSU_01125
ko:K00335	ccoi:YSU_01020
ko:K18992	ccoi:YSU_07045
ko:K03526	ccoi:YSU_05565
ko:K11015	ccoi:YSU_07455
ko:K07452	ccoi:YSU_08190
ko:K07097	ccoi:YSU_04490
ko:K06992	ccoi:YSU_04980
ko:K15461	ccoi:YSU_05985
ko:K00557	ccoi:YSU_04890
ko:K00336	ccoi:YSU_01025
ko:K17251	ccoi:YSU_03375
ko:K17249	ccoi:YSU_03360
ko:K15897	ccoi:YSU_02300
ko:K15912	ccoi:YSU_03400
ko:K15913	ccoi:YSU_03390
ko:K15914	ccoi:YSU_03380
ko:K15915	ccoi:YSU_03385
ko:K19147	ccoi:YSU_08185
ko:K17250	ccoi:YSU_03365
ko:K01710	ccoi:YSU_03270
ko:K00525	ccoi:YSU_00130
ko:K22468	ccoi:YSU_05920
ko:K15910	ccoi:YSU_03395
ko:K07317	ccoi:YSU_00200
ko:K04771	ccoi:YSU_02805
ko:K19210	ccoi:YSU_07395
ko:K15899	ccoi:YSU_02305
ko:K03892	ccoi:YSU_01090
ko:K00265	ccoi:YSU_00065
ko:K03761	ccoi:YSU_00760
ko:K06867	ccoi:YSU_01955
ko:K07496	ccoi:YSU_08815
ko:K19416	ccoi:YSU_07735
ko:K18431	ccoi:YSU_02230
ko:K06867	ccoi:YSU_04875
ko:K12097	ccoi:YSU_09015
ko:K00549	ccoi:YSU_06330
ko:K07216	ccoi:YSU_00355
ko:K07216	ccoi:YSU_00360
ko:K07216	ccoi:YSU_00750
ko:K10938	ccoi:YSU_05170
ko:K07147	ccoi:YSU_06990
ko:K09796	ccoi:YSU_04325
ko:K20810	ccoi:YSU_00335
ko:K03197	ccoi:YSU_08930
ko:K03198	ccoi:YSU_08935
ko:K03200	ccoi:YSU_08970
ko:K03195	ccoi:YSU_09000
ko:K03199	ccoi:YSU_08940
ko:K00821	ccoi:YSU_07780
ko:K02335	ccoi:YSU_07190
ko:K03465	ccoi:YSU_00140
ko:K02316	ccoi:YSU_00595
ko:K03553	ccoi:YSU_08485
ko:K06919	ccoi:YSU_08890
ko:K02314	ccoi:YSU_06075
ko:K02483	ccoi:YSU_05950
ko:K02483	ccoi:YSU_07105
ko:K02483	ccoi:YSU_02810
ko:K02032	ccoi:YSU_00990
ko:K02481	ccoi:YSU_03930
ko:K01139	ccoi:YSU_06005
ko:K00526	ccoi:YSU_07760
ko:K13695	ccoi:YSU_00520
ko:K21420	ccoi:YSU_03875
ko:K01420	ccoi:YSU_00405
ko:K10026	ccoi:YSU_08085
ko:K21600	ccoi:YSU_06300
ko:K21929	ccoi:YSU_04705
ko:K03741	ccoi:YSU_01085
ko:K03595	ccoi:YSU_05675
ko:K22278	ccoi:YSU_02985
ko:K14441	ccoi:YSU_01650
ko:K17758	ccoi:YSU_07925
ko:K17759	ccoi:YSU_07925
ko:K22391	ccoi:YSU_05475
ko:K22424	ccoi:YSU_05590
ko:K22477	ccoi:YSU_07790
