ko:K16235	bbrn:B2258_1059
ko:K02355	bbrn:B2258_0561
ko:K02358	bbrn:B2258_0562
ko:K06199	bbrn:B2258_0569
ko:K06199	bbrn:B2258_0570
ko:K07133	bbrn:B2258_0573
ko:K07220	bbrn:B2258_0574
ko:K01126	bbrn:B2258_0575
ko:K05813	bbrn:B2258_0576
ko:K05815	bbrn:B2258_0577
ko:K05814	bbrn:B2258_0578
ko:K03306	bbrn:B2258_0579
ko:K10440	bbrn:B2258_1396
ko:K10441	bbrn:B2258_1397
ko:K02529	bbrn:B2258_1398
ko:K00852	bbrn:B2258_1401
ko:K01091	bbrn:B2258_1403
ko:K01250	bbrn:B2258_1404
ko:K01817	bbrn:B2258_1406
ko:K16787	bbrn:B2258_1407
ko:K16786	bbrn:B2258_1408
ko:K16785	bbrn:B2258_1409
ko:K16923	bbrn:B2258_1410
ko:K00852	bbrn:B2258_1411
ko:K06147	bbrn:B2258_1412
ko:K06147	bbrn:B2258_1413
ko:K05349	bbrn:B2258_1415
ko:K05349	bbrn:B2258_1421
ko:K01919	bbrn:B2258_1423
ko:K03601	bbrn:B2258_1427
ko:K03602	bbrn:B2258_1428
ko:K01897	bbrn:B2258_1430
ko:K03282	bbrn:B2258_1431
ko:K01524	bbrn:B2258_1434
ko:K07458	bbrn:B2258_1437
ko:K00674	bbrn:B2258_1440
ko:K01647	bbrn:B2258_1441
ko:K01265	bbrn:B2258_1442
ko:K07386	bbrn:B2258_1444
ko:K01881	bbrn:B2258_1446
ko:K01951	bbrn:B2258_0746
ko:K04042	bbrn:B2258_0748
ko:K09710	bbrn:B2258_0749
ko:K02073	bbrn:B2258_0752
ko:K02071	bbrn:B2258_0753
ko:K02072	bbrn:B2258_0754
ko:K01950	bbrn:B2258_0756
ko:K00656	bbrn:B2258_0758
ko:K04069	bbrn:B2258_0759
ko:K03684	bbrn:B2258_0761
ko:K03545	bbrn:B2258_0762
ko:K01358	bbrn:B2258_0765
ko:K01358	bbrn:B2258_0766
ko:K03544	bbrn:B2258_0767
ko:K14155	bbrn:B2258_0768
ko:K03313	bbrn:B2258_0769
ko:K06966	bbrn:B2258_0770
ko:K00240	bbrn:B2258_0772
ko:K00239	bbrn:B2258_0773
ko:K04096	bbrn:B2258_0774
ko:K07391	bbrn:B2258_0775
ko:K07460	bbrn:B2258_0776
ko:K00868	bbrn:B2258_0778
ko:K01740	bbrn:B2258_0779
ko:K02003	bbrn:B2258_0780
ko:K02004	bbrn:B2258_0781
ko:K00286	bbrn:B2258_0785
ko:K02030	bbrn:B2258_0786
ko:K02028	bbrn:B2258_0787
ko:K02029	bbrn:B2258_0788
ko:K02029	bbrn:B2258_0789
ko:K06942	bbrn:B2258_0790
ko:K13653	bbrn:B2258_0791
ko:K07343	bbrn:B2258_0792
ko:K02755	bbrn:B2258_1608
ko:K02756	bbrn:B2258_1608
ko:K02757	bbrn:B2258_1608
ko:K01835	bbrn:B2258_1609
ko:K03469	bbrn:B2258_1613
ko:K01807	bbrn:B2258_1614
ko:K04485	bbrn:B2258_1617
ko:K11753	bbrn:B2258_1618
ko:K03177	bbrn:B2258_1619
ko:K02834	bbrn:B2258_1620
ko:K02519	bbrn:B2258_1621
ko:K02600	bbrn:B2258_1622
ko:K06173	bbrn:B2258_1627
ko:K02879	bbrn:B2258_1628
ko:K03040	bbrn:B2258_1629
ko:K02948	bbrn:B2258_1630
ko:K02952	bbrn:B2258_1631
ko:K02919	bbrn:B2258_1632
ko:K02518	bbrn:B2258_1633
ko:K00939	bbrn:B2258_1634
ko:K03076	bbrn:B2258_1635
ko:K02876	bbrn:B2258_1636
ko:K02907	bbrn:B2258_1637
ko:K02988	bbrn:B2258_1638
ko:K02881	bbrn:B2258_1639
ko:K02933	bbrn:B2258_1640
ko:K02994	bbrn:B2258_1641
ko:K02954	bbrn:B2258_1642
ko:K02931	bbrn:B2258_1643
ko:K02895	bbrn:B2258_1644
ko:K02874	bbrn:B2258_1645
ko:K02961	bbrn:B2258_1646
ko:K02904	bbrn:B2258_1647
ko:K02878	bbrn:B2258_1648
ko:K02982	bbrn:B2258_1649
ko:K02890	bbrn:B2258_1650
ko:K02965	bbrn:B2258_1651
ko:K02886	bbrn:B2258_1652
ko:K02892	bbrn:B2258_1653
ko:K02926	bbrn:B2258_1654
ko:K02906	bbrn:B2258_1655
ko:K02946	bbrn:B2258_1656
ko:K01575	bbrn:B2258_1657
ko:K04072	bbrn:B2258_1659
ko:K00845	bbrn:B2258_0139
ko:K01788	bbrn:B2258_0140
ko:K02035	bbrn:B2258_0142
ko:K02033	bbrn:B2258_0143
ko:K02031	bbrn:B2258_0144
ko:K02034	bbrn:B2258_0144
ko:K01714	bbrn:B2258_0146
ko:K02564	bbrn:B2258_0147
ko:K01186	bbrn:B2258_0149
ko:K07133	bbrn:B2258_0150
ko:K01649	bbrn:B2258_0153
ko:K03168	bbrn:B2258_0156
ko:K00943	bbrn:B2258_0157
ko:K02341	bbrn:B2258_0158
ko:K02529	bbrn:B2258_0159
ko:K11189	bbrn:B2258_0160
ko:K08483	bbrn:B2258_0162
ko:K06910	bbrn:B2258_0166
ko:K08659	bbrn:B2258_0167
ko:K01938	bbrn:B2258_0168
ko:K01885	bbrn:B2258_0177
ko:K07118	bbrn:B2258_0181
ko:K03655	bbrn:B2258_0182
ko:K07454	bbrn:B2258_0192
ko:K04127	bbrn:B2258_1017
ko:K02003	bbrn:B2258_1028
ko:K02004	bbrn:B2258_1029
ko:K03088	bbrn:B2258_1033
ko:K01992	bbrn:B2258_1036
ko:K11939	bbrn:B2258_1040
ko:K01990	bbrn:B2258_1043
ko:K09974	bbrn:B2258_1064
ko:K01657	bbrn:B2258_1065
ko:K01496	bbrn:B2258_1066
ko:K02500	bbrn:B2258_1067
ko:K05520	bbrn:B2258_1068
ko:K06941	bbrn:B2258_1069
ko:K00981	bbrn:B2258_1070
ko:K02838	bbrn:B2258_1071
ko:K09903	bbrn:B2258_1072
ko:K01990	bbrn:B2258_1816
ko:K01992	bbrn:B2258_1817
ko:K00973	bbrn:B2258_1818
ko:K06950	bbrn:B2258_1829
ko:K03549	bbrn:B2258_1831
ko:K03424	bbrn:B2258_1832
ko:K06147	bbrn:B2258_1833
ko:K06147	bbrn:B2258_1834
ko:K07133	bbrn:B2258_1835
ko:K02035	bbrn:B2258_1837
ko:K02031	bbrn:B2258_1838
ko:K02032	bbrn:B2258_1838
ko:K02034	bbrn:B2258_1839
ko:K02033	bbrn:B2258_1840
ko:K01372	bbrn:B2258_1841
ko:K01874	bbrn:B2258_1843
ko:K07056	bbrn:B2258_1845
ko:K03734	bbrn:B2258_1847
ko:K06147	bbrn:B2258_1848
ko:K02004	bbrn:B2258_1852
ko:K02003	bbrn:B2258_1853
ko:K10119	bbrn:B2258_1856
ko:K10118	bbrn:B2258_1857
ko:K10117	bbrn:B2258_1859
ko:K01421	bbrn:B2258_1863
ko:K01421	bbrn:B2258_1864
ko:K01653	bbrn:B2258_0362
ko:K01652	bbrn:B2258_0363
ko:K03685	bbrn:B2258_0364
ko:K02911	bbrn:B2258_0365
ko:K07040	bbrn:B2258_0366
ko:K00954	bbrn:B2258_0368
ko:K00763	bbrn:B2258_0373
ko:K00989	bbrn:B2258_0374
ko:K02428	bbrn:B2258_0375
ko:K01810	bbrn:B2258_0377
ko:K02049	bbrn:B2258_0378
ko:K02050	bbrn:B2258_0379
ko:K02884	bbrn:B2258_0380
ko:K03100	bbrn:B2258_0381
ko:K03470	bbrn:B2258_0382
ko:K01897	bbrn:B2258_0384
ko:K02027	bbrn:B2258_0389
ko:K02025	bbrn:B2258_0390
ko:K02026	bbrn:B2258_0391
ko:K12308	bbrn:B2258_0392
ko:K01224	bbrn:B2258_0394
ko:K03322	bbrn:B2258_0397
ko:K01104	bbrn:B2258_0401
ko:K02563	bbrn:B2258_1233
ko:K03588	bbrn:B2258_1234
ko:K01925	bbrn:B2258_1235
ko:K01000	bbrn:B2258_1236
ko:K01929	bbrn:B2258_1237
ko:K03587	bbrn:B2258_1239
ko:K03438	bbrn:B2258_1241
ko:K03925	bbrn:B2258_1242
ko:K00058	bbrn:B2258_1244
ko:K07738	bbrn:B2258_1245
ko:K01356	bbrn:B2258_1247
ko:K16264	bbrn:B2258_1248
ko:K00016	bbrn:B2258_1249
ko:K03665	bbrn:B2258_1250
ko:K03578	bbrn:B2258_1252
ko:K01915	bbrn:B2258_1254
ko:K01814	bbrn:B2258_1256
ko:K01817	bbrn:B2258_1256
ko:K02501	bbrn:B2258_1257
ko:K01693	bbrn:B2258_1259
ko:K00817	bbrn:B2258_1260
ko:K00013	bbrn:B2258_1261
ko:K01512	bbrn:B2258_1262
ko:K18333	bbrn:B2258_1266
ko:K18334	bbrn:B2258_1267
ko:K10254	bbrn:B2258_1268
ko:K02337	bbrn:B2258_1271
ko:K06180	bbrn:B2258_1273
ko:K03101	bbrn:B2258_1274
ko:K02221	bbrn:B2258_1276
ko:K09772	bbrn:B2258_1277
ko:K03531	bbrn:B2258_1278
ko:K01880	bbrn:B2258_1280
ko:K16235	bbrn:B2258_1014
ko:K14218	bbrn:B2258_tRNA1
ko:K14218	bbrn:B2258_tRNA22
ko:K14218	bbrn:B2258_tRNA23
ko:K14228	bbrn:B2258_tRNA3
ko:K14228	bbrn:B2258_tRNA13
ko:K14229	bbrn:B2258_tRNA8
ko:K14229	bbrn:B2258_tRNA9
ko:K14230	bbrn:B2258_tRNA10
ko:K14219	bbrn:B2258_tRNA11
ko:K14219	bbrn:B2258_tRNA15
ko:K14219	bbrn:B2258_tRNA24
ko:K14219	bbrn:B2258_tRNA25
ko:K14219	bbrn:B2258_tRNA35
ko:K14234	bbrn:B2258_tRNA14
ko:K14226	bbrn:B2258_tRNA16
ko:K14237	bbrn:B2258_tRNA17
ko:K14237	bbrn:B2258_tRNA29
ko:K14237	bbrn:B2258_tRNA49
ko:K14232	bbrn:B2258_tRNA32
ko:K14232	bbrn:B2258_tRNA41
ko:K14235	bbrn:B2258_tRNA51
ko:K14222	bbrn:B2258_tRNA28
ko:K01985	bbrn:B2258_rRNA5S1
ko:K01985	bbrn:B2258_rRNA5S2
ko:K01980	bbrn:B2258_rRNA23S1
ko:K01980	bbrn:B2258_rRNA23S2
ko:K14228	bbrn:B2258_tRNA18
ko:K14228	bbrn:B2258_tRNA19
ko:K14228	bbrn:B2258_tRNA26
ko:K14225	bbrn:B2258_tRNA4
ko:K14225	bbrn:B2258_tRNA12
ko:K14225	bbrn:B2258_tRNA27
ko:K14225	bbrn:B2258_tRNA31
ko:K14225	bbrn:B2258_tRNA50
ko:K14224	bbrn:B2258_tRNA5
ko:K14223	bbrn:B2258_tRNA6
ko:K14223	bbrn:B2258_tRNA21
ko:K01977	bbrn:B2258_rRNA16S1
ko:K01977	bbrn:B2258_rRNA16S2
ko:K14221	bbrn:B2258_tRNA37
ko:K14221	bbrn:B2258_tRNA39
ko:K14231	bbrn:B2258_tRNA38
ko:K14233	bbrn:B2258_tRNA42
ko:K14233	bbrn:B2258_tRNA43
ko:K14227	bbrn:B2258_tRNA2
ko:K14233	bbrn:B2258_tRNA7
ko:K14230	bbrn:B2258_tRNA36
ko:K14237	bbrn:B2258_tRNA30
ko:K14237	bbrn:B2258_tRNA48
ko:K14232	bbrn:B2258_tRNA20
ko:K03574	bbrn:B2258_1794
ko:K13059	bbrn:B2258_1600
ko:K14220	bbrn:B2258_tRNA33
ko:K14220	bbrn:B2258_tRNA34
ko:K14233	bbrn:B2258_tRNA44
ko:K14234	bbrn:B2258_tRNA46
ko:K14234	bbrn:B2258_tRNA53
ko:K14236	bbrn:B2258_tRNA47
ko:K14218	bbrn:B2258_tRNA52
ko:K14230	bbrn:B2258_tRNA45
ko:K03427	bbrn:B2258_0917
ko:K01214	bbrn:B2258_0733
ko:K10231	bbrn:B2258_1711
ko:K07171	bbrn:B2258_0802
ko:K06147	bbrn:B2258_0387
ko:K07473	bbrn:B2258_0860
ko:K07473	bbrn:B2258_0916
ko:K07473	bbrn:B2258_1030
ko:K03111	bbrn:B2258_0234
ko:K03497	bbrn:B2258_1925
ko:K03496	bbrn:B2258_1926
ko:K03496	bbrn:B2258_1198
ko:K03502	bbrn:B2258_0541
ko:K08168	bbrn:B2258_1400
ko:K03111	bbrn:B2258_1445
ko:K07473	bbrn:B2258_0659
ko:K03205	bbrn:B2258_1530
ko:K03497	bbrn:B2258_1541
ko:K07473	bbrn:B2258_0803
ko:K03976	bbrn:B2258_1209
ko:K07483	bbrn:B2258_0513
ko:K03526	bbrn:B2258_0625
ko:K07816	bbrn:B2258_1163
ko:K07464	bbrn:B2258_1386
ko:K00067	bbrn:B2258_1819
ko:K01790	bbrn:B2258_1819
ko:K19119	bbrn:B2258_1389
ko:K19157	bbrn:B2258_1031
ko:K19158	bbrn:B2258_0658
ko:K01710	bbrn:B2258_1820
ko:K09951	bbrn:B2258_1384
ko:K19117	bbrn:B2258_1388
ko:K19118	bbrn:B2258_1387
ko:K07062	bbrn:B2258_0360
ko:K01621	bbrn:B2258_0747
ko:K19265	bbrn:B2258_0370
ko:K01239	bbrn:B2258_0347
ko:K01785	bbrn:B2258_1212
ko:K01990	bbrn:B2258_0836
ko:K12952	bbrn:B2258_1169
ko:K08217	bbrn:B2258_0825
ko:K01785	bbrn:B2258_1211
ko:K16960	bbrn:B2258_1785
ko:K03496	bbrn:B2258_1493
ko:K08156	bbrn:B2258_1591
ko:K00526	bbrn:B2258_1903
ko:K20459	bbrn:B2258_1086
ko:K19710	bbrn:B2258_0975
ko:K08744	bbrn:B2258_1004
ko:K02538	bbrn:B2258_1364
ko:K03710	bbrn:B2258_0503
ko:K19955	bbrn:B2258_1402
ko:K12132	bbrn:B2258_0055
ko:K02777	bbrn:B2258_1774
ko:K20107	bbrn:B2258_1774
ko:K20108	bbrn:B2258_1774
ko:K12132	bbrn:B2258_0054
ko:K12132	bbrn:B2258_1147
ko:K20074	bbrn:B2258_0058
ko:K20482	bbrn:B2258_1503
ko:K20444	bbrn:B2258_1815
ko:K20461	bbrn:B2258_1088
ko:K20460	bbrn:B2258_1087
ko:K01214	bbrn:B2258_1661
ko:K01200	bbrn:B2258_0110
ko:K20814	bbrn:B2258_1358
ko:K21011	bbrn:B2258_0028
ko:K21012	bbrn:B2258_0029
ko:K00821	bbrn:B2258_0653
ko:K21636	bbrn:B2258_1426
ko:K06217	bbrn:B2258_0883
ko:K00558	bbrn:B2258_0196
ko:K02314	bbrn:B2258_0225
ko:K06191	bbrn:B2258_1907
ko:K01520	bbrn:B2258_1130
ko:K03553	bbrn:B2258_1154
ko:K06223	bbrn:B2258_0358
ko:K02316	bbrn:B2258_0498
ko:K04068	bbrn:B2258_1425
ko:K00287	bbrn:B2258_1577
ko:K00560	bbrn:B2258_1578
ko:K02031	bbrn:B2258_0488
ko:K02032	bbrn:B2258_0489
ko:K02032	bbrn:B2258_0145
ko:K00525	bbrn:B2258_1905
ko:K02335	bbrn:B2258_0730
ko:K03293	bbrn:B2258_1851
ko:K21471	bbrn:B2258_0470
ko:K03293	bbrn:B2258_1854
ko:K05364	bbrn:B2258_0056
ko:K21495	bbrn:B2258_0361
ko:K21498	bbrn:B2258_0805
ko:K21600	bbrn:B2258_0251
ko:K10914	bbrn:B2258_0439
ko:K21739	bbrn:B2258_1612
ko:K00936	bbrn:B2258_0704
ko:K22010	bbrn:B2258_0729
ko:K03595	bbrn:B2258_0886
ko:K22306	bbrn:B2258_0750
ko:K22397	bbrn:B2258_1760
ko:K22397	bbrn:B2258_1265
ko:K08300	bbrn:B2258_1757
ko:K08301	bbrn:B2258_1757
