ko:K19079	saue:RSAU_000637
ko:K00260	saue:RSAU_000835
ko:K01126	saue:RSAU_000836
ko:K01755	saue:RSAU_000837
ko:K01940	saue:RSAU_000838
ko:K01810	saue:RSAU_000839
ko:K03100	saue:RSAU_000841
ko:K03100	saue:RSAU_000842
ko:K16898	saue:RSAU_000844
ko:K03695	saue:RSAU_000851
ko:K00648	saue:RSAU_000858
ko:K09458	saue:RSAU_000859
ko:K15581	saue:RSAU_000860
ko:K15580	saue:RSAU_000864
ko:K02034	saue:RSAU_000871
ko:K01867	saue:RSAU_000872
ko:K16511	saue:RSAU_000874
ko:K08602	saue:RSAU_000876
ko:K06886	saue:RSAU_000881
ko:K01911	saue:RSAU_001649
ko:K01154	saue:RSAU_001664
ko:K03427	saue:RSAU_001665
ko:K07002	saue:RSAU_001690
ko:K00231	saue:RSAU_001691
ko:K01772	saue:RSAU_001692
ko:K01599	saue:RSAU_001693
ko:K02503	saue:RSAU_001697
ko:K14192	saue:RSAU_002473
ko:K00926	saue:RSAU_002475
ko:K03758	saue:RSAU_002476
ko:K02768	saue:RSAU_002484
ko:K02769	saue:RSAU_002484
ko:K02770	saue:RSAU_002484
ko:K01809	saue:RSAU_002485
ko:K01421	saue:RSAU_002486
ko:K03070	saue:RSAU_002492
ko:K03076	saue:RSAU_002496
ko:K11936	saue:RSAU_002511
ko:K01925	saue:RSAU_001064
ko:K03589	saue:RSAU_001065
ko:K03590	saue:RSAU_001066
ko:K03531	saue:RSAU_001067
ko:K05810	saue:RSAU_001068
ko:K06997	saue:RSAU_001069
ko:K09772	saue:RSAU_001070
ko:K02221	saue:RSAU_001071
ko:K04074	saue:RSAU_001073
ko:K01870	saue:RSAU_001074
ko:K03101	saue:RSAU_001079
ko:K06180	saue:RSAU_001080
ko:K02825	saue:RSAU_001081
ko:K00609	saue:RSAU_001083
ko:K01465	saue:RSAU_001084
ko:K01956	saue:RSAU_001085
ko:K01955	saue:RSAU_001086
ko:K01591	saue:RSAU_001087
ko:K04078	saue:RSAU_001861
ko:K07078	saue:RSAU_001864
ko:K07813	saue:RSAU_001869
ko:K07800	saue:RSAU_001870
ko:K07707	saue:RSAU_001872
ko:K00847	saue:RSAU_001873
ko:K01193	saue:RSAU_001874
ko:K03484	saue:RSAU_001875
ko:K03320	saue:RSAU_001876
ko:K07112	saue:RSAU_001878
ko:K01926	saue:RSAU_001879
ko:K06158	saue:RSAU_001880
ko:K03789	saue:RSAU_001883
ko:K06925	saue:RSAU_001885
ko:K01687	saue:RSAU_001886
ko:K01652	saue:RSAU_001887
ko:K01653	saue:RSAU_001888
ko:K00053	saue:RSAU_001889
ko:K01649	saue:RSAU_001890
ko:K00052	saue:RSAU_001891
ko:K01703	saue:RSAU_001892
ko:K01704	saue:RSAU_001893
ko:K01754	saue:RSAU_001894
ko:K06959	saue:RSAU_001903
ko:K01775	saue:RSAU_001910
ko:K00997	saue:RSAU_001911
ko:K00266	saue:RSAU_000406
ko:K02818	saue:RSAU_000408
ko:K02819	saue:RSAU_000408
ko:K02343	saue:RSAU_000412
ko:K09747	saue:RSAU_000413
ko:K06187	saue:RSAU_000414
ko:K00943	saue:RSAU_000419
ko:K02341	saue:RSAU_000421
ko:K07461	saue:RSAU_000425
ko:K07056	saue:RSAU_000426
ko:K01874	saue:RSAU_000427
ko:K03424	saue:RSAU_000428
ko:K05985	saue:RSAU_000429
ko:K02528	saue:RSAU_000430
ko:K00919	saue:RSAU_000432
ko:K06412	saue:RSAU_000435
ko:K04042	saue:RSAU_000438
ko:K00948	saue:RSAU_000439
ko:K02897	saue:RSAU_000440
ko:K01056	saue:RSAU_000441
ko:K03723	saue:RSAU_000442
ko:K07571	saue:RSAU_000447
ko:K04075	saue:RSAU_000448
ko:K00760	saue:RSAU_000449
ko:K03798	saue:RSAU_000450
ko:K04083	saue:RSAU_000451
ko:K01738	saue:RSAU_000452
ko:K00796	saue:RSAU_000453
ko:K01633	saue:RSAU_000454
ko:K00766	saue:RSAU_001250
ko:K01609	saue:RSAU_001251
ko:K01817	saue:RSAU_001252
ko:K01696	saue:RSAU_001253
ko:K01695	saue:RSAU_001254
ko:K11694	saue:RSAU_001255
ko:K11695	saue:RSAU_001256
ko:K02034	saue:RSAU_001261
ko:K02013	saue:RSAU_000623
ko:K02015	saue:RSAU_000624
ko:K02015	saue:RSAU_000625
ko:K05878	saue:RSAU_000626
ko:K05879	saue:RSAU_000627
ko:K07220	saue:RSAU_000639
ko:K03306	saue:RSAU_000640
ko:K06890	saue:RSAU_000642
ko:K09793	saue:RSAU_000650
ko:K06966	saue:RSAU_000656
ko:K09768	saue:RSAU_000657
ko:K06153	saue:RSAU_000659
ko:K01669	saue:RSAU_000667
ko:K03705	saue:RSAU_001447
ko:K03596	saue:RSAU_001449
ko:K02968	saue:RSAU_001450
ko:K02340	saue:RSAU_001451
ko:K02237	saue:RSAU_001454
ko:K09710	saue:RSAU_001456
ko:K00969	saue:RSAU_001458
ko:K07574	saue:RSAU_001459
ko:K00014	saue:RSAU_001460
ko:K07015	saue:RSAU_001462
ko:K07160	saue:RSAU_001467
ko:K01961	saue:RSAU_001468
ko:K02160	saue:RSAU_001469
ko:K03624	saue:RSAU_001472
ko:K00876	saue:RSAU_001473
ko:K08303	saue:RSAU_001474
ko:K07447	saue:RSAU_001478
ko:K01872	saue:RSAU_001480
ko:K03581	saue:RSAU_001481
ko:K00566	saue:RSAU_001483
ko:K04487	saue:RSAU_001484
ko:K17472	saue:RSAU_001488
ko:K07478	saue:RSAU_001489
ko:K01876	saue:RSAU_001491
ko:K01892	saue:RSAU_001492
ko:K01448	saue:RSAU_001493
ko:K07560	saue:RSAU_001494
ko:K00759	saue:RSAU_001496
ko:K00833	saue:RSAU_002265
ko:K01935	saue:RSAU_002266
ko:K00865	saue:RSAU_002272
ko:K11737	saue:RSAU_002278
ko:K00077	saue:RSAU_002283
ko:K08170	saue:RSAU_002284
ko:K05846	saue:RSAU_002285
ko:K05845	saue:RSAU_002286
ko:K05846	saue:RSAU_002287
ko:K05847	saue:RSAU_002288
ko:K02069	saue:RSAU_002293
ko:K02068	saue:RSAU_002294
ko:K10824	saue:RSAU_002301
ko:K15587	saue:RSAU_002302
ko:K15586	saue:RSAU_002303
ko:K15585	saue:RSAU_002304
ko:K15584	saue:RSAU_002305
ko:K11755	saue:RSAU_002517
ko:K02039	saue:RSAU_001265
ko:K02036	saue:RSAU_001266
ko:K02038	saue:RSAU_001267
ko:K02037	saue:RSAU_001268
ko:K02040	saue:RSAU_001269
ko:K00243	saue:RSAU_001270
ko:K00928	saue:RSAU_001272
ko:K00133	saue:RSAU_001273
ko:K01714	saue:RSAU_001274
ko:K00215	saue:RSAU_001275
ko:K01775	saue:RSAU_001278
ko:K01586	saue:RSAU_001279
ko:K07734	saue:RSAU_001280
ko:K03704	saue:RSAU_001282
ko:K01512	saue:RSAU_001284
ko:K03311	saue:RSAU_001287
ko:K00658	saue:RSAU_001292
ko:K00164	saue:RSAU_001293
ko:K02563	saue:RSAU_001297
ko:K02919	saue:RSAU_002063
ko:K02518	saue:RSAU_002064
ko:K03076	saue:RSAU_002066
ko:K02876	saue:RSAU_002067
ko:K02907	saue:RSAU_002068
ko:K02988	saue:RSAU_002069
ko:K02881	saue:RSAU_002070
ko:K02933	saue:RSAU_002071
ko:K02994	saue:RSAU_002072
ko:K02954	saue:RSAU_002073
ko:K02931	saue:RSAU_002074
ko:K02895	saue:RSAU_002075
ko:K02874	saue:RSAU_002076
ko:K02961	saue:RSAU_002077
ko:K02904	saue:RSAU_002078
ko:K02878	saue:RSAU_002079
ko:K02982	saue:RSAU_002080
ko:K02890	saue:RSAU_002081
ko:K02965	saue:RSAU_002082
ko:K02886	saue:RSAU_002083
ko:K02892	saue:RSAU_002084
ko:K02926	saue:RSAU_002085
ko:K02906	saue:RSAU_002086
ko:K02946	saue:RSAU_002087
ko:K06901	saue:RSAU_002089
ko:K05340	saue:RSAU_002092
ko:K07088	saue:RSAU_002093
ko:K11693	saue:RSAU_002097
ko:K03639	saue:RSAU_002102
ko:K03752	saue:RSAU_002103
ko:K03636	saue:RSAU_002104
ko:K03753	saue:RSAU_002106
ko:K03750	saue:RSAU_002107
ko:K03637	saue:RSAU_002108
ko:K03638	saue:RSAU_002109
ko:K02018	saue:RSAU_002112
ko:K03311	saue:RSAU_000252
ko:K02003	saue:RSAU_000255
ko:K03800	saue:RSAU_000273
ko:K02445	saue:RSAU_000282
ko:K00299	saue:RSAU_000285
ko:K03817	saue:RSAU_000287
ko:K07224	saue:RSAU_000288
ko:K16301	saue:RSAU_000289
ko:K00762	saue:RSAU_001088
ko:K00942	saue:RSAU_001091
ko:K03060	saue:RSAU_001092
ko:K13038	saue:RSAU_001093
ko:K04066	saue:RSAU_001094
ko:K01462	saue:RSAU_001097
ko:K00604	saue:RSAU_001098
ko:K03500	saue:RSAU_001099
ko:K06941	saue:RSAU_001100
ko:K06949	saue:RSAU_001103
ko:K01783	saue:RSAU_001104
ko:K02902	saue:RSAU_001106
ko:K03655	saue:RSAU_001109
ko:K03621	saue:RSAU_001111
ko:K00645	saue:RSAU_001112
ko:K02078	saue:RSAU_001114
ko:K03685	saue:RSAU_001115
ko:K03529	saue:RSAU_001116
ko:K03110	saue:RSAU_001117
ko:K03106	saue:RSAU_001119
ko:K02959	saue:RSAU_001120
ko:K02860	saue:RSAU_001121
ko:K00554	saue:RSAU_001122
ko:K02884	saue:RSAU_001123
ko:K14540	saue:RSAU_001125
ko:K03470	saue:RSAU_001126
ko:K01903	saue:RSAU_001127
ko:K01902	saue:RSAU_001128
ko:K04096	saue:RSAU_001131
ko:K03168	saue:RSAU_001132
ko:K04094	saue:RSAU_001133
ko:K03733	saue:RSAU_001134
ko:K01419	saue:RSAU_001135
ko:K03667	saue:RSAU_001136
ko:K03706	saue:RSAU_001137
ko:K00783	saue:RSAU_000027
ko:K08170	saue:RSAU_000060
ko:K03324	saue:RSAU_000061
ko:K03303	saue:RSAU_000064
ko:K02015	saue:RSAU_000067
ko:K02015	saue:RSAU_000068
ko:K02016	saue:RSAU_000069
ko:K01586	saue:RSAU_000077
ko:K00858	saue:RSAU_000885
ko:K06180	saue:RSAU_000886
ko:K06213	saue:RSAU_000887
ko:K00208	saue:RSAU_000889
ko:K03310	saue:RSAU_000891
ko:K01247	saue:RSAU_000894
ko:K02837	saue:RSAU_000905
ko:K02250	saue:RSAU_000912
ko:K03800	saue:RSAU_000914
ko:K02003	saue:RSAU_000925
ko:K15977	saue:RSAU_000926
ko:K02016	saue:RSAU_000927
ko:K02548	saue:RSAU_000930
ko:K02551	saue:RSAU_000932
ko:K01661	saue:RSAU_000934
ko:K13715	saue:RSAU_000935
ko:K06180	saue:RSAU_001709
ko:K03216	saue:RSAU_001714
ko:K03564	saue:RSAU_001750
ko:K01845	saue:RSAU_001751
ko:K03575	saue:RSAU_001755
ko:K07038	saue:RSAU_001756
ko:K02500	saue:RSAU_002518
ko:K01814	saue:RSAU_002519
ko:K02501	saue:RSAU_002520
ko:K01693	saue:RSAU_002521
ko:K00817	saue:RSAU_002522
ko:K00013	saue:RSAU_002523
ko:K00765	saue:RSAU_002524
ko:K16785	saue:RSAU_002528
ko:K16786	saue:RSAU_002529
ko:K16787	saue:RSAU_002529
ko:K07146	saue:RSAU_002534
ko:K01304	saue:RSAU_002535
ko:K03319	saue:RSAU_002540
ko:K05786	saue:RSAU_002541
ko:K07241	saue:RSAU_002543
ko:K11631	saue:RSAU_002546
ko:K11632	saue:RSAU_002547
ko:K03704	saue:RSAU_002553
ko:K03501	saue:RSAU_002558
ko:K03495	saue:RSAU_002559
ko:K03650	saue:RSAU_002560
ko:K03536	saue:RSAU_002561
ko:K02914	saue:RSAU_002562
ko:K02967	saue:RSAU_001138
ko:K02357	saue:RSAU_001139
ko:K09903	saue:RSAU_001140
ko:K01548	saue:RSAU_001915
ko:K01547	saue:RSAU_001916
ko:K01546	saue:RSAU_001917
ko:K07646	saue:RSAU_001918
ko:K07667	saue:RSAU_001919
ko:K01929	saue:RSAU_001921
ko:K01921	saue:RSAU_001922
ko:K05837	saue:RSAU_001923
ko:K06131	saue:RSAU_001927
ko:K06950	saue:RSAU_001928
ko:K03217	saue:RSAU_001929
ko:K00788	saue:RSAU_001930
ko:K00878	saue:RSAU_001931
ko:K00941	saue:RSAU_001932
ko:K03707	saue:RSAU_001933
ko:K02372	saue:RSAU_001937
ko:K00790	saue:RSAU_001938
ko:K02114	saue:RSAU_001940
ko:K02112	saue:RSAU_001941
ko:K02115	saue:RSAU_001942
ko:K02111	saue:RSAU_001943
ko:K02113	saue:RSAU_001944
ko:K02109	saue:RSAU_001945
ko:K02110	saue:RSAU_001946
ko:K02108	saue:RSAU_001947
ko:K00761	saue:RSAU_001950
ko:K00600	saue:RSAU_001951
ko:K07566	saue:RSAU_001954
ko:K02493	saue:RSAU_001955
ko:K02835	saue:RSAU_001956
ko:K02909	saue:RSAU_001958
ko:K03628	saue:RSAU_001959
ko:K01980	saue:RSAU_001898
ko:K14221	saue:RSAU_000019
ko:K14221	saue:RSAU_001731
ko:K14221	saue:RSAU_001688
ko:K14221	saue:RSAU_001728
ko:K14233	saue:RSAU_000910
ko:K14233	saue:RSAU_000407
ko:K14233	saue:RSAU_001732
ko:K14233	saue:RSAU_001730
ko:K14228	saue:RSAU_001901
ko:K14222	saue:RSAU_001721
ko:K14223	saue:RSAU_001722
ko:K14223	saue:RSAU_002002
ko:K14236	saue:RSAU_002003
ko:K14236	saue:RSAU_001725
ko:K01980	saue:RSAU_000416
ko:K01980	saue:RSAU_001745
ko:K14225	saue:RSAU_001720
ko:K14228	saue:RSAU_001740
ko:K07668	saue:RSAU_000020
ko:K07652	saue:RSAU_000021
ko:K00819	saue:RSAU_000834
ko:K16899	saue:RSAU_000843
ko:K06910	saue:RSAU_000856
ko:K15582	saue:RSAU_000861
ko:K15583	saue:RSAU_000862
ko:K10823	saue:RSAU_000863
ko:K02035	saue:RSAU_000865
ko:K07491	saue:RSAU_000869
ko:K02033	saue:RSAU_000870
ko:K16509	saue:RSAU_000873
ko:K06198	saue:RSAU_000875
ko:K07491	saue:RSAU_000879
ko:K01727	saue:RSAU_001662
ko:K01990	saue:RSAU_001696
ko:K07533	saue:RSAU_001700
ko:K03698	saue:RSAU_001701
ko:K01077	saue:RSAU_002470
ko:K01478	saue:RSAU_002478
ko:K01401	saue:RSAU_002480
ko:K12270	saue:RSAU_002493
ko:K12269	saue:RSAU_002494
ko:K12268	saue:RSAU_002495
ko:K07304	saue:RSAU_002505
ko:K01104	saue:RSAU_002507
ko:K14232	saue:RSAU_000464
ko:K14232	saue:RSAU_001736
ko:K01985	saue:RSAU_000417
ko:K01985	saue:RSAU_002007
ko:K01985	saue:RSAU_001897
ko:K01985	saue:RSAU_000457
ko:K01985	saue:RSAU_001744
ko:K01985	saue:RSAU_000468
ko:K01980	saue:RSAU_002008
ko:K02004	saue:RSAU_000254
ko:K16329	saue:RSAU_000258
ko:K03307	saue:RSAU_000260
ko:K01639	saue:RSAU_000261
ko:K01788	saue:RSAU_000264
ko:K03475	saue:RSAU_000275
ko:K02822	saue:RSAU_000276
ko:K02821	saue:RSAU_000277
ko:K07030	saue:RSAU_001108
ko:K00059	saue:RSAU_001113
ko:K09787	saue:RSAU_001118
ko:K02116	saue:RSAU_001948
ko:K01104	saue:RSAU_001953
ko:K06889	saue:RSAU_000042
ko:K01771	saue:RSAU_000049
ko:K10254	saue:RSAU_000062
ko:K01784	saue:RSAU_000082
ko:K07816	saue:RSAU_000884
ko:K03455	saue:RSAU_000888
ko:K05362	saue:RSAU_000903
ko:K07052	saue:RSAU_000916
ko:K02552	saue:RSAU_000931
ko:K08680	saue:RSAU_000933
ko:K01679	saue:RSAU_001710
ko:K02028	saue:RSAU_001716
ko:K02029	saue:RSAU_001717
ko:K02030	saue:RSAU_001717
ko:K07035	saue:RSAU_001718
ko:K09825	saue:RSAU_001748
ko:K11085	saue:RSAU_001753
ko:K07586	saue:RSAU_001754
ko:K09693	saue:RSAU_001758
ko:K16924	saue:RSAU_002530
ko:K02352	saue:RSAU_002533
ko:K10947	saue:RSAU_002537
ko:K17686	saue:RSAU_002398
ko:K01739	saue:RSAU_000304
ko:K03768	saue:RSAU_000831
ko:K01261	saue:RSAU_001602
ko:K01439	saue:RSAU_001608
ko:K06183	saue:RSAU_001610
ko:K07052	saue:RSAU_001635
ko:K07052	saue:RSAU_001636
ko:K00616	saue:RSAU_001637
ko:K02549	saue:RSAU_001648
ko:K04750	saue:RSAU_002433
ko:K00016	saue:RSAU_002443
ko:K03294	saue:RSAU_002444
ko:K03451	saue:RSAU_002456
ko:K00380	saue:RSAU_002461
ko:K03784	saue:RSAU_000090
ko:K01619	saue:RSAU_000092
ko:K01104	saue:RSAU_000105
ko:K01784	saue:RSAU_000116
ko:K02049	saue:RSAU_000125
ko:K02051	saue:RSAU_000126
ko:K02050	saue:RSAU_000127
ko:K00841	saue:RSAU_000937
ko:K11189	saue:RSAU_000969
ko:K08483	saue:RSAU_000970
ko:K03499	saue:RSAU_000973
ko:K01104	saue:RSAU_001768
ko:K07694	saue:RSAU_001771
ko:K07009	saue:RSAU_001778
ko:K02342	saue:RSAU_001781
ko:K02433	saue:RSAU_001787
ko:K07094	saue:RSAU_001793
ko:K01916	saue:RSAU_001799
ko:K04518	saue:RSAU_001802
ko:K15986	saue:RSAU_001806
ko:K00819	saue:RSAU_000136
ko:K09963	saue:RSAU_000142
ko:K02033	saue:RSAU_000150
ko:K02035	saue:RSAU_000152
ko:K10112	saue:RSAU_000157
ko:K15770	saue:RSAU_000158
ko:K07784	saue:RSAU_000165
ko:K07720	saue:RSAU_000167
ko:K14224	saue:RSAU_000018
ko:K14224	saue:RSAU_002005
ko:K14224	saue:RSAU_001683
ko:K14233	saue:RSAU_001682
ko:K01977	saue:RSAU_000466
ko:K01977	saue:RSAU_001747
ko:K01977	saue:RSAU_002009
ko:K01977	saue:RSAU_000415
ko:K01977	saue:RSAU_001899
ko:K01980	saue:RSAU_000467
ko:K14219	saue:RSAU_000743
ko:K14219	saue:RSAU_001053
ko:K14219	saue:RSAU_000463
ko:K14219	saue:RSAU_001737
ko:K14220	saue:RSAU_000911
ko:K14220	saue:RSAU_001684
ko:K14220	saue:RSAU_002006
ko:K14225	saue:RSAU_001685
ko:K14225	saue:RSAU_001900
ko:K14225	saue:RSAU_000461
ko:K14225	saue:RSAU_001739
ko:K14226	saue:RSAU_001686
ko:K14226	saue:RSAU_001723
ko:K14231	saue:RSAU_001687
ko:K14231	saue:RSAU_001727
ko:K14230	saue:RSAU_001689
ko:K14230	saue:RSAU_001729
ko:K14230	saue:RSAU_001733
ko:K14230	saue:RSAU_001734
ko:K14228	saue:RSAU_001719
ko:K02035	saue:RSAU_000182
ko:K11072	saue:RSAU_000984
ko:K11071	saue:RSAU_000985
ko:K11069	saue:RSAU_000987
ko:K01092	saue:RSAU_000992
ko:K01958	saue:RSAU_000999
ko:K03471	saue:RSAU_001024
ko:K00241	saue:RSAU_001031
ko:K01992	saue:RSAU_001825
ko:K01990	saue:RSAU_001826
ko:K01990	saue:RSAU_001828
ko:K01439	saue:RSAU_001839
ko:K14228	saue:RSAU_001738
ko:K14228	saue:RSAU_000462
ko:K14235	saue:RSAU_001724
ko:K14234	saue:RSAU_000459
ko:K14234	saue:RSAU_001742
ko:K14234	saue:RSAU_001726
ko:K14218	saue:RSAU_000465
ko:K14218	saue:RSAU_001735
ko:K14229	saue:RSAU_001741
ko:K14229	saue:RSAU_002001
ko:K14229	saue:RSAU_000460
ko:K14237	saue:RSAU_001743
ko:K14237	saue:RSAU_002004
ko:K14237	saue:RSAU_000458
ko:K14227	saue:RSAU_001746
ko:K00016	saue:RSAU_000186
ko:K02775	saue:RSAU_000192
ko:K00852	saue:RSAU_000215
ko:K06216	saue:RSAU_000217
ko:K01990	saue:RSAU_000223
ko:K01992	saue:RSAU_000224
ko:K01992	saue:RSAU_000225
ko:K02428	saue:RSAU_001035
ko:K11041	saue:RSAU_001052
ko:K07025	saue:RSAU_001056
ko:K07104	saue:RSAU_001075
ko:K02824	saue:RSAU_001082
ko:K07052	saue:RSAU_001862
ko:K07706	saue:RSAU_001871
ko:K01409	saue:RSAU_001882
ko:K03095	saue:RSAU_001902
ko:K03090	saue:RSAU_001904
ko:K07315	saue:RSAU_001907
ko:K09167	saue:RSAU_001912
ko:K08981	saue:RSAU_001913
ko:K01658	saue:RSAU_001249
ko:K11928	saue:RSAU_001789
ko:K06518	saue:RSAU_002382
ko:K04757	saue:RSAU_001905
ko:K07284	saue:RSAU_002369
ko:K02171	saue:RSAU_001809
ko:K00226	saue:RSAU_002430
ko:K07979	saue:RSAU_001829
ko:K10212	saue:RSAU_002406
ko:K01791	saue:RSAU_000118
ko:K01791	saue:RSAU_000109
ko:K00128	saue:RSAU_000121
ko:K00128	saue:RSAU_001807
ko:K00128	saue:RSAU_001960
ko:K01187	saue:RSAU_001374
ko:K01791	saue:RSAU_001949
ko:K02031	saue:RSAU_000149
ko:K02032	saue:RSAU_000149
ko:K19080	saue:RSAU_000638
ko:K18104	saue:RSAU_000599
ko:K02479	saue:RSAU_001707
ko:K08168	saue:RSAU_000091
ko:K02483	saue:RSAU_002196
ko:K14204	saue:RSAU_001833
ko:K03293	saue:RSAU_001215
ko:K02809	saue:RSAU_000144
ko:K02810	saue:RSAU_000144
ko:K00130	saue:RSAU_002453
ko:K02809	saue:RSAU_002215
ko:K02810	saue:RSAU_002215
ko:K03366	saue:RSAU_000081
ko:K00008	saue:RSAU_000194
ko:K07145	saue:RSAU_001020
ko:K01046	saue:RSAU_002514
ko:K22580	saue:RSAU_000944
ko:K00632	saue:RSAU_000176
ko:K01046	saue:RSAU_000266
ko:K02172	saue:RSAU_001810
ko:K21462	saue:RSAU_002513
ko:K21463	saue:RSAU_002190
ko:K00008	saue:RSAU_000193
ko:K08255	saue:RSAU_000847
ko:K20554	saue:RSAU_001866
ko:K02600	saue:RSAU_001149
ko:K07491	saue:RSAU_002142
ko:K02033	saue:RSAU_000868
ko:K07491	saue:RSAU_000205
ko:K07705	saue:RSAU_000208
ko:K00681	saue:RSAU_000153
ko:K04749	saue:RSAU_001906
ko:K18707	saue:RSAU_001441
ko:K18766	saue:RSAU_001811
ko:K18672	saue:RSAU_001999
ko:K18682	saue:RSAU_001169
ko:K18692	saue:RSAU_001423
ko:K18906	saue:RSAU_000662
ko:K09692	saue:RSAU_001757
ko:K07723	saue:RSAU_001909
ko:K18909	saue:RSAU_000279
ko:K18941	saue:RSAU_001295
ko:K18908	saue:RSAU_000280
ko:K07171	saue:RSAU_001908
ko:K04940	saue:RSAU_002134
ko:K03497	saue:RSAU_000305
ko:K03111	saue:RSAU_000311
ko:K03502	saue:RSAU_001245
ko:K03169	saue:RSAU_002090
ko:K11040	saue:RSAU_001464
ko:K14201	saue:RSAU_000765
ko:K11040	saue:RSAU_002387
ko:K11040	saue:RSAU_001678
ko:K11040	saue:RSAU_001679
ko:K11040	saue:RSAU_001680
ko:K11040	saue:RSAU_001681
ko:K03497	saue:RSAU_002557
ko:K03111	saue:RSAU_001935
ko:K07029	saue:RSAU_001785
ko:K03741	saue:RSAU_001629
ko:K03892	saue:RSAU_001627
ko:K01271	saue:RSAU_001565
ko:K03498	saue:RSAU_001840
ko:K09145	saue:RSAU_000647
ko:K13052	saue:RSAU_000446
ko:K18979	saue:RSAU_001715
ko:K00949	saue:RSAU_001105
ko:K01318	saue:RSAU_001666
ko:K01318	saue:RSAU_000936
ko:K07816	saue:RSAU_002346
ko:K19005	saue:RSAU_000693
ko:K03429	saue:RSAU_000902
ko:K02755	saue:RSAU_000212
ko:K19078	saue:RSAU_000635
ko:K03293	saue:RSAU_002153
ko:K19077	saue:RSAU_000636
ko:K01174	saue:RSAU_001206
ko:K14203	saue:RSAU_001038
ko:K01239	saue:RSAU_002117
ko:K19158	saue:RSAU_002245
ko:K19225	saue:RSAU_001414
ko:K02777	saue:RSAU_001301
ko:K14198	saue:RSAU_000617
ko:K19068	saue:RSAU_000108
ko:K19081	saue:RSAU_002467
ko:K19082	saue:RSAU_002468
ko:K19083	saue:RSAU_002466
ko:K19084	saue:RSAU_002465
ko:K08259	saue:RSAU_000222
ko:K19159	saue:RSAU_002246
ko:K02031	saue:RSAU_000866
ko:K02032	saue:RSAU_001259
ko:K01992	saue:RSAU_002202
ko:K19411	saue:RSAU_000474
ko:K19302	saue:RSAU_001296
ko:K19405	saue:RSAU_000475
ko:K03574	saue:RSAU_001646
ko:K19576	saue:RSAU_000670
ko:K06881	saue:RSAU_001561
ko:K01906	saue:RSAU_002262
ko:K03483	saue:RSAU_001993
ko:K21721	saue:RSAU_000071
ko:K19689	saue:RSAU_001766
ko:K01258	saue:RSAU_001378
ko:K07119	saue:RSAU_002031
ko:K00547	saue:RSAU_000302
ko:K00297	saue:RSAU_000302
ko:K02538	saue:RSAU_002483
ko:K21636	saue:RSAU_002458
ko:K19976	saue:RSAU_000588
ko:K20074	saue:RSAU_001101
ko:K12132	saue:RSAU_001102
ko:K20116	saue:RSAU_000140
ko:K20117	saue:RSAU_000140
ko:K20118	saue:RSAU_000140
ko:K20116	saue:RSAU_002379
ko:K20117	saue:RSAU_002379
ko:K20118	saue:RSAU_002379
ko:K20338	saue:RSAU_001619
ko:K20494	saue:RSAU_001672
ko:K21949	saue:RSAU_000070
ko:K20335	saue:RSAU_000384
ko:K20335	saue:RSAU_000383
ko:K20337	saue:RSAU_001054
ko:K20337	saue:RSAU_001055
ko:K20336	saue:RSAU_000382
ko:K20534	saue:RSAU_000679
ko:K02790	saue:RSAU_000187
ko:K02791	saue:RSAU_000187
ko:K21029	saue:RSAU_002110
ko:K21030	saue:RSAU_000195
ko:K00525	saue:RSAU_000706
ko:K21030	saue:RSAU_000199
ko:K21064	saue:RSAU_000848
ko:K08968	saue:RSAU_001575
ko:K00435	saue:RSAU_000539
ko:K00526	saue:RSAU_000707
ko:K03553	saue:RSAU_001168
ko:K03546	saue:RSAU_001228
ko:K00287	saue:RSAU_001305
ko:K00560	saue:RSAU_001306
ko:K14199	saue:RSAU_000620
ko:K02316	saue:RSAU_001427
ko:K06217	saue:RSAU_001436
ko:K11038	saue:RSAU_002258
ko:K11038	saue:RSAU_002259
ko:K11038	saue:RSAU_002260
ko:K01493	saue:RSAU_001453
ko:K01174	saue:RSAU_000769
ko:K04068	saue:RSAU_002457
ko:K02314	saue:RSAU_000016
ko:K11038	saue:RSAU_001674
ko:K11038	saue:RSAU_001675
ko:K14199	saue:RSAU_000174
ko:K11038	saue:RSAU_001837
ko:K11038	saue:RSAU_001838
ko:K07474	saue:RSAU_001845
ko:K14199	saue:RSAU_001041
ko:K00857	saue:RSAU_001957
ko:K06958	saue:RSAU_000740
ko:K05020	saue:RSAU_002029
ko:K13714	saue:RSAU_000940
ko:K02335	saue:RSAU_001548
ko:K21285	saue:RSAU_000595
ko:K02032	saue:RSAU_000867
ko:K00108	saue:RSAU_002452
ko:K03296	saue:RSAU_002096
ko:K00980	saue:RSAU_000597
ko:K02031	saue:RSAU_001260
ko:K22044	saue:RSAU_000306
ko:K21478	saue:RSAU_002512
ko:K21453	saue:RSAU_002510
ko:K18704	saue:RSAU_000197
ko:K21567	saue:RSAU_002210
ko:K21591	saue:RSAU_000198
ko:K21600	saue:RSAU_001926
ko:K18704	saue:RSAU_000201
ko:K21828	saue:RSAU_002474
ko:K22043	saue:RSAU_001982
ko:K21903	saue:RSAU_001516
ko:K22136	saue:RSAU_001058
ko:K00754	saue:RSAU_001330
ko:K22135	saue:RSAU_000521
ko:K03595	saue:RSAU_001432
ko:K22132	saue:RSAU_001490
ko:K22109	saue:RSAU_002454
