ko:K12978	fpt:BZ13_1500
ko:K02446	fpt:BZ13_1503
ko:K11928	fpt:BZ13_1504
ko:K02672	fpt:BZ13_1513
ko:K01883	fpt:BZ13_1515
ko:K07320	fpt:BZ13_1516
ko:K09748	fpt:BZ13_1084
ko:K01599	fpt:BZ13_1086
ko:K07391	fpt:BZ13_1087
ko:K09806	fpt:BZ13_1088
ko:K00343	fpt:BZ13_1089
ko:K00342	fpt:BZ13_1090
ko:K00341	fpt:BZ13_1091
ko:K00340	fpt:BZ13_1092
ko:K00339	fpt:BZ13_1093
ko:K00338	fpt:BZ13_1094
ko:K00337	fpt:BZ13_1095
ko:K00336	fpt:BZ13_1096
ko:K00335	fpt:BZ13_1097
ko:K00334	fpt:BZ13_1098
ko:K00333	fpt:BZ13_1099
ko:K00332	fpt:BZ13_1100
ko:K00331	fpt:BZ13_1101
ko:K00330	fpt:BZ13_1102
ko:K03711	fpt:BZ13_1103
ko:K00836	fpt:BZ13_1105
ko:K13745	fpt:BZ13_1106
ko:K03897	fpt:BZ13_1108
ko:K02434	fpt:BZ13_1115
ko:K02433	fpt:BZ13_1116
ko:K02435	fpt:BZ13_1117
ko:K01756	fpt:BZ13_1121
ko:K01952	fpt:BZ13_1126
ko:K00764	fpt:BZ13_1127
ko:K01580	fpt:BZ13_1128
ko:K06133	fpt:BZ13_1129
ko:K12340	fpt:BZ13_1130
ko:K00573	fpt:BZ13_1131
ko:K08303	fpt:BZ13_1133
ko:K02653	fpt:BZ13_1956
ko:K02652	fpt:BZ13_1957
ko:K06187	fpt:BZ13_1959
ko:K09747	fpt:BZ13_1960
ko:K02563	fpt:BZ13_1961
ko:K02437	fpt:BZ13_1962
ko:K11901	fpt:BZ13_632
ko:K09001	fpt:BZ13_634
ko:K01194	fpt:BZ13_636
ko:K01624	fpt:BZ13_637
ko:K00873	fpt:BZ13_638
ko:K00927	fpt:BZ13_639
ko:K00615	fpt:BZ13_642
ko:K07040	fpt:BZ13_643
ko:K02911	fpt:BZ13_644
ko:K00648	fpt:BZ13_647
ko:K00645	fpt:BZ13_648
ko:K00059	fpt:BZ13_649
ko:K02078	fpt:BZ13_650
ko:K09458	fpt:BZ13_651
ko:K06141	fpt:BZ13_654
ko:K01092	fpt:BZ13_656
ko:K03500	fpt:BZ13_658
ko:K01972	fpt:BZ13_660
ko:K00606	fpt:BZ13_662
ko:K01918	fpt:BZ13_663
ko:K01579	fpt:BZ13_664
ko:K03525	fpt:BZ13_665
ko:K03581	fpt:BZ13_666
ko:K03582	fpt:BZ13_667
ko:K01652	fpt:BZ13_668
ko:K07127	fpt:BZ13_669
ko:K01442	fpt:BZ13_671
ko:K03583	fpt:BZ13_673
ko:K01069	fpt:BZ13_684
ko:K01719	fpt:BZ13_687
ko:K02426	fpt:BZ13_688
ko:K07552	fpt:BZ13_1517
ko:K01775	fpt:BZ13_1519
ko:K00568	fpt:BZ13_1526
ko:K04754	fpt:BZ13_1527
ko:K07122	fpt:BZ13_1534
ko:K07323	fpt:BZ13_1535
ko:K02067	fpt:BZ13_1536
ko:K02066	fpt:BZ13_1537
ko:K02065	fpt:BZ13_1538
ko:K03608	fpt:BZ13_1539
ko:K03609	fpt:BZ13_1540
ko:K03610	fpt:BZ13_1541
ko:K02913	fpt:BZ13_1542
ko:K02902	fpt:BZ13_1543
ko:K03655	fpt:BZ13_1545
ko:K01676	fpt:BZ13_1547
ko:K01759	fpt:BZ13_1549
ko:K03574	fpt:BZ13_1550
ko:K00537	fpt:BZ13_1552
ko:K06901	fpt:BZ13_1554
ko:K09758	fpt:BZ13_1555
ko:K04096	fpt:BZ13_1557
ko:K03774	fpt:BZ13_1559
ko:K03527	fpt:BZ13_1560
ko:K06208	fpt:BZ13_1561
ko:K17103	fpt:BZ13_1562
ko:K03562	fpt:BZ13_1564
ko:K03560	fpt:BZ13_1565
ko:K03646	fpt:BZ13_1566
ko:K03641	fpt:BZ13_1567
ko:K03640	fpt:BZ13_1569
ko:K14441	fpt:BZ13_1570
ko:K18552	fpt:BZ13_1136
ko:K02471	fpt:BZ13_1137
ko:K03979	fpt:BZ13_1140
ko:K07667	fpt:BZ13_1142
ko:K07646	fpt:BZ13_1144
ko:K01548	fpt:BZ13_1145
ko:K01547	fpt:BZ13_1146
ko:K01546	fpt:BZ13_1147
ko:K01118	fpt:BZ13_1149
ko:K07784	fpt:BZ13_1148
ko:K00812	fpt:BZ13_1155
ko:K01586	fpt:BZ13_1156
ko:K00674	fpt:BZ13_1157
ko:K01714	fpt:BZ13_1158
ko:K00215	fpt:BZ13_1159
ko:K00928	fpt:BZ13_1160
ko:K01259	fpt:BZ13_1161
ko:K03424	fpt:BZ13_1162
ko:K03811	fpt:BZ13_1163
ko:K03281	fpt:BZ13_1167
ko:K01299	fpt:BZ13_1168
ko:K01696	fpt:BZ13_1169
ko:K01695	fpt:BZ13_1171
ko:K03811	fpt:BZ13_1170
ko:K03695	fpt:BZ13_1172
ko:K01183	fpt:BZ13_1173
ko:K08289	fpt:BZ13_1174
ko:K05524	fpt:BZ13_1176
ko:K00655	fpt:BZ13_1177
ko:K00655	fpt:BZ13_1178
ko:K03313	fpt:BZ13_1180
ko:K12262	fpt:BZ13_1182
ko:K03773	fpt:BZ13_1183
ko:K04651	fpt:BZ13_1185
ko:K04652	fpt:BZ13_1186
ko:K03564	fpt:BZ13_1188
ko:K04656	fpt:BZ13_1189
ko:K01881	fpt:BZ13_692
ko:K14287	fpt:BZ13_696
ko:K03625	fpt:BZ13_698
ko:K09160	fpt:BZ13_702
ko:K07394	fpt:BZ13_703
ko:K07090	fpt:BZ13_704
ko:K01487	fpt:BZ13_711
ko:K03439	fpt:BZ13_714
ko:K00858	fpt:BZ13_715
ko:K01992	fpt:BZ13_718
ko:K01990	fpt:BZ13_719
ko:K11312	fpt:BZ13_721
ko:K11312	fpt:BZ13_723
ko:K03424	fpt:BZ13_724
ko:K03040	fpt:BZ13_727
ko:K07478	fpt:BZ13_728
ko:K01524	fpt:BZ13_729
ko:K03671	fpt:BZ13_730
ko:K03628	fpt:BZ13_731
ko:K01840	fpt:BZ13_732
ko:K01669	fpt:BZ13_1573
ko:K06876	fpt:BZ13_1574
ko:K03453	fpt:BZ13_1576
ko:K07733	fpt:BZ13_1588
ko:K03179	fpt:BZ13_1601
ko:K03181	fpt:BZ13_1602
ko:K00989	fpt:BZ13_1603
ko:K03799	fpt:BZ13_1606
ko:K03744	fpt:BZ13_1607
ko:K01534	fpt:BZ13_1610
ko:K00057	fpt:BZ13_1615
ko:K04485	fpt:BZ13_1616
ko:K01736	fpt:BZ13_1619
ko:K07305	fpt:BZ13_1622
ko:K04565	fpt:BZ13_1623
ko:K00121	fpt:BZ13_1627
ko:K04653	fpt:BZ13_1190
ko:K04654	fpt:BZ13_1191
ko:K04655	fpt:BZ13_1192
ko:K07241	fpt:BZ13_1197
ko:K17218	fpt:BZ13_1204
ko:K05340	fpt:BZ13_1206
ko:K00852	fpt:BZ13_1207
ko:K01256	fpt:BZ13_1209
ko:K13498	fpt:BZ13_1210
ko:K07304	fpt:BZ13_1212
ko:K00766	fpt:BZ13_1215
ko:K01658	fpt:BZ13_1216
ko:K01657	fpt:BZ13_1217
ko:K03720	fpt:BZ13_1218
ko:K08301	fpt:BZ13_1221
ko:K02313	fpt:BZ13_1222
ko:K02338	fpt:BZ13_1223
ko:K03837	fpt:BZ13_1236
ko:K00609	fpt:BZ13_1237
ko:K01955	fpt:BZ13_1238
ko:K01956	fpt:BZ13_1239
ko:K00569	fpt:BZ13_1242
ko:K01710	fpt:BZ13_750
ko:K00067	fpt:BZ13_751
ko:K01790	fpt:BZ13_752
ko:K00973	fpt:BZ13_753
ko:K02377	fpt:BZ13_754
ko:K01711	fpt:BZ13_756
ko:K00971	fpt:BZ13_757
ko:K01784	fpt:BZ13_758
ko:K13012	fpt:BZ13_759
ko:K03578	fpt:BZ13_761
ko:K00031	fpt:BZ13_763
ko:K00537	fpt:BZ13_764
ko:K01897	fpt:BZ13_765
ko:K07516	fpt:BZ13_767
ko:K09794	fpt:BZ13_771
ko:K01476	fpt:BZ13_773
ko:K09859	fpt:BZ13_775
ko:K07337	fpt:BZ13_778
ko:K09701	fpt:BZ13_785
ko:K00574	fpt:BZ13_786
ko:K03177	fpt:BZ13_793
ko:K03685	fpt:BZ13_794
ko:K03100	fpt:BZ13_795
ko:K00286	fpt:BZ13_797
ko:K02428	fpt:BZ13_798
ko:K02527	fpt:BZ13_799
ko:K00795	fpt:BZ13_800
ko:K01004	fpt:BZ13_801
ko:K00812	fpt:BZ13_1628
ko:K03631	fpt:BZ13_1629
ko:K01491	fpt:BZ13_1634
ko:K01933	fpt:BZ13_1635
ko:K11175	fpt:BZ13_1637
ko:K01588	fpt:BZ13_1638
ko:K01589	fpt:BZ13_1640
ko:K07460	fpt:BZ13_1639
ko:K01414	fpt:BZ13_1641
ko:K03168	fpt:BZ13_1648
ko:K03496	fpt:BZ13_1649
ko:K03497	fpt:BZ13_1650
ko:K02427	fpt:BZ13_1653
ko:K03101	fpt:BZ13_1654
ko:K01870	fpt:BZ13_1656
ko:K11753	fpt:BZ13_1658
ko:K00027	fpt:BZ13_1659
ko:K03977	fpt:BZ13_1662
ko:K00790	fpt:BZ13_1663
ko:K00075	fpt:BZ13_1664
ko:K02503	fpt:BZ13_1669
ko:K03688	fpt:BZ13_1670
ko:K03690	fpt:BZ13_1671
ko:K03183	fpt:BZ13_1672
ko:K00845	fpt:BZ13_1673
ko:K06190	fpt:BZ13_1675
ko:K01874	fpt:BZ13_1679
ko:K01465	fpt:BZ13_1243
ko:K09941	fpt:BZ13_1246
ko:K01591	fpt:BZ13_1250
ko:K00254	fpt:BZ13_1251
ko:K07560	fpt:BZ13_1254
ko:K01193	fpt:BZ13_1257
ko:K03305	fpt:BZ13_1258
ko:K00052	fpt:BZ13_1259
ko:K01704	fpt:BZ13_1260
ko:K01703	fpt:BZ13_1261
ko:K01649	fpt:BZ13_1262
ko:K00826	fpt:BZ13_1263
ko:K01006	fpt:BZ13_1264
ko:K13288	fpt:BZ13_1265
ko:K02356	fpt:BZ13_1266
ko:K02655	fpt:BZ13_1267
ko:K02517	fpt:BZ13_1268
ko:K02517	fpt:BZ13_1269
ko:K03217	fpt:BZ13_1270
ko:K08998	fpt:BZ13_1271
ko:K03536	fpt:BZ13_1272
ko:K02914	fpt:BZ13_1273
ko:K00014	fpt:BZ13_1275
ko:K01924	fpt:BZ13_1276
ko:K07056	fpt:BZ13_1277
ko:K07015	fpt:BZ13_1279
ko:K07160	fpt:BZ13_1285
ko:K01114	fpt:BZ13_1287
ko:K07220	fpt:BZ13_1288
ko:K03306	fpt:BZ13_1289
ko:K12262	fpt:BZ13_1290
ko:K00526	fpt:BZ13_374
ko:K03676	fpt:BZ13_374
ko:K00525	fpt:BZ13_372
ko:K08156	fpt:BZ13_1817
ko:K07266	fpt:BZ13_839
ko:K02650	fpt:BZ13_377
ko:K02650	fpt:BZ13_125
ko:K02650	fpt:BZ13_128
ko:K02650	fpt:BZ13_1632
ko:K01985	fpt:BZ13_1730
ko:K14234	fpt:BZ13_1220
ko:K14236	fpt:BZ13_995
ko:K01980	fpt:BZ13_1151
ko:K01980	fpt:BZ13_614
ko:K01980	fpt:BZ13_1686
ko:K14218	fpt:BZ13_1152
ko:K14218	fpt:BZ13_1684
ko:K14218	fpt:BZ13_616
ko:K14219	fpt:BZ13_881
ko:K14228	fpt:BZ13_726
ko:K14233	fpt:BZ13_118
ko:K14233	fpt:BZ13_1579
ko:K14233	fpt:BZ13_1680
ko:K14237	fpt:BZ13_165
ko:K14237	fpt:BZ13_1681
ko:K14237	fpt:BZ13_1848
ko:K14228	fpt:BZ13_498
ko:K14228	fpt:BZ13_679
ko:K14228	fpt:BZ13_1050
ko:K14226	fpt:BZ13_499
ko:K14222	fpt:BZ13_680
ko:K14225	fpt:BZ13_994
ko:K14230	fpt:BZ13_803
ko:K14230	fpt:BZ13_1085
ko:K14230	fpt:BZ13_1491
ko:K14221	fpt:BZ13_1219
ko:K14223	fpt:BZ13_1349
ko:K14224	fpt:BZ13_1423
ko:K01985	fpt:BZ13_1687
ko:K01985	fpt:BZ13_613
ko:K01985	fpt:BZ13_1150
ko:K14229	fpt:BZ13_1903
ko:K14229	fpt:BZ13_1904
ko:K14219	fpt:BZ13_500
ko:K01977	fpt:BZ13_618
ko:K01977	fpt:BZ13_1154
ko:K01977	fpt:BZ13_1682
ko:K14232	fpt:BZ13_501
ko:K14231	fpt:BZ13_502
ko:K14225	fpt:BZ13_681
ko:K14225	fpt:BZ13_882
ko:K07666	fpt:BZ13_796
ko:K14220	fpt:BZ13_689
ko:K04517	fpt:BZ13_1252
ko:K00544	fpt:BZ13_1329
ko:K19802	fpt:BZ13_344
ko:K19810	fpt:BZ13_384
ko:K05770	fpt:BZ13_332
ko:K03789	fpt:BZ13_1354
ko:K09796	fpt:BZ13_815
ko:K20265	fpt:BZ13_923
ko:K20265	fpt:BZ13_913
ko:K20265	fpt:BZ13_225
ko:K20265	fpt:BZ13_1805
ko:K09690	fpt:BZ13_749
ko:K00507	fpt:BZ13_790
ko:K00507	fpt:BZ13_980
ko:K03762	fpt:BZ13_35
ko:K13713	fpt:BZ13_1636
ko:K20534	fpt:BZ13_717
ko:K03271	fpt:BZ13_1302
ko:K01932	fpt:BZ13_495
ko:K01200	fpt:BZ13_1744
ko:K21053	fpt:BZ13_1879
ko:K00632	fpt:BZ13_768
ko:K00560	fpt:BZ13_553
ko:K00287	fpt:BZ13_1425
ko:K01520	fpt:BZ13_1433
ko:K06919	fpt:BZ13_1594
ko:K03462	fpt:BZ13_772
ko:K00558	fpt:BZ13_925
ko:K03553	fpt:BZ13_1322
ko:K02335	fpt:BZ13_1024
ko:K06217	fpt:BZ13_81
ko:K00857	fpt:BZ13_84
ko:K02316	fpt:BZ13_291
ko:K02314	fpt:BZ13_307
ko:K02483	fpt:BZ13_782
ko:K03293	fpt:BZ13_1624
ko:K01139	fpt:BZ13_492
ko:K01582	fpt:BZ13_1733
ko:K04103	fpt:BZ13_1316
ko:K21829	fpt:BZ13_1577
ko:K22116	fpt:BZ13_494
ko:K03595	fpt:BZ13_92
ko:K22132	fpt:BZ13_367
ko:K03892	fpt:BZ13_170
ko:K07488	fpt:BZ13_489
ko:K07488	fpt:BZ13_1958
ko:K13566	fpt:BZ13_699
