ko:K18929	hpym:K749_05005
ko:K03406	hpym:K749_05155
ko:K03406	hpym:K749_05135
ko:K06603	hpym:K749_02580
ko:K00769	hpym:K749_02495
ko:K01424	hpym:K749_02425
ko:K02342	hpym:K749_08775
ko:K03386	hpym:K749_05970
ko:K07126	hpym:K749_01295
ko:K08077	hpym:K749_01235
ko:K03743	hpym:K749_00810
ko:K06179	hpym:K749_00790
ko:K03442	hpym:K749_00640
ko:K07126	hpym:K749_04485
ko:K06196	hpym:K749_04330
ko:K07126	hpym:K749_04890
ko:K03279	hpym:K749_04895
ko:K00626	hpym:K749_02165
ko:K13016	hpym:K749_02110
ko:K00567	hpym:K749_02100
ko:K04763	hpym:K749_02095
ko:K01409	hpym:K749_05870
ko:K04517	hpym:K749_05720
ko:K05845	hpym:K749_02955
ko:K05846	hpym:K749_02955
ko:K03768	hpym:K749_06750
ko:K06346	hpym:K749_06700
ko:K02067	hpym:K749_06630
ko:K02242	hpym:K749_06585
ko:K02004	hpym:K749_02775
ko:K00616	hpym:K749_06475
ko:K02014	hpym:K749_08750
ko:K01156	hpym:K749_06350
ko:K04652	hpym:K749_01065
ko:K02014	hpym:K749_00995
ko:K15898	hpym:K749_04795
ko:K00245	hpym:K749_04730
ko:K00244	hpym:K749_04725
ko:K03593	hpym:K749_04640
ko:K07126	hpym:K749_04615
ko:K01439	hpym:K749_04610
ko:K06910	hpym:K749_04570
ko:K01772	hpym:K749_08595
ko:K03117	hpym:K749_08235
ko:K03551	hpym:K749_08240
ko:K03524	hpym:K749_08605
ko:K00604	hpym:K749_08090
ko:K16091	hpym:K749_08310
ko:K01058	hpym:K749_08470
ko:K01963	hpym:K749_08520
ko:K01744	hpym:K749_08400
ko:K03588	hpym:K749_08785
ko:K07270	hpym:K749_08420
ko:K00099	hpym:K749_08920
ko:K01465	hpym:K749_08935
ko:K03466	hpym:K749_08955
ko:K00615	hpym:K749_08960
ko:K17686	hpym:K749_06425
ko:K17686	hpym:K749_03760
ko:K01155	hpym:K749_04345
ko:K07318	hpym:K749_06455
ko:K00971	hpym:K749_07035
ko:K11928	hpym:K749_05510
ko:K01658	hpym:K749_07370
ko:K05540	hpym:K749_02455
ko:K07318	hpym:K749_07740
ko:K00290	hpym:K749_06405
ko:K01497	hpym:K749_02855
ko:K00254	hpym:K749_03450
ko:K06148	hpym:K749_07750
ko:K05922	hpym:K749_01880
ko:K05927	hpym:K749_01870
ko:K00104	hpym:K749_01245
ko:K03605	hpym:K749_01890
ko:K05366	hpym:K749_01700
ko:K11784	hpym:K749_02010
ko:K11785	hpym:K749_04930
ko:K18284	hpym:K749_05085
ko:K18285	hpym:K749_02000
ko:K16235	hpym:K749_03480
ko:K18480	hpym:K749_06635
ko:K00681	hpym:K749_00130
ko:K07316	hpym:K749_06945
ko:K18930	hpym:K749_07675
ko:K03196	hpym:K749_01325
ko:K03497	hpym:K749_00030
ko:K03496	hpym:K749_00025
ko:K03111	hpym:K749_07560
ko:K03761	hpym:K749_03875
ko:K00335	hpym:K749_07450
ko:K02483	hpym:K749_04865
ko:K03526	hpym:K749_01845
ko:K00571	hpym:K749_05100
ko:K03296	hpym:K749_01760
ko:K00336	hpym:K749_07445
ko:K07448	hpym:K749_03805
ko:K19157	hpym:K749_01095
ko:K00571	hpym:K749_04340
ko:K00571	hpym:K749_05520
ko:K00571	hpym:K749_07065
ko:K00020	hpym:K749_01925
ko:K07317	hpym:K749_01025
ko:K04771	hpym:K749_03485
ko:K01992	hpym:K749_06520
ko:K19302	hpym:K749_03125
ko:K19416	hpym:K749_00980
ko:K12053	hpym:K749_05285
ko:K12052	hpym:K749_07015
ko:K03469	hpym:K749_09340
ko:K03118	hpym:K749_09040
ko:K02484	hpym:K749_09080
ko:K01153	hpym:K749_09160
ko:K07316	hpym:K749_09165
ko:K03406	hpym:K749_09095
ko:K01156	hpym:K749_09200
ko:K02919	hpym:K749_09220
ko:K01934	hpym:K749_02635
ko:K20151	hpym:K749_01980
ko:K20810	hpym:K749_04315
ko:K20151	hpym:K749_00370
ko:K00525	hpym:K749_02115
ko:K01978	hpym:K749_09395
ko:K01977	hpym:K749_08620
ko:K01977	hpym:K749_08720
ko:K07100	hpym:K749_07705
ko:K02335	hpym:K749_06600
ko:K02335	hpym:K749_03500
ko:K12089	hpym:K749_01315
ko:K12106	hpym:K749_01415
ko:K01520	hpym:K749_03190
ko:K00558	hpym:K749_03295
ko:K06223	hpym:K749_03305
ko:K00558	hpym:K749_05515
ko:K02314	hpym:K749_05635
ko:K02316	hpym:K749_08800
ko:K03553	hpym:K749_04925
ko:K03465	hpym:K749_06290
ko:K06223	hpym:K749_06450
ko:K00558	hpym:K749_00115
ko:K02483	hpym:K749_05650
ko:K00526	hpym:K749_00285
ko:K02481	hpym:K749_02230
ko:K01139	hpym:K749_02720
ko:K07097	hpym:K749_03600
ko:K02483	hpym:K749_03605
ko:K10026	hpym:K749_00915
ko:K21929	hpym:K749_01975
ko:K22278	hpym:K749_04095
ko:K14441	hpym:K749_02490
ko:K22391	hpym:K749_00775
ko:K17758	hpym:K749_05640
ko:K17759	hpym:K749_05640
ko:K00571	hpym:K749_05580
ko:K01007	hpym:K749_08855
