ko:K01835	blb:BBMN68_1663
ko:K02340	blb:BBMN68_359
ko:K06925	blb:BBMN68_360
ko:K03789	blb:BBMN68_362
ko:K01409	blb:BBMN68_363
ko:K00031	blb:BBMN68_366
ko:K00088	blb:BBMN68_367
ko:K01462	blb:BBMN68_370
ko:K02967	blb:BBMN68_371
ko:K01507	blb:BBMN68_1128
ko:K10773	blb:BBMN68_1132
ko:K01873	blb:BBMN68_1134
ko:K04092	blb:BBMN68_1136
ko:K02434	blb:BBMN68_1142
ko:K02433	blb:BBMN68_1143
ko:K02435	blb:BBMN68_1144
ko:K09760	blb:BBMN68_1147
ko:K02440	blb:BBMN68_1150
ko:K08483	blb:BBMN68_1151
ko:K11189	blb:BBMN68_1152
ko:K02939	blb:BBMN68_1153
ko:K02963	blb:BBMN68_1154
ko:K03111	blb:BBMN68_1155
ko:K02990	blb:BBMN68_1156
ko:K00948	blb:BBMN68_1158
ko:K05995	blb:BBMN68_1160
ko:K06997	blb:BBMN68_1161
ko:K02026	blb:BBMN68_1168
ko:K02025	blb:BBMN68_1169
ko:K02027	blb:BBMN68_1170
ko:K02529	blb:BBMN68_1171
ko:K03688	blb:BBMN68_1172
ko:K07009	blb:BBMN68_1174
ko:K02314	blb:BBMN68_1176
ko:K00990	blb:BBMN68_1178
ko:K04751	blb:BBMN68_1179
ko:K03320	blb:BBMN68_1180
ko:K03110	blb:BBMN68_1181
ko:K02357	blb:BBMN68_372
ko:K09903	blb:BBMN68_373
ko:K02838	blb:BBMN68_374
ko:K00981	blb:BBMN68_375
ko:K06941	blb:BBMN68_376
ko:K05520	blb:BBMN68_377
ko:K02500	blb:BBMN68_378
ko:K01496	blb:BBMN68_379
ko:K01657	blb:BBMN68_380
ko:K03701	blb:BBMN68_394
ko:K03703	blb:BBMN68_395
ko:K00014	blb:BBMN68_396
ko:K06958	blb:BBMN68_397
ko:K09762	blb:BBMN68_398
ko:K00927	blb:BBMN68_399
ko:K01803	blb:BBMN68_400
ko:K03075	blb:BBMN68_401
ko:K00016	blb:BBMN68_402
ko:K14260	blb:BBMN68_404
ko:K03311	blb:BBMN68_406
ko:K00616	blb:BBMN68_407
ko:K00615	blb:BBMN68_408
ko:K03705	blb:BBMN68_409
ko:K03686	blb:BBMN68_410
ko:K06153	blb:BBMN68_412
ko:K01868	blb:BBMN68_414
ko:K01159	blb:BBMN68_417
ko:K03550	blb:BBMN68_418
ko:K03551	blb:BBMN68_419
ko:K03210	blb:BBMN68_420
ko:K00759	blb:BBMN68_421
ko:K01903	blb:BBMN68_422
ko:K01902	blb:BBMN68_423
ko:K00602	blb:BBMN68_424
ko:K06178	blb:BBMN68_426
ko:K03977	blb:BBMN68_427
ko:K00963	blb:BBMN68_428
ko:K03727	blb:BBMN68_431
ko:K08659	blb:BBMN68_1184
ko:K00036	blb:BBMN68_1185
ko:K01057	blb:BBMN68_1187
ko:K00033	blb:BBMN68_1188
ko:K01421	blb:BBMN68_1191
ko:K02003	blb:BBMN68_1194
ko:K02004	blb:BBMN68_1195
ko:K02004	blb:BBMN68_1196
ko:K07230	blb:BBMN68_1198
ko:K07243	blb:BBMN68_1199
ko:K01885	blb:BBMN68_1205
ko:K01792	blb:BBMN68_1208
ko:K01938	blb:BBMN68_1214
ko:K08659	blb:BBMN68_1215
ko:K06910	blb:BBMN68_1216
ko:K02341	blb:BBMN68_1217
ko:K00943	blb:BBMN68_1218
ko:K03168	blb:BBMN68_1219
ko:K01649	blb:BBMN68_1222
ko:K00133	blb:BBMN68_1227
ko:K00928	blb:BBMN68_1228
ko:K00928	blb:BBMN68_1229
ko:K07133	blb:BBMN68_1230
ko:K01048	blb:BBMN68_1310
ko:K14228	blb:BBMN68_tRNA10
ko:K14234	blb:BBMN68_tRNA21
ko:K10117	blb:BBMN68_1422
ko:K10119	blb:BBMN68_1424
ko:K14220	blb:BBMN68_tRNA3
ko:K14226	blb:BBMN68_tRNA19
ko:K14218	blb:BBMN68_tRNA14
ko:K14218	blb:BBMN68_tRNA15
ko:K14219	blb:BBMN68_tRNA20
ko:K14222	blb:BBMN68_tRNA5
ko:K14237	blb:BBMN68_tRNA1
ko:K14232	blb:BBMN68_tRNA9
ko:K14230	blb:BBMN68_tRNA28
ko:K14230	blb:BBMN68_tRNA54
ko:K14219	blb:BBMN68_tRNA55
ko:K14232	blb:BBMN68_tRNA49
ko:K14234	blb:BBMN68_tRNA39
ko:K16235	blb:BBMN68_512
ko:K08177	blb:BBMN68_1344
ko:K14623	blb:BBMN68_1457
ko:K07483	blb:BBMN68_1274
ko:K03655	blb:BBMN68_639
ko:K01187	blb:BBMN68_1261
ko:K01187	blb:BBMN68_1428
ko:K14227	blb:BBMN68_tRNA37
ko:K07133	blb:BBMN68_5
ko:K14218	blb:BBMN68_tRNA40
ko:K14228	blb:BBMN68_tRNA22
ko:K14232	blb:BBMN68_tRNA16
ko:K01814	blb:BBMN68_185
ko:K01817	blb:BBMN68_185
ko:K01209	blb:BBMN68_1646
ko:K01201	blb:BBMN68_1791
ko:K01266	blb:BBMN68_901
ko:K01524	blb:BBMN68_1776
ko:K01524	blb:BBMN68_768
ko:K07768	blb:BBMN68_1080
ko:K05364	blb:BBMN68_1316
ko:K14223	blb:BBMN68_tRNA13
ko:K14234	blb:BBMN68_tRNA32
ko:K14234	blb:BBMN68_tRNA44
ko:K14218	blb:BBMN68_tRNA38
ko:K14233	blb:BBMN68_tRNA48
ko:K14221	blb:BBMN68_tRNA51
ko:K14221	blb:BBMN68_tRNA53
ko:K03293	blb:BBMN68_1448
ko:K03293	blb:BBMN68_1452
ko:K14228	blb:BBMN68_tRNA17
ko:K02058	blb:BBMN68_74
ko:K00970	blb:BBMN68_1385
ko:K00067	blb:BBMN68_1488
ko:K01790	blb:BBMN68_1488
ko:K03741	blb:BBMN68_711
ko:K01897	blb:BBMN68_598
ko:K06147	blb:BBMN68_1459
ko:K06147	blb:BBMN68_1472
ko:K02031	blb:BBMN68_280
ko:K02032	blb:BBMN68_280
ko:K02031	blb:BBMN68_239
ko:K02032	blb:BBMN68_239
ko:K01992	blb:BBMN68_1711
ko:K01190	blb:BBMN68_1812
ko:K00128	blb:BBMN68_872
ko:K01182	blb:BBMN68_1600
ko:K01182	blb:BBMN68_1430
ko:K01897	blb:BBMN68_1781
ko:K02484	blb:BBMN68_48
ko:K13829	blb:BBMN68_617
ko:K02483	blb:BBMN68_47
ko:K01664	blb:BBMN68_1319
ko:K02030	blb:BBMN68_940
ko:K02030	blb:BBMN68_941
ko:K02028	blb:BBMN68_938
ko:K02055	blb:BBMN68_1106
ko:K02054	blb:BBMN68_1105
ko:K02052	blb:BBMN68_1103
ko:K01802	blb:BBMN68_1115
ko:K02056	blb:BBMN68_75
ko:K01990	blb:BBMN68_790
ko:K01802	blb:BBMN68_765
ko:K02030	blb:BBMN68_866
ko:K02429	blb:BBMN68_227
ko:K03710	blb:BBMN68_905
ko:K01421	blb:BBMN68_1190
ko:K01176	blb:BBMN68_1257
ko:K03767	blb:BBMN68_332
ko:K02075	blb:BBMN68_746
ko:K06177	blb:BBMN68_936
ko:K07012	blb:BBMN68_1816
ko:K01051	blb:BBMN68_1363
ko:K02003	blb:BBMN68_261
ko:K02004	blb:BBMN68_261
ko:K03118	blb:BBMN68_1285
ko:K10117	blb:BBMN68_1597
ko:K10118	blb:BBMN68_1598
ko:K06191	blb:BBMN68_439
ko:K07483	blb:BBMN68_898
ko:K14229	blb:BBMN68_tRNA30
ko:K06147	blb:BBMN68_1460
ko:K06147	blb:BBMN68_1798
ko:K06147	blb:BBMN68_1473
ko:K01897	blb:BBMN68_369
ko:K01209	blb:BBMN68_928
ko:K01897	blb:BBMN68_1028
ko:K01485	blb:BBMN68_53
ko:K07133	blb:BBMN68_889
ko:K08316	blb:BBMN68_1091
ko:K15372	blb:BBMN68_1354
ko:K01834	blb:BBMN68_1687
ko:K15533	blb:BBMN68_1673
ko:K12510	blb:BBMN68_1240
ko:K13059	blb:BBMN68_1674
ko:K14170	blb:BBMN68_273
ko:K11939	blb:BBMN68_1602
ko:K15342	blb:BBMN68_1822
ko:K15921	blb:BBMN68_1572
ko:K16147	blb:BBMN68_1127
ko:K16148	blb:BBMN68_570
ko:K18955	blb:BBMN68_760
ko:K18955	blb:BBMN68_757
ko:K02030	blb:BBMN68_123
ko:K02029	blb:BBMN68_121
ko:K10716	blb:BBMN68_1394
ko:K10907	blb:BBMN68_1360
ko:K02654	blb:BBMN68_618
ko:K01250	blb:BBMN68_1806
ko:K11939	blb:BBMN68_488
ko:K16209	blb:BBMN68_1813
ko:K16209	blb:BBMN68_1019
ko:K16264	blb:BBMN68_194
ko:K03699	blb:BBMN68_1348
ko:K16787	blb:BBMN68_1803
ko:K16786	blb:BBMN68_1802
ko:K16785	blb:BBMN68_1801
ko:K10119	blb:BBMN68_1427
ko:K10117	blb:BBMN68_1425
ko:K10119	blb:BBMN68_1440
ko:K01985	blb:BBMN68_rRNA1
ko:K01985	blb:BBMN68_rRNA3
ko:K01985	blb:BBMN68_rRNA2
ko:K16785	blb:BBMN68_83
ko:K16786	blb:BBMN68_83
ko:K16787	blb:BBMN68_83
ko:K02851	blb:BBMN68_1754
ko:K10118	blb:BBMN68_1439
ko:K16786	blb:BBMN68_386
ko:K16787	blb:BBMN68_386
ko:K16784	blb:BBMN68_89
ko:K16923	blb:BBMN68_1800
ko:K11991	blb:BBMN68_1419
ko:K16785	blb:BBMN68_387
ko:K16785	blb:BBMN68_820
ko:K16925	blb:BBMN68_822
ko:K16786	blb:BBMN68_821
ko:K16787	blb:BBMN68_821
ko:K16926	blb:BBMN68_388
ko:K02028	blb:BBMN68_122
ko:K01977	blb:BBMN68_rRNA7
ko:K01977	blb:BBMN68_rRNA9
ko:K01977	blb:BBMN68_rRNA8
ko:K15581	blb:BBMN68_278
ko:K17331	blb:BBMN68_98
ko:K02028	blb:BBMN68_868
ko:K01980	blb:BBMN68_rRNA4
ko:K01980	blb:BBMN68_rRNA6
ko:K01980	blb:BBMN68_rRNA5
ko:K15580	blb:BBMN68_277
ko:K15582	blb:BBMN68_279
ko:K10112	blb:BBMN68_1403
ko:K03671	blb:BBMN68_991
ko:K14220	blb:BBMN68_tRNA2
ko:K17624	blb:BBMN68_1202
ko:K17828	blb:BBMN68_529
ko:K18206	blb:BBMN68_1163
ko:K18205	blb:BBMN68_1167
ko:K08168	blb:BBMN68_1810
ko:K18220	blb:BBMN68_786
ko:K00991	blb:BBMN68_1087
ko:K19545	blb:BBMN68_1166
ko:K03574	blb:BBMN68_1517
ko:K01214	blb:BBMN68_732
ko:K06147	blb:BBMN68_1026
ko:K07062	blb:BBMN68_1061
ko:K03976	blb:BBMN68_253
ko:K03526	blb:BBMN68_144
ko:K07816	blb:BBMN68_296
ko:K19123	blb:BBMN68_1817
ko:K19180	blb:BBMN68_1490
ko:K19046	blb:BBMN68_1818
ko:K19124	blb:BBMN68_1819
ko:K19125	blb:BBMN68_1820
ko:K19126	blb:BBMN68_1821
ko:K01621	blb:BBMN68_708
ko:K19265	blb:BBMN68_1051
ko:K01785	blb:BBMN68_250
ko:K01990	blb:BBMN68_642
ko:K08217	blb:BBMN68_663
ko:K02025	blb:BBMN68_1023
ko:K08156	blb:BBMN68_1684
ko:K19710	blb:BBMN68_415
ko:K08744	blb:BBMN68_463
ko:K21672	blb:BBMN68_575
ko:K12132	blb:BBMN68_1317
ko:K12132	blb:BBMN68_1318
ko:K12132	blb:BBMN68_316
ko:K20074	blb:BBMN68_1314
ko:K01214	blb:BBMN68_1610
ko:K20814	blb:BBMN68_23
ko:K00821	blb:BBMN68_812
ko:K21636	blb:BBMN68_1785
ko:K21471	blb:BBMN68_943
ko:K21495	blb:BBMN68_1060
ko:K21600	blb:BBMN68_1148
ko:K10914	blb:BBMN68_982
ko:K00936	blb:BBMN68_761
ko:K22010	blb:BBMN68_736
ko:K03077	blb:BBMN68_1035
ko:K22306	blb:BBMN68_727
ko:K08300	blb:BBMN68_1539
ko:K08301	blb:BBMN68_1539
