ko:K06896	snv:SPNINV200_06710
ko:K07052	snv:SPNINV200_01430
ko:K07052	snv:SPNINV200_01440
ko:K01439	snv:SPNINV200_01520
ko:K07720	snv:SPNINV200_01580
ko:K06201	snv:SPNINV200_09780
ko:K07586	snv:SPNINV200_17250
ko:K06147	snv:SPNINV200_17410
ko:K11031	snv:SPNINV200_17440
ko:K16264	snv:SPNINV200_16770
ko:K03647	snv:SPNINV200_01600
ko:K07052	snv:SPNINV200_01710
ko:K01262	snv:SPNINV200_01760
ko:K07052	snv:SPNINV200_09960
ko:K03574	snv:SPNINV200_10000
ko:K07105	snv:SPNINV200_10010
ko:K07668	snv:SPNINV200_10080
ko:K07652	snv:SPNINV200_10090
ko:K00016	snv:SPNINV200_10140
ko:K03177	snv:SPNINV200_10210
ko:K01819	snv:SPNINV200_10370
ko:K01819	snv:SPNINV200_10380
ko:K00917	snv:SPNINV200_10390
ko:K01635	snv:SPNINV200_10400
ko:K15051	snv:SPNINV200_17750
ko:K07177	snv:SPNINV200_17790
ko:K09685	snv:SPNINV200_17890
ko:K03698	snv:SPNINV200_17900
ko:K00949	snv:SPNINV200_17920
ko:K02004	snv:SPNINV200_17980
ko:K01424	snv:SPNINV200_18090
ko:K07025	snv:SPNINV200_10560
ko:K00939	snv:SPNINV200_02130
ko:K02010	snv:SPNINV200_02240
ko:K02786	snv:SPNINV200_10420
ko:K01220	snv:SPNINV200_10440
ko:K02530	snv:SPNINV200_10460
ko:K11189	snv:SPNINV200_10520
ko:K08483	snv:SPNINV200_10530
ko:K13953	snv:SPNINV200_02670
ko:K07052	snv:SPNINV200_02700
ko:K01727	snv:SPNINV200_02820
ko:K00046	snv:SPNINV200_02870
ko:K02744	snv:SPNINV200_02880
ko:K02745	snv:SPNINV200_02900
ko:K07729	snv:SPNINV200_02990
ko:K12556	snv:SPNINV200_03020
ko:K04086	snv:SPNINV200_03050
ko:K07584	snv:SPNINV200_11010
ko:K00625	snv:SPNINV200_11050
ko:K07816	snv:SPNINV200_11080
ko:K05833	snv:SPNINV200_11340
ko:K05832	snv:SPNINV200_11350
ko:K01989	snv:SPNINV200_11360
ko:K02822	snv:SPNINV200_18510
ko:K03475	snv:SPNINV200_18520
ko:K06346	snv:SPNINV200_18540
ko:K02248	snv:SPNINV200_18610
ko:K02246	snv:SPNINV200_18630
ko:K02245	snv:SPNINV200_18640
ko:K02244	snv:SPNINV200_18650
ko:K02243	snv:SPNINV200_18660
ko:K09698	snv:SPNINV200_18830
ko:K01104	snv:SPNINV200_03120
ko:K02035	snv:SPNINV200_03280
ko:K03700	snv:SPNINV200_03310
ko:K00033	snv:SPNINV200_03360
ko:K00869	snv:SPNINV200_03430
ko:K01597	snv:SPNINV200_03440
ko:K00938	snv:SPNINV200_03450
ko:K01823	snv:SPNINV200_03460
ko:K11617	snv:SPNINV200_03480
ko:K11618	snv:SPNINV200_03490
ko:K02799	snv:SPNINV200_03580
ko:K02800	snv:SPNINV200_03580
ko:K02798	snv:SPNINV200_03600
ko:K01104	snv:SPNINV200_11500
ko:K02824	snv:SPNINV200_11750
ko:K09787	snv:SPNINV200_11770
ko:K09705	snv:SPNINV200_18930
ko:K07658	snv:SPNINV200_18940
ko:K01934	snv:SPNINV200_19060
ko:K00674	snv:SPNINV200_19080
ko:K03693	snv:SPNINV200_19100
ko:K07052	snv:SPNINV200_19280
ko:K07729	snv:SPNINV200_19310
ko:K02004	snv:SPNINV200_05280
ko:K02004	snv:SPNINV200_05300
ko:K03930	snv:SPNINV200_05410
ko:K05363	snv:SPNINV200_05420
ko:K12554	snv:SPNINV200_05430
ko:K01990	snv:SPNINV200_05610
ko:K01992	snv:SPNINV200_05620
ko:K07404	snv:SPNINV200_13430
ko:K05362	snv:SPNINV200_13670
ko:K15986	snv:SPNINV200_13710
ko:K07570	snv:SPNINV200_13740
ko:K03768	snv:SPNINV200_13750
ko:K07052	snv:SPNINV200_07950
ko:K01788	snv:SPNINV200_07970
ko:K01639	snv:SPNINV200_07980
ko:K03307	snv:SPNINV200_07990
ko:K01186	snv:SPNINV200_08010
ko:K02123	snv:SPNINV200_08050
ko:K02124	snv:SPNINV200_08060
ko:K02121	snv:SPNINV200_08070
ko:K02119	snv:SPNINV200_08080
ko:K02122	snv:SPNINV200_08090
ko:K02117	snv:SPNINV200_08100
ko:K02118	snv:SPNINV200_08110
ko:K02120	snv:SPNINV200_08120
ko:K01281	snv:SPNINV200_08180
ko:K12268	snv:SPNINV200_15850
ko:K02236	snv:SPNINV200_16350
ko:K15583	snv:SPNINV200_17080
ko:K00700	snv:SPNINV200_10870
ko:K12555	snv:SPNINV200_18230
ko:K03492	snv:SPNINV200_18330
ko:K05350	snv:SPNINV200_18340
ko:K01104	snv:SPNINV200_18400
ko:K03476	snv:SPNINV200_18450
ko:K03493	snv:SPNINV200_18460
ko:K02821	snv:SPNINV200_18500
ko:K03316	snv:SPNINV200_05780
ko:K06196	snv:SPNINV200_05800
ko:K03342	snv:SPNINV200_05870
ko:K00845	snv:SPNINV200_05900
ko:K00784	snv:SPNINV200_05960
ko:K06183	snv:SPNINV200_06020
ko:K02004	snv:SPNINV200_06060
ko:K11209	snv:SPNINV200_13890
ko:K00974	snv:SPNINV200_13930
ko:K09762	snv:SPNINV200_14010
ko:K02086	snv:SPNINV200_14120
ko:K07009	snv:SPNINV200_14230
ko:K12296	snv:SPNINV200_00140
ko:K00841	snv:SPNINV200_00350
ko:K03095	snv:SPNINV200_08320
ko:K02004	snv:SPNINV200_08370
ko:K07052	snv:SPNINV200_08500
ko:K02238	snv:SPNINV200_08700
ko:K08217	snv:SPNINV200_08740
ko:K01759	snv:SPNINV200_08830
ko:K02823	snv:SPNINV200_08840
ko:K02010	snv:SPNINV200_16510
ko:K05845	snv:SPNINV200_16800
ko:K05846	snv:SPNINV200_16800
ko:K03471	snv:SPNINV200_03660
ko:K11041	snv:SPNINV200_03720
ko:K02371	snv:SPNINV200_03800
ko:K00059	snv:SPNINV200_03820
ko:K07052	snv:SPNINV200_03910
ko:K02433	snv:SPNINV200_03960
ko:K07030	snv:SPNINV200_04030
ko:K04516	snv:SPNINV200_11900
ko:K06147	snv:SPNINV200_12030
ko:K04518	snv:SPNINV200_12150
ko:K04517	snv:SPNINV200_12190
ko:K01176	snv:SPNINV200_12270
ko:K11069	snv:SPNINV200_12300
ko:K11071	snv:SPNINV200_12320
ko:K11072	snv:SPNINV200_12330
ko:K03475	snv:SPNINV200_19420
ko:K02822	snv:SPNINV200_19430
ko:K01191	snv:SPNINV200_19550
ko:K09704	snv:SPNINV200_19560
ko:K01206	snv:SPNINV200_19580
ko:K01478	snv:SPNINV200_19590
ko:K02795	snv:SPNINV200_19730
ko:K02793	snv:SPNINV200_19750
ko:K09815	snv:SPNINV200_19800
ko:K10530	snv:SPNINV200_06300
ko:K00158	snv:SPNINV200_06450
ko:K03574	snv:SPNINV200_06530
ko:K04767	snv:SPNINV200_06660
ko:K05337	snv:SPNINV200_14360
ko:K01784	snv:SPNINV200_14390
ko:K03709	snv:SPNINV200_14620
ko:K07386	snv:SPNINV200_14720
ko:K02004	snv:SPNINV200_14770
ko:K12373	snv:SPNINV200_00560
ko:K02795	snv:SPNINV200_00600
ko:K02793	snv:SPNINV200_00620
ko:K01785	snv:SPNINV200_00640
ko:K07104	snv:SPNINV200_00650
ko:K03498	snv:SPNINV200_00720
ko:K03499	snv:SPNINV200_00730
ko:K10563	snv:SPNINV200_08910
ko:K06198	snv:SPNINV200_08980
ko:K03976	snv:SPNINV200_09050
ko:K08974	snv:SPNINV200_09060
ko:K07273	snv:SPNINV200_09070
ko:K01515	snv:SPNINV200_09090
ko:K01243	snv:SPNINV200_09110
ko:K02342	snv:SPNINV200_09130
ko:K06196	snv:SPNINV200_09180
ko:K03294	snv:SPNINV200_09200
ko:K09815	snv:SPNINV200_09210
ko:K01258	snv:SPNINV200_09270
ko:K01261	snv:SPNINV200_16850
ko:K01784	snv:SPNINV200_16870
ko:K02428	snv:SPNINV200_16990
ko:K09976	snv:SPNINV200_17010
ko:K01226	snv:SPNINV200_17020
ko:K02817	snv:SPNINV200_17030
ko:K02818	snv:SPNINV200_17030
ko:K02819	snv:SPNINV200_17030
ko:K03486	snv:SPNINV200_17040
ko:K15582	snv:SPNINV200_17090
ko:K16785	snv:SPNINV200_04310
ko:K03498	snv:SPNINV200_04250
ko:K03499	snv:SPNINV200_04260
ko:K03048	snv:SPNINV200_04370
ko:K03713	snv:SPNINV200_04440
ko:K01092	snv:SPNINV200_12480
ko:K06023	snv:SPNINV200_12580
ko:K02564	snv:SPNINV200_12600
ko:K01916	snv:SPNINV200_12640
ko:K07729	snv:SPNINV200_12670
ko:K06147	snv:SPNINV200_12770
ko:K06147	snv:SPNINV200_12780
ko:K03708	snv:SPNINV200_20050
ko:K02242	snv:SPNINV200_20160
ko:K02240	snv:SPNINV200_20170
ko:K00383	snv:SPNINV200_06930
ko:K02005	snv:SPNINV200_06940
ko:K02004	snv:SPNINV200_06960
ko:K00059	snv:SPNINV200_07020
ko:K14983	snv:SPNINV200_07070
ko:K14982	snv:SPNINV200_07080
ko:K06286	snv:SPNINV200_07160
ko:K03697	snv:SPNINV200_07210
ko:K01639	snv:SPNINV200_14990
ko:K02025	snv:SPNINV200_15040
ko:K01788	snv:SPNINV200_15070
ko:K01186	snv:SPNINV200_15090
ko:K02025	snv:SPNINV200_15110
ko:K01186	snv:SPNINV200_15140
ko:K11144	snv:SPNINV200_15320
ko:K03346	snv:SPNINV200_15330
ko:K07706	snv:SPNINV200_04670
ko:K07052	snv:SPNINV200_04820
ko:K07052	snv:SPNINV200_04840
ko:K09155	snv:SPNINV200_04980
ko:K03488	snv:SPNINV200_05090
ko:K02755	snv:SPNINV200_05100
ko:K02756	snv:SPNINV200_05100
ko:K02757	snv:SPNINV200_05100
ko:K00567	snv:SPNINV200_13040
ko:K01835	snv:SPNINV200_13340
ko:K00088	snv:SPNINV200_20370
ko:K03783	snv:SPNINV200_07310
ko:K03784	snv:SPNINV200_07330
ko:K00867	snv:SPNINV200_07360
ko:K00564	snv:SPNINV200_07380
ko:K06183	snv:SPNINV200_02620
ko:K01372	snv:SPNINV200_02630
ko:K02795	snv:SPNINV200_02650
ko:K02793	snv:SPNINV200_02660
ko:K02794	snv:SPNINV200_02660
ko:K01619	snv:SPNINV200_07400
ko:K01489	snv:SPNINV200_07410
ko:K02056	snv:SPNINV200_07430
ko:K02035	snv:SPNINV200_07530
ko:K04488	snv:SPNINV200_07670
ko:K07258	snv:SPNINV200_07690
ko:K03436	snv:SPNINV200_07740
ko:K00882	snv:SPNINV200_07750
ko:K02808	snv:SPNINV200_15440
ko:K02809	snv:SPNINV200_15440
ko:K02810	snv:SPNINV200_15440
ko:K00054	snv:SPNINV200_15480
ko:K01641	snv:SPNINV200_15490
ko:K06948	snv:SPNINV200_15720
ko:K12270	snv:SPNINV200_15830
ko:K12269	snv:SPNINV200_15840
ko:K01223	snv:SPNINV200_02460
ko:K10823	snv:SPNINV200_17070
ko:K15770	snv:SPNINV200_19190
ko:K15772	snv:SPNINV200_19210
ko:K15771	snv:SPNINV200_19200
ko:K16786	snv:SPNINV200_20300
ko:K16787	snv:SPNINV200_20290
ko:K16785	snv:SPNINV200_20280
ko:K16788	snv:SPNINV200_10020
ko:K02778	snv:SPNINV200_15060
ko:K02779	snv:SPNINV200_15060
ko:K18830	snv:SPNINV200_09680
ko:K10118	snv:SPNINV200_17170
ko:K10119	snv:SPNINV200_17160
ko:K16786	snv:SPNINV200_12810
ko:K16787	snv:SPNINV200_12810
ko:K02028	snv:SPNINV200_07240
ko:K02030	snv:SPNINV200_13380
ko:K02030	snv:SPNINV200_01480
ko:K02030	snv:SPNINV200_01500
ko:K02030	snv:SPNINV200_05470
ko:K02030	snv:SPNINV200_06250
ko:K16786	snv:SPNINV200_04300
ko:K16787	snv:SPNINV200_04300
ko:K11991	snv:SPNINV200_00200
ko:K16785	snv:SPNINV200_12800
ko:K08316	snv:SPNINV200_17810
ko:K08986	snv:SPNINV200_08270
ko:K16785	snv:SPNINV200_06360
ko:K16868	snv:SPNINV200_08970
ko:K16925	snv:SPNINV200_06340
ko:K16924	snv:SPNINV200_04280
ko:K16926	snv:SPNINV200_12790
ko:K16926	snv:SPNINV200_01550
ko:K16898	snv:SPNINV200_10740
ko:K16899	snv:SPNINV200_10750
ko:K03574	snv:SPNINV200_07190
ko:K11070	snv:SPNINV200_12310
ko:K02029	snv:SPNINV200_09950
ko:K02030	snv:SPNINV200_09950
ko:K01990	snv:SPNINV200_15390
ko:K10947	snv:SPNINV200_06980
ko:K17318	snv:SPNINV200_00830
ko:K17318	snv:SPNINV200_16140
ko:K17319	snv:SPNINV200_00810
ko:K17319	snv:SPNINV200_16160
ko:K01992	snv:SPNINV200_04630
ko:K01992	snv:SPNINV200_05630
ko:K01992	snv:SPNINV200_11460
ko:K01992	snv:SPNINV200_12250
ko:K01992	snv:SPNINV200_15380
ko:K01992	snv:SPNINV200_06160
ko:K01990	snv:SPNINV200_15360
ko:K01990	snv:SPNINV200_04620
ko:K01990	snv:SPNINV200_12260
ko:K02028	snv:SPNINV200_13010
ko:K02028	snv:SPNINV200_13390
ko:K03574	snv:SPNINV200_10590
ko:K02028	snv:SPNINV200_09940
ko:K01598	snv:SPNINV200_10040
ko:K00951	snv:SPNINV200_14690
ko:K17320	snv:SPNINV200_00820
ko:K17320	snv:SPNINV200_16150
ko:K01537	snv:SPNINV200_13900
ko:K02030	snv:SPNINV200_01020
ko:K02030	snv:SPNINV200_12380
ko:K17076	snv:SPNINV200_04120
ko:K02029	snv:SPNINV200_07230
ko:K17073	snv:SPNINV200_04130
ko:K17074	snv:SPNINV200_04130
ko:K10947	snv:SPNINV200_00890
ko:K01190	snv:SPNINV200_05700
ko:K07271	snv:SPNINV200_11620
ko:K15923	snv:SPNINV200_14790
ko:K01227	snv:SPNINV200_08860
ko:K01990	snv:SPNINV200_06150
ko:K01990	snv:SPNINV200_06240
ko:K01990	snv:SPNINV200_15250
ko:K01990	snv:SPNINV200_18140
ko:K10112	snv:SPNINV200_14160
ko:K01992	snv:SPNINV200_11470
ko:K01992	snv:SPNINV200_18130
ko:K17624	snv:SPNINV200_03290
ko:K17686	snv:SPNINV200_06440
ko:K02027	snv:SPNINV200_15120
ko:K01467	snv:SPNINV200_00100
ko:K19271	snv:SPNINV200_11520
ko:K01101	snv:SPNINV200_12520
ko:K00226	snv:SPNINV200_06750
ko:K03767	snv:SPNINV200_06810
ko:K00290	snv:SPNINV200_08440
ko:K02026	snv:SPNINV200_15030
ko:K02026	snv:SPNINV200_15100
ko:K07284	snv:SPNINV200_10160
ko:K01658	snv:SPNINV200_16430
ko:K17828	snv:SPNINV200_08850
ko:K00537	snv:SPNINV200_13030
ko:K02027	snv:SPNINV200_15050
ko:K12574	snv:SPNINV200_01210
ko:K00131	snv:SPNINV200_10880
ko:K12574	snv:SPNINV200_05400
ko:K01071	snv:SPNINV200_12530
ko:K02614	snv:SPNINV200_16710
ko:K06148	snv:SPNINV200_12040
ko:K02794	snv:SPNINV200_19740
ko:K02794	snv:SPNINV200_00590
ko:K18231	snv:SPNINV200_08750
ko:K01104	snv:SPNINV200_18420
ko:K01990	snv:SPNINV200_11480
ko:K01990	snv:SPNINV200_11490
ko:K02787	snv:SPNINV200_04240
ko:K02788	snv:SPNINV200_04240
ko:K08303	snv:SPNINV200_12700
ko:K15581	snv:SPNINV200_17100
ko:K07260	snv:SPNINV200_05560
ko:K18369	snv:SPNINV200_18680
ko:K12295	snv:SPNINV200_20440
ko:K03742	snv:SPNINV200_17610
ko:K18474	snv:SPNINV200_03760
ko:K00105	snv:SPNINV200_19940
ko:K18581	snv:SPNINV200_02890
ko:K18682	snv:SPNINV200_15620
ko:K18672	snv:SPNINV200_13990
ko:K18692	snv:SPNINV200_06720
ko:K06218	snv:SPNINV200_10120
ko:K18892	snv:SPNINV200_18860
ko:K18891	snv:SPNINV200_18880
ko:K03790	snv:SPNINV200_11210
ko:K03111	snv:SPNINV200_17300
ko:K07473	snv:SPNINV200_02560
ko:K03497	snv:SPNINV200_20500
ko:K03111	snv:SPNINV200_13770
ko:K03502	snv:SPNINV200_08780
ko:K06148	snv:SPNINV200_01340
ko:K07483	snv:SPNINV200_18310
ko:K19002	snv:SPNINV200_11290
ko:K13052	snv:SPNINV200_00080
ko:K19157	snv:SPNINV200_02570
ko:K19159	snv:SPNINV200_15640
ko:K08643	snv:SPNINV200_05860
ko:K12294	snv:SPNINV200_20450
ko:K05881	snv:SPNINV200_10550
ko:K00571	snv:SPNINV200_12740
ko:K12415	snv:SPNINV200_20460
ko:K12293	snv:SPNINV200_00430
ko:K03722	snv:SPNINV200_07110
ko:K12952	snv:SPNINV200_14470
ko:K19302	snv:SPNINV200_04340
ko:K04771	snv:SPNINV200_20490
ko:K08643	snv:SPNINV200_10710
ko:K02796	snv:SPNINV200_19720
ko:K01992	snv:SPNINV200_08790
ko:K06881	snv:SPNINV200_11920
ko:K03483	snv:SPNINV200_03590
ko:K02796	snv:SPNINV200_02640
ko:K02796	snv:SPNINV200_00610
ko:K00887	snv:SPNINV200_08890
ko:K07497	snv:SPNINV200_00260
ko:K00526	snv:SPNINV200_10490
ko:K07139	snv:SPNINV200_05750
ko:K21636	snv:SPNINV200_01860
ko:K19971	snv:SPNINV200_14750
ko:K19972	snv:SPNINV200_14740
ko:K10830	snv:SPNINV200_14730
ko:K20074	snv:SPNINV200_15560
ko:K12132	snv:SPNINV200_15550
ko:K20073	snv:SPNINV200_03350
ko:K20112	snv:SPNINV200_10320
ko:K20112	snv:SPNINV200_05670
ko:K15580	snv:SPNINV200_17120
ko:K02777	snv:SPNINV200_06700
ko:K20107	snv:SPNINV200_06700
ko:K20108	snv:SPNINV200_06700
ko:K20114	snv:SPNINV200_05690
ko:K20113	snv:SPNINV200_05680
ko:K20342	snv:SPNINV200_18000
ko:K20344	snv:SPNINV200_04700
ko:K20345	snv:SPNINV200_04690
ko:K20483	snv:SPNINV200_01410
ko:K20484	snv:SPNINV200_01410
ko:K00525	snv:SPNINV200_10500
ko:K20343	snv:SPNINV200_04680
ko:K18889	snv:SPNINV200_16610
ko:K18890	snv:SPNINV200_16600
ko:K01200	snv:SPNINV200_10890
ko:K21030	snv:SPNINV200_11600
ko:K21064	snv:SPNINV200_02680
ko:K08968	snv:SPNINV200_07610
ko:K00287	snv:SPNINV200_14080
ko:K03553	snv:SPNINV200_17600
ko:K06217	snv:SPNINV200_08670
ko:K02316	snv:SPNINV200_11330
ko:K00857	snv:SPNINV200_09380
ko:K02314	snv:SPNINV200_20120
ko:K07313	snv:SPNINV200_10300
ko:K06191	snv:SPNINV200_10510
ko:K04068	snv:SPNINV200_01890
ko:K01520	snv:SPNINV200_00210
ko:K00560	snv:SPNINV200_05910
ko:K01493	snv:SPNINV200_06570
ko:K02335	snv:SPNINV200_00310
ko:K00571	snv:SPNINV200_18580
ko:K21471	snv:SPNINV200_20250
ko:K21567	snv:SPNINV200_14000
ko:K21977	snv:SPNINV200_10050
ko:K22044	snv:SPNINV200_15750
ko:K03595	snv:SPNINV200_08900
ko:K03078	snv:SPNINV200_18490
ko:K22278	snv:SPNINV200_13220
ko:K17758	snv:SPNINV200_07270
ko:K03077	snv:SPNINV200_18470
ko:K03079	snv:SPNINV200_18480
ko:K22441	snv:SPNINV200_05130
ko:K22457	snv:SPNINV200_13810
