ko:K02313	lcw:BN194_00010
ko:K01151	lcw:BN194_17070
ko:K01876	lcw:BN194_17100
ko:K01892	lcw:BN194_17110
ko:K04485	lcw:BN194_24630
ko:K06975	lcw:BN194_24650
ko:K03549	lcw:BN194_24720
ko:K01839	lcw:BN194_24810
ko:K00757	lcw:BN194_24830
ko:K02647	lcw:BN194_24850
ko:K00147	lcw:BN194_24900
ko:K00931	lcw:BN194_24910
ko:K09384	lcw:BN194_25000
ko:K08998	lcw:BN194_13670
ko:K05837	lcw:BN194_13690
ko:K02437	lcw:BN194_13700
ko:K02073	lcw:BN194_13730
ko:K02073	lcw:BN194_13740
ko:K02071	lcw:BN194_13750
ko:K02072	lcw:BN194_13760
ko:K09013	lcw:BN194_13770
ko:K09015	lcw:BN194_13780
ko:K11717	lcw:BN194_13790
ko:K09014	lcw:BN194_13810
ko:K07478	lcw:BN194_13900
ko:K01919	lcw:BN194_13910
ko:K01752	lcw:BN194_13940
ko:K01752	lcw:BN194_13950
ko:K03811	lcw:BN194_13990
ko:K04486	lcw:BN194_14010
ko:K15580	lcw:BN194_14020
ko:K03734	lcw:BN194_21550
ko:K00688	lcw:BN194_21570
ko:K00703	lcw:BN194_21580
ko:K00975	lcw:BN194_21590
ko:K00975	lcw:BN194_21600
ko:K00826	lcw:BN194_21620
ko:K04041	lcw:BN194_21660
ko:K00067	lcw:BN194_21760
ko:K01790	lcw:BN194_21780
ko:K00973	lcw:BN194_21790
ko:K15581	lcw:BN194_22010
ko:K15580	lcw:BN194_22020
ko:K01940	lcw:BN194_29540
ko:K01755	lcw:BN194_29550
ko:K02761	lcw:BN194_29580
ko:K02760	lcw:BN194_29600
ko:K02759	lcw:BN194_29610
ko:K03449	lcw:BN194_29670
ko:K03817	lcw:BN194_29930
ko:K03924	lcw:BN194_29950
ko:K03924	lcw:BN194_29960
ko:K07693	lcw:BN194_14180
ko:K07778	lcw:BN194_14190
ko:K06959	lcw:BN194_14310
ko:K06915	lcw:BN194_14360
ko:K02986	lcw:BN194_14440
ko:K04487	lcw:BN194_14470
ko:K03151	lcw:BN194_14480
ko:K01926	lcw:BN194_14500
ko:K01873	lcw:BN194_14510
ko:K11754	lcw:BN194_14520
ko:K03630	lcw:BN194_14540
ko:K03569	lcw:BN194_14550
ko:K03570	lcw:BN194_14560
ko:K03571	lcw:BN194_14570
ko:K03610	lcw:BN194_14580
ko:K02356	lcw:BN194_22050
ko:K00782	lcw:BN194_22060
ko:K02759	lcw:BN194_22100
ko:K02761	lcw:BN194_22140
ko:K07407	lcw:BN194_22160
ko:K09861	lcw:BN194_22170
ko:K03581	lcw:BN194_22190
ko:K09703	lcw:BN194_22260
ko:K01154	lcw:BN194_22300
ko:K01154	lcw:BN194_22320
ko:K01154	lcw:BN194_22330
ko:K03427	lcw:BN194_22340
ko:K01153	lcw:BN194_22350
ko:K01193	lcw:BN194_22440
ko:K00574	lcw:BN194_22460
ko:K01962	lcw:BN194_22470
ko:K01963	lcw:BN194_22480
ko:K01961	lcw:BN194_22510
ko:K02372	lcw:BN194_22520
ko:K01744	lcw:BN194_30030
ko:K00948	lcw:BN194_30370
ko:K00009	lcw:BN194_30400
ko:K02003	lcw:BN194_30490
ko:K16786	lcw:BN194_25930
ko:K03975	lcw:BN194_08930
ko:K03091	lcw:BN194_09020
ko:K13678	lcw:BN194_09050
ko:K00789	lcw:BN194_09150
ko:K01448	lcw:BN194_17200
ko:K07560	lcw:BN194_17220
ko:K09761	lcw:BN194_17250
ko:K02687	lcw:BN194_17260
ko:K03652	lcw:BN194_17270
ko:K00759	lcw:BN194_17380
ko:K07462	lcw:BN194_17390
ko:K03596	lcw:BN194_17440
ko:K03686	lcw:BN194_17450
ko:K04043	lcw:BN194_17460
ko:K03687	lcw:BN194_17470
ko:K03705	lcw:BN194_17480
ko:K11753	lcw:BN194_17510
ko:K02834	lcw:BN194_17540
ko:K02519	lcw:BN194_17550
ko:K07742	lcw:BN194_17570
ko:K02600	lcw:BN194_17580
ko:K09748	lcw:BN194_17590
ko:K03763	lcw:BN194_17600
ko:K01881	lcw:BN194_17610
ko:K11749	lcw:BN194_17620
ko:K07707	lcw:BN194_25170
ko:K03322	lcw:BN194_25370
ko:K07248	lcw:BN194_25470
ko:K02954	lcw:BN194_25480
ko:K02026	lcw:BN194_11270
ko:K01869	lcw:BN194_09210
ko:K07727	lcw:BN194_09420
ko:K00432	lcw:BN194_09780
ko:K00981	lcw:BN194_17630
ko:K00806	lcw:BN194_17640
ko:K02838	lcw:BN194_17650
ko:K09903	lcw:BN194_17660
ko:K02357	lcw:BN194_17670
ko:K02967	lcw:BN194_17680
ko:K07461	lcw:BN194_17690
ko:K00655	lcw:BN194_17710
ko:K02884	lcw:BN194_17770
ko:K00554	lcw:BN194_17780
ko:K02860	lcw:BN194_17790
ko:K06960	lcw:BN194_17800
ko:K02959	lcw:BN194_17810
ko:K03106	lcw:BN194_17820
ko:K03110	lcw:BN194_17850
ko:K03529	lcw:BN194_17860
ko:K03685	lcw:BN194_17870
ko:K02034	lcw:BN194_17890
ko:K02078	lcw:BN194_17930
ko:K03621	lcw:BN194_17940
ko:K03655	lcw:BN194_17950
ko:K02902	lcw:BN194_17980
ko:K01783	lcw:BN194_18000
ko:K06949	lcw:BN194_18010
ko:K03500	lcw:BN194_18040
ko:K00604	lcw:BN194_18060
ko:K04066	lcw:BN194_18070
ko:K13038	lcw:BN194_18090
ko:K03060	lcw:BN194_18100
ko:K06199	lcw:BN194_25640
ko:K06199	lcw:BN194_25650
ko:K02044	lcw:BN194_25680
ko:K02041	lcw:BN194_25690
ko:K02042	lcw:BN194_25700
ko:K02042	lcw:BN194_25710
ko:K15553	lcw:BN194_25730
ko:K15554	lcw:BN194_25770
ko:K02996	lcw:BN194_25840
ko:K02871	lcw:BN194_25850
ko:K02003	lcw:BN194_25880
ko:K06173	lcw:BN194_25910
ko:K02879	lcw:BN194_25950
ko:K03040	lcw:BN194_25960
ko:K02948	lcw:BN194_25970
ko:K02952	lcw:BN194_25980
ko:K02919	lcw:BN194_25990
ko:K03076	lcw:BN194_26020
ko:K02876	lcw:BN194_26030
ko:K02988	lcw:BN194_26050
ko:K02881	lcw:BN194_26060
ko:K02933	lcw:BN194_26070
ko:K16787	lcw:BN194_25920
ko:K14155	lcw:BN194_09790
ko:K07166	lcw:BN194_09820
ko:K09157	lcw:BN194_09830
ko:K00858	lcw:BN194_09880
ko:K06180	lcw:BN194_09890
ko:K03734	lcw:BN194_09900
ko:K06153	lcw:BN194_09920
ko:K02781	lcw:BN194_09940
ko:K02954	lcw:BN194_09950
ko:K00364	lcw:BN194_09960
ko:K03284	lcw:BN194_09970
ko:K03216	lcw:BN194_09990
ko:K03466	lcw:BN194_10010
ko:K00995	lcw:BN194_10060
ko:K03070	lcw:BN194_10170
ko:K02836	lcw:BN194_10180
ko:K09812	lcw:BN194_10190
ko:K09811	lcw:BN194_10200
ko:K07636	lcw:BN194_10230
ko:K02040	lcw:BN194_10240
ko:K02037	lcw:BN194_10250
ko:K02038	lcw:BN194_10260
ko:K02036	lcw:BN194_10270
ko:K02036	lcw:BN194_10280
ko:K02039	lcw:BN194_10290
ko:K00942	lcw:BN194_18110
ko:K07001	lcw:BN194_18120
ko:K07001	lcw:BN194_18130
ko:K03631	lcw:BN194_18160
ko:K06442	lcw:BN194_18170
ko:K13789	lcw:BN194_18180
ko:K03602	lcw:BN194_18190
ko:K03601	lcw:BN194_18200
ko:K01491	lcw:BN194_18210
ko:K03625	lcw:BN194_18220
ko:K02356	lcw:BN194_18240
ko:K02899	lcw:BN194_18270
ko:K02888	lcw:BN194_18290
ko:K01915	lcw:BN194_18340
ko:K01581	lcw:BN194_18360
ko:K00791	lcw:BN194_18390
ko:K03624	lcw:BN194_18520
ko:K00876	lcw:BN194_18540
ko:K07082	lcw:BN194_18550
ko:K01890	lcw:BN194_18560
ko:K01889	lcw:BN194_18570
ko:K06950	lcw:BN194_18600
ko:K02994	lcw:BN194_26080
ko:K02931	lcw:BN194_26100
ko:K02895	lcw:BN194_26110
ko:K02874	lcw:BN194_26120
ko:K02961	lcw:BN194_26130
ko:K02904	lcw:BN194_26140
ko:K02878	lcw:BN194_26150
ko:K02982	lcw:BN194_26160
ko:K02890	lcw:BN194_26170
ko:K02965	lcw:BN194_26180
ko:K02886	lcw:BN194_26190
ko:K02892	lcw:BN194_26200
ko:K02926	lcw:BN194_26210
ko:K02906	lcw:BN194_26220
ko:K02946	lcw:BN194_26230
ko:K13256	lcw:BN194_26240
ko:K02355	lcw:BN194_26270
ko:K02992	lcw:BN194_26280
ko:K02950	lcw:BN194_26290
ko:K03046	lcw:BN194_26330
ko:K03043	lcw:BN194_26340
ko:K03696	lcw:BN194_26350
ko:K04567	lcw:BN194_26380
ko:K04083	lcw:BN194_26400
ko:K03798	lcw:BN194_26460
ko:K00760	lcw:BN194_26470
ko:K08972	lcw:BN194_10320
ko:K13292	lcw:BN194_10340
ko:K00057	lcw:BN194_10350
ko:K00384	lcw:BN194_10360
ko:K02003	lcw:BN194_10410
ko:K07023	lcw:BN194_10430
ko:K03702	lcw:BN194_10440
ko:K03701	lcw:BN194_10450
ko:K06958	lcw:BN194_10470
ko:K01358	lcw:BN194_10510
ko:K10716	lcw:BN194_10550
ko:K03437	lcw:BN194_18610
ko:K01512	lcw:BN194_18620
ko:K03217	lcw:BN194_18630
ko:K07040	lcw:BN194_18680
ko:K09710	lcw:BN194_18710
ko:K00969	lcw:BN194_18730
ko:K15975	lcw:BN194_18760
ko:K06999	lcw:BN194_18770
ko:K06966	lcw:BN194_18790
ko:K02887	lcw:BN194_18800
ko:K02916	lcw:BN194_18810
ko:K02520	lcw:BN194_18820
ko:K01868	lcw:BN194_18860
ko:K07738	lcw:BN194_18900
ko:K00859	lcw:BN194_18910
ko:K06890	lcw:BN194_18940
ko:K01924	lcw:BN194_18950
ko:K03466	lcw:BN194_18960
ko:K06878	lcw:BN194_18970
ko:K03439	lcw:BN194_19000
ko:K02503	lcw:BN194_19040
ko:K06180	lcw:BN194_19100
ko:K04075	lcw:BN194_26490
ko:K07571	lcw:BN194_26500
ko:K03723	lcw:BN194_26540
ko:K01056	lcw:BN194_26550
ko:K00266	lcw:BN194_26630
ko:K01775	lcw:BN194_26680
ko:K00997	lcw:BN194_26690
ko:K05592	lcw:BN194_26700
ko:K01929	lcw:BN194_26720
ko:K02909	lcw:BN194_26770
ko:K00790	lcw:BN194_26780
ko:K01937	lcw:BN194_26790
ko:K06885	lcw:BN194_26840
ko:K03282	lcw:BN194_26890
ko:K00948	lcw:BN194_26930
ko:K04042	lcw:BN194_26940
ko:K02068	lcw:BN194_26970
ko:K05311	lcw:BN194_11000
ko:K00134	lcw:BN194_11010
ko:K00927	lcw:BN194_11020
ko:K01803	lcw:BN194_11030
ko:K01689	lcw:BN194_11040
ko:K03075	lcw:BN194_11080
ko:K03928	lcw:BN194_11090
ko:K12573	lcw:BN194_11100
ko:K03664	lcw:BN194_11110
ko:K03648	lcw:BN194_11330
ko:K06925	lcw:BN194_11350
ko:K01142	lcw:BN194_11390
ko:K03402	lcw:BN194_19110
ko:K01887	lcw:BN194_19120
ko:K01126	lcw:BN194_19160
ko:K16511	lcw:BN194_19170
ko:K02003	lcw:BN194_19240
ko:K01945	lcw:BN194_19290
ko:K00602	lcw:BN194_19300
ko:K11175	lcw:BN194_19310
ko:K01933	lcw:BN194_19320
ko:K01952	lcw:BN194_19330
ko:K01952	lcw:BN194_19340
ko:K01952	lcw:BN194_19350
ko:K01923	lcw:BN194_19360
ko:K01589	lcw:BN194_19370
ko:K01588	lcw:BN194_19380
ko:K02837	lcw:BN194_19480
ko:K03565	lcw:BN194_19550
ko:K02069	lcw:BN194_26980
ko:K16264	lcw:BN194_26990
ko:K00919	lcw:BN194_27000
ko:K02528	lcw:BN194_27020
ko:K05985	lcw:BN194_27030
ko:K03424	lcw:BN194_27040
ko:K02773	lcw:BN194_27050
ko:K01874	lcw:BN194_27130
ko:K12410	lcw:BN194_27190
ko:K01524	lcw:BN194_27260
ko:K00937	lcw:BN194_27270
ko:K01524	lcw:BN194_27280
ko:K03823	lcw:BN194_27320
ko:K06872	lcw:BN194_27340
ko:K03744	lcw:BN194_27350
ko:K01867	lcw:BN194_27360
ko:K05847	lcw:BN194_27410
ko:K03609	lcw:BN194_14590
ko:K02029	lcw:BN194_14600
ko:K06131	lcw:BN194_14630
ko:K03925	lcw:BN194_14670
ko:K03438	lcw:BN194_14680
ko:K01000	lcw:BN194_14710
ko:K01925	lcw:BN194_14720
ko:K02563	lcw:BN194_14730
ko:K03589	lcw:BN194_14740
ko:K03590	lcw:BN194_14750
ko:K03531	lcw:BN194_14760
ko:K09772	lcw:BN194_14770
ko:K02221	lcw:BN194_14780
ko:K04074	lcw:BN194_14800
ko:K01870	lcw:BN194_14810
ko:K03704	lcw:BN194_14820
ko:K02040	lcw:BN194_14830
ko:K04487	lcw:BN194_14900
ko:K00566	lcw:BN194_14930
ko:K03581	lcw:BN194_14970
ko:K01462	lcw:BN194_15060
ko:K00161	lcw:BN194_15080
ko:K00162	lcw:BN194_15090
ko:K00627	lcw:BN194_15100
ko:K02160	lcw:BN194_22530
ko:K09458	lcw:BN194_22540
ko:K00645	lcw:BN194_22570
ko:K02078	lcw:BN194_22590
ko:K00648	lcw:BN194_22600
ko:K02372	lcw:BN194_22620
ko:K02002	lcw:BN194_22830
ko:K02001	lcw:BN194_22840
ko:K02000	lcw:BN194_22850
ko:K06206	lcw:BN194_22860
ko:K01733	lcw:BN194_22890
ko:K00003	lcw:BN194_22900
ko:K00928	lcw:BN194_22910
ko:K01953	lcw:BN194_22990
ko:K08317	lcw:BN194_30540
ko:K03495	lcw:BN194_30590
ko:K03650	lcw:BN194_30600
ko:K03217	lcw:BN194_30610
ko:K03536	lcw:BN194_30620
ko:K02914	lcw:BN194_30630
ko:K01838	lcw:BN194_11170
ko:K00075	lcw:BN194_11400
ko:K03431	lcw:BN194_11550
ko:K00820	lcw:BN194_11560
ko:K07407	lcw:BN194_11750
ko:K06209	lcw:BN194_11840
ko:K10804	lcw:BN194_11900
ko:K03657	lcw:BN194_11920
ko:K03489	lcw:BN194_19610
ko:K01223	lcw:BN194_19620
ko:K02761	lcw:BN194_19630
ko:K02760	lcw:BN194_19660
ko:K00763	lcw:BN194_19860
ko:K03710	lcw:BN194_19880
ko:K01443	lcw:BN194_19890
ko:K00286	lcw:BN194_19900
ko:K03305	lcw:BN194_19930
ko:K01610	lcw:BN194_20000
ko:K04759	lcw:BN194_20020
ko:K06950	lcw:BN194_27480
ko:K03701	lcw:BN194_27500
ko:K07150	lcw:BN194_27660
ko:K00864	lcw:BN194_27720
ko:K02759	lcw:BN194_27800
ko:K01223	lcw:BN194_27820
ko:K01628	lcw:BN194_27880
ko:K02774	lcw:BN194_27910
ko:K02773	lcw:BN194_27920
ko:K02444	lcw:BN194_27930
ko:K15580	lcw:BN194_20640
ko:K10823	lcw:BN194_20590
ko:K16789	lcw:BN194_19390
ko:K02768	lcw:BN194_04010
ko:K11050	lcw:BN194_07110
ko:K02027	lcw:BN194_11260
ko:K02027	lcw:BN194_02890
ko:K02075	lcw:BN194_02500
ko:K02025	lcw:BN194_11280
ko:K14219	lcw:BN194_t0330
ko:K01985	lcw:BN194_r0030
ko:K01985	lcw:BN194_r0130
ko:K01985	lcw:BN194_r0090
ko:K01985	lcw:BN194_r0060
ko:K01985	lcw:BN194_r0100
ko:K00634	lcw:BN194_16420
ko:K14230	lcw:BN194_t0110
ko:K14233	lcw:BN194_t0170
ko:K14223	lcw:BN194_t0260
ko:K14223	lcw:BN194_t0370
ko:K14222	lcw:BN194_t0270
ko:K14234	lcw:BN194_t0430
ko:K14232	lcw:BN194_t0490
ko:K16203	lcw:BN194_20970
ko:K02030	lcw:BN194_14620
ko:K16957	lcw:BN194_04610
ko:K16786	lcw:BN194_04430
ko:K16787	lcw:BN194_04430
ko:K14226	lcw:BN194_t0250
ko:K14228	lcw:BN194_t0320
ko:K14228	lcw:BN194_t0410
ko:K14228	lcw:BN194_t0520
ko:K14227	lcw:BN194_t0350
ko:K11991	lcw:BN194_24000
ko:K14225	lcw:BN194_t0070
ko:K14225	lcw:BN194_t0500
ko:K14225	lcw:BN194_t0530
ko:K01834	lcw:BN194_18850
ko:K01834	lcw:BN194_22740
ko:K01834	lcw:BN194_24750
ko:K15555	lcw:BN194_25760
ko:K16785	lcw:BN194_03170
ko:K02440	lcw:BN194_P0260
ko:K01154	lcw:BN194_P0320
ko:K03427	lcw:BN194_P0330
ko:K01153	lcw:BN194_P0340
ko:K00640	lcw:BN194_P0380
ko:K10974	lcw:BN194_22270
ko:K16925	lcw:BN194_03150
ko:K16924	lcw:BN194_04420
ko:K02809	lcw:BN194_22400
ko:K02810	lcw:BN194_22400
ko:K16898	lcw:BN194_16800
ko:K16899	lcw:BN194_16810
ko:K09951	lcw:BN194_23320
ko:K14219	lcw:BN194_t0010
ko:K14219	lcw:BN194_t0080
ko:K14219	lcw:BN194_t0510
ko:K14219	lcw:BN194_t0340
ko:K14219	lcw:BN194_t0390
ko:K14218	lcw:BN194_t0020
ko:K14218	lcw:BN194_t0030
ko:K14218	lcw:BN194_t0460
ko:K14218	lcw:BN194_t0570
ko:K01977	lcw:BN194_r0010
ko:K01977	lcw:BN194_r0070
ko:K01977	lcw:BN194_r0120
ko:K01977	lcw:BN194_r0040
ko:K01977	lcw:BN194_r0150
ko:K01980	lcw:BN194_r0020
ko:K01980	lcw:BN194_r0080
ko:K01980	lcw:BN194_r0110
ko:K01980	lcw:BN194_r0140
ko:K01980	lcw:BN194_r0050
ko:K14237	lcw:BN194_t0040
ko:K14237	lcw:BN194_t0310
ko:K14237	lcw:BN194_t0560
ko:K14229	lcw:BN194_t0050
ko:K14229	lcw:BN194_t0550
ko:K14234	lcw:BN194_t0060
ko:K14225	lcw:BN194_t0150
ko:K14232	lcw:BN194_t0090
ko:K14230	lcw:BN194_t0100
ko:K14230	lcw:BN194_t0120
ko:K14230	lcw:BN194_t0200
ko:K14221	lcw:BN194_t0130
ko:K14221	lcw:BN194_t0210
ko:K14231	lcw:BN194_t0140
ko:K14231	lcw:BN194_t0220
ko:K14227	lcw:BN194_t0160
ko:K14227	lcw:BN194_t0580
ko:K14227	lcw:BN194_t0470
ko:K14233	lcw:BN194_t0190
ko:K14224	lcw:BN194_t0180
ko:K14224	lcw:BN194_t0440
ko:K14224	lcw:BN194_t0360
ko:K14236	lcw:BN194_t0230
ko:K14236	lcw:BN194_t0420
ko:K14235	lcw:BN194_t0240
ko:K14228	lcw:BN194_t0280
ko:K14228	lcw:BN194_t0540
ko:K14220	lcw:BN194_t0290
ko:K14220	lcw:BN194_t0450
ko:K14233	lcw:BN194_t0300
ko:K14233	lcw:BN194_t0380
ko:K01978	lcw:BN194_r16680
ko:K14225	lcw:BN194_t0400
ko:K14220	lcw:BN194_t0480
ko:K14234	lcw:BN194_t0590
ko:K14229	lcw:BN194_t0600
ko:K11070	lcw:BN194_11450
ko:K03574	lcw:BN194_26850
ko:K02028	lcw:BN194_14610
ko:K17467	lcw:BN194_04230
ko:K17466	lcw:BN194_04220
ko:K17464	lcw:BN194_04200
ko:K01992	lcw:BN194_23090
ko:K01990	lcw:BN194_06850
ko:K02029	lcw:BN194_15380
ko:K02030	lcw:BN194_15380
ko:K02029	lcw:BN194_29530
ko:K02030	lcw:BN194_29530
ko:K02029	lcw:BN194_29910
ko:K02030	lcw:BN194_29910
ko:K02029	lcw:BN194_29920
ko:K02030	lcw:BN194_29920
ko:K10947	lcw:BN194_20440
ko:K17465	lcw:BN194_04210
ko:K01992	lcw:BN194_01240
ko:K01990	lcw:BN194_11360
ko:K01992	lcw:BN194_19020
ko:K01992	lcw:BN194_11370
ko:K01990	lcw:BN194_23110
ko:K01992	lcw:BN194_25780
ko:K01990	lcw:BN194_05310
ko:K01990	lcw:BN194_01230
ko:K01990	lcw:BN194_20560
ko:K01990	lcw:BN194_11520
ko:K01990	lcw:BN194_19030
ko:K01990	lcw:BN194_23080
ko:K01990	lcw:BN194_25800
ko:K00951	lcw:BN194_17230
ko:K00265	lcw:BN194_26640
ko:K01738	lcw:BN194_P0360
ko:K01760	lcw:BN194_P0370
ko:K02032	lcw:BN194_17910
ko:K02028	lcw:BN194_15390
ko:K02028	lcw:BN194_29900
ko:K01537	lcw:BN194_19820
ko:K01537	lcw:BN194_06300
ko:K07045	lcw:BN194_05130
ko:K17076	lcw:BN194_29790
ko:K01992	lcw:BN194_25790
ko:K17073	lcw:BN194_29780
ko:K17074	lcw:BN194_29780
ko:K02795	lcw:BN194_03930
ko:K02794	lcw:BN194_03940
ko:K02796	lcw:BN194_03920
ko:K02793	lcw:BN194_03950
ko:K10112	lcw:BN194_11180
ko:K01990	lcw:BN194_00930
ko:K01990	lcw:BN194_03440
ko:K01990	lcw:BN194_14050
ko:K01990	lcw:BN194_14210
ko:K01990	lcw:BN194_20470
ko:K01990	lcw:BN194_23800
ko:K01990	lcw:BN194_24550
ko:K01992	lcw:BN194_14060
ko:K01992	lcw:BN194_14200
ko:K01992	lcw:BN194_20480
ko:K01992	lcw:BN194_24560
ko:K01992	lcw:BN194_24570
ko:K01533	lcw:BN194_19280
ko:K10112	lcw:BN194_11290
ko:K17836	lcw:BN194_03750
ko:K07284	lcw:BN194_22780
ko:K07979	lcw:BN194_23100
ko:K07979	lcw:BN194_23810
ko:K12574	lcw:BN194_11250
ko:K12574	lcw:BN194_15020
ko:K02003	lcw:BN194_19940
ko:K02004	lcw:BN194_19940
ko:K17810	lcw:BN194_22880
ko:K00661	lcw:BN194_30010
ko:K00661	lcw:BN194_25280
ko:K17836	lcw:BN194_29140
ko:K17828	lcw:BN194_16440
ko:K01187	lcw:BN194_11140
ko:K07284	lcw:BN194_06240
ko:K07284	lcw:BN194_05300
ko:K01187	lcw:BN194_22420
ko:K07284	lcw:BN194_24950
ko:K18104	lcw:BN194_22720
ko:K01621	lcw:BN194_28700
ko:K01304	lcw:BN194_01980
ko:K01101	lcw:BN194_08910
ko:K01071	lcw:BN194_23910
ko:K09017	lcw:BN194_20490
ko:K02794	lcw:BN194_28660
ko:K17869	lcw:BN194_02850
ko:K02769	lcw:BN194_04020
ko:K02770	lcw:BN194_04030
ko:K00104	lcw:BN194_24440
ko:K02794	lcw:BN194_02970
ko:K02794	lcw:BN194_04490
ko:K02794	lcw:BN194_04780
ko:K02794	lcw:BN194_06380
ko:K02794	lcw:BN194_29180
ko:K19591	lcw:BN194_14230
ko:K00140	lcw:BN194_02220
ko:K02240	lcw:BN194_10130
ko:K02003	lcw:BN194_10400
ko:K00134	lcw:BN194_15910
ko:K01581	lcw:BN194_18370
ko:K00876	lcw:BN194_18530
ko:K01928	lcw:BN194_13480
ko:K02621	lcw:BN194_16060
ko:K03697	lcw:BN194_19460
ko:K02759	lcw:BN194_19650
ko:K01439	lcw:BN194_19740
ko:K02970	lcw:BN194_17050
ko:K01992	lcw:BN194_17170
ko:K04758	lcw:BN194_20030
ko:K01999	lcw:BN194_02690
ko:K03322	lcw:BN194_20930
ko:K01259	lcw:BN194_20960
ko:K01990	lcw:BN194_03420
ko:K02795	lcw:BN194_03790
ko:K06147	lcw:BN194_04840
ko:K02794	lcw:BN194_06390
ko:K02793	lcw:BN194_06400
ko:K02794	lcw:BN194_06400
ko:K00068	lcw:BN194_04190
ko:K00965	lcw:BN194_07360
ko:K07027	lcw:BN194_09070
ko:K06131	lcw:BN194_14640
ko:K12574	lcw:BN194_15290
ko:K03500	lcw:BN194_18050
ko:K13038	lcw:BN194_18080
ko:K02027	lcw:BN194_29810
ko:K02518	lcw:BN194_26000
ko:K02907	lcw:BN194_26040
ko:K02954	lcw:BN194_26090
ko:K01866	lcw:BN194_21520
ko:K01961	lcw:BN194_22500
ko:K02913	lcw:BN194_24280
ko:K14205	lcw:BN194_23010
ko:K02794	lcw:BN194_28850
ko:K03828	lcw:BN194_28970
ko:K01689	lcw:BN194_25670
ko:K05685	lcw:BN194_27380
ko:K01206	lcw:BN194_27760
ko:K02760	lcw:BN194_27810
ko:K03761	lcw:BN194_04630
ko:K05352	lcw:BN194_28680
ko:K01271	lcw:BN194_08740
ko:K03328	lcw:BN194_26530
ko:K03742	lcw:BN194_10070
ko:K00105	lcw:BN194_07260
ko:K00105	lcw:BN194_07270
ko:K03293	lcw:BN194_07050
ko:K05910	lcw:BN194_04740
ko:K01621	lcw:BN194_01710
ko:K06384	lcw:BN194_29940
ko:K18581	lcw:BN194_28050
ko:K18672	lcw:BN194_11530
ko:K18682	lcw:BN194_10100
ko:K18692	lcw:BN194_08460
ko:K07171	lcw:BN194_00940
ko:K18892	lcw:BN194_06900
ko:K18891	lcw:BN194_06890
ko:K07171	lcw:BN194_26660
ko:K01262	lcw:BN194_03050
ko:K03111	lcw:BN194_00090
ko:K03111	lcw:BN194_00110
ko:K03497	lcw:BN194_02030
ko:K03496	lcw:BN194_02040
ko:K03497	lcw:BN194_02050
ko:K18929	lcw:BN194_22070
ko:K18928	lcw:BN194_22080
ko:K07473	lcw:BN194_14270
ko:K03205	lcw:BN194_05990
ko:K03502	lcw:BN194_11870
ko:K03205	lcw:BN194_P0150
ko:K03502	lcw:BN194_P0510
ko:K07029	lcw:BN194_11980
ko:K07484	lcw:BN194_04160
ko:K07484	lcw:BN194_06610
ko:K07484	lcw:BN194_08990
ko:K19002	lcw:BN194_09040
ko:K19005	lcw:BN194_09110
ko:K07483	lcw:BN194_20890
ko:K07483	lcw:BN194_06550
ko:K07483	lcw:BN194_P0470
ko:K13052	lcw:BN194_26510
ko:K18979	lcw:BN194_23530
ko:K03741	lcw:BN194_29070
ko:K06609	lcw:BN194_19400
ko:K07498	lcw:BN194_21000
ko:K07498	lcw:BN194_06310
ko:K07498	lcw:BN194_06340
ko:K07498	lcw:BN194_P0220
ko:K07498	lcw:BN194_P0280
ko:K07498	lcw:BN194_P0630
ko:K07498	lcw:BN194_29350
ko:K19005	lcw:BN194_12550
ko:K19157	lcw:BN194_14280
ko:K19225	lcw:BN194_18430
ko:K19159	lcw:BN194_03310
ko:K07448	lcw:BN194_19720
ko:K02476	lcw:BN194_30080
ko:K02475	lcw:BN194_30090
ko:K01710	lcw:BN194_21340
ko:K01710	lcw:BN194_21770
ko:K03339	lcw:BN194_02300
ko:K02808	lcw:BN194_22390
ko:K05881	lcw:BN194_04960
ko:K02777	lcw:BN194_28320
ko:K00571	lcw:BN194_11680
ko:K19168	lcw:BN194_19260
ko:K01215	lcw:BN194_11190
ko:K19225	lcw:BN194_07200
ko:K12952	lcw:BN194_08170
ko:K19265	lcw:BN194_27510
ko:K00020	lcw:BN194_02520
ko:K01992	lcw:BN194_11510
ko:K01992	lcw:BN194_24590
ko:K04771	lcw:BN194_29460
ko:K08217	lcw:BN194_11050
ko:K19302	lcw:BN194_09200
ko:K19350	lcw:BN194_07020
ko:K03722	lcw:BN194_16790
ko:K06881	lcw:BN194_08450
ko:K06881	lcw:BN194_29210
ko:K00426	lcw:BN194_00160
ko:K03483	lcw:BN194_30420
ko:K19505	lcw:BN194_03960
ko:K02796	lcw:BN194_28640
ko:K02796	lcw:BN194_02990
ko:K02796	lcw:BN194_03800
ko:K02796	lcw:BN194_04800
ko:K02796	lcw:BN194_28820
ko:K02796	lcw:BN194_29190
ko:K02796	lcw:BN194_27790
ko:K02796	lcw:BN194_29700
ko:K19689	lcw:BN194_12180
ko:K02538	lcw:BN194_03980
ko:K19802	lcw:BN194_29150
ko:K21636	lcw:BN194_01250
ko:K19956	lcw:BN194_04300
ko:K05770	lcw:BN194_13340
ko:K19975	lcw:BN194_25450
ko:K19973	lcw:BN194_25460
ko:K20074	lcw:BN194_18030
