ko:K14228	ftq:RO31_1692
ko:K01183	ftq:RO31_0814
ko:K00761	ftq:RO31_0815
ko:K01433	ftq:RO31_0816
ko:K01433	ftq:RO31_0817
ko:K01129	ftq:RO31_0820
ko:K04758	ftq:RO31_1643
ko:K01069	ftq:RO31_1645
ko:K01719	ftq:RO31_1648
ko:K02426	ftq:RO31_1649
ko:K01881	ftq:RO31_1657
ko:K14287	ftq:RO31_1658
ko:K03625	ftq:RO31_1663
ko:K09160	ftq:RO31_1666
ko:K07394	ftq:RO31_1667
ko:K07090	ftq:RO31_1668
ko:K03439	ftq:RO31_1678
ko:K00858	ftq:RO31_1680
ko:K01992	ftq:RO31_1682
ko:K01990	ftq:RO31_1683
ko:K01990	ftq:RO31_1684
ko:K11312	ftq:RO31_1687
ko:K03424	ftq:RO31_1688
ko:K03594	ftq:RO31_1691
ko:K03040	ftq:RO31_1693
ko:K02563	ftq:RO31_0934
ko:K02437	ftq:RO31_0935
ko:K01868	ftq:RO31_0940
ko:K02520	ftq:RO31_0941
ko:K02916	ftq:RO31_0942
ko:K02887	ftq:RO31_0943
ko:K03574	ftq:RO31_0950
ko:K00537	ftq:RO31_0951
ko:K06901	ftq:RO31_0954
ko:K09758	ftq:RO31_0955
ko:K09758	ftq:RO31_0956
ko:K04096	ftq:RO31_0958
ko:K04096	ftq:RO31_0959
ko:K03774	ftq:RO31_0961
ko:K03527	ftq:RO31_0962
ko:K06208	ftq:RO31_0963
ko:K17103	ftq:RO31_0964
ko:K03562	ftq:RO31_0966
ko:K03560	ftq:RO31_0967
ko:K03646	ftq:RO31_0968
ko:K03641	ftq:RO31_0969
ko:K03640	ftq:RO31_0971
ko:K14441	ftq:RO31_0972
ko:K14441	ftq:RO31_0973
ko:K01669	ftq:RO31_0977
ko:K06876	ftq:RO31_0978
ko:K03453	ftq:RO31_0979
ko:K03179	ftq:RO31_0988
ko:K03181	ftq:RO31_0989
ko:K09794	ftq:RO31_1799
ko:K09859	ftq:RO31_1805
ko:K07337	ftq:RO31_1808
ko:K09701	ftq:RO31_1816
ko:K00574	ftq:RO31_1817
ko:K00574	ftq:RO31_1820
ko:K12573	ftq:RO31_1826
ko:K03177	ftq:RO31_1827
ko:K03685	ftq:RO31_1828
ko:K03100	ftq:RO31_1829
ko:K00286	ftq:RO31_1833
ko:K02428	ftq:RO31_1834
ko:K02527	ftq:RO31_1835
ko:K00795	ftq:RO31_1836
ko:K01004	ftq:RO31_1837
ko:K01207	ftq:RO31_1840
ko:K00748	ftq:RO31_1843
ko:K00677	ftq:RO31_1844
ko:K02372	ftq:RO31_1845
ko:K02536	ftq:RO31_1846
ko:K06142	ftq:RO31_1847
ko:K07277	ftq:RO31_1848
ko:K00099	ftq:RO31_1849
ko:K00383	ftq:RO31_1099
ko:K01142	ftq:RO31_1103
ko:K06987	ftq:RO31_1104
ko:K03923	ftq:RO31_1105
ko:K01626	ftq:RO31_1107
ko:K03106	ftq:RO31_1108
ko:K07090	ftq:RO31_1110
ko:K02518	ftq:RO31_1111
ko:K03499	ftq:RO31_1115
ko:K09014	ftq:RO31_1117
ko:K09013	ftq:RO31_1118
ko:K09015	ftq:RO31_1119
ko:K03671	ftq:RO31_1123
ko:K02205	ftq:RO31_1127
ko:K03574	ftq:RO31_1134
ko:K03574	ftq:RO31_1135
ko:K07735	ftq:RO31_1136
ko:K07447	ftq:RO31_1137
ko:K01869	ftq:RO31_1142
ko:K03643	ftq:RO31_1143
ko:K16053	ftq:RO31_1145
ko:K01494	ftq:RO31_1146
ko:K03593	ftq:RO31_1147
ko:K06131	ftq:RO31_1149
ko:K06131	ftq:RO31_1150
ko:K06131	ftq:RO31_1151
ko:K01956	ftq:RO31_1961
ko:K01955	ftq:RO31_1962
ko:K00609	ftq:RO31_1963
ko:K00020	ftq:RO31_1964
ko:K03837	ftq:RO31_1966
ko:K03316	ftq:RO31_1969
ko:K11752	ftq:RO31_1970
ko:K00793	ftq:RO31_1971
ko:K14652	ftq:RO31_1972
ko:K00794	ftq:RO31_1973
ko:K01462	ftq:RO31_1974
ko:K00566	ftq:RO31_1976
ko:K03596	ftq:RO31_1977
ko:K02968	ftq:RO31_1978
ko:K06186	ftq:RO31_1979
ko:K06997	ftq:RO31_1988
ko:K03501	ftq:RO31_1989
ko:K03834	ftq:RO31_1990
ko:K09861	ftq:RO31_1998
ko:K04078	ftq:RO31_2003
ko:K04077	ftq:RO31_2004
ko:K00122	ftq:RO31_2007
ko:K02313	ftq:RO31_0001
ko:K02338	ftq:RO31_0002
ko:K00135	ftq:RO31_0006
ko:K01876	ftq:RO31_0008
ko:K01756	ftq:RO31_0018
ko:K02435	ftq:RO31_0022
ko:K02433	ftq:RO31_0023
ko:K02434	ftq:RO31_0024
ko:K01586	ftq:RO31_0029
ko:K03711	ftq:RO31_0032
ko:K00330	ftq:RO31_0033
ko:K00331	ftq:RO31_0034
ko:K00332	ftq:RO31_0035
ko:K00333	ftq:RO31_0036
ko:K00334	ftq:RO31_0037
ko:K00335	ftq:RO31_0038
ko:K00336	ftq:RO31_0039
ko:K00337	ftq:RO31_0040
ko:K00111	ftq:RO31_0151
ko:K02440	ftq:RO31_0152
ko:K03442	ftq:RO31_0154
ko:K02358	ftq:RO31_0159
ko:K03073	ftq:RO31_0161
ko:K02601	ftq:RO31_0162
ko:K02867	ftq:RO31_0163
ko:K02863	ftq:RO31_0164
ko:K02864	ftq:RO31_0165
ko:K02935	ftq:RO31_0166
ko:K03043	ftq:RO31_0167
ko:K03046	ftq:RO31_0168
ko:K01409	ftq:RO31_0170
ko:K00789	ftq:RO31_0172
ko:K02959	ftq:RO31_0173
ko:K02860	ftq:RO31_0174
ko:K00554	ftq:RO31_0175
ko:K02884	ftq:RO31_0176
ko:K04763	ftq:RO31_0177
ko:K08311	ftq:RO31_0184
ko:K03806	ftq:RO31_0186
ko:K02622	ftq:RO31_0187
ko:K17713	ftq:RO31_0189
ko:K02492	ftq:RO31_0191
ko:K02835	ftq:RO31_0192
ko:K02493	ftq:RO31_0193
ko:K00783	ftq:RO31_0194
ko:K02221	ftq:RO31_0199
ko:K02050	ftq:RO31_0201
ko:K02050	ftq:RO31_0202
ko:K00989	ftq:RO31_0990
ko:K03799	ftq:RO31_0994
ko:K03744	ftq:RO31_0995
ko:K01534	ftq:RO31_1001
ko:K00057	ftq:RO31_1005
ko:K04485	ftq:RO31_1007
ko:K01736	ftq:RO31_1010
ko:K07305	ftq:RO31_1012
ko:K04565	ftq:RO31_1013
ko:K00121	ftq:RO31_1017
ko:K00121	ftq:RO31_1018
ko:K00812	ftq:RO31_1019
ko:K03631	ftq:RO31_1021
ko:K01491	ftq:RO31_1028
ko:K01933	ftq:RO31_1029
ko:K11175	ftq:RO31_1031
ko:K01588	ftq:RO31_1032
ko:K01589	ftq:RO31_1033
ko:K07460	ftq:RO31_1034
ko:K01414	ftq:RO31_1035
ko:K03168	ftq:RO31_1042
ko:K02469	ftq:RO31_1850
ko:K03648	ftq:RO31_1853
ko:K01156	ftq:RO31_1854
ko:K07461	ftq:RO31_1856
ko:K03782	ftq:RO31_0821
ko:K07259	ftq:RO31_0825
ko:K07259	ftq:RO31_0826
ko:K02445	ftq:RO31_0827
ko:K01126	ftq:RO31_0828
ko:K01993	ftq:RO31_0829
ko:K01990	ftq:RO31_0830
ko:K01992	ftq:RO31_0831
ko:K00432	ftq:RO31_0835
ko:K04762	ftq:RO31_0845
ko:K04744	ftq:RO31_0846
ko:K03704	ftq:RO31_0860
ko:K02970	ftq:RO31_0863
ko:K00963	ftq:RO31_0868
ko:K01895	ftq:RO31_0869
ko:K01895	ftq:RO31_0870
ko:K03629	ftq:RO31_0874
ko:K03424	ftq:RO31_0875
ko:K03424	ftq:RO31_0876
ko:K07478	ftq:RO31_1694
ko:K01524	ftq:RO31_1696
ko:K03671	ftq:RO31_1697
ko:K03628	ftq:RO31_1698
ko:K01840	ftq:RO31_1699
ko:K00971	ftq:RO31_1700
ko:K01710	ftq:RO31_1703
ko:K07461	ftq:RO31_1704
ko:K00973	ftq:RO31_1706
ko:K01953	ftq:RO31_1711
ko:K02473	ftq:RO31_1714
ko:K02474	ftq:RO31_1715
ko:K01784	ftq:RO31_1717
ko:K13012	ftq:RO31_1718
ko:K01488	ftq:RO31_1722
ko:K00278	ftq:RO31_1724
ko:K00767	ftq:RO31_1725
ko:K03517	ftq:RO31_1726
ko:K00942	ftq:RO31_1727
ko:K05592	ftq:RO31_1728
ko:K03769	ftq:RO31_1729
ko:K08137	ftq:RO31_1731
ko:K00965	ftq:RO31_1732
ko:K00849	ftq:RO31_1733
ko:K00979	ftq:RO31_1735
ko:K09791	ftq:RO31_1736
ko:K00382	ftq:RO31_1741
ko:K00627	ftq:RO31_1742
ko:K00163	ftq:RO31_1743
ko:K07316	ftq:RO31_1857
ko:K07316	ftq:RO31_1858
ko:K07316	ftq:RO31_1859
ko:K00568	ftq:RO31_1868
ko:K04754	ftq:RO31_1869
ko:K01676	ftq:RO31_1880
ko:K03655	ftq:RO31_1882
ko:K02902	ftq:RO31_1884
ko:K02913	ftq:RO31_1885
ko:K03610	ftq:RO31_1886
ko:K03609	ftq:RO31_1887
ko:K03608	ftq:RO31_1888
ko:K02065	ftq:RO31_1889
ko:K02066	ftq:RO31_1890
ko:K02067	ftq:RO31_1891
ko:K07323	ftq:RO31_1892
ko:K07122	ftq:RO31_1893
ko:K01883	ftq:RO31_1899
ko:K07320	ftq:RO31_1900
ko:K07552	ftq:RO31_1902
ko:K09823	ftq:RO31_1156
ko:K01890	ftq:RO31_1157
ko:K01889	ftq:RO31_1158
ko:K03305	ftq:RO31_1160
ko:K07727	ftq:RO31_1166
ko:K03551	ftq:RO31_1170
ko:K01662	ftq:RO31_1175
ko:K01951	ftq:RO31_1176
ko:K06173	ftq:RO31_1178
ko:K06861	ftq:RO31_1181
ko:K11719	ftq:RO31_1183
ko:K03270	ftq:RO31_1184
ko:K01507	ftq:RO31_1185
ko:K07258	ftq:RO31_1186
ko:K09158	ftq:RO31_1187
ko:K03801	ftq:RO31_1188
ko:K16210	ftq:RO31_1189
ko:K16210	ftq:RO31_1190
ko:K15922	ftq:RO31_1191
ko:K15922	ftq:RO31_1192
ko:K03885	ftq:RO31_1193
ko:K03086	ftq:RO31_1194
ko:K00526	ftq:RO31_0607
ko:K03676	ftq:RO31_0607
ko:K00425	ftq:RO31_0102
ko:K19577	ftq:RO31_0557
ko:K19577	ftq:RO31_0558
ko:K02650	ftq:RO31_1026
ko:K14234	ftq:RO31_2147
ko:K01980	ftq:RO31_1500
ko:K01980	ftq:RO31_1568
ko:K01980	ftq:RO31_2009
ko:K14218	ftq:RO31_1501
ko:K14218	ftq:RO31_2010
ko:K14218	ftq:RO31_1569
ko:K14219	ftq:RO31_1746
ko:K14233	ftq:RO31_0865
ko:K14237	ftq:RO31_0801
ko:K14237	ftq:RO31_1507
ko:K14228	ftq:RO31_0926
ko:K14228	ftq:RO31_1639
ko:K14226	ftq:RO31_0925
ko:K14225	ftq:RO31_0157
ko:K14230	ftq:RO31_1839
ko:K14230	ftq:RO31_0052
ko:K14230	ftq:RO31_1932
ko:K14221	ftq:RO31_2146
ko:K14223	ftq:RO31_0308
ko:K14224	ftq:RO31_0350
ko:K01985	ftq:RO31_1499
ko:K01985	ftq:RO31_2008
ko:K01985	ftq:RO31_1567
ko:K01985	ftq:RO31_0452
ko:K14237	ftq:RO31_1059
ko:K14222	ftq:RO31_1640
ko:K14228	ftq:RO31_0087
ko:K14233	ftq:RO31_1508
ko:K14233	ftq:RO31_0982
ko:K14236	ftq:RO31_0156
ko:K14234	ftq:RO31_0158
ko:K14229	ftq:RO31_1550
ko:K14235	ftq:RO31_0160
ko:K14231	ftq:RO31_0922
ko:K14219	ftq:RO31_0924
ko:K14232	ftq:RO31_0923
ko:K01977	ftq:RO31_1503
ko:K01977	ftq:RO31_1571
ko:K01977	ftq:RO31_2012
ko:K14225	ftq:RO31_1641
ko:K14225	ftq:RO31_1747
ko:K14220	ftq:RO31_1650
ko:K03762	ftq:RO31_1386
ko:K19802	ftq:RO31_0838
ko:K19802	ftq:RO31_0839
ko:K19810	ftq:RO31_0859
ko:K05770	ftq:RO31_1284
ko:K20265	ftq:RO31_0416
ko:K20265	ftq:RO31_1783
ko:K20265	ftq:RO31_1114
ko:K20265	ftq:RO31_0543
ko:K00507	ftq:RO31_1825
ko:K00507	ftq:RO31_0171
ko:K13713	ftq:RO31_1030
ko:K20534	ftq:RO31_1681
ko:K03271	ftq:RO31_1980
ko:K01932	ftq:RO31_0928
ko:K13004	ftq:RO31_1716
ko:K01200	ftq:RO31_0462
ko:K01200	ftq:RO31_0463
ko:K21053	ftq:RO31_1078
ko:K21053	ftq:RO31_1079
ko:K00632	ftq:RO31_1795
ko:K03462	ftq:RO31_1800
ko:K00558	ftq:RO31_0012
ko:K02335	ftq:RO31_0125
ko:K02316	ftq:RO31_1195
ko:K03553	ftq:RO31_2081
ko:K02314	ftq:RO31_1221
ko:K00287	ftq:RO31_0352
ko:K01520	ftq:RO31_0359
ko:K06197	ftq:RO31_1331
ko:K13522	ftq:RO31_0434
ko:K00560	ftq:RO31_1434
ko:K06217	ftq:RO31_0706
ko:K00857	ftq:RO31_0710
ko:K02483	ftq:RO31_1810
ko:K03293	ftq:RO31_1015
ko:K02335	ftq:RO31_0124
ko:K00525	ftq:RO31_0609
ko:K01139	ftq:RO31_0931
ko:K01582	ftq:RO31_0456
ko:K21600	ftq:RO31_0631
ko:K04103	ftq:RO31_2075
ko:K21712	ftq:RO31_0939
ko:K21829	ftq:RO31_0980
ko:K22116	ftq:RO31_0929
ko:K03595	ftq:RO31_1353
ko:K22132	ftq:RO31_0614
ko:K02257	ftq:RO31_0323
ko:K13566	ftq:RO31_1662
