ko:K09796	nmp:NMBB_1781
ko:K02528	nmp:NMBB_0783
ko:K01696	nmp:NMBB_0785
ko:K05807	nmp:NMBB_0790
ko:K06180	nmp:NMBB_0791
ko:K03453	nmp:NMBB_0792
ko:K05810	nmp:NMBB_0795
ko:K03643	nmp:NMBB_0796
ko:K02340	nmp:NMBB_0797
ko:K07397	nmp:NMBB_1793
ko:K11175	nmp:NMBB_1795
ko:K02339	nmp:NMBB_1797
ko:K01255	nmp:NMBB_1798
ko:K07091	nmp:NMBB_1799
ko:K11720	nmp:NMBB_1800
ko:K01682	nmp:NMBB_1801
ko:K00611	nmp:NMBB_1802
ko:K00053	nmp:NMBB_1803
ko:K01653	nmp:NMBB_1805
ko:K01652	nmp:NMBB_1806
ko:K07152	nmp:NMBB_1808
ko:K00765	nmp:NMBB_1809
ko:K09968	nmp:NMBB_1810
ko:K00013	nmp:NMBB_1811
ko:K00817	nmp:NMBB_1812
ko:K01693	nmp:NMBB_1813
ko:K00995	nmp:NMBB_1817
ko:K11073	nmp:NMBB_1824
ko:K01872	nmp:NMBB_1826
ko:K03304	nmp:NMBB_1831
ko:K02621	nmp:NMBB_1833
ko:K15984	nmp:NMBB_1837
ko:K10764	nmp:NMBB_1839
ko:K01676	nmp:NMBB_1844
ko:K00337	nmp:NMBB_0273
ko:K00338	nmp:NMBB_0274
ko:K00339	nmp:NMBB_0275
ko:K00340	nmp:NMBB_0276
ko:K04095	nmp:NMBB_0277
ko:K00341	nmp:NMBB_0279
ko:K00342	nmp:NMBB_0280
ko:K00343	nmp:NMBB_0281
ko:K00795	nmp:NMBB_0283
ko:K03602	nmp:NMBB_0284
ko:K06949	nmp:NMBB_0286
ko:K03550	nmp:NMBB_0289
ko:K03642	nmp:NMBB_0292
ko:K03216	nmp:NMBB_0294
ko:K02170	nmp:NMBB_0295
ko:K03654	nmp:NMBB_0299
ko:K01609	nmp:NMBB_0300
ko:K03980	nmp:NMBB_0302
ko:K03673	nmp:NMBB_0304
ko:K07102	nmp:NMBB_0305
ko:K04744	nmp:NMBB_0306
ko:K01147	nmp:NMBB_0312
ko:K06966	nmp:NMBB_0313
ko:K01756	nmp:NMBB_0314
ko:K01669	nmp:NMBB_0319
ko:K15977	nmp:NMBB_0322
ko:K07078	nmp:NMBB_0323
ko:K03673	nmp:NMBB_0330
ko:K02237	nmp:NMBB_0337
ko:K03581	nmp:NMBB_1319
ko:K09808	nmp:NMBB_1321
ko:K06187	nmp:NMBB_1323
ko:K03770	nmp:NMBB_1324
ko:K03551	nmp:NMBB_1330
ko:K01783	nmp:NMBB_1331
ko:K06923	nmp:NMBB_1333
ko:K00793	nmp:NMBB_1334
ko:K03752	nmp:NMBB_1335
ko:K07673	nmp:NMBB_1336
ko:K01933	nmp:NMBB_1339
ko:K14652	nmp:NMBB_1345
ko:K07478	nmp:NMBB_1348
ko:K01733	nmp:NMBB_1355
ko:K00528	nmp:NMBB_1357
ko:K03665	nmp:NMBB_1359
ko:K09765	nmp:NMBB_1362
ko:K03630	nmp:NMBB_1363
ko:K01919	nmp:NMBB_1364
ko:K01703	nmp:NMBB_1366
ko:K01704	nmp:NMBB_1367
ko:K00052	nmp:NMBB_1373
ko:K01744	nmp:NMBB_1375
ko:K03568	nmp:NMBB_2375
ko:K00788	nmp:NMBB_2378
ko:K03154	nmp:NMBB_2382
ko:K03149	nmp:NMBB_2383
ko:K01491	nmp:NMBB_2390
ko:K00133	nmp:NMBB_2392
ko:K01142	nmp:NMBB_2395
ko:K01883	nmp:NMBB_2396
ko:K03979	nmp:NMBB_2398
ko:K07056	nmp:NMBB_2402
ko:K07460	nmp:NMBB_2403
ko:K03271	nmp:NMBB_2404
ko:K01265	nmp:NMBB_2407
ko:K00116	nmp:NMBB_2410
ko:K02967	nmp:NMBB_2414
ko:K02357	nmp:NMBB_2415
ko:K09903	nmp:NMBB_2416
ko:K04773	nmp:NMBB_2423
ko:K01940	nmp:NMBB_2425
ko:K07862	nmp:NMBB_2429
ko:K15724	nmp:NMBB_0609
ko:K03688	nmp:NMBB_0612
ko:K00640	nmp:NMBB_0614
ko:K03687	nmp:NMBB_0616
ko:K05952	nmp:NMBB_0617
ko:K03734	nmp:NMBB_0618
ko:K00351	nmp:NMBB_0622
ko:K00350	nmp:NMBB_0623
ko:K00349	nmp:NMBB_0624
ko:K00348	nmp:NMBB_0625
ko:K00347	nmp:NMBB_0626
ko:K00346	nmp:NMBB_0627
ko:K09790	nmp:NMBB_0629
ko:K09941	nmp:NMBB_0630
ko:K00605	nmp:NMBB_0632
ko:K02437	nmp:NMBB_0633
ko:K02492	nmp:NMBB_0634
ko:K07218	nmp:NMBB_0636
ko:K00311	nmp:NMBB_0640
ko:K02884	nmp:NMBB_0650
ko:K00554	nmp:NMBB_0651
ko:K02860	nmp:NMBB_0652
ko:K02959	nmp:NMBB_0653
ko:K06287	nmp:NMBB_0661
ko:K03118	nmp:NMBB_0662
ko:K03117	nmp:NMBB_0663
ko:K03116	nmp:NMBB_0664
ko:K02503	nmp:NMBB_0665
ko:K01613	nmp:NMBB_1661
ko:K03701	nmp:NMBB_1663
ko:K01902	nmp:NMBB_1670
ko:K01903	nmp:NMBB_1671
ko:K00382	nmp:NMBB_1673
ko:K00658	nmp:NMBB_1674
ko:K00164	nmp:NMBB_1675
ko:K01647	nmp:NMBB_1676
ko:K09159	nmp:NMBB_1677
ko:K00240	nmp:NMBB_1678
ko:K00239	nmp:NMBB_1679
ko:K00242	nmp:NMBB_1680
ko:K00382	nmp:NMBB_1683
ko:K00549	nmp:NMBB_1686
ko:K00297	nmp:NMBB_1687
ko:K02909	nmp:NMBB_1688
ko:K02919	nmp:NMBB_1689
ko:K00641	nmp:NMBB_1691
ko:K02356	nmp:NMBB_1695
ko:K00791	nmp:NMBB_1699
ko:K09793	nmp:NMBB_1701
ko:K03218	nmp:NMBB_1702
ko:K01714	nmp:NMBB_1705
ko:K07287	nmp:NMBB_1706
ko:K03274	nmp:NMBB_0930
ko:K03427	nmp:NMBB_0931
ko:K01153	nmp:NMBB_0937
ko:K03694	nmp:NMBB_0938
ko:K06891	nmp:NMBB_0939
ko:K03704	nmp:NMBB_0940
ko:K03592	nmp:NMBB_0942
ko:K09889	nmp:NMBB_0943
ko:K07462	nmp:NMBB_0945
ko:K01494	nmp:NMBB_0953
ko:K03554	nmp:NMBB_0955
ko:K03977	nmp:NMBB_0956
ko:K01892	nmp:NMBB_0958
ko:K07018	nmp:NMBB_0969
ko:K00797	nmp:NMBB_0970
ko:K00606	nmp:NMBB_0971
ko:K01918	nmp:NMBB_0972
ko:K02494	nmp:NMBB_0975
ko:K00919	nmp:NMBB_0976
ko:K00948	nmp:NMBB_0977
ko:K02897	nmp:NMBB_0978
ko:K01754	nmp:NMBB_0981
ko:K02045	nmp:NMBB_0982
ko:K02047	nmp:NMBB_0983
ko:K02046	nmp:NMBB_0985
ko:K03561	nmp:NMBB_1981
ko:K03675	nmp:NMBB_1985
ko:K12340	nmp:NMBB_1989
ko:K11003	nmp:NMBB_1990
ko:K07154	nmp:NMBB_2012
ko:K15125	nmp:NMBB_2017
ko:K15125	nmp:NMBB_2023
ko:K00145	nmp:NMBB_2031
ko:K03655	nmp:NMBB_2035
ko:K03071	nmp:NMBB_2037
ko:K08301	nmp:NMBB_2039
ko:K03300	nmp:NMBB_2042
ko:K07259	nmp:NMBB_2045
ko:K00789	nmp:NMBB_2047
ko:K02517	nmp:NMBB_2048
ko:K00691	nmp:NMBB_0429
ko:K18132	nmp:NMBB_1586
ko:K14235	nmp:NMBB_2496
ko:K16301	nmp:NMBB_0042
ko:K16088	nmp:NMBB_2147
ko:K02358	nmp:NMBB_0144
ko:K02237	nmp:NMBB_1900
ko:K02014	nmp:NMBB_1488
ko:K02424	nmp:NMBB_0891
ko:K14232	nmp:NMBB_2507
ko:K14225	nmp:NMBB_2530
ko:K14225	nmp:NMBB_2533
ko:K14225	nmp:NMBB_2532
ko:K14225	nmp:NMBB_2531
ko:K10009	nmp:NMBB_0892
ko:K16087	nmp:NMBB_1771
ko:K16087	nmp:NMBB_1051
ko:K16087	nmp:NMBB_0508
ko:K07467	nmp:NMBB_1719
ko:K02077	nmp:NMBB_0646
ko:K02074	nmp:NMBB_0648
ko:K01523	nmp:NMBB_0666
ko:K00004	nmp:NMBB_0667
ko:K02014	nmp:NMBB_1659
ko:K07491	nmp:NMBB_1667
ko:K00241	nmp:NMBB_1681
ko:K01259	nmp:NMBB_1707
ko:K09471	nmp:NMBB_0680
ko:K01496	nmp:NMBB_0702
ko:K02010	nmp:NMBB_0707
ko:K01785	nmp:NMBB_0428
ko:K09806	nmp:NMBB_0446
ko:K07126	nmp:NMBB_0460
ko:K02824	nmp:NMBB_1449
ko:K07126	nmp:NMBB_1466
ko:K07491	nmp:NMBB_1469
ko:K01092	nmp:NMBB_1491
ko:K02533	nmp:NMBB_1492
ko:K05595	nmp:NMBB_1498
ko:K02433	nmp:NMBB_1501
ko:K01916	nmp:NMBB_1511
ko:K07019	nmp:NMBB_0301
ko:K00974	nmp:NMBB_1327
ko:K03153	nmp:NMBB_2377
ko:K01934	nmp:NMBB_2412
ko:K04517	nmp:NMBB_0484
ko:K03574	nmp:NMBB_0500
ko:K01585	nmp:NMBB_0518
ko:K01480	nmp:NMBB_0519
ko:K00652	nmp:NMBB_0526
ko:K06945	nmp:NMBB_0531
ko:K07131	nmp:NMBB_0533
ko:K03177	nmp:NMBB_1524
ko:K01156	nmp:NMBB_1527
ko:K00101	nmp:NMBB_1528
ko:K04488	nmp:NMBB_1532
ko:K13628	nmp:NMBB_1533
ko:K00845	nmp:NMBB_1542
ko:K01262	nmp:NMBB_1582
ko:K02653	nmp:NMBB_0371
ko:K00674	nmp:NMBB_0374
ko:K01759	nmp:NMBB_0380
ko:K00616	nmp:NMBB_0392
ko:K01156	nmp:NMBB_1382
ko:K07316	nmp:NMBB_1383
ko:K01104	nmp:NMBB_1389A
ko:K07213	nmp:NMBB_1393
ko:K08305	nmp:NMBB_1407
ko:K10563	nmp:NMBB_1425
ko:K06183	nmp:NMBB_1428
ko:K00121	nmp:NMBB_1436
ko:K13953	nmp:NMBB_0595
ko:K14232	nmp:NMBB_2546
ko:K14232	nmp:NMBB_2508
ko:K00970	nmp:NMBB_0948
ko:K06177	nmp:NMBB_0968
ko:K07258	nmp:NMBB_0979
ko:K01409	nmp:NMBB_2049
ko:K14219	nmp:NMBB_2545
ko:K16087	nmp:NMBB_2259
ko:K16087	nmp:NMBB_1916
ko:K14230	nmp:NMBB_2538
ko:K14236	nmp:NMBB_2493
ko:K01885	nmp:NMBB_0003
ko:K00033	nmp:NMBB_0018
ko:K02665	nmp:NMBB_2060
ko:K07025	nmp:NMBB_2074
ko:K14761	nmp:NMBB_2083
ko:K01515	nmp:NMBB_1193
ko:K02067	nmp:NMBB_2247
ko:K03342	nmp:NMBB_2256
ko:K02428	nmp:NMBB_0714
ko:K01507	nmp:NMBB_0716
ko:K02342	nmp:NMBB_1740
ko:K02843	nmp:NMBB_1756
ko:K00567	nmp:NMBB_1757
ko:K01439	nmp:NMBB_1759
ko:K08978	nmp:NMBB_2103
ko:K00484	nmp:NMBB_2105
ko:K03593	nmp:NMBB_2108
ko:K07017	nmp:NMBB_2090
ko:K03442	nmp:NMBB_0047
ko:K03743	nmp:NMBB_0048
ko:K01784	nmp:NMBB_0070
ko:K01784	nmp:NMBB_0082
ko:K01679	nmp:NMBB_1096
ko:K02342	nmp:NMBB_1102
ko:K01322	nmp:NMBB_2141
ko:K00135	nmp:NMBB_1056
ko:K07491	nmp:NMBB_1083
ko:K10010	nmp:NMBB_0893
ko:K02238	nmp:NMBB_0789
ko:K04774	nmp:NMBB_1816
ko:K03499	nmp:NMBB_1845
ko:K02806	nmp:NMBB_0831
ko:K06023	nmp:NMBB_0832
ko:K04763	nmp:NMBB_0849
ko:K03469	nmp:NMBB_1853
ko:K01297	nmp:NMBB_1860
ko:K00368	nmp:NMBB_1863
ko:K07126	nmp:NMBB_0088
ko:K03747	nmp:NMBB_0123
ko:K11085	nmp:NMBB_2189
ko:K06179	nmp:NMBB_0212
ko:K03711	nmp:NMBB_0217
ko:K03616	nmp:NMBB_0220
ko:K03455	nmp:NMBB_0221
ko:K00380	nmp:NMBB_1278
ko:K00088	nmp:NMBB_1290
ko:K06177	nmp:NMBB_2315
ko:K03299	nmp:NMBB_2323
ko:K00851	nmp:NMBB_2324
ko:K08483	nmp:NMBB_2348
ko:K11189	nmp:NMBB_2349
ko:K02821	nmp:NMBB_2350
ko:K00059	nmp:NMBB_2191
ko:K01092	nmp:NMBB_2196
ko:K02116	nmp:NMBB_2217
ko:K01243	nmp:NMBB_0867
ko:K01719	nmp:NMBB_0879
ko:K03768	nmp:NMBB_0895
ko:K02427	nmp:NMBB_0903
ko:K01760	nmp:NMBB_0907
ko:K00939	nmp:NMBB_0923
ko:K01424	nmp:NMBB_1940
ko:K12942	nmp:NMBB_1970
ko:K14233	nmp:NMBB_2522
ko:K01838	nmp:NMBB_0430
ko:K14237	nmp:NMBB_2510
ko:K16211	nmp:NMBB_0427
ko:K03972	nmp:NMBB_0888
ko:K16345	nmp:NMBB_1703
ko:K01659	nmp:NMBB_0473
ko:K07278	nmp:NMBB_2430
ko:K01069	nmp:NMBB_2294
ko:K07482	nmp:NMBB_0808
ko:K07482	nmp:NMBB_0540
ko:K07482	nmp:NMBB_0710
ko:K07482	nmp:NMBB_0491
ko:K07482	nmp:NMBB_0621
ko:K07482	nmp:NMBB_1350
ko:K07482	nmp:NMBB_1020
ko:K07482	nmp:NMBB_0012
ko:K07482	nmp:NMBB_0254
ko:K14234	nmp:NMBB_2513
ko:K14234	nmp:NMBB_2514
ko:K01977	nmp:NMBB_r1
ko:K01977	nmp:NMBB_r4
ko:K01977	nmp:NMBB_r9
ko:K01977	nmp:NMBB_r12
ko:K12262	nmp:NMBB_2401
ko:K00568	nmp:NMBB_2326
ko:K14230	nmp:NMBB_2505
ko:K14222	nmp:NMBB_2529
ko:K14219	nmp:NMBB_2502
ko:K14228	nmp:NMBB_2525
ko:K14228	nmp:NMBB_2524
ko:K14228	nmp:NMBB_2523
ko:K14228	nmp:NMBB_2540
ko:K14231	nmp:NMBB_2503
ko:K14218	nmp:NMBB_2504
ko:K14234	nmp:NMBB_2495
ko:K01980	nmp:NMBB_r2
ko:K01980	nmp:NMBB_r5
ko:K01980	nmp:NMBB_r8
ko:K01980	nmp:NMBB_r11
ko:K14233	nmp:NMBB_2518
ko:K14229	nmp:NMBB_2490
ko:K14229	nmp:NMBB_2539
ko:K14227	nmp:NMBB_2491
ko:K14227	nmp:NMBB_2500
ko:K14227	nmp:NMBB_2542
ko:K14227	nmp:NMBB_2536
ko:K01985	nmp:NMBB_r10
ko:K01985	nmp:NMBB_r7
ko:K01985	nmp:NMBB_r6
ko:K01985	nmp:NMBB_r3
ko:K14225	nmp:NMBB_2494
ko:K14234	nmp:NMBB_2497
ko:K14237	nmp:NMBB_2498
ko:K14221	nmp:NMBB_2499
ko:K14219	nmp:NMBB_2537
ko:K14228	nmp:NMBB_2528
ko:K14228	nmp:NMBB_2527
ko:K14218	nmp:NMBB_2492
ko:K14218	nmp:NMBB_2501
ko:K14218	nmp:NMBB_2535
ko:K14218	nmp:NMBB_2541
ko:K14219	nmp:NMBB_2511
ko:K14219	nmp:NMBB_2521
ko:K14220	nmp:NMBB_2526
ko:K14220	nmp:NMBB_2506
ko:K14224	nmp:NMBB_2534
ko:K14224	nmp:NMBB_2512
ko:K14224	nmp:NMBB_2520
ko:K14233	nmp:NMBB_2519
ko:K14233	nmp:NMBB_2509
ko:K14223	nmp:NMBB_2515
ko:K14223	nmp:NMBB_2517
ko:K14223	nmp:NMBB_2516
ko:K14230	nmp:NMBB_2543
ko:K14226	nmp:NMBB_2544
ko:K02075	nmp:NMBB_0647
ko:K00537	nmp:NMBB_0005
ko:K01347	nmp:NMBB_0786
ko:K00785	nmp:NMBB_1035
ko:K01347	nmp:NMBB_2277
ko:K01347	nmp:NMBB_2295
ko:K09810	nmp:NMBB_1320
ko:K03559	nmp:NMBB_1980
ko:K03417	nmp:NMBB_0472
ko:K16868	nmp:NMBB_1852
ko:K07215	nmp:NMBB_1917
ko:K00956	nmp:NMBB_1279
ko:K01834	nmp:NMBB_1832
ko:K02030	nmp:NMBB_1842
ko:K17103	nmp:NMBB_1454
ko:K02028	nmp:NMBB_0781
ko:K01897	nmp:NMBB_1779
ko:K00951	nmp:NMBB_1986
ko:K01533	nmp:NMBB_1358
ko:K01897	nmp:NMBB_1402
ko:K02484	nmp:NMBB_0655
ko:K02029	nmp:NMBB_1734
ko:K02169	nmp:NMBB_0296
ko:K00813	nmp:NMBB_0585
ko:K17686	nmp:NMBB_1464
ko:K07684	nmp:NMBB_1337
ko:K03767	nmp:NMBB_1385
ko:K05540	nmp:NMBB_1573
ko:K00254	nmp:NMBB_0242
ko:K11928	nmp:NMBB_0443
ko:K01658	nmp:NMBB_1658
ko:K01139	nmp:NMBB_1904
ko:K00018	nmp:NMBB_0032
ko:K01497	nmp:NMBB_1342
ko:K07488	nmp:NMBB_2262
ko:K18139	nmp:NMBB_1965
ko:K00557	nmp:NMBB_1931
ko:K03719	nmp:NMBB_0631
ko:K05799	nmp:NMBB_1962
ko:K03719	nmp:NMBB_1886
ko:K03772	nmp:NMBB_1796
ko:K07090	nmp:NMBB_1455
ko:K00523	nmp:NMBB_1504
ko:K07467	nmp:NMBB_1039
ko:K02014	nmp:NMBB_2091
ko:K11073	nmp:NMBB_0511
ko:K15125	nmp:NMBB_0541
ko:K15125	nmp:NMBB_0546
ko:K13409	nmp:NMBB_0559
ko:K03923	nmp:NMBB_1648
ko:K07491	nmp:NMBB_2193
ko:K08978	nmp:NMBB_0223
ko:K02237	nmp:NMBB_2313
ko:K07488	nmp:NMBB_1406
ko:K07488	nmp:NMBB_0338
ko:K21344	nmp:NMBB_0926
ko:K16066	nmp:NMBB_1037
ko:K08068	nmp:NMBB_0074
ko:K07645	nmp:NMBB_2040
ko:K00681	nmp:NMBB_1185
ko:K02650	nmp:NMBB_0021
ko:K02650	nmp:NMBB_0024
ko:K19339	nmp:NMBB_0635
ko:K07171	nmp:NMBB_2335A
ko:K22132	nmp:NMBB_1726
ko:K19239	nmp:NMBB_2267
ko:K00526	nmp:NMBB_1415
ko:K18841	nmp:NMBB_1022
ko:K10747	nmp:NMBB_2353
ko:K04565	nmp:NMBB_1555
ko:K07389	nmp:NMBB_2014
ko:K03111	nmp:NMBB_1092
ko:K03497	nmp:NMBB_2219
ko:K03496	nmp:NMBB_0200
ko:K01081	nmp:NMBB_2312A
ko:K07481	nmp:NMBB_1617
ko:K07481	nmp:NMBB_2447
ko:K03526	nmp:NMBB_1444
ko:K07481	nmp:NMBB_0619
ko:K07481	nmp:NMBB_1768
ko:K07481	nmp:NMBB_2015
ko:K07481	nmp:NMBB_2194
ko:K00336	nmp:NMBB_0272
ko:K12690	nmp:NMBB_1631
ko:K02663	nmp:NMBB_2058
ko:K02664	nmp:NMBB_2059
ko:K07486	nmp:NMBB_1640
ko:K07481	nmp:NMBB_1612
ko:K07481	nmp:NMBB_0178
ko:K07481	nmp:NMBB_2276
ko:K07481	nmp:NMBB_0605
ko:K18991	nmp:NMBB_1821
ko:K10954	nmp:NMBB_1045
ko:K00335	nmp:NMBB_0271
ko:K06992	nmp:NMBB_0641
ko:K06992	nmp:NMBB_0960
ko:K06992	nmp:NMBB_0107
ko:K07172	nmp:NMBB_2335
ko:K00983	nmp:NMBB_0073A
ko:K01654	nmp:NMBB_0073
ko:K00571	nmp:NMBB_0822A
ko:K01710	nmp:NMBB_0069
ko:K01710	nmp:NMBB_0083
ko:K19168	nmp:NMBB_0779
ko:K00020	nmp:NMBB_1814
ko:K07488	nmp:NMBB_0644
ko:K07334	nmp:NMBB_1151
ko:K07288	nmp:NMBB_0382
ko:K01802	nmp:NMBB_0030
ko:K07280	nmp:NMBB_0140
ko:K19342	nmp:NMBB_0638
ko:K03722	nmp:NMBB_0317
ko:K07497	nmp:NMBB_1216
ko:K19337	nmp:NMBB_1541
ko:K19416	nmp:NMBB_2316
ko:K19340	nmp:NMBB_0637
ko:K07486	nmp:NMBB_2002
ko:K07280	nmp:NMBB_0352
ko:K00992	nmp:NMBB_2104
ko:K19784	nmp:NMBB_2044
ko:K06132	nmp:NMBB_1593
ko:K19804	nmp:NMBB_0379
ko:K08992	nmp:NMBB_0378
ko:K07488	nmp:NMBB_1954
ko:K09788	nmp:NMBB_0477
ko:K20455	nmp:NMBB_0476
ko:K02650	nmp:NMBB_0026
ko:K08968	nmp:NMBB_2151
ko:K00821	nmp:NMBB_1521
ko:K21029	nmp:NMBB_2368
ko:K00287	nmp:NMBB_0341
ko:K02314	nmp:NMBB_0543
ko:K00558	nmp:NMBB_0821
ko:K00558	nmp:NMBB_0927
ko:K06217	nmp:NMBB_0950
ko:K02314	nmp:NMBB_0991
ko:K01520	nmp:NMBB_0999
ko:K00558	nmp:NMBB_1112
ko:K06905	nmp:NMBB_1141
ko:K06906	nmp:NMBB_1142
ko:K06908	nmp:NMBB_1146
ko:K06907	nmp:NMBB_1147
ko:K06903	nmp:NMBB_1157
ko:K10954	nmp:NMBB_1713
ko:K00558	nmp:NMBB_1828
ko:K02316	nmp:NMBB_1766
ko:K00558	nmp:NMBB_1418
ko:K00560	nmp:NMBB_1960
ko:K03676	nmp:NMBB_2038
ko:K03553	nmp:NMBB_1605
ko:K00525	nmp:NMBB_1419
ko:K06020	nmp:NMBB_0426
ko:K02335	nmp:NMBB_2271
ko:K21498	nmp:NMBB_1152
ko:K01420	nmp:NMBB_0420
ko:K10026	nmp:NMBB_0569
ko:K21929	nmp:NMBB_2137
ko:K03595	nmp:NMBB_0769
ko:K03690	nmp:NMBB_0913
ko:K22292	nmp:NMBB_0690
ko:K01947	nmp:NMBB_2387
ko:K17758	nmp:NMBB_1285
ko:K11206	nmp:NMBB_0485
ko:K01007	nmp:NMBB_0688
