ko:K07005	bmal:DM55_4437
ko:K03270	bmal:DM55_1092
ko:K06041	bmal:DM55_1093
ko:K03455	bmal:DM55_1094
ko:K00759	bmal:DM55_1095
ko:K01433	bmal:DM55_1098
ko:K03701	bmal:DM55_1100
ko:K08738	bmal:DM55_1107
ko:K03271	bmal:DM55_1109
ko:K07460	bmal:DM55_1110
ko:K07056	bmal:DM55_1111
ko:K03735	bmal:DM55_1114
ko:K03736	bmal:DM55_1115
ko:K00138	bmal:DM55_1117
ko:K04033	bmal:DM55_1118
ko:K01652	bmal:DM55_1120
ko:K01752	bmal:DM55_1122
ko:K00281	bmal:DM55_1124
ko:K02437	bmal:DM55_1125
ko:K00605	bmal:DM55_1126
ko:K03656	bmal:DM55_1131
ko:K03704	bmal:DM55_1138
ko:K02453	bmal:DM55_1142
ko:K02454	bmal:DM55_1143
ko:K02455	bmal:DM55_1144
ko:K02452	bmal:DM55_1145
ko:K02456	bmal:DM55_1146
ko:K06911	bmal:DM55_1947
ko:K02348	bmal:DM55_1948
ko:K07152	bmal:DM55_1951
ko:K01087	bmal:DM55_1952
ko:K00697	bmal:DM55_1953
ko:K06147	bmal:DM55_1954
ko:K08983	bmal:DM55_1957
ko:K01999	bmal:DM55_1959
ko:K10015	bmal:DM55_1962
ko:K10017	bmal:DM55_1963
ko:K00673	bmal:DM55_1966
ko:K00673	bmal:DM55_1967
ko:K06447	bmal:DM55_1968
ko:K01484	bmal:DM55_1969
ko:K05526	bmal:DM55_1970
ko:K00799	bmal:DM55_1971
ko:K10013	bmal:DM55_1972
ko:K10255	bmal:DM55_1973
ko:K02300	bmal:DM55_1974
ko:K02299	bmal:DM55_1975
ko:K02298	bmal:DM55_1977
ko:K02297	bmal:DM55_1978
ko:K13771	bmal:DM55_1980
ko:K04488	bmal:DM55_1983
ko:K11717	bmal:DM55_1984
ko:K09015	bmal:DM55_1985
ko:K09013	bmal:DM55_1986
ko:K09014	bmal:DM55_1987
ko:K07234	bmal:DM55_1988
ko:K01895	bmal:DM55_2777
ko:K00375	bmal:DM55_2787
ko:K06044	bmal:DM55_2790
ko:K00705	bmal:DM55_2791
ko:K01236	bmal:DM55_2792
ko:K00700	bmal:DM55_2794
ko:K00700	bmal:DM55_2795
ko:K05343	bmal:DM55_2796
ko:K16147	bmal:DM55_2797
ko:K05973	bmal:DM55_2798
ko:K04618	bmal:DM55_2815
ko:K11896	bmal:DM55_2818
ko:K10126	bmal:DM55_3627
ko:K10125	bmal:DM55_3628
ko:K03701	bmal:DM55_3635
ko:K03088	bmal:DM55_3636
ko:K08995	bmal:DM55_3638
ko:K07240	bmal:DM55_3641
ko:K07240	bmal:DM55_3642
ko:K08195	bmal:DM55_3647
ko:K01607	bmal:DM55_3648
ko:K01055	bmal:DM55_3649
ko:K01857	bmal:DM55_3650
ko:K01032	bmal:DM55_3651
ko:K01031	bmal:DM55_3652
ko:K00481	bmal:DM55_3653
ko:K01495	bmal:DM55_3655
ko:K00640	bmal:DM55_3657
ko:K01053	bmal:DM55_3660
ko:K05596	bmal:DM55_3668
ko:K06895	bmal:DM55_3669
ko:K09930	bmal:DM55_3673
ko:K12990	bmal:DM55_4478
ko:K03543	bmal:DM55_4480
ko:K01322	bmal:DM55_4481
ko:K00640	bmal:DM55_4483
ko:K00640	bmal:DM55_4485
ko:K11717	bmal:DM55_4488
ko:K07112	bmal:DM55_4492
ko:K07112	bmal:DM55_4493
ko:K03710	bmal:DM55_4502
ko:K01870	bmal:DM55_4516
ko:K01114	bmal:DM55_4519
ko:K02168	bmal:DM55_4522
ko:K13051	bmal:DM55_4524
ko:K13892	bmal:DM55_4525
ko:K13889	bmal:DM55_4526
ko:K13890	bmal:DM55_4527
ko:K13891	bmal:DM55_4528
ko:K01266	bmal:DM55_4529
ko:K02652	bmal:DM55_727
ko:K02653	bmal:DM55_728
ko:K02654	bmal:DM55_729
ko:K00859	bmal:DM55_730
ko:K03574	bmal:DM55_732
ko:K06923	bmal:DM55_733
ko:K00620	bmal:DM55_734
ko:K03070	bmal:DM55_735
ko:K02535	bmal:DM55_737
ko:K03531	bmal:DM55_739
ko:K03590	bmal:DM55_740
ko:K03589	bmal:DM55_741
ko:K01921	bmal:DM55_742
ko:K01924	bmal:DM55_743
ko:K02563	bmal:DM55_744
ko:K03588	bmal:DM55_745
ko:K01925	bmal:DM55_746
ko:K01000	bmal:DM55_747
ko:K01929	bmal:DM55_748
ko:K01928	bmal:DM55_749
ko:K03587	bmal:DM55_750
ko:K03586	bmal:DM55_751
ko:K03438	bmal:DM55_752
ko:K03925	bmal:DM55_753
ko:K06134	bmal:DM55_754
ko:K00548	bmal:DM55_757
ko:K00548	bmal:DM55_758
ko:K16171	bmal:DM55_762
ko:K01692	bmal:DM55_763
ko:K07001	bmal:DM55_765
ko:K01142	bmal:DM55_1571
ko:K05520	bmal:DM55_1579
ko:K01753	bmal:DM55_1580
ko:K06015	bmal:DM55_1582
ko:K06879	bmal:DM55_1584
ko:K01754	bmal:DM55_1585
ko:K03183	bmal:DM55_1589
ko:K03690	bmal:DM55_1591
ko:K03688	bmal:DM55_1592
ko:K01876	bmal:DM55_1596
ko:K08310	bmal:DM55_1597
ko:K07516	bmal:DM55_1601
ko:K02379	bmal:DM55_1604
ko:K10806	bmal:DM55_1606
ko:K06147	bmal:DM55_1607
ko:K07102	bmal:DM55_1609
ko:K04744	bmal:DM55_1610
ko:K03771	bmal:DM55_1611
ko:K00097	bmal:DM55_1612
ko:K02528	bmal:DM55_1613
ko:K01759	bmal:DM55_1615
ko:K07043	bmal:DM55_1616
ko:K00655	bmal:DM55_1617
ko:K03273	bmal:DM55_1618
ko:K01879	bmal:DM55_1619
ko:K01878	bmal:DM55_1620
ko:K03820	bmal:DM55_1621
ko:K06189	bmal:DM55_1622
ko:K13481	bmal:DM55_2410
ko:K13482	bmal:DM55_2411
ko:K02014	bmal:DM55_2414
ko:K02013	bmal:DM55_2415
ko:K02016	bmal:DM55_2416
ko:K02016	bmal:DM55_2417
ko:K02015	bmal:DM55_2418
ko:K07518	bmal:DM55_2423
ko:K07090	bmal:DM55_2425
ko:K01126	bmal:DM55_2427
ko:K07275	bmal:DM55_2435
ko:K04078	bmal:DM55_2441
ko:K04077	bmal:DM55_2442
ko:K00941	bmal:DM55_2443
ko:K07735	bmal:DM55_2446
ko:K07447	bmal:DM55_2447
ko:K02825	bmal:DM55_2448
ko:K00609	bmal:DM55_2449
ko:K01465	bmal:DM55_2450
ko:K00655	bmal:DM55_2451
ko:K01525	bmal:DM55_2452
ko:K00973	bmal:DM55_2454
ko:K01790	bmal:DM55_2455
ko:K00067	bmal:DM55_2456
ko:K17947	bmal:DM55_2460
ko:K03833	bmal:DM55_3255
ko:K01042	bmal:DM55_3256
ko:K02380	bmal:DM55_3257
ko:K00127	bmal:DM55_3258
ko:K00124	bmal:DM55_3259
ko:K00123	bmal:DM55_3262
ko:K02030	bmal:DM55_3264
ko:K02028	bmal:DM55_3266
ko:K02029	bmal:DM55_3266
ko:K02030	bmal:DM55_3270
ko:K06987	bmal:DM55_3272
ko:K07058	bmal:DM55_3274
ko:K00963	bmal:DM55_3279
ko:K01711	bmal:DM55_3287
ko:K10764	bmal:DM55_3290
ko:K00764	bmal:DM55_3291
ko:K03558	bmal:DM55_3292
ko:K03749	bmal:DM55_3293
ko:K11754	bmal:DM55_3294
ko:K01963	bmal:DM55_3295
ko:K01695	bmal:DM55_3296
ko:K01696	bmal:DM55_3298
ko:K01817	bmal:DM55_3299
ko:K06173	bmal:DM55_3300
ko:K00133	bmal:DM55_3302
ko:K00052	bmal:DM55_3304
ko:K01704	bmal:DM55_3305
ko:K01118	bmal:DM55_4108
ko:K03648	bmal:DM55_4109
ko:K01609	bmal:DM55_4111
ko:K00766	bmal:DM55_4112
ko:K01658	bmal:DM55_4113
ko:K01657	bmal:DM55_4114
ko:K01091	bmal:DM55_4115
ko:K01783	bmal:DM55_4116
ko:K06195	bmal:DM55_4117
ko:K08304	bmal:DM55_4119
ko:K01912	bmal:DM55_4120
ko:K02614	bmal:DM55_4121
ko:K15866	bmal:DM55_4122
ko:K01692	bmal:DM55_4125
ko:K07243	bmal:DM55_4135
ko:K07230	bmal:DM55_4137
ko:K03702	bmal:DM55_4138
ko:K00832	bmal:DM55_4139
ko:K06153	bmal:DM55_4144
ko:K02407	bmal:DM55_4151
ko:K07396	bmal:DM55_4153
ko:K00059	bmal:DM55_4156
ko:K07638	bmal:DM55_139
ko:K03386	bmal:DM55_140
ko:K04756	bmal:DM55_141
ko:K01770	bmal:DM55_142
ko:K00991	bmal:DM55_143
ko:K03723	bmal:DM55_144
ko:K01438	bmal:DM55_146
ko:K01754	bmal:DM55_147
ko:K05366	bmal:DM55_149
ko:K03969	bmal:DM55_150
ko:K03282	bmal:DM55_152
ko:K01483	bmal:DM55_156
ko:K01477	bmal:DM55_158
ko:K13485	bmal:DM55_159
ko:K16841	bmal:DM55_161
ko:K03457	bmal:DM55_162
ko:K01297	bmal:DM55_165
ko:K11991	bmal:DM55_166
ko:K09983	bmal:DM55_168
ko:K01951	bmal:DM55_172
ko:K00088	bmal:DM55_174
ko:K09801	bmal:DM55_179
ko:K03664	bmal:DM55_181
ko:K05998	bmal:DM55_186
ko:K09773	bmal:DM55_187
ko:K03437	bmal:DM55_190
ko:K03470	bmal:DM55_191
ko:K02111	bmal:DM55_989
ko:K02115	bmal:DM55_990
ko:K02112	bmal:DM55_991
ko:K02114	bmal:DM55_992
ko:K00666	bmal:DM55_993
ko:K06929	bmal:DM55_994
ko:K01713	bmal:DM55_995
ko:K01599	bmal:DM55_996
ko:K04066	bmal:DM55_997
ko:K13821	bmal:DM55_999
ko:K01999	bmal:DM55_1000
ko:K12508	bmal:DM55_1001
ko:K09456	bmal:DM55_1002
ko:K10013	bmal:DM55_1005
ko:K01534	bmal:DM55_1010
ko:K00425	bmal:DM55_1019
ko:K00426	bmal:DM55_1020
ko:K12373	bmal:DM55_1023
ko:K02803	bmal:DM55_1024
ko:K02804	bmal:DM55_1024
ko:K02768	bmal:DM55_1025
ko:K08483	bmal:DM55_1025
ko:K11183	bmal:DM55_1025
ko:K01443	bmal:DM55_1027
ko:K03710	bmal:DM55_1028
ko:K01586	bmal:DM55_1037
ko:K02945	bmal:DM55_1832
ko:K05788	bmal:DM55_1833
ko:K00012	bmal:DM55_1837
ko:K03274	bmal:DM55_1839
ko:K02237	bmal:DM55_1840
ko:K12339	bmal:DM55_1841
ko:K08305	bmal:DM55_1842
ko:K02071	bmal:DM55_1845
ko:K02072	bmal:DM55_1846
ko:K02073	bmal:DM55_1847
ko:K03521	bmal:DM55_1848
ko:K03522	bmal:DM55_1849
ko:K00285	bmal:DM55_1852
ko:K03719	bmal:DM55_1853
ko:K02959	bmal:DM55_1858
ko:K02860	bmal:DM55_1859
ko:K00554	bmal:DM55_1860
ko:K02884	bmal:DM55_1861
ko:K02227	bmal:DM55_1865
ko:K06949	bmal:DM55_1867
ko:K06013	bmal:DM55_1868
ko:K13288	bmal:DM55_1869
ko:K03831	bmal:DM55_1870
ko:K09889	bmal:DM55_1871
ko:K03592	bmal:DM55_1872
ko:K03147	bmal:DM55_2670
ko:K02052	bmal:DM55_2680
ko:K02053	bmal:DM55_2681
ko:K02053	bmal:DM55_2683
ko:K02055	bmal:DM55_2684
ko:K07734	bmal:DM55_2695
ko:K00375	bmal:DM55_2696
ko:K00820	bmal:DM55_2699
ko:K11159	bmal:DM55_2700
ko:K09965	bmal:DM55_2701
ko:K00381	bmal:DM55_2706
ko:K01596	bmal:DM55_2712
ko:K13929	bmal:DM55_2718
ko:K13931	bmal:DM55_2719
ko:K13932	bmal:DM55_2720
ko:K13933	bmal:DM55_2721
ko:K03464	bmal:DM55_3519
ko:K02300	bmal:DM55_3520
ko:K02299	bmal:DM55_3521
ko:K02298	bmal:DM55_3522
ko:K02297	bmal:DM55_3523
ko:K00219	bmal:DM55_3524
ko:K05549	bmal:DM55_3531
ko:K05550	bmal:DM55_3532
ko:K05784	bmal:DM55_3533
ko:K05783	bmal:DM55_3534
ko:K11733	bmal:DM55_3544
ko:K07044	bmal:DM55_3546
ko:K07576	bmal:DM55_3547
ko:K00023	bmal:DM55_3548
ko:K13953	bmal:DM55_3550
ko:K06966	bmal:DM55_3555
ko:K00860	bmal:DM55_3560
ko:K03406	bmal:DM55_3561
ko:K02005	bmal:DM55_3564
ko:K02003	bmal:DM55_3565
ko:K02004	bmal:DM55_3566
ko:K13633	bmal:DM55_4372
ko:K01281	bmal:DM55_4379
ko:K09927	bmal:DM55_4385
ko:K01194	bmal:DM55_4387
ko:K02164	bmal:DM55_4389
ko:K01953	bmal:DM55_4393
ko:K07303	bmal:DM55_4395
ko:K07302	bmal:DM55_4396
ko:K02484	bmal:DM55_4403
ko:K05921	bmal:DM55_4408
ko:K05921	bmal:DM55_4409
ko:K00151	bmal:DM55_4410
ko:K00455	bmal:DM55_4411
ko:K01826	bmal:DM55_4412
ko:K02509	bmal:DM55_4413
ko:K02510	bmal:DM55_4415
ko:K02010	bmal:DM55_4418
ko:K02011	bmal:DM55_4419
ko:K02012	bmal:DM55_4420
ko:K07774	bmal:DM55_4421
ko:K07649	bmal:DM55_4422
ko:K02313	bmal:DM55_400
ko:K02338	bmal:DM55_401
ko:K02470	bmal:DM55_402
ko:K09136	bmal:DM55_418
ko:K01192	bmal:DM55_429
ko:K03606	bmal:DM55_436
ko:K01991	bmal:DM55_437
ko:K13979	bmal:DM55_442
ko:K08218	bmal:DM55_446
ko:K00641	bmal:DM55_448
ko:K05501	bmal:DM55_449
ko:K00930	bmal:DM55_451
ko:K15011	bmal:DM55_453
ko:K03310	bmal:DM55_1250
ko:K00266	bmal:DM55_1251
ko:K00265	bmal:DM55_1252
ko:K07491	bmal:DM55_1253
ko:K07275	bmal:DM55_1254
ko:K01126	bmal:DM55_1255
ko:K05816	bmal:DM55_1256
ko:K05815	bmal:DM55_1257
ko:K05814	bmal:DM55_1258
ko:K05813	bmal:DM55_1259
ko:K01129	bmal:DM55_1260
ko:K01735	bmal:DM55_1261
ko:K00891	bmal:DM55_1262
ko:K02666	bmal:DM55_1263
ko:K05366	bmal:DM55_1267
ko:K06202	bmal:DM55_1269
ko:K01586	bmal:DM55_1271
ko:K17247	bmal:DM55_1272
ko:K02358	bmal:DM55_1280
ko:K03073	bmal:DM55_1282
ko:K02601	bmal:DM55_1283
ko:K02867	bmal:DM55_1284
ko:K02863	bmal:DM55_1285
ko:K02864	bmal:DM55_1286
ko:K02935	bmal:DM55_1287
ko:K03043	bmal:DM55_1288
ko:K03046	bmal:DM55_1289
ko:K03654	bmal:DM55_1291
ko:K02950	bmal:DM55_1292
ko:K02992	bmal:DM55_1293
ko:K02355	bmal:DM55_1294
ko:K02358	bmal:DM55_1295
ko:K02946	bmal:DM55_1296
ko:K02906	bmal:DM55_1297
ko:K02926	bmal:DM55_1298
ko:K02892	bmal:DM55_1299
ko:K02886	bmal:DM55_1300
ko:K02965	bmal:DM55_1301
ko:K02890	bmal:DM55_1302
ko:K02982	bmal:DM55_1303
ko:K03446	bmal:DM55_2098
ko:K03543	bmal:DM55_2099
ko:K00209	bmal:DM55_2100
ko:K00428	bmal:DM55_2102
ko:K01207	bmal:DM55_2105
ko:K01886	bmal:DM55_2108
ko:K04062	bmal:DM55_2109
ko:K01872	bmal:DM55_2111
ko:K07107	bmal:DM55_2123
ko:K01997	bmal:DM55_2124
ko:K01995	bmal:DM55_2125
ko:K01998	bmal:DM55_2125
ko:K01996	bmal:DM55_2126
ko:K03337	bmal:DM55_2127
ko:K03335	bmal:DM55_2128
ko:K03336	bmal:DM55_2129
ko:K03338	bmal:DM55_2130
ko:K02056	bmal:DM55_2131
ko:K02057	bmal:DM55_2132
ko:K02058	bmal:DM55_2133
ko:K00010	bmal:DM55_2135
ko:K00010	bmal:DM55_2136
ko:K00963	bmal:DM55_2143
ko:K01873	bmal:DM55_2144
ko:K03657	bmal:DM55_2145
ko:K01243	bmal:DM55_2146
ko:K08223	bmal:DM55_2147
ko:K03406	bmal:DM55_2148
ko:K12511	bmal:DM55_2940
ko:K02030	bmal:DM55_2944
ko:K02029	bmal:DM55_2945
ko:K02029	bmal:DM55_2946
ko:K18129	bmal:DM55_2948
ko:K18094	bmal:DM55_2949
ko:K18095	bmal:DM55_2950
ko:K07346	bmal:DM55_2951
ko:K07345	bmal:DM55_2952
ko:K10439	bmal:DM55_2962
ko:K10441	bmal:DM55_2963
ko:K10440	bmal:DM55_2964
ko:K00008	bmal:DM55_2965
ko:K03088	bmal:DM55_2969
ko:K02013	bmal:DM55_2972
ko:K02015	bmal:DM55_2973
ko:K13255	bmal:DM55_2974
ko:K02016	bmal:DM55_2975
ko:K06160	bmal:DM55_2977
ko:K10531	bmal:DM55_2980
ko:K02014	bmal:DM55_2981
ko:K02224	bmal:DM55_2983
ko:K02189	bmal:DM55_2985
ko:K07241	bmal:DM55_2986
ko:K02234	bmal:DM55_2987
ko:K02230	bmal:DM55_2988
ko:K03405	bmal:DM55_2989
ko:K13580	bmal:DM55_2990
ko:K06999	bmal:DM55_2991
ko:K00167	bmal:DM55_3787
ko:K09699	bmal:DM55_3788
ko:K00382	bmal:DM55_3789
ko:K06133	bmal:DM55_3794
ko:K00240	bmal:DM55_3798
ko:K01613	bmal:DM55_3799
ko:K06147	bmal:DM55_3801
ko:K00612	bmal:DM55_3806
ko:K08995	bmal:DM55_3823
ko:K01845	bmal:DM55_3827
ko:K10253	bmal:DM55_3829
ko:K03527	bmal:DM55_3831
ko:K01512	bmal:DM55_3835
ko:K05786	bmal:DM55_3836
ko:K01720	bmal:DM55_3838
ko:K01644	bmal:DM55_3840
ko:K01968	bmal:DM55_4640
ko:K13766	bmal:DM55_4641
ko:K01969	bmal:DM55_4642
ko:K00253	bmal:DM55_4643
ko:K04561	bmal:DM55_4645
ko:K00368	bmal:DM55_4646
ko:K13747	bmal:DM55_4647
ko:K08369	bmal:DM55_4652
ko:K02484	bmal:DM55_4654
ko:K00380	bmal:DM55_4659
ko:K03734	bmal:DM55_4660
ko:K00128	bmal:DM55_4661
ko:K09471	bmal:DM55_4666
ko:K00040	bmal:DM55_4672
ko:K08323	bmal:DM55_4674
ko:K08322	bmal:DM55_4675
ko:K01916	bmal:DM55_4679
ko:K00368	bmal:DM55_4685
ko:K07152	bmal:DM55_4688
ko:K10012	bmal:DM55_29
ko:K00604	bmal:DM55_30
ko:K03564	bmal:DM55_33
ko:K07175	bmal:DM55_34
ko:K03306	bmal:DM55_36
ko:K07220	bmal:DM55_37
ko:K02939	bmal:DM55_39
ko:K02963	bmal:DM55_40
ko:K02686	bmal:DM55_41
ko:K02990	bmal:DM55_42
ko:K03088	bmal:DM55_44
ko:K02275	bmal:DM55_46
ko:K01424	bmal:DM55_51
ko:K03424	bmal:DM55_60
ko:K03823	bmal:DM55_61
ko:K02341	bmal:DM55_62
ko:K00943	bmal:DM55_63
ko:K07082	bmal:DM55_64
ko:K06980	bmal:DM55_65
ko:K00626	bmal:DM55_73
ko:K08281	bmal:DM55_74
ko:K07516	bmal:DM55_75
ko:K07305	bmal:DM55_78
ko:K06190	bmal:DM55_79
ko:K05527	bmal:DM55_80
ko:K03769	bmal:DM55_81
ko:K03824	bmal:DM55_82
ko:K01952	bmal:DM55_83
ko:K02405	bmal:DM55_882
ko:K04562	bmal:DM55_883
ko:K02404	bmal:DM55_884
ko:K02400	bmal:DM55_885
ko:K02401	bmal:DM55_887
ko:K03414	bmal:DM55_891
ko:K03413	bmal:DM55_892
ko:K03412	bmal:DM55_893
ko:K00575	bmal:DM55_894
ko:K03408	bmal:DM55_896
ko:K03413	bmal:DM55_899
ko:K03673	bmal:DM55_615
ko:K01887	bmal:DM55_617
ko:K07397	bmal:DM55_620
ko:K01465	bmal:DM55_622
ko:K13993	bmal:DM55_626
ko:K04078	bmal:DM55_627
ko:K10004	bmal:DM55_630
ko:K10002	bmal:DM55_631
ko:K10003	bmal:DM55_632
ko:K10001	bmal:DM55_633
ko:K00261	bmal:DM55_634
ko:K02575	bmal:DM55_636
ko:K01756	bmal:DM55_637
ko:K00851	bmal:DM55_638
ko:K03299	bmal:DM55_639
ko:K01625	bmal:DM55_640
ko:K01690	bmal:DM55_641
ko:K08973	bmal:DM55_643
ko:K00147	bmal:DM55_644
ko:K02340	bmal:DM55_645
ko:K03643	bmal:DM55_646
ko:K01869	bmal:DM55_647
ko:K03559	bmal:DM55_648
ko:K03561	bmal:DM55_649
ko:K00215	bmal:DM55_650
ko:K06186	bmal:DM55_651
ko:K03711	bmal:DM55_652
ko:K01483	bmal:DM55_653
ko:K01483	bmal:DM55_654
ko:K01477	bmal:DM55_655
ko:K11103	bmal:DM55_656
ko:K11921	bmal:DM55_658
ko:K01673	bmal:DM55_659
ko:K01725	bmal:DM55_660
ko:K00134	bmal:DM55_662
ko:K00615	bmal:DM55_663
ko:K00797	bmal:DM55_664
ko:K01933	bmal:DM55_1466
ko:K00791	bmal:DM55_1468
ko:K03572	bmal:DM55_1469
ko:K03975	bmal:DM55_1470
ko:K03442	bmal:DM55_1471
ko:K07266	bmal:DM55_1474
ko:K01991	bmal:DM55_1476
ko:K10107	bmal:DM55_1477
ko:K09688	bmal:DM55_1478
ko:K09689	bmal:DM55_1480
ko:K01711	bmal:DM55_1487
ko:K07031	bmal:DM55_1488
ko:K03271	bmal:DM55_1489
ko:K03273	bmal:DM55_1491
ko:K07265	bmal:DM55_1492
ko:K02535	bmal:DM55_1496
ko:K09005	bmal:DM55_1502
ko:K02355	bmal:DM55_1503
ko:K03710	bmal:DM55_1506
ko:K01647	bmal:DM55_1508
ko:K00077	bmal:DM55_1512
ko:K07240	bmal:DM55_1515
ko:K06895	bmal:DM55_2308
ko:K03182	bmal:DM55_2309
ko:K03625	bmal:DM55_2312
ko:K00794	bmal:DM55_2313
ko:K14652	bmal:DM55_2314
ko:K00793	bmal:DM55_2315
ko:K11752	bmal:DM55_2316
ko:K01845	bmal:DM55_2317
ko:K07552	bmal:DM55_2320
ko:K02028	bmal:DM55_2323
ko:K10009	bmal:DM55_2324
ko:K02424	bmal:DM55_2325
ko:K00845	bmal:DM55_2326
ko:K01057	bmal:DM55_2327
ko:K00036	bmal:DM55_2328
ko:K17315	bmal:DM55_2329
ko:K17316	bmal:DM55_2330
ko:K17317	bmal:DM55_2331
ko:K10112	bmal:DM55_2332
ko:K00384	bmal:DM55_2335
ko:K03466	bmal:DM55_2336
ko:K03634	bmal:DM55_2337
ko:K07478	bmal:DM55_2338
ko:K01875	bmal:DM55_2340
ko:K03610	bmal:DM55_2344
ko:K03609	bmal:DM55_2345
ko:K03608	bmal:DM55_2346
ko:K02841	bmal:DM55_2350
ko:K03832	bmal:DM55_2353
ko:K06938	bmal:DM55_3151
ko:K07275	bmal:DM55_3152
ko:K00459	bmal:DM55_3153
ko:K00128	bmal:DM55_3154
ko:K07290	bmal:DM55_3157
ko:K02068	bmal:DM55_3158
ko:K02069	bmal:DM55_3159
ko:K01079	bmal:DM55_3161
ko:K01760	bmal:DM55_3162
ko:K00626	bmal:DM55_3164
ko:K00874	bmal:DM55_3165
ko:K14441	bmal:DM55_3166
ko:K00023	bmal:DM55_3168
ko:K00626	bmal:DM55_3169
ko:K03821	bmal:DM55_3170
ko:K05810	bmal:DM55_3171
ko:K06180	bmal:DM55_3172
ko:K05807	bmal:DM55_3173
ko:K06959	bmal:DM55_3177
ko:K03549	bmal:DM55_3178
ko:K07101	bmal:DM55_3179
ko:K01939	bmal:DM55_3180
ko:K02502	bmal:DM55_3181
ko:K09937	bmal:DM55_3182
ko:K04087	bmal:DM55_3183
ko:K04088	bmal:DM55_3184
ko:K03665	bmal:DM55_3185
ko:K03666	bmal:DM55_3186
ko:K03977	bmal:DM55_3187
ko:K17713	bmal:DM55_3188
ko:K01892	bmal:DM55_3190
ko:K15539	bmal:DM55_3192
ko:K06941	bmal:DM55_3193
ko:K00940	bmal:DM55_3194
ko:K03215	bmal:DM55_3196
ko:K07501	bmal:DM55_3198
ko:K03087	bmal:DM55_3199
ko:K06194	bmal:DM55_3200
ko:K00573	bmal:DM55_3201
ko:K00375	bmal:DM55_4007
ko:K07552	bmal:DM55_4008
ko:K03430	bmal:DM55_4012
ko:K01841	bmal:DM55_4014
ko:K18118	bmal:DM55_4019
ko:K11902	bmal:DM55_4020
ko:K11900	bmal:DM55_4022
ko:K11903	bmal:DM55_4023
ko:K11897	bmal:DM55_4024
ko:K11896	bmal:DM55_4025
ko:K11895	bmal:DM55_4026
ko:K11907	bmal:DM55_4027
ko:K11904	bmal:DM55_4028
ko:K11904	bmal:DM55_4029
ko:K11906	bmal:DM55_4034
ko:K11892	bmal:DM55_4037
ko:K11891	bmal:DM55_4038
ko:K18100	bmal:DM55_4042
ko:K18101	bmal:DM55_4043
ko:K12990	bmal:DM55_4046
ko:K03543	bmal:DM55_4048
ko:K00692	bmal:DM55_4050
ko:K02529	bmal:DM55_4051
ko:K00600	bmal:DM55_4054
ko:K01273	bmal:DM55_4055
ko:K13741	bmal:DM55_4856
ko:K13287	bmal:DM55_4860
ko:K13286	bmal:DM55_4862
ko:K13285	bmal:DM55_4863
ko:K03225	bmal:DM55_4869
ko:K03230	bmal:DM55_4874
ko:K03221	bmal:DM55_4879
ko:K00101	bmal:DM55_4893
ko:K08677	bmal:DM55_4895
ko:K03306	bmal:DM55_4899
ko:K09990	bmal:DM55_4900
ko:K02557	bmal:DM55_900
ko:K02556	bmal:DM55_902
ko:K02402	bmal:DM55_903
ko:K02403	bmal:DM55_904
ko:K06188	bmal:DM55_907
ko:K01246	bmal:DM55_910
ko:K02970	bmal:DM55_911
ko:K02406	bmal:DM55_912
ko:K02407	bmal:DM55_913
ko:K00648	bmal:DM55_917
ko:K02078	bmal:DM55_918
ko:K00648	bmal:DM55_919
ko:K03406	bmal:DM55_932
ko:K10227	bmal:DM55_1728
ko:K10228	bmal:DM55_1729
ko:K10229	bmal:DM55_1730
ko:K10111	bmal:DM55_1732
ko:K00854	bmal:DM55_1738
ko:K00007	bmal:DM55_1739
ko:K01576	bmal:DM55_1741
ko:K00141	bmal:DM55_1742
ko:K00077	bmal:DM55_1743
ko:K08195	bmal:DM55_1744
ko:K00453	bmal:DM55_1745
ko:K01556	bmal:DM55_1746
ko:K07130	bmal:DM55_1747
ko:K07304	bmal:DM55_1750
ko:K00574	bmal:DM55_1752
ko:K00275	bmal:DM55_1753
ko:K05838	bmal:DM55_1755
ko:K05838	bmal:DM55_1756
ko:K06911	bmal:DM55_1757
ko:K15268	bmal:DM55_1758
ko:K01448	bmal:DM55_1759
ko:K06925	bmal:DM55_1760
ko:K00567	bmal:DM55_1762
ko:K04763	bmal:DM55_1763
ko:K08591	bmal:DM55_1766
ko:K09767	bmal:DM55_1767
ko:K00075	bmal:DM55_1768
ko:K02968	bmal:DM55_1771
ko:K03980	bmal:DM55_1772
ko:K00031	bmal:DM55_1777
ko:K06181	bmal:DM55_1778
ko:K07667	bmal:DM55_2565
ko:K09712	bmal:DM55_2566
ko:K02004	bmal:DM55_2570
ko:K06886	bmal:DM55_2571
ko:K01426	bmal:DM55_2574
ko:K06966	bmal:DM55_2580
ko:K00901	bmal:DM55_2582
ko:K03088	bmal:DM55_2588
ko:K01652	bmal:DM55_2589
ko:K01653	bmal:DM55_2590
ko:K00053	bmal:DM55_2591
ko:K01613	bmal:DM55_2592
ko:K17103	bmal:DM55_2593
ko:K01649	bmal:DM55_2596
ko:K01673	bmal:DM55_2598
ko:K01999	bmal:DM55_2600
ko:K02956	bmal:DM55_2601
ko:K00962	bmal:DM55_2602
ko:K01803	bmal:DM55_2604
ko:K03075	bmal:DM55_2605
ko:K00330	bmal:DM55_2607
ko:K00331	bmal:DM55_2608
