ko:K04042	cba:CLB_3626
ko:K01520	cba:CLB_1264
ko:K01305	cba:CLB_3491
ko:K08483	cba:CLB_3494
ko:K02996	cba:CLB_3501
ko:K02871	cba:CLB_3502
ko:K02879	cba:CLB_3507
ko:K02986	cba:CLB_3509
ko:K02948	cba:CLB_3510
ko:K02952	cba:CLB_3511
ko:K02919	cba:CLB_3512
ko:K02518	cba:CLB_3513
ko:K01265	cba:CLB_3515
ko:K00939	cba:CLB_3516
ko:K01925	cba:CLB_3591
ko:K03525	cba:CLB_3597
ko:K01938	cba:CLB_3598
ko:K03798	cba:CLB_3599
ko:K00760	cba:CLB_3600
ko:K06382	cba:CLB_3602
ko:K07571	cba:CLB_3610
ko:K00615	cba:CLB_3451
ko:K01775	cba:CLB_3454
ko:K00997	cba:CLB_3457
ko:K00384	cba:CLB_1282
ko:K01620	cba:CLB_2173
ko:K00865	cba:CLB_2174
ko:K02348	cba:CLB_2179
ko:K00111	cba:CLB_2184
ko:K00878	cba:CLB_2193
ko:K03826	cba:CLB_2196
ko:K01935	cba:CLB_2199
ko:K01012	cba:CLB_2200
ko:K03523	cba:CLB_2201
ko:K03530	cba:CLB_3615
ko:K04769	cba:CLB_3618
ko:K07533	cba:CLB_3619
ko:K03723	cba:CLB_3620
ko:K00948	cba:CLB_3625
ko:K07305	cba:CLB_2220
ko:K02435	cba:CLB_3324
ko:K01972	cba:CLB_3327
ko:K09768	cba:CLB_3334
ko:K01810	cba:CLB_3335
ko:K09913	cba:CLB_3217
ko:K06213	cba:CLB_1162
ko:K02012	cba:CLB_1185
ko:K02011	cba:CLB_1186
ko:K02945	cba:CLB_1190
ko:K07107	cba:CLB_1191
ko:K01989	cba:CLB_1193
ko:K05832	cba:CLB_1194
ko:K05833	cba:CLB_1195
ko:K00077	cba:CLB_1201
ko:K07238	cba:CLB_1208
ko:K01738	cba:CLB_1210
ko:K06864	cba:CLB_1214
ko:K00566	cba:CLB_1216
ko:K07707	cba:CLB_1217
ko:K07706	cba:CLB_1218
ko:K06950	cba:CLB_0608
ko:K03100	cba:CLB_0615
ko:K01928	cba:CLB_1482
ko:K01929	cba:CLB_1483
ko:K01000	cba:CLB_1484
ko:K03588	cba:CLB_1485
ko:K03589	cba:CLB_1486
ko:K06997	cba:CLB_1490
ko:K09772	cba:CLB_1491
ko:K02221	cba:CLB_1492
ko:K04074	cba:CLB_1494
ko:K01735	cba:CLB_1495
ko:K03856	cba:CLB_1497
ko:K00800	cba:CLB_1498
ko:K03101	cba:CLB_1500
ko:K01142	cba:CLB_1504
ko:K07444	cba:CLB_1505
ko:K01673	cba:CLB_1506
ko:K02020	cba:CLB_1507
ko:K02018	cba:CLB_1508
ko:K07001	cba:CLB_1511
ko:K00286	cba:CLB_3218
ko:K00656	cba:CLB_3219
ko:K04069	cba:CLB_3220
ko:K03924	cba:CLB_3225
ko:K03522	cba:CLB_3233
ko:K03521	cba:CLB_3234
ko:K06901	cba:CLB_3241
ko:K07095	cba:CLB_3246
ko:K00656	cba:CLB_3252
ko:K02897	cba:CLB_3254
ko:K09825	cba:CLB_3256
ko:K03978	cba:CLB_3264
ko:K01338	cba:CLB_3265
ko:K04076	cba:CLB_3266
ko:K03544	cba:CLB_3267
ko:K03545	cba:CLB_3269
ko:K01126	cba:CLB_1221
ko:K07078	cba:CLB_2143
ko:K01914	cba:CLB_1526
ko:K03169	cba:CLB_1528
ko:K02003	cba:CLB_1532
ko:K02876	cba:CLB_3518
ko:K02907	cba:CLB_3519
ko:K02988	cba:CLB_3520
ko:K02881	cba:CLB_3521
ko:K02994	cba:CLB_3523
ko:K02954	cba:CLB_3524
ko:K02931	cba:CLB_3525
ko:K02874	cba:CLB_3527
ko:K02961	cba:CLB_3528
ko:K02904	cba:CLB_3529
ko:K02982	cba:CLB_3531
ko:K02890	cba:CLB_3532
ko:K02965	cba:CLB_3533
ko:K02886	cba:CLB_3534
ko:K02892	cba:CLB_3535
ko:K02926	cba:CLB_3536
ko:K02906	cba:CLB_3537
ko:K02946	cba:CLB_3538
ko:K02358	cba:CLB_3539
ko:K02355	cba:CLB_3540
ko:K02992	cba:CLB_3541
ko:K02950	cba:CLB_3542
ko:K07590	cba:CLB_3543
ko:K02601	cba:CLB_3550
ko:K03073	cba:CLB_3551
ko:K03311	cba:CLB_3350
ko:K01951	cba:CLB_3351
ko:K00088	cba:CLB_3352
ko:K04078	cba:CLB_3355
ko:K00528	cba:CLB_3361
ko:K01926	cba:CLB_3362
ko:K06158	cba:CLB_3363
ko:K01409	cba:CLB_3369
ko:K06925	cba:CLB_3378
ko:K01866	cba:CLB_3381
ko:K01867	cba:CLB_3389
ko:K01586	cba:CLB_3394
ko:K02013	cba:CLB_0356
ko:K06153	cba:CLB_0363
ko:K07813	cba:CLB_0374
ko:K07813	cba:CLB_0381
ko:K06962	cba:CLB_3557
ko:K03218	cba:CLB_3558
ko:K03465	cba:CLB_3559
ko:K11145	cba:CLB_3560
ko:K01754	cba:CLB_3562
ko:K01881	cba:CLB_3563
ko:K00991	cba:CLB_3564
ko:K07067	cba:CLB_3567
ko:K03696	cba:CLB_3569
ko:K03708	cba:CLB_3572
ko:K02355	cba:CLB_3574
ko:K07058	cba:CLB_3460
ko:K02986	cba:CLB_3462
ko:K00820	cba:CLB_3467
ko:K00068	cba:CLB_3470
ko:K03431	cba:CLB_3477
ko:K02372	cba:CLB_3677
ko:K00901	cba:CLB_2911
ko:K03718	cba:CLB_0566
ko:K01153	cba:CLB_0721
ko:K03427	cba:CLB_0717
ko:K04763	cba:CLB_1801
ko:K06942	cba:CLB_1477
ko:K03925	cba:CLB_1478
ko:K03438	cba:CLB_1479
ko:K07030	cba:CLB_2369
ko:K02902	cba:CLB_2371
ko:K01783	cba:CLB_2375
ko:K06949	cba:CLB_2376
ko:K06941	cba:CLB_2379
ko:K06973	cba:CLB_2381
ko:K00604	cba:CLB_2382
ko:K01462	cba:CLB_2383
ko:K00942	cba:CLB_2387
ko:K09777	cba:CLB_2388
ko:K06398	cba:CLB_2392
ko:K00057	cba:CLB_2395
ko:K02039	cba:CLB_2398
ko:K02036	cba:CLB_2399
ko:K02038	cba:CLB_2400
ko:K02037	cba:CLB_2401
ko:K02520	cba:CLB_3167
ko:K01868	cba:CLB_3168
ko:K04083	cba:CLB_3178
ko:K00133	cba:CLB_3186
ko:K01714	cba:CLB_3187
ko:K00674	cba:CLB_3191
ko:K01873	cba:CLB_3199
ko:K03825	cba:CLB_3200
ko:K02051	cba:CLB_3204
ko:K02049	cba:CLB_3207
ko:K02050	cba:CLB_3208
ko:K03565	cba:CLB_3211
ko:K00762	cba:CLB_3272
ko:K01591	cba:CLB_3275
ko:K01465	cba:CLB_3276
ko:K00610	cba:CLB_3277
ko:K00876	cba:CLB_0237
ko:K01738	cba:CLB_0246
ko:K00640	cba:CLB_0247
ko:K00655	cba:CLB_0249
ko:K03216	cba:CLB_0258
ko:K05311	cba:CLB_0266
ko:K00134	cba:CLB_0267
ko:K00927	cba:CLB_0268
ko:K01803	cba:CLB_0269
ko:K01689	cba:CLB_0271
ko:K03075	cba:CLB_0272
ko:K03664	cba:CLB_0275
ko:K02526	cba:CLB_0290
ko:K05810	cba:CLB_2405
ko:K07738	cba:CLB_2406
ko:K03091	cba:CLB_2408
ko:K03091	cba:CLB_2409
ko:K04564	cba:CLB_0561
ko:K06897	cba:CLB_0562
ko:K07240	cba:CLB_0573
ko:K07240	cba:CLB_0574
ko:K09770	cba:CLB_0576
ko:K01262	cba:CLB_0581
ko:K06200	cba:CLB_0590
ko:K03282	cba:CLB_0594
ko:K11071	cba:CLB_0603
ko:K02049	cba:CLB_3284
ko:K07095	cba:CLB_3317
ko:K02035	cba:CLB_3321
ko:K02434	cba:CLB_3322
ko:K02433	cba:CLB_3323
ko:K07042	cba:CLB_2912
ko:K07037	cba:CLB_2913
ko:K06438	cba:CLB_2914
ko:K09117	cba:CLB_2916
ko:K02970	cba:CLB_2917
ko:K09761	cba:CLB_2920
ko:K04043	cba:CLB_2923
ko:K03687	cba:CLB_2924
ko:K03705	cba:CLB_2925
ko:K03596	cba:CLB_2927
ko:K06385	cba:CLB_2929
ko:K06012	cba:CLB_2930
ko:K02968	cba:CLB_2931
ko:K02238	cba:CLB_2933
ko:K07106	cba:CLB_1371
ko:K09957	cba:CLB_1374
ko:K02035	cba:CLB_1381
ko:K02033	cba:CLB_1382
ko:K02034	cba:CLB_1383
ko:K02031	cba:CLB_1384
ko:K09816	cba:CLB_1387
ko:K09817	cba:CLB_1388
ko:K09815	cba:CLB_1389
ko:K02051	cba:CLB_1393
ko:K02050	cba:CLB_1394
ko:K02049	cba:CLB_1395
ko:K00784	cba:CLB_1400
ko:K03704	cba:CLB_1411
ko:K00099	cba:CLB_2290
ko:K00981	cba:CLB_2294
ko:K00806	cba:CLB_2295
ko:K02838	cba:CLB_2296
ko:K03630	cba:CLB_3028
ko:K06287	cba:CLB_3029
ko:K06209	cba:CLB_3034
ko:K00859	cba:CLB_3038
ko:K01736	cba:CLB_3040
ko:K09903	cba:CLB_2297
ko:K02357	cba:CLB_2298
ko:K02967	cba:CLB_2299
ko:K03706	cba:CLB_2300
ko:K04096	cba:CLB_2302
ko:K07391	cba:CLB_2303
ko:K07460	cba:CLB_2304
ko:K03100	cba:CLB_2307
ko:K02884	cba:CLB_2308
ko:K00554	cba:CLB_2309
ko:K02860	cba:CLB_2310
ko:K06960	cba:CLB_2311
ko:K02959	cba:CLB_2312
ko:K03106	cba:CLB_2313
ko:K09787	cba:CLB_2314
ko:K02078	cba:CLB_2320
ko:K03621	cba:CLB_2321
ko:K02911	cba:CLB_2322
ko:K07040	cba:CLB_2323
ko:K00925	cba:CLB_2324
ko:K00788	cba:CLB_0490
ko:K00878	cba:CLB_0491
ko:K01921	cba:CLB_0493
ko:K01999	cba:CLB_0494
ko:K03803	cba:CLB_3082
ko:K01876	cba:CLB_3083
ko:K07560	cba:CLB_3087
ko:K00759	cba:CLB_3089
ko:K03074	cba:CLB_3091
ko:K06412	cba:CLB_3627
ko:K01997	cba:CLB_0495
ko:K01996	cba:CLB_0498
ko:K03744	cba:CLB_0503
ko:K06872	cba:CLB_0504
ko:K06872	cba:CLB_0505
ko:K03183	cba:CLB_0509
ko:K07727	cba:CLB_0510
ko:K07175	cba:CLB_0524
ko:K03439	cba:CLB_0540
ko:K11065	cba:CLB_0542
ko:K01875	cba:CLB_0551
ko:K02003	cba:CLB_1416
ko:K03833	cba:CLB_3000
ko:K01042	cba:CLB_3001
ko:K01008	cba:CLB_3002
ko:K06180	cba:CLB_3005
ko:K00969	cba:CLB_3009
ko:K07574	cba:CLB_3010
ko:K03979	cba:CLB_3011
ko:K02899	cba:CLB_3012
ko:K06436	cba:CLB_0151
ko:K10026	cba:CLB_1576
ko:K00030	cba:CLB_0452
ko:K00074	cba:CLB_3237
ko:K03426	cba:CLB_0048
ko:K02824	cba:CLB_1503
ko:K01625	cba:CLB_0336
ko:K11072	cba:CLB_0602
ko:K01183	cba:CLB_2776
ko:K01183	cba:CLB_1097
ko:K01183	cba:CLB_1122
ko:K01809	cba:CLB_0437
ko:K12574	cba:CLB_2500
ko:K00602	cba:CLB_2838
ko:K01890	cba:CLB_3160
ko:K01784	cba:CLB_2720
ko:K00260	cba:CLB_1746
ko:K13292	cba:CLB_3245
ko:K00297	cba:CLB_1639
ko:K02598	cba:CLB_0998
ko:K01104	cba:CLB_2629
ko:K00059	cba:CLB_3680
ko:K00059	cba:CLB_0543
ko:K01654	cba:CLB_2621
ko:K02503	cba:CLB_2918
ko:K00657	cba:CLB_1205
ko:K03574	cba:CLB_0691
ko:K01297	cba:CLB_0084
ko:K01308	cba:CLB_1398
ko:K01187	cba:CLB_1623
ko:K11752	cba:CLB_2832
ko:K01580	cba:CLB_1854
ko:K11927	cba:CLB_0680
ko:K03769	cba:CLB_0076
ko:K03827	cba:CLB_0907
ko:K12410	cba:CLB_0082
ko:K03657	cba:CLB_3399
ko:K06889	cba:CLB_0588
ko:K02777	cba:CLB_0323
ko:K06889	cba:CLB_1966
ko:K01491	cba:CLB_1203
ko:K00863	cba:CLB_1015
ko:K06334	cba:CLB_1259
ko:K06333	cba:CLB_1258
ko:K07304	cba:CLB_1861
ko:K01104	cba:CLB_0179
ko:K02056	cba:CLB_0261
ko:K02057	cba:CLB_0262
ko:K02790	cba:CLB_0332
ko:K02791	cba:CLB_0332
ko:K02777	cba:CLB_0334
ko:K03892	cba:CLB_0795
ko:K06434	cba:CLB_1074
ko:K09759	cba:CLB_1059
ko:K01201	cba:CLB_1230
ko:K03657	cba:CLB_1439
ko:K01775	cba:CLB_0320
ko:K02073	cba:CLB_1126
ko:K00528	cba:CLB_1661
ko:K00950	cba:CLB_0871
ko:K03310	cba:CLB_2517
ko:K01448	cba:CLB_3041
ko:K13019	cba:CLB_3129
ko:K06310	cba:CLB_0159
ko:K01034	cba:CLB_2790
ko:K02016	cba:CLB_0353
ko:K02015	cba:CLB_0354
ko:K06889	cba:CLB_0253
ko:K07005	cba:CLB_0675
ko:K00558	cba:CLB_2985
ko:K08978	cba:CLB_0934
ko:K00626	cba:CLB_3236
ko:K07658	cba:CLB_2404
ko:K06168	cba:CLB_1736
ko:K03768	cba:CLB_3643
ko:K03524	cba:CLB_1156
ko:K05346	cba:CLB_1582
ko:K00058	cba:CLB_1164
ko:K00016	cba:CLB_1540
ko:K01243	cba:CLB_1496
ko:K04487	cba:CLB_2509
ko:K03458	cba:CLB_2851
ko:K04487	cba:CLB_1213
ko:K01358	cba:CLB_3268
ko:K01950	cba:CLB_0577
ko:K03458	cba:CLB_0359
ko:K03458	cba:CLB_2127
ko:K00661	cba:CLB_1155
ko:K02030	cba:CLB_0487
ko:K01569	cba:CLB_0903
ko:K01710	cba:CLB_1995
ko:K02017	cba:CLB_1509
ko:K02237	cba:CLB_3003
ko:K01232	cba:CLB_0333
ko:K01232	cba:CLB_0311
ko:K01232	cba:CLB_0322
ko:K02790	cba:CLB_0312
ko:K02791	cba:CLB_0312
ko:K00274	cba:CLB_1227
ko:K00625	cba:CLB_2325
ko:K02242	cba:CLB_0211
ko:K03657	cba:CLB_0751
ko:K03657	cba:CLB_2867
ko:K01784	cba:CLB_2620
ko:K00971	cba:CLB_0138
ko:K07979	cba:CLB_2880
ko:K00951	cba:CLB_3088
ko:K06409	cba:CLB_1459
ko:K01271	cba:CLB_0387
ko:K01961	cba:CLB_3676
ko:K06395	cba:CLB_1827
ko:K07052	cba:CLB_2150
ko:K10797	cba:CLB_2105
ko:K11754	cba:CLB_3198
ko:K13607	cba:CLB_3348
ko:K02191	cba:CLB_0980
ko:K07729	cba:CLB_2235
ko:K01715	cba:CLB_3238
ko:K13282	cba:CLB_0155
ko:K01424	cba:CLB_2390
ko:K03406	cba:CLB_2748
ko:K01286	cba:CLB_1429
ko:K03406	cba:CLB_1380
ko:K05979	cba:CLB_3635
ko:K13542	cba:CLB_0962
ko:K03518	cba:CLB_1315
ko:K09000	cba:CLB_2111
ko:K13653	cba:CLB_2035
ko:K04763	cba:CLB_2982
ko:K01247	cba:CLB_0676
ko:K09963	cba:CLB_3412
ko:K09963	cba:CLB_1373
ko:K00634	cba:CLB_3483
ko:K06409	cba:CLB_3617
ko:K04030	cba:CLB_2047
ko:K06378	cba:CLB_3118
ko:K06409	cba:CLB_1460
ko:K03698	cba:CLB_3242
ko:K07025	cba:CLB_2663
ko:K00131	cba:CLB_1281
ko:K12573	cba:CLB_0273
ko:K01421	cba:CLB_1031
ko:K01421	cba:CLB_1032
ko:K06147	cba:CLB_1619
ko:K07069	cba:CLB_1962
ko:K01534	cba:CLB_0518
ko:K03406	cba:CLB_0592
ko:K03406	cba:CLB_0421
ko:K03406	cba:CLB_0732
ko:K03406	cba:CLB_1547
ko:K03406	cba:CLB_1708
ko:K03406	cba:CLB_1856
ko:K03406	cba:CLB_1579
ko:K03406	cba:CLB_2771
ko:K03406	cba:CLB_3249
ko:K00805	cba:CLB_0418
ko:K13730	cba:CLB_3133
ko:K02217	cba:CLB_1719
ko:K02005	cba:CLB_0120
ko:K02004	cba:CLB_0122
ko:K01537	cba:CLB_0572
ko:K00215	cba:CLB_0833
ko:K01599	cba:CLB_1520
ko:K03294	cba:CLB_2129
ko:K03294	cba:CLB_1401
ko:K00666	cba:CLB_3349
ko:K00087	cba:CLB_1313
ko:K07038	cba:CLB_3437
ko:K12527	cba:CLB_2848
ko:K09702	cba:CLB_1021
ko:K01599	cba:CLB_1513
ko:K02051	cba:CLB_3291
ko:K01791	cba:CLB_0184
ko:K03321	cba:CLB_3405
ko:K02003	cba:CLB_0943
ko:K02004	cba:CLB_0943
ko:K01488	cba:CLB_1030
ko:K01990	cba:CLB_0600
ko:K01934	cba:CLB_2548
ko:K05337	cba:CLB_3228
ko:K07729	cba:CLB_0805
ko:K01515	cba:CLB_0515
ko:K06384	cba:CLB_1803
ko:K06928	cba:CLB_2858
ko:K03406	cba:CLB_0479
ko:K01958	cba:CLB_3368
ko:K07979	cba:CLB_2733
ko:K09765	cba:CLB_2758
ko:K01990	cba:CLB_2879
ko:K06402	cba:CLB_3018
ko:K13820	cba:CLB_2590
ko:K03394	cba:CLB_0988
ko:K01990	cba:CLB_2004
ko:K01992	cba:CLB_2003
ko:K03657	cba:CLB_2026
ko:K01259	cba:CLB_2036
ko:K04028	cba:CLB_2048
ko:K01537	cba:CLB_2578
ko:K02414	cba:CLB_2600
ko:K02407	cba:CLB_2674
ko:K05832	cba:CLB_0707
ko:K05833	cba:CLB_0708
ko:K03406	cba:CLB_0759
ko:K02004	cba:CLB_0826
ko:K03719	cba:CLB_0883
ko:K01046	cba:CLB_0902
ko:K00104	cba:CLB_1049
ko:K08982	cba:CLB_1080
ko:K02057	cba:CLB_0263
ko:K05847	cba:CLB_1653
ko:K06147	cba:CLB_1620
ko:K02004	cba:CLB_1889
ko:K06147	cba:CLB_1335
ko:K04720	cba:CLB_0956
ko:K02018	cba:CLB_1004
ko:K13653	cba:CLB_2103
ko:K02009	cba:CLB_0958
ko:K06133	cba:CLB_2533
ko:K05934	cba:CLB_0991
ko:K07729	cba:CLB_1967
ko:K08587	cba:CLB_1857
ko:K02557	cba:CLB_2594
ko:K01448	cba:CLB_2950
ko:K00248	cba:CLB_3235
ko:K06972	cba:CLB_3367
ko:K00008	cba:CLB_3475
ko:K02315	cba:CLB_3689
ko:K06857	cba:CLB_1882
ko:K01011	cba:CLB_0834
ko:K07079	cba:CLB_1530
ko:K06147	cba:CLB_2222
ko:K06147	cba:CLB_2223
ko:K01449	cba:CLB_0245
ko:K02029	cba:CLB_0486
ko:K02004	cba:CLB_2085
ko:K01271	cba:CLB_1971
ko:K07099	cba:CLB_0220
ko:K09766	cba:CLB_0223
ko:K00941	cba:CLB_0492
ko:K14223	cba:CLB_0228
ko:K14155	cba:CLB_1425
ko:K14228	cba:CLB_3606
ko:K14228	cba:CLB_3609
ko:K14232	cba:CLB_3297
ko:K14232	cba:CLB_3631
ko:K14232	cba:CLB_3316
ko:K01358	cba:CLB_2447
ko:K14229	cba:CLB_3306
ko:K14229	cba:CLB_3298
ko:K14224	cba:CLB_3703
ko:K14224	cba:CLB_3789
ko:K14224	cba:CLB_3791
ko:K14235	cba:CLB_3373
ko:K01980	cba:CLB_0445
ko:K01980	cba:CLB_0065
ko:K01980	cba:CLB_0011
ko:K01980	cba:CLB_3587
ko:K01980	cba:CLB_0080
ko:K01980	cba:CLB_0073
ko:K01980	cba:CLB_0058
ko:K01980	cba:CLB_3578
ko:K14225	cba:CLB_3174
ko:K14225	cba:CLB_3301
ko:K14225	cba:CLB_3309
ko:K14220	cba:CLB_3576
ko:K14220	cba:CLB_0447
ko:K14220	cba:CLB_3575
ko:K16961	cba:CLB_1212
ko:K01449	cba:CLB_2885
ko:K02030	cba:CLB_1436
ko:K14228	cba:CLB_3302
ko:K14228	cba:CLB_3310
ko:K14225	cba:CLB_3296
ko:K14225	cba:CLB_3300
ko:K14225	cba:CLB_3315
ko:K14225	cba:CLB_3308
ko:K14219	cba:CLB_0027
ko:K01628	cba:CLB_1298
ko:K08281	cba:CLB_1171
ko:K04072	cba:CLB_0388
ko:K01599	cba:CLB_2183
ko:K00215	cba:CLB_3188
ko:K13626	cba:CLB_2679
ko:K13653	cba:CLB_0642
ko:K02224	cba:CLB_0965
ko:K07335	cba:CLB_0260
ko:K08309	cba:CLB_3037
ko:K13479	cba:CLB_1314
ko:K00974	cba:CLB_2247
ko:K06518	cba:CLB_0367
ko:K01977	cba:CLB_0440
ko:K01977	cba:CLB_3582
ko:K01977	cba:CLB_0062
ko:K01977	cba:CLB_0070
ko:K01977	cba:CLB_0055
ko:K01977	cba:CLB_3590
ko:K01977	cba:CLB_0008
ko:K01977	cba:CLB_0077
ko:K05020	cba:CLB_1168
ko:K14228	cba:CLB_3074
ko:K14223	cba:CLB_3304
ko:K14223	cba:CLB_3312
ko:K14219	cba:CLB_3299
ko:K14219	cba:CLB_3307
ko:K14219	cba:CLB_3314
ko:K03703	cba:CLB_3240
ko:K14233	cba:CLB_0024
ko:K14233	cba:CLB_0026
ko:K14229	cba:CLB_0060
ko:K14229	cba:CLB_0067
ko:K14229	cba:CLB_3311
ko:K14229	cba:CLB_3303
ko:K00128	cba:CLB_1139
ko:K05799	cba:CLB_1541
ko:K14230	cba:CLB_0013
ko:K14234	cba:CLB_3554
ko:K03527	cba:CLB_1742
ko:K02945	cba:CLB_1742
ko:K14230	cba:CLB_3603
ko:K14230	cba:CLB_3607
ko:K14226	cba:CLB_3305
ko:K14226	cba:CLB_3313
ko:K13993	cba:CLB_0872
ko:K14228	cba:CLB_3036
ko:K07005	cba:CLB_0876
ko:K14230	cba:CLB_3604
ko:K14230	cba:CLB_3605
ko:K14230	cba:CLB_3608
ko:K14222	cba:CLB_0083
ko:K14222	cba:CLB_3173
ko:K14236	cba:CLB_0204
ko:K14236	cba:CLB_0207
ko:K19271	cba:CLB_0659
ko:K14441	cba:CLB_2270
ko:K03324	cba:CLB_3500
ko:K03406	cba:CLB_2754
ko:K01267	cba:CLB_3396
ko:K14234	cba:CLB_0203
ko:K14234	cba:CLB_3786
ko:K14234	cba:CLB_0206
ko:K14234	cba:CLB_3792
ko:K00941	cba:CLB_0813
ko:K01985	cba:CLB_0081
ko:K01985	cba:CLB_3577
ko:K01985	cba:CLB_0066
ko:K01985	cba:CLB_3586
ko:K01985	cba:CLB_0446
ko:K01985	cba:CLB_0012
ko:K01985	cba:CLB_0074
ko:K01985	cba:CLB_0059
ko:K14219	cba:CLB_0037
ko:K11069	cba:CLB_0604
ko:K11070	cba:CLB_0604
ko:K14231	cba:CLB_0075
ko:K14231	cba:CLB_3175
ko:K01449	cba:CLB_3488
ko:K00433	cba:CLB_0880
ko:K14224	cba:CLB_0519
ko:K07705	cba:CLB_3364
ko:K00334	cba:CLB_1785
ko:K14233	cba:CLB_0023
ko:K14233	cba:CLB_0025
ko:K14225	cba:CLB_3555
ko:K14219	cba:CLB_3295
ko:K11261	cba:CLB_1687
ko:K14218	cba:CLB_0014
ko:K14218	cba:CLB_0441
ko:K14218	cba:CLB_3583
ko:K14237	cba:CLB_0205
ko:K14237	cba:CLB_3702
ko:K14237	cba:CLB_3177
ko:K14237	cba:CLB_3697
ko:K14237	cba:CLB_3788
ko:K14221	cba:CLB_3176
ko:K14221	cba:CLB_3793
ko:K14221	cba:CLB_3790
ko:K14221	cba:CLB_3787
ko:K07052	cba:CLB_0967
ko:K14227	cba:CLB_0442
ko:K14227	cba:CLB_3581
ko:K02304	cba:CLB_0960
ko:K14238	cba:CLB_2999
ko:K14233	cba:CLB_0041
ko:K07052	cba:CLB_1336
ko:K14155	cba:CLB_1902
ko:K03798	cba:CLB_0422
ko:K00764	cba:CLB_2875
ko:K01270	cba:CLB_1412
ko:K07979	cba:CLB_2005
ko:K01537	cba:CLB_1566
ko:K14540	cba:CLB_2306
ko:K03091	cba:CLB_2417
ko:K14652	cba:CLB_2830
ko:K09022	cba:CLB_3006
ko:K06881	cba:CLB_2280
ko:K03624	cba:CLB_0715
ko:K03215	cba:CLB_3425
ko:K15580	cba:CLB_3185
ko:K15583	cba:CLB_3182
ko:K06998	cba:CLB_2121
ko:K15383	cba:CLB_1311
ko:K15633	cba:CLB_0270
ko:K15629	cba:CLB_1078
ko:K15738	cba:CLB_1104
ko:K01035	cba:CLB_2791
ko:K02226	cba:CLB_0860
ko:K15582	cba:CLB_3183
ko:K15898	cba:CLB_2661
ko:K15581	cba:CLB_3184
ko:K15632	cba:CLB_2801
ko:K01835	cba:CLB_3145
ko:K00812	cba:CLB_1739
ko:K15976	cba:CLB_0901
ko:K07260	cba:CLB_1073
ko:K15986	cba:CLB_2579
ko:K03310	cba:CLB_1275
ko:K02358	cba:CLB_3553
ko:K20038	cba:CLB_2055
ko:K03699	cba:CLB_2872
ko:K16370	cba:CLB_1932
ko:K16785	cba:CLB_1911
ko:K03299	cba:CLB_2146
ko:K11733	cba:CLB_0293
ko:K16329	cba:CLB_1200
ko:K16328	cba:CLB_1199
ko:K02851	cba:CLB_0183
ko:K03429	cba:CLB_0163
ko:K02027	cba:CLB_0143
ko:K16786	cba:CLB_3506
ko:K16625	cba:CLB_0844
ko:K16624	cba:CLB_0845
ko:K06011	cba:CLB_0848
ko:K16623	cba:CLB_0847
ko:K05825	cba:CLB_1737
ko:K16787	cba:CLB_3505
ko:K03616	cba:CLB_0416
ko:K16785	cba:CLB_3504
ko:K07257	cba:CLB_2662
ko:K16788	cba:CLB_2562
ko:K16789	cba:CLB_0595
ko:K02027	cba:CLB_1539
ko:K10823	cba:CLB_3181
ko:K16626	cba:CLB_0843
ko:K16651	cba:CLB_0995
ko:K02026	cba:CLB_1538
ko:K02025	cba:CLB_1537
ko:K02055	cba:CLB_1146
ko:K13015	cba:CLB_3137
ko:K18344	cba:CLB_1908
ko:K16962	cba:CLB_1211
ko:K16898	cba:CLB_0478
ko:K01835	cba:CLB_3712
ko:K16950	cba:CLB_0999
ko:K16951	cba:CLB_1000
ko:K16786	cba:CLB_2015
ko:K16787	cba:CLB_2015
ko:K02028	cba:CLB_1956
ko:K02028	cba:CLB_0453
ko:K02030	cba:CLB_1958
ko:K11636	cba:CLB_0365
ko:K16786	cba:CLB_1912
ko:K16787	cba:CLB_1912
ko:K11635	cba:CLB_0364
ko:K02004	cba:CLB_0319
ko:K18345	cba:CLB_1907
ko:K11991	cba:CLB_0040
ko:K16963	cba:CLB_1427
ko:K16785	cba:CLB_2016
ko:K16925	cba:CLB_1913
ko:K16926	cba:CLB_2017
ko:K16962	cba:CLB_1426
ko:K17828	cba:CLB_3273
ko:K16899	cba:CLB_0459
ko:K00196	cba:CLB_1360
ko:K02749	cba:CLB_0321
ko:K02750	cba:CLB_0321
ko:K02054	cba:CLB_1147
ko:K02053	cba:CLB_1148
ko:K15035	cba:CLB_0277
ko:K14080	cba:CLB_1519
ko:K02029	cba:CLB_1957
ko:K07260	cba:CLB_0649
ko:K01760	cba:CLB_0767
ko:K17103	cba:CLB_0239
ko:K03574	cba:CLB_2022
ko:K01990	cba:CLB_0030
ko:K01990	cba:CLB_0461
ko:K01990	cba:CLB_0667
ko:K01990	cba:CLB_0748
ko:K01990	cba:CLB_0807
ko:K01990	cba:CLB_0886
ko:K01990	cba:CLB_2732
ko:K19309	cba:CLB_2227
ko:K10907	cba:CLB_3189
ko:K05601	cba:CLB_2735
ko:K01992	cba:CLB_0460
ko:K01992	cba:CLB_0534
ko:K01992	cba:CLB_0749
ko:K01992	cba:CLB_0820
ko:K01992	cba:CLB_1220
ko:K01992	cba:CLB_1406
ko:K01992	cba:CLB_1407
ko:K01992	cba:CLB_3408
ko:K10112	cba:CLB_1536
ko:K17686	cba:CLB_1332
