ko:K19744	pfc:PflA506_2228
ko:K08296	pfc:PflA506_1864
ko:K07552	pfc:PflA506_2680
ko:K10012	pfc:PflA506_2683
ko:K10011	pfc:PflA506_2684
ko:K13014	pfc:PflA506_2685
ko:K07264	pfc:PflA506_2686
ko:K12962	pfc:PflA506_2687
ko:K12963	pfc:PflA506_2688
ko:K00012	pfc:PflA506_2689
ko:K07168	pfc:PflA506_2692
ko:K01895	pfc:PflA506_2699
ko:K08482	pfc:PflA506_2702
ko:K05597	pfc:PflA506_3470
ko:K01150	pfc:PflA506_3472
ko:K03563	pfc:PflA506_3474
ko:K07644	pfc:PflA506_3480
ko:K01304	pfc:PflA506_3482
ko:K07402	pfc:PflA506_3487
ko:K10764	pfc:PflA506_3495
ko:K00764	pfc:PflA506_3496
ko:K03558	pfc:PflA506_3497
ko:K03749	pfc:PflA506_3498
ko:K11754	pfc:PflA506_3499
ko:K01963	pfc:PflA506_3500
ko:K01817	pfc:PflA506_3501
ko:K06173	pfc:PflA506_3502
ko:K00133	pfc:PflA506_3505
ko:K00052	pfc:PflA506_3506
ko:K01704	pfc:PflA506_3508
ko:K01703	pfc:PflA506_3509
ko:K05541	pfc:PflA506_3512
ko:K07107	pfc:PflA506_3513
ko:K04077	pfc:PflA506_4292
ko:K04078	pfc:PflA506_4293
ko:K07113	pfc:PflA506_4294
ko:K07226	pfc:PflA506_4295
ko:K07443	pfc:PflA506_4297
ko:K08218	pfc:PflA506_4298
ko:K01881	pfc:PflA506_4299
ko:K02346	pfc:PflA506_4301
ko:K14205	pfc:PflA506_4304
ko:K07462	pfc:PflA506_4306
ko:K07687	pfc:PflA506_4311
ko:K07679	pfc:PflA506_4312
ko:K01733	pfc:PflA506_4313
ko:K00003	pfc:PflA506_4314
ko:K03981	pfc:PflA506_4315
ko:K02884	pfc:PflA506_4319
ko:K00554	pfc:PflA506_4320
ko:K02860	pfc:PflA506_4321
ko:K02959	pfc:PflA506_4322
ko:K03106	pfc:PflA506_4323
ko:K08289	pfc:PflA506_4327
ko:K06938	pfc:PflA506_4329
ko:K03710	pfc:PflA506_4334
ko:K01443	pfc:PflA506_4335
ko:K00820	pfc:PflA506_4336
ko:K07107	pfc:PflA506_0421
ko:K01745	pfc:PflA506_0422
ko:K02078	pfc:PflA506_0427
ko:K02078	pfc:PflA506_0428
ko:K03672	pfc:PflA506_0433
ko:K05802	pfc:PflA506_0437
ko:K13821	pfc:PflA506_0443
ko:K07115	pfc:PflA506_0447
ko:K00627	pfc:PflA506_0450
ko:K00163	pfc:PflA506_0451
ko:K00982	pfc:PflA506_0452
ko:K02841	pfc:PflA506_0454
ko:K02844	pfc:PflA506_0455
ko:K02848	pfc:PflA506_0456
ko:K00612	pfc:PflA506_0463
ko:K00748	pfc:PflA506_1245
ko:K03470	pfc:PflA506_1246
ko:K02337	pfc:PflA506_1247
ko:K01962	pfc:PflA506_1248
ko:K04075	pfc:PflA506_1249
ko:K01937	pfc:PflA506_1251
ko:K01627	pfc:PflA506_1252
ko:K01689	pfc:PflA506_1253
ko:K05589	pfc:PflA506_1254
ko:K00991	pfc:PflA506_1255
ko:K01070	pfc:PflA506_1258
ko:K01770	pfc:PflA506_1259
ko:K06176	pfc:PflA506_1260
ko:K03787	pfc:PflA506_1261
ko:K00573	pfc:PflA506_1262
ko:K06194	pfc:PflA506_1263
ko:K03704	pfc:PflA506_1265
ko:K01494	pfc:PflA506_1266
ko:K03724	pfc:PflA506_1269
ko:K10017	pfc:PflA506_1270
ko:K06987	pfc:PflA506_1271
ko:K10015	pfc:PflA506_1272
ko:K10016	pfc:PflA506_1273
ko:K09858	pfc:PflA506_1279
ko:K00275	pfc:PflA506_1287
ko:K06077	pfc:PflA506_1288
ko:K03313	pfc:PflA506_1289
ko:K01738	pfc:PflA506_1290
ko:K07137	pfc:PflA506_1291
ko:K08985	pfc:PflA506_1292
ko:K07084	pfc:PflA506_2091
ko:K02496	pfc:PflA506_5217
ko:K01749	pfc:PflA506_5219
ko:K08083	pfc:PflA506_5220
ko:K01755	pfc:PflA506_5221
ko:K05851	pfc:PflA506_5226
ko:K06140	pfc:PflA506_5225
ko:K06202	pfc:PflA506_5228
ko:K01586	pfc:PflA506_5230
ko:K01778	pfc:PflA506_5231
ko:K09921	pfc:PflA506_5232
ko:K03733	pfc:PflA506_5233
ko:K03320	pfc:PflA506_5237
ko:K04752	pfc:PflA506_5238
ko:K07391	pfc:PflA506_5240
ko:K03327	pfc:PflA506_5243
ko:K03656	pfc:PflA506_5245
ko:K03816	pfc:PflA506_5246
ko:K01775	pfc:PflA506_5250
ko:K00285	pfc:PflA506_5252
ko:K06940	pfc:PflA506_5254
ko:K06995	pfc:PflA506_5261
ko:K02913	pfc:PflA506_5262
ko:K02902	pfc:PflA506_5263
ko:K03630	pfc:PflA506_5265
ko:K13038	pfc:PflA506_5266
ko:K08303	pfc:PflA506_2093
ko:K00014	pfc:PflA506_2098
ko:K09915	pfc:PflA506_2100
ko:K07862	pfc:PflA506_2103
ko:K03717	pfc:PflA506_2105
ko:K01008	pfc:PflA506_2108
ko:K06917	pfc:PflA506_2109
ko:K07089	pfc:PflA506_2110
ko:K01698	pfc:PflA506_2114
ko:K01029	pfc:PflA506_2120
ko:K01028	pfc:PflA506_2121
ko:K01915	pfc:PflA506_2131
ko:K06969	pfc:PflA506_2914
ko:K01004	pfc:PflA506_2915
ko:K07090	pfc:PflA506_2917
ko:K03426	pfc:PflA506_2916
ko:K07039	pfc:PflA506_2919
ko:K00800	pfc:PflA506_2920
ko:K15736	pfc:PflA506_2928
ko:K05343	pfc:PflA506_2935
ko:K07507	pfc:PflA506_2938
ko:K07789	pfc:PflA506_2945
ko:K07788	pfc:PflA506_2946
ko:K07799	pfc:PflA506_2947
ko:K11065	pfc:PflA506_2948
ko:K10227	pfc:PflA506_2951
ko:K10228	pfc:PflA506_2952
ko:K10229	pfc:PflA506_2953
ko:K00847	pfc:PflA506_2957
ko:K01265	pfc:PflA506_2961
ko:K02401	pfc:PflA506_3729
ko:K02421	pfc:PflA506_3730
ko:K02420	pfc:PflA506_3731
ko:K02419	pfc:PflA506_3732
ko:K02418	pfc:PflA506_3733
ko:K02417	pfc:PflA506_3734
ko:K02416	pfc:PflA506_3735
ko:K02415	pfc:PflA506_3736
ko:K02413	pfc:PflA506_3741
ko:K02412	pfc:PflA506_3742
ko:K02411	pfc:PflA506_3743
ko:K02410	pfc:PflA506_3744
ko:K02409	pfc:PflA506_3745
ko:K02408	pfc:PflA506_3746
ko:K10941	pfc:PflA506_3749
ko:K02422	pfc:PflA506_3751
ko:K02407	pfc:PflA506_3752
ko:K02406	pfc:PflA506_3754
ko:K00648	pfc:PflA506_3755
ko:K02397	pfc:PflA506_3756
ko:K02396	pfc:PflA506_3757
ko:K02395	pfc:PflA506_3758
ko:K02394	pfc:PflA506_3759
ko:K02393	pfc:PflA506_3760
ko:K02392	pfc:PflA506_3761
ko:K02391	pfc:PflA506_3762
ko:K03721	pfc:PflA506_3763
ko:K00500	pfc:PflA506_3764
ko:K00832	pfc:PflA506_3766
ko:K07401	pfc:PflA506_3770
ko:K07001	pfc:PflA506_3771
ko:K03654	pfc:PflA506_3773
ko:K07039	pfc:PflA506_3774
ko:K09790	pfc:PflA506_3775
ko:K09760	pfc:PflA506_3777
ko:K02834	pfc:PflA506_4545
ko:K02519	pfc:PflA506_4546
ko:K02600	pfc:PflA506_4547
ko:K09748	pfc:PflA506_4548
ko:K03075	pfc:PflA506_4551
ko:K01803	pfc:PflA506_4552
ko:K03431	pfc:PflA506_4553
ko:K00796	pfc:PflA506_4554
ko:K03798	pfc:PflA506_4555
ko:K07574	pfc:PflA506_4557
ko:K03624	pfc:PflA506_4559
ko:K01955	pfc:PflA506_4560
ko:K01956	pfc:PflA506_4561
ko:K00215	pfc:PflA506_4562
ko:K03686	pfc:PflA506_4563
ko:K04043	pfc:PflA506_4564
ko:K03687	pfc:PflA506_4565
ko:K03631	pfc:PflA506_4566
ko:K06186	pfc:PflA506_4568
ko:K09801	pfc:PflA506_4569
ko:K03664	pfc:PflA506_4571
ko:K03303	pfc:PflA506_4573
ko:K01673	pfc:PflA506_0054
ko:K02275	pfc:PflA506_0057
ko:K02276	pfc:PflA506_0060
ko:K02259	pfc:PflA506_0064
ko:K07152	pfc:PflA506_0066
ko:K02073	pfc:PflA506_0067
ko:K02072	pfc:PflA506_0068
ko:K02071	pfc:PflA506_0069
ko:K03781	pfc:PflA506_0070
ko:K09816	pfc:PflA506_0072
ko:K09817	pfc:PflA506_0073
ko:K09823	pfc:PflA506_0074
ko:K02204	pfc:PflA506_0076
ko:K03978	pfc:PflA506_0079
ko:K03673	pfc:PflA506_0082
ko:K11066	pfc:PflA506_0085
ko:K11102	pfc:PflA506_0091
ko:K02065	pfc:PflA506_0095
ko:K02066	pfc:PflA506_0096
ko:K03324	pfc:PflA506_0099
ko:K03300	pfc:PflA506_0101
ko:K00765	pfc:PflA506_0882
ko:K00013	pfc:PflA506_0883
ko:K00817	pfc:PflA506_0884
ko:K00761	pfc:PflA506_0886
ko:K00760	pfc:PflA506_0887
ko:K00116	pfc:PflA506_0890
ko:K07286	pfc:PflA506_0892
ko:K03556	pfc:PflA506_0908
ko:K09857	pfc:PflA506_0909
ko:K06192	pfc:PflA506_0910
ko:K03808	pfc:PflA506_0911
ko:K03808	pfc:PflA506_0912
ko:K03271	pfc:PflA506_0916
ko:K07460	pfc:PflA506_0917
ko:K07121	pfc:PflA506_0918
ko:K07056	pfc:PflA506_0919
ko:K03925	pfc:PflA506_0921
ko:K03438	pfc:PflA506_0922
ko:K03586	pfc:PflA506_0923
ko:K03587	pfc:PflA506_0924
ko:K01928	pfc:PflA506_0925
ko:K01929	pfc:PflA506_0926
ko:K01000	pfc:PflA506_0927
ko:K01925	pfc:PflA506_0928
ko:K03588	pfc:PflA506_0929
ko:K02563	pfc:PflA506_0930
ko:K01924	pfc:PflA506_0931
ko:K01921	pfc:PflA506_0932
ko:K03589	pfc:PflA506_0933
ko:K03590	pfc:PflA506_0934
ko:K02237	pfc:PflA506_1718
ko:K09967	pfc:PflA506_1720
ko:K01546	pfc:PflA506_1723
ko:K01547	pfc:PflA506_1724
ko:K01548	pfc:PflA506_1725
ko:K07646	pfc:PflA506_1726
ko:K07667	pfc:PflA506_1727
ko:K07001	pfc:PflA506_1728
ko:K03424	pfc:PflA506_1736
ko:K15977	pfc:PflA506_1738
ko:K04760	pfc:PflA506_1744
ko:K02003	pfc:PflA506_1746
ko:K10804	pfc:PflA506_1747
ko:K06975	pfc:PflA506_1751
ko:K01626	pfc:PflA506_1752
ko:K00077	pfc:PflA506_1755
ko:K13634	pfc:PflA506_1758
ko:K02356	pfc:PflA506_1762
ko:K07090	pfc:PflA506_1767
ko:K06153	pfc:PflA506_2561
ko:K01118	pfc:PflA506_2565
ko:K10979	pfc:PflA506_2575
ko:K09958	pfc:PflA506_2578
ko:K00998	pfc:PflA506_2580
ko:K07224	pfc:PflA506_2581
ko:K07243	pfc:PflA506_2584
ko:K12340	pfc:PflA506_2590
ko:K03446	pfc:PflA506_2591
ko:K03543	pfc:PflA506_2592
ko:K10441	pfc:PflA506_3372
ko:K02003	pfc:PflA506_3378
ko:K07264	pfc:PflA506_3380
ko:K02508	pfc:PflA506_3393
ko:K05921	pfc:PflA506_3394
ko:K05921	pfc:PflA506_3395
ko:K00455	pfc:PflA506_3397
ko:K02509	pfc:PflA506_3400
ko:K06995	pfc:PflA506_3404
ko:K07006	pfc:PflA506_3417
ko:K03758	pfc:PflA506_4189
ko:K03758	pfc:PflA506_4190
ko:K00611	pfc:PflA506_4192
ko:K00926	pfc:PflA506_4193
ko:K02437	pfc:PflA506_4196
ko:K00281	pfc:PflA506_4197
ko:K01752	pfc:PflA506_4198
ko:K00605	pfc:PflA506_4199
ko:K03704	pfc:PflA506_4200
ko:K03517	pfc:PflA506_4202
ko:K11016	pfc:PflA506_4205
ko:K03543	pfc:PflA506_4209
ko:K01649	pfc:PflA506_4212
ko:K10026	pfc:PflA506_4214
ko:K03640	pfc:PflA506_4216
ko:K03641	pfc:PflA506_4217
ko:K03562	pfc:PflA506_4220
ko:K01075	pfc:PflA506_4221
ko:K03551	pfc:PflA506_4222
ko:K03550	pfc:PflA506_4223
ko:K01159	pfc:PflA506_4224
ko:K01876	pfc:PflA506_4226
ko:K04047	pfc:PflA506_4229
ko:K03704	pfc:PflA506_4230
ko:K03745	pfc:PflA506_4231
ko:K09767	pfc:PflA506_4235
ko:K00077	pfc:PflA506_4236
ko:K01434	pfc:PflA506_5131
ko:K11074	pfc:PflA506_5134
ko:K11075	pfc:PflA506_5135
ko:K11076	pfc:PflA506_5136
ko:K11073	pfc:PflA506_5137
ko:K11073	pfc:PflA506_5138
ko:K12256	pfc:PflA506_5139
ko:K01915	pfc:PflA506_5140
ko:K01915	pfc:PflA506_5143
ko:K15554	pfc:PflA506_5147
ko:K15553	pfc:PflA506_5149
ko:K00299	pfc:PflA506_5150
ko:K15551	pfc:PflA506_5153
ko:K14682	pfc:PflA506_5154
ko:K01438	pfc:PflA506_5155
ko:K05800	pfc:PflA506_5157
ko:K07340	pfc:PflA506_5161
ko:K02437	pfc:PflA506_5164
ko:K00605	pfc:PflA506_5165
ko:K02011	pfc:PflA506_5166
ko:K01814	pfc:PflA506_0316
ko:K02500	pfc:PflA506_0317
ko:K09798	pfc:PflA506_0319
ko:K03797	pfc:PflA506_0320
ko:K15633	pfc:PflA506_0322
ko:K03071	pfc:PflA506_0325
ko:K03216	pfc:PflA506_0326
ko:K07712	pfc:PflA506_0329
ko:K15726	pfc:PflA506_0680
ko:K07644	pfc:PflA506_0681
ko:K01921	pfc:PflA506_0689
ko:K04058	pfc:PflA506_0695
ko:K03230	pfc:PflA506_0696
ko:K03220	pfc:PflA506_0697
ko:K03224	pfc:PflA506_0698
ko:K03225	pfc:PflA506_0701
ko:K03226	pfc:PflA506_0702
ko:K03228	pfc:PflA506_0704
ko:K03229	pfc:PflA506_0705
ko:K03219	pfc:PflA506_0708
ko:K03223	pfc:PflA506_0711
ko:K03222	pfc:PflA506_0713
ko:K06942	pfc:PflA506_0717
ko:K01056	pfc:PflA506_0718
ko:K02897	pfc:PflA506_0719
ko:K00948	pfc:PflA506_0720
ko:K00919	pfc:PflA506_0722
ko:K02494	pfc:PflA506_0723
ko:K02492	pfc:PflA506_0725
ko:K02835	pfc:PflA506_0726
ko:K02493	pfc:PflA506_0727
ko:K01776	pfc:PflA506_0729
ko:K03449	pfc:PflA506_1515
ko:K01652	pfc:PflA506_1516
ko:K07118	pfc:PflA506_1518
ko:K00481	pfc:PflA506_1523
ko:K01725	pfc:PflA506_1526
ko:K01673	pfc:PflA506_1527
ko:K11921	pfc:PflA506_1528
ko:K01713	pfc:PflA506_1529
ko:K01915	pfc:PflA506_1530
ko:K03684	pfc:PflA506_1532
ko:K09902	pfc:PflA506_1533
ko:K09160	pfc:PflA506_1536
ko:K01354	pfc:PflA506_1542
ko:K07708	pfc:PflA506_0330
ko:K01915	pfc:PflA506_0332
ko:K03151	pfc:PflA506_0333
ko:K06207	pfc:PflA506_0334
ko:K06940	pfc:PflA506_0335
ko:K00688	pfc:PflA506_0336
ko:K03841	pfc:PflA506_0337
ko:K03098	pfc:PflA506_0341
ko:K05836	pfc:PflA506_0343
ko:K09975	pfc:PflA506_0344
ko:K01712	pfc:PflA506_0345
ko:K02002	pfc:PflA506_0347
ko:K02001	pfc:PflA506_0348
ko:K02000	pfc:PflA506_0349
ko:K01745	pfc:PflA506_0350
ko:K01745	pfc:PflA506_0351
ko:K01468	pfc:PflA506_0353
ko:K07560	pfc:PflA506_0357
ko:K03670	pfc:PflA506_0358
ko:K03669	pfc:PflA506_0359
ko:K03565	pfc:PflA506_1163
ko:K06966	pfc:PflA506_1164
ko:K00901	pfc:PflA506_1168
ko:K00528	pfc:PflA506_1170
ko:K06182	pfc:PflA506_1173
ko:K03827	pfc:PflA506_1174
ko:K14441	pfc:PflA506_1175
ko:K03549	pfc:PflA506_1178
ko:K13487	pfc:PflA506_1184
ko:K13488	pfc:PflA506_1185
ko:K13486	pfc:PflA506_1186
ko:K13489	pfc:PflA506_1187
ko:K13491	pfc:PflA506_1189
ko:K11444	pfc:PflA506_1190
ko:K02836	pfc:PflA506_1191
ko:K04567	pfc:PflA506_1192
ko:K03088	pfc:PflA506_1985
ko:K03088	pfc:PflA506_1993
ko:K10974	pfc:PflA506_2006
ko:K01737	pfc:PflA506_2007
ko:K04080	pfc:PflA506_2813
ko:K12658	pfc:PflA506_2818
ko:K00703	pfc:PflA506_2848
ko:K01236	pfc:PflA506_2849
ko:K00705	pfc:PflA506_2850
ko:K06044	pfc:PflA506_2851
ko:K15461	pfc:PflA506_3630
ko:K01953	pfc:PflA506_3631
ko:K03563	pfc:PflA506_3635
ko:K13776	pfc:PflA506_3642
ko:K08967	pfc:PflA506_3645
ko:K05820	pfc:PflA506_3646
ko:K01736	pfc:PflA506_3647
ko:K07320	pfc:PflA506_3650
ko:K01495	pfc:PflA506_3654
ko:K03300	pfc:PflA506_3658
ko:K06901	pfc:PflA506_3661
ko:K07127	pfc:PflA506_3664
ko:K01477	pfc:PflA506_3667
ko:K01483	pfc:PflA506_3668
ko:K07001	pfc:PflA506_3672
ko:K02517	pfc:PflA506_3673
ko:K03610	pfc:PflA506_3674
ko:K03609	pfc:PflA506_3675
ko:K03608	pfc:PflA506_3676
ko:K06205	pfc:PflA506_4444
ko:K09932	pfc:PflA506_4448
ko:K13938	pfc:PflA506_4449
ko:K01495	pfc:PflA506_4450
ko:K07589	pfc:PflA506_4451
ko:K09948	pfc:PflA506_4452
ko:K06203	pfc:PflA506_4455
ko:K00432	pfc:PflA506_4459
ko:K05805	pfc:PflA506_4460
ko:K00931	pfc:PflA506_4461
ko:K03979	pfc:PflA506_4462
ko:K02899	pfc:PflA506_4463
ko:K02888	pfc:PflA506_4464
ko:K02523	pfc:PflA506_4465
ko:K06193	pfc:PflA506_4466
ko:K03773	pfc:PflA506_4468
ko:K06015	pfc:PflA506_4471
ko:K07090	pfc:PflA506_4478
ko:K01556	pfc:PflA506_4480
ko:K03381	pfc:PflA506_4482
ko:K03464	pfc:PflA506_4483
ko:K00453	pfc:PflA506_4491
ko:K07130	pfc:PflA506_4492
ko:K02029	pfc:PflA506_5369
ko:K07154	pfc:PflA506_5371
ko:K01960	pfc:PflA506_5374
ko:K03657	pfc:PflA506_5379
ko:K00868	pfc:PflA506_5384
ko:K06204	pfc:PflA506_5389
ko:K01448	pfc:PflA506_5390
ko:K09007	pfc:PflA506_5392
ko:K01465	pfc:PflA506_5398
ko:K06131	pfc:PflA506_5399
ko:K00574	pfc:PflA506_5400
ko:K09930	pfc:PflA506_5402
ko:K04087	pfc:PflA506_5406
ko:K00995	pfc:PflA506_5408
ko:K00981	pfc:PflA506_5413
ko:K00820	pfc:PflA506_5415
ko:K04042	pfc:PflA506_5417
ko:K02114	pfc:PflA506_5418
ko:K07160	pfc:PflA506_1548
ko:K09989	pfc:PflA506_1551
ko:K01738	pfc:PflA506_1554
ko:K01681	pfc:PflA506_1556
ko:K06968	pfc:PflA506_1557
ko:K03327	pfc:PflA506_1558
ko:K03473	pfc:PflA506_1560
ko:K01083	pfc:PflA506_2347
ko:K03562	pfc:PflA506_2348
ko:K15553	pfc:PflA506_2352
ko:K01356	pfc:PflA506_2360
ko:K14161	pfc:PflA506_2362
ko:K03701	pfc:PflA506_2365
ko:K00615	pfc:PflA506_2366
ko:K09794	pfc:PflA506_2367
ko:K05879	pfc:PflA506_2376
ko:K05878	pfc:PflA506_2377
ko:K01808	pfc:PflA506_2383
ko:K02029	pfc:PflA506_2387
ko:K02029	pfc:PflA506_2388
ko:K00874	pfc:PflA506_2393
ko:K02742	pfc:PflA506_3170
ko:K07235	pfc:PflA506_3172
ko:K07236	pfc:PflA506_3173
ko:K07237	pfc:PflA506_3174
ko:K02302	pfc:PflA506_3178
ko:K01875	pfc:PflA506_3179
ko:K06199	pfc:PflA506_3180
ko:K07478	pfc:PflA506_3181
ko:K03634	pfc:PflA506_3182
ko:K03466	pfc:PflA506_3183
ko:K00684	pfc:PflA506_3184
ko:K02518	pfc:PflA506_3186
ko:K03694	pfc:PflA506_3187
ko:K06891	pfc:PflA506_3188
ko:K03704	pfc:PflA506_3189
ko:K00031	pfc:PflA506_3190
ko:K00031	pfc:PflA506_3191
ko:K00566	pfc:PflA506_3193
ko:K07153	pfc:PflA506_3194
ko:K01756	pfc:PflA506_3195
ko:K01637	pfc:PflA506_3199
ko:K00330	pfc:PflA506_3200
ko:K00331	pfc:PflA506_3201
ko:K13378	pfc:PflA506_3202
ko:K00334	pfc:PflA506_3203
ko:K00337	pfc:PflA506_3206
ko:K00338	pfc:PflA506_3207
ko:K00339	pfc:PflA506_3208
ko:K00340	pfc:PflA506_3209
ko:K00341	pfc:PflA506_3210
ko:K00342	pfc:PflA506_3211
ko:K00343	pfc:PflA506_3212
ko:K07726	pfc:PflA506_3214
ko:K00675	pfc:PflA506_3216
ko:K00311	pfc:PflA506_3983
ko:K13979	pfc:PflA506_3985
ko:K10538	pfc:PflA506_3987
ko:K10539	pfc:PflA506_3988
ko:K10537	pfc:PflA506_3989
ko:K09986	pfc:PflA506_4000
ko:K03639	pfc:PflA506_4002
ko:K03424	pfc:PflA506_4005
ko:K02341	pfc:PflA506_4006
ko:K00943	pfc:PflA506_4007
ko:K07082	pfc:PflA506_4008
ko:K09458	pfc:PflA506_4010
ko:K02078	pfc:PflA506_4011
ko:K00645	pfc:PflA506_4013
ko:K03621	pfc:PflA506_4014
ko:K02911	pfc:PflA506_4015
ko:K07040	pfc:PflA506_4016
ko:K04773	pfc:PflA506_4018
ko:K01091	pfc:PflA506_4019
ko:K08300	pfc:PflA506_4021
ko:K07141	pfc:PflA506_4022
ko:K07402	pfc:PflA506_4023
ko:K11103	pfc:PflA506_4024
ko:K07637	pfc:PflA506_4026
ko:K02362	pfc:PflA506_4029
ko:K07639	pfc:PflA506_4030
ko:K07661	pfc:PflA506_4031
ko:K02919	pfc:PflA506_4801
ko:K03076	pfc:PflA506_4802
ko:K02876	pfc:PflA506_4803
ko:K02907	pfc:PflA506_4804
ko:K02988	pfc:PflA506_4805
ko:K02881	pfc:PflA506_4806
ko:K02933	pfc:PflA506_4807
ko:K02994	pfc:PflA506_4808
ko:K02954	pfc:PflA506_4809
ko:K02931	pfc:PflA506_4810
ko:K02895	pfc:PflA506_4811
ko:K02874	pfc:PflA506_4812
ko:K02961	pfc:PflA506_4813
ko:K02904	pfc:PflA506_4814
ko:K02878	pfc:PflA506_4815
ko:K02982	pfc:PflA506_4816
ko:K02890	pfc:PflA506_4817
ko:K02965	pfc:PflA506_4818
ko:K02886	pfc:PflA506_4819
ko:K02892	pfc:PflA506_4820
ko:K02926	pfc:PflA506_4821
ko:K02906	pfc:PflA506_4822
ko:K02946	pfc:PflA506_4823
ko:K02358	pfc:PflA506_4824
ko:K02355	pfc:PflA506_4825
ko:K02992	pfc:PflA506_4826
ko:K02950	pfc:PflA506_4827
ko:K03046	pfc:PflA506_4828
ko:K03043	pfc:PflA506_4829
ko:K02935	pfc:PflA506_4831
ko:K02864	pfc:PflA506_4832
ko:K02863	pfc:PflA506_4833
ko:K02867	pfc:PflA506_4834
ko:K02601	pfc:PflA506_4835
ko:K03073	pfc:PflA506_4836
ko:K03525	pfc:PflA506_4842
ko:K03524	pfc:PflA506_4843
ko:K01866	pfc:PflA506_4849
ko:K09001	pfc:PflA506_4851
ko:K15724	pfc:PflA506_4852
ko:K00479	pfc:PflA506_4954
ko:K02456	pfc:PflA506_4955
ko:K03521	pfc:PflA506_4957
ko:K03522	pfc:PflA506_4958
ko:K01273	pfc:PflA506_4962
ko:K05895	pfc:PflA506_0582
ko:K02229	pfc:PflA506_0584
ko:K06042	pfc:PflA506_0585
ko:K03394	pfc:PflA506_0586
ko:K13541	pfc:PflA506_0587
ko:K01945	pfc:PflA506_0591
ko:K00602	pfc:PflA506_0592
ko:K03557	pfc:PflA506_0593
ko:K02687	pfc:PflA506_0596
ko:K01961	pfc:PflA506_0597
ko:K02160	pfc:PflA506_0598
ko:K03786	pfc:PflA506_0599
ko:K03113	pfc:PflA506_0604
ko:K03327	pfc:PflA506_0606
ko:K06894	pfc:PflA506_0607
ko:K05367	pfc:PflA506_0609
ko:K06219	pfc:PflA506_0611
ko:K02278	pfc:PflA506_0618
ko:K12511	pfc:PflA506_0622
ko:K12510	pfc:PflA506_0623
ko:K02283	pfc:PflA506_0624
ko:K02282	pfc:PflA506_0625
ko:K02280	pfc:PflA506_0626
ko:K09159	pfc:PflA506_1397
ko:K00278	pfc:PflA506_1398
ko:K03088	pfc:PflA506_1400
ko:K03597	pfc:PflA506_1401
ko:K03598	pfc:PflA506_1402
ko:K03564	pfc:PflA506_1406
ko:K03567	pfc:PflA506_1407
ko:K01714	pfc:PflA506_1408
ko:K07287	pfc:PflA506_1409
ko:K01923	pfc:PflA506_1411
ko:K10537	pfc:PflA506_2250
ko:K10539	pfc:PflA506_2251
ko:K10538	pfc:PflA506_2252
ko:K02529	pfc:PflA506_2264
ko:K07223	pfc:PflA506_2270
ko:K06153	pfc:PflA506_2269
ko:K10680	pfc:PflA506_2275
ko:K15977	pfc:PflA506_2277
ko:K03762	pfc:PflA506_2284
ko:K06999	pfc:PflA506_2287
ko:K01761	pfc:PflA506_2292
ko:K07152	pfc:PflA506_3071
ko:K06911	pfc:PflA506_3078
ko:K06160	pfc:PflA506_3088
ko:K02053	pfc:PflA506_3100
ko:K00303	pfc:PflA506_3103
ko:K08281	pfc:PflA506_3105
ko:K05517	pfc:PflA506_3109
ko:K09936	pfc:PflA506_3114
ko:K09936	pfc:PflA506_3115
ko:K03322	pfc:PflA506_3117
ko:K02343	pfc:PflA506_3880
ko:K01972	pfc:PflA506_3888
ko:K03528	pfc:PflA506_3889
ko:K03529	pfc:PflA506_3890
ko:K13481	pfc:PflA506_3892
ko:K13482	pfc:PflA506_3893
ko:K07402	pfc:PflA506_3894
ko:K05782	pfc:PflA506_3897
ko:K09923	pfc:PflA506_3898
ko:K07259	pfc:PflA506_3899
ko:K12297	pfc:PflA506_3901
ko:K02575	pfc:PflA506_3909
ko:K00362	pfc:PflA506_3912
ko:K00363	pfc:PflA506_3913
ko:K00372	pfc:PflA506_3914
ko:K03088	pfc:PflA506_3917
ko:K16074	pfc:PflA506_3920
ko:K02553	pfc:PflA506_3921
ko:K09773	pfc:PflA506_3924
ko:K01738	pfc:PflA506_3928
ko:K00640	pfc:PflA506_3929
ko:K03820	pfc:PflA506_4699
ko:K01869	pfc:PflA506_4702
ko:K03643	pfc:PflA506_4703
ko:K02340	pfc:PflA506_4704
ko:K09890	pfc:PflA506_4705
ko:K03644	pfc:PflA506_4708
ko:K03801	pfc:PflA506_4709
ko:K09158	pfc:PflA506_4710
ko:K03642	pfc:PflA506_4712
ko:K05837	pfc:PflA506_4714
ko:K05515	pfc:PflA506_4715
ko:K00783	pfc:PflA506_4716
ko:K09710	pfc:PflA506_4717
ko:K00969	pfc:PflA506_4718
ko:K00147	pfc:PflA506_4719
ko:K03652	pfc:PflA506_4720
ko:K07157	pfc:PflA506_4723
ko:K03186	pfc:PflA506_4730
ko:K02558	pfc:PflA506_4731
ko:K03735	pfc:PflA506_4736
ko:K03736	pfc:PflA506_4737
ko:K03975	pfc:PflA506_4739
ko:K09933	pfc:PflA506_4740
ko:K08989	pfc:PflA506_4747
ko:K10716	pfc:PflA506_4749
ko:K03449	pfc:PflA506_0216
ko:K03832	pfc:PflA506_0220
ko:K03561	pfc:PflA506_0221
ko:K07002	pfc:PflA506_0224
ko:K02073	pfc:PflA506_0226
