ko:K18205	bbrv:B689b_0230
ko:K10439	bbrv:B689b_1432
ko:K10440	bbrv:B689b_1433
ko:K10441	bbrv:B689b_1434
ko:K02529	bbrv:B689b_1435
ko:K00852	bbrv:B689b_1438
ko:K01091	bbrv:B689b_1440
ko:K01250	bbrv:B689b_1441
ko:K01817	bbrv:B689b_1443
ko:K16787	bbrv:B689b_1444
ko:K16786	bbrv:B689b_1445
ko:K16785	bbrv:B689b_1446
ko:K16923	bbrv:B689b_1447
ko:K00852	bbrv:B689b_1448
ko:K01951	bbrv:B689b_0807
ko:K04042	bbrv:B689b_0809
ko:K09710	bbrv:B689b_0810
ko:K02073	bbrv:B689b_0813
ko:K02071	bbrv:B689b_0814
ko:K02072	bbrv:B689b_0815
ko:K01950	bbrv:B689b_0817
ko:K00656	bbrv:B689b_0819
ko:K04069	bbrv:B689b_0820
ko:K03684	bbrv:B689b_0822
ko:K03545	bbrv:B689b_0823
ko:K01358	bbrv:B689b_0826
ko:K01358	bbrv:B689b_0827
ko:K03544	bbrv:B689b_0828
ko:K14155	bbrv:B689b_0829
ko:K03313	bbrv:B689b_0830
ko:K06966	bbrv:B689b_0831
ko:K00240	bbrv:B689b_0833
ko:K00239	bbrv:B689b_0834
ko:K04096	bbrv:B689b_0835
ko:K07391	bbrv:B689b_0836
ko:K07460	bbrv:B689b_0837
ko:K00868	bbrv:B689b_0839
ko:K01740	bbrv:B689b_0840
ko:K02003	bbrv:B689b_0841
ko:K02004	bbrv:B689b_0842
ko:K02931	bbrv:B689b_1658
ko:K02895	bbrv:B689b_1659
ko:K02874	bbrv:B689b_1660
ko:K02961	bbrv:B689b_1661
ko:K02904	bbrv:B689b_1662
ko:K02878	bbrv:B689b_1663
ko:K02982	bbrv:B689b_1664
ko:K02890	bbrv:B689b_1665
ko:K02965	bbrv:B689b_1666
ko:K02886	bbrv:B689b_1667
ko:K02892	bbrv:B689b_1668
ko:K02926	bbrv:B689b_1669
ko:K02906	bbrv:B689b_1670
ko:K02946	bbrv:B689b_1671
ko:K01575	bbrv:B689b_1672
ko:K04072	bbrv:B689b_1674
ko:K05351	bbrv:B689b_1676
ko:K02996	bbrv:B689b_1683
ko:K02871	bbrv:B689b_1684
ko:K00705	bbrv:B689b_1685
ko:K07282	bbrv:B689b_1689
ko:K05350	bbrv:B689b_1690
ko:K02026	bbrv:B689b_1691
ko:K02025	bbrv:B689b_1692
ko:K02027	bbrv:B689b_1693
ko:K02346	bbrv:B689b_1698
ko:K03294	bbrv:B689b_1701
ko:K00075	bbrv:B689b_1702
ko:K02913	bbrv:B689b_1703
ko:K04078	bbrv:B689b_1704
ko:K03790	bbrv:B689b_1706
ko:K03975	bbrv:B689b_0120
ko:K02283	bbrv:B689b_0122
ko:K12510	bbrv:B689b_0123
ko:K02343	bbrv:B689b_0130
ko:K06187	bbrv:B689b_0131
ko:K07284	bbrv:B689b_0132
ko:K03655	bbrv:B689b_0134
ko:K00928	bbrv:B689b_0135
ko:K00928	bbrv:B689b_0136
ko:K00133	bbrv:B689b_0137
ko:K00845	bbrv:B689b_0140
ko:K01788	bbrv:B689b_0141
ko:K02035	bbrv:B689b_0143
ko:K02033	bbrv:B689b_0144
ko:K02031	bbrv:B689b_0145
ko:K02034	bbrv:B689b_0145
ko:K01714	bbrv:B689b_0147
ko:K02564	bbrv:B689b_0148
ko:K01186	bbrv:B689b_0150
ko:K07133	bbrv:B689b_0151
ko:K01649	bbrv:B689b_0154
ko:K03168	bbrv:B689b_0157
ko:K00943	bbrv:B689b_0158
ko:K02341	bbrv:B689b_0159
ko:K02529	bbrv:B689b_0160
ko:K11189	bbrv:B689b_0161
ko:K08483	bbrv:B689b_0163
ko:K06910	bbrv:B689b_0166
ko:K08659	bbrv:B689b_0167
ko:K01938	bbrv:B689b_0168
ko:K01885	bbrv:B689b_0177
ko:K00615	bbrv:B689b_1019
ko:K03705	bbrv:B689b_1020
ko:K03686	bbrv:B689b_1021
ko:K06153	bbrv:B689b_1023
ko:K01868	bbrv:B689b_1025
ko:K01159	bbrv:B689b_1028
ko:K03550	bbrv:B689b_1029
ko:K03551	bbrv:B689b_1030
ko:K01126	bbrv:B689b_0617
ko:K05813	bbrv:B689b_0618
ko:K05815	bbrv:B689b_0619
ko:K05814	bbrv:B689b_0620
ko:K03306	bbrv:B689b_0621
ko:K03701	bbrv:B689b_0625
ko:K07457	bbrv:B689b_0627
ko:K01183	bbrv:B689b_0635
ko:K02069	bbrv:B689b_0637
ko:K02068	bbrv:B689b_0638
ko:K02356	bbrv:B689b_0639
ko:K03625	bbrv:B689b_0640
ko:K01956	bbrv:B689b_0641
ko:K01955	bbrv:B689b_0642
ko:K01591	bbrv:B689b_0643
ko:K00942	bbrv:B689b_0644
ko:K02342	bbrv:B689b_0645
ko:K06999	bbrv:B689b_0648
ko:K01760	bbrv:B689b_0649
ko:K01776	bbrv:B689b_0655
ko:K01778	bbrv:B689b_0656
ko:K07053	bbrv:B689b_0658
ko:K03657	bbrv:B689b_0661
ko:K07177	bbrv:B689b_0663
ko:K00099	bbrv:B689b_0666
ko:K03584	bbrv:B689b_0669
ko:K00806	bbrv:B689b_0670
ko:K16784	bbrv:B689b_0674
ko:K01187	bbrv:B689b_1502
ko:K00088	bbrv:B689b_1506
ko:K02851	bbrv:B689b_1507
ko:K01996	bbrv:B689b_1509
ko:K01995	bbrv:B689b_1510
ko:K01998	bbrv:B689b_1511
ko:K01997	bbrv:B689b_1512
ko:K01999	bbrv:B689b_1513
ko:K02493	bbrv:B689b_1514
ko:K02835	bbrv:B689b_1515
ko:K02909	bbrv:B689b_1516
ko:K01462	bbrv:B689b_1519
ko:K00845	bbrv:B689b_1523
ko:K10805	bbrv:B689b_1526
ko:K13940	bbrv:B689b_1528
ko:K00796	bbrv:B689b_1529
ko:K01495	bbrv:B689b_1530
ko:K03798	bbrv:B689b_1531
ko:K00760	bbrv:B689b_1532
ko:K04075	bbrv:B689b_1533
ko:K07259	bbrv:B689b_1534
ko:K01992	bbrv:B689b_1535
ko:K01990	bbrv:B689b_1536
ko:K00048	bbrv:B689b_1540
ko:K00574	bbrv:B689b_1541
ko:K03439	bbrv:B689b_1542
ko:K03210	bbrv:B689b_1031
ko:K00759	bbrv:B689b_1032
ko:K01903	bbrv:B689b_1033
ko:K01902	bbrv:B689b_1034
ko:K00602	bbrv:B689b_1036
ko:K06188	bbrv:B689b_1038
ko:K06178	bbrv:B689b_1039
ko:K03977	bbrv:B689b_1040
ko:K00963	bbrv:B689b_1042
ko:K03727	bbrv:B689b_1045
ko:K01091	bbrv:B689b_1047
ko:K00765	bbrv:B689b_1056
ko:K01523	bbrv:B689b_1057
ko:K01783	bbrv:B689b_1058
ko:K01695	bbrv:B689b_1060
ko:K01696	bbrv:B689b_1061
ko:K01151	bbrv:B689b_1063
ko:K04127	bbrv:B689b_1067
ko:K03734	bbrv:B689b_1865
ko:K06147	bbrv:B689b_1866
ko:K02004	bbrv:B689b_1870
ko:K02003	bbrv:B689b_1871
ko:K10119	bbrv:B689b_1874
ko:K10118	bbrv:B689b_1875
ko:K10117	bbrv:B689b_1877
ko:K01421	bbrv:B689b_1881
ko:K01421	bbrv:B689b_1882
ko:K12410	bbrv:B689b_1886
ko:K01754	bbrv:B689b_1887
ko:K01182	bbrv:B689b_1888
ko:K10119	bbrv:B689b_1889
ko:K10118	bbrv:B689b_1890
ko:K10117	bbrv:B689b_1891
ko:K07407	bbrv:B689b_1893
ko:K11991	bbrv:B689b_1894
ko:K03316	bbrv:B689b_1895
ko:K07090	bbrv:B689b_1896
ko:K06999	bbrv:B689b_1897
ko:K01494	bbrv:B689b_1899
ko:K02803	bbrv:B689b_1904
ko:K02804	bbrv:B689b_1904
ko:K03218	bbrv:B689b_1906
ko:K01792	bbrv:B689b_1907
ko:K00965	bbrv:B689b_1908
ko:K10112	bbrv:B689b_1910
ko:K03710	bbrv:B689b_1911
ko:K03475	bbrv:B689b_1912
ko:K02822	bbrv:B689b_1913
ko:K02821	bbrv:B689b_1914
ko:K02027	bbrv:B689b_0345
ko:K02025	bbrv:B689b_0346
ko:K02026	bbrv:B689b_0347
ko:K07133	bbrv:B689b_0348
ko:K00567	bbrv:B689b_0352
ko:K00997	bbrv:B689b_0353
ko:K05341	bbrv:B689b_0354
ko:K02956	bbrv:B689b_0362
ko:K00962	bbrv:B689b_0363
ko:K02003	bbrv:B689b_0365
ko:K03744	bbrv:B689b_0368
ko:K02860	bbrv:B689b_0375
ko:K06960	bbrv:B689b_0376
ko:K02959	bbrv:B689b_0377
ko:K03106	bbrv:B689b_0379
ko:K16235	bbrv:B689b_1064
ko:K14218	bbrv:B689b_tRNA1
ko:K14218	bbrv:B689b_tRNA22
ko:K14218	bbrv:B689b_tRNA23
ko:K14228	bbrv:B689b_tRNA3
ko:K14228	bbrv:B689b_tRNA13
ko:K14229	bbrv:B689b_tRNA8
ko:K14229	bbrv:B689b_tRNA9
ko:K14230	bbrv:B689b_tRNA10
ko:K14219	bbrv:B689b_tRNA11
ko:K14219	bbrv:B689b_tRNA24
ko:K14219	bbrv:B689b_tRNA25
ko:K14219	bbrv:B689b_tRNA35
ko:K14234	bbrv:B689b_tRNA14
ko:K14226	bbrv:B689b_tRNA16
ko:K14237	bbrv:B689b_tRNA17
ko:K14237	bbrv:B689b_tRNA29
ko:K14237	bbrv:B689b_tRNA49
ko:K14232	bbrv:B689b_tRNA32
ko:K14232	bbrv:B689b_tRNA41
ko:K14235	bbrv:B689b_tRNA51
ko:K14222	bbrv:B689b_tRNA28
ko:K01980	bbrv:B689b_rRNA23S1
ko:K01980	bbrv:B689b_rRNA23S2
ko:K14228	bbrv:B689b_tRNA18
ko:K14228	bbrv:B689b_tRNA19
ko:K14228	bbrv:B689b_tRNA26
ko:K14225	bbrv:B689b_tRNA4
ko:K14225	bbrv:B689b_tRNA12
ko:K14225	bbrv:B689b_tRNA27
ko:K14225	bbrv:B689b_tRNA31
ko:K14225	bbrv:B689b_tRNA50
ko:K14224	bbrv:B689b_tRNA5
ko:K14223	bbrv:B689b_tRNA6
ko:K14223	bbrv:B689b_tRNA21
ko:K01977	bbrv:B689b_rRNA16S2
ko:K01977	bbrv:B689b_rRNA16S1
ko:K14221	bbrv:B689b_tRNA37
ko:K14221	bbrv:B689b_tRNA39
ko:K14231	bbrv:B689b_tRNA38
ko:K14233	bbrv:B689b_tRNA42
ko:K14233	bbrv:B689b_tRNA43
ko:K14233	bbrv:B689b_tRNA44
ko:K14227	bbrv:B689b_tRNA2
ko:K14233	bbrv:B689b_tRNA7
ko:K14230	bbrv:B689b_tRNA36
ko:K14237	bbrv:B689b_tRNA30
ko:K14237	bbrv:B689b_tRNA48
ko:K14232	bbrv:B689b_tRNA20
ko:K01985	bbrv:B689b_rRNA5S1
ko:K01985	bbrv:B689b_rRNA5S2
ko:K03574	bbrv:B689b_1802
ko:K13059	bbrv:B689b_1615
ko:K14220	bbrv:B689b_tRNA33
ko:K14220	bbrv:B689b_tRNA34
ko:K14234	bbrv:B689b_tRNA46
ko:K14234	bbrv:B689b_tRNA53
ko:K14236	bbrv:B689b_tRNA47
ko:K14218	bbrv:B689b_tRNA52
ko:K14219	bbrv:B689b_tRNA15
ko:K14230	bbrv:B689b_tRNA45
ko:K03710	bbrv:B689b_0547
ko:K01214	bbrv:B689b_0780
ko:K06147	bbrv:B689b_0412
ko:K03496	bbrv:B689b_1548
ko:K03205	bbrv:B689b_1564
ko:K03497	bbrv:B689b_1574
ko:K07473	bbrv:B689b_0905
ko:K07473	bbrv:B689b_1081
ko:K03497	bbrv:B689b_1940
ko:K03496	bbrv:B689b_1941
ko:K03111	bbrv:B689b_0234
ko:K03496	bbrv:B689b_1251
ko:K08168	bbrv:B689b_1437
ko:K03502	bbrv:B689b_0581
ko:K03111	bbrv:B689b_1496
ko:K03976	bbrv:B689b_1263
ko:K07483	bbrv:B689b_0798
ko:K07483	bbrv:B689b_0193
ko:K03526	bbrv:B689b_0667
ko:K07816	bbrv:B689b_1215
ko:K00067	bbrv:B689b_1835
ko:K01790	bbrv:B689b_1835
ko:K01710	bbrv:B689b_1836
ko:K07062	bbrv:B689b_0384
ko:K19157	bbrv:B689b_1082
ko:K01621	bbrv:B689b_0808
ko:K19265	bbrv:B689b_0394
ko:K01239	bbrv:B689b_0374
ko:K01785	bbrv:B689b_1266
ko:K01990	bbrv:B689b_0881
ko:K12952	bbrv:B689b_1221
ko:K08217	bbrv:B689b_0870
ko:K01785	bbrv:B689b_1265
ko:K08156	bbrv:B689b_1606
ko:K16960	bbrv:B689b_1793
ko:K20459	bbrv:B689b_1129
ko:K00526	bbrv:B689b_1918
ko:K19710	bbrv:B689b_1026
ko:K08744	bbrv:B689b_1055
ko:K02538	bbrv:B689b_1412
ko:K19955	bbrv:B689b_1439
ko:K18907	bbrv:B689b_1366
ko:K02777	bbrv:B689b_1782
ko:K20107	bbrv:B689b_1782
ko:K20108	bbrv:B689b_1782
ko:K12132	bbrv:B689b_0054
ko:K12132	bbrv:B689b_1199
ko:K12132	bbrv:B689b_0055
ko:K20074	bbrv:B689b_0058
ko:K20444	bbrv:B689b_1831
ko:K20461	bbrv:B689b_1131
ko:K20460	bbrv:B689b_1130
ko:K01214	bbrv:B689b_1682
ko:K01200	bbrv:B689b_0111
ko:K20814	bbrv:B689b_1406
ko:K21011	bbrv:B689b_0029
ko:K21012	bbrv:B689b_0030
ko:K00821	bbrv:B689b_0696
ko:K21636	bbrv:B689b_1477
ko:K00287	bbrv:B689b_1592
ko:K00560	bbrv:B689b_1593
ko:K06217	bbrv:B689b_0928
ko:K00558	bbrv:B689b_0196
ko:K02314	bbrv:B689b_0225
ko:K06191	bbrv:B689b_1922
ko:K01520	bbrv:B689b_1182
ko:K06904	bbrv:B689b_0301
ko:K03553	bbrv:B689b_1206
ko:K02316	bbrv:B689b_0542
ko:K04068	bbrv:B689b_1476
ko:K02031	bbrv:B689b_1467
ko:K02031	bbrv:B689b_0514
ko:K02032	bbrv:B689b_0515
ko:K02032	bbrv:B689b_0146
ko:K00525	bbrv:B689b_1920
ko:K02335	bbrv:B689b_0777
ko:K03293	bbrv:B689b_1869
ko:K21471	bbrv:B689b_0496
ko:K03293	bbrv:B689b_1872
ko:K05364	bbrv:B689b_0056
ko:K21495	bbrv:B689b_0385
ko:K21600	bbrv:B689b_0250
ko:K10914	bbrv:B689b_0465
ko:K21739	bbrv:B689b_1627
ko:K00936	bbrv:B689b_0751
ko:K22010	bbrv:B689b_0776
ko:K03595	bbrv:B689b_0931
ko:K22306	bbrv:B689b_0811
ko:K22397	bbrv:B689b_1768
ko:K22397	bbrv:B689b_1318
ko:K08300	bbrv:B689b_1765
ko:K08301	bbrv:B689b_1765
