ko:K18893	babo:DK55_1517
ko:K00382	babo:DK55_1861
ko:K00658	babo:DK55_1865
ko:K00164	babo:DK55_1866
ko:K01902	babo:DK55_1867
ko:K01903	babo:DK55_1868
ko:K00024	babo:DK55_1869
ko:K06916	babo:DK55_1870
ko:K01778	babo:DK55_1872
ko:K03110	babo:DK55_1874
ko:K06190	babo:DK55_1875
ko:K01069	babo:DK55_1876
ko:K10823	babo:DK55_2670
ko:K15583	babo:DK55_2670
ko:K03919	babo:DK55_2671
ko:K08369	babo:DK55_2674
ko:K01266	babo:DK55_2675
ko:K03466	babo:DK55_2676
ko:K14998	babo:DK55_2679
ko:K00382	babo:DK55_2678
ko:K09699	babo:DK55_2680
ko:K00167	babo:DK55_2681
ko:K00166	babo:DK55_2682
ko:K10111	babo:DK55_2683
ko:K10119	babo:DK55_2685
ko:K10118	babo:DK55_2686
ko:K10117	babo:DK55_2687
ko:K10117	babo:DK55_2688
ko:K03710	babo:DK55_2690
ko:K00426	babo:DK55_2692
ko:K00425	babo:DK55_2693
ko:K16012	babo:DK55_2694
ko:K16013	babo:DK55_2695
ko:K05564	babo:DK55_2697
ko:K05563	babo:DK55_2698
ko:K05562	babo:DK55_2699
ko:K05561	babo:DK55_2700
ko:K05560	babo:DK55_2701
ko:K05559	babo:DK55_2702
ko:K07078	babo:DK55_2704
ko:K03831	babo:DK55_2705
ko:K01012	babo:DK55_2707
ko:K00652	babo:DK55_2708
ko:K01935	babo:DK55_2709
ko:K00833	babo:DK55_2710
ko:K00648	babo:DK55_2711
ko:K00651	babo:DK55_2713
ko:K07273	babo:DK55_2714
ko:K03310	babo:DK55_2715
ko:K06996	babo:DK55_2717
ko:K03885	babo:DK55_2719
ko:K03327	babo:DK55_384
ko:K02480	babo:DK55_386
ko:K14977	babo:DK55_391
ko:K13481	babo:DK55_394
ko:K13482	babo:DK55_395
ko:K07402	babo:DK55_396
ko:K01487	babo:DK55_399
ko:K01533	babo:DK55_402
ko:K00406	babo:DK55_405
ko:K00407	babo:DK55_406
ko:K00405	babo:DK55_407
ko:K00404	babo:DK55_408
ko:K10778	babo:DK55_413
ko:K17938	babo:DK55_417
ko:K03977	babo:DK55_420
ko:K04046	babo:DK55_421
ko:K02116	babo:DK55_423
ko:K02108	babo:DK55_424
ko:K02110	babo:DK55_425
ko:K02109	babo:DK55_426
ko:K02109	babo:DK55_427
ko:K03470	babo:DK55_428
ko:K00919	babo:DK55_433
ko:K00640	babo:DK55_1259
ko:K09005	babo:DK55_1261
ko:K03704	babo:DK55_1262
ko:K01759	babo:DK55_1263
ko:K07462	babo:DK55_1266
ko:K01921	babo:DK55_1267
ko:K11532	babo:DK55_1268
ko:K00003	babo:DK55_1269
ko:K14261	babo:DK55_1270
ko:K09956	babo:DK55_1275
ko:K06206	babo:DK55_1276
ko:K01265	babo:DK55_1277
ko:K03630	babo:DK55_1278
ko:K16079	babo:DK55_1279
ko:K00595	babo:DK55_1280
ko:K02229	babo:DK55_1281
ko:K06042	babo:DK55_1282
ko:K03394	babo:DK55_1283
ko:K13541	babo:DK55_1284
ko:K13786	babo:DK55_1287
ko:K13786	babo:DK55_1288
ko:K01999	babo:DK55_1290
ko:K02227	babo:DK55_1289
ko:K02225	babo:DK55_1291
ko:K02224	babo:DK55_1292
ko:K02303	babo:DK55_1293
ko:K02188	babo:DK55_1294
ko:K05895	babo:DK55_1296
ko:K05936	babo:DK55_1295
ko:K02189	babo:DK55_1297
ko:K07090	babo:DK55_1300
ko:K08978	babo:DK55_1299
ko:K02230	babo:DK55_1302
ko:K02234	babo:DK55_1303
ko:K02231	babo:DK55_1304
ko:K07042	babo:DK55_2086
ko:K03820	babo:DK55_2088
ko:K00789	babo:DK55_2090
ko:K03439	babo:DK55_2091
ko:K09748	babo:DK55_2092
ko:K02600	babo:DK55_2093
ko:K07742	babo:DK55_2094
ko:K01581	babo:DK55_2096
ko:K00033	babo:DK55_2106
ko:K02052	babo:DK55_2107
ko:K02053	babo:DK55_2108
ko:K02054	babo:DK55_2109
ko:K02055	babo:DK55_2110
ko:K03543	babo:DK55_2113
ko:K02401	babo:DK55_2117
ko:K02410	babo:DK55_2118
ko:K02417	babo:DK55_2120
ko:K02416	babo:DK55_2123
ko:K02416	babo:DK55_2124
ko:K02556	babo:DK55_2125
ko:K02391	babo:DK55_2127
ko:K02412	babo:DK55_2128
ko:K03978	babo:DK55_2929
ko:K00930	babo:DK55_2930
ko:K07025	babo:DK55_2931
ko:K06966	babo:DK55_2932
ko:K00674	babo:DK55_2933
ko:K01439	babo:DK55_2935
ko:K06173	babo:DK55_2937
ko:K00604	babo:DK55_2938
ko:K01462	babo:DK55_2939
ko:K09760	babo:DK55_2940
ko:K07401	babo:DK55_2941
ko:K07461	babo:DK55_2942
ko:K03596	babo:DK55_2943
ko:K00329	babo:DK55_2944
ko:K00356	babo:DK55_2944
ko:K06153	babo:DK55_2945
ko:K00799	babo:DK55_2946
ko:K07261	babo:DK55_2949
ko:K01734	babo:DK55_2950
ko:K00845	babo:DK55_2951
ko:K06147	babo:DK55_2952
ko:K00215	babo:DK55_2953
ko:K01834	babo:DK55_2954
ko:K04719	babo:DK55_2957
ko:K00154	babo:DK55_2960
ko:K06131	babo:DK55_2962
ko:K02837	babo:DK55_2964
ko:K13038	babo:DK55_2965
ko:K03688	babo:DK55_2966
ko:K03183	babo:DK55_2967
ko:K00761	babo:DK55_2969
ko:K03745	babo:DK55_2970
ko:K07304	babo:DK55_2971
ko:K00135	babo:DK55_2976
ko:K02034	babo:DK55_2980
ko:K02033	babo:DK55_2981
ko:K00817	babo:DK55_660
ko:K08309	babo:DK55_667
ko:K01714	babo:DK55_668
ko:K03664	babo:DK55_669
ko:K03060	babo:DK55_672
ko:K00762	babo:DK55_674
ko:K08223	babo:DK55_677
ko:K09928	babo:DK55_679
ko:K00997	babo:DK55_680
ko:K03100	babo:DK55_681
ko:K03685	babo:DK55_682
ko:K03584	babo:DK55_685
ko:K06980	babo:DK55_687
ko:K01465	babo:DK55_688
ko:K06895	babo:DK55_695
ko:K01883	babo:DK55_696
ko:K01649	babo:DK55_700
ko:K05786	babo:DK55_701
ko:K02528	babo:DK55_703
ko:K00097	babo:DK55_704
ko:K03771	babo:DK55_705
ko:K04744	babo:DK55_706
ko:K11720	babo:DK55_707
ko:K07091	babo:DK55_708
ko:K01255	babo:DK55_709
ko:K02339	babo:DK55_710
ko:K06158	babo:DK55_712
ko:K00759	babo:DK55_1513
ko:K00413	babo:DK55_1514
ko:K00412	babo:DK55_1515
ko:K00411	babo:DK55_1516
ko:K03216	babo:DK55_1519
ko:K00228	babo:DK55_1522
ko:K03824	babo:DK55_1523
ko:K00970	babo:DK55_1526
ko:K09986	babo:DK55_1528
ko:K03924	babo:DK55_1529
ko:K07393	babo:DK55_1534
ko:K07275	babo:DK55_1535
ko:K01649	babo:DK55_1538
ko:K13503	babo:DK55_1540
ko:K03719	babo:DK55_1541
ko:K02002	babo:DK55_1546
ko:K02001	babo:DK55_1547
ko:K02000	babo:DK55_1548
ko:K12372	babo:DK55_1549
ko:K12371	babo:DK55_1550
ko:K12370	babo:DK55_1551
ko:K12369	babo:DK55_1552
ko:K12368	babo:DK55_1553
ko:K00566	babo:DK55_1558
ko:K06975	babo:DK55_1561
ko:K13588	babo:DK55_1564
ko:K13584	babo:DK55_1565
ko:K00862	babo:DK55_2362
ko:K17204	babo:DK55_2364
ko:K17203	babo:DK55_2365
ko:K17202	babo:DK55_2366
ko:K07043	babo:DK55_2381
ko:K01153	babo:DK55_2382
ko:K01154	babo:DK55_2383
ko:K03427	babo:DK55_2384
ko:K00459	babo:DK55_2394
ko:K03724	babo:DK55_2397
ko:K06953	babo:DK55_2398
ko:K07090	babo:DK55_2400
ko:K13582	babo:DK55_2401
ko:K09137	babo:DK55_2403
ko:K06199	babo:DK55_2404
ko:K06199	babo:DK55_2405
ko:K01686	babo:DK55_2410
ko:K01625	babo:DK55_3188
ko:K07146	babo:DK55_3190
ko:K02020	babo:DK55_3191
ko:K02018	babo:DK55_3192
ko:K02017	babo:DK55_3193
ko:K01426	babo:DK55_3201
ko:K02519	babo:DK55_1
ko:K02834	babo:DK55_2
ko:K03177	babo:DK55_3
ko:K02956	babo:DK55_4
ko:K00962	babo:DK55_5
ko:K00564	babo:DK55_6
ko:K00564	babo:DK55_7
ko:K00208	babo:DK55_8
ko:K00647	babo:DK55_9
ko:K01716	babo:DK55_10
ko:K09826	babo:DK55_11
ko:K02073	babo:DK55_12
ko:K01255	babo:DK55_19
ko:K10563	babo:DK55_21
ko:K01692	babo:DK55_22
ko:K02968	babo:DK55_23
ko:K02313	babo:DK55_24
ko:K02338	babo:DK55_25
ko:K03629	babo:DK55_26
ko:K12972	babo:DK55_28
ko:K13896	babo:DK55_29
ko:K13895	babo:DK55_30
ko:K13894	babo:DK55_31
ko:K13893	babo:DK55_32
ko:K13893	babo:DK55_33
ko:K01999	babo:DK55_35
ko:K13766	babo:DK55_36
ko:K01640	babo:DK55_37
ko:K01968	babo:DK55_38
ko:K01969	babo:DK55_39
ko:K00253	babo:DK55_40
ko:K01907	babo:DK55_41
ko:K00800	babo:DK55_47
ko:K00945	babo:DK55_48
ko:K02945	babo:DK55_49
ko:K06187	babo:DK55_53
ko:K09747	babo:DK55_54
ko:K06985	babo:DK55_875
ko:K02233	babo:DK55_877
ko:K00768	babo:DK55_878
ko:K05800	babo:DK55_879
ko:K07126	babo:DK55_882
ko:K01142	babo:DK55_883
ko:K01129	babo:DK55_886
ko:K01887	babo:DK55_887
ko:K01207	babo:DK55_889
ko:K05896	babo:DK55_890
ko:K06024	babo:DK55_891
ko:K03116	babo:DK55_892
ko:K03117	babo:DK55_893
ko:K03118	babo:DK55_894
ko:K01875	babo:DK55_895
ko:K03787	babo:DK55_896
ko:K00573	babo:DK55_897
ko:K06923	babo:DK55_899
ko:K03210	babo:DK55_900
ko:K12257	babo:DK55_901
ko:K02291	babo:DK55_903
ko:K04094	babo:DK55_904
ko:K03545	babo:DK55_909
ko:K02434	babo:DK55_910
ko:K00684	babo:DK55_914
ko:K01961	babo:DK55_915
ko:K02160	babo:DK55_916
ko:K03786	babo:DK55_917
ko:K08300	babo:DK55_921
ko:K01448	babo:DK55_922
ko:K05366	babo:DK55_923
ko:K02836	babo:DK55_924
ko:K03564	babo:DK55_929
ko:K17675	babo:DK55_1725
ko:K00626	babo:DK55_1726
ko:K02911	babo:DK55_1728
ko:K03814	babo:DK55_1729
ko:K00795	babo:DK55_1730
ko:K00019	babo:DK55_1732
ko:K01958	babo:DK55_1734
ko:K01999	babo:DK55_1735
ko:K01999	babo:DK55_1737
ko:K01996	babo:DK55_1739
ko:K01995	babo:DK55_1740
ko:K01998	babo:DK55_1741
ko:K01997	babo:DK55_1742
ko:K12658	babo:DK55_1743
ko:K00285	babo:DK55_1744
ko:K06075	babo:DK55_1746
ko:K02114	babo:DK55_1747
ko:K02112	babo:DK55_1748
ko:K02115	babo:DK55_1749
ko:K02111	babo:DK55_1750
ko:K02113	babo:DK55_1751
ko:K04066	babo:DK55_1753
ko:K00616	babo:DK55_1754
ko:K03643	babo:DK55_1755
ko:K01869	babo:DK55_1756
ko:K06997	babo:DK55_1757
ko:K01895	babo:DK55_1760
ko:K03799	babo:DK55_1762
ko:K03500	babo:DK55_1763
ko:K00602	babo:DK55_1765
ko:K06902	babo:DK55_1766
ko:K15371	babo:DK55_1767
ko:K08988	babo:DK55_1768
ko:K06872	babo:DK55_1769
ko:K03744	babo:DK55_1770
ko:K02959	babo:DK55_1771
ko:K04092	babo:DK55_1772
ko:K03106	babo:DK55_1773
ko:K01857	babo:DK55_2565
ko:K00448	babo:DK55_2566
ko:K00449	babo:DK55_2567
ko:K01607	babo:DK55_2568
ko:K01055	babo:DK55_2569
ko:K02623	babo:DK55_2570
ko:K00481	babo:DK55_2571
ko:K02624	babo:DK55_2573
ko:K01031	babo:DK55_2574
ko:K01032	babo:DK55_2575
ko:K02030	babo:DK55_2580
ko:K02030	babo:DK55_2581
ko:K00285	babo:DK55_2582
ko:K02342	babo:DK55_2586
ko:K02346	babo:DK55_2594
ko:K06140	babo:DK55_2595
ko:K11443	babo:DK55_2597
ko:K02488	babo:DK55_2598
ko:K02913	babo:DK55_2599
ko:K12573	babo:DK55_2603
ko:K03168	babo:DK55_2604
ko:K04096	babo:DK55_2606
ko:K08591	babo:DK55_2607
ko:K01465	babo:DK55_2608
ko:K00609	babo:DK55_2609
ko:K09456	babo:DK55_2611
ko:K07447	babo:DK55_2610
ko:K02435	babo:DK55_2613
ko:K02433	babo:DK55_2614
ko:K02395	babo:DK55_275
ko:K09862	babo:DK55_298
ko:K06287	babo:DK55_299
ko:K02518	babo:DK55_300
ko:K00013	babo:DK55_303
ko:K00790	babo:DK55_305
ko:K03190	babo:DK55_315
ko:K01430	babo:DK55_316
ko:K01429	babo:DK55_318
ko:K01428	babo:DK55_319
ko:K03187	babo:DK55_320
ko:K03188	babo:DK55_321
ko:K03189	babo:DK55_322
ko:K01464	babo:DK55_328
ko:K01464	babo:DK55_329
ko:K03637	babo:DK55_1148
ko:K03750	babo:DK55_1149
ko:K01356	babo:DK55_1151
ko:K01885	babo:DK55_1152
ko:K01647	babo:DK55_1153
ko:K00748	babo:DK55_1154
ko:K09949	babo:DK55_1155
ko:K00677	babo:DK55_1156
ko:K02372	babo:DK55_1157
ko:K02536	babo:DK55_1158
ko:K07277	babo:DK55_1159
ko:K11749	babo:DK55_1160
ko:K00981	babo:DK55_1161
ko:K00806	babo:DK55_1162
ko:K02838	babo:DK55_1163
ko:K09903	babo:DK55_1164
ko:K02357	babo:DK55_1165
ko:K02967	babo:DK55_1166
ko:K09919	babo:DK55_1171
ko:K02503	babo:DK55_1172
ko:K03694	babo:DK55_1173
ko:K06891	babo:DK55_1174
ko:K01752	babo:DK55_1178
ko:K09457	babo:DK55_1185
ko:K01966	babo:DK55_1189
ko:K01965	babo:DK55_1190
ko:K01847	babo:DK55_1191
ko:K07080	babo:DK55_1194
ko:K01776	babo:DK55_1195
ko:K02533	babo:DK55_1196
ko:K05520	babo:DK55_1197
ko:K00031	babo:DK55_1199
ko:K02529	babo:DK55_1983
ko:K01989	babo:DK55_1986
ko:K05832	babo:DK55_1987
ko:K05833	babo:DK55_1988
ko:K02340	babo:DK55_1989
ko:K03501	babo:DK55_1992
ko:K03495	babo:DK55_1993
ko:K03650	babo:DK55_1994
ko:K06888	babo:DK55_1996
ko:K03628	babo:DK55_1997
ko:K08973	babo:DK55_1999
ko:K01599	babo:DK55_2000
ko:K09773	babo:DK55_2001
ko:K06287	babo:DK55_2002
ko:K00014	babo:DK55_2003
ko:K00859	babo:DK55_2004
ko:K02342	babo:DK55_2005
ko:K03071	babo:DK55_2006
ko:K07113	babo:DK55_2007
ko:K08304	babo:DK55_2009
ko:K03667	babo:DK55_2013
ko:K01419	babo:DK55_2014
ko:K01693	babo:DK55_2015
ko:K02501	babo:DK55_2017
ko:K01814	babo:DK55_2018
ko:K02500	babo:DK55_2019
ko:K01523	babo:DK55_2020
ko:K00867	babo:DK55_2021
ko:K15034	babo:DK55_2022
ko:K01610	babo:DK55_2024
ko:K14981	babo:DK55_2025
ko:K14980	babo:DK55_2026
ko:K02793	babo:DK55_2028
ko:K11189	babo:DK55_2029
ko:K01251	babo:DK55_2030
ko:K02053	babo:DK55_2826
ko:K02054	babo:DK55_2827
ko:K02052	babo:DK55_2828
ko:K02055	babo:DK55_2829
ko:K03608	babo:DK55_2833
ko:K03609	babo:DK55_2834
ko:K03610	babo:DK55_2835
ko:K03647	babo:DK55_2838
ko:K10111	babo:DK55_2844
ko:K10238	babo:DK55_2845
ko:K10237	babo:DK55_2846
ko:K10236	babo:DK55_2847
ko:K02529	babo:DK55_2848
ko:K02575	babo:DK55_2850
ko:K00370	babo:DK55_2851
ko:K00371	babo:DK55_2852
ko:K00373	babo:DK55_2853
ko:K00374	babo:DK55_2854
ko:K03769	babo:DK55_2855
ko:K03186	babo:DK55_2857
ko:K03182	babo:DK55_2858
ko:K03182	babo:DK55_2859
ko:K08303	babo:DK55_2861
ko:K02049	babo:DK55_2863
ko:K02050	babo:DK55_2864
ko:K02051	babo:DK55_2865
ko:K07234	babo:DK55_2866
ko:K03734	babo:DK55_2869
ko:K07218	babo:DK55_2873
ko:K00376	babo:DK55_2874
ko:K02622	babo:DK55_2616
ko:K01711	babo:DK55_552
ko:K01840	babo:DK55_565
ko:K00971	babo:DK55_566
ko:K12995	babo:DK55_568
ko:K10441	babo:DK55_569
ko:K10440	babo:DK55_570
ko:K10439	babo:DK55_571
ko:K01805	babo:DK55_574
ko:K00854	babo:DK55_575
ko:K02529	babo:DK55_576
ko:K02167	babo:DK55_580
ko:K07341	babo:DK55_582
ko:K03284	babo:DK55_585
ko:K03449	babo:DK55_587
ko:K03449	babo:DK55_588
ko:K06915	babo:DK55_590
ko:K01560	babo:DK55_593
ko:K04564	babo:DK55_594
ko:K01354	babo:DK55_596
ko:K03590	babo:DK55_1410
ko:K03589	babo:DK55_1411
ko:K01921	babo:DK55_1412
ko:K00075	babo:DK55_1413
ko:K01924	babo:DK55_1414
ko:K02563	babo:DK55_1415
ko:K03588	babo:DK55_1416
ko:K01925	babo:DK55_1417
ko:K01000	babo:DK55_1418
ko:K01929	babo:DK55_1419
ko:K01928	babo:DK55_1420
ko:K03587	babo:DK55_1421
ko:K03438	babo:DK55_1423
ko:K03322	babo:DK55_1424
ko:K05801	babo:DK55_1428
ko:K07273	babo:DK55_1430
ko:K07088	babo:DK55_1432
ko:K00297	babo:DK55_1433
ko:K00598	babo:DK55_1437
ko:K09988	babo:DK55_1442
ko:K00479	babo:DK55_1443
ko:K06193	babo:DK55_1445
ko:K08281	babo:DK55_1447
ko:K09799	babo:DK55_1446
ko:K01442	babo:DK55_1449
ko:K09807	babo:DK55_1457
ko:K09160	babo:DK55_1459
ko:K00324	babo:DK55_2255
ko:K00324	babo:DK55_2256
ko:K00325	babo:DK55_2257
ko:K02970	babo:DK55_2263
ko:K02072	babo:DK55_2266
ko:K02071	babo:DK55_2267
ko:K02073	babo:DK55_2268
ko:K01998	babo:DK55_2270
ko:K01997	babo:DK55_2271
ko:K01996	babo:DK55_2272
ko:K01995	babo:DK55_2273
ko:K01999	babo:DK55_2274
ko:K09969	babo:DK55_2279
ko:K01266	babo:DK55_2280
ko:K01652	babo:DK55_2282
ko:K01687	babo:DK55_2286
ko:K00883	babo:DK55_2287
ko:K01631	babo:DK55_2288
ko:K10546	babo:DK55_2289
ko:K10546	babo:DK55_2290
ko:K10548	babo:DK55_2291
ko:K10547	babo:DK55_2292
ko:K00824	babo:DK55_2293
ko:K09975	babo:DK55_2294
ko:K01712	babo:DK55_2295
ko:K01479	babo:DK55_2296
ko:K01745	babo:DK55_2297
ko:K01468	babo:DK55_2298
ko:K05836	babo:DK55_2300
ko:K00822	babo:DK55_2301
ko:K02027	babo:DK55_3087
ko:K02026	babo:DK55_3088
ko:K02025	babo:DK55_3089
ko:K10112	babo:DK55_3090
ko:K02051	babo:DK55_3093
ko:K02049	babo:DK55_3094
ko:K02050	babo:DK55_3095
ko:K16087	babo:DK55_3097
ko:K01999	babo:DK55_3099
ko:K01997	babo:DK55_3100
ko:K01997	babo:DK55_3101
ko:K01998	babo:DK55_3102
ko:K01995	babo:DK55_3103
ko:K01996	babo:DK55_3104
ko:K00852	babo:DK55_3114
ko:K02057	babo:DK55_3116
ko:K02057	babo:DK55_3117
ko:K02056	babo:DK55_3118
ko:K07335	babo:DK55_3119
ko:K02362	babo:DK55_3120
ko:K00216	babo:DK55_3122
ko:K01252	babo:DK55_3123
ko:K02363	babo:DK55_3124
ko:K02361	babo:DK55_3125
ko:K02364	babo:DK55_3126
ko:K03088	babo:DK55_3130
ko:K01999	babo:DK55_3133
ko:K01997	babo:DK55_3134
ko:K00337	babo:DK55_825
ko:K00338	babo:DK55_826
ko:K00339	babo:DK55_827
ko:K00340	babo:DK55_828
ko:K00341	babo:DK55_829
ko:K00342	babo:DK55_830
ko:K00343	babo:DK55_831
ko:K03524	babo:DK55_832
ko:K12574	babo:DK55_833
ko:K05606	babo:DK55_834
ko:K01881	babo:DK55_836
ko:K09808	babo:DK55_837
ko:K09810	babo:DK55_838
ko:K02337	babo:DK55_839
ko:K02986	babo:DK55_844
ko:K14058	babo:DK55_845
ko:K07552	babo:DK55_848
ko:K07390	babo:DK55_849
ko:K01952	babo:DK55_851
ko:K01952	babo:DK55_854
ko:K01952	babo:DK55_855
ko:K01923	babo:DK55_856
ko:K02510	babo:DK55_858
ko:K07002	babo:DK55_859
ko:K07104	babo:DK55_860
ko:K01756	babo:DK55_861
ko:K01783	babo:DK55_862
ko:K02517	babo:DK55_863
ko:K09458	babo:DK55_865
ko:K09458	babo:DK55_866
ko:K01785	babo:DK55_870
ko:K00874	babo:DK55_869
ko:K06162	babo:DK55_873
ko:K02030	babo:DK55_874
ko:K05539	babo:DK55_876
ko:K00788	babo:DK55_1672
ko:K07126	babo:DK55_1673
ko:K02356	babo:DK55_1674
ko:K01092	babo:DK55_1675
ko:K02557	babo:DK55_1677
ko:K06147	babo:DK55_1678
ko:K02909	babo:DK55_1679
ko:K03523	babo:DK55_1682
ko:K09706	babo:DK55_1683
ko:K09769	babo:DK55_1685
ko:K01934	babo:DK55_1686
ko:K09888	babo:DK55_1687
ko:K00615	babo:DK55_1689
ko:K00134	babo:DK55_1690
ko:K00927	babo:DK55_1691
ko:K01908	babo:DK55_1693
ko:K09987	babo:DK55_1698
ko:K01588	babo:DK55_1705
ko:K01589	babo:DK55_1706
ko:K02919	babo:DK55_1707
ko:K00873	babo:DK55_1709
ko:K15738	babo:DK55_1713
ko:K00949	babo:DK55_1715
ko:K02064	babo:DK55_1716
ko:K02063	babo:DK55_1717
ko:K02062	babo:DK55_1718
ko:K03089	babo:DK55_1721
ko:K07736	babo:DK55_1722
ko:K05524	babo:DK55_1723
ko:K04762	babo:DK55_1724
ko:K02010	babo:DK55_2518
ko:K02012	babo:DK55_2519
ko:K02011	babo:DK55_2520
ko:K02379	babo:DK55_2524
ko:K00794	babo:DK55_2523
ko:K17315	babo:DK55_2525
ko:K17316	babo:DK55_2526
ko:K17317	babo:DK55_2528
ko:K10112	babo:DK55_2529
ko:K02427	babo:DK55_2532
ko:K01524	babo:DK55_2533
ko:K10010	babo:DK55_2534
ko:K10009	babo:DK55_2535
ko:K02424	babo:DK55_2536
ko:K01469	babo:DK55_2537
ko:K02013	babo:DK55_2539
ko:K02015	babo:DK55_2540
ko:K02015	babo:DK55_2541
ko:K02016	babo:DK55_2542
ko:K00128	babo:DK55_2543
ko:K07077	babo:DK55_2545
ko:K07090	babo:DK55_2546
ko:K00826	babo:DK55_2547
ko:K06901	babo:DK55_2551
ko:K05816	babo:DK55_2554
ko:K05815	babo:DK55_2555
ko:K05814	babo:DK55_2556
ko:K05813	babo:DK55_2557
ko:K01273	babo:DK55_2558
ko:K01486	babo:DK55_2559
ko:K01996	babo:DK55_2560
ko:K01995	babo:DK55_2561
ko:K01998	babo:DK55_2562
ko:K01997	babo:DK55_2563
ko:K01999	babo:DK55_2564
ko:K03555	babo:DK55_164
ko:K03101	babo:DK55_166
ko:K03437	babo:DK55_167
ko:K06969	babo:DK55_168
ko:K05788	babo:DK55_170
ko:K04773	babo:DK55_171
ko:K11719	babo:DK55_172
ko:K09774	babo:DK55_173
ko:K06861	babo:DK55_174
ko:K03092	babo:DK55_175
ko:K02806	babo:DK55_177
ko:K10773	babo:DK55_181
ko:K06203	babo:DK55_182
ko:K03687	babo:DK55_185
ko:K03705	babo:DK55_186
ko:K00989	babo:DK55_187
ko:K02428	babo:DK55_190
ko:K07056	babo:DK55_192
ko:K07460	babo:DK55_193
ko:K02302	babo:DK55_194
ko:K00381	babo:DK55_196
ko:K00390	babo:DK55_197
ko:K00567	babo:DK55_200
ko:K00548	babo:DK55_203
ko:K07782	babo:DK55_204
ko:K16871	babo:DK55_205
ko:K00957	babo:DK55_206
ko:K00955	babo:DK55_207
ko:K01082	babo:DK55_208
ko:K02444	babo:DK55_212
ko:K00111	babo:DK55_213
ko:K00138	babo:DK55_215
ko:K00138	babo:DK55_216
ko:K13953	babo:DK55_217
ko:K13587	babo:DK55_1044
ko:K07007	babo:DK55_1045
ko:K16053	babo:DK55_1046
ko:K00769	babo:DK55_1050
ko:K03809	babo:DK55_1053
ko:K01754	babo:DK55_1055
ko:K11927	babo:DK55_1056
ko:K01738	babo:DK55_1057
ko:K01011	babo:DK55_1059
ko:K18118	babo:DK55_1061
ko:K03543	babo:DK55_1064
ko:K13953	babo:DK55_1067
ko:K13953	babo:DK55_1068
ko:K14347	babo:DK55_1070
ko:K01784	babo:DK55_1071
ko:K04765	babo:DK55_1072
ko:K01868	babo:DK55_1076
ko:K08998	babo:DK55_1078
ko:K01495	babo:DK55_1080
ko:K01496	babo:DK55_1081
ko:K07001	babo:DK55_1082
ko:K00252	babo:DK55_1093
ko:K18138	babo:DK55_1097
ko:K03574	babo:DK55_1879
ko:K00620	babo:DK55_1881
ko:K03769	babo:DK55_1882
ko:K03070	babo:DK55_1883
ko:K03760	babo:DK55_1885
ko:K03760	babo:DK55_1886
ko:K02030	babo:DK55_1890
ko:K02029	babo:DK55_1891
ko:K02029	babo:DK55_1892
ko:K02028	babo:DK55_1893
ko:K01480	babo:DK55_1894
ko:K01744	babo:DK55_1895
ko:K09972	babo:DK55_1896
ko:K01424	babo:DK55_1897
ko:K01424	babo:DK55_1899
ko:K01761	babo:DK55_1901
ko:K01738	babo:DK55_1903
ko:K01738	babo:DK55_1904
ko:K00074	babo:DK55_1905
ko:K03522	babo:DK55_1906
ko:K03521	babo:DK55_1907
ko:K06920	babo:DK55_1908
ko:K01737	babo:DK55_1909
ko:K10026	babo:DK55_1910
ko:K07058	babo:DK55_1914
ko:K09768	babo:DK55_1915
ko:K01755	babo:DK55_1917
ko:K01586	babo:DK55_1919
ko:K00760	babo:DK55_1921
ko:K00817	babo:DK55_1923
ko:K00220	babo:DK55_1925
ko:K07232	babo:DK55_1926
ko:K02221	babo:DK55_1928
ko:K01507	babo:DK55_1929
ko:K02051	babo:DK55_2728
ko:K02049	babo:DK55_2729
ko:K02050	babo:DK55_2730
ko:K01990	babo:DK55_2733
ko:K01990	babo:DK55_2734
ko:K01993	babo:DK55_2735
ko:K07112	babo:DK55_2739
ko:K07112	babo:DK55_2740
ko:K09781	babo:DK55_2742
ko:K01462	babo:DK55_2743
ko:K00058	babo:DK55_2744
ko:K01895	babo:DK55_2746
ko:K01895	babo:DK55_2747
ko:K00626	babo:DK55_2749
ko:K07305	babo:DK55_2751
ko:K08224	babo:DK55_2753
ko:K01991	babo:DK55_2760
ko:K17948	babo:DK55_2765
ko:K02035	babo:DK55_2768
ko:K02033	babo:DK55_2770
ko:K02034	babo:DK55_2771
ko:K01714	babo:DK55_2772
ko:K02523	babo:DK55_438
ko:K01878	babo:DK55_440
ko:K01879	babo:DK55_442
ko:K07566	babo:DK55_443
ko:K01945	babo:DK55_451
ko:K03179	babo:DK55_452
ko:K00275	babo:DK55_453
ko:K00208	babo:DK55_456
ko:K03704	babo:DK55_458
ko:K09778	babo:DK55_461
ko:K01736	babo:DK55_463
ko:K14652	babo:DK55_464
ko:K03602	babo:DK55_466
ko:K06911	babo:DK55_470
ko:K01662	babo:DK55_471
ko:K06442	babo:DK55_472
ko:K03215	babo:DK55_473
ko:K06966	babo:DK55_474
ko:K06147	babo:DK55_477
ko:K01613	babo:DK55_478
ko:K17103	babo:DK55_479
ko:K00764	babo:DK55_481
ko:K03558	babo:DK55_482
ko:K04485	babo:DK55_483
ko:K00574	babo:DK55_485
ko:K02939	babo:DK55_486
ko:K02963	babo:DK55_488
