ko:K18929	hpt:HPSAT_00655
ko:K16091	hpt:HPSAT_03370
ko:K16091	hpt:HPSAT_07400
ko:K00104	hpt:HPSAT_04230
ko:K14233	hpt:HPSAT_t07814
ko:K14218	hpt:HPSAT_t07818
ko:K14219	hpt:HPSAT_t07844
ko:K14226	hpt:HPSAT_t07846
ko:K14230	hpt:HPSAT_t07856
ko:K14234	hpt:HPSAT_t07860
ko:K14225	hpt:HPSAT_t07862
ko:K14236	hpt:HPSAT_t07864
ko:K14234	hpt:HPSAT_t07866
ko:K14228	hpt:HPSAT_t07868
ko:K14228	hpt:HPSAT_t07870
ko:K14231	hpt:HPSAT_t07872
ko:K10716	hpt:HPSAT_04315
ko:K14229	hpt:HPSAT_t07810
ko:K02014	hpt:HPSAT_02350
ko:K02014	hpt:HPSAT_07295
ko:K02028	hpt:HPSAT_05650
ko:K02030	hpt:HPSAT_05655
ko:K03455	hpt:HPSAT_02245
ko:K02017	hpt:HPSAT_02270
ko:K07126	hpt:HPSAT_03655
ko:K00674	hpt:HPSAT_03660
ko:K01507	hpt:HPSAT_03690
ko:K00939	hpt:HPSAT_03710
ko:K07457	hpt:HPSAT_03780
ko:K00652	hpt:HPSAT_03800
ko:K14048	hpt:HPSAT_00330
ko:K03406	hpt:HPSAT_00375
ko:K04655	hpt:HPSAT_00230
ko:K03406	hpt:HPSAT_00465
ko:K03406	hpt:HPSAT_00485
ko:K01119	hpt:HPSAT_00490
ko:K03442	hpt:HPSAT_04825
ko:K01585	hpt:HPSAT_04920
ko:K04093	hpt:HPSAT_01455
ko:K03342	hpt:HPSAT_01465
ko:K01916	hpt:HPSAT_01645
ko:K01719	hpt:HPSAT_05895
ko:K01455	hpt:HPSAT_05970
ko:K01885	hpt:HPSAT_02275
ko:K04517	hpt:HPSAT_06695
ko:K03279	hpt:HPSAT_06770
ko:K03635	hpt:HPSAT_02775
ko:K02004	hpt:HPSAT_02850
ko:K06603	hpt:HPSAT_03035
ko:K00616	hpt:HPSAT_07200
ko:K01156	hpt:HPSAT_07315
ko:K07316	hpt:HPSAT_07320
ko:K00059	hpt:HPSAT_04000
ko:K03279	hpt:HPSAT_00765
ko:K07126	hpt:HPSAT_00770
ko:K00058	hpt:HPSAT_05030
ko:K06013	hpt:HPSAT_05115
ko:K01784	hpt:HPSAT_05225
ko:K07126	hpt:HPSAT_05245
ko:K00769	hpt:HPSAT_03120
ko:K01424	hpt:HPSAT_03200
ko:K02342	hpt:HPSAT_07470
ko:K03386	hpt:HPSAT_07660
ko:K11085	hpt:HPSAT_01830
ko:K00949	hpt:HPSAT_06230
ko:K07126	hpt:HPSAT_04180
ko:K08077	hpt:HPSAT_04240
ko:K04652	hpt:HPSAT_04415
ko:K15898	hpt:HPSAT_00865
ko:K00245	hpt:HPSAT_00940
ko:K00244	hpt:HPSAT_00945
ko:K03593	hpt:HPSAT_01020
ko:K07126	hpt:HPSAT_01045
ko:K01439	hpt:HPSAT_01050
ko:K06910	hpt:HPSAT_01080
ko:K00845	hpt:HPSAT_05270
ko:K07126	hpt:HPSAT_05350
ko:K07098	hpt:HPSAT_02020
ko:K01262	hpt:HPSAT_02055
ko:K03711	hpt:HPSAT_02105
ko:K13640	hpt:HPSAT_02115
ko:K00076	hpt:HPSAT_02170
ko:K01679	hpt:HPSAT_06410
ko:K02238	hpt:HPSAT_06595
ko:K02433	hpt:HPSAT_02610
ko:K00088	hpt:HPSAT_02615
ko:K05845	hpt:HPSAT_02680
ko:K05846	hpt:HPSAT_02680
ko:K03768	hpt:HPSAT_06915
ko:K06346	hpt:HPSAT_06965
ko:K02067	hpt:HPSAT_07040
ko:K02242	hpt:HPSAT_07085
ko:K00626	hpt:HPSAT_03355
ko:K13016	hpt:HPSAT_03405
ko:K00567	hpt:HPSAT_03415
ko:K04763	hpt:HPSAT_03420
ko:K03469	hpt:HPSAT_03475
ko:K01885	hpt:HPSAT_03575
ko:K01409	hpt:HPSAT_07765
ko:K07126	hpt:HPSAT_01175
ko:K06196	hpt:HPSAT_01325
ko:K03784	hpt:HPSAT_05685
ko:K03317	hpt:HPSAT_05695
ko:K01674	hpt:HPSAT_05725
ko:K02843	hpt:HPSAT_05745
ko:K02014	hpt:HPSAT_04485
ko:K03743	hpt:HPSAT_04665
ko:K06179	hpt:HPSAT_04685
ko:K14232	hpt:HPSAT_t07848
ko:K14219	hpt:HPSAT_t07842
ko:K16052	hpt:HPSAT_04955
ko:K14224	hpt:HPSAT_t07802
ko:K14221	hpt:HPSAT_t07804
ko:K14237	hpt:HPSAT_t07806
ko:K14224	hpt:HPSAT_t07808
ko:K14237	hpt:HPSAT_t07812
ko:K14220	hpt:HPSAT_t07816
ko:K14219	hpt:HPSAT_t07820
ko:K14233	hpt:HPSAT_t07822
ko:K14232	hpt:HPSAT_t07824
ko:K14219	hpt:HPSAT_t07826
ko:K14230	hpt:HPSAT_t07828
ko:K14230	hpt:HPSAT_t07830
ko:K14223	hpt:HPSAT_t07832
ko:K14225	hpt:HPSAT_t07834
ko:K14228	hpt:HPSAT_t07836
ko:K14222	hpt:HPSAT_t07838
ko:K14233	hpt:HPSAT_t07840
ko:K01985	hpt:HPSAT_r07874
ko:K01985	hpt:HPSAT_r07876
ko:K01980	hpt:HPSAT_r07882
ko:K01980	hpt:HPSAT_r07884
ko:K14228	hpt:HPSAT_t07850
ko:K14227	hpt:HPSAT_t07852
ko:K14218	hpt:HPSAT_t07854
ko:K01977	hpt:HPSAT_r07878
ko:K01977	hpt:HPSAT_r07880
ko:K02029	hpt:HPSAT_05645
ko:K14235	hpt:HPSAT_t07858
ko:K11028	hpt:HPSAT_04355
ko:K15847	hpt:HPSAT_04395
ko:K12086	hpt:HPSAT_04175
ko:K12088	hpt:HPSAT_04170
ko:K12089	hpt:HPSAT_04165
ko:K12090	hpt:HPSAT_04160
ko:K12092	hpt:HPSAT_04140
ko:K12093	hpt:HPSAT_04135
ko:K12094	hpt:HPSAT_04130
ko:K12095	hpt:HPSAT_04125
ko:K12096	hpt:HPSAT_04120
ko:K12097	hpt:HPSAT_04115
ko:K12098	hpt:HPSAT_04110
ko:K12099	hpt:HPSAT_04095
ko:K15842	hpt:HPSAT_04065
ko:K12110	hpt:HPSAT_04080
ko:K15848	hpt:HPSAT_03190
ko:K15843	hpt:HPSAT_04470
ko:K15844	hpt:HPSAT_04475
ko:K03196	hpt:HPSAT_06800
ko:K12091	hpt:HPSAT_04150
ko:K10009	hpt:HPSAT_04595
ko:K00970	hpt:HPSAT_03590
ko:K03321	hpt:HPSAT_01135
ko:K12369	hpt:HPSAT_01495
ko:K01426	hpt:HPSAT_01470
ko:K12371	hpt:HPSAT_01505
ko:K01155	hpt:HPSAT_00425
ko:K02424	hpt:HPSAT_04600
ko:K09477	hpt:HPSAT_00680
ko:K03559	hpt:HPSAT_05415
ko:K03559	hpt:HPSAT_06480
ko:K03559	hpt:HPSAT_06940
ko:K07318	hpt:HPSAT_05830
ko:K12049	hpt:HPSAT_00200
ko:K12977	hpt:HPSAT_00105
ko:K12048	hpt:HPSAT_00205
ko:K12052	hpt:HPSAT_00185
ko:K12050	hpt:HPSAT_00195
ko:K03191	hpt:HPSAT_00315
ko:K13797	hpt:HPSAT_05770
ko:K02003	hpt:HPSAT_00870
ko:K15895	hpt:HPSAT_05195
ko:K15896	hpt:HPSAT_01635
ko:K11782	hpt:HPSAT_02890
ko:K01738	hpt:HPSAT_00505
ko:K01760	hpt:HPSAT_00500
ko:K01992	hpt:HPSAT_03740
ko:K01990	hpt:HPSAT_05875
ko:K17103	hpt:HPSAT_01890
ko:K02484	hpt:HPSAT_00795
ko:K02484	hpt:HPSAT_06610
ko:K02847	hpt:HPSAT_02045
ko:K01992	hpt:HPSAT_07160
ko:K12053	hpt:HPSAT_00085
ko:K17686	hpt:HPSAT_07250
ko:K17686	hpt:HPSAT_01885
ko:K01155	hpt:HPSAT_01310
ko:K07318	hpt:HPSAT_07220
ko:K00971	hpt:HPSAT_00210
ko:K05540	hpt:HPSAT_03180
ko:K11928	hpt:HPSAT_00265
ko:K01658	hpt:HPSAT_06195
ko:K01156	hpt:HPSAT_06710
ko:K00290	hpt:HPSAT_07270
ko:K01497	hpt:HPSAT_02765
ko:K00254	hpt:HPSAT_02185
ko:K06148	hpt:HPSAT_05820
ko:K05922	hpt:HPSAT_03630
ko:K05927	hpt:HPSAT_03635
ko:K07812	hpt:HPSAT_04980
ko:K03605	hpt:HPSAT_03620
ko:K05366	hpt:HPSAT_03805
ko:K12051	hpt:HPSAT_00190
ko:K03601	hpt:HPSAT_04835
ko:K07126	hpt:HPSAT_01675
ko:K01153	hpt:HPSAT_02520
ko:K11784	hpt:HPSAT_03505
ko:K11785	hpt:HPSAT_00730
ko:K18284	hpt:HPSAT_00410
ko:K18285	hpt:HPSAT_03515
ko:K08068	hpt:HPSAT_02530
ko:K16235	hpt:HPSAT_02155
ko:K18480	hpt:HPSAT_07035
ko:K00681	hpt:HPSAT_05355
ko:K18682	hpt:HPSAT_02990
ko:K07316	hpt:HPSAT_06705
ko:K18930	hpt:HPSAT_05885
ko:K03497	hpt:HPSAT_05460
ko:K03496	hpt:HPSAT_05465
ko:K03111	hpt:HPSAT_06005
ko:K03196	hpt:HPSAT_04155
ko:K03761	hpt:HPSAT_01785
ko:K00335	hpt:HPSAT_06115
ko:K02483	hpt:HPSAT_00800
ko:K03526	hpt:HPSAT_03665
ko:K00571	hpt:HPSAT_00430
ko:K03296	hpt:HPSAT_03755
ko:K00336	hpt:HPSAT_06120
ko:K07448	hpt:HPSAT_01840
ko:K19157	hpt:HPSAT_04385
ko:K00571	hpt:HPSAT_00245
ko:K00571	hpt:HPSAT_01315
ko:K07317	hpt:HPSAT_04455
ko:K04771	hpt:HPSAT_02150
ko:K07496	hpt:HPSAT_04360
ko:K01992	hpt:HPSAT_07155
ko:K07496	hpt:HPSAT_02805
ko:K19416	hpt:HPSAT_04500
ko:K20151	hpt:HPSAT_03535
ko:K20810	hpt:HPSAT_01335
ko:K20151	hpt:HPSAT_05130
ko:K00525	hpt:HPSAT_03400
ko:K07100	hpt:HPSAT_05855
ko:K02335	hpt:HPSAT_07070
ko:K02335	hpt:HPSAT_02130
ko:K00558	hpt:HPSAT_00250
ko:K03553	hpt:HPSAT_00735
ko:K00558	hpt:HPSAT_05370
ko:K00558	hpt:HPSAT_01770
ko:K02314	hpt:HPSAT_06600
ko:K06223	hpt:HPSAT_02300
ko:K00558	hpt:HPSAT_02310
ko:K01520	hpt:HPSAT_02405
ko:K00558	hpt:HPSAT_02475
ko:K06223	hpt:HPSAT_06630
ko:K06223	hpt:HPSAT_07225
ko:K03465	hpt:HPSAT_07370
ko:K02316	hpt:HPSAT_00055
ko:K02483	hpt:HPSAT_06615
ko:K00526	hpt:HPSAT_05205
ko:K02481	hpt:HPSAT_03295
ko:K01139	hpt:HPSAT_02905
ko:K07097	hpt:HPSAT_02030
ko:K02483	hpt:HPSAT_02025
ko:K10026	hpt:HPSAT_04565
ko:K21929	hpt:HPSAT_03540
ko:K03595	hpt:HPSAT_04190
ko:K09022	hpt:HPSAT_04620
ko:K22278	hpt:HPSAT_01550
ko:K14441	hpt:HPSAT_03125
ko:K22391	hpt:HPSAT_04700
ko:K17758	hpt:HPSAT_06605
ko:K17759	hpt:HPSAT_06605
ko:K00571	hpt:HPSAT_06555
ko:K01007	hpt:HPSAT_00570
