ko:K19079	suw:SATW20_07360
ko:K01620	suw:SATW20_13180
ko:K06131	suw:SATW20_13200
ko:K07341	suw:SATW20_20840
ko:K08170	suw:SATW20_01180
ko:K03324	suw:SATW20_01190
ko:K03303	suw:SATW20_01220
ko:K02015	suw:SATW20_01250
ko:K02015	suw:SATW20_01260
ko:K02016	suw:SATW20_01270
ko:K01586	suw:SATW20_01350
ko:K00260	suw:SATW20_09580
ko:K01126	suw:SATW20_09590
ko:K01755	suw:SATW20_09600
ko:K01940	suw:SATW20_09610
ko:K01810	suw:SATW20_09620
ko:K03100	suw:SATW20_09640
ko:K03100	suw:SATW20_09650
ko:K03695	suw:SATW20_09740
ko:K00648	suw:SATW20_09820
ko:K09458	suw:SATW20_09830
ko:K15581	suw:SATW20_09840
ko:K15580	suw:SATW20_09880
ko:K02034	suw:SATW20_09930
ko:K01887	suw:SATW20_06840
ko:K02016	suw:SATW20_06860
ko:K02015	suw:SATW20_06870
ko:K09936	suw:SATW20_06940
ko:K05566	suw:SATW20_06990
ko:K05567	suw:SATW20_07000
ko:K05569	suw:SATW20_07020
ko:K05571	suw:SATW20_07040
ko:K05946	suw:SATW20_07110
ko:K02013	suw:SATW20_07220
ko:K02015	suw:SATW20_07230
ko:K02015	suw:SATW20_07240
ko:K05878	suw:SATW20_07250
ko:K05879	suw:SATW20_07260
ko:K02160	suw:SATW20_15240
ko:K02356	suw:SATW20_15250
ko:K03800	suw:SATW20_15290
ko:K00283	suw:SATW20_15310
ko:K00282	suw:SATW20_15320
ko:K00605	suw:SATW20_15330
ko:K00891	suw:SATW20_15340
ko:K02913	suw:SATW20_15470
ko:K04564	suw:SATW20_15490
ko:K09816	suw:SATW20_15510
ko:K09817	suw:SATW20_15520
ko:K01151	suw:SATW20_15530
ko:K06967	suw:SATW20_15560
ko:K03086	suw:SATW20_15570
ko:K09773	suw:SATW20_15590
ko:K01880	suw:SATW20_15610
ko:K03584	suw:SATW20_15620
ko:K07042	suw:SATW20_15660
ko:K02970	suw:SATW20_15710
ko:K09761	suw:SATW20_15730
ko:K02687	suw:SATW20_15740
ko:K12410	suw:SATW20_23350
ko:K01575	suw:SATW20_23440
ko:K01652	suw:SATW20_23450
ko:K02996	suw:SATW20_23510
ko:K02871	suw:SATW20_23520
ko:K06173	suw:SATW20_23530
ko:K02879	suw:SATW20_23570
ko:K03040	suw:SATW20_23580
ko:K02948	suw:SATW20_23590
ko:K02952	suw:SATW20_23600
ko:K02919	suw:SATW20_23610
ko:K02518	suw:SATW20_23620
ko:K03076	suw:SATW20_23640
ko:K02876	suw:SATW20_23650
ko:K02907	suw:SATW20_23660
ko:K02988	suw:SATW20_23670
ko:K02881	suw:SATW20_23680
ko:K02933	suw:SATW20_23690
ko:K02994	suw:SATW20_23700
ko:K02954	suw:SATW20_23710
ko:K02931	suw:SATW20_23720
ko:K02895	suw:SATW20_23730
ko:K02874	suw:SATW20_23740
ko:K02961	suw:SATW20_23750
ko:K02904	suw:SATW20_23760
ko:K02878	suw:SATW20_23770
ko:K02982	suw:SATW20_23780
ko:K02890	suw:SATW20_23790
ko:K02965	suw:SATW20_23800
ko:K02886	suw:SATW20_23810
ko:K02892	suw:SATW20_23820
ko:K02926	suw:SATW20_23830
ko:K02906	suw:SATW20_23840
ko:K02946	suw:SATW20_23850
ko:K01867	suw:SATW20_09940
ko:K08602	suw:SATW20_09980
ko:K06886	suw:SATW20_10000
ko:K00858	suw:SATW20_10040
ko:K06180	suw:SATW20_10050
ko:K06213	suw:SATW20_10060
ko:K00208	suw:SATW20_10080
ko:K00789	suw:SATW20_17790
ko:K01610	suw:SATW20_17800
ko:K08998	suw:SATW20_17840
ko:K01911	suw:SATW20_17860
ko:K01154	suw:SATW20_18040
ko:K03427	suw:SATW20_18050
ko:K15586	suw:SATW20_25930
ko:K15585	suw:SATW20_25940
ko:K15584	suw:SATW20_25950
ko:K00963	suw:SATW20_26200
ko:K11476	suw:SATW20_26260
ko:K04041	suw:SATW20_26370
ko:K06999	suw:SATW20_26390
ko:K15975	suw:SATW20_26400
ko:K15973	suw:SATW20_26410
ko:K06975	suw:SATW20_26420
ko:K03778	suw:SATW20_26450
ko:K14232	suw:SATW20_t100
ko:K14232	suw:SATW20_t430
ko:K14235	suw:SATW20_t300
ko:K01839	suw:SATW20_01500
ko:K02042	suw:SATW20_01510
ko:K02042	suw:SATW20_01520
ko:K02041	suw:SATW20_01530
ko:K02044	suw:SATW20_01540
ko:K04072	suw:SATW20_01590
ko:K13012	suw:SATW20_01720
ko:K02472	suw:SATW20_01740
ko:K09790	suw:SATW20_01770
ko:K08996	suw:SATW20_01910
ko:K00930	suw:SATW20_01920
ko:K00620	suw:SATW20_01930
ko:K00145	suw:SATW20_01940
ko:K03310	suw:SATW20_10100
ko:K02837	suw:SATW20_10170
ko:K02250	suw:SATW20_10220
ko:K03800	suw:SATW20_10240
ko:K02003	suw:SATW20_10300
ko:K15977	suw:SATW20_10330
ko:K02016	suw:SATW20_10340
ko:K02548	suw:SATW20_10380
ko:K02551	suw:SATW20_10400
ko:K01661	suw:SATW20_10420
ko:K02829	suw:SATW20_10540
ko:K02828	suw:SATW20_10550
ko:K02827	suw:SATW20_10560
ko:K02826	suw:SATW20_10570
ko:K07002	suw:SATW20_18250
ko:K00231	suw:SATW20_18260
ko:K01772	suw:SATW20_18270
ko:K01599	suw:SATW20_18280
ko:K02503	suw:SATW20_18320
ko:K06180	suw:SATW20_18440
ko:K03216	suw:SATW20_18490
ko:K14230	suw:SATW20_t400
ko:K03823	suw:SATW20_26500
ko:K01752	suw:SATW20_26510
ko:K01752	suw:SATW20_26520
ko:K07107	suw:SATW20_26580
ko:K04759	suw:SATW20_26720
ko:K04758	suw:SATW20_26730
ko:K03778	suw:SATW20_26810
ko:K18940	suw:SATW20_14150
ko:K21454	suw:SATW20_24880
ko:K03475	suw:SATW20_03970
ko:K02822	suw:SATW20_03980
ko:K02821	suw:SATW20_03990
ko:K07729	suw:SATW20_04170
ko:K00626	suw:SATW20_04220
ko:K07030	suw:SATW20_12200
ko:K00059	suw:SATW20_12250
ko:K09787	suw:SATW20_12300
ko:K03177	suw:SATW20_12650
ko:K07706	suw:SATW20_20210
ko:K03647	suw:SATW20_20420
ko:K08167	suw:SATW20_p1140
ko:K09705	suw:SATW20_07450
ko:K16013	suw:SATW20_07590
ko:K16012	suw:SATW20_07600
ko:K06934	suw:SATW20_07690
ko:K03976	suw:SATW20_07720
ko:K03436	suw:SATW20_07730
ko:K02619	suw:SATW20_07900
ko:K02238	suw:SATW20_15830
ko:K06948	suw:SATW20_15930
ko:K01243	suw:SATW20_15950
ko:K03635	suw:SATW20_24030
ko:K02017	suw:SATW20_24090
ko:K00712	suw:SATW20_06340
ko:K00712	suw:SATW20_06350
ko:K02564	suw:SATW20_06390
ko:K08093	suw:SATW20_06400
ko:K00626	suw:SATW20_06450
ko:K00625	suw:SATW20_06570
ko:K00869	suw:SATW20_06590
ko:K07038	suw:SATW20_18630
ko:K02545	suw:SATW20_00740
ko:K01597	suw:SATW20_06600
ko:K00938	suw:SATW20_06610
ko:K01424	suw:SATW20_14760
ko:K05337	suw:SATW20_14810
ko:K09763	suw:SATW20_14940
ko:K04763	suw:SATW20_14950
ko:K03711	suw:SATW20_14960
ko:K01515	suw:SATW20_14970
ko:K00784	suw:SATW20_15020
ko:K00033	suw:SATW20_15080
ko:K02799	suw:SATW20_22910
ko:K02800	suw:SATW20_22910
ko:K02798	suw:SATW20_22930
ko:K03593	suw:SATW20_23010
ko:K01220	suw:SATW20_23270
ko:K02786	suw:SATW20_23290
ko:K01635	suw:SATW20_23300
ko:K00917	suw:SATW20_23310
ko:K01819	suw:SATW20_23320
ko:K01819	suw:SATW20_23330
ko:K16509	suw:SATW20_09950
ko:K01834	suw:SATW20_25460
ko:K01834	suw:SATW20_04430
ko:K02530	suw:SATW20_23340
ko:K01727	suw:SATW20_23400
ko:K00939	suw:SATW20_23630
ko:K09963	suw:SATW20_02000
ko:K02033	suw:SATW20_02080
ko:K02035	suw:SATW20_02100
ko:K10112	suw:SATW20_02140
ko:K15770	suw:SATW20_02150
ko:K07784	suw:SATW20_02220
ko:K07720	suw:SATW20_02230
ko:K02035	suw:SATW20_02390
ko:K00016	suw:SATW20_02430
ko:K11189	suw:SATW20_10780
ko:K08483	suw:SATW20_10790
ko:K03499	suw:SATW20_10830
ko:K11072	suw:SATW20_10940
ko:K11071	suw:SATW20_10950
ko:K11069	suw:SATW20_10970
ko:K01092	suw:SATW20_11020
ko:K09825	suw:SATW20_18550
ko:K11085	suw:SATW20_18600
ko:K07586	suw:SATW20_18610
ko:K09693	suw:SATW20_18650
ko:K01104	suw:SATW20_18750
ko:K07009	suw:SATW20_18850
ko:K02342	suw:SATW20_18880
ko:K02433	suw:SATW20_18950
ko:K07094	suw:SATW20_19010
ko:K04750	suw:SATW20_27330
ko:K00016	suw:SATW20_27410
ko:K03294	suw:SATW20_27420
ko:K16511	suw:SATW20_09960
ko:K11733	suw:SATW20_16720
ko:K01760	suw:SATW20_04260
ko:K03386	suw:SATW20_04480
ko:K00088	suw:SATW20_04560
ko:K00059	suw:SATW20_12740
ko:K02443	suw:SATW20_12910
ko:K03713	suw:SATW20_13010
ko:K14229	suw:SATW20_t060
ko:K05845	suw:SATW20_07980
ko:K05846	suw:SATW20_07980
ko:K03647	suw:SATW20_08050
ko:K01258	suw:SATW20_08180
ko:K02240	suw:SATW20_08250
ko:K02242	suw:SATW20_08260
ko:K06023	suw:SATW20_08350
ko:K09762	suw:SATW20_08420
ko:K07584	suw:SATW20_16400
ko:K02236	suw:SATW20_16530
ko:K07120	suw:SATW20_16570
ko:K01719	suw:SATW20_16600
ko:K07052	suw:SATW20_24450
ko:K01479	suw:SATW20_24660
ko:K01785	suw:SATW20_24700
ko:K01823	suw:SATW20_24770
ko:K01771	suw:SATW20_01140
ko:K10254	suw:SATW20_01200
ko:K01784	suw:SATW20_01390
ko:K00819	suw:SATW20_09570
ko:K06910	suw:SATW20_09790
ko:K15582	suw:SATW20_09850
ko:K10823	suw:SATW20_09870
ko:K02035	suw:SATW20_09890
ko:K02033	suw:SATW20_09920
ko:K07816	suw:SATW20_10030
ko:K03455	suw:SATW20_10070
ko:K02549	suw:SATW20_17850
ko:K12942	suw:SATW20_26010
ko:K01835	suw:SATW20_26120
ko:K03299	suw:SATW20_26240
ko:K00851	suw:SATW20_26250
ko:K03535	suw:SATW20_26310
ko:K07104	suw:SATW20_26430
ko:K02775	suw:SATW20_02490
ko:K00852	suw:SATW20_02710
ko:K01958	suw:SATW20_11090
ko:K03471	suw:SATW20_11340
ko:K00241	suw:SATW20_11410
ko:K02428	suw:SATW20_11450
ko:K01916	suw:SATW20_19070
ko:K04518	suw:SATW20_19100
ko:K15986	suw:SATW20_19140
ko:K03451	suw:SATW20_27530
ko:K00380	suw:SATW20_27580
ko:K01077	suw:SATW20_27650
ko:K01478	suw:SATW20_27730
ko:K12270	suw:SATW20_27880
ko:K12269	suw:SATW20_27890
ko:K12268	suw:SATW20_27900
ko:K07304	suw:SATW20_27980
ko:K01104	suw:SATW20_28000
ko:K13953	suw:SATW20_06820
ko:K07457	suw:SATW20_06850
ko:K07025	suw:SATW20_06880
ko:K05565	suw:SATW20_06980
ko:K05568	suw:SATW20_07010
ko:K05570	suw:SATW20_07030
ko:K03316	suw:SATW20_07050
ko:K03709	suw:SATW20_07090
ko:K09693	suw:SATW20_07120
ko:K07258	suw:SATW20_07170
ko:K02246	suw:SATW20_15370
ko:K02245	suw:SATW20_15380
ko:K02244	suw:SATW20_15390
ko:K02243	suw:SATW20_15400
ko:K00845	suw:SATW20_15430
ko:K02076	suw:SATW20_15500
ko:K01489	suw:SATW20_15640
ko:K16264	suw:SATW20_01790
ko:K07668	suw:SATW20_00180
ko:K07652	suw:SATW20_00190
ko:K11144	suw:SATW20_16740
ko:K03346	suw:SATW20_16750
ko:K10563	suw:SATW20_16790
ko:K07658	suw:SATW20_16830
ko:K00027	suw:SATW20_16930
ko:K06286	suw:SATW20_17080
ko:K00058	suw:SATW20_17140
ko:K00374	suw:SATW20_25240
ko:K09815	suw:SATW20_25360
ko:K02004	suw:SATW20_03130
ko:K03307	suw:SATW20_03190
ko:K01639	suw:SATW20_03200
ko:K01788	suw:SATW20_03230
ko:K11041	suw:SATW20_11650
ko:K07025	suw:SATW20_11690
ko:K07104	suw:SATW20_11880
ko:K02824	suw:SATW20_11930
ko:K01439	suw:SATW20_20030
ko:K07052	suw:SATW20_20140
ko:K07491	suw:SATW20_00340
ko:K04763	suw:SATW20_00390
ko:K00383	suw:SATW20_00550
ko:K08974	suw:SATW20_09130
ko:K04488	suw:SATW20_09170
ko:K13628	suw:SATW20_09400
ko:K05570	suw:SATW20_09470
ko:K05568	suw:SATW20_09490
ko:K05565	suw:SATW20_09520
ko:K03768	suw:SATW20_09540
ko:K01261	suw:SATW20_17350
ko:K01439	suw:SATW20_17410
ko:K06183	suw:SATW20_17430
ko:K07052	suw:SATW20_17700
ko:K00616	suw:SATW20_17710
ko:K00652	suw:SATW20_25540
ko:K06147	suw:SATW20_25580
ko:K06147	suw:SATW20_25590
ko:K03929	suw:SATW20_25800
ko:K09976	suw:SATW20_13450
ko:K05020	suw:SATW20_13500
ko:K07304	suw:SATW20_13610
ko:K04517	suw:SATW20_13650
ko:K01409	suw:SATW20_21890
ko:K01226	suw:SATW20_05430
ko:K03486	suw:SATW20_05440
ko:K09685	suw:SATW20_05640
ko:K02499	suw:SATW20_05730
ko:K02033	suw:SATW20_13810
ko:K05822	suw:SATW20_13960
ko:K07305	suw:SATW20_14240
ko:K03095	suw:SATW20_22020
ko:K03090	suw:SATW20_22040
ko:K07315	suw:SATW20_22070
ko:K09167	suw:SATW20_22120
ko:K08981	suw:SATW20_22130
ko:K03708	suw:SATW20_05910
ko:K09698	suw:SATW20_05970
ko:K00639	suw:SATW20_06200
ko:K00853	suw:SATW20_06220
ko:K07304	suw:SATW20_14250
ko:K03469	suw:SATW20_14340
ko:K03294	suw:SATW20_14370
ko:K03700	suw:SATW20_14480
ko:K02086	suw:SATW20_14520
ko:K00974	suw:SATW20_14560
ko:K00805	suw:SATW20_14670
ko:K02116	suw:SATW20_22480
ko:K01104	suw:SATW20_22530
ko:K03048	suw:SATW20_22660
ko:K09680	suw:SATW20_22680
ko:K01619	suw:SATW20_22750
ko:K03784	suw:SATW20_22760
ko:K03784	suw:SATW20_01470
ko:K01619	suw:SATW20_01490
ko:K01104	suw:SATW20_01620
ko:K01784	suw:SATW20_01730
ko:K02049	suw:SATW20_01820
ko:K02051	suw:SATW20_01830
ko:K02050	suw:SATW20_01840
ko:K00819	suw:SATW20_01950
ko:K05362	suw:SATW20_10150
ko:K07052	suw:SATW20_10260
ko:K02552	suw:SATW20_10390
ko:K08680	suw:SATW20_10410
ko:K00841	suw:SATW20_10460
ko:K07533	suw:SATW20_18350
ko:K03698	suw:SATW20_18360
ko:K01679	suw:SATW20_18450
ko:K07035	suw:SATW20_18530
ko:K00158	suw:SATW20_26600
ko:K00054	suw:SATW20_26670
ko:K01641	suw:SATW20_26680
ko:K00567	suw:SATW20_26690
ko:K04086	suw:SATW20_26700
ko:K06994	suw:SATW20_26740
ko:K00294	suw:SATW20_26760
ko:K07213	suw:SATW20_26800
ko:K10209	suw:SATW20_26830
ko:K07035	suw:SATW20_26910
ko:K07032	suw:SATW20_26950
ko:K15583	suw:SATW20_09860
ko:K14220	suw:SATW20_t150
ko:K01977	suw:SATW20_r050
ko:K01977	suw:SATW20_r010
ko:K01977	suw:SATW20_r130
ko:K01977	suw:SATW20_r160
ko:K01977	suw:SATW20_r100
ko:K16329	suw:SATW20_03170
ko:K16323	suw:SATW20_07200
ko:K16169	suw:SATW20_04550
ko:K11737	suw:SATW20_25670
ko:K05340	suw:SATW20_23900
ko:K16264	suw:SATW20_22840
ko:K02851	suw:SATW20_08220
ko:K07045	suw:SATW20_27000
ko:K09814	suw:SATW20_24910
ko:K13052	suw:SATW20_05750
ko:K10010	suw:SATW20_25420
ko:K16786	suw:SATW20_23560
ko:K16787	suw:SATW20_23550
ko:K04564	suw:SATW20_01440
ko:K11040	suw:SATW20_15960
ko:K16785	suw:SATW20_23540
ko:K04757	suw:SATW20_22050
ko:K08168	suw:SATW20_00660
ko:K01985	suw:SATW20_r030
ko:K01985	suw:SATW20_r140
ko:K01985	suw:SATW20_r110
ko:K01985	suw:SATW20_r040
ko:K01985	suw:SATW20_r080
ko:K01985	suw:SATW20_r070
ko:K07705	suw:SATW20_02630
ko:K02032	suw:SATW20_09910
ko:K03429	suw:SATW20_10140
ko:K09813	suw:SATW20_24920
ko:K01401	suw:SATW20_27750
ko:K14198	suw:SATW20_19380
ko:K14204	suw:SATW20_19310
ko:K13733	suw:SATW20_26210
ko:K02547	suw:SATW20_00750
ko:K11039	suw:SATW20_20180
ko:K14200	suw:SATW20_11500
ko:K14201	suw:SATW20_08620
ko:K10208	suw:SATW20_26840
ko:K02755	suw:SATW20_02680
ko:K07800	suw:SATW20_20200
ko:K08259	suw:SATW20_02780
ko:K12553	suw:SATW20_15480
ko:K07683	suw:SATW20_25220
ko:K01239	suw:SATW20_24150
ko:K00128	suw:SATW20_01780
ko:K00128	suw:SATW20_22600
ko:K00128	suw:SATW20_19150
ko:K01906	suw:SATW20_25530
ko:K14230	suw:SATW20_t240
ko:K14230	suw:SATW20_t350
ko:K14230	suw:SATW20_t380
ko:K14224	suw:SATW20_t010
ko:K14224	suw:SATW20_t590
ko:K14224	suw:SATW20_t180
ko:K14233	suw:SATW20_t030
ko:K14233	suw:SATW20_t390
ko:K14233	suw:SATW20_t360
ko:K14227	suw:SATW20_t120
ko:K14227	suw:SATW20_t520
ko:K14228	suw:SATW20_t080
ko:K14228	suw:SATW20_t450
ko:K14219	suw:SATW20_t090
ko:K14219	suw:SATW20_t440
ko:K14218	suw:SATW20_t110
ko:K14218	suw:SATW20_t420
ko:K14218	suw:SATW20_t510
ko:K14220	suw:SATW20_t190
ko:K14220	suw:SATW20_t600
ko:K14225	suw:SATW20_t260
ko:K14229	suw:SATW20_t480
ko:K14229	suw:SATW20_t550
ko:K14228	suw:SATW20_t540
ko:K11631	suw:SATW20_28360
ko:K11042	suw:SATW20_04960
ko:K13715	suw:SATW20_10440
ko:K13732	suw:SATW20_26230
ko:K10210	suw:SATW20_26860
ko:K11695	suw:SATW20_13750
ko:K11693	suw:SATW20_23950
ko:K01271	suw:SATW20_16990
ko:K14233	suw:SATW20_t170
ko:K16785	suw:SATW20_10710
ko:K16786	suw:SATW20_10720
ko:K16787	suw:SATW20_10720
ko:K16785	suw:SATW20_28200
ko:K16786	suw:SATW20_28210
ko:K16787	suw:SATW20_28210
ko:K02768	suw:SATW20_27790
ko:K02769	suw:SATW20_27790
ko:K02770	suw:SATW20_27790
ko:K11632	suw:SATW20_28370
ko:K13714	suw:SATW20_10490
ko:K04478	suw:SATW20_18680
ko:K00980	suw:SATW20_07160
ko:K16937	suw:SATW20_07820
ko:K16869	suw:SATW20_06580
ko:K11991	suw:SATW20_06280
ko:K14230	suw:SATW20_t410
ko:K17716	suw:SATW20_01640
ko:K10851	suw:SATW20_25230
ko:K00882	suw:SATW20_07740
ko:K02803	suw:SATW20_17160
ko:K02804	suw:SATW20_17160
ko:K00108	suw:SATW20_27500
ko:K16916	suw:SATW20_26480
ko:K16917	suw:SATW20_26470
ko:K16925	suw:SATW20_10730
ko:K14196	suw:SATW20_01230
ko:K14203	suw:SATW20_11480
ko:K02303	suw:SATW20_25280
ko:K16924	suw:SATW20_28220
ko:K14192	suw:SATW20_27680
ko:K14193	suw:SATW20_11240
ko:K14197	suw:SATW20_25480
ko:K08258	suw:SATW20_19040
ko:K10211	suw:SATW20_26850
ko:K10850	suw:SATW20_25180
ko:K11694	suw:SATW20_13740
ko:K12552	suw:SATW20_11750
ko:K07681	suw:SATW20_18790
ko:K07694	suw:SATW20_18780
ko:K02352	suw:SATW20_28250
ko:K12551	suw:SATW20_17200
ko:K16898	suw:SATW20_09670
ko:K16899	suw:SATW20_09660
ko:K14221	suw:SATW20_t020
ko:K14221	suw:SATW20_t370
ko:K14221	suw:SATW20_t230
ko:K14221	suw:SATW20_t340
ko:K14233	suw:SATW20_t140
ko:K01980	suw:SATW20_r020
ko:K01980	suw:SATW20_r060
ko:K01980	suw:SATW20_r120
ko:K01980	suw:SATW20_r150
ko:K01980	suw:SATW20_r090
ko:K14237	suw:SATW20_t040
ko:K14237	suw:SATW20_t580
ko:K14237	suw:SATW20_t500
ko:K14225	suw:SATW20_t200
ko:K14225	suw:SATW20_t530
ko:K14225	suw:SATW20_t070
ko:K14225	suw:SATW20_t460
ko:K14228	suw:SATW20_t250
ko:K14228	suw:SATW20_t470
ko:K14219	suw:SATW20_t130
ko:K14219	suw:SATW20_t160
ko:K14226	suw:SATW20_t210
ko:K14226	suw:SATW20_t290
ko:K14231	suw:SATW20_t220
ko:K14231	suw:SATW20_t330
ko:K14223	suw:SATW20_t280
ko:K14223	suw:SATW20_t560
ko:K14236	suw:SATW20_t310
ko:K14236	suw:SATW20_t570
ko:K15035	suw:SATW20_m080
ko:K01978	suw:SATW20_m170
ko:K11070	suw:SATW20_10960
ko:K01990	suw:SATW20_18310
ko:K02029	suw:SATW20_18520
ko:K02030	suw:SATW20_18520
ko:K01992	suw:SATW20_24720
ko:K07284	suw:SATW20_26490
ko:K01990	suw:SATW20_02790
ko:K01990	suw:SATW20_26350
ko:K01990	suw:SATW20_24730
ko:K01990	suw:SATW20_04190
ko:K01990	suw:SATW20_19270
ko:K01664	suw:SATW20_07880
ko:K01992	suw:SATW20_02800
ko:K01992	suw:SATW20_02810
ko:K01992	suw:SATW20_18300
ko:K01992	suw:SATW20_19240
ko:K02028	suw:SATW20_18510
ko:K01983	suw:SATW20_m050
ko:K03574	suw:SATW20_26110
ko:K17216	suw:SATW20_05280
ko:K17217	suw:SATW20_05290
ko:K00265	suw:SATW20_05400
ko:K00951	suw:SATW20_16280
ko:K01897	suw:SATW20_02350
ko:K01992	suw:SATW20_13220
ko:K01990	suw:SATW20_13210
ko:K01990	suw:SATW20_19250
ko:K17472	suw:SATW20_16210
ko:K17686	suw:SATW20_26790
ko:K01739	suw:SATW20_04270
ko:K01791	suw:SATW20_22490
ko:K00226	suw:SATW20_27300
ko:K06518	suw:SATW20_26620
ko:K01791	suw:SATW20_01750
ko:K11928	suw:SATW20_18970
ko:K01658	suw:SATW20_13680
ko:K02171	suw:SATW20_27100
ko:K12574	suw:SATW20_10840
ko:K12574	suw:SATW20_12690
ko:K07979	suw:SATW20_19280
ko:K10212	suw:SATW20_26870
ko:K01187	suw:SATW20_15050
ko:K01791	suw:SATW20_01660
ko:K19080	suw:SATW20_07370
ko:K00561	suw:SATW20_00430
ko:K18104	suw:SATW20_07180
ko:K00520	suw:SATW20_00600
ko:K02479	suw:SATW20_18420
ko:K08168	suw:SATW20_01480
ko:K02483	suw:SATW20_24930
ko:K03293	suw:SATW20_13350
ko:K18220	suw:SATW20_04620
ko:K07741	suw:SATW20_19910
ko:K02031	suw:SATW20_02070
ko:K02032	suw:SATW20_02070
ko:K02809	suw:SATW20_02020
ko:K02810	suw:SATW20_02020
ko:K02809	suw:SATW20_25090
ko:K02810	suw:SATW20_25090
ko:K03366	suw:SATW20_01380
ko:K00008	suw:SATW20_02520
ko:K07145	suw:SATW20_11300
ko:K22580	suw:SATW20_10530
ko:K01046	suw:SATW20_28080
ko:K00632	suw:SATW20_02320
ko:K02172	suw:SATW20_27110
ko:K21461	suw:SATW20_28050
ko:K21463	suw:SATW20_24870
ko:K00008	suw:SATW20_02500
ko:K03671	suw:SATW20_20360
ko:K08255	suw:SATW20_09700
ko:K07483	suw:SATW20_04910
ko:K20554	suw:SATW20_m290
ko:K00681	suw:SATW20_02110
ko:K18591	suw:SATW20_04710
ko:K04749	suw:SATW20_22060
ko:K18707	suw:SATW20_15720
ko:K18766	suw:SATW20_27120
ko:K05592	suw:SATW20_22200
ko:K18672	suw:SATW20_22980
ko:K18704	suw:SATW20_02550
ko:K18682	suw:SATW20_12800
ko:K18692	suw:SATW20_15540
ko:K10747	suw:SATW20_20610
ko:K18906	suw:SATW20_07610
ko:K01262	suw:SATW20_15260
ko:K09692	suw:SATW20_18640
ko:K07723	suw:SATW20_22090
ko:K18908	suw:SATW20_04020
ko:K18909	suw:SATW20_04010
ko:K18941	suw:SATW20_14160
ko:K07171	suw:SATW20_22080
ko:K03502	suw:SATW20_13640
ko:K11040	suw:SATW20_19410
ko:K03111	suw:SATW20_22350
ko:K03169	suw:SATW20_23880
ko:K07467	suw:SATW20_27220
ko:K03497	suw:SATW20_28470
ko:K00520	suw:SATW20_p1290
ko:K03111	suw:SATW20_03420
ko:K03497	suw:SATW20_04280
ko:K03111	suw:SATW20_04340
ko:K07467	suw:SATW20_04800
ko:K11040	suw:SATW20_08900
ko:K11040	suw:SATW20_08910
ko:K00221	suw:SATW20_00610
ko:K07029	suw:SATW20_18920
ko:K07497	suw:SATW20_27080
ko:K07132	suw:SATW20_27070
ko:K00221	suw:SATW20_p1010
ko:K07498	suw:SATW20_00630
ko:K07498	suw:SATW20_p1030
ko:K07132	suw:SATW20_p1180
ko:K03498	suw:SATW20_20070
ko:K09145	suw:SATW20_07460
ko:K07498	suw:SATW20_p1230
ko:K07498	suw:SATW20_p1060
ko:K18979	suw:SATW20_18500
ko:K00949	suw:SATW20_12170
ko:K01318	suw:SATW20_18060
ko:K01318	suw:SATW20_10450
ko:K07498	suw:SATW20_00690
ko:K07498	suw:SATW20_00540
ko:K07497	suw:SATW20_p1190
ko:K03741	suw:SATW20_17640
ko:K07816	suw:SATW20_26280
ko:K07498	suw:SATW20_00650
ko:K07452	suw:SATW20_00980
ko:K03293	suw:SATW20_24480
ko:K19159	suw:SATW20_25380
ko:K19077	suw:SATW20_07350
ko:K01174	suw:SATW20_13260
ko:K19147	suw:SATW20_00990
ko:K19078	suw:SATW20_07340
ko:K19158	suw:SATW20_25370
ko:K19225	suw:SATW20_15450
ko:K02777	suw:SATW20_14230
ko:K19068	suw:SATW20_01650
ko:K19081	suw:SATW20_27620
ko:K19082	suw:SATW20_27630
ko:K19083	suw:SATW20_27610
ko:K19084	suw:SATW20_27600
ko:K02031	suw:SATW20_09900
ko:K02032	suw:SATW20_13780
ko:K07462	suw:SATW20_21200
ko:K11442	suw:SATW20_23060
ko:K03722	suw:SATW20_14540
ko:K01992	suw:SATW20_26360
ko:K19411	suw:SATW20_05920
ko:K19302	suw:SATW20_14180
ko:K19405	suw:SATW20_05930
ko:K19299	suw:SATW20_20760
ko:K07485	suw:SATW20_18540
ko:K07485	suw:SATW20_23000
ko:K03574	suw:SATW20_17830
ko:K02031	suw:SATW20_13790
ko:K19279	suw:SATW20_00420
ko:K19576	suw:SATW20_07700
ko:K06881	suw:SATW20_16950
ko:K00561	suw:SATW20_16480
ko:K21721	suw:SATW20_01290
ko:K07112	suw:SATW20_20280
ko:K03483	suw:SATW20_22920
ko:K00887	suw:SATW20_15650
ko:K19689	suw:SATW20_18730
ko:K01258	suw:SATW20_15090
ko:K20482	suw:SATW20_18200
ko:K07119	suw:SATW20_23250
ko:K00547	suw:SATW20_04250
ko:K00297	suw:SATW20_04250
ko:K02538	suw:SATW20_27780
ko:K21636	suw:SATW20_27550
ko:K19883	suw:SATW20_20700
ko:K19975	suw:SATW20_07060
ko:K19976	suw:SATW20_07070
ko:K08365	suw:SATW20_00560
ko:K19973	suw:SATW20_07080
ko:K20074	suw:SATW20_12130
ko:K12132	suw:SATW20_12140
ko:K20116	suw:SATW20_01990
ko:K20117	suw:SATW20_01990
ko:K20118	suw:SATW20_01990
ko:K20116	suw:SATW20_26590
