ko:K01006	lmon:LMOSLCC2376_1829
ko:K02003	lmon:LMOSLCC2376_0165
ko:K05985	lmon:LMOSLCC2376_0158
ko:K06412	lmon:LMOSLCC2376_0167
ko:K06412	lmon:LMOSLCC2376_0168
ko:K04042	lmon:LMOSLCC2376_0169
ko:K00948	lmon:LMOSLCC2376_0170
ko:K01114	lmon:LMOSLCC2376_0176
ko:K02897	lmon:LMOSLCC2376_0181
ko:K00615	lmon:LMOSLCC2376_0322
ko:K01808	lmon:LMOSLCC2376_0325
ko:K01803	lmon:LMOSLCC2376_0326
ko:K05879	lmon:LMOSLCC2376_0327
ko:K05878	lmon:LMOSLCC2376_0328
ko:K02769	lmon:LMOSLCC2376_0339
ko:K02770	lmon:LMOSLCC2376_0339
ko:K01624	lmon:LMOSLCC2376_0340
ko:K03118	lmon:LMOSLCC2376_0342
ko:K03116	lmon:LMOSLCC2376_0343
ko:K05995	lmon:LMOSLCC2376_0344
ko:K07243	lmon:LMOSLCC2376_0347
ko:K07224	lmon:LMOSLCC2376_0348
ko:K16301	lmon:LMOSLCC2376_0349
ko:K06193	lmon:LMOSLCC2376_0352
ko:K02761	lmon:LMOSLCC2376_0355
ko:K02760	lmon:LMOSLCC2376_0356
ko:K01118	lmon:LMOSLCC2376_0591
ko:K02419	lmon:LMOSLCC2376_0655
ko:K02420	lmon:LMOSLCC2376_0656
ko:K02421	lmon:LMOSLCC2376_0657
ko:K02401	lmon:LMOSLCC2376_0658
ko:K02400	lmon:LMOSLCC2376_0659
ko:K02404	lmon:LMOSLCC2376_0660
ko:K02392	lmon:LMOSLCC2376_0661
ko:K02556	lmon:LMOSLCC2376_0664
ko:K02911	lmon:LMOSLCC2376_0468
ko:K00014	lmon:LMOSLCC2376_0472
ko:K03785	lmon:LMOSLCC2376_0473
ko:K01808	lmon:LMOSLCC2376_0477
ko:K01783	lmon:LMOSLCC2376_0478
ko:K02773	lmon:LMOSLCC2376_0482
ko:K01783	lmon:LMOSLCC2376_0484
ko:K02774	lmon:LMOSLCC2376_0486
ko:K00948	lmon:LMOSLCC2376_0488
ko:K07282	lmon:LMOSLCC2376_0496
ko:K02110	lmon:LMOSLCC2376_0077
ko:K02113	lmon:LMOSLCC2376_0078
ko:K02111	lmon:LMOSLCC2376_0079
ko:K02115	lmon:LMOSLCC2376_0080
ko:K02112	lmon:LMOSLCC2376_0081
ko:K02114	lmon:LMOSLCC2376_0082
ko:K01056	lmon:LMOSLCC2376_0183
ko:K03723	lmon:LMOSLCC2376_0184
ko:K07571	lmon:LMOSLCC2376_0188
ko:K03798	lmon:LMOSLCC2376_0190
ko:K03525	lmon:LMOSLCC2376_0191
ko:K04083	lmon:LMOSLCC2376_0192
ko:K01738	lmon:LMOSLCC2376_0193
ko:K00796	lmon:LMOSLCC2376_0194
ko:K01633	lmon:LMOSLCC2376_0195
ko:K00950	lmon:LMOSLCC2376_0196
ko:K04567	lmon:LMOSLCC2376_0198
ko:K03696	lmon:LMOSLCC2376_0202
ko:K04485	lmon:LMOSLCC2376_0203
ko:K00991	lmon:LMOSLCC2376_0205
ko:K01770	lmon:LMOSLCC2376_0206
ko:K00640	lmon:LMOSLCC2376_0208
ko:K01883	lmon:LMOSLCC2376_0209
ko:K11145	lmon:LMOSLCC2376_0210
ko:K03218	lmon:LMOSLCC2376_0211
ko:K06962	lmon:LMOSLCC2376_0212
ko:K03091	lmon:LMOSLCC2376_0213
ko:K03073	lmon:LMOSLCC2376_0214
ko:K02601	lmon:LMOSLCC2376_0215
ko:K02867	lmon:LMOSLCC2376_0217
ko:K02863	lmon:LMOSLCC2376_0218
ko:K00783	lmon:LMOSLCC2376_0271
ko:K02761	lmon:LMOSLCC2376_0277
ko:K02760	lmon:LMOSLCC2376_0278
ko:K02759	lmon:LMOSLCC2376_0280
ko:K03707	lmon:LMOSLCC2376_0292
ko:K00878	lmon:LMOSLCC2376_0293
ko:K00941	lmon:LMOSLCC2376_0294
ko:K00788	lmon:LMOSLCC2376_0295
ko:K01223	lmon:LMOSLCC2376_0296
ko:K06608	lmon:LMOSLCC2376_0368
ko:K00140	lmon:LMOSLCC2376_0369
ko:K03337	lmon:LMOSLCC2376_0370
ko:K03338	lmon:LMOSLCC2376_0371
ko:K03336	lmon:LMOSLCC2376_0372
ko:K03648	lmon:LMOSLCC2376_0376
ko:K00286	lmon:LMOSLCC2376_0382
ko:K02003	lmon:LMOSLCC2376_0389
ko:K03306	lmon:LMOSLCC2376_0400
ko:K07238	lmon:LMOSLCC2376_0407
ko:K01126	lmon:LMOSLCC2376_0595
ko:K07090	lmon:LMOSLCC2376_0600
ko:K01448	lmon:LMOSLCC2376_0110
ko:K06975	lmon:LMOSLCC2376_0116
ko:K02034	lmon:LMOSLCC2376_0119
ko:K09817	lmon:LMOSLCC2376_0129
ko:K09816	lmon:LMOSLCC2376_0130
ko:K02341	lmon:LMOSLCC2376_0137
ko:K07461	lmon:LMOSLCC2376_0141
ko:K07056	lmon:LMOSLCC2376_0142
ko:K06284	lmon:LMOSLCC2376_0143
ko:K05340	lmon:LMOSLCC2376_0144
ko:K01874	lmon:LMOSLCC2376_0148
ko:K03424	lmon:LMOSLCC2376_0156
ko:K02864	lmon:LMOSLCC2376_0219
ko:K02935	lmon:LMOSLCC2376_0220
ko:K03043	lmon:LMOSLCC2376_0228
ko:K03046	lmon:LMOSLCC2376_0229
ko:K01223	lmon:LMOSLCC2376_0231
ko:K15975	lmon:LMOSLCC2376_0239
ko:K02034	lmon:LMOSLCC2376_0241
ko:K01223	lmon:LMOSLCC2376_0244
ko:K02072	lmon:LMOSLCC2376_0261
ko:K02071	lmon:LMOSLCC2376_0262
ko:K02073	lmon:LMOSLCC2376_0263
ko:K03088	lmon:LMOSLCC2376_0416
ko:K05340	lmon:LMOSLCC2376_0417
ko:K08987	lmon:LMOSLCC2376_0498
ko:K07166	lmon:LMOSLCC2376_0512
ko:K09157	lmon:LMOSLCC2376_0513
ko:K02083	lmon:LMOSLCC2376_0516
ko:K02016	lmon:LMOSLCC2376_0520
ko:K02781	lmon:LMOSLCC2376_0521
ko:K08325	lmon:LMOSLCC2376_0533
ko:K03305	lmon:LMOSLCC2376_0534
ko:K00262	lmon:LMOSLCC2376_0539
ko:K02500	lmon:LMOSLCC2376_0542
ko:K01814	lmon:LMOSLCC2376_0543
ko:K02501	lmon:LMOSLCC2376_0544
ko:K01693	lmon:LMOSLCC2376_0545
ko:K00013	lmon:LMOSLCC2376_0546
ko:K00765	lmon:LMOSLCC2376_0547
ko:K02502	lmon:LMOSLCC2376_0548
ko:K04486	lmon:LMOSLCC2376_0549
ko:K07443	lmon:LMOSLCC2376_0550
ko:K06901	lmon:LMOSLCC2376_0552
ko:K01223	lmon:LMOSLCC2376_0553
ko:K06999	lmon:LMOSLCC2376_0559
ko:K06969	lmon:LMOSLCC2376_0560
ko:K03070	lmon:LMOSLCC2376_0562
ko:K01669	lmon:LMOSLCC2376_0567
ko:K00641	lmon:LMOSLCC2376_0573
ko:K01740	lmon:LMOSLCC2376_0574
ko:K03523	lmon:LMOSLCC2376_0578
ko:K01421	lmon:LMOSLCC2376_0443
ko:K01442	lmon:LMOSLCC2376_0445
ko:K02557	lmon:LMOSLCC2376_0665
ko:K03415	lmon:LMOSLCC2376_0668
ko:K02406	lmon:LMOSLCC2376_0669
ko:K03413	lmon:LMOSLCC2376_0670
ko:K03407	lmon:LMOSLCC2376_0671
ko:K02417	lmon:LMOSLCC2376_0672
ko:K02389	lmon:LMOSLCC2376_0675
ko:K02390	lmon:LMOSLCC2376_0676
ko:K02417	lmon:LMOSLCC2376_0677
ko:K02416	lmon:LMOSLCC2376_0678
ko:K02417	lmon:LMOSLCC2376_0679
ko:K09770	lmon:LMOSLCC2376_0682
ko:K02396	lmon:LMOSLCC2376_0684
ko:K02397	lmon:LMOSLCC2376_0685
ko:K02407	lmon:LMOSLCC2376_0686
ko:K02422	lmon:LMOSLCC2376_0687
ko:K02387	lmon:LMOSLCC2376_0689
ko:K02388	lmon:LMOSLCC2376_0690
ko:K02408	lmon:LMOSLCC2376_0691
ko:K02409	lmon:LMOSLCC2376_0692
ko:K02410	lmon:LMOSLCC2376_0693
ko:K02411	lmon:LMOSLCC2376_0694
ko:K02412	lmon:LMOSLCC2376_0695
ko:K00820	lmon:LMOSLCC2376_0706
ko:K07726	lmon:LMOSLCC2376_0713
ko:K15975	lmon:LMOSLCC2376_0726
ko:K06999	lmon:LMOSLCC2376_0727
ko:K03665	lmon:LMOSLCC2376_0729
ko:K03800	lmon:LMOSLCC2376_0731
ko:K01118	lmon:LMOSLCC2376_0754
ko:K11737	lmon:LMOSLCC2376_0755
ko:K07150	lmon:LMOSLCC2376_0761
ko:K07118	lmon:LMOSLCC2376_0762
ko:K05786	lmon:LMOSLCC2376_0763
ko:K11733	lmon:LMOSLCC2376_0766
ko:K00847	lmon:LMOSLCC2376_0780
ko:K03324	lmon:LMOSLCC2376_0793
ko:K03737	lmon:LMOSLCC2376_0794
ko:K04041	lmon:LMOSLCC2376_0795
ko:K07088	lmon:LMOSLCC2376_0797
ko:K13256	lmon:LMOSLCC2376_0803
ko:K13920	lmon:LMOSLCC2376_1106
ko:K04024	lmon:LMOSLCC2376_1112
ko:K13922	lmon:LMOSLCC2376_1116
ko:K02440	lmon:LMOSLCC2376_1118
ko:K00925	lmon:LMOSLCC2376_1119
ko:K04019	lmon:LMOSLCC2376_1126
ko:K03735	lmon:LMOSLCC2376_1127
ko:K03736	lmon:LMOSLCC2376_1128
ko:K04026	lmon:LMOSLCC2376_1129
ko:K04032	lmon:LMOSLCC2376_1133
ko:K04023	lmon:LMOSLCC2376_1138
ko:K04030	lmon:LMOSLCC2376_1139
ko:K02224	lmon:LMOSLCC2376_1142
ko:K02227	lmon:LMOSLCC2376_1143
ko:K06042	lmon:LMOSLCC2376_1144
ko:K02188	lmon:LMOSLCC2376_1145
ko:K02191	lmon:LMOSLCC2376_1147
ko:K05936	lmon:LMOSLCC2376_1148
ko:K02189	lmon:LMOSLCC2376_1149
ko:K01921	lmon:LMOSLCC2376_0823
ko:K01929	lmon:LMOSLCC2376_0824
ko:K02529	lmon:LMOSLCC2376_0826
ko:K05592	lmon:LMOSLCC2376_0835
ko:K02759	lmon:LMOSLCC2376_0843
ko:K02760	lmon:LMOSLCC2376_0844
ko:K02761	lmon:LMOSLCC2376_0845
ko:K00231	lmon:LMOSLCC2376_0853
ko:K00997	lmon:LMOSLCC2376_0854
ko:K01775	lmon:LMOSLCC2376_0855
ko:K07723	lmon:LMOSLCC2376_0856
ko:K03321	lmon:LMOSLCC2376_0866
ko:K06959	lmon:LMOSLCC2376_0867
ko:K02760	lmon:LMOSLCC2376_0885
ko:K02761	lmon:LMOSLCC2376_0886
ko:K02759	lmon:LMOSLCC2376_0887
ko:K01223	lmon:LMOSLCC2376_0888
ko:K07089	lmon:LMOSLCC2376_0891
ko:K03652	lmon:LMOSLCC2376_0898
ko:K03800	lmon:LMOSLCC2376_0902
ko:K03216	lmon:LMOSLCC2376_0906
ko:K04079	lmon:LMOSLCC2376_0912
ko:K04047	lmon:LMOSLCC2376_0913
ko:K03449	lmon:LMOSLCC2376_0918
ko:K01443	lmon:LMOSLCC2376_0927
ko:K03710	lmon:LMOSLCC2376_0929
ko:K08303	lmon:LMOSLCC2376_0932
ko:K03744	lmon:LMOSLCC2376_0933
ko:K03799	lmon:LMOSLCC2376_0934
ko:K00858	lmon:LMOSLCC2376_0939
ko:K06180	lmon:LMOSLCC2376_0940
ko:K00208	lmon:LMOSLCC2376_0941
ko:K03740	lmon:LMOSLCC2376_0942
ko:K14188	lmon:LMOSLCC2376_0943
ko:K03739	lmon:LMOSLCC2376_0944
ko:K03367	lmon:LMOSLCC2376_0945
ko:K01807	lmon:LMOSLCC2376_0947
ko:K00826	lmon:LMOSLCC2376_0950
ko:K00432	lmon:LMOSLCC2376_0955
ko:K02837	lmon:LMOSLCC2376_0960
ko:K05823	lmon:LMOSLCC2376_0985
ko:K02000	lmon:LMOSLCC2376_0987
ko:K02001	lmon:LMOSLCC2376_0988
ko:K02002	lmon:LMOSLCC2376_0989
ko:K00243	lmon:LMOSLCC2376_0992
ko:K11622	lmon:LMOSLCC2376_0993
ko:K02529	lmon:LMOSLCC2376_1003
ko:K00615	lmon:LMOSLCC2376_1005
ko:K00615	lmon:LMOSLCC2376_1006
ko:K00864	lmon:LMOSLCC2376_1007
ko:K03752	lmon:LMOSLCC2376_1011
ko:K02018	lmon:LMOSLCC2376_1013
ko:K02020	lmon:LMOSLCC2376_1014
ko:K03750	lmon:LMOSLCC2376_1015
ko:K03753	lmon:LMOSLCC2376_1016
ko:K03636	lmon:LMOSLCC2376_1018
ko:K03637	lmon:LMOSLCC2376_1019
ko:K03639	lmon:LMOSLCC2376_1020
ko:K03638	lmon:LMOSLCC2376_1021
ko:K01462	lmon:LMOSLCC2376_1024
ko:K00161	lmon:LMOSLCC2376_1025
ko:K00162	lmon:LMOSLCC2376_1026
ko:K00627	lmon:LMOSLCC2376_1027
ko:K00382	lmon:LMOSLCC2376_1028
ko:K03284	lmon:LMOSLCC2376_1033
ko:K06207	lmon:LMOSLCC2376_1036
ko:K03588	lmon:LMOSLCC2376_1040
ko:K02016	lmon:LMOSLCC2376_1042
ko:K00963	lmon:LMOSLCC2376_1049
ko:K00763	lmon:LMOSLCC2376_1057
ko:K02760	lmon:LMOSLCC2376_1060
ko:K01951	lmon:LMOSLCC2376_1061
ko:K03827	lmon:LMOSLCC2376_1075
ko:K01358	lmon:LMOSLCC2376_1089
ko:K02304	lmon:LMOSLCC2376_1092
ko:K04031	lmon:LMOSLCC2376_1095
ko:K04029	lmon:LMOSLCC2376_1096
ko:K02231	lmon:LMOSLCC2376_1098
ko:K02233	lmon:LMOSLCC2376_1099
ko:K13919	lmon:LMOSLCC2376_1105
ko:K02761	lmon:LMOSLCC2376_0872
ko:K11068	lmon:LMOSLCC2376_1826
ko:K09773	lmon:LMOSLCC2376_1828
ko:K00563	lmon:LMOSLCC2376_1834
ko:K15738	lmon:LMOSLCC2376_1837
ko:K01938	lmon:LMOSLCC2376_1838
ko:K03704	lmon:LMOSLCC2376_1840
ko:K02954	lmon:LMOSLCC2376_1843
ko:K16169	lmon:LMOSLCC2376_1845
ko:K03816	lmon:LMOSLCC2376_1846
ko:K01299	lmon:LMOSLCC2376_1847
ko:K07444	lmon:LMOSLCC2376_1848
ko:K05366	lmon:LMOSLCC2376_1853
ko:K10773	lmon:LMOSLCC2376_1855
ko:K01893	lmon:LMOSLCC2376_1858
ko:K00812	lmon:LMOSLCC2376_1859
ko:K01579	lmon:LMOSLCC2376_1862
ko:K02965	lmon:LMOSLCC2376_2525
ko:K02886	lmon:LMOSLCC2376_2526
ko:K02892	lmon:LMOSLCC2376_2527
ko:K02926	lmon:LMOSLCC2376_2528
ko:K02906	lmon:LMOSLCC2376_2529
ko:K02946	lmon:LMOSLCC2376_2530
ko:K03734	lmon:LMOSLCC2376_2533
ko:K03885	lmon:LMOSLCC2376_2535
ko:K02358	lmon:LMOSLCC2376_2550
ko:K02355	lmon:LMOSLCC2376_2551
ko:K02992	lmon:LMOSLCC2376_2552
ko:K02950	lmon:LMOSLCC2376_2553
ko:K01129	lmon:LMOSLCC2376_2554
ko:K01783	lmon:LMOSLCC2376_2556
ko:K00615	lmon:LMOSLCC2376_2557
ko:K01783	lmon:LMOSLCC2376_2558
ko:K01808	lmon:LMOSLCC2376_2559
ko:K02774	lmon:LMOSLCC2376_2563
ko:K02773	lmon:LMOSLCC2376_2564
ko:K01808	lmon:LMOSLCC2376_2570
ko:K13542	lmon:LMOSLCC2376_1152
ko:K03394	lmon:LMOSLCC2376_1154
ko:K02007	lmon:LMOSLCC2376_1155
ko:K02232	lmon:LMOSLCC2376_1159
ko:K09936	lmon:LMOSLCC2376_1161
ko:K09936	lmon:LMOSLCC2376_1162
ko:K03437	lmon:LMOSLCC2376_1167
ko:K01889	lmon:LMOSLCC2376_1170
ko:K01890	lmon:LMOSLCC2376_1171
ko:K02003	lmon:LMOSLCC2376_1172
ko:K03648	lmon:LMOSLCC2376_1176
ko:K09888	lmon:LMOSLCC2376_1178
ko:K02347	lmon:LMOSLCC2376_1180
ko:K07456	lmon:LMOSLCC2376_1181
ko:K03671	lmon:LMOSLCC2376_1182
ko:K03703	lmon:LMOSLCC2376_1183
ko:K00928	lmon:LMOSLCC2376_1184
ko:K01776	lmon:LMOSLCC2376_1186
ko:K00989	lmon:LMOSLCC2376_1187
ko:K07095	lmon:LMOSLCC2376_1189
ko:K01918	lmon:LMOSLCC2376_1863
ko:K00606	lmon:LMOSLCC2376_1864
ko:K03524	lmon:LMOSLCC2376_1866
ko:K01734	lmon:LMOSLCC2376_1868
ko:K00215	lmon:LMOSLCC2376_1869
ko:K00656	lmon:LMOSLCC2376_1879
ko:K07007	lmon:LMOSLCC2376_1880
ko:K06973	lmon:LMOSLCC2376_1881
ko:K00800	lmon:LMOSLCC2376_1885
ko:K00817	lmon:LMOSLCC2376_1887
ko:K06208	lmon:LMOSLCC2376_1888
ko:K01735	lmon:LMOSLCC2376_1889
ko:K01736	lmon:LMOSLCC2376_1890
ko:K00940	lmon:LMOSLCC2376_1891
ko:K03183	lmon:LMOSLCC2376_1893
ko:K01495	lmon:LMOSLCC2376_1895
ko:K03530	lmon:LMOSLCC2376_1896
ko:K00057	lmon:LMOSLCC2376_1898
ko:K03977	lmon:LMOSLCC2376_1899
ko:K02945	lmon:LMOSLCC2376_1900
ko:K00945	lmon:LMOSLCC2376_1901
ko:K03654	lmon:LMOSLCC2376_1904
ko:K07667	lmon:LMOSLCC2376_2574
ko:K07646	lmon:LMOSLCC2376_2575
ko:K01548	lmon:LMOSLCC2376_2576
ko:K01547	lmon:LMOSLCC2376_2577
ko:K01546	lmon:LMOSLCC2376_2578
ko:K02760	lmon:LMOSLCC2376_2579
ko:K02761	lmon:LMOSLCC2376_2580
ko:K02759	lmon:LMOSLCC2376_2581
ko:K01531	lmon:LMOSLCC2376_2584
ko:K00943	lmon:LMOSLCC2376_2588
ko:K05878	lmon:LMOSLCC2376_2590
ko:K05879	lmon:LMOSLCC2376_2591
ko:K06187	lmon:LMOSLCC2376_2597
ko:K09747	lmon:LMOSLCC2376_2598
ko:K02343	lmon:LMOSLCC2376_2599
ko:K02761	lmon:LMOSLCC2376_2603
ko:K00426	lmon:LMOSLCC2376_2612
ko:K00425	lmon:LMOSLCC2376_2613
ko:K01895	lmon:LMOSLCC2376_2615
ko:K02818	lmon:LMOSLCC2376_1207
ko:K02819	lmon:LMOSLCC2376_1207
ko:K00147	lmon:LMOSLCC2376_1212
ko:K00931	lmon:LMOSLCC2376_1213
ko:K03545	lmon:LMOSLCC2376_1218
ko:K03544	lmon:LMOSLCC2376_1219
ko:K03100	lmon:LMOSLCC2376_1220
ko:K03100	lmon:LMOSLCC2376_1221
ko:K03100	lmon:LMOSLCC2376_1222
ko:K14540	lmon:LMOSLCC2376_1223
ko:K03470	lmon:LMOSLCC2376_1224
ko:K04096	lmon:LMOSLCC2376_1225
ko:K03168	lmon:LMOSLCC2376_1226
ko:K04094	lmon:LMOSLCC2376_1227
ko:K03733	lmon:LMOSLCC2376_1228
ko:K01419	lmon:LMOSLCC2376_1229
ko:K03667	lmon:LMOSLCC2376_1230
ko:K03706	lmon:LMOSLCC2376_1231
ko:K07107	lmon:LMOSLCC2376_1232
ko:K08591	lmon:LMOSLCC2376_1235
ko:K02622	lmon:LMOSLCC2376_1237
ko:K02621	lmon:LMOSLCC2376_1238
ko:K07173	lmon:LMOSLCC2376_1239
ko:K01126	lmon:LMOSLCC2376_1246
ko:K07651	lmon:LMOSLCC2376_1909
ko:K07775	lmon:LMOSLCC2376_1910
ko:K06178	lmon:LMOSLCC2376_1911
ko:K06024	lmon:LMOSLCC2376_1912
ko:K05896	lmon:LMOSLCC2376_1913
ko:K01586	lmon:LMOSLCC2376_1914
ko:K01839	lmon:LMOSLCC2376_1916
ko:K02015	lmon:LMOSLCC2376_1919
ko:K02015	lmon:LMOSLCC2376_1920
ko:K02016	lmon:LMOSLCC2376_1921
ko:K02013	lmon:LMOSLCC2376_1922
ko:K02346	lmon:LMOSLCC2376_1930
ko:K07124	lmon:LMOSLCC2376_1931
ko:K00036	lmon:LMOSLCC2376_1933
ko:K01687	lmon:LMOSLCC2376_1938
ko:K01652	lmon:LMOSLCC2376_1939
ko:K01653	lmon:LMOSLCC2376_1940
ko:K00053	lmon:LMOSLCC2376_1941
ko:K01649	lmon:LMOSLCC2376_1942
ko:K00052	lmon:LMOSLCC2376_1943
ko:K01703	lmon:LMOSLCC2376_1944
ko:K01704	lmon:LMOSLCC2376_1945
ko:K01754	lmon:LMOSLCC2376_1946
ko:K01575	lmon:LMOSLCC2376_1947
ko:K00756	lmon:LMOSLCC2376_1948
ko:K02529	lmon:LMOSLCC2376_1949
ko:K05346	lmon:LMOSLCC2376_1951
ko:K02768	lmon:LMOSLCC2376_2627
ko:K02769	lmon:LMOSLCC2376_2627
ko:K02770	lmon:LMOSLCC2376_2627
ko:K00865	lmon:LMOSLCC2376_2630
ko:K12410	lmon:LMOSLCC2376_2634
ko:K01875	lmon:LMOSLCC2376_2642
ko:K06978	lmon:LMOSLCC2376_2650
ko:K03654	lmon:LMOSLCC2376_2652
ko:K01223	lmon:LMOSLCC2376_2657
ko:K02760	lmon:LMOSLCC2376_2658
ko:K02761	lmon:LMOSLCC2376_2659
ko:K02759	lmon:LMOSLCC2376_2661
ko:K00111	lmon:LMOSLCC2376_1247
ko:K00791	lmon:LMOSLCC2376_1248
ko:K03666	lmon:LMOSLCC2376_1249
ko:K03665	lmon:LMOSLCC2376_1250
ko:K01915	lmon:LMOSLCC2376_1253
ko:K03893	lmon:LMOSLCC2376_1254
ko:K01356	lmon:LMOSLCC2376_1256
ko:K00615	lmon:LMOSLCC2376_1259
ko:K09903	lmon:LMOSLCC2376_1267
ko:K02838	lmon:LMOSLCC2376_1268
ko:K00806	lmon:LMOSLCC2376_1269
ko:K00981	lmon:LMOSLCC2376_1270
ko:K00099	lmon:LMOSLCC2376_1271
ko:K11749	lmon:LMOSLCC2376_1272
ko:K01881	lmon:LMOSLCC2376_1273
ko:K03763	lmon:LMOSLCC2376_1274
ko:K09748	lmon:LMOSLCC2376_1275
ko:K02600	lmon:LMOSLCC2376_1276
ko:K07742	lmon:LMOSLCC2376_1277
ko:K02519	lmon:LMOSLCC2376_1279
ko:K02834	lmon:LMOSLCC2376_1281
ko:K11753	lmon:LMOSLCC2376_1283
ko:K02116	lmon:LMOSLCC2376_2430
ko:K07027	lmon:LMOSLCC2376_2446
ko:K03713	lmon:LMOSLCC2376_1252
ko:K09976	lmon:LMOSLCC2376_1260
ko:K09764	lmon:LMOSLCC2376_1280
ko:K03177	lmon:LMOSLCC2376_1282
ko:K01934	lmon:LMOSLCC2376_1290
ko:K00845	lmon:LMOSLCC2376_1293
ko:K02249	lmon:LMOSLCC2376_1295
ko:K02248	lmon:LMOSLCC2376_1296
ko:K02246	lmon:LMOSLCC2376_1298
ko:K02245	lmon:LMOSLCC2376_1299
ko:K02244	lmon:LMOSLCC2376_1300
ko:K07720	lmon:LMOSLCC2376_1965
ko:K09704	lmon:LMOSLCC2376_1968
ko:K10254	lmon:LMOSLCC2376_0462
ko:K02775	lmon:LMOSLCC2376_0487
ko:K01222	lmon:LMOSLCC2376_0501
ko:K03316	lmon:LMOSLCC2376_0770
ko:K11072	lmon:LMOSLCC2376_0774
ko:K11071	lmon:LMOSLCC2376_0775
ko:K11069	lmon:LMOSLCC2376_0777
ko:K01674	lmon:LMOSLCC2376_0778
ko:K02371	lmon:LMOSLCC2376_0781
ko:K00054	lmon:LMOSLCC2376_0792
ko:K06147	lmon:LMOSLCC2376_0804
ko:K07784	lmon:LMOSLCC2376_0805
ko:K06286	lmon:LMOSLCC2376_1553
ko:K01439	lmon:LMOSLCC2376_1578
ko:K02564	lmon:LMOSLCC2376_2253
ko:K01580	lmon:LMOSLCC2376_2258
ko:K01191	lmon:LMOSLCC2376_1969
ko:K01191	lmon:LMOSLCC2376_1970
ko:K07105	lmon:LMOSLCC2376_1976
ko:K08724	lmon:LMOSLCC2376_1992
ko:K08152	lmon:LMOSLCC2376_1996
ko:K07177	lmon:LMOSLCC2376_2005
ko:K08161	lmon:LMOSLCC2376_2636
ko:K00616	lmon:LMOSLCC2376_2638
ko:K07343	lmon:LMOSLCC2376_2641
ko:K03342	lmon:LMOSLCC2376_2645
ko:K07258	lmon:LMOSLCC2376_2649
ko:K00088	lmon:LMOSLCC2376_2653
ko:K02755	lmon:LMOSLCC2376_2668
ko:K02756	lmon:LMOSLCC2376_2668
ko:K02757	lmon:LMOSLCC2376_2668
ko:K03488	lmon:LMOSLCC2376_2669
ko:K02004	lmon:LMOSLCC2376_2671
ko:K02851	lmon:LMOSLCC2376_0930
ko:K01916	lmon:LMOSLCC2376_1058
ko:K06889	lmon:LMOSLCC2376_1076
ko:K02823	lmon:LMOSLCC2376_1795
ko:K02824	lmon:LMOSLCC2376_1800
ko:K07213	lmon:LMOSLCC2376_1814
ko:K03784	lmon:LMOSLCC2376_1818
ko:K03810	lmon:LMOSLCC2376_1820
ko:K07305	lmon:LMOSLCC2376_1821
ko:K07304	lmon:LMOSLCC2376_1822
ko:K03048	lmon:LMOSLCC2376_2453
ko:K02035	lmon:LMOSLCC2376_2463
ko:K02004	lmon:LMOSLCC2376_2477
ko:K03593	lmon:LMOSLCC2376_2487
ko:K02243	lmon:LMOSLCC2376_1301
ko:K01262	lmon:LMOSLCC2376_1308
ko:K00929	lmon:LMOSLCC2376_1324
ko:K00033	lmon:LMOSLCC2376_1331
ko:K01823	lmon:LMOSLCC2376_1338
ko:K02056	lmon:LMOSLCC2376_1344
ko:K07052	lmon:LMOSLCC2376_2025
ko:K06889	lmon:LMOSLCC2376_2029
ko:K01409	lmon:LMOSLCC2376_2030
ko:K05020	lmon:LMOSLCC2376_2048
ko:K00882	lmon:LMOSLCC2376_2051
ko:K02775	lmon:LMOSLCC2376_2052
ko:K03491	lmon:LMOSLCC2376_2684
ko:K02755	lmon:LMOSLCC2376_2687
ko:K02756	lmon:LMOSLCC2376_2687
ko:K01222	lmon:LMOSLCC2376_0515
ko:K01635	lmon:LMOSLCC2376_0518
ko:K02782	lmon:LMOSLCC2376_0522
ko:K02783	lmon:LMOSLCC2376_0522
ko:K02783	lmon:LMOSLCC2376_0523
ko:K07404	lmon:LMOSLCC2376_0537
ko:K01523	lmon:LMOSLCC2376_0540
ko:K01496	lmon:LMOSLCC2376_0541
ko:K02025	lmon:LMOSLCC2376_0828
ko:K01226	lmon:LMOSLCC2376_0830
ko:K09167	lmon:LMOSLCC2376_0851
ko:K08981	lmon:LMOSLCC2376_0852
ko:K07315	lmon:LMOSLCC2376_0861
ko:K03090	lmon:LMOSLCC2376_0864
ko:K05518	lmon:LMOSLCC2376_0865
ko:K02799	lmon:LMOSLCC2376_2699
ko:K02800	lmon:LMOSLCC2376_2699
ko:K01788	lmon:LMOSLCC2376_2701
ko:K00059	lmon:LMOSLCC2376_2714
ko:K02757	lmon:LMOSLCC2376_2687
ko:K03488	lmon:LMOSLCC2376_2688
ko:K02798	lmon:LMOSLCC2376_2697
ko:K07570	lmon:LMOSLCC2376_2267
ko:K02004	lmon:LMOSLCC2376_2269
ko:K03768	lmon:LMOSLCC2376_2274
ko:K05565	lmon:LMOSLCC2376_2276
ko:K05568	lmon:LMOSLCC2376_2279
ko:K05570	lmon:LMOSLCC2376_2281
ko:K00657	lmon:LMOSLCC2376_2296
ko:K04488	lmon:LMOSLCC2376_2304
ko:K03574	lmon:LMOSLCC2376_1579
ko:K00059	lmon:LMOSLCC2376_1349
