ko:K08744	mtue:J114_09725
ko:K00990	mtue:J114_15580
ko:K04751	mtue:J114_15585
ko:K03320	mtue:J114_15590
ko:K03110	mtue:J114_15595
ko:K03529	mtue:J114_15600
ko:K01512	mtue:J114_15605
ko:K03685	mtue:J114_15620
ko:K07040	mtue:J114_15625
ko:K04095	mtue:J114_19445
ko:K02341	mtue:J114_19465
ko:K03168	mtue:J114_19475
ko:K03704	mtue:J114_19485
ko:K12510	mtue:J114_19535
ko:K02283	mtue:J114_19540
ko:K15581	mtue:J114_19580
ko:K15580	mtue:J114_19585
ko:K01895	mtue:J114_19590
ko:K10773	mtue:J114_19625
ko:K01738	mtue:J114_19680
ko:K09117	mtue:J114_19700
ko:K03924	mtue:J114_19720
ko:K02961	mtue:J114_03790
ko:K02874	mtue:J114_03810
ko:K02895	mtue:J114_03815
ko:K02931	mtue:J114_03820
ko:K02954	mtue:J114_03825
ko:K02994	mtue:J114_03830
ko:K02933	mtue:J114_03835
ko:K02881	mtue:J114_03840
ko:K02988	mtue:J114_03845
ko:K02907	mtue:J114_03850
ko:K02876	mtue:J114_03855
ko:K04773	mtue:J114_03860
ko:K01628	mtue:J114_03875
ko:K14652	mtue:J114_07595
ko:K00794	mtue:J114_07600
ko:K03703	mtue:J114_07620
ko:K06958	mtue:J114_07625
ko:K00134	mtue:J114_07695
ko:K00927	mtue:J114_07700
ko:K01803	mtue:J114_07705
ko:K03075	mtue:J114_07720
ko:K01057	mtue:J114_07750
ko:K00615	mtue:J114_07780
ko:K02259	mtue:J114_07815
ko:K09014	mtue:J114_07840
ko:K09015	mtue:J114_07845
ko:K09013	mtue:J114_07850
ko:K11717	mtue:J114_07855
ko:K00766	mtue:J114_11745
ko:K02276	mtue:J114_11750
ko:K02275	mtue:J114_11785
ko:K01953	mtue:J114_11790
ko:K00865	mtue:J114_11810
ko:K00768	mtue:J114_11820
ko:K02233	mtue:J114_11825
ko:K00826	mtue:J114_11835
ko:K00605	mtue:J114_11840
ko:K01255	mtue:J114_11850
ko:K00658	mtue:J114_11860
ko:K07071	mtue:J114_11865
ko:K03801	mtue:J114_11870
ko:K03644	mtue:J114_11875
ko:K01915	mtue:J114_11890
ko:K00982	mtue:J114_11895
ko:K01915	mtue:J114_11900
ko:K00606	mtue:J114_11920
ko:K09990	mtue:J114_11930
ko:K07164	mtue:J114_11940
ko:K00817	mtue:J114_11950
ko:K07089	mtue:J114_15825
ko:K01433	mtue:J114_15830
ko:K00954	mtue:J114_15840
ko:K03655	mtue:J114_15885
ko:K02902	mtue:J114_15895
ko:K03648	mtue:J114_15900
ko:K00946	mtue:J114_15905
ko:K01921	mtue:J114_15925
ko:K00057	mtue:J114_15930
ko:K00937	mtue:J114_15940
ko:K03530	mtue:J114_15950
ko:K01704	mtue:J114_15955
ko:K01703	mtue:J114_15960
ko:K07008	mtue:J114_19775
ko:K01919	mtue:J114_19785
ko:K00133	mtue:J114_19805
ko:K00928	mtue:J114_19810
ko:K01649	mtue:J114_19815
ko:K06187	mtue:J114_19840
ko:K09747	mtue:J114_19845
ko:K01448	mtue:J114_19850
ko:K00574	mtue:J114_19865
ko:K02343	mtue:J114_19870
ko:K06937	mtue:J114_19925
ko:K09129	mtue:J114_19960
ko:K07682	mtue:J114_16760
ko:K14220	mtue:J114_t21025
ko:K14232	mtue:J114_t21027
ko:K01980	mtue:J114_r21071
ko:K14222	mtue:J114_t21041
ko:K12445	mtue:J114_15770
ko:K19311	mtue:J114_17150
ko:K01990	mtue:J114_09015
ko:K14228	mtue:J114_t20981
ko:K14233	mtue:J114_t21065
ko:K14233	mtue:J114_t21059
ko:K14233	mtue:J114_t21063
ko:K14233	mtue:J114_t21057
ko:K14232	mtue:J114_t21055
ko:K14234	mtue:J114_t20993
ko:K14229	mtue:J114_t20995
ko:K14221	mtue:J114_t20999
ko:K14219	mtue:J114_t21003
ko:K14218	mtue:J114_t21005
ko:K14223	mtue:J114_t21007
ko:K14228	mtue:J114_t21009
ko:K14219	mtue:J114_t21011
ko:K07045	mtue:J114_10015
ko:K14229	mtue:J114_t21035
ko:K14230	mtue:J114_t21023
ko:K14237	mtue:J114_t21021
ko:K14228	mtue:J114_t21015
ko:K14237	mtue:J114_t21037
ko:K14225	mtue:J114_t21039
ko:K14218	mtue:J114_t21049
ko:K14235	mtue:J114_t20991
ko:K14234	mtue:J114_t20987
ko:K14225	mtue:J114_t20983
ko:K14218	mtue:J114_t20979
ko:K14236	mtue:J114_t20985
ko:K14230	mtue:J114_t20989
ko:K14224	mtue:J114_t20997
ko:K14231	mtue:J114_t21001
ko:K14228	mtue:J114_t21013
ko:K14232	mtue:J114_t21017
ko:K14225	mtue:J114_t21029
ko:K14219	mtue:J114_t21031
ko:K14226	mtue:J114_t21033
ko:K14230	mtue:J114_t21051
ko:K14219	mtue:J114_t21061
ko:K01985	mtue:J114_r21067
ko:K00265	mtue:J114_20625
ko:K00951	mtue:J114_13820
ko:K01977	mtue:J114_r21069
ko:K01897	mtue:J114_11715
ko:K02484	mtue:J114_04050
ko:K02484	mtue:J114_20100
ko:K02484	mtue:J114_03205
ko:K02484	mtue:J114_03210
ko:K14227	mtue:J114_t20977
ko:K14228	mtue:J114_t21019
ko:K14224	mtue:J114_t21045
ko:K14223	mtue:J114_t21047
ko:K14237	mtue:J114_t21043
ko:K10112	mtue:J114_10900
ko:K01990	mtue:J114_06565
ko:K01990	mtue:J114_07825
ko:K01990	mtue:J114_15680
ko:K17484	mtue:J114_12195
ko:K17483	mtue:J114_12200
ko:K00384	mtue:J114_07895
ko:K08256	mtue:J114_13960
ko:K01488	mtue:J114_17770
ko:K00758	mtue:J114_17775
ko:K01489	mtue:J114_17780
ko:K00241	mtue:J114_17785
ko:K07258	mtue:J114_17850
ko:K06994	mtue:J114_02140
ko:K14949	mtue:J114_02180
ko:K02030	mtue:J114_02185
ko:K03574	mtue:J114_02195
ko:K03153	mtue:J114_02205
ko:K01679	mtue:J114_05935
ko:K02446	mtue:J114_05940
ko:K16045	mtue:J114_05980
ko:K00033	mtue:J114_06050
ko:K00626	mtue:J114_06125
ko:K16168	mtue:J114_06145
ko:K07052	mtue:J114_06150
ko:K01692	mtue:J114_06155
ko:K01692	mtue:J114_06160
ko:K01796	mtue:J114_06165
ko:K06994	mtue:J114_06180
ko:K00626	mtue:J114_09950
ko:K00101	mtue:J114_09975
ko:K04093	mtue:J114_10045
ko:K08178	mtue:J114_10140
ko:K06910	mtue:J114_10185
ko:K06910	mtue:J114_10190
ko:K16647	mtue:J114_14270
ko:K06945	mtue:J114_18030
ko:K07131	mtue:J114_18040
ko:K14162	mtue:J114_18070
ko:K01426	mtue:J114_18100
ko:K07025	mtue:J114_18105
ko:K13787	mtue:J114_18130
ko:K13787	mtue:J114_18205
ko:K03333	mtue:J114_18265
ko:K00088	mtue:J114_18270
ko:K06994	mtue:J114_02390
ko:K01692	mtue:J114_02420
ko:K16645	mtue:J114_02530
ko:K01619	mtue:J114_02545
ko:K15521	mtue:J114_02585
ko:K13669	mtue:J114_06265
ko:K01724	mtue:J114_06270
ko:K03574	mtue:J114_06275
ko:K00374	mtue:J114_06295
ko:K15525	mtue:J114_06325
ko:K11779	mtue:J114_06345
ko:K00219	mtue:J114_06355
ko:K06994	mtue:J114_06390
ko:K12423	mtue:J114_06400
ko:K00294	mtue:J114_06410
ko:K00674	mtue:J114_06480
ko:K01439	mtue:J114_06485
ko:K00666	mtue:J114_10265
ko:K01692	mtue:J114_10320
ko:K02067	mtue:J114_10490
ko:K02067	mtue:J114_10495
ko:K02067	mtue:J114_10500
ko:K02067	mtue:J114_10505
ko:K02067	mtue:J114_10510
ko:K02067	mtue:J114_10515
ko:K07305	mtue:J114_14275
ko:K01692	mtue:J114_14300
ko:K16905	mtue:J114_14340
ko:K16906	mtue:J114_14345
ko:K16907	mtue:J114_14350
ko:K03499	mtue:J114_14365
ko:K03499	mtue:J114_14370
ko:K01092	mtue:J114_14415
ko:K03087	mtue:J114_14460
ko:K03709	mtue:J114_14465
ko:K05794	mtue:J114_14530
ko:K01409	mtue:J114_18320
ko:K01580	mtue:J114_18395
ko:K14743	mtue:J114_18480
ko:K01834	mtue:J114_02605
ko:K07768	mtue:J114_02610
ko:K07776	mtue:J114_02615
ko:K01784	mtue:J114_02680
ko:K06994	mtue:J114_02710
ko:K06196	mtue:J114_02815
ko:K11608	mtue:J114_02855
ko:K09931	mtue:J114_02895
ko:K00666	mtue:J114_06505
ko:K13693	mtue:J114_06515
ko:K16148	mtue:J114_06535
ko:K08981	mtue:J114_06605
ko:K09167	mtue:J114_06610
ko:K03593	mtue:J114_06625
ko:K02025	mtue:J114_06665
ko:K01616	mtue:J114_06725
ko:K12953	mtue:J114_10685
ko:K03294	mtue:J114_10695
ko:K00038	mtue:J114_10710
ko:K07028	mtue:J114_10725
ko:K10533	mtue:J114_14615
ko:K00619	mtue:J114_14660
ko:K02067	mtue:J114_18685
ko:K02067	mtue:J114_18690
ko:K02067	mtue:J114_18695
ko:K02067	mtue:J114_18700
ko:K02067	mtue:J114_18705
ko:K02067	mtue:J114_18710
ko:K00059	mtue:J114_18725
ko:K05337	mtue:J114_18730
ko:K00666	mtue:J114_18745
ko:K01692	mtue:J114_18800
ko:K16046	mtue:J114_18810
ko:K00626	mtue:J114_18835
ko:K15982	mtue:J114_18850
ko:K00666	mtue:J114_02950
ko:K02549	mtue:J114_02960
ko:K12583	mtue:J114_02980
ko:K00805	mtue:J114_03005
ko:K02067	mtue:J114_03145
ko:K02067	mtue:J114_03150
ko:K02067	mtue:J114_03155
ko:K02067	mtue:J114_03160
ko:K02067	mtue:J114_03165
ko:K02067	mtue:J114_03170
ko:K01426	mtue:J114_06810
ko:K06147	mtue:J114_06855
ko:K06147	mtue:J114_06860
ko:K02035	mtue:J114_06895
ko:K02033	mtue:J114_06910
ko:K02851	mtue:J114_07015
ko:K16370	mtue:J114_10855
ko:K02025	mtue:J114_10910
ko:K03929	mtue:J114_10935
ko:K13540	mtue:J114_11060
ko:K00595	mtue:J114_11095
ko:K03709	mtue:J114_14870
ko:K03177	mtue:J114_14900
ko:K09002	mtue:J114_15045
ko:K01692	mtue:J114_15100
ko:K05816	mtue:J114_15105
ko:K05815	mtue:J114_15115
ko:K05814	mtue:J114_15120
ko:K04073	mtue:J114_18905
ko:K15981	mtue:J114_18960
ko:K00626	mtue:J114_18965
ko:K01692	mtue:J114_18985
ko:K00626	mtue:J114_19020
ko:K00059	mtue:J114_19035
ko:K00622	mtue:J114_19070
ko:K16049	mtue:J114_19085
ko:K16050	mtue:J114_19090
ko:K16047	mtue:J114_19095
ko:K15983	mtue:J114_19100
ko:K01692	mtue:J114_03375
ko:K00567	mtue:J114_07085
ko:K07503	mtue:J114_07110
ko:K00626	mtue:J114_07120
ko:K00700	mtue:J114_07135
ko:K02428	mtue:J114_07210
ko:K01909	mtue:J114_07230
ko:K14698	mtue:J114_07245
ko:K14699	mtue:J114_07250
ko:K00059	mtue:J114_07255
ko:K13573	mtue:J114_11230
ko:K13571	mtue:J114_11240
ko:K13570	mtue:J114_11315
ko:K13527	mtue:J114_11335
ko:K09764	mtue:J114_11345
ko:K07442	mtue:J114_11350
ko:K01523	mtue:J114_11370
ko:K00548	mtue:J114_11380
ko:K15526	mtue:J114_11415
ko:K01082	mtue:J114_11420
ko:K03404	mtue:J114_15195
ko:K02348	mtue:J114_15200
ko:K04652	mtue:J114_15230
ko:K04652	mtue:J114_15235
ko:K06976	mtue:J114_15295
ko:K01426	mtue:J114_15410
ko:K07067	mtue:J114_19175
ko:K14733	mtue:J114_19330
ko:K01507	mtue:J114_19380
ko:K09153	mtue:J114_19400
ko:K01784	mtue:J114_19410
ko:K00845	mtue:J114_03475
ko:K07052	mtue:J114_03515
ko:K03932	mtue:J114_03585
ko:K01692	mtue:J114_03595
ko:K01692	mtue:J114_03605
ko:K06994	mtue:J114_03610
ko:K00101	mtue:J114_03705
ko:K14954	mtue:J114_07570
ko:K06910	mtue:J114_11475
ko:K13787	mtue:J114_11640
ko:K13671	mtue:J114_11680
ko:K07258	mtue:J114_15540
ko:K10563	mtue:J114_15615
ko:K12426	mtue:J114_15640
ko:K12440	mtue:J114_15645
ko:K12443	mtue:J114_15670
ko:K12444	mtue:J114_15675
ko:K12427	mtue:J114_15705
ko:K06877	mtue:J114_19490
ko:K15582	mtue:J114_19575
ko:K12441	mtue:J114_15650
ko:K06994	mtue:J114_15710
ko:K00058	mtue:J114_03880
ko:K00854	mtue:J114_03885
ko:K09762	mtue:J114_07635
ko:K00616	mtue:J114_07775
ko:K14339	mtue:J114_07830
ko:K04488	mtue:J114_07860
ko:K12951	mtue:J114_07885
ko:K01692	mtue:J114_07900
ko:K13668	mtue:J114_11725
ko:K02342	mtue:J114_11740
ko:K03889	mtue:J114_11755
ko:K03890	mtue:J114_11760
ko:K03891	mtue:J114_11765
ko:K00856	mtue:J114_11795
ko:K12430	mtue:J114_15735
ko:K12430	mtue:J114_15740
ko:K01958	mtue:J114_15850
ko:K07030	mtue:J114_15890
ko:K14941	mtue:J114_15935
ko:K01885	mtue:J114_15980
ko:K02342	mtue:J114_19820
ko:K07009	mtue:J114_19830
ko:K09966	mtue:J114_20005
ko:K01664	mtue:J114_00085
ko:K00652	mtue:J114_00185
ko:K00939	mtue:J114_03905
ko:K00121	mtue:J114_04065
ko:K05917	mtue:J114_04080
ko:K01607	mtue:J114_04115
ko:K07114	mtue:J114_07960
ko:K11610	mtue:J114_07975
ko:K11611	mtue:J114_07980
ko:K01847	mtue:J114_08020
ko:K01847	mtue:J114_08025
ko:K07588	mtue:J114_08040
ko:K06994	mtue:J114_08180
ko:K12433	mtue:J114_08205
ko:K01104	mtue:J114_11975
ko:K03386	mtue:J114_12000
ko:K11609	mtue:J114_12035
ko:K11609	mtue:J114_12040
ko:K00153	mtue:J114_12115
ko:K00389	mtue:J114_12185
ko:K03316	mtue:J114_12240
ko:K01011	mtue:J114_12255
ko:K00058	mtue:J114_16005
ko:K02433	mtue:J114_16090
ko:K16149	mtue:J114_16200
ko:K16150	mtue:J114_16205
ko:K01692	mtue:J114_16250
ko:K04517	mtue:J114_20050
ko:K01692	mtue:J114_20165
ko:K16649	mtue:J114_20205
ko:K16653	mtue:J114_20240
ko:K16652	mtue:J114_20245
ko:K13686	mtue:J114_20250
ko:K11387	mtue:J114_20255
ko:K11385	mtue:J114_20260
ko:K11386	mtue:J114_20265
ko:K12437	mtue:J114_20295
ko:K12428	mtue:J114_20305
ko:K09118	mtue:J114_00350
ko:K02004	mtue:J114_00405
ko:K06986	mtue:J114_04190
ko:K07077	mtue:J114_04195
ko:K07052	mtue:J114_04280
ko:K02619	mtue:J114_04320
ko:K14953	mtue:J114_20095
ko:K01011	mtue:J114_04340
ko:K15520	mtue:J114_04360
ko:K01424	mtue:J114_08260
ko:K00244	mtue:J114_08335
ko:K00245	mtue:J114_08340
ko:K00247	mtue:J114_08350
ko:K06994	mtue:J114_08360
ko:K00652	mtue:J114_08420
ko:K06889	mtue:J114_12340
ko:K02025	mtue:J114_12400
ko:K00819	mtue:J114_12435
ko:K00819	mtue:J114_12440
ko:K00027	mtue:J114_12500
ko:K06994	mtue:J114_12535
ko:K02274	mtue:J114_16270
ko:K03647	mtue:J114_16320
ko:K01835	mtue:J114_16410
ko:K13419	mtue:J114_16480
ko:K00121	mtue:J114_16510
ko:K13687	mtue:J114_20325
ko:K14136	mtue:J114_20330
ko:K16650	mtue:J114_20340
ko:K01854	mtue:J114_20345
ko:K14952	mtue:J114_20405
ko:K06994	mtue:J114_20430
ko:K04518	mtue:J114_20505
ko:K10215	mtue:J114_20600
ko:K01243	mtue:J114_00510
ko:K12949	mtue:J114_00515
ko:K02351	mtue:J114_00570
ko:K07245	mtue:J114_00570
ko:K12949	mtue:J114_00575
ko:K12955	mtue:J114_00595
ko:K07031	mtue:J114_00635
ko:K01577	mtue:J114_00655
ko:K16146	mtue:J114_00700
ko:K07304	mtue:J114_00755
ko:K01259	mtue:J114_04475
ko:K02480	mtue:J114_04500
ko:K01796	mtue:J114_04555
ko:K01782	mtue:J114_04585
ko:K10843	mtue:J114_04590
ko:K03635	mtue:J114_04615
ko:K04750	mtue:J114_04720
ko:K01814	mtue:J114_08575
ko:K01817	mtue:J114_08575
ko:K01092	mtue:J114_08580
ko:K01496	mtue:J114_08590
ko:K16012	mtue:J114_08660
ko:K16013	mtue:J114_08665
ko:K09146	mtue:J114_08720
ko:K14340	mtue:J114_08735
ko:K03711	mtue:J114_12635
ko:K01426	mtue:J114_12655
ko:K04793	mtue:J114_12735
ko:K04792	mtue:J114_12740
ko:K04789	mtue:J114_12745
ko:K04791	mtue:J114_12750
ko:K04790	mtue:J114_12755
ko:K04788	mtue:J114_12760
ko:K00803	mtue:J114_16625
ko:K01724	mtue:J114_16635
ko:K01011	mtue:J114_16670
ko:K07491	mtue:J114_16695
ko:K05602	mtue:J114_16790
ko:K04477	mtue:J114_20610
ko:K14743	mtue:J114_20755
ko:K14743	mtue:J114_20770
ko:K00970	mtue:J114_20880
ko:K01104	mtue:J114_00850
ko:K00666	mtue:J114_00925
ko:K02067	mtue:J114_00940
ko:K02067	mtue:J114_00945
ko:K02067	mtue:J114_00950
ko:K02067	mtue:J114_00960
ko:K02067	mtue:J114_00965
ko:K07655	mtue:J114_04810
ko:K07671	mtue:J114_04815
ko:K01962	mtue:J114_04820
ko:K01963	mtue:J114_04820
ko:K01692	mtue:J114_04825
ko:K11159	mtue:J114_04880
ko:K00076	mtue:J114_04965
ko:K10563	mtue:J114_05055
ko:K16167	mtue:J114_08905
ko:K01515	mtue:J114_09080
ko:K00784	mtue:J114_12895
ko:K02238	mtue:J114_12935
ko:K07161	mtue:J114_12995
ko:K03386	mtue:J114_13020
ko:K00852	mtue:J114_13065
ko:K00274	mtue:J114_16965
ko:K01426	mtue:J114_16995
ko:K09118	mtue:J114_17080
ko:K07177	mtue:J114_17085
ko:K06346	mtue:J114_20945
ko:K07386	mtue:J114_01090
ko:K06860	mtue:J114_01140
ko:K01596	mtue:J114_01160
ko:K01692	mtue:J114_01220
ko:K07048	mtue:J114_01260
ko:K00135	mtue:J114_01280
ko:K16648	mtue:J114_01290
ko:K00059	mtue:J114_01325
ko:K00626	mtue:J114_01330
ko:K04093	mtue:J114_05085
ko:K03405	mtue:J114_05145
ko:K07669	mtue:J114_05285
ko:K07653	mtue:J114_05290
ko:K08372	mtue:J114_05295
ko:K02004	mtue:J114_05315
ko:K00805	mtue:J114_05325
ko:K04763	mtue:J114_09085
ko:K00545	mtue:J114_09095
ko:K01823	mtue:J114_09325
ko:K00666	mtue:J114_09355
ko:K00547	mtue:J114_13165
ko:K05522	mtue:J114_13195
ko:K15781	mtue:J114_13275
ko:K01692	mtue:J114_13295
ko:K11263	mtue:J114_13375
ko:K00666	mtue:J114_13400
ko:K00508	mtue:J114_17315
ko:K03455	mtue:J114_17350
ko:K07654	mtue:J114_17400
ko:K07670	mtue:J114_17405
ko:K01719	mtue:J114_01410
ko:K01469	mtue:J114_01440
ko:K00666	mtue:J114_01470
ko:K14743	mtue:J114_01595
ko:K00598	mtue:J114_01610
ko:K01478	mtue:J114_05395
ko:K00666	mtue:J114_05450
ko:K02428	mtue:J114_05490
ko:K09009	mtue:J114_05510
ko:K07656	mtue:J114_05565
ko:K07672	mtue:J114_05570
ko:K14743	mtue:J114_09600
ko:K06902	mtue:J114_13415
ko:K03294	mtue:J114_17440
ko:K11212	mtue:J114_17480
ko:K12234	mtue:J114_17485
ko:K12950	mtue:J114_17540
ko:K01966	mtue:J114_17590
ko:K01011	mtue:J114_17605
ko:K11263	mtue:J114_17615
ko:K03090	mtue:J114_17620
ko:K03918	mtue:J114_17640
ko:K05522	mtue:J114_17675
ko:K03932	mtue:J114_17680
ko:K06177	mtue:J114_17690
ko:K13640	mtue:J114_01900
ko:K07161	mtue:J114_01965
ko:K03518	mtue:J114_01995
ko:K03519	mtue:J114_02000
ko:K00666	mtue:J114_05715
ko:K01692	mtue:J114_05780
ko:K01692	mtue:J114_05785
ko:K00626	mtue:J114_05800
ko:K12503	mtue:J114_05860
ko:K00867	mtue:J114_05905
ko:K03922	mtue:J114_05915
ko:K00088	mtue:J114_09830
ko:K00033	mtue:J114_09835
ko:K02017	mtue:J114_09910
ko:K13953	mtue:J114_09925
ko:K07052	mtue:J114_09930
ko:K02004	mtue:J114_13720
ko:K07054	mtue:J114_13780
ko:K03768	mtue:J114_13815
ko:K02035	mtue:J114_13830
ko:K07250	mtue:J114_13850
ko:K12421	mtue:J114_13855
ko:K00966	mtue:J114_17505
ko:K10112	mtue:J114_06675
ko:K01739	mtue:J114_05825
ko:K17811	mtue:J114_18110
ko:K15911	mtue:J114_18115
ko:K01840	mtue:J114_17460
ko:K03520	mtue:J114_01990
ko:K11628	mtue:J114_15700
ko:K14955	mtue:J114_06845
ko:K00344	mtue:J114_07810
ko:K12954	mtue:J114_10660
ko:K17836	mtue:J114_11070
ko:K01130	mtue:J114_03540
ko:K01130	mtue:J114_03795
ko:K01130	mtue:J114_17685
ko:K12574	mtue:J114_14685
ko:K12956	mtue:J114_05205
ko:K00254	mtue:J114_11470
ko:K01840	mtue:J114_17735
ko:K12432	mtue:J114_06380
ko:K16048	mtue:J114_19080
ko:K12425	mtue:J114_20445
ko:K01239	mtue:J114_18180
ko:K03767	mtue:J114_00060
ko:K07684	mtue:J114_04495
ko:K14956	mtue:J114_20700
ko:K02026	mtue:J114_12405
ko:K02026	mtue:J114_06670
ko:K02026	mtue:J114_10905
ko:K12434	mtue:J114_08885
ko:K04787	mtue:J114_12765
ko:K14337	mtue:J114_11645
ko:K00020	mtue:J114_04010
ko:K00128	mtue:J114_04100
ko:K00128	mtue:J114_00810
ko:K00128	mtue:J114_01225
ko:K00128	mtue:J114_17655
ko:K12439	mtue:J114_08895
ko:K05898	mtue:J114_18915
ko:K12422	mtue:J114_00555
ko:K12424	mtue:J114_15745
ko:K12431	mtue:J114_20440
ko:K02027	mtue:J114_12410
ko:K01187	mtue:J114_13235
ko:K02027	mtue:J114_06660
ko:K02027	mtue:J114_10915
ko:K02031	mtue:J114_06900
ko:K02032	mtue:J114_06900
ko:K17947	mtue:J114_02875
ko:K09144	mtue:J114_15070
ko:K00344	mtue:J114_16810
ko:K07493	mtue:J114_18390
ko:K07493	mtue:J114_19440
ko:K07064	mtue:J114_15275
ko:K07064	mtue:J114_17805
ko:K07064	mtue:J114_19745
ko:K07045	mtue:J114_12315
ko:K17883	mtue:J114_15220
ko:K13572	mtue:J114_11235
ko:K00529	mtue:J114_09960
ko:K07068	mtue:J114_18825
ko:K08351	mtue:J114_07730
ko:K00249	mtue:J114_05250
ko:K00897	mtue:J114_20400
ko:K00104	mtue:J114_12210
ko:K03719	mtue:J114_17645
ko:K00104	mtue:J114_06775
ko:K11159	mtue:J114_03495
ko:K21688	mtue:J114_05435
ko:K00138	mtue:J114_02440
ko:K01154	mtue:J114_14700
ko:K04066	mtue:J114_07525
ko:K12441	mtue:J114_15655
ko:K01897	mtue:J114_11720
ko:K07114	mtue:J114_07955
ko:K01711	mtue:J114_08110
ko:K12437	mtue:J114_20300
ko:K00600	mtue:J114_00385
ko:K00600	mtue:J114_00390
ko:K01114	mtue:J114_09390
ko:K10533	mtue:J114_14630
ko:K02077	mtue:J114_11020
ko:K01666	mtue:J114_18890
ko:K07171	mtue:J114_14145
ko:K14728	mtue:J114_15760
ko:K07485	mtue:J114_03725
ko:K07486	mtue:J114_11660
ko:K03742	mtue:J114_10135
ko:K02067	mtue:J114_00955
ko:K18481	mtue:J114_18680
ko:K18481	mtue:J114_10520
ko:K18481	mtue:J114_07330
ko:K18481	mtue:J114_18675
ko:K18481	mtue:J114_07325
ko:K18481	mtue:J114_10525
ko:K18481	mtue:J114_12800
ko:K18481	mtue:J114_00970
ko:K18481	mtue:J114_00975
ko:K18481	mtue:J114_00980
ko:K18481	mtue:J114_00985
ko:K18455	mtue:J114_05840
ko:K00681	mtue:J114_04125
ko:K00681	mtue:J114_12825
ko:K03574	mtue:J114_15945
ko:K18554	mtue:J114_14100
ko:K18688	mtue:J114_18795
ko:K07068	mtue:J114_18945
ko:K07497	mtue:J114_20140
ko:K18687	mtue:J114_19045
ko:K01990	mtue:J114_20200
ko:K01992	mtue:J114_20210
ko:K07171	mtue:J114_16580
ko:K21672	mtue:J114_04960
ko:K07171	mtue:J114_11045
ko:K18917	mtue:J114_17120
ko:K18955	mtue:J114_18305
ko:K18913	mtue:J114_19765
ko:K07171	mtue:J114_08035
ko:K07171	mtue:J114_10650
ko:K18955	mtue:J114_17240
ko:K07481	mtue:J114_05580
ko:K18851	mtue:J114_05070
ko:K07171	mtue:J114_14940
ko:K18851	mtue:J114_20320
ko:K18851	mtue:J114_10050
ko:K10747	mtue:J114_16375
ko:K18894	mtue:J114_01070
ko:K18955	mtue:J114_19665
ko:K18911	mtue:J114_19770
ko:K18912	mtue:J114_19780
ko:K03111	mtue:J114_00295
ko:K03497	mtue:J114_20930
ko:K03496	mtue:J114_20935
ko:K03496	mtue:J114_09125
ko:K03111	mtue:J114_13265
ko:K03496	mtue:J114_17205
ko:K04565	mtue:J114_02295
ko:K07482	mtue:J114_17065
ko:K07492	mtue:J114_05625
ko:K07496	mtue:J114_04940
ko:K07496	mtue:J114_14885
ko:K07496	mtue:J114_15395
ko:K07496	mtue:J114_15910
ko:K07496	mtue:J114_20450
ko:K07497	mtue:J114_15000
ko:K03325	mtue:J114_14135
ko:K03741	mtue:J114_14135
ko:K07481	mtue:J114_05575
ko:K07481	mtue:J114_15815
ko:K07481	mtue:J114_18150
ko:K07481	mtue:J114_18145
ko:K03822	mtue:J114_08995
ko:K07064	mtue:J114_13920
ko:K00335	mtue:J114_16855
ko:K03761	mtue:J114_18595
ko:K07064	mtue:J114_17020
ko:K02483	mtue:J114_20105
ko:K00249	mtue:J114_00720
ko:K00249	mtue:J114_00855
ko:K07497	mtue:J114_15010
ko:K07064	mtue:J114_01315
ko:K06893	mtue:J114_00195
ko:K07064	mtue:J114_03290
ko:K00249	mtue:J114_01265
ko:K00249	mtue:J114_16805
ko:K00001	mtue:J114_00905
ko:K00001	mtue:J114_08220
ko:K02113	mtue:J114_07040
ko:K02109	mtue:J114_07040
ko:K07485	mtue:J114_03950
ko:K02483	mtue:J114_04045
ko:K01822	mtue:J114_04060
ko:K01046	mtue:J114_16570
ko:K12435	mtue:J114_08890
ko:K07483	mtue:J114_15015
ko:K01768	mtue:J114_06815
ko:K01768	mtue:J114_07095
ko:K01768	mtue:J114_07100
ko:K01768	mtue:J114_07105
ko:K01768	mtue:J114_08685
ko:K01768	mtue:J114_19470
ko:K14215	mtue:J114_12645
ko:K07064	mtue:J114_06695
ko:K00336	mtue:J114_16860
ko:K07064	mtue:J114_10460
ko:K16233	mtue:J114_07370
ko:K01436	mtue:J114_17715
ko:K03892	mtue:J114_14130
ko:K07064	mtue:J114_13340
ko:K07064	mtue:J114_13540
ko:K07064	mtue:J114_18135
ko:K16191	mtue:J114_04795
ko:K00344	mtue:J114_00820
ko:K13670	mtue:J114_08065
ko:K16193	mtue:J114_04805
ko:K08095	mtue:J114_10595
ko:K03976	mtue:J114_17285
ko:K08095	mtue:J114_18490
ko:K08095	mtue:J114_12305
ko:K12132	mtue:J114_11185
ko:K07450	mtue:J114_04935
ko:K07481	mtue:J114_05585
ko:K07493	mtue:J114_05650
ko:K07493	mtue:J114_16160
ko:K07493	mtue:J114_16660
ko:K00370	mtue:J114_09280
ko:K03526	mtue:J114_15300
ko:K07493	mtue:J114_06470
ko:K07493	mtue:J114_13435
ko:K08299	mtue:J114_06130
ko:K07746	mtue:J114_10445
ko:K19092	mtue:J114_10440
ko:K19139	mtue:J114_15040
