ko:K09796	mys:NF92_13045
ko:K03386	mys:NF92_14685
ko:K16937	mys:NF92_14710
ko:K00645	mys:NF92_14725
ko:K02078	mys:NF92_14730
ko:K11609	mys:NF92_14735
ko:K18472	mys:NF92_14740
ko:K00153	mys:NF92_14775
ko:K09684	mys:NF92_19170
ko:K00252	mys:NF92_19185
ko:K07250	mys:NF92_19190
ko:K15371	mys:NF92_19195
ko:K00466	mys:NF92_19205
ko:K08369	mys:NF92_19275
ko:K00074	mys:NF92_19335
ko:K03921	mys:NF92_19360
ko:K02039	mys:NF92_19375
ko:K02036	mys:NF92_19385
ko:K02038	mys:NF92_19390
ko:K02037	mys:NF92_19395
ko:K02040	mys:NF92_19400
ko:K15520	mys:NF92_19405
ko:K01011	mys:NF92_19430
ko:K02519	mys:NF92_08610
ko:K02834	mys:NF92_08615
ko:K01692	mys:NF92_08645
ko:K03177	mys:NF92_08685
ko:K03709	mys:NF92_08715
ko:K11753	mys:NF92_08720
ko:K02956	mys:NF92_08725
ko:K14699	mys:NF92_13100
ko:K04793	mys:NF92_13125
ko:K04789	mys:NF92_13130
ko:K04787	mys:NF92_13135
ko:K04781	mys:NF92_13145
ko:K02049	mys:NF92_13155
ko:K02050	mys:NF92_13160
ko:K02051	mys:NF92_13165
ko:K03710	mys:NF92_13175
ko:K14743	mys:NF92_13250
ko:K06978	mys:NF92_13265
ko:K04091	mys:NF92_13280
ko:K15553	mys:NF92_13285
ko:K15555	mys:NF92_13290
ko:K15554	mys:NF92_13295
ko:K06994	mys:NF92_13325
ko:K00721	mys:NF92_13345
ko:K03820	mys:NF92_13350
ko:K07113	mys:NF92_13360
ko:K07006	mys:NF92_13365
ko:K07006	mys:NF92_13370
ko:K02230	mys:NF92_13375
ko:K02229	mys:NF92_13380
ko:K07090	mys:NF92_17710
ko:K01524	mys:NF92_17720
ko:K09009	mys:NF92_17725
ko:K01689	mys:NF92_17735
ko:K07243	mys:NF92_17745
ko:K07224	mys:NF92_17750
ko:K16301	mys:NF92_17755
ko:K16301	mys:NF92_17760
ko:K07243	mys:NF92_17765
ko:K02428	mys:NF92_17770
ko:K03723	mys:NF92_17775
ko:K01586	mys:NF92_17780
ko:K04042	mys:NF92_17825
ko:K00948	mys:NF92_17830
ko:K02897	mys:NF92_17850
ko:K01056	mys:NF92_17855
ko:K11608	mys:NF92_17860
ko:K00666	mys:NF92_17865
ko:K00919	mys:NF92_17870
ko:K06994	mys:NF92_17890
ko:K11738	mys:NF92_17900
ko:K02528	mys:NF92_17905
ko:K03424	mys:NF92_17915
ko:K01874	mys:NF92_17920
ko:K03088	mys:NF92_17930
ko:K01665	mys:NF92_17940
ko:K07056	mys:NF92_17945
ko:K01478	mys:NF92_17955
ko:K07044	mys:NF92_17980
ko:K00156	mys:NF92_22335
ko:K04518	mys:NF92_22350
ko:K01126	mys:NF92_22400
ko:K07304	mys:NF92_22415
ko:K04564	mys:NF92_22425
ko:K07156	mys:NF92_22465
ko:K02553	mys:NF92_22475
ko:K10215	mys:NF92_22495
ko:K15981	mys:NF92_22505
ko:K04477	mys:NF92_22525
ko:K13671	mys:NF92_22530
ko:K01265	mys:NF92_22540
ko:K00266	mys:NF92_22550
ko:K00265	mys:NF92_22555
ko:K07044	mys:NF92_22565
ko:K01077	mys:NF92_22575
ko:K15982	mys:NF92_22610
ko:K00240	mys:NF92_02270
ko:K00239	mys:NF92_02275
ko:K07246	mys:NF92_02290
ko:K00135	mys:NF92_02295
ko:K00823	mys:NF92_02300
ko:K02433	mys:NF92_02310
ko:K01799	mys:NF92_02320
ko:K04761	mys:NF92_02340
ko:K03386	mys:NF92_02345
ko:K04756	mys:NF92_02350
ko:K03921	mys:NF92_02365
ko:K09125	mys:NF92_02410
ko:K02016	mys:NF92_02420
ko:K00055	mys:NF92_02430
ko:K06895	mys:NF92_02440
ko:K05596	mys:NF92_02445
ko:K01644	mys:NF92_02460
ko:K00666	mys:NF92_02465
ko:K01907	mys:NF92_02470
ko:K00666	mys:NF92_02485
ko:K10974	mys:NF92_06985
ko:K03088	mys:NF92_07005
ko:K01916	mys:NF92_07050
ko:K03647	mys:NF92_07075
ko:K13979	mys:NF92_07165
ko:K02471	mys:NF92_07170
ko:K11939	mys:NF92_07185
ko:K02016	mys:NF92_07215
ko:K02274	mys:NF92_07220
ko:K01079	mys:NF92_07225
ko:K02013	mys:NF92_07245
ko:K01692	mys:NF92_07255
ko:K07506	mys:NF92_11650
ko:K01673	mys:NF92_11680
ko:K06048	mys:NF92_11705
ko:K03921	mys:NF92_11750
ko:K12251	mys:NF92_11770
ko:K10536	mys:NF92_11775
ko:K16234	mys:NF92_11785
ko:K03781	mys:NF92_11805
ko:K02039	mys:NF92_11830
ko:K03090	mys:NF92_11895
ko:K02493	mys:NF92_11900
ko:K05838	mys:NF92_16265
ko:K00626	mys:NF92_16275
ko:K05606	mys:NF92_16280
ko:K07503	mys:NF92_16290
ko:K00790	mys:NF92_16320
ko:K02114	mys:NF92_16335
ko:K02112	mys:NF92_16340
ko:K02115	mys:NF92_16345
ko:K02111	mys:NF92_16350
ko:K02109	mys:NF92_16360
ko:K02110	mys:NF92_16365
ko:K02108	mys:NF92_16370
ko:K02851	mys:NF92_16380
ko:K02493	mys:NF92_16390
ko:K02835	mys:NF92_16395
ko:K02909	mys:NF92_16400
ko:K03628	mys:NF92_16420
ko:K00872	mys:NF92_16425
ko:K01733	mys:NF92_16430
ko:K00003	mys:NF92_16435
ko:K01586	mys:NF92_16440
ko:K01887	mys:NF92_16445
ko:K08296	mys:NF92_16520
ko:K06147	mys:NF92_16540
ko:K01738	mys:NF92_20885
ko:K01533	mys:NF92_20895
ko:K02283	mys:NF92_20985
ko:K02031	mys:NF92_21005
ko:K02032	mys:NF92_21005
ko:K15582	mys:NF92_21010
ko:K15581	mys:NF92_21015
ko:K15580	mys:NF92_21020
ko:K01895	mys:NF92_21025
ko:K10773	mys:NF92_21060
ko:K01738	mys:NF92_21120
ko:K03583	mys:NF92_21160
ko:K03582	mys:NF92_21165
ko:K03581	mys:NF92_21170
ko:K02067	mys:NF92_04070
ko:K02067	mys:NF92_04085
ko:K02067	mys:NF92_04090
ko:K02066	mys:NF92_04100
ko:K02066	mys:NF92_04105
ko:K07044	mys:NF92_04120
ko:K07044	mys:NF92_04135
ko:K18455	mys:NF92_04165
ko:K01524	mys:NF92_04175
ko:K00286	mys:NF92_04215
ko:K01784	mys:NF92_04225
ko:K02371	mys:NF92_04235
ko:K02492	mys:NF92_04275
ko:K01749	mys:NF92_04280
ko:K13542	mys:NF92_04285
ko:K01698	mys:NF92_04290
ko:K17686	mys:NF92_04320
ko:K00962	mys:NF92_08735
ko:K00259	mys:NF92_08765
ko:K01673	mys:NF92_08775
ko:K00215	mys:NF92_08785
ko:K09927	mys:NF92_08825
ko:K01714	mys:NF92_08840
ko:K12574	mys:NF92_08845
ko:K03466	mys:NF92_08890
ko:K00619	mys:NF92_08900
ko:K00995	mys:NF92_08905
ko:K10533	mys:NF92_08940
ko:K10533	mys:NF92_08945
ko:K03565	mys:NF92_08965
ko:K07006	mys:NF92_08985
ko:K09958	mys:NF92_08990
ko:K10007	mys:NF92_08995
ko:K10006	mys:NF92_09000
ko:K10005	mys:NF92_09005
ko:K10008	mys:NF92_09010
ko:K06042	mys:NF92_13385
ko:K13540	mys:NF92_13390
ko:K05895	mys:NF92_13395
ko:K05936	mys:NF92_13400
ko:K00595	mys:NF92_13405
ko:K03727	mys:NF92_13435
ko:K03118	mys:NF92_13440
ko:K03116	mys:NF92_13445
ko:K13573	mys:NF92_13450
ko:K13571	mys:NF92_13465
ko:K10831	mys:NF92_13490
ko:K15551	mys:NF92_13495
ko:K15552	mys:NF92_13500
ko:K03432	mys:NF92_13515
ko:K03433	mys:NF92_13520
ko:K13570	mys:NF92_13525
ko:K00817	mys:NF92_13540
ko:K00648	mys:NF92_13545
ko:K01652	mys:NF92_13555
ko:K03088	mys:NF92_13565
ko:K13527	mys:NF92_13570
ko:K07442	mys:NF92_13590
ko:K03921	mys:NF92_13600
ko:K06978	mys:NF92_13605
ko:K02066	mys:NF92_13650
ko:K00508	mys:NF92_13655
ko:K00343	mys:NF92_13660
ko:K00342	mys:NF92_13665
ko:K00341	mys:NF92_13670
ko:K12343	mys:NF92_17985
ko:K07006	mys:NF92_18000
ko:K07090	mys:NF92_18010
ko:K03790	mys:NF92_18040
ko:K03750	mys:NF92_18045
ko:K00963	mys:NF92_18050
ko:K01934	mys:NF92_18055
ko:K03282	mys:NF92_18070
ko:K08372	mys:NF92_18085
ko:K07653	mys:NF92_18090
ko:K07669	mys:NF92_18095
ko:K02911	mys:NF92_18100
ko:K01965	mys:NF92_18120
ko:K01692	mys:NF92_18130
ko:K02471	mys:NF92_18145
ko:K00602	mys:NF92_18150
ko:K11175	mys:NF92_18155
ko:K17228	mys:NF92_18170
ko:K01902	mys:NF92_18185
ko:K01903	mys:NF92_18190
ko:K03657	mys:NF92_18200
ko:K04093	mys:NF92_18205
ko:K01810	mys:NF92_18215
ko:K01628	mys:NF92_18225
ko:K01714	mys:NF92_18230
ko:K02274	mys:NF92_18240
ko:K10563	mys:NF92_18260
ko:K02228	mys:NF92_18265
ko:K01011	mys:NF92_22655
ko:K08987	mys:NF92_22660
ko:K17883	mys:NF92_22700
ko:K11921	mys:NF92_22725
ko:K01725	mys:NF92_22730
ko:K01664	mys:NF92_22875
ko:K03767	mys:NF92_22910
ko:K04047	mys:NF92_00745
ko:K03088	mys:NF92_00755
ko:K14347	mys:NF92_00775
ko:K05522	mys:NF92_00780
ko:K07301	mys:NF92_00800
ko:K03499	mys:NF92_00830
ko:K11105	mys:NF92_00835
ko:K07006	mys:NF92_00845
ko:K12421	mys:NF92_00850
ko:K06994	mys:NF92_00900
ko:K06994	mys:NF92_00905
ko:K00038	mys:NF92_01015
ko:K00820	mys:NF92_05535
ko:K01580	mys:NF92_05550
ko:K01775	mys:NF92_05555
ko:K06925	mys:NF92_05565
ko:K03789	mys:NF92_05575
ko:K01409	mys:NF92_05580
ko:K04078	mys:NF92_05590
ko:K04077	mys:NF92_05595
ko:K03088	mys:NF92_05615
ko:K00088	mys:NF92_05630
ko:K00088	mys:NF92_05635
ko:K03333	mys:NF92_05640
ko:K01951	mys:NF92_05645
ko:K14161	mys:NF92_05675
ko:K09167	mys:NF92_05695
ko:K14162	mys:NF92_05720
ko:K03216	mys:NF92_05725
ko:K07118	mys:NF92_05740
ko:K01491	mys:NF92_05765
ko:K00641	mys:NF92_05785
ko:K00031	mys:NF92_05795
ko:K01142	mys:NF92_05805
ko:K01867	mys:NF92_05810
ko:K00891	mys:NF92_10200
ko:K01735	mys:NF92_10205
ko:K03786	mys:NF92_10210
ko:K02356	mys:NF92_10225
ko:K03625	mys:NF92_10230
ko:K02825	mys:NF92_10250
ko:K00609	mys:NF92_10255
ko:K01465	mys:NF92_10260
ko:K01956	mys:NF92_10270
ko:K01955	mys:NF92_10275
ko:K01591	mys:NF92_10280
ko:K00942	mys:NF92_10295
ko:K03060	mys:NF92_10300
ko:K13038	mys:NF92_10305
ko:K00789	mys:NF92_10310
ko:K12343	mys:NF92_10315
ko:K01464	mys:NF92_10325
ko:K03457	mys:NF92_10335
ko:K04066	mys:NF92_10345
ko:K00604	mys:NF92_10355
ko:K03500	mys:NF92_10360
ko:K01783	mys:NF92_10365
ko:K11752	mys:NF92_10370
ko:K14954	mys:NF92_10380
ko:K02073	mys:NF92_10390
ko:K02071	mys:NF92_10395
ko:K02072	mys:NF92_10400
ko:K00793	mys:NF92_10425
ko:K14652	mys:NF92_10430
ko:K00794	mys:NF92_10435
ko:K00138	mys:NF92_10450
ko:K03735	mys:NF92_10460
ko:K03736	mys:NF92_10465
ko:K00681	mys:NF92_10470
ko:K02020	mys:NF92_10475
ko:K16905	mys:NF92_14815
ko:K16906	mys:NF92_14820
ko:K16907	mys:NF92_14825
ko:K00688	mys:NF92_14845
ko:K11731	mys:NF92_14860
ko:K08641	mys:NF92_14900
ko:K03781	mys:NF92_14905
ko:K12262	mys:NF92_14910
ko:K03568	mys:NF92_14975
ko:K02025	mys:NF92_14980
ko:K02026	mys:NF92_14985
ko:K02027	mys:NF92_14990
ko:K16785	mys:NF92_15005
ko:K16786	mys:NF92_15010
ko:K16787	mys:NF92_15010
ko:K06889	mys:NF92_15025
ko:K07397	mys:NF92_15025
ko:K01129	mys:NF92_15045
ko:K15372	mys:NF92_15065
ko:K01880	mys:NF92_15070
ko:K07044	mys:NF92_15075
ko:K02067	mys:NF92_15100
ko:K02619	mys:NF92_19475
ko:K06980	mys:NF92_19480
ko:K01933	mys:NF92_19490
ko:K00215	mys:NF92_19495
ko:K01426	mys:NF92_19510
ko:K02031	mys:NF92_19520
ko:K02032	mys:NF92_19520
ko:K02034	mys:NF92_19525
ko:K02033	mys:NF92_19530
ko:K02035	mys:NF92_19535
ko:K00764	mys:NF92_19565
ko:K07052	mys:NF92_19585
ko:K01952	mys:NF92_19595
ko:K07223	mys:NF92_19620
ko:K01952	mys:NF92_19630
ko:K01952	mys:NF92_19635
ko:K07077	mys:NF92_19645
ko:K06986	mys:NF92_19650
ko:K00432	mys:NF92_19655
ko:K01354	mys:NF92_19670
ko:K01923	mys:NF92_19675
ko:K01756	mys:NF92_19685
ko:K01945	mys:NF92_19710
ko:K00135	mys:NF92_02575
ko:K08372	mys:NF92_02635
ko:K09956	mys:NF92_02640
ko:K01130	mys:NF92_02645
ko:K07407	mys:NF92_02660
ko:K01494	mys:NF92_02690
ko:K00012	mys:NF92_02700
ko:K14260	mys:NF92_02705
ko:K15977	mys:NF92_02730
ko:K04043	mys:NF92_02820
ko:K03687	mys:NF92_02825
ko:K07044	mys:NF92_07290
ko:K07044	mys:NF92_07295
ko:K12421	mys:NF92_07325
ko:K16150	mys:NF92_07330
ko:K16149	mys:NF92_07335
ko:K03521	mys:NF92_07345
ko:K03522	mys:NF92_07350
ko:K04487	mys:NF92_07375
ko:K00566	mys:NF92_07380
ko:K03921	mys:NF92_07390
ko:K06901	mys:NF92_07395
ko:K04719	mys:NF92_07405
ko:K01692	mys:NF92_07410
ko:K01972	mys:NF92_07435
ko:K02435	mys:NF92_07450
ko:K02433	mys:NF92_07455
ko:K03929	mys:NF92_07485
ko:K02434	mys:NF92_07495
ko:K15977	mys:NF92_07505
ko:K00480	mys:NF92_07515
ko:K03718	mys:NF92_07530
ko:K00380	mys:NF92_11985
ko:K00265	mys:NF92_12015
ko:K00380	mys:NF92_12020
ko:K07225	mys:NF92_12025
ko:K03782	mys:NF92_12095
ko:K03891	mys:NF92_12110
ko:K02050	mys:NF92_12130
ko:K02051	mys:NF92_12135
ko:K02045	mys:NF92_12140
ko:K06153	mys:NF92_12195
ko:K06911	mys:NF92_12215
ko:K03742	mys:NF92_12230
ko:K06147	mys:NF92_16545
ko:K00104	mys:NF92_16580
ko:K05592	mys:NF92_16600
ko:K07552	mys:NF92_16640
ko:K01616	mys:NF92_16650
ko:K00027	mys:NF92_16695
ko:K05595	mys:NF92_16700
ko:K03284	mys:NF92_16705
ko:K10112	mys:NF92_16720
ko:K02026	mys:NF92_16725
ko:K02025	mys:NF92_16730
ko:K02027	mys:NF92_16735
ko:K01644	mys:NF92_16750
ko:K03593	mys:NF92_16765
ko:K03117	mys:NF92_16770
ko:K03088	mys:NF92_16785
ko:K01990	mys:NF92_16800
ko:K01992	mys:NF92_16805
ko:K00975	mys:NF92_16815
ko:K16148	mys:NF92_16820
ko:K01246	mys:NF92_16830
ko:K03924	mys:NF92_21210
ko:K00864	mys:NF92_21245
ko:K02440	mys:NF92_21250
ko:K18913	mys:NF92_21290
ko:K18911	mys:NF92_21295
ko:K07008	mys:NF92_21300
ko:K18912	mys:NF92_21305
ko:K01919	mys:NF92_21310
ko:K00820	mys:NF92_21340
ko:K01443	mys:NF92_21345
ko:K00847	mys:NF92_21360
ko:K03320	mys:NF92_21375
ko:K03781	mys:NF92_21400
ko:K09922	mys:NF92_21405
ko:K00133	mys:NF92_21435
ko:K00928	mys:NF92_21440
ko:K01649	mys:NF92_21465
ko:K04488	mys:NF92_01050
ko:K04487	mys:NF92_01055
ko:K02004	mys:NF92_01060
ko:K02003	mys:NF92_01065
ko:K02078	mys:NF92_01070
ko:K07045	mys:NF92_01080
ko:K03975	mys:NF92_01115
ko:K03088	mys:NF92_01165
ko:K01640	mys:NF92_01175
ko:K02433	mys:NF92_01210
ko:K01687	mys:NF92_01225
ko:K03307	mys:NF92_01230
ko:K00849	mys:NF92_01235
ko:K00965	mys:NF92_01240
ko:K00076	mys:NF92_01265
ko:K00666	mys:NF92_01295
ko:K00549	mys:NF92_01310
ko:K01647	mys:NF92_01330
ko:K03417	mys:NF92_01335
ko:K01720	mys:NF92_01340
ko:K07058	mys:NF92_05815
ko:K07258	mys:NF92_05820
ko:K03088	mys:NF92_05830
ko:K00240	mys:NF92_05840
ko:K00239	mys:NF92_05845
ko:K00242	mys:NF92_05850
ko:K00241	mys:NF92_05855
ko:K01489	mys:NF92_05860
ko:K00758	mys:NF92_05865
ko:K01488	mys:NF92_05870
ko:K00761	mys:NF92_05910
ko:K01840	mys:NF92_05915
ko:K03783	mys:NF92_05920
ko:K00382	mys:NF92_05940
ko:K00111	mys:NF92_05945
ko:K06177	mys:NF92_05950
ko:K07006	mys:NF92_05955
ko:K03724	mys:NF92_05965
ko:K00128	mys:NF92_05975
ko:K03719	mys:NF92_05985
ko:K03918	mys:NF92_05990
ko:K11263	mys:NF92_06010
ko:K02426	mys:NF92_06015
ko:K01011	mys:NF92_06020
ko:K00851	mys:NF92_06065
ko:K03299	mys:NF92_06070
ko:K01061	mys:NF92_06080
ko:K06287	mys:NF92_06090
ko:K03703	mys:NF92_10490
ko:K06958	mys:NF92_10495
ko:K09762	mys:NF92_10505
ko:K00134	mys:NF92_10515
ko:K00927	mys:NF92_10520
ko:K01803	mys:NF92_10525
ko:K07054	mys:NF92_10535
ko:K03075	mys:NF92_10540
ko:K01057	mys:NF92_10560
ko:K00036	mys:NF92_10570
ko:K00616	mys:NF92_10575
ko:K00615	mys:NF92_10580
ko:K02259	mys:NF92_10605
ko:K02067	mys:NF92_10630
ko:K02066	mys:NF92_10640
ko:K02066	mys:NF92_10645
ko:K01992	mys:NF92_10680
ko:K01990	mys:NF92_10685
ko:K14339	mys:NF92_10690
ko:K09014	mys:NF92_10700
ko:K09015	mys:NF92_10705
ko:K09013	mys:NF92_10710
ko:K11717	mys:NF92_10715
ko:K04488	mys:NF92_10720
ko:K00384	mys:NF92_10750
ko:K01692	mys:NF92_10760
ko:K02066	mys:NF92_15110
ko:K02066	mys:NF92_15115
ko:K00666	mys:NF92_15120
ko:K02078	mys:NF92_15125
ko:K01992	mys:NF92_15130
ko:K01990	mys:NF92_15135
ko:K13745	mys:NF92_15155
ko:K00836	mys:NF92_15160
ko:K03711	mys:NF92_15190
ko:K03584	mys:NF92_15205
ko:K01426	mys:NF92_15210
ko:K07042	mys:NF92_15235
ko:K09761	mys:NF92_15245
ko:K03686	mys:NF92_15250
ko:K03705	mys:NF92_15255
ko:K00392	mys:NF92_15270
ko:K00390	mys:NF92_15275
ko:K00957	mys:NF92_15280
ko:K00956	mys:NF92_15285
ko:K02045	mys:NF92_15300
ko:K02047	mys:NF92_15305
ko:K02046	mys:NF92_15310
ko:K02048	mys:NF92_15315
ko:K00459	mys:NF92_15370
ko:K03596	mys:NF92_15375
ko:K15268	mys:NF92_19735
ko:K02484	mys:NF92_19745
ko:K00389	mys:NF92_19765
ko:K12422	mys:NF92_19815
ko:K07090	mys:NF92_04330
ko:K07386	mys:NF92_04335
ko:K01845	mys:NF92_04345
ko:K06196	mys:NF92_04360
ko:K07399	mys:NF92_04365
ko:K10215	mys:NF92_04400
ko:K02548	mys:NF92_04445
ko:K04564	mys:NF92_04450
ko:K00772	mys:NF92_04455
ko:K01911	mys:NF92_04475
ko:K03306	mys:NF92_04485
ko:K01661	mys:NF92_04510
ko:K06975	mys:NF92_04525
ko:K06911	mys:NF92_04530
ko:K02549	mys:NF92_04555
ko:K02551	mys:NF92_04565
ko:K12583	mys:NF92_04575
ko:K03183	mys:NF92_04580
ko:K00805	mys:NF92_04590
ko:K03799	mys:NF92_04595
ko:K06168	mys:NF92_09020
ko:K00791	mys:NF92_09040
ko:K01778	mys:NF92_09045
ko:K03665	mys:NF92_09050
ko:K08351	mys:NF92_09055
ko:K03823	mys:NF92_09065
ko:K01356	mys:NF92_09070
ko:K07738	mys:NF92_09080
ko:K00322	mys:NF92_09100
ko:K03709	mys:NF92_09115
ko:K03087	mys:NF92_09120
ko:K07058	mys:NF92_09135
ko:K09930	mys:NF92_09150
ko:K00567	mys:NF92_09200
ko:K03086	mys:NF92_09215
ko:K03924	mys:NF92_19855
ko:K04077	mys:NF92_19870
ko:K03750	mys:NF92_19930
ko:K01613	mys:NF92_19935
ko:K17103	mys:NF92_19940
ko:K13525	mys:NF92_19945
ko:K05565	mys:NF92_19950
ko:K05567	mys:NF92_19955
ko:K05568	mys:NF92_19960
ko:K05569	mys:NF92_19965
ko:K05570	mys:NF92_19970
ko:K05571	mys:NF92_19975
ko:K01666	mys:NF92_19995
ko:K04073	mys:NF92_20000
ko:K02554	mys:NF92_20005
ko:K03686	mys:NF92_02830
ko:K13640	mys:NF92_02835
ko:K03695	mys:NF92_02860
ko:K06994	mys:NF92_02870
ko:K07124	mys:NF92_02880
ko:K00762	mys:NF92_02885
ko:K07107	mys:NF92_02905
ko:K03975	mys:NF92_02910
ko:K01624	mys:NF92_02915
ko:K01939	mys:NF92_02940
ko:K03088	mys:NF92_02955
ko:K00574	mys:NF92_02965
ko:K09701	mys:NF92_02970
ko:K00574	mys:NF92_02980
ko:K07071	mys:NF92_02990
ko:K01669	mys:NF92_02995
ko:K03316	mys:NF92_03010
ko:K08289	mys:NF92_03015
ko:K10764	mys:NF92_03030
ko:K06994	mys:NF92_03040
ko:K02029	mys:NF92_03050
ko:K02028	mys:NF92_03055
ko:K02030	mys:NF92_03060
ko:K01191	mys:NF92_03105
ko:K13788	mys:NF92_03110
ko:K00925	mys:NF92_03115
ko:K14949	mys:NF92_03120
ko:K01652	mys:NF92_07550
ko:K01653	mys:NF92_07555
ko:K00053	mys:NF92_07560
ko:K10679	mys:NF92_07660
ko:K00058	mys:NF92_07690
ko:K00052	mys:NF92_07695
ko:K01885	mys:NF92_07720
ko:K01703	mys:NF92_07765
ko:K01704	mys:NF92_07770
ko:K03530	mys:NF92_07775
ko:K03574	mys:NF92_07780
ko:K00937	mys:NF92_07785
ko:K14941	mys:NF92_07790
ko:K00057	mys:NF92_07795
ko:K01758	mys:NF92_07800
ko:K01921	mys:NF92_07805
ko:K00946	mys:NF92_07815
ko:K03648	mys:NF92_07820
ko:K15866	mys:NF92_07830
ko:K02902	mys:NF92_07835
ko:K06199	mys:NF92_12245
ko:K06199	mys:NF92_12250
ko:K02017	mys:NF92_12270
ko:K02018	mys:NF92_12275
ko:K02020	mys:NF92_12280
ko:K03885	mys:NF92_12300
ko:K03190	mys:NF92_12305
ko:K03189	mys:NF92_12310
ko:K03188	mys:NF92_12315
ko:K01428	mys:NF92_12320
ko:K01429	mys:NF92_12325
ko:K01430	mys:NF92_12330
ko:K00033	mys:NF92_12380
ko:K00088	mys:NF92_12385
ko:K01638	mys:NF92_12400
ko:K00281	mys:NF92_12410
ko:K08999	mys:NF92_12420
ko:K02437	mys:NF92_12435
ko:K03070	mys:NF92_12460
ko:K13693	mys:NF92_16845
ko:K00796	mys:NF92_16850
ko:K00666	mys:NF92_16865
ko:K06966	mys:NF92_16870
ko:K06966	mys:NF92_16875
ko:K08223	mys:NF92_16885
ko:K01439	mys:NF92_16895
ko:K00674	mys:NF92_16900
ko:K12429	mys:NF92_16915
ko:K00318	mys:NF92_16920
ko:K00294	mys:NF92_16925
ko:K00219	mys:NF92_16950
ko:K11779	mys:NF92_16975
ko:K00545	mys:NF92_16980
ko:K15525	mys:NF92_16995
ko:K06207	mys:NF92_17025
ko:K03574	mys:NF92_17030
ko:K01724	mys:NF92_17035
ko:K01433	mys:NF92_17040
ko:K13669	mys:NF92_17050
ko:K02909	mys:NF92_21470
ko:K02902	mys:NF92_21480
ko:K02913	mys:NF92_21485
ko:K02954	mys:NF92_21490
ko:K02963	mys:NF92_21495
ko:K02342	mys:NF92_21505
ko:K07009	mys:NF92_21535
ko:K06187	mys:NF92_21540
ko:K09747	mys:NF92_21545
ko:K01448	mys:NF92_21550
ko:K01689	mys:NF92_21580
ko:K00574	mys:NF92_21590
ko:K02343	mys:NF92_21595
ko:K13063	mys:NF92_21630
ko:K00216	mys:NF92_21640
ko:K01626	mys:NF92_21645
ko:K01857	mys:NF92_21665
ko:K13671	mys:NF92_21720
ko:K01885	mys:NF92_21735
ko:K00886	mys:NF92_09220
ko:K01092	mys:NF92_09225
ko:K03088	mys:NF92_09265
ko:K03499	mys:NF92_09285
ko:K03499	mys:NF92_09290
ko:K03313	mys:NF92_09305
ko:K00340	mys:NF92_13675
ko:K00339	mys:NF92_13680
ko:K00338	mys:NF92_13685
ko:K00337	mys:NF92_13690
ko:K00334	mys:NF92_13705
ko:K00333	mys:NF92_13710
ko:K00332	mys:NF92_13715
ko:K00331	mys:NF92_13720
ko:K00330	mys:NF92_13725
ko:K00765	mys:NF92_13735
ko:K01523	mys:NF92_13740
ko:K00548	mys:NF92_13750
ko:K04788	mys:NF92_13775
ko:K04792	mys:NF92_13780
ko:K04789	mys:NF92_13785
ko:K04790	mys:NF92_13795
ko:K04791	mys:NF92_13800
ko:K15526	mys:NF92_13815
ko:K01082	mys:NF92_13820
ko:K06153	mys:NF92_13855
ko:K00254	mys:NF92_13875
ko:K06910	mys:NF92_13880
ko:K08224	mys:NF92_13900
ko:K06994	mys:NF92_13905
ko:K00645	mys:NF92_13920
ko:K00059	mys:NF92_13930
ko:K09458	mys:NF92_13940
ko:K09458	mys:NF92_13950
ko:K01971	mys:NF92_18285
ko:K10979	mys:NF92_18290
ko:K03322	mys:NF92_18295
ko:K01725	mys:NF92_18315
ko:K02066	mys:NF92_18415
ko:K02066	mys:NF92_18420
ko:K02067	mys:NF92_18430
ko:K18481	mys:NF92_18455
ko:K00122	mys:NF92_18480
ko:K00537	mys:NF92_18510
ko:K06994	mys:NF92_18525
ko:K07107	mys:NF92_18550
ko:K02469	mys:NF92_22945
ko:K00675	mys:NF92_22975
ko:K02470	mys:NF92_23010
ko:K03629	mys:NF92_23020
ko:K00033	mys:NF92_23025
ko:K02338	mys:NF92_23030
ko:K03822	mys:NF92_12670
ko:K00335	mys:NF92_13700
ko:K03976	mys:NF92_06420
ko:K00336	mys:NF92_13695
ko:K05898	mys:NF92_20015
ko:K01436	mys:NF92_05930
ko:K13572	mys:NF92_13455
ko:K02483	mys:NF92_19750
ko:K00249	mys:NF92_00230
ko:K00020	mys:NF92_17610
ko:K16048	mys:NF92_20195
ko:K00344	mys:NF92_01410
ko:K00344	mys:NF92_10590
ko:K08095	mys:NF92_05435
ko:K08095	mys:NF92_05420
ko:K07029	mys:NF92_04825
ko:K03761	mys:NF92_05205
ko:K03496	mys:NF92_00035
ko:K03497	mys:NF92_00040
ko:K18553	mys:NF92_09350
ko:K03496	mys:NF92_06475
ko:K18652	mys:NF92_11335
ko:K03111	mys:NF92_15780
ko:K05593	mys:NF92_11980
ko:K10673	mys:NF92_12515
ko:K04565	mys:NF92_03320
ko:K03496	mys:NF92_12575
ko:K03526	mys:NF92_08410
ko:K16238	mys:NF92_05105
ko:K03343	mys:NF92_02580
ko:K01978	mys:NF92_23040
ko:K19221	mys:NF92_08475
ko:K05556	mys:NF92_19325
ko:K07448	mys:NF92_00785
ko:K00798	mys:NF92_16325
ko:K19190	mys:NF92_09520
