ko:K02345	yel:LC20_03135
ko:K07307	yel:LC20_04299
ko:K07306	yel:LC20_04300
ko:K02430	yel:LC20_04302
ko:K02058	yel:LC20_04303
ko:K02056	yel:LC20_04304
ko:K02057	yel:LC20_04305
ko:K02057	yel:LC20_04307
ko:K00880	yel:LC20_04309
ko:K01676	yel:LC20_04311
ko:K01999	yel:LC20_04314
ko:K01997	yel:LC20_04315
ko:K01998	yel:LC20_04316
ko:K01995	yel:LC20_04317
ko:K01996	yel:LC20_04318
ko:K01999	yel:LC20_04320
ko:K02056	yel:LC20_05110
ko:K02058	yel:LC20_05111
ko:K01776	yel:LC20_05112
ko:K16092	yel:LC20_05113
ko:K00322	yel:LC20_05117
ko:K04761	yel:LC20_05118
ko:K00382	yel:LC20_05121
ko:K03832	yel:LC20_05122
ko:K12537	yel:LC20_05123
ko:K12536	yel:LC20_05124
ko:K16152	yel:LC20_05131
ko:K01755	yel:LC20_05132
ko:K00930	yel:LC20_05133
ko:K00145	yel:LC20_05134
ko:K01438	yel:LC20_05135
ko:K01595	yel:LC20_05138
ko:K00297	yel:LC20_05140
ko:K12525	yel:LC20_05141
ko:K01739	yel:LC20_05142
ko:K03764	yel:LC20_05144
ko:K02909	yel:LC20_05145
ko:K04066	yel:LC20_05147
ko:K05499	yel:LC20_05148
ko:K03591	yel:LC20_05149
ko:K01419	yel:LC20_05150
ko:K03667	yel:LC20_05151
ko:K02548	yel:LC20_05152
ko:K02553	yel:LC20_05153
ko:K09892	yel:LC20_05154
ko:K02440	yel:LC20_05155
ko:K00864	yel:LC20_05156
ko:K02446	yel:LC20_05157
ko:K09791	yel:LC20_03463
ko:K03704	yel:LC20_03465
ko:K03704	yel:LC20_03466
ko:K00912	yel:LC20_03469
ko:K11085	yel:LC20_03470
ko:K02238	yel:LC20_03471
ko:K05788	yel:LC20_03473
ko:K02945	yel:LC20_03474
ko:K00945	yel:LC20_03475
ko:K00800	yel:LC20_03476
ko:K01424	yel:LC20_03479
ko:K09136	yel:LC20_03480
ko:K06212	yel:LC20_03483
ko:K00656	yel:LC20_03484
ko:K04069	yel:LC20_03485
ko:K08219	yel:LC20_03486
ko:K01875	yel:LC20_03488
ko:K03634	yel:LC20_03491
ko:K03466	yel:LC20_03492
ko:K03719	yel:LC20_03493
ko:K00384	yel:LC20_03494
ko:K16013	yel:LC20_03495
ko:K16012	yel:LC20_03497
ko:K00684	yel:LC20_03498
ko:K02518	yel:LC20_03499
ko:K03694	yel:LC20_03501
ko:K06891	yel:LC20_03502
ko:K03704	yel:LC20_03503
ko:K05685	yel:LC20_03504
ko:K13888	yel:LC20_03505
ko:K09824	yel:LC20_03506
ko:K07459	yel:LC20_03507
ko:K05601	yel:LC20_03510
ko:K11933	yel:LC20_03511
ko:K00156	yel:LC20_03512
ko:K00068	yel:LC20_04324
ko:K02812	yel:LC20_04325
ko:K02813	yel:LC20_04326
ko:K02814	yel:LC20_04329
ko:K02815	yel:LC20_04330
ko:K02355	yel:LC20_04333
ko:K03549	yel:LC20_04334
ko:K02028	yel:LC20_04338
ko:K02029	yel:LC20_04339
ko:K02029	yel:LC20_04340
ko:K02030	yel:LC20_04341
ko:K01753	yel:LC20_04347
ko:K13629	yel:LC20_04348
ko:K13636	yel:LC20_04349
ko:K02034	yel:LC20_04352
ko:K02033	yel:LC20_04353
ko:K02035	yel:LC20_04354
ko:K00428	yel:LC20_04359
ko:K00817	yel:LC20_04360
ko:K01713	yel:LC20_04361
ko:K00059	yel:LC20_04362
ko:K02078	yel:LC20_04363
ko:K09458	yel:LC20_04365
ko:K05685	yel:LC20_04367
ko:K13888	yel:LC20_04368
ko:K03673	yel:LC20_04371
ko:K08154	yel:LC20_05158
ko:K00528	yel:LC20_05160
ko:K01803	yel:LC20_05163
ko:K02048	yel:LC20_05165
ko:K00850	yel:LC20_05166
ko:K13283	yel:LC20_05167
ko:K06006	yel:LC20_05168
ko:K07640	yel:LC20_05170
ko:K10778	yel:LC20_05171
ko:K03216	yel:LC20_05172
ko:K00640	yel:LC20_05173
ko:K00057	yel:LC20_05174
ko:K03071	yel:LC20_05175
ko:K15633	yel:LC20_05178
ko:K09798	yel:LC20_05180
ko:K00060	yel:LC20_05181
ko:K00639	yel:LC20_05182
ko:K03274	yel:LC20_05183
ko:K02843	yel:LC20_05184
ko:K02841	yel:LC20_05185
ko:K02527	yel:LC20_05187
ko:K12984	yel:LC20_05188
ko:K00954	yel:LC20_05189
ko:K10563	yel:LC20_05191
ko:K02902	yel:LC20_05192
ko:K03630	yel:LC20_05193
ko:K13038	yel:LC20_05194
ko:K05501	yel:LC20_05196
ko:K00762	yel:LC20_05197
ko:K00989	yel:LC20_05198
ko:K10000	yel:LC20_03525
ko:K09997	yel:LC20_03526
ko:K09999	yel:LC20_03527
ko:K09998	yel:LC20_03528
ko:K09996	yel:LC20_03531
ko:K03212	yel:LC20_03532
ko:K11074	yel:LC20_03535
ko:K11075	yel:LC20_03536
ko:K11076	yel:LC20_03537
ko:K11073	yel:LC20_03539
ko:K07085	yel:LC20_03543
ko:K01619	yel:LC20_03546
ko:K11534	yel:LC20_03548
ko:K03837	yel:LC20_03552
ko:K01752	yel:LC20_03553
ko:K07258	yel:LC20_03555
ko:K01697	yel:LC20_03556
ko:K01758	yel:LC20_03557
ko:K02072	yel:LC20_03558
ko:K02071	yel:LC20_03559
ko:K02073	yel:LC20_03560
ko:K16089	yel:LC20_03567
ko:K02013	yel:LC20_03568
ko:K02015	yel:LC20_03569
ko:K11733	yel:LC20_03570
ko:K13009	yel:LC20_04383
ko:K03555	yel:LC20_04384
ko:K03087	yel:LC20_04386
ko:K06194	yel:LC20_04387
ko:K00573	yel:LC20_04389
ko:K03787	yel:LC20_04390
ko:K06176	yel:LC20_04391
ko:K01770	yel:LC20_04392
ko:K00991	yel:LC20_04393
ko:K05589	yel:LC20_04394
ko:K02030	yel:LC20_04395
ko:K02029	yel:LC20_04396
ko:K02028	yel:LC20_04397
ko:K00860	yel:LC20_04400
ko:K00956	yel:LC20_04401
ko:K00957	yel:LC20_04402
ko:K02302	yel:LC20_04403
ko:K09612	yel:LC20_04404
ko:K00390	yel:LC20_04405
ko:K00381	yel:LC20_04406
ko:K00380	yel:LC20_04407
ko:K01737	yel:LC20_04409
ko:K10026	yel:LC20_04410
ko:K01689	yel:LC20_04412
ko:K01937	yel:LC20_04413
ko:K04765	yel:LC20_04415
ko:K00951	yel:LC20_04417
ko:K03215	yel:LC20_04418
ko:K07678	yel:LC20_04419
ko:K01129	yel:LC20_04421
ko:K01243	yel:LC20_04422
ko:K06858	yel:LC20_04423
ko:K15724	yel:LC20_04426
ko:K03281	yel:LC20_04427
ko:K01845	yel:LC20_04429
ko:K02015	yel:LC20_04430
ko:K03317	yel:LC20_05219
ko:K01972	yel:LC20_05222
ko:K00942	yel:LC20_05224
ko:K03060	yel:LC20_05225
ko:K00556	yel:LC20_05227
ko:K03655	yel:LC20_05228
ko:K16345	yel:LC20_05231
ko:K07560	yel:LC20_05238
ko:K07058	yel:LC20_05239
ko:K06207	yel:LC20_05241
ko:K01915	yel:LC20_05243
ko:K07708	yel:LC20_05244
ko:K07712	yel:LC20_05245
ko:K09894	yel:LC20_05247
ko:K03978	yel:LC20_05248
ko:K03673	yel:LC20_05251
ko:K03752	yel:LC20_05254
ko:K03753	yel:LC20_05255
ko:K02529	yel:LC20_05259
ko:K00852	yel:LC20_05260
ko:K10439	yel:LC20_05261
ko:K01151	yel:LC20_03577
ko:K02769	yel:LC20_03579
ko:K02770	yel:LC20_03579
ko:K00882	yel:LC20_03580
ko:K02768	yel:LC20_03581
ko:K11183	yel:LC20_03581
ko:K06940	yel:LC20_03585
ko:K03835	yel:LC20_03586
ko:K02356	yel:LC20_03587
ko:K01686	yel:LC20_03588
ko:K00040	yel:LC20_03589
ko:K13637	yel:LC20_03590
ko:K13694	yel:LC20_03595
ko:K13893	yel:LC20_03597
ko:K13894	yel:LC20_03599
ko:K13896	yel:LC20_03603
ko:K07552	yel:LC20_03608
ko:K06183	yel:LC20_03609
ko:K06899	yel:LC20_03614
ko:K09904	yel:LC20_03615
ko:K07014	yel:LC20_03616
ko:K01223	yel:LC20_03622
ko:K03406	yel:LC20_03626
ko:K02016	yel:LC20_04431
ko:K02013	yel:LC20_04432
ko:K05365	yel:LC20_04433
ko:K01975	yel:LC20_04435
ko:K06206	yel:LC20_04436
ko:K06204	yel:LC20_04437
ko:K01894	yel:LC20_04438
ko:K00970	yel:LC20_04439
ko:K00950	yel:LC20_04440
ko:K00606	yel:LC20_04441
ko:K01918	yel:LC20_04442
ko:K01579	yel:LC20_04443
ko:K01992	yel:LC20_04445
ko:K01990	yel:LC20_04446
ko:K01673	yel:LC20_04447
ko:K00760	yel:LC20_04448
ko:K14588	yel:LC20_04449
ko:K00797	yel:LC20_04451
ko:K01611	yel:LC20_04452
ko:K09910	yel:LC20_04456
ko:K01682	yel:LC20_04457
ko:K00382	yel:LC20_04469
ko:K00627	yel:LC20_04470
ko:K00163	yel:LC20_04471
ko:K11734	yel:LC20_04474
ko:K13735	yel:LC20_04478
ko:K03807	yel:LC20_04481
ko:K03806	yel:LC20_04482
ko:K00767	yel:LC20_04483
ko:K10441	yel:LC20_05263
ko:K06726	yel:LC20_05264
ko:K03718	yel:LC20_05277
ko:K06205	yel:LC20_05278
ko:K03495	yel:LC20_05279
ko:K03501	yel:LC20_05280
ko:K02116	yel:LC20_05281
ko:K02108	yel:LC20_05282
ko:K02110	yel:LC20_05283
ko:K02109	yel:LC20_05284
ko:K02113	yel:LC20_05285
ko:K02111	yel:LC20_05286
ko:K02115	yel:LC20_05287
ko:K02112	yel:LC20_05288
ko:K02114	yel:LC20_05289
ko:K04042	yel:LC20_05291
ko:K00820	yel:LC20_05292
ko:K02040	yel:LC20_05295
ko:K02037	yel:LC20_05296
ko:K02038	yel:LC20_05297
ko:K02039	yel:LC20_05300
ko:K02030	yel:LC20_05302
ko:K02029	yel:LC20_05303
ko:K02029	yel:LC20_05304
ko:K06901	yel:LC20_05307
ko:K03406	yel:LC20_05312
ko:K02072	yel:LC20_05313
ko:K02071	yel:LC20_05314
ko:K02073	yel:LC20_05315
ko:K00209	yel:LC20_05316
ko:K03557	yel:LC20_00580
ko:K05540	yel:LC20_00581
ko:K02687	yel:LC20_00583
ko:K14392	yel:LC20_00584
ko:K01961	yel:LC20_00586
ko:K02160	yel:LC20_00587
ko:K03786	yel:LC20_00588
ko:K17247	yel:LC20_00589
ko:K03570	yel:LC20_00600
ko:K03571	yel:LC20_00601
ko:K06287	yel:LC20_00602
ko:K08301	yel:LC20_00603
ko:K03568	yel:LC20_00607
ko:K15548	yel:LC20_00610
ko:K03468	yel:LC20_00611
ko:K00135	yel:LC20_00612
ko:K03623	yel:LC20_00614
ko:K09889	yel:LC20_00615
ko:K03592	yel:LC20_00616
ko:K15536	yel:LC20_00617
ko:K06140	yel:LC20_00618
ko:K01465	yel:LC20_00624
ko:K01042	yel:LC20_00625
ko:K01531	yel:LC20_00629
ko:K03485	yel:LC20_00630
ko:K02818	yel:LC20_00631
ko:K02819	yel:LC20_00631
ko:K01226	yel:LC20_00632
ko:K07395	yel:LC20_00633
ko:K09022	yel:LC20_00638
ko:K00610	yel:LC20_00639
ko:K00609	yel:LC20_00640
ko:K08485	yel:LC20_00642
ko:K06958	yel:LC20_00643
ko:K02806	yel:LC20_00644
ko:K05808	yel:LC20_00645
ko:K03092	yel:LC20_00646
ko:K06861	yel:LC20_00647
ko:K09774	yel:LC20_00648
ko:K11719	yel:LC20_00649
ko:K03270	yel:LC20_00650
ko:K06041	yel:LC20_00651
ko:K07301	yel:LC20_00652
ko:K02065	yel:LC20_00653
ko:K02066	yel:LC20_00654
ko:K02067	yel:LC20_00655
ko:K07323	yel:LC20_00656
ko:K07122	yel:LC20_00657
ko:K00790	yel:LC20_00659
ko:K04691	yel:LC20_00662
ko:K09908	yel:LC20_00664
ko:K06916	yel:LC20_00665
ko:K02871	yel:LC20_00667
ko:K02996	yel:LC20_00668
ko:K03599	yel:LC20_00670
ko:K03600	yel:LC20_00671
ko:K00266	yel:LC20_00673
ko:K00265	yel:LC20_00674
ko:K07139	yel:LC20_00675
ko:K03406	yel:LC20_00697
ko:K02415	yel:LC20_00701
ko:K06077	yel:LC20_00703
ko:K06282	yel:LC20_00704
ko:K06281	yel:LC20_00707
ko:K03605	yel:LC20_00708
ko:K04651	yel:LC20_00710
ko:K04652	yel:LC20_00711
ko:K04653	yel:LC20_00712
ko:K04654	yel:LC20_00713
ko:K04655	yel:LC20_00715
ko:K04656	yel:LC20_00716
ko:K00537	yel:LC20_00725
ko:K03893	yel:LC20_00726
ko:K01551	yel:LC20_00727
ko:K00216	yel:LC20_00734
ko:K01252	yel:LC20_00735
ko:K02363	yel:LC20_00736
ko:K02361	yel:LC20_00737
ko:K02016	yel:LC20_00738
ko:K08225	yel:LC20_00739
ko:K02015	yel:LC20_00741
ko:K02015	yel:LC20_00742
ko:K12340	yel:LC20_00800
ko:K02858	yel:LC20_00804
ko:K09806	yel:LC20_00805
ko:K16263	yel:LC20_00806
ko:K03272	yel:LC20_00807
ko:K00982	yel:LC20_00808
ko:K18446	yel:LC20_00809
ko:K07184	yel:LC20_00810
ko:K00974	yel:LC20_00811
ko:K06153	yel:LC20_00812
ko:K01633	yel:LC20_00813
ko:K08591	yel:LC20_00814
ko:K01409	yel:LC20_00815
ko:K02970	yel:LC20_00816
ko:K03086	yel:LC20_00819
ko:K11891	yel:LC20_00917
ko:K11910	yel:LC20_00918
ko:K11896	yel:LC20_00919
ko:K11895	yel:LC20_00921
ko:K11906	yel:LC20_00922
ko:K11905	yel:LC20_00923
ko:K11911	yel:LC20_00925
ko:K01673	yel:LC20_00941
ko:K05516	yel:LC20_00946
ko:K08191	yel:LC20_00949
ko:K07648	yel:LC20_00676
ko:K03814	yel:LC20_00678
ko:K12961	yel:LC20_00680
ko:K07460	yel:LC20_00681
ko:K07121	yel:LC20_00682
ko:K07056	yel:LC20_00683
ko:K02013	yel:LC20_00743
ko:K07214	yel:LC20_00746
ko:K02014	yel:LC20_00749
ko:K07798	yel:LC20_00753
ko:K02278	yel:LC20_00757
ko:K02280	yel:LC20_00760
ko:K02282	yel:LC20_00762
ko:K02283	yel:LC20_00763
ko:K12510	yel:LC20_00764
ko:K12512	yel:LC20_00767
ko:K12513	yel:LC20_00768
ko:K12514	yel:LC20_00769
ko:K03559	yel:LC20_00777
ko:K03561	yel:LC20_00778
ko:K01760	yel:LC20_00781
ko:K08325	yel:LC20_00785
ko:K06221	yel:LC20_00786
ko:K00655	yel:LC20_00789
ko:K02621	yel:LC20_00790
ko:K03923	yel:LC20_00791
ko:K02622	yel:LC20_00793
ko:K03651	yel:LC20_00796
ko:K09920	yel:LC20_00797
ko:K01515	yel:LC20_00798
ko:K01207	yel:LC20_00855
ko:K15835	yel:LC20_00856
ko:K07106	yel:LC20_00857
ko:K11191	yel:LC20_00858
ko:K11192	yel:LC20_00858
ko:K01425	yel:LC20_00859
ko:K01580	yel:LC20_00861
ko:K15268	yel:LC20_00865
ko:K00219	yel:LC20_00867
ko:K07043	yel:LC20_00872
ko:K07862	yel:LC20_00876
ko:K01685	yel:LC20_00878
ko:K00041	yel:LC20_00879
ko:K01812	yel:LC20_00880
ko:K08191	yel:LC20_00881
ko:K15977	yel:LC20_00891
ko:K07393	yel:LC20_00892
ko:K06911	yel:LC20_00894
ko:K11901	yel:LC20_00900
ko:K11900	yel:LC20_00901
ko:K11893	yel:LC20_00902
ko:K11892	yel:LC20_00903
ko:K11903	yel:LC20_00905
ko:K11907	yel:LC20_00906
ko:K09159	yel:LC20_00970
ko:K06980	yel:LC20_00971
ko:K11068	yel:LC20_00972
ko:K07023	yel:LC20_00973
ko:K00281	yel:LC20_00976
ko:K02437	yel:LC20_00977
ko:K00605	yel:LC20_00978
ko:K03185	yel:LC20_00981
ko:K01262	yel:LC20_00982
ko:K09895	yel:LC20_00983
ko:K09888	yel:LC20_00984
ko:K01934	yel:LC20_00985
ko:K00058	yel:LC20_00986
ko:K01807	yel:LC20_00988
ko:K05596	yel:LC20_00989
ko:K09807	yel:LC20_00990
ko:K06895	yel:LC20_00991
ko:K03442	yel:LC20_00992
ko:K01624	yel:LC20_00993
ko:K00927	yel:LC20_00994
ko:K03472	yel:LC20_00995
ko:K00615	yel:LC20_00997
ko:K07387	yel:LC20_00998
ko:K01585	yel:LC20_01001
ko:K00789	yel:LC20_01003
ko:K07112	yel:LC20_01004
ko:K07112	yel:LC20_01005
ko:K02742	yel:LC20_01007
ko:K01150	yel:LC20_01008
ko:K09761	yel:LC20_01009
ko:K01920	yel:LC20_01010
ko:K07735	yel:LC20_01012
ko:K07447	yel:LC20_01013
ko:K12251	yel:LC20_01015
ko:K10536	yel:LC20_01016
ko:K02669	yel:LC20_01017
ko:K06997	yel:LC20_01018
ko:K00286	yel:LC20_01019
ko:K02221	yel:LC20_01020
ko:K09131	yel:LC20_01021
ko:K02428	yel:LC20_01022
ko:K01425	yel:LC20_01025
ko:K01187	yel:LC20_00950
ko:K04567	yel:LC20_00960
ko:K02836	yel:LC20_00961
ko:K07462	yel:LC20_00962
ko:K03981	yel:LC20_00963
ko:K04763	yel:LC20_00964
ko:K03840	yel:LC20_00965
ko:K06143	yel:LC20_00966
ko:K07641	yel:LC20_00967
ko:K07663	yel:LC20_00968
ko:K09923	yel:LC20_01026
ko:K03439	yel:LC20_01030
ko:K03575	yel:LC20_01031
ko:K08306	yel:LC20_01034
ko:K07090	yel:LC20_01035
ko:K01581	yel:LC20_01036
ko:K02455	yel:LC20_01072
ko:K02456	yel:LC20_01073
ko:K02458	yel:LC20_01074
ko:K02460	yel:LC20_01076
ko:K02461	yel:LC20_01077
ko:K07396	yel:LC20_01084
ko:K01586	yel:LC20_01090
ko:K02529	yel:LC20_01091
ko:K08351	yel:LC20_01092
ko:K05939	yel:LC20_01093
ko:K08227	yel:LC20_01094
ko:K03573	yel:LC20_01097
ko:K08311	yel:LC20_01099
ko:K08484	yel:LC20_01100
ko:K13292	yel:LC20_01101
ko:K03583	yel:LC20_01107
ko:K01407	yel:LC20_01108
ko:K03581	yel:LC20_01111
ko:K14682	yel:LC20_01112
ko:K01448	yel:LC20_01113
ko:K08304	yel:LC20_01118
ko:K02426	yel:LC20_01120
ko:K01766	yel:LC20_01121
ko:K03566	yel:LC20_01123
ko:K06968	yel:LC20_01125
ko:K01146	yel:LC20_01126
ko:K06879	yel:LC20_01129
ko:K15723	yel:LC20_01130
ko:K00981	yel:LC20_01201
ko:K11749	yel:LC20_01202
ko:K07277	yel:LC20_01203
ko:K06142	yel:LC20_01204
ko:K02536	yel:LC20_01205
ko:K02372	yel:LC20_01206
ko:K00677	yel:LC20_01207
ko:K00748	yel:LC20_01208
ko:K03470	yel:LC20_01209
ko:K01962	yel:LC20_01212
ko:K08234	yel:LC20_01214
ko:K04075	yel:LC20_01215
ko:K15034	yel:LC20_01219
ko:K06079	yel:LC20_01220
ko:K01881	yel:LC20_01221
ko:K06080	yel:LC20_01224
ko:K02073	yel:LC20_01225
ko:K02072	yel:LC20_01226
ko:K02071	yel:LC20_01227
ko:K03273	yel:LC20_01228
ko:K05811	yel:LC20_01229
ko:K00998	yel:LC20_01230
ko:K05812	yel:LC20_01232
ko:K03672	yel:LC20_01233
ko:K03214	yel:LC20_01234
ko:K03446	yel:LC20_01235
ko:K03543	yel:LC20_01236
ko:K15974	yel:LC20_01238
ko:K08476	yel:LC20_01362
ko:K08475	yel:LC20_01364
ko:K08478	yel:LC20_01366
ko:K03152	yel:LC20_01370
ko:K00077	yel:LC20_01371
ko:K09767	yel:LC20_01373
ko:K02300	yel:LC20_01376
ko:K02299	yel:LC20_01377
ko:K02298	yel:LC20_01378
ko:K02297	yel:LC20_01379
ko:K08218	yel:LC20_01381
ko:K07286	yel:LC20_01382
ko:K05527	yel:LC20_01383
ko:K03545	yel:LC20_01385
ko:K01358	yel:LC20_01387
ko:K03544	yel:LC20_01388
ko:K01338	yel:LC20_01390
ko:K03530	yel:LC20_01391
ko:K03770	yel:LC20_01393
ko:K02237	yel:LC20_01394
ko:K12500	yel:LC20_01400
ko:K06920	yel:LC20_01401
ko:K11938	yel:LC20_01403
ko:K01738	yel:LC20_01404
ko:K05800	yel:LC20_01405
ko:K04752	yel:LC20_01408
ko:K03320	yel:LC20_01409
ko:K10805	yel:LC20_01410
ko:K09914	yel:LC20_01412
ko:K07443	yel:LC20_01413
ko:K02313	yel:LC20_00001
ko:K02338	yel:LC20_00002
ko:K03629	yel:LC20_00004
ko:K02470	yel:LC20_00005
ko:K01754	yel:LC20_00013
ko:K04080	yel:LC20_00017
ko:K04081	yel:LC20_00018
ko:K07085	yel:LC20_00019
ko:K00835	yel:LC20_00021
ko:K01176	yel:LC20_00023
ko:K00090	yel:LC20_00024
ko:K03826	yel:LC20_00029
ko:K01246	yel:LC20_00030
ko:K01878	yel:LC20_00032
ko:K01879	yel:LC20_00033
ko:K02798	yel:LC20_00035
ko:K02799	yel:LC20_00035
ko:K02800	yel:LC20_00035
ko:K00009	yel:LC20_00036
ko:K02562	yel:LC20_00037
ko:K14762	yel:LC20_00040
ko:K04564	yel:LC20_00043
ko:K02379	yel:LC20_00044
ko:K00123	yel:LC20_00045
ko:K00123	yel:LC20_00046
ko:K00124	yel:LC20_00047
ko:K00127	yel:LC20_00048
ko:K02380	yel:LC20_00049
ko:K01042	yel:LC20_00050
ko:K03833	yel:LC20_00051
ko:K08160	yel:LC20_00052
ko:K00854	yel:LC20_00057
ko:K01805	yel:LC20_00058
ko:K14064	yel:LC20_02131
ko:K02403	yel:LC20_02132
ko:K02402	yel:LC20_02133
ko:K02556	yel:LC20_02134
ko:K02557	yel:LC20_02135
ko:K03407	yel:LC20_02136
ko:K03408	yel:LC20_02137
ko:K05877	yel:LC20_02140
ko:K00575	yel:LC20_02141
ko:K03413	yel:LC20_02144
ko:K03414	yel:LC20_02145
ko:K02401	yel:LC20_02146
ko:K02400	yel:LC20_02147
ko:K03516	yel:LC20_02148
ko:K02399	yel:LC20_02152
ko:K02398	yel:LC20_02153
ko:K02386	yel:LC20_02155
ko:K02387	yel:LC20_02156
ko:K02388	yel:LC20_02157
ko:K02389	yel:LC20_02158
ko:K02390	yel:LC20_02159
ko:K02391	yel:LC20_02161
ko:K02392	yel:LC20_02162
ko:K02393	yel:LC20_02163
ko:K02394	yel:LC20_02164
ko:K02396	yel:LC20_02166
ko:K02397	yel:LC20_02167
ko:K02421	yel:LC20_02168
ko:K02420	yel:LC20_02169
ko:K02419	yel:LC20_02170
ko:K02418	yel:LC20_02171
ko:K02417	yel:LC20_02172
ko:K02416	yel:LC20_02173
ko:K02415	yel:LC20_02174
ko:K02413	yel:LC20_02177
ko:K02412	yel:LC20_02178
ko:K02411	yel:LC20_02179
ko:K02410	yel:LC20_02180
ko:K02409	yel:LC20_02181
ko:K02408	yel:LC20_02183
ko:K12678	yel:LC20_02271
ko:K01479	yel:LC20_02353
ko:K01468	yel:LC20_02354
ko:K05836	yel:LC20_02357
ko:K05603	yel:LC20_02358
ko:K09975	yel:LC20_02359
ko:K17213	yel:LC20_02360
ko:K12943	yel:LC20_02367
ko:K08302	yel:LC20_02370
ko:K02082	yel:LC20_02371
ko:K02747	yel:LC20_02374
ko:K02746	yel:LC20_02375
ko:K02745	yel:LC20_02376
ko:K16371	yel:LC20_02377
ko:K12678	yel:LC20_02381
ko:K06942	yel:LC20_02386
ko:K01056	yel:LC20_02388
ko:K00948	yel:LC20_02392
ko:K02494	yel:LC20_02394
ko:K02492	yel:LC20_02395
ko:K02835	yel:LC20_02396
ko:K02493	yel:LC20_02397
ko:K01627	yel:LC20_02400
ko:K03321	yel:LC20_02401
ko:K11743	yel:LC20_02460
ko:K11742	yel:LC20_02461
ko:K01897	yel:LC20_02470
ko:K03684	yel:LC20_02471
ko:K03608	yel:LC20_02476
ko:K03609	yel:LC20_02478
ko:K03610	yel:LC20_02479
ko:K09902	yel:LC20_02482
ko:K08305	yel:LC20_02484
ko:K09160	yel:LC20_02486
ko:K12678	yel:LC20_02490
ko:K03611	yel:LC20_02493
ko:K03603	yel:LC20_02497
ko:K00285	yel:LC20_02500
ko:K01775	yel:LC20_02502
ko:K07552	yel:LC20_02503
ko:K06911	yel:LC20_02507
ko:K03482	yel:LC20_01307
ko:K02749	yel:LC20_01309
ko:K02750	yel:LC20_01309
ko:K01232	yel:LC20_01310
ko:K02016	yel:LC20_01317
ko:K02014	yel:LC20_01318
ko:K00891	yel:LC20_01319
ko:K09913	yel:LC20_01322
ko:K00847	yel:LC20_01326
ko:K07657	yel:LC20_01330
ko:K07636	yel:LC20_01331
ko:K02040	yel:LC20_01332
ko:K03311	yel:LC20_01333
ko:K11736	yel:LC20_01334
ko:K01187	yel:LC20_01336
ko:K03386	yel:LC20_01341
ko:K08682	yel:LC20_01342
ko:K07568	yel:LC20_01343
ko:K00773	yel:LC20_01347
ko:K03210	yel:LC20_01348
ko:K03072	yel:LC20_01349
ko:K03074	yel:LC20_01350
ko:K07738	yel:LC20_01352
ko:K11752	yel:LC20_01353
ko:K00794	yel:LC20_01354
ko:K03625	yel:LC20_01355
ko:K00946	yel:LC20_01356
ko:K01095	yel:LC20_01357
ko:K01662	yel:LC20_01358
ko:K00795	yel:LC20_01359
ko:K03602	yel:LC20_01360
ko:K03151	yel:LC20_01361
ko:K09973	yel:LC20_01474
ko:K17686	yel:LC20_01475
ko:K07340	yel:LC20_01477
ko:K05838	yel:LC20_01479
ko:K10804	yel:LC20_01481
ko:K02003	yel:LC20_01482
ko:K02004	yel:LC20_01483
ko:K01589	yel:LC20_01485
ko:K01588	yel:LC20_01487
ko:K03269	yel:LC20_01488
ko:K03768	yel:LC20_01489
ko:K01883	yel:LC20_01490
ko:K14761	yel:LC20_01492
ko:K01491	yel:LC20_01493
ko:K03221	yel:LC20_01526
ko:K02802	yel:LC20_01637
ko:K02803	yel:LC20_01637
ko:K02804	yel:LC20_01637
ko:K01886	yel:LC20_01638
ko:K12373	yel:LC20_01642
ko:K03711	yel:LC20_01643
ko:K03839	yel:LC20_01644
ko:K03406	yel:LC20_01646
ko:K03645	yel:LC20_01650
ko:K01835	yel:LC20_01651
ko:K08978	yel:LC20_01653
ko:K07667	yel:LC20_01654
ko:K07646	yel:LC20_01655
ko:K01548	yel:LC20_01656
ko:K01547	yel:LC20_01658
ko:K01546	yel:LC20_01659
ko:K01669	yel:LC20_01665
ko:K07160	yel:LC20_01671
ko:K01304	yel:LC20_01674
ko:K01647	yel:LC20_01675
ko:K00241	yel:LC20_01678
ko:K00242	yel:LC20_01679
ko:K00239	yel:LC20_01680
ko:K00240	yel:LC20_01681
ko:K00164	yel:LC20_01682
ko:K00658	yel:LC20_01683
ko:K01903	yel:LC20_01684
ko:K01902	yel:LC20_01685
ko:K01119	yel:LC20_01686
ko:K00425	yel:LC20_01688
ko:K00426	yel:LC20_01689
ko:K07107	yel:LC20_01692
ko:K07180	yel:LC20_02512
ko:K01792	yel:LC20_02515
ko:K01696	yel:LC20_02572
ko:K13498	yel:LC20_02573
ko:K00766	yel:LC20_02574
ko:K01658	yel:LC20_02575
ko:K01657	yel:LC20_02576
ko:K07053	yel:LC20_02579
ko:K12678	yel:LC20_02583
ko:K13735	yel:LC20_02588
ko:K06178	yel:LC20_02602
ko:K04774	yel:LC20_02605
ko:K03168	yel:LC20_02607
ko:K13634	yel:LC20_02609
ko:K01497	yel:LC20_02621
ko:K08992	yel:LC20_02624
ko:K06175	yel:LC20_01186
ko:K00674	yel:LC20_01190
ko:K00990	yel:LC20_01191
ko:K01265	yel:LC20_01192
ko:K02967	yel:LC20_01194
ko:K02357	yel:LC20_01195
