ko:K04042	cbo:CBO3545
ko:K06023	cbo:CBO2608
ko:K01462	cbo:CBO2622
ko:K01114	cbo:CBO2632
ko:K02392	cbo:CBO2637
ko:K02420	cbo:CBO2647
ko:K02418	cbo:CBO2649
ko:K02557	cbo:CBO2651
ko:K02556	cbo:CBO2652
ko:K02385	cbo:CBO2653
ko:K02390	cbo:CBO2654
ko:K02389	cbo:CBO2656
ko:K02413	cbo:CBO2658
ko:K02387	cbo:CBO2665
ko:K02406	cbo:CBO2666
ko:K01755	cbo:CBO2669
ko:K03802	cbo:CBO0120
ko:K00919	cbo:CBO0121
ko:K06387	cbo:CBO0126
ko:K01937	cbo:CBO0132
ko:K03628	cbo:CBO0134
ko:K02909	cbo:CBO0135
ko:K00857	cbo:CBO0136
ko:K02493	cbo:CBO0138
ko:K01940	cbo:CBO2670
ko:K06131	cbo:CBO2674
ko:K02663	cbo:CBO1901
ko:K02809	cbo:CBO1344
ko:K02810	cbo:CBO1344
ko:K02803	cbo:CBO2839
ko:K02804	cbo:CBO2839
ko:K02783	cbo:CBO3416
ko:K02650	cbo:CBO1907
ko:K06178	cbo:CBO1813
ko:K19225	cbo:CBO0398
ko:K01515	cbo:CBO1867
ko:K07719	cbo:CBO0613
ko:K07717	cbo:CBO0614
ko:K03568	cbo:CBOP17
ko:K09117	cbo:CBO2952
ko:K02970	cbo:CBO2953
ko:K09761	cbo:CBO2956
ko:K04043	cbo:CBO2959
ko:K03705	cbo:CBO2961
ko:K06385	cbo:CBO2965
ko:K06012	cbo:CBO2966
ko:K02968	cbo:CBO2967
ko:K02238	cbo:CBO2969
ko:K01042	cbo:CBO2976
ko:K00969	cbo:CBO2984
ko:K07574	cbo:CBO2985
ko:K03979	cbo:CBO2986
ko:K02899	cbo:CBO2987
ko:K07584	cbo:CBO2988
ko:K08301	cbo:CBO2990
ko:K11105	cbo:CBO1984
ko:K02777	cbo:CBO0279
ko:K02777	cbo:CBO0271
ko:K01531	cbo:CBO2869
ko:K01945	cbo:CBO2872
ko:K01933	cbo:CBO2875
ko:K00764	cbo:CBO2876
ko:K01923	cbo:CBO2877
ko:K01464	cbo:CBO2886
ko:K03495	cbo:CBO3642
ko:K06346	cbo:CBO3644
ko:K03217	cbo:CBO3645
ko:K08998	cbo:CBO3646
ko:K02914	cbo:CBO3648
ko:K03708	cbo:CBO3512
ko:K02355	cbo:CBO3515
ko:K01925	cbo:CBO3516
ko:K00068	cbo:CBO3413
ko:K02961	cbo:CBO3472
ko:K02982	cbo:CBO3474
ko:K02890	cbo:CBO3475
ko:K02965	cbo:CBO3476
ko:K02886	cbo:CBO3477
ko:K02892	cbo:CBO3478
ko:K02906	cbo:CBO3480
ko:K02946	cbo:CBO3481
ko:K02358	cbo:CBO3482
ko:K02355	cbo:CBO3483
ko:K02992	cbo:CBO3484
ko:K02950	cbo:CBO3485
ko:K07590	cbo:CBO3486
ko:K03073	cbo:CBO3494
ko:K06962	cbo:CBO3498
ko:K03465	cbo:CBO3500
ko:K11145	cbo:CBO3500A
ko:K01754	cbo:CBO3502
ko:K01881	cbo:CBO3503
ko:K00991	cbo:CBO3504
ko:K07067	cbo:CBO3507
ko:K01448	cbo:CBO3110
ko:K00963	cbo:CBO3112
ko:K02897	cbo:CBO3115
ko:K09888	cbo:CBO3129
ko:K03437	cbo:CBO3132
ko:K03499	cbo:CBO3133
ko:K03522	cbo:CBO3197
ko:K03521	cbo:CBO3198
ko:K06901	cbo:CBO3205
ko:K07095	cbo:CBO3210
ko:K04069	cbo:CBO3215
ko:K00656	cbo:CBO3216
ko:K02897	cbo:CBO3218
ko:K09825	cbo:CBO3220
ko:K01876	cbo:CBO3054
ko:K07560	cbo:CBO3058
ko:K00759	cbo:CBO3060
ko:K03074	cbo:CBO3062
ko:K03072	cbo:CBO3063
ko:K06871	cbo:CBO3064
ko:K03210	cbo:CBO3067
ko:K00773	cbo:CBO3068
ko:K03550	cbo:CBO3071
ko:K00760	cbo:CBO3081
ko:K06407	cbo:CBO3084
ko:K06406	cbo:CBO3085
ko:K06405	cbo:CBO3086
ko:K03091	cbo:CBO3087
ko:K06379	cbo:CBO3088
ko:K03980	cbo:CBO3095
ko:K01409	cbo:CBO3313
ko:K06925	cbo:CBO3320
ko:K01866	cbo:CBO3323
ko:K01867	cbo:CBO3331
ko:K01586	cbo:CBO3336
ko:K00928	cbo:CBO3337
ko:K03798	cbo:CBO3342
ko:K01439	cbo:CBO3343
ko:K01881	cbo:CBO3344
ko:K00674	cbo:CBO3156
ko:K01873	cbo:CBO3164
ko:K03825	cbo:CBO3165
ko:K02051	cbo:CBO3169
ko:K02049	cbo:CBO3171
ko:K02050	cbo:CBO3172
ko:K03565	cbo:CBO3175
ko:K09913	cbo:CBO3181
ko:K00286	cbo:CBO3182
ko:K00656	cbo:CBO3183
ko:K04069	cbo:CBO3184
ko:K03924	cbo:CBO3189
ko:K01448	cbo:CBO2325
ko:K04077	cbo:CBO3298
ko:K01338	cbo:CBO3228
ko:K04076	cbo:CBO3229
ko:K03544	cbo:CBO3230
ko:K03545	cbo:CBO3232
ko:K00762	cbo:CBO3235
ko:K01591	cbo:CBO3238
ko:K01465	cbo:CBO3239
ko:K02049	cbo:CBO3247
ko:K02887	cbo:CBO3135
ko:K01868	cbo:CBO3138
ko:K04083	cbo:CBO3143
ko:K00133	cbo:CBO3151
ko:K01714	cbo:CBO3152
ko:K00215	cbo:CBO3153
ko:K03086	cbo:CBO2938
ko:K01129	cbo:CBO2940
ko:K01006	cbo:CBO2942
ko:K03595	cbo:CBO2946
ko:K01489	cbo:CBO2947
ko:K07042	cbo:CBO2949
ko:K07037	cbo:CBO2950
ko:K06438	cbo:CBO2951
ko:K00859	cbo:CBO3013
ko:K01736	cbo:CBO3015
ko:K03803	cbo:CBO3053
ko:K00661	cbo:CBO2159
ko:K03778	cbo:CBO3283
ko:K06173	cbo:CBO1914
ko:K07650	cbo:CBO0296
ko:K01874	cbo:CBO0075
ko:K02822	cbo:CBO2151
ko:K03111	cbo:CBO3627
ko:K06958	cbo:CBO3377
ko:K01777	cbo:CBO2474
ko:K00008	cbo:CBO3418
ko:K00567	cbo:CBO1532
ko:K07090	cbo:CBO2862
ko:K02652	cbo:CBO1909
ko:K07770	cbo:CBO0295
ko:K00812	cbo:CBO2399
ko:K05946	cbo:CBO3092
ko:K07105	cbo:CBO0009
ko:K00868	cbo:CBO1390
ko:K00298	cbo:CBO0515
ko:K00971	cbo:CBO0102
ko:K01104	cbo:CBO0143
ko:K02790	cbo:CBO0288
ko:K02791	cbo:CBO0288
ko:K02777	cbo:CBO0290
ko:K02016	cbo:CBO0310
ko:K06889	cbo:CBO0548
ko:K07005	cbo:CBO0638
ko:K03406	cbo:CBO0693
ko:K03892	cbo:CBO0753
ko:K07729	cbo:CBO0763
ko:K10811	cbo:CBO0770
ko:K07497	cbo:CBO0810
ko:K02009	cbo:CBO0917A
ko:K05934	cbo:CBO0949
ko:K00863	cbo:CBO0975
ko:K01488	cbo:CBO0991
ko:K00104	cbo:CBO1009
ko:K01611	cbo:CBO3363
ko:K00873	cbo:CBO3372
ko:K00850	cbo:CBO3373
ko:K09762	cbo:CBO3375
ko:K00075	cbo:CBO3378
ko:K03701	cbo:CBO3386
ko:K03702	cbo:CBO3387
ko:K03797	cbo:CBO3389
ko:K00615	cbo:CBO3394
ko:K00615	cbo:CBO3395
ko:K01775	cbo:CBO3397
ko:K00997	cbo:CBO3400
ko:K07058	cbo:CBO3403
ko:K02986	cbo:CBO3405
ko:K00820	cbo:CBO3410
ko:K09773	cbo:CBO3611
ko:K07007	cbo:CBO3613
ko:K01939	cbo:CBO3616
ko:K07137	cbo:CBO3617
ko:K02314	cbo:CBO3620
ko:K01338	cbo:CBO3621
ko:K02939	cbo:CBO3622
ko:K02963	cbo:CBO3626
ko:K02990	cbo:CBO3628
ko:K01443	cbo:CBO2834
ko:K03710	cbo:CBO2835
ko:K07141	cbo:CBO2849
ko:K10974	cbo:CBO2073
ko:K02825	cbo:CBO2821
ko:K01975	cbo:CBO2826
ko:K01012	cbo:CBO3582
ko:K03150	cbo:CBO3583
ko:K03307	cbo:CBO3585
ko:K09936	cbo:CBO3589
ko:K00645	cbo:CBO3601
ko:K00198	cbo:CBO1331
ko:K09705	cbo:CBO0731
ko:K03152	cbo:CBO2767
ko:K01938	cbo:CBO3523
ko:K03798	cbo:CBO3524
ko:K00760	cbo:CBO3525
ko:K06382	cbo:CBO3527
ko:K07571	cbo:CBO3529
ko:K03530	cbo:CBO3534
ko:K04769	cbo:CBO3537
ko:K07533	cbo:CBO3538
ko:K00948	cbo:CBO3544
ko:K06412	cbo:CBO3546
ko:K09685	cbo:CBO3547
ko:K01924	cbo:CBO3548
ko:K05979	cbo:CBO3553
ko:K07139	cbo:CBO3554
ko:K04070	cbo:CBO3557
ko:K01776	cbo:CBO3562
ko:K01915	cbo:CBO3563
ko:K00790	cbo:CBO3566
ko:K00783	cbo:CBO3570
ko:K01265	cbo:CBO3576
ko:K00864	cbo:CBO2784
ko:K02440	cbo:CBO2785
ko:K06215	cbo:CBO2800
ko:K01425	cbo:CBO2808
ko:K03501	cbo:CBO3641
ko:K00625	cbo:CBO2459
ko:K07304	cbo:CBO1391
ko:K01270	cbo:CBO2867
ko:K11753	cbo:CBO2415
ko:K01485	cbo:CBO2072
ko:K01270	cbo:CBO2232
ko:K00686	cbo:CBO2291
ko:K06284	cbo:CBO2374
ko:K00949	cbo:CBO2501
ko:K03711	cbo:CBO2560
ko:K03310	cbo:CBO2576
ko:K01934	cbo:CBO2607
ko:K01854	cbo:CBO2685
ko:K01790	cbo:CBO2715
ko:K00978	cbo:CBO2718
ko:K02406	cbo:CBO2731
ko:K06603	cbo:CBO2736
ko:K03563	cbo:CBO2737
ko:K02397	cbo:CBO2739
ko:K02398	cbo:CBO2742
ko:K03408	cbo:CBO2745
ko:K03407	cbo:CBO2748
ko:K03408	cbo:CBO2752
ko:K09749	cbo:CBO2753
ko:K03737	cbo:CBO2760
ko:K07462	cbo:CBO2763
ko:K01151	cbo:CBO2764
ko:K00027	cbo:CBO0210
ko:K00027	cbo:CBO0246
ko:K01421	cbo:CBO0992
ko:K01421	cbo:CBO0993
ko:K11041	cbo:CBO1522
ko:K11065	cbo:CBO0501
ko:K07979	cbo:CBO2918
ko:K01585	cbo:CBO3116
ko:K02110	cbo:CBO0151
ko:K03475	cbo:CBO2150
ko:K04485	cbo:CBO3508
ko:K00175	cbo:CBO3422
ko:K01448	cbo:CBO1751
ko:K02417	cbo:CBO2743
ko:K03092	cbo:CBO0224
ko:K02396	cbo:CBO2740
ko:K02760	cbo:CBO3357
ko:K06179	cbo:CBO1433
ko:K03551	cbo:CBO3070
ko:K03783	cbo:CBO1864
ko:K11175	cbo:CBO2874
ko:K02112	cbo:CBO0156
ko:K02111	cbo:CBO0154
ko:K01681	cbo:CBO0418
ko:K07636	cbo:CBO2526
ko:K11068	cbo:CBO1589
ko:K02588	cbo:CBO0690
ko:K02563	cbo:CBO2761
ko:K01678	cbo:CBO3441
ko:K06183	cbo:CBO3273
ko:K00013	cbo:CBO1567
ko:K11068	cbo:CBO1450
ko:K02755	cbo:CBO0881
ko:K02756	cbo:CBO0881
ko:K02757	cbo:CBO0881
ko:K02114	cbo:CBO0157
ko:K01424	cbo:CBO2516
ko:K04564	cbo:CBO2277
ko:K03529	cbo:CBO2452
ko:K02818	cbo:CBO1987
ko:K02819	cbo:CBO1987
ko:K02108	cbo:CBO0150
ko:K03654	cbo:CBO0995
ko:K01223	cbo:CBO0882
ko:K03076	cbo:CBO3461
ko:K03412	cbo:CBO2750
ko:K04041	cbo:CBO0516
ko:K02446	cbo:CBO2616
ko:K07305	cbo:CBO2276
ko:K01035	cbo:CBO2848
ko:K02372	cbo:CBO3597
ko:K00901	cbo:CBO2948
ko:K03718	cbo:CBO0526
ko:K04763	cbo:CBO1865
ko:K00016	cbo:CBO1519
ko:K06436	cbo:CBO0115
ko:K00030	cbo:CBO0419
ko:K10026	cbo:CBO1555
ko:K00074	cbo:CBO3201
ko:K03426	cbo:CBO0037
ko:K02824	cbo:CBO1479
ko:K01625	cbo:CBO0292
ko:K11072	cbo:CBO0561
ko:K01183	cbo:CBO2832
ko:K01183	cbo:CBO1057
ko:K01183	cbo:CBO1081
ko:K01809	cbo:CBO0412
ko:K12574	cbo:CBO2559
ko:K02598	cbo:CBO0956
ko:K00602	cbo:CBO2873
ko:K01890	cbo:CBO3130
ko:K01784	cbo:CBO2777
ko:K11927	cbo:CBO0643
ko:K00260	cbo:CBO1811
ko:K13292	cbo:CBO3209
ko:K09702	cbo:CBO0982
ko:K06310	cbo:CBO0123
ko:K03657	cbo:CBO3341
ko:K01654	cbo:CBO2680
ko:K00059	cbo:CBO0502
ko:K03769	cbo:CBO0047
ko:K03574	cbo:CBO0653
ko:K01297	cbo:CBO0049
ko:K01187	cbo:CBO1604
ko:K11752	cbo:CBO2866
ko:K01580	cbo:CBO1917
ko:K00528	cbo:CBO1644
ko:K07474	cbo:CBO1721
ko:K06384	cbo:CBO1866
ko:K07069	cbo:CBO2022
ko:K06889	cbo:CBO2026
ko:K01259	cbo:CBO2031
ko:K03827	cbo:CBO0868
ko:K00059	cbo:CBO3600
ko:K12410	cbo:CBO0048
ko:K01491	cbo:CBO1172
ko:K06333	cbo:CBO1229
ko:K06334	cbo:CBO1230
ko:K00131	cbo:CBO1253
ko:K00087	cbo:CBO1285
ko:K09963	cbo:CBO1346
ko:K01308	cbo:CBO1374
ko:K07304	cbo:CBO1923
ko:K09759	cbo:CBO1019
ko:K01201	cbo:CBO1200
ko:K06434	cbo:CBO1034
ko:K02073	cbo:CBO1086
ko:K03657	cbo:CBO1414
ko:K01775	cbo:CBO0276
ko:K13019	cbo:CBO3100
ko:K06889	cbo:CBO0212
ko:K08978	cbo:CBO0896
ko:K00626	cbo:CBO3200
ko:K07658	cbo:CBO2527
ko:K06168	cbo:CBO1801
ko:K03768	cbo:CBO3561
ko:K03524	cbo:CBO1117
ko:K11071	cbo:CBO0562
ko:K05346	cbo:CBO1561
ko:K00058	cbo:CBO1127
ko:K01243	cbo:CBO1471
ko:K04487	cbo:CBO2568
ko:K03458	cbo:CBO2887
ko:K04487	cbo:CBO1182
ko:K01358	cbo:CBO3231
ko:K01950	cbo:CBO0537
ko:K03458	cbo:CBO2189
ko:K03458	cbo:CBO0316
ko:K00661	cbo:CBO1116
ko:K02030	cbo:CBO0446
ko:K01710	cbo:CBO2056
ko:K02017	cbo:CBO1485
ko:K02237	cbo:CBO2978
ko:K02790	cbo:CBO0268
ko:K02791	cbo:CBO0268
ko:K01104	cbo:CBO2688
ko:K03410	cbo:CBO2747
ko:K02443	cbo:CBO2768
ko:K01232	cbo:CBO0267
ko:K01232	cbo:CBO0278
ko:K01232	cbo:CBO0289
ko:K00274	cbo:CBO1197
ko:K02242	cbo:CBO0171
ko:K03657	cbo:CBO0712
ko:K03657	cbo:CBO2904
ko:K02503	cbo:CBO2954
ko:K00951	cbo:CBO3059
ko:K01239	cbo:CBO2621
ko:K06402	cbo:CBO2993
ko:K06409	cbo:CBO1434
ko:K01271	cbo:CBO0344
ko:K01961	cbo:CBO3596
ko:K07052	cbo:CBO2211
ko:K10797	cbo:CBO2166
ko:K11754	cbo:CBO3163
ko:K13607	cbo:CBO3292
ko:K07216	cbo:CBO0518
ko:K13282	cbo:CBO0119
ko:K13038	cbo:CBO2512
ko:K01286	cbo:CBO1404
ko:K03406	cbo:CBO1558
ko:K03406	cbo:CBO1919
ko:K13542	cbo:CBO0921
ko:K13653	cbo:CBO2098
ko:K04763	cbo:CBO2364
ko:K00248	cbo:CBO3199
ko:K01715	cbo:CBO3202
ko:K02823	cbo:CBO3237
ko:K03321	cbo:CBO3348
ko:K09963	cbo:CBO3354
ko:K00634	cbo:CBO3427
ko:K06409	cbo:CBO3536
ko:K00950	cbo:CBO0830
ko:K12573	cbo:CBO0232
ko:K03698	cbo:CBO3206
ko:K10793	cbo:CBO2480
ko:K08309	cbo:CBO3012
ko:K01534	cbo:CBO0478
ko:K00805	cbo:CBO0375
ko:K01784	cbo:CBO2679
ko:K13730	cbo:CBO3104
ko:K02217	cbo:CBO1784
ko:K01599	cbo:CBO2243
ko:K13789	cbo:CBO1883
ko:K02004	cbo:CBO0087
ko:K01537	cbo:CBO0532
ko:K00666	cbo:CBO3293
ko:K12527	cbo:CBO2884
ko:K02003	cbo:CBO0904
ko:K02004	cbo:CBO0904
ko:K02315	cbo:CBO3608
ko:K01958	cbo:CBO3312
ko:K07979	cbo:CBO2790
ko:K03406	cbo:CBO2805
ko:K01990	cbo:CBO2917
ko:K13820	cbo:CBO2646
ko:K03394	cbo:CBO0946
ko:K01259	cbo:CBO2099
ko:K04030	cbo:CBO2110
ko:K04028	cbo:CBO2111
ko:K06147	cbo:CBO2278
ko:K01537	cbo:CBO2634
ko:K02414	cbo:CBO2657
ko:K02407	cbo:CBO2733
ko:K01247	cbo:CBO0639
ko:K05832	cbo:CBO0668
ko:K05833	cbo:CBO0669
ko:K03406	cbo:CBO0719
ko:K02004	cbo:CBO0784
ko:K03719	cbo:CBO0843
ko:K02018	cbo:CBO0962
ko:K08982	cbo:CBO1040
ko:K02057	cbo:CBO0222
ko:K09817	cbo:CBO1362
ko:K07005	cbo:CBO0633
ko:K06133	cbo:CBO2592
ko:K08587	cbo:CBO1920
ko:K05337	cbo:CBO3192
ko:K06972	cbo:CBO3311
ko:K06857	cbo:CBO1944
ko:K07079	cbo:CBO1508
ko:K06147	cbo:CBO2279
ko:K07729	cbo:CBO2290
ko:K01449	cbo:CBO0204
ko:K07335	cbo:CBO0219
ko:K03406	cbo:CBO0399
ko:K03406	cbo:CBO0437
ko:K01515	cbo:CBO0474
ko:K03406	cbo:CBO0552
ko:K02029	cbo:CBO0445
ko:K11046	cbo:CBO0486
ko:K01046	cbo:CBO0863
ko:K07343	cbo:CBO0716
ko:K03657	cbo:CBO2089
ko:K02004	cbo:CBO2146
ko:K13653	cbo:CBO2164
ko:K09000	cbo:CBO2173
ko:K01271	cbo:CBO2030
ko:K07099	cbo:CBO0181
ko:K09766	cbo:CBO0184
ko:K00941	cbo:CBO0451
ko:K14223	cbo:CBOt048
ko:K14228	cbo:CBOt070
ko:K14155	cbo:CBO1400
ko:K14232	cbo:CBOt086
ko:K14232	cbo:CBOt087
ko:K14232	cbo:CBOt088
ko:K14229	cbo:CBOt074
ko:K14229	cbo:CBOt073
ko:K14224	cbo:CBOt052
ko:K14224	cbo:CBOt054
ko:K14224	cbo:CBOt053
ko:K01980	cbo:CBOr012
ko:K01980	cbo:CBOr016
ko:K01980	cbo:CBOr011
ko:K01980	cbo:CBOr014
ko:K01980	cbo:CBOr013
ko:K01980	cbo:CBOr015
ko:K01980	cbo:CBOr010
ko:K01980	cbo:CBOr018
ko:K01980	cbo:CBOr017
ko:K14225	cbo:CBOt056
ko:K14225	cbo:CBOt058
ko:K14225	cbo:CBOt057
ko:K14220	cbo:CBOt041
ko:K14220	cbo:CBOt040
ko:K14220	cbo:CBOt039
ko:K16961	cbo:CBO1181
ko:K01449	cbo:CBO2924
ko:K02030	cbo:CBO1411
ko:K14228	cbo:CBOt071
ko:K14228	cbo:CBOt072
ko:K01983	cbo:CBOm0001
ko:K14225	cbo:CBOt059
ko:K14225	cbo:CBOt061
ko:K14225	cbo:CBOt060
ko:K14225	cbo:CBOt062
ko:K14219	cbo:CBOt033
ko:K01628	cbo:CBO1270
ko:K08281	cbo:CBO1134
ko:K04072	cbo:CBO0345
ko:K07025	cbo:CBO2722
ko:K03406	cbo:CBO1354
ko:K03294	cbo:CBO1377
ko:K13626	cbo:CBO2738
ko:K13653	cbo:CBO0602
ko:K02224	cbo:CBO0924
ko:K13479	cbo:CBO1286
ko:K00974	cbo:CBO2302
ko:K06518	cbo:CBO0324
ko:K01977	cbo:CBOr008
ko:K01977	cbo:CBOr007
ko:K01977	cbo:CBOr003
ko:K01977	cbo:CBOr002
ko:K01977	cbo:CBOr009
ko:K01977	cbo:CBOr005
ko:K01977	cbo:CBOr001
ko:K01977	cbo:CBOr006
ko:K01977	cbo:CBOr004
ko:K05020	cbo:CBO1131
ko:K14228	cbo:CBOt068
ko:K14223	cbo:CBOt049
ko:K14223	cbo:CBOt050
ko:K14219	cbo:CBOt037
ko:K14219	cbo:CBOt038
ko:K14219	cbo:CBOt036
ko:K14224	cbo:CBOt051
ko:K03703	cbo:CBO3204
ko:K14233	cbo:CBOt090
ko:K14233	cbo:CBOt091
ko:K14229	cbo:CBOt075
ko:K14229	cbo:CBOt077
ko:K14229	cbo:CBOt078
ko:K14229	cbo:CBOt076
ko:K00128	cbo:CBO1099
ko:K05799	cbo:CBO1520
ko:K14230	cbo:CBOt079
ko:K14230	cbo:CBOt080
ko:K14234	cbo:CBOt095
ko:K03527	cbo:CBO1807
ko:K02945	cbo:CBO1807
ko:K14230	cbo:CBOt081
ko:K14226	cbo:CBOt063
ko:K14226	cbo:CBOt064
ko:K13993	cbo:CBO0831
ko:K14228	cbo:CBOt069
ko:K07005	cbo:CBO0835
ko:K11261	cbo:CBO1674
ko:K14230	cbo:CBOt082
ko:K14222	cbo:CBOt046
ko:K14222	cbo:CBOt047
ko:K14236	cbo:CBOt101
ko:K14236	cbo:CBOt102
ko:K01978	cbo:CBOm0003
ko:K14235	cbo:CBOt100
ko:K19271	cbo:CBO0619
ko:K14441	cbo:CBO2407
ko:K03324	cbo:CBO3444
ko:K03406	cbo:CBO2811
ko:K01267	cbo:CBO3338
ko:K14234	cbo:CBOt096
ko:K14234	cbo:CBOt098
ko:K14234	cbo:CBOt099
ko:K14234	cbo:CBOt097
ko:K00941	cbo:CBO0771
ko:K01985	cbo:CBOr019
ko:K14219	cbo:CBOt034
ko:K11069	cbo:CBO0563
ko:K11070	cbo:CBO0563
ko:K14231	cbo:CBOt083
ko:K14231	cbo:CBOt085
ko:K14231	cbo:CBOt084
ko:K01449	cbo:CBO3432
ko:K00433	cbo:CBO0840
ko:K07705	cbo:CBO3308
ko:K00334	cbo:CBO1849
ko:K06928	cbo:CBO2894
ko:K01985	cbo:CBOr023
ko:K01985	cbo:CBOr022
ko:K01985	cbo:CBOr027
ko:K01985	cbo:CBOr021
ko:K01985	cbo:CBOr020
ko:K01985	cbo:CBOr024
ko:K01985	cbo:CBOr026
ko:K01985	cbo:CBOr025
ko:K14233	cbo:CBOt093
ko:K14233	cbo:CBOt094
ko:K01011	cbo:CBO0792
ko:K07474	cbo:CBO2356
ko:K14225	cbo:CBOt055
ko:K14219	cbo:CBOt035
ko:K14218	cbo:CBOt029
ko:K14218	cbo:CBOt031
ko:K14218	cbo:CBOt032
ko:K14218	cbo:CBOt030
ko:K14237	cbo:CBOt103
ko:K14237	cbo:CBOt106
ko:K14237	cbo:CBOt107
ko:K14237	cbo:CBOt105
ko:K14237	cbo:CBOt104
ko:K14221	cbo:CBOt042
ko:K14221	cbo:CBOt045
ko:K14221	cbo:CBOt044
ko:K14221	cbo:CBOt043
ko:K07052	cbo:CBO0926
ko:K14227	cbo:CBOt065
ko:K14227	cbo:CBOt066
ko:K14227	cbo:CBOt067
ko:K02304	cbo:CBO0919
ko:K14238	cbo:CBOt089
ko:K14233	cbo:CBOt092
ko:K07052	cbo:CBO1309
ko:K14155	cbo:CBO1963
ko:K03798	cbo:CBO0400
ko:K00764	cbo:CBO2913
ko:K01270	cbo:CBO1388
ko:K07979	cbo:CBO2066
ko:K01183	cbo:CBO0728
ko:K01537	cbo:CBO1545
ko:K14540	cbo:CBO2442
ko:K14652	cbo:CBO2864
ko:K06881	cbo:CBO2417
ko:K03624	cbo:CBO0676
ko:K06147	cbo:CBO1050
ko:K03215	cbo:CBO3369
ko:K15580	cbo:CBO3150
ko:K15583	cbo:CBO3147
ko:K15383	cbo:CBO1283
ko:K15633	cbo:CBO0229
ko:K15629	cbo:CBO1038
ko:K15738	cbo:CBO1063
ko:K02226	cbo:CBO0819
ko:K15582	cbo:CBO3148
ko:K15898	cbo:CBO2720
ko:K15581	cbo:CBO3149
ko:K15632	cbo:CBO2857
ko:K01835	cbo:CBO3114
ko:K00812	cbo:CBO1804
ko:K06147	cbo:CBO1308
ko:K06147	cbo:CBO1600
ko:K06998	cbo:CBO2183
ko:K15976	cbo:CBO0862
ko:K07260	cbo:CBO1033
ko:K15986	cbo:CBO2635
ko:K03310	cbo:CBO1245
ko:K02358	cbo:CBO3496
ko:K06147	cbo:CBO1599
ko:K06147	cbo:CBO1051
ko:K20038	cbo:CBO2118
ko:K03699	cbo:CBO2909
ko:K16370	cbo:CBO1992
ko:K16785	cbo:CBO1970
ko:K03299	cbo:CBO2207
ko:K11733	cbo:CBO0250
ko:K04759	cbo:CBO0818
ko:K16329	cbo:CBO1169
ko:K16328	cbo:CBO1168
ko:K02851	cbo:CBO0147
ko:K02036	cbo:CBO0387
ko:K03429	cbo:CBO0127
ko:K02027	cbo:CBO0107
ko:K16786	cbo:CBO3450
ko:K16625	cbo:CBO0802
ko:K16624	cbo:CBO0803
ko:K06011	cbo:CBO0806
ko:K16623	cbo:CBO0805
ko:K05825	cbo:CBO1802
ko:K16787	cbo:CBO3449
ko:K16785	cbo:CBO3448
ko:K07257	cbo:CBO2721
ko:K16788	cbo:CBO2620
ko:K16789	cbo:CBO0556
ko:K02027	cbo:CBO1518
ko:K10823	cbo:CBO3146
ko:K16626	cbo:CBO0801
ko:K16651	cbo:CBO0953
ko:K02026	cbo:CBO1517
ko:K02025	cbo:CBO1516
ko:K02055	cbo:CBO1107
ko:K13015	cbo:CBO3108
ko:K18344	cbo:CBO1968
ko:K02029	cbo:CBO1412
ko:K16962	cbo:CBO1180
ko:K16898	cbo:CBO0436
ko:K01835	cbo:CBO3619
ko:K16963	cbo:CBO1149
ko:K16962	cbo:CBO1150
ko:K16961	cbo:CBO1151
ko:K16950	cbo:CBO0957
ko:K16951	cbo:CBO0958
ko:K16786	cbo:CBO2077
ko:K16787	cbo:CBO2077
ko:K02028	cbo:CBO2016
ko:K02028	cbo:CBO0420
ko:K02030	cbo:CBO2018
ko:K11636	cbo:CBO0322
ko:K16786	cbo:CBO1971
ko:K16787	cbo:CBO1971
ko:K11635	cbo:CBO0321
ko:K02004	cbo:CBO0275
ko:K18345	cbo:CBO1967
ko:K11991	cbo:CBO0030
ko:K16963	cbo:CBO1402
ko:K16785	cbo:CBO2078
ko:K16925	cbo:CBO1972
ko:K16926	cbo:CBO2079
ko:K16962	cbo:CBO1401
ko:K17828	cbo:CBO3236
ko:K16899	cbo:CBO0426
ko:K00196	cbo:CBO1332
ko:K02749	cbo:CBO0277
ko:K02750	cbo:CBO0277
ko:K02054	cbo:CBO1108
ko:K02053	cbo:CBO1109
ko:K15035	cbo:CBOm0002
ko:K14080	cbo:CBO1495
ko:K02029	cbo:CBO2017
ko:K01990	cbo:CBO0774
ko:K07260	cbo:CBO0609
ko:K01760	cbo:CBO0726
ko:K17103	cbo:CBO0198
ko:K01990	cbo:CBO0626
ko:K01990	cbo:CBO2065
ko:K03574	cbo:CBO2085
ko:K01990	cbo:CBO0021
ko:K01990	cbo:CBO0627
ko:K01990	cbo:CBO0709
ko:K01990	cbo:CBO0765
ko:K01990	cbo:CBO0846
ko:K01990	cbo:CBO2789
ko:K19309	cbo:CBO2283
ko:K10907	cbo:CBO3154
ko:K05601	cbo:CBO2792
ko:K01992	cbo:CBO0493
ko:K01992	cbo:CBO0494
ko:K01992	cbo:CBO0710
ko:K01992	cbo:CBO0778
ko:K01992	cbo:CBO1189
ko:K01992	cbo:CBO1382
ko:K01992	cbo:CBO1383
ko:K01992	cbo:CBO3350
ko:K10112	cbo:CBO1515
ko:K17686	cbo:CBO1304
ko:K17675	cbo:CBO1365
