ko:K07483	cuq:Cul210931_2064
ko:K06996	cuq:Cul210931_0173
ko:K00375	cuq:Cul210931_0183
ko:K06215	cuq:Cul210931_0184
ko:K08681	cuq:Cul210931_0185
ko:K04517	cuq:Cul210931_0187
ko:K11991	cuq:Cul210931_0189
ko:K06994	cuq:Cul210931_0191
ko:K00773	cuq:Cul210931_0192
ko:K01885	cuq:Cul210931_0193
ko:K03299	cuq:Cul210931_0194
ko:K00851	cuq:Cul210931_0195
ko:K00098	cuq:Cul210931_0196
ko:K00046	cuq:Cul210931_0197
ko:K02343	cuq:Cul210931_0201
ko:K03437	cuq:Cul210931_1007
ko:K01889	cuq:Cul210931_1008
ko:K01890	cuq:Cul210931_1009
ko:K00145	cuq:Cul210931_1010
ko:K00620	cuq:Cul210931_1011
ko:K00930	cuq:Cul210931_1012
ko:K00611	cuq:Cul210931_1014
ko:K03402	cuq:Cul210931_1015
ko:K01940	cuq:Cul210931_1016
ko:K01755	cuq:Cul210931_1017
ko:K09791	cuq:Cul210931_1018
ko:K01866	cuq:Cul210931_1019
ko:K06442	cuq:Cul210931_1025
ko:K00858	cuq:Cul210931_1026
ko:K03631	cuq:Cul210931_1027
ko:K01515	cuq:Cul210931_1030
ko:K04763	cuq:Cul210931_1031
ko:K05896	cuq:Cul210931_1033
ko:K01935	cuq:Cul210931_1034
ko:K03305	cuq:Cul210931_1035
ko:K00833	cuq:Cul210931_1036
ko:K01935	cuq:Cul210931_1037
ko:K06024	cuq:Cul210931_1038
ko:K06178	cuq:Cul210931_1039
ko:K00945	cuq:Cul210931_1040
ko:K03977	cuq:Cul210931_1041
ko:K07792	cuq:Cul210931_1042
ko:K02016	cuq:Cul210931_1046
ko:K02015	cuq:Cul210931_1048
ko:K02013	cuq:Cul210931_1049
ko:K09858	cuq:Cul210931_1053
ko:K06889	cuq:Cul210931_1054
ko:K07397	cuq:Cul210931_1054
ko:K03070	cuq:Cul210931_1055
ko:K08999	cuq:Cul210931_1058
ko:K08167	cuq:Cul210931_1826
ko:K00156	cuq:Cul210931_1831
ko:K06193	cuq:Cul210931_0795
ko:K09781	cuq:Cul210931_0799
ko:K00077	cuq:Cul210931_0800
ko:K16925	cuq:Cul210931_0801
ko:K16786	cuq:Cul210931_0802
ko:K16787	cuq:Cul210931_0802
ko:K16785	cuq:Cul210931_0803
ko:K15580	cuq:Cul210931_0806
ko:K15581	cuq:Cul210931_0807
ko:K15582	cuq:Cul210931_0808
ko:K02031	cuq:Cul210931_0809
ko:K02032	cuq:Cul210931_0809
ko:K02003	cuq:Cul210931_0811
ko:K02004	cuq:Cul210931_0812
ko:K00537	cuq:Cul210931_0814
ko:K09146	cuq:Cul210931_0815
ko:K06207	cuq:Cul210931_0817
ko:K15525	cuq:Cul210931_0819
ko:K16237	cuq:Cul210931_0825
ko:K00674	cuq:Cul210931_0826
ko:K16237	cuq:Cul210931_0827
ko:K00674	cuq:Cul210931_0828
ko:K01439	cuq:Cul210931_0829
ko:K06966	cuq:Cul210931_0830
ko:K00796	cuq:Cul210931_0831
ko:K13693	cuq:Cul210931_0832
ko:K00563	cuq:Cul210931_0834
ko:K01193	cuq:Cul210931_0835
ko:K01575	cuq:Cul210931_0836
ko:K16148	cuq:Cul210931_0837
ko:K00975	cuq:Cul210931_0838
ko:K03088	cuq:Cul210931_0840
ko:K03117	cuq:Cul210931_0842
ko:K03593	cuq:Cul210931_0843
ko:K07088	cuq:Cul210931_1623
ko:K02035	cuq:Cul210931_1624
ko:K02033	cuq:Cul210931_1625
ko:K02034	cuq:Cul210931_1626
ko:K02031	cuq:Cul210931_1627
ko:K02032	cuq:Cul210931_1627
ko:K06997	cuq:Cul210931_1630
ko:K07112	cuq:Cul210931_1631
ko:K02035	cuq:Cul210931_1635
ko:K03596	cuq:Cul210931_1640
ko:K02968	cuq:Cul210931_1643
ko:K05835	cuq:Cul210931_1644
ko:K02340	cuq:Cul210931_1646
ko:K02238	cuq:Cul210931_1647
ko:K02237	cuq:Cul210931_1648
ko:K09710	cuq:Cul210931_1651
ko:K00969	cuq:Cul210931_1652
ko:K00147	cuq:Cul210931_1653
ko:K09790	cuq:Cul210931_1655
ko:K07085	cuq:Cul210931_1656
ko:K00931	cuq:Cul210931_1657
ko:K03979	cuq:Cul210931_1658
ko:K02899	cuq:Cul210931_1659
ko:K02888	cuq:Cul210931_1660
ko:K00940	cuq:Cul210931_1664
ko:K11754	cuq:Cul210931_1667
ko:K01873	cuq:Cul210931_1668
ko:K00024	cuq:Cul210931_1669
ko:K09747	cuq:Cul210931_0202
ko:K06187	cuq:Cul210931_0203
ko:K03299	cuq:Cul210931_0204
ko:K07009	cuq:Cul210931_0210
ko:K02342	cuq:Cul210931_0212
ko:K01649	cuq:Cul210931_0215
ko:K05346	cuq:Cul210931_0216
ko:K03784	cuq:Cul210931_0217
ko:K01619	cuq:Cul210931_0219
ko:K01840	cuq:Cul210931_0220
ko:K01990	cuq:Cul210931_0225
ko:K01992	cuq:Cul210931_0226
ko:K00928	cuq:Cul210931_0227
ko:K00133	cuq:Cul210931_0229
ko:K03088	cuq:Cul210931_0230
ko:K03781	cuq:Cul210931_0231
ko:K05571	cuq:Cul210931_0238
ko:K05570	cuq:Cul210931_0239
ko:K05569	cuq:Cul210931_0240
ko:K05568	cuq:Cul210931_0241
ko:K05567	cuq:Cul210931_0242
ko:K05565	cuq:Cul210931_0243
ko:K09117	cuq:Cul210931_0248
ko:K10773	cuq:Cul210931_0255
ko:K00033	cuq:Cul210931_1065
ko:K03284	cuq:Cul210931_1067
ko:K03885	cuq:Cul210931_1072
ko:K00574	cuq:Cul210931_1073
ko:K03453	cuq:Cul210931_1076
ko:K00721	cuq:Cul210931_1081
ko:K03820	cuq:Cul210931_1082
ko:K07113	cuq:Cul210931_1083
ko:K02230	cuq:Cul210931_1084
ko:K02229	cuq:Cul210931_1085
ko:K06042	cuq:Cul210931_1086
ko:K13540	cuq:Cul210931_1087
ko:K05895	cuq:Cul210931_1089
ko:K05936	cuq:Cul210931_1090
ko:K00595	cuq:Cul210931_1091
ko:K03727	cuq:Cul210931_1094
ko:K03118	cuq:Cul210931_1095
ko:K03116	cuq:Cul210931_1096
ko:K13573	cuq:Cul210931_1097
ko:K13571	cuq:Cul210931_1099
ko:K13570	cuq:Cul210931_1100
ko:K13527	cuq:Cul210931_1102
ko:K07442	cuq:Cul210931_1103
ko:K01267	cuq:Cul210931_1104
ko:K01938	cuq:Cul210931_1107
ko:K01744	cuq:Cul210931_1108
ko:K07791	cuq:Cul210931_1109
ko:K00765	cuq:Cul210931_1110
ko:K00697	cuq:Cul210931_1897
ko:K01087	cuq:Cul210931_1899
ko:K03932	cuq:Cul210931_1901
ko:K03218	cuq:Cul210931_1902
ko:K01883	cuq:Cul210931_1903
ko:K01770	cuq:Cul210931_1904
ko:K00991	cuq:Cul210931_1905
ko:K07736	cuq:Cul210931_1906
ko:K04485	cuq:Cul210931_1909
ko:K01673	cuq:Cul210931_1911
ko:K03575	cuq:Cul210931_1912
ko:K03696	cuq:Cul210931_1915
ko:K04567	cuq:Cul210931_1923
ko:K02168	cuq:Cul210931_1928
ko:K01918	cuq:Cul210931_1930
ko:K02283	cuq:Cul210931_0265
ko:K12510	cuq:Cul210931_0266
ko:K06877	cuq:Cul210931_0271
ko:K03704	cuq:Cul210931_0272
ko:K03168	cuq:Cul210931_0273
ko:K02341	cuq:Cul210931_0276
ko:K00973	cuq:Cul210931_0281
ko:K01322	cuq:Cul210931_0285
ko:K00382	cuq:Cul210931_0287
ko:K07110	cuq:Cul210931_0288
ko:K00241	cuq:Cul210931_0289
ko:K00239	cuq:Cul210931_0290
ko:K00240	cuq:Cul210931_0291
ko:K01619	cuq:Cul210931_0295
ko:K04069	cuq:Cul210931_0297
ko:K00656	cuq:Cul210931_0299
ko:K00075	cuq:Cul210931_0302
ko:K01897	cuq:Cul210931_0303
ko:K15521	cuq:Cul210931_0304
ko:K01834	cuq:Cul210931_0305
ko:K07768	cuq:Cul210931_0306
ko:K07776	cuq:Cul210931_0307
ko:K01523	cuq:Cul210931_1111
ko:K00548	cuq:Cul210931_1113
ko:K15526	cuq:Cul210931_1115
ko:K06153	cuq:Cul210931_1116
ko:K00254	cuq:Cul210931_1119
ko:K06910	cuq:Cul210931_1122
ko:K05881	cuq:Cul210931_1123
ko:K05879	cuq:Cul210931_1124
ko:K05878	cuq:Cul210931_1125
ko:K18230	cuq:Cul210931_1127
ko:K07588	cuq:Cul210931_1130
ko:K01847	cuq:Cul210931_1131
ko:K01847	cuq:Cul210931_1132
ko:K01772	cuq:Cul210931_1139
ko:K01681	cuq:Cul210931_1142
ko:K01951	cuq:Cul210931_1144
ko:K07166	cuq:Cul210931_1145
ko:K09157	cuq:Cul210931_1146
ko:K04488	cuq:Cul210931_1152
ko:K11717	cuq:Cul210931_1153
ko:K09013	cuq:Cul210931_1154
ko:K09015	cuq:Cul210931_1155
ko:K09014	cuq:Cul210931_1156
ko:K14339	cuq:Cul210931_1158
ko:K01990	cuq:Cul210931_1159
ko:K01992	cuq:Cul210931_1160
ko:K02259	cuq:Cul210931_1161
ko:K00950	cuq:Cul210931_1934
ko:K01633	cuq:Cul210931_1935
ko:K00796	cuq:Cul210931_1936
ko:K01495	cuq:Cul210931_1937
ko:K03798	cuq:Cul210931_1938
ko:K00760	cuq:Cul210931_1939
ko:K04075	cuq:Cul210931_1940
ko:K07259	cuq:Cul210931_1941
ko:K01507	cuq:Cul210931_1942
ko:K11103	cuq:Cul210931_1944
ko:K04077	cuq:Cul210931_1958
ko:K05565	cuq:Cul210931_1963
ko:K05567	cuq:Cul210931_1964
ko:K05568	cuq:Cul210931_1965
ko:K05569	cuq:Cul210931_1966
ko:K05570	cuq:Cul210931_1967
ko:K05571	cuq:Cul210931_1968
ko:K06048	cuq:Cul210931_1970
ko:K01462	cuq:Cul210931_1973
ko:K01142	cuq:Cul210931_1975
ko:K06131	cuq:Cul210931_1976
ko:K01990	cuq:Cul210931_1978
ko:K03574	cuq:Cul210931_1979
ko:K02030	cuq:Cul210931_1981
ko:K14949	cuq:Cul210931_1982
ko:K00925	cuq:Cul210931_1983
ko:K01616	cuq:Cul210931_0847
ko:K00014	cuq:Cul210931_0850
ko:K03929	cuq:Cul210931_0851
ko:K03307	cuq:Cul210931_0856
ko:K00965	cuq:Cul210931_0858
ko:K00849	cuq:Cul210931_0859
ko:K05592	cuq:Cul210931_0860
ko:K04750	cuq:Cul210931_0862
ko:K11928	cuq:Cul210931_0865
ko:K00782	cuq:Cul210931_0877
ko:K03303	cuq:Cul210931_0880
ko:K01887	cuq:Cul210931_0881
ko:K01586	cuq:Cul210931_0882
ko:K00003	cuq:Cul210931_0883
ko:K00872	cuq:Cul210931_0884
ko:K00666	cuq:Cul210931_0886
ko:K03628	cuq:Cul210931_0887
ko:K02835	cuq:Cul210931_0888
ko:K02493	cuq:Cul210931_0889
ko:K02851	cuq:Cul210931_0891
ko:K02108	cuq:Cul210931_0893
ko:K02110	cuq:Cul210931_0894
ko:K02109	cuq:Cul210931_0895
ko:K02113	cuq:Cul210931_0896
ko:K02111	cuq:Cul210931_0897
ko:K02115	cuq:Cul210931_0898
ko:K02112	cuq:Cul210931_0899
ko:K03544	cuq:Cul210931_1671
ko:K13950	cuq:Cul210931_1672
ko:K01358	cuq:Cul210931_1673
ko:K01358	cuq:Cul210931_1674
ko:K03545	cuq:Cul210931_1675
ko:K06911	cuq:Cul210931_1680
ko:K01808	cuq:Cul210931_1681
ko:K01256	cuq:Cul210931_1683
ko:K06886	cuq:Cul210931_1685
ko:K09936	cuq:Cul210931_1686
ko:K07107	cuq:Cul210931_1688
ko:K09136	cuq:Cul210931_1693
ko:K09136	cuq:Cul210931_1699
ko:K01992	cuq:Cul210931_1700
ko:K01990	cuq:Cul210931_1701
ko:K02351	cuq:Cul210931_1702
ko:K07245	cuq:Cul210931_1702
ko:K06200	cuq:Cul210931_1703
ko:K14645	cuq:Cul210931_1707
ko:K07124	cuq:Cul210931_1709
ko:K13288	cuq:Cul210931_1710
ko:K01714	cuq:Cul210931_1712
ko:K08281	cuq:Cul210931_1716
ko:K03564	cuq:Cul210931_1719
ko:K00997	cuq:Cul210931_1721
ko:K11533	cuq:Cul210931_1722
ko:K01524	cuq:Cul210931_0309
ko:K00286	cuq:Cul210931_0311
ko:K02492	cuq:Cul210931_0317
ko:K01749	cuq:Cul210931_0318
ko:K13542	cuq:Cul210931_0319
ko:K01698	cuq:Cul210931_0320
ko:K01599	cuq:Cul210931_0323
ko:K00231	cuq:Cul210931_0324
ko:K01845	cuq:Cul210931_0326
ko:K06196	cuq:Cul210931_0329
ko:K07399	cuq:Cul210931_0330
ko:K02013	cuq:Cul210931_0332
ko:K02016	cuq:Cul210931_0333
ko:K02015	cuq:Cul210931_0334
ko:K02548	cuq:Cul210931_0339
ko:K01911	cuq:Cul210931_0340
ko:K01661	cuq:Cul210931_0341
ko:K03326	cuq:Cul210931_0343
ko:K02549	cuq:Cul210931_0344
ko:K02551	cuq:Cul210931_0345
ko:K12583	cuq:Cul210931_0347
ko:K03183	cuq:Cul210931_0348
ko:K00016	cuq:Cul210931_0349
ko:K00805	cuq:Cul210931_0351
ko:K03073	cuq:Cul210931_0356
ko:K02601	cuq:Cul210931_0357
ko:K02867	cuq:Cul210931_0358
ko:K02863	cuq:Cul210931_0359
ko:K01372	cuq:Cul210931_0360
ko:K01372	cuq:Cul210931_0361
ko:K00615	cuq:Cul210931_1163
ko:K00616	cuq:Cul210931_1164
ko:K00036	cuq:Cul210931_1165
ko:K01057	cuq:Cul210931_1167
ko:K03075	cuq:Cul210931_1168
ko:K01595	cuq:Cul210931_1169
ko:K01803	cuq:Cul210931_1170
ko:K00927	cuq:Cul210931_1171
ko:K00134	cuq:Cul210931_1172
ko:K09762	cuq:Cul210931_1173
ko:K06958	cuq:Cul210931_1175
ko:K03703	cuq:Cul210931_1176
ko:K00794	cuq:Cul210931_1178
ko:K14652	cuq:Cul210931_1179
ko:K00793	cuq:Cul210931_1180
ko:K11752	cuq:Cul210931_1181
ko:K01783	cuq:Cul210931_1182
ko:K03500	cuq:Cul210931_1183
ko:K00604	cuq:Cul210931_1184
ko:K01462	cuq:Cul210931_1185
ko:K04066	cuq:Cul210931_1186
ko:K00789	cuq:Cul210931_1187
ko:K13038	cuq:Cul210931_1189
ko:K03060	cuq:Cul210931_1190
ko:K00942	cuq:Cul210931_1191
ko:K01591	cuq:Cul210931_1193
ko:K01955	cuq:Cul210931_1194
ko:K01956	cuq:Cul210931_1195
ko:K01465	cuq:Cul210931_1196
ko:K00609	cuq:Cul210931_1197
ko:K02825	cuq:Cul210931_1198
ko:K07071	cuq:Cul210931_1199
ko:K03625	cuq:Cul210931_1202
ko:K02356	cuq:Cul210931_1203
ko:K03786	cuq:Cul210931_1205
ko:K01735	cuq:Cul210931_1206
ko:K00891	cuq:Cul210931_1207
ko:K01736	cuq:Cul210931_1208
ko:K02654	cuq:Cul210931_1209
ko:K00014	cuq:Cul210931_1210
ko:K13788	cuq:Cul210931_1984
ko:K00528	cuq:Cul210931_1985
ko:K02348	cuq:Cul210931_1986
ko:K08289	cuq:Cul210931_1988
ko:K07101	cuq:Cul210931_1989
ko:K07399	cuq:Cul210931_1998
ko:K03385	cuq:Cul210931_2000
ko:K15876	cuq:Cul210931_2001
ko:K01939	cuq:Cul210931_2002
ko:K01992	cuq:Cul210931_2007
ko:K01990	cuq:Cul210931_2008
ko:K10947	cuq:Cul210931_2011
ko:K01624	cuq:Cul210931_2013
ko:K00762	cuq:Cul210931_2016
ko:K01011	cuq:Cul210931_2018
ko:K00111	cuq:Cul210931_2019
ko:K07284	cuq:Cul210931_2023
ko:K07284	cuq:Cul210931_2025
ko:K03695	cuq:Cul210931_2026
ko:K01990	cuq:Cul210931_2027
ko:K01992	cuq:Cul210931_2028
ko:K03312	cuq:Cul210931_2031
ko:K02313	cuq:Cul210931_0001
ko:K02338	cuq:Cul210931_0002
ko:K03629	cuq:Cul210931_0003
ko:K02470	cuq:Cul210931_0005
ko:K02469	cuq:Cul210931_0009
ko:K02058	cuq:Cul210931_0016
ko:K02057	cuq:Cul210931_0017
ko:K02056	cuq:Cul210931_0018
ko:K03767	cuq:Cul210931_0020
ko:K15342	cuq:Cul210931_0034
ko:K02114	cuq:Cul210931_0900
ko:K07503	cuq:Cul210931_0902
ko:K05606	cuq:Cul210931_0903
ko:K05838	cuq:Cul210931_0905
ko:K00700	cuq:Cul210931_0906
ko:K16147	cuq:Cul210931_0907
ko:K02013	cuq:Cul210931_0908
ko:K03521	cuq:Cul210931_0911
ko:K03522	cuq:Cul210931_0912
ko:K04487	cuq:Cul210931_0913
ko:K00566	cuq:Cul210931_0915
ko:K02342	cuq:Cul210931_0917
ko:K01972	cuq:Cul210931_0918
ko:K02435	cuq:Cul210931_0920
ko:K02433	cuq:Cul210931_0921
ko:K02015	cuq:Cul210931_0925
ko:K02013	cuq:Cul210931_0926
ko:K02016	cuq:Cul210931_0927
ko:K02434	cuq:Cul210931_0931
ko:K06895	cuq:Cul210931_0933
ko:K05596	cuq:Cul210931_0934
ko:K07393	cuq:Cul210931_0935
ko:K01687	cuq:Cul210931_0938
ko:K01652	cuq:Cul210931_0941
ko:K01653	cuq:Cul210931_0942
ko:K00053	cuq:Cul210931_0943
ko:K16264	cuq:Cul210931_0945
ko:K00058	cuq:Cul210931_0948
ko:K00052	cuq:Cul210931_0949
ko:K07182	cuq:Cul210931_0950
ko:K02342	cuq:Cul210931_0951
ko:K02428	cuq:Cul210931_1730
ko:K00989	cuq:Cul210931_1731
ko:K01776	cuq:Cul210931_1733
ko:K06891	cuq:Cul210931_1736
ko:K00763	cuq:Cul210931_1737
ko:K01079	cuq:Cul210931_1740
ko:K02274	cuq:Cul210931_1747
ko:K02217	cuq:Cul210931_1749
ko:K03647	cuq:Cul210931_1751
ko:K02919	cuq:Cul210931_1753
ko:K01916	cuq:Cul210931_1754
ko:K01835	cuq:Cul210931_1766
ko:K06199	cuq:Cul210931_1767
ko:K06199	cuq:Cul210931_1768
ko:K02004	cuq:Cul210931_1769
ko:K02003	cuq:Cul210931_1770
ko:K00790	cuq:Cul210931_1774
ko:K14228	cuq:Cul210931_1727
ko:K14221	cuq:Cul210931_1781
ko:K14221	cuq:Cul210931_1783
ko:K14234	cuq:Cul210931_0277
ko:K01977	cuq:Cul210931_0633
ko:K01977	cuq:Cul210931_1020
ko:K01977	cuq:Cul210931_2185
ko:K01977	cuq:Cul210931_1773
ko:K14225	cuq:Cul210931_2092
ko:K14228	cuq:Cul210931_0055
ko:K14233	cuq:Cul210931_0167
ko:K14233	cuq:Cul210931_0198
ko:K14234	cuq:Cul210931_0353
ko:K01990	cuq:Cul210931_0159
ko:K01992	cuq:Cul210931_0160
ko:K14237	cuq:Cul210931_1254
ko:K14231	cuq:Cul210931_1780
ko:K14227	cuq:Cul210931_0011
ko:K14232	cuq:Cul210931_0246
ko:K14230	cuq:Cul210931_0354
ko:K14225	cuq:Cul210931_1255
ko:K14225	cuq:Cul210931_1260
ko:K14225	cuq:Cul210931_1257
ko:K14230	cuq:Cul210931_1564
ko:K14228	cuq:Cul210931_0764
ko:K14236	cuq:Cul210931_0352
ko:K02032	cuq:Cul210931_2055
ko:K02032	cuq:Cul210931_2244
ko:K18917	cuq:Cul210931_0678
ko:K18955	cuq:Cul210931_0250
ko:K14218	cuq:Cul210931_0012
ko:K14218	cuq:Cul210931_0015
ko:K18955	cuq:Cul210931_0588
ko:K14229	cuq:Cul210931_1714
ko:K14218	cuq:Cul210931_1763
ko:K01980	cuq:Cul210931_2184
ko:K01980	cuq:Cul210931_1772
ko:K01980	cuq:Cul210931_1021
ko:K01980	cuq:Cul210931_0634
ko:K14225	cuq:Cul210931_1677
ko:K14219	cuq:Cul210931_1705
ko:K01985	cuq:Cul210931_0635
ko:K01985	cuq:Cul210931_1022
ko:K01985	cuq:Cul210931_2183
ko:K01985	cuq:Cul210931_1771
ko:K14224	cuq:Cul210931_1784
ko:K14234	cuq:Cul210931_1894
ko:K14233	cuq:Cul210931_0163
ko:K14219	cuq:Cul210931_0174
ko:K14219	cuq:Cul210931_0168
ko:K14233	cuq:Cul210931_0190
ko:K14235	cuq:Cul210931_0355
ko:K14230	cuq:Cul210931_0608
ko:K14219	cuq:Cul210931_0675
ko:K14223	cuq:Cul210931_0753
ko:K14219	cuq:Cul210931_0876
ko:K14223	cuq:Cul210931_0958
ko:K14232	cuq:Cul210931_1052
ko:K14228	cuq:Cul210931_1126
ko:K14222	cuq:Cul210931_1258
ko:K14237	cuq:Cul210931_1555
ko:K14220	cuq:Cul210931_1565
ko:K14232	cuq:Cul210931_1676
ko:K06147	cuq:Cul210931_0848
ko:K18930	cuq:Cul210931_1075
ko:K18929	cuq:Cul210931_0878
ko:K18928	cuq:Cul210931_0879
ko:K03976	cuq:Cul210931_0586
ko:K09951	cuq:Cul210931_0105
ko:K03496	cuq:Cul210931_1032
ko:K03111	cuq:Cul210931_1877
ko:K08168	cuq:Cul210931_0218
ko:K03111	cuq:Cul210931_2206
ko:K03497	cuq:Cul210931_2290
ko:K03496	cuq:Cul210931_2291
ko:K04565	cuq:Cul210931_0655
ko:K03111	cuq:Cul210931_1690
ko:K03526	cuq:Cul210931_1367
ko:K00067	cuq:Cul210931_0282
ko:K01790	cuq:Cul210931_0282
ko:K10563	cuq:Cul210931_2221
ko:K03343	cuq:Cul210931_2254
ko:K19221	cuq:Cul210931_1357
ko:K19131	cuq:Cul210931_0110
ko:K00798	cuq:Cul210931_1775
ko:K19132	cuq:Cul210931_0109
ko:K19133	cuq:Cul210931_0107
ko:K01239	cuq:Cul210931_1918
ko:K16783	cuq:Cul210931_1322
ko:K01710	cuq:Cul210931_0283
ko:K09951	cuq:Cul210931_0033
ko:K19126	cuq:Cul210931_1841
ko:K19125	cuq:Cul210931_0040
ko:K19124	cuq:Cul210931_0039
ko:K19126	cuq:Cul210931_0036
ko:K01239	cuq:Cul210931_1337
ko:K19302	cuq:Cul210931_0158
ko:K00020	cuq:Cul210931_0205
ko:K00020	cuq:Cul210931_0325
ko:K16164	cuq:Cul210931_0208
ko:K19302	cuq:Cul210931_2130
ko:K03722	cuq:Cul210931_1738
ko:K01785	cuq:Cul210931_0855
ko:K00526	cuq:Cul210931_1748
ko:K01992	cuq:Cul210931_1977
ko:K06867	cuq:Cul210931_1606
ko:K06867	cuq:Cul210931_1645
ko:K00776	cuq:Cul210931_0181
ko:K06881	cuq:Cul210931_1343
ko:K06221	cuq:Cul210931_0656
ko:K19577	cuq:Cul210931_0511
ko:K19710	cuq:Cul210931_1248
ko:K19784	cuq:Cul210931_2163
ko:K07119	cuq:Cul210931_1715
ko:K02033	cuq:Cul210931_1634
ko:K02034	cuq:Cul210931_1634
ko:K14226	cuq:Cul210931_1711
ko:K09796	cuq:Cul210931_1251
ko:K12132	cuq:Cul210931_0048
ko:K12132	cuq:Cul210931_1485
ko:K12132	cuq:Cul210931_0049
ko:K20074	cuq:Cul210931_0052
ko:K20276	cuq:Cul210931_2021
ko:K20490	cuq:Cul210931_0069
ko:K20491	cuq:Cul210931_0068
ko:K20468	cuq:Cul210931_2113
ko:K20470	cuq:Cul210931_2112
ko:K01214	cuq:Cul210931_1441
ko:K14224	cuq:Cul210931_0961
ko:K14224	cuq:Cul210931_0959
ko:K14228	cuq:Cul210931_0991
ko:K01200	cuq:Cul210931_0748
ko:K20814	cuq:Cul210931_1101
ko:K14229	cuq:Cul210931_1785
ko:K21071	cuq:Cul210931_0930
ko:K01768	cuq:Cul210931_0275
ko:K00821	cuq:Cul210931_1013
ko:K21147	cuq:Cul210931_1389
ko:K00525	cuq:Cul210931_1750
ko:K21636	cuq:Cul210931_0386
ko:K02335	cuq:Cul210931_0990
ko:K03791	cuq:Cul210931_1846
ko:K07465	cuq:Cul210931_1105
ko:K01520	cuq:Cul210931_1271
ko:K03553	cuq:Cul210931_1318
ko:K03465	cuq:Cul210931_1333
ko:K02314	cuq:Cul210931_2203
ko:K00287	cuq:Cul210931_0679
ko:K00560	cuq:Cul210931_0680
ko:K06919	cuq:Cul210931_1571
ko:K02316	cuq:Cul210931_1581
ko:K06217	cuq:Cul210931_1601
ko:K06191	cuq:Cul210931_1752
ko:K00108	cuq:Cul210931_1929
ko:K09820	cuq:Cul210931_0368
ko:K01436	cuq:Cul210931_0526
ko:K22468	cuq:Cul210931_0731
ko:K02031	cuq:Cul210931_0965
ko:K09819	cuq:Cul210931_0369
ko:K02075	cuq:Cul210931_0496
ko:K02075	cuq:Cul210931_0495
ko:K02074	cuq:Cul210931_0494
ko:K00526	cuq:Cul210931_1810
ko:K07741	cuq:Cul210931_1887
ko:K03293	cuq:Cul210931_1088
ko:K21481	cuq:Cul210931_1717
ko:K21473	cuq:Cul210931_1140
ko:K21471	cuq:Cul210931_1492
ko:K05364	cuq:Cul210931_0050
ko:K21401	cuq:Cul210931_0350
ko:K10914	cuq:Cul210931_0253
ko:K21498	cuq:Cul210931_1106
ko:K21685	cuq:Cul210931_1776
ko:K21962	cuq:Cul210931_1143
ko:K22044	cuq:Cul210931_0940
ko:K22044	cuq:Cul210931_1684
ko:K03595	cuq:Cul210931_1597
ko:K03892	cuq:Cul210931_0336
ko:K01046	cuq:Cul210931_0111
ko:K17758	cuq:Cul210931_2222
ko:K17759	cuq:Cul210931_2222
ko:K22316	cuq:Cul210931_1547
ko:K22306	cuq:Cul210931_1650
ko:K02257	cuq:Cul210931_1162
ko:K22311	cuq:Cul210931_1246
ko:K22476	cuq:Cul210931_1974
ko:K00728	cuq:Cul210931_0718
ko:K22468	cuq:Cul210931_1952
ko:K08300	cuq:Cul210931_1661
ko:K08301	cuq:Cul210931_1661
ko:K07566	cuq:Cul210931_0890
