ko:K19416	amh:I633_11325
ko:K01118	amh:I633_11800
ko:K01740	amh:I633_11810
ko:K09768	amh:I633_11845
ko:K03522	amh:I633_11905
ko:K03521	amh:I633_11910
ko:K00311	amh:I633_11915
ko:K03839	amh:I633_11930
ko:K07160	amh:I633_11965
ko:K00243	amh:I633_11970
ko:K07397	amh:I633_11975
ko:K14260	amh:I633_12005
ko:K03782	amh:I633_17240
ko:K02336	amh:I633_17330
ko:K00322	amh:I633_17370
ko:K00390	amh:I633_17395
ko:K00381	amh:I633_17400
ko:K03969	amh:I633_17430
ko:K05539	amh:I633_17440
ko:K01070	amh:I633_17485
ko:K16053	amh:I633_17500
ko:K03840	amh:I633_17565
ko:K04653	amh:I633_04975
ko:K03619	amh:I633_04980
ko:K03618	amh:I633_04985
ko:K04651	amh:I633_05015
ko:K04653	amh:I633_05030
ko:K03271	amh:I633_05035
ko:K04654	amh:I633_05040
ko:K03192	amh:I633_05055
ko:K06175	amh:I633_05085
ko:K00990	amh:I633_05100
ko:K14219	amh:I633_t21656
ko:K00826	amh:I633_01915
ko:K01681	amh:I633_01930
ko:K02946	amh:I633_01945
ko:K02906	amh:I633_01950
ko:K02926	amh:I633_01955
ko:K02892	amh:I633_01960
ko:K02886	amh:I633_01965
ko:K02965	amh:I633_01970
ko:K02890	amh:I633_01975
ko:K02982	amh:I633_01980
ko:K02878	amh:I633_01985
ko:K02904	amh:I633_01990
ko:K02961	amh:I633_01995
ko:K01284	amh:I633_02040
ko:K01433	amh:I633_02055
ko:K01975	amh:I633_02060
ko:K09781	amh:I633_02105
ko:K04752	amh:I633_02120
ko:K03320	amh:I633_02125
ko:K07223	amh:I633_02140
ko:K01845	amh:I633_02150
ko:K00609	amh:I633_02155
ko:K02621	amh:I633_02200
ko:K06447	amh:I633_02225
ko:K00673	amh:I633_02230
ko:K01867	amh:I633_02250
ko:K01783	amh:I633_02255
ko:K06186	amh:I633_07455
ko:K03631	amh:I633_07460
ko:K04047	amh:I633_07465
ko:K00858	amh:I633_07470
ko:K00019	amh:I633_07480
ko:K00641	amh:I633_07490
ko:K03687	amh:I633_07515
ko:K04043	amh:I633_07520
ko:K03686	amh:I633_07525
ko:K00215	amh:I633_07555
ko:K01956	amh:I633_07560
ko:K03624	amh:I633_07575
ko:K04080	amh:I633_07590
ko:K00925	amh:I633_07595
ko:K03820	amh:I633_07620
ko:K06189	amh:I633_07625
ko:K07042	amh:I633_07630
ko:K06168	amh:I633_07640
ko:K03310	amh:I633_07705
ko:K06942	amh:I633_07715
ko:K02897	amh:I633_07730
ko:K12957	amh:I633_07735
ko:K15461	amh:I633_13080
ko:K02106	amh:I633_13160
ko:K09906	amh:I633_13195
ko:K07107	amh:I633_13205
ko:K01354	amh:I633_13285
ko:K03314	amh:I633_13300
ko:K03611	amh:I633_13305
ko:K03790	amh:I633_13310
ko:K09160	amh:I633_13325
ko:K09902	amh:I633_13340
ko:K03684	amh:I633_13345
ko:K07285	amh:I633_13360
ko:K03704	amh:I633_18615
ko:K03690	amh:I633_18630
ko:K03183	amh:I633_18635
ko:K01414	amh:I633_18650
ko:K02044	amh:I633_18660
ko:K00021	amh:I633_18730
ko:K13408	amh:I633_18735
ko:K13409	amh:I633_18740
ko:K03667	amh:I633_18775
ko:K01419	amh:I633_18780
ko:K04066	amh:I633_18790
ko:K02909	amh:I633_18795
ko:K00029	amh:I633_18805
ko:K03764	amh:I633_18810
ko:K00297	amh:I633_18815
ko:K07058	amh:I633_18820
ko:K07560	amh:I633_18840
ko:K03089	amh:I633_18850
ko:K09811	amh:I633_18865
ko:K03110	amh:I633_18880
ko:K09891	amh:I633_18890
ko:K06206	amh:I633_18920
ko:K06204	amh:I633_18925
ko:K01894	amh:I633_18930
ko:K00950	amh:I633_18940
ko:K01825	amh:I633_02935
ko:K08309	amh:I633_02940
ko:K07238	amh:I633_02955
ko:K02523	amh:I633_02960
ko:K02888	amh:I633_02965
ko:K02899	amh:I633_02970
ko:K03979	amh:I633_02975
ko:K06194	amh:I633_02995
ko:K00573	amh:I633_03005
ko:K06176	amh:I633_03010
ko:K01770	amh:I633_03015
ko:K00991	amh:I633_03020
ko:K05589	amh:I633_03025
ko:K13821	amh:I633_03045
ko:K07184	amh:I633_03055
ko:K03573	amh:I633_03070
ko:K13292	amh:I633_03100
ko:K08218	amh:I633_03120
ko:K03580	amh:I633_03140
ko:K07175	amh:I633_03160
ko:K02302	amh:I633_03170
ko:K05592	amh:I633_03175
ko:K08714	amh:I633_03185
ko:K12340	amh:I633_03195
ko:K09920	amh:I633_03205
ko:K01207	amh:I633_08505
ko:K09808	amh:I633_08535
ko:K07101	amh:I633_08540
ko:K01142	amh:I633_08580
ko:K02426	amh:I633_08600
ko:K00975	amh:I633_08635
ko:K01640	amh:I633_08660
ko:K01968	amh:I633_08665
ko:K13766	amh:I633_08670
ko:K01969	amh:I633_08675
ko:K00253	amh:I633_08680
ko:K01556	amh:I633_08705
ko:K13051	amh:I633_08740
ko:K01083	amh:I633_08750
ko:K06969	amh:I633_08810
ko:K09810	amh:I633_08845
ko:K09808	amh:I633_08850
ko:K01484	amh:I633_08870
ko:K09912	amh:I633_08885
ko:K03752	amh:I633_08900
ko:K03770	amh:I633_14090
ko:K03530	amh:I633_14095
ko:K01338	amh:I633_14100
ko:K01358	amh:I633_14115
ko:K03545	amh:I633_14120
ko:K01491	amh:I633_14130
ko:K09941	amh:I633_14135
ko:K01881	amh:I633_14145
ko:K01058	amh:I633_14155
ko:K01951	amh:I633_14170
ko:K03601	amh:I633_14180
ko:K01892	amh:I633_14215
ko:K15539	amh:I633_14225
ko:K02656	amh:I633_14230
ko:K06941	amh:I633_14235
ko:K00940	amh:I633_14240
ko:K02426	amh:I633_14245
ko:K09015	amh:I633_14270
ko:K09013	amh:I633_14275
ko:K09014	amh:I633_14280
ko:K04487	amh:I633_14285
ko:K13643	amh:I633_14290
ko:K15396	amh:I633_14310
ko:K03074	amh:I633_14335
ko:K03072	amh:I633_14340
ko:K03210	amh:I633_14345
ko:K00773	amh:I633_14350
ko:K07568	amh:I633_14355
ko:K09980	amh:I633_14365
ko:K15034	amh:I633_19735
ko:K12262	amh:I633_19760
ko:K03885	amh:I633_19770
ko:K02871	amh:I633_03920
ko:K02996	amh:I633_03925
ko:K00411	amh:I633_03930
ko:K00412	amh:I633_03935
ko:K03599	amh:I633_03950
ko:K03600	amh:I633_03955
ko:K06213	amh:I633_03960
ko:K06958	amh:I633_03970
ko:K05808	amh:I633_03980
ko:K03092	amh:I633_03985
ko:K06861	amh:I633_03990
ko:K09774	amh:I633_03995
ko:K11719	amh:I633_04000
ko:K03270	amh:I633_04005
ko:K06041	amh:I633_04010
ko:K07301	amh:I633_04015
ko:K02066	amh:I633_04030
ko:K07323	amh:I633_04040
ko:K07122	amh:I633_04045
ko:K09908	amh:I633_04080
ko:K06886	amh:I633_04100
ko:K01999	amh:I633_04160
ko:K00615	amh:I633_04185
ko:K03472	amh:I633_04190
ko:K00927	amh:I633_04195
ko:K01623	amh:I633_04200
ko:K00937	amh:I633_04225
ko:K02037	amh:I633_04235
ko:K02036	amh:I633_04250
ko:K02039	amh:I633_04255
ko:K03306	amh:I633_04260
ko:K04761	amh:I633_04270
ko:K11068	amh:I633_04280
ko:K00566	amh:I633_09620
ko:K06181	amh:I633_09625
ko:K03704	amh:I633_09640
ko:K06891	amh:I633_09645
ko:K03694	amh:I633_09650
ko:K02518	amh:I633_09655
ko:K00684	amh:I633_09665
ko:K00384	amh:I633_09670
ko:K09899	amh:I633_09675
ko:K02742	amh:I633_09680
ko:K04773	amh:I633_09685
ko:K03644	amh:I633_09715
ko:K03801	amh:I633_09720
ko:K09158	amh:I633_09725
ko:K05837	amh:I633_09745
ko:K00783	amh:I633_09765
ko:K09710	amh:I633_09770
ko:K00969	amh:I633_09775
ko:K02340	amh:I633_09780
ko:K03643	amh:I633_09785
ko:K01869	amh:I633_09790
ko:K07574	amh:I633_09815
ko:K03798	amh:I633_09825
ko:K00796	amh:I633_09830
ko:K03431	amh:I633_09835
ko:K01803	amh:I633_09840
ko:K03075	amh:I633_09845
ko:K00262	amh:I633_09865
ko:K03168	amh:I633_09900
ko:K00931	amh:I633_09910
ko:K00147	amh:I633_09915
ko:K03291	amh:I633_15080
ko:K03654	amh:I633_15095
ko:K07154	amh:I633_15140
ko:K01154	amh:I633_15275
ko:K03427	amh:I633_15290
ko:K02437	amh:I633_15315
ko:K00605	amh:I633_15320
ko:K01443	amh:I633_15325
ko:K03303	amh:I633_15340
ko:K03185	amh:I633_15375
ko:K09895	amh:I633_15385
ko:K01805	amh:I633_20790
ko:K02170	amh:I633_20865
ko:K07400	amh:I633_20885
ko:K01779	amh:I633_20895
ko:K07152	amh:I633_20925
ko:K02259	amh:I633_20935
ko:K02275	amh:I633_20980
ko:K01356	amh:I633_20985
ko:K00631	amh:I633_20990
ko:K01754	amh:I633_20995
ko:K01687	amh:I633_21000
ko:K07391	amh:I633_21010
ko:K02521	amh:I633_21015
ko:K00053	amh:I633_21020
ko:K03088	amh:I633_21065
ko:K07107	amh:I633_21085
ko:K00931	amh:I633_21090
ko:K01265	amh:I633_05105
ko:K02967	amh:I633_05110
ko:K02357	amh:I633_05115
ko:K09903	amh:I633_05120
ko:K02838	amh:I633_05125
ko:K00806	amh:I633_05130
ko:K00099	amh:I633_05145
ko:K11749	amh:I633_05150
ko:K06142	amh:I633_05165
ko:K02372	amh:I633_05170
ko:K00677	amh:I633_05175
ko:K03470	amh:I633_05190
ko:K01962	amh:I633_05210
ko:K04075	amh:I633_05215
ko:K11991	amh:I633_05240
ko:K12541	amh:I633_05320
ko:K12542	amh:I633_05325
ko:K09860	amh:I633_05350
ko:K02399	amh:I633_05355
ko:K01028	amh:I633_10635
ko:K13634	amh:I633_10655
ko:K01752	amh:I633_10660
ko:K01665	amh:I633_10670
ko:K01676	amh:I633_10675
ko:K09760	amh:I633_10685
ko:K00166	amh:I633_10700
ko:K00167	amh:I633_10705
ko:K09699	amh:I633_10710
ko:K10805	amh:I633_10740
ko:K09807	amh:I633_10760
ko:K03607	amh:I633_10775
ko:K03308	amh:I633_10790
ko:K03315	amh:I633_10795
ko:K01256	amh:I633_10800
ko:K15738	amh:I633_10860
ko:K03812	amh:I633_10870
ko:K01669	amh:I633_10890
ko:K01669	amh:I633_10905
ko:K06876	amh:I633_10910
ko:K08982	amh:I633_10980
ko:K07090	amh:I633_10990
ko:K13747	amh:I633_16060
ko:K07056	amh:I633_16070
ko:K07121	amh:I633_16075
ko:K07460	amh:I633_16080
ko:K07693	amh:I633_16125
ko:K00266	amh:I633_16235
ko:K02227	amh:I633_16255
ko:K01866	amh:I633_16285
ko:K10680	amh:I633_16330
ko:K15724	amh:I633_16360
ko:K03608	amh:I633_16380
ko:K03609	amh:I633_16385
ko:K03610	amh:I633_16390
ko:K08973	amh:I633_16415
ko:K06207	amh:I633_16460
ko:K07038	amh:I633_22101
ko:K11107	amh:I633_22276
ko:K03149	amh:I633_00780
ko:K03154	amh:I633_00785
ko:K03147	amh:I633_00815
ko:K02498	amh:I633_00820
ko:K01749	amh:I633_00840
ko:K06999	amh:I633_00855
ko:K00942	amh:I633_00860
ko:K03060	amh:I633_00865
ko:K00556	amh:I633_00880
ko:K03655	amh:I633_00885
ko:K15984	amh:I633_00890
ko:K02012	amh:I633_00905
ko:K02011	amh:I633_00910
ko:K15726	amh:I633_00960
ko:K05596	amh:I633_00990
ko:K06895	amh:I633_00995
ko:K03585	amh:I633_01020
ko:K06213	amh:I633_01105
ko:K05786	amh:I633_01110
ko:K00640	amh:I633_01130
ko:K09921	amh:I633_01150
ko:K10773	amh:I633_06420
ko:K03702	amh:I633_06475
ko:K06920	amh:I633_06490
ko:K10026	amh:I633_06495
ko:K01953	amh:I633_06505
ko:K00860	amh:I633_06545
ko:K00957	amh:I633_06550
ko:K03088	amh:I633_06570
ko:K03924	amh:I633_06615
ko:K08296	amh:I633_06650
ko:K03106	amh:I633_06670
ko:K02959	amh:I633_06760
ko:K02860	amh:I633_06765
ko:K00554	amh:I633_06770
ko:K02884	amh:I633_06775
ko:K01626	amh:I633_06790
ko:K01129	amh:I633_12100
ko:K17247	amh:I633_12110
ko:K09858	amh:I633_12125
ko:K02018	amh:I633_12190
ko:K02020	amh:I633_12195
ko:K03636	amh:I633_12205
ko:K03637	amh:I633_12210
ko:K03638	amh:I633_12215
ko:K06987	amh:I633_12225
ko:K00549	amh:I633_12285
ko:K11939	amh:I633_12300
ko:K03583	amh:I633_12335
ko:K03457	amh:I633_17715
ko:K00140	amh:I633_17725
ko:K09024	amh:I633_17730
ko:K09019	amh:I633_17735
ko:K09023	amh:I633_17740
ko:K09021	amh:I633_17745
ko:K09018	amh:I633_17760
ko:K05952	amh:I633_17810
ko:K03734	amh:I633_17815
ko:K00351	amh:I633_17820
ko:K00350	amh:I633_17825
ko:K00349	amh:I633_17830
ko:K00348	amh:I633_17835
ko:K00347	amh:I633_17840
ko:K00346	amh:I633_17845
ko:K00209	amh:I633_17865
ko:K03773	amh:I633_17870
ko:K01595	amh:I633_17875
ko:K00024	amh:I633_17895
ko:K03402	amh:I633_17900
ko:K00876	amh:I633_17930
ko:K06076	amh:I633_19795
ko:K00373	amh:I633_19860
ko:K00371	amh:I633_19865
ko:K00370	amh:I633_19870
ko:K07673	amh:I633_19880
ko:K02018	amh:I633_19895
ko:K02575	amh:I633_19900
ko:K03750	amh:I633_19910
ko:K09790	amh:I633_19915
ko:K03636	amh:I633_19930
ko:K03638	amh:I633_19940
ko:K03752	amh:I633_19945
ko:K08303	amh:I633_19980
ko:K07322	amh:I633_20000
ko:K01990	amh:I633_16995
ko:K14221	amh:I633_t21614
ko:K14221	amh:I633_t21618
ko:K14221	amh:I633_t21620
ko:K14221	amh:I633_t21616
ko:K14218	amh:I633_t21542
ko:K14218	amh:I633_t21642
ko:K14218	amh:I633_t21672
ko:K01980	amh:I633_r21698
ko:K01980	amh:I633_r21708
ko:K01980	amh:I633_r21704
ko:K01980	amh:I633_r21700
ko:K01980	amh:I633_r21702
ko:K01985	amh:I633_r21678
ko:K01985	amh:I633_r21680
ko:K01985	amh:I633_r21682
ko:K01985	amh:I633_r21676
ko:K01985	amh:I633_r21686
ko:K01985	amh:I633_r21684
ko:K14219	amh:I633_t21546
ko:K14225	amh:I633_t21550
ko:K14225	amh:I633_t21552
ko:K14225	amh:I633_t21634
ko:K14234	amh:I633_t21554
ko:K14234	amh:I633_t21668
ko:K14225	amh:I633_t21664
ko:K01992	amh:I633_00690
ko:K01992	amh:I633_17000
ko:K01992	amh:I633_18970
ko:K14231	amh:I633_t21548
ko:K14230	amh:I633_t21556
ko:K14219	amh:I633_t21558
ko:K14233	amh:I633_t21560
ko:K14219	amh:I633_t21562
ko:K14219	amh:I633_t21564
ko:K14235	amh:I633_t21566
ko:K14235	amh:I633_t21674
ko:K14220	amh:I633_t21568
ko:K14220	amh:I633_t21570
ko:K14229	amh:I633_t21572
ko:K14229	amh:I633_t21576
ko:K14229	amh:I633_t21574
ko:K14233	amh:I633_t21578
ko:K14237	amh:I633_t21580
ko:K14237	amh:I633_t21584
ko:K14237	amh:I633_t21582
ko:K14218	amh:I633_t21586
ko:K14228	amh:I633_t21596
ko:K14228	amh:I633_t21652
ko:K14228	amh:I633_t21606
ko:K14228	amh:I633_t21646
ko:K14228	amh:I633_t21602
ko:K14230	amh:I633_t21598
ko:K14230	amh:I633_t21608
ko:K14237	amh:I633_t21612
ko:K14230	amh:I633_t21622
ko:K14230	amh:I633_t21624
ko:K14230	amh:I633_t21626
ko:K14228	amh:I633_t21628
ko:K14228	amh:I633_t21630
ko:K14222	amh:I633_t21632
ko:K14233	amh:I633_t21636
ko:K14232	amh:I633_t21638
ko:K14226	amh:I633_t21648
ko:K14226	amh:I633_t21654
ko:K14232	amh:I633_t21644
ko:K14232	amh:I633_t21650
ko:K14232	amh:I633_t21658
ko:K14228	amh:I633_t21660
ko:K14234	amh:I633_t21662
ko:K14236	amh:I633_t21666
ko:K01977	amh:I633_r21688
ko:K01977	amh:I633_r21696
ko:K01977	amh:I633_r21694
ko:K01977	amh:I633_r21692
ko:K01977	amh:I633_r21690
ko:K01980	amh:I633_r21706
ko:K07576	amh:I633_16930
ko:K07657	amh:I633_03595
ko:K01243	amh:I633_03680
ko:K03406	amh:I633_03720
ko:K01525	amh:I633_03725
ko:K04763	amh:I633_03760
ko:K03386	amh:I633_09255
ko:K01992	amh:I633_09425
ko:K01992	amh:I633_09430
ko:K01990	amh:I633_09435
ko:K02014	amh:I633_14785
ko:K06970	amh:I633_14885
ko:K01759	amh:I633_14970
ko:K02454	amh:I633_20550
ko:K02463	amh:I633_20595
ko:K00135	amh:I633_20620
ko:K01082	amh:I633_20640
ko:K09898	amh:I633_20665
ko:K07019	amh:I633_20670
ko:K14227	amh:I633_t21544
ko:K14227	amh:I633_t21670
ko:K14227	amh:I633_t21640
ko:K14224	amh:I633_t21588
ko:K14224	amh:I633_t21590
ko:K14224	amh:I633_t21592
ko:K02806	amh:I633_03975
ko:K02067	amh:I633_04035
ko:K11105	amh:I633_04130
ko:K03298	amh:I633_04145
ko:K01424	amh:I633_09710
ko:K07258	amh:I633_09730
ko:K02427	amh:I633_09820
ko:K03307	amh:I633_09905
ko:K01262	amh:I633_15380
ko:K00852	amh:I633_15390
ko:K00854	amh:I633_20795
ko:K01785	amh:I633_20805
ko:K01181	amh:I633_20835
ko:K01209	amh:I633_20840
ko:K02274	amh:I633_20975
ko:K01507	amh:I633_01225
ko:K06889	amh:I633_01280
ko:K01784	amh:I633_01350
ko:K12279	amh:I633_01410
ko:K12280	amh:I633_01420
ko:K12281	amh:I633_01425
ko:K12283	amh:I633_01445
ko:K12284	amh:I633_01450
ko:K12276	amh:I633_01455
ko:K12278	amh:I633_01460
ko:K10926	amh:I633_01475
ko:K10927	amh:I633_01480
ko:K12285	amh:I633_01485
ko:K12286	amh:I633_01490
ko:K03560	amh:I633_06905
ko:K04767	amh:I633_07005
ko:K07305	amh:I633_12530
ko:K00033	amh:I633_12535
ko:K00845	amh:I633_12575
ko:K00065	amh:I633_12680
ko:K03317	amh:I633_17935
ko:K02342	amh:I633_17960
ko:K07182	amh:I633_17965
ko:K05844	amh:I633_18005
ko:K14683	amh:I633_18045
ko:K01479	amh:I633_04340
ko:K02428	amh:I633_04620
ko:K00974	amh:I633_04630
ko:K01489	amh:I633_10110
ko:K02238	amh:I633_10160
ko:K11085	amh:I633_10165
ko:K07393	amh:I633_10210
ko:K00241	amh:I633_10235
ko:K01934	amh:I633_15405
ko:K00058	amh:I633_15415
ko:K03574	amh:I633_15555
ko:K04085	amh:I633_21165
ko:K05350	amh:I633_21360
ko:K00799	amh:I633_21405
ko:K02116	amh:I633_21460
ko:K03406	amh:I633_01695
ko:K03406	amh:I633_01725
ko:K00575	amh:I633_01730
ko:K03406	amh:I633_01745
ko:K00575	amh:I633_01785
ko:K01560	amh:I633_01805
ko:K05499	amh:I633_01865
ko:K01104	amh:I633_07170
ko:K06147	amh:I633_07210
ko:K01885	amh:I633_07230
ko:K02004	amh:I633_07280
ko:K00569	amh:I633_07450
ko:K03593	amh:I633_12875
ko:K03442	amh:I633_12885
ko:K03768	amh:I633_12920
ko:K08086	amh:I633_13030
ko:K01113	amh:I633_18490
ko:K01834	amh:I633_01920
ko:K09705	amh:I633_01925
ko:K03406	amh:I633_02035
ko:K01664	amh:I633_02245
ko:K02014	amh:I633_07500
ko:K02014	amh:I633_07685
ko:K00647	amh:I633_13065
ko:K00657	amh:I633_13110
ko:K00219	amh:I633_13220
ko:K01692	amh:I633_13225
ko:K08305	amh:I633_13335
ko:K00383	amh:I633_18675
ko:K01259	amh:I633_18835
ko:K05595	amh:I633_18895
ko:K00970	amh:I633_18935
ko:K03743	amh:I633_04695
ko:K09697	amh:I633_04705
ko:K09696	amh:I633_04710
ko:K02200	amh:I633_04780
ko:K01784	amh:I633_04795
ko:K02851	amh:I633_04835
ko:K00030	amh:I633_04860
ko:K06282	amh:I633_04950
ko:K06281	amh:I633_04955
ko:K07116	amh:I633_10430
ko:K04774	amh:I633_10435
ko:K03442	amh:I633_15765
ko:K00219	amh:I633_15830
ko:K00799	amh:I633_15845
ko:K07304	amh:I633_15855
ko:K00616	amh:I633_15900
ko:K00121	amh:I633_15960
ko:K03325	amh:I633_15985
ko:K02441	amh:I633_00370
ko:K09806	amh:I633_00400
ko:K16012	amh:I633_00490
ko:K16013	amh:I633_00495
ko:K03386	amh:I633_00530
ko:K03451	amh:I633_00570
ko:K06177	amh:I633_06250
ko:K07263	amh:I633_06260
ko:K02014	amh:I633_06350
ko:K03386	amh:I633_06380
ko:K01759	amh:I633_06400
ko:K02014	amh:I633_11875
ko:K01322	amh:I633_11885
ko:K03711	amh:I633_11940
ko:K00666	amh:I633_17340
ko:K00380	amh:I633_17405
ko:K07304	amh:I633_17550
ko:K02665	amh:I633_02300
ko:K00027	amh:I633_02325
ko:K07640	amh:I633_02425
ko:K01048	amh:I633_02430
ko:K01835	amh:I633_07885
ko:K01439	amh:I633_07950
ko:K03406	amh:I633_13520
ko:K07167	amh:I633_13660
ko:K01580	amh:I633_18955
ko:K08234	amh:I633_19195
ko:K03442	amh:I633_19200
ko:K00568	amh:I633_19315
ko:K09966	amh:I633_19320
ko:K04652	amh:I633_05020
ko:K04655	amh:I633_05045
ko:K00674	amh:I633_05095
ko:K15725	amh:I633_10955
ko:K15727	amh:I633_10960
ko:K12961	amh:I633_16090
ko:K08981	amh:I633_16190
ko:K09167	amh:I633_16195
ko:K01243	amh:I633_16250
ko:K06858	amh:I633_16260
ko:K00799	amh:I633_16355
ko:K01679	amh:I633_16395
ko:K03747	amh:I633_00135
ko:K10563	amh:I633_00310
ko:K00639	amh:I633_00350
ko:K00548	amh:I633_05710
ko:K07386	amh:I633_05755
ko:K01572	amh:I633_05800
ko:K11179	amh:I633_11345
ko:K08992	amh:I633_11420
ko:K00568	amh:I633_11460
ko:K03548	amh:I633_11545
ko:K02030	amh:I633_02760
ko:K03793	amh:I633_08270
ko:K01104	amh:I633_08330
ko:K03803	amh:I633_13855
ko:K01916	amh:I633_13920
ko:K03409	amh:I633_19440
ko:K02004	amh:I633_19525
ko:K03776	amh:I633_19530
ko:K05350	amh:I633_19605
ko:K02014	amh:I633_19665
ko:K00575	amh:I633_05375
ko:K06603	amh:I633_05455
ko:K10942	amh:I633_05535
ko:K06149	amh:I633_11125
ko:K03796	amh:I633_11235
ko:K01011	amh:I633_11255
ko:K05812	amh:I633_11265
ko:K02055	amh:I633_16535
ko:K07126	amh:I633_22751
ko:K03406	amh:I633_03035
ko:K06177	amh:I633_03135
ko:K01515	amh:I633_03200
ko:K03469	amh:I633_08825
ko:K02342	amh:I633_08830
ko:K02348	amh:I633_08920
ko:K03406	amh:I633_14165
ko:K00088	amh:I633_14175
ko:K13628	amh:I633_14255
ko:K01092	amh:I633_14315
ko:K01989	amh:I633_19815
ko:K03769	amh:I633_19850
ko:K00374	amh:I633_19855
ko:K02017	amh:I633_19890
ko:K03635	amh:I633_19925
ko:K01719	amh:I633_00835
ko:K02010	amh:I633_00915
ko:K03406	amh:I633_01060
ko:K00799	amh:I633_01090
ko:K03613	amh:I633_06425
ko:K03612	amh:I633_06430
ko:K03615	amh:I633_06450
ko:K03616	amh:I633_06455
ko:K03617	amh:I633_06460
ko:K01082	amh:I633_06540
ko:K03307	amh:I633_06555
ko:K07114	amh:I633_06595
ko:K07114	amh:I633_06600
ko:K06889	amh:I633_12060
ko:K02017	amh:I633_12185
ko:K03635	amh:I633_12200
ko:K02014	amh:I633_03280
ko:K02303	amh:I633_03360
ko:K03406	amh:I633_03370
ko:K15576	amh:I633_03375
ko:K15577	amh:I633_03380
ko:K01409	amh:I633_03525
ko:K06179	amh:I633_08940
ko:K00059	amh:I633_08990
ko:K02619	amh:I633_09005
ko:K00626	amh:I633_09080
ko:K00045	amh:I633_09115
ko:K01724	amh:I633_09155
ko:K03177	amh:I633_09195
ko:K07004	amh:I633_09240
ko:K02004	amh:I633_14430
ko:K01077	amh:I633_14445
ko:K00567	amh:I633_20105
ko:K01585	amh:I633_20120
ko:K03769	amh:I633_20200
ko:K02342	amh:I633_20360
ko:K15460	amh:I633_17630
ko:K01278	amh:I633_17640
ko:K02014	amh:I633_17720
ko:K01069	amh:I633_12895
ko:K09857	amh:I633_07055
ko:K00537	amh:I633_11560
ko:K06138	amh:I633_17020
ko:K02477	amh:I633_10560
ko:K00290	amh:I633_16055
ko:K14742	amh:I633_13370
ko:K05540	amh:I633_20405
ko:K05799	amh:I633_15485
ko:K07684	amh:I633_19905
ko:K03767	amh:I633_03295
ko:K01658	amh:I633_07350
ko:K00632	amh:I633_06620
ko:K00248	amh:I633_11865
ko:K00128	amh:I633_02675
ko:K01190	amh:I633_16755
ko:K08485	amh:I633_03965
ko:K00018	amh:I633_21080
ko:K01467	amh:I633_20115
ko:K17837	amh:I633_13450
ko:K01840	amh:I633_10220
ko:K00661	amh:I633_07390
ko:K12574	amh:I633_12365
ko:K03892	amh:I633_15970
ko:K03639	amh:I633_19950
ko:K01497	amh:I633_01075
ko:K03286	amh:I633_19450
ko:K07186	amh:I633_13815
ko:K17737	amh:I633_10640
ko:K01487	amh:I633_08090
ko:K01046	amh:I633_19310
ko:K03973	amh:I633_05850
ko:K18138	amh:I633_01025
ko:K07814	amh:I633_03650
ko:K06281	amh:I633_04930
ko:K01659	amh:I633_16155
ko:K03719	amh:I633_11400
ko:K00956	amh:I633_06535
ko:K00020	amh:I633_17115
ko:K07814	amh:I633_09170
ko:K00114	amh:I633_16975
ko:K07003	amh:I633_11005
ko:K00557	amh:I633_17355
ko:K00344	amh:I633_12135
ko:K03741	amh:I633_15975
ko:K09017	amh:I633_08125
ko:K03296	amh:I633_11990
ko:K02483	amh:I633_16000
ko:K01447	amh:I633_16210
ko:K00118	amh:I633_16820
ko:K03772	amh:I633_20715
ko:K07003	amh:I633_10825
ko:K03585	amh:I633_03470
ko:K03605	amh:I633_04970
ko:K18299	amh:I633_15445
ko:K01181	amh:I633_20775
ko:K00615	amh:I633_20785
ko:K00616	amh:I633_20800
ko:K03832	amh:I633_10095
ko:K04656	amh:I633_04940
ko:K03798	amh:I633_10325
ko:K03286	amh:I633_05315
ko:K02014	amh:I633_16140
ko:K03981	amh:I633_22041
ko:K03981	amh:I633_22046
ko:K03655	amh:I633_22136
ko:K03640	amh:I633_22466
ko:K01255	amh:I633_17005
ko:K03563	amh:I633_22831
ko:K05782	amh:I633_22941
ko:K07302	amh:I633_12035
ko:K10925	amh:I633_01470
ko:K02406	amh:I633_06855
ko:K03408	amh:I633_01720
ko:K03411	amh:I633_01735
ko:K03406	amh:I633_01780
ko:K02015	amh:I633_07175
ko:K01560	amh:I633_08925
ko:K03637	amh:I633_19935
ko:K07165	amh:I633_06360
ko:K07165	amh:I633_20190
ko:K02554	amh:I633_17185
ko:K18298	amh:I633_15450
ko:K00138	amh:I633_17085
ko:K00108	amh:I633_14870
ko:K18446	amh:I633_03060
ko:K07645	amh:I633_03905
ko:K21757	amh:I633_21776
ko:K00681	amh:I633_02690
ko:K20978	amh:I633_06815
ko:K18691	amh:I633_05250
ko:K18676	amh:I633_15330
ko:K18640	amh:I633_22546
ko:K06218	amh:I633_02820
ko:K18850	amh:I633_09595
ko:K06218	amh:I633_02830
ko:K10747	amh:I633_19265
ko:K18800	amh:I633_15370
ko:K03469	amh:I633_22121
ko:K18831	amh:I633_21220
ko:K20862	amh:I633_01135
ko:K20881	amh:I633_20630
ko:K18778	amh:I633_15535
ko:K10747	amh:I633_21896
ko:K12066	amh:I633_22701
ko:K00526	amh:I633_11475
ko:K10747	amh:I633_03690
ko:K12067	amh:I633_22696
