ko:K00459	hpl:HPB8_982
ko:K12109	hpl:HPB8_698
ko:K14445	hpl:HPB8_1351
ko:K01977	hpl:HPB8_r1
ko:K01977	hpl:HPB8_r2
ko:K01980	hpl:HPB8_r3
ko:K01980	hpl:HPB8_r6
ko:K01985	hpl:HPB8_r4
ko:K01985	hpl:HPB8_r5
ko:K05922	hpl:HPB8_832
ko:K14219	hpl:HPB8_t27
ko:K14219	hpl:HPB8_t15
ko:K14218	hpl:HPB8_t10
ko:K14218	hpl:HPB8_t28
ko:K12090	hpl:HPB8_719
ko:K12089	hpl:HPB8_722
ko:K12086	hpl:HPB8_725
ko:K01497	hpl:HPB8_1010
ko:K12095	hpl:HPB8_713
ko:K12097	hpl:HPB8_711
ko:K01524	hpl:HPB8_1284
ko:K01173	hpl:HPB8_1551
ko:K14237	hpl:HPB8_t31
ko:K14230	hpl:HPB8_t9
ko:K05927	hpl:HPB8_831
ko:K00104	hpl:HPB8_693
ko:K14219	hpl:HPB8_t16
ko:K14227	hpl:HPB8_t11
ko:K14219	hpl:HPB8_t24
ko:K19302	hpl:HPB8_1061
ko:K14223	hpl:HPB8_t21
ko:K12052	hpl:HPB8_1587
ko:K12051	hpl:HPB8_1586
ko:K12050	hpl:HPB8_1585
ko:K12049	hpl:HPB8_1584
ko:K12048	hpl:HPB8_1583
ko:K03191	hpl:HPB8_1495
ko:K01426	hpl:HPB8_1268
ko:K12053	hpl:HPB8_1608
ko:K12977	hpl:HPB8_1604
ko:K00290	hpl:HPB8_22
ko:K12093	hpl:HPB8_715
ko:K12102	hpl:HPB8_705
ko:K12103	hpl:HPB8_704
ko:K12104	hpl:HPB8_703
ko:K12105	hpl:HPB8_702
ko:K12106	hpl:HPB8_701
ko:K18928	hpl:HPB8_1426
ko:K06179	hpl:HPB8_590
ko:K02483	hpl:HPB8_1161
ko:K07126	hpl:HPB8_726
ko:K00059	hpl:HPB8_756
ko:K02004	hpl:HPB8_995
ko:K03611	hpl:HPB8_793
ko:K01885	hpl:HPB8_845
ko:K03469	hpl:HPB8_864
ko:K04763	hpl:HPB8_878
ko:K00567	hpl:HPB8_879
ko:K13016	hpl:HPB8_881
ko:K01424	hpl:HPB8_928
ko:K00769	hpl:HPB8_942
ko:K00674	hpl:HPB8_825
ko:K07126	hpl:HPB8_826
ko:K00626	hpl:HPB8_890
ko:K06013	hpl:HPB8_431
ko:K00058	hpl:HPB8_448
ko:K01585	hpl:HPB8_472
ko:K03442	hpl:HPB8_561
ko:K04652	hpl:HPB8_652
ko:K07457	hpl:HPB8_801
ko:K00939	hpl:HPB8_816
ko:K01507	hpl:HPB8_819
ko:K07318	hpl:HPB8_281
ko:K12092	hpl:HPB8_716
ko:K03635	hpl:HPB8_1008
ko:K06603	hpl:HPB8_958
ko:K03743	hpl:HPB8_594
ko:K02014	hpl:HPB8_632
ko:K02014	hpl:HPB8_634
ko:K12091	hpl:HPB8_717
ko:K12088	hpl:HPB8_723
ko:K12094	hpl:HPB8_714
ko:K12096	hpl:HPB8_712
ko:K12098	hpl:HPB8_710
ko:K12110	hpl:HPB8_697
ko:K00020	hpl:HPB8_843
ko:K15256	hpl:HPB8_438
ko:K15257	hpl:HPB8_469
ko:K15633	hpl:HPB8_572
ko:K05845	hpl:HPB8_1026
ko:K05846	hpl:HPB8_1026
ko:K00088	hpl:HPB8_1038
ko:K02433	hpl:HPB8_1039
ko:K01885	hpl:HPB8_1106
ko:K02017	hpl:HPB8_1107
ko:K03455	hpl:HPB8_1112
ko:K15778	hpl:HPB8_205
ko:K15842	hpl:HPB8_741
ko:K15843	hpl:HPB8_638
ko:K15844	hpl:HPB8_637
ko:K15845	hpl:HPB8_1616
ko:K15846	hpl:HPB8_1005
ko:K15846	hpl:HPB8_677
ko:K15846	hpl:HPB8_463
ko:K15847	hpl:HPB8_657
ko:K15848	hpl:HPB8_930
ko:K15894	hpl:HPB8_1050
ko:K15895	hpl:HPB8_414
ko:K15898	hpl:HPB8_1388
ko:K07316	hpl:HPB8_1303
ko:K03781	hpl:HPB8_1096
ko:K02847	hpl:HPB8_1157
ko:K16091	hpl:HPB8_887
ko:K16091	hpl:HPB8_1015
ko:K16091	hpl:HPB8_1702
ko:K07496	hpl:HPB8_518
ko:K06926	hpl:HPB8_1198
ko:K07100	hpl:HPB8_274
ko:K15726	hpl:HPB8_577
ko:K03496	hpl:HPB8_362
ko:K03497	hpl:HPB8_363
ko:K10716	hpl:HPB8_675
ko:K02014	hpl:HPB8_1088
ko:K02014	hpl:HPB8_17
ko:K03496	hpl:HPB8_505
ko:K03496	hpl:HPB8_532
ko:K02028	hpl:HPB8_326
ko:K02030	hpl:HPB8_325
ko:K06148	hpl:HPB8_284
ko:K01992	hpl:HPB8_809
ko:K02481	hpl:HPB8_904
ko:K00076	hpl:HPB8_1130
ko:K02238	hpl:HPB8_1532
ko:K11085	hpl:HPB8_1201
ko:K07126	hpl:HPB8_1229
ko:K03279	hpl:HPB8_1573
ko:K04655	hpl:HPB8_1578
ko:K06196	hpl:HPB8_1297
ko:K01409	hpl:HPB8_1633
ko:K16052	hpl:HPB8_465
ko:K07126	hpl:HPB8_1328
ko:K06910	hpl:HPB8_1348
ko:K01439	hpl:HPB8_1353
ko:K07126	hpl:HPB8_1354
ko:K03386	hpl:HPB8_1656
ko:K03593	hpl:HPB8_1360
ko:K00244	hpl:HPB8_1375
ko:K00245	hpl:HPB8_1376
ko:K07126	hpl:HPB8_1405
ko:K03279	hpl:HPB8_1406
ko:K02029	hpl:HPB8_327
ko:K01119	hpl:HPB8_1461
ko:K02342	hpl:HPB8_1689
ko:K07126	hpl:HPB8_1690
ko:K13640	hpl:HPB8_1143
ko:K03711	hpl:HPB8_1145
ko:K01262	hpl:HPB8_1155
ko:K07098	hpl:HPB8_1162
ko:K03406	hpl:HPB8_1462
ko:K03406	hpl:HPB8_1467
ko:K03406	hpl:HPB8_1483
ko:K00971	hpl:HPB8_1582
ko:K03196	hpl:HPB8_123
ko:K03196	hpl:HPB8_540
ko:K15847	hpl:HPB8_237
ko:K05847	hpl:HPB8_1027
ko:K03196	hpl:HPB8_497
ko:K01154	hpl:HPB8_1706
ko:K10009	hpl:HPB8_609
ko:K00970	hpl:HPB8_841
ko:K03321	hpl:HPB8_1337
ko:K12369	hpl:HPB8_1263
ko:K12371	hpl:HPB8_1261
ko:K07316	hpl:HPB8_1517
ko:K02424	hpl:HPB8_608
ko:K12048	hpl:HPB8_544
ko:K12049	hpl:HPB8_545
ko:K12050	hpl:HPB8_546
ko:K09477	hpl:HPB8_1422
ko:K03559	hpl:HPB8_90
ko:K03559	hpl:HPB8_139
ko:K02003	hpl:HPB8_1387
ko:K11782	hpl:HPB8_987
ko:K01738	hpl:HPB8_1458
ko:K01760	hpl:HPB8_1459
ko:K07316	hpl:HPB8_8
ko:K17103	hpl:HPB8_1191
ko:K01992	hpl:HPB8_43
ko:K12053	hpl:HPB8_548
ko:K17686	hpl:HPB8_26
ko:K17686	hpl:HPB8_1192
ko:K07318	hpl:HPB8_31
ko:K01155	hpl:HPB8_1300
ko:K12574	hpl:HPB8_114
ko:K11928	hpl:HPB8_1513
ko:K01658	hpl:HPB8_199
ko:K01156	hpl:HPB8_1553
ko:K00254	hpl:HPB8_1127
ko:K01155	hpl:HPB8_127
ko:K07812	hpl:HPB8_459
ko:K05366	hpl:HPB8_795
ko:K12048	hpl:HPB8_493
ko:K00925	hpl:HPB8_650
ko:K04654	hpl:HPB8_655
ko:K12052	hpl:HPB8_515
ko:K01521	hpl:HPB8_1081
ko:K11784	hpl:HPB8_859
ko:K11785	hpl:HPB8_1413
ko:K18284	hpl:HPB8_1476
ko:K18285	hpl:HPB8_857
ko:K16235	hpl:HPB8_1133
ko:K18480	hpl:HPB8_68
ko:K03602	hpl:HPB8_936
ko:K18682	hpl:HPB8_967
ko:K07316	hpl:HPB8_1552
ko:K03196	hpl:HPB8_718
ko:K03205	hpl:HPB8_538
ko:K03111	hpl:HPB8_235
ko:K18930	hpl:HPB8_263
ko:K03761	hpl:HPB8_1210
ko:K00335	hpl:HPB8_215
ko:K03526	hpl:HPB8_824
ko:K02483	hpl:HPB8_1536
ko:K00336	hpl:HPB8_214
ko:K07448	hpl:HPB8_1199
ko:K19157	hpl:HPB8_660
ko:K19157	hpl:HPB8_p0001
ko:K00571	hpl:HPB8_1299
ko:K00571	hpl:HPB8_1473
ko:K00571	hpl:HPB8_1521
ko:K00571	hpl:HPB8_1575
ko:K00525	hpl:HPB8_882
ko:K07317	hpl:HPB8_642
ko:K01992	hpl:HPB8_44
ko:K19353	hpl:HPB8_1665
ko:K19416	hpl:HPB8_629
ko:K03203	hpl:HPB8_489
ko:K12053	hpl:HPB8_486
ko:K20151	hpl:HPB8_427
ko:K20151	hpl:HPB8_428
ko:K20151	hpl:HPB8_853
ko:K20151	hpl:HPB8_854
ko:K20810	hpl:HPB8_1295
ko:K12052	hpl:HPB8_527
ko:K02335	hpl:HPB8_61
ko:K02335	hpl:HPB8_1140
ko:K03553	hpl:HPB8_1412
ko:K02316	hpl:HPB8_1613
ko:K03465	hpl:HPB8_1709
ko:K00558	hpl:HPB8_1520
ko:K02314	hpl:HPB8_1533
ko:K00558	hpl:HPB8_1059
ko:K01520	hpl:HPB8_1074
ko:K00558	hpl:HPB8_1098
ko:K06223	hpl:HPB8_1100
ko:K06223	hpl:HPB8_1101
ko:K02335	hpl:HPB8_1139
ko:K00558	hpl:HPB8_380
ko:K06223	hpl:HPB8_30
ko:K00526	hpl:HPB8_413
ko:K01139	hpl:HPB8_984
ko:K10026	hpl:HPB8_616
ko:K21929	hpl:HPB8_852
ko:K03595	hpl:HPB8_733
ko:K09022	hpl:HPB8_604
ko:K22278	hpl:HPB8_1252
ko:K14441	hpl:HPB8_941
ko:K22391	hpl:HPB8_586
ko:K17758	hpl:HPB8_1534
ko:K17759	hpl:HPB8_1534
ko:K01007	hpl:HPB8_1446
