ko:K02030	rsc:RCFBP_20811
ko:K13928	rsc:RCFBP_11826
ko:K13929	rsc:RCFBP_11827
ko:K01626	rsc:RCFBP_20673
ko:K07112	rsc:RCFBP_20674
ko:K06920	rsc:RCFBP_20675
ko:K03640	rsc:RCFBP_20677
ko:K03641	rsc:RCFBP_20678
ko:K03562	rsc:RCFBP_20681
ko:K07107	rsc:RCFBP_20682
ko:K00600	rsc:RCFBP_20684
ko:K07738	rsc:RCFBP_20685
ko:K02671	rsc:RCFBP_20686
ko:K02672	rsc:RCFBP_20687
ko:K02673	rsc:RCFBP_20688
ko:K02655	rsc:RCFBP_20690
ko:K08084	rsc:RCFBP_20691
ko:K02672	rsc:RCFBP_20693
ko:K08084	rsc:RCFBP_20697
ko:K11752	rsc:RCFBP_20698
ko:K00793	rsc:RCFBP_20699
ko:K00794	rsc:RCFBP_20701
ko:K03625	rsc:RCFBP_20702
ko:K03182	rsc:RCFBP_20705
ko:K03439	rsc:RCFBP_20711
ko:K06153	rsc:RCFBP_20713
ko:K06048	rsc:RCFBP_10170
ko:K09930	rsc:RCFBP_10173
ko:K01752	rsc:RCFBP_10180
ko:K00281	rsc:RCFBP_10181
ko:K02437	rsc:RCFBP_10182
ko:K00605	rsc:RCFBP_10183
ko:K03656	rsc:RCFBP_10186
ko:K00873	rsc:RCFBP_10194
ko:K01608	rsc:RCFBP_10198
ko:K11103	rsc:RCFBP_10204
ko:K01477	rsc:RCFBP_10205
ko:K01483	rsc:RCFBP_10206
ko:K03642	rsc:RCFBP_10213
ko:K07056	rsc:RCFBP_10214
ko:K07460	rsc:RCFBP_10215
ko:K00381	rsc:RCFBP_11001
ko:K00390	rsc:RCFBP_11003
ko:K00957	rsc:RCFBP_11004
ko:K11720	rsc:RCFBP_11009
ko:K07091	rsc:RCFBP_11010
ko:K01255	rsc:RCFBP_11011
ko:K02339	rsc:RCFBP_11012
ko:K01687	rsc:RCFBP_11014
ko:K13292	rsc:RCFBP_11016
ko:K09888	rsc:RCFBP_11019
ko:K02015	rsc:RCFBP_11022
ko:K02013	rsc:RCFBP_11023
ko:K02233	rsc:RCFBP_11026
ko:K02016	rsc:RCFBP_11028
ko:K02225	rsc:RCFBP_11029
ko:K02227	rsc:RCFBP_11030
ko:K02231	rsc:RCFBP_11031
ko:K02232	rsc:RCFBP_11032
ko:K01918	rsc:RCFBP_11034
ko:K05896	rsc:RCFBP_11035
ko:K09800	rsc:RCFBP_11038
ko:K01874	rsc:RCFBP_11040
ko:K00123	rsc:RCFBP_11048
ko:K13930	rsc:RCFBP_11828
ko:K13931	rsc:RCFBP_11829
ko:K13932	rsc:RCFBP_11830
ko:K13933	rsc:RCFBP_11831
ko:K13934	rsc:RCFBP_11834
ko:K13935	rsc:RCFBP_11835
ko:K01502	rsc:RCFBP_11842
ko:K01935	rsc:RCFBP_11856
ko:K00833	rsc:RCFBP_11858
ko:K05783	rsc:RCFBP_11859
ko:K05784	rsc:RCFBP_11860
ko:K05550	rsc:RCFBP_11861
ko:K05549	rsc:RCFBP_11862
ko:K03381	rsc:RCFBP_11863
ko:K03464	rsc:RCFBP_11864
ko:K05805	rsc:RCFBP_11876
ko:K00573	rsc:RCFBP_20717
ko:K02527	rsc:RCFBP_20721
ko:K02841	rsc:RCFBP_20722
ko:K12990	rsc:RCFBP_20728
ko:K01790	rsc:RCFBP_20730
ko:K00973	rsc:RCFBP_20731
ko:K00067	rsc:RCFBP_20732
ko:K00655	rsc:RCFBP_20735
ko:K01465	rsc:RCFBP_20736
ko:K00609	rsc:RCFBP_20737
ko:K02825	rsc:RCFBP_20738
ko:K07447	rsc:RCFBP_20739
ko:K07735	rsc:RCFBP_20740
ko:K01669	rsc:RCFBP_20742
ko:K01845	rsc:RCFBP_20750
ko:K01714	rsc:RCFBP_20751
ko:K03744	rsc:RCFBP_20752
ko:K06872	rsc:RCFBP_20753
ko:K02651	rsc:RCFBP_20756
ko:K02278	rsc:RCFBP_20757
ko:K02279	rsc:RCFBP_20758
ko:K02280	rsc:RCFBP_20759
ko:K02282	rsc:RCFBP_20761
ko:K02283	rsc:RCFBP_20762
ko:K12510	rsc:RCFBP_20763
ko:K00860	rsc:RCFBP_10261
ko:K07007	rsc:RCFBP_10269
ko:K04127	rsc:RCFBP_10279
ko:K02379	rsc:RCFBP_11054
ko:K01494	rsc:RCFBP_11055
ko:K01584	rsc:RCFBP_11056
ko:K01755	rsc:RCFBP_11067
ko:K03088	rsc:RCFBP_11069
ko:K01595	rsc:RCFBP_11073
ko:K01749	rsc:RCFBP_11074
ko:K02498	rsc:RCFBP_11076
ko:K09919	rsc:RCFBP_11084
ko:K01950	rsc:RCFBP_11085
ko:K03183	rsc:RCFBP_11086
ko:K04751	rsc:RCFBP_11087
ko:K00384	rsc:RCFBP_11090
ko:K03466	rsc:RCFBP_11091
ko:K03634	rsc:RCFBP_11092
ko:K07478	rsc:RCFBP_11095
ko:K07402	rsc:RCFBP_11884
ko:K07507	rsc:RCFBP_11886
ko:K06938	rsc:RCFBP_11891
ko:K01737	rsc:RCFBP_11898
ko:K07154	rsc:RCFBP_11901
ko:K07396	rsc:RCFBP_11905
ko:K01975	rsc:RCFBP_11906
ko:K00448	rsc:RCFBP_11907
ko:K00449	rsc:RCFBP_11908
ko:K01951	rsc:RCFBP_20002
ko:K09801	rsc:RCFBP_20007
ko:K03664	rsc:RCFBP_20009
ko:K09773	rsc:RCFBP_20013
ko:K03437	rsc:RCFBP_20014
ko:K03470	rsc:RCFBP_20015
ko:K00748	rsc:RCFBP_20016
ko:K00677	rsc:RCFBP_20017
ko:K02372	rsc:RCFBP_20018
ko:K12511	rsc:RCFBP_20764
ko:K04077	rsc:RCFBP_20781
ko:K04078	rsc:RCFBP_20782
ko:K13979	rsc:RCFBP_20799
ko:K01681	rsc:RCFBP_20809
ko:K00453	rsc:RCFBP_10281
ko:K03823	rsc:RCFBP_10304
ko:K03778	rsc:RCFBP_10306
ko:K03735	rsc:RCFBP_10310
ko:K03736	rsc:RCFBP_10311
ko:K01141	rsc:RCFBP_10312
ko:K04090	rsc:RCFBP_10315
ko:K00375	rsc:RCFBP_10316
ko:K02453	rsc:RCFBP_10323
ko:K02462	rsc:RCFBP_10325
ko:K02461	rsc:RCFBP_10326
ko:K02460	rsc:RCFBP_10327
ko:K02459	rsc:RCFBP_10328
ko:K02458	rsc:RCFBP_10329
ko:K02457	rsc:RCFBP_10330
ko:K01875	rsc:RCFBP_11110
ko:K00285	rsc:RCFBP_11133
ko:K10001	rsc:RCFBP_11134
ko:K02624	rsc:RCFBP_11140
ko:K01031	rsc:RCFBP_11141
ko:K01032	rsc:RCFBP_11142
ko:K01857	rsc:RCFBP_11144
ko:K00481	rsc:RCFBP_11150
ko:K02518	rsc:RCFBP_11153
ko:K02536	rsc:RCFBP_20019
ko:K06142	rsc:RCFBP_20020
ko:K07277	rsc:RCFBP_20021
ko:K11749	rsc:RCFBP_20022
ko:K00099	rsc:RCFBP_20023
ko:K00981	rsc:RCFBP_20024
ko:K00806	rsc:RCFBP_20025
ko:K02838	rsc:RCFBP_20026
ko:K09903	rsc:RCFBP_20027
ko:K02357	rsc:RCFBP_20028
ko:K02967	rsc:RCFBP_20029
ko:K01265	rsc:RCFBP_20030
ko:K00990	rsc:RCFBP_20031
ko:K06182	rsc:RCFBP_20032
ko:K01462	rsc:RCFBP_20034
ko:K01972	rsc:RCFBP_20035
ko:K03529	rsc:RCFBP_20037
ko:K07320	rsc:RCFBP_20046
ko:K13891	rsc:RCFBP_20050
ko:K13890	rsc:RCFBP_20051
ko:K13889	rsc:RCFBP_20052
ko:K13892	rsc:RCFBP_20053
ko:K13051	rsc:RCFBP_20054
ko:K06158	rsc:RCFBP_20056
ko:K03611	rsc:RCFBP_20058
ko:K04485	rsc:RCFBP_20059
ko:K01775	rsc:RCFBP_20060
ko:K03789	rsc:RCFBP_20063
ko:K01638	rsc:RCFBP_20067
ko:K03554	rsc:RCFBP_20848
ko:K03734	rsc:RCFBP_20853
ko:K01070	rsc:RCFBP_20868
ko:K03808	rsc:RCFBP_20870
ko:K03808	rsc:RCFBP_20871
ko:K06192	rsc:RCFBP_20872
ko:K09857	rsc:RCFBP_20873
ko:K02456	rsc:RCFBP_10331
ko:K02452	rsc:RCFBP_10332
ko:K00457	rsc:RCFBP_10334
ko:K11746	rsc:RCFBP_10342
ko:K01295	rsc:RCFBP_10348
ko:K07667	rsc:RCFBP_10352
ko:K07687	rsc:RCFBP_10370
ko:K08224	rsc:RCFBP_10379
ko:K09939	rsc:RCFBP_10381
ko:K00963	rsc:RCFBP_11155
ko:K01873	rsc:RCFBP_11156
ko:K03657	rsc:RCFBP_11157
ko:K02204	rsc:RCFBP_11159
ko:K06966	rsc:RCFBP_11161
ko:K03885	rsc:RCFBP_11163
ko:K01061	rsc:RCFBP_11164
ko:K00795	rsc:RCFBP_11172
ko:K01662	rsc:RCFBP_11173
ko:K09007	rsc:RCFBP_11174
ko:K07007	rsc:RCFBP_11176
ko:K09117	rsc:RCFBP_11177
ko:K03086	rsc:RCFBP_11179
ko:K01894	rsc:RCFBP_11184
ko:K06911	rsc:RCFBP_11186
ko:K03809	rsc:RCFBP_11187
ko:K07146	rsc:RCFBP_11189
ko:K02337	rsc:RCFBP_11190
ko:K08301	rsc:RCFBP_11199
ko:K06287	rsc:RCFBP_11200
ko:K00783	rsc:RCFBP_11201
ko:K09710	rsc:RCFBP_11202
ko:K00969	rsc:RCFBP_11203
ko:K00228	rsc:RCFBP_11204
ko:K01945	rsc:RCFBP_11205
ko:K00768	rsc:RCFBP_11025
ko:K06915	rsc:RCFBP_11207
ko:K01637	rsc:RCFBP_20071
ko:K02553	rsc:RCFBP_20076
ko:K01652	rsc:RCFBP_20077
ko:K13635	rsc:RCFBP_20081
ko:K02045	rsc:RCFBP_20082
ko:K02047	rsc:RCFBP_20083
ko:K02046	rsc:RCFBP_20084
ko:K07002	rsc:RCFBP_20085
ko:K02048	rsc:RCFBP_20089
ko:K03695	rsc:RCFBP_20091
ko:K07518	rsc:RCFBP_20092
ko:K06199	rsc:RCFBP_20093
ko:K03636	rsc:RCFBP_20095
ko:K03750	rsc:RCFBP_20096
ko:K01733	rsc:RCFBP_20098
ko:K00003	rsc:RCFBP_20099
ko:K10012	rsc:RCFBP_20105
ko:K00604	rsc:RCFBP_20106
ko:K03564	rsc:RCFBP_20109
ko:K07175	rsc:RCFBP_20110
ko:K03306	rsc:RCFBP_20113
ko:K07220	rsc:RCFBP_20114
ko:K02939	rsc:RCFBP_20116
ko:K02963	rsc:RCFBP_20117
ko:K06162	rsc:RCFBP_20887
ko:K10979	rsc:RCFBP_20892
ko:K07259	rsc:RCFBP_20894
ko:K03753	rsc:RCFBP_20895
ko:K07566	rsc:RCFBP_20897
ko:K01589	rsc:RCFBP_20898
ko:K01588	rsc:RCFBP_20899
ko:K01923	rsc:RCFBP_20900
ko:K01624	rsc:RCFBP_20901
ko:K00873	rsc:RCFBP_20902
ko:K00927	rsc:RCFBP_20903
ko:K05786	rsc:RCFBP_20904
ko:K00826	rsc:RCFBP_20907
ko:K03637	rsc:RCFBP_20914
ko:K01902	rsc:RCFBP_20919
ko:K01903	rsc:RCFBP_20920
ko:K03565	rsc:RCFBP_20923
ko:K07649	rsc:RCFBP_20926
ko:K03670	rsc:RCFBP_10390
ko:K09941	rsc:RCFBP_10391
ko:K00864	rsc:RCFBP_10393
ko:K00111	rsc:RCFBP_10400
ko:K02444	rsc:RCFBP_10402
ko:K02358	rsc:RCFBP_10407
ko:K03073	rsc:RCFBP_10408
ko:K02601	rsc:RCFBP_10409
ko:K02867	rsc:RCFBP_10410
ko:K02863	rsc:RCFBP_10411
ko:K02864	rsc:RCFBP_10412
ko:K02935	rsc:RCFBP_10413
ko:K03043	rsc:RCFBP_10415
ko:K03046	rsc:RCFBP_10416
ko:K09934	rsc:RCFBP_10418
ko:K06894	rsc:RCFBP_10419
ko:K03654	rsc:RCFBP_10424
ko:K02950	rsc:RCFBP_10425
ko:K02992	rsc:RCFBP_10426
ko:K02355	rsc:RCFBP_10427
ko:K02946	rsc:RCFBP_10429
ko:K02906	rsc:RCFBP_10430
ko:K02926	rsc:RCFBP_10431
ko:K02892	rsc:RCFBP_10432
ko:K02886	rsc:RCFBP_10433
ko:K02965	rsc:RCFBP_10434
ko:K02890	rsc:RCFBP_10435
ko:K02982	rsc:RCFBP_10436
ko:K02878	rsc:RCFBP_10438
ko:K00761	rsc:RCFBP_11208
ko:K01734	rsc:RCFBP_11211
ko:K07552	rsc:RCFBP_11223
ko:K07160	rsc:RCFBP_11226
ko:K01304	rsc:RCFBP_11230
ko:K07733	rsc:RCFBP_11240
ko:K00989	rsc:RCFBP_11255
ko:K00942	rsc:RCFBP_11259
ko:K03060	rsc:RCFBP_11260
ko:K02686	rsc:RCFBP_20118
ko:K02990	rsc:RCFBP_20119
ko:K00528	rsc:RCFBP_20121
ko:K01356	rsc:RCFBP_20122
ko:K05539	rsc:RCFBP_20127
ko:K06207	rsc:RCFBP_20130
ko:K03543	rsc:RCFBP_20134
ko:K03446	rsc:RCFBP_20135
ko:K02834	rsc:RCFBP_20137
ko:K02519	rsc:RCFBP_20138
ko:K02600	rsc:RCFBP_20139
ko:K09748	rsc:RCFBP_20140
ko:K06178	rsc:RCFBP_20141
ko:K06024	rsc:RCFBP_20142
ko:K09792	rsc:RCFBP_20143
ko:K09926	rsc:RCFBP_20146
ko:K00406	rsc:RCFBP_20148
ko:K00407	rsc:RCFBP_20149
ko:K00405	rsc:RCFBP_20150
ko:K00404	rsc:RCFBP_20151
ko:K05979	rsc:RCFBP_20154
ko:K06916	rsc:RCFBP_20155
ko:K00382	rsc:RCFBP_20156
ko:K00164	rsc:RCFBP_20159
ko:K01126	rsc:RCFBP_20160
ko:K05813	rsc:RCFBP_20164
ko:K06911	rsc:RCFBP_20935
ko:K11927	rsc:RCFBP_20937
ko:K07275	rsc:RCFBP_20944
ko:K06955	rsc:RCFBP_20945
ko:K06168	rsc:RCFBP_20947
ko:K07042	rsc:RCFBP_20949
ko:K06189	rsc:RCFBP_20953
ko:K03820	rsc:RCFBP_20954
ko:K01878	rsc:RCFBP_20955
ko:K01879	rsc:RCFBP_20957
ko:K03273	rsc:RCFBP_20958
ko:K00655	rsc:RCFBP_20959
ko:K07043	rsc:RCFBP_20960
ko:K02528	rsc:RCFBP_20963
ko:K00097	rsc:RCFBP_20964
ko:K03771	rsc:RCFBP_20965
ko:K04744	rsc:RCFBP_20966
ko:K07102	rsc:RCFBP_20967
ko:K03185	rsc:RCFBP_20973
ko:K00285	rsc:RCFBP_20974
ko:K03557	rsc:RCFBP_20976
ko:K00602	rsc:RCFBP_20977
ko:K01159	rsc:RCFBP_20978
ko:K01126	rsc:RCFBP_20979
ko:K03550	rsc:RCFBP_20980
ko:K03551	rsc:RCFBP_20981
ko:K02904	rsc:RCFBP_10439
ko:K02961	rsc:RCFBP_10440
ko:K02874	rsc:RCFBP_10441
ko:K02895	rsc:RCFBP_10442
ko:K02931	rsc:RCFBP_10443
ko:K02954	rsc:RCFBP_10444
ko:K02994	rsc:RCFBP_10445
ko:K02933	rsc:RCFBP_10446
ko:K02881	rsc:RCFBP_10447
ko:K02988	rsc:RCFBP_10448
ko:K02907	rsc:RCFBP_10449
ko:K02876	rsc:RCFBP_10450
ko:K03076	rsc:RCFBP_10451
ko:K02518	rsc:RCFBP_10452
ko:K02919	rsc:RCFBP_10453
ko:K02952	rsc:RCFBP_10454
ko:K02948	rsc:RCFBP_10455
ko:K02986	rsc:RCFBP_10456
ko:K03040	rsc:RCFBP_10457
ko:K02879	rsc:RCFBP_10458
ko:K03926	rsc:RCFBP_10459
ko:K04084	rsc:RCFBP_10460
ko:K01698	rsc:RCFBP_10461
ko:K03978	rsc:RCFBP_10462
ko:K07399	rsc:RCFBP_10464
ko:K03088	rsc:RCFBP_10467
ko:K01586	rsc:RCFBP_10471
ko:K06202	rsc:RCFBP_10473
ko:K05366	rsc:RCFBP_10474
ko:K02662	rsc:RCFBP_10475
ko:K02666	rsc:RCFBP_10479
ko:K00891	rsc:RCFBP_10480
ko:K01735	rsc:RCFBP_10481
ko:K01129	rsc:RCFBP_10482
ko:K07275	rsc:RCFBP_10483
ko:K00266	rsc:RCFBP_10486
ko:K02065	rsc:RCFBP_10488
ko:K02066	rsc:RCFBP_10489
ko:K04760	rsc:RCFBP_11263
ko:K03841	rsc:RCFBP_11268
ko:K01256	rsc:RCFBP_11269
ko:K00029	rsc:RCFBP_11271
ko:K07127	rsc:RCFBP_11278
ko:K07402	rsc:RCFBP_11292
ko:K13482	rsc:RCFBP_11293
ko:K13481	rsc:RCFBP_11294
ko:K05772	rsc:RCFBP_11296
ko:K06886	rsc:RCFBP_11299
ko:K06966	rsc:RCFBP_11302
ko:K00901	rsc:RCFBP_11304
ko:K03088	rsc:RCFBP_11311
ko:K07712	rsc:RCFBP_20167
ko:K07708	rsc:RCFBP_20168
ko:K03578	rsc:RCFBP_20178
ko:K03337	rsc:RCFBP_20182
ko:K03335	rsc:RCFBP_20183
ko:K03336	rsc:RCFBP_20184
ko:K03338	rsc:RCFBP_20185
ko:K02529	rsc:RCFBP_20189
ko:K06606	rsc:RCFBP_20192
ko:K01807	rsc:RCFBP_20201
ko:K12410	rsc:RCFBP_20203
ko:K03218	rsc:RCFBP_20204
ko:K12573	rsc:RCFBP_20205
ko:K07101	rsc:RCFBP_20206
ko:K01939	rsc:RCFBP_20207
ko:K02502	rsc:RCFBP_20208
ko:K09937	rsc:RCFBP_20209
ko:K04087	rsc:RCFBP_20210
ko:K04088	rsc:RCFBP_20211
ko:K03665	rsc:RCFBP_20212
ko:K03666	rsc:RCFBP_20213
ko:K03977	rsc:RCFBP_20214
ko:K09125	rsc:RCFBP_20982
ko:K07560	rsc:RCFBP_20985
ko:K01866	rsc:RCFBP_20986
ko:K09001	rsc:RCFBP_20987
ko:K02996	rsc:RCFBP_20991
ko:K02871	rsc:RCFBP_20992
ko:K07397	rsc:RCFBP_20993
ko:K01465	rsc:RCFBP_20995
ko:K10004	rsc:RCFBP_20999
ko:K10002	rsc:RCFBP_21000
ko:K10003	rsc:RCFBP_21001
ko:K10001	rsc:RCFBP_21002
ko:K00261	rsc:RCFBP_21004
ko:K10806	rsc:RCFBP_21007
ko:K07516	rsc:RCFBP_21010
ko:K08310	rsc:RCFBP_21016
ko:K01876	rsc:RCFBP_21018
ko:K03688	rsc:RCFBP_21023
ko:K03690	rsc:RCFBP_21024
ko:K03183	rsc:RCFBP_21026
ko:K02471	rsc:RCFBP_21028
ko:K04754	rsc:RCFBP_10491
ko:K07323	rsc:RCFBP_10492
ko:K07122	rsc:RCFBP_10493
ko:K00790	rsc:RCFBP_10497
ko:K00765	rsc:RCFBP_10498
ko:K00013	rsc:RCFBP_10499
ko:K00817	rsc:RCFBP_10500
ko:K01693	rsc:RCFBP_10501
ko:K02501	rsc:RCFBP_10503
ko:K01814	rsc:RCFBP_10504
ko:K02500	rsc:RCFBP_10505
ko:K03116	rsc:RCFBP_10509
ko:K03117	rsc:RCFBP_10510
ko:K03118	rsc:RCFBP_10511
ko:K02011	rsc:RCFBP_10513
ko:K02012	rsc:RCFBP_10514
ko:K07649	rsc:RCFBP_10515
ko:K07774	rsc:RCFBP_10516
ko:K02012	rsc:RCFBP_10517
ko:K03282	rsc:RCFBP_10521
ko:K00411	rsc:RCFBP_10522
ko:K00412	rsc:RCFBP_10523
ko:K00413	rsc:RCFBP_10524
ko:K03599	rsc:RCFBP_10525
ko:K03600	rsc:RCFBP_10526
ko:K03088	rsc:RCFBP_10538
ko:K02297	rsc:RCFBP_10539
ko:K01652	rsc:RCFBP_11312
ko:K01653	rsc:RCFBP_11313
ko:K00053	rsc:RCFBP_11314
ko:K01613	rsc:RCFBP_11315
ko:K01649	rsc:RCFBP_11317
ko:K01999	rsc:RCFBP_11319
ko:K02956	rsc:RCFBP_11320
ko:K00962	rsc:RCFBP_11321
ko:K01803	rsc:RCFBP_11324
ko:K03075	rsc:RCFBP_11325
ko:K00330	rsc:RCFBP_11326
ko:K00331	rsc:RCFBP_11327
ko:K00332	rsc:RCFBP_11328
ko:K00333	rsc:RCFBP_11329
ko:K00334	rsc:RCFBP_11330
ko:K00337	rsc:RCFBP_11333
ko:K00338	rsc:RCFBP_11334
ko:K00339	rsc:RCFBP_11335
ko:K00340	rsc:RCFBP_11336
ko:K00341	rsc:RCFBP_11337
ko:K00342	rsc:RCFBP_11338
ko:K00343	rsc:RCFBP_11339
ko:K03190	rsc:RCFBP_11352
ko:K01430	rsc:RCFBP_11353
ko:K03192	rsc:RCFBP_11354
ko:K01429	rsc:RCFBP_11355
ko:K01428	rsc:RCFBP_11356
ko:K03187	rsc:RCFBP_11357
ko:K03188	rsc:RCFBP_11358
ko:K03189	rsc:RCFBP_11359
ko:K01892	rsc:RCFBP_20217
ko:K02656	rsc:RCFBP_20220
ko:K06941	rsc:RCFBP_20221
ko:K00940	rsc:RCFBP_20222
ko:K03215	rsc:RCFBP_20224
ko:K06194	rsc:RCFBP_20227
ko:K00573	rsc:RCFBP_20228
ko:K03787	rsc:RCFBP_20229
ko:K10680	rsc:RCFBP_20231
ko:K06187	rsc:RCFBP_20239
ko:K09747	rsc:RCFBP_20241
ko:K02343	rsc:RCFBP_20242
ko:K03671	rsc:RCFBP_20245
ko:K03628	rsc:RCFBP_20246
ko:K09933	rsc:RCFBP_20249
ko:K02909	rsc:RCFBP_20251
ko:K03327	rsc:RCFBP_20253
ko:K07001	rsc:RCFBP_20255
ko:K13896	rsc:RCFBP_20257
ko:K13895	rsc:RCFBP_20258
ko:K13894	rsc:RCFBP_20259
ko:K08715	rsc:RCFBP_21033
ko:K01754	rsc:RCFBP_21034
ko:K06879	rsc:RCFBP_21035
ko:K07112	rsc:RCFBP_21046
ko:K07112	rsc:RCFBP_21047
ko:K02078	rsc:RCFBP_21050
ko:K01620	rsc:RCFBP_21062
ko:K03701	rsc:RCFBP_21067
ko:K09129	rsc:RCFBP_21068
ko:K03324	rsc:RCFBP_21069
ko:K00759	rsc:RCFBP_21071
ko:K05520	rsc:RCFBP_21072
ko:K06041	rsc:RCFBP_21075
ko:K03270	rsc:RCFBP_21076
ko:K11719	rsc:RCFBP_21077
ko:K09774	rsc:RCFBP_21078
ko:K06861	rsc:RCFBP_21079
ko:K03092	rsc:RCFBP_21080
ko:K05808	rsc:RCFBP_21081
ko:K02298	rsc:RCFBP_10540
ko:K02299	rsc:RCFBP_10541
ko:K02300	rsc:RCFBP_10542
ko:K03669	rsc:RCFBP_10547
ko:K03670	rsc:RCFBP_10548
ko:K03186	rsc:RCFBP_10551
ko:K07390	rsc:RCFBP_10552
ko:K02493	rsc:RCFBP_10553
ko:K02835	rsc:RCFBP_10555
ko:K02492	rsc:RCFBP_10556
ko:K06942	rsc:RCFBP_10558
ko:K02423	rsc:RCFBP_10559
ko:K03981	rsc:RCFBP_10564
ko:K03648	rsc:RCFBP_10570
ko:K01609	rsc:RCFBP_10572
ko:K00766	rsc:RCFBP_10573
ko:K01657	rsc:RCFBP_10576
ko:K01091	rsc:RCFBP_10577
ko:K01783	rsc:RCFBP_10578
ko:K06195	rsc:RCFBP_10579
ko:K08304	rsc:RCFBP_10582
ko:K01912	rsc:RCFBP_10583
ko:K15866	rsc:RCFBP_10585
ko:K06895	rsc:RCFBP_11361
ko:K00074	rsc:RCFBP_11371
ko:K09861	rsc:RCFBP_11375
ko:K01681	rsc:RCFBP_11381
ko:K01720	rsc:RCFBP_11382
ko:K01644	rsc:RCFBP_11386
ko:K00024	rsc:RCFBP_11387
ko:K03710	rsc:RCFBP_11388
ko:K00242	rsc:RCFBP_11390
ko:K00239	rsc:RCFBP_11391
ko:K00240	rsc:RCFBP_11392
ko:K09159	rsc:RCFBP_11393
ko:K01647	rsc:RCFBP_11394
ko:K01703	rsc:RCFBP_11395
ko:K01704	rsc:RCFBP_11396
ko:K00052	rsc:RCFBP_11397
ko:K00133	rsc:RCFBP_11399
ko:K06173	rsc:RCFBP_11401
ko:K01817	rsc:RCFBP_11402
ko:K01696	rsc:RCFBP_11403
ko:K01695	rsc:RCFBP_11405
ko:K01963	rsc:RCFBP_11406
ko:K11754	rsc:RCFBP_11407
ko:K03749	rsc:RCFBP_11408
ko:K03558	rsc:RCFBP_11409
ko:K00764	rsc:RCFBP_11410
ko:K13893	rsc:RCFBP_20260
ko:K00208	rsc:RCFBP_20261
ko:K00928	rsc:RCFBP_20262
ko:K04075	rsc:RCFBP_20263
ko:K01962	rsc:RCFBP_20264
ko:K01247	rsc:RCFBP_20265
ko:K01883	rsc:RCFBP_20266
ko:K03269	rsc:RCFBP_20270
ko:K00640	rsc:RCFBP_20271
ko:K01951	rsc:RCFBP_20275
ko:K06222	rsc:RCFBP_20279
ko:K03555	rsc:RCFBP_20282
ko:K03775	rsc:RCFBP_20284
ko:K07287	rsc:RCFBP_20288
ko:K01714	rsc:RCFBP_20289
ko:K01867	rsc:RCFBP_20291
ko:K07053	rsc:RCFBP_20294
ko:K00384	rsc:RCFBP_20295
ko:K04083	rsc:RCFBP_20302
ko:K05589	rsc:RCFBP_20304
ko:K01689	rsc:RCFBP_20305
ko:K01627	rsc:RCFBP_20307
ko:K01937	rsc:RCFBP_20308
ko:K06958	rsc:RCFBP_21085
ko:K07157	rsc:RCFBP_21086
ko:K03575	rsc:RCFBP_21087
ko:K02494	rsc:RCFBP_21091
ko:K00919	rsc:RCFBP_21092
ko:K00948	rsc:RCFBP_21093
ko:K02897	rsc:RCFBP_21094
ko:K01056	rsc:RCFBP_21095
ko:K00954	rsc:RCFBP_21098
ko:K03110	rsc:RCFBP_21102
ko:K06911	rsc:RCFBP_21110
ko:K07397	rsc:RCFBP_21111
ko:K03089	rsc:RCFBP_21113
ko:K07152	rsc:RCFBP_21114
ko:K02259	rsc:RCFBP_21116
ko:K02276	rsc:RCFBP_21120
ko:K02275	rsc:RCFBP_21125
ko:K02169	rsc:RCFBP_21127
ko:K03216	rsc:RCFBP_21129
ko:K02034	rsc:RCFBP_10591
ko:K01438	rsc:RCFBP_10594
ko:K02769	rsc:RCFBP_10596
ko:K02770	rsc:RCFBP_10596
ko:K03435	rsc:RCFBP_10599
ko:K06134	rsc:RCFBP_10606
ko:K03925	rsc:RCFBP_10607
ko:K03438	rsc:RCFBP_10608
ko:K03586	rsc:RCFBP_10609
ko:K03587	rsc:RCFBP_10610
ko:K01928	rsc:RCFBP_10611
ko:K01929	rsc:RCFBP_10612
ko:K01000	rsc:RCFBP_10613
ko:K01925	rsc:RCFBP_10614
ko:K03588	rsc:RCFBP_10615
ko:K02563	rsc:RCFBP_10616
ko:K01924	rsc:RCFBP_10617
ko:K01921	rsc:RCFBP_10618
ko:K03589	rsc:RCFBP_10619
ko:K03590	rsc:RCFBP_10620
ko:K03531	rsc:RCFBP_10621
ko:K02535	rsc:RCFBP_10623
ko:K03070	rsc:RCFBP_10626
ko:K00620	rsc:RCFBP_10627
ko:K06923	rsc:RCFBP_10628
ko:K09862	rsc:RCFBP_10630
ko:K00859	rsc:RCFBP_10632
ko:K02654	rsc:RCFBP_10633
ko:K02652	rsc:RCFBP_10635
ko:K09694	rsc:RCFBP_11411
ko:K09695	rsc:RCFBP_11412
ko:K04062	rsc:RCFBP_11413
ko:K03561	rsc:RCFBP_11421
ko:K03832	rsc:RCFBP_11422
ko:K01776	rsc:RCFBP_11428
ko:K01676	rsc:RCFBP_11429
ko:K01895	rsc:RCFBP_11432
ko:K07302	rsc:RCFBP_11442
ko:K07303	rsc:RCFBP_11443
ko:K02034	rsc:RCFBP_11449
ko:K01433	rsc:RCFBP_11459
ko:K07395	rsc:RCFBP_20310
ko:K03424	rsc:RCFBP_20315
