ko:K18917	cgj:AR0_04770
ko:K05569	cgj:AR0_01625
ko:K05568	cgj:AR0_01630
ko:K05567	cgj:AR0_01635
ko:K05565	cgj:AR0_01640
ko:K09117	cgj:AR0_01685
ko:K00059	cgj:AR0_01730
ko:K07045	cgj:AR0_01735
ko:K00252	cgj:AR0_01740
ko:K10773	cgj:AR0_01765
ko:K02283	cgj:AR0_01805
ko:K12510	cgj:AR0_01810
ko:K06877	cgj:AR0_01835
ko:K03704	cgj:AR0_01840
ko:K03168	cgj:AR0_01845
ko:K02341	cgj:AR0_01860
ko:K06179	cgj:AR0_01955
ko:K00153	cgj:AR0_01965
ko:K01784	cgj:AR0_01985
ko:K09153	cgj:AR0_01990
ko:K01081	cgj:AR0_02010
ko:K13979	cgj:AR0_02015
ko:K01470	cgj:AR0_02020
ko:K03762	cgj:AR0_02025
ko:K00973	cgj:AR0_02030
ko:K02016	cgj:AR0_02050
ko:K01322	cgj:AR0_02070
ko:K00640	cgj:AR0_02180
ko:K00382	cgj:AR0_02205
ko:K01840	cgj:AR0_02210
ko:K02472	cgj:AR0_02265
ko:K01809	cgj:AR0_02295
ko:K01791	cgj:AR0_02330
ko:K00382	cgj:AR0_02365
ko:K07110	cgj:AR0_02380
ko:K00241	cgj:AR0_02385
ko:K00239	cgj:AR0_02390
ko:K00240	cgj:AR0_02395
ko:K01433	cgj:AR0_02465
ko:K01619	cgj:AR0_02470
ko:K17686	cgj:AR0_02485
ko:K02016	cgj:AR0_02500
ko:K02015	cgj:AR0_02505
ko:K02013	cgj:AR0_02510
ko:K00075	cgj:AR0_02540
ko:K01897	cgj:AR0_02550
ko:K15521	cgj:AR0_02555
ko:K01834	cgj:AR0_02560
ko:K07768	cgj:AR0_02565
ko:K07776	cgj:AR0_02570
ko:K02004	cgj:AR0_02580
ko:K01524	cgj:AR0_02595
ko:K00286	cgj:AR0_02605
ko:K02492	cgj:AR0_02635
ko:K01749	cgj:AR0_02640
ko:K00457	cgj:AR0_02660
ko:K01754	cgj:AR0_10110
ko:K01902	cgj:AR0_12325
ko:K01880	cgj:AR0_10890
ko:K03711	cgj:AR0_10900
ko:K00806	cgj:AR0_10915
ko:K03584	cgj:AR0_10920
ko:K07042	cgj:AR0_10935
ko:K09761	cgj:AR0_10945
ko:K03686	cgj:AR0_10950
ko:K03705	cgj:AR0_10955
ko:K01897	cgj:AR0_10980
ko:K00705	cgj:AR0_10985
ko:K06147	cgj:AR0_10990
ko:K01284	cgj:AR0_11005
ko:K05343	cgj:AR0_11015
ko:K01823	cgj:AR0_11025
ko:K14155	cgj:AR0_11045
ko:K03311	cgj:AR0_11050
ko:K07088	cgj:AR0_11070
ko:K02035	cgj:AR0_11100
ko:K02033	cgj:AR0_11105
ko:K02034	cgj:AR0_11110
ko:K02031	cgj:AR0_11115
ko:K02032	cgj:AR0_11115
ko:K01975	cgj:AR0_11120
ko:K00852	cgj:AR0_11125
ko:K03453	cgj:AR0_11140
ko:K01792	cgj:AR0_11145
ko:K01638	cgj:AR0_11150
ko:K00845	cgj:AR0_12845
ko:K01714	cgj:AR0_12840
ko:K01788	cgj:AR0_12850
ko:K02035	cgj:AR0_12865
ko:K02033	cgj:AR0_12870
ko:K02031	cgj:AR0_12875
ko:K02034	cgj:AR0_12875
ko:K01770	cgj:AR0_12900
ko:K00991	cgj:AR0_12905
ko:K07736	cgj:AR0_12910
ko:K04485	cgj:AR0_12930
ko:K07067	cgj:AR0_12935
ko:K00128	cgj:AR0_12945
ko:K01673	cgj:AR0_12950
ko:K03575	cgj:AR0_12955
ko:K03366	cgj:AR0_12965
ko:K03696	cgj:AR0_12985
ko:K00088	cgj:AR0_12990
ko:K03380	cgj:AR0_13005
ko:K04567	cgj:AR0_13030
ko:K01918	cgj:AR0_13035
ko:K00950	cgj:AR0_13055
ko:K01633	cgj:AR0_13060
ko:K00796	cgj:AR0_13065
ko:K01495	cgj:AR0_13070
ko:K03798	cgj:AR0_13075
ko:K00760	cgj:AR0_13080
ko:K04075	cgj:AR0_13085
ko:K07259	cgj:AR0_13090
ko:K01507	cgj:AR0_13095
ko:K00797	cgj:AR0_13100
ko:K12437	cgj:AR0_13945
ko:K12428	cgj:AR0_13955
ko:K13687	cgj:AR0_13985
ko:K14136	cgj:AR0_13990
ko:K16650	cgj:AR0_14000
ko:K07222	cgj:AR0_14020
ko:K01854	cgj:AR0_14025
ko:K01875	cgj:AR0_14050
ko:K03710	cgj:AR0_14055
ko:K04518	cgj:AR0_14075
ko:K01126	cgj:AR0_14125
ko:K03299	cgj:AR0_14130
ko:K00873	cgj:AR0_14135
ko:K00016	cgj:AR0_14140
ko:K07025	cgj:AR0_14150
ko:K00101	cgj:AR0_14175
ko:K07304	cgj:AR0_14210
ko:K00970	cgj:AR0_14925
ko:K03980	cgj:AR0_14945
ko:K03088	cgj:AR0_14950
ko:K00384	cgj:AR0_14955
ko:K03671	cgj:AR0_14960
ko:K01448	cgj:AR0_14965
ko:K03501	cgj:AR0_14985
ko:K03217	cgj:AR0_14990
ko:K03536	cgj:AR0_14995
ko:K02914	cgj:AR0_15000
ko:K01637	cgj:AR0_11155
ko:K03596	cgj:AR0_11210
ko:K02968	cgj:AR0_11220
ko:K02340	cgj:AR0_11235
ko:K02237	cgj:AR0_11245
ko:K09710	cgj:AR0_11260
ko:K00969	cgj:AR0_11265
ko:K00147	cgj:AR0_11275
ko:K00931	cgj:AR0_11285
ko:K03979	cgj:AR0_11290
ko:K06221	cgj:AR0_11300
ko:K02899	cgj:AR0_11315
ko:K02888	cgj:AR0_11320
ko:K06911	cgj:AR0_11335
ko:K00940	cgj:AR0_11345
ko:K06975	cgj:AR0_11355
ko:K11754	cgj:AR0_11370
ko:K01873	cgj:AR0_11375
ko:K15580	cgj:AR0_11380
ko:K06966	cgj:AR0_11390
ko:K00024	cgj:AR0_11395
ko:K07088	cgj:AR0_11425
ko:K03544	cgj:AR0_11430
ko:K01029	cgj:AR0_11440
ko:K01028	cgj:AR0_11445
ko:K02624	cgj:AR0_11450
ko:K00626	cgj:AR0_11455
ko:K01055	cgj:AR0_11460
ko:K06886	cgj:AR0_11465
ko:K01607	cgj:AR0_11470
ko:K01857	cgj:AR0_11475
ko:K00448	cgj:AR0_11480
ko:K00449	cgj:AR0_11485
ko:K03464	cgj:AR0_11495
ko:K03381	cgj:AR0_11505
ko:K05549	cgj:AR0_11510
ko:K05550	cgj:AR0_11515
ko:K05784	cgj:AR0_11520
ko:K05783	cgj:AR0_11525
ko:K05548	cgj:AR0_11535
ko:K05782	cgj:AR0_11540
ko:K01358	cgj:AR0_11545
ko:K01358	cgj:AR0_11550
ko:K03545	cgj:AR0_11555
ko:K01808	cgj:AR0_11610
ko:K01256	cgj:AR0_11625
ko:K07504	cgj:AR0_11630
ko:K02031	cgj:AR0_11670
ko:K02032	cgj:AR0_11670
ko:K02034	cgj:AR0_11675
ko:K02033	cgj:AR0_11680
ko:K02035	cgj:AR0_11685
ko:K15372	cgj:AR0_11695
ko:K03975	cgj:AR0_11705
ko:K18118	cgj:AR0_12360
ko:K02039	cgj:AR0_12370
ko:K02036	cgj:AR0_12375
ko:K02038	cgj:AR0_12380
ko:K02037	cgj:AR0_12385
ko:K02040	cgj:AR0_12390
ko:K15520	cgj:AR0_12395
ko:K02619	cgj:AR0_12415
ko:K06980	cgj:AR0_12420
ko:K01933	cgj:AR0_12430
ko:K00764	cgj:AR0_12435
ko:K11068	cgj:AR0_12450
ko:K01952	cgj:AR0_12455
ko:K01952	cgj:AR0_12460
ko:K01952	cgj:AR0_12465
ko:K00432	cgj:AR0_12470
ko:K07004	cgj:AR0_12475
ko:K06986	cgj:AR0_12480
ko:K11103	cgj:AR0_12485
ko:K01354	cgj:AR0_12490
ko:K01923	cgj:AR0_12495
ko:K01756	cgj:AR0_12510
ko:K01945	cgj:AR0_12520
ko:K03305	cgj:AR0_12545
ko:K00833	cgj:AR0_12550
ko:K03786	cgj:AR0_02665
ko:K00014	cgj:AR0_02670
ko:K02010	cgj:AR0_02680
ko:K02011	cgj:AR0_02685
ko:K02012	cgj:AR0_02690
ko:K13542	cgj:AR0_02695
ko:K01698	cgj:AR0_02705
ko:K01599	cgj:AR0_02725
ko:K00231	cgj:AR0_02730
ko:K01845	cgj:AR0_02735
ko:K06196	cgj:AR0_02750
ko:K07399	cgj:AR0_02755
ko:K02548	cgj:AR0_02790
ko:K01911	cgj:AR0_02800
ko:K15977	cgj:AR0_02805
ko:K01707	cgj:AR0_02815
ko:K03306	cgj:AR0_02855
ko:K01661	cgj:AR0_02865
ko:K01724	cgj:AR0_02870
ko:K05995	cgj:AR0_02875
ko:K02549	cgj:AR0_02880
ko:K02551	cgj:AR0_02885
ko:K12583	cgj:AR0_02895
ko:K11737	cgj:AR0_02900
ko:K03183	cgj:AR0_02905
ko:K00805	cgj:AR0_02915
ko:K03073	cgj:AR0_02945
ko:K02601	cgj:AR0_02950
ko:K02867	cgj:AR0_02955
ko:K02863	cgj:AR0_02960
ko:K07250	cgj:AR0_02970
ko:K00135	cgj:AR0_02975
ko:K02864	cgj:AR0_03000
ko:K02935	cgj:AR0_03005
ko:K03043	cgj:AR0_03015
ko:K03046	cgj:AR0_03020
ko:K02950	cgj:AR0_03040
ko:K02992	cgj:AR0_03045
ko:K02355	cgj:AR0_03050
ko:K02358	cgj:AR0_03055
ko:K02013	cgj:AR0_03070
ko:K02015	cgj:AR0_03075
ko:K02015	cgj:AR0_03080
ko:K18118	cgj:AR0_03090
ko:K02946	cgj:AR0_03095
ko:K02906	cgj:AR0_03100
ko:K02926	cgj:AR0_03105
ko:K02892	cgj:AR0_03110
ko:K02886	cgj:AR0_03115
ko:K02965	cgj:AR0_03120
ko:K02890	cgj:AR0_03125
ko:K02982	cgj:AR0_03130
ko:K02878	cgj:AR0_03135
ko:K02904	cgj:AR0_03140
ko:K02961	cgj:AR0_03145
ko:K02874	cgj:AR0_03160
ko:K02895	cgj:AR0_03165
ko:K02931	cgj:AR0_03170
ko:K02379	cgj:AR0_03190
ko:K16927	cgj:AR0_03210
ko:K16786	cgj:AR0_03215
ko:K16787	cgj:AR0_03215
ko:K16785	cgj:AR0_03220
ko:K02994	cgj:AR0_03240
ko:K02933	cgj:AR0_03245
ko:K02881	cgj:AR0_03250
ko:K02988	cgj:AR0_03255
ko:K02907	cgj:AR0_03260
ko:K02876	cgj:AR0_03265
ko:K01912	cgj:AR0_03275
ko:K02614	cgj:AR0_03285
ko:K02609	cgj:AR0_03290
ko:K02610	cgj:AR0_03295
ko:K02611	cgj:AR0_03300
ko:K02612	cgj:AR0_03305
ko:K02613	cgj:AR0_03310
ko:K00074	cgj:AR0_03330
ko:K02618	cgj:AR0_03340
ko:K04755	cgj:AR0_03365
ko:K03076	cgj:AR0_03395
ko:K00939	cgj:AR0_03400
ko:K01265	cgj:AR0_03405
ko:K02518	cgj:AR0_03415
ko:K02952	cgj:AR0_03420
ko:K02948	cgj:AR0_03425
ko:K02986	cgj:AR0_03430
ko:K03040	cgj:AR0_03435
ko:K02879	cgj:AR0_03440
ko:K06173	cgj:AR0_03445
ko:K00574	cgj:AR0_03470
ko:K14743	cgj:AR0_03480
ko:K03466	cgj:AR0_03490
ko:K02871	cgj:AR0_03510
ko:K02996	cgj:AR0_03515
ko:K03431	cgj:AR0_03520
ko:K01775	cgj:AR0_03545
ko:K06925	cgj:AR0_03550
ko:K07085	cgj:AR0_03555
ko:K03789	cgj:AR0_03570
ko:K01409	cgj:AR0_03575
ko:K04078	cgj:AR0_03590
ko:K04077	cgj:AR0_03595
ko:K03088	cgj:AR0_03605
ko:K00088	cgj:AR0_03620
ko:K00088	cgj:AR0_03625
ko:K11939	cgj:AR0_03630
ko:K01951	cgj:AR0_03640
ko:K14161	cgj:AR0_03685
ko:K06994	cgj:AR0_03725
ko:K13789	cgj:AR0_03730
ko:K03098	cgj:AR0_03740
ko:K01669	cgj:AR0_03750
ko:K02003	cgj:AR0_03765
ko:K02072	cgj:AR0_03770
ko:K02071	cgj:AR0_03775
ko:K02073	cgj:AR0_03780
ko:K14162	cgj:AR0_03785
ko:K09167	cgj:AR0_03790
ko:K08981	cgj:AR0_03795
ko:K03709	cgj:AR0_03800
ko:K12410	cgj:AR0_03810
ko:K02016	cgj:AR0_03820
ko:K03216	cgj:AR0_03825
ko:K01491	cgj:AR0_03830
ko:K07192	cgj:AR0_03840
ko:K00641	cgj:AR0_03855
ko:K01740	cgj:AR0_03860
ko:K06200	cgj:AR0_03865
ko:K01720	cgj:AR0_03875
ko:K03417	cgj:AR0_03880
ko:K00031	cgj:AR0_03910
ko:K02013	cgj:AR0_03920
ko:K02015	cgj:AR0_03925
ko:K02015	cgj:AR0_03930
ko:K02016	cgj:AR0_03935
ko:K01142	cgj:AR0_03945
ko:K02016	cgj:AR0_03960
ko:K02013	cgj:AR0_03965
ko:K02015	cgj:AR0_03970
ko:K01867	cgj:AR0_03975
ko:K07058	cgj:AR0_03980
ko:K07258	cgj:AR0_03990
ko:K00761	cgj:AR0_04010
ko:K01840	cgj:AR0_04020
ko:K00382	cgj:AR0_04030
ko:K01958	cgj:AR0_04035
ko:K01720	cgj:AR0_04060
ko:K03417	cgj:AR0_04065
ko:K11263	cgj:AR0_04090
ko:K01011	cgj:AR0_04095
ko:K06287	cgj:AR0_04115
ko:K01966	cgj:AR0_04125
ko:K01966	cgj:AR0_04130
ko:K03524	cgj:AR0_04135
ko:K01589	cgj:AR0_04145
ko:K03549	cgj:AR0_04150
ko:K01588	cgj:AR0_04160
ko:K00059	cgj:AR0_04180
ko:K02026	cgj:AR0_04205
ko:K02025	cgj:AR0_04210
ko:K02027	cgj:AR0_04220
ko:K10112	cgj:AR0_04225
ko:K16870	cgj:AR0_04280
ko:K00966	cgj:AR0_04285
ko:K01840	cgj:AR0_04305
ko:K01809	cgj:AR0_04315
ko:K01251	cgj:AR0_04330
ko:K00943	cgj:AR0_04335
ko:K07670	cgj:AR0_04340
ko:K07654	cgj:AR0_04345
ko:K03070	cgj:AR0_04365
ko:K06949	cgj:AR0_04385
ko:K00800	cgj:AR0_04390
ko:K03088	cgj:AR0_04405
ko:K03657	cgj:AR0_04450
ko:K10716	cgj:AR0_04455
ko:K03426	cgj:AR0_04460
ko:K03657	cgj:AR0_04465
ko:K07043	cgj:AR0_04475
ko:K07177	cgj:AR0_04485
ko:K09118	cgj:AR0_04500
ko:K00375	cgj:AR0_04505
ko:K06215	cgj:AR0_04510
ko:K08681	cgj:AR0_04515
ko:K05602	cgj:AR0_04535
ko:K02836	cgj:AR0_04545
ko:K09812	cgj:AR0_04550
ko:K09811	cgj:AR0_04555
ko:K03664	cgj:AR0_04560
ko:K02016	cgj:AR0_04590
ko:K02015	cgj:AR0_04595
ko:K02015	cgj:AR0_04600
ko:K02013	cgj:AR0_04605
ko:K14267	cgj:AR0_04625
ko:K10843	cgj:AR0_04635
ko:K03704	cgj:AR0_04655
ko:K06901	cgj:AR0_04675
ko:K00831	cgj:AR0_04695
ko:K01647	cgj:AR0_04700
ko:K01962	cgj:AR0_04710
ko:K01963	cgj:AR0_04710
ko:K14393	cgj:AR0_04720
ko:K11533	cgj:AR0_04735
ko:K01082	cgj:AR0_04785
ko:K03724	cgj:AR0_04790
ko:K05522	cgj:AR0_04795
ko:K03449	cgj:AR0_04815
ko:K01810	cgj:AR0_04820
ko:K04093	cgj:AR0_04830
ko:K03657	cgj:AR0_04835
ko:K02004	cgj:AR0_04840
ko:K02003	cgj:AR0_04845
ko:K11175	cgj:AR0_04865
ko:K00602	cgj:AR0_04870
ko:K01644	cgj:AR0_04875
ko:K02963	cgj:AR0_04890
ko:K02954	cgj:AR0_04895
ko:K02913	cgj:AR0_04900
ko:K02902	cgj:AR0_04905
ko:K03321	cgj:AR0_04910
ko:K02909	cgj:AR0_04920
ko:K02911	cgj:AR0_04925
ko:K07669	cgj:AR0_04930
ko:K07653	cgj:AR0_04935
ko:K08372	cgj:AR0_04940
ko:K03282	cgj:AR0_04950
ko:K01934	cgj:AR0_04960
ko:K00963	cgj:AR0_04965
ko:K03750	cgj:AR0_04970
ko:K03790	cgj:AR0_04975
ko:K03449	cgj:AR0_04985
ko:K15977	cgj:AR0_04990
ko:K07056	cgj:AR0_05010
ko:K01874	cgj:AR0_05020
ko:K03654	cgj:AR0_05025
ko:K03777	cgj:AR0_05065
ko:K03424	cgj:AR0_05095
ko:K02528	cgj:AR0_05105
ko:K00919	cgj:AR0_05110
ko:K00868	cgj:AR0_05120
ko:K06994	cgj:AR0_05175
ko:K01935	cgj:AR0_12555
ko:K02484	cgj:AR0_12560
ko:K08167	cgj:AR0_12585
ko:K06902	cgj:AR0_12595
ko:K01903	cgj:AR0_12330
ko:K04077	cgj:AR0_13180
ko:K05565	cgj:AR0_13245
ko:K05567	cgj:AR0_13250
ko:K05568	cgj:AR0_13255
ko:K05569	cgj:AR0_13260
ko:K05570	cgj:AR0_13265
ko:K05571	cgj:AR0_13270
ko:K06048	cgj:AR0_13280
ko:K01462	cgj:AR0_13295
ko:K01142	cgj:AR0_13305
ko:K06131	cgj:AR0_13310
ko:K07552	cgj:AR0_13315
ko:K14683	cgj:AR0_13320
ko:K04564	cgj:AR0_14215
ko:K08224	cgj:AR0_14225
ko:K07146	cgj:AR0_14265
ko:K03217	cgj:AR0_14280
ko:K06177	cgj:AR0_14310
ko:K03671	cgj:AR0_14395
ko:K08369	cgj:AR0_14405
ko:K02939	cgj:AR0_14430
ko:K02990	cgj:AR0_14440
ko:K07146	cgj:AR0_14490
ko:K02004	cgj:AR0_14495
ko:K02003	cgj:AR0_14500
ko:K02005	cgj:AR0_14505
ko:K01858	cgj:AR0_14510
ko:K02013	cgj:AR0_11725
ko:K06886	cgj:AR0_11730
ko:K07240	cgj:AR0_11735
ko:K07107	cgj:AR0_11745
ko:K02351	cgj:AR0_11765
ko:K07245	cgj:AR0_11765
ko:K01077	cgj:AR0_11775
ko:K10119	cgj:AR0_11795
ko:K10118	cgj:AR0_11800
ko:K10117	cgj:AR0_11805
ko:K10112	cgj:AR0_11815
ko:K00721	cgj:AR0_11820
ko:K06898	cgj:AR0_11845
ko:K09121	cgj:AR0_11850
ko:K01739	cgj:AR0_11720
ko:K04047	cgj:AR0_14530
ko:K14415	cgj:AR0_14540
ko:K00567	cgj:AR0_14550
ko:K00027	cgj:AR0_14565
ko:K00851	cgj:AR0_14570
ko:K00285	cgj:AR0_14590
ko:K09019	cgj:AR0_14605
ko:K01869	cgj:AR0_14615
ko:K07124	cgj:AR0_11875
ko:K13288	cgj:AR0_11880
ko:K07214	cgj:AR0_11885
ko:K01425	cgj:AR0_11935
ko:K02529	cgj:AR0_11940
ko:K01812	cgj:AR0_11950
ko:K00851	cgj:AR0_11955
ko:K08281	cgj:AR0_11965
ko:K02553	cgj:AR0_05180
ko:K02837	cgj:AR0_05200
ko:K11959	cgj:AR0_05205
ko:K11960	cgj:AR0_05210
ko:K11961	cgj:AR0_05215
ko:K11962	cgj:AR0_05220
ko:K11963	cgj:AR0_05225
ko:K01056	cgj:AR0_05230
ko:K00459	cgj:AR0_05235
ko:K00134	cgj:AR0_05240
ko:K01056	cgj:AR0_05245
ko:K02897	cgj:AR0_05250
ko:K07032	cgj:AR0_05255
ko:K00948	cgj:AR0_05265
ko:K04042	cgj:AR0_05270
ko:K01990	cgj:AR0_05285
ko:K01992	cgj:AR0_05290
ko:K07778	cgj:AR0_05295
ko:K07693	cgj:AR0_05300
ko:K07058	cgj:AR0_05310
ko:K00681	cgj:AR0_05325
ko:K03723	cgj:AR0_05345
ko:K03758	cgj:AR0_05370
ko:K02428	cgj:AR0_05380
ko:K01689	cgj:AR0_05400
ko:K09009	cgj:AR0_05410
ko:K01524	cgj:AR0_05415
ko:K02469	cgj:AR0_00060
ko:K02313	cgj:AR0_00005
ko:K02338	cgj:AR0_00010
ko:K03629	cgj:AR0_00015
ko:K02470	cgj:AR0_00025
ko:K07316	cgj:AR0_05070
ko:K01990	cgj:AR0_01290
ko:K01992	cgj:AR0_01295
ko:K21686	cgj:AR0_04080
ko:K14225	cgj:AR0_08870
ko:K14225	cgj:AR0_08895
ko:K14225	cgj:AR0_08885
ko:K18955	cgj:AR0_01695
ko:K18955	cgj:AR0_03600
ko:K08322	cgj:AR0_12615
ko:K02013	cgj:AR0_13805
ko:K03497	cgj:AR0_14975
ko:K03496	cgj:AR0_14980
ko:K03496	cgj:AR0_15035
ko:K01856	cgj:AR0_11500
ko:K03111	cgj:AR0_14435
ko:K03111	cgj:AR0_11760
ko:K07316	cgj:AR0_10550
ko:K18955	cgj:AR0_04410
ko:K18833	cgj:AR0_13455
ko:K14218	cgj:AR0_12190
ko:K00529	cgj:AR0_13135
ko:K09692	cgj:AR0_02250
ko:K14219	cgj:AR0_01400
ko:K14219	cgj:AR0_01415
ko:K14222	cgj:AR0_08880
ko:K06147	cgj:AR0_05355
ko:K06147	cgj:AR0_06150
ko:K03496	cgj:AR0_07640
ko:K18320	cgj:AR0_00365
ko:K18320	cgj:AR0_00415
ko:K18320	cgj:AR0_00445
ko:K18320	cgj:AR0_00465
ko:K18320	cgj:AR0_00505
ko:K07483	cgj:AR0_02285
ko:K07483	cgj:AR0_02315
ko:K07483	cgj:AR0_13115
ko:K07483	cgj:AR0_11855
ko:K07483	cgj:AR0_07210
ko:K03526	cgj:AR0_09505
ko:K07816	cgj:AR0_06375
ko:K01046	cgj:AR0_00700
ko:K00067	cgj:AR0_02035
ko:K01790	cgj:AR0_02035
ko:K01659	cgj:AR0_03885
ko:K00384	cgj:AR0_04055
ko:K07746	cgj:AR0_05680
ko:K16783	cgj:AR0_09245
ko:K01046	cgj:AR0_00705
ko:K10563	cgj:AR0_14535
ko:K00798	cgj:AR0_12290
ko:K01239	cgj:AR0_07345
ko:K02021	cgj:AR0_05315
ko:K03293	cgj:AR0_06265
ko:K01710	cgj:AR0_02040
ko:K02032	cgj:AR0_12880
ko:K01239	cgj:AR0_13750
ko:K00135	cgj:AR0_13155
ko:K01239	cgj:AR0_09325
ko:K01066	cgj:AR0_06310
ko:K01066	cgj:AR0_00890
ko:K19265	cgj:AR0_06805
ko:K03722	cgj:AR0_12100
ko:K01990	cgj:AR0_13335
ko:K16164	cgj:AR0_14635
ko:K19302	cgj:AR0_14010
ko:K01992	cgj:AR0_07815
ko:K07494	cgj:AR0_12010
ko:K19267	cgj:AR0_07385
ko:K00526	cgj:AR0_12125
ko:K07496	cgj:AR0_15065
ko:K06867	cgj:AR0_11230
ko:K07149	cgj:AR0_00035
ko:K02475	cgj:AR0_00635
ko:K06867	cgj:AR0_10970
ko:K02483	cgj:AR0_12915
ko:K01992	cgj:AR0_13330
ko:K02476	cgj:AR0_00630
ko:K06881	cgj:AR0_09355
ko:K19577	cgj:AR0_03940
ko:K11991	cgj:AR0_01430
ko:K19710	cgj:AR0_08845
ko:K00666	cgj:AR0_01720
ko:K14226	cgj:AR0_11780
ko:K00344	cgj:AR0_08375
ko:K09796	cgj:AR0_08860
ko:K12132	cgj:AR0_00245
ko:K12132	cgj:AR0_10335
ko:K12132	cgj:AR0_00250
ko:K20074	cgj:AR0_00265
ko:K20468	cgj:AR0_13925
ko:K20470	cgj:AR0_13920
ko:K14225	cgj:AR0_11580
ko:K01214	cgj:AR0_10005
ko:K14224	cgj:AR0_06980
ko:K14224	cgj:AR0_07000
ko:K14224	cgj:AR0_06990
ko:K20814	cgj:AR0_08015
ko:K00525	cgj:AR0_12150
ko:K21071	cgj:AR0_06750
ko:K01768	cgj:AR0_01855
ko:K13877	cgj:AR0_02810
ko:K00821	cgj:AR0_07510
ko:K21147	cgj:AR0_01340
ko:K21147	cgj:AR0_09640
ko:K14225	cgj:AR0_13830
ko:K06223	cgj:AR0_01900
ko:K00287	cgj:AR0_04775
ko:K00560	cgj:AR0_04780
ko:K02335	cgj:AR0_07285
ko:K02316	cgj:AR0_10840
ko:K06191	cgj:AR0_12160
ko:K06217	cgj:AR0_10940
ko:K02314	cgj:AR0_14425
ko:K01520	cgj:AR0_08965
ko:K03553	cgj:AR0_09220
ko:K03465	cgj:AR0_09300
ko:K07465	cgj:AR0_08035
ko:K02021	cgj:AR0_08155
ko:K01436	cgj:AR0_04025
ko:K22468	cgj:AR0_05140
ko:K03636	cgj:AR0_01375
ko:K21481	cgj:AR0_12980
ko:K21473	cgj:AR0_08230
ko:K21480	cgj:AR0_10620
ko:K21471	cgj:AR0_10395
ko:K05364	cgj:AR0_00255
ko:K21401	cgj:AR0_02910
ko:K21481	cgj:AR0_14485
ko:K21498	cgj:AR0_14625
ko:K21564	cgj:AR0_06360
ko:K21600	cgj:AR0_02480
ko:K21498	cgj:AR0_08040
ko:K10914	cgj:AR0_01755
ko:K21685	cgj:AR0_12295
ko:K14234	cgj:AR0_01865
ko:K14228	cgj:AR0_12020
ko:K21885	cgj:AR0_05085
ko:K14228	cgj:AR0_08165
ko:K14228	cgj:AR0_08160
ko:K21962	cgj:AR0_08245
ko:K14219	cgj:AR0_06385
ko:K22044	cgj:AR0_06845
ko:K14224	cgj:AR0_12340
ko:K14220	cgj:AR0_10820
ko:K14220	cgj:AR0_10825
ko:K22131	cgj:AR0_11870
ko:K01816	cgj:AR0_10015
ko:K03595	cgj:AR0_10925
ko:K14235	cgj:AR0_02940
ko:K14233	cgj:AR0_01395
ko:K14223	cgj:AR0_06975
ko:K14223	cgj:AR0_06985
ko:K14236	cgj:AR0_02920
ko:K14219	cgj:AR0_11770
ko:K03892	cgj:AR0_01600
ko:K03892	cgj:AR0_02775
ko:K14228	cgj:AR0_00280
ko:K14233	cgj:AR0_01315
ko:K14233	cgj:AR0_01440
ko:K14233	cgj:AR0_01485
ko:K14232	cgj:AR0_01675
ko:K22270	cgj:AR0_14655
ko:K14219	cgj:AR0_04760
ko:K14232	cgj:AR0_07720
ko:K14237	cgj:AR0_10695
ko:K14230	cgj:AR0_10810
ko:K14234	cgj:AR0_02925
ko:K14234	cgj:AR0_02930
ko:K14228	cgj:AR0_05420
ko:K14232	cgj:AR0_11560
ko:K14229	cgj:AR0_11895
ko:K14229	cgj:AR0_11900
ko:K14229	cgj:AR0_12355
ko:K14234	cgj:AR0_12735
ko:K17758	cgj:AR0_03580
ko:K17759	cgj:AR0_03580
ko:K22316	cgj:AR0_10665
ko:K22306	cgj:AR0_11255
ko:K02257	cgj:AR0_08380
ko:K22311	cgj:AR0_08835
ko:K11206	cgj:AR0_13525
ko:K22476	cgj:AR0_13300
ko:K00728	cgj:AR0_05005
ko:K22468	cgj:AR0_13165
ko:K08300	cgj:AR0_11325
ko:K08301	cgj:AR0_11325
ko:K07566	cgj:AR0_06520
ko:K01007	cgj:AR0_03375
