ko:K01006	sagl:GBS222_1396
ko:K07025	sagl:GBS222_0624
ko:K03976	sagl:GBS222_0626
ko:K07273	sagl:GBS222_0628
ko:K01834	sagl:GBS222_0637
ko:K02238	sagl:GBS222_0655
ko:K03299	sagl:GBS222_0667
ko:K02564	sagl:GBS222_0672
ko:K15051	sagl:GBS222_0739
ko:K07054	sagl:GBS222_0743
ko:K16899	sagl:GBS222_0744
ko:K07009	sagl:GBS222_0754
ko:K09952	sagl:GBS222_0765
ko:K07305	sagl:GBS222_0776
ko:K03177	sagl:GBS222_0841
ko:K07052	sagl:GBS222_0845
ko:K02004	sagl:GBS222_0846
ko:K01835	sagl:GBS222_0892
ko:K05020	sagl:GBS222_0953
ko:K00135	sagl:GBS222_0954
ko:K07729	sagl:GBS222_0958
ko:K02824	sagl:GBS222_0974
ko:K02004	sagl:GBS222_1112
ko:K07584	sagl:GBS222_1122
ko:K00383	sagl:GBS222_1128
ko:K05337	sagl:GBS222_1140
ko:K01258	sagl:GBS222_1142
ko:K05362	sagl:GBS222_1144
ko:K15986	sagl:GBS222_1150
ko:K03699	sagl:GBS222_1152
ko:K10947	sagl:GBS222_0025
ko:K02236	sagl:GBS222_0447
ko:K03697	sagl:GBS222_0466
ko:K02028	sagl:GBS222_0469
ko:K12554	sagl:GBS222_0485
ko:K05363	sagl:GBS222_0486
ko:K07393	sagl:GBS222_0673
ko:K06183	sagl:GBS222_0674
ko:K06198	sagl:GBS222_0676
ko:K07533	sagl:GBS222_0680
ko:K07729	sagl:GBS222_0686
ko:K11189	sagl:GBS222_0692
ko:K08483	sagl:GBS222_0693
ko:K12556	sagl:GBS222_0049
ko:K02030	sagl:GBS222_0052
ko:K02028	sagl:GBS222_0054
ko:K01916	sagl:GBS222_0058
ko:K01372	sagl:GBS222_0059
ko:K03700	sagl:GBS222_0061
ko:K11617	sagl:GBS222_0081
ko:K11618	sagl:GBS222_0082
ko:K03768	sagl:GBS222_0083
ko:K07570	sagl:GBS222_0084
ko:K02240	sagl:GBS222_0093
ko:K00700	sagl:GBS222_0724
ko:K02028	sagl:GBS222_0791
ko:K02030	sagl:GBS222_0792
ko:K00867	sagl:GBS222_0796
ko:K00564	sagl:GBS222_0797
ko:K00016	sagl:GBS222_0803
ko:K08234	sagl:GBS222_0806
ko:K02004	sagl:GBS222_0817
ko:K09787	sagl:GBS222_0826
ko:K14982	sagl:GBS222_0827
ko:K14983	sagl:GBS222_0828
ko:K01092	sagl:GBS222_0837
ko:K16509	sagl:GBS222_0839
ko:K07816	sagl:GBS222_0918
ko:K11069	sagl:GBS222_0939
ko:K11071	sagl:GBS222_0941
ko:K11072	sagl:GBS222_0942
ko:K01104	sagl:GBS222_1004
ko:K03930	sagl:GBS222_1014
ko:K05832	sagl:GBS222_1017
ko:K01989	sagl:GBS222_1018
ko:K03574	sagl:GBS222_1025
ko:K01727	sagl:GBS222_1026
ko:K02086	sagl:GBS222_1033
ko:K00784	sagl:GBS222_1038
ko:K09153	sagl:GBS222_1170
ko:K12997	sagl:GBS222_1172
ko:K12996	sagl:GBS222_1173
ko:K02030	sagl:GBS222_1181
ko:K15770	sagl:GBS222_1190
ko:K03574	sagl:GBS222_1196
ko:K12270	sagl:GBS222_1201
ko:K12269	sagl:GBS222_1202
ko:K12268	sagl:GBS222_1203
ko:K03342	sagl:GBS222_1266
ko:K03709	sagl:GBS222_1272
ko:K01243	sagl:GBS222_1273
ko:K01515	sagl:GBS222_1275
ko:K04750	sagl:GBS222_1277
ko:K00059	sagl:GBS222_1282
ko:K00567	sagl:GBS222_1299
ko:K00058	sagl:GBS222_1300
ko:K06201	sagl:GBS222_1303
ko:K04767	sagl:GBS222_1308
ko:K01439	sagl:GBS222_1370
ko:K02030	sagl:GBS222_1372
ko:K06948	sagl:GBS222_1390
ko:K02433	sagl:GBS222_1394
ko:K01424	sagl:GBS222_1405
ko:K02808	sagl:GBS222_1416
ko:K02809	sagl:GBS222_1416
ko:K02810	sagl:GBS222_1416
ko:K01409	sagl:GBS222_1478
ko:K03713	sagl:GBS222_1485
ko:K09685	sagl:GBS222_1493
ko:K03698	sagl:GBS222_1494
ko:K00949	sagl:GBS222_1496
ko:K03476	sagl:GBS222_1520
ko:K03493	sagl:GBS222_1521
ko:K03574	sagl:GBS222_1635
ko:K07729	sagl:GBS222_1639
ko:K12555	sagl:GBS222_1672
ko:K01619	sagl:GBS222_1676
ko:K03317	sagl:GBS222_1677
ko:K05833	sagl:GBS222_1683
ko:K05832	sagl:GBS222_1684
ko:K01989	sagl:GBS222_1685
ko:K07104	sagl:GBS222_1687
ko:K02371	sagl:GBS222_0102
ko:K00059	sagl:GBS222_0104
ko:K02795	sagl:GBS222_0116
ko:K02793	sagl:GBS222_0117
ko:K02794	sagl:GBS222_0117
ko:K09825	sagl:GBS222_0146
ko:K01934	sagl:GBS222_0157
ko:K06346	sagl:GBS222_0164
ko:K00841	sagl:GBS222_0167
ko:K07052	sagl:GBS222_0171
ko:K01788	sagl:GBS222_0183
ko:K16923	sagl:GBS222_0504
ko:K09762	sagl:GBS222_0509
ko:K09815	sagl:GBS222_0511
ko:K01488	sagl:GBS222_0514
ko:K04516	sagl:GBS222_0516
ko:K06286	sagl:GBS222_0522
ko:K01992	sagl:GBS222_0542
ko:K04086	sagl:GBS222_1060
ko:K00547	sagl:GBS222_1061
ko:K01641	sagl:GBS222_1070
ko:K00054	sagl:GBS222_1071
ko:K01823	sagl:GBS222_1077
ko:K00938	sagl:GBS222_1078
ko:K01597	sagl:GBS222_1079
ko:K00869	sagl:GBS222_1080
ko:K00974	sagl:GBS222_1094
ko:K00882	sagl:GBS222_1100
ko:K03436	sagl:GBS222_1101
ko:K07035	sagl:GBS222_1105
ko:K02029	sagl:GBS222_1215
ko:K02030	sagl:GBS222_1215
ko:K02028	sagl:GBS222_1216
ko:K06183	sagl:GBS222_1223
ko:K01759	sagl:GBS222_1226
ko:K12999	sagl:GBS222_1227
ko:K10563	sagl:GBS222_1236
ko:K10254	sagl:GBS222_1249
ko:K07304	sagl:GBS222_1251
ko:K03294	sagl:GBS222_1319
ko:K03499	sagl:GBS222_1320
ko:K03498	sagl:GBS222_1321
ko:K02428	sagl:GBS222_1331
ko:K09976	sagl:GBS222_1333
ko:K16788	sagl:GBS222_1334
ko:K07105	sagl:GBS222_1335
ko:K11144	sagl:GBS222_1351
ko:K03346	sagl:GBS222_1352
ko:K03499	sagl:GBS222_1361
ko:K16924	sagl:GBS222_1364
ko:K01262	sagl:GBS222_1427
ko:K03471	sagl:GBS222_1443
ko:K01281	sagl:GBS222_1457
ko:K00805	sagl:GBS222_1459
ko:K16012	sagl:GBS222_1460
ko:K16013	sagl:GBS222_1461
ko:K02342	sagl:GBS222_1472
ko:K00616	sagl:GBS222_1529
ko:K02821	sagl:GBS222_1533
ko:K02822	sagl:GBS222_1534
ko:K03475	sagl:GBS222_1535
ko:K03708	sagl:GBS222_1549
ko:K03386	sagl:GBS222_1553
ko:K07386	sagl:GBS222_1558
ko:K08152	sagl:GBS222_1703
ko:K05845	sagl:GBS222_1722
ko:K05846	sagl:GBS222_1722
ko:K05595	sagl:GBS222_1735
ko:K01639	sagl:GBS222_0189
ko:K01104	sagl:GBS222_0201
ko:K00939	sagl:GBS222_0230
ko:K01784	sagl:GBS222_1583
ko:K01635	sagl:GBS222_1588
ko:K00917	sagl:GBS222_1589
ko:K01819	sagl:GBS222_1590
ko:K01819	sagl:GBS222_1591
ko:K02530	sagl:GBS222_1596
ko:K09815	sagl:GBS222_1598
ko:K03647	sagl:GBS222_1602
ko:K07720	sagl:GBS222_1606
ko:K02795	sagl:GBS222_1609
ko:K02793	sagl:GBS222_1611
ko:K07706	sagl:GBS222_1618
ko:K07658	sagl:GBS222_1623
ko:K16787	sagl:GBS222_1742
ko:K16786	sagl:GBS222_1743
ko:K00088	sagl:GBS222_1751
ko:K01478	sagl:GBS222_1755
ko:K12296	sagl:GBS222_0242
ko:K03048	sagl:GBS222_0257
ko:K06889	sagl:GBS222_0259
ko:K09698	sagl:GBS222_0264
ko:K10439	sagl:GBS222_0265
ko:K10440	sagl:GBS222_0266
ko:K00852	sagl:GBS222_0269
ko:K02004	sagl:GBS222_0271
ko:K07030	sagl:GBS222_0281
ko:K17076	sagl:GBS222_0284
ko:K17073	sagl:GBS222_0285
ko:K17074	sagl:GBS222_0285
ko:K04488	sagl:GBS222_0293
ko:K07258	sagl:GBS222_0296
ko:K15582	sagl:GBS222_0299
ko:K15583	sagl:GBS222_0300
ko:K10823	sagl:GBS222_0301
ko:K15051	sagl:GBS222_0306
ko:K03693	sagl:GBS222_0308
ko:K02243	sagl:GBS222_0312
ko:K02248	sagl:GBS222_0314
ko:K07729	sagl:GBS222_0318
ko:K01261	sagl:GBS222_0322
ko:K02035	sagl:GBS222_0334
ko:K02033	sagl:GBS222_0335
ko:K07271	sagl:GBS222_1168
ko:K14220	sagl:GBS222_t66
ko:K01990	sagl:GBS222_0541
ko:K10112	sagl:GBS222_1585
ko:K14225	sagl:GBS222_t11
ko:K14236	sagl:GBS222_t15
ko:K14236	sagl:GBS222_t47
ko:K14221	sagl:GBS222_t25
ko:K14229	sagl:GBS222_t26
ko:K14228	sagl:GBS222_t27
ko:K14220	sagl:GBS222_t54
ko:K14236	sagl:GBS222_t69
ko:K01992	sagl:GBS222_0069
ko:K14228	sagl:GBS222_t30
ko:K14225	sagl:GBS222_t29
ko:K14230	sagl:GBS222_t33
ko:K14224	sagl:GBS222_t65
ko:K14224	sagl:GBS222_t68
ko:K14223	sagl:GBS222_t67
ko:K14223	sagl:GBS222_t70
ko:K14228	sagl:GBS222_t52
ko:K14234	sagl:GBS222_t60
ko:K14219	sagl:GBS222_t61
ko:K14219	sagl:GBS222_t71
ko:K14229	sagl:GBS222_t63
ko:K14233	sagl:GBS222_t22
ko:K01985	sagl:GBS222_r03
ko:K01985	sagl:GBS222_r17
ko:K01985	sagl:GBS222_r06
ko:K01985	sagl:GBS222_r14
ko:K01985	sagl:GBS222_r09
ko:K14237	sagl:GBS222_t44
ko:K14237	sagl:GBS222_t10
ko:K14237	sagl:GBS222_t02
ko:K14237	sagl:GBS222_t56
ko:K14237	sagl:GBS222_t24
ko:K14231	sagl:GBS222_t08
ko:K01980	sagl:GBS222_r02
ko:K01980	sagl:GBS222_r11
ko:K01980	sagl:GBS222_r16
ko:K01980	sagl:GBS222_r13
ko:K01980	sagl:GBS222_r05
ko:K17686	sagl:GBS222_0140
ko:K00131	sagl:GBS222_0694
ko:K01101	sagl:GBS222_0763
ko:K02027	sagl:GBS222_0406
ko:K00226	sagl:GBS222_0484
ko:K03767	sagl:GBS222_1268
ko:K01658	sagl:GBS222_0440
ko:K07284	sagl:GBS222_0805
ko:K02026	sagl:GBS222_0186
ko:K02026	sagl:GBS222_0408
ko:K02027	sagl:GBS222_0184
ko:K01467	sagl:GBS222_0012
ko:K00537	sagl:GBS222_1009
ko:K00661	sagl:GBS222_0854
ko:K12574	sagl:GBS222_1015
ko:K01071	sagl:GBS222_0762
ko:K02614	sagl:GBS222_0973
ko:K03366	sagl:GBS222_0500
ko:K02794	sagl:GBS222_1610
ko:K00600	sagl:GBS222_0536
ko:K18369	sagl:GBS222_1367
ko:K07260	sagl:GBS222_0244
ko:K02032	sagl:GBS222_0338
ko:K03742	sagl:GBS222_1700
ko:K18474	sagl:GBS222_0098
ko:K02001	sagl:GBS222_1517
ko:K02002	sagl:GBS222_1517
ko:K02031	sagl:GBS222_0337
ko:K07705	sagl:GBS222_0331
ko:K00983	sagl:GBS222_0990
ko:K18682	sagl:GBS222_0067
ko:K18672	sagl:GBS222_0756
ko:K18692	sagl:GBS222_0051
ko:K07012	sagl:GBS222_0420
ko:K18888	sagl:GBS222_1090
ko:K01980	sagl:GBS222_r08
ko:K18887	sagl:GBS222_1091
ko:K03111	sagl:GBS222_0328
ko:K05593	sagl:GBS222_1645
ko:K03111	sagl:GBS222_1434
ko:K03497	sagl:GBS222_1767
ko:K07029	sagl:GBS222_0722
ko:K19002	sagl:GBS222_0584
ko:K19055	sagl:GBS222_1284
ko:K18979	sagl:GBS222_0494
ko:K13052	sagl:GBS222_0010
ko:K19005	sagl:GBS222_1134
ko:K19119	sagl:GBS222_0421
ko:K08652	sagl:GBS222_0377
ko:K02475	sagl:GBS222_1582
ko:K09951	sagl:GBS222_0424
ko:K01897	sagl:GBS222_0445
ko:K01239	sagl:GBS222_0505
ko:K01710	sagl:GBS222_1027
ko:K05881	sagl:GBS222_1378
ko:K09951	sagl:GBS222_0767
ko:K03722	sagl:GBS222_0501
ko:K01992	sagl:GBS222_0022
ko:K19302	sagl:GBS222_1155
ko:K06881	sagl:GBS222_0513
ko:K01654	sagl:GBS222_0993
ko:K02796	sagl:GBS222_1608
ko:K00887	sagl:GBS222_1243
ko:K02796	sagl:GBS222_0115
ko:K01271	sagl:GBS222_0580
ko:K00526	sagl:GBS222_0689
ko:K21636	sagl:GBS222_1692
ko:K11706	sagl:GBS222_1270
ko:K20074	sagl:GBS222_0078
ko:K12132	sagl:GBS222_0079
ko:K20073	sagl:GBS222_0065
ko:K20112	sagl:GBS222_1595
ko:K02777	sagl:GBS222_1621
ko:K20107	sagl:GBS222_1621
ko:K20108	sagl:GBS222_1621
ko:K20342	sagl:GBS222_0199
ko:K20343	sagl:GBS222_1617
ko:K20373	sagl:GBS222_1237
ko:K00525	sagl:GBS222_0690
ko:K00526	sagl:GBS222_0379
ko:K20344	sagl:GBS222_1616
ko:K18889	sagl:GBS222_0438
ko:K18890	sagl:GBS222_0439
ko:K12990	sagl:GBS222_1161
ko:K02525	sagl:GBS222_1528
ko:K01200	sagl:GBS222_0723
ko:K21064	sagl:GBS222_0118
ko:K08968	sagl:GBS222_0698
ko:K00525	sagl:GBS222_0381
ko:K01520	sagl:GBS222_0260
ko:K01286	sagl:GBS222_0295
ko:K06191	sagl:GBS222_0691
ko:K00857	sagl:GBS222_0902
ko:K02316	sagl:GBS222_1177
ko:K00287	sagl:GBS222_1068
ko:K00560	sagl:GBS222_1069
ko:K06217	sagl:GBS222_1248
ko:K01493	sagl:GBS222_1426
ko:K04068	sagl:GBS222_1689
ko:K03553	sagl:GBS222_1699
ko:K02314	sagl:GBS222_1731
ko:K02335	sagl:GBS222_0144
ko:K00571	sagl:GBS222_0316
ko:K01759	sagl:GBS222_1278
ko:K21471	sagl:GBS222_0165
ko:K21567	sagl:GBS222_1106
ko:K21828	sagl:GBS222_1753
ko:K21977	sagl:GBS222_0889
ko:K22044	sagl:GBS222_0255
ko:K00015	sagl:GBS222_1526
ko:K03595	sagl:GBS222_1242
ko:K03078	sagl:GBS222_1532
ko:K22278	sagl:GBS222_0695
ko:K17758	sagl:GBS222_0472
ko:K03077	sagl:GBS222_1530
ko:K03079	sagl:GBS222_1531
ko:K22457	sagl:GBS222_0502
