ko:K02028	ssw:SSGZ1_0443
ko:K03885	ssw:SSGZ1_1583
ko:K01879	ssw:SSGZ1_1591
ko:K01878	ssw:SSGZ1_1592
ko:K02072	ssw:SSGZ1_1595
ko:K02071	ssw:SSGZ1_1596
ko:K10716	ssw:SSGZ1_0975
ko:K10040	ssw:SSGZ1_1210
ko:K01834	ssw:SSGZ1_1471
ko:K03436	ssw:SSGZ1_0803
ko:K00882	ssw:SSGZ1_0804
ko:K00974	ssw:SSGZ1_0809
ko:K07586	ssw:SSGZ1_0395
ko:K02795	ssw:SSGZ1_0401
ko:K02793	ssw:SSGZ1_0403
ko:K01785	ssw:SSGZ1_0404
ko:K00657	ssw:SSGZ1_0436
ko:K03697	ssw:SSGZ1_0440
ko:K07192	ssw:SSGZ1_1292
ko:K07009	ssw:SSGZ1_1309
ko:K03930	ssw:SSGZ1_1315
ko:K05833	ssw:SSGZ1_1319
ko:K05832	ssw:SSGZ1_1320
ko:K01989	ssw:SSGZ1_1321
ko:K02755	ssw:SSGZ1_1323
ko:K02756	ssw:SSGZ1_1323
ko:K02757	ssw:SSGZ1_1323
ko:K03488	ssw:SSGZ1_1324
ko:K07404	ssw:SSGZ1_1329
ko:K07025	ssw:SSGZ1_1332
ko:K06286	ssw:SSGZ1_1344
ko:K09787	ssw:SSGZ1_0843
ko:K07030	ssw:SSGZ1_1677
ko:K02033	ssw:SSGZ1_1681
ko:K07258	ssw:SSGZ1_1685
ko:K04488	ssw:SSGZ1_1688
ko:K07720	ssw:SSGZ1_1723
ko:K00845	ssw:SSGZ1_0812
ko:K16511	ssw:SSGZ1_1693
ko:K04086	ssw:SSGZ1_0348
ko:K07032	ssw:SSGZ1_0361
ko:K03700	ssw:SSGZ1_0367
ko:K11617	ssw:SSGZ1_0383
ko:K11618	ssw:SSGZ1_0384
ko:K03768	ssw:SSGZ1_0385
ko:K07570	ssw:SSGZ1_0386
ko:K02240	ssw:SSGZ1_0389
ko:K02242	ssw:SSGZ1_0390
ko:K10563	ssw:SSGZ1_1239
ko:K01788	ssw:SSGZ1_1245
ko:K11031	ssw:SSGZ1_1246
ko:K07025	ssw:SSGZ1_1247
ko:K01784	ssw:SSGZ1_1271
ko:K03784	ssw:SSGZ1_1280
ko:K03783	ssw:SSGZ1_1281
ko:K03499	ssw:SSGZ1_1587
ko:K02793	ssw:SSGZ1_1603
ko:K02794	ssw:SSGZ1_1603
ko:K02795	ssw:SSGZ1_1604
ko:K07052	ssw:SSGZ1_1613
ko:K07025	ssw:SSGZ1_0732
ko:K04750	ssw:SSGZ1_0736
ko:K12556	ssw:SSGZ1_1569
ko:K07729	ssw:SSGZ1_1572
ko:K00805	ssw:SSGZ1_1582
ko:K03498	ssw:SSGZ1_1586
ko:K01739	ssw:SSGZ1_1393
ko:K03976	ssw:SSGZ1_0511
ko:K08974	ssw:SSGZ1_0512
ko:K07273	ssw:SSGZ1_0514
ko:K01488	ssw:SSGZ1_0529
ko:K01104	ssw:SSGZ1_0558
ko:K12996	ssw:SSGZ1_0560
ko:K01243	ssw:SSGZ1_1412
ko:K01515	ssw:SSGZ1_1414
ko:K00059	ssw:SSGZ1_1418
ko:K07491	ssw:SSGZ1_1423
ko:K02004	ssw:SSGZ1_1424
ko:K05845	ssw:SSGZ1_1431
ko:K05846	ssw:SSGZ1_1431
ko:K06023	ssw:SSGZ1_1437
ko:K03095	ssw:SSGZ1_1443
ko:K11072	ssw:SSGZ1_0788
ko:K11071	ssw:SSGZ1_0789
ko:K11069	ssw:SSGZ1_0791
ko:K01361	ssw:SSGZ1_0794
ko:K00059	ssw:SSGZ1_1623
ko:K02371	ssw:SSGZ1_1625
ko:K02808	ssw:SSGZ1_1638
ko:K02809	ssw:SSGZ1_1638
ko:K02810	ssw:SSGZ1_1638
ko:K01262	ssw:SSGZ1_1644
ko:K01992	ssw:SSGZ1_1670
ko:K00383	ssw:SSGZ1_0460
ko:K02005	ssw:SSGZ1_0461
ko:K02004	ssw:SSGZ1_0463
ko:K04516	ssw:SSGZ1_1370
ko:K01081	ssw:SSGZ1_1372
ko:K04518	ssw:SSGZ1_0593
ko:K04518	ssw:SSGZ1_0594
ko:K01854	ssw:SSGZ1_0598
ko:K09762	ssw:SSGZ1_0613
ko:K01478	ssw:SSGZ1_0615
ko:K12373	ssw:SSGZ1_0621
ko:K02564	ssw:SSGZ1_0625
ko:K00626	ssw:SSGZ1_1472
ko:K01641	ssw:SSGZ1_1473
ko:K00054	ssw:SSGZ1_1474
ko:K01759	ssw:SSGZ1_1469
ko:K07054	ssw:SSGZ1_1488
ko:K15986	ssw:SSGZ1_1497
ko:K02236	ssw:SSGZ1_1503
ko:K01916	ssw:SSGZ1_1505
ko:K07177	ssw:SSGZ1_1509
ko:K07393	ssw:SSGZ1_0634
ko:K06183	ssw:SSGZ1_0635
ko:K05362	ssw:SSGZ1_0642
ko:K02238	ssw:SSGZ1_0645
ko:K04767	ssw:SSGZ1_0647
ko:K00058	ssw:SSGZ1_0657
ko:K00567	ssw:SSGZ1_0658
ko:K03294	ssw:SSGZ1_0663
ko:K07052	ssw:SSGZ1_0666
ko:K07316	ssw:SSGZ1_0672
ko:K01156	ssw:SSGZ1_0673
ko:K07491	ssw:SSGZ1_0674
ko:K01835	ssw:SSGZ1_0675
ko:K01104	ssw:SSGZ1_1521
ko:K02428	ssw:SSGZ1_1536
ko:K09976	ssw:SSGZ1_1538
ko:K01372	ssw:SSGZ1_1540
ko:K11144	ssw:SSGZ1_1556
ko:K03346	ssw:SSGZ1_1557
ko:K00033	ssw:SSGZ1_1562
ko:K02822	ssw:SSGZ1_0173
ko:K03475	ssw:SSGZ1_0174
ko:K01281	ssw:SSGZ1_0184
ko:K07457	ssw:SSGZ1_0192
ko:K02050	ssw:SSGZ1_0198
ko:K02049	ssw:SSGZ1_0199
ko:K03471	ssw:SSGZ1_0207
ko:K01226	ssw:SSGZ1_0211
ko:K02817	ssw:SSGZ1_0212
ko:K02818	ssw:SSGZ1_0212
ko:K02819	ssw:SSGZ1_0212
ko:K03486	ssw:SSGZ1_0213
ko:K02745	ssw:SSGZ1_1075
ko:K02744	ssw:SSGZ1_1077
ko:K00046	ssw:SSGZ1_1081
ko:K07052	ssw:SSGZ1_1083
ko:K07052	ssw:SSGZ1_1085
ko:K07729	ssw:SSGZ1_1088
ko:K07533	ssw:SSGZ1_1096
ko:K06198	ssw:SSGZ1_1102
ko:K05833	ssw:SSGZ1_1109
ko:K05832	ssw:SSGZ1_1110
ko:K01635	ssw:SSGZ1_1113
ko:K04517	ssw:SSGZ1_1116
ko:K05337	ssw:SSGZ1_1127
ko:K00088	ssw:SSGZ1_1978
ko:K14226	ssw:SSGZ1_tHis001
ko:K02004	ssw:SSGZ1_0856
ko:K01507	ssw:SSGZ1_0890
ko:K02823	ssw:SSGZ1_0893
ko:K00700	ssw:SSGZ1_0898
ko:K03574	ssw:SSGZ1_0901
ko:K01191	ssw:SSGZ1_1732
ko:K09704	ssw:SSGZ1_1733
ko:K02824	ssw:SSGZ1_1749
ko:K06183	ssw:SSGZ1_1753
ko:K07004	ssw:SSGZ1_1784
ko:K00939	ssw:SSGZ1_0089
ko:K09815	ssw:SSGZ1_0108
ko:K01092	ssw:SSGZ1_0972
ko:K03177	ssw:SSGZ1_0977
ko:K09155	ssw:SSGZ1_0981
ko:K01258	ssw:SSGZ1_0991
ko:K09698	ssw:SSGZ1_1839
ko:K01934	ssw:SSGZ1_1855
ko:K00674	ssw:SSGZ1_1857
ko:K03476	ssw:SSGZ1_1866
ko:K03493	ssw:SSGZ1_1867
ko:K02821	ssw:SSGZ1_1872
ko:K02822	ssw:SSGZ1_1873
ko:K03475	ssw:SSGZ1_1874
ko:K03491	ssw:SSGZ1_1885
ko:K09963	ssw:SSGZ1_1886
ko:K01222	ssw:SSGZ1_1888
ko:K07386	ssw:SSGZ1_1890
ko:K14230	ssw:SSGZ1_tMet001
ko:K07260	ssw:SSGZ1_0735
ko:K16509	ssw:SSGZ1_0974
ko:K01990	ssw:SSGZ1_0234
ko:K13953	ssw:SSGZ1_0255
ko:K00869	ssw:SSGZ1_0265
ko:K01597	ssw:SSGZ1_0266
ko:K00938	ssw:SSGZ1_0267
ko:K01823	ssw:SSGZ1_0268
ko:K09153	ssw:SSGZ1_1130
ko:K07272	ssw:SSGZ1_1139
ko:K12997	ssw:SSGZ1_1142
ko:K12996	ssw:SSGZ1_1143
ko:K02086	ssw:SSGZ1_1156
ko:K00784	ssw:SSGZ1_1164
ko:K11209	ssw:SSGZ1_1179
ko:K14233	ssw:SSGZ1_tSer001
ko:K14233	ssw:SSGZ1_tSer003
ko:K03699	ssw:SSGZ1_1500
ko:K14231	ssw:SSGZ1_tPhe001
ko:K14231	ssw:SSGZ1_tPhe002
ko:K14233	ssw:SSGZ1_tSer002
ko:K14224	ssw:SSGZ1_tGlu001
ko:K14224	ssw:SSGZ1_tGlu002
ko:K14224	ssw:SSGZ1_tGlu004
ko:K14224	ssw:SSGZ1_tGlu003
ko:K03693	ssw:SSGZ1_0114
ko:K02243	ssw:SSGZ1_0120
ko:K02244	ssw:SSGZ1_0121
ko:K02245	ssw:SSGZ1_0122
ko:K02246	ssw:SSGZ1_0123
ko:K02248	ssw:SSGZ1_0125
ko:K01261	ssw:SSGZ1_0131
ko:K07386	ssw:SSGZ1_0144
ko:K03713	ssw:SSGZ1_0148
ko:K01409	ssw:SSGZ1_0154
ko:K02025	ssw:SSGZ1_0157
ko:K15051	ssw:SSGZ1_1026
ko:K08483	ssw:SSGZ1_1056
ko:K11189	ssw:SSGZ1_1057
ko:K11708	ssw:SSGZ1_1892
ko:K11710	ssw:SSGZ1_1893
ko:K11707	ssw:SSGZ1_1894
ko:K11709	ssw:SSGZ1_1891
ko:K03709	ssw:SSGZ1_1895
ko:K01119	ssw:SSGZ1_1902
ko:K03647	ssw:SSGZ1_1942
ko:K02348	ssw:SSGZ1_1945
ko:K01635	ssw:SSGZ1_0919
ko:K00917	ssw:SSGZ1_0920
ko:K01819	ssw:SSGZ1_0922
ko:K01819	ssw:SSGZ1_0923
ko:K02530	ssw:SSGZ1_0924
ko:K06147	ssw:SSGZ1_0932
ko:K00625	ssw:SSGZ1_0934
ko:K07816	ssw:SSGZ1_0937
ko:K00016	ssw:SSGZ1_0948
ko:K02056	ssw:SSGZ1_0953
ko:K01489	ssw:SSGZ1_0955
ko:K01619	ssw:SSGZ1_0956
ko:K00564	ssw:SSGZ1_0958
ko:K00867	ssw:SSGZ1_0959
ko:K14982	ssw:SSGZ1_0962
ko:K14983	ssw:SSGZ1_0963
ko:K03708	ssw:SSGZ1_1791
ko:K12555	ssw:SSGZ1_1801
ko:K09685	ssw:SSGZ1_1804
ko:K03698	ssw:SSGZ1_1806
ko:K00949	ssw:SSGZ1_1808
ko:K03574	ssw:SSGZ1_1821
ko:K06346	ssw:SSGZ1_1828
ko:K07105	ssw:SSGZ1_1834
ko:K00547	ssw:SSGZ1_1837
ko:K12296	ssw:SSGZ1_0016
ko:K00841	ssw:SSGZ1_0021
ko:K01220	ssw:SSGZ1_0915
ko:K02786	ssw:SSGZ1_0917
ko:K01977	ssw:SSGZ1_16s001
ko:K01977	ssw:SSGZ1_16s002
ko:K01977	ssw:SSGZ1_16s004
ko:K01977	ssw:SSGZ1_16s003
ko:K09825	ssw:SSGZ1_0285
ko:K09702	ssw:SSGZ1_0290
ko:K09815	ssw:SSGZ1_0305
ko:K03048	ssw:SSGZ1_0307
ko:K01424	ssw:SSGZ1_0312
ko:K02433	ssw:SSGZ1_0322
ko:K06201	ssw:SSGZ1_0329
ko:K06948	ssw:SSGZ1_0332
ko:K08234	ssw:SSGZ1_1184
ko:K07652	ssw:SSGZ1_1206
ko:K07668	ssw:SSGZ1_1207
ko:K01223	ssw:SSGZ1_0170
ko:K14237	ssw:SSGZ1_tVal001
ko:K14237	ssw:SSGZ1_tVal003
ko:K14237	ssw:SSGZ1_tVal002
ko:K14228	ssw:SSGZ1_tLeu001
ko:K14234	ssw:SSGZ1_tThr001
ko:K14225	ssw:SSGZ1_tGly001
ko:K14225	ssw:SSGZ1_tGly002
ko:K14222	ssw:SSGZ1_tCys001
ko:K01223	ssw:SSGZ1_1887
ko:K05349	ssw:SSGZ1_1950
ko:K02051	ssw:SSGZ1_0200
ko:K14235	ssw:SSGZ1_tTrp001
ko:K15770	ssw:SSGZ1_1936
ko:K01989	ssw:SSGZ1_1112
ko:K16787	ssw:SSGZ1_0731
ko:K16785	ssw:SSGZ1_0729
ko:K15772	ssw:SSGZ1_1938
ko:K15771	ssw:SSGZ1_1937
ko:K16786	ssw:SSGZ1_1971
ko:K16787	ssw:SSGZ1_1970
ko:K02778	ssw:SSGZ1_1244
ko:K02779	ssw:SSGZ1_1244
ko:K16785	ssw:SSGZ1_1969
ko:K10118	ssw:SSGZ1_1388
ko:K16788	ssw:SSGZ1_1833
ko:K01989	ssw:SSGZ1_1111
ko:K16789	ssw:SSGZ1_0513
ko:K01985	ssw:SSGZ1_5s003
ko:K01985	ssw:SSGZ1_5s004
ko:K01985	ssw:SSGZ1_5s001
ko:K01985	ssw:SSGZ1_5s002
ko:K16786	ssw:SSGZ1_0730
ko:K10119	ssw:SSGZ1_1387
ko:K14219	ssw:SSGZ1_tArg001
ko:K14219	ssw:SSGZ1_tArg004
ko:K14236	ssw:SSGZ1_tTyr001
ko:K14236	ssw:SSGZ1_tTyr002
ko:K10009	ssw:SSGZ1_0281
ko:K16786	ssw:SSGZ1_0263
ko:K16787	ssw:SSGZ1_0263
ko:K02424	ssw:SSGZ1_0280
ko:K14230	ssw:SSGZ1_tMet002
ko:K02030	ssw:SSGZ1_0543
ko:K14232	ssw:SSGZ1_tPro001
ko:K14225	ssw:SSGZ1_tGly003
ko:K16785	ssw:SSGZ1_0363
ko:K14218	ssw:SSGZ1_tAla001
ko:K14218	ssw:SSGZ1_tAla002
ko:K14218	ssw:SSGZ1_tAla004
ko:K14218	ssw:SSGZ1_tAla003
ko:K00355	ssw:SSGZ1_1452
ko:K14229	ssw:SSGZ1_tLys001
ko:K14229	ssw:SSGZ1_tLys002
ko:K14228	ssw:SSGZ1_tLeu003
ko:K14228	ssw:SSGZ1_tLeu004
ko:K14228	ssw:SSGZ1_tLeu005
ko:K16786	ssw:SSGZ1_0362
ko:K16787	ssw:SSGZ1_0362
ko:K01426	ssw:SSGZ1_0279
ko:K16923	ssw:SSGZ1_0728
ko:K14219	ssw:SSGZ1_tArg002
ko:K16785	ssw:SSGZ1_0262
ko:K08316	ssw:SSGZ1_1511
ko:K08986	ssw:SSGZ1_1042
ko:K14219	ssw:SSGZ1_tArg003
ko:K11991	ssw:SSGZ1_1864
ko:K16868	ssw:SSGZ1_1232
ko:K16924	ssw:SSGZ1_0358
ko:K16926	ssw:SSGZ1_0261
ko:K14221	ssw:SSGZ1_tAsp001
ko:K14228	ssw:SSGZ1_tLeu002
ko:K16898	ssw:SSGZ1_0745
ko:K16899	ssw:SSGZ1_0744
ko:K14227	ssw:SSGZ1_tIle001
ko:K14227	ssw:SSGZ1_tIle003
ko:K14227	ssw:SSGZ1_tIle002
ko:K14223	ssw:SSGZ1_tGln001
ko:K14223	ssw:SSGZ1_tGln002
ko:K14234	ssw:SSGZ1_tThr002
ko:K14233	ssw:SSGZ1_tSer004
ko:K14220	ssw:SSGZ1_tAsn001
ko:K14220	ssw:SSGZ1_tAsn002
ko:K03574	ssw:SSGZ1_0439
ko:K11070	ssw:SSGZ1_0790
ko:K01992	ssw:SSGZ1_0233
ko:K10010	ssw:SSGZ1_1877
ko:K02030	ssw:SSGZ1_0906
ko:K01990	ssw:SSGZ1_0738
ko:K01990	ssw:SSGZ1_1140
ko:K10947	ssw:SSGZ1_1421
ko:K17319	ssw:SSGZ1_1189
ko:K17319	ssw:SSGZ1_1729
ko:K17318	ssw:SSGZ1_1187
ko:K17318	ssw:SSGZ1_1727
ko:K01992	ssw:SSGZ1_0737
ko:K01992	ssw:SSGZ1_1141
ko:K01990	ssw:SSGZ1_0168
ko:K01990	ssw:SSGZ1_0531
ko:K01990	ssw:SSGZ1_1671
ko:K02029	ssw:SSGZ1_0907
ko:K02032	ssw:SSGZ1_1682
ko:K02028	ssw:SSGZ1_0542
ko:K03574	ssw:SSGZ1_1007
ko:K02028	ssw:SSGZ1_0908
ko:K01598	ssw:SSGZ1_0677
ko:K00951	ssw:SSGZ1_1901
ko:K17320	ssw:SSGZ1_1188
ko:K17320	ssw:SSGZ1_1728
ko:K01537	ssw:SSGZ1_1260
ko:K02030	ssw:SSGZ1_0899
ko:K02030	ssw:SSGZ1_0900
ko:K17076	ssw:SSGZ1_1696
ko:K02029	ssw:SSGZ1_0442
ko:K01992	ssw:SSGZ1_0232
ko:K17073	ssw:SSGZ1_1695
ko:K17074	ssw:SSGZ1_1695
ko:K10947	ssw:SSGZ1_0240
ko:K10947	ssw:SSGZ1_0994
ko:K10112	ssw:SSGZ1_1721
ko:K01990	ssw:SSGZ1_1518
ko:K02851	ssw:SSGZ1_1692
ko:K01992	ssw:SSGZ1_1517
ko:K02027	ssw:SSGZ1_0156
ko:K01980	ssw:SSGZ1_23s001
ko:K01980	ssw:SSGZ1_23s002
ko:K01980	ssw:SSGZ1_23s003
ko:K01980	ssw:SSGZ1_23s004
ko:K17686	ssw:SSGZ1_1230
ko:K00226	ssw:SSGZ1_0229
ko:K17828	ssw:SSGZ1_0892
ko:K06518	ssw:SSGZ1_0241
ko:K03767	ssw:SSGZ1_1195
ko:K00537	ssw:SSGZ1_1282
ko:K01791	ssw:SSGZ1_0572
ko:K03486	ssw:SSGZ1_0351
ko:K02004	ssw:SSGZ1_1226
ko:K01467	ssw:SSGZ1_0012
ko:K02026	ssw:SSGZ1_0158
ko:K07284	ssw:SSGZ1_0946
ko:K12574	ssw:SSGZ1_0150
ko:K00661	ssw:SSGZ1_0874
ko:K12574	ssw:SSGZ1_1316
ko:K07284	ssw:SSGZ1_0424
ko:K07284	ssw:SSGZ1_0449
ko:K18216	ssw:SSGZ1_1249
ko:K18220	ssw:SSGZ1_0476
ko:K02809	ssw:SSGZ1_1745
ko:K02810	ssw:SSGZ1_1745
ko:K01071	ssw:SSGZ1_1276
ko:K02794	ssw:SSGZ1_0400
ko:K02614	ssw:SSGZ1_0931
ko:K18217	ssw:SSGZ1_1248
ko:K07491	ssw:SSGZ1_1264
ko:K07491	ssw:SSGZ1_1470
ko:K07738	ssw:SSGZ1_1558
ko:K00805	ssw:SSGZ1_1584
ko:K01439	ssw:SSGZ1_1598
ko:K02372	ssw:SSGZ1_1620
ko:K02935	ssw:SSGZ1_0870
ko:K02601	ssw:SSGZ1_1798
ko:K12296	ssw:SSGZ1_0065
ko:K07491	ssw:SSGZ1_0996
ko:K00963	ssw:SSGZ1_1853
ko:K02110	ssw:SSGZ1_1037
ko:K01126	ssw:SSGZ1_0178
ko:K00917	ssw:SSGZ1_0191
ko:K01226	ssw:SSGZ1_0210
ko:K01872	ssw:SSGZ1_1093
ko:K18231	ssw:SSGZ1_1203
ko:K03742	ssw:SSGZ1_0058
ko:K18474	ssw:SSGZ1_1629
ko:K00105	ssw:SSGZ1_0712
ko:K00105	ssw:SSGZ1_0713
ko:K16235	ssw:SSGZ1_1838
ko:K01200	ssw:SSGZ1_1941
ko:K18581	ssw:SSGZ1_1076
ko:K00983	ssw:SSGZ1_0574
ko:K18682	ssw:SSGZ1_0374
ko:K06896	ssw:SSGZ1_0352
ko:K18672	ssw:SSGZ1_1307
ko:K18692	ssw:SSGZ1_1566
ko:K06218	ssw:SSGZ1_1333
ko:K07171	ssw:SSGZ1_0468
ko:K18815	ssw:SSGZ1_1296
ko:K18892	ssw:SSGZ1_1848
ko:K18891	ssw:SSGZ1_1849
ko:K03790	ssw:SSGZ1_1450
ko:K03789	ssw:SSGZ1_1754
ko:K18888	ssw:SSGZ1_0783
ko:K18887	ssw:SSGZ1_0782
ko:K03205	ssw:SSGZ1_0487
ko:K03497	ssw:SSGZ1_0503
ko:K03496	ssw:SSGZ1_0504
ko:K06218	ssw:SSGZ1_0608
ko:K03111	ssw:SSGZ1_1649
ko:K06218	ssw:SSGZ1_0854
ko:K03111	ssw:SSGZ1_0137
ko:K03497	ssw:SSGZ1_1987
ko:K07029	ssw:SSGZ1_1038
ko:K19055	ssw:SSGZ1_1318
ko:K07484	ssw:SSGZ1_0581
ko:K19002	ssw:SSGZ1_1215
ko:K18979	ssw:SSGZ1_1256
ko:K13052	ssw:SSGZ1_0010
ko:K18986	ssw:SSGZ1_1491
ko:K18987	ssw:SSGZ1_1492
ko:K19005	ssw:SSGZ1_1120
ko:K07452	ssw:SSGZ1_0839
ko:K19158	ssw:SSGZ1_1819
ko:K06893	ssw:SSGZ1_1964
ko:K19159	ssw:SSGZ1_1820
ko:K19147	ssw:SSGZ1_0840
ko:K05881	ssw:SSGZ1_1773
ko:K01710	ssw:SSGZ1_1149
ko:K01215	ssw:SSGZ1_1385
ko:K03722	ssw:SSGZ1_0547
ko:K19302	ssw:SSGZ1_1524
ko:K12952	ssw:SSGZ1_1198
ko:K04771	ssw:SSGZ1_1986
ko:K02031	ssw:SSGZ1_1683
ko:K06881	ssw:SSGZ1_1367
ko:K00526	ssw:SSGZ1_1064
ko:K02796	ssw:SSGZ1_0402
ko:K02796	ssw:SSGZ1_1605
ko:K01654	ssw:SSGZ1_0571
ko:K00887	ssw:SSGZ1_1241
ko:K21636	ssw:SSGZ1_1924
ko:K20074	ssw:SSGZ1_0380
ko:K12132	ssw:SSGZ1_0381
ko:K20073	ssw:SSGZ1_0372
ko:K02777	ssw:SSGZ1_0353
ko:K20107	ssw:SSGZ1_0353
ko:K20108	ssw:SSGZ1_0353
ko:K20342	ssw:SSGZ1_0048
ko:K20459	ssw:SSGZ1_0860
ko:K20460	ssw:SSGZ1_0859
ko:K20461	ssw:SSGZ1_0858
ko:K00525	ssw:SSGZ1_1062
ko:K20489	ssw:SSGZ1_0861
ko:K18889	ssw:SSGZ1_0270
ko:K18890	ssw:SSGZ1_0269
ko:K11751	ssw:SSGZ1_1922
ko:K21064	ssw:SSGZ1_1602
ko:K08968	ssw:SSGZ1_1460
ko:K00560	ssw:SSGZ1_0815
ko:K00287	ssw:SSGZ1_0816
ko:K00857	ssw:SSGZ1_0826
ko:K06217	ssw:SSGZ1_1171
ko:K01520	ssw:SSGZ1_1847
ko:K07313	ssw:SSGZ1_1861
ko:K04068	ssw:SSGZ1_1920
ko:K02316	ssw:SSGZ1_1269
ko:K06919	ssw:SSGZ1_1350
ko:K03553	ssw:SSGZ1_0059
ko:K01493	ssw:SSGZ1_1454
ko:K02314	ssw:SSGZ1_1956
ko:K06191	ssw:SSGZ1_1061
ko:K02335	ssw:SSGZ1_1224
ko:K00571	ssw:SSGZ1_0127
ko:K05799	ssw:SSGZ1_1022
ko:K01759	ssw:SSGZ1_1193
ko:K01101	ssw:SSGZ1_1274
ko:K06148	ssw:SSGZ1_0260
ko:K21471	ssw:SSGZ1_0019
ko:K21567	ssw:SSGZ1_1802
ko:K00863	ssw:SSGZ1_1769
ko:K21828	ssw:SSGZ1_0614
ko:K21977	ssw:SSGZ1_0678
ko:K22044	ssw:SSGZ1_0226
ko:K03595	ssw:SSGZ1_1240
ko:K03078	ssw:SSGZ1_1871
ko:K22278	ssw:SSGZ1_1467
ko:K17758	ssw:SSGZ1_0795
ko:K03077	ssw:SSGZ1_1869
ko:K03079	ssw:SSGZ1_1870
ko:K22441	ssw:SSGZ1_1013
ko:K22457	ssw:SSGZ1_0604
