ko:K07726	lmc:Lm4b_00760
ko:K03650	lmc:Lm4b_02784
ko:K00059	lmc:Lm4b_02788
ko:K08170	lmc:Lm4b_02791
ko:K02313	lmc:Lm4b_00001
ko:K02338	lmc:Lm4b_00002
ko:K03629	lmc:Lm4b_00005
ko:K02470	lmc:Lm4b_00006
ko:K02469	lmc:Lm4b_00007
ko:K06131	lmc:Lm4b_00008
ko:K00869	lmc:Lm4b_00010
ko:K01597	lmc:Lm4b_00011
ko:K00938	lmc:Lm4b_00012
ko:K02828	lmc:Lm4b_00018
ko:K02829	lmc:Lm4b_00019
ko:K07282	lmc:Lm4b_00020
ko:K01223	lmc:Lm4b_00021
ko:K02795	lmc:Lm4b_00026
ko:K02796	lmc:Lm4b_00027
ko:K06201	lmc:Lm4b_00029
ko:K02755	lmc:Lm4b_00030
ko:K02756	lmc:Lm4b_00030
ko:K02757	lmc:Lm4b_00030
ko:K02761	lmc:Lm4b_00043
ko:K00926	lmc:Lm4b_00048
ko:K10536	lmc:Lm4b_00049
ko:K03975	lmc:Lm4b_00051
ko:K01478	lmc:Lm4b_00052
ko:K02990	lmc:Lm4b_00053
ko:K03111	lmc:Lm4b_00054
ko:K02777	lmc:Lm4b_01037
ko:K06201	lmc:Lm4b_01038
ko:K00243	lmc:Lm4b_01039
ko:K11622	lmc:Lm4b_01040
ko:K11617	lmc:Lm4b_01041
ko:K11618	lmc:Lm4b_01042
ko:K03499	lmc:Lm4b_01043
ko:K00615	lmc:Lm4b_01052
ko:K00615	lmc:Lm4b_01053
ko:K00864	lmc:Lm4b_01054
ko:K02755	lmc:Lm4b_01055
ko:K02756	lmc:Lm4b_01055
ko:K02757	lmc:Lm4b_01055
ko:K03752	lmc:Lm4b_01058
ko:K02017	lmc:Lm4b_01059
ko:K02018	lmc:Lm4b_01060
ko:K02020	lmc:Lm4b_01061
ko:K03750	lmc:Lm4b_01062
ko:K03753	lmc:Lm4b_01063
ko:K03635	lmc:Lm4b_01064
ko:K03636	lmc:Lm4b_01065
ko:K03637	lmc:Lm4b_01066
ko:K03639	lmc:Lm4b_01067
ko:K03638	lmc:Lm4b_01068
ko:K01462	lmc:Lm4b_01071
ko:K00161	lmc:Lm4b_01072
ko:K00162	lmc:Lm4b_01073
ko:K00627	lmc:Lm4b_01074
ko:K00382	lmc:Lm4b_01075
ko:K03284	lmc:Lm4b_01080
ko:K01092	lmc:Lm4b_01082
ko:K06207	lmc:Lm4b_01083
ko:K03588	lmc:Lm4b_01087
ko:K02016	lmc:Lm4b_01089
ko:K09692	lmc:Lm4b_01090
ko:K09693	lmc:Lm4b_01091
ko:K02346	lmc:Lm4b_01987
ko:K00784	lmc:Lm4b_01989
ko:K00036	lmc:Lm4b_01990
ko:K01687	lmc:Lm4b_01995
ko:K01652	lmc:Lm4b_01996
ko:K01653	lmc:Lm4b_01997
ko:K00053	lmc:Lm4b_01998
ko:K01649	lmc:Lm4b_01999
ko:K00052	lmc:Lm4b_02000
ko:K01703	lmc:Lm4b_02001
ko:K01704	lmc:Lm4b_02002
ko:K01754	lmc:Lm4b_02003
ko:K01575	lmc:Lm4b_02004
ko:K00756	lmc:Lm4b_02005
ko:K02529	lmc:Lm4b_02006
ko:K01619	lmc:Lm4b_02007
ko:K01652	lmc:Lm4b_02018
ko:K09704	lmc:Lm4b_02025
ko:K03704	lmc:Lm4b_02028
ko:K01778	lmc:Lm4b_02030
ko:K01870	lmc:Lm4b_02031
ko:K04074	lmc:Lm4b_02032
ko:K04487	lmc:Lm4b_02034
ko:K00278	lmc:Lm4b_02035
ko:K00767	lmc:Lm4b_02036
ko:K03517	lmc:Lm4b_02037
ko:K05985	lmc:Lm4b_00184
ko:K02528	lmc:Lm4b_00185
ko:K00919	lmc:Lm4b_00187
ko:K03478	lmc:Lm4b_00188
ko:K09685	lmc:Lm4b_00189
ko:K02003	lmc:Lm4b_00191
ko:K06412	lmc:Lm4b_00193
ko:K06412	lmc:Lm4b_00194
ko:K04042	lmc:Lm4b_00195
ko:K00948	lmc:Lm4b_00196
ko:K01771	lmc:Lm4b_00198
ko:K11031	lmc:Lm4b_00200
ko:K01114	lmc:Lm4b_00203
ko:K00016	lmc:Lm4b_00208
ko:K02897	lmc:Lm4b_00209
ko:K01056	lmc:Lm4b_00211
ko:K03723	lmc:Lm4b_00212
ko:K07571	lmc:Lm4b_00216
ko:K05350	lmc:Lm4b_00391
ko:K02761	lmc:Lm4b_00392
ko:K02760	lmc:Lm4b_00393
ko:K00140	lmc:Lm4b_00401
ko:K03337	lmc:Lm4b_00402
ko:K03338	lmc:Lm4b_00403
ko:K03336	lmc:Lm4b_00404
ko:K03648	lmc:Lm4b_00408
ko:K00286	lmc:Lm4b_00414
ko:K02003	lmc:Lm4b_00418
ko:K03306	lmc:Lm4b_00429
ko:K07238	lmc:Lm4b_00437
ko:K05340	lmc:Lm4b_00444
ko:K03555	lmc:Lm4b_01412
ko:K03572	lmc:Lm4b_01413
ko:K02443	lmc:Lm4b_01414
ko:K00656	lmc:Lm4b_01415
ko:K04069	lmc:Lm4b_01416
ko:K07727	lmc:Lm4b_01420
ko:K00626	lmc:Lm4b_01423
ko:K01641	lmc:Lm4b_01424
ko:K06902	lmc:Lm4b_01426
ko:K00075	lmc:Lm4b_01429
ko:K05845	lmc:Lm4b_01431
ko:K05846	lmc:Lm4b_01431
ko:K03322	lmc:Lm4b_01433
ko:K05846	lmc:Lm4b_01434
ko:K05846	lmc:Lm4b_01436
ko:K00383	lmc:Lm4b_01443
ko:K01714	lmc:Lm4b_01445
ko:K00928	lmc:Lm4b_01446
ko:K00133	lmc:Lm4b_01447
ko:K04564	lmc:Lm4b_01449
ko:K07533	lmc:Lm4b_01454
ko:K02076	lmc:Lm4b_01455
ko:K09816	lmc:Lm4b_01456
ko:K09817	lmc:Lm4b_01457
ko:K01151	lmc:Lm4b_01459
ko:K03798	lmc:Lm4b_00218
ko:K03525	lmc:Lm4b_00219
ko:K04083	lmc:Lm4b_00220
ko:K01738	lmc:Lm4b_00221
ko:K00796	lmc:Lm4b_00222
ko:K01633	lmc:Lm4b_00223
ko:K00950	lmc:Lm4b_00224
ko:K04567	lmc:Lm4b_00226
ko:K03708	lmc:Lm4b_00249
ko:K03696	lmc:Lm4b_00252
ko:K04485	lmc:Lm4b_00253
ko:K00991	lmc:Lm4b_00255
ko:K01770	lmc:Lm4b_00256
ko:K09698	lmc:Lm4b_00257
ko:K00640	lmc:Lm4b_00258
ko:K01883	lmc:Lm4b_00259
ko:K11145	lmc:Lm4b_00260
ko:K03437	lmc:Lm4b_01223
ko:K01889	lmc:Lm4b_01226
ko:K01890	lmc:Lm4b_01227
ko:K02003	lmc:Lm4b_01228
ko:K06994	lmc:Lm4b_01231
ko:K03648	lmc:Lm4b_01232
ko:K03471	lmc:Lm4b_01233
ko:K09888	lmc:Lm4b_01234
ko:K07456	lmc:Lm4b_01237
ko:K03671	lmc:Lm4b_01238
ko:K03703	lmc:Lm4b_01239
ko:K00928	lmc:Lm4b_01240
ko:K01776	lmc:Lm4b_01242
ko:K00989	lmc:Lm4b_01243
ko:K07095	lmc:Lm4b_01245
ko:K03486	lmc:Lm4b_01263
ko:K01226	lmc:Lm4b_01264
ko:K02818	lmc:Lm4b_01265
ko:K02819	lmc:Lm4b_01265
ko:K00147	lmc:Lm4b_01269
ko:K00931	lmc:Lm4b_01270
ko:K03545	lmc:Lm4b_01277
ko:K03544	lmc:Lm4b_01278
ko:K03100	lmc:Lm4b_01279
ko:K03100	lmc:Lm4b_01280
ko:K03100	lmc:Lm4b_01281
ko:K03470	lmc:Lm4b_01283
ko:K04096	lmc:Lm4b_01284
ko:K03168	lmc:Lm4b_01285
ko:K04094	lmc:Lm4b_01286
ko:K03733	lmc:Lm4b_01287
ko:K01624	lmc:Lm4b_02157
ko:K01624	lmc:Lm4b_02158
ko:K03710	lmc:Lm4b_02169
ko:K07035	lmc:Lm4b_02170
ko:K00526	lmc:Lm4b_02179
ko:K00525	lmc:Lm4b_02180
ko:K08600	lmc:Lm4b_02207
ko:K02013	lmc:Lm4b_02208
ko:K02015	lmc:Lm4b_02209
ko:K02016	lmc:Lm4b_02210
ko:K08602	lmc:Lm4b_02215
ko:K02761	lmc:Lm4b_00326
ko:K02760	lmc:Lm4b_00327
ko:K02759	lmc:Lm4b_00329
ko:K03707	lmc:Lm4b_00334
ko:K00878	lmc:Lm4b_00335
ko:K00788	lmc:Lm4b_00337
ko:K01223	lmc:Lm4b_00338
ko:K00615	lmc:Lm4b_00360
ko:K00616	lmc:Lm4b_00361
ko:K01808	lmc:Lm4b_00363
ko:K01803	lmc:Lm4b_00364
ko:K05879	lmc:Lm4b_00365
ko:K05878	lmc:Lm4b_00366
ko:K02769	lmc:Lm4b_00377
ko:K02770	lmc:Lm4b_00377
ko:K01624	lmc:Lm4b_00378
ko:K03118	lmc:Lm4b_00380
ko:K03116	lmc:Lm4b_00381
ko:K05995	lmc:Lm4b_00382
ko:K07243	lmc:Lm4b_00384
ko:K07224	lmc:Lm4b_00385
ko:K06193	lmc:Lm4b_00389
ko:K02245	lmc:Lm4b_01353
ko:K02243	lmc:Lm4b_01355
ko:K00605	lmc:Lm4b_01356
ko:K00282	lmc:Lm4b_01357
ko:K00283	lmc:Lm4b_01358
ko:K01262	lmc:Lm4b_01362
ko:K02356	lmc:Lm4b_01363
ko:K02160	lmc:Lm4b_01364
ko:K03625	lmc:Lm4b_01367
ko:K03601	lmc:Lm4b_01369
ko:K03602	lmc:Lm4b_01370
ko:K03704	lmc:Lm4b_01373
ko:K01662	lmc:Lm4b_01374
ko:K06442	lmc:Lm4b_01375
ko:K03402	lmc:Lm4b_01376
ko:K03631	lmc:Lm4b_01377
ko:K00929	lmc:Lm4b_01379
ko:K00382	lmc:Lm4b_01380
ko:K00166	lmc:Lm4b_01381
ko:K00167	lmc:Lm4b_01382
ko:K09699	lmc:Lm4b_01383
ko:K00033	lmc:Lm4b_01385
ko:K03217	lmc:Lm4b_01388
ko:K01512	lmc:Lm4b_01390
ko:K01823	lmc:Lm4b_01392
ko:K07146	lmc:Lm4b_01393
ko:K03466	lmc:Lm4b_01395
ko:K00286	lmc:Lm4b_01396
ko:K00059	lmc:Lm4b_01403
ko:K00995	lmc:Lm4b_01405
ko:K03553	lmc:Lm4b_01407
ko:K03823	lmc:Lm4b_01409
ko:K09769	lmc:Lm4b_01410
ko:K06901	lmc:Lm4b_02281
ko:K02759	lmc:Lm4b_02286
ko:K02250	lmc:Lm4b_02297
ko:K02768	lmc:Lm4b_02299
ko:K02963	lmc:Lm4b_00055
ko:K07813	lmc:Lm4b_00057
ko:K07706	lmc:Lm4b_00059
ko:K07707	lmc:Lm4b_00060
ko:K02939	lmc:Lm4b_00062
ko:K02314	lmc:Lm4b_00063
ko:K01939	lmc:Lm4b_00064
ko:K03466	lmc:Lm4b_00070
ko:K02110	lmc:Lm4b_00091
ko:K02113	lmc:Lm4b_00092
ko:K02111	lmc:Lm4b_00093
ko:K02115	lmc:Lm4b_00094
ko:K02112	lmc:Lm4b_00095
ko:K02114	lmc:Lm4b_00096
ko:K02793	lmc:Lm4b_00099
ko:K02794	lmc:Lm4b_00099
ko:K02795	lmc:Lm4b_00100
ko:K02796	lmc:Lm4b_00101
ko:K00963	lmc:Lm4b_01098
ko:K00763	lmc:Lm4b_01105
ko:K02760	lmc:Lm4b_01108
ko:K01951	lmc:Lm4b_01109
ko:K03827	lmc:Lm4b_01128
ko:K01358	lmc:Lm4b_01144
ko:K04031	lmc:Lm4b_01149
ko:K02231	lmc:Lm4b_01152
ko:K02233	lmc:Lm4b_01153
ko:K02221	lmc:Lm4b_02050
ko:K09772	lmc:Lm4b_02051
ko:K06997	lmc:Lm4b_02052
ko:K03531	lmc:Lm4b_02053
ko:K03590	lmc:Lm4b_02054
ko:K03589	lmc:Lm4b_02055
ko:K02563	lmc:Lm4b_02056
ko:K01925	lmc:Lm4b_02057
ko:K01000	lmc:Lm4b_02058
ko:K01928	lmc:Lm4b_02059
ko:K08724	lmc:Lm4b_02060
ko:K03438	lmc:Lm4b_02062
ko:K03925	lmc:Lm4b_02063
ko:K08152	lmc:Lm4b_02064
ko:K00077	lmc:Lm4b_02067
ko:K02911	lmc:Lm4b_02068
ko:K07040	lmc:Lm4b_02069
ko:K07177	lmc:Lm4b_02072
ko:K00954	lmc:Lm4b_02073
ko:K02259	lmc:Lm4b_02079
ko:K03282	lmc:Lm4b_02085
ko:K01442	lmc:Lm4b_02088
ko:K04077	lmc:Lm4b_02089
ko:K04078	lmc:Lm4b_02090
ko:K01926	lmc:Lm4b_02093
ko:K06158	lmc:Lm4b_02094
ko:K01409	lmc:Lm4b_02096
ko:K03789	lmc:Lm4b_02097
ko:K06925	lmc:Lm4b_02099
ko:K02769	lmc:Lm4b_02299
ko:K02770	lmc:Lm4b_02299
ko:K00882	lmc:Lm4b_02300
ko:K01372	lmc:Lm4b_02302
ko:K00299	lmc:Lm4b_02315
ko:K02564	lmc:Lm4b_02322
ko:K01232	lmc:Lm4b_02324
ko:K03478	lmc:Lm4b_02326
ko:K02760	lmc:Lm4b_02328
ko:K02761	lmc:Lm4b_02329
ko:K02773	lmc:Lm4b_00525
ko:K01783	lmc:Lm4b_00527
ko:K02774	lmc:Lm4b_00529
ko:K02775	lmc:Lm4b_00530
ko:K00948	lmc:Lm4b_00531
ko:K07282	lmc:Lm4b_00538
ko:K08987	lmc:Lm4b_00540
ko:K01153	lmc:Lm4b_00543
ko:K03427	lmc:Lm4b_00544
ko:K01154	lmc:Lm4b_00545
ko:K07166	lmc:Lm4b_00559
ko:K09157	lmc:Lm4b_00560
ko:K01222	lmc:Lm4b_00562
ko:K01635	lmc:Lm4b_00565
ko:K02016	lmc:Lm4b_00567
ko:K02781	lmc:Lm4b_00568
ko:K02782	lmc:Lm4b_00569
ko:K02783	lmc:Lm4b_00569
ko:K02783	lmc:Lm4b_00570
ko:K03305	lmc:Lm4b_00581
ko:K01892	lmc:Lm4b_01530
ko:K07560	lmc:Lm4b_01532
ko:K00759	lmc:Lm4b_01534
ko:K07462	lmc:Lm4b_01535
ko:K12257	lmc:Lm4b_01537
ko:K03210	lmc:Lm4b_01539
ko:K00773	lmc:Lm4b_01540
ko:K07568	lmc:Lm4b_01541
ko:K03551	lmc:Lm4b_01542
ko:K03550	lmc:Lm4b_01543
ko:K00016	lmc:Lm4b_01544
ko:K03979	lmc:Lm4b_01547
ko:K00864	lmc:Lm4b_01548
ko:K02440	lmc:Lm4b_01549
ko:K02899	lmc:Lm4b_01551
ko:K07584	lmc:Lm4b_01552
ko:K02888	lmc:Lm4b_01553
ko:K08301	lmc:Lm4b_01554
ko:K03609	lmc:Lm4b_01555
ko:K03610	lmc:Lm4b_01556
ko:K03571	lmc:Lm4b_01557
ko:K03570	lmc:Lm4b_01558
ko:K03569	lmc:Lm4b_01559
ko:K03630	lmc:Lm4b_01560
ko:K01873	lmc:Lm4b_01563
ko:K01845	lmc:Lm4b_01564
ko:K01698	lmc:Lm4b_01565
ko:K01719	lmc:Lm4b_01566
ko:K01749	lmc:Lm4b_01567
ko:K02492	lmc:Lm4b_01568
ko:K03978	lmc:Lm4b_01569
ko:K01868	lmc:Lm4b_01570
ko:K11144	lmc:Lm4b_01571
ko:K03346	lmc:Lm4b_01572
ko:K07738	lmc:Lm4b_01573
ko:K00859	lmc:Lm4b_01574
ko:K10563	lmc:Lm4b_01575
ko:K02335	lmc:Lm4b_01576
ko:K00031	lmc:Lm4b_01577
ko:K01647	lmc:Lm4b_01578
ko:K07113	lmc:Lm4b_01580
ko:K00873	lmc:Lm4b_01581
ko:K00850	lmc:Lm4b_01582
ko:K01962	lmc:Lm4b_01583
ko:K01963	lmc:Lm4b_01584
ko:K02337	lmc:Lm4b_01585
ko:K06958	lmc:Lm4b_02443
ko:K01785	lmc:Lm4b_02445
ko:K00384	lmc:Lm4b_02447
ko:K06019	lmc:Lm4b_02450
ko:K06023	lmc:Lm4b_02452
ko:K07104	lmc:Lm4b_00667
ko:K03284	lmc:Lm4b_00669
ko:K07313	lmc:Lm4b_00676
ko:K08976	lmc:Lm4b_00677
ko:K00558	lmc:Lm4b_00679
ko:K07457	lmc:Lm4b_00682
ko:K00661	lmc:Lm4b_00691
ko:K02419	lmc:Lm4b_00704
ko:K02420	lmc:Lm4b_00705
ko:K02421	lmc:Lm4b_00706
ko:K02401	lmc:Lm4b_00707
ko:K02400	lmc:Lm4b_00708
ko:K02404	lmc:Lm4b_00709
ko:K02392	lmc:Lm4b_00710
ko:K00575	lmc:Lm4b_00711
ko:K02556	lmc:Lm4b_00713
ko:K01246	lmc:Lm4b_01650
ko:K01681	lmc:Lm4b_01652
ko:K03546	lmc:Lm4b_01656
ko:K03547	lmc:Lm4b_01657
ko:K00655	lmc:Lm4b_01658
ko:K02357	lmc:Lm4b_01667
ko:K02967	lmc:Lm4b_01668
ko:K02809	lmc:Lm4b_01670
ko:K02810	lmc:Lm4b_01670
ko:K07106	lmc:Lm4b_01671
ko:K01869	lmc:Lm4b_01673
ko:K07139	lmc:Lm4b_01674
ko:K01953	lmc:Lm4b_01676
ko:K00789	lmc:Lm4b_01677
ko:K00016	lmc:Lm4b_01680
ko:K08998	lmc:Lm4b_01683
ko:K09815	lmc:Lm4b_01684
ko:K01911	lmc:Lm4b_01685
ko:K01661	lmc:Lm4b_01686
ko:K08680	lmc:Lm4b_01687
ko:K02551	lmc:Lm4b_01688
ko:K02552	lmc:Lm4b_01689
ko:K02548	lmc:Lm4b_01690
ko:K00549	lmc:Lm4b_01694
ko:K03593	lmc:Lm4b_02557
ko:K02996	lmc:Lm4b_02563
ko:K02871	lmc:Lm4b_02564
ko:K06173	lmc:Lm4b_02565
ko:K07507	lmc:Lm4b_02569
ko:K02879	lmc:Lm4b_02572
ko:K03040	lmc:Lm4b_02573
ko:K02948	lmc:Lm4b_02574
ko:K02952	lmc:Lm4b_02575
ko:K02518	lmc:Lm4b_02577
ko:K00939	lmc:Lm4b_02578
ko:K03076	lmc:Lm4b_02579
ko:K02876	lmc:Lm4b_02580
ko:K02907	lmc:Lm4b_02581
ko:K02988	lmc:Lm4b_02582
ko:K02881	lmc:Lm4b_02583
ko:K02933	lmc:Lm4b_02584
ko:K02994	lmc:Lm4b_02585
ko:K02954	lmc:Lm4b_02586
ko:K02931	lmc:Lm4b_02587
ko:K02895	lmc:Lm4b_02588
ko:K02874	lmc:Lm4b_02589
ko:K02961	lmc:Lm4b_02590
ko:K02904	lmc:Lm4b_02591
ko:K02878	lmc:Lm4b_02592
ko:K02982	lmc:Lm4b_02593
ko:K02890	lmc:Lm4b_02594
ko:K02965	lmc:Lm4b_02595
ko:K02886	lmc:Lm4b_02596
ko:K02892	lmc:Lm4b_02597
ko:K02926	lmc:Lm4b_02598
ko:K02906	lmc:Lm4b_02599
ko:K02946	lmc:Lm4b_02600
ko:K03734	lmc:Lm4b_02603
ko:K03885	lmc:Lm4b_02605
ko:K05349	lmc:Lm4b_01743
ko:K02793	lmc:Lm4b_00799
ko:K05349	lmc:Lm4b_02757
ko:K02793	lmc:Lm4b_00024
ko:K02793	lmc:Lm4b_02009
ko:K07718	lmc:Lm4b_02023
ko:K07025	lmc:Lm4b_00656
ko:K00951	lmc:Lm4b_01533
ko:K02000	lmc:Lm4b_01034
ko:K02770	lmc:Lm4b_00448
ko:K02770	lmc:Lm4b_02159
ko:K02770	lmc:Lm4b_00424
ko:K02769	lmc:Lm4b_00423
ko:K02769	lmc:Lm4b_02160
ko:K02768	lmc:Lm4b_00422
ko:K02768	lmc:Lm4b_00376
ko:K02768	lmc:Lm4b_00446
ko:K02768	lmc:Lm4b_02161
ko:K04749	lmc:Lm4b_00911
ko:K11754	lmc:Lm4b_01562
ko:K05020	lmc:Lm4b_02113
ko:K13730	lmc:Lm4b_00461
ko:K00054	lmc:Lm4b_00843
ko:K01961	lmc:Lm4b_01365
ko:K00805	lmc:Lm4b_01949
ko:K04028	lmc:Lm4b_01189
ko:K01424	lmc:Lm4b_01957
ko:K03321	lmc:Lm4b_00915
ko:K02347	lmc:Lm4b_01236
ko:K07729	lmc:Lm4b_00439
ko:K01104	lmc:Lm4b_01816
ko:K01104	lmc:Lm4b_00958
ko:K01104	lmc:Lm4b_01952
ko:K04844	lmc:Lm4b_02806
ko:K13256	lmc:Lm4b_00852
ko:K13038	lmc:Lm4b_01841
ko:K03316	lmc:Lm4b_00818
ko:K01699	lmc:Lm4b_01158
ko:K02034	lmc:Lm4b_00296
ko:K13542	lmc:Lm4b_01205
ko:K13678	lmc:Lm4b_02522
ko:K02242	lmc:Lm4b_02481
ko:K02821	lmc:Lm4b_02617
ko:K03406	lmc:Lm4b_00751
ko:K09963	lmc:Lm4b_01732
ko:K02004	lmc:Lm4b_02341
ko:K04518	lmc:Lm4b_01546
ko:K12574	lmc:Lm4b_01444
ko:K04079	lmc:Lm4b_00961
ko:K12573	lmc:Lm4b_02418
ko:K01784	lmc:Lm4b_02446
ko:K01421	lmc:Lm4b_02330
ko:K01421	lmc:Lm4b_00671
ko:K00841	lmc:Lm4b_01026
ko:K13731	lmc:Lm4b_00462
ko:K01916	lmc:Lm4b_01106
ko:K15524	lmc:Lm4b_00425
ko:K00805	lmc:Lm4b_01947
ko:K00805	lmc:Lm4b_02608
ko:K13919	lmc:Lm4b_01159
ko:K01534	lmc:Lm4b_00662
ko:K07284	lmc:Lm4b_00948
ko:K04030	lmc:Lm4b_01192
ko:K00805	lmc:Lm4b_02607
ko:K01470	lmc:Lm4b_02613
ko:K13921	lmc:Lm4b_01171
ko:K13923	lmc:Lm4b_01165
ko:K02057	lmc:Lm4b_01400
ko:K02224	lmc:Lm4b_01195
ko:K03481	lmc:Lm4b_00050
ko:K02116	lmc:Lm4b_02505
ko:K00611	lmc:Lm4b_01598
ko:K00215	lmc:Lm4b_01924
ko:K02004	lmc:Lm4b_02137
ko:K00980	lmc:Lm4b_01104
ko:K03294	lmc:Lm4b_00666
ko:K02226	lmc:Lm4b_01154
ko:K02503	lmc:Lm4b_02243
ko:K05565	lmc:Lm4b_02350
ko:K00949	lmc:Lm4b_01833
ko:K13252	lmc:Lm4b_00045
ko:K04072	lmc:Lm4b_01645
ko:K03328	lmc:Lm4b_00213
ko:K00625	lmc:Lm4b_02124
ko:K05845	lmc:Lm4b_01435
ko:K00620	lmc:Lm4b_01601
ko:K01791	lmc:Lm4b_02506
ko:K01515	lmc:Lm4b_01984
ko:K05337	lmc:Lm4b_01962
ko:K06183	lmc:Lm4b_02306
ko:K02824	lmc:Lm4b_01855
ko:K03671	lmc:Lm4b_02177
ko:K02826	lmc:Lm4b_00016
ko:K08986	lmc:Lm4b_00941
ko:K13853	lmc:Lm4b_01611
ko:K13789	lmc:Lm4b_01371
ko:K01191	lmc:Lm4b_02026
ko:K01191	lmc:Lm4b_02027
ko:K01191	lmc:Lm4b_02708
ko:K01273	lmc:Lm4b_02431
ko:K04517	lmc:Lm4b_01941
ko:K03342	lmc:Lm4b_02724
ko:K01958	lmc:Lm4b_01088
ko:K07343	lmc:Lm4b_02720
ko:K01813	lmc:Lm4b_02820
ko:K04720	lmc:Lm4b_01174
ko:K10778	lmc:Lm4b_00082
ko:K08281	lmc:Lm4b_02539
ko:K14228	lmc:Lm4b_t00007
ko:K14228	lmc:Lm4b_t00033
ko:K02004	lmc:Lm4b_00192
ko:K02004	lmc:Lm4b_02750
ko:K00974	lmc:Lm4b_01922
ko:K02004	lmc:Lm4b_01229
ko:K02004	lmc:Lm4b_01516
ko:K02004	lmc:Lm4b_01760
ko:K02004	lmc:Lm4b_02548
ko:K01580	lmc:Lm4b_02334
ko:K01580	lmc:Lm4b_02402
ko:K02827	lmc:Lm4b_00017
ko:K02057	lmc:Lm4b_01399
ko:K07105	lmc:Lm4b_02033
ko:K14233	lmc:Lm4b_t00027
ko:K07213	lmc:Lm4b_01868
ko:K14232	lmc:Lm4b_t00009
ko:K14232	lmc:Lm4b_t00031
ko:K02759	lmc:Lm4b_00892
ko:K04750	lmc:Lm4b_01251
ko:K02248	lmc:Lm4b_01350
ko:K02246	lmc:Lm4b_01352
ko:K02236	lmc:Lm4b_01561
ko:K01760	lmc:Lm4b_01692
ko:K08317	lmc:Lm4b_01751
ko:K04750	lmc:Lm4b_02698
ko:K02056	lmc:Lm4b_01398
ko:K05518	lmc:Lm4b_00914
ko:K14234	lmc:Lm4b_t00063
ko:K03574	lmc:Lm4b_02338
ko:K14224	lmc:Lm4b_t00014
ko:K14224	lmc:Lm4b_t00018
ko:K14224	lmc:Lm4b_t00041
ko:K14224	lmc:Lm4b_t00057
ko:K14225	lmc:Lm4b_t00016
ko:K14225	lmc:Lm4b_t00022
ko:K14229	lmc:Lm4b_t00045
ko:K14229	lmc:Lm4b_t00036
ko:K14229	lmc:Lm4b_t00004
ko:K08177	lmc:Lm4b_02196
ko:K14228	lmc:Lm4b_t00046
ko:K02027	lmc:Lm4b_00784
ko:K05847	lmc:Lm4b_01430
ko:K05847	lmc:Lm4b_01437
ko:K02027	lmc:Lm4b_02812
ko:K03491	lmc:Lm4b_00325
ko:K03491	lmc:Lm4b_00938
ko:K03491	lmc:Lm4b_02325
ko:K03491	lmc:Lm4b_02760
ko:K02027	lmc:Lm4b_00178
ko:K14220	lmc:Lm4b_t00059
ko:K14220	lmc:Lm4b_t00064
ko:K14220	lmc:Lm4b_t00020
ko:K14220	lmc:Lm4b_t00012
ko:K01990	lmc:Lm4b_01738
ko:K14228	lmc:Lm4b_t00005
ko:K14228	lmc:Lm4b_t00035
ko:K01990	lmc:Lm4b_00943
ko:K14219	lmc:Lm4b_t00017
ko:K14230	lmc:Lm4b_t00029
ko:K11189	lmc:Lm4b_01022
ko:K00058	lmc:Lm4b_02797
ko:K07483	lmc:Lm4b_00848
ko:K07483	lmc:Lm4b_00684
ko:K07335	lmc:Lm4b_01397
ko:K13922	lmc:Lm4b_01170
ko:K10947	lmc:Lm4b_00747
ko:K13530	lmc:Lm4b_02270
ko:K13531	lmc:Lm4b_02269
ko:K01759	lmc:Lm4b_02193
ko:K07979	lmc:Lm4b_02268
ko:K14155	lmc:Lm4b_02340
ko:K07723	lmc:Lm4b_00905
ko:K14234	lmc:Lm4b_t00042
ko:K14219	lmc:Lm4b_t00062
ko:K02029	lmc:Lm4b_01754
ko:K02013	lmc:Lm4b_01794
ko:K02027	lmc:Lm4b_00875
ko:K14225	lmc:Lm4b_t00034
ko:K14225	lmc:Lm4b_t00006
ko:K14225	lmc:Lm4b_t00048
ko:K00941	lmc:Lm4b_00336
ko:K14223	lmc:Lm4b_t00049
ko:K01271	lmc:Lm4b_01589
ko:K14233	lmc:Lm4b_t00019
ko:K14233	lmc:Lm4b_t00013
ko:K14540	lmc:Lm4b_01282
ko:K03574	lmc:Lm4b_01256
ko:K01187	lmc:Lm4b_00180
ko:K14237	lmc:Lm4b_t00038
ko:K14237	lmc:Lm4b_t00056
ko:K14237	lmc:Lm4b_t00002
ko:K02529	lmc:Lm4b_00040
ko:K05822	lmc:Lm4b_01031
ko:K01977	lmc:Lm4b_r00001
ko:K01977	lmc:Lm4b_r00018
ko:K01977	lmc:Lm4b_r00015
ko:K01977	lmc:Lm4b_r00004
ko:K01977	lmc:Lm4b_r00012
ko:K01977	lmc:Lm4b_r00009
ko:K14236	lmc:Lm4b_t00043
ko:K14236	lmc:Lm4b_t00052
ko:K14218	lmc:Lm4b_t00010
ko:K14218	lmc:Lm4b_t00060
ko:K14218	lmc:Lm4b_t00065
ko:K14218	lmc:Lm4b_t00030
ko:K09809	lmc:Lm4b_01102
ko:K09935	lmc:Lm4b_00918
ko:K02001	lmc:Lm4b_01035
ko:K14230	lmc:Lm4b_t00026
ko:K14230	lmc:Lm4b_t00055
