ko:K02030	kpn:KPN_01829
ko:K02564	kpn:KPN_00699
ko:K01488	kpn:KPN_01958
ko:K01933	kpn:KPN_02824
ko:K01582	kpn:KPN_00199
ko:K01582	kpn:KPN_00500
ko:K03313	kpn:KPN_00016
ko:K00574	kpn:KPN_04729
ko:K01993	kpn:KPN_04751
ko:K00848	kpn:KPN_04213
ko:K01813	kpn:KPN_04212
ko:K01914	kpn:KPN_04149
ko:K00362	kpn:KPN_03752
ko:K01644	kpn:KPN_00036
ko:K00163	kpn:KPN_00118
ko:K01241	kpn:KPN_02445
ko:K02504	kpn:KPN_00109
ko:K01547	kpn:KPN_00716
ko:K07675	kpn:KPN_04071
ko:K07640	kpn:KPN_04219
ko:K10914	kpn:KPN_03743
ko:K01546	kpn:KPN_00717
ko:K02116	kpn:KPN_04144
ko:K07677	kpn:KPN_02639
ko:K07638	kpn:KPN_03774
ko:K01857	kpn:KPN_01541
ko:K00563	kpn:KPN_02338
ko:K08169	kpn:KPN_02344
ko:K03799	kpn:KPN_02345
ko:K03797	kpn:KPN_02346
ko:K03607	kpn:KPN_02347
ko:K07313	kpn:KPN_02354
ko:K09824	kpn:KPN_02355
ko:K06966	kpn:KPN_02004
ko:K03827	kpn:KPN_04393
ko:K05936	kpn:KPN_03194
ko:K10440	kpn:KPN_04155
ko:K10440	kpn:KPN_04488
ko:K00852	kpn:KPN_04157
ko:K07156	kpn:KPN_02358
ko:K01354	kpn:KPN_02361
ko:K09918	kpn:KPN_02363
ko:K01690	kpn:KPN_02366
ko:K00036	kpn:KPN_02367
ko:K00873	kpn:KPN_02369
ko:K02560	kpn:KPN_02370
ko:K08310	kpn:KPN_02379
ko:K07136	kpn:KPN_02383
ko:K06201	kpn:KPN_02386
ko:K09907	kpn:KPN_02387
ko:K00697	kpn:KPN_02392
ko:K06048	kpn:KPN_00563
ko:K02033	kpn:KPN_00565
ko:K02034	kpn:KPN_00566
ko:K02032	kpn:KPN_00567
ko:K02031	kpn:KPN_00568
ko:K06016	kpn:KPN_00569
ko:K00375	kpn:KPN_00571
ko:K02032	kpn:KPN_00578
ko:K02031	kpn:KPN_00579
ko:K02033	kpn:KPN_00581
ko:K02035	kpn:KPN_00582
ko:K02167	kpn:KPN_00586
ko:K02168	kpn:KPN_00587
ko:K03566	kpn:KPN_00589
ko:K00864	kpn:KPN_00591
ko:K09815	kpn:KPN_02372
ko:K09817	kpn:KPN_02373
ko:K09816	kpn:KPN_02374
ko:K00615	kpn:KPN_00594
ko:K02013	kpn:KPN_00606
ko:K02015	kpn:KPN_00607
ko:K02015	kpn:KPN_00608
ko:K02016	kpn:KPN_00610
ko:K02363	kpn:KPN_00612
ko:K00216	kpn:KPN_00614
ko:K06200	kpn:KPN_00616
ko:K03734	kpn:KPN_01549
ko:K05881	kpn:KPN_03497
ko:K05878	kpn:KPN_03495
ko:K02170	kpn:KPN_03782
ko:K04772	kpn:KPN_03633
ko:K03811	kpn:KPN_00755
ko:K07458	kpn:KPN_02427
ko:K06726	kpn:KPN_04153
ko:K05982	kpn:KPN_04380
ko:K03544	kpn:KPN_00400
ko:K02340	kpn:KPN_00672
ko:K02341	kpn:KPN_01097
ko:K00278	kpn:KPN_02899
ko:K00767	kpn:KPN_00111
ko:K03975	kpn:KPN_02707
ko:K01428	kpn:KPN_03467
ko:K03814	kpn:KPN_03617
ko:K02069	kpn:KPN_00469
ko:K03584	kpn:KPN_02890
ko:K00425	kpn:KPN_01930
ko:K00374	kpn:KPN_02211
ko:K01879	kpn:KPN_03922
ko:K03629	kpn:KPN_04103
ko:K07173	kpn:KPN_03018
ko:K03185	kpn:KPN_03343
ko:K07568	kpn:KPN_00356
ko:K01299	kpn:KPN_01570
ko:K01935	kpn:KPN_01575
ko:K03281	kpn:KPN_01576
ko:K09771	kpn:KPN_01585
ko:K01284	kpn:KPN_01591
ko:K04080	kpn:KPN_01596
ko:K03834	kpn:KPN_02404
ko:K07039	kpn:KPN_02405
ko:K01714	kpn:KPN_02406
ko:K00995	kpn:KPN_02410
ko:K09781	kpn:KPN_02425
ko:K06950	kpn:KPN_02429
ko:K09933	kpn:KPN_02432
ko:K10004	kpn:KPN_00678
ko:K10002	kpn:KPN_00679
ko:K10003	kpn:KPN_00680
ko:K10001	kpn:KPN_00681
ko:K03839	kpn:KPN_00707
ko:K01669	kpn:KPN_00719
ko:K03305	kpn:KPN_00720
ko:K07160	kpn:KPN_00724
ko:K01304	kpn:KPN_00725
ko:K01647	kpn:KPN_00727
ko:K00241	kpn:KPN_00728
ko:K00164	kpn:KPN_00732
ko:K00426	kpn:KPN_00737
ko:K08159	kpn:KPN_01628
ko:K03829	kpn:KPN_01633
ko:K01425	kpn:KPN_01636
ko:K00041	kpn:KPN_01640
ko:K02072	kpn:KPN_01652
ko:K03092	kpn:KPN_03612
ko:K09823	kpn:KPN_04434
ko:K03735	kpn:KPN_00307
ko:K02073	kpn:KPN_01654
ko:K01251	kpn:KPN_02462
ko:K02233	kpn:KPN_02464
ko:K09802	kpn:KPN_02465
ko:K07258	kpn:KPN_02468
ko:K01790	kpn:KPN_02488
ko:K00067	kpn:KPN_02489
ko:K00973	kpn:KPN_02490
ko:K01790	kpn:KPN_02494
ko:K00033	kpn:KPN_02499
ko:K01991	kpn:KPN_02512
ko:K00963	kpn:KPN_02515
ko:K03562	kpn:KPN_00741
ko:K03560	kpn:KPN_00742
ko:K00609	kpn:KPN_04657
ko:K00281	kpn:KPN_03339
ko:K03071	kpn:KPN_03953
ko:K10439	kpn:KPN_04156
ko:K10439	kpn:KPN_04487
ko:K02346	kpn:KPN_00247
ko:K01159	kpn:KPN_02377
ko:K03704	kpn:KPN_02340
ko:K04762	kpn:KPN_03771
ko:K10678	kpn:KPN_00882
ko:K10679	kpn:KPN_00553
ko:K02338	kpn:KPN_04104
ko:K02339	kpn:KPN_04664
ko:K03581	kpn:KPN_03228
ko:K00948	kpn:KPN_02238
ko:K04565	kpn:KPN_01985
ko:K00647	kpn:KPN_02713
ko:K03722	kpn:KPN_00831
ko:K03737	kpn:KPN_01446
ko:K09978	kpn:KPN_01453
ko:K00077	kpn:KPN_01456
ko:K01438	kpn:KPN_01464
ko:K04477	kpn:KPN_01057
ko:K01118	kpn:KPN_01483
ko:K01996	kpn:KPN_02287
ko:K01995	kpn:KPN_02288
ko:K01998	kpn:KPN_02289
ko:K01997	kpn:KPN_02290
ko:K01999	kpn:KPN_02291
ko:K00656	kpn:KPN_02292
ko:K01754	kpn:KPN_02295
ko:K07395	kpn:KPN_02299
ko:K01194	kpn:KPN_02303
ko:K02014	kpn:KPN_02304
ko:K08308	kpn:KPN_02305
ko:K01775	kpn:KPN_02308
ko:K00285	kpn:KPN_02309
ko:K03603	kpn:KPN_02311
ko:K02068	kpn:KPN_00468
ko:K02950	kpn:KPN_03727
ko:K03543	kpn:KPN_01775
ko:K03446	kpn:KPN_03015
ko:K03711	kpn:KPN_00706
ko:K00764	kpn:KPN_02702
ko:K09160	kpn:KPN_02315
ko:K03625	kpn:KPN_00368
ko:K01646	kpn:KPN_00035
ko:K02897	kpn:KPN_02618
ko:K06942	kpn:KPN_02243
ko:K01056	kpn:KPN_02242
ko:K03553	kpn:KPN_03031
ko:K02686	kpn:KPN_04595
ko:K04067	kpn:KPN_00449
ko:K01807	kpn:KPN_03349
ko:K03495	kpn:KPN_04146
ko:K00554	kpn:KPN_02930
ko:K09920	kpn:KPN_03447
ko:K03073	kpn:KPN_04358
ko:K03046	kpn:KPN_04366
ko:K00426	kpn:KPN_01154
ko:K03550	kpn:KPN_02376
ko:K01681	kpn:KPN_01272
ko:K03778	kpn:KPN_01449
ko:K09806	kpn:KPN_03455
ko:K03210	kpn:KPN_00358
ko:K03072	kpn:KPN_00359
ko:K01430	kpn:KPN_03465
ko:K06177	kpn:KPN_00057
ko:K02609	kpn:KPN_01469
ko:K03978	kpn:KPN_04173
ko:K03595	kpn:KPN_02891
ko:K00939	kpn:KPN_00456
ko:K01588	kpn:KPN_00478
ko:K03646	kpn:KPN_00743
ko:K03616	kpn:KPN_01965
ko:K00346	kpn:KPN_00239
ko:K02343	kpn:KPN_00452
ko:K06217	kpn:KPN_00685
ko:K01770	kpn:KPN_03108
ko:K03664	kpn:KPN_02942
ko:K07708	kpn:KPN_04177
ko:K00800	kpn:KPN_00936
ko:K01424	kpn:KPN_01203
ko:K05810	kpn:KPN_02916
ko:K00347	kpn:KPN_00240
ko:K00348	kpn:KPN_00241
ko:K00349	kpn:KPN_00242
ko:K01358	kpn:KPN_00399
ko:K03545	kpn:KPN_00398
ko:K03702	kpn:KPN_00804
ko:K04075	kpn:KPN_00201
ko:K00560	kpn:KPN_03236
ko:K03820	kpn:KPN_00682
ko:K09748	kpn:KPN_03578
ko:K03497	kpn:KPN_pKPN4p07090
ko:K04652	kpn:KPN_03064
ko:K02335	kpn:KPN_04172
ko:K02783	kpn:KPN_03037
ko:K00658	kpn:KPN_00733
ko:K09019	kpn:KPN_01034
ko:K06152	kpn:KPN_02084
ko:K02759	kpn:KPN_01823
ko:K02529	kpn:KPN_03933
ko:K02529	kpn:KPN_04158
ko:K02529	kpn:KPN_04202
ko:K02529	kpn:KPN_02589
ko:K02529	kpn:KPN_03246
ko:K01439	kpn:KPN_02805
ko:K03304	kpn:KPN_01941
ko:K00449	kpn:KPN_01948
ko:K00448	kpn:KPN_01949
ko:K00373	kpn:KPN_02212
ko:K00371	kpn:KPN_02213
ko:K02575	kpn:KPN_02215
ko:K06039	kpn:KPN_02225
ko:K07300	kpn:KPN_02229
ko:K01627	kpn:KPN_02230
ko:K02492	kpn:KPN_02235
ko:K02494	kpn:KPN_02236
ko:K00919	kpn:KPN_02237
ko:K03576	kpn:KPN_04324
ko:K03690	kpn:KPN_04330
ko:K02838	kpn:KPN_00185
ko:K00759	kpn:KPN_00451
ko:K04079	kpn:KPN_00455
ko:K00892	kpn:KPN_00458
ko:K03455	kpn:KPN_00459
ko:K08223	kpn:KPN_00460
ko:K07340	kpn:KPN_00466
ko:K05838	kpn:KPN_00470
ko:K02003	kpn:KPN_00473
ko:K06917	kpn:KPN_00476
ko:K01589	kpn:KPN_00477
ko:K03269	kpn:KPN_00480
ko:K06969	kpn:KPN_01001
ko:K06910	kpn:KPN_01002
ko:K01512	kpn:KPN_01004
ko:K11179	kpn:KPN_01005
ko:K03451	kpn:KPN_01014
ko:K09471	kpn:KPN_01017
ko:K09472	kpn:KPN_01018
ko:K03809	kpn:KPN_01029
ko:K03317	kpn:KPN_01044
ko:K07243	kpn:KPN_01045
ko:K07224	kpn:KPN_01046
ko:K07119	kpn:KPN_01913
ko:K07127	kpn:KPN_00488
ko:K01647	kpn:KPN_00489
ko:K08170	kpn:KPN_01295
ko:K06918	kpn:KPN_01301
ko:K08990	kpn:KPN_01302
ko:K01222	kpn:KPN_01304
ko:K03721	kpn:KPN_01305
ko:K07120	kpn:KPN_01306
ko:K06885	kpn:KPN_01320
ko:K03823	kpn:KPN_01915
ko:K09936	kpn:KPN_01916
ko:K00426	kpn:KPN_01931
ko:K05782	kpn:KPN_01936
ko:K00099	kpn:KPN_00186
ko:K00806	kpn:KPN_00187
ko:K00981	kpn:KPN_00188
ko:K06142	kpn:KPN_00191
ko:K00677	kpn:KPN_00194
ko:K06080	kpn:KPN_00210
ko:K02073	kpn:KPN_00211
ko:K02072	kpn:KPN_00212
ko:K08307	kpn:KPN_00226
ko:K06445	kpn:KPN_00235
ko:K03271	kpn:KPN_00236
ko:K03305	kpn:KPN_00501
ko:K03335	kpn:KPN_00504
ko:K02529	kpn:KPN_00508
ko:K00847	kpn:KPN_00516
ko:K02013	kpn:KPN_00518
ko:K02016	kpn:KPN_00520
ko:K06871	kpn:KPN_00528
ko:K06995	kpn:KPN_00533
ko:K09471	kpn:KPN_00534
ko:K05785	kpn:KPN_04336
ko:K03182	kpn:KPN_04337
ko:K00058	kpn:KPN_03348
ko:K11392	kpn:KPN_02351
ko:K08992	kpn:KPN_01275
ko:K02824	kpn:KPN_02820
ko:K01515	kpn:KPN_03448
ko:K07686	kpn:KPN_04072
ko:K11082	kpn:KPN_04058
ko:K11076	kpn:KPN_00886
ko:K04042	kpn:KPN_04135
ko:K07679	kpn:KPN_03481
ko:K15555	kpn:KPN_00969
ko:K05783	kpn:KPN_01869
ko:K02431	kpn:KPN_03155
ko:K08348	kpn:KPN_01867
ko:K07336	kpn:KPN_01249
ko:K07053	kpn:KPN_01258
ko:K01591	kpn:KPN_01277
ko:K03113	kpn:KPN_01278
ko:K04062	kpn:KPN_01279
ko:K09975	kpn:KPN_01285
ko:K05550	kpn:KPN_01871
ko:K05549	kpn:KPN_01872
ko:K03464	kpn:KPN_01874
ko:K02011	kpn:KPN_01885
ko:K02012	kpn:KPN_01886
ko:K02014	kpn:KPN_01909
ko:K09910	kpn:KPN_00125
ko:K01611	kpn:KPN_00126
ko:K00797	kpn:KPN_00127
ko:K01673	kpn:KPN_00134
ko:K09773	kpn:KPN_02161
ko:K01626	kpn:KPN_02162
ko:K00285	kpn:KPN_02172
ko:K02520	kpn:KPN_02179
ko:K01868	kpn:KPN_02180
ko:K07283	kpn:KPN_02182
ko:K03832	kpn:KPN_02186
ko:K09780	kpn:KPN_02187
ko:K06131	kpn:KPN_02190
ko:K09901	kpn:KPN_02191
ko:K07001	kpn:KPN_02204
ko:K09858	kpn:KPN_02205
ko:K01433	kpn:KPN_02206
ko:K01918	kpn:KPN_00140
ko:K00606	kpn:KPN_00141
ko:K00950	kpn:KPN_00142
ko:K01975	kpn:KPN_00147
ko:K03579	kpn:KPN_00148
ko:K02456	kpn:KPN_00157
ko:K02454	kpn:KPN_00159
ko:K02014	kpn:KPN_00165
ko:K02013	kpn:KPN_00166
ko:K02016	kpn:KPN_00167
ko:K02015	kpn:KPN_00168
ko:K03281	kpn:KPN_00170
ko:K06858	kpn:KPN_00173
ko:K01129	kpn:KPN_00175
ko:K02647	kpn:KPN_00177
ko:K00990	kpn:KPN_00180
ko:K01265	kpn:KPN_00181
ko:K02967	kpn:KPN_00182
ko:K02357	kpn:KPN_00183
ko:K09911	kpn:KPN_00985
ko:K01734	kpn:KPN_00992
ko:K06929	kpn:KPN_00993
ko:K02909	kpn:KPN_00435
ko:K00375	kpn:KPN_00438
ko:K05839	kpn:KPN_00441
ko:K03577	kpn:KPN_00445
ko:K09790	kpn:KPN_00450
ko:K02802	kpn:KPN_00700
ko:K02803	kpn:KPN_00700
ko:K02804	kpn:KPN_00700
ko:K02775	kpn:KPN_03550
ko:K00133	kpn:KPN_03799
ko:K03399	kpn:KPN_03196
ko:K02227	kpn:KPN_03199
ko:K01756	kpn:KPN_01139
ko:K04068	kpn:KPN_04645
ko:K02760	kpn:KPN_04648
ko:K01226	kpn:KPN_04651
ko:K03485	kpn:KPN_04653
ko:K01531	kpn:KPN_04654
ko:K09954	kpn:KPN_02757
ko:K08483	kpn:KPN_02763
ko:K02777	kpn:KPN_02764
ko:K02045	kpn:KPN_02770
ko:K02047	kpn:KPN_02771
ko:K02046	kpn:KPN_02772
ko:K02048	kpn:KPN_02773
ko:K07223	kpn:KPN_02774
ko:K04033	kpn:KPN_02780
ko:K03823	kpn:KPN_pKPN3p05928
ko:K07156	kpn:KPN_pKPN3p05939
ko:K07233	kpn:KPN_pKPN3p05940
ko:K07798	kpn:KPN_pKPN3p05947
ko:K07644	kpn:KPN_pKPN3p05951
ko:K02168	kpn:KPN_pKPN3p05958
ko:K08315	kpn:KPN_03054
ko:K04653	kpn:KPN_03065
ko:K04654	kpn:KPN_03066
ko:K04655	kpn:KPN_03067
ko:K11072	kpn:KPN_01132
ko:K11070	kpn:KPN_01130
ko:K02821	kpn:KPN_04588
ko:K10017	kpn:KPN_02696
ko:K10015	kpn:KPN_02697
ko:K10016	kpn:KPN_02698
ko:K10014	kpn:KPN_02699
ko:K03558	kpn:KPN_02703
ko:K03749	kpn:KPN_02704
ko:K03473	kpn:KPN_02710
ko:K09906	kpn:KPN_02716
ko:K07261	kpn:KPN_02718
ko:K01736	kpn:KPN_02719
ko:K02044	kpn:KPN_pKPN3p05890
ko:K03696	kpn:KPN_pKPN3p05899
ko:K03799	kpn:KPN_pKPN3p05903
ko:K01118	kpn:KPN_02994
ko:K00375	kpn:KPN_03002
ko:K03543	kpn:KPN_03014
ko:K01649	kpn:KPN_03016
ko:K04026	kpn:KPN_02782
ko:K03736	kpn:KPN_02783
ko:K03735	kpn:KPN_02784
ko:K04019	kpn:KPN_02785
ko:K04023	kpn:KPN_02786
ko:K04024	kpn:KPN_02788
ko:K04032	kpn:KPN_02793
ko:K04029	kpn:KPN_02795
ko:K04031	kpn:KPN_02796
ko:K00615	kpn:KPN_02799
ko:K06999	kpn:KPN_02807
ko:K07054	kpn:KPN_02809
ko:K07287	kpn:KPN_02811
ko:K07479	kpn:KPN_03684
ko:K03747	kpn:KPN_03685
ko:K04096	kpn:KPN_03686
ko:K01462	kpn:KPN_03687
ko:K03499	kpn:KPN_03690
ko:K03282	kpn:KPN_03691
ko:K11216	kpn:KPN_03509
ko:K03424	kpn:KPN_04835
ko:K03317	kpn:KPN_04836
ko:K01619	kpn:KPN_04837
ko:K03800	kpn:KPN_04841
ko:K03687	kpn:KPN_02936
ko:K00858	kpn:KPN_02937
ko:K06186	kpn:KPN_02939
ko:K09801	kpn:KPN_02940
ko:K02781	kpn:KPN_02952
ko:K02782	kpn:KPN_02953
ko:K02783	kpn:KPN_02953
ko:K08093	kpn:KPN_02957
ko:K08311	kpn:KPN_03239
ko:K08227	kpn:KPN_03244
ko:K05350	kpn:KPN_03249
ko:K02761	kpn:KPN_03250
ko:K04047	kpn:KPN_00841
ko:K09001	kpn:KPN_01978
ko:K09020	kpn:KPN_01037
ko:K09016	kpn:KPN_01032
ko:K00330	kpn:KPN_02678
ko:K09161	kpn:KPN_02684
ko:K09899	kpn:KPN_02686
ko:K00925	kpn:KPN_02687
ko:K07095	kpn:KPN_02690
ko:K07589	kpn:KPN_02693
ko:K03824	kpn:KPN_03564
ko:K05803	kpn:KPN_03571
ko:K00962	kpn:KPN_03572
ko:K01940	kpn:KPN_03580
ko:K03431	kpn:KPN_03586
ko:K00796	kpn:KPN_03587
ko:K03798	kpn:KPN_03588
ko:K02427	kpn:KPN_03589
ko:K07574	kpn:KPN_03590
ko:K07259	kpn:KPN_03592
ko:K01924	kpn:KPN_00095
ko:K03590	kpn:KPN_00098
ko:K03531	kpn:KPN_00099
ko:K09862	kpn:KPN_00104
ko:K00364	kpn:KPN_00107
ko:K07478	kpn:KPN_00924
ko:K07308	kpn:KPN_00928
ko:K00656	kpn:KPN_00931
ko:K09136	kpn:KPN_00933
ko:K00831	kpn:KPN_00935
ko:K00912	kpn:KPN_00942
ko:K09927	kpn:KPN_00943
ko:K00014	kpn:KPN_00387
ko:K02300	kpn:KPN_00391
ko:K02299	kpn:KPN_00392
ko:K07286	kpn:KPN_00396
ko:K06920	kpn:KPN_00406
ko:K01738	kpn:KPN_00409
ko:K03077	kpn:KPN_04591
ko:K11750	kpn:KPN_00251
ko:K08167	kpn:KPN_01877
ko:K02020	kpn:KPN_02127
ko:K02773	kpn:KPN_03548
ko:K02782	kpn:KPN_03038
ko:K02783	kpn:KPN_03038
ko:K02759	kpn:KPN_01232
ko:K03322	kpn:KPN_02743
ko:K01885	kpn:KPN_02750
ko:K07139	kpn:KPN_03623
ko:K01788	kpn:KPN_03626
ko:K09908	kpn:KPN_03632
ko:K01571	kpn:KPN_03637
ko:K03402	kpn:KPN_03645
ko:K03623	kpn:KPN_03648
ko:K03568	kpn:KPN_03653
ko:K06287	kpn:KPN_03656
ko:K03743	kpn:KPN_03032
ko:K00068	kpn:KPN_03040
ko:K07241	kpn:KPN_03047
ko:K04656	kpn:KPN_03048
ko:K05796	kpn:KPN_03049
ko:K01805	kpn:KPN_03929
ko:K03796	kpn:KPN_03934
ko:K02562	kpn:KPN_03944
ko:K07147	kpn:KPN_03661
ko:K03786	kpn:KPN_03663
ko:K00014	kpn:KPN_03682
ko:K07322	kpn:KPN_04602
ko:K07109	kpn:KPN_04609
ko:K09800	kpn:KPN_04617
ko:K02558	kpn:KPN_04627
ko:K00101	kpn:KPN_03949
ko:K03216	kpn:KPN_03950
ko:K00640	kpn:KPN_03951
ko:K03676	kpn:KPN_03954
ko:K09798	kpn:KPN_03959
ko:K00639	kpn:KPN_03962
ko:K02843	kpn:KPN_03964
ko:K02844	kpn:KPN_03969
ko:K02527	kpn:KPN_03972
ko:K02913	kpn:KPN_03976
ko:K03630	kpn:KPN_03978
ko:K01520	kpn:KPN_03980
ko:K05501	kpn:KPN_03981
ko:K01551	kpn:KPN_pKPN3p05920
ko:K03823	kpn:KPN_pKPN3p05923
ko:K03088	kpn:KPN_pKPN3p05925
ko:K02532	kpn:KPN_03262
ko:K02532	kpn:KPN_04204
ko:K01465	kpn:KPN_04638
ko:K07347	kpn:KPN_02988
ko:K03305	kpn:KPN_03861
ko:K01414	kpn:KPN_03863
ko:K07115	kpn:KPN_03865
ko:K01194	kpn:KPN_03869
ko:K07058	kpn:KPN_03873
ko:K07290	kpn:KPN_03875
ko:K00874	kpn:KPN_03876
ko:K07347	kpn:KPN_03277
ko:K07345	kpn:KPN_03279
ko:K07345	kpn:KPN_03287
ko:K03753	kpn:KPN_04166
ko:K09896	kpn:KPN_04168
ko:K03673	kpn:KPN_04170
ko:K09894	kpn:KPN_04174
ko:K07712	kpn:KPN_04176
ko:K06207	kpn:KPN_04179
ko:K07560	kpn:KPN_04182
ko:K00127	kpn:KPN_04188
ko:K00123	kpn:KPN_04190
ko:K02379	kpn:KPN_04191
ko:K05820	kpn:KPN_02870
ko:K06145	kpn:KPN_03802
ko:K03825	kpn:KPN_03806
ko:K00681	kpn:KPN_03807
ko:K01126	kpn:KPN_03809
ko:K05816	kpn:KPN_03810
ko:K05815	kpn:KPN_03811
ko:K05814	kpn:KPN_03812
ko:K05813	kpn:KPN_03813
ko:K07341	kpn:KPN_03814
ko:K01998	kpn:KPN_03818
ko:K01997	kpn:KPN_03819
ko:K01999	kpn:KPN_03820
ko:K01999	kpn:KPN_03822
ko:K00375	kpn:KPN_03826
ko:K09812	kpn:KPN_03829
ko:K08993	kpn:KPN_03832
ko:K10011	kpn:KPN_03845
ko:K10012	kpn:KPN_03846
ko:K04031	kpn:KPN_03220
ko:K04029	kpn:KPN_03221
ko:K01407	kpn:KPN_03230
ko:K08998	kpn:KPN_04108
ko:K03217	kpn:KPN_04109
ko:K06901	kpn:KPN_04124
ko:K02039	kpn:KPN_04129
ko:K07701	kpn:KPN_01551
ko:K07007	kpn:KPN_03857
ko:K00151	kpn:KPN_04787
ko:K03307	kpn:KPN_04795
ko:K00481	kpn:KPN_04815
ko:K02761	kpn:KPN_04820
ko:K06205	kpn:KPN_04147
ko:K03924	kpn:KPN_04151
ko:K03549	kpn:KPN_04152
ko:K06940	kpn:KPN_pKPN4p07082
ko:K04759	kpn:KPN_03779
ko:K11071	kpn:KPN_01131
ko:K11069	kpn:KPN_01129
ko:K02822	kpn:KPN_00352
ko:K03111	kpn:KPN_pKPN3p05983
ko:K03111	kpn:KPN_pKPN4p07109
ko:K00337	kpn:KPN_02672
ko:K03148	kpn:KPN_04374
ko:K00626	kpn:KPN_02055
ko:K07407	kpn:KPN_04203
ko:K06958	kpn:KPN_03615
ko:K07222	kpn:KPN_01462
ko:K03316	kpn:KPN_02439
ko:K01610	kpn:KPN_02285
ko:K00832	kpn:KPN_04441
ko:K00832	kpn:KPN_01365
ko:K01439	kpn:KPN_01735
ko:K11604	kpn:KPN_03078
ko:K00299	kpn:KPN_00973
ko:K03767	kpn:KPN_03749
ko:K01895	kpn:KPN_04478
ko:K06149	kpn:KPN_03860
ko:K06203	kpn:KPN_02760
ko:K07703	kpn:KPN_01550
ko:K07665	kpn:KPN_04740
ko:K06212	kpn:KPN_00932
ko:K02439	kpn:KPN_03791
ko:K01631	kpn:KPN_04797
ko:K03566	kpn:KPN_01260
ko:K07660	kpn:KPN_01136
ko:K07660	kpn:KPN_02523
ko:K05802	kpn:KPN_00446
ko:K01625	kpn:KPN_02365
ko:K07702	kpn:KPN_00053
ko:K03561	kpn:KPN_03426
ko:K01631	kpn:KPN_04096
ko:K00868	kpn:KPN_01974
ko:K02017	kpn:KPN_00779
ko:K02464	kpn:KPN_00149
ko:K00984	kpn:KPN_pKPN4p07059
ko:K00761	kpn:KPN_02821
ko:K11175	kpn:KPN_02825
ko:K00937	kpn:KPN_02826
ko:K06871	kpn:KPN_02831
ko:K00940	kpn:KPN_02848
ko:K06894	kpn:KPN_02850
ko:K07751	kpn:KPN_02855
ko:K04082	kpn:KPN_02859
ko:K04488	kpn:KPN_02861
ko:K00768	kpn:KPN_03182
ko:K02231	kpn:KPN_03183
ko:K02232	kpn:KPN_03184
ko:K02006	kpn:KPN_03185
ko:K02008	kpn:KPN_03186
ko:K05895	kpn:KPN_03191
ko:K02191	kpn:KPN_03195
ko:K03466	kpn:KPN_00922
ko:K07666	kpn:KPN_03440
ko:K07657	kpn:KPN_00340
ko:K00868	kpn:KPN_02766
ko:K00090	kpn:KPN_03915
ko:K01911	kpn:KPN_02658
ko:K07687	kpn:KPN_02638
ko:K07690	kpn:KPN_03480
ko:K07235	kpn:KPN_03730
ko:K00564	kpn:KPN_04827
ko:K11391	kpn:KPN_03511
ko:K02619	kpn:KPN_01094
ko:K01525	kpn:KPN_00046
ko:K07659	kpn:KPN_03775
ko:K00113	kpn:KPN_02649
ko:K12264	kpn:KPN_03045
ko:K00703	kpn:KPN_03795
ko:K12265	kpn:KPN_03046
ko:K07702	kpn:KPN_00028
ko:K12147	kpn:KPN_01066
ko:K12148	kpn:KPN_01072
ko:K12062	kpn:KPN_pKPN4p07140
ko:K12062	kpn:KPN_pKPN3p06018
ko:K12064	kpn:KPN_pKPN4p07132
ko:K12072	kpn:KPN_pKPN4p07153
ko:K12149	kpn:KPN_01073
ko:K12063	kpn:KPN_pKPN4p07139
ko:K12065	kpn:KPN_pKPN4p07131
ko:K01079	kpn:KPN_04843
ko:K12066	kpn:KPN_pKPN3p06007
ko:K12059	kpn:KPN_pKPN4p07144
ko:K12289	kpn:KPN_03765
ko:K12061	kpn:KPN_pKPN3p06019
ko:K12266	kpn:KPN_03044
ko:K12340	kpn:KPN_03449
ko:K11991	kpn:KPN_02884
ko:K01937	kpn:KPN_03124
ko:K09937	kpn:KPN_04575
ko:K03218	kpn:KPN_04579
ko:K09456	kpn:KPN_04580
ko:K03476	kpn:KPN_04585
ko:K03475	kpn:KPN_04586
ko:K05879	kpn:KPN_03496
ko:K07323	kpn:KPN_03602
ko:K02067	kpn:KPN_03603
ko:K02066	kpn:KPN_03604
ko:K02065	kpn:KPN_03605
ko:K07301	kpn:KPN_03606
ko:K09774	kpn:KPN_03610
ko:K07648	kpn:KPN_03619
ko:K01686	kpn:KPN_03620
ko:K07347	kpn:KPN_04540
ko:K03098	kpn:KPN_04549
ko:K00246	kpn:KPN_04551
ko:K01613	kpn:KPN_04557
ko:K06949	kpn:KPN_04558
ko:K06925	kpn:KPN_04566
ko:K02372	kpn:KPN_00193
ko:K00860	kpn:KPN_03112
ko:K04760	kpn:KPN_03776
ko:K06144	kpn:KPN_03859
ko:K11083	kpn:KPN_04059
ko:K05800	kpn:KPN_00410
ko:K04752	kpn:KPN_00413
ko:K03320	kpn:KPN_00414
ko:K09914	kpn:KPN_00416
ko:K07443	kpn:KPN_00417
ko:K01224	kpn:KPN_00430
ko:K06219	kpn:KPN_00948
ko:K01751	kpn:KPN_00963
ko:K03837	kpn:KPN_00964
ko:K06016	kpn:KPN_00965
ko:K00763	kpn:KPN_00967
ko:K07140	kpn:KPN_00976
ko:K09857	kpn:KPN_00981
ko:K03812	kpn:KPN_00982
