ko:K19079	saus:SA40_0601
ko:K09125	saus:SA40_1307
ko:K08170	saus:SA40_1310
ko:K01754	saus:SA40_1312
ko:K00259	saus:SA40_1313
ko:K07444	saus:SA40_1318
ko:K05366	saus:SA40_1325
ko:K10773	saus:SA40_1327
ko:K01893	saus:SA40_1329
ko:K03315	saus:SA40_2046
ko:K09940	saus:SA40_2048
ko:K00123	saus:SA40_2055
ko:K03453	saus:SA40_2067
ko:K02749	saus:SA40_2069
ko:K02750	saus:SA40_2069
ko:K03481	saus:SA40_2070
ko:K01468	saus:SA40_2077
ko:K01712	saus:SA40_2078
ko:K01807	saus:SA40_2082
ko:K03652	saus:SA40_2089
ko:K03312	saus:SA40_2090
ko:K03284	saus:SA40_2092
ko:K07107	saus:SA40_2093
ko:K00919	saus:SA40_0433
ko:K06412	saus:SA40_0436
ko:K04042	saus:SA40_0438
ko:K00948	saus:SA40_0439
ko:K02897	saus:SA40_0440
ko:K01056	saus:SA40_0441
ko:K03723	saus:SA40_0442
ko:K07571	saus:SA40_0447
ko:K04075	saus:SA40_0448
ko:K00760	saus:SA40_0449
ko:K03798	saus:SA40_0450
ko:K04083	saus:SA40_0451
ko:K01738	saus:SA40_0452
ko:K00796	saus:SA40_0453
ko:K01633	saus:SA40_0454
ko:K00950	saus:SA40_0455
ko:K04567	saus:SA40_0456
ko:K00375	saus:SA40_0457
ko:K06215	saus:SA40_0458
ko:K08681	saus:SA40_0459
ko:K11535	saus:SA40_0460
ko:K03696	saus:SA40_0464
ko:K04485	saus:SA40_0465
ko:K00640	saus:SA40_0468
ko:K01883	saus:SA40_0469
ko:K11145	saus:SA40_0470
ko:K03218	saus:SA40_0471
ko:K06962	saus:SA40_0472
ko:K03091	saus:SA40_0473
ko:K02913	saus:SA40_0474
ko:K03073	saus:SA40_0475
ko:K02601	saus:SA40_0476
ko:K02867	saus:SA40_0477
ko:K02863	saus:SA40_0478
ko:K02864	saus:SA40_0479
ko:K03524	saus:SA40_1331
ko:K06973	saus:SA40_1335
ko:K00800	saus:SA40_1339
ko:K01735	saus:SA40_1340
ko:K01736	saus:SA40_1341
ko:K00940	saus:SA40_1342
ko:K03183	saus:SA40_1344
ko:K03530	saus:SA40_1346
ko:K00057	saus:SA40_1347
ko:K03977	saus:SA40_1348
ko:K02945	saus:SA40_1349
ko:K00945	saus:SA40_1350
ko:K03654	saus:SA40_1355
ko:K07651	saus:SA40_1363
ko:K07775	saus:SA40_1364
ko:K06178	saus:SA40_1365
ko:K06024	saus:SA40_1366
ko:K05896	saus:SA40_1367
ko:K07124	saus:SA40_1374
ko:K00286	saus:SA40_1375
ko:K00036	saus:SA40_1377
ko:K07552	saus:SA40_2101
ko:K09814	saus:SA40_2105
ko:K09813	saus:SA40_2106
ko:K00116	saus:SA40_2114
ko:K03303	saus:SA40_2115
ko:K11102	saus:SA40_2132
ko:K10850	saus:SA40_2136
ko:K07696	saus:SA40_2140
ko:K07683	saus:SA40_2141
ko:K10851	saus:SA40_2142
ko:K00373	saus:SA40_2144
ko:K00371	saus:SA40_2145
ko:K00370	saus:SA40_2146
ko:K00363	saus:SA40_2148
ko:K00362	saus:SA40_2149
ko:K02935	saus:SA40_0480
ko:K03043	saus:SA40_0482
ko:K03046	saus:SA40_0483
ko:K07590	saus:SA40_0484
ko:K02950	saus:SA40_0485
ko:K02992	saus:SA40_0486
ko:K02355	saus:SA40_0487
ko:K02358	saus:SA40_0488
ko:K05523	saus:SA40_0491
ko:K00826	saus:SA40_0494
ko:K01091	saus:SA40_0495
ko:K15519	saus:SA40_0496
ko:K15518	saus:SA40_0497
ko:K11991	saus:SA40_0498
ko:K14194	saus:SA40_0501
ko:K14194	saus:SA40_0502
ko:K14194	saus:SA40_0503
ko:K09007	saus:SA40_0507
ko:K09685	saus:SA40_0434
ko:K07491	saus:SA40_0437
ko:K02499	saus:SA40_0444
ko:K03708	saus:SA40_0461
ko:K09698	saus:SA40_0467
ko:K00974	saus:SA40_1332
ko:K00805	saus:SA40_1343
ko:K01424	saus:SA40_1351
ko:K05337	saus:SA40_1357
ko:K09763	saus:SA40_1368
ko:K04763	saus:SA40_1369
ko:K03711	saus:SA40_1370
ko:K01515	saus:SA40_1371
ko:K00784	saus:SA40_1376
ko:K00033	saus:SA40_1382
ko:K01990	saus:SA40_2112
ko:K00374	saus:SA40_2143
ko:K02303	saus:SA40_2147
ko:K00639	saus:SA40_0490
ko:K00853	saus:SA40_0492
ko:K00712	saus:SA40_0504
ko:K00712	saus:SA40_0505
ko:K02564	saus:SA40_0510
ko:K08093	saus:SA40_0511
ko:K00626	saus:SA40_0516
ko:K07491	saus:SA40_0527
ko:K00625	saus:SA40_0529
ko:K00869	saus:SA40_0531
ko:K01597	saus:SA40_0532
ko:K00938	saus:SA40_0533
ko:K02246	saus:SA40_1412
ko:K02245	saus:SA40_1413
ko:K02244	saus:SA40_1414
ko:K02243	saus:SA40_1415
ko:K00845	saus:SA40_1418
ko:K02076	saus:SA40_1425
ko:K09815	saus:SA40_2155
ko:K01834	saus:SA40_2165
ko:K00652	saus:SA40_2174
ko:K06147	saus:SA40_2179
ko:K06147	saus:SA40_2180
ko:K03929	saus:SA40_2202
ko:K14225	saus:SA40_t026
ko:K08094	saus:SA40_0512
ko:K03762	saus:SA40_0514
ko:K00868	saus:SA40_0520
ko:K03648	saus:SA40_0521
ko:K16869	saus:SA40_0530
ko:K09699	saus:SA40_1387
ko:K00167	saus:SA40_1388
ko:K00166	saus:SA40_1389
ko:K00382	saus:SA40_1390
ko:K03631	saus:SA40_1391
ko:K03402	saus:SA40_1392
ko:K13789	saus:SA40_1393
ko:K03602	saus:SA40_1394
ko:K03601	saus:SA40_1395
ko:K03625	saus:SA40_1396
ko:K01961	saus:SA40_1398
ko:K02160	saus:SA40_1399
ko:K02356	saus:SA40_1400
ko:K03800	saus:SA40_1404
ko:K00283	saus:SA40_1406
ko:K00282	saus:SA40_1407
ko:K00605	saus:SA40_1408
ko:K00891	saus:SA40_1409
ko:K02913	saus:SA40_1422
ko:K12553	saus:SA40_1423
ko:K04564	saus:SA40_1424
ko:K09816	saus:SA40_1426
ko:K09817	saus:SA40_1427
ko:K01151	saus:SA40_1428
ko:K06967	saus:SA40_1431
ko:K03086	saus:SA40_1432
ko:K09773	saus:SA40_1434
ko:K10010	saus:SA40_2161
ko:K10009	saus:SA40_2162
ko:K02424	saus:SA40_2163
ko:K14197	saus:SA40_2167
ko:K01012	saus:SA40_2175
ko:K00833	saus:SA40_2176
ko:K01935	saus:SA40_2177
ko:K00865	saus:SA40_2183
ko:K11737	saus:SA40_2189
ko:K00077	saus:SA40_2194
ko:K08170	saus:SA40_2195
ko:K05846	saus:SA40_2196
ko:K05845	saus:SA40_2197
ko:K05846	saus:SA40_2198
ko:K05847	saus:SA40_2199
ko:K02069	saus:SA40_2204
ko:K02068	saus:SA40_2205
ko:K06885	saus:SA40_0546
ko:K01887	saus:SA40_0550
ko:K02016	saus:SA40_0552
ko:K02015	saus:SA40_0553
ko:K09936	saus:SA40_0560
ko:K05566	saus:SA40_0565
ko:K05567	saus:SA40_0566
ko:K05569	saus:SA40_0568
ko:K05571	saus:SA40_0570
ko:K05946	saus:SA40_0577
ko:K16323	saus:SA40_0585
ko:K02013	saus:SA40_0587
ko:K02015	saus:SA40_0588
ko:K02015	saus:SA40_0589
ko:K05878	saus:SA40_0590
ko:K05879	saus:SA40_0591
ko:K01880	saus:SA40_1436
ko:K03584	saus:SA40_1437
ko:K07042	saus:SA40_1441
ko:K02970	saus:SA40_1446
ko:K09761	saus:SA40_1448
ko:K02687	saus:SA40_1449
ko:K03686	saus:SA40_1450
ko:K04043	saus:SA40_1451
ko:K03687	saus:SA40_1452
ko:K03705	saus:SA40_1453
ko:K03596	saus:SA40_1455
ko:K02968	saus:SA40_1456
ko:K02340	saus:SA40_1457
ko:K02237	saus:SA40_1460
ko:K09710	saus:SA40_1462
ko:K00969	saus:SA40_1464
ko:K07574	saus:SA40_1465
ko:K00014	saus:SA40_1466
ko:K07015	saus:SA40_1468
ko:K07160	saus:SA40_1475
ko:K01961	saus:SA40_1476
ko:K02160	saus:SA40_1477
ko:K03624	saus:SA40_1480
ko:K00876	saus:SA40_1481
ko:K08303	saus:SA40_1482
ko:K07447	saus:SA40_1486
ko:K01872	saus:SA40_1488
ko:K03581	saus:SA40_1489
ko:K10824	saus:SA40_2211
ko:K15587	saus:SA40_2212
ko:K15586	saus:SA40_2213
ko:K15585	saus:SA40_2214
ko:K15584	saus:SA40_2215
ko:K00963	saus:SA40_2248
ko:K11476	saus:SA40_2253
ko:K07220	saus:SA40_0603
ko:K03306	saus:SA40_0604
ko:K06890	saus:SA40_0606
ko:K09793	saus:SA40_0614
ko:K06966	saus:SA40_0620
ko:K09768	saus:SA40_0621
ko:K06153	saus:SA40_0623
ko:K01669	saus:SA40_0631
ko:K02768	saus:SA40_0640
ko:K02769	saus:SA40_0640
ko:K02770	saus:SA40_0640
ko:K01443	saus:SA40_0641
ko:K10681	saus:SA40_0645
ko:K10682	saus:SA40_0646
ko:K16937	saus:SA40_0647
ko:K10026	saus:SA40_0650
ko:K01737	saus:SA40_0651
ko:K06920	saus:SA40_0652
ko:K00566	saus:SA40_1491
ko:K04487	saus:SA40_1492
ko:K17472	saus:SA40_1496
ko:K07478	saus:SA40_1497
ko:K01876	saus:SA40_1499
ko:K01892	saus:SA40_1500
ko:K01448	saus:SA40_1501
ko:K07560	saus:SA40_1502
ko:K00759	saus:SA40_1504
ko:K07462	saus:SA40_1505
ko:K12257	saus:SA40_1506
ko:K03210	saus:SA40_1507
ko:K00773	saus:SA40_1508
ko:K07568	saus:SA40_1509
ko:K03551	saus:SA40_1510
ko:K03550	saus:SA40_1511
ko:K06209	saus:SA40_1512
ko:K03979	saus:SA40_1513
ko:K02899	saus:SA40_1514
ko:K02888	saus:SA40_1516
ko:K03571	saus:SA40_1517
ko:K03570	saus:SA40_1518
ko:K03630	saus:SA40_1522
ko:K11754	saus:SA40_1524
ko:K01873	saus:SA40_1525
ko:K01246	saus:SA40_1526
ko:K01845	saus:SA40_1529
ko:K01698	saus:SA40_1530
ko:K01749	saus:SA40_1532
ko:K02497	saus:SA40_1533
ko:K02492	saus:SA40_1534
ko:K03978	saus:SA40_1535
ko:K03544	saus:SA40_1536
ko:K03545	saus:SA40_1537
ko:K02887	saus:SA40_1540
ko:K02916	saus:SA40_1541
ko:K02520	saus:SA40_1542
ko:K11733	saus:SA40_1543
ko:K04041	saus:SA40_2268
ko:K06999	saus:SA40_2270
ko:K15975	saus:SA40_2271
ko:K15973	saus:SA40_2272
ko:K06975	saus:SA40_2273
ko:K03778	saus:SA40_2277
ko:K16917	saus:SA40_2279
ko:K13953	saus:SA40_0548
ko:K07457	saus:SA40_0551
ko:K07025	saus:SA40_0554
ko:K05565	saus:SA40_0564
ko:K05568	saus:SA40_0567
ko:K05570	saus:SA40_0569
ko:K03709	saus:SA40_0575
ko:K09693	saus:SA40_0578
ko:K07258	saus:SA40_0583
ko:K01489	saus:SA40_1439
ko:K02238	saus:SA40_1458
ko:K06948	saus:SA40_1467
ko:K01243	saus:SA40_1469
ko:K07491	saus:SA40_1471
ko:K12942	saus:SA40_2221
ko:K03574	saus:SA40_2239
ko:K01835	saus:SA40_2241
ko:K03299	saus:SA40_2251
ko:K00851	saus:SA40_2252
ko:K03535	saus:SA40_2258
ko:K01990	saus:SA40_2260
ko:K09705	saus:SA40_0610
ko:K16013	saus:SA40_0624
ko:K16012	saus:SA40_0625
ko:K06934	saus:SA40_0633
ko:K03976	saus:SA40_0636
ko:K03436	saus:SA40_0638
ko:K00882	saus:SA40_0639
ko:K07584	saus:SA40_1515
ko:K02236	saus:SA40_1523
ko:K07120	saus:SA40_1527
ko:K01719	saus:SA40_1531
ko:K06889	saus:SA40_2262
ko:K06889	saus:SA40_2264
ko:K07491	saus:SA40_2274
ko:K07104	saus:SA40_2275
ko:K00158	saus:SA40_2291
ko:K00054	saus:SA40_2297
ko:K01641	saus:SA40_2298
ko:K00567	saus:SA40_2300
ko:K04086	saus:SA40_2301
ko:K06994	saus:SA40_2305
ko:K00294	saus:SA40_2308
ko:K07213	saus:SA40_2312
ko:K10209	saus:SA40_2315
ko:K01664	saus:SA40_0653
ko:K02619	saus:SA40_0655
ko:K05845	saus:SA40_0663
ko:K05846	saus:SA40_0663
ko:K03647	saus:SA40_0670
ko:K01258	saus:SA40_0682
ko:K02851	saus:SA40_0686
ko:K02240	saus:SA40_0689
ko:K02242	saus:SA40_0690
ko:K06023	saus:SA40_0699
ko:K09762	saus:SA40_0706
ko:K11144	saus:SA40_1545
ko:K03346	saus:SA40_1546
ko:K10563	saus:SA40_1550
ko:K16916	saus:SA40_2280
ko:K03823	saus:SA40_2282
ko:K01752	saus:SA40_2283
ko:K01752	saus:SA40_2284
ko:K07107	saus:SA40_2289
ko:K04759	saus:SA40_2303
ko:K04758	saus:SA40_2304
ko:K03778	saus:SA40_2313
ko:K01665	saus:SA40_0654
ko:K15738	saus:SA40_0660
ko:K03654	saus:SA40_0661
ko:K05847	saus:SA40_0662
ko:K00817	saus:SA40_0664
ko:K03305	saus:SA40_0667
ko:K09457	saus:SA40_0668
ko:K02015	saus:SA40_0673
ko:K02015	saus:SA40_0674
ko:K02013	saus:SA40_0675
ko:K02016	saus:SA40_0676
ko:K00075	saus:SA40_0677
ko:K00865	saus:SA40_0681
ko:K03070	saus:SA40_0692
ko:K02836	saus:SA40_0693
ko:K07023	saus:SA40_0695
ko:K03702	saus:SA40_0697
ko:K03701	saus:SA40_0698
ko:K13292	saus:SA40_0700
ko:K00384	saus:SA40_0703
ko:K01358	saus:SA40_0707
ko:K07071	saus:SA40_0709
ko:K01868	saus:SA40_1544
ko:K07738	saus:SA40_1547
ko:K00134	saus:SA40_1548
ko:K00859	saus:SA40_1549
ko:K07636	saus:SA40_1553
ko:K00031	saus:SA40_1555
ko:K01647	saus:SA40_1556
ko:K11737	saus:SA40_1557
ko:K00873	saus:SA40_1558
ko:K00850	saus:SA40_1559
ko:K01962	saus:SA40_1560
ko:K01963	saus:SA40_1561
ko:K02337	saus:SA40_1563
ko:K00259	saus:SA40_1570
ko:K00925	saus:SA40_1572
ko:K11065	saus:SA40_1574
ko:K07090	saus:SA40_1575
ko:K03151	saus:SA40_1576
ko:K04487	saus:SA40_1577
ko:K02986	saus:SA40_1580
ko:K01126	saus:SA40_1581
ko:K02803	saus:SA40_1588
ko:K02804	saus:SA40_1588
ko:K00655	saus:SA40_1589
ko:K01866	saus:SA40_1591
ko:K12551	saus:SA40_1592
ko:K01938	saus:SA40_1594
ko:K01895	saus:SA40_1595
ko:K04766	saus:SA40_1596
ko:K10208	saus:SA40_2316
ko:K10211	saus:SA40_2317
ko:K10210	saus:SA40_2318
ko:K09765	saus:SA40_2345
ko:K06978	saus:SA40_2348
ko:K01579	saus:SA40_2351
ko:K01918	saus:SA40_2352
ko:K00606	saus:SA40_2353
ko:K00077	saus:SA40_2354
ko:K01575	saus:SA40_2355
ko:K00823	saus:SA40_2358
ko:K01623	saus:SA40_2360
ko:K00116	saus:SA40_2361
ko:K01895	saus:SA40_2363
ko:K05311	saus:SA40_0711
ko:K00134	saus:SA40_0712
ko:K00927	saus:SA40_0713
ko:K01803	saus:SA40_0714
ko:K15633	saus:SA40_0715
ko:K01689	saus:SA40_0716
ko:K03075	saus:SA40_0718
ko:K03928	saus:SA40_0719
ko:K12573	saus:SA40_0720
ko:K03664	saus:SA40_0721
ko:K03704	saus:SA40_0731
ko:K06895	saus:SA40_0739
ko:K03785	saus:SA40_0742
ko:K02437	saus:SA40_0746
ko:K07476	saus:SA40_0749
ko:K02071	saus:SA40_0751
ko:K02072	saus:SA40_0752
ko:K02073	saus:SA40_0753
ko:K07658	saus:SA40_1554
ko:K00027	saus:SA40_1562
ko:K06286	saus:SA40_1578
ko:K00058	saus:SA40_1584
ko:K07035	saus:SA40_2324
ko:K07032	saus:SA40_2329
ko:K04750	saus:SA40_2346
ko:K00016	saus:SA40_2356
ko:K03294	saus:SA40_2357
ko:K03451	saus:SA40_2369
ko:K14232	saus:SA40_t011
ko:K14232	saus:SA40_t042
ko:K17686	saus:SA40_2311
ko:K14224	saus:SA40_t001
ko:K14224	saus:SA40_t018
ko:K14224	saus:SA40_t058
ko:K01977	saus:SA40_r005
ko:K01977	saus:SA40_r013
ko:K01977	saus:SA40_r016
ko:K01977	saus:SA40_r001
ko:K01977	saus:SA40_r010
ko:K14219	saus:SA40_t013
ko:K14219	saus:SA40_t016
ko:K14219	saus:SA40_t010
ko:K14219	saus:SA40_t043
ko:K14225	saus:SA40_t020
ko:K14225	saus:SA40_t052
ko:K14225	saus:SA40_t008
ko:K14225	saus:SA40_t045
ko:K14226	saus:SA40_t021
ko:K14226	saus:SA40_t029
ko:K14231	saus:SA40_t022
ko:K14231	saus:SA40_t033
ko:K14230	saus:SA40_t024
ko:K14230	saus:SA40_t035
ko:K14230	saus:SA40_t039
ko:K14228	saus:SA40_t025
ko:K14218	saus:SA40_t012
ko:K14218	saus:SA40_t041
ko:K14218	saus:SA40_t050
ko:K14229	saus:SA40_t047
ko:K14229	saus:SA40_t054
ko:K14229	saus:SA40_t007
ko:K14237	saus:SA40_t005
ko:K14237	saus:SA40_t057
ko:K14237	saus:SA40_t049
ko:K01980	saus:SA40_r009
ko:K02547	saus:SA40_0034
ko:K11928	saus:SA40_1743
ko:K01658	saus:SA40_1245
ko:K06518	saus:SA40_2293
ko:K04757	saus:SA40_1823
ko:K07284	saus:SA40_2281
ko:K01739	saus:SA40_0315
ko:K00226	saus:SA40_2343
ko:K07979	saus:SA40_1775
ko:K10212	saus:SA40_2319
ko:K01791	saus:SA40_0131
ko:K00128	saus:SA40_1762
ko:K00128	saus:SA40_0134
ko:K00128	saus:SA40_1881
ko:K14233	saus:SA40_t003
ko:K14233	saus:SA40_t038
ko:K14233	saus:SA40_t036
ko:K14234	saus:SA40_t006
ko:K14234	saus:SA40_t032
ko:K14234	saus:SA40_t048
ko:K14220	saus:SA40_t015
ko:K14220	saus:SA40_t019
ko:K14220	saus:SA40_t059
ko:K14235	saus:SA40_t030
ko:K14230	saus:SA40_t040
ko:K14228	saus:SA40_t053
ko:K14227	saus:SA40_t004
ko:K14227	saus:SA40_t051
ko:K01980	saus:SA40_r002
ko:K01980	saus:SA40_r006
ko:K01980	saus:SA40_r012
ko:K01985	saus:SA40_r003
ko:K01985	saus:SA40_r014
ko:K01985	saus:SA40_r007
ko:K01985	saus:SA40_r011
ko:K01985	saus:SA40_r004
ko:K01985	saus:SA40_r008
ko:K14233	saus:SA40_t017
ko:K14228	saus:SA40_t046
ko:K01980	saus:SA40_r015
ko:K01187	saus:SA40_1379
ko:K01791	saus:SA40_1870
ko:K02031	saus:SA40_0162
ko:K02032	saus:SA40_0162
ko:K19080	saus:SA40_0602
ko:K18104	saus:SA40_0584
ko:K02479	saus:SA40_1689
ko:K08168	saus:SA40_0104
ko:K14204	saus:SA40_1778
ko:K03293	saus:SA40_1212
ko:K01271	saus:SA40_1568
ko:K02809	saus:SA40_0157
ko:K02810	saus:SA40_0157
ko:K00130	saus:SA40_2367
ko:K02809	saus:SA40_2127
ko:K02810	saus:SA40_2127
ko:K03366	saus:SA40_0094
ko:K07145	saus:SA40_1006
ko:K01046	saus:SA40_0278
ko:K22580	saus:SA40_0927
ko:K01046	saus:SA40_2428
ko:K00632	saus:SA40_0187
ko:K00008	saus:SA40_0208
ko:K03719	saus:SA40_0053
ko:K21461	saus:SA40_2425
ko:K21462	saus:SA40_2427
ko:K21463	saus:SA40_2102
ko:K00008	saus:SA40_0206
ko:K03483	saus:SA40_1913
ko:K08255	saus:SA40_0837
ko:K01727	saus:SA40_1662
ko:K00108	saus:SA40_2366
ko:K07705	saus:SA40_0219
ko:K00681	saus:SA40_0166
ko:K04749	saus:SA40_1824
ko:K18707	saus:SA40_1447
ko:K18672	saus:SA40_1919
ko:K18704	saus:SA40_0211
ko:K18682	saus:SA40_1159
ko:K18692	saus:SA40_1429
ko:K18906	saus:SA40_0626
ko:K01262	saus:SA40_1401
ko:K09692	saus:SA40_1710
ko:K07723	saus:SA40_1827
ko:K18909	saus:SA40_0290
ko:K18941	saus:SA40_1291
ko:K18908	saus:SA40_0291
ko:K07171	saus:SA40_1826
ko:K04940	saus:SA40_2047
ko:K18907	saus:SA40_0074
ko:K11040	saus:SA40_0776
ko:K03497	saus:SA40_2470
ko:K03111	saus:SA40_1854
ko:K03497	saus:SA40_0316
ko:K03111	saus:SA40_0324
ko:K03502	saus:SA40_1241
ko:K03169	saus:SA40_2001
ko:K11040	saus:SA40_1472
ko:K11040	saus:SA40_2299
ko:K14201	saus:SA40_0726
ko:K11040	saus:SA40_0755
ko:K11040	saus:SA40_0756
ko:K07029	saus:SA40_1738
ko:K07498	saus:SA40_0029
ko:K03498	saus:SA40_1784
ko:K09145	saus:SA40_0611
ko:K13052	saus:SA40_0446
ko:K18979	saus:SA40_1697
ko:K00949	saus:SA40_1096
ko:K01318	saus:SA40_0919
ko:K03741	saus:SA40_1634
ko:K07816	saus:SA40_2255
ko:K19005	saus:SA40_0659
ko:K03429	saus:SA40_0887
ko:K02755	saus:SA40_0223
ko:K03293	saus:SA40_2062
ko:K19077	saus:SA40_0600
ko:K01174	saus:SA40_1203
ko:K14203	saus:SA40_1026
ko:K11039	saus:SA40_1791
ko:K01239	saus:SA40_2029
ko:K19078	saus:SA40_0599
ko:K19158	saus:SA40_2156
ko:K19225	saus:SA40_1420
ko:K02777	saus:SA40_1297
ko:K19068	saus:SA40_0121
ko:K19081	saus:SA40_2380
ko:K19082	saus:SA40_2381
ko:K19083	saus:SA40_2379
ko:K19084	saus:SA40_2378
ko:K08259	saus:SA40_0234
ko:K19159	saus:SA40_2157
ko:K02031	saus:SA40_0858
ko:K02032	saus:SA40_1255
ko:K03722	saus:SA40_1330
ko:K01992	saus:SA40_2113
ko:K01992	saus:SA40_2261
ko:K19411	saus:SA40_0462
ko:K19302	saus:SA40_1292
ko:K19405	saus:SA40_0463
ko:K03574	saus:SA40_1650
ko:K19576	saus:SA40_0634
ko:K06881	saus:SA40_1564
ko:K01906	saus:SA40_2173
ko:K21721	saus:SA40_0084
ko:K19689	saus:SA40_1719
ko:K01258	saus:SA40_1383
ko:K07119	saus:SA40_1942
ko:K00547	saus:SA40_0313
ko:K00297	saus:SA40_0313
ko:K02538	saus:SA40_2396
ko:K21636	saus:SA40_2372
ko:K19976	saus:SA40_0573
ko:K20074	saus:SA40_1092
ko:K12132	saus:SA40_1093
ko:K20116	saus:SA40_0154
ko:K20117	saus:SA40_0154
ko:K20118	saus:SA40_0154
ko:K20116	saus:SA40_2290
ko:K20117	saus:SA40_2290
ko:K20118	saus:SA40_2290
ko:K20338	saus:SA40_1624
ko:K21949	saus:SA40_0083
ko:K20337	saus:SA40_1044
ko:K20337	saus:SA40_1045
ko:K20534	saus:SA40_0644
ko:K02790	saus:SA40_0199
ko:K02791	saus:SA40_0199
ko:K21029	saus:SA40_2022
ko:K21030	saus:SA40_0209
ko:K00525	saus:SA40_0671
ko:K21030	saus:SA40_0213
ko:K21064	saus:SA40_0838
ko:K08968	saus:SA40_1579
ko:K00435	saus:SA40_0528
ko:K00526	saus:SA40_0672
ko:K07474	saus:SA40_0775
ko:K14199	saus:SA40_1667
ko:K02314	saus:SA40_0017
ko:K11038	saus:SA40_1780
ko:K11038	saus:SA40_1781
ko:K14199	saus:SA40_1029
ko:K14199	saus:SA40_0185
ko:K00857	saus:SA40_1878
ko:K03553	saus:SA40_1158
ko:K03546	saus:SA40_1225
ko:K00287	saus:SA40_1301
ko:K00560	saus:SA40_1302
ko:K02316	saus:SA40_1433
ko:K11038	saus:SA40_2168
ko:K11038	saus:SA40_2170
ko:K11038	saus:SA40_2171
ko:K06217	saus:SA40_1442
ko:K01493	saus:SA40_1459
ko:K04068	saus:SA40_2371
ko:K01174	saus:SA40_0730
ko:K06958	saus:SA40_0704
ko:K05020	saus:SA40_1940
ko:K13714	saus:SA40_0923
ko:K02335	saus:SA40_1551
ko:K21285	saus:SA40_0580
ko:K02032	saus:SA40_0859
ko:K03296	saus:SA40_2007
ko:K00980	saus:SA40_0582
ko:K02031	saus:SA40_1256
ko:K02483	saus:SA40_2107
ko:K22044	saus:SA40_0317
ko:K21453	saus:SA40_2423
ko:K21478	saus:SA40_2426
ko:K21567	saus:SA40_2121
ko:K21591	saus:SA40_0212
ko:K21600	saus:SA40_1844
ko:K18704	saus:SA40_0215
ko:K21828	saus:SA40_2387
ko:K22043	saus:SA40_1904
ko:K22136	saus:SA40_1048
ko:K22135	saus:SA40_0508
ko:K00754	saus:SA40_1333
ko:K03595	saus:SA40_1438
ko:K22132	saus:SA40_1498
ko:K22109	saus:SA40_2368
ko:K22212	saus:SA40_0708
ko:K03547	saus:SA40_1685
ko:K17758	saus:SA40_0008
ko:K02257	saus:SA40_0987
ko:K22409	saus:SA40_0403
ko:K13566	saus:SA40_1790
ko:K22441	saus:SA40_2118
