ko:K18929	hpf:HPF30_1157
ko:K05845	hpf:HPF30_0513
ko:K05846	hpf:HPF30_0513
ko:K03635	hpf:HPF30_0531
ko:K01156	hpf:HPF30_1392
ko:K07316	hpf:HPF30_1394
ko:K04517	hpf:HPF30_0023
ko:K02238	hpf:HPF30_0039
ko:K03711	hpf:HPF30_0877
ko:K01262	hpf:HPF30_0887
ko:K07098	hpf:HPF30_0894
ko:K01784	hpf:HPF30_0294
ko:K06013	hpf:HPF30_0315
ko:K07126	hpf:HPF30_0291
ko:K03406	hpf:HPF30_1179
ko:K03406	hpf:HPF30_1183
ko:K01119	hpf:HPF30_1184
ko:K00939	hpf:HPF30_0711
ko:K07457	hpf:HPF30_0724
ko:K00652	hpf:HPF30_0729
ko:K01455	hpf:HPF30_0158
ko:K03342	hpf:HPF30_1001
ko:K04093	hpf:HPF30_1003
ko:K06196	hpf:HPF30_1031
ko:K00058	hpf:HPF30_0330
ko:K01585	hpf:HPF30_0355
ko:K03442	hpf:HPF30_0360
ko:K03406	hpf:HPF30_1218
ko:K14048	hpf:HPF30_1227
ko:K04655	hpf:HPF30_1253
ko:K02004	hpf:HPF30_0544
ko:K06603	hpf:HPF30_0582
ko:K02342	hpf:HPF30_1420
ko:K03386	hpf:HPF30_1455
ko:K01719	hpf:HPF30_0172
ko:K02843	hpf:HPF30_0201
ko:K01674	hpf:HPF30_0205
ko:K03317	hpf:HPF30_0211
ko:K03784	hpf:HPF30_0213
ko:K07126	hpf:HPF30_1060
ko:K06910	hpf:HPF30_1076
ko:K01439	hpf:HPF30_1083
ko:K07126	hpf:HPF30_1084
ko:K03593	hpf:HPF30_1088
ko:K06179	hpf:HPF30_0385
ko:K03743	hpf:HPF30_0389
ko:K02014	hpf:HPF30_0424
ko:K03279	hpf:HPF30_1284
ko:K00059	hpf:HPF30_0766
ko:K07126	hpf:HPF30_0804
ko:K08077	hpf:HPF30_0817
ko:K03768	hpf:HPF30_1308
ko:K00769	hpf:HPF30_0599
ko:K01424	hpf:HPF30_0614
ko:K00626	hpf:HPF30_0642
ko:K13016	hpf:HPF30_0654
ko:K01409	hpf:HPF30_1475
ko:K01885	hpf:HPF30_0845
ko:K02017	hpf:HPF30_0846
ko:K03455	hpf:HPF30_0851
ko:K00076	hpf:HPF30_0865
ko:K13640	hpf:HPF30_0875
ko:K01679	hpf:HPF30_0075
ko:K00949	hpf:HPF30_0109
ko:K11085	hpf:HPF30_0931
ko:K01916	hpf:HPF30_0966
ko:K07126	hpf:HPF30_0272
ko:K00244	hpf:HPF30_1102
ko:K00245	hpf:HPF30_1103
ko:K15898	hpf:HPF30_1116
ko:K07126	hpf:HPF30_1135
ko:K03279	hpf:HPF30_1136
ko:K00567	hpf:HPF30_0656
ko:K04763	hpf:HPF30_0657
ko:K03469	hpf:HPF30_0667
ko:K01885	hpf:HPF30_0685
ko:K07126	hpf:HPF30_0699
ko:K00674	hpf:HPF30_0700
ko:K01507	hpf:HPF30_0706
ko:K00845	hpf:HPF30_0286
ko:K04652	hpf:HPF30_0437
ko:K06346	hpf:HPF30_1318
ko:K02067	hpf:HPF30_1331
ko:K02242	hpf:HPF30_1341
ko:K00616	hpf:HPF30_1363
ko:K14232	hpf:HPF30_t17
ko:K14219	hpf:HPF30_t20
ko:K16052	hpf:HPF30_0348
ko:K14224	hpf:HPF30_t01
ko:K14221	hpf:HPF30_t02
ko:K14237	hpf:HPF30_t03
ko:K14224	hpf:HPF30_t04
ko:K14229	hpf:HPF30_t05
ko:K14237	hpf:HPF30_t35
ko:K14220	hpf:HPF30_t33
ko:K14219	hpf:HPF30_t31
ko:K14233	hpf:HPF30_t30
ko:K14232	hpf:HPF30_t29
ko:K14219	hpf:HPF30_t27
ko:K14230	hpf:HPF30_t28
ko:K14230	hpf:HPF30_t26
ko:K14223	hpf:HPF30_t25
ko:K14225	hpf:HPF30_t24
ko:K14228	hpf:HPF30_t23
ko:K14222	hpf:HPF30_t22
ko:K14233	hpf:HPF30_t21
ko:K01980	hpf:HPF30_r02
ko:K01980	hpf:HPF30_r05
ko:K14228	hpf:HPF30_t16
ko:K14227	hpf:HPF30_t15
ko:K14218	hpf:HPF30_t14
ko:K02029	hpf:HPF30_0220
ko:K14235	hpf:HPF30_t12
ko:K11028	hpf:HPF30_0448
ko:K15847	hpf:HPF30_0441
ko:K12086	hpf:HPF30_0803
ko:K12088	hpf:HPF30_0802
ko:K12089	hpf:HPF30_0801
ko:K12090	hpf:HPF30_0800
ko:K12092	hpf:HPF30_0797
ko:K12093	hpf:HPF30_0796
ko:K12094	hpf:HPF30_0795
ko:K12095	hpf:HPF30_0794
ko:K12096	hpf:HPF30_0793
ko:K12097	hpf:HPF30_0792
ko:K12098	hpf:HPF30_0791
ko:K12099	hpf:HPF30_0790
ko:K12101	hpf:HPF30_0789
ko:K15842	hpf:HPF30_0779
ko:K12102	hpf:HPF30_0788
ko:K12103	hpf:HPF30_0787
ko:K12104	hpf:HPF30_0786
ko:K12105	hpf:HPF30_0785
ko:K12106	hpf:HPF30_0784
ko:K12107	hpf:HPF30_0783
ko:K12108	hpf:HPF30_0782
ko:K12109	hpf:HPF30_0781
ko:K12110	hpf:HPF30_0780
ko:K15848	hpf:HPF30_0612
ko:K15843	hpf:HPF30_0427
ko:K15844	hpf:HPF30_0426
ko:K03196	hpf:HPF30_1290
ko:K12091	hpf:HPF30_0798
ko:K15845	hpf:HPF30_0007
ko:K10009	hpf:HPF30_0402
ko:K00970	hpf:HPF30_0687
ko:K03321	hpf:HPF30_1067
ko:K01426	hpf:HPF30_1000
ko:K12371	hpf:HPF30_0993
ko:K12369	hpf:HPF30_0995
ko:K01155	hpf:HPF30_1170
ko:K07316	hpf:HPF30_0034
ko:K02424	hpf:HPF30_0401
ko:K07318	hpf:HPF30_0185
ko:K03559	hpf:HPF30_1313
ko:K03559	hpf:HPF30_0260
ko:K09477	hpf:HPF30_1152
ko:K12049	hpf:HPF30_1258
ko:K13689	hpf:HPF30_1077
ko:K12977	hpf:HPF30_0019
ko:K12048	hpf:HPF30_1257
ko:K12052	hpf:HPF30_1260
ko:K12050	hpf:HPF30_1259
ko:K12053	hpf:HPF30_0015
ko:K03191	hpf:HPF30_1229
ko:K13797	hpf:HPF30_0196
ko:K02003	hpf:HPF30_1115
ko:K15895	hpf:HPF30_0299
ko:K15896	hpf:HPF30_0968
ko:K11782	hpf:HPF30_0552
ko:K01738	hpf:HPF30_1187
ko:K01760	hpf:HPF30_1186
ko:K07316	hpf:HPF30_1393
ko:K01990	hpf:HPF30_0176
ko:K17103	hpf:HPF30_0920
ko:K03559	hpf:HPF30_0060
ko:K02484	hpf:HPF30_0036
ko:K02484	hpf:HPF30_1132
ko:K02847	hpf:HPF30_0889
ko:K01992	hpf:HPF30_1355
ko:K17686	hpf:HPF30_1373
ko:K17686	hpf:HPF30_0921
ko:K01155	hpf:HPF30_1034
ko:K07318	hpf:HPF30_1367
ko:K00971	hpf:HPF30_1256
ko:K05540	hpf:HPF30_0610
ko:K01658	hpf:HPF30_0116
ko:K11928	hpf:HPF30_1246
ko:K01156	hpf:HPF30_1274
ko:K00290	hpf:HPF30_1377
ko:K01497	hpf:HPF30_0529
ko:K00254	hpf:HPF30_0862
ko:K06148	hpf:HPF30_0187
ko:K05922	hpf:HPF30_0695
ko:K05927	hpf:HPF30_0696
ko:K01155	hpf:HPF30_1286
ko:K03605	hpf:HPF30_0693
ko:K05366	hpf:HPF30_0730
ko:K11784	hpf:HPF30_0672
ko:K01154	hpf:HPF30_0542
ko:K03639	hpf:HPF30_0564
ko:K16091	hpf:HPF30_0645
ko:K07126	hpf:HPF30_0805
ko:K07126	hpf:HPF30_0959
ko:K03168	hpf:HPF30_1205
ko:K01173	hpf:HPF30_1272
ko:K11785	hpf:HPF30_1143
ko:K18284	hpf:HPF30_1168
ko:K18285	hpf:HPF30_0674
ko:K16235	hpf:HPF30_0868
ko:K18480	hpf:HPF30_1330
ko:K00681	hpf:HPF30_0271
ko:K07316	hpf:HPF30_1273
ko:K18930	hpf:HPF30_0174
ko:K03196	hpf:HPF30_0799
ko:K03111	hpf:HPF30_0152
ko:K03496	hpf:HPF30_0250
ko:K03497	hpf:HPF30_0251
ko:K03761	hpf:HPF30_0940
ko:K00335	hpf:HPF30_0132
ko:K02483	hpf:HPF30_1131
ko:K03526	hpf:HPF30_0701
ko:K03296	hpf:HPF30_0719
ko:K00336	hpf:HPF30_0131
ko:K07448	hpf:HPF30_0929
ko:K19157	hpf:HPF30_0443
ko:K00571	hpf:HPF30_0058
ko:K00571	hpf:HPF30_1033
ko:K00571	hpf:HPF30_1171
ko:K00571	hpf:HPF30_1250
ko:K07317	hpf:HPF30_0429
ko:K04771	hpf:HPF30_0869
ko:K01992	hpf:HPF30_1354
ko:K07496	hpf:HPF30_0778
ko:K19416	hpf:HPF30_0421
ko:K04763	hpf:HPF30_1167
ko:K12053	hpf:HPF30_1207
ko:K20151	hpf:HPF30_0312
ko:K20810	hpf:HPF30_1029
ko:K20151	hpf:HPF30_0677
ko:K00525	hpf:HPF30_0653
ko:K07100	hpf:HPF30_0180
ko:K02316	hpf:HPF30_0010
ko:K02335	hpf:HPF30_1337
ko:K02335	hpf:HPF30_0872
ko:K00558	hpf:HPF30_1426
ko:K00558	hpf:HPF30_0268
ko:K00558	hpf:HPF30_1249
ko:K06223	hpf:HPF30_1368
ko:K06223	hpf:HPF30_1369
ko:K03465	hpf:HPF30_1404
ko:K02314	hpf:HPF30_0038
ko:K01520	hpf:HPF30_0468
ko:K00558	hpf:HPF30_0482
ko:K00558	hpf:HPF30_0838
ko:K06223	hpf:HPF30_0840
ko:K03553	hpf:HPF30_1142
ko:K02483	hpf:HPF30_0035
ko:K00526	hpf:HPF30_0298
ko:K02481	hpf:HPF30_0630
ko:K01139	hpf:HPF30_0555
ko:K07097	hpf:HPF30_0892
ko:K02483	hpf:HPF30_0893
ko:K10026	hpf:HPF30_0408
ko:K21929	hpf:HPF30_0678
ko:K03595	hpf:HPF30_0807
ko:K22278	hpf:HPF30_0984
ko:K14441	hpf:HPF30_0600
ko:K22391	hpf:HPF30_0382
ko:K17758	hpf:HPF30_0037
ko:K17759	hpf:HPF30_0037
ko:K01007	hpf:HPF30_1198
