ko:K00652	eum:ECUMN_3461
ko:K02774	eum:ECUMN_4904
ko:K07345	eum:ECUMN_4921
ko:K07347	eum:ECUMN_4924
ko:K01686	eum:ECUMN_4930
ko:K00040	eum:ECUMN_4931
ko:K01305	eum:ECUMN_4937
ko:K07559	eum:ECUMN_4941
ko:K07710	eum:ECUMN_2557
ko:K02106	eum:ECUMN_2561
ko:K00626	eum:ECUMN_2562
ko:K06894	eum:ECUMN_2565
ko:K02469	eum:ECUMN_2568
ko:K00525	eum:ECUMN_2571
ko:K09923	eum:ECUMN_3314
ko:K03439	eum:ECUMN_3315
ko:K03575	eum:ECUMN_3316
ko:K08306	eum:ECUMN_3318
ko:K03289	eum:ECUMN_3319
ko:K01581	eum:ECUMN_3320
ko:K07150	eum:ECUMN_3321
ko:K02688	eum:ECUMN_0374
ko:K01908	eum:ECUMN_0378
ko:K10974	eum:ECUMN_0379
ko:K05516	eum:ECUMN_1182
ko:K03809	eum:ECUMN_1186
ko:K00782	eum:ECUMN_0346
ko:K02167	eum:ECUMN_0351
ko:K02168	eum:ECUMN_0352
ko:K00926	eum:ECUMN_0361
ko:K07644	eum:ECUMN_0660
ko:K07665	eum:ECUMN_0661
ko:K07798	eum:ECUMN_0664
ko:K10679	eum:ECUMN_0668
ko:K06048	eum:ECUMN_0671
ko:K02364	eum:ECUMN_0680
ko:K02013	eum:ECUMN_0682
ko:K02015	eum:ECUMN_0683
ko:K02015	eum:ECUMN_0684
ko:K02016	eum:ECUMN_0686
ko:K02361	eum:ECUMN_0687
ko:K02363	eum:ECUMN_0688
ko:K01252	eum:ECUMN_0689
ko:K00216	eum:ECUMN_0690
ko:K06200	eum:ECUMN_0692
ko:K03805	eum:ECUMN_0699
ko:K03387	eum:ECUMN_0701
ko:K06140	eum:ECUMN_0703
ko:K01419	eum:ECUMN_4462
ko:K03591	eum:ECUMN_4463
ko:K01972	eum:ECUMN_2733
ko:K03528	eum:ECUMN_2734
ko:K06203	eum:ECUMN_2735
ko:K01738	eum:ECUMN_2736
ko:K02784	eum:ECUMN_2737
ko:K08483	eum:ECUMN_2738
ko:K02777	eum:ECUMN_2739
ko:K00868	eum:ECUMN_2740
ko:K02045	eum:ECUMN_2743
ko:K02047	eum:ECUMN_2744
ko:K02046	eum:ECUMN_2745
ko:K02048	eum:ECUMN_2746
ko:K00537	eum:ECUMN_2808
ko:K00537	eum:ECUMN_3993
ko:K07106	eum:ECUMN_2749
ko:K11191	eum:ECUMN_2750
ko:K11192	eum:ECUMN_2750
ko:K07223	eum:ECUMN_2752
ko:K01448	eum:ECUMN_2756
ko:K04033	eum:ECUMN_2758
ko:K04026	eum:ECUMN_2760
ko:K03736	eum:ECUMN_2761
ko:K03735	eum:ECUMN_2762
ko:K04019	eum:ECUMN_2763
ko:K04023	eum:ECUMN_2764
ko:K04022	eum:ECUMN_2765
ko:K04024	eum:ECUMN_2766
ko:K05366	eum:ECUMN_3854
ko:K08312	eum:ECUMN_3855
ko:K02356	eum:ECUMN_4682
ko:K05814	eum:ECUMN_3914
ko:K05813	eum:ECUMN_3915
ko:K01996	eum:ECUMN_3916
ko:K01995	eum:ECUMN_3917
ko:K01998	eum:ECUMN_3918
ko:K01997	eum:ECUMN_3919
ko:K01999	eum:ECUMN_3920
ko:K01999	eum:ECUMN_3922
ko:K03089	eum:ECUMN_3923
ko:K09811	eum:ECUMN_3924
ko:K09812	eum:ECUMN_3925
ko:K03110	eum:ECUMN_3926
ko:K03207	eum:ECUMN_2387
ko:K02377	eum:ECUMN_2388
ko:K01711	eum:ECUMN_2389
ko:K03818	eum:ECUMN_2390
ko:K01991	eum:ECUMN_2398
ko:K07289	eum:ECUMN_2402
ko:K01494	eum:ECUMN_2403
ko:K00876	eum:ECUMN_2404
ko:K01247	eum:ECUMN_2406
ko:K04046	eum:ECUMN_2407
ko:K07799	eum:ECUMN_2412
ko:K07788	eum:ECUMN_2413
ko:K07789	eum:ECUMN_2414
ko:K03225	eum:ECUMN_3198
ko:K03230	eum:ECUMN_3202
ko:K01751	eum:ECUMN_3214
ko:K05790	eum:ECUMN_4310
ko:K02472	eum:ECUMN_4312
ko:K00973	eum:ECUMN_4314
ko:K02805	eum:ECUMN_4316
ko:K02853	eum:ECUMN_4319
ko:K06871	eum:ECUMN_4323
ko:K02498	eum:ECUMN_4325
ko:K02496	eum:ECUMN_4327
ko:K01719	eum:ECUMN_4328
ko:K01749	eum:ECUMN_4329
ko:K05851	eum:ECUMN_4330
ko:K06202	eum:ECUMN_4331
ko:K01778	eum:ECUMN_4334
ko:K09921	eum:ECUMN_4335
ko:K03733	eum:ECUMN_4336
ko:K03657	eum:ECUMN_4338
ko:K03284	eum:ECUMN_4342
ko:K05786	eum:ECUMN_4345
ko:K03654	eum:ECUMN_4348
ko:K01129	eum:ECUMN_0158
ko:K02647	eum:ECUMN_0160
ko:K00990	eum:ECUMN_0163
ko:K01265	eum:ECUMN_0164
ko:K02967	eum:ECUMN_0166
ko:K02357	eum:ECUMN_0167
ko:K09903	eum:ECUMN_0168
ko:K02838	eum:ECUMN_0169
ko:K00099	eum:ECUMN_0170
ko:K00806	eum:ECUMN_0171
ko:K00981	eum:ECUMN_0172
ko:K07277	eum:ECUMN_0174
ko:K06142	eum:ECUMN_0175
ko:K02536	eum:ECUMN_0176
ko:K02372	eum:ECUMN_0177
ko:K00677	eum:ECUMN_0178
ko:K03470	eum:ECUMN_0180
ko:K02337	eum:ECUMN_0181
ko:K01962	eum:ECUMN_0182
ko:K04075	eum:ECUMN_0185
ko:K01881	eum:ECUMN_0192
ko:K06080	eum:ECUMN_0194
ko:K02073	eum:ECUMN_0195
ko:K02072	eum:ECUMN_0196
ko:K02071	eum:ECUMN_0197
ko:K03273	eum:ECUMN_0198
ko:K06222	eum:ECUMN_0204
ko:K01625	eum:ECUMN_2147
ko:K01690	eum:ECUMN_2148
ko:K00036	eum:ECUMN_2149
ko:K00873	eum:ECUMN_2152
ko:K02560	eum:ECUMN_2153
ko:K09815	eum:ECUMN_2155
ko:K09817	eum:ECUMN_2156
ko:K04752	eum:ECUMN_0490
ko:K03320	eum:ECUMN_0491
ko:K10805	eum:ECUMN_0492
ko:K09914	eum:ECUMN_0493
ko:K07443	eum:ECUMN_0494
ko:K05839	eum:ECUMN_0499
ko:K03577	eum:ECUMN_0503
ko:K05802	eum:ECUMN_0504
ko:K04067	eum:ECUMN_0506
ko:K09790	eum:ECUMN_0507
ko:K00759	eum:ECUMN_0508
ko:K02343	eum:ECUMN_0509
ko:K09747	eum:ECUMN_0510
ko:K06187	eum:ECUMN_0511
ko:K04079	eum:ECUMN_0512
ko:K00939	eum:ECUMN_0513
ko:K01772	eum:ECUMN_0514
ko:K00892	eum:ECUMN_0516
ko:K03455	eum:ECUMN_0517
ko:K08223	eum:ECUMN_0518
ko:K09973	eum:ECUMN_0522
ko:K01425	eum:ECUMN_0524
ko:K02182	eum:ECUMN_0039
ko:K08298	eum:ECUMN_0040
ko:K05245	eum:ECUMN_0042
ko:K03521	eum:ECUMN_0043
ko:K03522	eum:ECUMN_0044
ko:K00313	eum:ECUMN_0045
ko:K00287	eum:ECUMN_0050
ko:K01525	eum:ECUMN_0051
ko:K06195	eum:ECUMN_0052
ko:K02528	eum:ECUMN_0053
ko:K00097	eum:ECUMN_0054
ko:K03771	eum:ECUMN_0055
ko:K01953	eum:ECUMN_0759
ko:K02565	eum:ECUMN_0761
ko:K01443	eum:ECUMN_0762
ko:K02564	eum:ECUMN_0763
ko:K02802	eum:ECUMN_0764
ko:K02803	eum:ECUMN_0764
ko:K02804	eum:ECUMN_0764
ko:K01886	eum:ECUMN_0765
ko:K03839	eum:ECUMN_0770
ko:K03645	eum:ECUMN_0773
ko:K07667	eum:ECUMN_0776
ko:K07646	eum:ECUMN_0777
ko:K01548	eum:ECUMN_0778
ko:K01547	eum:ECUMN_0779
ko:K01546	eum:ECUMN_0780
ko:K01669	eum:ECUMN_0786
ko:K00548	eum:ECUMN_4545
ko:K05995	eum:ECUMN_4547
ko:K00068	eum:ECUMN_4553
ko:K06182	eum:ECUMN_4555
ko:K00928	eum:ECUMN_4557
ko:K01810	eum:ECUMN_4558
ko:K10110	eum:ECUMN_4566
ko:K10109	eum:ECUMN_4567
ko:K10108	eum:ECUMN_4568
ko:K00616	eum:ECUMN_2776
ko:K00615	eum:ECUMN_2777
ko:K07674	eum:ECUMN_2781
ko:K01439	eum:ECUMN_2784
ko:K06999	eum:ECUMN_2786
ko:K07054	eum:ECUMN_2788
ko:K01923	eum:ECUMN_2789
ko:K07287	eum:ECUMN_2790
ko:K01714	eum:ECUMN_2791
ko:K03567	eum:ECUMN_2792
ko:K03564	eum:ECUMN_2793
ko:K02078	eum:ECUMN_3943
ko:K07107	eum:ECUMN_3948
ko:K00647	eum:ECUMN_3952
ko:K00059	eum:ECUMN_3954
ko:K09458	eum:ECUMN_3955
ko:K02339	eum:ECUMN_4791
ko:K01255	eum:ECUMN_4792
ko:K07091	eum:ECUMN_4793
ko:K06915	eum:ECUMN_4795
ko:K00046	eum:ECUMN_4798
ko:K00098	eum:ECUMN_4799
ko:K00851	eum:ECUMN_4800
ko:K09125	eum:ECUMN_3934
ko:K02078	eum:ECUMN_3942
ko:K01464	eum:ECUMN_3216
ko:K00926	eum:ECUMN_3217
ko:K07402	eum:ECUMN_3218
ko:K07141	eum:ECUMN_3220
ko:K06901	eum:ECUMN_3227
ko:K01823	eum:ECUMN_3231
ko:K04567	eum:ECUMN_3232
ko:K02836	eum:ECUMN_3233
ko:K07462	eum:ECUMN_3234
ko:K03981	eum:ECUMN_3235
ko:K04763	eum:ECUMN_3236
ko:K03840	eum:ECUMN_3237
ko:K09159	eum:ECUMN_3239
ko:K06980	eum:ECUMN_3240
ko:K11068	eum:ECUMN_3241
ko:K09900	eum:ECUMN_3242
ko:K01223	eum:ECUMN_3243
ko:K02437	eum:ECUMN_3245
ko:K00605	eum:ECUMN_3246
ko:K03185	eum:ECUMN_3249
ko:K01262	eum:ECUMN_3250
ko:K09895	eum:ECUMN_3251
ko:K09888	eum:ECUMN_3252
ko:K00639	eum:ECUMN_4134
ko:K03274	eum:ECUMN_4136
ko:K02843	eum:ECUMN_4137
ko:K02841	eum:ECUMN_4138
ko:K02848	eum:ECUMN_4144
ko:K02844	eum:ECUMN_4145
ko:K00526	eum:ECUMN_2572
ko:K11107	eum:ECUMN_2573
ko:K01126	eum:ECUMN_2579
ko:K02445	eum:ECUMN_2580
ko:K00111	eum:ECUMN_2581
ko:K00112	eum:ECUMN_2582
ko:K07806	eum:ECUMN_2594
ko:K10012	eum:ECUMN_2595
ko:K10011	eum:ECUMN_2596
ko:K07264	eum:ECUMN_2599
ko:K01911	eum:ECUMN_2603
ko:K02549	eum:ECUMN_2604
ko:K01661	eum:ECUMN_2605
ko:K08680	eum:ECUMN_2606
ko:K02551	eum:ECUMN_2607
ko:K02552	eum:ECUMN_2608
ko:K05594	eum:ECUMN_2609
ko:K02348	eum:ECUMN_2610
ko:K00784	eum:ECUMN_2611
ko:K00343	eum:ECUMN_2615
ko:K00342	eum:ECUMN_2616
ko:K00341	eum:ECUMN_2617
ko:K08307	eum:ECUMN_0208
ko:K03469	eum:ECUMN_0211
ko:K04047	eum:ECUMN_0956
ko:K03702	eum:ECUMN_0921
ko:K03639	eum:ECUMN_0924
ko:K03638	eum:ECUMN_0925
ko:K03637	eum:ECUMN_0926
ko:K03635	eum:ECUMN_0928
ko:K06890	eum:ECUMN_0929
ko:K01993	eum:ECUMN_0939
ko:K03722	eum:ECUMN_0943
ko:K07336	eum:ECUMN_0948
ko:K06197	eum:ECUMN_1516
ko:K06039	eum:ECUMN_1518
ko:K07673	eum:ECUMN_1521
ko:K02575	eum:ECUMN_1522
ko:K00370	eum:ECUMN_1523
ko:K00371	eum:ECUMN_1524
ko:K00373	eum:ECUMN_1525
ko:K00374	eum:ECUMN_1526
ko:K01433	eum:ECUMN_1529
ko:K09858	eum:ECUMN_1530
ko:K07001	eum:ECUMN_1531
ko:K00963	eum:ECUMN_1533
ko:K03746	eum:ECUMN_1536
ko:K00857	eum:ECUMN_1537
ko:K08483	eum:ECUMN_2713
ko:K11189	eum:ECUMN_2713
ko:K11201	eum:ECUMN_2713
ko:K11203	eum:ECUMN_2716
ko:K11202	eum:ECUMN_2717
ko:K00845	eum:ECUMN_2718
ko:K03322	eum:ECUMN_2721
ko:K01885	eum:ECUMN_2727
ko:K05803	eum:ECUMN_3645
ko:K00962	eum:ECUMN_3646
ko:K02956	eum:ECUMN_3647
ko:K03177	eum:ECUMN_3648
ko:K02834	eum:ECUMN_3649
ko:K02519	eum:ECUMN_3650
ko:K02600	eum:ECUMN_3651
ko:K09748	eum:ECUMN_3652
ko:K01940	eum:ECUMN_3653
ko:K03075	eum:ECUMN_3655
ko:K03431	eum:ECUMN_3656
ko:K00796	eum:ECUMN_3657
ko:K03798	eum:ECUMN_3658
ko:K02427	eum:ECUMN_3659
ko:K07574	eum:ECUMN_3660
ko:K03624	eum:ECUMN_3661
ko:K07259	eum:ECUMN_3662
ko:K03979	eum:ECUMN_3663
ko:K02899	eum:ECUMN_3665
ko:K02888	eum:ECUMN_3666
ko:K02523	eum:ECUMN_3667
ko:K00790	eum:ECUMN_3669
ko:K07122	eum:ECUMN_3671
ko:K07323	eum:ECUMN_3672
ko:K02067	eum:ECUMN_3673
ko:K02066	eum:ECUMN_3674
ko:K03592	eum:ECUMN_4768
ko:K04068	eum:ECUMN_4770
ko:K01226	eum:ECUMN_4772
ko:K02818	eum:ECUMN_4773
ko:K02819	eum:ECUMN_4773
ko:K03485	eum:ECUMN_4774
ko:K01531	eum:ECUMN_4775
ko:K09022	eum:ECUMN_4776
ko:K00610	eum:ECUMN_4777
ko:K00609	eum:ECUMN_4778
ko:K00611	eum:ECUMN_4786
ko:K09893	eum:ECUMN_4787
ko:K03828	eum:ECUMN_4788
ko:K01873	eum:ECUMN_4790
ko:K00375	eum:ECUMN_2997
ko:K06191	eum:ECUMN_2999
ko:K03647	eum:ECUMN_3000
ko:K00525	eum:ECUMN_3001
ko:K00526	eum:ECUMN_3002
ko:K02002	eum:ECUMN_3005
ko:K03543	eum:ECUMN_3010
ko:K07173	eum:ECUMN_3012
ko:K02317	eum:ECUMN_4985
ko:K02344	eum:ECUMN_4995
ko:K03789	eum:ECUMN_4996
ko:K08723	eum:ECUMN_4997
ko:K02837	eum:ECUMN_4998
ko:K03424	eum:ECUMN_5002
ko:K01619	eum:ECUMN_5005
ko:K01839	eum:ECUMN_5007
ko:K03784	eum:ECUMN_5008
ko:K03800	eum:ECUMN_5010
ko:K02500	eum:ECUMN_2367
ko:K00012	eum:ECUMN_2370
ko:K00033	eum:ECUMN_2371
ko:K00963	eum:ECUMN_2378
ko:K03606	eum:ECUMN_2383
ko:K06041	eum:ECUMN_3419
ko:K10107	eum:ECUMN_3420
ko:K00979	eum:ECUMN_3422
ko:K07266	eum:ECUMN_3423
ko:K07265	eum:ECUMN_3424
ko:K01652	eum:ECUMN_4294
ko:K11258	eum:ECUMN_4295
ko:K00826	eum:ECUMN_4296
ko:K01687	eum:ECUMN_4297
ko:K01754	eum:ECUMN_4298
ko:K02521	eum:ECUMN_4299
ko:K00053	eum:ECUMN_4300
ko:K03769	eum:ECUMN_4301
ko:K03656	eum:ECUMN_4302
ko:K03732	eum:ECUMN_4304
ko:K03671	eum:ECUMN_4305
ko:K03628	eum:ECUMN_4307
ko:K02575	eum:ECUMN_1722
ko:K08350	eum:ECUMN_1730
ko:K00027	eum:ECUMN_1734
ko:K02032	eum:ECUMN_1737
ko:K02031	eum:ECUMN_1738
ko:K02034	eum:ECUMN_1739
ko:K02033	eum:ECUMN_1740
ko:K02035	eum:ECUMN_1741
ko:K08641	eum:ECUMN_1742
ko:K02471	eum:ECUMN_1750
ko:K06871	eum:ECUMN_1751
ko:K07347	eum:ECUMN_1759
ko:K07345	eum:ECUMN_1761
ko:K07337	eum:ECUMN_1283
ko:K01207	eum:ECUMN_1285
ko:K07000	eum:ECUMN_1286
ko:K03885	eum:ECUMN_1287
ko:K01665	eum:ECUMN_2104
ko:K01752	eum:ECUMN_2106
ko:K02793	eum:ECUMN_2109
ko:K02794	eum:ECUMN_2109
ko:K02795	eum:ECUMN_2110
ko:K02796	eum:ECUMN_2111
ko:K00563	eum:ECUMN_2115
ko:K03704	eum:ECUMN_2116
ko:K08169	eum:ECUMN_2122
ko:K03799	eum:ECUMN_2123
ko:K03797	eum:ECUMN_2124
ko:K03607	eum:ECUMN_2125
ko:K03808	eum:ECUMN_2127
ko:K11392	eum:ECUMN_2129
ko:K07313	eum:ECUMN_2132
ko:K07156	eum:ECUMN_2136
ko:K02345	eum:ECUMN_2137
ko:K10857	eum:ECUMN_2139
ko:K01354	eum:ECUMN_2140
ko:K09918	eum:ECUMN_2145
ko:K08289	eum:ECUMN_2146
ko:K09901	eum:ECUMN_1545
ko:K06131	eum:ECUMN_1546
ko:K09780	eum:ECUMN_1550
ko:K03832	eum:ECUMN_1551
ko:K10806	eum:ECUMN_1552
ko:K06190	eum:ECUMN_1553
ko:K07275	eum:ECUMN_1555
ko:K00872	eum:ECUMN_0003
ko:K01733	eum:ECUMN_0004
ko:K09861	eum:ECUMN_0006
ko:K03310	eum:ECUMN_0007
ko:K00616	eum:ECUMN_0009
ko:K03831	eum:ECUMN_0010
ko:K07034	eum:ECUMN_0011
ko:K04043	eum:ECUMN_0014
ko:K03686	eum:ECUMN_0015
ko:K03313	eum:ECUMN_0016
ko:K03717	eum:ECUMN_0017
ko:K02968	eum:ECUMN_0023
ko:K01870	eum:ECUMN_0026
ko:K03101	eum:ECUMN_0028
ko:K05368	eum:ECUMN_4368
ko:K03275	eum:ECUMN_4143
ko:K12525	eum:ECUMN_4470
ko:K12500	eum:ECUMN_0483
ko:K02847	eum:ECUMN_4139
ko:K00666	eum:ECUMN_3458
ko:K07027	eum:ECUMN_0932
ko:K08992	eum:ECUMN_1581
ko:K03970	eum:ECUMN_1612
ko:K03971	eum:ECUMN_1614
ko:K00675	eum:ECUMN_1714
ko:K01582	eum:ECUMN_0183
ko:K01150	eum:ECUMN_3297
ko:K02478	eum:ECUMN_2710
ko:K02478	eum:ECUMN_2460
ko:K01497	eum:ECUMN_1579
ko:K03819	eum:ECUMN_2394
ko:K13051	eum:ECUMN_1016
ko:K13292	eum:ECUMN_3155
ko:K12961	eum:ECUMN_3629
ko:K12057	eum:p1ECUMN_0090
ko:K03503	eum:p1ECUMN_0144
ko:K12963	eum:ECUMN_2601
ko:K08151	eum:p1ECUMN_0054
ko:K00247	eum:ECUMN_4687
ko:K02681	eum:ECUMN_3150
ko:K10804	eum:ECUMN_0541
ko:K13014	eum:ECUMN_2597
ko:K03496	eum:p1ECUMN_0152
ko:K01011	eum:ECUMN_2841
ko:K10538	eum:ECUMN_2193
ko:K10539	eum:ECUMN_2194
ko:K10537	eum:ECUMN_2195
ko:K02217	eum:ECUMN_2200
ko:K03834	eum:ECUMN_2202
ko:K07039	eum:ECUMN_2203
ko:K00995	eum:ECUMN_2204
ko:K00797	eum:ECUMN_0118
ko:K00760	eum:ECUMN_0122
ko:K01673	eum:ECUMN_0123
ko:K01579	eum:ECUMN_0129
ko:K01918	eum:ECUMN_0131
ko:K00606	eum:ECUMN_0132
ko:K00950	eum:ECUMN_0139
ko:K01894	eum:ECUMN_0141
ko:K06204	eum:ECUMN_0142
ko:K06206	eum:ECUMN_0143
ko:K01975	eum:ECUMN_0144
ko:K03579	eum:ECUMN_0145
ko:K05365	eum:ECUMN_0146
ko:K02014	eum:ECUMN_0147
ko:K02013	eum:ECUMN_0148
ko:K02016	eum:ECUMN_0149
ko:K02015	eum:ECUMN_0150
ko:K01845	eum:ECUMN_0151
ko:K03281	eum:ECUMN_0152
ko:K06163	eum:ECUMN_4630
ko:K06164	eum:ECUMN_4631
ko:K06165	eum:ECUMN_4632
ko:K06166	eum:ECUMN_4633
ko:K02043	eum:ECUMN_4634
ko:K02042	eum:ECUMN_4635
ko:K02044	eum:ECUMN_4636
ko:K02041	eum:ECUMN_4637
ko:K06193	eum:ECUMN_4639
ko:K07643	eum:ECUMN_4644
ko:K01584	eum:ECUMN_4649
ko:K07406	eum:ECUMN_4651
ko:K08984	eum:ECUMN_4653
ko:K01676	eum:ECUMN_4654
ko:K07792	eum:ECUMN_4655
ko:K07703	eum:ECUMN_4656
ko:K07701	eum:ECUMN_4657
ko:K06975	eum:ECUMN_4660
ko:K04567	eum:ECUMN_4663
ko:K03305	eum:ECUMN_4664
ko:K04084	eum:ECUMN_4671
ko:K03926	eum:ECUMN_4672
ko:K01744	eum:ECUMN_4674
ko:K07113	eum:ECUMN_4675
ko:K04078	eum:ECUMN_4677
ko:K04077	eum:ECUMN_4678
ko:K00381	eum:ECUMN_3091
ko:K00380	eum:ECUMN_3092
ko:K01737	eum:ECUMN_3093
ko:K00313	eum:ECUMN_3094
ko:K10026	eum:ECUMN_3104
ko:K03744	eum:ECUMN_3105
ko:K06872	eum:ECUMN_3106
ko:K06872	eum:ECUMN_3107
ko:K06872	eum:ECUMN_3109
ko:K01689	eum:ECUMN_3110
ko:K01937	eum:ECUMN_3111
ko:K03215	eum:ECUMN_3114
ko:K07678	eum:ECUMN_3115
ko:K01706	eum:ECUMN_3116
ko:K06175	eum:ECUMN_3120
ko:K06966	eum:ECUMN_3124
ko:K03837	eum:ECUMN_3125
ko:K01752	eum:ECUMN_3126
ko:K00048	eum:ECUMN_3128
ko:K02429	eum:ECUMN_3130
ko:K01818	eum:ECUMN_3131
ko:K02431	eum:ECUMN_3133
ko:K02430	eum:ECUMN_3134
ko:K06968	eum:ECUMN_3135
ko:K03217	eum:ECUMN_4237
ko:K03650	eum:ECUMN_4238
ko:K01667	eum:ECUMN_4239
ko:K01698	eum:ECUMN_0409
ko:K01921	eum:ECUMN_0418
ko:K00286	eum:ECUMN_0424
ko:K09768	eum:ECUMN_0425
ko:K00891	eum:ECUMN_0426
ko:K09913	eum:ECUMN_0429
ko:K03554	eum:ECUMN_0431
ko:K00847	eum:ECUMN_0432
ko:K03546	eum:ECUMN_0434
ko:K03547	eum:ECUMN_0435
ko:K07140	eum:ECUMN_1136
ko:K03808	eum:ECUMN_1139
ko:K06192	eum:ECUMN_1140
ko:K09857	eum:ECUMN_1141
ko:K03812	eum:ECUMN_1142
ko:K01716	eum:ECUMN_1143
ko:K04770	eum:ECUMN_1144
ko:K09911	eum:ECUMN_1145
ko:K06904	eum:ECUMN_0892
ko:K06910	eum:ECUMN_0915
ko:K00833	eum:ECUMN_0916
ko:K01012	eum:ECUMN_0917
ko:K02169	eum:ECUMN_0919
ko:K01935	eum:ECUMN_0920
ko:K07184	eum:ECUMN_3538
ko:K06153	eum:ECUMN_3540
ko:K03687	eum:ECUMN_2938
ko:K00858	eum:ECUMN_2939
ko:K03631	eum:ECUMN_2940
ko:K06186	eum:ECUMN_2941
ko:K09801	eum:ECUMN_2942
ko:K03664	eum:ECUMN_2944
ko:K02781	eum:ECUMN_2959
ko:K02782	eum:ECUMN_2960
ko:K02783	eum:ECUMN_2960
ko:K06859	eum:ECUMN_2965
ko:K08304	eum:ECUMN_3143
ko:K01448	eum:ECUMN_3144
ko:K07058	eum:ECUMN_4023
ko:K07290	eum:ECUMN_4025
ko:K00874	eum:ECUMN_4028
ko:K11103	eum:ECUMN_4035
ko:K01246	eum:ECUMN_4061
ko:K03826	eum:ECUMN_4062
ko:K06899	eum:ECUMN_2523
ko:K09904	eum:ECUMN_2524
ko:K07014	eum:ECUMN_2525
ko:K07685	eum:ECUMN_2528
ko:K02200	eum:ECUMN_2529
ko:K02199	eum:ECUMN_2530
ko:K02198	eum:ECUMN_2531
ko:K02197	eum:ECUMN_2532
ko:K02196	eum:ECUMN_2533
ko:K02195	eum:ECUMN_2534
ko:K02194	eum:ECUMN_2535
ko:K02193	eum:ECUMN_2536
ko:K02569	eum:ECUMN_2537
ko:K02568	eum:ECUMN_2538
ko:K02573	eum:ECUMN_2540
ko:K02567	eum:ECUMN_2541
ko:K02570	eum:ECUMN_2542
ko:K02572	eum:ECUMN_2543
ko:K08276	eum:ECUMN_2545
ko:K00116	eum:ECUMN_2546
ko:K03919	eum:ECUMN_2548
ko:K03734	eum:ECUMN_2551
ko:K09475	eum:ECUMN_2552
ko:K07676	eum:ECUMN_2553
ko:K03658	eum:ECUMN_1152
ko:K01734	eum:ECUMN_1153
ko:K09909	eum:ECUMN_1154
ko:K06929	eum:ECUMN_1155
ko:K06969	eum:ECUMN_1157
ko:K01512	eum:ECUMN_1158
ko:K11179	eum:ECUMN_1159
ko:K06282	eum:ECUMN_1162
ko:K05709	eum:ECUMN_2859
ko:K05710	eum:ECUMN_2860
ko:K00600	eum:ECUMN_2871
ko:K05916	eum:ECUMN_2872
ko:K07715	eum:ECUMN_2874
ko:K07711	eum:ECUMN_2876
ko:K01952	eum:ECUMN_2877
ko:K00014	eum:ECUMN_3755
ko:K07566	eum:ECUMN_3756
ko:K02015	eum:ECUMN_4857
ko:K02015	eum:ECUMN_4858
ko:K02016	eum:ECUMN_4859
ko:K03088	eum:ECUMN_4862
ko:K00899	eum:ECUMN_4889
ko:K08963	eum:ECUMN_4890
ko:K03299	eum:ECUMN_4895
ko:K07127	eum:ECUMN_2261
ko:K07147	eum:ECUMN_2262
ko:K01480	eum:ECUMN_3288
ko:K01585	eum:ECUMN_3290
ko:K00789	eum:ECUMN_3294
ko:K02742	eum:ECUMN_3296
ko:K09761	eum:ECUMN_3298
ko:K01920	eum:ECUMN_3299
ko:K07735	eum:ECUMN_3300
ko:K07447	eum:ECUMN_3301
ko:K02669	eum:ECUMN_3302
ko:K01807	eum:ECUMN_3255
ko:K01118	eum:ECUMN_3257
ko:K05596	eum:ECUMN_3260
ko:K01847	eum:ECUMN_3261
ko:K07588	eum:ECUMN_3262
ko:K09807	eum:ECUMN_3266
ko:K03442	eum:ECUMN_3269
ko:K01624	eum:ECUMN_3270
ko:K00927	eum:ECUMN_3271
ko:K00615	eum:ECUMN_3285
ko:K07387	eum:ECUMN_3286
ko:K06173	eum:ECUMN_2658
ko:K03473	eum:ECUMN_2660
ko:K00647	eum:ECUMN_2663
ko:K09906	eum:ECUMN_2666
ko:K07090	eum:ECUMN_2667
ko:K07261	eum:ECUMN_2668
ko:K01736	eum:ECUMN_2669
ko:K07320	eum:ECUMN_2670
ko:K03559	eum:ECUMN_3490
ko:K03561	eum:ECUMN_3491
ko:K00655	eum:ECUMN_3501
ko:K02621	eum:ECUMN_3503
ko:K02035	eum:ECUMN_3504
ko:K07645	eum:ECUMN_3511
ko:K03923	eum:ECUMN_3513
ko:K00912	eum:ECUMN_1108
ko:K09927	eum:ECUMN_1109
ko:K09791	eum:ECUMN_1110
ko:K00979	eum:ECUMN_1111
ko:K06219	eum:ECUMN_1115
ko:K03633	eum:ECUMN_1116
ko:K03804	eum:ECUMN_1117
ko:K03632	eum:ECUMN_1118
ko:K01893	eum:ECUMN_1124
ko:K00763	eum:ECUMN_1125
ko:K01256	eum:ECUMN_1126
ko:K03704	eum:ECUMN_1839
ko:K03704	eum:ECUMN_1844
ko:K03704	eum:ECUMN_1845
ko:K11071	eum:ECUMN_1368
ko:K01258	eum:ECUMN_1371
ko:K07660	eum:ECUMN_1374
ko:K01756	eum:ECUMN_1375
ko:K07153	eum:ECUMN_1376
ko:K00566	eum:ECUMN_1377
ko:K06181	eum:ECUMN_1379
ko:K00031	eum:ECUMN_1380
ko:K09816	eum:ECUMN_2157
ko:K03551	eum:ECUMN_2158
ko:K03550	eum:ECUMN_2159
ko:K01159	eum:ECUMN_2161
ko:K08310	eum:ECUMN_2163
ko:K01876	eum:ECUMN_2164
ko:K07136	eum:ECUMN_2167
