ko:K02030	rsl:RPSI07_mp0136
ko:K00799	rsl:RPSI07_2744
ko:K14235	rsl:RPSI07_tRNA7
ko:K14267	rsl:RPSI07_1969
ko:K01505	rsl:RPSI07_mp0523
ko:K14234	rsl:RPSI07_tRNA48
ko:K03535	rsl:RPSI07_mp0772
ko:K14170	rsl:RPSI07_2480
ko:K07497	rsl:RPSI07_1639
ko:K14441	rsl:RPSI07_1729
ko:K01607	rsl:RPSI07_1149
ko:K02462	rsl:RPSI07_0375
ko:K02461	rsl:RPSI07_0376
ko:K02460	rsl:RPSI07_0377
ko:K02459	rsl:RPSI07_0378
ko:K02458	rsl:RPSI07_0379
ko:K02457	rsl:RPSI07_0380
ko:K02456	rsl:RPSI07_0381
ko:K06857	rsl:RPSI07_0885
ko:K14225	rsl:RPSI07_tRNA33
ko:K14225	rsl:RPSI07_tRNA34
ko:K04128	rsl:RPSI07_mp0876
ko:K04128	rsl:RPSI07_2714
ko:K01173	rsl:RPSI07_2597
ko:K01183	rsl:RPSI07_mp0254
ko:K02358	rsl:RPSI07_0476
ko:K09017	rsl:RPSI07_2144
ko:K00128	rsl:RPSI07_mp1691
ko:K00988	rsl:RPSI07_mp1157
ko:K01524	rsl:RPSI07_1578
ko:K06020	rsl:RPSI07_0586
ko:K15125	rsl:RPSI07_0271
ko:K15125	rsl:RPSI07_mp0468
ko:K15125	rsl:RPSI07_mp1112
ko:K01884	rsl:RPSI07_1181
ko:K10038	rsl:RPSI07_1321
ko:K06919	rsl:RPSI07_0216
ko:K15035	rsl:RPSI07_miscRNA_26
ko:K14233	rsl:RPSI07_tRNA14
ko:K03457	rsl:RPSI07_2140
ko:K14230	rsl:RPSI07_tRNA29
ko:K14414	rsl:RPSI07_3189
ko:K14226	rsl:RPSI07_tRNA43
ko:K08356	rsl:RPSI07_mp0920
ko:K01760	rsl:RPSI07_1732
ko:K00249	rsl:RPSI07_1406
ko:K04127	rsl:RPSI07_mp0854
ko:K06147	rsl:RPSI07_1870
ko:K07491	rsl:RPSI07_0532
ko:K14237	rsl:RPSI07_tRNA17
ko:K14237	rsl:RPSI07_tRNA20
ko:K14234	rsl:RPSI07_tRNA8
ko:K01051	rsl:RPSI07_mp0104
ko:K14227	rsl:RPSI07_tRNA2
ko:K14227	rsl:RPSI07_tRNA44
ko:K14227	rsl:RPSI07_tRNA9
ko:K14222	rsl:RPSI07_tRNA35
ko:K10218	rsl:RPSI07_mp1417
ko:K08295	rsl:RPSI07_mp0053
ko:K01607	rsl:RPSI07_1173
ko:K14223	rsl:RPSI07_tRNA30
ko:K09004	rsl:RPSI07_0190
ko:K14230	rsl:RPSI07_tRNA46
ko:K01501	rsl:RPSI07_mp0987
ko:K06133	rsl:RPSI07_mp0110
ko:K14228	rsl:RPSI07_tRNA19
ko:K14218	rsl:RPSI07_tRNA1
ko:K14219	rsl:RPSI07_tRNA49
ko:K01069	rsl:RPSI07_1557
ko:K01980	rsl:RPSI07_23s_rRNA_1
ko:K01980	rsl:RPSI07_23s_rRNA_3
ko:K01980	rsl:RPSI07_23s_rRNA_2
ko:K14160	rsl:RPSI07_mp0733
ko:K01607	rsl:RPSI07_mp1441
ko:K05833	rsl:RPSI07_1782
ko:K05832	rsl:RPSI07_1783
ko:K01989	rsl:RPSI07_1784
ko:K03769	rsl:RPSI07_1785
ko:K07305	rsl:RPSI07_1788
ko:K00626	rsl:RPSI07_1804
ko:K00046	rsl:RPSI07_1806
ko:K00652	rsl:RPSI07_1880
ko:K01560	rsl:RPSI07_2004
ko:K00567	rsl:RPSI07_0960
ko:K07054	rsl:RPSI07_0963
ko:K00059	rsl:RPSI07_1237
ko:K02004	rsl:RPSI07_1338
ko:K07483	rsl:RPSI07_1530
ko:K03806	rsl:RPSI07_0701
ko:K03284	rsl:RPSI07_0736
ko:K01591	rsl:RPSI07_0737
ko:K01095	rsl:RPSI07_0740
ko:K00946	rsl:RPSI07_0741
ko:K00029	rsl:RPSI07_0742
ko:K09761	rsl:RPSI07_0746
ko:K00883	rsl:RPSI07_0750
ko:K10537	rsl:RPSI07_0751
ko:K10539	rsl:RPSI07_0752
ko:K10538	rsl:RPSI07_0753
ko:K13874	rsl:RPSI07_0754
ko:K01631	rsl:RPSI07_0757
ko:K01684	rsl:RPSI07_0758
ko:K00615	rsl:RPSI07_0759
ko:K00134	rsl:RPSI07_0760
ko:K06186	rsl:RPSI07_0764
ko:K00215	rsl:RPSI07_0765
ko:K01869	rsl:RPSI07_0766
ko:K03643	rsl:RPSI07_0767
ko:K03543	rsl:RPSI07_0785
ko:K00566	rsl:RPSI07_0788
ko:K01756	rsl:RPSI07_0791
ko:K03074	rsl:RPSI07_0795
ko:K03072	rsl:RPSI07_0796
ko:K03210	rsl:RPSI07_0797
ko:K00773	rsl:RPSI07_0798
ko:K07568	rsl:RPSI07_0799
ko:K03655	rsl:RPSI07_0800
ko:K04761	rsl:RPSI07_0821
ko:K03781	rsl:RPSI07_0823
ko:K04047	rsl:RPSI07_0825
ko:K03179	rsl:RPSI07_0826
ko:K00286	rsl:RPSI07_0828
ko:K06997	rsl:RPSI07_0829
ko:K02669	rsl:RPSI07_0830
ko:K02670	rsl:RPSI07_0831
ko:K08084	rsl:RPSI07_0834
ko:K02671	rsl:RPSI07_0835
ko:K02672	rsl:RPSI07_0836
ko:K08591	rsl:RPSI07_0920
ko:K06925	rsl:RPSI07_0926
ko:K01448	rsl:RPSI07_0927
ko:K00979	rsl:RPSI07_0932
ko:K09791	rsl:RPSI07_0933
ko:K00912	rsl:RPSI07_0934
ko:K03561	rsl:RPSI07_0936
ko:K03601	rsl:RPSI07_0938
ko:K04564	rsl:RPSI07_0939
ko:K00023	rsl:RPSI07_0940
ko:K09975	rsl:RPSI07_0943
ko:K03530	rsl:RPSI07_0944
ko:K02355	rsl:RPSI07_0475
ko:K02946	rsl:RPSI07_0477
ko:K02906	rsl:RPSI07_0478
ko:K02926	rsl:RPSI07_0479
ko:K02892	rsl:RPSI07_0480
ko:K02886	rsl:RPSI07_0481
ko:K02965	rsl:RPSI07_0482
ko:K02890	rsl:RPSI07_0483
ko:K02982	rsl:RPSI07_0484
ko:K02878	rsl:RPSI07_0486
ko:K02904	rsl:RPSI07_0487
ko:K02961	rsl:RPSI07_0488
ko:K02874	rsl:RPSI07_0489
ko:K02895	rsl:RPSI07_0490
ko:K02931	rsl:RPSI07_0491
ko:K02954	rsl:RPSI07_0492
ko:K02994	rsl:RPSI07_0493
ko:K02933	rsl:RPSI07_0494
ko:K02881	rsl:RPSI07_0495
ko:K02988	rsl:RPSI07_0496
ko:K03088	rsl:RPSI07_0581
ko:K02297	rsl:RPSI07_0582
ko:K02298	rsl:RPSI07_0583
ko:K02299	rsl:RPSI07_0584
ko:K02300	rsl:RPSI07_0585
ko:K03669	rsl:RPSI07_0590
ko:K03670	rsl:RPSI07_0591
ko:K03186	rsl:RPSI07_0595
ko:K07390	rsl:RPSI07_0596
ko:K02493	rsl:RPSI07_0599
ko:K02835	rsl:RPSI07_0601
ko:K02492	rsl:RPSI07_0602
ko:K01925	rsl:RPSI07_0661
ko:K06942	rsl:RPSI07_0604
ko:K02423	rsl:RPSI07_0605
ko:K03981	rsl:RPSI07_0610
ko:K03435	rsl:RPSI07_0646
ko:K06134	rsl:RPSI07_0652
ko:K03925	rsl:RPSI07_0654
ko:K03438	rsl:RPSI07_0655
ko:K03586	rsl:RPSI07_0656
ko:K03587	rsl:RPSI07_0657
ko:K01928	rsl:RPSI07_0658
ko:K01929	rsl:RPSI07_0659
ko:K01000	rsl:RPSI07_0660
ko:K02050	rsl:RPSI07_0069
ko:K03406	rsl:RPSI07_0029
ko:K01243	rsl:RPSI07_0064
ko:K02049	rsl:RPSI07_0068
ko:K00023	rsl:RPSI07_1726
ko:K05541	rsl:RPSI07_1728
ko:K01079	rsl:RPSI07_1733
ko:K01438	rsl:RPSI07_1734
ko:K03723	rsl:RPSI07_1735
ko:K00991	rsl:RPSI07_1736
ko:K01770	rsl:RPSI07_1737
ko:K04756	rsl:RPSI07_1738
ko:K07638	rsl:RPSI07_1741
ko:K14742	rsl:RPSI07_2000
ko:K02650	rsl:RPSI07_2796
ko:K00567	rsl:RPSI07_0923
ko:K00939	rsl:RPSI07_0931
ko:K03593	rsl:RPSI07_1089
ko:K00124	rsl:RPSI07_1096
ko:K00127	rsl:RPSI07_1098
ko:K00059	rsl:RPSI07_1121
ko:K01507	rsl:RPSI07_1123
ko:K01011	rsl:RPSI07_1196
ko:K01409	rsl:RPSI07_1203
ko:K00101	rsl:RPSI07_1301
ko:K09118	rsl:RPSI07_1591
ko:K03294	rsl:RPSI07_1678
ko:K01515	rsl:RPSI07_1382
ko:K02427	rsl:RPSI07_1566
ko:K07657	rsl:RPSI07_1575
ko:K03588	rsl:RPSI07_0662
ko:K02563	rsl:RPSI07_0663
ko:K01924	rsl:RPSI07_0664
ko:K01921	rsl:RPSI07_0665
ko:K03589	rsl:RPSI07_0666
ko:K03590	rsl:RPSI07_0667
ko:K01579	rsl:RPSI07_0780
ko:K03531	rsl:RPSI07_0668
ko:K02535	rsl:RPSI07_0670
ko:K03070	rsl:RPSI07_0673
ko:K00620	rsl:RPSI07_0674
ko:K06923	rsl:RPSI07_0675
ko:K09862	rsl:RPSI07_0677
ko:K00859	rsl:RPSI07_0679
ko:K02654	rsl:RPSI07_0680
ko:K02652	rsl:RPSI07_0682
ko:K02523	rsl:RPSI07_0684
ko:K02888	rsl:RPSI07_0685
ko:K06077	rsl:RPSI07_0717
ko:K11065	rsl:RPSI07_0719
ko:K02687	rsl:RPSI07_0721
ko:K01961	rsl:RPSI07_0722
ko:K02160	rsl:RPSI07_0723
ko:K03786	rsl:RPSI07_0724
ko:K02558	rsl:RPSI07_0727
ko:K07000	rsl:RPSI07_0728
ko:K03181	rsl:RPSI07_0729
ko:K01147	rsl:RPSI07_0730
ko:K03832	rsl:RPSI07_0731
ko:K00014	rsl:RPSI07_0732
ko:K03814	rsl:RPSI07_0733
ko:K02340	rsl:RPSI07_0768
ko:K00147	rsl:RPSI07_0769
ko:K08973	rsl:RPSI07_0770
ko:K07444	rsl:RPSI07_0771
ko:K00325	rsl:RPSI07_0778
ko:K00324	rsl:RPSI07_0779
ko:K00324	rsl:RPSI07_0781
ko:K03446	rsl:RPSI07_0784
ko:K07090	rsl:RPSI07_0949
ko:K07085	rsl:RPSI07_1299
ko:K00029	rsl:RPSI07_1300
ko:K10126	rsl:RPSI07_1302
ko:K10125	rsl:RPSI07_1303
ko:K03841	rsl:RPSI07_1307
ko:K01256	rsl:RPSI07_1308
ko:K00029	rsl:RPSI07_1310
ko:K07127	rsl:RPSI07_1317
ko:K10037	rsl:RPSI07_1322
ko:K10036	rsl:RPSI07_1323
ko:K00457	rsl:RPSI07_1325
ko:K13529	rsl:RPSI07_0961
ko:K15977	rsl:RPSI07_0966
ko:K09005	rsl:RPSI07_0972
ko:K00031	rsl:RPSI07_0976
ko:K03704	rsl:RPSI07_1007
ko:K02907	rsl:RPSI07_0497
ko:K02876	rsl:RPSI07_0498
ko:K03076	rsl:RPSI07_0499
ko:K02518	rsl:RPSI07_0500
ko:K02919	rsl:RPSI07_0501
ko:K02952	rsl:RPSI07_0502
ko:K02948	rsl:RPSI07_0503
ko:K02986	rsl:RPSI07_0504
ko:K03040	rsl:RPSI07_0505
ko:K02879	rsl:RPSI07_0506
ko:K03926	rsl:RPSI07_0507
ko:K04084	rsl:RPSI07_0508
ko:K01698	rsl:RPSI07_0509
ko:K03978	rsl:RPSI07_0510
ko:K07399	rsl:RPSI07_0512
ko:K03088	rsl:RPSI07_0515
ko:K01586	rsl:RPSI07_0519
ko:K06202	rsl:RPSI07_0521
ko:K05366	rsl:RPSI07_0522
ko:K02662	rsl:RPSI07_0523
ko:K02666	rsl:RPSI07_0527
ko:K00891	rsl:RPSI07_0528
ko:K01735	rsl:RPSI07_0529
ko:K01129	rsl:RPSI07_0530
ko:K07275	rsl:RPSI07_0531
ko:K00266	rsl:RPSI07_0534
ko:K02065	rsl:RPSI07_0536
ko:K02066	rsl:RPSI07_0537
ko:K04754	rsl:RPSI07_0539
ko:K07323	rsl:RPSI07_0540
ko:K07122	rsl:RPSI07_0541
ko:K00790	rsl:RPSI07_0545
ko:K00765	rsl:RPSI07_0546
ko:K00013	rsl:RPSI07_0547
ko:K03648	rsl:RPSI07_0617
ko:K01609	rsl:RPSI07_0619
ko:K00766	rsl:RPSI07_0620
ko:K01657	rsl:RPSI07_0623
ko:K01091	rsl:RPSI07_0624
ko:K01783	rsl:RPSI07_0625
ko:K01933	rsl:RPSI07_0894
ko:K10778	rsl:RPSI07_0897
ko:K01247	rsl:RPSI07_0898
ko:K03919	rsl:RPSI07_0899
ko:K09990	rsl:RPSI07_0900
ko:K00791	rsl:RPSI07_0903
ko:K03572	rsl:RPSI07_0904
ko:K06192	rsl:RPSI07_0905
ko:K00817	rsl:RPSI07_0548
ko:K01693	rsl:RPSI07_0549
ko:K02501	rsl:RPSI07_0551
ko:K06195	rsl:RPSI07_0626
ko:K08304	rsl:RPSI07_0628
ko:K01912	rsl:RPSI07_0629
ko:K15866	rsl:RPSI07_0631
ko:K02034	rsl:RPSI07_0637
ko:K06891	rsl:RPSI07_1009
ko:K03694	rsl:RPSI07_1010
ko:K13038	rsl:RPSI07_1013
ko:K03101	rsl:RPSI07_1015
ko:K01870	rsl:RPSI07_1016
ko:K11753	rsl:RPSI07_1017
ko:K11175	rsl:RPSI07_1020
ko:K03500	rsl:RPSI07_1021
ko:K03517	rsl:RPSI07_1025
ko:K00767	rsl:RPSI07_1026
ko:K00278	rsl:RPSI07_1027
ko:K02913	rsl:RPSI07_1028
ko:K02902	rsl:RPSI07_1029
ko:K03630	rsl:RPSI07_1030
ko:K03774	rsl:RPSI07_1031
ko:K03527	rsl:RPSI07_1032
ko:K01999	rsl:RPSI07_1033
ko:K01997	rsl:RPSI07_1034
ko:K01998	rsl:RPSI07_1035
ko:K01995	rsl:RPSI07_1036
ko:K01996	rsl:RPSI07_1037
ko:K01999	rsl:RPSI07_1046
ko:K13634	rsl:RPSI07_1047
ko:K07090	rsl:RPSI07_1048
ko:K00381	rsl:RPSI07_1049
ko:K00390	rsl:RPSI07_1051
ko:K00957	rsl:RPSI07_1052
ko:K11720	rsl:RPSI07_1057
ko:K07091	rsl:RPSI07_1058
ko:K01255	rsl:RPSI07_1059
ko:K02339	rsl:RPSI07_1060
ko:K01687	rsl:RPSI07_1062
ko:K13292	rsl:RPSI07_1064
ko:K03631	rsl:RPSI07_0866
ko:K00858	rsl:RPSI07_0867
ko:K03705	rsl:RPSI07_0868
ko:K05836	rsl:RPSI07_0869
ko:K01712	rsl:RPSI07_0870
ko:K01745	rsl:RPSI07_0871
ko:K01468	rsl:RPSI07_0873
ko:K01772	rsl:RPSI07_0874
ko:K04762	rsl:RPSI07_0875
ko:K03687	rsl:RPSI07_0878
ko:K06140	rsl:RPSI07_0881
ko:K04043	rsl:RPSI07_0882
ko:K03686	rsl:RPSI07_0883
ko:K05773	rsl:RPSI07_0886
ko:K00606	rsl:RPSI07_0887
ko:K00950	rsl:RPSI07_0889
ko:K10763	rsl:RPSI07_0892
ko:K00674	rsl:RPSI07_1970
ko:K01439	rsl:RPSI07_1973
ko:K03518	rsl:RPSI07_1900
ko:K03519	rsl:RPSI07_1902
ko:K07161	rsl:RPSI07_1904
ko:K05772	rsl:RPSI07_1336
ko:K06886	rsl:RPSI07_1339
ko:K00901	rsl:RPSI07_1343
ko:K03088	rsl:RPSI07_1350
ko:K01652	rsl:RPSI07_1351
ko:K01653	rsl:RPSI07_1352
ko:K00053	rsl:RPSI07_1353
ko:K01613	rsl:RPSI07_1356
ko:K01649	rsl:RPSI07_1358
ko:K03561	rsl:RPSI07_1465
ko:K03832	rsl:RPSI07_1466
ko:K01776	rsl:RPSI07_1474
ko:K01676	rsl:RPSI07_1475
ko:K01895	rsl:RPSI07_1478
ko:K08307	rsl:RPSI07_1558
ko:K01908	rsl:RPSI07_1559
ko:K01956	rsl:RPSI07_1560
ko:K11250	rsl:RPSI07_1561
ko:K01955	rsl:RPSI07_1562
ko:K03624	rsl:RPSI07_1563
ko:K03798	rsl:RPSI07_1567
ko:K00796	rsl:RPSI07_1568
ko:K03431	rsl:RPSI07_1569
ko:K02040	rsl:RPSI07_1570
ko:K02037	rsl:RPSI07_1571
ko:K02038	rsl:RPSI07_1572
ko:K02036	rsl:RPSI07_1573
ko:K02039	rsl:RPSI07_1574
ko:K07636	rsl:RPSI07_1576
ko:K00937	rsl:RPSI07_1577
ko:K08296	rsl:RPSI07_1580
ko:K07090	rsl:RPSI07_1581
ko:K01845	rsl:RPSI07_1587
ko:K02053	rsl:RPSI07_1593
ko:K03719	rsl:RPSI07_0385
ko:K03592	rsl:RPSI07_2438
ko:K09889	rsl:RPSI07_2439
ko:K03831	rsl:RPSI07_2440
ko:K13288	rsl:RPSI07_2441
ko:K06949	rsl:RPSI07_2443
ko:K02227	rsl:RPSI07_2445
ko:K02884	rsl:RPSI07_2447
ko:K00554	rsl:RPSI07_2448
ko:K02860	rsl:RPSI07_2449
ko:K02959	rsl:RPSI07_2450
ko:K00626	rsl:RPSI07_1725
ko:K00626	rsl:RPSI07_1730
ko:K03386	rsl:RPSI07_1739
ko:K01814	rsl:RPSI07_0552
ko:K02500	rsl:RPSI07_0553
ko:K03116	rsl:RPSI07_0557
ko:K03117	rsl:RPSI07_0558
ko:K03118	rsl:RPSI07_0559
ko:K02011	rsl:RPSI07_0561
ko:K02012	rsl:RPSI07_0562
ko:K07649	rsl:RPSI07_0563
ko:K07774	rsl:RPSI07_0564
ko:K02012	rsl:RPSI07_0565
ko:K03282	rsl:RPSI07_0569
ko:K00411	rsl:RPSI07_0570
ko:K00412	rsl:RPSI07_0571
ko:K00413	rsl:RPSI07_0572
ko:K03599	rsl:RPSI07_0573
ko:K03600	rsl:RPSI07_0574
ko:K09888	rsl:RPSI07_1067
ko:K02015	rsl:RPSI07_1070
ko:K02013	rsl:RPSI07_1071
ko:K00768	rsl:RPSI07_1072
ko:K02233	rsl:RPSI07_1073
ko:K02016	rsl:RPSI07_1075
ko:K02225	rsl:RPSI07_1076
ko:K02227	rsl:RPSI07_1077
ko:K02231	rsl:RPSI07_1078
ko:K02232	rsl:RPSI07_1079
ko:K01918	rsl:RPSI07_1081
ko:K05896	rsl:RPSI07_1082
ko:K09800	rsl:RPSI07_1085
ko:K01874	rsl:RPSI07_1087
ko:K00123	rsl:RPSI07_1095
ko:K02379	rsl:RPSI07_1101
ko:K01494	rsl:RPSI07_1102
ko:K01584	rsl:RPSI07_1103
ko:K06915	rsl:RPSI07_1105
ko:K01755	rsl:RPSI07_1110
ko:K03088	rsl:RPSI07_1112
ko:K01595	rsl:RPSI07_1114
ko:K01749	rsl:RPSI07_1115
ko:K02498	rsl:RPSI07_1117
ko:K09919	rsl:RPSI07_1126
ko:K01950	rsl:RPSI07_1127
ko:K03183	rsl:RPSI07_1128
ko:K04751	rsl:RPSI07_1129
ko:K00384	rsl:RPSI07_1132
ko:K03466	rsl:RPSI07_1133
ko:K03634	rsl:RPSI07_1134
ko:K07478	rsl:RPSI07_1136
ko:K01875	rsl:RPSI07_1137
ko:K00285	rsl:RPSI07_1160
ko:K10001	rsl:RPSI07_1161
ko:K02624	rsl:RPSI07_1167
ko:K01031	rsl:RPSI07_1168
ko:K01032	rsl:RPSI07_1169
ko:K01857	rsl:RPSI07_1171
ko:K01997	rsl:RPSI07_1174
ko:K01998	rsl:RPSI07_1175
ko:K01995	rsl:RPSI07_1176
ko:K01996	rsl:RPSI07_1177
ko:K01999	rsl:RPSI07_1178
ko:K00481	rsl:RPSI07_1180
ko:K02518	rsl:RPSI07_1183
ko:K03975	rsl:RPSI07_0908
ko:K03980	rsl:RPSI07_0910
ko:K02968	rsl:RPSI07_0911
ko:K01940	rsl:RPSI07_0914
ko:K09913	rsl:RPSI07_0915
ko:K07001	rsl:RPSI07_0916
ko:K00075	rsl:RPSI07_0917
ko:K09767	rsl:RPSI07_0918
ko:K03762	rsl:RPSI07_0946
ko:K00963	rsl:RPSI07_1185
ko:K01873	rsl:RPSI07_1186
ko:K03657	rsl:RPSI07_1187
ko:K02204	rsl:RPSI07_1189
ko:K06966	rsl:RPSI07_1191
ko:K03885	rsl:RPSI07_1193
ko:K01061	rsl:RPSI07_1194
ko:K03602	rsl:RPSI07_1199
ko:K00795	rsl:RPSI07_1200
ko:K01662	rsl:RPSI07_1201
ko:K09007	rsl:RPSI07_1202
ko:K07007	rsl:RPSI07_1204
ko:K03086	rsl:RPSI07_1208
ko:K01894	rsl:RPSI07_1213
ko:K06911	rsl:RPSI07_1215
ko:K03809	rsl:RPSI07_1216
ko:K07146	rsl:RPSI07_1217
ko:K02337	rsl:RPSI07_1218
ko:K09117	rsl:RPSI07_1205
ko:K08301	rsl:RPSI07_1226
ko:K06287	rsl:RPSI07_1227
ko:K00783	rsl:RPSI07_1228
ko:K09710	rsl:RPSI07_1229
ko:K00969	rsl:RPSI07_1230
ko:K00228	rsl:RPSI07_1231
ko:K01945	rsl:RPSI07_1232
ko:K06915	rsl:RPSI07_1234
ko:K00761	rsl:RPSI07_1235
ko:K01734	rsl:RPSI07_1238
ko:K01725	rsl:RPSI07_1245
ko:K07552	rsl:RPSI07_1253
ko:K07160	rsl:RPSI07_1256
ko:K01304	rsl:RPSI07_1260
ko:K00989	rsl:RPSI07_1265
ko:K00942	rsl:RPSI07_1269
ko:K03060	rsl:RPSI07_1270
ko:K04760	rsl:RPSI07_1273
ko:K02455	rsl:RPSI07_1282
ko:K02456	rsl:RPSI07_1283
ko:K02456	rsl:RPSI07_1285
ko:K02456	rsl:RPSI07_1286
ko:K02453	rsl:RPSI07_1289
ko:K06966	rsl:RPSI07_1597
ko:K02053	rsl:RPSI07_1596
ko:K02454	rsl:RPSI07_0372
ko:K01119	rsl:RPSI07_0078
ko:K01724	rsl:RPSI07_0088
ko:K00784	rsl:RPSI07_1262
ko:K02454	rsl:RPSI07_1281
ko:K00799	rsl:RPSI07_1416
ko:K00241	rsl:RPSI07_1433
ko:K02033	rsl:RPSI07_1511
ko:K02342	rsl:RPSI07_1521
ko:K02291	rsl:RPSI07_1746
ko:K03545	rsl:RPSI07_1753
ko:K01358	rsl:RPSI07_1754
ko:K03544	rsl:RPSI07_1755
ko:K01338	rsl:RPSI07_1756
ko:K03530	rsl:RPSI07_1757
ko:K03770	rsl:RPSI07_1760
ko:K03100	rsl:RPSI07_1761
ko:K10804	rsl:RPSI07_1762
ko:K02003	rsl:RPSI07_1763
ko:K01810	rsl:RPSI07_1764
ko:K07659	rsl:RPSI07_1742
ko:K01999	rsl:RPSI07_1360
ko:K02956	rsl:RPSI07_1361
ko:K00962	rsl:RPSI07_1362
ko:K01803	rsl:RPSI07_1365
ko:K03075	rsl:RPSI07_1366
ko:K00330	rsl:RPSI07_1367
ko:K00331	rsl:RPSI07_1368
ko:K00332	rsl:RPSI07_1369
ko:K00333	rsl:RPSI07_1370
ko:K00334	rsl:RPSI07_1371
ko:K00337	rsl:RPSI07_1374
ko:K00338	rsl:RPSI07_1375
ko:K00339	rsl:RPSI07_1376
ko:K00340	rsl:RPSI07_1377
ko:K00341	rsl:RPSI07_1378
ko:K00342	rsl:RPSI07_1379
ko:K00343	rsl:RPSI07_1380
ko:K03190	rsl:RPSI07_1393
ko:K01430	rsl:RPSI07_1394
ko:K03192	rsl:RPSI07_1395
ko:K01429	rsl:RPSI07_1396
ko:K01428	rsl:RPSI07_1397
ko:K03187	rsl:RPSI07_1398
ko:K03188	rsl:RPSI07_1399
ko:K03189	rsl:RPSI07_1400
ko:K06895	rsl:RPSI07_1402
ko:K00074	rsl:RPSI07_1415
ko:K09861	rsl:RPSI07_1419
ko:K01681	rsl:RPSI07_1425
ko:K01720	rsl:RPSI07_1426
ko:K01644	rsl:RPSI07_1430
ko:K00024	rsl:RPSI07_1431
ko:K03710	rsl:RPSI07_1432
ko:K00242	rsl:RPSI07_1434
ko:K00239	rsl:RPSI07_1435
ko:K00240	rsl:RPSI07_1436
ko:K09159	rsl:RPSI07_1437
ko:K01647	rsl:RPSI07_1438
ko:K01703	rsl:RPSI07_1439
ko:K01704	rsl:RPSI07_1440
ko:K00052	rsl:RPSI07_1441
ko:K00133	rsl:RPSI07_1442
ko:K06173	rsl:RPSI07_1444
ko:K01817	rsl:RPSI07_1445
ko:K09933	rsl:RPSI07_2193
ko:K02909	rsl:RPSI07_2195
ko:K03327	rsl:RPSI07_2197
ko:K07001	rsl:RPSI07_2199
ko:K13896	rsl:RPSI07_2201
ko:K13895	rsl:RPSI07_2202
ko:K13894	rsl:RPSI07_2203
ko:K13893	rsl:RPSI07_2204
ko:K00208	rsl:RPSI07_2205
ko:K00928	rsl:RPSI07_2206
ko:K04075	rsl:RPSI07_2207
ko:K01962	rsl:RPSI07_2208
ko:K01247	rsl:RPSI07_2209
ko:K01883	rsl:RPSI07_2210
ko:K02068	rsl:RPSI07_2591
ko:K02069	rsl:RPSI07_2592
ko:K03119	rsl:RPSI07_2594
ko:K01626	rsl:RPSI07_2598
ko:K07112	rsl:RPSI07_2599
ko:K06920	rsl:RPSI07_2600
ko:K03640	rsl:RPSI07_2602
ko:K03641	rsl:RPSI07_2603
ko:K03562	rsl:RPSI07_2606
ko:K07107	rsl:RPSI07_2607
ko:K00600	rsl:RPSI07_2609
ko:K07738	rsl:RPSI07_2610
ko:K02671	rsl:RPSI07_2611
ko:K02672	rsl:RPSI07_2612
ko:K02673	rsl:RPSI07_2613
ko:K02655	rsl:RPSI07_2615
ko:K08084	rsl:RPSI07_2616
ko:K02672	rsl:RPSI07_2618
ko:K11752	rsl:RPSI07_2623
ko:K00793	rsl:RPSI07_2624
ko:K00794	rsl:RPSI07_2626
ko:K03625	rsl:RPSI07_2627
ko:K03182	rsl:RPSI07_2631
ko:K00285	rsl:RPSI07_2458
ko:K03522	rsl:RPSI07_2460
ko:K03521	rsl:RPSI07_2461
ko:K02073	rsl:RPSI07_2462
ko:K02072	rsl:RPSI07_2463
ko:K02071	rsl:RPSI07_2464
ko:K12339	rsl:RPSI07_2467
ko:K02237	rsl:RPSI07_2468
ko:K03274	rsl:RPSI07_2469
ko:K00012	rsl:RPSI07_2471
ko:K05788	rsl:RPSI07_2474
ko:K02945	rsl:RPSI07_2475
ko:K00945	rsl:RPSI07_2476
ko:K00800	rsl:RPSI07_2477
ko:K00817	rsl:RPSI07_2479
ko:K00831	rsl:RPSI07_2481
ko:K09924	rsl:RPSI07_2482
ko:K02469	rsl:RPSI07_2483
ko:K10012	rsl:RPSI07_2046
ko:K00604	rsl:RPSI07_2047
ko:K03564	rsl:RPSI07_2050
ko:K07175	rsl:RPSI07_2051
ko:K03306	rsl:RPSI07_2054
ko:K07220	rsl:RPSI07_2055
ko:K02939	rsl:RPSI07_2057
ko:K02963	rsl:RPSI07_2058
ko:K07302	rsl:RPSI07_1503
ko:K07303	rsl:RPSI07_1504
ko:K02034	rsl:RPSI07_1510
ko:K01433	rsl:RPSI07_1520
ko:K11103	rsl:RPSI07_1527
ko:K00029	rsl:RPSI07_1528
ko:K07152	rsl:RPSI07_1538
ko:K03809	rsl:RPSI07_1647
ko:K07058	rsl:RPSI07_1648
ko:K01952	rsl:RPSI07_1767
ko:K07649	rsl:RPSI07_1779
ko:K07774	rsl:RPSI07_1780
ko:K05527	rsl:RPSI07_1786
ko:K06190	rsl:RPSI07_1787
ko:K07402	rsl:RPSI07_1332
ko:K13482	rsl:RPSI07_1333
ko:K13481	rsl:RPSI07_1334
ko:K02990	rsl:RPSI07_2060
ko:K00528	rsl:RPSI07_2062
ko:K06606	rsl:RPSI07_2131
ko:K01464	rsl:RPSI07_2139
