ko:K13613	bama:RBAU_1681
ko:K15580	bama:RBAU_1104
ko:K15581	bama:RBAU_1105
ko:K16511	bama:RBAU_1113
ko:K08602	bama:RBAU_1115
ko:K06886	bama:RBAU_1118
ko:K00858	bama:RBAU_1123
ko:K06180	bama:RBAU_1124
ko:K03707	bama:RBAU_1128
ko:K10810	bama:RBAU_1129
ko:K03154	bama:RBAU_1131
ko:K03149	bama:RBAU_1132
ko:K03453	bama:RBAU_1879
ko:K00658	bama:RBAU_1881
ko:K00164	bama:RBAU_1882
ko:K03327	bama:RBAU_1890
ko:K05786	bama:RBAU_1895
ko:K06999	bama:RBAU_1902
ko:K15975	bama:RBAU_1903
ko:K01201	bama:RBAU_1905
ko:K01223	bama:RBAU_1906
ko:K03489	bama:RBAU_1907
ko:K03797	bama:RBAU_1908
ko:K01438	bama:RBAU_1923
ko:K01034	bama:RBAU_1925
ko:K16203	bama:RBAU_1254
ko:K16200	bama:RBAU_1255
ko:K16201	bama:RBAU_1256
ko:K16199	bama:RBAU_1258
ko:K01433	bama:RBAU_1270
ko:K00931	bama:RBAU_1271
ko:K00147	bama:RBAU_1272
ko:K05820	bama:RBAU_1280
ko:K00549	bama:RBAU_1282
ko:K05916	bama:RBAU_2807
ko:K05520	bama:RBAU_2809
ko:K01866	bama:RBAU_2816
ko:K01895	bama:RBAU_2817
ko:K04766	bama:RBAU_2819
ko:K04768	bama:RBAU_2821
ko:K02557	bama:RBAU_2822
ko:K02556	bama:RBAU_2823
ko:K02529	bama:RBAU_2824
ko:K13853	bama:RBAU_2825
ko:K01924	bama:RBAU_2829
ko:K03466	bama:RBAU_2830
ko:K06878	bama:RBAU_2831
ko:K03439	bama:RBAU_2839
ko:K01975	bama:RBAU_2844
ko:K01738	bama:RBAU_2845
ko:K06901	bama:RBAU_2847
ko:K07007	bama:RBAU_2853
ko:K06131	bama:RBAU_3574
ko:K00373	bama:RBAU_3577
ko:K00371	bama:RBAU_3578
ko:K00370	bama:RBAU_3579
ko:K02575	bama:RBAU_3583
ko:K01887	bama:RBAU_3584
ko:K00797	bama:RBAU_3598
ko:K01821	bama:RBAU_3604
ko:K06885	bama:RBAU_3609
ko:K06314	bama:RBAU_3611
ko:K16869	bama:RBAU_3620
ko:K02988	bama:RBAU_0139
ko:K02907	bama:RBAU_0140
ko:K02876	bama:RBAU_0142
ko:K03076	bama:RBAU_0143
ko:K01265	bama:RBAU_0145
ko:K02518	bama:RBAU_0146
ko:K02952	bama:RBAU_0147
ko:K02948	bama:RBAU_0148
ko:K03040	bama:RBAU_0150
ko:K02879	bama:RBAU_0151
ko:K16785	bama:RBAU_0154
ko:K06173	bama:RBAU_0155
ko:K02871	bama:RBAU_0156
ko:K02996	bama:RBAU_0157
ko:K01448	bama:RBAU_0161
ko:K06294	bama:RBAU_0163
ko:K06349	bama:RBAU_0164
ko:K08174	bama:RBAU_0173
ko:K03321	bama:RBAU_0177
ko:K02015	bama:RBAU_0180
ko:K02015	bama:RBAU_0181
ko:K02016	bama:RBAU_0182
ko:K03088	bama:RBAU_0939
ko:K00655	bama:RBAU_0940
ko:K11358	bama:RBAU_0943
ko:K00646	bama:RBAU_0944
ko:K06199	bama:RBAU_0946
ko:K06199	bama:RBAU_0947
ko:K01126	bama:RBAU_0948
ko:K16052	bama:RBAU_0949
ko:K12410	bama:RBAU_0950
ko:K00824	bama:RBAU_0952
ko:K03897	bama:RBAU_0968
ko:K07228	bama:RBAU_0970
ko:K09682	bama:RBAU_0984
ko:K01356	bama:RBAU_1742
ko:K00615	bama:RBAU_1746
ko:K03413	bama:RBAU_1751
ko:K06335	bama:RBAU_1754
ko:K06433	bama:RBAU_1755
ko:K06432	bama:RBAU_1756
ko:K01681	bama:RBAU_1757
ko:K06431	bama:RBAU_1760
ko:K06434	bama:RBAU_1761
ko:K07107	bama:RBAU_1762
ko:K08591	bama:RBAU_1765
ko:K02622	bama:RBAU_1767
ko:K02621	bama:RBAU_1768
ko:K03310	bama:RBAU_1771
ko:K00874	bama:RBAU_1772
ko:K08322	bama:RBAU_1773
ko:K01625	bama:RBAU_1774
ko:K01686	bama:RBAU_1775
ko:K02525	bama:RBAU_1777
ko:K02239	bama:RBAU_2524
ko:K09710	bama:RBAU_2526
ko:K00969	bama:RBAU_2528
ko:K07574	bama:RBAU_2529
ko:K00014	bama:RBAU_2530
ko:K07015	bama:RBAU_2532
ko:K06371	bama:RBAU_2534
ko:K03091	bama:RBAU_2541
ko:K13653	bama:RBAU_2545
ko:K01809	bama:RBAU_2556
ko:K02768	bama:RBAU_2557
ko:K02769	bama:RBAU_2557
ko:K02770	bama:RBAU_2557
ko:K08224	bama:RBAU_2562
ko:K00123	bama:RBAU_2569
ko:K17217	bama:RBAU_2572
ko:K00782	bama:RBAU_3281
ko:K03303	bama:RBAU_3287
ko:K03092	bama:RBAU_3288
ko:K13727	bama:RBAU_3310
ko:K01193	bama:RBAU_3318
ko:K02532	bama:RBAU_3319
ko:K03484	bama:RBAU_3320
ko:K01358	bama:RBAU_3321
ko:K06966	bama:RBAU_3326
ko:K03544	bama:RBAU_2666
ko:K03545	bama:RBAU_2667
ko:K01704	bama:RBAU_2670
ko:K01703	bama:RBAU_2671
ko:K00052	bama:RBAU_2672
ko:K01649	bama:RBAU_2673
ko:K00053	bama:RBAU_2674
ko:K01653	bama:RBAU_2675
ko:K01652	bama:RBAU_2676
ko:K07095	bama:RBAU_2679
ko:K00989	bama:RBAU_2681
ko:K01776	bama:RBAU_2683
ko:K01994	bama:RBAU_2685
ko:K07107	bama:RBAU_2686
ko:K00240	bama:RBAU_2687
ko:K00239	bama:RBAU_2688
ko:K00928	bama:RBAU_2691
ko:K03703	bama:RBAU_2692
ko:K03671	bama:RBAU_2693
ko:K03522	bama:RBAU_2695
ko:K03521	bama:RBAU_2696
ko:K13767	bama:RBAU_2697
ko:K13770	bama:RBAU_2698
ko:K08989	bama:RBAU_2701
ko:K07456	bama:RBAU_2702
ko:K02347	bama:RBAU_2703
ko:K09888	bama:RBAU_2705
ko:K01890	bama:RBAU_2707
ko:K01889	bama:RBAU_2708
ko:K05946	bama:RBAU_3428
ko:K01809	bama:RBAU_3431
ko:K07282	bama:RBAU_3442
ko:K06295	bama:RBAU_3447
ko:K02529	bama:RBAU_3450
ko:K06726	bama:RBAU_3452
ko:K10441	bama:RBAU_3453
ko:K01575	bama:RBAU_3458
ko:K01652	bama:RBAU_3459
ko:K03893	bama:RBAU_3461
ko:K06330	bama:RBAU_3464
ko:K07240	bama:RBAU_3469
ko:K07240	bama:RBAU_3470
ko:K05982	bama:RBAU_3471
ko:K02313	bama:RBAU_0002
ko:K02338	bama:RBAU_0003
ko:K03629	bama:RBAU_0005
ko:K02470	bama:RBAU_0007
ko:K02469	bama:RBAU_0008
ko:K06215	bama:RBAU_0013
ko:K08681	bama:RBAU_0014
ko:K01875	bama:RBAU_0015
ko:K00865	bama:RBAU_0016
ko:K15519	bama:RBAU_0017
ko:K15518	bama:RBAU_0018
ko:K06306	bama:RBAU_0019
ko:K11991	bama:RBAU_0021
ko:K02343	bama:RBAU_0022
ko:K09747	bama:RBAU_0023
ko:K06187	bama:RBAU_0024
ko:K06317	bama:RBAU_0026
ko:K00943	bama:RBAU_0033
ko:K09770	bama:RBAU_0035
ko:K02341	bama:RBAU_0036
ko:K07461	bama:RBAU_0040
ko:K07056	bama:RBAU_0041
ko:K06284	bama:RBAU_0042
ko:K01874	bama:RBAU_0043
ko:K03424	bama:RBAU_0044
ko:K03284	bama:RBAU_0799
ko:K01247	bama:RBAU_0800
ko:K03215	bama:RBAU_0801
ko:K00627	bama:RBAU_0807
ko:K00382	bama:RBAU_0808
ko:K06425	bama:RBAU_0810
ko:K01232	bama:RBAU_0811
ko:K03481	bama:RBAU_0812
ko:K02749	bama:RBAU_0813
ko:K02750	bama:RBAU_0813
ko:K00355	bama:RBAU_0820
ko:K03623	bama:RBAU_0823
ko:K14205	bama:RBAU_0827
ko:K07071	bama:RBAU_0832
ko:K03565	bama:RBAU_0833
ko:K07038	bama:RBAU_0844
ko:K03575	bama:RBAU_0845
ko:K03706	bama:RBAU_1576
ko:K02387	bama:RBAU_1577
ko:K02388	bama:RBAU_1578
ko:K02408	bama:RBAU_1579
ko:K02409	bama:RBAU_1580
ko:K02410	bama:RBAU_1581
ko:K02411	bama:RBAU_1582
ko:K02412	bama:RBAU_1583
ko:K02413	bama:RBAU_1584
ko:K02389	bama:RBAU_1588
ko:K02390	bama:RBAU_1589
ko:K02385	bama:RBAU_1590
ko:K02415	bama:RBAU_1591
ko:K02416	bama:RBAU_1592
ko:K02417	bama:RBAU_1593
ko:K03413	bama:RBAU_1594
ko:K02418	bama:RBAU_1595
ko:K02419	bama:RBAU_1596
ko:K02420	bama:RBAU_1597
ko:K02421	bama:RBAU_1598
ko:K02401	bama:RBAU_1599
ko:K02400	bama:RBAU_1600
ko:K02404	bama:RBAU_1601
ko:K04562	bama:RBAU_1602
ko:K03412	bama:RBAU_1603
ko:K03407	bama:RBAU_1604
ko:K03408	bama:RBAU_1605
ko:K03410	bama:RBAU_1606
ko:K03411	bama:RBAU_1607
ko:K02405	bama:RBAU_1608
ko:K02967	bama:RBAU_1610
ko:K02357	bama:RBAU_1611
ko:K09903	bama:RBAU_1612
ko:K02838	bama:RBAU_1613
ko:K00806	bama:RBAU_1614
ko:K00981	bama:RBAU_1615
ko:K00099	bama:RBAU_1616
ko:K11749	bama:RBAU_1617
ko:K01881	bama:RBAU_1618
ko:K03763	bama:RBAU_1619
ko:K09748	bama:RBAU_1620
ko:K02600	bama:RBAU_1621
ko:K07742	bama:RBAU_1622
ko:K02519	bama:RBAU_1624
ko:K00074	bama:RBAU_2380
ko:K01126	bama:RBAU_2382
ko:K01448	bama:RBAU_2383
ko:K01775	bama:RBAU_2390
ko:K07699	bama:RBAU_2391
ko:K06399	bama:RBAU_2392
ko:K03631	bama:RBAU_2393
ko:K03402	bama:RBAU_2394
ko:K06442	bama:RBAU_2395
ko:K01662	bama:RBAU_2396
ko:K13789	bama:RBAU_2397
ko:K03602	bama:RBAU_2398
ko:K03601	bama:RBAU_2399
ko:K01491	bama:RBAU_2400
ko:K03625	bama:RBAU_2401
ko:K01961	bama:RBAU_2403
ko:K02160	bama:RBAU_2404
ko:K06397	bama:RBAU_2405
ko:K06396	bama:RBAU_2406
ko:K06395	bama:RBAU_2407
ko:K06394	bama:RBAU_2408
ko:K06393	bama:RBAU_2409
ko:K06392	bama:RBAU_2410
ko:K06391	bama:RBAU_2411
ko:K06390	bama:RBAU_2412
ko:K02356	bama:RBAU_2414
ko:K07001	bama:RBAU_2419
ko:K03800	bama:RBAU_2421
ko:K00283	bama:RBAU_2423
ko:K00282	bama:RBAU_2424
ko:K00605	bama:RBAU_2425
ko:K01574	bama:RBAU_3134
ko:K00077	bama:RBAU_3135
ko:K02013	bama:RBAU_3137
ko:K04047	bama:RBAU_3141
ko:K07650	bama:RBAU_3144
ko:K06290	bama:RBAU_3151
ko:K11622	bama:RBAU_3154
ko:K11621	bama:RBAU_3155
ko:K11619	bama:RBAU_3157
ko:K02013	bama:RBAU_3160
ko:K02015	bama:RBAU_3161
ko:K02016	bama:RBAU_3162
ko:K02013	bama:RBAU_3172
ko:K02015	bama:RBAU_3173
ko:K02015	bama:RBAU_3174
ko:K02016	bama:RBAU_3175
ko:K03758	bama:RBAU_3177
ko:K07038	bama:RBAU_3179
ko:K06888	bama:RBAU_3910
ko:K08369	bama:RBAU_3912
ko:K01142	bama:RBAU_3915
ko:K13531	bama:RBAU_3916
ko:K13530	bama:RBAU_3917
ko:K02963	bama:RBAU_3918
ko:K02990	bama:RBAU_3920
ko:K06942	bama:RBAU_3921
ko:K03501	bama:RBAU_3929
ko:K03495	bama:RBAU_3930
ko:K03650	bama:RBAU_3931
ko:K03217	bama:RBAU_3933
ko:K03536	bama:RBAU_3934
ko:K08094	bama:RBAU_0336
ko:K06133	bama:RBAU_0347
ko:K10010	bama:RBAU_0349
ko:K10009	bama:RBAU_0350
ko:K02424	bama:RBAU_0351
ko:K03186	bama:RBAU_0353
ko:K03305	bama:RBAU_0357
ko:K06295	bama:RBAU_0360
ko:K06297	bama:RBAU_0361
ko:K06296	bama:RBAU_0362
ko:K02003	bama:RBAU_0370
ko:K00928	bama:RBAU_0376
ko:K02015	bama:RBAU_0378
ko:K02015	bama:RBAU_0379
ko:K02013	bama:RBAU_0380
ko:K02016	bama:RBAU_0381
ko:K00941	bama:RBAU_1134
ko:K00208	bama:RBAU_1135
ko:K06342	bama:RBAU_1139
ko:K06341	bama:RBAU_1140
ko:K03657	bama:RBAU_1146
ko:K01224	bama:RBAU_1166
ko:K00965	bama:RBAU_1167
ko:K00849	bama:RBAU_1169
ko:K02787	bama:RBAU_1170
ko:K02788	bama:RBAU_1170
ko:K07507	bama:RBAU_1177
ko:K01083	bama:RBAU_1934
ko:K07152	bama:RBAU_1954
ko:K01754	bama:RBAU_1956
ko:K11068	bama:RBAU_1958
ko:K00655	bama:RBAU_1959
ko:K01687	bama:RBAU_1965
ko:K06950	bama:RBAU_1967
ko:K00432	bama:RBAU_1968
ko:K00651	bama:RBAU_1969
ko:K03704	bama:RBAU_1971
ko:K09125	bama:RBAU_1975
ko:K06429	bama:RBAU_1977
ko:K03437	bama:RBAU_2709
ko:K06426	bama:RBAU_2710
ko:K02647	bama:RBAU_2711
ko:K11473	bama:RBAU_2713
ko:K06200	bama:RBAU_2714
ko:K17234	bama:RBAU_2718
ko:K00096	bama:RBAU_2719
ko:K01804	bama:RBAU_2723
ko:K02887	bama:RBAU_2728
ko:K02916	bama:RBAU_2729
ko:K02520	bama:RBAU_2730
ko:K05339	bama:RBAU_2731
ko:K05338	bama:RBAU_2732
ko:K07704	bama:RBAU_2734
ko:K01868	bama:RBAU_2736
ko:K07738	bama:RBAU_2741
ko:K01611	bama:RBAU_2742
ko:K00134	bama:RBAU_2743
ko:K00859	bama:RBAU_2747
ko:K07636	bama:RBAU_2751
ko:K00024	bama:RBAU_2754
ko:K00031	bama:RBAU_2755
ko:K01647	bama:RBAU_2756
ko:K00012	bama:RBAU_3477
ko:K01118	bama:RBAU_0490
ko:K03762	bama:RBAU_0494
ko:K07118	bama:RBAU_0501
ko:K16137	bama:RBAU_0502
ko:K07124	bama:RBAU_0503
ko:K10255	bama:RBAU_0506
ko:K03704	bama:RBAU_0508
ko:K07736	bama:RBAU_0509
ko:K01779	bama:RBAU_0510
ko:K16264	bama:RBAU_0524
ko:K01714	bama:RBAU_0527
ko:K00941	bama:RBAU_0533
ko:K13979	bama:RBAU_0536
ko:K13275	bama:RBAU_1283
ko:K16785	bama:RBAU_1285
ko:K16786	bama:RBAU_1286
ko:K16787	bama:RBAU_1286
ko:K16925	bama:RBAU_1287
ko:K06213	bama:RBAU_1290
ko:K10979	bama:RBAU_1297
ko:K03093	bama:RBAU_1300
ko:K03799	bama:RBAU_1304
ko:K13533	bama:RBAU_1309
ko:K08963	bama:RBAU_1311
ko:K00899	bama:RBAU_1312
ko:K08965	bama:RBAU_1315
ko:K08966	bama:RBAU_1316
ko:K08967	bama:RBAU_1318
ko:K13532	bama:RBAU_1321
ko:K15973	bama:RBAU_1322
ko:K02557	bama:RBAU_1323
ko:K02556	bama:RBAU_1324
ko:K03530	bama:RBAU_2120
ko:K02529	bama:RBAU_2856
ko:K10117	bama:RBAU_2857
ko:K10119	bama:RBAU_2859
ko:K07406	bama:RBAU_2860
ko:K01869	bama:RBAU_2863
ko:K11632	bama:RBAU_2869
ko:K11631	bama:RBAU_2870
ko:K11629	bama:RBAU_2871
ko:K11630	bama:RBAU_2872
ko:K16918	bama:RBAU_2873
ko:K16920	bama:RBAU_2874
ko:K16919	bama:RBAU_2875
ko:K16919	bama:RBAU_2876
ko:K16919	bama:RBAU_2877
ko:K07139	bama:RBAU_2883
ko:K01126	bama:RBAU_2886
ko:K16188	bama:RBAU_2887
ko:K01953	bama:RBAU_2891
ko:K00789	bama:RBAU_2892
ko:K01610	bama:RBAU_2893
ko:K04047	bama:RBAU_2901
ko:K07552	bama:RBAU_3633
ko:K02205	bama:RBAU_3634
ko:K00260	bama:RBAU_3637
ko:K01790	bama:RBAU_3640
ko:K00067	bama:RBAU_3641
ko:K00973	bama:RBAU_3643
ko:K06305	bama:RBAU_3651
ko:K03648	bama:RBAU_3655
ko:K00868	bama:RBAU_3660
ko:K01193	bama:RBAU_3662
ko:K14647	bama:RBAU_3665
ko:K05837	bama:RBAU_3668
ko:K03829	bama:RBAU_3669
ko:K14218	bama:RBAU_tRNA12
ko:K14218	bama:RBAU_tRNA62
ko:K14218	bama:RBAU_tRNA19
ko:K14218	bama:RBAU_tRNA71
ko:K01207	bama:RBAU_0185
ko:K07106	bama:RBAU_0188
ko:K03088	bama:RBAU_0191
ko:K03431	bama:RBAU_0195
ko:K00820	bama:RBAU_0196
ko:K02003	bama:RBAU_0209
ko:K01126	bama:RBAU_0230
ko:K02445	bama:RBAU_0231
ko:K00831	bama:RBAU_0988
ko:K02503	bama:RBAU_0989
ko:K01599	bama:RBAU_0997
ko:K01772	bama:RBAU_0998
ko:K00231	bama:RBAU_0999
ko:K01421	bama:RBAU_1001
ko:K00648	bama:RBAU_1002
ko:K11102	bama:RBAU_1005
ko:K03800	bama:RBAU_1007
ko:K02016	bama:RBAU_1013
ko:K03523	bama:RBAU_1017
ko:K02250	bama:RBAU_1022
ko:K03100	bama:RBAU_1033
ko:K15924	bama:RBAU_1789
ko:K15921	bama:RBAU_1790
ko:K00645	bama:RBAU_1794
ko:K00019	bama:RBAU_1795
ko:K01029	bama:RBAU_1796
ko:K01028	bama:RBAU_1797
ko:K01012	bama:RBAU_1800
ko:K01935	bama:RBAU_1801
ko:K00963	bama:RBAU_1806
ko:K01640	bama:RBAU_1810
ko:K02160	bama:RBAU_1811
ko:K01961	bama:RBAU_1812
ko:K07259	bama:RBAU_1820
ko:K01868	bama:RBAU_1829
ko:K17462	bama:RBAU_2575
ko:K03624	bama:RBAU_2579
ko:K00876	bama:RBAU_2581
ko:K08303	bama:RBAU_2582
ko:K08303	bama:RBAU_2583
ko:K07082	bama:RBAU_2585
ko:K07447	bama:RBAU_2587
ko:K01872	bama:RBAU_2589
ko:K10039	bama:RBAU_2592
ko:K10040	bama:RBAU_2593
ko:K10040	bama:RBAU_2594
ko:K03581	bama:RBAU_2597
ko:K00566	bama:RBAU_2599
ko:K04487	bama:RBAU_2600
ko:K17472	bama:RBAU_2601
ko:K07478	bama:RBAU_2602
ko:K01876	bama:RBAU_2604
ko:K01892	bama:RBAU_2605
ko:K01448	bama:RBAU_2607
ko:K07560	bama:RBAU_2608
ko:K00759	bama:RBAU_2610
ko:K07462	bama:RBAU_2611
ko:K07228	bama:RBAU_2613
ko:K12257	bama:RBAU_2614
ko:K06409	bama:RBAU_2616
ko:K03210	bama:RBAU_2619
ko:K03321	bama:RBAU_3328
ko:K01673	bama:RBAU_3329
ko:K00675	bama:RBAU_3332
ko:K11184	bama:RBAU_3333
ko:K06958	bama:RBAU_3336
ko:K00384	bama:RBAU_3338
ko:K11755	bama:RBAU_3344
ko:K02500	bama:RBAU_3345
ko:K01814	bama:RBAU_3346
ko:K02501	bama:RBAU_3347
ko:K01693	bama:RBAU_3348
ko:K00013	bama:RBAU_3349
ko:K00765	bama:RBAU_3350
ko:K02502	bama:RBAU_3351
ko:K06019	bama:RBAU_3354
ko:K13292	bama:RBAU_3355
ko:K01443	bama:RBAU_3357
ko:K03710	bama:RBAU_3359
ko:K08972	bama:RBAU_3362
ko:K03701	bama:RBAU_3367
ko:K03702	bama:RBAU_3368
ko:K03282	bama:RBAU_3490
ko:K02372	bama:RBAU_3491
ko:K02392	bama:RBAU_3493
ko:K02392	bama:RBAU_3494
ko:K03569	bama:RBAU_3495
ko:K06283	bama:RBAU_3496
ko:K03457	bama:RBAU_3499
ko:K03320	bama:RBAU_3502
ko:K04751	bama:RBAU_3503
ko:K03588	bama:RBAU_3504
ko:K06386	bama:RBAU_3507
ko:K03823	bama:RBAU_3508
ko:K06131	bama:RBAU_3511
ko:K01428	bama:RBAU_3516
ko:K01429	bama:RBAU_3517
ko:K01430	bama:RBAU_3518
ko:K03639	bama:RBAU_3522
ko:K02379	bama:RBAU_3523
ko:K03215	bama:RBAU_0693
ko:K03427	bama:RBAU_0694
ko:K01154	bama:RBAU_0695
ko:K01153	bama:RBAU_0696
ko:K06333	bama:RBAU_0708
ko:K06334	bama:RBAU_0709
ko:K06890	bama:RBAU_0718
ko:K00978	bama:RBAU_0724
ko:K01709	bama:RBAU_0725
ko:K08223	bama:RBAU_0729
ko:K15738	bama:RBAU_0735
ko:K01925	bama:RBAU_1482
ko:K03588	bama:RBAU_1483
ko:K02563	bama:RBAU_1484
ko:K00075	bama:RBAU_1485
ko:K03589	bama:RBAU_1486
ko:K03590	bama:RBAU_1487
ko:K03531	bama:RBAU_1488
ko:K13276	bama:RBAU_1489
ko:K06383	bama:RBAU_1490
ko:K03091	bama:RBAU_1491
ko:K03091	bama:RBAU_1492
ko:K02013	bama:RBAU_1493
ko:K05810	bama:RBAU_1496
ko:K06997	bama:RBAU_1497
ko:K09772	bama:RBAU_1498
ko:K02221	bama:RBAU_1499
ko:K04074	bama:RBAU_1501
ko:K01870	bama:RBAU_1502
ko:K03101	bama:RBAU_1504
ko:K06180	bama:RBAU_1505
ko:K02825	bama:RBAU_1506
ko:K00609	bama:RBAU_1508
ko:K01465	bama:RBAU_1509
ko:K01956	bama:RBAU_1510
ko:K01955	bama:RBAU_1511
ko:K01591	bama:RBAU_1514
ko:K00762	bama:RBAU_1515
ko:K00390	bama:RBAU_1516
ko:K16331	bama:RBAU_1517
ko:K05985	bama:RBAU_0046
ko:K02528	bama:RBAU_0047
ko:K06436	bama:RBAU_0048
ko:K06423	bama:RBAU_0050
ko:K00919	bama:RBAU_0051
ko:K06412	bama:RBAU_0054
ko:K04042	bama:RBAU_0055
ko:K00948	bama:RBAU_0056
ko:K02897	bama:RBAU_0057
ko:K01056	bama:RBAU_0058
ko:K03723	bama:RBAU_0060
ko:K04769	bama:RBAU_0061
ko:K07571	bama:RBAU_0068
ko:K06382	bama:RBAU_0069
ko:K04075	bama:RBAU_0072
ko:K00760	bama:RBAU_0073
ko:K03798	bama:RBAU_0074
ko:K03525	bama:RBAU_0075
ko:K04083	bama:RBAU_0076
ko:K01738	bama:RBAU_0078
ko:K01665	bama:RBAU_0079
ko:K00796	bama:RBAU_0082
ko:K01633	bama:RBAU_0083
ko:K00950	bama:RBAU_0084
ko:K04567	bama:RBAU_0087
ko:K10780	bama:RBAU_0847
ko:K06422	bama:RBAU_0848
ko:K01845	bama:RBAU_0853
ko:K03564	bama:RBAU_0854
ko:K03147	bama:RBAU_0862
ko:K02034	bama:RBAU_0868
ko:K03781	bama:RBAU_0871
ko:K15553	bama:RBAU_0874
ko:K15554	bama:RBAU_0875
ko:K02954	bama:RBAU_0877
ko:K03216	bama:RBAU_0883
ko:K02834	bama:RBAU_1626
ko:K11753	bama:RBAU_1628
ko:K02956	bama:RBAU_1629
ko:K00962	bama:RBAU_1630
ko:K06410	bama:RBAU_1634
ko:K06411	bama:RBAU_1635
ko:K00133	bama:RBAU_1636
ko:K00928	bama:RBAU_1637
ko:K01714	bama:RBAU_1638
ko:K03466	bama:RBAU_1642
ko:K03710	bama:RBAU_1643
ko:K08221	bama:RBAU_1644
ko:K00995	bama:RBAU_1653
ko:K09769	bama:RBAU_1658
ko:K06416	bama:RBAU_1659
ko:K00060	bama:RBAU_1660
ko:K06168	bama:RBAU_1662
ko:K06328	bama:RBAU_1664
ko:K03555	bama:RBAU_1665
ko:K03572	bama:RBAU_1666
ko:K15328	bama:RBAU_1673
ko:K15337	bama:RBAU_1675
ko:K15311	bama:RBAU_1676
ko:K02247	bama:RBAU_2437
ko:K01308	bama:RBAU_2451
ko:K03315	bama:RBAU_2454
ko:K02036	bama:RBAU_2459
ko:K02036	bama:RBAU_2460
ko:K02038	bama:RBAU_2461
ko:K02037	bama:RBAU_2462
ko:K02040	bama:RBAU_2463
ko:K08222	bama:RBAU_2465
ko:K04564	bama:RBAU_2466
ko:K09793	bama:RBAU_2467
ko:K05967	bama:RBAU_2472
ko:K07219	bama:RBAU_3181
ko:K02020	bama:RBAU_3182
ko:K02018	bama:RBAU_3183
ko:K00381	bama:RBAU_3192
ko:K03657	bama:RBAU_3194
ko:K03611	bama:RBAU_3197
ko:K01534	bama:RBAU_3199
ko:K01118	bama:RBAU_3204
ko:K03623	bama:RBAU_3221
ko:K03664	bama:RBAU_3223
ko:K12573	bama:RBAU_3225
ko:K03928	bama:RBAU_3226
ko:K03075	bama:RBAU_3227
ko:K00958	bama:RBAU_1518
ko:K00860	bama:RBAU_1519
ko:K03794	bama:RBAU_1521
ko:K02304	bama:RBAU_1522
ko:K09777	bama:RBAU_1526
ko:K03100	bama:RBAU_2283
ko:K01586	bama:RBAU_2287
ko:K06408	bama:RBAU_2288
ko:K06407	bama:RBAU_2289
ko:K06407	bama:RBAU_2290
ko:K06406	bama:RBAU_2291
ko:K06405	bama:RBAU_2292
ko:K06404	bama:RBAU_2293
ko:K06403	bama:RBAU_2294
ko:K03091	bama:RBAU_2295
ko:K06379	bama:RBAU_2296
ko:K01839	bama:RBAU_2300
ko:K03315	bama:RBAU_2307
ko:K01744	bama:RBAU_2308
ko:K02346	bama:RBAU_2321
ko:K01753	bama:RBAU_2327
ko:K07124	bama:RBAU_2328
ko:K01252	bama:RBAU_3033
ko:K02363	bama:RBAU_3034
ko:K02361	bama:RBAU_3035
ko:K00216	bama:RBAU_3036
ko:K03523	bama:RBAU_3039
ko:K07084	bama:RBAU_3040
ko:K01255	bama:RBAU_3041
ko:K09775	bama:RBAU_3042
ko:K03885	bama:RBAU_3045
ko:K00364	bama:RBAU_3048
ko:K03790	bama:RBAU_3055
ko:K14189	bama:RBAU_3056
ko:K01778	bama:RBAU_3058
ko:K03885	bama:RBAU_3061
ko:K00872	bama:RBAU_3065
ko:K01733	bama:RBAU_3066
ko:K00003	bama:RBAU_3067
ko:K03644	bama:RBAU_3073
ko:K07090	bama:RBAU_3077
ko:K07693	bama:RBAU_3812
ko:K07778	bama:RBAU_3813
ko:K10255	bama:RBAU_3814
ko:K03387	bama:RBAU_3825
ko:K11737	bama:RBAU_3827
ko:K04041	bama:RBAU_3828
ko:K07141	bama:RBAU_3832
ko:K01129	bama:RBAU_3839
ko:K00783	bama:RBAU_3840
ko:K01476	bama:RBAU_3848
ko:K02205	bama:RBAU_3849
ko:K06714	bama:RBAU_3851
ko:K01983	bama:RBAU_misc_RNA_33
ko:K01978	bama:RBAU_misc_RNA_12
ko:K01985	bama:RBAU_5s_rRNA_3
ko:K01985	bama:RBAU_5s_rRNA_5
ko:K01985	bama:RBAU_5s_rRNA_1
ko:K01985	bama:RBAU_5s_rRNA_7
ko:K01985	bama:RBAU_5s_rRNA_10
ko:K01985	bama:RBAU_5s_rRNA_2
ko:K01985	bama:RBAU_5s_rRNA_8
ko:K01985	bama:RBAU_5s_rRNA_6
ko:K01985	bama:RBAU_5s_rRNA_9
ko:K08317	bama:RBAU_0239
ko:K08289	bama:RBAU_0240
ko:K17103	bama:RBAU_0242
ko:K01613	bama:RBAU_0244
ko:K07146	bama:RBAU_0246
ko:K11102	bama:RBAU_0247
ko:K00826	bama:RBAU_0248
ko:K01425	bama:RBAU_0252
ko:K07717	bama:RBAU_0253
ko:K00375	bama:RBAU_0387
ko:K05340	bama:RBAU_0390
ko:K14166	bama:RBAU_0393
ko:K00009	bama:RBAU_0398
ko:K07160	bama:RBAU_0402
ko:K06350	bama:RBAU_0406
ko:K03817	bama:RBAU_0417
ko:K01779	bama:RBAU_0436
