ko:K22617	bsuc:BSSP2_I1954
ko:K01434	bsuc:BSSP2_II1053
ko:K02035	bsuc:BSSP2_II1054
ko:K02033	bsuc:BSSP2_II1055
ko:K02034	bsuc:BSSP2_II1056
ko:K02035	bsuc:BSSP2_II1061
ko:K02033	bsuc:BSSP2_II1062
ko:K02034	bsuc:BSSP2_II1063
ko:K01426	bsuc:BSSP2_II1067
ko:K01426	bsuc:BSSP2_II1068
ko:K11078	bsuc:BSSP2_II1070
ko:K01845	bsuc:BSSP2_II1075
ko:K01628	bsuc:BSSP2_II1078
ko:K03777	bsuc:BSSP2_II1081
ko:K00135	bsuc:BSSP2_II1091
ko:K01247	bsuc:BSSP2_II1095
ko:K01894	bsuc:BSSP2_II1096
ko:K01638	bsuc:BSSP2_II1097
ko:K03823	bsuc:BSSP2_II1098
ko:K03089	bsuc:BSSP2_II1099
ko:K06180	bsuc:BSSP2_II1100
ko:K02863	bsuc:BSSP2_I1268
ko:K02867	bsuc:BSSP2_I1269
ko:K02601	bsuc:BSSP2_I1270
ko:K00266	bsuc:BSSP2_II0022
ko:K11737	bsuc:BSSP2_II0023
ko:K09795	bsuc:BSSP2_II0024
ko:K03196	bsuc:BSSP2_II0027
ko:K03204	bsuc:BSSP2_II0029
ko:K03203	bsuc:BSSP2_II0030
ko:K03201	bsuc:BSSP2_II0031
ko:K03194	bsuc:BSSP2_II0036
ko:K08305	bsuc:BSSP2_II0037
ko:K00963	bsuc:BSSP2_II0039
ko:K07340	bsuc:BSSP2_II0042
ko:K01772	bsuc:BSSP2_II0044
ko:K00808	bsuc:BSSP2_II0046
ko:K02619	bsuc:BSSP2_II0047
ko:K01665	bsuc:BSSP2_II0048
ko:K08602	bsuc:BSSP2_II0049
ko:K01625	bsuc:BSSP2_II0052
ko:K07146	bsuc:BSSP2_II0055
ko:K02020	bsuc:BSSP2_II0056
ko:K02018	bsuc:BSSP2_II0057
ko:K02017	bsuc:BSSP2_II0058
ko:K01426	bsuc:BSSP2_II0065
ko:K01581	bsuc:BSSP2_II0066
ko:K01644	bsuc:BSSP2_II0834
ko:K09791	bsuc:BSSP2_II0845
ko:K07157	bsuc:BSSP2_II0846
ko:K05838	bsuc:BSSP2_II0847
ko:K19055	bsuc:BSSP2_II0848
ko:K06886	bsuc:BSSP2_II0852
ko:K01476	bsuc:BSSP2_II0854
ko:K10680	bsuc:BSSP2_II0856
ko:K10680	bsuc:BSSP2_II0857
ko:K06959	bsuc:BSSP2_II0859
ko:K00128	bsuc:BSSP2_II0863
ko:K01433	bsuc:BSSP2_II0864
ko:K01443	bsuc:BSSP2_II0866
ko:K00820	bsuc:BSSP2_II0867
ko:K03710	bsuc:BSSP2_II0868
ko:K15371	bsuc:BSSP2_II1261
ko:K08988	bsuc:BSSP2_II1262
ko:K06872	bsuc:BSSP2_II1263
ko:K03744	bsuc:BSSP2_II1264
ko:K02959	bsuc:BSSP2_II1266
ko:K04092	bsuc:BSSP2_II1267
ko:K03106	bsuc:BSSP2_II1268
ko:K01673	bsuc:BSSP2_II1270
ko:K00868	bsuc:BSSP2_II1271
ko:K00140	bsuc:BSSP2_II1273
ko:K08311	bsuc:BSSP2_II1278
ko:K03797	bsuc:BSSP2_II1279
ko:K00783	bsuc:BSSP2_II1282
ko:K09710	bsuc:BSSP2_II1283
ko:K02030	bsuc:BSSP2_I0871
ko:K05539	bsuc:BSSP2_I0872
ko:K06985	bsuc:BSSP2_I0873
ko:K06938	bsuc:BSSP2_I0874
ko:K02233	bsuc:BSSP2_I0875
ko:K00768	bsuc:BSSP2_I0876
ko:K05800	bsuc:BSSP2_I0877
ko:K07126	bsuc:BSSP2_I0880
ko:K01142	bsuc:BSSP2_I0881
ko:K01129	bsuc:BSSP2_I0884
ko:K01887	bsuc:BSSP2_I0885
ko:K01207	bsuc:BSSP2_I0887
ko:K05896	bsuc:BSSP2_I0888
ko:K06024	bsuc:BSSP2_I0889
ko:K03116	bsuc:BSSP2_I0890
ko:K03117	bsuc:BSSP2_I0891
ko:K03118	bsuc:BSSP2_I0892
ko:K01875	bsuc:BSSP2_I0893
ko:K03787	bsuc:BSSP2_I0894
ko:K00573	bsuc:BSSP2_I0895
ko:K06923	bsuc:BSSP2_I0899
ko:K03210	bsuc:BSSP2_I0900
ko:K12257	bsuc:BSSP2_I0902
ko:K02291	bsuc:BSSP2_I0904
ko:K04094	bsuc:BSSP2_I0905
ko:K03545	bsuc:BSSP2_I0910
ko:K02434	bsuc:BSSP2_I0911
ko:K00684	bsuc:BSSP2_I0917
ko:K00684	bsuc:BSSP2_I0918
ko:K01961	bsuc:BSSP2_I0919
ko:K02160	bsuc:BSSP2_I0921
ko:K02835	bsuc:BSSP2_I1676
ko:K08484	bsuc:BSSP2_I1677
ko:K00928	bsuc:BSSP2_I1678
ko:K00568	bsuc:BSSP2_I1679
ko:K02498	bsuc:BSSP2_I1689
ko:K01719	bsuc:BSSP2_I1691
ko:K01749	bsuc:BSSP2_I1692
ko:K01409	bsuc:BSSP2_I1694
ko:K00057	bsuc:BSSP2_I1695
ko:K09780	bsuc:BSSP2_I1696
ko:K03466	bsuc:BSSP2_I1701
ko:K03320	bsuc:BSSP2_I1702
ko:K10805	bsuc:BSSP2_I1703
ko:K03185	bsuc:BSSP2_I1705
ko:K00240	bsuc:BSSP2_I1707
ko:K00239	bsuc:BSSP2_I1708
ko:K00242	bsuc:BSSP2_I1709
ko:K00241	bsuc:BSSP2_I1710
ko:K01703	bsuc:BSSP2_I1712
ko:K02884	bsuc:BSSP2_I1714
ko:K03457	bsuc:BSSP2_I1715
ko:K07090	bsuc:BSSP2_I1716
ko:K00554	bsuc:BSSP2_I1721
ko:K02860	bsuc:BSSP2_I1722
ko:K03733	bsuc:BSSP2_I1723
ko:K02002	bsuc:BSSP2_II0689
ko:K03073	bsuc:BSSP2_I1271
ko:K02358	bsuc:BSSP2_I1273
ko:K03218	bsuc:BSSP2_I1277
ko:K00640	bsuc:BSSP2_I1284
ko:K09005	bsuc:BSSP2_I1287
ko:K03704	bsuc:BSSP2_I1288
ko:K01759	bsuc:BSSP2_I1290
ko:K07462	bsuc:BSSP2_I1292
ko:K01921	bsuc:BSSP2_I1294
ko:K11532	bsuc:BSSP2_I1296
ko:K00003	bsuc:BSSP2_I1298
ko:K14261	bsuc:BSSP2_I1299
ko:K09956	bsuc:BSSP2_I1305
ko:K06206	bsuc:BSSP2_I1307
ko:K01265	bsuc:BSSP2_I1308
ko:K03630	bsuc:BSSP2_I1309
ko:K16079	bsuc:BSSP2_I1310
ko:K00595	bsuc:BSSP2_I1311
ko:K02229	bsuc:BSSP2_I1312
ko:K06042	bsuc:BSSP2_I1313
ko:K03394	bsuc:BSSP2_I1314
ko:K13541	bsuc:BSSP2_I1315
ko:K13786	bsuc:BSSP2_I1318
ko:K01999	bsuc:BSSP2_I1319
ko:K02227	bsuc:BSSP2_I1320
ko:K02225	bsuc:BSSP2_I1321
ko:K02224	bsuc:BSSP2_I1322
ko:K00033	bsuc:BSSP2_II0076
ko:K02052	bsuc:BSSP2_II0077
ko:K02053	bsuc:BSSP2_II0078
ko:K02054	bsuc:BSSP2_II0079
ko:K02055	bsuc:BSSP2_II0081
ko:K03543	bsuc:BSSP2_II0084
ko:K02401	bsuc:BSSP2_II0089
ko:K02410	bsuc:BSSP2_II0090
ko:K02410	bsuc:BSSP2_II0091
ko:K02417	bsuc:BSSP2_II0092
ko:K02416	bsuc:BSSP2_II0094
ko:K02556	bsuc:BSSP2_II0095
ko:K02391	bsuc:BSSP2_II0097
ko:K02412	bsuc:BSSP2_II0098
ko:K02387	bsuc:BSSP2_II0114
ko:K02388	bsuc:BSSP2_II0115
ko:K02408	bsuc:BSSP2_II0116
ko:K02392	bsuc:BSSP2_II0117
ko:K00101	bsuc:BSSP2_II0875
ko:K01775	bsuc:BSSP2_II0878
ko:K00285	bsuc:BSSP2_II0879
ko:K00822	bsuc:BSSP2_II0881
ko:K05836	bsuc:BSSP2_II0882
ko:K01468	bsuc:BSSP2_II0885
ko:K01745	bsuc:BSSP2_II0886
ko:K01479	bsuc:BSSP2_II0887
ko:K01712	bsuc:BSSP2_II0888
ko:K09975	bsuc:BSSP2_II0889
ko:K00824	bsuc:BSSP2_II0890
ko:K10547	bsuc:BSSP2_II0891
ko:K10548	bsuc:BSSP2_II0892
ko:K10546	bsuc:BSSP2_II0894
ko:K01631	bsuc:BSSP2_II0895
ko:K00883	bsuc:BSSP2_II0896
ko:K01687	bsuc:BSSP2_II0897
ko:K00969	bsuc:BSSP2_II1285
ko:K00147	bsuc:BSSP2_II1286
ko:K00931	bsuc:BSSP2_II1287
ko:K03979	bsuc:BSSP2_II1288
ko:K19233	bsuc:BSSP2_II1289
ko:K19233	bsuc:BSSP2_II1290
ko:K02899	bsuc:BSSP2_II1293
ko:K02888	bsuc:BSSP2_II1294
ko:K04747	bsuc:BSSP2_II0215
ko:K03786	bsuc:BSSP2_I0922
ko:K08300	bsuc:BSSP2_I0928
ko:K01448	bsuc:BSSP2_I0930
ko:K05366	bsuc:BSSP2_I0932
ko:K02836	bsuc:BSSP2_I0934
ko:K03564	bsuc:BSSP2_I0939
ko:K01866	bsuc:BSSP2_I0941
ko:K09001	bsuc:BSSP2_I0942
ko:K03297	bsuc:BSSP2_I0943
ko:K07018	bsuc:BSSP2_I0944
ko:K04487	bsuc:BSSP2_I0945
ko:K09014	bsuc:BSSP2_I0946
ko:K09013	bsuc:BSSP2_I0947
ko:K09015	bsuc:BSSP2_I0948
ko:K11717	bsuc:BSSP2_I0949
ko:K00858	bsuc:BSSP2_I0953
ko:K13628	bsuc:BSSP2_I0955
ko:K07213	bsuc:BSSP2_I0957
ko:K00573	bsuc:BSSP2_I0959
ko:K12340	bsuc:BSSP2_I0960
ko:K09991	bsuc:BSSP2_I0961
ko:K01873	bsuc:BSSP2_I0962
ko:K06076	bsuc:BSSP2_I0964
ko:K02029	bsuc:BSSP2_I0967
ko:K02029	bsuc:BSSP2_I0968
ko:K02030	bsuc:BSSP2_I0969
ko:K03753	bsuc:BSSP2_I0970
ko:K03752	bsuc:BSSP2_I0971
ko:K09973	bsuc:BSSP2_I1724
ko:K00382	bsuc:BSSP2_I1725
ko:K00658	bsuc:BSSP2_I1729
ko:K00164	bsuc:BSSP2_I1730
ko:K01902	bsuc:BSSP2_I1732
ko:K01903	bsuc:BSSP2_I1733
ko:K00024	bsuc:BSSP2_I1734
ko:K06916	bsuc:BSSP2_I1735
ko:K01778	bsuc:BSSP2_I1738
ko:K18707	bsuc:BSSP2_I1739
ko:K03110	bsuc:BSSP2_I1740
ko:K06190	bsuc:BSSP2_I1741
ko:K01069	bsuc:BSSP2_I1742
ko:K03574	bsuc:BSSP2_I1745
ko:K00620	bsuc:BSSP2_I1747
ko:K03769	bsuc:BSSP2_I1749
ko:K03070	bsuc:BSSP2_I1751
ko:K03760	bsuc:BSSP2_I1754
ko:K02030	bsuc:BSSP2_I1758
ko:K02029	bsuc:BSSP2_I1759
ko:K02029	bsuc:BSSP2_I1760
ko:K02028	bsuc:BSSP2_I1761
ko:K01480	bsuc:BSSP2_I1762
ko:K01744	bsuc:BSSP2_I1763
ko:K09972	bsuc:BSSP2_I1764
ko:K01424	bsuc:BSSP2_I1765
ko:K01424	bsuc:BSSP2_I1767
ko:K01761	bsuc:BSSP2_I1771
ko:K01738	bsuc:BSSP2_I1773
ko:K18676	bsuc:BSSP2_II1311
ko:K02073	bsuc:BSSP2_I1978
ko:K19231	bsuc:BSSP2_II1344
ko:K02433	bsuc:BSSP2_II0970
ko:K02001	bsuc:BSSP2_II0690
ko:K02000	bsuc:BSSP2_II0691
ko:K10112	bsuc:BSSP2_II0695
ko:K02027	bsuc:BSSP2_II0697
ko:K02025	bsuc:BSSP2_II0698
ko:K02026	bsuc:BSSP2_II0699
ko:K02013	bsuc:BSSP2_II0702
ko:K02013	bsuc:BSSP2_II0703
ko:K02015	bsuc:BSSP2_II0704
ko:K02016	bsuc:BSSP2_II0705
ko:K06075	bsuc:BSSP2_II0710
ko:K09761	bsuc:BSSP2_II0711
ko:K01919	bsuc:BSSP2_II0712
ko:K03601	bsuc:BSSP2_II0713
ko:K03711	bsuc:BSSP2_II1103
ko:K03088	bsuc:BSSP2_II1109
ko:K03561	bsuc:BSSP2_II1117
ko:K03559	bsuc:BSSP2_II1118
ko:K03832	bsuc:BSSP2_II1119
ko:K05685	bsuc:BSSP2_II1121
ko:K13888	bsuc:BSSP2_II1122
ko:K05800	bsuc:BSSP2_II1124
ko:K02303	bsuc:BSSP2_I1323
ko:K02188	bsuc:BSSP2_I1324
ko:K05895	bsuc:BSSP2_I1325
ko:K05936	bsuc:BSSP2_I1326
ko:K02189	bsuc:BSSP2_I1327
ko:K07090	bsuc:BSSP2_I1329
ko:K08978	bsuc:BSSP2_I1330
ko:K19221	bsuc:BSSP2_I1331
ko:K02230	bsuc:BSSP2_I1332
ko:K02234	bsuc:BSSP2_I1333
ko:K02231	bsuc:BSSP2_I1334
ko:K02232	bsuc:BSSP2_I1337
ko:K12257	bsuc:BSSP2_I1348
ko:K03455	bsuc:BSSP2_I1349
ko:K07027	bsuc:BSSP2_I1350
ko:K07002	bsuc:BSSP2_I1351
ko:K02047	bsuc:BSSP2_I1352
ko:K02046	bsuc:BSSP2_I1353
ko:K02048	bsuc:BSSP2_I1354
ko:K02431	bsuc:BSSP2_I1361
ko:K02056	bsuc:BSSP2_I1363
ko:K02057	bsuc:BSSP2_I1364
ko:K02058	bsuc:BSSP2_I1365
ko:K02013	bsuc:BSSP2_I1368
ko:K02015	bsuc:BSSP2_I1369
ko:K02016	bsuc:BSSP2_I1370
ko:K02386	bsuc:BSSP2_II0118
ko:K02394	bsuc:BSSP2_II0119
ko:K02393	bsuc:BSSP2_II0121
ko:K02415	bsuc:BSSP2_II0122
ko:K02415	bsuc:BSSP2_II0123
ko:K02419	bsuc:BSSP2_II0124
ko:K09709	bsuc:BSSP2_II0129
ko:K01644	bsuc:BSSP2_II0130
ko:K08738	bsuc:BSSP2_II0137
ko:K09794	bsuc:BSSP2_II0138
ko:K00104	bsuc:BSSP2_II0143
ko:K11472	bsuc:BSSP2_II0144
ko:K11473	bsuc:BSSP2_II0145
ko:K06221	bsuc:BSSP2_II0146
ko:K01246	bsuc:BSSP2_II0149
ko:K01892	bsuc:BSSP2_II0151
ko:K02502	bsuc:BSSP2_II0152
ko:K00765	bsuc:BSSP2_II0153
ko:K02429	bsuc:BSSP2_II0154
ko:K02429	bsuc:BSSP2_II0155
ko:K15977	bsuc:BSSP2_II0156
ko:K01679	bsuc:BSSP2_II0157
ko:K04077	bsuc:BSSP2_II0160
ko:K04078	bsuc:BSSP2_II0161
ko:K11753	bsuc:BSSP2_II0164
ko:K01870	bsuc:BSSP2_II0165
ko:K12262	bsuc:BSSP2_II0167
ko:K01652	bsuc:BSSP2_II0901
ko:K01652	bsuc:BSSP2_II0902
ko:K01266	bsuc:BSSP2_II0906
ko:K09969	bsuc:BSSP2_II0907
ko:K01999	bsuc:BSSP2_II0913
ko:K01995	bsuc:BSSP2_II0914
ko:K01996	bsuc:BSSP2_II0915
ko:K01997	bsuc:BSSP2_II0916
ko:K01998	bsuc:BSSP2_II0917
ko:K02073	bsuc:BSSP2_II0920
ko:K02071	bsuc:BSSP2_II0921
ko:K02072	bsuc:BSSP2_II0922
ko:K09815	bsuc:BSSP2_II1314
ko:K09817	bsuc:BSSP2_II1315
ko:K09816	bsuc:BSSP2_II1316
ko:K02421	bsuc:BSSP2_II1323
ko:K02400	bsuc:BSSP2_II1324
ko:K02420	bsuc:BSSP2_II1326
ko:K02389	bsuc:BSSP2_II1327
ko:K06601	bsuc:BSSP2_II1328
ko:K06602	bsuc:BSSP2_II1329
ko:K02397	bsuc:BSSP2_II1330
ko:K02396	bsuc:BSSP2_II1331
ko:K02390	bsuc:BSSP2_II1332
ko:K10565	bsuc:BSSP2_II1335
ko:K10564	bsuc:BSSP2_II1336
ko:K02557	bsuc:BSSP2_II1337
ko:K03639	bsuc:BSSP2_I0972
ko:K01676	bsuc:BSSP2_I0975
ko:K16079	bsuc:BSSP2_I0990
ko:K09803	bsuc:BSSP2_I0993
ko:K00773	bsuc:BSSP2_I0994
ko:K00537	bsuc:BSSP2_I1004
ko:K03642	bsuc:BSSP2_I1005
ko:K07258	bsuc:BSSP2_I1006
ko:K00943	bsuc:BSSP2_I1007
ko:K02341	bsuc:BSSP2_I1008
ko:K01874	bsuc:BSSP2_I1010
ko:K03424	bsuc:BSSP2_I1011
ko:K06167	bsuc:BSSP2_I1012
ko:K06147	bsuc:BSSP2_I1013
ko:K06179	bsuc:BSSP2_I1014
ko:K01091	bsuc:BSSP2_I1016
ko:K01915	bsuc:BSSP2_I1018
ko:K04751	bsuc:BSSP2_I1019
ko:K01091	bsuc:BSSP2_I1022
ko:K01807	bsuc:BSSP2_I1024
ko:K09924	bsuc:BSSP2_I1025
ko:K00074	bsuc:BSSP2_I1775
ko:K03522	bsuc:BSSP2_I1776
ko:K03521	bsuc:BSSP2_I1777
ko:K06920	bsuc:BSSP2_I1778
ko:K01737	bsuc:BSSP2_I1779
ko:K10026	bsuc:BSSP2_I1780
ko:K00798	bsuc:BSSP2_I1781
ko:K07058	bsuc:BSSP2_I1784
ko:K09768	bsuc:BSSP2_I1785
ko:K01755	bsuc:BSSP2_I1787
ko:K01586	bsuc:BSSP2_I1789
ko:K00760	bsuc:BSSP2_I1791
ko:K00817	bsuc:BSSP2_I1793
ko:K00220	bsuc:BSSP2_I1794
ko:K07232	bsuc:BSSP2_I1796
ko:K02221	bsuc:BSSP2_I1799
ko:K01507	bsuc:BSSP2_I1800
ko:K00655	bsuc:BSSP2_I1802
ko:K09811	bsuc:BSSP2_I1804
ko:K09812	bsuc:BSSP2_I1805
ko:K06188	bsuc:BSSP2_I1807
ko:K01142	bsuc:BSSP2_I1809
ko:K09125	bsuc:BSSP2_I1819
ko:K02902	bsuc:BSSP2_I1820
ko:K01534	bsuc:BSSP2_I1823
ko:K01915	bsuc:BSSP2_II0717
ko:K09471	bsuc:BSSP2_II0719
ko:K00059	bsuc:BSSP2_II0727
ko:K00036	bsuc:BSSP2_II0728
ko:K01057	bsuc:BSSP2_II0729
ko:K01690	bsuc:BSSP2_II0730
ko:K01491	bsuc:BSSP2_II0732
ko:K00286	bsuc:BSSP2_II0733
ko:K02034	bsuc:BSSP2_II0736
ko:K02033	bsuc:BSSP2_II0737
ko:K02035	bsuc:BSSP2_II0738
ko:K01939	bsuc:BSSP2_II1130
ko:K00058	bsuc:BSSP2_II1132
ko:K00831	bsuc:BSSP2_II1134
ko:K03453	bsuc:BSSP2_II1135
ko:K03431	bsuc:BSSP2_II1137
ko:K03798	bsuc:BSSP2_II1138
ko:K04075	bsuc:BSSP2_II1139
ko:K03640	bsuc:BSSP2_II1142
ko:K03641	bsuc:BSSP2_II1143
ko:K03560	bsuc:BSSP2_II1145
ko:K03562	bsuc:BSSP2_II1146
ko:K07107	bsuc:BSSP2_II1147
ko:K03551	bsuc:BSSP2_II1148
ko:K03550	bsuc:BSSP2_II1149
ko:K01159	bsuc:BSSP2_II1150
ko:K13592	bsuc:BSSP2_II1151
ko:K00788	bsuc:BSSP2_II1154
ko:K07126	bsuc:BSSP2_II1155
ko:K02356	bsuc:BSSP2_II1156
ko:K16092	bsuc:BSSP2_I1371
ko:K13926	bsuc:BSSP2_I1373
ko:K01993	bsuc:BSSP2_I1374
ko:K01430	bsuc:BSSP2_I1377
ko:K01429	bsuc:BSSP2_I1378
ko:K01428	bsuc:BSSP2_I1379
ko:K03187	bsuc:BSSP2_I1380
ko:K03188	bsuc:BSSP2_I1381
ko:K03189	bsuc:BSSP2_I1382
ko:K03190	bsuc:BSSP2_I1383
ko:K08717	bsuc:BSSP2_I1384
ko:K02009	bsuc:BSSP2_I1385
ko:K02007	bsuc:BSSP2_I1386
ko:K16915	bsuc:BSSP2_I1387
ko:K02008	bsuc:BSSP2_I1388
ko:K02006	bsuc:BSSP2_I1389
ko:K06199	bsuc:BSSP2_I1391
ko:K06998	bsuc:BSSP2_I1395
ko:K00053	bsuc:BSSP2_I1401
ko:K03549	bsuc:BSSP2_I1403
ko:K03474	bsuc:BSSP2_I1404
ko:K01653	bsuc:BSSP2_I1408
ko:K01652	bsuc:BSSP2_I1409
ko:K00791	bsuc:BSSP2_I1411
ko:K01079	bsuc:BSSP2_I1412
ko:K07007	bsuc:BSSP2_I1413
ko:K09937	bsuc:BSSP2_I1415
ko:K04087	bsuc:BSSP2_I1416
ko:K04088	bsuc:BSSP2_I1417
ko:K06178	bsuc:BSSP2_II0169
ko:K08316	bsuc:BSSP2_II0170
ko:K07263	bsuc:BSSP2_II0171
ko:K07263	bsuc:BSSP2_II0172
ko:K07263	bsuc:BSSP2_II0173
ko:K07001	bsuc:BSSP2_II0174
ko:K03455	bsuc:BSSP2_II0175
ko:K03592	bsuc:BSSP2_II0177
ko:K01092	bsuc:BSSP2_II0178
ko:K09778	bsuc:BSSP2_II0180
ko:K02527	bsuc:BSSP2_II0181
ko:K00912	bsuc:BSSP2_II0182
ko:K03572	bsuc:BSSP2_II0184
ko:K08196	bsuc:BSSP2_II0185
ko:K06446	bsuc:BSSP2_II0186
ko:K00074	bsuc:BSSP2_II0189
ko:K02484	bsuc:BSSP2_II0197
ko:K00380	bsuc:BSSP2_II0202
ko:K03734	bsuc:BSSP2_II0203
ko:K02164	bsuc:BSSP2_II0214
ko:K02305	bsuc:BSSP2_II0216
ko:K04561	bsuc:BSSP2_II0217
ko:K07039	bsuc:BSSP2_II0515
ko:K07483	bsuc:BSSP2_II0518
ko:K13772	bsuc:BSSP2_II0523
ko:K03594	bsuc:BSSP2_II0525
ko:K14441	bsuc:BSSP2_II0527
ko:K02058	bsuc:BSSP2_II0528
ko:K02057	bsuc:BSSP2_II0529
ko:K02057	bsuc:BSSP2_II0530
ko:K02057	bsuc:BSSP2_II0531
ko:K02056	bsuc:BSSP2_II0532
ko:K02970	bsuc:BSSP2_II0925
ko:K00325	bsuc:BSSP2_II0930
ko:K00324	bsuc:BSSP2_II0931
ko:K00324	bsuc:BSSP2_II0932
ko:K07010	bsuc:BSSP2_II0942
ko:K09823	bsuc:BSSP2_II1317
ko:K02409	bsuc:BSSP2_II1340
ko:K02406	bsuc:BSSP2_II1342
ko:K19231	bsuc:BSSP2_II1345
ko:K19231	bsuc:BSSP2_II1346
ko:K10543	bsuc:BSSP2_II1348
ko:K10545	bsuc:BSSP2_II1350
ko:K10544	bsuc:BSSP2_II1351
ko:K02510	bsuc:BSSP2_II1355
ko:K02509	bsuc:BSSP2_II1357
ko:K00446	bsuc:BSSP2_II1359
ko:K00151	bsuc:BSSP2_II1360
ko:K01826	bsuc:BSSP2_II1361
ko:K00383	bsuc:BSSP2_I1026
ko:K01626	bsuc:BSSP2_I1027
ko:K00901	bsuc:BSSP2_I1028
ko:K01916	bsuc:BSSP2_I1029
ko:K01885	bsuc:BSSP2_I1030
ko:K00029	bsuc:BSSP2_I1031
ko:K02066	bsuc:BSSP2_I1034
ko:K02065	bsuc:BSSP2_I1035
ko:K02067	bsuc:BSSP2_I1036
ko:K18480	bsuc:BSSP2_I1037
ko:K04755	bsuc:BSSP2_I1041
ko:K00384	bsuc:BSSP2_I1042
ko:K00796	bsuc:BSSP2_I1045
ko:K01633	bsuc:BSSP2_I1046
ko:K00950	bsuc:BSSP2_I1047
ko:K08990	bsuc:BSSP2_I1049
ko:K06918	bsuc:BSSP2_I1050
ko:K08296	bsuc:BSSP2_I1051
ko:K06204	bsuc:BSSP2_I1052
ko:K13587	bsuc:BSSP2_I1054
ko:K07007	bsuc:BSSP2_I1055
ko:K16053	bsuc:BSSP2_I1057
ko:K16053	bsuc:BSSP2_I1058
ko:K00769	bsuc:BSSP2_I1063
ko:K03809	bsuc:BSSP2_I1066
ko:K01754	bsuc:BSSP2_I1069
ko:K11927	bsuc:BSSP2_I1070
ko:K01738	bsuc:BSSP2_I1071
ko:K07050	bsuc:BSSP2_I1072
ko:K01011	bsuc:BSSP2_I1073
ko:K09883	bsuc:BSSP2_I1826
ko:K05527	bsuc:BSSP2_I1830
ko:K01735	bsuc:BSSP2_I1832
ko:K00891	bsuc:BSSP2_I1833
ko:K04763	bsuc:BSSP2_I1835
ko:K01962	bsuc:BSSP2_I1836
ko:K04085	bsuc:BSSP2_I1838
ko:K00059	bsuc:BSSP2_I1844
ko:K19181	bsuc:BSSP2_I1853
ko:K02529	bsuc:BSSP2_I1854
ko:K01989	bsuc:BSSP2_I1857
ko:K05832	bsuc:BSSP2_I1858
ko:K05833	bsuc:BSSP2_I1859
ko:K02340	bsuc:BSSP2_I1860
ko:K03497	bsuc:BSSP2_I1861
ko:K03496	bsuc:BSSP2_I1862
ko:K03501	bsuc:BSSP2_I1863
ko:K03495	bsuc:BSSP2_I1864
ko:K03650	bsuc:BSSP2_I1865
ko:K06888	bsuc:BSSP2_I1866
ko:K03628	bsuc:BSSP2_I1867
ko:K08973	bsuc:BSSP2_I1868
ko:K01599	bsuc:BSSP2_I1869
ko:K09773	bsuc:BSSP2_I1870
ko:K06287	bsuc:BSSP2_I1871
ko:K01673	bsuc:BSSP2_II0740
ko:K04566	bsuc:BSSP2_II0742
ko:K01782	bsuc:BSSP2_II0745
ko:K00626	bsuc:BSSP2_II0746
ko:K10824	bsuc:BSSP2_II0752
ko:K15587	bsuc:BSSP2_II0753
ko:K15586	bsuc:BSSP2_II0754
ko:K15585	bsuc:BSSP2_II0755
ko:K15584	bsuc:BSSP2_II0756
ko:K07722	bsuc:BSSP2_II0757
ko:K01708	bsuc:BSSP2_II0758
ko:K01708	bsuc:BSSP2_II0759
ko:K02053	bsuc:BSSP2_II0760
ko:K02054	bsuc:BSSP2_II0761
ko:K02054	bsuc:BSSP2_II0762
ko:K02052	bsuc:BSSP2_II0763
ko:K02055	bsuc:BSSP2_II0764
ko:K01092	bsuc:BSSP2_II1157
ko:K02557	bsuc:BSSP2_II1159
ko:K06147	bsuc:BSSP2_II1160
ko:K02909	bsuc:BSSP2_II1161
ko:K03523	bsuc:BSSP2_II1165
ko:K09706	bsuc:BSSP2_II1166
ko:K09769	bsuc:BSSP2_II1168
ko:K01934	bsuc:BSSP2_II1169
ko:K09888	bsuc:BSSP2_II1170
ko:K00615	bsuc:BSSP2_II1173
ko:K00134	bsuc:BSSP2_II1174
ko:K00927	bsuc:BSSP2_II1175
ko:K01908	bsuc:BSSP2_II1177
ko:K09987	bsuc:BSSP2_II1182
ko:K07552	bsuc:BSSP2_I1422
ko:K09985	bsuc:BSSP2_I1425
ko:K00102	bsuc:BSSP2_I1431
ko:K03657	bsuc:BSSP2_I1434
ko:K05805	bsuc:BSSP2_I1435
ko:K07152	bsuc:BSSP2_I1437
ko:K02687	bsuc:BSSP2_I1438
ko:K01262	bsuc:BSSP2_I1439
ko:K01972	bsuc:BSSP2_I1441
ko:K03631	bsuc:BSSP2_I1442
ko:K05807	bsuc:BSSP2_I1443
ko:K02535	bsuc:BSSP2_I1444
ko:K03531	bsuc:BSSP2_I1446
ko:K03590	bsuc:BSSP2_I1447
ko:K03589	bsuc:BSSP2_I1448
ko:K01921	bsuc:BSSP2_I1449
ko:K00075	bsuc:BSSP2_I1450
ko:K01924	bsuc:BSSP2_I1451
ko:K02563	bsuc:BSSP2_I1452
ko:K03588	bsuc:BSSP2_I1453
ko:K01925	bsuc:BSSP2_I1454
ko:K01000	bsuc:BSSP2_I1455
ko:K01929	bsuc:BSSP2_I1456
ko:K01928	bsuc:BSSP2_I1457
ko:K03587	bsuc:BSSP2_I1458
ko:K03438	bsuc:BSSP2_I1460
ko:K03322	bsuc:BSSP2_I1462
ko:K05801	bsuc:BSSP2_I1465
